ko:K19504	senq:AU40_24840
ko:K02822	senq:AU40_23980
ko:K02821	senq:AU40_23985
ko:K03078	senq:AU40_23990
ko:K03079	senq:AU40_23995
ko:K03077	senq:AU40_24000
ko:K02990	senq:AU40_24020
ko:K02686	senq:AU40_24025
ko:K02963	senq:AU40_24030
ko:K02939	senq:AU40_24035
ko:K07269	senq:AU40_24045
ko:K07347	senq:AU40_01630
ko:K06445	senq:AU40_01675
ko:K03271	senq:AU40_01680
ko:K02346	senq:AU40_01700
ko:K02839	senq:AU40_01710
ko:K01270	senq:AU40_01715
ko:K00769	senq:AU40_01720
ko:K11750	senq:AU40_01725
ko:K11926	senq:AU40_01730
ko:K11929	senq:AU40_01735
ko:K00931	senq:AU40_01745
ko:K00147	senq:AU40_01750
ko:K03756	senq:AU40_03800
ko:K07120	senq:AU40_03885
ko:K01647	senq:AU40_03890
ko:K00241	senq:AU40_03905
ko:K00242	senq:AU40_03910
ko:K00239	senq:AU40_03915
ko:K00240	senq:AU40_03920
ko:K00164	senq:AU40_03930
ko:K00658	senq:AU40_03935
ko:K01903	senq:AU40_03945
ko:K01902	senq:AU40_03950
ko:K00425	senq:AU40_03970
ko:K00426	senq:AU40_03975
ko:K07107	senq:AU40_03990
ko:K03562	senq:AU40_03995
ko:K03560	senq:AU40_04000
ko:K03646	senq:AU40_04005
ko:K03641	senq:AU40_04010
ko:K03640	senq:AU40_04015
ko:K04565	senq:AU40_06655
ko:K13741	senq:AU40_06690
ko:K07790	senq:AU40_06800
ko:K13741	senq:AU40_06845
ko:K11392	senq:AU40_06880
ko:K03808	senq:AU40_06890
ko:K03607	senq:AU40_06900
ko:K03797	senq:AU40_06905
ko:K03799	senq:AU40_06910
ko:K08169	senq:AU40_06915
ko:K03704	senq:AU40_06955
ko:K03587	senq:AU40_06960
ko:K00563	senq:AU40_06965
ko:K02795	senq:AU40_06990
ko:K02793	senq:AU40_06995
ko:K02794	senq:AU40_06995
ko:K08353	senq:AU40_11660
ko:K08352	senq:AU40_11665
ko:K01141	senq:AU40_11680
ko:K00765	senq:AU40_11710
ko:K00013	senq:AU40_11715
ko:K00817	senq:AU40_11720
ko:K01089	senq:AU40_11725
ko:K02501	senq:AU40_11730
ko:K01814	senq:AU40_11735
ko:K02500	senq:AU40_11740
ko:K11755	senq:AU40_11745
ko:K05789	senq:AU40_11750
ko:K00012	senq:AU40_11755
ko:K00033	senq:AU40_11760
ko:K01840	senq:AU40_11770
ko:K00971	senq:AU40_11775
ko:K12992	senq:AU40_11780
ko:K13005	senq:AU40_11790
ko:K12454	senq:AU40_11800
ko:K12452	senq:AU40_11810
ko:K01709	senq:AU40_11815
ko:K00978	senq:AU40_11820
ko:K00523	senq:AU40_11825
ko:K01790	senq:AU40_11830
ko:K00973	senq:AU40_11835
ko:K00067	senq:AU40_11840
ko:K01710	senq:AU40_11845
ko:K00963	senq:AU40_11855
ko:K16703	senq:AU40_11865
ko:K16710	senq:AU40_11870
ko:K16695	senq:AU40_11875
ko:K03606	senq:AU40_11880
ko:K01840	senq:AU40_11885
ko:K00971	senq:AU40_11890
ko:K03208	senq:AU40_11895
ko:K03207	senq:AU40_11900
ko:K02377	senq:AU40_11905
ko:K01711	senq:AU40_11910
ko:K03818	senq:AU40_11915
ko:K13683	senq:AU40_11920
ko:K13620	senq:AU40_11925
ko:K13684	senq:AU40_11930
ko:K07491	senq:AU40_25925
ko:K00215	senq:AU40_00345
ko:K01956	senq:AU40_00360
ko:K01955	senq:AU40_00365
ko:K08277	senq:AU40_00370
ko:K08279	senq:AU40_00375
ko:K08299	senq:AU40_00380
ko:K02182	senq:AU40_00385
ko:K08298	senq:AU40_00390
ko:K08297	senq:AU40_00395
ko:K05245	senq:AU40_00400
ko:K03521	senq:AU40_00410
ko:K03522	senq:AU40_00415
ko:K00313	senq:AU40_00420
ko:K03855	senq:AU40_00425
ko:K08368	senq:AU40_00435
ko:K11746	senq:AU40_00465
ko:K01525	senq:AU40_00500
ko:K06195	senq:AU40_00505
ko:K04067	senq:AU40_02600
ko:K09790	senq:AU40_02605
ko:K00759	senq:AU40_02615
ko:K02343	senq:AU40_02620
ko:K09747	senq:AU40_02625
ko:K06187	senq:AU40_02630
ko:K04079	senq:AU40_02635
ko:K00939	senq:AU40_02640
ko:K01772	senq:AU40_02650
ko:K00892	senq:AU40_02660
ko:K03455	senq:AU40_02665
ko:K08223	senq:AU40_02675
ko:K03976	senq:AU40_02685
ko:K09973	senq:AU40_02690
ko:K17686	senq:AU40_02700
ko:K07340	senq:AU40_02710
ko:K02068	senq:AU40_02720
ko:K02069	senq:AU40_02725
ko:K05838	senq:AU40_02730
ko:K10804	senq:AU40_02740
ko:K06891	senq:AU40_04905
ko:K03694	senq:AU40_04910
ko:K06911	senq:AU40_04935
ko:K02518	senq:AU40_04945
ko:K00684	senq:AU40_04955
ko:K16012	senq:AU40_04960
ko:K16013	senq:AU40_04965
ko:K00384	senq:AU40_04970
ko:K03719	senq:AU40_04985
ko:K03466	senq:AU40_04990
ko:K03634	senq:AU40_04995
ko:K07478	senq:AU40_05000
ko:K01875	senq:AU40_05005
ko:K07306	senq:AU40_05010
ko:K07307	senq:AU40_05015
ko:K07308	senq:AU40_05020
ko:K08219	senq:AU40_05035
ko:K04069	senq:AU40_05045
ko:K00656	senq:AU40_05060
ko:K01284	senq:AU40_08905
ko:K16066	senq:AU40_08910
ko:K00040	senq:AU40_08925
ko:K08173	senq:AU40_08935
ko:K08322	senq:AU40_08940
ko:K08323	senq:AU40_08945
ko:K09771	senq:AU40_08950
ko:K00657	senq:AU40_08960
ko:K07309	senq:AU40_08975
ko:K07310	senq:AU40_08980
ko:K07307	senq:AU40_08985
ko:K07312	senq:AU40_08990
ko:K05846	senq:AU40_09000
ko:K05845	senq:AU40_09005
ko:K05846	senq:AU40_09010
ko:K05847	senq:AU40_09015
ko:K03281	senq:AU40_09020
ko:K01935	senq:AU40_09025
ko:K15545	senq:AU40_09030
ko:K08224	senq:AU40_09040
ko:K04775	senq:AU40_09060
ko:K11742	senq:AU40_09065
ko:K11743	senq:AU40_09070
ko:K11744	senq:AU40_09080
ko:K00325	senq:AU40_09085
ko:K00324	senq:AU40_09090
ko:K03758	senq:AU40_09110
ko:K07661	senq:AU40_09120
ko:K14062	senq:AU40_09130
ko:K07639	senq:AU40_09140
ko:K10748	senq:AU40_09145
ko:K01679	senq:AU40_09150
ko:K01676	senq:AU40_09155
ko:K01809	senq:AU40_09160
ko:K01488	senq:AU40_09180
ko:K02045	senq:AU40_13790
ko:K02047	senq:AU40_13795
ko:K02046	senq:AU40_13800
ko:K02048	senq:AU40_13805
ko:K07223	senq:AU40_13820
ko:K01448	senq:AU40_13845
ko:K00228	senq:AU40_13850
ko:K04033	senq:AU40_13860
ko:K04025	senq:AU40_13865
ko:K04026	senq:AU40_13870
ko:K03736	senq:AU40_13875
ko:K03735	senq:AU40_13880
ko:K04019	senq:AU40_13885
ko:K04023	senq:AU40_13890
ko:K04022	senq:AU40_13895
ko:K04024	senq:AU40_13900
ko:K04021	senq:AU40_13905
ko:K04028	senq:AU40_13910
ko:K04027	senq:AU40_13915
ko:K04020	senq:AU40_13920
ko:K04032	senq:AU40_13925
ko:K04030	senq:AU40_13930
ko:K04029	senq:AU40_13935
ko:K04031	senq:AU40_13940
ko:K00029	senq:AU40_13945
ko:K00616	senq:AU40_13955
ko:K00615	senq:AU40_13960
ko:K12945	senq:AU40_13975
ko:K07674	senq:AU40_13990
ko:K18324	senq:AU40_13995
ko:K01439	senq:AU40_14010
ko:K06957	senq:AU40_14020
ko:K07054	senq:AU40_14025
ko:K01923	senq:AU40_14030
ko:K07287	senq:AU40_14035
ko:K01714	senq:AU40_14040
ko:K03567	senq:AU40_14045
ko:K03564	senq:AU40_14050
ko:K00865	senq:AU40_14055
ko:K03299	senq:AU40_14060
ko:K02647	senq:AU40_14065
ko:K09781	senq:AU40_05930
ko:K07026	senq:AU40_05945
ko:K07781	senq:AU40_05970
ko:K02421	senq:AU40_05980
ko:K02420	senq:AU40_05985
ko:K02419	senq:AU40_05990
ko:K02418	senq:AU40_05995
ko:K02417	senq:AU40_06000
ko:K02416	senq:AU40_06005
ko:K02415	senq:AU40_06010
ko:K02414	senq:AU40_06015
ko:K02413	senq:AU40_06020
ko:K02412	senq:AU40_06025
ko:K02411	senq:AU40_06030
ko:K02619	senq:AU40_10710
ko:K09458	senq:AU40_10715
ko:K02078	senq:AU40_10725
ko:K00059	senq:AU40_10730
ko:K00645	senq:AU40_10735
ko:K00648	senq:AU40_10740
ko:K03621	senq:AU40_10745
ko:K02911	senq:AU40_10750
ko:K07040	senq:AU40_10755
ko:K06179	senq:AU40_10775
ko:K08300	senq:AU40_10790
ko:K02397	senq:AU40_10795
ko:K02396	senq:AU40_10800
ko:K02395	senq:AU40_10805
ko:K02394	senq:AU40_10810
ko:K02393	senq:AU40_10815
ko:K02392	senq:AU40_10820
ko:K02391	senq:AU40_10825
ko:K02390	senq:AU40_10830
ko:K02389	senq:AU40_10835
ko:K02388	senq:AU40_10840
ko:K02387	senq:AU40_10845
ko:K02386	senq:AU40_10855
ko:K02398	senq:AU40_10865
ko:K02399	senq:AU40_10870
ko:K03980	senq:AU40_10875
ko:K03810	senq:AU40_10880
ko:K09915	senq:AU40_10885
ko:K03790	senq:AU40_10890
ko:K01682	senq:AU40_00950
ko:K09910	senq:AU40_00965
ko:K02526	senq:AU40_00970
ko:K01611	senq:AU40_00990
ko:K00797	senq:AU40_00995
ko:K14588	senq:AU40_01005
ko:K00117	senq:AU40_01010
ko:K00760	senq:AU40_01015
ko:K01673	senq:AU40_01020
ko:K01990	senq:AU40_01025
ko:K01992	senq:AU40_01030
ko:K07347	senq:AU40_01040
ko:K01579	senq:AU40_01065
ko:K02013	senq:AU40_03150
ko:K02015	senq:AU40_03155
ko:K02015	senq:AU40_03160
ko:K08225	senq:AU40_03165
ko:K02016	senq:AU40_03170
ko:K02361	senq:AU40_03175
ko:K02363	senq:AU40_03180
ko:K01252	senq:AU40_03185
ko:K00216	senq:AU40_03190
ko:K06200	senq:AU40_03200
ko:K08317	senq:AU40_03210
ko:K14287	senq:AU40_03215
ko:K03805	senq:AU40_03235
ko:K03386	senq:AU40_03240
ko:K03387	senq:AU40_03250
ko:K11932	senq:AU40_03275
ko:K06140	senq:AU40_03285
ko:K13085	senq:AU40_05535
ko:K02484	senq:AU40_05555
ko:K07127	senq:AU40_05565
ko:K00484	senq:AU40_05570
ko:K00483	senq:AU40_05575
ko:K05921	senq:AU40_05585
ko:K00151	senq:AU40_05590
ko:K00455	senq:AU40_05595
ko:K01826	senq:AU40_05600
ko:K02509	senq:AU40_05605
ko:K02510	senq:AU40_05610
ko:K02511	senq:AU40_05615
ko:K02508	senq:AU40_05620
ko:K18997	senq:AU40_05635
ko:K05516	senq:AU40_05640
ko:K08344	senq:AU40_05650
ko:K01085	senq:AU40_05665
ko:K01085	senq:AU40_05670
ko:K03809	senq:AU40_05680
ko:K00262	senq:AU40_10090
ko:K03169	senq:AU40_10095
ko:K01008	senq:AU40_10100
ko:K04773	senq:AU40_10110
ko:K01424	senq:AU40_10115
ko:K08281	senq:AU40_10120
ko:K08369	senq:AU40_10125
ko:K18471	senq:AU40_10135
ko:K08369	senq:AU40_10155
ko:K09916	senq:AU40_10175
ko:K07305	senq:AU40_10180
ko:K00134	senq:AU40_10185
ko:K01792	senq:AU40_10200
ko:K06871	senq:AU40_10210
ko:K07180	senq:AU40_10220
ko:K09786	senq:AU40_10225
ko:K19055	senq:AU40_10240
ko:K03449	senq:AU40_10260
ko:K09712	senq:AU40_10275
ko:K11250	senq:AU40_10310
ko:K04093	senq:AU40_10315
ko:K08162	senq:AU40_10895
ko:K03675	senq:AU40_10900
ko:K01465	senq:AU40_10910
ko:K12149	senq:AU40_10915
ko:K12148	senq:AU40_10920
ko:K02846	senq:AU40_10925
ko:K07146	senq:AU40_10950
ko:K02517	senq:AU40_10955
ko:K08161	senq:AU40_10960
ko:K12147	senq:AU40_10970
ko:K03669	senq:AU40_10980
ko:K03670	senq:AU40_10985
ko:K11941	senq:AU40_10995
ko:K01735	senq:AU40_19045
ko:K00891	senq:AU40_19050
ko:K02507	senq:AU40_19060
ko:K12291	senq:AU40_19065
ko:K12290	senq:AU40_19070
ko:K12289	senq:AU40_19075
ko:K12288	senq:AU40_19080
ko:K05366	senq:AU40_19085
ko:K08312	senq:AU40_19090
ko:K04762	senq:AU40_19115
ko:K04083	senq:AU40_19120
ko:K01610	senq:AU40_19135
ko:K07638	senq:AU40_19140
ko:K07659	senq:AU40_19145
ko:K04760	senq:AU40_19150
ko:K06959	senq:AU40_19155
ko:K04758	senq:AU40_19160
ko:K04759	senq:AU40_19165
ko:K07490	senq:AU40_19170
ko:K02170	senq:AU40_19180
ko:K07400	senq:AU40_19190
ko:K06155	senq:AU40_19195
ko:K00705	senq:AU40_19200
ko:K00688	senq:AU40_19205
ko:K03556	senq:AU40_19210
ko:K19157	senq:AU40_19215
ko:K07473	senq:AU40_19220
ko:K01974	senq:AU40_19225
ko:K14415	senq:AU40_19230
ko:K14414	senq:AU40_19240
ko:K02444	senq:AU40_19245
ko:K02441	senq:AU40_19250
ko:K02439	senq:AU40_19255
ko:K00111	senq:AU40_19260
ko:K02040	senq:AU40_19270
ko:K00005	senq:AU40_19275
ko:K01687	senq:AU40_19285
ko:K00688	senq:AU40_19300
ko:K00703	senq:AU40_19305
ko:K00975	senq:AU40_19310
ko:K00700	senq:AU40_19320
ko:K00133	senq:AU40_19325
ko:K07483	senq:AU40_20580
ko:K12678	senq:AU40_20595
ko:K01531	senq:AU40_20630
ko:K07507	senq:AU40_20635
ko:K17463	senq:AU40_20650
ko:K17468	senq:AU40_20655
ko:K17467	senq:AU40_20660
ko:K17466	senq:AU40_20665
ko:K17465	senq:AU40_20670
ko:K17464	senq:AU40_20675
ko:K17473	senq:AU40_20685
ko:K01223	senq:AU40_20695
ko:K07726	senq:AU40_20710
ko:K07784	senq:AU40_20725
ko:K07783	senq:AU40_20730
ko:K07675	senq:AU40_20735
ko:K02429	senq:AU40_20750
ko:K00852	senq:AU40_20755
ko:K11534	senq:AU40_20760
ko:K01653	senq:AU40_20765
ko:K01652	senq:AU40_20770
ko:K08154	senq:AU40_20810
ko:K13636	senq:AU40_20820
ko:K13629	senq:AU40_20825
ko:K01753	senq:AU40_20830
ko:K06871	senq:AU40_20835
ko:K00389	senq:AU40_20845
ko:K07085	senq:AU40_20865
ko:K04081	senq:AU40_20870
ko:K04080	senq:AU40_20875
ko:K02200	senq:AU40_20895
ko:K02199	senq:AU40_20900
ko:K02909	senq:AU40_22450
ko:K03764	senq:AU40_22465
ko:K01739	senq:AU40_22475
ko:K12525	senq:AU40_22480
ko:K00600	senq:AU40_22510
ko:K01775	senq:AU40_22515
ko:K00375	senq:AU40_22520
ko:K00297	senq:AU40_22530
ko:K03782	senq:AU40_22535
ko:K09974	senq:AU40_22540
ko:K00005	senq:AU40_22545
ko:K08314	senq:AU40_22550
ko:K08483	senq:AU40_22555
ko:K11189	senq:AU40_22555
ko:K11201	senq:AU40_22555
ko:K11203	senq:AU40_22560
ko:K11202	senq:AU40_22565
ko:K00656	senq:AU40_22570
ko:K04069	senq:AU40_22575
ko:K11202	senq:AU40_22580
ko:K01595	senq:AU40_22600
ko:K01438	senq:AU40_22605
ko:K00145	senq:AU40_22610
ko:K00930	senq:AU40_22615
ko:K01755	senq:AU40_22620
ko:K04761	senq:AU40_22625
ko:K00322	senq:AU40_22630
ko:K00557	senq:AU40_22650
ko:K16092	senq:AU40_22655
ko:K01776	senq:AU40_22660
ko:K00075	senq:AU40_22690
ko:K03524	senq:AU40_22695
ko:K00867	senq:AU40_22700
ko:K02358	senq:AU40_22740
ko:K03073	senq:AU40_22750
ko:K02601	senq:AU40_22755
ko:K02867	senq:AU40_22760
ko:K00135	senq:AU40_24715
ko:K01153	senq:AU40_24730
ko:K01154	senq:AU40_24735
ko:K03427	senq:AU40_24740
ko:K03427	senq:AU40_24755
ko:K09803	senq:AU40_24775
ko:K01002	senq:AU40_24850
ko:K02317	senq:AU40_24865
ko:K13255	senq:AU40_24895
ko:K00564	senq:AU40_24925
ko:K02344	senq:AU40_24930
ko:K03789	senq:AU40_24935
ko:K08723	senq:AU40_24940
ko:K02837	senq:AU40_24945
ko:K04065	senq:AU40_24955
ko:K03424	senq:AU40_24970
ko:K01619	senq:AU40_24990
ko:K00758	senq:AU40_24995
ko:K01839	senq:AU40_25000
ko:K03784	senq:AU40_25005
ko:K03800	senq:AU40_25015
ko:K07186	senq:AU40_25020
ko:K01733	senq:AU40_00010
ko:K09861	senq:AU40_00015
ko:K03310	senq:AU40_00020
ko:K00616	senq:AU40_00025
ko:K03831	senq:AU40_00030
ko:K07034	senq:AU40_00035
ko:K04043	senq:AU40_00060
ko:K03686	senq:AU40_00065
ko:K00773	senq:AU40_02195
ko:K03210	senq:AU40_02200
ko:K03072	senq:AU40_02205
ko:K03074	senq:AU40_02210
ko:K06996	senq:AU40_02215
ko:K18862	senq:AU40_02230
ko:K05517	senq:AU40_02235
ko:K07738	senq:AU40_02250
ko:K11752	senq:AU40_02255
ko:K00794	senq:AU40_02260
ko:K03625	senq:AU40_02265
ko:K00946	senq:AU40_02270
ko:K01095	senq:AU40_02275
ko:K01662	senq:AU40_02285
ko:K00795	senq:AU40_02290
ko:K03602	senq:AU40_02295
ko:K03151	senq:AU40_02305
ko:K11082	senq:AU40_02310
ko:K11083	senq:AU40_02315
ko:K11084	senq:AU40_02320
ko:K10038	senq:AU40_04455
ko:K10037	senq:AU40_04460
ko:K10036	senq:AU40_04465
ko:K04047	senq:AU40_04475
ko:K11939	senq:AU40_04480
ko:K11934	senq:AU40_04485
ko:K11924	senq:AU40_04500
ko:K19235	senq:AU40_04510
ko:K07757	senq:AU40_04525
ko:K07757	senq:AU40_04535
ko:K00656	senq:AU40_04540
ko:K04069	senq:AU40_04545
ko:K03750	senq:AU40_04555
ko:K13051	senq:AU40_04560
ko:K13892	senq:AU40_04565
ko:K13889	senq:AU40_04570
ko:K13890	senq:AU40_04575
ko:K13891	senq:AU40_04580
ko:K14441	senq:AU40_04590
ko:K14055	senq:AU40_07955
ko:K00567	senq:AU40_07965
ko:K16074	senq:AU40_07980
ko:K05591	senq:AU40_08000
ko:K14058	senq:AU40_08005
ko:K18919	senq:AU40_08085
ko:K03297	senq:AU40_08145
ko:K14061	senq:AU40_08150
ko:K03737	senq:AU40_08160
ko:K03668	senq:AU40_08175
ko:K03778	senq:AU40_08180
ko:K09978	senq:AU40_08195
ko:K01118	senq:AU40_08205
ko:K03578	senq:AU40_08210
ko:K12262	senq:AU40_08220
ko:K02029	senq:AU40_08245
ko:K02028	senq:AU40_08250
ko:K02029	senq:AU40_08255
ko:K02030	senq:AU40_08260
ko:K15349	senq:AU40_08270
ko:K00121	senq:AU40_08290
ko:K05876	senq:AU40_08295
ko:K00113	senq:AU40_12850
ko:K18015	senq:AU40_12855
ko:K12660	senq:AU40_12865
ko:K12661	senq:AU40_12875
ko:K12944	senq:AU40_12895
ko:K07806	senq:AU40_12910
ko:K10012	senq:AU40_12915
ko:K10011	senq:AU40_12920
ko:K13014	senq:AU40_12925
ko:K07264	senq:AU40_12930
ko:K12962	senq:AU40_12935
ko:K12963	senq:AU40_12940
ko:K19238	senq:AU40_12945
ko:K01911	senq:AU40_12950
ko:K02549	senq:AU40_12955
ko:K01661	senq:AU40_12960
ko:K08680	senq:AU40_12965
ko:K02551	senq:AU40_12970
ko:K02552	senq:AU40_12975
ko:K05594	senq:AU40_12980
ko:K02348	senq:AU40_12985
ko:K00784	senq:AU40_12990
ko:K03415	senq:AU40_12995
ko:K07114	senq:AU40_13000
ko:K00343	senq:AU40_13015
ko:K00342	senq:AU40_13020
ko:K00341	senq:AU40_13025
ko:K00340	senq:AU40_13030
ko:K00339	senq:AU40_13035
ko:K00338	senq:AU40_13040
ko:K00337	senq:AU40_13045
ko:K00336	senq:AU40_13050
ko:K00335	senq:AU40_13055
ko:K00334	senq:AU40_13060
ko:K13378	senq:AU40_13065
ko:K00331	senq:AU40_13070
ko:K00330	senq:AU40_13075
ko:K14260	senq:AU40_13105
ko:K08722	senq:AU40_13110
ko:K09161	senq:AU40_13125
ko:K09899	senq:AU40_13130
ko:K00925	senq:AU40_13145
ko:K13788	senq:AU40_13150
ko:K02034	senq:AU40_10375
ko:K02033	senq:AU40_10380
ko:K02035	senq:AU40_10385
ko:K01407	senq:AU40_16230
ko:K03583	senq:AU40_16235
ko:K02681	senq:AU40_16240
ko:K02680	senq:AU40_16250
ko:K02679	senq:AU40_16255
ko:K13292	senq:AU40_16270
ko:K08484	senq:AU40_16280
ko:K08311	senq:AU40_16285
ko:K03573	senq:AU40_16305
ko:K08227	senq:AU40_16325
ko:K05939	senq:AU40_16330
ko:K02529	senq:AU40_16335
ko:K01586	senq:AU40_16345
ko:K02100	senq:AU40_16360
ko:K00065	senq:AU40_16365
ko:K01815	senq:AU40_16370
ko:K00626	senq:AU40_16375
ko:K18828	senq:AU40_16450
ko:K18829	senq:AU40_16455
ko:K12943	senq:AU40_16480
ko:K01823	senq:AU40_16485
ko:K04567	senq:AU40_16490
ko:K02836	senq:AU40_16495
ko:K07462	senq:AU40_16505
ko:K03981	senq:AU40_16510
ko:K04763	senq:AU40_16515
ko:K03840	senq:AU40_16520
ko:K19168	senq:AU40_16525
ko:K09159	senq:AU40_16530
ko:K03559	senq:AU40_17195
ko:K03561	senq:AU40_17200
ko:K01760	senq:AU40_17210
ko:K08325	senq:AU40_17230
ko:K06221	senq:AU40_17235
ko:K03319	senq:AU40_17240
ko:K00655	senq:AU40_17280
ko:K02621	senq:AU40_17285
ko:K07666	senq:AU40_17310
ko:K07645	senq:AU40_17315
ko:K03923	senq:AU40_17325
ko:K02622	senq:AU40_17335
ko:K07000	senq:AU40_17340
ko:K03651	senq:AU40_17345
ko:K09920	senq:AU40_17350
ko:K01515	senq:AU40_17355
ko:K12340	senq:AU40_17360
ko:K07238	senq:AU40_17385
ko:K03673	senq:AU40_17400
ko:K02858	senq:AU40_17410
ko:K09806	senq:AU40_17415
ko:K03272	senq:AU40_17440
ko:K00982	senq:AU40_17445
ko:K18446	senq:AU40_17450
ko:K07184	senq:AU40_17460
ko:K00974	senq:AU40_17465
ko:K06153	senq:AU40_17470
ko:K01633	senq:AU40_17475
ko:K08591	senq:AU40_17480
ko:K03569	senq:AU40_18405
ko:K18765	senq:AU40_18420
ko:K17247	senq:AU40_18435
ko:K02160	senq:AU40_18450
ko:K01961	senq:AU40_18455
ko:K14392	senq:AU40_18465
ko:K02687	senq:AU40_18470
ko:K05540	senq:AU40_18480
ko:K03557	senq:AU40_18485
ko:K07319	senq:AU40_18490
ko:K18140	senq:AU40_18505
ko:K18141	senq:AU40_18510
ko:K18142	senq:AU40_18515
ko:K00014	senq:AU40_18585
ko:K07566	senq:AU40_18590
ko:K07479	senq:AU40_18595
ko:K03747	senq:AU40_18600
ko:K04096	senq:AU40_18605
ko:K01462	senq:AU40_18610
ko:K00604	senq:AU40_18615
ko:K03500	senq:AU40_18620
ko:K03499	senq:AU40_18625
ko:K03282	senq:AU40_18630
ko:K09890	senq:AU40_18635
ko:K02879	senq:AU40_18650
ko:K03040	senq:AU40_18655
ko:K02986	senq:AU40_18660
ko:K02948	senq:AU40_18665
ko:K02952	senq:AU40_18670
ko:K03076	senq:AU40_18690
ko:K02876	senq:AU40_18695
ko:K02907	senq:AU40_18700
ko:K02988	senq:AU40_18705
ko:K02881	senq:AU40_18710
ko:K02933	senq:AU40_18715
ko:K02994	senq:AU40_18720
ko:K02954	senq:AU40_18725
ko:K02931	senq:AU40_18730
ko:K02895	senq:AU40_18735
ko:K07726	senq:AU40_19960
ko:K03704	senq:AU40_19965
ko:K03830	senq:AU40_19985
ko:K01879	senq:AU40_20000
ko:K01878	senq:AU40_20005
ko:K00854	senq:AU40_20025
ko:K01805	senq:AU40_20030
ko:K02529	senq:AU40_20040
ko:K03796	senq:AU40_20045
ko:K01176	senq:AU40_20055
ko:K00835	senq:AU40_20060
ko:K08092	senq:AU40_20080
ko:K00880	senq:AU40_20110
ko:K09955	senq:AU40_20135
ko:K00138	senq:AU40_20145
ko:K03833	senq:AU40_20155
ko:K01042	senq:AU40_20160
ko:K02798	senq:AU40_20175
ko:K02799	senq:AU40_20175
ko:K02800	senq:AU40_20175
ko:K00009	senq:AU40_20185
ko:K02562	senq:AU40_20190
ko:K14762	senq:AU40_20200
ko:K00427	senq:AU40_20215
ko:K14348	senq:AU40_20220
ko:K00101	senq:AU40_20225
ko:K03216	senq:AU40_20230
ko:K06145	senq:AU40_20235
ko:K03535	senq:AU40_20250
ko:K00640	senq:AU40_20255
ko:K01825	senq:AU40_21785
ko:K03498	senq:AU40_21805
ko:K00230	senq:AU40_21810
ko:K03753	senq:AU40_21840
ko:K03752	senq:AU40_21845
ko:K09896	senq:AU40_21850
ko:K03673	senq:AU40_21860
ko:K03978	senq:AU40_21885
ko:K09894	senq:AU40_21905
ko:K07712	senq:AU40_21925
ko:K07708	senq:AU40_21930
ko:K01915	senq:AU40_21940
ko:K06207	senq:AU40_21950
ko:K03292	senq:AU40_21995
ko:K15922	senq:AU40_22000
ko:K18479	senq:AU40_22010
ko:K01671	senq:AU40_22015
ko:K08318	senq:AU40_22020
ko:K18478	senq:AU40_22030
ko:K07058	senq:AU40_22045
ko:K07560	senq:AU40_22050
ko:K18831	senq:AU40_22060
ko:K19166	senq:AU40_22065
ko:K02380	senq:AU40_22085
ko:K00127	senq:AU40_22090
ko:K00124	senq:AU40_22095
ko:K00123	senq:AU40_22100
ko:K00123	senq:AU40_22105
ko:K02379	senq:AU40_22110
ko:K03773	senq:AU40_24050
ko:K07322	senq:AU40_24070
ko:K01119	senq:AU40_24090
ko:K01082	senq:AU40_24100
ko:K07109	senq:AU40_24105
ko:K07304	senq:AU40_24120
ko:K07278	senq:AU40_24125
ko:K09800	senq:AU40_24130
ko:K01507	senq:AU40_24150
ko:K03841	senq:AU40_24155
ko:K02558	senq:AU40_24165
ko:K09889	senq:AU40_24170
ko:K03592	senq:AU40_24175
ko:K15536	senq:AU40_24180
ko:K01465	senq:AU40_24210
ko:K01042	senq:AU40_24215
ko:K18918	senq:AU40_24230
ko:K06218	senq:AU40_24235
ko:K01226	senq:AU40_24260
ko:K02818	senq:AU40_24265
ko:K02819	senq:AU40_24265
ko:K03485	senq:AU40_24270
ko:K01531	senq:AU40_24280
ko:K09022	senq:AU40_24290
ko:K00610	senq:AU40_24295
ko:K00609	senq:AU40_24300
ko:K00611	senq:AU40_24325
ko:K00926	senq:AU40_24330
ko:K01478	senq:AU40_24335
ko:K07483	senq:AU40_01770
ko:K01703	senq:AU40_01795
ko:K01704	senq:AU40_01800
ko:K01561	senq:AU40_01810
ko:K07347	senq:AU40_01840
ko:K07345	senq:AU40_01850
ko:K03517	senq:AU40_04050
ko:K03811	senq:AU40_04055
ko:K16264	senq:AU40_04060
ko:K01626	senq:AU40_04070
ko:K01678	senq:AU40_04075
ko:K01677	senq:AU40_04080
ko:K01573	senq:AU40_04100
ko:K01571	senq:AU40_04105
ko:K01572	senq:AU40_04110
ko:K02015	senq:AU40_04120
ko:K02013	senq:AU40_04125
ko:K01834	senq:AU40_04130
ko:K01785	senq:AU40_04140
ko:K00849	senq:AU40_04145
ko:K00965	senq:AU40_04150
ko:K01784	senq:AU40_04155
ko:K01752	senq:AU40_07025
ko:K01665	senq:AU40_07035
ko:K09917	senq:AU40_07040
ko:K14742	senq:AU40_07055
ko:K07285	senq:AU40_07060
ko:K01897	senq:AU40_07070
ko:K03684	senq:AU40_07075
ko:K03608	senq:AU40_07080
