ko:K14224	ccof:VC76_04355
ko:K11013	ccof:VC76_01515
ko:K11382	ccof:VC76_01520
ko:K03787	ccof:VC76_01540
ko:K03830	ccof:VC76_01550
ko:K01579	ccof:VC76_01555
ko:K01918	ccof:VC76_01560
ko:K00606	ccof:VC76_01565
ko:K02687	ccof:VC76_05490
ko:K03413	ccof:VC76_05495
ko:K15912	ccof:VC76_05500
ko:K15910	ccof:VC76_05505
ko:K15913	ccof:VC76_05510
ko:K15914	ccof:VC76_05520
ko:K17251	ccof:VC76_05525
ko:K17248	ccof:VC76_05530
ko:K17250	ccof:VC76_05535
ko:K17249	ccof:VC76_05540
ko:K01784	ccof:VC76_05550
ko:K07501	ccof:VC76_05555
ko:K02841	ccof:VC76_05560
ko:K02517	ccof:VC76_05565
ko:K12452	ccof:VC76_05590
ko:K02377	ccof:VC76_05595
ko:K01652	ccof:VC76_05600
ko:K01709	ccof:VC76_05605
ko:K00978	ccof:VC76_05610
ko:K12452	ccof:VC76_05625
ko:K02377	ccof:VC76_05630
ko:K01711	ccof:VC76_05635
ko:K00971	ccof:VC76_05640
ko:K02843	ccof:VC76_05650
ko:K07270	ccof:VC76_05655
ko:K03271	ccof:VC76_05660
ko:K03272	ccof:VC76_05665
ko:K03274	ccof:VC76_05670
ko:K03273	ccof:VC76_05675
ko:K08738	ccof:VC76_05680
ko:K17686	ccof:VC76_05690
ko:K03628	ccof:VC76_05695
ko:K02343	ccof:VC76_05700
ko:K01533	ccof:VC76_05705
ko:K03531	ccof:VC76_03415
ko:K02392	ccof:VC76_03420
ko:K02392	ccof:VC76_03425
ko:K01915	ccof:VC76_03430
ko:K08303	ccof:VC76_03440
ko:K01588	ccof:VC76_03445
ko:K01878	ccof:VC76_03455
ko:K07164	ccof:VC76_03465
ko:K02527	ccof:VC76_03470
ko:K06180	ccof:VC76_03475
ko:K03106	ccof:VC76_03480
ko:K02959	ccof:VC76_03485
ko:K06960	ccof:VC76_03490
ko:K02860	ccof:VC76_03495
ko:K00554	ccof:VC76_03500
ko:K02884	ccof:VC76_03505
ko:K07127	ccof:VC76_03510
ko:K01626	ccof:VC76_03515
ko:K02337	ccof:VC76_03525
ko:K06997	ccof:VC76_03530
ko:K02406	ccof:VC76_03535
ko:K02493	ccof:VC76_03545
ko:K06013	ccof:VC76_03550
ko:K03831	ccof:VC76_03560
ko:K03284	ccof:VC76_03565
ko:K02055	ccof:VC76_03570
ko:K02054	ccof:VC76_03585
ko:K02053	ccof:VC76_03590
ko:K02052	ccof:VC76_03595
ko:K02030	ccof:VC76_03605
ko:K07496	ccof:VC76_03635
ko:K03832	ccof:VC76_03640
ko:K16089	ccof:VC76_03645
ko:K03705	ccof:VC76_03650
ko:K03687	ccof:VC76_03655
ko:K04043	ccof:VC76_03660
ko:K13747	ccof:VC76_07490
ko:K03636	ccof:VC76_07500
ko:K03635	ccof:VC76_07505
ko:K03750	ccof:VC76_07510
ko:K03326	ccof:VC76_07530
ko:K01933	ccof:VC76_07540
ko:K00859	ccof:VC76_07545
ko:K01778	ccof:VC76_07550
ko:K03796	ccof:VC76_07555
ko:K07133	ccof:VC76_07560
ko:K04047	ccof:VC76_07570
ko:K01810	ccof:VC76_07575
ko:K00963	ccof:VC76_07580
ko:K01895	ccof:VC76_07585
ko:K06857	ccof:VC76_07590
ko:K05773	ccof:VC76_07595
ko:K05772	ccof:VC76_07600
ko:K07160	ccof:VC76_07605
ko:K03923	ccof:VC76_07635
ko:K03098	ccof:VC76_07645
ko:K13979	ccof:VC76_07650
ko:K01153	ccof:VC76_07655
ko:K01154	ccof:VC76_07670
ko:K03427	ccof:VC76_07680
ko:K07002	ccof:VC76_07685
ko:K02846	ccof:VC76_07690
ko:K03781	ccof:VC76_07700
ko:K07089	ccof:VC76_07705
ko:K03325	ccof:VC76_07720
ko:K03406	ccof:VC76_07730
ko:K02412	ccof:VC76_07735
ko:K01495	ccof:VC76_07740
ko:K02017	ccof:VC76_01585
ko:K02018	ccof:VC76_01590
ko:K02020	ccof:VC76_01600
ko:K02169	ccof:VC76_01605
ko:K09789	ccof:VC76_01610
ko:K00652	ccof:VC76_01615
ko:K07126	ccof:VC76_01620
ko:K00833	ccof:VC76_01625
ko:K01935	ccof:VC76_01630
ko:K18925	ccof:VC76_01635
ko:K18924	ccof:VC76_01640
ko:K02897	ccof:VC76_01645
ko:K01056	ccof:VC76_01650
ko:K11720	ccof:VC76_01655
ko:K01586	ccof:VC76_01660
ko:K02566	ccof:VC76_01665
ko:K14170	ccof:VC76_01670
ko:K00817	ccof:VC76_01675
ko:K02409	ccof:VC76_01680
ko:K02410	ccof:VC76_01685
ko:K02411	ccof:VC76_01690
ko:K01662	ccof:VC76_01695
ko:K09825	ccof:VC76_01700
ko:K03183	ccof:VC76_01710
ko:K07793	ccof:VC76_01715
ko:K07794	ccof:VC76_01720
ko:K07795	ccof:VC76_01725
ko:K03601	ccof:VC76_01730
ko:K00831	ccof:VC76_01735
ko:K00648	ccof:VC76_01740
ko:K03621	ccof:VC76_01745
ko:K02911	ccof:VC76_01750
ko:K00940	ccof:VC76_01760
ko:K03386	ccof:VC76_01770
ko:K02401	ccof:VC76_01775
ko:K02557	ccof:VC76_01780
ko:K02556	ccof:VC76_01785
ko:K03701	ccof:VC76_01815
ko:K07090	ccof:VC76_01820
ko:K01657	ccof:VC76_01825
ko:K13497	ccof:VC76_01830
ko:K16264	ccof:VC76_05715
ko:K09981	ccof:VC76_05720
ko:K00016	ccof:VC76_05735
ko:K03768	ccof:VC76_05755
ko:K11743	ccof:VC76_05765
ko:K11742	ccof:VC76_05770
ko:K01887	ccof:VC76_05775
ko:K03116	ccof:VC76_05780
ko:K00942	ccof:VC76_05785
ko:K02421	ccof:VC76_05795
ko:K02003	ccof:VC76_05800
ko:K02357	ccof:VC76_05805
ko:K02967	ccof:VC76_05810
ko:K00574	ccof:VC76_05815
ko:K00413	ccof:VC76_05820
ko:K00412	ccof:VC76_05825
ko:K00411	ccof:VC76_05830
ko:K03893	ccof:VC76_05835
ko:K03495	ccof:VC76_05840
ko:K11103	ccof:VC76_05860
ko:K03306	ccof:VC76_05870
ko:K01465	ccof:VC76_05875
ko:K00057	ccof:VC76_05880
ko:K02434	ccof:VC76_05885
ko:K07173	ccof:VC76_05890
ko:K02073	ccof:VC76_05900
ko:K00549	ccof:VC76_05905
ko:K00297	ccof:VC76_05910
ko:K02108	ccof:VC76_05920
ko:K04485	ccof:VC76_05925
ko:K03110	ccof:VC76_05950
ko:K01772	ccof:VC76_02640
ko:K13017	ccof:VC76_02655
ko:K01872	ccof:VC76_02660
ko:K06287	ccof:VC76_02665
ko:K05366	ccof:VC76_02670
ko:K03695	ccof:VC76_02675
ko:K03797	ccof:VC76_02685
ko:K01923	ccof:VC76_02690
ko:K01952	ccof:VC76_02695
ko:K01952	ccof:VC76_02700
ko:K00655	ccof:VC76_02710
ko:K06199	ccof:VC76_02715
ko:K04079	ccof:VC76_02720
ko:K03324	ccof:VC76_02735
ko:K03587	ccof:VC76_02740
ko:K02408	ccof:VC76_02745
ko:K02388	ccof:VC76_02750
ko:K02387	ccof:VC76_02755
ko:K07082	ccof:VC76_02760
ko:K00031	ccof:VC76_02770
ko:K00024	ccof:VC76_02775
ko:K01903	ccof:VC76_02780
ko:K01902	ccof:VC76_02785
ko:K00176	ccof:VC76_02790
ko:K00174	ccof:VC76_02795
ko:K00175	ccof:VC76_02800
ko:K00177	ccof:VC76_02805
ko:K02523	ccof:VC76_02820
ko:K02492	ccof:VC76_02825
ko:K01881	ccof:VC76_02830
ko:K01649	ccof:VC76_02835
ko:K01749	ccof:VC76_02840
ko:K03182	ccof:VC76_02845
ko:K06603	ccof:VC76_02850
ko:K02407	ccof:VC76_02855
ko:K02422	ccof:VC76_02860
ko:K02356	ccof:VC76_02870
ko:K00147	ccof:VC76_02880
ko:K00384	ccof:VC76_02885
ko:K01409	ccof:VC76_06730
ko:K00099	ccof:VC76_06745
ko:K00981	ccof:VC76_06750
ko:K03752	ccof:VC76_06765
ko:K01058	ccof:VC76_06770
ko:K02015	ccof:VC76_06775
ko:K02015	ccof:VC76_06780
ko:K02013	ccof:VC76_06785
ko:K02016	ccof:VC76_06790
ko:K03385	ccof:VC76_06805
ko:K15876	ccof:VC76_06810
ko:K00937	ccof:VC76_06815
ko:K03407	ccof:VC76_06830
ko:K03551	ccof:VC76_06835
ko:K01679	ccof:VC76_06845
ko:K00820	ccof:VC76_06850
ko:K00990	ccof:VC76_06855
ko:K18285	ccof:VC76_06860
ko:K06901	ccof:VC76_06865
ko:K00769	ccof:VC76_06870
ko:K04754	ccof:VC76_06875
ko:K07323	ccof:VC76_06880
ko:K07003	ccof:VC76_06885
ko:K02428	ccof:VC76_06890
ko:K03981	ccof:VC76_06910
ko:K03833	ccof:VC76_06915
ko:K01042	ccof:VC76_06920
ko:K07017	ccof:VC76_06930
ko:K03839	ccof:VC76_06935
ko:K03781	ccof:VC76_06950
ko:K06867	ccof:VC76_06955
ko:K03326	ccof:VC76_06970
ko:K01760	ccof:VC76_06975
ko:K00812	ccof:VC76_03685
ko:K00640	ccof:VC76_03690
ko:K01585	ccof:VC76_03695
ko:K01892	ccof:VC76_03700
ko:K00943	ccof:VC76_03705
ko:K00954	ccof:VC76_03710
ko:K03186	ccof:VC76_03715
ko:K02386	ccof:VC76_03720
ko:K02073	ccof:VC76_03725
ko:K02073	ccof:VC76_03730
ko:K02073	ccof:VC76_03735
ko:K02072	ccof:VC76_03740
ko:K02071	ccof:VC76_03745
ko:K01873	ccof:VC76_03750
ko:K03657	ccof:VC76_03760
ko:K11065	ccof:VC76_03775
ko:K02567	ccof:VC76_03780
ko:K02573	ccof:VC76_03785
ko:K02574	ccof:VC76_03790
ko:K02568	ccof:VC76_03795
ko:K02570	ccof:VC76_03805
ko:K00974	ccof:VC76_03840
ko:K01433	ccof:VC76_03845
ko:K07088	ccof:VC76_03850
ko:K05939	ccof:VC76_03855
ko:K01929	ccof:VC76_03860
ko:K01921	ccof:VC76_03875
ko:K03550	ccof:VC76_03880
ko:K03980	ccof:VC76_03890
ko:K01883	ccof:VC76_03895
ko:K11085	ccof:VC76_03900
ko:K00254	ccof:VC76_03905
ko:K01714	ccof:VC76_03915
ko:K00076	ccof:VC76_03920
ko:K03545	ccof:VC76_07745
ko:K01358	ccof:VC76_07750
ko:K01462	ccof:VC76_07755
ko:K07391	ccof:VC76_07760
ko:K11175	ccof:VC76_07775
ko:K06193	ccof:VC76_07805
ko:K08224	ccof:VC76_07820
ko:K17938	ccof:VC76_07825
ko:K03832	ccof:VC76_07830
ko:K03559	ccof:VC76_07835
ko:K03561	ccof:VC76_07840
ko:K16087	ccof:VC76_07845
ko:K02012	ccof:VC76_07860
ko:K02011	ccof:VC76_07865
ko:K02010	ccof:VC76_07870
ko:K00290	ccof:VC76_07875
ko:K04564	ccof:VC76_07880
ko:K00791	ccof:VC76_07905
ko:K03179	ccof:VC76_07910
ko:K03639	ccof:VC76_07925
ko:K01737	ccof:VC76_07935
ko:K09761	ccof:VC76_07950
ko:K02909	ccof:VC76_07955
ko:K07056	ccof:VC76_07960
ko:K03218	ccof:VC76_07965
ko:K14261	ccof:VC76_07980
ko:K00003	ccof:VC76_07985
ko:K07460	ccof:VC76_07990
ko:K03671	ccof:VC76_07995
ko:K00384	ccof:VC76_08000
ko:K07093	ccof:VC76_08005
ko:K15899	ccof:VC76_06595
ko:K07216	ccof:VC76_00350
ko:K07216	ccof:VC76_00355
ko:K07344	ccof:VC76_09445
ko:K07216	ccof:VC76_00740
ko:K07216	ccof:VC76_00745
ko:K07216	ccof:VC76_00750
ko:K00549	ccof:VC76_02650
ko:K10938	ccof:VC76_03765
ko:K10938	ccof:VC76_03770
ko:K07147	ccof:VC76_01990
ko:K09796	ccof:VC76_04585
ko:K20266	ccof:VC76_09435
ko:K20810	ccof:VC76_00335
ko:K01977	ccof:VC76_00149
ko:K14227	ccof:VC76_00155
ko:K14227	ccof:VC76_03615
ko:K14227	ccof:VC76_02250
ko:K01985	ccof:VC76_00165
ko:K01985	ccof:VC76_02260
ko:K01985	ccof:VC76_03625
ko:K14224	ccof:VC76_07895
ko:K14234	ccof:VC76_02455
ko:K14234	ccof:VC76_02470
ko:K14236	ccof:VC76_02460
ko:K14225	ccof:VC76_02465
ko:K14225	ccof:VC76_00730
ko:K14225	ccof:VC76_04480
ko:K14219	ccof:VC76_02595
ko:K14230	ccof:VC76_06430
ko:K14230	ccof:VC76_02915
ko:K14223	ccof:VC76_06425
ko:K14228	ccof:VC76_04720
ko:K14228	ccof:VC76_00725
ko:K14221	ccof:VC76_04345
ko:K14221	ccof:VC76_04365
ko:K14237	ccof:VC76_04340
ko:K14237	ccof:VC76_04360
ko:K14237	ccof:VC76_08535
ko:K14229	ccof:VC76_04335
ko:K14229	ccof:VC76_04350
ko:K14220	ccof:VC76_06090
ko:K14231	ccof:VC76_06435
ko:K14233	ccof:VC76_00715
ko:K14233	ccof:VC76_08515
ko:K15035	ccof:VC76_06825
ko:K14222	ccof:VC76_00720
ko:K14232	ccof:VC76_08290
ko:K14218	ccof:VC76_08530
ko:K00946	ccof:VC76_07200
ko:K03200	ccof:VC76_09080
ko:K01980	ccof:VC76_00160
ko:K14228	ccof:VC76_08270
ko:K14226	ccof:VC76_08285
ko:K20527	ccof:VC76_09395
ko:K20531	ccof:VC76_09455
ko:K20529	ccof:VC76_09405
ko:K20532	ccof:VC76_09460
ko:K20533	ccof:VC76_09470
ko:K20528	ccof:VC76_09400
ko:K03197	ccof:VC76_09110
ko:K20530	ccof:VC76_09410
ko:K03195	ccof:VC76_09055
ko:K03199	ccof:VC76_09105
ko:K14219	ccof:VC76_08275
ko:K14219	ccof:VC76_04895
ko:K14233	ccof:VC76_06800
ko:K14238	ccof:VC76_07410
ko:K01980	ccof:VC76_02255
ko:K01980	ccof:VC76_03620
ko:K14219	ccof:VC76_08280
ko:K00821	ccof:VC76_01190
ko:K02335	ccof:VC76_01790
ko:K03465	ccof:VC76_00130
ko:K10747	ccof:VC76_08295
ko:K03553	ccof:VC76_08315
ko:K02316	ccof:VC76_00590
ko:K06919	ccof:VC76_09160
ko:K02314	ccof:VC76_02900
ko:K02483	ccof:VC76_03020
ko:K02483	ccof:VC76_01875
ko:K02483	ccof:VC76_06100
ko:K02032	ccof:VC76_00995
ko:K02481	ccof:VC76_04980
ko:K01139	ccof:VC76_02965
ko:K00526	ccof:VC76_01210
ko:K21420	ccof:VC76_05035
ko:K13695	ccof:VC76_00515
ko:K01420	ccof:VC76_00400
ko:K10026	ccof:VC76_07930
ko:K21600	ccof:VC76_02680
ko:K21929	ccof:VC76_04210
ko:K03741	ccof:VC76_07715
ko:K03595	ccof:VC76_03295
ko:K22278	ccof:VC76_05935
ko:K14441	ccof:VC76_07175
ko:K17758	ccof:VC76_07770
ko:K17759	ccof:VC76_07770
ko:K22391	ccof:VC76_03460
ko:K22477	ccof:VC76_01180
