ko:K03168	bapu:BUMPUSDA_CDS00313
ko:K03271	bapu:BUMPUSDA_CDS00346
ko:K00769	bapu:BUMPUSDA_CDS00345
ko:K03687	bapu:BUMPUSDA_CDS00344
ko:K09801	bapu:BUMPUSDA_CDS00343
ko:K03664	bapu:BUMPUSDA_CDS00342
ko:K11991	bapu:BUMPUSDA_CDS00341
ko:K00997	bapu:BUMPUSDA_CDS00340
ko:K03685	bapu:BUMPUSDA_CDS00338
ko:K03100	bapu:BUMPUSDA_CDS00337
ko:K03596	bapu:BUMPUSDA_CDS00336
ko:K00566	bapu:BUMPUSDA_CDS00335
ko:K07153	bapu:BUMPUSDA_CDS00334
ko:K01756	bapu:BUMPUSDA_CDS00333
ko:K00208	bapu:BUMPUSDA_CDS00331
ko:K01147	bapu:BUMPUSDA_CDS00330
ko:K03801	bapu:BUMPUSDA_CDS00328
ko:K03644	bapu:BUMPUSDA_CDS00327
ko:K01591	bapu:BUMPUSDA_CDS00326
ko:K01497	bapu:BUMPUSDA_CDS00325
ko:K06131	bapu:BUMPUSDA_CDS00324
ko:K10806	bapu:BUMPUSDA_CDS00323
ko:K06190	bapu:BUMPUSDA_CDS00322
ko:K01695	bapu:BUMPUSDA_CDS00320
ko:K01696	bapu:BUMPUSDA_CDS00319
ko:K13498	bapu:BUMPUSDA_CDS00318
ko:K00766	bapu:BUMPUSDA_CDS00317
ko:K06178	bapu:BUMPUSDA_CDS00315
ko:K04774	bapu:BUMPUSDA_CDS00314
ko:K02416	bapu:BUMPUSDA_CDS00512
ko:K18889	bapu:BUMPUSDA_CDS00120
ko:K07790	bapu:BUMPUSDA_CDS00316
ko:K03111	bapu:BUMPUSDA_CDS00058
ko:K00335	bapu:BUMPUSDA_CDS00436
ko:K03526	bapu:BUMPUSDA_CDS00310
ko:K14742	bapu:BUMPUSDA_CDS00269
ko:K02777	bapu:BUMPUSDA_CDS00526
ko:K04771	bapu:BUMPUSDA_CDS00366
ko:K01498	bapu:BUMPUSDA_CDS00139
ko:K00336	bapu:BUMPUSDA_CDS00435
ko:K19304	bapu:BUMPUSDA_CDS00274
ko:K00821	bapu:BUMPUSDA_CDS00069
ko:K19810	bapu:BUMPUSDA_CDS00566
ko:K18890	bapu:BUMPUSDA_CDS00119
ko:K00525	bapu:BUMPUSDA_CDS00415
ko:K00526	bapu:BUMPUSDA_CDS00416
ko:K02315	bapu:BUMPUSDA_CDS00564
ko:K02316	bapu:BUMPUSDA_CDS00533
ko:K00560	bapu:BUMPUSDA_CDS00159
ko:K00287	bapu:BUMPUSDA_CDS00451
ko:K02314	bapu:BUMPUSDA_CDS00057
ko:K01520	bapu:BUMPUSDA_CDS00045
ko:K02335	bapu:BUMPUSDA_CDS00168
ko:K03595	bapu:BUMPUSDA_CDS00339
ko:K02257	bapu:BUMPUSDA_CDS00132
