ko:K00942	aby:ABAYE0312
ko:K02034	aby:ABAYE2041
ko:K02031	aby:ABAYE2040
ko:K02032	aby:ABAYE2040
ko:K02553	aby:ABAYE2033
ko:K04755	aby:ABAYE2026
ko:K04044	aby:ABAYE2025
ko:K04082	aby:ABAYE2024
ko:K04488	aby:ABAYE2022
ko:K03555	aby:ABAYE2476
ko:K05524	aby:ABAYE2479
ko:K02170	aby:ABAYE3005
ko:K05541	aby:ABAYE3019
ko:K02624	aby:ABAYE1690
ko:K02616	aby:ABAYE2365
ko:K02611	aby:ABAYE2373
ko:K02073	aby:ABAYE2168
ko:K07275	aby:ABAYE1495
ko:K07708	aby:ABAYE1574
ko:K02838	aby:ABAYE1578
ko:K09001	aby:ABAYE0013
ko:K03060	aby:ABAYE0311
ko:K01963	aby:ABAYE0614
ko:K01548	aby:ABAYE1422
ko:K00425	aby:ABAYE1637
ko:K10773	aby:ABAYE2766
ko:K07639	aby:ABAYE3063
ko:K02335	aby:ABAYE3149
ko:K01704	aby:ABAYE3359
ko:K07462	aby:ABAYE0169
ko:K03575	aby:ABAYE0047
ko:K07645	aby:ABAYE0733
ko:K03885	aby:ABAYE0977
ko:K00130	aby:ABAYE1066
ko:K02013	aby:ABAYE1091
ko:K03897	aby:ABAYE1094
ko:K02363	aby:ABAYE1096
ko:K02361	aby:ABAYE1104
ko:K01779	aby:ABAYE1354
ko:K10679	aby:ABAYE1451
ko:K03736	aby:ABAYE1457
ko:K00362	aby:ABAYE1544
ko:K01679	aby:ABAYE1563
ko:K02769	aby:ABAYE1612
ko:K02770	aby:ABAYE1612
ko:K00219	aby:ABAYE1661
ko:K06222	aby:ABAYE0039
ko:K01589	aby:ABAYE3871
ko:K01588	aby:ABAYE3872
ko:K02558	aby:ABAYE3877
ko:K03981	aby:ABAYE3889
ko:K03536	aby:ABAYE3902
ko:K03781	aby:ABAYE2270
ko:K01273	aby:ABAYE1877
ko:K02018	aby:ABAYE1893
ko:K02050	aby:ABAYE1927
ko:K03710	aby:ABAYE1931
ko:K03644	aby:ABAYE1949
ko:K07223	aby:ABAYE2031
ko:K10004	aby:ABAYE2158
ko:K10002	aby:ABAYE2159
ko:K10001	aby:ABAYE2161
ko:K07734	aby:ABAYE2237
ko:K02029	aby:ABAYE2257
ko:K05306	aby:ABAYE2317
ko:K02012	aby:ABAYE2322
ko:K09927	aby:ABAYE2394
ko:K06867	aby:ABAYE2397
ko:K08995	aby:ABAYE2524
ko:K03616	aby:ABAYE2765
ko:K05515	aby:ABAYE2770
ko:K03811	aby:ABAYE2851
ko:K02167	aby:ABAYE2866
ko:K03543	aby:ABAYE2907
ko:K07071	aby:ABAYE2911
ko:K06997	aby:ABAYE2917
ko:K00059	aby:ABAYE2246
ko:K01032	aby:ABAYE2300
ko:K01031	aby:ABAYE2301
ko:K06446	aby:ABAYE2303
ko:K00074	aby:ABAYE2306
ko:K00626	aby:ABAYE2307
ko:K06446	aby:ABAYE2315
ko:K01118	aby:ABAYE2326
ko:K02613	aby:ABAYE2371
ko:K02618	aby:ABAYE2376
ko:K05550	aby:ABAYE2556
ko:K05784	aby:ABAYE2557
ko:K07644	aby:ABAYE3204
ko:K01657	aby:ABAYE3497
ko:K02668	aby:ABAYE3534
ko:K07347	aby:ABAYE1858
ko:K07267	aby:ABAYE1684
ko:K02625	aby:ABAYE1923
ko:K07345	aby:ABAYE2132
ko:K03325	aby:ABAYE2198
ko:K03885	aby:ABAYE1736
ko:K05589	aby:ABAYE1671
ko:K07659	aby:ABAYE0259
ko:K06959	aby:ABAYE0261
ko:K02048	aby:ABAYE0279
ko:K05366	aby:ABAYE0288
ko:K02665	aby:ABAYE0293
ko:K03744	aby:ABAYE0301
ko:K06872	aby:ABAYE0302
ko:K03594	aby:ABAYE0307
ko:K02192	aby:ABAYE0308
ko:K02655	aby:ABAYE0320
ko:K02860	aby:ABAYE0322
ko:K07090	aby:ABAYE0328
ko:K08160	aby:ABAYE0338
ko:K03496	aby:ABAYE0343
ko:K08151	aby:ABAYE0369
ko:K07168	aby:ABAYE0372
ko:K02065	aby:ABAYE0385
ko:K02067	aby:ABAYE0387
ko:K07323	aby:ABAYE0388
ko:K03284	aby:ABAYE0390
ko:K06966	aby:ABAYE0391
ko:K07044	aby:ABAYE0400
ko:K02886	aby:ABAYE0411
ko:K02965	aby:ABAYE0412
ko:K02890	aby:ABAYE0413
ko:K02982	aby:ABAYE0414
ko:K02878	aby:ABAYE0415
ko:K02874	aby:ABAYE0418
ko:K02895	aby:ABAYE0419
ko:K02994	aby:ABAYE0422
ko:K06915	aby:ABAYE0404
ko:K07722	aby:ABAYE2423
ko:K03641	aby:ABAYE0902
ko:K03640	aby:ABAYE0901
ko:K04485	aby:ABAYE0856
ko:K04078	aby:ABAYE0822
ko:K01956	aby:ABAYE0801
ko:K03624	aby:ABAYE0799
ko:K09158	aby:ABAYE0766
ko:K03652	aby:ABAYE0651
ko:K11179	aby:ABAYE1558
ko:K10763	aby:ABAYE0891
ko:K01920	aby:ABAYE0147
ko:K00163	aby:ABAYE0157
ko:K02836	aby:ABAYE0171
ko:K00375	aby:ABAYE0208
ko:K08224	aby:ABAYE0217
ko:K06188	aby:ABAYE0240
ko:K03599	aby:ABAYE0486
ko:K02996	aby:ABAYE0487
ko:K03672	aby:ABAYE0512
ko:K02015	aby:ABAYE1089
ko:K01262	aby:ABAYE1124
ko:K07644	aby:ABAYE1341
ko:K07507	aby:ABAYE1506
ko:K07183	aby:ABAYE1542
ko:K03543	aby:ABAYE1777
ko:K02617	aby:ABAYE2364
ko:K03305	aby:ABAYE1125
ko:K02650	aby:ABAYE0304
ko:K10016	aby:ABAYE1178
ko:K10015	aby:ABAYE1179
ko:K03585	aby:ABAYE0748
ko:K07090	aby:ABAYE1938
ko:K01081	aby:ABAYE1886
ko:K06136	aby:ABAYE1881
ko:K06138	aby:ABAYE1879
ko:K06139	aby:ABAYE1878
ko:K07112	aby:ABAYE1688
ko:K07112	aby:ABAYE1687
ko:K08195	aby:ABAYE1678
ko:K09771	aby:ABAYE1657
ko:K07146	aby:ABAYE0771
ko:K06938	aby:ABAYE0772
ko:K09781	aby:ABAYE0789
ko:K07054	aby:ABAYE0790
ko:K07443	aby:ABAYE0796
ko:K07574	aby:ABAYE0804
ko:K03761	aby:ABAYE0815
ko:K04077	aby:ABAYE0823
ko:K04760	aby:ABAYE0835
ko:K03111	aby:ABAYE0203
ko:K02663	aby:ABAYE0291
ko:K03600	aby:ABAYE0485
ko:K06908	aby:ABAYE0556
ko:K07395	aby:ABAYE1379
ko:K07240	aby:ABAYE2195
ko:K07240	aby:ABAYE2196
ko:K07459	aby:ABAYE2362
ko:K09712	aby:ABAYE2389
ko:K02050	aby:ABAYE2419
ko:K07160	aby:ABAYE2441
ko:K09774	aby:ABAYE2489
ko:K00783	aby:ABAYE2761
ko:K03192	aby:ABAYE2772
ko:K03188	aby:ABAYE2774
ko:K07400	aby:ABAYE2813
ko:K03664	aby:ABAYE2970
ko:K02494	aby:ABAYE2978
ko:K07040	aby:ABAYE2995
ko:K06024	aby:ABAYE2999
ko:K03594	aby:ABAYE3009
ko:K09928	aby:ABAYE3027
ko:K02221	aby:ABAYE3150
ko:K09889	aby:ABAYE3171
ko:K03690	aby:ABAYE3425
ko:K09748	aby:ABAYE3440
ko:K07735	aby:ABAYE3454
ko:K07275	aby:ABAYE3482
ko:K02864	aby:ABAYE3491
ko:K02601	aby:ABAYE3494
ko:K07738	aby:ABAYE3547
ko:K07782	aby:ABAYE3758
ko:K07483	aby:p3ABAYE0064
ko:K03497	aby:p3ABAYE0112
ko:K06911	aby:ABAYE0213
ko:K08994	aby:ABAYE0522
ko:K03630	aby:ABAYE0523
ko:K06905	aby:ABAYE0552
ko:K06907	aby:ABAYE0557
ko:K02015	aby:ABAYE1090
ko:K02016	aby:ABAYE1092
ko:K06137	aby:ABAYE1880
ko:K09765	aby:ABAYE2392
ko:K04761	aby:ABAYE2801
ko:K09906	aby:ABAYE2996
ko:K02916	aby:ABAYE3164
ko:K03559	aby:ABAYE3318
ko:K09801	aby:ABAYE2922
ko:K03608	aby:ABAYE2936
ko:K02950	aby:ABAYE2949
ko:K06906	aby:ABAYE0553
ko:K06903	aby:ABAYE0561
ko:K04764	aby:ABAYE3158
ko:K03745	aby:ABAYE3340
ko:K02671	aby:ABAYE0315
ko:K09701	aby:ABAYE1345
ko:K03704	aby:ABAYE2352
ko:K03892	aby:ABAYE3657
ko:K08987	aby:ABAYE0198
ko:K02442	aby:ABAYE0199
ko:K04030	aby:ABAYE1069
ko:K03098	aby:ABAYE1342
ko:K03559	aby:ABAYE2079
ko:K03892	aby:ABAYE2199
ko:K02610	aby:ABAYE2374
ko:K07397	aby:ABAYE2587
ko:K03424	aby:ABAYE2884
ko:K06899	aby:ABAYE2892
ko:K06199	aby:ABAYE3387
ko:K09862	aby:ABAYE3391
ko:K02834	aby:ABAYE3437
ko:K03075	aby:ABAYE3442
ko:K09913	aby:ABAYE3451
ko:K04758	aby:ABAYE3527
ko:K08365	aby:ABAYE3601
ko:K09922	aby:ABAYE3874
ko:K09803	aby:p2ABAYE0006
ko:K02046	aby:ABAYE0928
ko:K07002	aby:ABAYE0929
ko:K02048	aby:ABAYE0930
ko:K07082	aby:ABAYE0932
ko:K07107	aby:ABAYE0937
ko:K03596	aby:ABAYE0938
ko:K03595	aby:ABAYE0942
ko:K03584	aby:ABAYE0944
ko:K03474	aby:ABAYE0945
ko:K06169	aby:ABAYE0946
ko:K03702	aby:ABAYE0955
ko:K03098	aby:ABAYE0956
ko:K05786	aby:ABAYE0957
ko:K03979	aby:ABAYE0961
ko:K00459	aby:ABAYE0966
ko:K05896	aby:ABAYE2998
ko:K07233	aby:ABAYE3110
ko:K07233	aby:ABAYE3200
ko:K03561	aby:ABAYE3319
ko:K05817	aby:ABAYE3369
ko:K04083	aby:ABAYE3409
ko:K02452	aby:ABAYE3501
ko:K02463	aby:ABAYE3502
ko:K02039	aby:ABAYE3513
ko:K07727	aby:p3ABAYE0010
ko:K06940	aby:ABAYE0165
ko:K02672	aby:ABAYE0316
ko:K02014	aby:ABAYE1093
ko:K07127	aby:ABAYE1338
ko:K07078	aby:ABAYE1633
ko:K09936	aby:ABAYE1775
ko:K09936	aby:ABAYE1776
ko:K02106	aby:ABAYE1915
ko:K02051	aby:ABAYE1928
ko:K07240	aby:ABAYE1932
ko:K08994	aby:ABAYE1942
ko:K00799	aby:ABAYE2163
ko:K06942	aby:ABAYE2171
ko:K03457	aby:ABAYE2207
ko:K07216	aby:ABAYE2924
ko:K05807	aby:ABAYE2974
ko:K03106	aby:ABAYE3017
ko:K07007	aby:ABAYE3038
ko:K06958	aby:ABAYE3173
ko:K03327	aby:ABAYE3381
ko:K02600	aby:ABAYE3439
ko:K03298	aby:ABAYE3515
ko:K01338	aby:p3ABAYE0066
ko:K03549	aby:ABAYE0234
ko:K02666	aby:ABAYE0294
ko:K05782	aby:ABAYE1507
ko:K02014	aby:ABAYE1922
ko:K03457	aby:ABAYE2145
ko:K08196	aby:ABAYE2302
ko:K08196	aby:ABAYE2316
ko:K03457	aby:ABAYE2331
ko:K05782	aby:ABAYE2559
ko:K03300	aby:ABAYE2787
ko:K02004	aby:ABAYE2806
ko:K02168	aby:ABAYE2864
ko:K03547	aby:ABAYE2915
ko:K02670	aby:ABAYE2919
ko:K03451	aby:ABAYE2963
ko:K03977	aby:ABAYE3259
ko:K04079	aby:ABAYE3480
ko:K02453	aby:ABAYE3500
ko:K03147	aby:ABAYE3518
ko:K08151	aby:ABAYE3597
ko:K03741	aby:ABAYE3658
ko:K01673	aby:ABAYE0262
ko:K03503	aby:ABAYE2264
ko:K09967	aby:ABAYE2429
ko:K02609	aby:ABAYE2375
ko:K04744	aby:ABAYE2086
ko:K03648	aby:ABAYE2066
ko:K02945	aby:ABAYE2061
ko:K02968	aby:ABAYE2035
ko:K06941	aby:ABAYE3266
ko:K03723	aby:ABAYE2029
ko:K03530	aby:ABAYE2017
ko:K07124	aby:ABAYE0847
ko:K02379	aby:ABAYE0851
ko:K03733	aby:ABAYE0864
ko:K03521	aby:ABAYE0865
ko:K03522	aby:ABAYE0866
ko:K01993	aby:ABAYE0874
ko:K02168	aby:ABAYE0190
ko:K03701	aby:ABAYE0195
ko:K07098	aby:ABAYE0499
ko:K00574	aby:ABAYE1348
ko:K08167	aby:ABAYE1518
ko:K05820	aby:ABAYE1535
ko:K03639	aby:ABAYE1549
ko:K03543	aby:ABAYE1796
ko:K10003	aby:ABAYE2160
ko:K06975	aby:ABAYE2258
ko:K02011	aby:ABAYE2320
ko:K02051	aby:ABAYE2421
ko:K05548	aby:ABAYE2560
ko:K08223	aby:ABAYE2830
ko:K00529	aby:ABAYE2843
ko:K03758	aby:ABAYE2872
ko:K08369	aby:ABAYE2879
ko:K03446	aby:ABAYE2906
ko:K03609	aby:ABAYE2935
ko:K03466	aby:ABAYE2939
ko:K03528	aby:ABAYE3011
ko:K03092	aby:ABAYE3136
ko:K02454	aby:ABAYE3145
ko:K04075	aby:ABAYE3152
ko:K02656	aby:ABAYE3265
ko:K06189	aby:ABAYE3400
ko:K02455	aby:ABAYE3406
ko:K05516	aby:ABAYE3411
ko:K03688	aby:ABAYE3426
ko:K05559	aby:ABAYE3431
ko:K05561	aby:ABAYE3433
ko:K02519	aby:ABAYE3438
ko:K03703	aby:ABAYE3465
ko:K03588	aby:ABAYE3523
ko:K04763	aby:ABAYE3528
ko:K02667	aby:ABAYE3535
ko:K08151	aby:ABAYE3637
ko:K04096	aby:ABAYE3707
ko:K03762	aby:p3ABAYE0030
ko:K02114	aby:ABAYE3715
ko:K02112	aby:ABAYE3716
ko:K02115	aby:ABAYE3717
ko:K02111	aby:ABAYE3718
ko:K02113	aby:ABAYE3719
ko:K02109	aby:ABAYE3720
ko:K02621	aby:ABAYE3679
ko:K02346	aby:ABAYE3687
ko:K02500	aby:ABAYE0243
ko:K02204	aby:ABAYE0244
ko:K02501	aby:ABAYE0253
ko:K03316	aby:ABAYE0791
ko:K03634	aby:ABAYE0755
ko:K02899	aby:ABAYE0754
ko:K07088	aby:ABAYE0737
ko:K03760	aby:ABAYE0731
ko:K09946	aby:ABAYE0662
ko:K06193	aby:ABAYE0661
ko:K00507	aby:ABAYE0602
ko:K10806	aby:ABAYE0513
ko:K03438	aby:ABAYE0280
ko:K03587	aby:ABAYE0282
ko:K00265	aby:ABAYE0298
ko:K00266	aby:ABAYE0299
ko:K03177	aby:ABAYE0327
ko:K04565	aby:ABAYE0340
ko:K06447	aby:ABAYE0354
ko:K01484	aby:ABAYE0355
ko:K05526	aby:ABAYE0356
ko:K01879	aby:ABAYE0367
ko:K01878	aby:ABAYE0368
ko:K00631	aby:ABAYE0397
ko:K03040	aby:ABAYE0433
ko:K03816	aby:ABAYE0456
ko:K08309	aby:ABAYE0463
ko:K07568	aby:ABAYE0531
ko:K07664	aby:ABAYE0600
ko:K01696	aby:ABAYE0608
ko:K09780	aby:ABAYE0519
ko:K08998	aby:ABAYE3901
ko:K03665	aby:ABAYE0495
ko:K02871	aby:ABAYE0488
ko:K02876	aby:ABAYE0427
ko:K02907	aby:ABAYE0426
ko:K02881	aby:ABAYE0424
ko:K02954	aby:ABAYE0421
ko:K02931	aby:ABAYE0420
ko:K02961	aby:ABAYE0417
ko:K02904	aby:ABAYE0416
ko:K02892	aby:ABAYE0410
ko:K02926	aby:ABAYE0409
ko:K02906	aby:ABAYE0408
ko:K02946	aby:ABAYE0407
ko:K03978	aby:ABAYE0401
ko:K03655	aby:ABAYE0394
ko:K02066	aby:ABAYE0386
ko:K03923	aby:ABAYE0336
ko:K02884	aby:ABAYE0324
ko:K02959	aby:ABAYE0321
ko:K02664	aby:ABAYE0292
ko:K02662	aby:ABAYE0290
ko:K03586	aby:ABAYE0281
ko:K07638	aby:ABAYE0258
ko:K09799	aby:ABAYE0201
ko:K03531	aby:ABAYE0153
ko:K02014	aby:ABAYE0145
ko:K03611	aby:ABAYE0117
ko:K09975	aby:ABAYE0074
ko:K07478	aby:ABAYE0053
ko:K03453	aby:ABAYE0060
ko:K03046	aby:ABAYE3488
ko:K02474	aby:ABAYE3815
ko:K03772	aby:ABAYE3819
ko:K03773	aby:ABAYE3820
ko:K03980	aby:ABAYE3821
ko:K03673	aby:ABAYE3833
ko:K06177	aby:ABAYE3780
ko:K03777	aby:ABAYE3796
ko:K03767	aby:ABAYE3858
ko:K07119	aby:p3ABAYE0015
ko:K02313	aby:ABAYE0001
ko:K03629	aby:ABAYE0003
ko:K06158	aby:ABAYE0007
ko:K01991	aby:ABAYE3816
ko:K03806	aby:ABAYE3822
ko:K06911	aby:ABAYE3736
ko:K03975	aby:ABAYE3743
ko:K03496	aby:ABAYE3746
ko:K05527	aby:ABAYE3748
ko:K03719	aby:ABAYE3775
ko:K02014	aby:ABAYE3777
ko:K06134	aby:ABAYE1427
ko:K02963	aby:ABAYE1383
ko:K02939	aby:ABAYE1382
ko:K00793	aby:ABAYE3544
ko:K07107	aby:ABAYE3504
ko:K06891	aby:ABAYE1655
ko:K03110	aby:ABAYE1631
ko:K07390	aby:ABAYE1624
ko:K03565	aby:ABAYE1589
ko:K02160	aby:ABAYE1538
ko:K07642	aby:ABAYE0599
ko:K03557	aby:ABAYE1368
ko:K06192	aby:ABAYE1336
ko:K03808	aby:ABAYE1335
ko:K03808	aby:ABAYE1334
ko:K02970	aby:ABAYE1286
ko:K02357	aby:ABAYE1154
ko:K03644	aby:ABAYE1146
ko:K00974	aby:ABAYE1137
ko:K06911	aby:ABAYE1082
ko:K02356	aby:ABAYE1058
ko:K06180	aby:ABAYE2973
ko:K03774	aby:ABAYE3854
ko:K02470	aby:ABAYE0004
ko:K02108	aby:ABAYE3723
ko:K02837	aby:ABAYE3232
ko:K02887	aby:ABAYE3163
ko:K01962	aby:ABAYE3153
ko:K04754	aby:ABAYE3138
ko:K09956	aby:ABAYE3115
ko:K03593	aby:ABAYE3029
ko:K02169	aby:ABAYE3002
ko:K02911	aby:ABAYE2994
ko:K02897	aby:ABAYE2982
ko:K03610	aby:ABAYE2934
ko:K03711	aby:ABAYE2920
ko:K02669	aby:ABAYE2918
ko:K09965	aby:ABAYE2789
ko:K03190	aby:ABAYE2779
ko:K03187	aby:ABAYE2775
ko:K09961	aby:ABAYE2511
ko:K09960	aby:ABAYE2507
ko:K06861	aby:ABAYE2488
ko:K02909	aby:ABAYE1054
ko:K03775	aby:ABAYE0976
ko:K10805	aby:ABAYE0398
ko:K03473	aby:ABAYE0853
ko:K04568	aby:ABAYE0854
ko:K02469	aby:ABAYE0867
ko:K02517	aby:ABAYE0885
ko:K04773	aby:ABAYE0886
ko:K03437	aby:ABAYE0898
ko:K01483	aby:ABAYE0127
ko:K01477	aby:ABAYE0128
ko:K00762	aby:ABAYE0144
ko:K01924	aby:ABAYE0149
ko:K01921	aby:ABAYE0150
ko:K00627	aby:ABAYE0158
ko:K00088	aby:ABAYE0166
ko:K03431	aby:ABAYE0167
ko:K00275	aby:ABAYE0168
ko:K01895	aby:ABAYE0179
ko:K00299	aby:ABAYE0183
ko:K00344	aby:ABAYE0197
ko:K00823	aby:ABAYE0209
ko:K00135	aby:ABAYE0210
ko:K01173	aby:ABAYE0236
ko:K01814	aby:ABAYE0250
ko:K00951	aby:ABAYE3181
ko:K01816	aby:ABAYE3188
ko:K00053	aby:ABAYE3238
ko:K01869	aby:ABAYE3244
ko:K00208	aby:ABAYE3250
ko:K10914	aby:ABAYE2588
ko:K03719	aby:ABAYE1478
ko:K00130	aby:ABAYE2867
ko:K00108	aby:ABAYE2868
ko:K00116	aby:ABAYE2869
ko:K01714	aby:ABAYE2878
ko:K00681	aby:ABAYE2905
ko:K01698	aby:ABAYE2909
ko:K00930	aby:ABAYE2927
ko:K01520	aby:ABAYE2929
ko:K00384	aby:ABAYE2940
ko:K00684	aby:ABAYE2941
ko:K01950	aby:ABAYE2955
ko:K00135	aby:ABAYE2958
ko:K01652	aby:ABAYE2836
ko:K00948	aby:ABAYE2981
ko:K01579	aby:ABAYE2984
ko:K00059	aby:ABAYE2992
ko:K00645	aby:ABAYE2993
ko:K01935	aby:ABAYE3001
ko:K00652	aby:ABAYE3003
ko:K00833	aby:ABAYE3004
ko:K01087	aby:ABAYE3006
ko:K00697	aby:ABAYE3007
ko:K01972	aby:ABAYE3010
ko:K01494	aby:ABAYE3025
ko:K05396	aby:ABAYE3037
ko:K00528	aby:ABAYE3043
ko:K00761	aby:ABAYE3047
ko:K00549	aby:ABAYE3079
ko:K00252	aby:ABAYE3097
ko:K01488	aby:ABAYE3101
ko:K00567	aby:ABAYE3106
ko:K01783	aby:ABAYE3114
ko:K00817	aby:ABAYE3130
ko:K00013	aby:ABAYE3131
ko:K00765	aby:ABAYE3132
ko:K00790	aby:ABAYE3133
ko:K00286	aby:ABAYE3151
ko:K01868	aby:ABAYE3169
ko:K01918	aby:ABAYE3174
ko:K00606	aby:ABAYE3175
ko:K00950	aby:ABAYE3176
ko:K00970	aby:ABAYE3177
ko:K01753	aby:ABAYE2819
ko:K00548	aby:ABAYE2822
ko:K00615	aby:ABAYE2823
ko:K01826	aby:ABAYE1465
ko:K00878	aby:ABAYE1466
ko:K01256	aby:ABAYE1469
ko:K00799	aby:ABAYE1474
ko:K01531	aby:ABAYE1505
ko:K00616	aby:ABAYE1510
ko:K01114	aby:ABAYE1520
ko:K00001	aby:ABAYE1522
ko:K01104	aby:ABAYE1525
ko:K00075	aby:ABAYE1526
ko:K01784	aby:ABAYE1562
ko:K00285	aby:ABAYE1567
ko:K01770	aby:ABAYE1569
ko:K03430	aby:ABAYE2318
ko:K00481	aby:ABAYE2324
ko:K01607	aby:ABAYE2328
ko:K00135	aby:ABAYE2329
ko:K00128	aby:ABAYE2333
ko:K01640	aby:ABAYE2344
ko:K01912	aby:ABAYE2366
ko:K00074	aby:ABAYE2368
ko:K01752	aby:ABAYE2377
ko:K01487	aby:ABAYE2396
ko:K03270	aby:ABAYE2491
ko:K06041	aby:ABAYE2492
ko:K00286	aby:ABAYE2533
ko:K05783	aby:ABAYE2558
ko:K03386	aby:ABAYE2564
ko:K00799	aby:ABAYE2570
ko:K03439	aby:ABAYE2572
ko:K00799	aby:ABAYE2573
ko:K01939	aby:ABAYE2592
ko:K03472	aby:ABAYE2594
ko:K01872	aby:ABAYE2595
ko:K00928	aby:ABAYE2596
ko:K03333	aby:ABAYE2620
ko:K00255	aby:ABAYE2631
ko:K00219	aby:ABAYE2640
ko:K01940	aby:ABAYE2641
ko:K01465	aby:ABAYE2646
ko:K01262	aby:ABAYE2679
ko:K01338	aby:ABAYE2760
ko:K00262	aby:ABAYE2764
ko:K00939	aby:ABAYE2767
ko:K01637	aby:ABAYE2783
ko:K05297	aby:ABAYE2799
ko:K00937	aby:ABAYE2803
ko:K01130	aby:ABAYE2815
ko:K00615	aby:ABAYE2824
ko:K01785	aby:ABAYE2829
ko:K01425	aby:ABAYE2832
ko:K01462	aby:ABAYE2833
ko:K06989	aby:ABAYE2838
ko:K01802	aby:ABAYE2856
ko:K00806	aby:ABAYE1579
ko:K00981	aby:ABAYE1580
ko:K00099	aby:ABAYE1581
ko:K00677	aby:ABAYE1587
ko:K01556	aby:ABAYE1599
ko:K00117	aby:ABAYE1605
ko:K00882	aby:ABAYE1613
ko:K01265	aby:ABAYE1621
ko:K01058	aby:ABAYE1646
ko:K01754	aby:ABAYE1649
ko:K00145	aby:ABAYE1653
ko:K01626	aby:ABAYE1658
ko:K01937	aby:ABAYE1667
ko:K01627	aby:ABAYE1668
ko:K01689	aby:ABAYE1669
ko:K00991	aby:ABAYE1672
ko:K01857	aby:ABAYE1676
ko:K01055	aby:ABAYE1677
ko:K01607	aby:ABAYE1679
ko:K05358	aby:ABAYE1685
ko:K01426	aby:ABAYE1700
ko:K00059	aby:ABAYE1706
ko:K00276	aby:ABAYE1710
ko:K00146	aby:ABAYE1712
ko:K01434	aby:ABAYE1713
ko:K03381	aby:ABAYE1718
ko:K03464	aby:ABAYE1719
ko:K01856	aby:ABAYE1720
ko:K00042	aby:ABAYE1786
ko:K00948	aby:ABAYE1789
ko:K00297	aby:ABAYE1792
ko:K00216	aby:ABAYE1889
ko:K00019	aby:ABAYE1909
ko:K00626	aby:ABAYE1916
ko:K01744	aby:ABAYE1921
ko:K00003	aby:ABAYE1937
ko:K00004	aby:ABAYE1943
ko:K00382	aby:ABAYE1945
ko:K01736	aby:ABAYE1953
ko:K00748	aby:ABAYE1983
ko:K01626	aby:ABAYE1989
ko:K00768	aby:ABAYE1993
ko:K00496	aby:ABAYE2014
ko:K01638	aby:ABAYE2053
ko:K01591	aby:ABAYE2058
ko:K00945	aby:ABAYE2062
ko:K00979	aby:ABAYE2076
ko:K00912	aby:ABAYE2077
ko:K00927	aby:ABAYE2090
ko:K00557	aby:ABAYE2110
ko:K00615	aby:ABAYE2116
ko:K00789	aby:ABAYE2118
ko:K01012	aby:ABAYE2129
ko:K00990	aby:ABAYE2180
ko:K00432	aby:ABAYE2184
ko:K07305	aby:ABAYE2185
ko:K05597	aby:ABAYE2188
ko:K00640	aby:ABAYE2191
ko:K03119	aby:ABAYE2209
ko:K00640	aby:ABAYE2248
ko:K01640	aby:ABAYE2292
ko:K02674	aby:ABAYE0318
ko:K07506	aby:ABAYE1935
ko:K00832	aby:ABAYE3795
ko:K00812	aby:ABAYE0951
ko:K08485	aby:ABAYE3172
ko:K01625	aby:ABAYE3280
ko:K04042	aby:ABAYE0090
ko:K04090	aby:ABAYE2294
ko:K11731	aby:ABAYE0481
ko:K12340	aby:ABAYE3514
ko:K02237	aby:ABAYE3178
ko:K03426	aby:ABAYE2666
ko:K11749	aby:ABAYE1582
ko:K11928	aby:ABAYE2105
ko:K03496	aby:p3ABAYE0113
ko:K01894	aby:ABAYE3522
ko:K01890	aby:ABAYE3159
ko:K01874	aby:ABAYE3031
ko:K11103	aby:ABAYE2858
ko:K11102	aby:ABAYE3346
ko:K11085	aby:ABAYE2078
ko:K11175	aby:ABAYE0888
ko:K07862	aby:ABAYE2097
ko:K00427	aby:ABAYE3799
ko:K11103	aby:ABAYE1202
ko:K11068	aby:ABAYE0623
ko:K08483	aby:ABAYE1614
ko:K11183	aby:ABAYE1614
ko:K02768	aby:ABAYE1614
ko:K11311	aby:ABAYE1898
ko:K06135	aby:ABAYE1882
ko:K03561	aby:ABAYE2049
ko:K11902	aby:ABAYE2403
ko:K07661	aby:ABAYE3064
ko:K06596	aby:ABAYE0671
ko:K11475	aby:ABAYE2625
ko:K11811	aby:ABAYE3660
ko:K11754	aby:ABAYE0615
ko:K11755	aby:ABAYE3428
ko:K12979	aby:ABAYE3467
ko:K13292	aby:ABAYE3311
ko:K11936	aby:ABAYE1396
ko:K02517	aby:ABAYE2468
ko:K02624	aby:ABAYE2325
ko:K01243	aby:ABAYE3028
ko:K11753	aby:ABAYE3851
ko:K00602	aby:ABAYE1367
ko:K11931	aby:ABAYE2855
ko:K12410	aby:ABAYE2104
ko:K05794	aby:ABAYE3881
ko:K01665	aby:ABAYE3129
ko:K10804	aby:ABAYE2808
ko:K11747	aby:ABAYE3408
ko:K12508	aby:ABAYE2630
ko:K01491	aby:ABAYE0812
ko:K00626	aby:ABAYE0629
ko:K11896	aby:ABAYE2411
ko:K11719	aby:ABAYE2490
ko:K11752	aby:ABAYE3546
ko:K11893	aby:ABAYE2402
ko:K11907	aby:ABAYE2404
ko:K11891	aby:ABAYE2408
ko:K11892	aby:ABAYE2401
ko:K11901	aby:ABAYE2415
ko:K11897	aby:ABAYE2412
ko:K11900	aby:ABAYE2414
ko:K11903	aby:ABAYE2413
ko:K03524	aby:ABAYE3015
ko:K01243	aby:ABAYE3846
