ko:K19271	cjq:UC78_1474
ko:K03149	cjq:UC78_1002
ko:K03148	cjq:UC78_1003
ko:K03154	cjq:UC78_1004
ko:K01439	cjq:UC78_1005
ko:K06895	cjq:UC78_1006
ko:K12410	cjq:UC78_1007
ko:K07456	cjq:UC78_1008
ko:K16850	cjq:UC78_0470
ko:K18333	cjq:UC78_0472
ko:K18333	cjq:UC78_0473
ko:K02429	cjq:UC78_0474
ko:K03534	cjq:UC78_0476
ko:K07248	cjq:UC78_0477
ko:K02950	cjq:UC78_0478
ko:K02992	cjq:UC78_0479
ko:K02355	cjq:UC78_0480
ko:K06940	cjq:UC78_0484
ko:K01609	cjq:UC78_0486
ko:K06917	cjq:UC78_0488
ko:K03320	cjq:UC78_0489
ko:K01772	cjq:UC78_0490
ko:K13017	cjq:UC78_0492
ko:K01872	cjq:UC78_0493
ko:K06287	cjq:UC78_0494
ko:K05366	cjq:UC78_0495
ko:K03695	cjq:UC78_0496
ko:K03797	cjq:UC78_0498
ko:K01923	cjq:UC78_0499
ko:K01952	cjq:UC78_0500
ko:K01952	cjq:UC78_0501
ko:K00655	cjq:UC78_0503
ko:K06199	cjq:UC78_0504
ko:K04079	cjq:UC78_0505
ko:K03324	cjq:UC78_0508
ko:K03587	cjq:UC78_0509
ko:K02408	cjq:UC78_0510
ko:K02388	cjq:UC78_0511
ko:K02387	cjq:UC78_0512
ko:K07082	cjq:UC78_0513
ko:K00031	cjq:UC78_0515
ko:K00024	cjq:UC78_0516
ko:K01903	cjq:UC78_0517
ko:K01902	cjq:UC78_0518
ko:K00176	cjq:UC78_0519
ko:K00174	cjq:UC78_0520
ko:K00175	cjq:UC78_0521
ko:K00177	cjq:UC78_0522
ko:K07323	cjq:UC78_1319
ko:K07003	cjq:UC78_1320
ko:K02428	cjq:UC78_1321
ko:K01042	cjq:UC78_1324
ko:K03833	cjq:UC78_1325
ko:K03981	cjq:UC78_1326
ko:K03839	cjq:UC78_1328
ko:K03781	cjq:UC78_1331
ko:K03326	cjq:UC78_1335
ko:K01760	cjq:UC78_1336
ko:K01756	cjq:UC78_1337
ko:K04758	cjq:UC78_1339
ko:K04759	cjq:UC78_1340
ko:K05927	cjq:UC78_1341
ko:K00208	cjq:UC78_1342
ko:K01803	cjq:UC78_1343
ko:K00927	cjq:UC78_1344
ko:K00134	cjq:UC78_1345
ko:K00969	cjq:UC78_1346
ko:K09710	cjq:UC78_1347
ko:K15778	cjq:UC78_1349
ko:K02415	cjq:UC78_1350
ko:K00997	cjq:UC78_1351
ko:K07265	cjq:UC78_1355
ko:K07266	cjq:UC78_1356
ko:K00860	cjq:UC78_1357
ko:K07010	cjq:UC78_1359
ko:K03271	cjq:UC78_1365
ko:K07031	cjq:UC78_1366
ko:K01711	cjq:UC78_1367
ko:K12452	cjq:UC78_1368
ko:K02377	cjq:UC78_1369
ko:K01624	cjq:UC78_0581
ko:K02557	cjq:UC78_0583
ko:K03308	cjq:UC78_0585
ko:K04084	cjq:UC78_0587
ko:K13888	cjq:UC78_0590
ko:K05685	cjq:UC78_0591
ko:K09795	cjq:UC78_0594
ko:K02217	cjq:UC78_0596
ko:K02040	cjq:UC78_0597
ko:K02037	cjq:UC78_0598
ko:K02038	cjq:UC78_0599
ko:K02036	cjq:UC78_0600
ko:K07043	cjq:UC78_0602
ko:K04656	cjq:UC78_0604
ko:K04652	cjq:UC78_0605
ko:K04653	cjq:UC78_0606
ko:K04654	cjq:UC78_0607
ko:K04655	cjq:UC78_0608
ko:K04651	cjq:UC78_0609
ko:K07504	cjq:UC78_0610
ko:K02340	cjq:UC78_0611
ko:K12573	cjq:UC78_0612
ko:K00053	cjq:UC78_0613
ko:K09798	cjq:UC78_0614
ko:K04096	cjq:UC78_0615
ko:K07447	cjq:UC78_0616
ko:K07304	cjq:UC78_0618
ko:K01507	cjq:UC78_0619
ko:K00939	cjq:UC78_0620
ko:K01876	cjq:UC78_0621
ko:K00858	cjq:UC78_0622
ko:K03631	cjq:UC78_0623
ko:K03424	cjq:UC78_0625
ko:K08307	cjq:UC78_0626
ko:K03642	cjq:UC78_0627
ko:K03270	cjq:UC78_0628
ko:K09774	cjq:UC78_0630
ko:K03978	cjq:UC78_0631
ko:K05515	cjq:UC78_0633
ko:K01262	cjq:UC78_0634
ko:K09792	cjq:UC78_1425
ko:K01956	cjq:UC78_1426
ko:K09804	cjq:UC78_1427
ko:K01939	cjq:UC78_1430
ko:K07112	cjq:UC78_1432
ko:K11928	cjq:UC78_1434
ko:K13821	cjq:UC78_1435
ko:K01008	cjq:UC78_1436
ko:K03406	cjq:UC78_1438
ko:K02379	cjq:UC78_1440
ko:K00127	cjq:UC78_1441
ko:K00124	cjq:UC78_1442
ko:K00123	cjq:UC78_1443
ko:K00123	cjq:UC78_1444
ko:K13747	cjq:UC78_1447
ko:K03636	cjq:UC78_1449
ko:K03635	cjq:UC78_1450
ko:K03750	cjq:UC78_1451
ko:K09951	cjq:UC78_1452
ko:K15342	cjq:UC78_1453
ko:K09952	cjq:UC78_1454
ko:K03326	cjq:UC78_1455
ko:K01933	cjq:UC78_1456
ko:K00859	cjq:UC78_1457
ko:K01778	cjq:UC78_1458
ko:K03796	cjq:UC78_1459
ko:K07133	cjq:UC78_1460
ko:K04047	cjq:UC78_1461
ko:K01810	cjq:UC78_1462
ko:K00963	cjq:UC78_1463
ko:K01895	cjq:UC78_1464
ko:K06857	cjq:UC78_1465
ko:K05773	cjq:UC78_1466
ko:K05772	cjq:UC78_1467
ko:K07160	cjq:UC78_1468
ko:K03923	cjq:UC78_1472
ko:K03098	cjq:UC78_1473
ko:K09817	cjq:UC78_0144
ko:K09815	cjq:UC78_0145
ko:K07093	cjq:UC78_0147
ko:K00384	cjq:UC78_0148
ko:K03671	cjq:UC78_0149
ko:K07460	cjq:UC78_0150
ko:K00003	cjq:UC78_0151
ko:K14261	cjq:UC78_0152
ko:K03218	cjq:UC78_0155
ko:K07056	cjq:UC78_0156
ko:K02909	cjq:UC78_0157
ko:K09761	cjq:UC78_0158
ko:K01737	cjq:UC78_0161
ko:K03639	cjq:UC78_0163
ko:K03179	cjq:UC78_0166
ko:K00791	cjq:UC78_0167
ko:K04564	cjq:UC78_0171
ko:K00290	cjq:UC78_0172
ko:K02010	cjq:UC78_0173
ko:K02011	cjq:UC78_0174
ko:K02012	cjq:UC78_0175
ko:K17938	cjq:UC78_0177
ko:K06193	cjq:UC78_0180
ko:K11175	cjq:UC78_0182
ko:K07391	cjq:UC78_0185
ko:K01462	cjq:UC78_0186
ko:K01358	cjq:UC78_0187
ko:K03545	cjq:UC78_0188
ko:K01495	cjq:UC78_0189
ko:K02412	cjq:UC78_0190
ko:K00764	cjq:UC78_0191
ko:K00215	cjq:UC78_0192
ko:K07478	cjq:UC78_0193
ko:K01924	cjq:UC78_1010
ko:K03602	cjq:UC78_1014
ko:K00088	cjq:UC78_1015
ko:K02433	cjq:UC78_1016
ko:K01870	cjq:UC78_1018
ko:K03743	cjq:UC78_1019
ko:K00995	cjq:UC78_1023
ko:K11749	cjq:UC78_1024
ko:K02990	cjq:UC78_1028
ko:K03111	cjq:UC78_1029
ko:K02963	cjq:UC78_1030
ko:K01338	cjq:UC78_1031
ko:K05807	cjq:UC78_1032
ko:K13626	cjq:UC78_1033
ko:K00286	cjq:UC78_1034
ko:K01719	cjq:UC78_1038
ko:K00788	cjq:UC78_1039
ko:K00941	cjq:UC78_1040
ko:K07457	cjq:UC78_1041
ko:K06923	cjq:UC78_1042
ko:K03723	cjq:UC78_1043
ko:K11754	cjq:UC78_1046
ko:K01869	cjq:UC78_1049
ko:K03074	cjq:UC78_1050
ko:K03072	cjq:UC78_1051
ko:K03210	cjq:UC78_1052
ko:K03820	cjq:UC78_1053
ko:K00789	cjq:UC78_1054
ko:K07862	cjq:UC78_1055
ko:K00609	cjq:UC78_1056
ko:K08602	cjq:UC78_1057
ko:K03657	cjq:UC78_1059
ko:K03177	cjq:UC78_1060
ko:K03563	cjq:UC78_1061
ko:K00919	cjq:UC78_1062
ko:K02523	cjq:UC78_0525
ko:K02492	cjq:UC78_0526
ko:K01881	cjq:UC78_0527
ko:K01649	cjq:UC78_0528
ko:K01749	cjq:UC78_0529
ko:K03182	cjq:UC78_0530
ko:K06603	cjq:UC78_0531
ko:K02407	cjq:UC78_0532
ko:K02422	cjq:UC78_0533
ko:K02356	cjq:UC78_0535
ko:K00147	cjq:UC78_0542
ko:K00384	cjq:UC78_0543
ko:K14652	cjq:UC78_0556
ko:K09117	cjq:UC78_0557
ko:K01652	cjq:UC78_0558
ko:K01653	cjq:UC78_0559
ko:K02536	cjq:UC78_0560
ko:K07568	cjq:UC78_0561
ko:K03118	cjq:UC78_0562
ko:K03117	cjq:UC78_0563
ko:K08311	cjq:UC78_0565
ko:K00928	cjq:UC78_0566
ko:K02341	cjq:UC78_0568
ko:K00796	cjq:UC78_0569
ko:K01972	cjq:UC78_0570
ko:K06442	cjq:UC78_0572
ko:K11753	cjq:UC78_0573
ko:K15256	cjq:UC78_0574
ko:K01173	cjq:UC78_0578
ko:K10773	cjq:UC78_0579
ko:K01790	cjq:UC78_1370
ko:K00991	cjq:UC78_1375
ko:K06041	cjq:UC78_1377
ko:K10107	cjq:UC78_1379
ko:K09689	cjq:UC78_1380
ko:K09688	cjq:UC78_1381
ko:K09979	cjq:UC78_1382
ko:K04075	cjq:UC78_1386
ko:K02836	cjq:UC78_1388
ko:K06176	cjq:UC78_1390
ko:K00946	cjq:UC78_1391
ko:K02394	cjq:UC78_1395
ko:K02396	cjq:UC78_1399
ko:K07090	cjq:UC78_1401
ko:K02455	cjq:UC78_1402
ko:K02454	cjq:UC78_1403
ko:K01714	cjq:UC78_1405
ko:K02453	cjq:UC78_1406
ko:K03737	cjq:UC78_1408
ko:K01091	cjq:UC78_1409
ko:K03286	cjq:UC78_1410
ko:K02996	cjq:UC78_1411
ko:K02871	cjq:UC78_1412
ko:K03582	cjq:UC78_1413
ko:K00406	cjq:UC78_1419
ko:K00407	cjq:UC78_1420
ko:K00405	cjq:UC78_1421
ko:K00404	cjq:UC78_1422
ko:K22468	cjq:UC78_0588
ko:K04771	cjq:UC78_1178
ko:K17250	cjq:UC78_1085
ko:K06867	cjq:UC78_1332
ko:K14218	cjq:UC78_0030
ko:K14218	cjq:UC78_0715
ko:K14218	cjq:UC78_0413
ko:K19416	cjq:UC78_0225
ko:K18431	cjq:UC78_1274
ko:K06867	cjq:UC78_0795
ko:K15899	cjq:UC78_1260
ko:K07216	cjq:UC78_0074
ko:K07216	cjq:UC78_0075
ko:K07216	cjq:UC78_0932
ko:K07216	cjq:UC78_0933
ko:K15669	cjq:UC78_1364
ko:K10938	cjq:UC78_0279
ko:K19713	cjq:UC78_0830
ko:K10938	cjq:UC78_0741
ko:K03406	cjq:UC78_0146
ko:K07147	cjq:UC78_0366
ko:K09796	cjq:UC78_0863
ko:K20810	cjq:UC78_0071
ko:K01977	cjq:UC78_0029
ko:K14227	cjq:UC78_0031
ko:K14227	cjq:UC78_0716
ko:K14227	cjq:UC78_0414
ko:K01985	cjq:UC78_1665
ko:K01985	cjq:UC78_1667
ko:K01985	cjq:UC78_1666
ko:K14234	cjq:UC78_0452
ko:K14234	cjq:UC78_0455
ko:K14236	cjq:UC78_0453
ko:K14225	cjq:UC78_0454
ko:K14225	cjq:UC78_1552
ko:K14225	cjq:UC78_0842
ko:K14219	cjq:UC78_0481
ko:K14219	cjq:UC78_0968
ko:K14219	cjq:UC78_1603
ko:K14230	cjq:UC78_0554
ko:K14230	cjq:UC78_1233
ko:K14223	cjq:UC78_0555
ko:K14228	cjq:UC78_0841
ko:K14228	cjq:UC78_0891
ko:K14228	cjq:UC78_1553
ko:K14221	cjq:UC78_0896
ko:K14221	cjq:UC78_0900
ko:K14237	cjq:UC78_0897
ko:K14237	cjq:UC78_0901
ko:K14237	cjq:UC78_1654
ko:K14229	cjq:UC78_0899
ko:K14229	cjq:UC78_0902
ko:K14220	cjq:UC78_1175
ko:K14231	cjq:UC78_1234
ko:K14233	cjq:UC78_1555
ko:K14233	cjq:UC78_1652
ko:K15035	cjq:UC78_1308
ko:K14222	cjq:UC78_1554
ko:K14232	cjq:UC78_1606
ko:K14218	cjq:UC78_1653
ko:K14233	cjq:UC78_1300
ko:K01980	cjq:UC78_0032
ko:K14228	cjq:UC78_1602
ko:K14226	cjq:UC78_1605
ko:K14224	cjq:UC78_0169
ko:K01977	cjq:UC78_0412
ko:K01980	cjq:UC78_0415
ko:K01977	cjq:UC78_0714
ko:K01980	cjq:UC78_0717
ko:K01023	cjq:UC78_0828
ko:K01023	cjq:UC78_0827
ko:K00821	cjq:UC78_0216
ko:K02335	cjq:UC78_0327
ko:K03465	cjq:UC78_0025
ko:K02316	cjq:UC78_1572
ko:K10747	cjq:UC78_1607
ko:K03553	cjq:UC78_1611
ko:K02314	cjq:UC78_0546
ko:K02483	cjq:UC78_1212
ko:K02483	cjq:UC78_0343
ko:K02483	cjq:UC78_1177
ko:K00525	cjq:UC78_0023
ko:K02032	cjq:UC78_1509
ko:K02481	cjq:UC78_0981
ko:K19210	cjq:UC78_0287
ko:K01139	cjq:UC78_1223
ko:K00526	cjq:UC78_0220
ko:K21420	cjq:UC78_0992
ko:K13695	cjq:UC78_1587
ko:K01451	cjq:UC78_0943
ko:K18704	cjq:UC78_1376
ko:K09809	cjq:UC78_1373
ko:K10026	cjq:UC78_0162
ko:K21600	cjq:UC78_0497
ko:K21929	cjq:UC78_0925
ko:K03741	cjq:UC78_1489
ko:K03595	cjq:UC78_0640
ko:K14441	cjq:UC78_1387
ko:K17758	cjq:UC78_0183
ko:K17759	cjq:UC78_0183
ko:K22391	cjq:UC78_0680
ko:K22424	cjq:UC78_1360
ko:K22477	cjq:UC78_0214
