ko:K18928	but:X994_4295
ko:K01685	but:X994_3779
ko:K02057	but:X994_3781
ko:K02056	but:X994_3782
ko:K06995	but:X994_3788
ko:K13874	but:X994_3790
ko:K10538	but:X994_3791
ko:K01114	but:X994_3799
ko:K00428	but:X994_3800
ko:K01485	but:X994_3807
ko:K10974	but:X994_3809
ko:K01266	but:X994_3816
ko:K07687	but:X994_1202
ko:K07347	but:X994_1206
ko:K07346	but:X994_1207
ko:K03322	but:X994_1216
ko:K11896	but:X994_1238
ko:K04618	but:X994_1240
ko:K07734	but:X994_1359
ko:K02338	but:X994_1373
ko:K00333	but:X994_1520
ko:K00334	but:X994_1519
ko:K00332	but:X994_1521
ko:K00331	but:X994_1522
ko:K00330	but:X994_1523
ko:K03075	but:X994_1525
ko:K01803	but:X994_1526
ko:K00962	but:X994_1528
ko:K02956	but:X994_1529
ko:K01999	but:X994_1530
ko:K01673	but:X994_1532
ko:K01649	but:X994_1534
ko:K17103	but:X994_1535
ko:K01613	but:X994_1536
ko:K00053	but:X994_1537
ko:K01653	but:X994_1538
ko:K01652	but:X994_1539
ko:K03088	but:X994_1540
ko:K00901	but:X994_1546
ko:K06966	but:X994_1548
ko:K01426	but:X994_1552
ko:K06886	but:X994_1555
ko:K02004	but:X994_1556
ko:K09712	but:X994_1559
ko:K07667	but:X994_1560
ko:K07646	but:X994_1561
ko:K01548	but:X994_1562
ko:K01547	but:X994_1563
ko:K01546	but:X994_1564
ko:K01734	but:X994_1567
ko:K11189	but:X994_2258
ko:K02821	but:X994_2259
ko:K01920	but:X994_2260
ko:K01919	but:X994_2261
ko:K03320	but:X994_2262
ko:K04752	but:X994_2263
ko:K09806	but:X994_2264
ko:K07391	but:X994_2265
ko:K10126	but:X994_2270
ko:K10125	but:X994_2271
ko:K11103	but:X994_2272
ko:K14393	but:X994_2273
ko:K00681	but:X994_2281
ko:K03644	but:X994_2283
ko:K03801	but:X994_2284
ko:K03566	but:X994_2286
ko:K09158	but:X994_2287
ko:K00824	but:X994_2288
ko:K07258	but:X994_2289
ko:K07018	but:X994_2290
ko:K18480	but:X994_2293
ko:K02067	but:X994_2294
ko:K02065	but:X994_2295
ko:K02066	but:X994_2296
ko:K01119	but:X994_2297
ko:K03524	but:X994_2299
ko:K03525	but:X994_2300
ko:K07001	but:X994_2304
ko:K01692	but:X994_2307
ko:K16171	but:X994_2308
ko:K03530	but:X994_4402
ko:K16856	but:X994_3826
ko:K16087	but:X994_4428
ko:K07225	but:X994_4429
ko:K02016	but:X994_4430
ko:K02015	but:X994_4432
ko:K02013	but:X994_4433
ko:K05366	but:X994_4435
ko:K05596	but:X994_4437
ko:K01620	but:X994_4436
ko:K00425	but:X994_4438
ko:K00426	but:X994_4439
ko:K00801	but:X994_4443
ko:K17686	but:X994_4451
ko:K07507	but:X994_4458
ko:K01659	but:X994_4471
ko:K03417	but:X994_4472
ko:K02688	but:X994_4473
ko:K01259	but:X994_4477
ko:K01434	but:X994_4478
ko:K07160	but:X994_4480
ko:K01961	but:X994_4482
ko:K01941	but:X994_4483
ko:K01740	but:X994_4489
ko:K00355	but:X994_4491
ko:K11904	but:X994_4498
ko:K11902	but:X994_4499
ko:K11895	but:X994_4500
ko:K11896	but:X994_4501
ko:K11897	but:X994_4502
ko:K11898	but:X994_4503
ko:K11907	but:X994_4505
ko:K11901	but:X994_4506
ko:K11903	but:X994_4508
ko:K11906	but:X994_4509
ko:K11893	but:X994_4510
ko:K11892	but:X994_4511
ko:K11891	but:X994_4512
ko:K01953	but:X994_4516
ko:K00285	but:X994_4525
ko:K10001	but:X994_4526
ko:K05591	but:X994_4534
ko:K01178	but:X994_4535
ko:K10441	but:X994_4538
ko:K10440	but:X994_4539
ko:K10439	but:X994_4540
ko:K02647	but:X994_4552
ko:K00873	but:X994_4553
ko:K00865	but:X994_4554
ko:K07687	but:X994_4557
ko:K07687	but:X994_4563
ko:K07677	but:X994_4565
ko:K11907	but:X994_4566
ko:K11898	but:X994_4568
ko:K11897	but:X994_4569
ko:K11896	but:X994_4570
ko:K11895	but:X994_4571
ko:K11902	but:X994_4572
ko:K11904	but:X994_4577
ko:K11891	but:X994_4579
ko:K11892	but:X994_4580
ko:K11893	but:X994_4581
ko:K11906	but:X994_4582
ko:K11903	but:X994_4583
ko:K11900	but:X994_4584
ko:K11901	but:X994_4585
ko:K11892	but:X994_4587
ko:K07345	but:X994_4588
ko:K07347	but:X994_4589
ko:K15540	but:X994_4590
ko:K07345	but:X994_4591
ko:K02274	but:X994_4598
ko:K03671	but:X994_4601
ko:K11069	but:X994_4607
ko:K11070	but:X994_4608
ko:K11071	but:X994_4609
ko:K01114	but:X994_4614
ko:K10126	but:X994_4619
ko:K10125	but:X994_4620
ko:K03701	but:X994_4630
ko:K03088	but:X994_4631
ko:K08995	but:X994_4633
ko:K07240	but:X994_4636
ko:K08195	but:X994_4643
ko:K01607	but:X994_4644
ko:K01055	but:X994_4645
ko:K01857	but:X994_4646
ko:K01032	but:X994_4647
ko:K01031	but:X994_4648
ko:K00481	but:X994_4649
ko:K01495	but:X994_4651
ko:K00640	but:X994_4653
ko:K01053	but:X994_4656
ko:K05596	but:X994_4661
ko:K06895	but:X994_4662
ko:K09930	but:X994_4666
ko:K01574	but:X994_4674
ko:K00019	but:X994_4675
ko:K07001	but:X994_4676
ko:K00799	but:X994_4678
ko:K16135	but:X994_4680
ko:K07246	but:X994_4681
ko:K09958	but:X994_4683
ko:K00060	but:X994_4686
ko:K00639	but:X994_4687
ko:K00537	but:X994_4695
ko:K03088	but:X994_4697
ko:K03410	but:X994_4701
ko:K06045	but:X994_4705
ko:K10036	but:X994_4707
ko:K10037	but:X994_4708
ko:K10038	but:X994_4709
ko:K01607	but:X994_4712
ko:K04754	but:X994_4713
ko:K07003	but:X994_4714
ko:K02003	but:X994_4719
ko:K02004	but:X994_4720
ko:K00059	but:X994_1568
ko:K00761	but:X994_1569
ko:K01945	but:X994_1571
ko:K00228	but:X994_1572
ko:K00969	but:X994_1573
ko:K09710	but:X994_1574
ko:K00783	but:X994_1575
ko:K06287	but:X994_1576
ko:K08301	but:X994_1577
ko:K16345	but:X994_1578
ko:K03088	but:X994_1586
ko:K02849	but:X994_1593
ko:K11085	but:X994_1598
ko:K02337	but:X994_1599
ko:K07146	but:X994_1601
ko:K01894	but:X994_1602
ko:K08289	but:X994_1606
ko:K03466	but:X994_1608
ko:K05973	but:X994_1611
ko:K03616	but:X994_1613
ko:K10773	but:X994_1614
ko:K07217	but:X994_4833
ko:K03092	but:X994_4835
ko:K03781	but:X994_4839
ko:K10979	but:X994_4841
ko:K00832	but:X994_4854
ko:K12511	but:X994_4856
ko:K12510	but:X994_4857
ko:K02283	but:X994_4858
ko:K02282	but:X994_4859
ko:K02280	but:X994_4864
ko:K02279	but:X994_4865
ko:K02278	but:X994_4867
ko:K02651	but:X994_4868
ko:K02651	but:X994_4869
ko:K04487	but:X994_4936
ko:K01753	but:X994_4942
ko:K03181	but:X994_4947
ko:K07169	but:X994_4950
ko:K11906	but:X994_4952
ko:K11893	but:X994_4953
ko:K11892	but:X994_4954
ko:K11891	but:X994_4955
ko:K11890	but:X994_4956
ko:K11902	but:X994_4958
ko:K11901	but:X994_4959
ko:K11900	but:X994_4960
ko:K06887	but:X994_4961
ko:K11897	but:X994_4962
ko:K11896	but:X994_4963
ko:K11907	but:X994_4965
ko:K11904	but:X994_4966
ko:K10111	but:X994_4984
ko:K02027	but:X994_4985
ko:K02025	but:X994_4986
ko:K02026	but:X994_4987
ko:K07407	but:X994_4988
ko:K02058	but:X994_4999
ko:K02057	but:X994_5000
ko:K02056	but:X994_5001
ko:K01424	but:X994_5013
ko:K01586	but:X994_5018
ko:K11904	but:X994_5023
ko:K15125	but:X994_5027
ko:K07045	but:X994_5042
ko:K00574	but:X994_5044
ko:K13777	but:X994_5049
ko:K13779	but:X994_5050
ko:K11731	but:X994_5051
ko:K13778	but:X994_5052
ko:K13774	but:X994_5053
ko:K00854	but:X994_5057
ko:K09981	but:X994_5064
ko:K03717	but:X994_5067
ko:K08068	but:X994_5070
ko:K00820	but:X994_5077
ko:K14257	but:X994_5082
ko:K10001	but:X994_5087
ko:K07243	but:X994_5091
ko:K01467	but:X994_5094
ko:K07644	but:X994_5097
ko:K07665	but:X994_5098
ko:K14645	but:X994_5099
ko:K01281	but:X994_5100
ko:K01158	but:X994_5109
ko:K16692	but:X994_5114
ko:K00799	but:X994_5128
ko:K07006	but:X994_5129
ko:K03317	but:X994_5130
ko:K01619	but:X994_5131
ko:K00758	but:X994_5134
ko:K01489	but:X994_5135
ko:K16370	but:X994_5137
ko:K00925	but:X994_5138
ko:K00625	but:X994_5139
ko:K03821	but:X994_5140
ko:K02112	but:X994_5141
ko:K02114	but:X994_5142
ko:K02116	but:X994_5143
ko:K02108	but:X994_5145
ko:K02110	but:X994_5146
ko:K02109	but:X994_5147
ko:K02111	but:X994_5148
ko:K02115	but:X994_5149
ko:K13953	but:X994_5150
ko:K03406	but:X994_5153
ko:K13926	but:X994_5156
ko:K01993	but:X994_5157
ko:K02004	but:X994_5162
ko:K02003	but:X994_5163
ko:K02005	but:X994_5164
ko:K03406	but:X994_5168
ko:K00860	but:X994_5169
ko:K06966	but:X994_5174
ko:K13953	but:X994_5178
ko:K00023	but:X994_5180
ko:K07576	but:X994_5181
ko:K07044	but:X994_5182
ko:K11733	but:X994_5183
ko:K05783	but:X994_5189
ko:K05784	but:X994_5190
ko:K05550	but:X994_5191
ko:K05549	but:X994_5192
ko:K00219	but:X994_5198
ko:K02297	but:X994_5199
ko:K02298	but:X994_5200
ko:K02299	but:X994_5201
ko:K02300	but:X994_5202
ko:K03464	but:X994_5203
ko:K03381	but:X994_5204
ko:K16320	but:X994_5209
ko:K02503	but:X994_5212
ko:K03316	but:X994_5216
ko:K01652	but:X994_5217
ko:K13487	but:X994_5222
ko:K13488	but:X994_5223
ko:K13486	but:X994_5224
ko:K13489	but:X994_5225
ko:K13490	but:X994_5226
ko:K13491	but:X994_5227
ko:K01560	but:X994_5228
ko:K07052	but:X994_5230
ko:K01867	but:X994_5233
ko:K18199	but:X994_5235
ko:K06147	but:X994_5236
ko:K07223	but:X994_5237
ko:K07397	but:X994_5239
ko:K02014	but:X994_5248
ko:K07004	but:X994_5253
ko:K03606	but:X994_5265
ko:K00012	but:X994_5266
ko:K01104	but:X994_5267
ko:K01991	but:X994_5268
ko:K16692	but:X994_5269
ko:K03772	but:X994_5276
ko:K07044	but:X994_5277
ko:K00826	but:X994_5289
ko:K04073	but:X994_5291
ko:K01666	but:X994_5292
ko:K15256	but:X994_5302
ko:K00788	but:X994_5304
ko:K01821	but:X994_5309
ko:K02019	but:X994_5312
ko:K02017	but:X994_5313
ko:K02018	but:X994_5314
ko:K02020	but:X994_5315
ko:K02204	but:X994_5322
ko:K01241	but:X994_5324
ko:K06966	but:X994_5329
ko:K03885	but:X994_5331
ko:K01061	but:X994_5333
ko:K01011	but:X994_5334
ko:K03602	but:X994_5337
ko:K00795	but:X994_5338
ko:K01662	but:X994_5339
ko:K09007	but:X994_5340
ko:K01409	but:X994_5341
ko:K03332	but:X994_4077
ko:K07007	but:X994_5342
ko:K02970	but:X994_5343
ko:K09117	but:X994_5344
ko:K03086	but:X994_5346
ko:K03457	but:X994_5351
ko:K00033	but:X994_5354
ko:K06194	but:X994_5357
ko:K12262	but:X994_5359
ko:K02014	but:X994_5361
ko:K00375	but:X994_5365
ko:K02052	but:X994_5366
ko:K02055	but:X994_5367
ko:K02054	but:X994_5368
ko:K05998	but:X994_5370
ko:K00505	but:X994_5374
ko:K15125	but:X994_5379
ko:K01681	but:X994_5380
ko:K01720	but:X994_5381
ko:K01644	but:X994_5383
ko:K00024	but:X994_5384
ko:K03710	but:X994_5385
ko:K00241	but:X994_5386
ko:K00242	but:X994_5387
ko:K00239	but:X994_5388
ko:K00240	but:X994_5389
ko:K09159	but:X994_5390
ko:K01647	but:X994_5391
ko:K00163	but:X994_5395
ko:K01703	but:X994_5400
ko:K01704	but:X994_5402
ko:K00052	but:X994_5403
ko:K00133	but:X994_5405
ko:K06173	but:X994_5407
ko:K01817	but:X994_5408
ko:K01696	but:X994_5409
ko:K01695	but:X994_5411
ko:K01963	but:X994_5412
ko:K11754	but:X994_5413
ko:K03749	but:X994_5414
ko:K03558	but:X994_5415
ko:K00764	but:X994_5416
ko:K10764	but:X994_5417
ko:K07046	but:X994_3828
ko:K18335	but:X994_3827
ko:K00064	but:X994_3829
ko:K03534	but:X994_3833
ko:K02026	but:X994_3835
ko:K02025	but:X994_3836
ko:K02027	but:X994_3837
ko:K10112	but:X994_3838
ko:K07001	but:X994_3850
ko:K00059	but:X994_3851
ko:K00817	but:X994_3852
ko:K09780	but:X994_3853
ko:K04090	but:X994_3855
ko:K00523	but:X994_3856
ko:K01912	but:X994_3860
ko:K07068	but:X994_3862
ko:K00140	but:X994_3871
ko:K00822	but:X994_3872
ko:K00694	but:X994_3879
ko:K00666	but:X994_3883
ko:K00375	but:X994_3887
ko:K04064	but:X994_3889
ko:K00208	but:X994_3892
ko:K16137	but:X994_3896
ko:K03928	but:X994_3899
ko:K01775	but:X994_3904
ko:K07140	but:X994_3909
ko:K07649	but:X994_3910
ko:K07774	but:X994_3911
ko:K02012	but:X994_3912
ko:K02011	but:X994_3913
ko:K02010	but:X994_3914
ko:K02510	but:X994_3917
ko:K02509	but:X994_3919
ko:K01826	but:X994_3920
ko:K00455	but:X994_3921
ko:K00151	but:X994_3922
ko:K05921	but:X994_3923
ko:K05921	but:X994_3924
ko:K02484	but:X994_3929
ko:K07302	but:X994_3937
ko:K07303	but:X994_3938
ko:K01953	but:X994_3940
ko:K02164	but:X994_3944
ko:K01194	but:X994_3946
ko:K09927	but:X994_3948
ko:K01387	but:X994_3950
ko:K01281	but:X994_3961
ko:K13633	but:X994_3968
ko:K07771	but:X994_3973
ko:K00799	but:X994_3977
ko:K07023	but:X994_3983
ko:K03569	but:X994_3985
ko:K07001	but:X994_3987
ko:K02484	but:X994_3988
ko:K01425	but:X994_3991
ko:K01166	but:X994_3992
ko:K17228	but:X994_3993
ko:K13888	but:X994_3994
ko:K05685	but:X994_3995
ko:K00140	but:X994_4000
ko:K01895	but:X994_4001
ko:K07403	but:X994_4004
ko:K07044	but:X994_4008
ko:K01841	but:X994_4009
ko:K03119	but:X994_4011
ko:K07090	but:X994_4014
ko:K06901	but:X994_4019
ko:K16088	but:X994_4027
ko:K06147	but:X994_4028
ko:K12243	but:X994_4033
ko:K04782	but:X994_4036
ko:K01996	but:X994_4040
ko:K01995	but:X994_4041
ko:K01998	but:X994_4042
ko:K01997	but:X994_4043
ko:K01999	but:X994_4044
ko:K00285	but:X994_4045
ko:K07107	but:X994_4050
ko:K17735	but:X994_4051
ko:K02002	but:X994_4053
ko:K17736	but:X994_4054
ko:K05994	but:X994_4056
ko:K08720	but:X994_4057
ko:K02002	but:X994_4058
ko:K01133	but:X994_4059
ko:K01433	but:X994_4061
ko:K02002	but:X994_4063
ko:K00479	but:X994_4065
ko:K03521	but:X994_4066
ko:K03522	but:X994_4067
ko:K01273	but:X994_4071
ko:K00600	but:X994_4072
ko:K02529	but:X994_4075
ko:K00692	but:X994_4076
ko:K03543	but:X994_4078
ko:K12990	but:X994_4080
ko:K18101	but:X994_4082
ko:K18100	but:X994_4083
ko:K11891	but:X994_4087
ko:K11892	but:X994_4088
ko:K11893	but:X994_4089
ko:K11906	but:X994_4090
ko:K11904	but:X994_4095
ko:K11904	but:X994_4096
ko:K11907	but:X994_4097
ko:K11895	but:X994_4098
ko:K11896	but:X994_4099
ko:K11897	but:X994_4100
ko:K11903	but:X994_4101
ko:K11900	but:X994_4102
ko:K11902	but:X994_4104
ko:K18118	but:X994_4106
ko:K01841	but:X994_4111
ko:K03430	but:X994_4113
ko:K07552	but:X994_4117
ko:K00375	but:X994_4118
ko:K03386	but:X994_4128
ko:K03387	but:X994_4129
ko:K00648	but:X994_4136
ko:K08295	but:X994_4139
ko:K04077	but:X994_4142
ko:K04078	but:X994_4143
ko:K01480	but:X994_4145
ko:K07010	but:X994_4148
ko:K01915	but:X994_4149
ko:K12256	but:X994_4150
ko:K11073	but:X994_4151
ko:K11076	but:X994_4152
ko:K11075	but:X994_4153
ko:K11074	but:X994_4154
ko:K09471	but:X994_4157
ko:K03406	but:X994_4158
ko:K07245	but:X994_4159
ko:K07156	but:X994_4160
ko:K02347	but:X994_4166
ko:K07262	but:X994_4168
ko:K06911	but:X994_4189
ko:K06938	but:X994_2364
ko:K03719	but:X994_2366
ko:K01561	but:X994_2367
ko:K00459	but:X994_2368
ko:K14347	but:X994_2372
ko:K00847	but:X994_2376
ko:K01633	but:X994_2381
ko:K14058	but:X994_2382
ko:K04042	but:X994_2383
ko:K00820	but:X994_2384
ko:K07787	but:X994_2387
ko:K07798	but:X994_2388
ko:K06872	but:X994_2392
ko:K03744	but:X994_2393
ko:K01533	but:X994_2394
ko:K07213	but:X994_2395
ko:K01940	but:X994_2398
ko:K00383	but:X994_2399
ko:K07267	but:X994_2405
ko:K00720	but:X994_2406
ko:K06193	but:X994_2413
ko:K07240	but:X994_2415
ko:K07240	but:X994_2416
ko:K03566	but:X994_2417
ko:K02397	but:X994_2419
ko:K02396	but:X994_2420
ko:K02395	but:X994_2422
ko:K02394	but:X994_2423
ko:K02393	but:X994_2424
ko:K02392	but:X994_2425
ko:K02391	but:X994_2426
ko:K02390	but:X994_2427
ko:K02389	but:X994_2428
ko:K02388	but:X994_2429
ko:K02387	but:X994_2430
ko:K02386	but:X994_2431
ko:K02398	but:X994_2432
ko:K02399	but:X994_2433
ko:K00974	but:X994_2435
ko:K00329	but:X994_2437
ko:K00356	but:X994_2437
ko:K08309	but:X994_2438
ko:K07160	but:X994_2443
ko:K09973	but:X994_2446
ko:K12372	but:X994_2447
ko:K12371	but:X994_2448
ko:K12370	but:X994_2449
ko:K12369	but:X994_2450
ko:K12368	but:X994_2451
ko:K01338	but:X994_2455
ko:K00528	but:X994_2459
ko:K03294	but:X994_2462
ko:K07402	but:X994_2463
ko:K09939	but:X994_2464
ko:K04061	but:X994_2465
ko:K02423	but:X994_2467
ko:K02422	but:X994_2468
ko:K02408	but:X994_2469
ko:K02409	but:X994_2470
ko:K02410	but:X994_2471
ko:K02411	but:X994_2472
ko:K02412	but:X994_2473
ko:K02413	but:X994_2474
ko:K02414	but:X994_2475
ko:K09456	but:X994_2477
ko:K00154	but:X994_2478
ko:K08224	but:X994_2482
ko:K00477	but:X994_2487
ko:K00789	but:X994_2489
ko:K02517	but:X994_2490
ko:K01778	but:X994_2491
ko:K09921	but:X994_2492
ko:K03733	but:X994_2493
ko:K06969	but:X994_2494
ko:K06204	but:X994_2496
ko:K01419	but:X994_2497
ko:K03667	but:X994_2498
ko:K15012	but:X994_2499
ko:K15011	but:X994_2500
ko:K00930	but:X994_2502
ko:K05501	but:X994_2504
ko:K00641	but:X994_2505
ko:K08218	but:X994_2507
ko:K13979	but:X994_2510
ko:K01142	but:X994_2511
ko:K02434	but:X994_2513
ko:K02433	but:X994_2514
ko:K02435	but:X994_2515
ko:K03569	but:X994_2516
ko:K03570	but:X994_2517
ko:K03571	but:X994_2518
ko:K05515	but:X994_2519
ko:K05837	but:X994_2520
ko:K01630	but:X994_2522
ko:K01737	but:X994_2523
ko:K06920	but:X994_2525
ko:K03500	but:X994_2530
ko:K03799	but:X994_2531
ko:K00604	but:X994_2533
ko:K01462	but:X994_2534
ko:K04096	but:X994_2535
ko:K00058	but:X994_2539
ko:K12251	but:X994_2552
ko:K02055	but:X994_2554
ko:K03086	but:X994_2558
ko:K01919	but:X994_2559
ko:K01247	but:X994_2560
ko:K10778	but:X994_2561
ko:K08234	but:X994_2563
ko:K00657	but:X994_2566
ko:K03650	but:X994_2584
ko:K03217	but:X994_2586
ko:K08998	but:X994_2587
ko:K03536	but:X994_2588
ko:K02914	but:X994_2589
ko:K02313	but:X994_2590
ko:K02338	but:X994_2591
ko:K02470	but:X994_2592
ko:K03781	but:X994_2595
ko:K03088	but:X994_2596
ko:K01782	but:X994_2604
ko:K00626	but:X994_2605
ko:K02616	but:X994_2608
ko:K10947	but:X994_2611
ko:K01999	but:X994_2617
ko:K01997	but:X994_2618
ko:K01998	but:X994_2619
ko:K01995	but:X994_2620
ko:K01996	but:X994_2621
ko:K01156	but:X994_2624
ko:K07316	but:X994_2625
ko:K07649	but:X994_2628
ko:K02050	but:X994_2629
ko:K02049	but:X994_2630
ko:K02051	but:X994_2631
ko:K02421	but:X994_2635
ko:K02420	but:X994_2636
ko:K02419	but:X994_2637
ko:K02418	but:X994_2638
ko:K02417	but:X994_2639
ko:K02416	but:X994_2640
ko:K02415	but:X994_2641
ko:K06518	but:X994_2643
ko:K03446	but:X994_2645
ko:K02463	but:X994_2649
ko:K02462	but:X994_2650
ko:K02461	but:X994_2651
ko:K02460	but:X994_2652
ko:K02459	but:X994_2653
ko:K02458	but:X994_2654
ko:K02457	but:X994_2655
ko:K02456	but:X994_2656
ko:K02452	but:X994_2657
ko:K02455	but:X994_2658
ko:K02454	but:X994_2659
ko:K02453	but:X994_2660
ko:K03530	but:X994_2663
ko:K15461	but:X994_2664
ko:K06048	but:X994_2666
ko:K01951	but:X994_2668
ko:K07117	but:X994_2670
ko:K01724	but:X994_2674
ko:K00500	but:X994_2675
ko:K00140	but:X994_2679
ko:K01995	but:X994_2681
ko:K01996	but:X994_2682
ko:K01999	but:X994_2683
ko:K01997	but:X994_2684
ko:K01998	but:X994_2685
ko:K01999	but:X994_2688
ko:K01997	but:X994_2689
ko:K01995	but:X994_2690
ko:K01998	but:X994_2690
ko:K01996	but:X994_2691
ko:K03495	but:X994_2692
ko:K03501	but:X994_2693
ko:K02116	but:X994_2697
ko:K02108	but:X994_2698
ko:K02110	but:X994_2699
ko:K02109	but:X994_2700
ko:K02113	but:X994_2701
ko:K02111	but:X994_2702
ko:K02115	but:X994_2703
ko:K02112	but:X994_2704
ko:K02114	but:X994_2705
ko:K00666	but:X994_2706
ko:K06929	but:X994_2707
ko:K01713	but:X994_2708
ko:K01599	but:X994_2709
ko:K04066	but:X994_2710
ko:K13821	but:X994_2712
ko:K01999	but:X994_2713
ko:K12508	but:X994_2714
ko:K09456	but:X994_2715
ko:K10013	but:X994_2719
ko:K01534	but:X994_2724
ko:K03735	but:X994_2729
ko:K03736	but:X994_2730
ko:K00138	but:X994_2732
ko:K04033	but:X994_2733
ko:K01652	but:X994_2735
ko:K01752	but:X994_2737
ko:K00281	but:X994_2739
ko:K02437	but:X994_2740
ko:K00605	but:X994_2741
ko:K03656	but:X994_2746
ko:K07733	but:X994_2750
ko:K03406	but:X994_2794
ko:K00648	but:X994_2807
ko:K02078	but:X994_2808
ko:K00648	but:X994_2809
ko:K02407	but:X994_2813
ko:K02406	but:X994_2814
ko:K02970	but:X994_2815
ko:K01246	but:X994_2816
ko:K18676	but:X994_2817
ko:K06188	but:X994_2819
ko:K02403	but:X994_2822
ko:K02402	but:X994_2823
ko:K02556	but:X994_2824
ko:K02557	but:X994_2825
ko:K03413	but:X994_2826
ko:K03407	but:X994_2827
ko:K03408	but:X994_2828
ko:K00575	but:X994_2830
ko:K03412	but:X994_2832
ko:K03411	but:X994_2831
ko:K03413	but:X994_2833
ko:K03414	but:X994_2834
ko:K02401	but:X994_2838
ko:K02400	but:X994_2839
ko:K02404	but:X994_2840
ko:K04562	but:X994_2841
ko:K02405	but:X994_2842
ko:K01251	but:X994_2843
ko:K08972	but:X994_2844
ko:K00297	but:X994_2845
ko:K01061	but:X994_2847
ko:K00459	but:X994_2848
ko:K01999	but:X994_2849
ko:K07226	but:X994_2851
ko:K03642	but:X994_2857
ko:K07056	but:X994_2858
ko:K07460	but:X994_2859
ko:K03271	but:X994_2860
ko:K08738	but:X994_2862
ko:K09122	but:X994_2868
ko:K07275	but:X994_2873
ko:K00145	but:X994_2876
ko:K03809	but:X994_2877
ko:K06910	but:X994_2878
ko:K00762	but:X994_2879
ko:K00029	but:X994_2880
ko:K04090	but:X994_2881
ko:K00457	but:X994_2883
ko:K03719	but:X994_2884
ko:K02613	but:X994_2888
ko:K02612	but:X994_2889
ko:K02611	but:X994_2890
ko:K02610	but:X994_2891
ko:K02609	but:X994_2892
ko:K02358	but:X994_2904
ko:K03073	but:X994_2906
ko:K02601	but:X994_2907
ko:K02867	but:X994_2908
ko:K02863	but:X994_2909
ko:K02864	but:X994_2910
ko:K02935	but:X994_2911
ko:K03043	but:X994_2912
ko:K03046	but:X994_2913
ko:K03654	but:X994_2914
ko:K02950	but:X994_2915
ko:K02992	but:X994_2916
ko:K02355	but:X994_2917
ko:K02358	but:X994_2918
ko:K02946	but:X994_2919
ko:K02906	but:X994_2920
ko:K02926	but:X994_2921
ko:K02892	but:X994_2922
ko:K02886	but:X994_2923
ko:K02965	but:X994_2924
ko:K02890	but:X994_2925
ko:K02982	but:X994_2926
ko:K02878	but:X994_2927
ko:K02904	but:X994_2928
ko:K02961	but:X994_2929
ko:K02874	but:X994_2930
ko:K02895	but:X994_2931
ko:K02931	but:X994_2932
ko:K02954	but:X994_2933
ko:K02994	but:X994_2934
ko:K02933	but:X994_2935
ko:K02881	but:X994_2936
ko:K02988	but:X994_2937
ko:K02907	but:X994_2938
ko:K02876	but:X994_2939
ko:K03076	but:X994_2940
ko:K02518	but:X994_2941
ko:K02919	but:X994_2942
ko:K02952	but:X994_2943
ko:K02948	but:X994_2944
ko:K02986	but:X994_2945
ko:K03040	but:X994_2946
ko:K02879	but:X994_2947
ko:K03926	but:X994_2948
ko:K04084	but:X994_2949
ko:K01698	but:X994_2950
ko:K03978	but:X994_2951
ko:K07399	but:X994_2953
ko:K17247	but:X994_2956
ko:K01586	but:X994_2957
ko:K06202	but:X994_2959
ko:K05366	but:X994_2960
ko:K02666	but:X994_2964
ko:K00891	but:X994_2965
ko:K01735	but:X994_2966
ko:K01129	but:X994_2967
ko:K05813	but:X994_2968
ko:K05814	but:X994_2969
ko:K05815	but:X994_2970
ko:K05816	but:X994_2971
ko:K01126	but:X994_2972
ko:K07275	but:X994_2973
ko:K07491	but:X994_2974
ko:K00265	but:X994_2975
ko:K00266	but:X994_2976
ko:K03310	but:X994_2977
ko:K01975	but:X994_2978
ko:K02471	but:X994_2979
ko:K03153	but:X994_2980
ko:K03154	but:X994_2981
ko:K03149	but:X994_2982
ko:K00788	but:X994_2983
ko:K02065	but:X994_2984
ko:K02066	but:X994_2985
ko:K02067	but:X994_2986
ko:K04754	but:X994_2987
ko:K07323	but:X994_2988
ko:K07122	but:X994_2989
ko:K01990	but:X994_2990
ko:K01992	but:X994_2991
ko:K00790	but:X994_2993
ko:K00013	but:X994_2995
ko:K00765	but:X994_2994
ko:K00817	but:X994_2996
ko:K01693	but:X994_2997
ko:K05595	but:X994_2998
ko:K01937	but:X994_165
ko:K01627	but:X994_166
ko:K01689	but:X994_167
ko:K05589	but:X994_168
ko:K04083	but:X994_170
ko:K07053	but:X994_174
ko:K01867	but:X994_177
ko:K01714	but:X994_179
ko:K07287	but:X994_180
ko:K03775	but:X994_184
ko:K03555	but:X994_185
ko:K03596	but:X994_2
ko:K03100	but:X994_3
ko:K03685	but:X994_4
ko:K03584	but:X994_6
ko:K03474	but:X994_7
ko:K00997	but:X994_8
ko:K01207	but:X994_9
ko:K02356	but:X994_11
ko:K03703	but:X994_13
ko:K06911	but:X994_20
ko:K02348	but:X994_21
ko:K07152	but:X994_24
ko:K01087	but:X994_25
ko:K00697	but:X994_26
ko:K06147	but:X994_27
ko:K08983	but:X994_30
ko:K01999	but:X994_32
ko:K01114	but:X994_33
ko:K00868	but:X994_35
ko:K00720	but:X994_38
ko:K10016	but:X994_43
ko:K10015	but:X994_44
