ko:K07004	ssb:SSUBM407_1830
ko:K09963	ssb:SSUBM407_1930
ko:K01222	ssb:SSUBM407_1932
ko:K01869	ssb:SSUBM407_1933
ko:K07386	ssb:SSUBM407_1934
ko:K11709	ssb:SSUBM407_1935
ko:K11708	ssb:SSUBM407_1936
ko:K11707	ssb:SSUBM407_1939
ko:K01754	ssb:SSUBM407_1751
ko:K00053	ssb:SSUBM407_1752
ko:K01653	ssb:SSUBM407_1753
ko:K01652	ssb:SSUBM407_1754
ko:K01687	ssb:SSUBM407_1758
ko:K02996	ssb:SSUBM407_1762
ko:K02871	ssb:SSUBM407_1763
ko:K06962	ssb:SSUBM407_1766
ko:K03218	ssb:SSUBM407_1767
ko:K10112	ssb:SSUBM407_1772
ko:K09704	ssb:SSUBM407_1784
ko:K11145	ssb:SSUBM407_1787
ko:K01883	ssb:SSUBM407_1788
ko:K00640	ssb:SSUBM407_1791
ko:K00962	ssb:SSUBM407_1792
ko:K02809	ssb:SSUBM407_1795
ko:K02810	ssb:SSUBM407_1795
ko:K07106	ssb:SSUBM407_1796
ko:K02956	ssb:SSUBM407_1798
ko:K01462	ssb:SSUBM407_1806
ko:K01704	ssb:SSUBM407_1808
ko:K00052	ssb:SSUBM407_1810
ko:K01649	ssb:SSUBM407_1811
ko:K07078	ssb:SSUBM407_1814
ko:K03763	ssb:SSUBM407_1816
ko:K05878	ssb:SSUBM407_1819
ko:K05879	ssb:SSUBM407_1820
ko:K09685	ssb:SSUBM407_1850
ko:K03698	ssb:SSUBM407_1852
ko:K09760	ssb:SSUBM407_1853
ko:K01783	ssb:SSUBM407_1855
ko:K06949	ssb:SSUBM407_1856
ko:K02528	ssb:SSUBM407_1863
ko:K07560	ssb:SSUBM407_1947
ko:K00869	ssb:SSUBM407_0260
ko:K01597	ssb:SSUBM407_0261
ko:K00938	ssb:SSUBM407_0262
ko:K01823	ssb:SSUBM407_0263
ko:K07166	ssb:SSUBM407_0266
ko:K09157	ssb:SSUBM407_0267
ko:K03705	ssb:SSUBM407_0269
ko:K03687	ssb:SSUBM407_0270
ko:K04043	ssb:SSUBM407_0271
ko:K03686	ssb:SSUBM407_0272
ko:K07727	ssb:SSUBM407_0277
ko:K09825	ssb:SSUBM407_0280
ko:K06173	ssb:SSUBM407_0281
ko:K03545	ssb:SSUBM407_0296
ko:K09815	ssb:SSUBM407_0298
ko:K03048	ssb:SSUBM407_0300
ko:K01937	ssb:SSUBM407_0301
ko:K01624	ssb:SSUBM407_0302
ko:K02902	ssb:SSUBM407_0303
ko:K03655	ssb:SSUBM407_0304
ko:K03706	ssb:SSUBM407_0309
ko:K02884	ssb:SSUBM407_0311
ko:K02435	ssb:SSUBM407_0313
ko:K02433	ssb:SSUBM407_0314
ko:K02434	ssb:SSUBM407_0315
ko:K00567	ssb:SSUBM407_1200
ko:K00831	ssb:SSUBM407_1203
ko:K07056	ssb:SSUBM407_1204
ko:K02341	ssb:SSUBM407_1206
ko:K00943	ssb:SSUBM407_1207
ko:K04767	ssb:SSUBM407_1211
ko:K02238	ssb:SSUBM407_1213
ko:K02237	ssb:SSUBM407_1214
ko:K00655	ssb:SSUBM407_1215
ko:K05362	ssb:SSUBM407_1216
ko:K02013	ssb:SSUBM407_1217
ko:K02016	ssb:SSUBM407_1218
ko:K02015	ssb:SSUBM407_1219
ko:K02015	ssb:SSUBM407_1220
ko:K00432	ssb:SSUBM407_1221
ko:K07393	ssb:SSUBM407_1223
ko:K06878	ssb:SSUBM407_0138
ko:K03111	ssb:SSUBM407_0140
ko:K04078	ssb:SSUBM407_0142
ko:K04077	ssb:SSUBM407_0143
ko:K02950	ssb:SSUBM407_0144
ko:K02992	ssb:SSUBM407_0145
ko:K02355	ssb:SSUBM407_0146
ko:K07386	ssb:SSUBM407_0147
ko:K00134	ssb:SSUBM407_0148
ko:K00927	ssb:SSUBM407_0149
ko:K03713	ssb:SSUBM407_0151
ko:K01915	ssb:SSUBM407_0152
ko:K03789	ssb:SSUBM407_0156
ko:K01409	ssb:SSUBM407_0157
ko:K02025	ssb:SSUBM407_0160
ko:K02026	ssb:SSUBM407_0161
ko:K07007	ssb:SSUBM407_0169
ko:K02822	ssb:SSUBM407_0173
ko:K03475	ssb:SSUBM407_0174
ko:K00615	ssb:SSUBM407_0175
ko:K00615	ssb:SSUBM407_0176
ko:K01126	ssb:SSUBM407_0177
ko:K09747	ssb:SSUBM407_0178
ko:K02082	ssb:SSUBM407_0179
ko:K01281	ssb:SSUBM407_0181
ko:K00656	ssb:SSUBM407_0184
ko:K02346	ssb:SSUBM407_0185
ko:K07118	ssb:SSUBM407_0187
ko:K07457	ssb:SSUBM407_0189
ko:K02761	ssb:SSUBM407_0192
ko:K02050	ssb:SSUBM407_0196
ko:K02049	ssb:SSUBM407_0197
ko:K03570	ssb:SSUBM407_0017
ko:K03571	ssb:SSUBM407_0018
ko:K00948	ssb:SSUBM407_0020
ko:K03584	ssb:SSUBM407_0022
ko:K03621	ssb:SSUBM407_0023
ko:K02078	ssb:SSUBM407_0024
ko:K01923	ssb:SSUBM407_0025
ko:K01952	ssb:SSUBM407_0026
ko:K00764	ssb:SSUBM407_0027
ko:K01933	ssb:SSUBM407_0028
ko:K11175	ssb:SSUBM407_0029
ko:K00602	ssb:SSUBM407_0030
ko:K01945	ssb:SSUBM407_0031
ko:K01588	ssb:SSUBM407_0032
ko:K01589	ssb:SSUBM407_0033
ko:K01756	ssb:SSUBM407_0036
ko:K03551	ssb:SSUBM407_0043
ko:K03572	ssb:SSUBM407_0053
ko:K03550	ssb:SSUBM407_0054
ko:K01246	ssb:SSUBM407_0056
ko:K03553	ssb:SSUBM407_0058
ko:K07447	ssb:SSUBM407_0061
ko:K09962	ssb:SSUBM407_0063
ko:K02946	ssb:SSUBM407_0065
ko:K09903	ssb:SSUBM407_0629
ko:K02838	ssb:SSUBM407_0630
ko:K00243	ssb:SSUBM407_0631
ko:K00077	ssb:SSUBM407_0632
ko:K06217	ssb:SSUBM407_0635
ko:K03449	ssb:SSUBM407_0639
ko:K00791	ssb:SSUBM407_0641
ko:K03665	ssb:SSUBM407_0642
ko:K00784	ssb:SSUBM407_0644
ko:K07124	ssb:SSUBM407_0645
ko:K06131	ssb:SSUBM407_0647
ko:K07462	ssb:SSUBM407_0648
ko:K00759	ssb:SSUBM407_0650
ko:K00651	ssb:SSUBM407_0651
ko:K02086	ssb:SSUBM407_0652
ko:K06967	ssb:SSUBM407_0653
ko:K07238	ssb:SSUBM407_0655
ko:K00973	ssb:SSUBM407_0656
ko:K01790	ssb:SSUBM407_0657
ko:K01710	ssb:SSUBM407_0659
ko:K00067	ssb:SSUBM407_0660
ko:K01448	ssb:SSUBM407_0662
ko:K03631	ssb:SSUBM407_1538
ko:K03402	ssb:SSUBM407_1539
ko:K06442	ssb:SSUBM407_1540
ko:K03602	ssb:SSUBM407_1542
ko:K03601	ssb:SSUBM407_1543
ko:K07054	ssb:SSUBM407_1544
ko:K04069	ssb:SSUBM407_1554
ko:K00763	ssb:SSUBM407_1559
ko:K06941	ssb:SSUBM407_1562
ko:K07177	ssb:SSUBM407_1564
ko:K00954	ssb:SSUBM407_1565
ko:K07778	ssb:SSUBM407_1571
ko:K04047	ssb:SSUBM407_1574
ko:K03216	ssb:SSUBM407_1581
ko:K08998	ssb:SSUBM407_1583
ko:K06178	ssb:SSUBM407_1584
ko:K06024	ssb:SSUBM407_1585
ko:K05896	ssb:SSUBM407_1586
ko:K07095	ssb:SSUBM407_1589
ko:K01776	ssb:SSUBM407_1591
ko:K03693	ssb:SSUBM407_0116
ko:K07272	ssb:SSUBM407_0669
ko:K00054	ssb:SSUBM407_1530
ko:K11754	ssb:SSUBM407_0133
ko:K11754	ssb:SSUBM407_0050
ko:K03574	ssb:SSUBM407_0902
ko:K01424	ssb:SSUBM407_0305
ko:K01104	ssb:SSUBM407_1295
ko:K01104	ssb:SSUBM407_1576
ko:K06183	ssb:SSUBM407_1222
ko:K06183	ssb:SSUBM407_1802
ko:K00215	ssb:SSUBM407_1064
ko:K01119	ssb:SSUBM407_1949
ko:K01784	ssb:SSUBM407_1334
ko:K02823	ssb:SSUBM407_0910
ko:K02242	ssb:SSUBM407_0382
ko:K01079	ssb:SSUBM407_1402
ko:K01916	ssb:SSUBM407_1560
ko:K00917	ssb:SSUBM407_0514
ko:K01193	ssb:SSUBM407_0620
ko:K07025	ssb:SSUBM407_1137
ko:K07025	ssb:SSUBM407_0509
ko:K07025	ssb:SSUBM407_0557
ko:K10947	ssb:SSUBM407_1480
ko:K02824	ssb:SSUBM407_1799
ko:K04518	ssb:SSUBM407_1262
ko:K12573	ssb:SSUBM407_0570
ko:K11189	ssb:SSUBM407_0747
ko:K02531	ssb:SSUBM407_0885
ko:K12556	ssb:SSUBM407_1622
ko:K12555	ssb:SSUBM407_1847
ko:K00805	ssb:SSUBM407_1637
ko:K01421	ssb:SSUBM407_0233
ko:K01534	ssb:SSUBM407_0279
ko:K07284	ssb:SSUBM407_0856
ko:K01992	ssb:SSUBM407_0229
ko:K11072	ssb:SSUBM407_1083
ko:K00687	ssb:SSUBM407_0603
ko:K03294	ssb:SSUBM407_1195
ko:K02503	ssb:SSUBM407_1724
ko:K01537	ssb:SSUBM407_0545
ko:K01491	ssb:SSUBM407_0435
ko:K04072	ssb:SSUBM407_0252
ko:K01791	ssb:SSUBM407_1279
ko:K04517	ssb:SSUBM407_0691
ko:K05337	ssb:SSUBM407_0680
ko:K09702	ssb:SSUBM407_0285
ko:K12996	ssb:SSUBM407_0665
ko:K12997	ssb:SSUBM407_0666
ko:K03574	ssb:SSUBM407_0796
ko:K01515	ssb:SSUBM407_1473
ko:K07192	ssb:SSUBM407_1355
ko:K01488	ssb:SSUBM407_1325
ko:K07052	ssb:SSUBM407_1192
ko:K10117	ssb:SSUBM407_1449
ko:K10118	ssb:SSUBM407_1448
ko:K10119	ssb:SSUBM407_1447
ko:K01191	ssb:SSUBM407_1783
ko:K13953	ssb:SSUBM407_0251
ko:K01961	ssb:SSUBM407_1672
ko:K00805	ssb:SSUBM407_1635
ko:K11710	ssb:SSUBM407_1937
ko:K00951	ssb:SSUBM407_1948
ko:K14228	ssb:SSUBM407_t0008
ko:K14228	ssb:SSUBM407_t0042
ko:K00974	ssb:SSUBM407_1063
ko:K02004	ssb:SSUBM407_1483
ko:K02004	ssb:SSUBM407_1017
ko:K02004	ssb:SSUBM407_0454
ko:K00564	ssb:SSUBM407_0845
ko:K03484	ssb:SSUBM407_1693
ko:K13789	ssb:SSUBM407_1541
ko:K02246	ssb:SSUBM407_0126
ko:K02248	ssb:SSUBM407_0128
ko:K01215	ssb:SSUBM407_1445
ko:K03709	ssb:SSUBM407_1940
ko:K02027	ssb:SSUBM407_0159
ko:K00841	ssb:SSUBM407_0021
ko:K01156	ssb:SSUBM407_1188
ko:K01819	ssb:SSUBM407_0881
ko:K07407	ssb:SSUBM407_0162
ko:K07105	ssb:SSUBM407_1880
ko:K00941	ssb:SSUBM407_1146
ko:K14233	ssb:SSUBM407_t0013
ko:K14233	ssb:SSUBM407_t0023
ko:K01990	ssb:SSUBM407_1323
ko:K00949	ssb:SSUBM407_1854
ko:K14232	ssb:SSUBM407_t0010
ko:K14232	ssb:SSUBM407_t0044
ko:K02236	ssb:SSUBM407_1558
ko:K14225	ssb:SSUBM407_t0020
ko:K14229	ssb:SSUBM407_t0004
ko:K14229	ssb:SSUBM407_t0038
ko:K14228	ssb:SSUBM407_t0030
ko:K05847	ssb:SSUBM407_1491
ko:K03491	ssb:SSUBM407_1929
ko:K01980	ssb:SSUBM407_r0005
ko:K01980	ssb:SSUBM407_r0011
ko:K01980	ssb:SSUBM407_r0008
ko:K01980	ssb:SSUBM407_r0002
ko:K07052	ssb:SSUBM407_0721
ko:K14228	ssb:SSUBM407_t0031
ko:K14224	ssb:SSUBM407_t0022
ko:K14224	ssb:SSUBM407_t0034
ko:K14230	ssb:SSUBM407_t0011
ko:K00058	ssb:SSUBM407_1201
ko:K07335	ssb:SSUBM407_0849
ko:K13653	ssb:SSUBM407_1006
ko:K14155	ssb:SSUBM407_1452
ko:K14221	ssb:SSUBM407_t0003
ko:K14221	ssb:SSUBM407_t0037
ko:K01977	ssb:SSUBM407_r0001
ko:K01977	ssb:SSUBM407_r0004
ko:K01977	ssb:SSUBM407_r0010
ko:K06518	ssb:SSUBM407_0237
ko:K14219	ssb:SSUBM407_t0046
ko:K01977	ssb:SSUBM407_r0007
ko:K14227	ssb:SSUBM407_t0016
ko:K14227	ssb:SSUBM407_t0021
ko:K02786	ssb:SSUBM407_0886
ko:K02786	ssb:SSUBM407_0516
ko:K02029	ssb:SSUBM407_1313
ko:K02013	ssb:SSUBM407_1556
ko:K14225	ssb:SSUBM407_t0007
ko:K14225	ssb:SSUBM407_t0041
ko:K14260	ssb:SSUBM407_0308
ko:K14223	ssb:SSUBM407_t0029
ko:K14223	ssb:SSUBM407_t0047
ko:K14234	ssb:SSUBM407_t0045
ko:K14233	ssb:SSUBM407_t0017
ko:K14234	ssb:SSUBM407_t0006
ko:K14234	ssb:SSUBM407_t0040
ko:K14233	ssb:SSUBM407_t0049
ko:K14228	ssb:SSUBM407_t0052
ko:K00863	ssb:SSUBM407_1817
ko:K14236	ssb:SSUBM407_t0026
ko:K14236	ssb:SSUBM407_t0048
ko:K14230	ssb:SSUBM407_t0012
ko:K07025	ssb:SSUBM407_1394
ko:K00868	ssb:SSUBM407_0282
ko:K14237	ssb:SSUBM407_t0002
ko:K14237	ssb:SSUBM407_t0019
ko:K14237	ssb:SSUBM407_t0036
ko:K01978	ssb:SSUBM407_m0002
ko:K08234	ssb:SSUBM407_0622
ko:K14230	ssb:SSUBM407_t0014
ko:K14230	ssb:SSUBM407_t0024
ko:K07052	ssb:SSUBM407_0723
ko:K02030	ssb:SSUBM407_1311
ko:K14222	ssb:SSUBM407_t0051
ko:K00674	ssb:SSUBM407_1902
ko:K01983	ssb:SSUBM407_m0012
ko:K14231	ssb:SSUBM407_t0015
ko:K14231	ssb:SSUBM407_t0025
ko:K14982	ssb:SSUBM407_0840
ko:K11618	ssb:SSUBM407_0376
ko:K11617	ssb:SSUBM407_0375
ko:K14983	ssb:SSUBM407_0839
ko:K02057	ssb:SSUBM407_0852
ko:K01985	ssb:SSUBM407_r0003
ko:K01985	ssb:SSUBM407_r0012
ko:K01985	ssb:SSUBM407_r0006
ko:K01985	ssb:SSUBM407_r0009
ko:K01271	ssb:SSUBM407_0586
ko:K06148	ssb:SSUBM407_0869
ko:K00561	ssb:SSUBM407_0952
ko:K07467	ssb:SSUBM407_0491
ko:K01992	ssb:SSUBM407_1132
ko:K01990	ssb:SSUBM407_1131
ko:K14188	ssb:SSUBM407_1226
ko:K14218	ssb:SSUBM407_t0001
ko:K14218	ssb:SSUBM407_t0032
ko:K14218	ssb:SSUBM407_t0018
ko:K14218	ssb:SSUBM407_t0035
ko:K02003	ssb:SSUBM407_0453
ko:K15035	ssb:SSUBM407_m0008
ko:K08986	ssb:SSUBM407_0762
ko:K02817	ssb:SSUBM407_0208
ko:K02818	ssb:SSUBM407_0208
ko:K02819	ssb:SSUBM407_0208
ko:K02056	ssb:SSUBM407_0850
ko:K15051	ssb:SSUBM407_0777
ko:K02005	ssb:SSUBM407_0452
ko:K07404	ssb:SSUBM407_1392
ko:K01990	ssb:SSUBM407_1723
ko:K01990	ssb:SSUBM407_0231
ko:K14219	ssb:SSUBM407_t0050
ko:K10041	ssb:SSUBM407_0597
ko:K06893	ssb:SSUBM407_2011
ko:K02057	ssb:SSUBM407_0851
ko:K00965	ssb:SSUBM407_0320
ko:K03436	ssb:SSUBM407_1069
ko:K04750	ssb:SSUBM407_1133
ko:K07720	ssb:SSUBM407_1774
ko:K14235	ssb:SSUBM407_t0027
ko:K07491	ssb:SSUBM407_0842
ko:K14226	ssb:SSUBM407_t0028
ko:K14228	ssb:SSUBM407_t0005
ko:K14228	ssb:SSUBM407_t0039
ko:K14219	ssb:SSUBM407_t0009
ko:K14219	ssb:SSUBM407_t0043
ko:K03493	ssb:SSUBM407_1911
ko:K10947	ssb:SSUBM407_0236
ko:K10947	ssb:SSUBM407_0810
ko:K01819	ssb:SSUBM407_0882
ko:K01819	ssb:SSUBM407_0512
ko:K01819	ssb:SSUBM407_0513
ko:K01261	ssb:SSUBM407_0134
ko:K10039	ssb:SSUBM407_0596
ko:K12996	ssb:SSUBM407_1293
ko:K03574	ssb:SSUBM407_0430
ko:K07729	ssb:SSUBM407_1625
ko:K14540	ssb:SSUBM407_0921
ko:K06948	ssb:SSUBM407_0325
ko:K11749	ssb:SSUBM407_1824
ko:K06919	ssb:SSUBM407_1409
ko:K19689	ssb:SSUBM407_1813
ko:K06198	ssb:SSUBM407_0706
ko:K01207	ssb:SSUBM407_0788
ko:K00547	ssb:SSUBM407_1883
ko:K01153	ssb:SSUBM407_1179
ko:K01071	ssb:SSUBM407_1339
ko:K10040	ssb:SSUBM407_0594
ko:K07718	ssb:SSUBM407_1775
ko:K02794	ssb:SSUBM407_0391
ko:K03574	ssb:SSUBM407_1867
ko:K07052	ssb:SSUBM407_0462
ko:K08316	ssb:SSUBM407_1566
ko:K03088	ssb:SSUBM407_0536
ko:K01467	ssb:SSUBM407_0012
ko:K00571	ssb:SSUBM407_0130
ko:K01101	ssb:SSUBM407_1337
ko:K03215	ssb:SSUBM407_1260
ko:K02428	ssb:SSUBM407_1590
ko:K00845	ssb:SSUBM407_0511
ko:K15738	ssb:SSUBM407_1062
ko:K01835	ssb:SSUBM407_1186
ko:K15986	ssb:SSUBM407_1552
ko:K13677	ssb:SSUBM407_0589
ko:K15975	ssb:SSUBM407_1153
ko:K07467	ssb:SSUBM407_0973
ko:K07491	ssb:SSUBM407_1482
ko:K02424	ssb:SSUBM407_1923
ko:K10009	ssb:SSUBM407_1922
ko:K10716	ssb:SSUBM407_0826
ko:K16511	ssb:SSUBM407_1745
ko:K01739	ssb:SSUBM407_1453
ko:K07260	ssb:SSUBM407_1134
ko:K16509	ssb:SSUBM407_0827
ko:K16214	ssb:SSUBM407_0967
ko:K06147	ssb:SSUBM407_0995
ko:K16785	ssb:SSUBM407_0356
ko:K03699	ssb:SSUBM407_1555
ko:K01223	ssb:SSUBM407_1931
ko:K05349	ssb:SSUBM407_1994
ko:K15770	ssb:SSUBM407_1980d
ko:K01989	ssb:SSUBM407_0696
ko:K16787	ssb:SSUBM407_1138
ko:K16785	ssb:SSUBM407_1140
ko:K01223	ssb:SSUBM407_0170
ko:K15772	ssb:SSUBM407_1982
ko:K15771	ssb:SSUBM407_1981
ko:K16786	ssb:SSUBM407_2018
ko:K16787	ssb:SSUBM407_2017
ko:K16785	ssb:SSUBM407_2016
ko:K16788	ssb:SSUBM407_1879
ko:K16789	ssb:SSUBM407_0530
ko:K01989	ssb:SSUBM407_0697
ko:K08168	ssb:SSUBM407_0984
ko:K16786	ssb:SSUBM407_1139
ko:K18830	ssb:SSUBM407_0966
ko:K16786	ssb:SSUBM407_0258
ko:K16787	ssb:SSUBM407_0258
ko:K10009	ssb:SSUBM407_0276
ko:K02424	ssb:SSUBM407_0275
ko:K16786	ssb:SSUBM407_0355
ko:K16787	ssb:SSUBM407_0355
ko:K16923	ssb:SSUBM407_1141
ko:K16785	ssb:SSUBM407_0257
ko:K11991	ssb:SSUBM407_1908
ko:K16868	ssb:SSUBM407_0573
ko:K16924	ssb:SSUBM407_0351
ko:K16926	ssb:SSUBM407_0256
ko:K16898	ssb:SSUBM407_p015
ko:K16899	ssb:SSUBM407_p016
ko:K14220	ssb:SSUBM407_t0033
ko:K01992	ssb:SSUBM407_0230
ko:K10010	ssb:SSUBM407_1921
ko:K02029	ssb:SSUBM407_0896
ko:K02030	ssb:SSUBM407_0896
ko:K17318	ssb:SSUBM407_0619
ko:K17318	ssb:SSUBM407_1778
ko:K17319	ssb:SSUBM407_0617
ko:K17319	ssb:SSUBM407_1780
ko:K01990	ssb:SSUBM407_0168
ko:K02028	ssb:SSUBM407_0895
ko:K17320	ssb:SSUBM407_0618
ko:K17320	ssb:SSUBM407_1779
ko:K02030	ssb:SSUBM407_0903
ko:K02030	ssb:SSUBM407_0904
ko:K17076	ssb:SSUBM407_1748
ko:K02029	ssb:SSUBM407_0433
ko:K17073	ssb:SSUBM407_1747
ko:K17074	ssb:SSUBM407_1747
ko:K01990	ssb:SSUBM407_1573
ko:K01992	ssb:SSUBM407_1572
ko:K17686	ssb:SSUBM407_0575
ko:K17828	ssb:SSUBM407_0911
ko:K03486	ssb:SSUBM407_0344
ko:K02004	ssb:SSUBM407_0579
ko:K01990	ssb:SSUBM407_0996
ko:K00355	ssb:SSUBM407_1510
ko:K12574	ssb:SSUBM407_1379
ko:K18216	ssb:SSUBM407_0555
ko:K18220	ssb:SSUBM407_0483
ko:K18220	ssb:SSUBM407_0954
ko:K18220	ssb:SSUBM407_0983
ko:K18217	ssb:SSUBM407_0556
ko:K03742	ssb:SSUBM407_0057
ko:K18474	ssb:SSUBM407_1682
ko:K16235	ssb:SSUBM407_1884
ko:K07498	ssb:SSUBM407_1125
ko:K18581	ssb:SSUBM407_0731
ko:K18682	ssb:SSUBM407_0366
ko:K06896	ssb:SSUBM407_0345
ko:K18672	ssb:SSUBM407_1369
ko:K18692	ssb:SSUBM407_1619
ko:K06218	ssb:SSUBM407_1395
ko:K18815	ssb:SSUBM407_1359
ko:K06218	ssb:SSUBM407_1249
ko:K18892	ssb:SSUBM407_1894
ko:K18891	ssb:SSUBM407_1895
ko:K03790	ssb:SSUBM407_1508
ko:K18888	ssb:SSUBM407_1088
ko:K18887	ssb:SSUBM407_1089
ko:K07029	ssb:SSUBM407_0765
ko:K19055	ssb:SSUBM407_1381
ko:K19002	ssb:SSUBM407_0590
ko:K18979	ssb:SSUBM407_0549
ko:K07498	ssb:SSUBM407_p005
ko:K07498	ssb:SSUBM407_p014
ko:K18986	ssb:SSUBM407_1546
ko:K02851	ssb:SSUBM407_1744
ko:K18987	ssb:SSUBM407_1547
ko:K19005	ssb:SSUBM407_0687
ko:K07452	ssb:SSUBM407_1033
ko:K19159	ssb:SSUBM407_1866
ko:K19147	ssb:SSUBM407_1032
ko:K19158	ssb:SSUBM407_1865
ko:K05881	ssb:SSUBM407_1821
ko:K19271	ssb:SSUBM407_0980
ko:K19302	ssb:SSUBM407_1579
ko:K12952	ssb:SSUBM407_0609
ko:K04771	ssb:SSUBM407_2032
ko:K06881	ssb:SSUBM407_1427
ko:K00887	ssb:SSUBM407_0563
ko:K21636	ssb:SSUBM407_1968
ko:K20074	ssb:SSUBM407_0372
ko:K12132	ssb:SSUBM407_0373
ko:K20073	ssb:SSUBM407_0364
ko:K02777	ssb:SSUBM407_0346
ko:K20107	ssb:SSUBM407_0346
ko:K20108	ssb:SSUBM407_0346
ko:K20342	ssb:SSUBM407_0046
ko:K20459	ssb:SSUBM407_1013
ko:K20460	ssb:SSUBM407_1014
ko:K20461	ssb:SSUBM407_1015
ko:K20487	ssb:SSUBM407_1000
ko:K20488	ssb:SSUBM407_0999
ko:K20489	ssb:SSUBM407_1012
ko:K18889	ssb:SSUBM407_0265
ko:K18890	ssb:SSUBM407_0264
ko:K21064	ssb:SSUBM407_1656
ko:K08968	ssb:SSUBM407_1518
ko:K21471	ssb:SSUBM407_0019
ko:K21567	ssb:SSUBM407_1848
ko:K21828	ssb:SSUBM407_1243
ko:K21977	ssb:SSUBM407_1183
ko:K22044	ssb:SSUBM407_0222
ko:K03078	ssb:SSUBM407_1915
ko:K22278	ssb:SSUBM407_1524
ko:K17758	ssb:SSUBM407_1076
ko:K03077	ssb:SSUBM407_1913
ko:K03079	ssb:SSUBM407_1914
ko:K22441	ssb:SSUBM407_0790
ko:K22457	ssb:SSUBM407_1252
