ko:K09896	eclo:ENC_00120
ko:K02517	eclo:ENC_09650
ko:K02355	eclo:ENC_09690
ko:K00675	eclo:ENC_09710
ko:K02575	eclo:ENC_09770
ko:K08349	eclo:ENC_09850
ko:K03885	eclo:ENC_09900
ko:K02972	eclo:ENC_09950
ko:K01902	eclo:ENC_20090
ko:K00658	eclo:ENC_20120
ko:K00164	eclo:ENC_20130
ko:K00240	eclo:ENC_20140
ko:K00239	eclo:ENC_20150
ko:K00242	eclo:ENC_20160
ko:K01647	eclo:ENC_20180
ko:K07160	eclo:ENC_20200
ko:K01669	eclo:ENC_20260
ko:K01547	eclo:ENC_20320
ko:K01548	eclo:ENC_20330
ko:K07646	eclo:ENC_20340
ko:K01581	eclo:ENC_20360
ko:K03645	eclo:ENC_20390
ko:K03839	eclo:ENC_20420
ko:K01886	eclo:ENC_20470
ko:K02565	eclo:ENC_20500
ko:K01953	eclo:ENC_20520
ko:K03184	eclo:ENC_20540
ko:K06168	eclo:ENC_20550
ko:K07042	eclo:ENC_20580
ko:K06189	eclo:ENC_20590
ko:K03820	eclo:ENC_20600
ko:K10001	eclo:ENC_20610
ko:K10003	eclo:ENC_20620
ko:K10002	eclo:ENC_20630
ko:K10004	eclo:ENC_20640
ko:K02030	eclo:ENC_13500
ko:K02030	eclo:ENC_09590
ko:K10009	eclo:ENC_05580
ko:K10010	eclo:ENC_05590
ko:K01995	eclo:ENC_05720
ko:K01998	eclo:ENC_05730
ko:K01997	eclo:ENC_05740
ko:K01999	eclo:ENC_05750
ko:K07039	eclo:ENC_05760
ko:K03834	eclo:ENC_05770
ko:K02217	eclo:ENC_05790
ko:K02255	eclo:ENC_05840
ko:K13821	eclo:ENC_16200
ko:K09021	eclo:ENC_16310
ko:K09023	eclo:ENC_16320
ko:K09019	eclo:ENC_16330
ko:K09024	eclo:ENC_16340
ko:K09016	eclo:ENC_16350
ko:K03809	eclo:ENC_16400
ko:K06213	eclo:ENC_16490
ko:K02016	eclo:ENC_16520
ko:K02015	eclo:ENC_16530
ko:K02013	eclo:ENC_16540
ko:K01512	eclo:ENC_16590
ko:K06969	eclo:ENC_16600
ko:K11940	eclo:ENC_16610
ko:K06929	eclo:ENC_16620
ko:K01734	eclo:ENC_16650
ko:K03658	eclo:ENC_16660
ko:K09911	eclo:ENC_16720
ko:K04770	eclo:ENC_16740
ko:K09857	eclo:ENC_16770
ko:K06192	eclo:ENC_16780
ko:K03808	eclo:ENC_16790
ko:K15738	eclo:ENC_16800
ko:K12297	eclo:ENC_16820
ko:K07140	eclo:ENC_16830
ko:K01999	eclo:ENC_26510
ko:K03089	eclo:ENC_26530
ko:K09811	eclo:ENC_26540
ko:K09812	eclo:ENC_26550
ko:K03110	eclo:ENC_26560
ko:K08993	eclo:ENC_26580
ko:K01534	eclo:ENC_26610
ko:K09125	eclo:ENC_26660
ko:K02078	eclo:ENC_26730
ko:K02078	eclo:ENC_26740
ko:K09458	eclo:ENC_26860
ko:K06133	eclo:ENC_26870
ko:K12962	eclo:ENC_26890
ko:K07264	eclo:ENC_26900
ko:K13014	eclo:ENC_26910
ko:K10011	eclo:ENC_26920
ko:K07806	eclo:ENC_26940
ko:K13727	eclo:ENC_26950
ko:K16322	eclo:ENC_27010
ko:K06144	eclo:ENC_27020
ko:K01414	eclo:ENC_27050
ko:K07115	eclo:ENC_27070
ko:K02532	eclo:ENC_36510
ko:K02013	eclo:ENC_36580
ko:K02015	eclo:ENC_36590
ko:K02015	eclo:ENC_36600
ko:K02016	eclo:ENC_36610
ko:K16091	eclo:ENC_36620
ko:K03088	eclo:ENC_36650
ko:K05811	eclo:ENC_36740
ko:K03672	eclo:ENC_36780
ko:K03648	eclo:ENC_36810
ko:K05590	eclo:ENC_36840
ko:K03088	eclo:ENC_36870
ko:K03597	eclo:ENC_36880
ko:K03598	eclo:ENC_36890
ko:K03596	eclo:ENC_36920
ko:K03100	eclo:ENC_36930
ko:K03685	eclo:ENC_36940
ko:K03584	eclo:ENC_36960
ko:K03474	eclo:ENC_36970
ko:K00997	eclo:ENC_36980
ko:K07106	eclo:ENC_37010
ko:K07711	eclo:ENC_37080
ko:K07715	eclo:ENC_37100
ko:K01869	eclo:ENC_20680
ko:K02340	eclo:ENC_20700
ko:K06879	eclo:ENC_30390
ko:K06966	eclo:ENC_30400
ko:K03837	eclo:ENC_30410
ko:K01752	eclo:ENC_30420
ko:K01146	eclo:ENC_30430
ko:K06968	eclo:ENC_30440
ko:K01766	eclo:ENC_30480
ko:K02426	eclo:ENC_30490
ko:K08304	eclo:ENC_30510
ko:K01448	eclo:ENC_30520
ko:K14682	eclo:ENC_30530
ko:K03582	eclo:ENC_30560
ko:K01407	eclo:ENC_30570
ko:K02680	eclo:ENC_30600
ko:K02679	eclo:ENC_30610
ko:K13292	eclo:ENC_30640
ko:K08484	eclo:ENC_30650
ko:K08311	eclo:ENC_30660
ko:K08227	eclo:ENC_30700
ko:K05939	eclo:ENC_30710
ko:K02529	eclo:ENC_30720
ko:K02761	eclo:ENC_30760
ko:K01586	eclo:ENC_30780
ko:K10193	eclo:ENC_30830
ko:K10194	eclo:ENC_30840
ko:K10195	eclo:ENC_30860
ko:K10192	eclo:ENC_30870
ko:K06975	eclo:ENC_30970
ko:K05845	eclo:ENC_40360
ko:K05847	eclo:ENC_40390
ko:K02478	eclo:ENC_40420
ko:K01874	eclo:ENC_40450
ko:K01991	eclo:ENC_40490
ko:K16692	eclo:ENC_40510
ko:K00836	eclo:ENC_40540
ko:K00878	eclo:ENC_40590
ko:K00007	eclo:ENC_40710
ko:K02034	eclo:ENC_40800
ko:K08303	eclo:ENC_40850
ko:K07664	eclo:ENC_40880
ko:K07642	eclo:ENC_40890
ko:K07799	eclo:ENC_40950
ko:K01247	eclo:ENC_40970
ko:K00876	eclo:ENC_41010
ko:K01494	eclo:ENC_41020
ko:K07289	eclo:ENC_41030
ko:K01991	eclo:ENC_41050
ko:K16692	eclo:ENC_41070
ko:K13620	eclo:ENC_41090
ko:K13683	eclo:ENC_41100
ko:K03818	eclo:ENC_41110
ko:K02317	eclo:ENC_44800
ko:K02761	eclo:ENC_44880
ko:K13255	eclo:ENC_44890
ko:K03789	eclo:ENC_44940
ko:K02837	eclo:ENC_44960
ko:K01839	eclo:ENC_45060
ko:K03800	eclo:ENC_45080
ko:K01079	eclo:ENC_45100
ko:K06211	eclo:ENC_45120
ko:K03720	eclo:ENC_45180
ko:K05804	eclo:ENC_45210
ko:K05805	eclo:ENC_45220
ko:K07773	eclo:ENC_45230
ko:K12524	eclo:ENC_45260
ko:K00872	eclo:ENC_45270
ko:K01733	eclo:ENC_45280
ko:K09861	eclo:ENC_45300
ko:K03831	eclo:ENC_45330
ko:K10537	eclo:ENC_05860
ko:K10539	eclo:ENC_05870
ko:K10538	eclo:ENC_05890
ko:K00697	eclo:ENC_05910
ko:K14064	eclo:ENC_05920
ko:K02403	eclo:ENC_05940
ko:K02402	eclo:ENC_05950
ko:K02556	eclo:ENC_05960
ko:K02557	eclo:ENC_05970
ko:K03407	eclo:ENC_05980
ko:K03408	eclo:ENC_05990
ko:K07347	eclo:ENC_06050
ko:K05877	eclo:ENC_06090
ko:K03412	eclo:ENC_06110
ko:K03413	eclo:ENC_06120
ko:K03414	eclo:ENC_06130
ko:K02400	eclo:ENC_06150
ko:K03516	eclo:ENC_06160
ko:K16210	eclo:ENC_06170
ko:K09907	eclo:ENC_06200
ko:K15257	eclo:ENC_06220
ko:K15256	eclo:ENC_06230
ko:K07136	eclo:ENC_06240
ko:K08310	eclo:ENC_06300
ko:K01159	eclo:ENC_06320
ko:K03550	eclo:ENC_06330
ko:K09816	eclo:ENC_06360
ko:K02560	eclo:ENC_06400
ko:K00873	eclo:ENC_06410
ko:K00036	eclo:ENC_06430
ko:K01690	eclo:ENC_06440
ko:K01625	eclo:ENC_06450
ko:K08289	eclo:ENC_06460
ko:K01354	eclo:ENC_06480
ko:K10857	eclo:ENC_06500
ko:K07156	eclo:ENC_06530
ko:K00299	eclo:ENC_16860
ko:K15553	eclo:ENC_16870
ko:K15554	eclo:ENC_16900
ko:K01256	eclo:ENC_16920
ko:K00763	eclo:ENC_17500
ko:K01893	eclo:ENC_17510
ko:K01194	eclo:ENC_27110
ko:K07058	eclo:ENC_27190
ko:K07290	eclo:ENC_27210
ko:K00874	eclo:ENC_27230
ko:K11103	eclo:ENC_27250
ko:K00694	eclo:ENC_27310
ko:K00075	eclo:ENC_27380
ko:K13684	eclo:ENC_27390
ko:K04751	eclo:ENC_37110
ko:K00600	eclo:ENC_37150
ko:K15977	eclo:ENC_37160
ko:K05820	eclo:ENC_37170
ko:K15396	eclo:ENC_37220
ko:K13643	eclo:ENC_37230
ko:K04487	eclo:ENC_37240
ko:K04082	eclo:ENC_37270
ko:K04044	eclo:ENC_37280
ko:K04755	eclo:ENC_37290
ko:K01232	eclo:ENC_37360
ko:K06894	eclo:ENC_37380
ko:K05367	eclo:ENC_37390
ko:K07306	eclo:ENC_37400
ko:K06941	eclo:ENC_37450
ko:K15539	eclo:ENC_37460
ko:K03305	eclo:ENC_37530
ko:K01951	eclo:ENC_37610
ko:K05804	eclo:ENC_37620
ko:K01524	eclo:ENC_37770
ko:K00937	eclo:ENC_37780
ko:K09933	eclo:ENC_41880
ko:K03288	eclo:ENC_41910
ko:K01676	eclo:ENC_41940
ko:K11106	eclo:ENC_41950
ko:K03734	eclo:ENC_41970
ko:K07701	eclo:ENC_41990
ko:K06950	eclo:ENC_42020
ko:K09781	eclo:ENC_42070
ko:K07026	eclo:ENC_42110
ko:K07781	eclo:ENC_42140
ko:K02419	eclo:ENC_42160
ko:K02418	eclo:ENC_42170
ko:K02417	eclo:ENC_42180
ko:K02416	eclo:ENC_42190
ko:K02415	eclo:ENC_42200
ko:K08641	eclo:ENC_10100
ko:K01193	eclo:ENC_10160
ko:K03805	eclo:ENC_10220
ko:K03182	eclo:ENC_10250
ko:K08169	eclo:ENC_10420
ko:K01425	eclo:ENC_10670
ko:K08324	eclo:ENC_10690
ko:K13632	eclo:ENC_10790
ko:K13630	eclo:ENC_10800
ko:K00969	eclo:ENC_20710
ko:K05515	eclo:ENC_20740
ko:K05837	eclo:ENC_20750
ko:K03642	eclo:ENC_20760
ko:K09158	eclo:ENC_20780
ko:K03801	eclo:ENC_20790
ko:K03644	eclo:ENC_20820
ko:K03425	eclo:ENC_20830
ko:K06199	eclo:ENC_20850
ko:K03704	eclo:ENC_20870
ko:K01169	eclo:ENC_20980
ko:K11202	eclo:ENC_20990
ko:K11203	eclo:ENC_21000
ko:K08326	eclo:ENC_21010
ko:K08483	eclo:ENC_21030
ko:K11189	eclo:ENC_21030
ko:K11201	eclo:ENC_21030
ko:K06140	eclo:ENC_21060
ko:K03387	eclo:ENC_21110
ko:K14287	eclo:ENC_21160
ko:K09880	eclo:ENC_21180
ko:K08967	eclo:ENC_21190
ko:K08317	eclo:ENC_21290
ko:K06200	eclo:ENC_21350
ko:K00216	eclo:ENC_21370
ko:K01252	eclo:ENC_21380
ko:K02363	eclo:ENC_21390
ko:K02361	eclo:ENC_21400
ko:K07217	eclo:ENC_31020
ko:K00425	eclo:ENC_31030
ko:K00426	eclo:ENC_31040
ko:K05343	eclo:ENC_31050
ko:K06076	eclo:ENC_31160
ko:K11903	eclo:ENC_31190
ko:K02836	eclo:ENC_31260
ko:K03981	eclo:ENC_31290
ko:K03840	eclo:ENC_31310
ko:K09159	eclo:ENC_31330
ko:K11068	eclo:ENC_31350
ko:K01223	eclo:ENC_31380
ko:K00281	eclo:ENC_31430
ko:K02437	eclo:ENC_31440
ko:K00605	eclo:ENC_31450
ko:K03185	eclo:ENC_31470
ko:K09895	eclo:ENC_31490
ko:K09888	eclo:ENC_31500
ko:K01807	eclo:ENC_31530
ko:K05596	eclo:ENC_31540
ko:K09807	eclo:ENC_31550
ko:K06895	eclo:ENC_31560
ko:K00927	eclo:ENC_31600
ko:K02377	eclo:ENC_41140
ko:K03207	eclo:ENC_41150
ko:K16695	eclo:ENC_41200
ko:K16710	eclo:ENC_41210
ko:K16703	eclo:ENC_41220
ko:K00963	eclo:ENC_41240
ko:K00067	eclo:ENC_41260
ko:K00973	eclo:ENC_41270
ko:K08679	eclo:ENC_41400
ko:K11755	eclo:ENC_41430
ko:K02500	eclo:ENC_41440
ko:K01814	eclo:ENC_41450
ko:K02501	eclo:ENC_41460
ko:K01089	eclo:ENC_41470
ko:K00817	eclo:ENC_41480
ko:K00013	eclo:ENC_41490
ko:K00765	eclo:ENC_41500
ko:K01141	eclo:ENC_41550
ko:K07470	eclo:ENC_41570
ko:K01241	eclo:ENC_41600
ko:K12973	eclo:ENC_41620
ko:K04043	eclo:ENC_45370
ko:K03686	eclo:ENC_45380
ko:K03717	eclo:ENC_45400
ko:K02968	eclo:ENC_45410
ko:K11753	eclo:ENC_45420
ko:K01870	eclo:ENC_45430
ko:K03101	eclo:ENC_45440
ko:K03774	eclo:ENC_45450
ko:K06859	eclo:ENC_45480
ko:K06859	eclo:ENC_45490
ko:K02529	eclo:ENC_45550
ko:K00215	eclo:ENC_45560
ko:K01956	eclo:ENC_45570
ko:K01955	eclo:ENC_45580
ko:K11746	eclo:ENC_45610
ko:K06195	eclo:ENC_45650
ko:K02528	eclo:ENC_45660
ko:K00097	eclo:ENC_45670
ko:K03771	eclo:ENC_45680
ko:K05801	eclo:ENC_45700
ko:K03580	eclo:ENC_45720
ko:K01804	eclo:ENC_45750
ko:K02062	eclo:ENC_45790
ko:K11925	eclo:ENC_45820
ko:K03291	eclo:ENC_45830
ko:K01704	eclo:ENC_45850
ko:K01703	eclo:ENC_45860
ko:K00052	eclo:ENC_45870
ko:K01652	eclo:ENC_45900
ko:K01653	eclo:ENC_45910
ko:K03925	eclo:ENC_45930
ko:K03438	eclo:ENC_45940
ko:K03586	eclo:ENC_45950
ko:K03587	eclo:ENC_45960
ko:K15633	eclo:ENC_02300
ko:K00060	eclo:ENC_02360
ko:K03274	eclo:ENC_02380
ko:K02841	eclo:ENC_02400
ko:K02847	eclo:ENC_02440
ko:K02844	eclo:ENC_02480
ko:K00954	eclo:ENC_02530
ko:K02913	eclo:ENC_02550
ko:K03630	eclo:ENC_02570
ko:K13038	eclo:ENC_02580
ko:K05501	eclo:ENC_02600
ko:K00762	eclo:ENC_02610
ko:K00989	eclo:ENC_02620
ko:K16692	eclo:ENC_02650
ko:K01991	eclo:ENC_02670
ko:K01972	eclo:ENC_02710
ko:K00942	eclo:ENC_02720
ko:K03060	eclo:ENC_02730
ko:K00556	eclo:ENC_02750
ko:K03655	eclo:ENC_02760
ko:K03312	eclo:ENC_02770
ko:K16345	eclo:ENC_02780
ko:K01811	eclo:ENC_02800
ko:K07733	eclo:ENC_02870
ko:K03827	eclo:ENC_02950
ko:K10773	eclo:ENC_13030
ko:K00868	eclo:ENC_13060
ko:K01866	eclo:ENC_13080
ko:K00275	eclo:ENC_13090
ko:K09001	eclo:ENC_13110
ko:K06077	eclo:ENC_13120
ko:K06938	eclo:ENC_13210
ko:K03760	eclo:ENC_13220
ko:K16137	eclo:ENC_13230
ko:K10680	eclo:ENC_13240
ko:K03683	eclo:ENC_13260
ko:K07390	eclo:ENC_13270
ko:K00574	eclo:ENC_13360
ko:K00793	eclo:ENC_13370
ko:K03327	eclo:ENC_13390
ko:K01673	eclo:ENC_13450
ko:K02029	eclo:ENC_13520
ko:K02029	eclo:ENC_13530
ko:K02073	eclo:ENC_13550
ko:K02071	eclo:ENC_13580
ko:K01697	eclo:ENC_13590
ko:K00873	eclo:ENC_13620
ko:K03072	eclo:ENC_23520
ko:K03210	eclo:ENC_23530
ko:K00773	eclo:ENC_23540
ko:K07568	eclo:ENC_23550
ko:K08682	eclo:ENC_23560
ko:K03311	eclo:ENC_23620
ko:K03547	eclo:ENC_23660
ko:K09913	eclo:ENC_23700
ko:K14591	eclo:ENC_23710
ko:K09768	eclo:ENC_23740
ko:K00286	eclo:ENC_23750
ko:K01698	eclo:ENC_23910
ko:K03119	eclo:ENC_23930
ko:K15551	eclo:ENC_23970
ko:K09982	eclo:ENC_24050
ko:K11391	eclo:ENC_33430
ko:K07043	eclo:ENC_33440
ko:K07862	eclo:ENC_33470
ko:K01685	eclo:ENC_33480
ko:K01812	eclo:ENC_33490
ko:K08191	eclo:ENC_33500
ko:K15977	eclo:ENC_33580
ko:K00656	eclo:ENC_33650
ko:K03838	eclo:ENC_33670
ko:K01754	eclo:ENC_33680
ko:K07592	eclo:ENC_33690
ko:K00865	eclo:ENC_33700
ko:K16371	eclo:ENC_33750
ko:K02082	eclo:ENC_33790
ko:K07056	eclo:ENC_33840
ko:K07121	eclo:ENC_33850
ko:K07460	eclo:ENC_33860
ko:K05520	eclo:ENC_33910
ko:K09979	eclo:ENC_33920
ko:K07461	eclo:ENC_33930
ko:K03824	eclo:ENC_33940
ko:K08303	eclo:ENC_33960
ko:K03835	eclo:ENC_33990
ko:K05592	eclo:ENC_34000
ko:K02956	eclo:ENC_34030
ko:K09897	eclo:ENC_47850
ko:K09824	eclo:ENC_06560
ko:K03808	eclo:ENC_06620
ko:K03607	eclo:ENC_06640
ko:K03797	eclo:ENC_06650
ko:K03799	eclo:ENC_06660
ko:K08169	eclo:ENC_06670
ko:K03704	eclo:ENC_06720
ko:K00563	eclo:ENC_06740
ko:K01752	eclo:ENC_06830
ko:K01665	eclo:ENC_06850
ko:K09917	eclo:ENC_06860
ko:K07285	eclo:ENC_06910
ko:K03684	eclo:ENC_06930
ko:K03608	eclo:ENC_06940
ko:K03609	eclo:ENC_06950
ko:K03610	eclo:ENC_06960
ko:K09902	eclo:ENC_06970
ko:K09160	eclo:ENC_06990
ko:K03603	eclo:ENC_07020
ko:K00285	eclo:ENC_07040
ko:K01775	eclo:ENC_07050
ko:K08308	eclo:ENC_07080
ko:K00134	eclo:ENC_07150
ko:K11906	eclo:ENC_07180
ko:K11893	eclo:ENC_07190
ko:K11892	eclo:ENC_07200
ko:K11891	eclo:ENC_07210
ko:K11890	eclo:ENC_07220
ko:K03632	eclo:ENC_17580
ko:K03804	eclo:ENC_17590
ko:K03633	eclo:ENC_17600
ko:K06219	eclo:ENC_17610
ko:K00979	eclo:ENC_17650
ko:K09791	eclo:ENC_17660
ko:K09927	eclo:ENC_17670
ko:K00912	eclo:ENC_17680
ko:K05788	eclo:ENC_17710
ko:K02945	eclo:ENC_17720
ko:K00945	eclo:ENC_17730
ko:K00800	eclo:ENC_17740
ko:K00831	eclo:ENC_17750
ko:K09136	eclo:ENC_17790
ko:K00656	eclo:ENC_17810
ko:K04069	eclo:ENC_17820
ko:K08219	eclo:ENC_17840
ko:K07306	eclo:ENC_17870
ko:K01875	eclo:ENC_17880
ko:K03634	eclo:ENC_17900
ko:K00384	eclo:ENC_17940
ko:K00684	eclo:ENC_17980
ko:K02518	eclo:ENC_17990
ko:K03694	eclo:ENC_18030
ko:K06891	eclo:ENC_18040
ko:K03704	eclo:ENC_18050
ko:K05685	eclo:ENC_18060
ko:K13888	eclo:ENC_18070
ko:K06188	eclo:ENC_18110
ko:K11933	eclo:ENC_18140
ko:K01620	eclo:ENC_18160
ko:K05810	eclo:ENC_27910
ko:K05807	eclo:ENC_27930
ko:K05809	eclo:ENC_27940
ko:K14170	eclo:ENC_27950
ko:K14187	eclo:ENC_27970
ko:K01626	eclo:ENC_27980
ko:K02884	eclo:ENC_28050
ko:K00554	eclo:ENC_28060
ko:K02860	eclo:ENC_28070
ko:K02959	eclo:ENC_28080
ko:K03106	eclo:ENC_28090
ko:K03687	eclo:ENC_28120
ko:K00858	eclo:ENC_28130
ko:K03631	eclo:ENC_28140
ko:K06186	eclo:ENC_28150
ko:K03664	eclo:ENC_28180
ko:K02402	eclo:ENC_28330
ko:K02405	eclo:ENC_28350
ko:K02397	eclo:ENC_28380
ko:K02391	eclo:ENC_28440
ko:K02390	eclo:ENC_28450
ko:K02389	eclo:ENC_28460
ko:K02388	eclo:ENC_28470
ko:K02386	eclo:ENC_28490
ko:K11175	eclo:ENC_37790
ko:K01223	eclo:ENC_37830
ko:K01255	eclo:ENC_37860
ko:K02761	eclo:ENC_37880
ko:K03564	eclo:ENC_37930
ko:K01714	eclo:ENC_37950
ko:K07287	eclo:ENC_37960
ko:K01923	eclo:ENC_37970
ko:K06957	eclo:ENC_37990
ko:K06999	eclo:ENC_38000
ko:K07674	eclo:ENC_38070
ko:K12945	eclo:ENC_38110
ko:K03931	eclo:ENC_38130
ko:K12112	eclo:ENC_38160
ko:K12111	eclo:ENC_38170
ko:K12113	eclo:ENC_38180
ko:K00615	eclo:ENC_38200
ko:K00029	eclo:ENC_38220
ko:K01448	eclo:ENC_38250
ko:K07223	eclo:ENC_38290
ko:K02048	eclo:ENC_38300
ko:K02047	eclo:ENC_38320
ko:K00868	eclo:ENC_38360
ko:K01738	eclo:ENC_38400
ko:K06203	eclo:ENC_38410
ko:K03528	eclo:ENC_38420
ko:K14347	eclo:ENC_38460
ko:K02413	eclo:ENC_42220
ko:K02410	eclo:ENC_42250
ko:K02409	eclo:ENC_42260
ko:K02408	eclo:ENC_42270
ko:K08984	eclo:ENC_42280
ko:K07791	eclo:ENC_42350
ko:K01744	eclo:ENC_42360
ko:K07113	eclo:ENC_42370
ko:K04078	eclo:ENC_42390
ko:K04077	eclo:ENC_42400
ko:K01305	eclo:ENC_42410
ko:K02356	eclo:ENC_42460
ko:K16347	eclo:ENC_42470
ko:K16348	eclo:ENC_42480
ko:K00246	eclo:ENC_42550
ko:K04568	eclo:ENC_42590
ko:K01613	eclo:ENC_42620
ko:K13288	eclo:ENC_42640
ko:K06925	eclo:ENC_42670
ko:K01448	eclo:ENC_42680
ko:K03572	eclo:ENC_42690
ko:K00791	eclo:ENC_42700
ko:K04088	eclo:ENC_42750
ko:K04087	eclo:ENC_42760
ko:K09937	eclo:ENC_42770
ko:K01939	eclo:ENC_42780
ko:K12573	eclo:ENC_42800
ko:K03218	eclo:ENC_42810
ko:K09456	eclo:ENC_42830
ko:K03477	eclo:ENC_42890
ko:K03098	eclo:ENC_03050
ko:K07127	eclo:ENC_03070
ko:K13409	eclo:ENC_03160
ko:K07345	eclo:ENC_03260
ko:K07347	eclo:ENC_03280
ko:K07552	eclo:ENC_03420
ko:K02760	eclo:ENC_03450
ko:K02761	eclo:ENC_03460
ko:K01223	eclo:ENC_03470
ko:K02759	eclo:ENC_03480
ko:K02024	eclo:ENC_03490
ko:K07783	eclo:ENC_03570
ko:K02426	eclo:ENC_13650
ko:K11717	eclo:ENC_13660
ko:K09015	eclo:ENC_13670
ko:K09013	eclo:ENC_13680
ko:K09014	eclo:ENC_13690
ko:K05997	eclo:ENC_13700
ko:K07345	eclo:ENC_13860
ko:K01626	eclo:ENC_13980
ko:K16087	eclo:ENC_14000
ko:K07225	eclo:ENC_14010
ko:K02016	eclo:ENC_14020
ko:K02015	eclo:ENC_14030
ko:K02013	eclo:ENC_14040
ko:K06074	eclo:ENC_14080
ko:K00432	eclo:ENC_14090
ko:K06073	eclo:ENC_14100
ko:K04764	eclo:ENC_14120
ko:K01890	eclo:ENC_14130
ko:K01889	eclo:ENC_14140
ko:K02887	eclo:ENC_14150
ko:K01868	eclo:ENC_14180
ko:K00147	eclo:ENC_24510
ko:K00931	eclo:ENC_24520
ko:K11929	eclo:ENC_24530
ko:K11926	eclo:ENC_24550
ko:K11750	eclo:ENC_24560
ko:K02346	eclo:ENC_24590
ko:K05952	eclo:ENC_24600
ko:K00351	eclo:ENC_24610
ko:K00350	eclo:ENC_24620
ko:K00349	eclo:ENC_24630
ko:K00347	eclo:ENC_24650
ko:K00346	eclo:ENC_24660
ko:K03271	eclo:ENC_24690
ko:K02034	eclo:ENC_24730
ko:K02834	eclo:ENC_34050
ko:K02519	eclo:ENC_34060
ko:K02600	eclo:ENC_34070
ko:K09748	eclo:ENC_34080
ko:K01940	eclo:ENC_34090
ko:K03075	eclo:ENC_34100
ko:K03431	eclo:ENC_34110
ko:K00796	eclo:ENC_34120
ko:K03798	eclo:ENC_34130
ko:K07574	eclo:ENC_34150
ko:K03624	eclo:ENC_34160
ko:K07259	eclo:ENC_34170
ko:K07771	eclo:ENC_34180
ko:K07643	eclo:ENC_34190
ko:K03979	eclo:ENC_34200
ko:K02899	eclo:ENC_34220
ko:K02888	eclo:ENC_34230
ko:K02523	eclo:ENC_34240
ko:K00790	eclo:ENC_34260
ko:K07122	eclo:ENC_34280
ko:K07323	eclo:ENC_34290
ko:K02066	eclo:ENC_34310
ko:K02065	eclo:ENC_34320
ko:K07301	eclo:ENC_34330
ko:K06041	eclo:ENC_34340
ko:K03270	eclo:ENC_34350
ko:K11719	eclo:ENC_34360
ko:K09774	eclo:ENC_34370
ko:K06861	eclo:ENC_34380
ko:K03092	eclo:ENC_34390
ko:K05808	eclo:ENC_34400
ko:K06958	eclo:ENC_34420
ko:K03814	eclo:ENC_34440
ko:K07648	eclo:ENC_34470
ko:K11720	eclo:ENC_34480
ko:K01255	eclo:ENC_34500
ko:K02339	eclo:ENC_34510
ko:K01873	eclo:ENC_34520
ko:K11902	eclo:ENC_07230
ko:K11901	eclo:ENC_07240
ko:K11903	eclo:ENC_07260
ko:K07169	eclo:ENC_07290
ko:K11897	eclo:ENC_07340
ko:K11896	eclo:ENC_07350
ko:K11895	eclo:ENC_07360
ko:K11907	eclo:ENC_07370
ko:K06942	eclo:ENC_07500
ko:K00948	eclo:ENC_07550
ko:K02494	eclo:ENC_07580
ko:K02492	eclo:ENC_07590
ko:K02493	eclo:ENC_07620
ko:K07300	eclo:ENC_07660
ko:K00362	eclo:ENC_07780
ko:K00372	eclo:ENC_07790
ko:K02575	eclo:ENC_07840
ko:K00371	eclo:ENC_07870
ko:K00373	eclo:ENC_07880
ko:K01433	eclo:ENC_07900
ko:K07001	eclo:ENC_07920
ko:K00963	eclo:ENC_07940
ko:K02462	eclo:ENC_18240
ko:K02461	eclo:ENC_18250
ko:K02460	eclo:ENC_18260
ko:K02458	eclo:ENC_18280
ko:K02457	eclo:ENC_18290
ko:K02456	eclo:ENC_18300
ko:K02453	eclo:ENC_18330
ko:K11066	eclo:ENC_18380
ko:K09997	eclo:ENC_18420
ko:K09999	eclo:ENC_18430
ko:K09996	eclo:ENC_18450
ko:K03212	eclo:ENC_18490
ko:K11074	eclo:ENC_18510
ko:K11075	eclo:ENC_18520
ko:K11073	eclo:ENC_18540
ko:K03893	eclo:ENC_18640
ko:K08160	eclo:ENC_18690
ko:K13891	eclo:ENC_18790
ko:K13890	eclo:ENC_18800
ko:K13889	eclo:ENC_18810
ko:K13892	eclo:ENC_18820
ko:K13051	eclo:ENC_18840
ko:K02407	eclo:ENC_28550
ko:K02406	eclo:ENC_28560
ko:K02418	eclo:ENC_28620
ko:K02413	eclo:ENC_28680
ko:K02411	eclo:ENC_28710
ko:K02408	eclo:ENC_28740
ko:K03413	eclo:ENC_28770
ko:K02401	eclo:ENC_28790
ko:K15509	eclo:ENC_28830
ko:K12543	eclo:ENC_28990
ko:K12541	eclo:ENC_29000
ko:K00926	eclo:ENC_29100
ko:K06901	eclo:ENC_29110
ko:K11535	eclo:ENC_38540
ko:K14261	eclo:ENC_38650
ko:K13069	eclo:ENC_38680
ko:K04754	eclo:ENC_38700
ko:K06076	eclo:ENC_38710
ko:K08296	eclo:ENC_38750
ko:K01736	eclo:ENC_38780
ko:K07261	eclo:ENC_38790
ko:K07090	eclo:ENC_38800
ko:K09906	eclo:ENC_38810
ko:K06173	eclo:ENC_38890
ko:K03975	eclo:ENC_38900
ko:K01963	eclo:ENC_38910
ko:K11754	eclo:ENC_38920
ko:K03558	eclo:ENC_38940
ko:K03186	eclo:ENC_38970
ko:K10013	eclo:ENC_38980
ko:K10016	eclo:ENC_39000
