ko:K18929	hpyu:K751_06945
ko:K14233	hpyu:K751_t08410
ko:K14225	hpyu:K751_t08362
ko:K14228	hpyu:K751_t08356
ko:K01992	hpyu:K751_03685
ko:K07316	hpyu:K751_00155
ko:K01990	hpyu:K751_01515
ko:K02484	hpyu:K751_07570
ko:K02847	hpyu:K751_05415
ko:K14228	hpyu:K751_t08354
ko:K14218	hpyu:K751_t08406
ko:K14235	hpyu:K751_t08366
ko:K11028	hpyu:K751_03005
ko:K01992	hpyu:K751_00335
ko:K01963	hpyu:K751_08875
ko:K04485	hpyu:K751_08595
ko:K01682	hpyu:K751_08700
ko:K03092	hpyu:K751_08735
ko:K03602	hpyu:K751_09015
ko:K03218	hpyu:K751_08775
ko:K12053	hpyu:K751_07675
ko:K12053	hpyu:K751_08185
ko:K01752	hpyu:K751_08470
ko:K00927	hpyu:K751_08540
ko:K12099	hpyu:K751_08785
ko:K01980	hpyu:K751_r08434
ko:K00769	hpyu:K751_04320
ko:K15848	hpyu:K751_04260
ko:K01424	hpyu:K751_04250
ko:K00970	hpyu:K751_04190
ko:K01885	hpyu:K751_04165
ko:K00616	hpyu:K751_00295
ko:K02014	hpyu:K751_09025
ko:K01156	hpyu:K751_00160
ko:K07316	hpyu:K751_00150
ko:K03469	hpyu:K751_04070
ko:K04763	hpyu:K751_04010
ko:K00567	hpyu:K751_04005
ko:K13016	hpyu:K751_03995
ko:K00626	hpyu:K751_03935
ko:K07126	hpyu:K751_03775
ko:K00674	hpyu:K751_03770
ko:K01507	hpyu:K751_03735
ko:K00939	hpyu:K751_03720
ko:K07457	hpyu:K751_03640
ko:K00652	hpyu:K751_03620
ko:K00059	hpyu:K751_03425
ko:K07126	hpyu:K751_03215
ko:K08077	hpyu:K751_03145
ko:K04652	hpyu:K751_02940
ko:K02014	hpyu:K751_02870
ko:K03743	hpyu:K751_02675
ko:K06179	hpyu:K751_02655
ko:K03442	hpyu:K751_02535
ko:K01585	hpyu:K751_02500
ko:K03593	hpyu:K751_06420
ko:K07126	hpyu:K751_06395
ko:K01439	hpyu:K751_06390
ko:K00058	hpyu:K751_02375
ko:K06013	hpyu:K751_02295
ko:K06910	hpyu:K751_06345
ko:K07126	hpyu:K751_06260
ko:K06196	hpyu:K751_06115
ko:K01784	hpyu:K751_02185
ko:K07126	hpyu:K751_02165
ko:K00845	hpyu:K751_02140
ko:K07126	hpyu:K751_02055
ko:K04093	hpyu:K751_05985
ko:K03342	hpyu:K751_05975
ko:K01426	hpyu:K751_05970
ko:K15896	hpyu:K751_05810
ko:K02028	hpyu:K751_01765
ko:K02030	hpyu:K751_01760
ko:K03784	hpyu:K751_01710
ko:K03317	hpyu:K751_01700
ko:K01674	hpyu:K751_01670
ko:K01916	hpyu:K751_05800
ko:K11085	hpyu:K751_05625
ko:K02843	hpyu:K751_01650
ko:K01719	hpyu:K751_01495
ko:K13797	hpyu:K751_01625
ko:K07098	hpyu:K751_05440
ko:K01262	hpyu:K751_05405
ko:K03711	hpyu:K751_05360
ko:K13640	hpyu:K751_05350
ko:K00076	hpyu:K751_05290
ko:K01455	hpyu:K751_01425
ko:K00949	hpyu:K751_01165
ko:K03455	hpyu:K751_05210
ko:K01885	hpyu:K751_05170
ko:K02014	hpyu:K751_05085
ko:K01679	hpyu:K751_00995
ko:K04655	hpyu:K751_00900
ko:K02433	hpyu:K751_04870
ko:K00088	hpyu:K751_04865
ko:K05845	hpyu:K751_04810
ko:K05846	hpyu:K751_04810
ko:K03279	hpyu:K751_00730
ko:K03635	hpyu:K751_04675
ko:K02004	hpyu:K751_04610
ko:K06603	hpyu:K751_04405
ko:K03768	hpyu:K751_00585
ko:K06346	hpyu:K751_00535
ko:K02067	hpyu:K751_00455
ko:K02242	hpyu:K751_00410
ko:K01980	hpyu:K751_r08432
ko:K17686	hpyu:K751_00240
ko:K17686	hpyu:K751_05580
ko:K01155	hpyu:K751_06130
ko:K07318	hpyu:K751_00275
ko:K00971	hpyu:K751_00885
ko:K05540	hpyu:K751_04280
ko:K01658	hpyu:K751_01200
ko:K11928	hpyu:K751_07415
ko:K07318	hpyu:K751_01570
ko:K01156	hpyu:K751_00790
ko:K00290	hpyu:K751_00220
ko:K01497	hpyu:K751_04685
ko:K00254	hpyu:K751_05275
ko:K05927	hpyu:K751_03790
ko:K06148	hpyu:K751_01580
ko:K12051	hpyu:K751_08960
ko:K03605	hpyu:K751_03805
ko:K05366	hpyu:K751_03615
ko:K13896	hpyu:K751_06185
ko:K12051	hpyu:K751_08190
ko:K12048	hpyu:K751_06530
ko:K07126	hpyu:K751_05770
ko:K07316	hpyu:K751_04780
ko:K11784	hpyu:K751_04100
ko:K11785	hpyu:K751_06870
ko:K18284	hpyu:K751_07190
ko:K18285	hpyu:K751_04110
ko:K18480	hpyu:K751_00460
ko:K00681	hpyu:K751_02045
ko:K07316	hpyu:K751_00795
ko:K18930	hpyu:K751_01505
ko:K03205	hpyu:K751_08240
ko:K03205	hpyu:K751_06575
ko:K03204	hpyu:K751_06525
ko:K03203	hpyu:K751_06520
ko:K03497	hpyu:K751_01945
ko:K03496	hpyu:K751_01940
ko:K03111	hpyu:K751_01390
ko:K03196	hpyu:K751_03245
ko:K03761	hpyu:K751_05670
ko:K00335	hpyu:K751_01280
ko:K02483	hpyu:K751_06810
ko:K03526	hpyu:K751_08745
ko:K03296	hpyu:K751_03665
ko:K00336	hpyu:K751_01275
ko:K07448	hpyu:K751_05615
ko:K19157	hpyu:K751_06580
ko:K19157	hpyu:K751_02970
ko:K00571	hpyu:K751_00915
ko:K00571	hpyu:K751_06125
ko:K00571	hpyu:K751_07175
ko:K00571	hpyu:K751_07435
ko:K00525	hpyu:K751_03990
ko:K00590	hpyu:K751_04800
ko:K07317	hpyu:K751_02895
ko:K04771	hpyu:K751_05310
ko:K01992	hpyu:K751_00340
ko:K19302	hpyu:K751_04965
ko:K19416	hpyu:K751_02855
ko:K02483	hpyu:K751_05435
ko:K12053	hpyu:K751_06505
ko:K12052	hpyu:K751_00865
ko:K01951	hpyu:K751_09570
ko:K02914	hpyu:K751_09685
ko:K00943	hpyu:K751_09700
ko:K00053	hpyu:K751_09255
ko:K05922	hpyu:K751_09435
ko:K07270	hpyu:K751_09440
ko:K16235	hpyu:K751_09285
ko:K02020	hpyu:K751_09315
ko:K02017	hpyu:K751_09325
ko:K00104	hpyu:K751_09480
ko:K12574	hpyu:K751_09670
ko:K08303	hpyu:K751_09070
ko:K02484	hpyu:K751_09075
ko:K03086	hpyu:K751_09105
ko:K20151	hpyu:K751_04125
ko:K20810	hpyu:K751_06105
ko:K20151	hpyu:K751_02280
ko:K01978	hpyu:K751_09740
ko:K01977	hpyu:K751_08920
ko:K01977	hpyu:K751_09005
ko:K07100	hpyu:K751_01535
ko:K02335	hpyu:K751_00425
ko:K02335	hpyu:K751_05330
ko:K03553	hpyu:K751_06865
ko:K02314	hpyu:K751_07560
ko:K02316	hpyu:K751_09175
ko:K00558	hpyu:K751_07430
ko:K00558	hpyu:K751_08045
ko:K06223	hpyu:K751_00270
ko:K03465	hpyu:K751_00095
ko:K01185	hpyu:K751_05755
ko:K00558	hpyu:K751_02030
ko:K06223	hpyu:K751_05145
ko:K00558	hpyu:K751_05135
ko:K01520	hpyu:K751_05030
ko:K12106	hpyu:K751_03340
ko:K12089	hpyu:K751_03235
ko:K02483	hpyu:K751_07575
ko:K00526	hpyu:K751_02205
ko:K02481	hpyu:K751_03865
ko:K01139	hpyu:K751_04545
ko:K07097	hpyu:K751_05430
ko:K10026	hpyu:K751_02790
ko:K21929	hpyu:K751_04130
ko:K03595	hpyu:K751_03205
ko:K09022	hpyu:K751_02730
ko:K22278	hpyu:K751_05890
ko:K14441	hpyu:K751_04315
ko:K22391	hpyu:K751_02640
ko:K17758	hpyu:K751_07565
ko:K17759	hpyu:K751_07565
ko:K00571	hpyu:K751_07500
ko:K01007	hpyu:K751_07030
