ko:K07046	bpse:BDL_4073
ko:K11891	bpse:BDL_5566
ko:K11892	bpse:BDL_5567
ko:K11893	bpse:BDL_5568
ko:K11906	bpse:BDL_5569
ko:K07169	bpse:BDL_5571
ko:K01753	bpse:BDL_5579
ko:K04487	bpse:BDL_5585
ko:K16856	bpse:BDL_5590
ko:K15581	bpse:BDL_5606
ko:K15580	bpse:BDL_5607
ko:K03305	bpse:BDL_5610
ko:K01644	bpse:BDL_5618
ko:K08369	bpse:BDL_5623
ko:K01644	bpse:BDL_5627
ko:K01720	bpse:BDL_5629
ko:K05786	bpse:BDL_5631
ko:K01512	bpse:BDL_5632
ko:K03527	bpse:BDL_5636
ko:K10253	bpse:BDL_5638
ko:K01845	bpse:BDL_5639
ko:K06200	bpse:BDL_5642
ko:K02651	bpse:BDL_5655
ko:K02651	bpse:BDL_5656
ko:K02278	bpse:BDL_5657
ko:K02279	bpse:BDL_5659
ko:K02280	bpse:BDL_5660
ko:K02282	bpse:BDL_5665
ko:K02283	bpse:BDL_5666
ko:K12510	bpse:BDL_5667
ko:K12511	bpse:BDL_5668
ko:K00832	bpse:BDL_5670
ko:K10979	bpse:BDL_5684
ko:K03781	bpse:BDL_5686
ko:K14257	bpse:BDL_5424
ko:K00820	bpse:BDL_5429
ko:K03717	bpse:BDL_5439
ko:K13774	bpse:BDL_5453
ko:K13778	bpse:BDL_5454
ko:K11731	bpse:BDL_5455
ko:K13779	bpse:BDL_5456
ko:K13777	bpse:BDL_5457
ko:K00574	bpse:BDL_5462
ko:K11209	bpse:BDL_2536
ko:K11209	bpse:BDL_272
ko:K02029	bpse:BDL_5487
ko:K02029	bpse:BDL_5488
ko:K02053	bpse:BDL_5491
ko:K02054	bpse:BDL_5492
ko:K01652	bpse:BDL_5495
ko:K10013	bpse:BDL_5496
ko:K00466	bpse:BDL_5500
ko:K02057	bpse:BDL_5523
ko:K07407	bpse:BDL_5536
ko:K11907	bpse:BDL_5556
ko:K11896	bpse:BDL_5558
ko:K11897	bpse:BDL_5559
ko:K11900	bpse:BDL_5561
ko:K11902	bpse:BDL_5563
ko:K02484	bpse:BDL_1220
ko:K01897	bpse:BDL_416
ko:K10112	bpse:BDL_2840
ko:K00265	bpse:BDL_2238
ko:K00951	bpse:BDL_480
ko:K02484	bpse:BDL_4767
ko:K14218	bpse:BDL_2379
ko:K14232	bpse:BDL_2432
ko:K14232	bpse:BDL_468
ko:K14228	bpse:BDL_817
ko:K14228	bpse:BDL_4060
ko:K14237	bpse:BDL_3482
ko:K14221	bpse:BDL_3349
ko:K14221	bpse:BDL_3351
ko:K14221	bpse:BDL_3487
ko:K14229	bpse:BDL_1833
ko:K14220	bpse:BDL_2976
ko:K14220	bpse:BDL_2977
ko:K14224	bpse:BDL_3348
ko:K14224	bpse:BDL_3350
ko:K14230	bpse:BDL_1255
ko:K01990	bpse:BDL_2254
ko:K03531	bpse:BDL_2401
ko:K02535	bpse:BDL_2403
ko:K03070	bpse:BDL_2405
ko:K00620	bpse:BDL_2406
ko:K06923	bpse:BDL_2407
ko:K09862	bpse:BDL_2409
ko:K00859	bpse:BDL_2411
ko:K02654	bpse:BDL_2412
ko:K02652	bpse:BDL_2414
ko:K02523	bpse:BDL_2433
ko:K02888	bpse:BDL_2434
ko:K02899	bpse:BDL_2435
ko:K03979	bpse:BDL_2436
ko:K00931	bpse:BDL_2437
ko:K08311	bpse:BDL_2439
ko:K01881	bpse:BDL_2440
ko:K00760	bpse:BDL_2442
ko:K03106	bpse:BDL_2443
ko:K06950	bpse:BDL_2445
ko:K03806	bpse:BDL_2446
ko:K00640	bpse:BDL_3295
ko:K03269	bpse:BDL_3296
ko:K00382	bpse:BDL_5745
ko:K09699	bpse:BDL_5746
ko:K00167	bpse:BDL_5747
ko:K00166	bpse:BDL_5748
ko:K13993	bpse:BDL_5764
ko:K03556	bpse:BDL_5767
ko:K03119	bpse:BDL_5770
ko:K07002	bpse:BDL_5773
ko:K05366	bpse:BDL_5782
ko:K10009	bpse:BDL_399
ko:K01807	bpse:BDL_402
ko:K11066	bpse:BDL_403
ko:K03218	bpse:BDL_404
ko:K12573	bpse:BDL_405
ko:K01114	bpse:BDL_409
ko:K03666	bpse:BDL_419
ko:K12511	bpse:BDL_425
ko:K12510	bpse:BDL_426
ko:K02283	bpse:BDL_427
ko:K02282	bpse:BDL_428
ko:K02280	bpse:BDL_429
ko:K02279	bpse:BDL_430
ko:K02278	bpse:BDL_432
ko:K02651	bpse:BDL_433
ko:K06916	bpse:BDL_439
ko:K00382	bpse:BDL_440
ko:K00658	bpse:BDL_441
ko:K00164	bpse:BDL_442
ko:K06207	bpse:BDL_445
ko:K03543	bpse:BDL_448
ko:K03446	bpse:BDL_449
ko:K02834	bpse:BDL_451
ko:K01434	bpse:BDL_1272
ko:K00156	bpse:BDL_1279
ko:K02275	bpse:BDL_1280
ko:K15408	bpse:BDL_1281
ko:K00763	bpse:BDL_1286
ko:K06917	bpse:BDL_1292
ko:K01684	bpse:BDL_1305
ko:K11927	bpse:BDL_1309
ko:K02444	bpse:BDL_1313
ko:K00111	bpse:BDL_1316
ko:K09122	bpse:BDL_2131
ko:K07275	bpse:BDL_2136
ko:K00145	bpse:BDL_2140
ko:K03809	bpse:BDL_2141
ko:K00762	bpse:BDL_2143
ko:K00029	bpse:BDL_2144
ko:K04090	bpse:BDL_2145
ko:K00457	bpse:BDL_2147
ko:K02613	bpse:BDL_2152
ko:K02612	bpse:BDL_2153
ko:K02611	bpse:BDL_2154
ko:K02610	bpse:BDL_2155
ko:K02609	bpse:BDL_2156
ko:K02358	bpse:BDL_2167
ko:K03073	bpse:BDL_2169
ko:K02601	bpse:BDL_2170
ko:K02867	bpse:BDL_2171
ko:K02863	bpse:BDL_2172
ko:K02864	bpse:BDL_2173
ko:K02935	bpse:BDL_2174
ko:K05805	bpse:BDL_2975
ko:K00763	bpse:BDL_2979
ko:K00782	bpse:BDL_2980
ko:K09760	bpse:BDL_2983
ko:K03750	bpse:BDL_2986
ko:K03752	bpse:BDL_2987
ko:K03639	bpse:BDL_2988
ko:K08300	bpse:BDL_2989
ko:K01091	bpse:BDL_2991
ko:K04773	bpse:BDL_2993
ko:K07056	bpse:BDL_2994
ko:K06287	bpse:BDL_2995
ko:K07040	bpse:BDL_2996
ko:K02911	bpse:BDL_2997
ko:K03621	bpse:BDL_2998
ko:K00648	bpse:BDL_2999
ko:K00645	bpse:BDL_3000
ko:K02078	bpse:BDL_3002
ko:K09458	bpse:BDL_3003
ko:K03088	bpse:BDL_3005
ko:K03597	bpse:BDL_3006
ko:K03598	bpse:BDL_3007
ko:K03596	bpse:BDL_3010
ko:K03100	bpse:BDL_3011
ko:K03685	bpse:BDL_3012
ko:K03584	bpse:BDL_3014
ko:K03474	bpse:BDL_3015
ko:K00997	bpse:BDL_3016
ko:K01207	bpse:BDL_3017
ko:K02356	bpse:BDL_3019
ko:K03703	bpse:BDL_3021
ko:K11903	bpse:BDL_6062
ko:K11901	bpse:BDL_6064
ko:K11907	bpse:BDL_6065
ko:K11898	bpse:BDL_6067
ko:K11897	bpse:BDL_6068
ko:K11896	bpse:BDL_6069
ko:K11895	bpse:BDL_6070
ko:K11902	bpse:BDL_6071
ko:K00355	bpse:BDL_6079
ko:K01740	bpse:BDL_6081
ko:K01961	bpse:BDL_6087
ko:K07160	bpse:BDL_6089
ko:K01434	bpse:BDL_6092
ko:K02688	bpse:BDL_6097
ko:K07507	bpse:BDL_6112
ko:K03147	bpse:BDL_732
ko:K04062	bpse:BDL_733
ko:K15034	bpse:BDL_737
ko:K03581	bpse:BDL_738
ko:K03582	bpse:BDL_739
ko:K03583	bpse:BDL_740
ko:K02012	bpse:BDL_744
ko:K02011	bpse:BDL_745
ko:K05800	bpse:BDL_747
ko:K07118	bpse:BDL_749
ko:K07093	bpse:BDL_752
ko:K07799	bpse:BDL_754
ko:K07788	bpse:BDL_755
ko:K07789	bpse:BDL_756
ko:K02275	bpse:BDL_763
ko:K15553	bpse:BDL_769
ko:K03524	bpse:BDL_1583
ko:K03525	bpse:BDL_1584
ko:K07001	bpse:BDL_1588
ko:K16171	bpse:BDL_1592
ko:K01887	bpse:BDL_1599
ko:K03673	bpse:BDL_1601
ko:K12368	bpse:BDL_1606
ko:K00906	bpse:BDL_1609
ko:K01673	bpse:BDL_1610
ko:K09858	bpse:BDL_1613
ko:K00833	bpse:BDL_1615
ko:K01935	bpse:BDL_1617
ko:K01012	bpse:BDL_1618
ko:K04090	bpse:BDL_1626
ko:K08715	bpse:BDL_1627
ko:K02048	bpse:BDL_1630
ko:K01714	bpse:BDL_1635
ko:K06077	bpse:BDL_2451
ko:K11065	bpse:BDL_2453
ko:K02687	bpse:BDL_2455
ko:K01961	bpse:BDL_2456
ko:K02160	bpse:BDL_2457
ko:K03786	bpse:BDL_2458
ko:K02558	bpse:BDL_2461
ko:K07000	bpse:BDL_2462
ko:K01147	bpse:BDL_2463
ko:K00014	bpse:BDL_2464
ko:K03814	bpse:BDL_2465
ko:K00883	bpse:BDL_2469
ko:K01631	bpse:BDL_2470
ko:K10537	bpse:BDL_2472
ko:K10539	bpse:BDL_2473
ko:K10538	bpse:BDL_2474
ko:K01591	bpse:BDL_2477
ko:K01095	bpse:BDL_2479
ko:K00946	bpse:BDL_2480
ko:K00029	bpse:BDL_2481
ko:K09761	bpse:BDL_2484
ko:K00797	bpse:BDL_2486
ko:K00615	bpse:BDL_2487
ko:K00134	bpse:BDL_2488
ko:K01725	bpse:BDL_2490
ko:K01673	bpse:BDL_2491
ko:K11921	bpse:BDL_2492
ko:K11103	bpse:BDL_2494
ko:K01477	bpse:BDL_2495
ko:K01483	bpse:BDL_2496
ko:K01883	bpse:BDL_3300
ko:K01247	bpse:BDL_3301
ko:K01962	bpse:BDL_3302
ko:K04075	bpse:BDL_3303
ko:K00928	bpse:BDL_3304
ko:K00860	bpse:BDL_3311
ko:K03119	bpse:BDL_3317
ko:K00615	bpse:BDL_3321
ko:K00615	bpse:BDL_3322
ko:K00831	bpse:BDL_3325
ko:K00957	bpse:BDL_3327
ko:K01755	bpse:BDL_3330
ko:K01265	bpse:BDL_3332
ko:K00528	bpse:BDL_3336
ko:K00208	bpse:BDL_3339
ko:K13893	bpse:BDL_3340
ko:K13894	bpse:BDL_3341
ko:K13895	bpse:BDL_3342
ko:K13896	bpse:BDL_3343
ko:K07001	bpse:BDL_3345
ko:K02054	bpse:BDL_196
ko:K02053	bpse:BDL_197
ko:K13472	bpse:BDL_207
ko:K12541	bpse:BDL_208
ko:K12542	bpse:BDL_209
ko:K00860	bpse:BDL_212
ko:K03088	bpse:BDL_222
ko:K15977	bpse:BDL_225
ko:K09930	bpse:BDL_227
ko:K00612	bpse:BDL_231
ko:K01620	bpse:BDL_234
ko:K01755	bpse:BDL_235
ko:K01738	bpse:BDL_236
ko:K01755	bpse:BDL_240
ko:K02233	bpse:BDL_1056
ko:K00768	bpse:BDL_1057
ko:K02013	bpse:BDL_1058
ko:K02015	bpse:BDL_1059
ko:K16092	bpse:BDL_1060
ko:K09888	bpse:BDL_1062
ko:K13292	bpse:BDL_1065
ko:K01687	bpse:BDL_1067
ko:K02339	bpse:BDL_1070
ko:K01255	bpse:BDL_1071
ko:K07091	bpse:BDL_1072
ko:K11720	bpse:BDL_1073
ko:K00957	bpse:BDL_1078
ko:K00390	bpse:BDL_1079
ko:K00381	bpse:BDL_1081
ko:K13634	bpse:BDL_1082
ko:K01628	bpse:BDL_1085
ko:K01714	bpse:BDL_1086
ko:K07156	bpse:BDL_1091
ko:K01996	bpse:BDL_1099
ko:K01995	bpse:BDL_1100
ko:K01998	bpse:BDL_1101
ko:K01997	bpse:BDL_1102
ko:K03527	bpse:BDL_1104
ko:K07649	bpse:BDL_1905
ko:K02421	bpse:BDL_1912
ko:K02420	bpse:BDL_1913
ko:K02419	bpse:BDL_1914
ko:K02418	bpse:BDL_1915
ko:K02417	bpse:BDL_1916
ko:K02416	bpse:BDL_1917
ko:K02415	bpse:BDL_1918
ko:K03446	bpse:BDL_1923
ko:K02462	bpse:BDL_1928
ko:K02461	bpse:BDL_1929
ko:K02460	bpse:BDL_1930
ko:K02459	bpse:BDL_1931
ko:K02458	bpse:BDL_1932
ko:K02457	bpse:BDL_1933
ko:K02456	bpse:BDL_1934
ko:K02452	bpse:BDL_1935
ko:K02455	bpse:BDL_1936
ko:K02453	bpse:BDL_1938
ko:K03530	bpse:BDL_1941
ko:K15461	bpse:BDL_1942
ko:K06048	bpse:BDL_1944
ko:K01951	bpse:BDL_1946
ko:K00500	bpse:BDL_1953
ko:K00973	bpse:BDL_2761
ko:K01790	bpse:BDL_2762
ko:K00067	bpse:BDL_2763
ko:K15778	bpse:BDL_2780
ko:K02841	bpse:BDL_2781
ko:K02527	bpse:BDL_2783
ko:K03189	bpse:BDL_2784
ko:K03188	bpse:BDL_2785
ko:K03187	bpse:BDL_2786
ko:K01428	bpse:BDL_2787
ko:K01429	bpse:BDL_2788
ko:K01430	bpse:BDL_2789
ko:K03190	bpse:BDL_2790
ko:K11963	bpse:BDL_2791
ko:K11962	bpse:BDL_2792
ko:K11961	bpse:BDL_2793
ko:K11960	bpse:BDL_2794
ko:K11959	bpse:BDL_2795
ko:K00822	bpse:BDL_2796
ko:K00573	bpse:BDL_2798
ko:K06940	bpse:BDL_2801
ko:K06153	bpse:BDL_2803
ko:K03439	bpse:BDL_2804
ko:K06199	bpse:BDL_2809
ko:K02221	bpse:BDL_2811
ko:K01897	bpse:BDL_2384
ko:K02003	bpse:BDL_5804
ko:K04754	bpse:BDL_5810
ko:K10037	bpse:BDL_5815
ko:K10036	bpse:BDL_5816
ko:K03410	bpse:BDL_5822
ko:K03088	bpse:BDL_5826
ko:K00060	bpse:BDL_5837
ko:K09958	bpse:BDL_5840
ko:K07246	bpse:BDL_5842
ko:K16135	bpse:BDL_5843
ko:K02519	bpse:BDL_452
ko:K02600	bpse:BDL_453
ko:K09748	bpse:BDL_454
ko:K06178	bpse:BDL_455
ko:K06024	bpse:BDL_456
ko:K07287	bpse:BDL_465
ko:K04764	bpse:BDL_472
ko:K01890	bpse:BDL_473
ko:K01889	bpse:BDL_474
ko:K02887	bpse:BDL_475
ko:K02916	bpse:BDL_476
ko:K02520	bpse:BDL_477
ko:K01868	bpse:BDL_478
ko:K01029	bpse:BDL_488
ko:K01028	bpse:BDL_489
ko:K07107	bpse:BDL_493
ko:K00311	bpse:BDL_495
ko:K01736	bpse:BDL_496
ko:K07058	bpse:BDL_500
ko:K03809	bpse:BDL_501
ko:K00864	bpse:BDL_1317
ko:K02440	bpse:BDL_1318
ko:K00800	bpse:BDL_1320
ko:K00800	bpse:BDL_1321
ko:K01953	bpse:BDL_1322
ko:K06168	bpse:BDL_1330
ko:K07042	bpse:BDL_1332
ko:K06189	bpse:BDL_1334
ko:K03820	bpse:BDL_1335
ko:K01878	bpse:BDL_1336
ko:K01879	bpse:BDL_1337
ko:K03273	bpse:BDL_1338
ko:K00655	bpse:BDL_1339
ko:K07043	bpse:BDL_1340
ko:K02528	bpse:BDL_1343
ko:K00097	bpse:BDL_1344
ko:K03771	bpse:BDL_1345
ko:K04744	bpse:BDL_1346
ko:K00426	bpse:BDL_6129
ko:K00425	bpse:BDL_6130
ko:K01620	bpse:BDL_6132
ko:K05596	bpse:BDL_6131
ko:K05366	bpse:BDL_6133
ko:K02013	bpse:BDL_6135
ko:K02015	bpse:BDL_6136
ko:K02016	bpse:BDL_6137
ko:K07225	bpse:BDL_6138
ko:K16087	bpse:BDL_6139
ko:K02053	bpse:BDL_6142
ko:K02053	bpse:BDL_6145
ko:K06966	bpse:BDL_6146
ko:K01808	bpse:BDL_6149
ko:K17207	bpse:BDL_6150
ko:K17206	bpse:BDL_6151
ko:K17205	bpse:BDL_6152
ko:K05878	bpse:BDL_6155
ko:K05879	bpse:BDL_6156
ko:K02073	bpse:BDL_6161
ko:K06987	bpse:BDL_6162
ko:K10013	bpse:BDL_6165
ko:K09861	bpse:BDL_786
ko:K14287	bpse:BDL_788
ko:K00343	bpse:BDL_803
ko:K00342	bpse:BDL_804
ko:K00341	bpse:BDL_805
ko:K00340	bpse:BDL_806
ko:K00339	bpse:BDL_807
ko:K00338	bpse:BDL_808
ko:K00337	bpse:BDL_809
ko:K00334	bpse:BDL_812
ko:K00333	bpse:BDL_813
ko:K07102	bpse:BDL_1347
ko:K10806	bpse:BDL_1350
ko:K02379	bpse:BDL_1352
ko:K07516	bpse:BDL_1355
ko:K08310	bpse:BDL_1359
ko:K01876	bpse:BDL_1360
ko:K03688	bpse:BDL_1364
ko:K03690	bpse:BDL_1365
ko:K03183	bpse:BDL_1367
ko:K03043	bpse:BDL_2175
ko:K03046	bpse:BDL_2176
ko:K03654	bpse:BDL_2177
ko:K02950	bpse:BDL_2178
ko:K02992	bpse:BDL_2179
ko:K02355	bpse:BDL_2180
ko:K02946	bpse:BDL_2182
ko:K02906	bpse:BDL_2183
ko:K02926	bpse:BDL_2184
ko:K02892	bpse:BDL_2185
ko:K02886	bpse:BDL_2186
ko:K02965	bpse:BDL_2187
ko:K02890	bpse:BDL_2188
ko:K02982	bpse:BDL_2189
ko:K02878	bpse:BDL_2190
ko:K02904	bpse:BDL_2191
ko:K02961	bpse:BDL_2192
ko:K02874	bpse:BDL_2193
ko:K02895	bpse:BDL_2194
ko:K02931	bpse:BDL_2195
ko:K02954	bpse:BDL_2196
ko:K02994	bpse:BDL_2197
ko:K02933	bpse:BDL_2198
ko:K02881	bpse:BDL_2199
ko:K02988	bpse:BDL_2200
ko:K02907	bpse:BDL_2201
ko:K02876	bpse:BDL_2202
ko:K03076	bpse:BDL_2203
ko:K02518	bpse:BDL_2204
ko:K02919	bpse:BDL_2205
ko:K02952	bpse:BDL_2206
ko:K02948	bpse:BDL_2207
ko:K02986	bpse:BDL_2208
ko:K03040	bpse:BDL_2209
ko:K02879	bpse:BDL_2210
ko:K03926	bpse:BDL_2211
ko:K04084	bpse:BDL_2212
ko:K01698	bpse:BDL_2213
ko:K03978	bpse:BDL_2214
ko:K07399	bpse:BDL_2216
ko:K17247	bpse:BDL_2219
ko:K01586	bpse:BDL_2220
ko:K06202	bpse:BDL_2222
ko:K05366	bpse:BDL_2223
ko:K02666	bpse:BDL_2227
ko:K00891	bpse:BDL_2228
ko:K01735	bpse:BDL_2229
ko:K01129	bpse:BDL_2230
ko:K06911	bpse:BDL_3073
ko:K07152	bpse:BDL_3077
ko:K01087	bpse:BDL_3078
ko:K00697	bpse:BDL_3079
ko:K08983	bpse:BDL_3083
ko:K00332	bpse:BDL_814
ko:K00331	bpse:BDL_815
ko:K00330	bpse:BDL_816
ko:K03075	bpse:BDL_818
ko:K01803	bpse:BDL_819
ko:K00962	bpse:BDL_821
ko:K02956	bpse:BDL_822
ko:K01999	bpse:BDL_823
ko:K01673	bpse:BDL_825
ko:K01649	bpse:BDL_827
ko:K17103	bpse:BDL_828
ko:K01613	bpse:BDL_829
ko:K00053	bpse:BDL_830
ko:K01653	bpse:BDL_831
ko:K01652	bpse:BDL_832
ko:K03088	bpse:BDL_833
ko:K01114	bpse:BDL_1643
ko:K07002	bpse:BDL_1645
ko:K06991	bpse:BDL_1646
ko:K12972	bpse:BDL_1647
ko:K01640	bpse:BDL_1648
ko:K06938	bpse:BDL_1650
ko:K00459	bpse:BDL_1654
ko:K14347	bpse:BDL_1658
ko:K00847	bpse:BDL_1664
ko:K01633	bpse:BDL_1669
ko:K14058	bpse:BDL_1670
ko:K04042	bpse:BDL_1671
ko:K00820	bpse:BDL_1672
ko:K07787	bpse:BDL_1675
ko:K07798	bpse:BDL_1676
ko:K06872	bpse:BDL_1680
ko:K03744	bpse:BDL_1681
ko:K01940	bpse:BDL_1686
ko:K06186	bpse:BDL_2498
ko:K00215	bpse:BDL_2499
ko:K03561	bpse:BDL_2500
ko:K01869	bpse:BDL_2502
ko:K03643	bpse:BDL_2503
ko:K02340	bpse:BDL_2504
ko:K00147	bpse:BDL_2505
ko:K08973	bpse:BDL_2506
ko:K01690	bpse:BDL_2508
ko:K01625	bpse:BDL_2509
ko:K01756	bpse:BDL_2512
ko:K02575	bpse:BDL_2513
ko:K00261	bpse:BDL_2515
ko:K10001	bpse:BDL_2516
ko:K10003	bpse:BDL_2517
ko:K10002	bpse:BDL_2518
ko:K10004	bpse:BDL_2519
ko:K04077	bpse:BDL_2522
ko:K04078	bpse:BDL_2523
ko:K13993	bpse:BDL_2524
ko:K01465	bpse:BDL_2528
ko:K07397	bpse:BDL_2530
ko:K02871	bpse:BDL_2531
ko:K02996	bpse:BDL_2532
ko:K15724	bpse:BDL_2533
ko:K09001	bpse:BDL_2537
ko:K01866	bpse:BDL_2538
ko:K07560	bpse:BDL_2539
ko:K03551	bpse:BDL_2543
ko:K03550	bpse:BDL_2544
ko:K01159	bpse:BDL_2545
ko:K00602	bpse:BDL_2546
ko:K03557	bpse:BDL_2547
ko:K03185	bpse:BDL_2549
ko:K02553	bpse:BDL_3354
ko:K01638	bpse:BDL_3356
ko:K01637	bpse:BDL_3360
ko:K03789	bpse:BDL_3364
ko:K09977	bpse:BDL_3366
ko:K00941	bpse:BDL_3367
ko:K01775	bpse:BDL_3369
ko:K04485	bpse:BDL_3370
ko:K06158	bpse:BDL_3372
ko:K00432	bpse:BDL_3373
ko:K06131	bpse:BDL_3374
ko:K07320	bpse:BDL_3375
ko:K14267	bpse:BDL_3379
ko:K03529	bpse:BDL_3381
ko:K01972	bpse:BDL_3383
ko:K01462	bpse:BDL_3384
ko:K06182	bpse:BDL_3385
ko:K00990	bpse:BDL_3386
ko:K01265	bpse:BDL_3387
ko:K02967	bpse:BDL_3388
ko:K02357	bpse:BDL_3389
ko:K09903	bpse:BDL_3390
ko:K02838	bpse:BDL_3391
ko:K00806	bpse:BDL_3392
ko:K00981	bpse:BDL_3393
ko:K00099	bpse:BDL_3394
ko:K11749	bpse:BDL_3395
ko:K07277	bpse:BDL_3396
ko:K06142	bpse:BDL_3397
ko:K02536	bpse:BDL_3398
ko:K02372	bpse:BDL_3399
ko:K00677	bpse:BDL_3400
ko:K00748	bpse:BDL_3401
ko:K03470	bpse:BDL_3402
ko:K03437	bpse:BDL_3403
ko:K09773	bpse:BDL_3404
ko:K05998	bpse:BDL_3405
ko:K01940	bpse:BDL_241
ko:K00817	bpse:BDL_244
ko:K03408	bpse:BDL_251
ko:K05845	bpse:BDL_258
ko:K05846	bpse:BDL_259
ko:K05847	bpse:BDL_260
ko:K05846	bpse:BDL_262
ko:K03758	bpse:BDL_264
ko:K00611	bpse:BDL_266
ko:K00926	bpse:BDL_267
ko:K03449	bpse:BDL_277
ko:K05936	bpse:BDL_279
ko:K05895	bpse:BDL_280
ko:K02188	bpse:BDL_281
ko:K02229	bpse:BDL_283
ko:K06042	bpse:BDL_284
ko:K03394	bpse:BDL_285
ko:K13541	bpse:BDL_286
ko:K06999	bpse:BDL_289
ko:K13580	bpse:BDL_290
ko:K02230	bpse:BDL_292
ko:K02234	bpse:BDL_293
ko:K07241	bpse:BDL_294
ko:K03774	bpse:BDL_1105
ko:K03630	bpse:BDL_1106
ko:K02902	bpse:BDL_1107
ko:K02913	bpse:BDL_1108
ko:K00278	bpse:BDL_1109
ko:K00767	bpse:BDL_1110
ko:K03517	bpse:BDL_1111
ko:K03500	bpse:BDL_1114
ko:K11175	bpse:BDL_1115
ko:K11753	bpse:BDL_1116
ko:K01870	bpse:BDL_1117
ko:K03101	bpse:BDL_1118
ko:K13038	bpse:BDL_1119
ko:K03694	bpse:BDL_1124
ko:K06891	bpse:BDL_1125
ko:K03704	bpse:BDL_1126
ko:K00031	bpse:BDL_1128
ko:K06181	bpse:BDL_1129
ko:K09005	bpse:BDL_1130
ko:K02355	bpse:BDL_1131
ko:K03710	bpse:BDL_1134
ko:K01647	bpse:BDL_1136
ko:K00077	bpse:BDL_1140
ko:K07240	bpse:BDL_1143
ko:K04564	bpse:BDL_1146
ko:K03601	bpse:BDL_1147
ko:K00912	bpse:BDL_1148
ko:K09791	bpse:BDL_1149
ko:K00979	bpse:BDL_1150
ko:K03980	bpse:BDL_1154
ko:K02968	bpse:BDL_1155
ko:K00140	bpse:BDL_1957
ko:K01995	bpse:BDL_1959
ko:K01996	bpse:BDL_1960
ko:K01999	bpse:BDL_1961
ko:K01997	bpse:BDL_1962
ko:K01998	bpse:BDL_1963
ko:K01999	bpse:BDL_1965
ko:K01997	bpse:BDL_1966
ko:K01995	bpse:BDL_1967
ko:K01998	bpse:BDL_1967
ko:K01996	bpse:BDL_1968
ko:K03495	bpse:BDL_1969
ko:K03501	bpse:BDL_1970
ko:K02108	bpse:BDL_1975
ko:K02110	bpse:BDL_1976
ko:K02109	bpse:BDL_1977
ko:K02113	bpse:BDL_1978
ko:K02111	bpse:BDL_1979
ko:K02115	bpse:BDL_1980
ko:K02112	bpse:BDL_1981
ko:K02114	bpse:BDL_1982
ko:K06929	bpse:BDL_1985
ko:K01713	bpse:BDL_1986
ko:K01599	bpse:BDL_1987
ko:K04066	bpse:BDL_1988
ko:K13821	bpse:BDL_1990
ko:K01999	bpse:BDL_1991
ko:K12508	bpse:BDL_1992
ko:K09456	bpse:BDL_1993
ko:K10013	bpse:BDL_1996
ko:K01534	bpse:BDL_2001
ko:K06895	bpse:BDL_2815
ko:K03182	bpse:BDL_2816
ko:K03625	bpse:BDL_2819
ko:K00794	bpse:BDL_2820
ko:K14652	bpse:BDL_2821
ko:K00793	bpse:BDL_2823
ko:K11752	bpse:BDL_2824
ko:K01845	bpse:BDL_2825
ko:K07552	bpse:BDL_2828
ko:K10009	bpse:BDL_2832
ko:K02424	bpse:BDL_2833
ko:K01057	bpse:BDL_2835
ko:K00036	bpse:BDL_2836
ko:K17315	bpse:BDL_2837
ko:K17316	bpse:BDL_2838
ko:K17317	bpse:BDL_2839
ko:K00384	bpse:BDL_2843
ko:K03466	bpse:BDL_2844
ko:K03634	bpse:BDL_2845
ko:K07478	bpse:BDL_2846
ko:K01875	bpse:BDL_2848
ko:K03610	bpse:BDL_2852
ko:K03609	bpse:BDL_2853
ko:K03608	bpse:BDL_2854
ko:K02841	bpse:BDL_2858
ko:K03832	bpse:BDL_2861
ko:K07001	bpse:BDL_5847
ko:K00019	bpse:BDL_5848
ko:K01574	bpse:BDL_5849
ko:K09930	bpse:BDL_5857
ko:K06895	bpse:BDL_5861
ko:K05596	bpse:BDL_5862
ko:K01053	bpse:BDL_5867
ko:K00640	bpse:BDL_5870
ko:K01495	bpse:BDL_5872
ko:K00481	bpse:BDL_5874
ko:K01031	bpse:BDL_5875
ko:K01032	bpse:BDL_5876
ko:K01857	bpse:BDL_5877
ko:K01055	bpse:BDL_5878
ko:K08195	bpse:BDL_5880
ko:K07240	bpse:BDL_5887
ko:K08995	bpse:BDL_5890
ko:K03088	bpse:BDL_5892
ko:K03701	bpse:BDL_5893
ko:K10125	bpse:BDL_5898
ko:K08223	bpse:BDL_512
ko:K03657	bpse:BDL_514
ko:K01873	bpse:BDL_515
ko:K00963	bpse:BDL_516
ko:K02057	bpse:BDL_527
ko:K03338	bpse:BDL_529
ko:K03336	bpse:BDL_530
ko:K03335	bpse:BDL_531
ko:K03337	bpse:BDL_532
ko:K01996	bpse:BDL_533
ko:K01997	bpse:BDL_536
ko:K07107	bpse:BDL_537
ko:K01872	bpse:BDL_545
ko:K04062	bpse:BDL_547
ko:K01886	bpse:BDL_548
ko:K01207	bpse:BDL_551
ko:K00428	bpse:BDL_553
ko:K00209	bpse:BDL_555
ko:K03543	bpse:BDL_556
ko:K03446	bpse:BDL_557
ko:K07687	bpse:BDL_559
ko:K07347	bpse:BDL_562
ko:K01754	bpse:BDL_1371
ko:K06879	bpse:BDL_1372
ko:K06015	bpse:BDL_1374
