ko:K00984	senh:CFSAN002069_02690
ko:K07306	senh:CFSAN002069_19115
ko:K04077	senh:CFSAN002069_23180
ko:K04078	senh:CFSAN002069_23185
ko:K03229	senh:CFSAN002069_01890
ko:K03228	senh:CFSAN002069_01895
ko:K03226	senh:CFSAN002069_01905
ko:K03225	senh:CFSAN002069_01910
ko:K03224	senh:CFSAN002069_01925
ko:K03230	senh:CFSAN002069_01930
ko:K03222	senh:CFSAN002069_01955
ko:K03221	senh:CFSAN002069_01970
ko:K07038	senh:CFSAN002069_02400
ko:K06956	senh:CFSAN002069_02405
ko:K15722	senh:CFSAN002069_02410
ko:K03781	senh:CFSAN002069_02415
ko:K03490	senh:CFSAN002069_02430
ko:K02759	senh:CFSAN002069_02435
ko:K02761	senh:CFSAN002069_02440
ko:K02760	senh:CFSAN002069_02445
ko:K04064	senh:CFSAN002069_02450
ko:K05984	senh:CFSAN002069_02460
ko:K05526	senh:CFSAN002069_02470
ko:K01484	senh:CFSAN002069_02475
ko:K06447	senh:CFSAN002069_02480
ko:K00673	senh:CFSAN002069_02485
ko:K00840	senh:CFSAN002069_02490
ko:K01142	senh:CFSAN002069_02495
ko:K08320	senh:CFSAN002069_02500
ko:K00262	senh:CFSAN002069_02510
ko:K01008	senh:CFSAN002069_02520
ko:K04773	senh:CFSAN002069_02530
ko:K08281	senh:CFSAN002069_02540
ko:K09916	senh:CFSAN002069_02545
ko:K00134	senh:CFSAN002069_02555
ko:K01792	senh:CFSAN002069_02565
ko:K06871	senh:CFSAN002069_02575
ko:K07180	senh:CFSAN002069_02585
ko:K09786	senh:CFSAN002069_02590
ko:K08223	senh:CFSAN002069_06380
ko:K00892	senh:CFSAN002069_06390
ko:K01772	senh:CFSAN002069_06395
ko:K04079	senh:CFSAN002069_06405
ko:K06187	senh:CFSAN002069_06410
ko:K09747	senh:CFSAN002069_06415
ko:K02343	senh:CFSAN002069_06420
ko:K00759	senh:CFSAN002069_06425
ko:K09790	senh:CFSAN002069_06430
ko:K05802	senh:CFSAN002069_06445
ko:K03577	senh:CFSAN002069_06450
ko:K02919	senh:CFSAN002069_06485
ko:K02909	senh:CFSAN002069_06490
ko:K07443	senh:CFSAN002069_06500
ko:K09914	senh:CFSAN002069_06505
ko:K10805	senh:CFSAN002069_06510
ko:K03320	senh:CFSAN002069_06515
ko:K04752	senh:CFSAN002069_06520
ko:K05800	senh:CFSAN002069_06535
ko:K01738	senh:CFSAN002069_06540
ko:K11938	senh:CFSAN002069_06545
ko:K06920	senh:CFSAN002069_06555
ko:K12500	senh:CFSAN002069_06560
ko:K02237	senh:CFSAN002069_06565
ko:K03770	senh:CFSAN002069_06570
ko:K03530	senh:CFSAN002069_06575
ko:K01338	senh:CFSAN002069_06580
ko:K03544	senh:CFSAN002069_06585
ko:K01358	senh:CFSAN002069_06590
ko:K03545	senh:CFSAN002069_06595
ko:K05527	senh:CFSAN002069_06600
ko:K07286	senh:CFSAN002069_06605
ko:K08218	senh:CFSAN002069_06610
ko:K02297	senh:CFSAN002069_06615
ko:K02298	senh:CFSAN002069_06620
ko:K13288	senh:CFSAN002069_10335
ko:K06949	senh:CFSAN002069_10340
ko:K01613	senh:CFSAN002069_10345
ko:K04568	senh:CFSAN002069_10365
ko:K00246	senh:CFSAN002069_10380
ko:K03098	senh:CFSAN002069_10390
ko:K16348	senh:CFSAN002069_10405
ko:K02356	senh:CFSAN002069_10415
ko:K04077	senh:CFSAN002069_10435
ko:K04078	senh:CFSAN002069_10440
ko:K16263	senh:CFSAN002069_10445
ko:K07113	senh:CFSAN002069_10450
ko:K01744	senh:CFSAN002069_10455
ko:K07791	senh:CFSAN002069_10460
ko:K03926	senh:CFSAN002069_10465
ko:K04084	senh:CFSAN002069_10470
ko:K09474	senh:CFSAN002069_10495
ko:K07306	senh:CFSAN002069_10560
ko:K07701	senh:CFSAN002069_10565
ko:K07703	senh:CFSAN002069_10570
ko:K01676	senh:CFSAN002069_10580
ko:K01999	senh:CFSAN002069_14365
ko:K01997	senh:CFSAN002069_14370
ko:K01998	senh:CFSAN002069_14375
ko:K01995	senh:CFSAN002069_14380
ko:K01996	senh:CFSAN002069_14385
ko:K05813	senh:CFSAN002069_14395
ko:K01126	senh:CFSAN002069_14415
ko:K09936	senh:CFSAN002069_14435
ko:K06911	senh:CFSAN002069_14465
ko:K06145	senh:CFSAN002069_14470
ko:K06156	senh:CFSAN002069_14480
ko:K00133	senh:CFSAN002069_14485
ko:K00975	senh:CFSAN002069_14500
ko:K00703	senh:CFSAN002069_14505
ko:K00688	senh:CFSAN002069_14510
ko:K01687	senh:CFSAN002069_14525
ko:K00005	senh:CFSAN002069_14535
ko:K00111	senh:CFSAN002069_14550
ko:K02439	senh:CFSAN002069_14555
ko:K02444	senh:CFSAN002069_14565
ko:K14415	senh:CFSAN002069_14580
ko:K03556	senh:CFSAN002069_14600
ko:K02406	senh:CFSAN002069_18410
ko:K06859	senh:CFSAN002069_18495
ko:K08094	senh:CFSAN002069_18500
ko:K02781	senh:CFSAN002069_18525
ko:K12542	senh:CFSAN002069_18590
ko:K12541	senh:CFSAN002069_18595
ko:K12543	senh:CFSAN002069_18600
ko:K03664	senh:CFSAN002069_18610
ko:K09801	senh:CFSAN002069_18620
ko:K06186	senh:CFSAN002069_18625
ko:K03631	senh:CFSAN002069_18630
ko:K00036	senh:CFSAN002069_22395
ko:K01690	senh:CFSAN002069_22400
ko:K01625	senh:CFSAN002069_22405
ko:K08289	senh:CFSAN002069_22415
ko:K09918	senh:CFSAN002069_22420
ko:K01354	senh:CFSAN002069_22435
ko:K10857	senh:CFSAN002069_22440
ko:K07156	senh:CFSAN002069_22455
ko:K03808	senh:CFSAN002069_22600
ko:K19697	senh:CFSAN002069_21535
ko:K03220	senh:CFSAN002069_02025
ko:K03219	senh:CFSAN002069_02030
ko:K00873	senh:CFSAN002069_02115
ko:K02016	senh:CFSAN002069_05875
ko:K02015	senh:CFSAN002069_05885
ko:K02015	senh:CFSAN002069_05890
ko:K02013	senh:CFSAN002069_05895
ko:K02364	senh:CFSAN002069_05905
ko:K02362	senh:CFSAN002069_05925
ko:K06048	senh:CFSAN002069_05930
ko:K10679	senh:CFSAN002069_05955
ko:K12686	senh:CFSAN002069_05995
ko:K16053	senh:CFSAN002069_06000
ko:K11732	senh:CFSAN002069_06005
ko:K07644	senh:CFSAN002069_06040
ko:K08088	senh:CFSAN002069_06090
ko:K07688	senh:CFSAN002069_06095
ko:K07348	senh:CFSAN002069_06100
ko:K07350	senh:CFSAN002069_06105
ko:K07347	senh:CFSAN002069_06110
ko:K07351	senh:CFSAN002069_06120
ko:K07345	senh:CFSAN002069_06125
ko:K09893	senh:CFSAN002069_09845
ko:K00611	senh:CFSAN002069_09850
ko:K00926	senh:CFSAN002069_09865
ko:K00611	senh:CFSAN002069_09870
ko:K00609	senh:CFSAN002069_09890
ko:K00610	senh:CFSAN002069_09895
ko:K01531	senh:CFSAN002069_09910
ko:K03485	senh:CFSAN002069_09915
ko:K02818	senh:CFSAN002069_09920
ko:K02819	senh:CFSAN002069_09920
ko:K01042	senh:CFSAN002069_09960
ko:K01465	senh:CFSAN002069_09965
ko:K15536	senh:CFSAN002069_09995
ko:K03592	senh:CFSAN002069_10000
ko:K09889	senh:CFSAN002069_10005
ko:K02558	senh:CFSAN002069_10010
ko:K03841	senh:CFSAN002069_10015
ko:K09800	senh:CFSAN002069_10040
ko:K07278	senh:CFSAN002069_10045
ko:K07109	senh:CFSAN002069_10065
ko:K07347	senh:CFSAN002069_13850
ko:K12975	senh:CFSAN002069_13865
ko:K12368	senh:CFSAN002069_13890
ko:K12369	senh:CFSAN002069_13895
ko:K12370	senh:CFSAN002069_13900
ko:K00694	senh:CFSAN002069_13950
ko:K11103	senh:CFSAN002069_13975
ko:K00874	senh:CFSAN002069_13985
ko:K07290	senh:CFSAN002069_13995
ko:K07058	senh:CFSAN002069_14005
ko:K01194	senh:CFSAN002069_14040
ko:K03710	senh:CFSAN002069_14045
ko:K07115	senh:CFSAN002069_14075
ko:K01414	senh:CFSAN002069_14085
ko:K15984	senh:CFSAN002069_14090
ko:K03305	senh:CFSAN002069_14095
ko:K03221	senh:CFSAN002069_17905
ko:K11605	senh:CFSAN002069_17950
ko:K15836	senh:CFSAN002069_17970
ko:K04654	senh:CFSAN002069_17980
ko:K04653	senh:CFSAN002069_17985
ko:K04651	senh:CFSAN002069_17995
ko:K15833	senh:CFSAN002069_18000
ko:K15827	senh:CFSAN002069_18005
ko:K15828	senh:CFSAN002069_18010
ko:K15829	senh:CFSAN002069_18015
ko:K15830	senh:CFSAN002069_18020
ko:K15831	senh:CFSAN002069_18025
ko:K15832	senh:CFSAN002069_18030
ko:K15834	senh:CFSAN002069_18035
ko:K08315	senh:CFSAN002069_18040
ko:K05796	senh:CFSAN002069_18050
ko:K04656	senh:CFSAN002069_18055
ko:K12265	senh:CFSAN002069_18060
ko:K12264	senh:CFSAN002069_18065
ko:K12266	senh:CFSAN002069_18070
ko:K02467	senh:CFSAN002069_18075
ko:K02468	senh:CFSAN002069_18080
ko:K02781	senh:CFSAN002069_18095
ko:K03565	senh:CFSAN002069_18125
ko:K09781	senh:CFSAN002069_21895
ko:K07026	senh:CFSAN002069_21910
ko:K07781	senh:CFSAN002069_21925
ko:K02421	senh:CFSAN002069_21930
ko:K02420	senh:CFSAN002069_21935
ko:K02419	senh:CFSAN002069_21940
ko:K02418	senh:CFSAN002069_21945
ko:K02417	senh:CFSAN002069_21950
ko:K02416	senh:CFSAN002069_21955
ko:K02415	senh:CFSAN002069_21960
ko:K02413	senh:CFSAN002069_21970
ko:K02412	senh:CFSAN002069_21975
ko:K02411	senh:CFSAN002069_21980
ko:K02410	senh:CFSAN002069_21985
ko:K02409	senh:CFSAN002069_21990
ko:K02408	senh:CFSAN002069_21995
ko:K07112	senh:CFSAN002069_22010
ko:K02423	senh:CFSAN002069_22025
ko:K02422	senh:CFSAN002069_22030
ko:K02407	senh:CFSAN002069_22035
ko:K02406	senh:CFSAN002069_22040
ko:K02405	senh:CFSAN002069_22050
ko:K02425	senh:CFSAN002069_22055
ko:K02424	senh:CFSAN002069_22060
ko:K10009	senh:CFSAN002069_22070
ko:K10010	senh:CFSAN002069_22075
ko:K07689	senh:CFSAN002069_22095
ko:K03703	senh:CFSAN002069_22100
ko:K00995	senh:CFSAN002069_22105
ko:K03607	senh:CFSAN002069_22610
ko:K03797	senh:CFSAN002069_22615
ko:K03799	senh:CFSAN002069_22620
ko:K08169	senh:CFSAN002069_22625
ko:K01627	senh:CFSAN002069_00090
ko:K07300	senh:CFSAN002069_00095
ko:K07673	senh:CFSAN002069_00120
ko:K02575	senh:CFSAN002069_00125
ko:K00370	senh:CFSAN002069_00130
ko:K00371	senh:CFSAN002069_00135
ko:K00373	senh:CFSAN002069_00140
ko:K01433	senh:CFSAN002069_00170
ko:K07001	senh:CFSAN002069_00180
ko:K00963	senh:CFSAN002069_00190
ko:K04072	senh:CFSAN002069_00205
ko:K15580	senh:CFSAN002069_00215
ko:K15581	senh:CFSAN002069_00220
ko:K10716	senh:CFSAN002069_00240
ko:K09901	senh:CFSAN002069_00245
ko:K06131	senh:CFSAN002069_00250
ko:K09780	senh:CFSAN002069_00260
ko:K03832	senh:CFSAN002069_00265
ko:K10806	senh:CFSAN002069_00270
ko:K06190	senh:CFSAN002069_00275
ko:K06940	senh:CFSAN002069_00285
ko:K07275	senh:CFSAN002069_00290
ko:K07217	senh:CFSAN002069_00295
ko:K01695	senh:CFSAN002069_00315
ko:K01696	senh:CFSAN002069_00320
ko:K13498	senh:CFSAN002069_00325
ko:K13497	senh:CFSAN002069_00330
ko:K02945	senh:CFSAN002069_04140
ko:K00945	senh:CFSAN002069_04145
ko:K07387	senh:CFSAN002069_04150
ko:K00800	senh:CFSAN002069_04155
ko:K00831	senh:CFSAN002069_04160
ko:K09136	senh:CFSAN002069_04170
ko:K04069	senh:CFSAN002069_04195
ko:K08219	senh:CFSAN002069_04205
ko:K07306	senh:CFSAN002069_04220
ko:K01875	senh:CFSAN002069_04225
ko:K07478	senh:CFSAN002069_04230
ko:K03634	senh:CFSAN002069_04235
ko:K03466	senh:CFSAN002069_04240
ko:K00384	senh:CFSAN002069_04250
ko:K00684	senh:CFSAN002069_04265
ko:K02518	senh:CFSAN002069_04270
ko:K06911	senh:CFSAN002069_04280
ko:K03694	senh:CFSAN002069_04315
ko:K06891	senh:CFSAN002069_04320
ko:K03704	senh:CFSAN002069_04325
ko:K05685	senh:CFSAN002069_04330
ko:K13888	senh:CFSAN002069_04335
ko:K09824	senh:CFSAN002069_04340
ko:K11933	senh:CFSAN002069_04360
ko:K00156	senh:CFSAN002069_04365
ko:K01620	senh:CFSAN002069_04370
ko:K11066	senh:CFSAN002069_04385
ko:K15724	senh:CFSAN002069_08125
ko:K03281	senh:CFSAN002069_08130
ko:K01845	senh:CFSAN002069_08135
ko:K02015	senh:CFSAN002069_08175
ko:K02016	senh:CFSAN002069_08180
ko:K02013	senh:CFSAN002069_08185
ko:K05365	senh:CFSAN002069_08195
ko:K03579	senh:CFSAN002069_08200
ko:K01975	senh:CFSAN002069_08205
ko:K06206	senh:CFSAN002069_08210
ko:K06204	senh:CFSAN002069_08215
ko:K01894	senh:CFSAN002069_08220
ko:K00950	senh:CFSAN002069_08230
ko:K00606	senh:CFSAN002069_08235
ko:K01918	senh:CFSAN002069_08240
ko:K01579	senh:CFSAN002069_08245
ko:K15540	senh:CFSAN002069_08255
ko:K07347	senh:CFSAN002069_08260
ko:K07347	senh:CFSAN002069_08305
ko:K01673	senh:CFSAN002069_08325
ko:K00760	senh:CFSAN002069_08330
ko:K00117	senh:CFSAN002069_08335
ko:K14588	senh:CFSAN002069_08340
ko:K00797	senh:CFSAN002069_08350
ko:K01825	senh:CFSAN002069_12145
ko:K05368	senh:CFSAN002069_12160
ko:K03182	senh:CFSAN002069_12165
ko:K03424	senh:CFSAN002069_12175
ko:K03118	senh:CFSAN002069_12180
ko:K03117	senh:CFSAN002069_12185
ko:K03116	senh:CFSAN002069_12190
ko:K03688	senh:CFSAN002069_12195
ko:K03690	senh:CFSAN002069_12200
ko:K03183	senh:CFSAN002069_12205
ko:K09760	senh:CFSAN002069_12210
ko:K00757	senh:CFSAN002069_12215
ko:K01061	senh:CFSAN002069_12220
ko:K06871	senh:CFSAN002069_12225
ko:K00549	senh:CFSAN002069_12235
ko:K03576	senh:CFSAN002069_12240
ko:K05834	senh:CFSAN002069_12260
ko:K05835	senh:CFSAN002069_12265
ko:K03654	senh:CFSAN002069_12270
ko:K01058	senh:CFSAN002069_12275
ko:K05786	senh:CFSAN002069_12285
ko:K03284	senh:CFSAN002069_12300
ko:K03657	senh:CFSAN002069_12305
ko:K03733	senh:CFSAN002069_12315
ko:K09921	senh:CFSAN002069_12320
ko:K01778	senh:CFSAN002069_12325
ko:K06202	senh:CFSAN002069_12340
ko:K07184	senh:CFSAN002069_16125
ko:K00982	senh:CFSAN002069_16135
ko:K03272	senh:CFSAN002069_16140
ko:K03611	senh:CFSAN002069_16170
ko:K03673	senh:CFSAN002069_16175
ko:K07238	senh:CFSAN002069_16190
ko:K12340	senh:CFSAN002069_16210
ko:K09920	senh:CFSAN002069_16220
ko:K03651	senh:CFSAN002069_16225
ko:K07000	senh:CFSAN002069_16230
ko:K02622	senh:CFSAN002069_16235
ko:K03923	senh:CFSAN002069_16245
ko:K13652	senh:CFSAN002069_16265
ko:K02621	senh:CFSAN002069_16270
ko:K00655	senh:CFSAN002069_16275
ko:K08325	senh:CFSAN002069_16325
ko:K03561	senh:CFSAN002069_16350
ko:K13788	senh:CFSAN002069_20165
ko:K00925	senh:CFSAN002069_20170
ko:K09899	senh:CFSAN002069_20175
ko:K09161	senh:CFSAN002069_20180
ko:K14260	senh:CFSAN002069_20200
ko:K00330	senh:CFSAN002069_20210
ko:K00331	senh:CFSAN002069_20215
ko:K13378	senh:CFSAN002069_20220
ko:K00334	senh:CFSAN002069_20225
ko:K00337	senh:CFSAN002069_20240
ko:K00338	senh:CFSAN002069_20245
ko:K00339	senh:CFSAN002069_20250
ko:K00340	senh:CFSAN002069_20255
ko:K00341	senh:CFSAN002069_20260
ko:K00342	senh:CFSAN002069_20265
ko:K00343	senh:CFSAN002069_20270
ko:K03415	senh:CFSAN002069_20275
ko:K05594	senh:CFSAN002069_20290
ko:K02551	senh:CFSAN002069_20300
ko:K01661	senh:CFSAN002069_20310
ko:K01911	senh:CFSAN002069_20320
ko:K12963	senh:CFSAN002069_20330
ko:K12962	senh:CFSAN002069_20335
ko:K07264	senh:CFSAN002069_20340
ko:K13014	senh:CFSAN002069_20345
ko:K10011	senh:CFSAN002069_20350
ko:K10012	senh:CFSAN002069_20355
ko:K07806	senh:CFSAN002069_20360
ko:K12661	senh:CFSAN002069_20390
ko:K12660	senh:CFSAN002069_20400
ko:K01734	senh:CFSAN002069_03635
ko:K03658	senh:CFSAN002069_03640
ko:K09911	senh:CFSAN002069_03670
ko:K04770	senh:CFSAN002069_03675
ko:K01716	senh:CFSAN002069_03680
ko:K09857	senh:CFSAN002069_03685
ko:K06192	senh:CFSAN002069_03690
ko:K15738	senh:CFSAN002069_03695
ko:K12297	senh:CFSAN002069_03700
ko:K07140	senh:CFSAN002069_03705
ko:K01256	senh:CFSAN002069_03720
ko:K11890	senh:CFSAN002069_07710
ko:K11891	senh:CFSAN002069_07715
ko:K11892	senh:CFSAN002069_07730
ko:K11893	senh:CFSAN002069_07735
ko:K11906	senh:CFSAN002069_07740
ko:K11903	senh:CFSAN002069_07745
ko:K11903	senh:CFSAN002069_07760
ko:K11900	senh:CFSAN002069_07775
ko:K11901	senh:CFSAN002069_07780
ko:K11907	senh:CFSAN002069_07785
ko:K11898	senh:CFSAN002069_07795
ko:K11897	senh:CFSAN002069_07800
ko:K11896	senh:CFSAN002069_07805
ko:K11895	senh:CFSAN002069_07810
ko:K11902	senh:CFSAN002069_07815
ko:K08307	senh:CFSAN002069_07845
ko:K06222	senh:CFSAN002069_07870
ko:K03591	senh:CFSAN002069_11600
ko:K01419	senh:CFSAN002069_11605
ko:K03667	senh:CFSAN002069_11610
ko:K02548	senh:CFSAN002069_11615
ko:K02553	senh:CFSAN002069_11620
ko:K09892	senh:CFSAN002069_11625
ko:K02440	senh:CFSAN002069_11635
ko:K00864	senh:CFSAN002069_11640
ko:K00528	senh:CFSAN002069_11650
ko:K01803	senh:CFSAN002069_11665
ko:K01783	senh:CFSAN002069_11670
ko:K08321	senh:CFSAN002069_11680
ko:K10555	senh:CFSAN002069_11685
ko:K10557	senh:CFSAN002069_11690
ko:K10556	senh:CFSAN002069_11695
ko:K10558	senh:CFSAN002069_11700
ko:K11531	senh:CFSAN002069_11705
ko:K11216	senh:CFSAN002069_11710
ko:K00847	senh:CFSAN002069_11740
ko:K01521	senh:CFSAN002069_11750
ko:K02048	senh:CFSAN002069_11755
ko:K00850	senh:CFSAN002069_11760
ko:K06006	senh:CFSAN002069_11770
ko:K04564	senh:CFSAN002069_11800
ko:K02856	senh:CFSAN002069_11825
ko:K02854	senh:CFSAN002069_11830
ko:K00848	senh:CFSAN002069_11840
ko:K07323	senh:CFSAN002069_15620
ko:K07122	senh:CFSAN002069_15625
ko:K00790	senh:CFSAN002069_15635
ko:K02523	senh:CFSAN002069_15645
ko:K02888	senh:CFSAN002069_15650
ko:K02899	senh:CFSAN002069_15655
ko:K03979	senh:CFSAN002069_15665
ko:K07259	senh:CFSAN002069_15670
ko:K03624	senh:CFSAN002069_15680
ko:K07574	senh:CFSAN002069_15685
ko:K03798	senh:CFSAN002069_15695
ko:K00796	senh:CFSAN002069_15700
ko:K03431	senh:CFSAN002069_15705
ko:K03075	senh:CFSAN002069_15710
ko:K01940	senh:CFSAN002069_15725
ko:K09748	senh:CFSAN002069_15735
ko:K02600	senh:CFSAN002069_15740
ko:K02519	senh:CFSAN002069_15745
ko:K02834	senh:CFSAN002069_15750
ko:K02956	senh:CFSAN002069_15760
ko:K00962	senh:CFSAN002069_15765
ko:K05803	senh:CFSAN002069_15770
ko:K05592	senh:CFSAN002069_15775
ko:K03835	senh:CFSAN002069_15780
ko:K08303	senh:CFSAN002069_15795
ko:K03824	senh:CFSAN002069_15805
ko:K07461	senh:CFSAN002069_15810
ko:K09979	senh:CFSAN002069_15815
ko:K05520	senh:CFSAN002069_15820
ko:K07460	senh:CFSAN002069_15840
ko:K07121	senh:CFSAN002069_15845
ko:K07056	senh:CFSAN002069_15850
ko:K02774	senh:CFSAN002069_15870
ko:K03815	senh:CFSAN002069_19650
ko:K11537	senh:CFSAN002069_19655
ko:K11535	senh:CFSAN002069_19720
ko:K03322	senh:CFSAN002069_19725
ko:K14261	senh:CFSAN002069_19755
ko:K12974	senh:CFSAN002069_19770
ko:K11382	senh:CFSAN002069_19785
ko:K07733	senh:CFSAN002069_19815
ko:K04754	senh:CFSAN002069_19885
ko:K06076	senh:CFSAN002069_19890
ko:K08296	senh:CFSAN002069_19910
ko:K02392	senh:CFSAN002069_03125
ko:K02391	senh:CFSAN002069_03130
ko:K02390	senh:CFSAN002069_03135
ko:K02389	senh:CFSAN002069_03140
ko:K02388	senh:CFSAN002069_03145
ko:K02387	senh:CFSAN002069_03150
ko:K02386	senh:CFSAN002069_03155
ko:K02398	senh:CFSAN002069_03160
ko:K02399	senh:CFSAN002069_03165
ko:K03980	senh:CFSAN002069_03170
ko:K09915	senh:CFSAN002069_03180
ko:K03790	senh:CFSAN002069_03185
ko:K08162	senh:CFSAN002069_03190
ko:K03675	senh:CFSAN002069_03195
ko:K01465	senh:CFSAN002069_03205
ko:K12149	senh:CFSAN002069_03210
ko:K12148	senh:CFSAN002069_03215
ko:K02846	senh:CFSAN002069_03220
ko:K07146	senh:CFSAN002069_03240
ko:K02517	senh:CFSAN002069_03245
ko:K12147	senh:CFSAN002069_03255
ko:K03669	senh:CFSAN002069_03265
ko:K03670	senh:CFSAN002069_03270
ko:K11941	senh:CFSAN002069_03275
ko:K04336	senh:CFSAN002069_03295
ko:K04334	senh:CFSAN002069_03300
ko:K04335	senh:CFSAN002069_03305
ko:K04337	senh:CFSAN002069_03315
ko:K04338	senh:CFSAN002069_03320
ko:K06214	senh:CFSAN002069_03325
ko:K12972	senh:CFSAN002069_03345
ko:K07345	senh:CFSAN002069_07145
ko:K07347	senh:CFSAN002069_07155
ko:K01704	senh:CFSAN002069_07185
ko:K01703	senh:CFSAN002069_07190
ko:K03453	senh:CFSAN002069_11140
ko:K06182	senh:CFSAN002069_11150
ko:K09912	senh:CFSAN002069_11155
ko:K05995	senh:CFSAN002069_11160
ko:K03324	senh:CFSAN002069_11165
ko:K00906	senh:CFSAN002069_11190
ko:K01637	senh:CFSAN002069_11195
ko:K01638	senh:CFSAN002069_11200
ko:K00651	senh:CFSAN002069_11205
ko:K03827	senh:CFSAN002069_11210
ko:K00602	senh:CFSAN002069_11235
ko:K01945	senh:CFSAN002069_11240
ko:K07803	senh:CFSAN002069_11255
ko:K05787	senh:CFSAN002069_11265
ko:K09891	senh:CFSAN002069_11270
ko:K05982	senh:CFSAN002069_11275
ko:K01599	senh:CFSAN002069_11280
ko:K03426	senh:CFSAN002069_11285
ko:K07740	senh:CFSAN002069_11290
ko:K03147	senh:CFSAN002069_11295
ko:K00788	senh:CFSAN002069_11300
ko:K03154	senh:CFSAN002069_11310
ko:K03149	senh:CFSAN002069_11315
ko:K03150	senh:CFSAN002069_11320
ko:K03046	senh:CFSAN002069_11335
ko:K03043	senh:CFSAN002069_11340
ko:K02935	senh:CFSAN002069_11345
ko:K03500	senh:CFSAN002069_15120
ko:K00604	senh:CFSAN002069_15125
ko:K01462	senh:CFSAN002069_15130
ko:K04096	senh:CFSAN002069_15135
ko:K07479	senh:CFSAN002069_15145
ko:K07566	senh:CFSAN002069_15150
ko:K00014	senh:CFSAN002069_15155
ko:K03557	senh:CFSAN002069_15240
ko:K02687	senh:CFSAN002069_15250
ko:K14392	senh:CFSAN002069_15255
ko:K01961	senh:CFSAN002069_15265
ko:K02160	senh:CFSAN002069_15270
ko:K17247	senh:CFSAN002069_15275
ko:K03569	senh:CFSAN002069_15295
ko:K03570	senh:CFSAN002069_15300
ko:K03571	senh:CFSAN002069_15305
ko:K06287	senh:CFSAN002069_15310
ko:K08301	senh:CFSAN002069_15315
ko:K03568	senh:CFSAN002069_15325
ko:K15548	senh:CFSAN002069_15340
ko:K03468	senh:CFSAN002069_15345
ko:K03623	senh:CFSAN002069_15350
ko:K03402	senh:CFSAN002069_15370
ko:K00940	senh:CFSAN002069_19135
ko:K06941	senh:CFSAN002069_19145
ko:K15539	senh:CFSAN002069_19150
ko:K01892	senh:CFSAN002069_19160
ko:K03977	senh:CFSAN002069_19175
ko:K13735	senh:CFSAN002069_19185
ko:K03601	senh:CFSAN002069_19210
ko:K01951	senh:CFSAN002069_19220
ko:K01524	senh:CFSAN002069_19250
ko:K00937	senh:CFSAN002069_19255
ko:K11175	senh:CFSAN002069_19260
ko:K01933	senh:CFSAN002069_19265
ko:K00761	senh:CFSAN002069_19270
ko:K10763	senh:CFSAN002069_19280
ko:K03564	senh:CFSAN002069_19305
ko:K03567	senh:CFSAN002069_19310
ko:K01714	senh:CFSAN002069_19315
ko:K07287	senh:CFSAN002069_19320
ko:K01923	senh:CFSAN002069_19325
ko:K06957	senh:CFSAN002069_19335
ko:K07674	senh:CFSAN002069_19360
ko:K12945	senh:CFSAN002069_19380
ko:K02426	senh:CFSAN002069_02140
ko:K11717	senh:CFSAN002069_02145
ko:K09015	senh:CFSAN002069_02150
ko:K09013	senh:CFSAN002069_02155
ko:K09014	senh:CFSAN002069_02160
ko:K05997	senh:CFSAN002069_02165
ko:K06956	senh:CFSAN002069_02170
ko:K05887	senh:CFSAN002069_02210
ko:K03449	senh:CFSAN002069_02620
ko:K09712	senh:CFSAN002069_02635
ko:K11250	senh:CFSAN002069_02660
ko:K02034	senh:CFSAN002069_02725
ko:K04080	senh:CFSAN002069_02755
ko:K07804	senh:CFSAN002069_02780
ko:K03704	senh:CFSAN002069_02785
ko:K00031	senh:CFSAN002069_02820
ko:K06181	senh:CFSAN002069_02825
ko:K12152	senh:CFSAN002069_02835
ko:K00566	senh:CFSAN002069_02840
ko:K07153	senh:CFSAN002069_02845
ko:K01756	senh:CFSAN002069_02850
ko:K07637	senh:CFSAN002069_02860
ko:K02299	senh:CFSAN002069_06625
ko:K02300	senh:CFSAN002069_06630
ko:K09767	senh:CFSAN002069_06655
ko:K00077	senh:CFSAN002069_06660
ko:K03152	senh:CFSAN002069_06665
ko:K05306	senh:CFSAN002069_06670
ko:K03430	senh:CFSAN002069_06675
ko:K11081	senh:CFSAN002069_06690
ko:K11084	senh:CFSAN002069_06695
ko:K11083	senh:CFSAN002069_06700
ko:K11082	senh:CFSAN002069_06705
ko:K03151	senh:CFSAN002069_06710
ko:K03602	senh:CFSAN002069_06715
ko:K00795	senh:CFSAN002069_06720
ko:K01662	senh:CFSAN002069_06725
ko:K01095	senh:CFSAN002069_06735
ko:K00946	senh:CFSAN002069_06740
ko:K03625	senh:CFSAN002069_06745
ko:K00794	senh:CFSAN002069_06750
ko:K11752	senh:CFSAN002069_06755
ko:K07738	senh:CFSAN002069_06760
ko:K05517	senh:CFSAN002069_06770
ko:K06996	senh:CFSAN002069_06790
ko:K03074	senh:CFSAN002069_06795
ko:K03072	senh:CFSAN002069_06800
ko:K03210	senh:CFSAN002069_06805
ko:K00773	senh:CFSAN002069_06810
ko:K07568	senh:CFSAN002069_06815
ko:K08682	senh:CFSAN002069_06820
ko:K11736	senh:CFSAN002069_06835
ko:K03311	senh:CFSAN002069_06840
ko:K07636	senh:CFSAN002069_06845
ko:K03547	senh:CFSAN002069_06860
