ko:K07496	bax:H9401_5147
ko:K09903	bax:H9401_1698
ko:K11102	bax:H9401_1699
ko:K01744	bax:H9401_1700
ko:K07717	bax:H9401_1702
ko:K07719	bax:H9401_1703
ko:K01914	bax:H9401_1706
ko:K00928	bax:H9401_1710
ko:K01448	bax:H9401_1716
ko:K03076	bax:H9401_2605
ko:K01449	bax:H9401_2619
ko:K00453	bax:H9401_2622
ko:K07130	bax:H9401_2623
ko:K01556	bax:H9401_2624
ko:K00382	bax:H9401_2643
ko:K00627	bax:H9401_2645
ko:K02622	bax:H9401_3478
ko:K08591	bax:H9401_3484
ko:K07107	bax:H9401_3486
ko:K06306	bax:H9401_3487
ko:K06434	bax:H9401_3488
ko:K06431	bax:H9401_3489
ko:K01681	bax:H9401_3495
ko:K06432	bax:H9401_3496
ko:K03523	bax:H9401_3507
ko:K06999	bax:H9401_3520
ko:K15975	bax:H9401_3521
ko:K07736	bax:H9401_3525
ko:K01468	bax:H9401_3527
ko:K01712	bax:H9401_3528
ko:K01745	bax:H9401_3529
ko:K09683	bax:H9401_3530
ko:K09710	bax:H9401_4347
ko:K00969	bax:H9401_4349
ko:K07574	bax:H9401_4350
ko:K00014	bax:H9401_4351
ko:K07015	bax:H9401_4353
ko:K06371	bax:H9401_4354
ko:K01613	bax:H9401_4355
ko:K03091	bax:H9401_4356
ko:K14647	bax:H9401_4373
ko:K00500	bax:H9401_4374
ko:K02013	bax:H9401_4384
ko:K02015	bax:H9401_4385
ko:K02016	bax:H9401_4386
ko:K04072	bax:H9401_4388
ko:K03624	bax:H9401_4396
ko:K00876	bax:H9401_4397
ko:K08303	bax:H9401_4398
ko:K08303	bax:H9401_4399
ko:K07082	bax:H9401_4401
ko:K00425	bax:H9401_5206
ko:K00426	bax:H9401_5207
ko:K03893	bax:H9401_5208
ko:K03147	bax:H9401_5209
ko:K03303	bax:H9401_5210
ko:K00824	bax:H9401_5215
ko:K02250	bax:H9401_5235
ko:K02003	bax:H9401_5239
ko:K02445	bax:H9401_5242
ko:K02012	bax:H9401_5243
ko:K02372	bax:H9401_5249
ko:K02472	bax:H9401_5254
ko:K03300	bax:H9401_0532
ko:K11614	bax:H9401_0547
ko:K11616	bax:H9401_0549
ko:K00375	bax:H9401_0553
ko:K02379	bax:H9401_0559
ko:K00123	bax:H9401_0560
ko:K01126	bax:H9401_0563
ko:K00259	bax:H9401_0564
ko:K01534	bax:H9401_0567
ko:K00763	bax:H9401_0568
ko:K11535	bax:H9401_0577
ko:K01744	bax:H9401_0580
ko:K00945	bax:H9401_1427
ko:K02945	bax:H9401_1428
ko:K05739	bax:H9401_1432
ko:K03977	bax:H9401_1434
ko:K00057	bax:H9401_1435
ko:K06398	bax:H9401_1439
ko:K03530	bax:H9401_1440
ko:K01495	bax:H9401_1441
ko:K03183	bax:H9401_1443
ko:K00940	bax:H9401_1445
ko:K01736	bax:H9401_1446
ko:K01735	bax:H9401_1447
ko:K00817	bax:H9401_1448
ko:K03887	bax:H9401_1453
ko:K03888	bax:H9401_1454
ko:K06973	bax:H9401_1458
ko:K00215	bax:H9401_1462
ko:K01734	bax:H9401_1463
ko:K03524	bax:H9401_1467
ko:K00606	bax:H9401_1469
ko:K01918	bax:H9401_1470
ko:K01579	bax:H9401_1471
ko:K00812	bax:H9401_1475
ko:K10773	bax:H9401_1477
ko:K05366	bax:H9401_1479
ko:K03088	bax:H9401_2377
ko:K03338	bax:H9401_2387
ko:K00140	bax:H9401_2388
ko:K03336	bax:H9401_2389
ko:K03335	bax:H9401_2390
ko:K01624	bax:H9401_2391
ko:K03337	bax:H9401_2392
ko:K01448	bax:H9401_2404
ko:K11032	bax:H9401_2406
ko:K00615	bax:H9401_3265
ko:K00036	bax:H9401_3266
ko:K07078	bax:H9401_3275
ko:K03837	bax:H9401_3282
ko:K00574	bax:H9401_3292
ko:K11752	bax:H9401_4131
ko:K00793	bax:H9401_4132
ko:K14652	bax:H9401_4133
ko:K00794	bax:H9401_4134
ko:K01012	bax:H9401_4136
ko:K02169	bax:H9401_4137
ko:K02170	bax:H9401_4138
ko:K01935	bax:H9401_4140
ko:K00833	bax:H9401_4141
ko:K03315	bax:H9401_4144
ko:K00611	bax:H9401_4150
ko:K00930	bax:H9401_4152
ko:K00620	bax:H9401_4153
ko:K00145	bax:H9401_4154
ko:K07124	bax:H9401_4156
ko:K00286	bax:H9401_4159
ko:K01752	bax:H9401_4160
ko:K01752	bax:H9401_4161
ko:K02346	bax:H9401_4165
ko:K03790	bax:H9401_4167
ko:K09699	bax:H9401_4178
ko:K00167	bax:H9401_4179
ko:K00166	bax:H9401_4180
ko:K00382	bax:H9401_4181
ko:K02073	bax:H9401_4983
ko:K02072	bax:H9401_4984
ko:K02071	bax:H9401_4985
ko:K07476	bax:H9401_4989
ko:K02437	bax:H9401_4990
ko:K07516	bax:H9401_5008
ko:K00318	bax:H9401_5011
ko:K03217	bax:H9401_5020
ko:K01874	bax:H9401_5035
ko:K01588	bax:H9401_0265
ko:K01589	bax:H9401_0266
ko:K01756	bax:H9401_0267
ko:K01923	bax:H9401_0268
ko:K01952	bax:H9401_0269
ko:K01952	bax:H9401_0270
ko:K01952	bax:H9401_0271
ko:K00764	bax:H9401_0272
ko:K01933	bax:H9401_0273
ko:K11175	bax:H9401_0274
ko:K00602	bax:H9401_0275
ko:K01945	bax:H9401_0276
ko:K03657	bax:H9401_0281
ko:K01972	bax:H9401_0282
ko:K07090	bax:H9401_0284
ko:K02071	bax:H9401_0288
ko:K02072	bax:H9401_0289
ko:K02073	bax:H9401_0290
ko:K02435	bax:H9401_0296
ko:K02434	bax:H9401_0298
ko:K01091	bax:H9401_0300
ko:K00973	bax:H9401_1154
ko:K01790	bax:H9401_1155
ko:K00067	bax:H9401_1157
ko:K00208	bax:H9401_1158
ko:K03657	bax:H9401_1165
ko:K01657	bax:H9401_1173
ko:K00766	bax:H9401_1175
ko:K01609	bax:H9401_1176
ko:K01817	bax:H9401_1177
ko:K01696	bax:H9401_1178
ko:K01695	bax:H9401_1179
ko:K03303	bax:H9401_1181
ko:K09136	bax:H9401_1190
ko:K00658	bax:H9401_1192
ko:K00164	bax:H9401_1193
ko:K01870	bax:H9401_2068
ko:K01929	bax:H9401_2071
ko:K03466	bax:H9401_2076
ko:K00865	bax:H9401_2095
ko:K03308	bax:H9401_2101
ko:K09962	bax:H9401_2103
ko:K01091	bax:H9401_2105
ko:K01779	bax:H9401_2108
ko:K01091	bax:H9401_2118
ko:K01118	bax:H9401_2126
ko:K07217	bax:H9401_2988
ko:K01744	bax:H9401_2989
ko:K03311	bax:H9401_2995
ko:K00286	bax:H9401_2996
ko:K06312	bax:H9401_3002
ko:K06312	bax:H9401_3003
ko:K06311	bax:H9401_3004
ko:K06310	bax:H9401_3005
ko:K07717	bax:H9401_3008
ko:K01425	bax:H9401_3010
ko:K03781	bax:H9401_3018
ko:K09932	bax:H9401_3022
ko:K01669	bax:H9401_3034
ko:K09822	bax:H9401_3036
ko:K05577	bax:H9401_3037
ko:K03590	bax:H9401_3857
ko:K03589	bax:H9401_3858
ko:K00075	bax:H9401_3859
ko:K02563	bax:H9401_3860
ko:K03588	bax:H9401_3861
ko:K01925	bax:H9401_3862
ko:K01000	bax:H9401_3863
ko:K01928	bax:H9401_3864
ko:K08384	bax:H9401_3865
ko:K03438	bax:H9401_3868
ko:K00077	bax:H9401_3870
ko:K02911	bax:H9401_3873
ko:K07040	bax:H9401_3874
ko:K01975	bax:H9401_4728
ko:K07007	bax:H9401_4734
ko:K03636	bax:H9401_4746
ko:K03753	bax:H9401_4748
ko:K03750	bax:H9401_4749
ko:K03637	bax:H9401_4750
ko:K06173	bax:H9401_0461
ko:K06714	bax:H9401_0463
ko:K01425	bax:H9401_0471
ko:K02072	bax:H9401_0166
ko:K02071	bax:H9401_0167
ko:K03639	bax:H9401_4753
ko:K00641	bax:H9401_4759
ko:K01869	bax:H9401_4769
ko:K07228	bax:H9401_4772
ko:K02003	bax:H9401_4775
ko:K07139	bax:H9401_4779
ko:K00963	bax:H9401_5600
ko:K00012	bax:H9401_5601
ko:K10040	bax:H9401_0612
ko:K03327	bax:H9401_1315
ko:K06153	bax:H9401_1316
ko:K00826	bax:H9401_1328
ko:K01652	bax:H9401_1329
ko:K01653	bax:H9401_1330
ko:K00053	bax:H9401_1331
ko:K01649	bax:H9401_1332
ko:K00052	bax:H9401_1333
ko:K01703	bax:H9401_1334
ko:K01704	bax:H9401_1335
ko:K02502	bax:H9401_1336
ko:K00765	bax:H9401_1337
ko:K00013	bax:H9401_1338
ko:K01693	bax:H9401_1339
ko:K02501	bax:H9401_1340
ko:K01814	bax:H9401_1341
ko:K02500	bax:H9401_1342
ko:K04486	bax:H9401_1345
ko:K01586	bax:H9401_1351
ko:K00390	bax:H9401_1354
ko:K00958	bax:H9401_1355
ko:K00860	bax:H9401_1356
ko:K02304	bax:H9401_1361
ko:K03308	bax:H9401_1362
ko:K11102	bax:H9401_1364
ko:K11619	bax:H9401_1367
ko:K08177	bax:H9401_2246
ko:K00216	bax:H9401_2247
ko:K02361	bax:H9401_2248
ko:K02363	bax:H9401_2249
ko:K01252	bax:H9401_2250
ko:K04780	bax:H9401_2251
ko:K06133	bax:H9401_2254
ko:K03530	bax:H9401_2256
ko:K03310	bax:H9401_2261
ko:K06182	bax:H9401_2265
ko:K01868	bax:H9401_2267
ko:K02003	bax:H9401_2268
ko:K02034	bax:H9401_2275
ko:K07238	bax:H9401_2276
ko:K00231	bax:H9401_2298
ko:K01752	bax:H9401_3148
ko:K00836	bax:H9401_3150
ko:K04656	bax:H9401_3151
ko:K00831	bax:H9401_3159
ko:K03088	bax:H9401_3162
ko:K01434	bax:H9401_3168
ko:K02106	bax:H9401_3194
ko:K00549	bax:H9401_4021
ko:K07697	bax:H9401_4025
ko:K15772	bax:H9401_4029
ko:K15771	bax:H9401_4030
ko:K00019	bax:H9401_4049
ko:K08963	bax:H9401_4051
ko:K00899	bax:H9401_4052
ko:K08965	bax:H9401_4055
ko:K08966	bax:H9401_4056
ko:K08967	bax:H9401_4058
ko:K03480	bax:H9401_4070
ko:K03710	bax:H9401_4072
ko:K07507	bax:H9401_4894
ko:K01810	bax:H9401_4897
ko:K09779	bax:H9401_4898
ko:K10907	bax:H9401_4900
ko:K14155	bax:H9401_4905
ko:K06347	bax:H9401_4908
ko:K06348	bax:H9401_4909
ko:K01880	bax:H9401_4913
ko:K03523	bax:H9401_4916
ko:K00963	bax:H9401_4918
ko:K01255	bax:H9401_4921
ko:K03885	bax:H9401_4925
ko:K07038	bax:H9401_5787
ko:K07571	bax:H9401_0056
ko:K06382	bax:H9401_0057
ko:K04075	bax:H9401_0058
ko:K00760	bax:H9401_0059
ko:K03798	bax:H9401_0060
ko:K03525	bax:H9401_0061
ko:K04083	bax:H9401_0062
ko:K01738	bax:H9401_0063
ko:K01665	bax:H9401_0064
ko:K00796	bax:H9401_0067
ko:K01633	bax:H9401_0068
ko:K00950	bax:H9401_0069
ko:K04567	bax:H9401_0071
ko:K03696	bax:H9401_0075
ko:K04485	bax:H9401_0076
ko:K00991	bax:H9401_0079
ko:K01770	bax:H9401_0080
ko:K00640	bax:H9401_0082
ko:K01883	bax:H9401_0083
ko:K11145	bax:H9401_0084
ko:K03218	bax:H9401_0085
ko:K02073	bax:H9401_0169
ko:K07552	bax:H9401_0175
ko:K15580	bax:H9401_0182
ko:K15580	bax:H9401_0187
ko:K00286	bax:H9401_0190
ko:K03811	bax:H9401_0191
ko:K02018	bax:H9401_0193
ko:K02020	bax:H9401_0195
ko:K07219	bax:H9401_0196
ko:K00655	bax:H9401_0200
ko:K03424	bax:H9401_0206
ko:K03800	bax:H9401_1029
ko:K06885	bax:H9401_1049
ko:K03088	bax:H9401_1051
ko:K13653	bax:H9401_1052
ko:K01638	bax:H9401_1067
ko:K01637	bax:H9401_1068
ko:K03704	bax:H9401_1070
ko:K02250	bax:H9401_1073
ko:K03100	bax:H9401_1075
ko:K06304	bax:H9401_1079
ko:K06303	bax:H9401_1080
ko:K06302	bax:H9401_1081
ko:K06301	bax:H9401_1082
ko:K06300	bax:H9401_1083
ko:K09793	bax:H9401_1954
ko:K03311	bax:H9401_1958
ko:K06878	bax:H9401_1959
ko:K06385	bax:H9401_1962
ko:K01775	bax:H9401_1973
ko:K00375	bax:H9401_1979
ko:K01938	bax:H9401_2000
ko:K03088	bax:H9401_2007
ko:K07707	bax:H9401_2870
ko:K00876	bax:H9401_2871
ko:K03924	bax:H9401_2878
ko:K03762	bax:H9401_2881
ko:K03781	bax:H9401_2890
ko:K01486	bax:H9401_2892
ko:K03924	bax:H9401_2898
ko:K02003	bax:H9401_2912
ko:K13652	bax:H9401_2917
ko:K09768	bax:H9401_2923
ko:K00133	bax:H9401_3751
ko:K06411	bax:H9401_3752
ko:K06410	bax:H9401_3753
ko:K00962	bax:H9401_3757
ko:K11753	bax:H9401_3758
ko:K02834	bax:H9401_3760
ko:K02519	bax:H9401_3762
ko:K07742	bax:H9401_3764
ko:K02600	bax:H9401_3765
ko:K09748	bax:H9401_3766
ko:K03763	bax:H9401_3767
ko:K01881	bax:H9401_3768
ko:K11749	bax:H9401_3769
ko:K00099	bax:H9401_3770
ko:K00981	bax:H9401_3771
ko:K00806	bax:H9401_3772
ko:K02838	bax:H9401_3773
ko:K09903	bax:H9401_3774
ko:K02357	bax:H9401_3775
ko:K02967	bax:H9401_3776
ko:K03706	bax:H9401_3777
ko:K03667	bax:H9401_3778
ko:K01419	bax:H9401_3779
ko:K03733	bax:H9401_3780
ko:K04094	bax:H9401_3781
ko:K03168	bax:H9401_3782
ko:K04096	bax:H9401_3783
ko:K01902	bax:H9401_3784
ko:K01903	bax:H9401_3785
ko:K03470	bax:H9401_3786
ko:K14540	bax:H9401_3787
ko:K03100	bax:H9401_3788
ko:K02884	bax:H9401_3789
ko:K00554	bax:H9401_3790
ko:K02860	bax:H9401_3791
ko:K06960	bax:H9401_3792
ko:K02959	bax:H9401_3793
ko:K03106	bax:H9401_3794
ko:K03110	bax:H9401_3796
ko:K03529	bax:H9401_3797
ko:K03685	bax:H9401_3798
ko:K02078	bax:H9401_3799
ko:K00645	bax:H9401_3801
ko:K03621	bax:H9401_3802
ko:K00031	bax:H9401_4616
ko:K01647	bax:H9401_4617
ko:K07113	bax:H9401_4620
ko:K00873	bax:H9401_4621
ko:K00850	bax:H9401_4622
ko:K01962	bax:H9401_4623
ko:K01963	bax:H9401_4624
ko:K02337	bax:H9401_4627
ko:K00259	bax:H9401_4649
ko:K01755	bax:H9401_4655
ko:K01940	bax:H9401_4656
ko:K00925	bax:H9401_4664
ko:K11065	bax:H9401_4666
ko:K00858	bax:H9401_4669
ko:K03495	bax:H9401_5475
ko:K03650	bax:H9401_5476
ko:K03217	bax:H9401_5478
ko:K03536	bax:H9401_5479
ko:K02914	bax:H9401_5480
ko:K06962	bax:H9401_0086
ko:K03091	bax:H9401_0087
ko:K03073	bax:H9401_0088
ko:K02601	bax:H9401_0089
ko:K02867	bax:H9401_0090
ko:K02863	bax:H9401_0091
ko:K02864	bax:H9401_0092
ko:K02935	bax:H9401_0093
ko:K03043	bax:H9401_0095
ko:K03046	bax:H9401_0096
ko:K07590	bax:H9401_0097
ko:K02950	bax:H9401_0098
ko:K02992	bax:H9401_0099
ko:K02355	bax:H9401_0100
ko:K02358	bax:H9401_0101
ko:K02946	bax:H9401_0102
ko:K02906	bax:H9401_0103
ko:K02926	bax:H9401_0104
ko:K02892	bax:H9401_0105
ko:K02886	bax:H9401_0106
ko:K02965	bax:H9401_0107
ko:K01118	bax:H9401_0916
ko:K03594	bax:H9401_0939
ko:K03407	bax:H9401_0942
ko:K15975	bax:H9401_0961
ko:K15975	bax:H9401_0962
ko:K00425	bax:H9401_1840
ko:K00426	bax:H9401_1841
ko:K07078	bax:H9401_1848
ko:K07006	bax:H9401_1864
ko:K00003	bax:H9401_1865
ko:K01733	bax:H9401_1866
ko:K00872	bax:H9401_1867
ko:K07507	bax:H9401_1876
ko:K15652	bax:H9401_1883
ko:K06895	bax:H9401_1888
ko:K07001	bax:H9401_1890
ko:K02372	bax:H9401_2767
ko:K15554	bax:H9401_2783
ko:K15553	bax:H9401_2784
ko:K01915	bax:H9401_3646
ko:K03665	bax:H9401_3650
ko:K06413	bax:H9401_3652
ko:K03666	bax:H9401_3655
ko:K00791	bax:H9401_3656
ko:K02768	bax:H9401_3659
ko:K02769	bax:H9401_3659
ko:K02770	bax:H9401_3659
ko:K08976	bax:H9401_3664
ko:K03530	bax:H9401_3672
ko:K02013	bax:H9401_3679
ko:K02015	bax:H9401_3680
ko:K02015	bax:H9401_3681
ko:K02016	bax:H9401_3682
ko:K01142	bax:H9401_3684
ko:K13530	bax:H9401_3685
ko:K13531	bax:H9401_3686
ko:K01247	bax:H9401_3687
ko:K01994	bax:H9401_4509
ko:K06188	bax:H9401_4526
ko:K02557	bax:H9401_4531
ko:K02557	bax:H9401_4532
ko:K02556	bax:H9401_4533
ko:K07107	bax:H9401_4535
ko:K00240	bax:H9401_4536
ko:K00239	bax:H9401_4537
ko:K03703	bax:H9401_4540
ko:K03671	bax:H9401_4541
ko:K03522	bax:H9401_4542
ko:K03521	bax:H9401_4543
ko:K13767	bax:H9401_4544
ko:K13770	bax:H9401_4545
ko:K02016	bax:H9401_4549
ko:K02015	bax:H9401_4550
ko:K06885	bax:H9401_5368
ko:K02016	bax:H9401_5369
ko:K02013	bax:H9401_5370
ko:K02015	bax:H9401_5371
ko:K02015	bax:H9401_5372
ko:K06314	bax:H9401_5375
ko:K01449	bax:H9401_5381
ko:K06305	bax:H9401_5382
ko:K03648	bax:H9401_5389
ko:K00003	bax:H9401_5395
ko:K00651	bax:H9401_5397
ko:K01740	bax:H9401_5398
ko:K01118	bax:H9401_5402
ko:K00868	bax:H9401_5406
ko:K06200	bax:H9401_5409
ko:K08369	bax:H9401_5411
ko:K05946	bax:H9401_5413
ko:K03707	bax:H9401_0694
ko:K15598	bax:H9401_0697
ko:K03154	bax:H9401_0700
ko:K03149	bax:H9401_0701
ko:K00941	bax:H9401_0703
ko:K01546	bax:H9401_0706
ko:K01547	bax:H9401_0707
ko:K01548	bax:H9401_0708
ko:K07646	bax:H9401_0709
ko:K06901	bax:H9401_0714
ko:K00847	bax:H9401_0718
ko:K01193	bax:H9401_0719
ko:K03484	bax:H9401_0721
ko:K03611	bax:H9401_0724
ko:K02406	bax:H9401_1612
ko:K02417	bax:H9401_1614
ko:K02416	bax:H9401_1615
ko:K02417	bax:H9401_1617
ko:K02419	bax:H9401_1619
ko:K02420	bax:H9401_1620
ko:K02421	bax:H9401_1621
ko:K02401	bax:H9401_1622
ko:K02400	bax:H9401_1623
ko:K02404	bax:H9401_1624
ko:K02392	bax:H9401_1625
ko:K06425	bax:H9401_1635
ko:K02012	bax:H9401_1641
ko:K02011	bax:H9401_1642
ko:K01953	bax:H9401_1657
ko:K03088	bax:H9401_1658
ko:K01126	bax:H9401_2540
ko:K08177	bax:H9401_2553
ko:K02338	bax:H9401_2556
ko:K06153	bax:H9401_2575
ko:K08310	bax:H9401_2585
ko:K00285	bax:H9401_2586
ko:K00675	bax:H9401_2588
ko:K01755	bax:H9401_3427
ko:K14392	bax:H9401_3430
ko:K09775	bax:H9401_3436
ko:K05786	bax:H9401_3437
ko:K03636	bax:H9401_3442
ko:K03750	bax:H9401_3444
ko:K03639	bax:H9401_3447
ko:K00123	bax:H9401_3452
ko:K15580	bax:H9401_3463
ko:K15580	bax:H9401_3464
ko:K15580	bax:H9401_3465
ko:K11103	bax:H9401_3466
ko:K03088	bax:H9401_3469
ko:K02621	bax:H9401_3477
ko:K08222	bax:H9401_4291
ko:K04564	bax:H9401_4292
ko:K03923	bax:H9401_0800
ko:K05520	bax:H9401_0805
ko:K03781	bax:H9401_0806
ko:K03758	bax:H9401_0808
ko:K01776	bax:H9401_0809
ko:K01652	bax:H9401_0825
ko:K01575	bax:H9401_0826
ko:K03652	bax:H9401_0828
ko:K03321	bax:H9401_0836
ko:K03070	bax:H9401_0840
ko:K00648	bax:H9401_1725
ko:K03665	bax:H9401_1727
ko:K08223	bax:H9401_1730
ko:K01738	bax:H9401_1731
ko:K03308	bax:H9401_1735
ko:K00826	bax:H9401_1747
ko:K01652	bax:H9401_1748
ko:K01653	bax:H9401_1749
ko:K00053	bax:H9401_1750
ko:K01687	bax:H9401_1751
ko:K01754	bax:H9401_1752
ko:K07282	bax:H9401_1753
ko:K07150	bax:H9401_1754
ko:K12960	bax:H9401_1763
ko:K15580	bax:H9401_1765
ko:K03322	bax:H9401_1777
ko:K07146	bax:H9401_1778
ko:K02001	bax:H9401_2655
ko:K02000	bax:H9401_2656
ko:K02002	bax:H9401_2657
ko:K01358	bax:H9401_2658
ko:K03088	bax:H9401_2659
ko:K01807	bax:H9401_2661
ko:K03823	bax:H9401_2679
ko:K03657	bax:H9401_2683
ko:K03654	bax:H9401_2687
ko:K03310	bax:H9401_2699
ko:K01714	bax:H9401_2701
ko:K07090	bax:H9401_3553
ko:K00615	bax:H9401_3562
ko:K02042	bax:H9401_3564
ko:K02042	bax:H9401_3565
ko:K02041	bax:H9401_3566
ko:K02044	bax:H9401_3567
ko:K01356	bax:H9401_3572
ko:K07447	bax:H9401_4403
ko:K01872	bax:H9401_4405
ko:K03581	bax:H9401_4411
ko:K00566	bax:H9401_4413
ko:K04487	bax:H9401_4414
ko:K07478	bax:H9401_4416
ko:K01876	bax:H9401_4419
ko:K01892	bax:H9401_4420
ko:K07560	bax:H9401_4422
ko:K00759	bax:H9401_4424
ko:K07462	bax:H9401_4425
ko:K12257	bax:H9401_4427
ko:K06409	bax:H9401_4429
ko:K03210	bax:H9401_4432
ko:K00773	bax:H9401_4433
ko:K07568	bax:H9401_4434
ko:K03551	bax:H9401_4436
ko:K03550	bax:H9401_4437
ko:K02016	bax:H9401_4438
ko:K06318	bax:H9401_4439
ko:K06370	bax:H9401_4445
ko:K03517	bax:H9401_4446
ko:K00767	bax:H9401_4447
ko:K00278	bax:H9401_4448
ko:K04487	bax:H9401_4449
ko:K03569	bax:H9401_5263
ko:K06283	bax:H9401_5264
ko:K06386	bax:H9401_5267
ko:K06381	bax:H9401_5272
ko:K00790	bax:H9401_5273
ko:K00343	bax:H9401_5276
ko:K00342	bax:H9401_5277
ko:K00341	bax:H9401_5278
ko:K00340	bax:H9401_5279
ko:K00339	bax:H9401_5280
ko:K00338	bax:H9401_5281
ko:K00337	bax:H9401_5282
ko:K00333	bax:H9401_5283
ko:K00332	bax:H9401_5284
ko:K00331	bax:H9401_5285
ko:K00330	bax:H9401_5286
ko:K02114	bax:H9401_5290
ko:K02112	bax:H9401_5291
ko:K09816	bax:H9401_4297
ko:K09817	bax:H9401_4298
ko:K01151	bax:H9401_4301
ko:K03527	bax:H9401_4305
ko:K06967	bax:H9401_4307
ko:K03086	bax:H9401_4309
ko:K09773	bax:H9401_4312
ko:K03584	bax:H9401_4314
ko:K07042	bax:H9401_4319
ko:K07037	bax:H9401_4320
ko:K06438	bax:H9401_4322
ko:K09117	bax:H9401_4324
ko:K02970	bax:H9401_4325
ko:K09761	bax:H9401_4327
ko:K02687	bax:H9401_4328
ko:K03686	bax:H9401_4329
ko:K04043	bax:H9401_4330
ko:K03687	bax:H9401_4331
ko:K03705	bax:H9401_4332
ko:K03596	bax:H9401_4335
ko:K06012	bax:H9401_4337
ko:K02968	bax:H9401_4338
ko:K02340	bax:H9401_4339
ko:K02237	bax:H9401_4344
ko:K02239	bax:H9401_4345
ko:K03797	bax:H9401_5163
ko:K09811	bax:H9401_5164
ko:K09812	bax:H9401_5165
ko:K02836	bax:H9401_5168
ko:K03070	bax:H9401_5170
ko:K05808	bax:H9401_5171
ko:K03704	bax:H9401_5173
ko:K00012	bax:H9401_5182
ko:K07240	bax:H9401_5187
ko:K02759	bax:H9401_5190
ko:K02761	bax:H9401_5191
ko:K02760	bax:H9401_5192
ko:K00797	bax:H9401_5193
ko:K01611	bax:H9401_5194
ko:K02759	bax:H9401_5195
ko:K02761	bax:H9401_5196
ko:K02760	bax:H9401_5197
ko:K01421	bax:H9401_5201
ko:K02115	bax:H9401_5292
ko:K02111	bax:H9401_5293
ko:K02113	bax:H9401_5294
ko:K02109	bax:H9401_5295
ko:K02110	bax:H9401_5296
ko:K02108	bax:H9401_5297
ko:K00761	bax:H9401_5301
ko:K00600	bax:H9401_5302
ko:K01808	bax:H9401_5304
ko:K15977	bax:H9401_5307
ko:K07566	bax:H9401_5311
ko:K14233	bax:H9401_trnaSer3
ko:K03303	bax:H9401_0581
ko:K06425	bax:H9401_0583
ko:K03305	bax:H9401_0584
ko:K02016	bax:H9401_0585
ko:K02015	bax:H9401_0586
ko:K02015	bax:H9401_0587
ko:K02013	bax:H9401_0588
ko:K06131	bax:H9401_0595
ko:K02818	bax:H9401_0601
ko:K02819	bax:H9401_0601
ko:K06295	bax:H9401_0606
ko:K03310	bax:H9401_0609
ko:K02205	bax:H9401_0614
ko:K03088	bax:H9401_0617
ko:K02034	bax:H9401_0628
ko:K02445	bax:H9401_0632
ko:K06327	bax:H9401_1487
ko:K07444	bax:H9401_1490
ko:K01299	bax:H9401_1493
ko:K01265	bax:H9401_1496
ko:K03816	bax:H9401_1498
ko:K07148	bax:H9401_1500
ko:K08989	bax:H9401_1510
ko:K03704	bax:H9401_1535
ko:K09190	bax:H9401_1536
ko:K14393	bax:H9401_1541
ko:K01961	bax:H9401_2424
ko:K02160	bax:H9401_2425
ko:K01640	bax:H9401_2426
ko:K01895	bax:H9401_2429
ko:K08602	bax:H9401_2460
ko:K01928	bax:H9401_2467
ko:K01449	bax:H9401_2470
ko:K03093	bax:H9401_3315
ko:K05601	bax:H9401_3328
ko:K09936	bax:H9401_3341
ko:K02016	bax:H9401_3359
ko:K02015	bax:H9401_3361
ko:K02015	bax:H9401_3362
ko:K00263	bax:H9401_4183
ko:K01126	bax:H9401_4187
ko:K07699	bax:H9401_4190
ko:K06399	bax:H9401_4191
ko:K03631	bax:H9401_4192
ko:K03402	bax:H9401_4193
ko:K06442	bax:H9401_4194
ko:K01662	bax:H9401_4195
ko:K13789	bax:H9401_4196
ko:K03602	bax:H9401_4197
ko:K03601	bax:H9401_4198
ko:K01491	bax:H9401_4199
ko:K03625	bax:H9401_4200
ko:K01961	bax:H9401_4202
ko:K02160	bax:H9401_4203
ko:K06397	bax:H9401_4204
ko:K06396	bax:H9401_4205
ko:K06395	bax:H9401_4206
ko:K06394	bax:H9401_4207
ko:K06393	bax:H9401_4208
ko:K06392	bax:H9401_4209
ko:K06391	bax:H9401_4210
ko:K06390	bax:H9401_4211
ko:K02356	bax:H9401_4214
ko:K03786	bax:H9401_4216
ko:K03716	bax:H9401_4222
ko:K03800	bax:H9401_4225
ko:K06911	bax:H9401_5040
ko:K07228	bax:H9401_5044
ko:K03310	bax:H9401_5045
ko:K04047	bax:H9401_5046
ko:K06966	bax:H9401_5049
ko:K02217	bax:H9401_5051
ko:K07148	bax:H9401_5053
ko:K11535	bax:H9401_5054
ko:K03310	bax:H9401_5056
ko:K03310	bax:H9401_5057
ko:K07118	bax:H9401_5058
ko:K03885	bax:H9401_5067
ko:K01866	bax:H9401_5068
ko:K00075	bax:H9401_5069
ko:K06199	bax:H9401_5073
ko:K06199	bax:H9401_5074
ko:K13256	bax:H9401_5078
ko:K02013	bax:H9401_5081
ko:K02015	bax:H9401_5082
ko:K02015	bax:H9401_5083
ko:K02016	bax:H9401_5084
ko:K03664	bax:H9401_5086
ko:K12573	bax:H9401_5088
ko:K03928	bax:H9401_5089
ko:K03075	bax:H9401_5090
ko:K01834	bax:H9401_3692
ko:K01183	bax:H9401_0364
ko:K16188	bax:H9401_4786
ko:K01992	bax:H9401_1695
