ko:K00054	ssu:SSU05_1642
ko:K11070	ssu:SSU05_0807
ko:K11069	ssu:SSU05_0808
ko:K01890	ssu:SSU05_1150
ko:K03205	ssu:SSU05_0973
ko:K09698	ssu:SSU05_2027
ko:K01104	ssu:SSU05_0567
ko:K01953	ssu:SSU05_0912
ko:K02028	ssu:SSU05_0496
ko:K07082	ssu:SSU05_1717
ko:K01854	ssu:SSU05_0606
ko:K12308	ssu:SSU05_0449
ko:K02236	ssu:SSU05_1671
ko:K06925	ssu:SSU05_1860
ko:K09155	ssu:SSU05_1118
ko:K07088	ssu:SSU05_1130
ko:K00950	ssu:SSU05_1141
ko:K01633	ssu:SSU05_1142
ko:K00796	ssu:SSU05_1143
ko:K01812	ssu:SSU05_1158
ko:K01812	ssu:SSU05_1159
ko:K01195	ssu:SSU05_1163
ko:K00874	ssu:SSU05_1164
ko:K02108	ssu:SSU05_1177
ko:K02110	ssu:SSU05_1178
ko:K09014	ssu:SSU05_1871
ko:K04488	ssu:SSU05_1873
ko:K03785	ssu:SSU05_1263
ko:K11753	ssu:SSU05_1113
ko:K07105	ssu:SSU05_2020
ko:K03293	ssu:SSU05_2025
ko:K03293	ssu:SSU05_2026
ko:K07313	ssu:SSU05_2050
ko:K03476	ssu:SSU05_2055
ko:K02824	ssu:SSU05_1935
ko:K02687	ssu:SSU05_2108
ko:K11209	ssu:SSU05_1329
ko:K01834	ssu:SSU05_1638
ko:K00626	ssu:SSU05_1640
ko:K07054	ssu:SSU05_1657
ko:K07177	ssu:SSU05_1679
ko:K03216	ssu:SSU05_1697
ko:K03216	ssu:SSU05_1698
ko:K06178	ssu:SSU05_1699
ko:K11031	ssu:SSU05_1403
ko:K09976	ssu:SSU05_1707
ko:K01586	ssu:SSU05_1708
ko:K06890	ssu:SSU05_1710
ko:K06950	ssu:SSU05_1711
ko:K07738	ssu:SSU05_1730
ko:K00033	ssu:SSU05_1733
ko:K00033	ssu:SSU05_1735
ko:K07040	ssu:SSU05_1736
ko:K00384	ssu:SSU05_1737
ko:K03734	ssu:SSU05_1753
ko:K03885	ssu:SSU05_1757
ko:K01878	ssu:SSU05_1765
ko:K02073	ssu:SSU05_1771
ko:K02761	ssu:SSU05_0713
ko:K00674	ssu:SSU05_2047
ko:K09903	ssu:SSU05_1327
ko:K02115	ssu:SSU05_1173
ko:K02113	ssu:SSU05_1175
ko:K07407	ssu:SSU05_1560
ko:K01118	ssu:SSU05_1569
ko:K01118	ssu:SSU05_1570
ko:K05847	ssu:SSU05_1601
ko:K06959	ssu:SSU05_1612
ko:K01493	ssu:SSU05_1622
ko:K11175	ssu:SSU05_0030
ko:K07862	ssu:SSU05_1463
ko:K11144	ssu:SSU05_1728
ko:K03624	ssu:SSU05_1716
ko:K11068	ssu:SSU05_0994
ko:K06180	ssu:SSU05_0786
ko:K11175	ssu:SSU05_0031
ko:K00817	ssu:SSU05_0821
ko:K01424	ssu:SSU05_0345
ko:K07457	ssu:SSU05_0207
ko:K01193	ssu:SSU05_1337
ko:K02529	ssu:SSU05_1341
ko:K01759	ssu:SSU05_1343
ko:K02837	ssu:SSU05_1346
ko:K02837	ssu:SSU05_1347
ko:K10041	ssu:SSU05_1361
ko:K10040	ssu:SSU05_1363
ko:K10040	ssu:SSU05_1364
ko:K02003	ssu:SSU05_1381
ko:K03431	ssu:SSU05_1468
ko:K05833	ssu:SSU05_1484
ko:K05832	ssu:SSU05_1486
ko:K01989	ssu:SSU05_1487
ko:K02755	ssu:SSU05_1490
ko:K02756	ssu:SSU05_1490
ko:K02757	ssu:SSU05_1490
ko:K01575	ssu:SSU05_1493
ko:K01689	ssu:SSU05_1503
ko:K01091	ssu:SSU05_1506
ko:K01081	ssu:SSU05_1538
ko:K09765	ssu:SSU05_1542
ko:K03100	ssu:SSU05_0548
ko:K02029	ssu:SSU05_0550
ko:K02030	ssu:SSU05_0552
ko:K00286	ssu:SSU05_0559
ko:K01791	ssu:SSU05_0579
ko:K00983	ssu:SSU05_0581
ko:K03581	ssu:SSU05_0223
ko:K03655	ssu:SSU05_0343
ko:K00705	ssu:SSU05_0393
ko:K02622	ssu:SSU05_0758
ko:K02622	ssu:SSU05_0757
ko:K04095	ssu:SSU05_0760
ko:K03553	ssu:SSU05_0063
ko:K02759	ssu:SSU05_2074
ko:K09963	ssu:SSU05_2077
ko:K03709	ssu:SSU05_2087
ko:K00951	ssu:SSU05_2094
ko:K03555	ssu:SSU05_2124
ko:K00705	ssu:SSU05_2131
ko:K00705	ssu:SSU05_2132
ko:K02529	ssu:SSU05_2137
ko:K09861	ssu:SSU05_0563
ko:K00859	ssu:SSU05_1395
ko:K02778	ssu:SSU05_1401
ko:K02779	ssu:SSU05_1401
ko:K07025	ssu:SSU05_1404
ko:K03282	ssu:SSU05_1430
ko:K01784	ssu:SSU05_1432
ko:K01101	ssu:SSU05_1436
ko:K03783	ssu:SSU05_1446
ko:K01154	ssu:SSU05_1450
ko:K07192	ssu:SSU05_1456
ko:K03744	ssu:SSU05_1457
ko:K03789	ssu:SSU05_0165
ko:K01200	ssu:SSU05_2138
ko:K03647	ssu:SSU05_2139
ko:K02314	ssu:SSU05_2158
ko:K09704	ssu:SSU05_1920
ko:K00640	ssu:SSU05_1926
ko:K00962	ssu:SSU05_1927
ko:K02809	ssu:SSU05_1931
ko:K02810	ssu:SSU05_1931
ko:K07106	ssu:SSU05_1932
ko:K06183	ssu:SSU05_1940
ko:K07078	ssu:SSU05_1952
ko:K00863	ssu:SSU05_1955
ko:K05878	ssu:SSU05_1957
ko:K05879	ssu:SSU05_1958
ko:K00981	ssu:SSU05_1963
ko:K00806	ssu:SSU05_1964
ko:K03210	ssu:SSU05_1965
ko:K03811	ssu:SSU05_1972
ko:K01673	ssu:SSU05_2032
ko:K00973	ssu:SSU05_1301
ko:K07238	ssu:SSU05_1302
ko:K06131	ssu:SSU05_1310
ko:K06217	ssu:SSU05_1321
ko:K04042	ssu:SSU05_1584
ko:K01625	ssu:SSU05_1160
ko:K01625	ssu:SSU05_1222
ko:K03590	ssu:SSU05_0480
ko:K12574	ssu:SSU05_0161
ko:K00602	ssu:SSU05_0032
ko:K11717	ssu:SSU05_1874
ko:K03530	ssu:SSU05_1647
ko:K13292	ssu:SSU05_1605
ko:K09702	ssu:SSU05_0315
ko:K00244	ssu:SSU05_2154
ko:K06999	ssu:SSU05_0727
ko:K06997	ssu:SSU05_0482
ko:K12267	ssu:SSU05_0240
ko:K03484	ssu:SSU05_1819
ko:K03574	ssu:SSU05_1020
ko:K13052	ssu:SSU05_0010
ko:K12296	ssu:SSU05_0016
ko:K07729	ssu:SSU05_1232
ko:K03768	ssu:SSU05_0433
ko:K07404	ssu:SSU05_1497
ko:K03524	ssu:SSU05_1625
ko:K05362	ssu:SSU05_0651
ko:K00661	ssu:SSU05_0989
ko:K01785	ssu:SSU05_0454
ko:K01243	ssu:SSU05_1581
ko:K04518	ssu:SSU05_0601
ko:K01654	ssu:SSU05_0578
ko:K03574	ssu:SSU05_0491
ko:K07272	ssu:SSU05_1285
ko:K11754	ssu:SSU05_0137
ko:K11754	ssu:SSU05_0056
ko:K09747	ssu:SSU05_0194
ko:K08234	ssu:SSU05_1334
ko:K09685	ssu:SSU05_1988
ko:K12373	ssu:SSU05_0630
ko:K02996	ssu:SSU05_1897
ko:K12573	ssu:SSU05_1391
ko:K12556	ssu:SSU05_1742
ko:K12555	ssu:SSU05_1985
ko:K00805	ssu:SSU05_1758
ko:K01534	ssu:SSU05_0309
ko:K01537	ssu:SSU05_1418
ko:K01491	ssu:SSU05_0497
ko:K04072	ssu:SSU05_0280
ko:K12997	ssu:SSU05_1288
ko:K13953	ssu:SSU05_0279
ko:K14220	ssu:SSU05_2247
ko:K07004	ssu:SSU05_1968
ko:K14228	ssu:SSU05_2202
ko:K14228	ssu:SSU05_2236
ko:K13789	ssu:SSU05_1654
ko:K01819	ssu:SSU05_1043
ko:K02348	ssu:SSU05_2142
ko:K00941	ssu:SSU05_0733
ko:K10118	ssu:SSU05_1557
ko:K10119	ssu:SSU05_1556
ko:K14233	ssu:SSU05_2207
ko:K14233	ssu:SSU05_2217
ko:K14155	ssu:SSU05_1561
ko:K14232	ssu:SSU05_2204
ko:K14232	ssu:SSU05_2238
ko:K14222	ssu:SSU05_2242
ko:K14225	ssu:SSU05_2214
ko:K14229	ssu:SSU05_2198
ko:K14229	ssu:SSU05_2232
ko:K14228	ssu:SSU05_2224
ko:K01092	ssu:SSU05_1109
ko:K01980	ssu:SSU05_2259
ko:K01980	ssu:SSU05_2260
ko:K01980	ssu:SSU05_2261
ko:K01980	ssu:SSU05_2262
ko:K07052	ssu:SSU05_1229
ko:K07052	ssu:SSU05_1792
ko:K14228	ssu:SSU05_2225
ko:K14230	ssu:SSU05_2205
ko:K13653	ssu:SSU05_0900
ko:K14221	ssu:SSU05_2197
ko:K14221	ssu:SSU05_2231
ko:K06518	ssu:SSU05_0265
ko:K14219	ssu:SSU05_2241
ko:K01977	ssu:SSU05_2255
ko:K01977	ssu:SSU05_2257
ko:K01977	ssu:SSU05_2256
ko:K01977	ssu:SSU05_2258
ko:K14227	ssu:SSU05_2210
ko:K14227	ssu:SSU05_2215
ko:K02013	ssu:SSU05_1669
ko:K14219	ssu:SSU05_2245
ko:K14225	ssu:SSU05_2201
ko:K14225	ssu:SSU05_2235
ko:K14260	ssu:SSU05_0349
ko:K14223	ssu:SSU05_2223
ko:K14223	ssu:SSU05_2240
ko:K14233	ssu:SSU05_2211
ko:K14228	ssu:SSU05_2243
ko:K14234	ssu:SSU05_2250
ko:K14236	ssu:SSU05_2220
ko:K14236	ssu:SSU05_2239
ko:K14230	ssu:SSU05_2206
ko:K00868	ssu:SSU05_0312
ko:K14224	ssu:SSU05_2246
ko:K11707	ssu:SSU05_2086
ko:K11709	ssu:SSU05_2083
ko:K10117	ssu:SSU05_1558
ko:K14230	ssu:SSU05_2208
ko:K14230	ssu:SSU05_2218
ko:K07052	ssu:SSU05_1227
ko:K14231	ssu:SSU05_2209
ko:K14231	ssu:SSU05_2219
ko:K11617	ssu:SSU05_0430
ko:K14982	ssu:SSU05_1094
ko:K14983	ssu:SSU05_1095
ko:K01985	ssu:SSU05_2251
ko:K01985	ssu:SSU05_2252
ko:K01985	ssu:SSU05_2253
ko:K01985	ssu:SSU05_2254
ko:K14188	ssu:SSU05_0640
ko:K14218	ssu:SSU05_2195
ko:K14218	ssu:SSU05_2229
ko:K14218	ssu:SSU05_2212
ko:K14218	ssu:SSU05_2226
ko:K15051	ssu:SSU05_1168
ko:K11710	ssu:SSU05_2085
ko:K06893	ssu:SSU05_2169
ko:K00965	ssu:SSU05_0361
ko:K14229	ssu:SSU05_2244
ko:K14235	ssu:SSU05_2221
ko:K14226	ssu:SSU05_2222
ko:K14228	ssu:SSU05_2199
ko:K14228	ssu:SSU05_2233
ko:K14219	ssu:SSU05_2203
ko:K14219	ssu:SSU05_2237
ko:K14233	ssu:SSU05_2249
ko:K11708	ssu:SSU05_2084
ko:K10947	ssu:SSU05_0264
ko:K10947	ssu:SSU05_1131
ko:K14219	ssu:SSU05_2248
ko:K14234	ssu:SSU05_2200
ko:K14234	ssu:SSU05_2234
ko:K14540	ssu:SSU05_0997
ko:K11749	ssu:SSU05_1962
ko:K06919	ssu:SSU05_1514
ko:K19689	ssu:SSU05_1951
ko:K07032	ssu:SSU05_0408
ko:K03088	ssu:SSU05_0528
ko:K10040	ssu:SSU05_1365
ko:K08316	ssu:SSU05_1681
ko:K03215	ssu:SSU05_0603
ko:K00975	ssu:SSU05_1013
ko:K02428	ssu:SSU05_1705
ko:K15738	ssu:SSU05_0830
ko:K01835	ssu:SSU05_0686
ko:K15986	ssu:SSU05_1665
ko:K13677	ssu:SSU05_1370
ko:K15975	ssu:SSU05_0725
ko:K07491	ssu:SSU05_1592
ko:K02424	ssu:SSU05_2069
ko:K10009	ssu:SSU05_2068
ko:K10716	ssu:SSU05_1112
ko:K16511	ssu:SSU05_1878
ko:K07260	ssu:SSU05_0745
ko:K16509	ssu:SSU05_1111
ko:K16214	ssu:SSU05_0936
ko:K14224	ssu:SSU05_2216
ko:K14224	ssu:SSU05_2228
ko:K05845	ssu:SSU05_1600
ko:K05846	ssu:SSU05_1600
ko:K06147	ssu:SSU05_0911
ko:K05349	ssu:SSU05_2145
ko:K14237	ssu:SSU05_2196
ko:K14237	ssu:SSU05_2213
ko:K14237	ssu:SSU05_2230
ko:K03699	ssu:SSU05_1668
ko:K01223	ssu:SSU05_2078
ko:K00975	ssu:SSU05_1014
ko:K05349	ssu:SSU05_2147
ko:K15770	ssu:SSU05_2133
ko:K01989	ssu:SSU05_1257
ko:K16787	ssu:SSU05_0742
ko:K16785	ssu:SSU05_0740
ko:K16785	ssu:SSU05_0410
ko:K15772	ssu:SSU05_2135
ko:K15771	ssu:SSU05_2134
ko:K16786	ssu:SSU05_2176
ko:K16787	ssu:SSU05_2175
ko:K16785	ssu:SSU05_2174
ko:K16788	ssu:SSU05_2019
ko:K16789	ssu:SSU05_0523
ko:K01989	ssu:SSU05_1256
ko:K16786	ssu:SSU05_0741
ko:K18830	ssu:SSU05_0937
ko:K16786	ssu:SSU05_0287
ko:K16787	ssu:SSU05_0287
ko:K10009	ssu:SSU05_0306
ko:K02424	ssu:SSU05_0305
ko:K16786	ssu:SSU05_0409
ko:K16787	ssu:SSU05_0409
ko:K16923	ssu:SSU05_0739
ko:K16785	ssu:SSU05_0286
ko:K11991	ssu:SSU05_2053
ko:K16868	ssu:SSU05_1389
ko:K16924	ssu:SSU05_0404
ko:K16926	ssu:SSU05_0285
ko:K16898	ssu:SSU05_0755
ko:K16899	ssu:SSU05_0754
ko:K14220	ssu:SSU05_2227
ko:K01992	ssu:SSU05_0257
ko:K10010	ssu:SSU05_2067
ko:K01990	ssu:SSU05_1286
ko:K17318	ssu:SSU05_1338
ko:K17318	ssu:SSU05_1914
ko:K17319	ssu:SSU05_1340
ko:K17319	ssu:SSU05_1916
ko:K01992	ssu:SSU05_1854
ko:K01990	ssu:SSU05_0181
ko:K02028	ssu:SSU05_1029
ko:K17320	ssu:SSU05_1339
ko:K17320	ssu:SSU05_1915
ko:K02030	ssu:SSU05_1017
ko:K02030	ssu:SSU05_1018
ko:K17076	ssu:SSU05_1882
ko:K17073	ssu:SSU05_1881
ko:K17074	ssu:SSU05_1881
ko:K01990	ssu:SSU05_0946
ko:K01990	ssu:SSU05_1688
ko:K01992	ssu:SSU05_1687
ko:K17686	ssu:SSU05_1385
ko:K02004	ssu:SSU05_1593
ko:K02003	ssu:SSU05_0891
ko:K01990	ssu:SSU05_0258
ko:K01990	ssu:SSU05_0910
ko:K03327	ssu:SSU05_0816
ko:K02440	ssu:SSU05_0268
ko:K02440	ssu:SSU05_1960
ko:K07668	ssu:SSU05_1360
ko:K07707	ssu:SSU05_2090
ko:K11618	ssu:SSU05_0432
ko:K07316	ssu:SSU05_0683
ko:K17828	ssu:SSU05_1010
ko:K13409	ssu:SSU05_0948
ko:K13409	ssu:SSU05_0947
ko:K01652	ssu:SSU05_1888
ko:K00800	ssu:SSU05_0597
ko:K00688	ssu:SSU05_1444
ko:K00690	ssu:SSU05_1555
ko:K01207	ssu:SSU05_1153
ko:K01207	ssu:SSU05_1154
ko:K00657	ssu:SSU05_0488
ko:K00383	ssu:SSU05_0511
ko:K12996	ssu:SSU05_0569
ko:K12996	ssu:SSU05_1290
ko:K04487	ssu:SSU05_1066
ko:K00355	ssu:SSU05_1620
ko:K00805	ssu:SSU05_1755
ko:K07718	ssu:SSU05_1911
ko:K07010	ssu:SSU05_1070
ko:K01361	ssu:SSU05_0812
ko:K03486	ssu:SSU05_0232
ko:K03486	ssu:SSU05_0395
ko:K07729	ssu:SSU05_1745
ko:K02948	ssu:SSU05_0094
ko:K02914	ssu:SSU05_2012
ko:K06941	ssu:SSU05_1677
ko:K04086	ssu:SSU05_0389
ko:K06147	ssu:SSU05_0800
ko:K02035	ssu:SSU05_1868
ko:K05832	ssu:SSU05_1254
ko:K02004	ssu:SSU05_0888
ko:K02004	ssu:SSU05_1380
ko:K01153	ssu:SSU05_0693
ko:K06878	ssu:SSU05_0142
ko:K06915	ssu:SSU05_0270
ko:K07007	ssu:SSU05_0183
ko:K07025	ssu:SSU05_1499
ko:K07052	ssu:SSU05_0678
ko:K04750	ssu:SSU05_0746
ko:K09962	ssu:SSU05_0069
ko:K07491	ssu:SSU05_0685
ko:K12574	ssu:SSU05_1480
ko:K18216	ssu:SSU05_1406
ko:K18220	ssu:SSU05_0922
ko:K02761	ssu:SSU05_0212
ko:K18217	ssu:SSU05_1405
ko:K03742	ssu:SSU05_0062
ko:K18474	ssu:SSU05_1809
ko:K18581	ssu:SSU05_1220
ko:K18682	ssu:SSU05_0421
ko:K06896	ssu:SSU05_0396
ko:K18672	ssu:SSU05_1470
ko:K18692	ssu:SSU05_1739
ko:K06218	ssu:SSU05_1500
ko:K18815	ssu:SSU05_1461
ko:K18892	ssu:SSU05_2037
ko:K18891	ssu:SSU05_2038
ko:K03790	ssu:SSU05_1618
ko:K18887	ssu:SSU05_0798
ko:K07029	ssu:SSU05_1179
ko:K07484	ssu:SSU05_0585
ko:K19055	ssu:SSU05_1482
ko:K19002	ssu:SSU05_1369
ko:K18979	ssu:SSU05_1414
ko:K18986	ssu:SSU05_1660
ko:K02851	ssu:SSU05_1877
ko:K18987	ssu:SSU05_1661
ko:K19005	ssu:SSU05_1266
ko:K07452	ssu:SSU05_0860
ko:K19159	ssu:SSU05_2004
ko:K19147	ssu:SSU05_0861
ko:K05881	ssu:SSU05_1959
ko:K01215	ssu:SSU05_1554
ko:K19302	ssu:SSU05_1694
ko:K12952	ssu:SSU05_1348
ko:K04771	ssu:SSU05_2192
ko:K06881	ssu:SSU05_1533
ko:K00887	ssu:SSU05_1398
ko:K21636	ssu:SSU05_0729
ko:K21636	ssu:SSU05_2118
ko:K20074	ssu:SSU05_0427
ko:K12132	ssu:SSU05_0428
ko:K20073	ssu:SSU05_0419
ko:K02777	ssu:SSU05_0398
ko:K20107	ssu:SSU05_0398
ko:K20108	ssu:SSU05_0398
ko:K20342	ssu:SSU05_0053
ko:K20459	ssu:SSU05_0894
ko:K20460	ssu:SSU05_0893
ko:K20461	ssu:SSU05_0892
ko:K20487	ssu:SSU05_0906
ko:K20488	ssu:SSU05_0907
ko:K20489	ssu:SSU05_0895
ko:K18889	ssu:SSU05_0294
ko:K18890	ssu:SSU05_0293
ko:K21064	ssu:SSU05_1777
ko:K08968	ssu:SSU05_1628
ko:K01071	ssu:SSU05_1438
ko:K06148	ssu:SSU05_0284
ko:K06148	ssu:SSU05_0283
ko:K21471	ssu:SSU05_0020
ko:K21567	ssu:SSU05_1986
ko:K21828	ssu:SSU05_0623
ko:K21977	ssu:SSU05_0689
ko:K22044	ssu:SSU05_0250
ko:K03078	ssu:SSU05_2060
ko:K22278	ssu:SSU05_1635
ko:K17758	ssu:SSU05_0814
ko:K03077	ssu:SSU05_2058
ko:K03079	ssu:SSU05_2059
ko:K22441	ssu:SSU05_1151
ko:K22457	ssu:SSU05_0613
