ko:K07046	bpsu:BBN_4245
ko:K03335	bpsu:BBN_1993
ko:K03337	bpsu:BBN_1994
ko:K01996	bpsu:BBN_1995
ko:K01995	bpsu:BBN_1996
ko:K01998	bpsu:BBN_1996
ko:K01997	bpsu:BBN_1997
ko:K07107	bpsu:BBN_1998
ko:K03088	bpsu:BBN_1774
ko:K00854	bpsu:BBN_1776
ko:K10440	bpsu:BBN_1778
ko:K10441	bpsu:BBN_1779
ko:K10439	bpsu:BBN_1780
ko:K07345	bpsu:BBN_1786
ko:K07346	bpsu:BBN_1787
ko:K07347	bpsu:BBN_1788
ko:K07345	bpsu:BBN_1789
ko:K18095	bpsu:BBN_1792
ko:K18094	bpsu:BBN_1793
ko:K18129	bpsu:BBN_1794
ko:K02029	bpsu:BBN_1796
ko:K02029	bpsu:BBN_1797
ko:K02030	bpsu:BBN_1798
ko:K12511	bpsu:BBN_1802
ko:K02283	bpsu:BBN_1804
ko:K02282	bpsu:BBN_1805
ko:K02280	bpsu:BBN_1807
ko:K02279	bpsu:BBN_1808
ko:K02278	bpsu:BBN_1809
ko:K02651	bpsu:BBN_1810
ko:K02050	bpsu:BBN_1811
ko:K13472	bpsu:BBN_1664
ko:K12541	bpsu:BBN_1665
ko:K02052	bpsu:BBN_1655
ko:K02053	bpsu:BBN_1654
ko:K00135	bpsu:BBN_1657
ko:K12542	bpsu:BBN_1666
ko:K00860	bpsu:BBN_1669
ko:K01745	bpsu:BBN_1678
ko:K01712	bpsu:BBN_1680
ko:K09703	bpsu:BBN_1681
ko:K01466	bpsu:BBN_1683
ko:K06016	bpsu:BBN_1684
ko:K03088	bpsu:BBN_1686
ko:K10441	bpsu:BBN_1823
ko:K10439	bpsu:BBN_1824
ko:K13635	bpsu:BBN_1825
ko:K02045	bpsu:BBN_1826
ko:K02047	bpsu:BBN_1827
ko:K02046	bpsu:BBN_1828
ko:K02048	bpsu:BBN_1829
ko:K01356	bpsu:BBN_1830
ko:K09695	bpsu:BBN_1834
ko:K09694	bpsu:BBN_1835
ko:K07089	bpsu:BBN_1837
ko:K05539	bpsu:BBN_1842
ko:K15555	bpsu:BBN_1848
ko:K15554	bpsu:BBN_1849
ko:K04091	bpsu:BBN_1850
ko:K02049	bpsu:BBN_1812
ko:K01620	bpsu:BBN_1699
ko:K01755	bpsu:BBN_1700
ko:K01738	bpsu:BBN_1701
ko:K01755	bpsu:BBN_1705
ko:K01940	bpsu:BBN_1706
ko:K03408	bpsu:BBN_1715
ko:K00666	bpsu:BBN_1718
ko:K00684	bpsu:BBN_1857
ko:K00254	bpsu:BBN_1859
ko:K02424	bpsu:BBN_1860
ko:K10009	bpsu:BBN_1861
ko:K01807	bpsu:BBN_1864
ko:K11066	bpsu:BBN_1865
ko:K03218	bpsu:BBN_1866
ko:K12573	bpsu:BBN_1867
ko:K03406	bpsu:BBN_1870
ko:K01114	bpsu:BBN_1871
ko:K08178	bpsu:BBN_1876
ko:K01897	bpsu:BBN_1878
ko:K03666	bpsu:BBN_1881
ko:K12511	bpsu:BBN_1887
ko:K12510	bpsu:BBN_1888
ko:K02283	bpsu:BBN_1889
ko:K02282	bpsu:BBN_1890
ko:K00311	bpsu:BBN_1955
ko:K01736	bpsu:BBN_1958
ko:K07058	bpsu:BBN_1962
ko:K03809	bpsu:BBN_1963
ko:K03406	bpsu:BBN_1973
ko:K08223	bpsu:BBN_1974
ko:K01243	bpsu:BBN_1975
ko:K05846	bpsu:BBN_1722
ko:K05847	bpsu:BBN_1723
ko:K05846	bpsu:BBN_1725
ko:K03758	bpsu:BBN_1727
ko:K01478	bpsu:BBN_1728
ko:K00611	bpsu:BBN_1729
ko:K00926	bpsu:BBN_1730
ko:K03449	bpsu:BBN_1739
ko:K05936	bpsu:BBN_1741
ko:K05895	bpsu:BBN_1742
ko:K02188	bpsu:BBN_1743
ko:K00595	bpsu:BBN_1744
ko:K02229	bpsu:BBN_1745
ko:K06042	bpsu:BBN_1746
ko:K03394	bpsu:BBN_1747
ko:K13541	bpsu:BBN_1748
ko:K01183	bpsu:BBN_1749
ko:K06999	bpsu:BBN_1751
ko:K13580	bpsu:BBN_1752
ko:K03405	bpsu:BBN_1753
ko:K02230	bpsu:BBN_1754
ko:K02234	bpsu:BBN_1755
ko:K07241	bpsu:BBN_1756
ko:K02189	bpsu:BBN_1757
ko:K02224	bpsu:BBN_1759
ko:K02014	bpsu:BBN_1761
ko:K10531	bpsu:BBN_1762
ko:K06160	bpsu:BBN_1766
ko:K02016	bpsu:BBN_1768
ko:K13255	bpsu:BBN_1769
ko:K02015	bpsu:BBN_1770
ko:K02013	bpsu:BBN_1771
ko:K05845	bpsu:BBN_1721
ko:K02280	bpsu:BBN_1891
ko:K02279	bpsu:BBN_1892
ko:K02278	bpsu:BBN_1894
ko:K02651	bpsu:BBN_1895
ko:K06916	bpsu:BBN_1901
ko:K00382	bpsu:BBN_1902
ko:K00658	bpsu:BBN_1903
ko:K00164	bpsu:BBN_1904
ko:K06207	bpsu:BBN_1905
ko:K03543	bpsu:BBN_1908
ko:K03446	bpsu:BBN_1909
ko:K03177	bpsu:BBN_1910
ko:K02834	bpsu:BBN_1911
ko:K02519	bpsu:BBN_1912
ko:K09748	bpsu:BBN_1914
ko:K06178	bpsu:BBN_1915
ko:K06024	bpsu:BBN_1916
ko:K09801	bpsu:BBN_1328
ko:K00088	bpsu:BBN_1333
ko:K01951	bpsu:BBN_1335
ko:K09983	bpsu:BBN_1338
ko:K11991	bpsu:BBN_1340
ko:K01297	bpsu:BBN_1341
ko:K03457	bpsu:BBN_1343
ko:K16841	bpsu:BBN_1344
ko:K13485	bpsu:BBN_1346
ko:K01477	bpsu:BBN_1347
ko:K01483	bpsu:BBN_1349
ko:K07127	bpsu:BBN_1351
ko:K09165	bpsu:BBN_1354
ko:K03282	bpsu:BBN_1357
ko:K03969	bpsu:BBN_1359
ko:K05366	bpsu:BBN_1360
ko:K01754	bpsu:BBN_1362
ko:K01438	bpsu:BBN_1363
ko:K03723	bpsu:BBN_1365
ko:K00991	bpsu:BBN_1366
ko:K01883	bpsu:BBN_1215
ko:K01247	bpsu:BBN_1216
ko:K01962	bpsu:BBN_1217
ko:K04075	bpsu:BBN_1218
ko:K00928	bpsu:BBN_1219
ko:K00860	bpsu:BBN_1226
ko:K03119	bpsu:BBN_1232
ko:K05524	bpsu:BBN_1249
ko:K03639	bpsu:BBN_1250
ko:K00528	bpsu:BBN_1251
ko:K00208	bpsu:BBN_1254
ko:K13893	bpsu:BBN_1255
ko:K13894	bpsu:BBN_1256
ko:K13895	bpsu:BBN_1257
ko:K13896	bpsu:BBN_1258
ko:K07001	bpsu:BBN_1260
ko:K01885	bpsu:BBN_1261
ko:K02553	bpsu:BBN_1269
ko:K01638	bpsu:BBN_1271
ko:K01560	bpsu:BBN_1272
ko:K01637	bpsu:BBN_1275
ko:K03789	bpsu:BBN_1279
ko:K09977	bpsu:BBN_1281
ko:K00941	bpsu:BBN_1282
ko:K01775	bpsu:BBN_1284
ko:K04485	bpsu:BBN_1285
ko:K00077	bpsu:BBN_1389
ko:K00865	bpsu:BBN_1391
ko:K03545	bpsu:BBN_1392
ko:K01358	bpsu:BBN_1393
ko:K03544	bpsu:BBN_1394
ko:K01338	bpsu:BBN_1395
ko:K03529	bpsu:BBN_1296
ko:K01972	bpsu:BBN_1298
ko:K01462	bpsu:BBN_1299
ko:K06182	bpsu:BBN_1300
ko:K00990	bpsu:BBN_1301
ko:K01265	bpsu:BBN_1302
ko:K02967	bpsu:BBN_1303
ko:K02357	bpsu:BBN_1304
ko:K09903	bpsu:BBN_1305
ko:K02838	bpsu:BBN_1306
ko:K00806	bpsu:BBN_1307
ko:K00981	bpsu:BBN_1308
ko:K00099	bpsu:BBN_1309
ko:K11749	bpsu:BBN_1310
ko:K07277	bpsu:BBN_1311
ko:K06142	bpsu:BBN_1312
ko:K02536	bpsu:BBN_1313
ko:K02372	bpsu:BBN_1314
ko:K01714	bpsu:BBN_1182
ko:K07287	bpsu:BBN_1183
ko:K03775	bpsu:BBN_1187
ko:K03555	bpsu:BBN_1188
ko:K01092	bpsu:BBN_1208
ko:K02533	bpsu:BBN_1209
ko:K00640	bpsu:BBN_1210
ko:K03269	bpsu:BBN_1211
ko:K03768	bpsu:BBN_1212
ko:K03767	bpsu:BBN_1213
ko:K00615	bpsu:BBN_1236
ko:K00615	bpsu:BBN_1237
ko:K00831	bpsu:BBN_1240
ko:K00957	bpsu:BBN_1242
ko:K01755	bpsu:BBN_1245
ko:K01265	bpsu:BBN_1247
ko:K06158	bpsu:BBN_1287
ko:K00432	bpsu:BBN_1288
ko:K06131	bpsu:BBN_1289
ko:K07320	bpsu:BBN_1290
ko:K01439	bpsu:BBN_1291
ko:K00674	bpsu:BBN_1293
ko:K14267	bpsu:BBN_1294
ko:K00677	bpsu:BBN_1315
ko:K00748	bpsu:BBN_1316
ko:K03470	bpsu:BBN_1317
ko:K03437	bpsu:BBN_1318
ko:K09773	bpsu:BBN_1319
ko:K05998	bpsu:BBN_1320
ko:K03664	bpsu:BBN_1326
ko:K01770	bpsu:BBN_1367
ko:K04756	bpsu:BBN_1368
ko:K03386	bpsu:BBN_1369
ko:K07638	bpsu:BBN_1370
ko:K07659	bpsu:BBN_1371
ko:K02291	bpsu:BBN_1375
ko:K07492	bpsu:BBN_1918
ko:K21449	bpsu:BBN_4251
ko:K00042	bpsu:BBN_1445
ko:K07346	bpsu:BBN_1631
ko:K22589	bpsu:BBN_809
ko:K01782	bpsu:BBN_3462
ko:K00626	bpsu:BBN_3463
ko:K02616	bpsu:BBN_3466
ko:K10947	bpsu:BBN_3469
ko:K01999	bpsu:BBN_3475
ko:K01997	bpsu:BBN_3476
ko:K01998	bpsu:BBN_3477
ko:K01995	bpsu:BBN_3478
ko:K01996	bpsu:BBN_3479
ko:K01156	bpsu:BBN_3482
ko:K07316	bpsu:BBN_3483
ko:K07649	bpsu:BBN_3486
ko:K02050	bpsu:BBN_3487
ko:K02049	bpsu:BBN_3488
ko:K02051	bpsu:BBN_3489
ko:K02421	bpsu:BBN_3493
ko:K02420	bpsu:BBN_3494
ko:K02419	bpsu:BBN_3495
ko:K02418	bpsu:BBN_3496
ko:K02417	bpsu:BBN_3497
ko:K02416	bpsu:BBN_3498
ko:K02415	bpsu:BBN_3499
ko:K06518	bpsu:BBN_3502
ko:K03446	bpsu:BBN_3504
ko:K02463	bpsu:BBN_3508
ko:K02462	bpsu:BBN_3509
ko:K02461	bpsu:BBN_3510
ko:K02460	bpsu:BBN_3511
ko:K02459	bpsu:BBN_3512
ko:K02012	bpsu:BBN_4105
ko:K07774	bpsu:BBN_4106
ko:K07649	bpsu:BBN_4107
ko:K07140	bpsu:BBN_4108
ko:K01775	bpsu:BBN_4113
ko:K03928	bpsu:BBN_4118
ko:K16137	bpsu:BBN_4121
ko:K00208	bpsu:BBN_4125
ko:K04064	bpsu:BBN_4127
ko:K00375	bpsu:BBN_4129
ko:K00666	bpsu:BBN_4133
ko:K00694	bpsu:BBN_4136
ko:K00822	bpsu:BBN_4145
ko:K00140	bpsu:BBN_4146
ko:K07068	bpsu:BBN_4156
ko:K02004	bpsu:BBN_2406
ko:K09712	bpsu:BBN_2409
ko:K07667	bpsu:BBN_2410
ko:K07646	bpsu:BBN_2411
ko:K01548	bpsu:BBN_2412
ko:K01547	bpsu:BBN_2413
ko:K01546	bpsu:BBN_2414
ko:K01734	bpsu:BBN_2418
ko:K00059	bpsu:BBN_2420
ko:K00761	bpsu:BBN_2421
ko:K01945	bpsu:BBN_2423
ko:K00228	bpsu:BBN_2424
ko:K00969	bpsu:BBN_2425
ko:K09710	bpsu:BBN_2426
ko:K00783	bpsu:BBN_2427
ko:K06287	bpsu:BBN_2428
ko:K08301	bpsu:BBN_2429
ko:K16345	bpsu:BBN_2430
ko:K03088	bpsu:BBN_2438
ko:K02849	bpsu:BBN_2445
ko:K11085	bpsu:BBN_2450
ko:K02337	bpsu:BBN_2451
ko:K07146	bpsu:BBN_2453
ko:K01894	bpsu:BBN_2454
ko:K01991	bpsu:BBN_2931
ko:K03606	bpsu:BBN_2932
ko:K01192	bpsu:BBN_2939
ko:K03701	bpsu:BBN_2982
ko:K02458	bpsu:BBN_3513
ko:K02457	bpsu:BBN_3514
ko:K02456	bpsu:BBN_3515
ko:K02452	bpsu:BBN_3516
ko:K02455	bpsu:BBN_3517
ko:K02454	bpsu:BBN_3518
ko:K02453	bpsu:BBN_3519
ko:K03530	bpsu:BBN_3522
ko:K15461	bpsu:BBN_3523
ko:K06048	bpsu:BBN_3525
ko:K01951	bpsu:BBN_3527
ko:K07117	bpsu:BBN_3529
ko:K01724	bpsu:BBN_3533
ko:K00500	bpsu:BBN_3534
ko:K01953	bpsu:BBN_3543
ko:K11891	bpsu:BBN_3547
ko:K11892	bpsu:BBN_3548
ko:K11893	bpsu:BBN_3549
ko:K11906	bpsu:BBN_3550
ko:K11903	bpsu:BBN_3551
ko:K11901	bpsu:BBN_3553
ko:K11907	bpsu:BBN_3554
ko:K11898	bpsu:BBN_3556
ko:K11897	bpsu:BBN_3557
ko:K11896	bpsu:BBN_3558
ko:K11895	bpsu:BBN_3559
ko:K11902	bpsu:BBN_3560
ko:K02054	bpsu:BBN_1653
ko:K01872	bpsu:BBN_2006
ko:K04062	bpsu:BBN_2008
ko:K01886	bpsu:BBN_2009
ko:K01207	bpsu:BBN_2012
ko:K00428	bpsu:BBN_2014
ko:K00209	bpsu:BBN_2016
ko:K03543	bpsu:BBN_2017
ko:K03446	bpsu:BBN_2018
ko:K07687	bpsu:BBN_2020
ko:K07347	bpsu:BBN_2023
ko:K07346	bpsu:BBN_2024
ko:K08289	bpsu:BBN_2458
ko:K03466	bpsu:BBN_2461
ko:K05973	bpsu:BBN_2464
ko:K03616	bpsu:BBN_2466
ko:K10773	bpsu:BBN_2467
ko:K09989	bpsu:BBN_2473
ko:K05782	bpsu:BBN_2474
ko:K00616	bpsu:BBN_2475
ko:K04750	bpsu:BBN_2476
ko:K03307	bpsu:BBN_2477
ko:K03181	bpsu:BBN_2481
ko:K04079	bpsu:BBN_2482
ko:K05825	bpsu:BBN_2486
ko:K07240	bpsu:BBN_2490
ko:K06016	bpsu:BBN_2492
ko:K02621	bpsu:BBN_2498
ko:K02622	bpsu:BBN_2499
ko:K15738	bpsu:BBN_2500
ko:K02518	bpsu:BBN_2505
ko:K01433	bpsu:BBN_2984
ko:K00759	bpsu:BBN_2987
ko:K03455	bpsu:BBN_2988
ko:K06041	bpsu:BBN_2989
ko:K03270	bpsu:BBN_2990
ko:K11719	bpsu:BBN_2991
ko:K09774	bpsu:BBN_2992
ko:K06861	bpsu:BBN_2993
ko:K03092	bpsu:BBN_2995
ko:K05808	bpsu:BBN_2996
ko:K02806	bpsu:BBN_2997
ko:K06023	bpsu:BBN_2998
ko:K06958	bpsu:BBN_2999
ko:K07157	bpsu:BBN_3000
ko:K03575	bpsu:BBN_3001
ko:K10563	bpsu:BBN_3002
ko:K02494	bpsu:BBN_3004
ko:K00919	bpsu:BBN_3005
ko:K00948	bpsu:BBN_3007
ko:K02897	bpsu:BBN_3008
ko:K01056	bpsu:BBN_3009
ko:K00817	bpsu:BBN_3010
ko:K00954	bpsu:BBN_3012
ko:K03110	bpsu:BBN_3014
ko:K00362	bpsu:BBN_3016
ko:K00363	bpsu:BBN_3017
ko:K00372	bpsu:BBN_3018
ko:K01649	bpsu:BBN_3021
ko:K03089	bpsu:BBN_3024
ko:K00425	bpsu:BBN_3026
ko:K00426	bpsu:BBN_3027
ko:K12373	bpsu:BBN_3030
ko:K02803	bpsu:BBN_3031
ko:K02804	bpsu:BBN_3031
ko:K02768	bpsu:BBN_3032
ko:K08483	bpsu:BBN_3032
ko:K11183	bpsu:BBN_3032
ko:K01443	bpsu:BBN_3034
ko:K00355	bpsu:BBN_3568
ko:K01740	bpsu:BBN_3571
ko:K01941	bpsu:BBN_3577
ko:K01961	bpsu:BBN_3578
ko:K07160	bpsu:BBN_3580
ko:K01434	bpsu:BBN_3582
ko:K01259	bpsu:BBN_3583
ko:K02688	bpsu:BBN_3587
ko:K03417	bpsu:BBN_3588
ko:K01659	bpsu:BBN_3589
ko:K07507	bpsu:BBN_3601
ko:K17686	bpsu:BBN_3607
ko:K00801	bpsu:BBN_3615
ko:K00426	bpsu:BBN_3619
ko:K00425	bpsu:BBN_3620
ko:K03322	bpsu:BBN_2033
ko:K11896	bpsu:BBN_2058
ko:K04618	bpsu:BBN_2060
ko:K05973	bpsu:BBN_2078
ko:K16147	bpsu:BBN_2079
ko:K05343	bpsu:BBN_2080
ko:K00700	bpsu:BBN_2081
ko:K15125	bpsu:BBN_2515
ko:K07262	bpsu:BBN_2519
ko:K08276	bpsu:BBN_2520
ko:K06910	bpsu:BBN_2525
ko:K08169	bpsu:BBN_2526
ko:K00697	bpsu:BBN_2529
ko:K02049	bpsu:BBN_2532
ko:K02050	bpsu:BBN_2533
ko:K07638	bpsu:BBN_2536
ko:K07659	bpsu:BBN_2537
ko:K06911	bpsu:BBN_2539
ko:K10014	bpsu:BBN_2540
ko:K10016	bpsu:BBN_2541
ko:K10015	bpsu:BBN_2542
ko:K10017	bpsu:BBN_2543
ko:K04751	bpsu:BBN_2545
ko:K01950	bpsu:BBN_2546
ko:K09919	bpsu:BBN_2547
ko:K07461	bpsu:BBN_2549
ko:K01507	bpsu:BBN_2550
ko:K00128	bpsu:BBN_2551
ko:K00059	bpsu:BBN_2552
ko:K02498	bpsu:BBN_2554
ko:K01749	bpsu:BBN_2556
ko:K01595	bpsu:BBN_2557
ko:K07346	bpsu:BBN_2562
ko:K07347	bpsu:BBN_2563
ko:K03710	bpsu:BBN_3035
ko:K01586	bpsu:BBN_3044
ko:K01990	bpsu:BBN_3051
ko:K01992	bpsu:BBN_3052
ko:K00836	bpsu:BBN_3054
ko:K14162	bpsu:BBN_3058
ko:K14161	bpsu:BBN_3059
ko:K14160	bpsu:BBN_3060
ko:K05833	bpsu:BBN_3061
ko:K05832	bpsu:BBN_3062
ko:K01989	bpsu:BBN_3063
ko:K02073	bpsu:BBN_3064
ko:K03406	bpsu:BBN_3066
ko:K07152	bpsu:BBN_3068
ko:K02259	bpsu:BBN_3070
ko:K02276	bpsu:BBN_3074
ko:K02258	bpsu:BBN_3076
ko:K02274	bpsu:BBN_3077
ko:K02275	bpsu:BBN_3078
ko:K02169	bpsu:BBN_3080
ko:K03216	bpsu:BBN_3082
ko:K00057	bpsu:BBN_3084
ko:K03071	bpsu:BBN_3085
ko:K01620	bpsu:BBN_3622
ko:K05596	bpsu:BBN_3621
ko:K05366	bpsu:BBN_3623
ko:K02013	bpsu:BBN_3625
ko:K02015	bpsu:BBN_3626
ko:K02016	bpsu:BBN_3628
ko:K07225	bpsu:BBN_3629
ko:K16087	bpsu:BBN_3630
ko:K02053	bpsu:BBN_3633
ko:K02052	bpsu:BBN_3634
ko:K02055	bpsu:BBN_3635
ko:K02053	bpsu:BBN_3636
ko:K06966	bpsu:BBN_3637
ko:K01808	bpsu:BBN_3640
ko:K17207	bpsu:BBN_3641
ko:K17206	bpsu:BBN_3642
ko:K17205	bpsu:BBN_3643
ko:K00065	bpsu:BBN_3644
ko:K05878	bpsu:BBN_3646
ko:K05879	bpsu:BBN_3647
ko:K02073	bpsu:BBN_3652
ko:K06987	bpsu:BBN_3653
ko:K10013	bpsu:BBN_3656
ko:K03762	bpsu:BBN_3659
ko:K02624	bpsu:BBN_3661
ko:K03776	bpsu:BBN_3663
ko:K00135	bpsu:BBN_3668
ko:K00823	bpsu:BBN_3669
ko:K00375	bpsu:BBN_3670
ko:K18248	bpsu:BBN_5350
ko:K16319	bpsu:BBN_5352
ko:K01236	bpsu:BBN_2083
ko:K00705	bpsu:BBN_2084
ko:K06044	bpsu:BBN_2085
ko:K00375	bpsu:BBN_2088
ko:K06153	bpsu:BBN_2107
ko:K01895	bpsu:BBN_2111
ko:K03327	bpsu:BBN_2113
ko:K08296	bpsu:BBN_2117
ko:K01755	bpsu:BBN_2564
ko:K01584	bpsu:BBN_2567
ko:K01494	bpsu:BBN_2568
ko:K03593	bpsu:BBN_2570
ko:K01874	bpsu:BBN_2572
ko:K09800	bpsu:BBN_2575
ko:K05896	bpsu:BBN_2578
ko:K01918	bpsu:BBN_2579
ko:K01579	bpsu:BBN_2580
ko:K15977	bpsu:BBN_2582
ko:K02232	bpsu:BBN_2583
ko:K02231	bpsu:BBN_2584
ko:K02227	bpsu:BBN_2585
ko:K02225	bpsu:BBN_2586
ko:K02016	bpsu:BBN_2587
ko:K02226	bpsu:BBN_2589
ko:K02233	bpsu:BBN_2590
ko:K00768	bpsu:BBN_2591
ko:K02013	bpsu:BBN_2592
ko:K02015	bpsu:BBN_2593
ko:K16092	bpsu:BBN_2594
ko:K09888	bpsu:BBN_2596
ko:K13292	bpsu:BBN_2599
ko:K01687	bpsu:BBN_2601
ko:K08738	bpsu:BBN_2602
ko:K02339	bpsu:BBN_2604
ko:K01255	bpsu:BBN_2605
ko:K07091	bpsu:BBN_2606
ko:K11720	bpsu:BBN_2607
ko:K02303	bpsu:BBN_2609
ko:K00956	bpsu:BBN_2610
ko:K00957	bpsu:BBN_2611
ko:K00390	bpsu:BBN_2612
ko:K00381	bpsu:BBN_2614
ko:K01834	bpsu:BBN_3088
ko:K03797	bpsu:BBN_3089
ko:K08483	bpsu:BBN_3091
ko:K11189	bpsu:BBN_3092
ko:K02821	bpsu:BBN_3093
ko:K01920	bpsu:BBN_3094
ko:K01919	bpsu:BBN_3095
ko:K03320	bpsu:BBN_3096
ko:K04752	bpsu:BBN_3097
ko:K09806	bpsu:BBN_3098
ko:K07391	bpsu:BBN_3099
ko:K10126	bpsu:BBN_3105
ko:K10125	bpsu:BBN_3106
ko:K11103	bpsu:BBN_3107
ko:K14393	bpsu:BBN_3108
ko:K03644	bpsu:BBN_3118
ko:K03801	bpsu:BBN_3119
ko:K03566	bpsu:BBN_3121
ko:K09158	bpsu:BBN_3122
ko:K00824	bpsu:BBN_3123
ko:K07258	bpsu:BBN_3124
ko:K07018	bpsu:BBN_3125
ko:K02067	bpsu:BBN_3129
ko:K02065	bpsu:BBN_3130
ko:K02066	bpsu:BBN_3131
ko:K01119	bpsu:BBN_3132
ko:K03524	bpsu:BBN_3134
ko:K03525	bpsu:BBN_3135
ko:K07001	bpsu:BBN_3139
ko:K01008	bpsu:BBN_3676
ko:K01821	bpsu:BBN_3678
ko:K07088	bpsu:BBN_3693
ko:K00645	bpsu:BBN_3695
ko:K01586	bpsu:BBN_3698
ko:K00053	bpsu:BBN_3700
ko:K00137	bpsu:BBN_3702
ko:K02073	bpsu:BBN_3709
ko:K02071	bpsu:BBN_3711
ko:K02072	bpsu:BBN_3712
ko:K00782	bpsu:BBN_3719
ko:K03303	bpsu:BBN_3720
ko:K15977	bpsu:BBN_3721
ko:K03762	bpsu:BBN_2172
ko:K13634	bpsu:BBN_2615
ko:K03427	bpsu:BBN_2620
ko:K01154	bpsu:BBN_2621
ko:K01153	bpsu:BBN_2623
ko:K01628	bpsu:BBN_2631
ko:K01714	bpsu:BBN_2632
ko:K07156	bpsu:BBN_2637
ko:K06183	bpsu:BBN_2638
ko:K01996	bpsu:BBN_2645
ko:K01995	bpsu:BBN_2646
ko:K01998	bpsu:BBN_2647
ko:K01997	bpsu:BBN_2648
ko:K03527	bpsu:BBN_2650
ko:K03774	bpsu:BBN_2651
ko:K03630	bpsu:BBN_2652
ko:K02902	bpsu:BBN_2653
ko:K02913	bpsu:BBN_2654
ko:K00278	bpsu:BBN_2655
ko:K00767	bpsu:BBN_2656
ko:K03517	bpsu:BBN_2657
ko:K03500	bpsu:BBN_2660
ko:K11175	bpsu:BBN_2661
ko:K11753	bpsu:BBN_2662
ko:K01870	bpsu:BBN_2663
ko:K03101	bpsu:BBN_2664
ko:K13038	bpsu:BBN_2665
ko:K01692	bpsu:BBN_3141
ko:K16171	bpsu:BBN_3142
ko:K00548	bpsu:BBN_3146
ko:K00548	bpsu:BBN_3147
ko:K01887	bpsu:BBN_3149
ko:K03673	bpsu:BBN_3151
ko:K12368	bpsu:BBN_3156
ko:K00906	bpsu:BBN_3159
ko:K01673	bpsu:BBN_3160
ko:K00626	bpsu:BBN_3161
ko:K09858	bpsu:BBN_3163
ko:K00833	bpsu:BBN_3165
ko:K00652	bpsu:BBN_3166
ko:K01935	bpsu:BBN_3167
ko:K01012	bpsu:BBN_3168
ko:K06201	bpsu:BBN_3169
ko:K01077	bpsu:BBN_3171
ko:K01077	bpsu:BBN_3172
ko:K03316	bpsu:BBN_3175
ko:K04090	bpsu:BBN_3176
ko:K08715	bpsu:BBN_3177
ko:K02048	bpsu:BBN_3180
ko:K12658	bpsu:BBN_3728
ko:K00457	bpsu:BBN_3735
ko:K03786	bpsu:BBN_3736
ko:K00014	bpsu:BBN_3737
ko:K08194	bpsu:BBN_3738
ko:K03430	bpsu:BBN_3739
ko:K11081	bpsu:BBN_3740
ko:K11084	bpsu:BBN_3741
ko:K11083	bpsu:BBN_3742
ko:K11082	bpsu:BBN_3743
ko:K07115	bpsu:BBN_3756
ko:K00019	bpsu:BBN_3758
ko:K00832	bpsu:BBN_3759
ko:K03702	bpsu:BBN_3760
ko:K07230	bpsu:BBN_3761
ko:K07243	bpsu:BBN_3763
ko:K06911	bpsu:BBN_3768
ko:K03559	bpsu:BBN_3770
ko:K03561	bpsu:BBN_3771
ko:K03832	bpsu:BBN_3772
ko:K02192	bpsu:BBN_3773
ko:K01776	bpsu:BBN_3774
ko:K03594	bpsu:BBN_3775
ko:K01676	bpsu:BBN_3776
ko:K01895	bpsu:BBN_3779
ko:K14393	bpsu:BBN_3781
ko:K04090	bpsu:BBN_4163
ko:K09780	bpsu:BBN_4165
ko:K00817	bpsu:BBN_4166
ko:K00059	bpsu:BBN_4167
ko:K10112	bpsu:BBN_4181
ko:K02027	bpsu:BBN_4182
ko:K02025	bpsu:BBN_4183
ko:K02026	bpsu:BBN_4184
ko:K03534	bpsu:BBN_4186
ko:K00064	bpsu:BBN_4189
ko:K16856	bpsu:BBN_4192
ko:K01266	bpsu:BBN_4202
ko:K10974	bpsu:BBN_4209
ko:K01485	bpsu:BBN_4211
ko:K00428	bpsu:BBN_4218
ko:K01114	bpsu:BBN_4219
ko:K10538	bpsu:BBN_4227
ko:K13874	bpsu:BBN_4228
ko:K06995	bpsu:BBN_4230
ko:K12508	bpsu:BBN_4235
ko:K05819	bpsu:BBN_4236
ko:K02056	bpsu:BBN_4241
ko:K02057	bpsu:BBN_4242
ko:K01685	bpsu:BBN_4244
ko:K03534	bpsu:BBN_4249
ko:K01999	bpsu:BBN_4258
ko:K11068	bpsu:BBN_4259
ko:K11734	bpsu:BBN_4263
ko:K00832	bpsu:BBN_4264
ko:K00059	bpsu:BBN_4325
ko:K06140	bpsu:BBN_4339
ko:K01497	bpsu:BBN_4343
ko:K07507	bpsu:BBN_4347
ko:K07098	bpsu:BBN_4348
ko:K09019	bpsu:BBN_4349
ko:K01652	bpsu:BBN_4361
ko:K06989	bpsu:BBN_4362
ko:K01426	bpsu:BBN_4370
ko:K01761	bpsu:BBN_4372
ko:K00675	bpsu:BBN_4375
ko:K09957	bpsu:BBN_4376
ko:K01524	bpsu:BBN_2201
ko:K00937	bpsu:BBN_2202
ko:K07636	bpsu:BBN_2203
ko:K07657	bpsu:BBN_2204
ko:K02039	bpsu:BBN_2205
ko:K02036	bpsu:BBN_2206
ko:K02038	bpsu:BBN_2207
ko:K02037	bpsu:BBN_2208
ko:K02040	bpsu:BBN_2209
ko:K03431	bpsu:BBN_2210
ko:K00796	bpsu:BBN_2211
ko:K03798	bpsu:BBN_2212
ko:K02427	bpsu:BBN_2213
