ko:K03741	fpv:IA03_07715
ko:K00945	fpv:IA03_08300
ko:K01338	fpv:IA03_08310
ko:K06902	fpv:IA03_08315
ko:K07305	fpv:IA03_08330
ko:K07305	fpv:IA03_08335
ko:K01897	fpv:IA03_08340
ko:K00681	fpv:IA03_08345
ko:K07516	fpv:IA03_08355
ko:K03386	fpv:IA03_08385
ko:K03782	fpv:IA03_08390
ko:K01761	fpv:IA03_08405
ko:K03719	fpv:IA03_08410
ko:K00382	fpv:IA03_08415
ko:K04565	fpv:IA03_08420
ko:K04761	fpv:IA03_08430
ko:K00826	fpv:IA03_08445
ko:K03885	fpv:IA03_09440
ko:K03088	fpv:IA03_09445
ko:K11942	fpv:IA03_09485
ko:K01872	fpv:IA03_09490
ko:K03744	fpv:IA03_09505
ko:K06872	fpv:IA03_09515
ko:K06147	fpv:IA03_09540
ko:K00500	fpv:IA03_09565
ko:K01712	fpv:IA03_09580
ko:K03977	fpv:IA03_09605
ko:K06158	fpv:IA03_09635
ko:K03168	fpv:IA03_09695
ko:K06168	fpv:IA03_09715
ko:K02897	fpv:IA03_00665
ko:K00948	fpv:IA03_00670
ko:K01262	fpv:IA03_00700
ko:K00639	fpv:IA03_00720
ko:K04564	fpv:IA03_00735
ko:K01866	fpv:IA03_00740
ko:K01465	fpv:IA03_00755
ko:K00721	fpv:IA03_00760
ko:K01719	fpv:IA03_00810
ko:K13766	fpv:IA03_00815
ko:K15034	fpv:IA03_00820
ko:K03811	fpv:IA03_00830
ko:K07094	fpv:IA03_00835
ko:K01251	fpv:IA03_00845
ko:K03723	fpv:IA03_00860
ko:K03642	fpv:IA03_00870
ko:K00764	fpv:IA03_00880
ko:K03469	fpv:IA03_00890
ko:K11175	fpv:IA03_00895
ko:K02078	fpv:IA03_00900
ko:K09458	fpv:IA03_00910
ko:K03685	fpv:IA03_00915
ko:K00873	fpv:IA03_00925
ko:K01159	fpv:IA03_00950
ko:K03801	fpv:IA03_05735
ko:K04567	fpv:IA03_05740
ko:K01845	fpv:IA03_05750
ko:K07107	fpv:IA03_05765
ko:K02313	fpv:IA03_05770
ko:K01104	fpv:IA03_05775
ko:K07056	fpv:IA03_05780
ko:K07082	fpv:IA03_05795
ko:K00657	fpv:IA03_05800
ko:K01778	fpv:IA03_05805
ko:K00134	fpv:IA03_05820
ko:K07164	fpv:IA03_05835
ko:K06182	fpv:IA03_05845
ko:K10716	fpv:IA03_05850
ko:K18831	fpv:IA03_05870
ko:K03442	fpv:IA03_05875
ko:K07137	fpv:IA03_05880
ko:K03654	fpv:IA03_05900
ko:K06041	fpv:IA03_05905
ko:K03118	fpv:IA03_05910
ko:K06861	fpv:IA03_05920
ko:K07273	fpv:IA03_05925
ko:K17103	fpv:IA03_05930
ko:K00640	fpv:IA03_05980
ko:K00640	fpv:IA03_06005
ko:K08068	fpv:IA03_06015
ko:K07316	fpv:IA03_10715
ko:K09808	fpv:IA03_10825
ko:K06940	fpv:IA03_10835
ko:K02040	fpv:IA03_10885
ko:K03832	fpv:IA03_10890
ko:K03561	fpv:IA03_10905
ko:K06915	fpv:IA03_10910
ko:K00486	fpv:IA03_10915
ko:K01434	fpv:IA03_10920
ko:K01480	fpv:IA03_10925
ko:K01556	fpv:IA03_10930
ko:K02899	fpv:IA03_10945
ko:K02888	fpv:IA03_10950
ko:K00343	fpv:IA03_10960
ko:K00342	fpv:IA03_10965
ko:K00341	fpv:IA03_10970
ko:K00340	fpv:IA03_10975
ko:K00339	fpv:IA03_10980
ko:K00338	fpv:IA03_10985
ko:K00337	fpv:IA03_10990
ko:K00335	fpv:IA03_11005
ko:K03555	fpv:IA03_01935
ko:K04773	fpv:IA03_01955
ko:K01448	fpv:IA03_01970
ko:K02527	fpv:IA03_01980
ko:K01784	fpv:IA03_01990
ko:K00645	fpv:IA03_02000
ko:K08289	fpv:IA03_02015
ko:K00812	fpv:IA03_02020
ko:K00508	fpv:IA03_02025
ko:K03501	fpv:IA03_02030
ko:K00294	fpv:IA03_02035
ko:K06195	fpv:IA03_02050
ko:K01265	fpv:IA03_02065
ko:K01534	fpv:IA03_02100
ko:K03154	fpv:IA03_02105
ko:K03147	fpv:IA03_02110
ko:K00788	fpv:IA03_02115
ko:K00941	fpv:IA03_02120
ko:K00788	fpv:IA03_02125
ko:K03149	fpv:IA03_02130
ko:K03150	fpv:IA03_02135
ko:K09903	fpv:IA03_02145
ko:K02838	fpv:IA03_02150
ko:K01754	fpv:IA03_02195
ko:K00053	fpv:IA03_02200
ko:K01653	fpv:IA03_02205
ko:K01652	fpv:IA03_02210
ko:K01687	fpv:IA03_02215
ko:K00826	fpv:IA03_02220
ko:K02825	fpv:IA03_06930
ko:K00891	fpv:IA03_06935
ko:K06443	fpv:IA03_06955
ko:K10027	fpv:IA03_06965
ko:K15746	fpv:IA03_06975
ko:K03088	fpv:IA03_06995
ko:K02014	fpv:IA03_07005
ko:K02226	fpv:IA03_07010
ko:K02233	fpv:IA03_07015
ko:K00768	fpv:IA03_07020
ko:K02231	fpv:IA03_07025
ko:K02016	fpv:IA03_07035
ko:K02015	fpv:IA03_07040
ko:K03088	fpv:IA03_07050
ko:K03832	fpv:IA03_07055
ko:K03644	fpv:IA03_07065
ko:K00134	fpv:IA03_07070
ko:K03783	fpv:IA03_07080
ko:K00912	fpv:IA03_07085
ko:K01491	fpv:IA03_07095
ko:K03106	fpv:IA03_07100
ko:K03734	fpv:IA03_07145
ko:K16091	fpv:IA03_07170
ko:K16089	fpv:IA03_07200
ko:K01887	fpv:IA03_07215
ko:K04755	fpv:IA03_11900
ko:K13789	fpv:IA03_11930
ko:K00164	fpv:IA03_11945
ko:K00658	fpv:IA03_11950
ko:K08151	fpv:IA03_11955
ko:K03665	fpv:IA03_11975
ko:K02004	fpv:IA03_11980
ko:K00602	fpv:IA03_11985
ko:K03569	fpv:IA03_11990
ko:K03570	fpv:IA03_11995
ko:K05515	fpv:IA03_12005
ko:K05837	fpv:IA03_12010
ko:K01173	fpv:IA03_12015
ko:K01880	fpv:IA03_12050
ko:K03770	fpv:IA03_12055
ko:K03525	fpv:IA03_12075
ko:K04096	fpv:IA03_12090
ko:K00973	fpv:IA03_12150
ko:K02014	fpv:IA03_12185
ko:K02115	fpv:IA03_12190
ko:K00382	fpv:IA03_03535
ko:K04487	fpv:IA03_03545
ko:K07095	fpv:IA03_03550
ko:K07504	fpv:IA03_03570
ko:K03628	fpv:IA03_03595
ko:K09861	fpv:IA03_03600
ko:K07106	fpv:IA03_03635
ko:K07444	fpv:IA03_03655
ko:K03215	fpv:IA03_03680
ko:K00819	fpv:IA03_03705
ko:K06169	fpv:IA03_03720
ko:K07054	fpv:IA03_03730
ko:K05844	fpv:IA03_03740
ko:K03696	fpv:IA03_03745
ko:K02469	fpv:IA03_03750
ko:K09022	fpv:IA03_03760
ko:K01448	fpv:IA03_03770
ko:K02067	fpv:IA03_03775
ko:K03424	fpv:IA03_08470
ko:K09164	fpv:IA03_08475
ko:K07447	fpv:IA03_08495
ko:K00116	fpv:IA03_08500
ko:K01462	fpv:IA03_08505
ko:K02428	fpv:IA03_08515
ko:K07017	fpv:IA03_08520
ko:K02371	fpv:IA03_08550
ko:K03695	fpv:IA03_08565
ko:K00949	fpv:IA03_08575
ko:K06970	fpv:IA03_08580
ko:K00014	fpv:IA03_08585
ko:K03281	fpv:IA03_08605
ko:K03313	fpv:IA03_08610
ko:K00566	fpv:IA03_08615
ko:K03284	fpv:IA03_08635
ko:K01468	fpv:IA03_08640
ko:K02217	fpv:IA03_08650
ko:K01809	fpv:IA03_08685
ko:K03564	fpv:IA03_08690
ko:K01737	fpv:IA03_08695
ko:K01823	fpv:IA03_08700
ko:K02945	fpv:IA03_08705
ko:K00609	fpv:IA03_08715
ko:K02825	fpv:IA03_08720
ko:K06199	fpv:IA03_08730
ko:K00639	fpv:IA03_08755
ko:K01756	fpv:IA03_08760
ko:K12410	fpv:IA03_08765
ko:K00556	fpv:IA03_08770
ko:K09793	fpv:IA03_00970
ko:K01870	fpv:IA03_00990
ko:K03101	fpv:IA03_01000
ko:K01934	fpv:IA03_01005
ko:K06987	fpv:IA03_01010
ko:K03703	fpv:IA03_01015
ko:K07001	fpv:IA03_01020
ko:K00798	fpv:IA03_02925
ko:K00336	fpv:IA03_10995
ko:K19302	fpv:IA03_10260
ko:K01990	fpv:IA03_08020
ko:K01990	fpv:IA03_11240
ko:K01992	fpv:IA03_01400
ko:K19294	fpv:IA03_06780
ko:K06867	fpv:IA03_07120
ko:K06881	fpv:IA03_09245
ko:K09691	fpv:IA03_06080
ko:K09690	fpv:IA03_06085
ko:K01980	fpv:IA03_02350
ko:K14225	fpv:IA03_10520
ko:K14227	fpv:IA03_02340
ko:K14237	fpv:IA03_02700
ko:K14237	fpv:IA03_05070
ko:K14219	fpv:IA03_03875
ko:K10206	fpv:IA03_01160
ko:K05770	fpv:IA03_01485
ko:K01985	fpv:IA03_02355
ko:K14230	fpv:IA03_09615
ko:K14230	fpv:IA03_09620
ko:K01977	fpv:IA03_02335
ko:K14228	fpv:IA03_00675
ko:K14228	fpv:IA03_00680
ko:K14228	fpv:IA03_01920
ko:K14228	fpv:IA03_06950
ko:K14220	fpv:IA03_00335
ko:K14230	fpv:IA03_01085
ko:K14230	fpv:IA03_09845
ko:K14221	fpv:IA03_01200
ko:K14223	fpv:IA03_01420
ko:K14225	fpv:IA03_01930
ko:K14218	fpv:IA03_02345
ko:K14218	fpv:IA03_11905
ko:K14226	fpv:IA03_03270
ko:K14219	fpv:IA03_03470
ko:K14219	fpv:IA03_10095
ko:K14233	fpv:IA03_03865
ko:K14233	fpv:IA03_07660
ko:K14233	fpv:IA03_11340
ko:K14232	fpv:IA03_03870
ko:K14232	fpv:IA03_05285
ko:K14236	fpv:IA03_04340
ko:K14236	fpv:IA03_05655
ko:K14235	fpv:IA03_05640
ko:K14234	fpv:IA03_05650
ko:K14234	fpv:IA03_05660
ko:K14234	fpv:IA03_08675
ko:K14224	fpv:IA03_06705
ko:K14224	fpv:IA03_06710
ko:K14229	fpv:IA03_06940
ko:K14229	fpv:IA03_06945
ko:K14231	fpv:IA03_12080
ko:K14222	fpv:IA03_12380
ko:K01978	fpv:IA03_12500
ko:K14225	fpv:IA03_01925
ko:K20534	fpv:IA03_07890
ko:K18890	fpv:IA03_06840
ko:K18889	fpv:IA03_02660
ko:K20866	fpv:IA03_09965
ko:K08968	fpv:IA03_10020
ko:K00632	fpv:IA03_08365
ko:K00857	fpv:IA03_05035
ko:K06217	fpv:IA03_05120
ko:K02316	fpv:IA03_10210
ko:K00558	fpv:IA03_10595
ko:K07313	fpv:IA03_00625
ko:K14623	fpv:IA03_01135
ko:K03553	fpv:IA03_11105
ko:K00558	fpv:IA03_11250
ko:K00287	fpv:IA03_01580
ko:K00560	fpv:IA03_01605
ko:K01520	fpv:IA03_12155
ko:K01493	fpv:IA03_02290
ko:K02314	fpv:IA03_03080
ko:K00558	fpv:IA03_03690
ko:K00558	fpv:IA03_04005
ko:K02335	fpv:IA03_01380
ko:K00525	fpv:IA03_02255
ko:K02481	fpv:IA03_08200
ko:K00526	fpv:IA03_02260
ko:K21470	fpv:IA03_10530
ko:K01420	fpv:IA03_04335
ko:K10026	fpv:IA03_10850
ko:K00754	fpv:IA03_03820
ko:K01463	fpv:IA03_03275
ko:K17758	fpv:IA03_03895
ko:K22132	fpv:IA03_08465
ko:K22136	fpv:IA03_06755
ko:K03595	fpv:IA03_09610
ko:K08994	fpv:IA03_03105
ko:K22252	fpv:IA03_07930
ko:K02257	fpv:IA03_10385
ko:K01505	fpv:IA03_05760
ko:K22491	fpv:IA03_06960
ko:K09516	fpv:IA03_11285
