ko:K18929	hep:HPPN120_00710
ko:K01455	hep:HPPN120_06065
ko:K15898	hep:HPPN120_00905
ko:K00245	hep:HPPN120_00970
ko:K00244	hep:HPPN120_00975
ko:K03593	hep:HPPN120_01045
ko:K07126	hep:HPPN120_01075
ko:K01439	hep:HPPN120_01080
ko:K06910	hep:HPPN120_01115
ko:K01784	hep:HPPN120_05295
ko:K07126	hep:HPPN120_05320
ko:K00845	hep:HPPN120_05345
ko:K07126	hep:HPPN120_05425
ko:K07126	hep:HPPN120_01200
ko:K06196	hep:HPPN120_01340
ko:K03784	hep:HPPN120_05755
ko:K03317	hep:HPPN120_05765
ko:K07098	hep:HPPN120_02050
ko:K01262	hep:HPPN120_02085
ko:K03711	hep:HPPN120_02135
ko:K13640	hep:HPPN120_02145
ko:K00076	hep:HPPN120_02200
ko:K00949	hep:HPPN120_06340
ko:K01679	hep:HPPN120_06515
ko:K14232	hep:HPPN120_t08098
ko:K06603	hep:HPPN120_03710
ko:K02004	hep:HPPN120_03890
ko:K03386	hep:HPPN120_07925
ko:K01409	hep:HPPN120_08025
ko:K14219	hep:HPPN120_t08092
ko:K16052	hep:HPPN120_05025
ko:K03635	hep:HPPN120_03950
ko:K05845	hep:HPPN120_04040
ko:K05846	hep:HPPN120_04040
ko:K00088	hep:HPPN120_04100
ko:K02433	hep:HPPN120_04105
ko:K14224	hep:HPPN120_t08052
ko:K14221	hep:HPPN120_t08054
ko:K14237	hep:HPPN120_t08056
ko:K14224	hep:HPPN120_t08058
ko:K14229	hep:HPPN120_t08060
ko:K14237	hep:HPPN120_t08062
ko:K14220	hep:HPPN120_t08066
ko:K14219	hep:HPPN120_t08070
ko:K14233	hep:HPPN120_t08072
ko:K14232	hep:HPPN120_t08074
ko:K14219	hep:HPPN120_t08078
ko:K14230	hep:HPPN120_t08076
ko:K14230	hep:HPPN120_t08080
ko:K14223	hep:HPPN120_t08082
ko:K14225	hep:HPPN120_t08084
ko:K14228	hep:HPPN120_t08086
ko:K14222	hep:HPPN120_t08088
ko:K14233	hep:HPPN120_t08090
ko:K01985	hep:HPPN120_r08124
ko:K01985	hep:HPPN120_r08126
ko:K01980	hep:HPPN120_r08132
ko:K01980	hep:HPPN120_r08134
ko:K14228	hep:HPPN120_t08100
ko:K14227	hep:HPPN120_t08102
ko:K14218	hep:HPPN120_t08104
ko:K14233	hep:HPPN120_t08064
ko:K00652	hep:HPPN120_02955
ko:K07457	hep:HPPN120_02975
ko:K00939	hep:HPPN120_03055
ko:K01507	hep:HPPN120_03070
ko:K00674	hep:HPPN120_03100
ko:K06346	hep:HPPN120_07085
ko:K02067	hep:HPPN120_07155
ko:K02242	hep:HPPN120_07210
ko:K00616	hep:HPPN120_07325
ko:K06013	hep:HPPN120_05190
ko:K03279	hep:HPPN120_00820
ko:K07126	hep:HPPN120_00825
ko:K00058	hep:HPPN120_05105
ko:K02029	hep:HPPN120_05710
ko:K04655	hep:HPPN120_00215
ko:K04652	hep:HPPN120_04445
ko:K02014	hep:HPPN120_04515
ko:K07126	hep:HPPN120_03105
ko:K00626	hep:HPPN120_03270
ko:K13016	hep:HPPN120_03320
ko:K00567	hep:HPPN120_03330
ko:K04763	hep:HPPN120_03335
ko:K01156	hep:HPPN120_07465
ko:K07316	hep:HPPN120_07470
ko:K00971	hep:HPPN120_00200
ko:K03469	hep:HPPN120_03400
ko:K01885	hep:HPPN120_03500
ko:K01424	hep:HPPN120_03560
ko:K00769	hep:HPPN120_03625
ko:K02342	hep:HPPN120_07745
ko:K14048	hep:HPPN120_00365
ko:K03406	hep:HPPN120_00405
ko:K03406	hep:HPPN120_00505
ko:K03406	hep:HPPN120_00535
ko:K01119	hep:HPPN120_00540
ko:K03743	hep:HPPN120_04690
ko:K06179	hep:HPPN120_04710
ko:K01585	hep:HPPN120_04980
ko:K14235	hep:HPPN120_t08108
ko:K11028	hep:HPPN120_04380
ko:K15847	hep:HPPN120_04425
ko:K12086	hep:HPPN120_02525
ko:K12088	hep:HPPN120_02530
ko:K12089	hep:HPPN120_02535
ko:K12092	hep:HPPN120_02565
ko:K12093	hep:HPPN120_02570
ko:K12094	hep:HPPN120_02575
ko:K12095	hep:HPPN120_02580
ko:K12096	hep:HPPN120_02585
ko:K12097	hep:HPPN120_02590
ko:K12098	hep:HPPN120_02595
ko:K12099	hep:HPPN120_02610
ko:K12101	hep:HPPN120_02620
ko:K15842	hep:HPPN120_02680
ko:K12102	hep:HPPN120_02625
ko:K12103	hep:HPPN120_02630
ko:K12104	hep:HPPN120_02635
ko:K12105	hep:HPPN120_02640
ko:K12106	hep:HPPN120_02645
ko:K12107	hep:HPPN120_02650
ko:K12109	hep:HPPN120_02665
ko:K12110	hep:HPPN120_02670
ko:K15848	hep:HPPN120_03570
ko:K15843	hep:HPPN120_04500
ko:K15844	hep:HPPN120_04505
ko:K03196	hep:HPPN120_06925
ko:K12091	hep:HPPN120_02555
ko:K15845	hep:HPPN120_00035
ko:K10009	hep:HPPN120_04625
ko:K00970	hep:HPPN120_03510
ko:K03321	hep:HPPN120_01160
ko:K01426	hep:HPPN120_01495
ko:K12371	hep:HPPN120_01530
ko:K12369	hep:HPPN120_01520
ko:K07316	hep:HPPN120_06750
ko:K02424	hep:HPPN120_04630
ko:K07318	hep:HPPN120_05915
ko:K03559	hep:HPPN120_05490
ko:K03559	hep:HPPN120_07060
ko:K09477	hep:HPPN120_00735
ko:K12049	hep:HPPN120_00190
ko:K12977	hep:HPPN120_00105
ko:K12048	hep:HPPN120_00195
ko:K12052	hep:HPPN120_00180
ko:K12050	hep:HPPN120_00185
ko:K03191	hep:HPPN120_00350
ko:K13797	hep:HPPN120_05855
ko:K15895	hep:HPPN120_05270
ko:K15896	hep:HPPN120_01665
ko:K02003	hep:HPPN120_00910
ko:K11782	hep:HPPN120_03850
ko:K01738	hep:HPPN120_00555
ko:K01760	hep:HPPN120_00550
ko:K01992	hep:HPPN120_03020
ko:K01990	hep:HPPN120_05965
ko:K17103	hep:HPPN120_01905
ko:K03559	hep:HPPN120_06585
ko:K02484	hep:HPPN120_06710
ko:K02484	hep:HPPN120_00840
ko:K02847	hep:HPPN120_02075
ko:K01992	hep:HPPN120_07285
ko:K12053	hep:HPPN120_00085
ko:K17686	hep:HPPN120_07375
ko:K17686	hep:HPPN120_01900
ko:K01155	hep:HPPN120_01325
ko:K07318	hep:HPPN120_07345
ko:K05540	hep:HPPN120_03580
ko:K01658	hep:HPPN120_06300
ko:K11928	hep:HPPN120_00255
ko:K12574	hep:HPPN120_06960
ko:K01156	hep:HPPN120_06820
ko:K00290	hep:HPPN120_07395
ko:K01497	hep:HPPN120_03960
ko:K00254	hep:HPPN120_02215
ko:K06148	hep:HPPN120_05905
ko:K05922	hep:HPPN120_03125
ko:K05927	hep:HPPN120_03120
ko:K07812	hep:HPPN120_05055
ko:K03605	hep:HPPN120_03135
ko:K05366	hep:HPPN120_02950
ko:K01153	hep:HPPN120_07555
ko:K07454	hep:HPPN120_00525
ko:K03601	hep:HPPN120_04860
ko:K11784	hep:HPPN120_03430
ko:K11785	hep:HPPN120_00785
ko:K18284	hep:HPPN120_00450
ko:K18285	hep:HPPN120_03440
ko:K08068	hep:HPPN120_04180
ko:K16235	hep:HPPN120_02180
ko:K18480	hep:HPPN120_07150
ko:K00681	hep:HPPN120_05435
ko:K07316	hep:HPPN120_06815
ko:K18930	hep:HPPN120_05975
ko:K03497	hep:HPPN120_05535
ko:K03496	hep:HPPN120_05540
ko:K03111	hep:HPPN120_06115
ko:K03196	hep:HPPN120_02550
ko:K03761	hep:HPPN120_01810
ko:K00335	hep:HPPN120_06220
ko:K02483	hep:HPPN120_00845
ko:K03526	hep:HPPN120_03095
ko:K00571	hep:HPPN120_00470
ko:K02483	hep:HPPN120_06715
ko:K03296	hep:HPPN120_03005
ko:K07448	hep:HPPN120_01875
ko:K19157	hep:HPPN120_08204
ko:K19157	hep:HPPN120_04410
ko:K00571	hep:HPPN120_00230
ko:K00571	hep:HPPN120_01330
ko:K00571	hep:HPPN120_06725
ko:K00525	hep:HPPN120_03315
ko:K07317	hep:HPPN120_04485
ko:K04771	hep:HPPN120_02175
ko:K00336	hep:HPPN120_06225
ko:K01992	hep:HPPN120_07280
ko:K07496	hep:HPPN120_04835
ko:K19416	hep:HPPN120_04530
ko:K02483	hep:HPPN120_02055
ko:K20151	hep:HPPN120_03460
ko:K20810	hep:HPPN120_01350
ko:K20151	hep:HPPN120_05205
ko:K12052	hep:HPPN120_07630
ko:K07100	hep:HPPN120_05945
ko:K02335	hep:HPPN120_07190
ko:K02335	hep:HPPN120_02160
ko:K00558	hep:HPPN120_05450
ko:K06223	hep:HPPN120_02325
ko:K00558	hep:HPPN120_02335
ko:K02314	hep:HPPN120_06700
ko:K06223	hep:HPPN120_06740
ko:K06223	hep:HPPN120_07350
ko:K03465	hep:HPPN120_07520
ko:K00558	hep:HPPN120_07775
ko:K01520	hep:HPPN120_04275
ko:K02316	hep:HPPN120_00055
ko:K00558	hep:HPPN120_00235
ko:K03553	hep:HPPN120_00790
ko:K00526	hep:HPPN120_05275
ko:K02481	hep:HPPN120_03200
ko:K01139	hep:HPPN120_03835
ko:K07097	hep:HPPN120_02060
ko:K10026	hep:HPPN120_04595
ko:K21929	hep:HPPN120_03465
ko:K03595	hep:HPPN120_02505
ko:K09022	hep:HPPN120_04650
ko:K22278	hep:HPPN120_01575
ko:K14441	hep:HPPN120_03620
ko:K22391	hep:HPPN120_04725
ko:K17758	hep:HPPN120_06705
ko:K17759	hep:HPPN120_06705
ko:K00590	hep:HPPN120_00530
ko:K00590	hep:HPPN120_06730
ko:K00571	hep:HPPN120_06655
ko:K01007	hep:HPPN120_00620
