ko:K01699	lmob:BN419_1350
ko:K03589	lmob:BN419_2452
ko:K02563	lmob:BN419_2453
ko:K01925	lmob:BN419_2454
ko:K01000	lmob:BN419_2455
ko:K01928	lmob:BN419_2456
ko:K02768	lmob:BN419_2769
ko:K02769	lmob:BN419_2769
ko:K02770	lmob:BN419_2769
ko:K00299	lmob:BN419_2786
ko:K01421	lmob:BN419_2796
ko:K01421	lmob:BN419_2797
ko:K02761	lmob:BN419_0037
ko:K13252	lmob:BN419_0039
ko:K10536	lmob:BN419_0041
ko:K00926	lmob:BN419_0042
ko:K10536	lmob:BN419_0043
ko:K03481	lmob:BN419_0044
ko:K03975	lmob:BN419_0045
ko:K02990	lmob:BN419_0047
ko:K02963	lmob:BN419_0049
ko:K07813	lmob:BN419_0051
ko:K07707	lmob:BN419_0055
ko:K02939	lmob:BN419_0057
ko:K01939	lmob:BN419_0059
ko:K03466	lmob:BN419_0070
ko:K03324	lmob:BN419_0976
ko:K03737	lmob:BN419_0980
ko:K04041	lmob:BN419_0985
ko:K07088	lmob:BN419_0986
ko:K13256	lmob:BN419_0991
ko:K01921	lmob:BN419_1027
ko:K00620	lmob:BN419_1865
ko:K00145	lmob:BN419_1866
ko:K03151	lmob:BN419_1867
ko:K04487	lmob:BN419_1868
ko:K02986	lmob:BN419_1871
ko:K01866	lmob:BN419_1872
ko:K02529	lmob:BN419_1878
ko:K13853	lmob:BN419_1879
ko:K01924	lmob:BN419_1888
ko:K06878	lmob:BN419_1895
ko:K03439	lmob:BN419_1903
ko:K00824	lmob:BN419_1908
ko:K01695	lmob:BN419_1918
ko:K01696	lmob:BN419_1919
ko:K07443	lmob:BN419_0666
ko:K06901	lmob:BN419_0669
ko:K06999	lmob:BN419_0679
ko:K06969	lmob:BN419_0680
ko:K03070	lmob:BN419_0683
ko:K01669	lmob:BN419_0692
ko:K00641	lmob:BN419_0698
ko:K01740	lmob:BN419_0699
ko:K03523	lmob:BN419_0702
ko:K01118	lmob:BN419_0716
ko:K01126	lmob:BN419_0721
ko:K03631	lmob:BN419_1601
ko:K00382	lmob:BN419_1604
ko:K09699	lmob:BN419_1612
ko:K03217	lmob:BN419_1619
ko:K01512	lmob:BN419_1621
ko:K07146	lmob:BN419_1625
ko:K03466	lmob:BN419_1627
ko:K00286	lmob:BN419_1628
ko:K07335	lmob:BN419_1629
ko:K02057	lmob:BN419_1631
ko:K02057	lmob:BN419_1632
ko:K00995	lmob:BN419_1637
ko:K03823	lmob:BN419_1641
ko:K09769	lmob:BN419_1642
ko:K03555	lmob:BN419_1644
ko:K03572	lmob:BN419_1645
ko:K00656	lmob:BN419_1647
ko:K04069	lmob:BN419_1648
ko:K07727	lmob:BN419_1653
ko:K03438	lmob:BN419_2459
ko:K03925	lmob:BN419_2460
ko:K02911	lmob:BN419_2465
ko:K07040	lmob:BN419_2466
ko:K00954	lmob:BN419_2473
ko:K02259	lmob:BN419_2480
ko:K10716	lmob:BN419_2482
ko:K14166	lmob:BN419_2485
ko:K04077	lmob:BN419_2491
ko:K04078	lmob:BN419_2492
ko:K06158	lmob:BN419_2496
ko:K03789	lmob:BN419_2499
ko:K06925	lmob:BN419_2501
ko:K06199	lmob:BN419_2505
ko:K03092	lmob:BN419_2923
ko:K01273	lmob:BN419_2925
ko:K01358	lmob:BN419_2932
ko:K06958	lmob:BN419_2941
ko:K00384	lmob:BN419_2946
ko:K06019	lmob:BN419_2949
ko:K13292	lmob:BN419_2950
ko:K08972	lmob:BN419_2952
ko:K03701	lmob:BN419_2956
ko:K03702	lmob:BN419_2957
ko:K07023	lmob:BN419_2959
ko:K02039	lmob:BN419_2962
ko:K02036	lmob:BN419_2963
ko:K02038	lmob:BN419_2966
ko:K02037	lmob:BN419_2967
ko:K02040	lmob:BN419_2968
ko:K07636	lmob:BN419_2969
ko:K06131	lmob:BN419_2972
ko:K00943	lmob:BN419_3196
ko:K05878	lmob:BN419_3198
ko:K06187	lmob:BN419_3210
ko:K09747	lmob:BN419_3211
ko:K02343	lmob:BN419_3212
ko:K02343	lmob:BN419_3214
ko:K00426	lmob:BN419_3229
ko:K00425	lmob:BN419_3230
ko:K01895	lmob:BN419_3235
ko:K02768	lmob:BN419_3252
ko:K02769	lmob:BN419_3252
ko:K02770	lmob:BN419_3252
ko:K10778	lmob:BN419_0080
ko:K02110	lmob:BN419_0092
ko:K02113	lmob:BN419_0093
ko:K02111	lmob:BN419_0094
ko:K02115	lmob:BN419_0095
ko:K02112	lmob:BN419_0096
ko:K02114	lmob:BN419_0097
ko:K01929	lmob:BN419_1029
ko:K02529	lmob:BN419_1032
ko:K05592	lmob:BN419_1044
ko:K02759	lmob:BN419_1054
ko:K02760	lmob:BN419_1055
ko:K02761	lmob:BN419_1057
ko:K00231	lmob:BN419_1071
ko:K01775	lmob:BN419_1075
ko:K07723	lmob:BN419_1076
ko:K01817	lmob:BN419_1920
ko:K01609	lmob:BN419_1921
ko:K00766	lmob:BN419_1922
ko:K01657	lmob:BN419_1924
ko:K04072	lmob:BN419_1925
ko:K01246	lmob:BN419_1930
ko:K01681	lmob:BN419_1932
ko:K03547	lmob:BN419_1945
ko:K00655	lmob:BN419_1946
ko:K02357	lmob:BN419_1960
ko:K02967	lmob:BN419_1961
ko:K01869	lmob:BN419_1962
ko:K07139	lmob:BN419_1965
ko:K01953	lmob:BN419_1968
ko:K00789	lmob:BN419_1970
ko:K01448	lmob:BN419_0137
ko:K06975	lmob:BN419_0147
ko:K02034	lmob:BN419_0150
ko:K09817	lmob:BN419_0162
ko:K09816	lmob:BN419_0165
ko:K02341	lmob:BN419_0172
ko:K07461	lmob:BN419_0176
ko:K07056	lmob:BN419_0177
ko:K06284	lmob:BN419_0178
ko:K05340	lmob:BN419_0179
ko:K01874	lmob:BN419_0188
ko:K03321	lmob:BN419_1086
ko:K06959	lmob:BN419_1087
ko:K02761	lmob:BN419_1094
ko:K02760	lmob:BN419_1114
ko:K02761	lmob:BN419_1116
ko:K02759	lmob:BN419_1117
ko:K01223	lmob:BN419_1118
ko:K07089	lmob:BN419_1123
ko:K03652	lmob:BN419_1130
ko:K03800	lmob:BN419_1135
ko:K03216	lmob:BN419_1140
ko:K08998	lmob:BN419_1978
ko:K01911	lmob:BN419_1981
ko:K01661	lmob:BN419_1982
ko:K02551	lmob:BN419_1985
ko:K02548	lmob:BN419_1989
ko:K00549	lmob:BN419_1994
ko:K01845	lmob:BN419_2022
ko:K10780	lmob:BN419_2025
ko:K11203	lmob:BN419_0737
ko:K11202	lmob:BN419_0738
ko:K01534	lmob:BN419_0747
ko:K03284	lmob:BN419_0754
ko:K01421	lmob:BN419_0756
ko:K08976	lmob:BN419_0762
ko:K00868	lmob:BN419_0769
ko:K02420	lmob:BN419_0788
ko:K02421	lmob:BN419_0789
ko:K00075	lmob:BN419_1662
ko:K05847	lmob:BN419_1664
ko:K03322	lmob:BN419_1667
ko:K05846	lmob:BN419_1668
ko:K05845	lmob:BN419_1669
ko:K05846	lmob:BN419_1670
ko:K01714	lmob:BN419_1679
ko:K00928	lmob:BN419_1680
ko:K00133	lmob:BN419_1681
ko:K04564	lmob:BN419_1683
ko:K09816	lmob:BN419_1690
ko:K01151	lmob:BN419_1697
ko:K03527	lmob:BN419_1699
ko:K06967	lmob:BN419_1701
ko:K03086	lmob:BN419_1702
ko:K09768	lmob:BN419_1705
ko:K09773	lmob:BN419_1706
ko:K01755	lmob:BN419_2520
ko:K02774	lmob:BN419_2527
ko:K02773	lmob:BN419_2528
ko:K06215	lmob:BN419_2533
ko:K08681	lmob:BN419_2534
ko:K04758	lmob:BN419_2537
ko:K04759	lmob:BN419_2538
ko:K01443	lmob:BN419_2543
ko:K01809	lmob:BN419_2545
ko:K01809	lmob:BN419_2546
ko:K02003	lmob:BN419_2551
ko:K03431	lmob:BN419_2555
ko:K15772	lmob:BN419_2561
ko:K15771	lmob:BN419_2563
ko:K14221	lmob:BN419_1097
ko:K16960	lmob:BN419_2781
ko:K16959	lmob:BN419_2782
ko:K16958	lmob:BN419_2783
ko:K16957	lmob:BN419_2784
ko:K10027	lmob:BN419_1212
ko:K11070	lmob:BN419_0949
ko:K01977	lmob:BN419_2820
ko:K01977	lmob:BN419_3082
ko:K01977	lmob:BN419_2019
ko:K01977	lmob:BN419_2136
ko:K14218	lmob:BN419_0257
ko:K14228	lmob:BN419_0252
ko:K01992	lmob:BN419_2681
ko:K14232	lmob:BN419_0256
ko:K01977	lmob:BN419_0258
ko:K01977	lmob:BN419_0246
ko:K01990	lmob:BN419_2682
ko:K02029	lmob:BN419_1016
ko:K02030	lmob:BN419_1016
ko:K02029	lmob:BN419_2706
ko:K02030	lmob:BN419_2706
ko:K17319	lmob:BN419_2414
ko:K17318	lmob:BN419_2412
ko:K14219	lmob:BN419_2056
ko:K14229	lmob:BN419_0251
ko:K14229	lmob:BN419_2574
ko:K01580	lmob:BN419_2892
ko:K03488	lmob:BN419_2894
ko:K07032	lmob:BN419_2895
ko:K02242	lmob:BN419_2983
ko:K02240	lmob:BN419_2984
ko:K07692	lmob:BN419_2986
ko:K02851	lmob:BN419_2991
ko:K02549	lmob:BN419_2992
ko:K03491	lmob:BN419_3316
ko:K02755	lmob:BN419_3319
ko:K02756	lmob:BN419_3319
ko:K02757	lmob:BN419_3319
ko:K03488	lmob:BN419_3320
ko:K02798	lmob:BN419_3329
ko:K02799	lmob:BN419_3333
ko:K02800	lmob:BN419_3333
ko:K02799	lmob:BN419_3334
ko:K02800	lmob:BN419_3334
ko:K01788	lmob:BN419_3337
ko:K11617	lmob:BN419_1235
ko:K11618	lmob:BN419_1236
ko:K03499	lmob:BN419_1237
ko:K02755	lmob:BN419_1249
ko:K02756	lmob:BN419_1249
ko:K02757	lmob:BN419_1249
ko:K02017	lmob:BN419_1253
ko:K03635	lmob:BN419_1258
ko:K02004	lmob:BN419_2098
ko:K02433	lmob:BN419_2107
ko:K07094	lmob:BN419_2115
ko:K08969	lmob:BN419_0334
ko:K08969	lmob:BN419_0335
ko:K07668	lmob:BN419_0336
ko:K07652	lmob:BN419_0339
ko:K03491	lmob:BN419_0349
ko:K02004	lmob:BN419_1277
ko:K01092	lmob:BN419_1281
ko:K01958	lmob:BN419_1287
ko:K09693	lmob:BN419_1290
ko:K01916	lmob:BN419_1310
ko:K01104	lmob:BN419_2163
ko:K09787	lmob:BN419_2165
ko:K00059	lmob:BN419_2171
ko:K07030	lmob:BN419_2182
ko:K00949	lmob:BN419_2185
ko:K00882	lmob:BN419_2770
ko:K03436	lmob:BN419_2771
ko:K01372	lmob:BN419_2772
ko:K16329	lmob:BN419_2774
ko:K02564	lmob:BN419_2794
ko:K02755	lmob:BN419_0859
ko:K02756	lmob:BN419_0859
ko:K02757	lmob:BN419_0859
ko:K07729	lmob:BN419_0871
ko:K07098	lmob:BN419_0888
ko:K09704	lmob:BN419_0890
ko:K02025	lmob:BN419_0893
ko:K02795	lmob:BN419_0910
ko:K02004	lmob:BN419_1764
ko:K00016	lmob:BN419_1793
ko:K04518	lmob:BN419_1795
ko:K07584	lmob:BN419_1800
ko:K02236	lmob:BN419_1810
ko:K06198	lmob:BN419_2643
ko:K16509	lmob:BN419_2645
ko:K10823	lmob:BN419_2646
ko:K15583	lmob:BN419_2647
ko:K15582	lmob:BN419_2648
ko:K01834	lmob:BN419_2659
ko:K06976	lmob:BN419_2663
ko:K01990	lmob:BN419_2669
ko:K07533	lmob:BN419_2674
ko:K03698	lmob:BN419_2675
ko:K01679	lmob:BN419_2680
ko:K14220	lmob:BN419_2815
ko:K14220	lmob:BN419_3077
ko:K14220	lmob:BN419_1998
ko:K14228	lmob:BN419_2802
ko:K01470	lmob:BN419_3140
ko:K07048	lmob:BN419_3141
ko:K03475	lmob:BN419_3142
ko:K02822	lmob:BN419_3143
ko:K02775	lmob:BN419_3161
ko:K02793	lmob:BN419_0912
ko:K03976	lmob:BN419_0921
ko:K03316	lmob:BN419_0941
ko:K11072	lmob:BN419_0946
ko:K11071	lmob:BN419_0947
ko:K11069	lmob:BN419_0950
ko:K01674	lmob:BN419_0952
ko:K02371	lmob:BN419_0956
ko:K01719	lmob:BN419_1815
ko:K11144	lmob:BN419_1822
ko:K11144	lmob:BN419_1823
ko:K10563	lmob:BN419_1828
ko:K01507	lmob:BN419_0390
ko:K00616	lmob:BN419_0395
ko:K00244	lmob:BN419_0408
ko:K06889	lmob:BN419_1324
ko:K13921	lmob:BN419_1366
ko:K04720	lmob:BN419_1370
ko:K02823	lmob:BN419_2207
ko:K02824	lmob:BN419_2215
ko:K07213	lmob:BN419_2230
ko:K03784	lmob:BN419_2235
ko:K03810	lmob:BN419_2237
ko:K07305	lmob:BN419_2238
ko:K07304	lmob:BN419_2240
ko:K02028	lmob:BN419_2091
ko:K16787	lmob:BN419_3093
ko:K16786	lmob:BN419_3094
ko:K01426	lmob:BN419_3096
ko:K00939	lmob:BN419_3104
ko:K05350	lmob:BN419_0431
ko:K00805	lmob:BN419_3133
ko:K00805	lmob:BN419_3134
ko:K16012	lmob:BN419_3226
ko:K16013	lmob:BN419_3227
ko:K04750	lmob:BN419_3239
ko:K01191	lmob:BN419_3253
ko:K01191	lmob:BN419_3254
ko:K00058	lmob:BN419_3369
ko:K04844	lmob:BN419_3377
ko:K02025	lmob:BN419_3385
ko:K01629	lmob:BN419_3397
ko:K01813	lmob:BN419_3398
ko:K06610	lmob:BN419_3401
ko:K06346	lmob:BN419_3404
ko:K15524	lmob:BN419_0464
ko:K01759	lmob:BN419_0472
ko:K07729	lmob:BN419_0483
ko:K03399	lmob:BN419_1400
ko:K02190	lmob:BN419_1409
ko:K02009	lmob:BN419_1412
ko:K01006	lmob:BN419_2249
ko:K03469	lmob:BN419_2263
ko:K03700	lmob:BN419_2275
ko:K02086	lmob:BN419_2279
ko:K00974	lmob:BN419_2289
ko:K00027	lmob:BN419_2299
ko:K05937	lmob:BN419_0449
ko:K13923	lmob:BN419_1358
ko:K01990	lmob:BN419_0863
ko:K01990	lmob:BN419_2583
ko:K10254	lmob:BN419_0553
ko:K02775	lmob:BN419_0587
ko:K01222	lmob:BN419_0603
ko:K03713	lmob:BN419_1528
ko:K09976	lmob:BN419_1536
ko:K01515	lmob:BN419_2358
ko:K07048	lmob:BN419_2363
ko:K03475	lmob:BN419_2364
ko:K02822	lmob:BN419_2365
ko:K02821	lmob:BN419_2366
ko:K00784	lmob:BN419_2371
ko:K01619	lmob:BN419_2398
ko:K02793	lmob:BN419_2401
ko:K00657	lmob:BN419_0010
ko:K00869	lmob:BN419_0011
ko:K01597	lmob:BN419_0012
ko:K00938	lmob:BN419_0013
ko:K02793	lmob:BN419_0024
ko:K02795	lmob:BN419_0026
ko:K06201	lmob:BN419_0029
ko:K02755	lmob:BN419_0030
ko:K02756	lmob:BN419_0030
ko:K02757	lmob:BN419_0030
ko:K01478	lmob:BN419_0046
ko:K07706	lmob:BN419_0054
ko:K00054	lmob:BN419_0975
ko:K06147	lmob:BN419_0992
ko:K07784	lmob:BN419_0993
ko:K01537	lmob:BN419_1001
ko:K01426	lmob:BN419_1019
ko:K06286	lmob:BN419_1869
ko:K01439	lmob:BN419_1909
ko:K03574	lmob:BN419_1910
ko:K01990	lmob:BN419_2064
ko:K02793	lmob:BN419_0100
ko:K02794	lmob:BN419_0100
ko:K02795	lmob:BN419_0101
ko:K06147	lmob:BN419_0112
ko:K06147	lmob:BN419_0113
ko:K01226	lmob:BN419_1039
ko:K09167	lmob:BN419_1068
ko:K08981	lmob:BN419_1069
ko:K07315	lmob:BN419_1081
ko:K03090	lmob:BN419_1084
ko:K02004	lmob:BN419_1437
ko:K06994	lmob:BN419_1439
ko:K03471	lmob:BN419_1443
ko:K02428	lmob:BN419_1457
ko:K04750	lmob:BN419_1462
ko:K03486	lmob:BN419_1478
ko:K01226	lmob:BN419_1480
ko:K04517	lmob:BN419_2311
ko:K00805	lmob:BN419_2322
ko:K01104	lmob:BN419_2325
ko:K01424	lmob:BN419_2330
ko:K05337	lmob:BN419_2334
ko:K03783	lmob:BN419_2345
ko:K04763	lmob:BN419_2347
ko:K03711	lmob:BN419_2348
ko:K14228	lmob:BN419_2508
ko:K01222	lmob:BN419_0621
ko:K01635	lmob:BN419_0626
ko:K02782	lmob:BN419_0630
ko:K02783	lmob:BN419_0630
ko:K02783	lmob:BN419_0631
ko:K07404	lmob:BN419_0649
ko:K01523	lmob:BN419_0652
ko:K01496	lmob:BN419_0653
ko:K09764	lmob:BN419_1558
ko:K03177	lmob:BN419_1560
ko:K01934	lmob:BN419_1569
ko:K00845	lmob:BN419_1572
ko:K02249	lmob:BN419_1574
ko:K02248	lmob:BN419_1575
ko:K02246	lmob:BN419_1577
ko:K02245	lmob:BN419_1578
ko:K02244	lmob:BN419_1579
ko:K02243	lmob:BN419_1580
ko:K01262	lmob:BN419_1587
ko:K07720	lmob:BN419_2415
ko:K09704	lmob:BN419_2419
ko:K01191	lmob:BN419_2420
ko:K01191	lmob:BN419_2424
ko:K07105	lmob:BN419_2435
ko:K08724	lmob:BN419_2457
ko:K03492	lmob:BN419_0673
ko:K07030	lmob:BN419_0694
ko:K10947	lmob:BN419_0703
ko:K06147	lmob:BN419_0711
ko:K06147	lmob:BN419_0713
ko:K00929	lmob:BN419_1603
ko:K00033	lmob:BN419_1616
ko:K01823	lmob:BN419_1623
ko:K02056	lmob:BN419_1630
ko:K00059	lmob:BN419_1635
ko:K02443	lmob:BN419_1646
ko:K00626	lmob:BN419_1656
ko:K08152	lmob:BN419_2461
ko:K07177	lmob:BN419_2472
ko:K07052	lmob:BN419_2493
ko:K06889	lmob:BN419_2497
ko:K01409	lmob:BN419_2498
ko:K03574	lmob:BN419_2823
ko:K07570	lmob:BN419_2824
ko:K02004	lmob:BN419_2826
ko:K03768	lmob:BN419_2831
ko:K05565	lmob:BN419_2834
ko:K05568	lmob:BN419_2838
ko:K05570	lmob:BN419_2840
ko:K00657	lmob:BN419_2855
ko:K04488	lmob:BN419_2865
ko:K05518	lmob:BN419_1085
ko:K07025	lmob:BN419_0740
ko:K03294	lmob:BN419_0751
ko:K07104	lmob:BN419_0752
ko:K07457	lmob:BN419_0764
ko:K01641	lmob:BN419_1657
ko:K06902	lmob:BN419_1659
ko:K05845	lmob:BN419_1665
ko:K05846	lmob:BN419_1665
ko:K16789	lmob:BN419_1673
ko:K00383	lmob:BN419_1677
ko:K07533	lmob:BN419_1688
ko:K02076	lmob:BN419_1689
ko:K15986	lmob:BN419_1696
ko:K05020	lmob:BN419_2521
ko:K00882	lmob:BN419_2524
ko:K02775	lmob:BN419_2526
ko:K00625	lmob:BN419_2535
ko:K02004	lmob:BN419_2552
ko:K00691	lmob:BN419_2558
ko:K15770	lmob:BN419_2564
ko:K07052	lmob:BN419_2566
ko:K06889	lmob:BN419_2718
ko:K16899	lmob:BN419_2724
ko:K07027	lmob:BN419_3033
ko:K03048	lmob:BN419_3042
ko:K02004	lmob:BN419_3066
ko:K03593	lmob:BN419_3083
ko:K14220	lmob:BN419_1090
ko:K00575	lmob:BN419_0796
ko:K10947	lmob:BN419_0838
ko:K03406	lmob:BN419_0843
ko:K03406	lmob:BN419_0844
ko:K01489	lmob:BN419_1714
ko:K02238	lmob:BN419_1738
ko:K06948	lmob:BN419_1748
ko:K01243	lmob:BN419_1751
ko:K07035	lmob:BN419_2589
ko:K01759	lmob:BN419_2618
ko:K01026	lmob:BN419_2623
ko:K06994	lmob:BN419_2926
ko:K09762	lmob:BN419_2939
ko:K01835	lmob:BN419_2942
ko:K01785	lmob:BN419_2944
ko:K01784	lmob:BN419_2945
ko:K06023	lmob:BN419_2951
ko:K07658	lmob:BN419_2970
ko:K03699	lmob:BN419_3259
ko:K08161	lmob:BN419_3262
ko:K07343	lmob:BN419_3268
ko:K03342	lmob:BN419_3274
ko:K07258	lmob:BN419_3278
ko:K00088	lmob:BN419_3283
ko:K02755	lmob:BN419_3302
ko:K02756	lmob:BN419_3302
ko:K02757	lmob:BN419_3302
ko:K03488	lmob:BN419_3303
ko:K01081	lmob:BN419_0141
ko:K00088	lmob:BN419_0146
ko:K02035	lmob:BN419_0148
ko:K02033	lmob:BN419_0149
ko:K03095	lmob:BN419_1089
ko:K03492	lmob:BN419_1095
ko:K00383	lmob:BN419_1101
ko:K00135	lmob:BN419_1112
ko:K03491	lmob:BN419_1119
ko:K00867	lmob:BN419_1125
ko:K01990	lmob:BN419_1126
ko:K00016	lmob:BN419_1975
ko:K09815	lmob:BN419_1979
ko:K08680	lmob:BN419_1984
ko:K02552	lmob:BN419_1988
ko:K01760	lmob:BN419_1992
ko:K09825	lmob:BN419_2020
ko:K07586	lmob:BN419_2024
ko:K02025	lmob:BN419_0191
ko:K01182	lmob:BN419_0197
ko:K03478	lmob:BN419_0204
ko:K09685	lmob:BN419_0205
ko:K02005	lmob:BN419_0206
ko:K02004	lmob:BN419_0209
ko:K01771	lmob:BN419_0215
ko:K11031	lmob:BN419_0216
ko:K00016	lmob:BN419_0226
ko:K02564	lmob:BN419_1164
ko:K02851	lmob:BN419_1166
ko:K07816	lmob:BN419_1174
ko:K02025	lmob:BN419_2075
ko:K09963	lmob:BN419_2057
ko:K03708	lmob:BN419_0261
ko:K09698	lmob:BN419_0269
ko:K00564	lmob:BN419_0292
ko:K01439	lmob:BN419_0304
ko:K00567	lmob:BN419_1208
ko:K03697	lmob:BN419_1209
ko:K07052	lmob:BN419_1210
ko:K11189	lmob:BN419_1214
ko:K08483	lmob:BN419_1215
ko:K00841	lmob:BN419_1218
ko:K05822	lmob:BN419_1223
ko:K01992	lmob:BN419_2584
ko:K01992	lmob:BN419_2356
ko:K01985	lmob:BN419_2017
ko:K01985	lmob:BN419_2816
ko:K01985	lmob:BN419_2134
ko:K01985	lmob:BN419_3078
ko:K01980	lmob:BN419_0247
ko:K01980	lmob:BN419_0259
ko:K02028	lmob:BN419_2708
ko:K17320	lmob:BN419_2413
ko:K08986	lmob:BN419_1124
ko:K00951	lmob:BN419_1781
ko:K00265	lmob:BN419_2081
ko:K00265	lmob:BN419_2082
ko:K01992	lmob:BN419_2668
ko:K01980	lmob:BN419_3079
ko:K01980	lmob:BN419_2018
ko:K01980	lmob:BN419_2817
ko:K01980	lmob:BN419_2135
ko:K09692	lmob:BN419_1289
ko:K17472	lmob:BN419_1773
ko:K01992	lmob:BN419_0777
ko:K01992	lmob:BN419_0882
ko:K01992	lmob:BN419_1190
ko:K01992	lmob:BN419_2695
ko:K14233	lmob:BN419_2814
ko:K10112	lmob:BN419_0322
ko:K14224	lmob:BN419_1096
ko:K14224	lmob:BN419_2813
ko:K14224	lmob:BN419_1996
ko:K14224	lmob:BN419_2570
ko:K14221	lmob:BN419_2003
ko:K14221	lmob:BN419_2810
ko:K14227	lmob:BN419_1999
ko:K14227	lmob:BN419_2819
ko:K14227	lmob:BN419_3081
ko:K14230	lmob:BN419_2004
ko:K14230	lmob:BN419_2811
ko:K14233	lmob:BN419_0744
ko:K14233	lmob:BN419_1091
ko:K14233	lmob:BN419_1997
ko:K14223	lmob:BN419_2805
ko:K14218	lmob:BN419_3080
ko:K14218	lmob:BN419_2818
ko:K14218	lmob:BN419_2008
ko:K17686	lmob:BN419_2232
ko:K01990	lmob:BN419_0776
ko:K01990	lmob:BN419_1189
ko:K01990	lmob:BN419_2357
ko:K01990	lmob:BN419_3299
ko:K17686	lmob:BN419_2231
ko:K14237	lmob:BN419_0249
ko:K14237	lmob:BN419_2016
ko:K14237	lmob:BN419_2812
ko:K14234	lmob:BN419_0250
ko:K14234	lmob:BN419_2015
ko:K14229	lmob:BN419_2014
ko:K14228	lmob:BN419_2013
ko:K14225	lmob:BN419_2012
ko:K14225	lmob:BN419_0253
ko:K14225	lmob:BN419_2804
ko:K14225	lmob:BN419_1138
ko:K14225	lmob:BN419_2000
ko:K14228	lmob:BN419_0254
ko:K14228	lmob:BN419_2011
ko:K14219	lmob:BN419_2010
ko:K14219	lmob:BN419_1459
ko:K14232	lmob:BN419_2009
ko:K14233	lmob:BN419_2005
ko:K14226	lmob:BN419_2001
ko:K14226	lmob:BN419_2806
ko:K14231	lmob:BN419_2002
ko:K14231	lmob:BN419_2809
ko:K14230	lmob:BN419_2006
ko:K14230	lmob:BN419_2007
ko:K14234	lmob:BN419_2571
ko:K14234	lmob:BN419_3076
ko:K14236	lmob:BN419_2572
ko:K14236	lmob:BN419_2808
ko:K14223	lmob:BN419_2573
ko:K14222	lmob:BN419_2803
ko:K14235	lmob:BN419_2807
ko:K14219	lmob:BN419_2930
ko:K14237	lmob:BN419_3391
ko:K14229	lmob:BN419_0084
ko:K07260	lmob:BN419_2234
ko:K01739	lmob:BN419_1993
ko:K01840	lmob:BN419_1043
ko:K02027	lmob:BN419_2074
ko:K17752	lmob:BN419_1080
ko:K02027	lmob:BN419_0193
ko:K01658	lmob:BN419_1923
ko:K02026	lmob:BN419_3384
ko:K02026	lmob:BN419_0894
ko:K02026	lmob:BN419_1037
ko:K02026	lmob:BN419_1038
ko:K02026	lmob:BN419_0192
ko:K02768	lmob:BN419_0411
ko:K02768	lmob:BN419_0460
ko:K02768	lmob:BN419_0495
ko:K02768	lmob:BN419_0736
ko:K02768	lmob:BN419_2581
ko:K17828	lmob:BN419_2206
ko:K02027	lmob:BN419_0895
ko:K02027	lmob:BN419_3386
ko:K12574	lmob:BN419_1241
ko:K12574	lmob:BN419_1678
ko:K17763	lmob:BN419_0171
ko:K17763	lmob:BN419_1078
ko:K02226	lmob:BN419_1346
ko:K07284	lmob:BN419_1131
ko:K00537	lmob:BN419_2883
ko:K00661	lmob:BN419_0773
ko:K01183	lmob:BN419_0109
ko:K04757	lmob:BN419_1083
ko:K17762	lmob:BN419_1079
ko:K17733	lmob:BN419_2733
ko:K02027	lmob:BN419_1033
ko:K01187	lmob:BN419_0196
ko:K02769	lmob:BN419_0496
ko:K02769	lmob:BN419_2580
ko:K07145	lmob:BN419_0559
ko:K18104	lmob:BN419_3267
ko:K02770	lmob:BN419_2579
ko:K01271	lmob:BN419_1851
ko:K01101	lmob:BN419_2856
ko:K01838	lmob:BN419_3375
ko:K02034	lmob:BN419_0151
ko:K02770	lmob:BN419_0497
ko:K02770	lmob:BN419_0462
ko:K13731	lmob:BN419_0511
ko:K05879	lmob:BN419_3202
ko:K13731	lmob:BN419_3038
ko:K13731	lmob:BN419_3039
ko:K13731	lmob:BN419_3040
ko:K03483	lmob:BN419_3146
ko:K22597	lmob:BN419_3387
ko:K22597	lmob:BN419_3388
ko:K22597	lmob:BN419_3389
ko:K02769	lmob:BN419_0461
ko:K02794	lmob:BN419_0911
ko:K02794	lmob:BN419_0025
ko:K22597	lmob:BN419_3255
ko:K00008	lmob:BN419_3159
ko:K00008	lmob:BN419_3160
ko:K00008	lmob:BN419_0585
ko:K00278	lmob:BN419_2439
ko:K00767	lmob:BN419_2441
ko:K03517	lmob:BN419_2442
ko:K06901	lmob:BN419_0668
ko:K01223	lmob:BN419_0670
ko:K01223	lmob:BN419_0671
ko:K06969	lmob:BN419_0681
ko:K01669	lmob:BN419_0691
ko:K00167	lmob:BN419_1610
ko:K09699	lmob:BN419_1613
ko:K01823	lmob:BN419_1624
ko:K02259	lmob:BN419_2481
ko:K05847	lmob:BN419_1671
ko:K05847	lmob:BN419_1672
ko:K09817	lmob:BN419_1692
ko:K15986	lmob:BN419_1694
ko:K15986	lmob:BN419_1695
ko:K01879	lmob:BN419_1707
ko:K02775	lmob:BN419_2525
ko:K06215	lmob:BN419_2532
ko:K00625	lmob:BN419_2536
ko:K15771	lmob:BN419_2562
ko:K02401	lmob:BN419_0791
ko:K02392	lmob:BN419_0794
ko:K03415	lmob:BN419_0802
ko:K02390	lmob:BN419_0811
ko:K02416	lmob:BN419_0815
ko:K02417	lmob:BN419_0818
