ko:K05934	lmy:LM5923_1225
ko:K09704	lmy:LM5923_0800
ko:K02026	lmy:LM5923_0802
ko:K02796	lmy:LM5923_0816
ko:K02795	lmy:LM5923_0817
ko:K02793	lmy:LM5923_0819
ko:K01118	lmy:LM5923_0821
ko:K03976	lmy:LM5923_0825
ko:K07150	lmy:LM5923_0828
ko:K07118	lmy:LM5923_0829
ko:K05786	lmy:LM5923_0830
ko:K03439	lmy:LM5923_1714
ko:K00824	lmy:LM5923_1718
ko:K01439	lmy:LM5923_1719
ko:K01695	lmy:LM5923_1726
ko:K01696	lmy:LM5923_1727
ko:K01817	lmy:LM5923_1728
ko:K01609	lmy:LM5923_1729
ko:K00766	lmy:LM5923_1730
ko:K01658	lmy:LM5923_1731
ko:K01657	lmy:LM5923_1732
ko:K01246	lmy:LM5923_1738
ko:K01681	lmy:LM5923_1740
ko:K03546	lmy:LM5923_1744
ko:K03547	lmy:LM5923_1745
ko:K00655	lmy:LM5923_1746
ko:K02357	lmy:LM5923_1756
ko:K02967	lmy:LM5923_1757
ko:K01869	lmy:LM5923_1759
ko:K07139	lmy:LM5923_1760
ko:K01953	lmy:LM5923_1762
ko:K00789	lmy:LM5923_1763
ko:K00016	lmy:LM5923_1766
ko:K01810	lmy:LM5923_2516
ko:K07570	lmy:LM5923_2518
ko:K02003	lmy:LM5923_2521
ko:K00928	lmy:LM5923_2523
ko:K03768	lmy:LM5923_2525
ko:K05566	lmy:LM5923_2528
ko:K05567	lmy:LM5923_2529
ko:K05568	lmy:LM5923_2530
ko:K05569	lmy:LM5923_2531
ko:K05570	lmy:LM5923_2532
ko:K05571	lmy:LM5923_2533
ko:K09775	lmy:LM5923_2535
ko:K03885	lmy:LM5923_2538
ko:K00657	lmy:LM5923_2548
ko:K02881	lmy:LM5923_0244
ko:K02988	lmy:LM5923_0245
ko:K02907	lmy:LM5923_0246
ko:K02876	lmy:LM5923_0247
ko:K03076	lmy:LM5923_0248
ko:K00939	lmy:LM5923_0249
ko:K02518	lmy:LM5923_0250
ko:K02919	lmy:LM5923_0251
ko:K02952	lmy:LM5923_0252
ko:K02948	lmy:LM5923_0253
ko:K03040	lmy:LM5923_0254
ko:K02879	lmy:LM5923_0255
ko:K07507	lmy:LM5923_0258
ko:K06173	lmy:LM5923_0262
ko:K02871	lmy:LM5923_0263
ko:K02996	lmy:LM5923_0264
ko:K03593	lmy:LM5923_0269
ko:K03696	lmy:LM5923_0273
ko:K04485	lmy:LM5923_0274
ko:K00991	lmy:LM5923_0276
ko:K01770	lmy:LM5923_0277
ko:K09698	lmy:LM5923_0278
ko:K00640	lmy:LM5923_0279
ko:K01883	lmy:LM5923_0280
ko:K11145	lmy:LM5923_0281
ko:K03218	lmy:LM5923_0282
ko:K06962	lmy:LM5923_0283
ko:K03091	lmy:LM5923_0284
ko:K03073	lmy:LM5923_0285
ko:K02601	lmy:LM5923_0286
ko:K02867	lmy:LM5923_0288
ko:K02863	lmy:LM5923_0289
ko:K02864	lmy:LM5923_0290
ko:K02935	lmy:LM5923_0291
ko:K04019	lmy:LM5923_1200
ko:K03735	lmy:LM5923_1201
ko:K03736	lmy:LM5923_1202
ko:K04026	lmy:LM5923_1203
ko:K04032	lmy:LM5923_1207
ko:K04023	lmy:LM5923_1212
ko:K04030	lmy:LM5923_1213
ko:K02227	lmy:LM5923_1218
ko:K06042	lmy:LM5923_1219
ko:K02188	lmy:LM5923_1220
ko:K03399	lmy:LM5923_1221
ko:K02191	lmy:LM5923_1222
ko:K05936	lmy:LM5923_1223
ko:K02189	lmy:LM5923_1224
ko:K05895	lmy:LM5923_1226
ko:K02190	lmy:LM5923_1228
ko:K02007	lmy:LM5923_1230
ko:K02008	lmy:LM5923_1232
ko:K02006	lmy:LM5923_1233
ko:K02232	lmy:LM5923_1234
ko:K09936	lmy:LM5923_1236
ko:K09936	lmy:LM5923_1237
ko:K03437	lmy:LM5923_1244
ko:K01889	lmy:LM5923_1247
ko:K01890	lmy:LM5923_1248
ko:K02003	lmy:LM5923_1249
ko:K06994	lmy:LM5923_1252
ko:K03648	lmy:LM5923_1253
ko:K03471	lmy:LM5923_1254
ko:K09888	lmy:LM5923_1255
ko:K11068	lmy:LM5923_2017
ko:K09773	lmy:LM5923_2019
ko:K01006	lmy:LM5923_2020
ko:K00563	lmy:LM5923_2025
ko:K00287	lmy:LM5923_2026
ko:K00560	lmy:LM5923_2027
ko:K01938	lmy:LM5923_2029
ko:K03704	lmy:LM5923_2031
ko:K03469	lmy:LM5923_2032
ko:K02954	lmy:LM5923_2034
ko:K03816	lmy:LM5923_2037
ko:K01299	lmy:LM5923_2038
ko:K07444	lmy:LM5923_2039
ko:K03700	lmy:LM5923_2043
ko:K05366	lmy:LM5923_2044
ko:K10773	lmy:LM5923_2046
ko:K02086	lmy:LM5923_2047
ko:K01893	lmy:LM5923_2048
ko:K00812	lmy:LM5923_2049
ko:K03722	lmy:LM5923_2051
ko:K01579	lmy:LM5923_2052
ko:K01918	lmy:LM5923_2053
ko:K00606	lmy:LM5923_2054
ko:K03524	lmy:LM5923_2056
ko:K01734	lmy:LM5923_2058
ko:K00027	lmy:LM5923_2067
ko:K00656	lmy:LM5923_2069
ko:K07007	lmy:LM5923_2070
ko:K03070	lmy:LM5923_0610
ko:K01669	lmy:LM5923_0615
ko:K07030	lmy:LM5923_0617
ko:K00641	lmy:LM5923_0621
ko:K01740	lmy:LM5923_0622
ko:K03523	lmy:LM5923_0625
ko:K01118	lmy:LM5923_0638
ko:K01126	lmy:LM5923_0643
ko:K07090	lmy:LM5923_0648
ko:K03086	lmy:LM5923_1548
ko:K02316	lmy:LM5923_1549
ko:K09768	lmy:LM5923_1550
ko:K09773	lmy:LM5923_1551
ko:K01879	lmy:LM5923_1552
ko:K01878	lmy:LM5923_1553
ko:K03584	lmy:LM5923_1554
ko:K03595	lmy:LM5923_1556
ko:K01489	lmy:LM5923_1557
ko:K07042	lmy:LM5923_1559
ko:K07037	lmy:LM5923_1560
ko:K06217	lmy:LM5923_1561
ko:K09117	lmy:LM5923_1562
ko:K02970	lmy:LM5923_1563
ko:K02401	lmy:LM5923_0713
ko:K02400	lmy:LM5923_0714
ko:K02404	lmy:LM5923_0715
ko:K02392	lmy:LM5923_0716
ko:K00575	lmy:LM5923_0717
ko:K03581	lmy:LM5923_1606
ko:K00566	lmy:LM5923_1609
ko:K04487	lmy:LM5923_1610
ko:K07478	lmy:LM5923_1611
ko:K03320	lmy:LM5923_1613
ko:K04751	lmy:LM5923_1614
ko:K01876	lmy:LM5923_1616
ko:K01892	lmy:LM5923_1617
ko:K01448	lmy:LM5923_1618
ko:K07560	lmy:LM5923_1619
ko:K00759	lmy:LM5923_1621
ko:K07462	lmy:LM5923_1622
ko:K12257	lmy:LM5923_1624
ko:K03210	lmy:LM5923_1626
ko:K00773	lmy:LM5923_1627
ko:K07568	lmy:LM5923_1628
ko:K03551	lmy:LM5923_1629
ko:K03550	lmy:LM5923_1630
ko:K03979	lmy:LM5923_1634
ko:K00864	lmy:LM5923_1635
ko:K02440	lmy:LM5923_1636
ko:K02899	lmy:LM5923_1637
ko:K07584	lmy:LM5923_1638
ko:K02888	lmy:LM5923_1639
ko:K08301	lmy:LM5923_1640
ko:K03609	lmy:LM5923_1641
ko:K03610	lmy:LM5923_1642
ko:K03571	lmy:LM5923_1643
ko:K03570	lmy:LM5923_1644
ko:K03569	lmy:LM5923_1645
ko:K03630	lmy:LM5923_1646
ko:K01873	lmy:LM5923_1650
ko:K01845	lmy:LM5923_1651
ko:K01698	lmy:LM5923_1652
ko:K01719	lmy:LM5923_1653
ko:K01749	lmy:LM5923_1654
ko:K02492	lmy:LM5923_1655
ko:K03978	lmy:LM5923_1656
ko:K01868	lmy:LM5923_1657
ko:K06901	lmy:LM5923_2408
ko:K05520	lmy:LM5923_2410
ko:K02759	lmy:LM5923_2412
ko:K06889	lmy:LM5923_2415
ko:K02250	lmy:LM5923_2423
ko:K03111	lmy:LM5923_2457
ko:K02963	lmy:LM5923_2919
ko:K03111	lmy:LM5923_2920
ko:K02990	lmy:LM5923_2921
ko:K01478	lmy:LM5923_2922
ko:K03975	lmy:LM5923_2923
ko:K10536	lmy:LM5923_2925
ko:K00926	lmy:LM5923_2926
ko:K10536	lmy:LM5923_2927
ko:K02761	lmy:LM5923_2931
ko:K02755	lmy:LM5923_2944
ko:K02756	lmy:LM5923_2944
ko:K02757	lmy:LM5923_2944
ko:K06201	lmy:LM5923_2945
ko:K02796	lmy:LM5923_2947
ko:K02795	lmy:LM5923_2948
ko:K02793	lmy:LM5923_2950
ko:K01223	lmy:LM5923_2953
ko:K07282	lmy:LM5923_2954
ko:K02829	lmy:LM5923_2955
ko:K02828	lmy:LM5923_2956
ko:K02826	lmy:LM5923_2958
ko:K00938	lmy:LM5923_2959
ko:K01597	lmy:LM5923_2960
ko:K00869	lmy:LM5923_2961
ko:K00657	lmy:LM5923_2963
ko:K06131	lmy:LM5923_2964
ko:K02469	lmy:LM5923_2965
ko:K02470	lmy:LM5923_2966
ko:K03629	lmy:LM5923_2967
ko:K02338	lmy:LM5923_2970
ko:K02313	lmy:LM5923_2971
ko:K02556	lmy:LM5923_0719
ko:K02557	lmy:LM5923_0720
ko:K03415	lmy:LM5923_0723
ko:K02406	lmy:LM5923_0724
ko:K03413	lmy:LM5923_0725
ko:K03407	lmy:LM5923_0726
ko:K02417	lmy:LM5923_0727
ko:K02389	lmy:LM5923_0730
ko:K02390	lmy:LM5923_0731
ko:K02417	lmy:LM5923_0732
ko:K02416	lmy:LM5923_0733
ko:K09761	lmy:LM5923_1564
ko:K02687	lmy:LM5923_1565
ko:K03686	lmy:LM5923_1566
ko:K04043	lmy:LM5923_1567
ko:K03687	lmy:LM5923_1568
ko:K03705	lmy:LM5923_1569
ko:K03596	lmy:LM5923_1573
ko:K02968	lmy:LM5923_1574
ko:K02340	lmy:LM5923_1575
ko:K02238	lmy:LM5923_1576
ko:K01493	lmy:LM5923_1577
ko:K02237	lmy:LM5923_1578
ko:K09710	lmy:LM5923_1580
ko:K00969	lmy:LM5923_1582
ko:K07574	lmy:LM5923_1583
ko:K00014	lmy:LM5923_1584
ko:K07015	lmy:LM5923_1586
ko:K01243	lmy:LM5923_1590
ko:K03624	lmy:LM5923_1592
ko:K00876	lmy:LM5923_1594
ko:K07082	lmy:LM5923_1596
ko:K07447	lmy:LM5923_1599
ko:K01872	lmy:LM5923_1601
ko:K02003	lmy:LM5923_1602
ko:K01867	lmy:LM5923_2352
ko:K09458	lmy:LM5923_2355
ko:K00648	lmy:LM5923_2356
ko:K01834	lmy:LM5923_2359
ko:K03695	lmy:LM5923_2360
ko:K06890	lmy:LM5923_2361
ko:K06976	lmy:LM5923_2363
ko:K01772	lmy:LM5923_2365
ko:K01599	lmy:LM5923_2366
ko:K07533	lmy:LM5923_2373
ko:K03698	lmy:LM5923_2374
ko:K01679	lmy:LM5923_2379
ko:K12555	lmy:LM5923_2383
ko:K00014	lmy:LM5923_2390
ko:K06180	lmy:LM5923_2398
ko:K07220	lmy:LM5923_2402
ko:K03306	lmy:LM5923_2403
ko:K02796	lmy:LM5923_2869
ko:K02795	lmy:LM5923_2870
ko:K02793	lmy:LM5923_2871
ko:K02794	lmy:LM5923_2871
ko:K02114	lmy:LM5923_2874
ko:K02112	lmy:LM5923_2875
ko:K02115	lmy:LM5923_2876
ko:K02111	lmy:LM5923_2877
ko:K02113	lmy:LM5923_2878
ko:K02110	lmy:LM5923_2879
ko:K03466	lmy:LM5923_2903
ko:K01939	lmy:LM5923_2909
ko:K02314	lmy:LM5923_2911
ko:K02939	lmy:LM5923_2912
ko:K07707	lmy:LM5923_2914
ko:K07706	lmy:LM5923_2915
ko:K07813	lmy:LM5923_2917
ko:K11203	lmy:LM5923_0659
ko:K11202	lmy:LM5923_0660
ko:K07025	lmy:LM5923_0662
ko:K03294	lmy:LM5923_0675
ko:K07104	lmy:LM5923_0676
ko:K01937	lmy:LM5923_2703
ko:K03048	lmy:LM5923_2704
ko:K01887	lmy:LM5923_2705
ko:K01821	lmy:LM5923_2708
ko:K06885	lmy:LM5923_2709
ko:K02035	lmy:LM5923_2713
ko:K02003	lmy:LM5923_2726
ko:K02379	lmy:LM5923_2730
ko:K00123	lmy:LM5923_2732
ko:K04567	lmy:LM5923_2738
ko:K00950	lmy:LM5923_2740
ko:K01633	lmy:LM5923_2741
ko:K00796	lmy:LM5923_2742
ko:K01738	lmy:LM5923_2744
ko:K04083	lmy:LM5923_2745
ko:K03525	lmy:LM5923_2746
ko:K03798	lmy:LM5923_2747
ko:K07571	lmy:LM5923_2749
ko:K03924	lmy:LM5923_0487
ko:K09703	lmy:LM5923_0490
ko:K06885	lmy:LM5923_0497
ko:K10254	lmy:LM5923_0503
ko:K06941	lmy:LM5923_0504
ko:K02911	lmy:LM5923_0508
ko:K00014	lmy:LM5923_0512
ko:K02003	lmy:LM5923_2773
ko:K09685	lmy:LM5923_2775
ko:K03478	lmy:LM5923_2776
ko:K00919	lmy:LM5923_2777
ko:K02528	lmy:LM5923_2779
ko:K05985	lmy:LM5923_2780
ko:K03424	lmy:LM5923_2782
ko:K01874	lmy:LM5923_2790
ko:K05340	lmy:LM5923_2797
ko:K06284	lmy:LM5923_2798
ko:K07056	lmy:LM5923_2799
ko:K07461	lmy:LM5923_2800
ko:K02341	lmy:LM5923_2804
ko:K01153	lmy:LM5923_0543
ko:K03427	lmy:LM5923_0544
ko:K01154	lmy:LM5923_0545
ko:K01154	lmy:LM5923_0547
ko:K01222	lmy:LM5923_0548
ko:K07166	lmy:LM5923_0560
ko:K09157	lmy:LM5923_0561
ko:K01222	lmy:LM5923_0563
ko:K01635	lmy:LM5923_0566
ko:K02016	lmy:LM5923_0568
ko:K02781	lmy:LM5923_0569
ko:K02782	lmy:LM5923_0570
ko:K02783	lmy:LM5923_0570
ko:K02783	lmy:LM5923_0571
ko:K03305	lmy:LM5923_0582
ko:K00262	lmy:LM5923_0587
ko:K01523	lmy:LM5923_0588
ko:K01496	lmy:LM5923_0589
ko:K02500	lmy:LM5923_0590
ko:K01814	lmy:LM5923_0591
ko:K02501	lmy:LM5923_0592
ko:K01693	lmy:LM5923_0593
ko:K00013	lmy:LM5923_0594
ko:K00765	lmy:LM5923_0595
ko:K02502	lmy:LM5923_0596
ko:K04486	lmy:LM5923_0597
ko:K03823	lmy:LM5923_1493
ko:K09769	lmy:LM5923_1494
ko:K03555	lmy:LM5923_1496
ko:K03572	lmy:LM5923_1497
ko:K02443	lmy:LM5923_1498
ko:K00656	lmy:LM5923_1499
ko:K04069	lmy:LM5923_1500
ko:K07727	lmy:LM5923_1504
ko:K00626	lmy:LM5923_1507
ko:K01641	lmy:LM5923_1508
ko:K06902	lmy:LM5923_1510
ko:K00075	lmy:LM5923_1513
ko:K05845	lmy:LM5923_1515
ko:K05846	lmy:LM5923_1515
ko:K03322	lmy:LM5923_1517
ko:K05846	lmy:LM5923_1518
ko:K05845	lmy:LM5923_1519
ko:K05846	lmy:LM5923_1520
ko:K00383	lmy:LM5923_1526
ko:K12574	lmy:LM5923_1527
ko:K01714	lmy:LM5923_1528
ko:K00928	lmy:LM5923_1529
ko:K00133	lmy:LM5923_1530
ko:K04564	lmy:LM5923_1533
ko:K07533	lmy:LM5923_1538
ko:K02076	lmy:LM5923_1539
ko:K09816	lmy:LM5923_1540
ko:K09817	lmy:LM5923_1541
ko:K01151	lmy:LM5923_1543
ko:K03527	lmy:LM5923_1545
ko:K06967	lmy:LM5923_1547
ko:K03710	lmy:LM5923_2298
ko:K07035	lmy:LM5923_2299
ko:K03671	lmy:LM5923_2306
ko:K00526	lmy:LM5923_2308
ko:K00525	lmy:LM5923_2309
ko:K08600	lmy:LM5923_2335
ko:K02013	lmy:LM5923_2336
ko:K02015	lmy:LM5923_2337
ko:K02016	lmy:LM5923_2338
ko:K08602	lmy:LM5923_2342
ko:K09816	lmy:LM5923_2811
ko:K09817	lmy:LM5923_2812
ko:K09815	lmy:LM5923_2813
ko:K02035	lmy:LM5923_2814
ko:K02034	lmy:LM5923_2830
ko:K02033	lmy:LM5923_2831
ko:K02035	lmy:LM5923_2832
ko:K06975	lmy:LM5923_2833
ko:K00088	lmy:LM5923_2835
ko:K01448	lmy:LM5923_2838
ko:K07443	lmy:LM5923_0598
ko:K06901	lmy:LM5923_0600
ko:K03492	lmy:LM5923_0602
ko:K06999	lmy:LM5923_0607
ko:K06969	lmy:LM5923_0608
ko:K06131	lmy:LM5923_2647
ko:K09811	lmy:LM5923_2650
ko:K09812	lmy:LM5923_2651
ko:K02836	lmy:LM5923_2653
ko:K03070	lmy:LM5923_2654
ko:K02240	lmy:LM5923_2657
ko:K02549	lmy:LM5923_2664
ko:K05946	lmy:LM5923_2665
ko:K03111	lmy:LM5923_2667
ko:K02372	lmy:LM5923_2668
ko:K03569	lmy:LM5923_2669
ko:K00790	lmy:LM5923_2670
ko:K02114	lmy:LM5923_2672
ko:K02112	lmy:LM5923_2673
ko:K02115	lmy:LM5923_2674
ko:K02111	lmy:LM5923_2675
ko:K02113	lmy:LM5923_2676
ko:K02109	lmy:LM5923_2677
ko:K02110	lmy:LM5923_2678
ko:K02108	lmy:LM5923_2679
ko:K01791	lmy:LM5923_2681
ko:K00761	lmy:LM5923_2682
ko:K00600	lmy:LM5923_2683
ko:K07566	lmy:LM5923_2685
ko:K02493	lmy:LM5923_2686
ko:K02835	lmy:LM5923_2687
ko:K00857	lmy:LM5923_2688
ko:K00872	lmy:LM5923_2689
ko:K01733	lmy:LM5923_2690
ko:K00003	lmy:LM5923_2691
ko:K02909	lmy:LM5923_2692
ko:K03628	lmy:LM5923_2695
ko:K00790	lmy:LM5923_2696
ko:K07027	lmy:LM5923_2697
ko:K03338	lmy:LM5923_0418
ko:K03336	lmy:LM5923_0419
ko:K03648	lmy:LM5923_0423
ko:K00286	lmy:LM5923_0429
ko:K03306	lmy:LM5923_0438
ko:K07238	lmy:LM5923_0446
ko:K07729	lmy:LM5923_0448
ko:K03088	lmy:LM5923_0455
ko:K03785	lmy:LM5923_0513
ko:K06978	lmy:LM5923_0515
ko:K01808	lmy:LM5923_0520
ko:K01783	lmy:LM5923_0521
ko:K02773	lmy:LM5923_0525
ko:K01783	lmy:LM5923_0527
ko:K02774	lmy:LM5923_0529
ko:K02775	lmy:LM5923_0530
ko:K00948	lmy:LM5923_0531
ko:K07282	lmy:LM5923_0538
ko:K08987	lmy:LM5923_0540
ko:K02245	lmy:LM5923_1437
ko:K02244	lmy:LM5923_1438
ko:K02243	lmy:LM5923_1439
ko:K00605	lmy:LM5923_1440
ko:K00282	lmy:LM5923_1441
ko:K00283	lmy:LM5923_1442
ko:K01262	lmy:LM5923_1446
ko:K02356	lmy:LM5923_1447
ko:K02160	lmy:LM5923_1448
ko:K03625	lmy:LM5923_1451
ko:K01491	lmy:LM5923_1452
ko:K03601	lmy:LM5923_1453
ko:K03602	lmy:LM5923_1454
ko:K03704	lmy:LM5923_1456
ko:K01662	lmy:LM5923_1457
ko:K06442	lmy:LM5923_1458
ko:K03402	lmy:LM5923_1459
ko:K03631	lmy:LM5923_1460
ko:K00929	lmy:LM5923_1462
ko:K00382	lmy:LM5923_1463
ko:K00166	lmy:LM5923_1464
ko:K00167	lmy:LM5923_1465
ko:K09699	lmy:LM5923_1466
ko:K00033	lmy:LM5923_1469
ko:K03217	lmy:LM5923_1472
ko:K01512	lmy:LM5923_1474
ko:K01823	lmy:LM5923_1476
ko:K07146	lmy:LM5923_1477
ko:K03466	lmy:LM5923_1479
ko:K00286	lmy:LM5923_1480
ko:K00059	lmy:LM5923_1487
ko:K00995	lmy:LM5923_1489
ko:K03553	lmy:LM5923_1491
ko:K01940	lmy:LM5923_2243
ko:K01755	lmy:LM5923_2244
ko:K00882	lmy:LM5923_2248
ko:K02775	lmy:LM5923_2249
ko:K02774	lmy:LM5923_2250
ko:K02773	lmy:LM5923_2251
ko:K06215	lmy:LM5923_2254
ko:K08681	lmy:LM5923_2255
ko:K04758	lmy:LM5923_2257
ko:K04759	lmy:LM5923_2258
ko:K07098	lmy:LM5923_2260
ko:K01443	lmy:LM5923_2262
ko:K01809	lmy:LM5923_2264
ko:K02003	lmy:LM5923_2268
ko:K03431	lmy:LM5923_2272
ko:K01624	lmy:LM5923_2287
ko:K01624	lmy:LM5923_2288
ko:K03328	lmy:LM5923_2752
ko:K03723	lmy:LM5923_2753
ko:K01056	lmy:LM5923_2754
ko:K02897	lmy:LM5923_2756
ko:K00016	lmy:LM5923_2757
ko:K01114	lmy:LM5923_2762
ko:K11031	lmy:LM5923_2765
ko:K01771	lmy:LM5923_2766
ko:K00948	lmy:LM5923_2768
ko:K04042	lmy:LM5923_2769
ko:K06412	lmy:LM5923_2770
ko:K06412	lmy:LM5923_2771
ko:K07105	lmy:LM5923_2174
ko:K02004	lmy:LM5923_1897
ko:K02004	lmy:LM5923_1099
ko:K02004	lmy:LM5923_1250
ko:K02004	lmy:LM5923_2727
ko:K02004	lmy:LM5923_2269
ko:K02004	lmy:LM5923_2772
ko:K02004	lmy:LM5923_1603
ko:K02004	lmy:LM5923_2520
ko:K14228	lmy:LM5923_tRNA26
ko:K00974	lmy:LM5923_2057
ko:K13252	lmy:LM5923_2929
ko:K01580	lmy:LM5923_2578
ko:K01580	lmy:LM5923_0479
ko:K01580	lmy:LM5923_2512
ko:K02827	lmy:LM5923_2957
ko:K02057	lmy:LM5923_1483
ko:K10780	lmy:LM5923_1787
ko:K14233	lmy:LM5923_tRNA20
ko:K14232	lmy:LM5923_tRNA24
ko:K02056	lmy:LM5923_1482
ko:K05518	lmy:LM5923_0930
ko:K14234	lmy:LM5923_tRNA56
ko:K03574	lmy:LM5923_2517
ko:K14224	lmy:LM5923_tRNA07
ko:K14224	lmy:LM5923_tRNA34
ko:K14224	lmy:LM5923_tRNA50
ko:K14224	lmy:LM5923_tRNA11
ko:K14225	lmy:LM5923_tRNA09
ko:K14225	lmy:LM5923_tRNA15
ko:K14229	lmy:LM5923_tRNA29
ko:K14229	lmy:LM5923_tRNA38
ko:K14228	lmy:LM5923_tRNA39
ko:K14220	lmy:LM5923_tRNA52
ko:K14220	lmy:LM5923_tRNA57
ko:K14220	lmy:LM5923_tRNA05
ko:K14220	lmy:LM5923_tRNA13
ko:K01990	lmy:LM5923_1875
ko:K14228	lmy:LM5923_tRNA28
ko:K14219	lmy:LM5923_tRNA10
ko:K14230	lmy:LM5923_tRNA22
ko:K04749	lmy:LM5923_0927
ko:K00058	lmy:LM5923_0033
ko:K11189	lmy:LM5923_1038
ko:K00024	lmy:LM5923_1631
ko:K00611	lmy:LM5923_1686
ko:K07483	lmy:LM5923_0866
ko:K07483	lmy:LM5923_0691
ko:K13922	lmy:LM5923_1191
ko:K10947	lmy:LM5923_0753
ko:K13530	lmy:LM5923_2397
ko:K13531	lmy:LM5923_2396
ko:K07720	lmy:LM5923_2163
ko:K07723	lmy:LM5923_0921
ko:K14155	lmy:LM5923_2519
ko:K02821	lmy:LM5923_0209
ko:K14234	lmy:LM5923_tRNA35
ko:K14219	lmy:LM5923_tRNA55
ko:K02027	lmy:LM5923_0018
ko:K02027	lmy:LM5923_2786
ko:K05847	lmy:LM5923_1514
ko:K05847	lmy:LM5923_1521
ko:K02029	lmy:LM5923_1891
ko:K02013	lmy:LM5923_1929
ko:K02768	lmy:LM5923_0458
ko:K02027	lmy:LM5923_0892
ko:K14225	lmy:LM5923_tRNA27
ko:K14225	lmy:LM5923_tRNA41
ko:K00941	lmy:LM5923_0354
ko:K14223	lmy:LM5923_tRNA42
ko:K03491	lmy:LM5923_0953
ko:K03491	lmy:LM5923_0075
ko:K03491	lmy:LM5923_0342
ko:K01271	lmy:LM5923_1676
ko:K14233	lmy:LM5923_tRNA12
ko:K14233	lmy:LM5923_tRNA06
ko:K14540	lmy:LM5923_1363
ko:K03574	lmy:LM5923_1336
ko:K01187	lmy:LM5923_2784
ko:K14237	lmy:LM5923_tRNA31
ko:K01759	lmy:LM5923_2322
ko:K01934	lmy:LM5923_1428
ko:K01182	lmy:LM5923_2783
ko:K14236	lmy:LM5923_tRNA36
ko:K14236	lmy:LM5923_tRNA45
ko:K14218	lmy:LM5923_tRNA03
ko:K14218	lmy:LM5923_tRNA53
ko:K14218	lmy:LM5923_tRNA23
ko:K02027	lmy:LM5923_0803
ko:K06608	lmy:LM5923_0415
ko:K02001	lmy:LM5923_1051
ko:K14230	lmy:LM5923_tRNA19
ko:K14230	lmy:LM5923_tRNA48
ko:K11072	lmy:LM5923_0841
ko:K04757	lmy:LM5923_0928
ko:K14228	lmy:LM5923_tRNA33
ko:K00868	lmy:LM5923_0693
ko:K02030	lmy:LM5923_1889
ko:K14233	lmy:LM5923_tRNA51
ko:K14222	lmy:LM5923_tRNA40
ko:K08325	lmy:LM5923_0581
ko:K14230	lmy:LM5923_tRNA21
ko:K05822	lmy:LM5923_1047
ko:K02529	lmy:LM5923_2934
ko:K08177	lmy:LM5923_2325
ko:K05937	lmy:LM5923_0420
ko:K01980	lmy:LM5923_rRNA02
ko:K01980	lmy:LM5923_rRNA14
ko:K01980	lmy:LM5923_rRNA11
ko:K01980	lmy:LM5923_rRNA05
ko:K01980	lmy:LM5923_rRNA08
ko:K03215	lmy:LM5923_1902
ko:K01990	lmy:LM5923_2293
ko:K14205	lmy:LM5923_1794
ko:K02304	lmy:LM5923_1167
ko:K02770	lmy:LM5923_0433
ko:K03324	lmy:LM5923_0860
ko:K00008	lmy:LM5923_0196
ko:K14237	lmy:LM5923_tRNA49
ko:K02005	lmy:LM5923_2774
ko:K01985	lmy:LM5923_rRNA03
ko:K01985	lmy:LM5923_rRNA07
ko:K01985	lmy:LM5923_rRNA13
ko:K01985	lmy:LM5923_rRNA10
ko:K01985	lmy:LM5923_rRNA04
ko:K02769	lmy:LM5923_0432
ko:K01628	lmy:LM5923_2247
ko:K07052	lmy:LM5923_2281
ko:K14234	lmy:LM5923_tRNA30
ko:K14219	lmy:LM5923_tRNA25
ko:K14188	lmy:LM5923_1007
ko:K05346	lmy:LM5923_2149
ko:K01992	lmy:LM5923_2368
ko:K01739	lmy:LM5923_1779
ko:K10947	lmy:LM5923_0626
ko:K00537	lmy:LM5923_2570
ko:K01674	lmy:LM5923_0845
ko:K08316	lmy:LM5923_2205
ko:K06610	lmy:LM5923_0008
ko:K03481	lmy:LM5923_2924
ko:K14227	lmy:LM5923_tRNA02
ko:K14227	lmy:LM5923_tRNA14
ko:K14227	lmy:LM5923_tRNA54
ko:K01990	lmy:LM5923_2369
ko:K14221	lmy:LM5923_tRNA18
ko:K14221	lmy:LM5923_tRNA47
ko:K14221	lmy:LM5923_tRNA08
ko:K14237	lmy:LM5923_tRNA01
ko:K02759	lmy:LM5923_0908
ko:K01760	lmy:LM5923_1778
ko:K07692	lmy:LM5923_2659
ko:K14166	lmy:LM5923_2214
ko:K08317	lmy:LM5923_1888
ko:K04750	lmy:LM5923_0136
ko:K00949	lmy:LM5923_1970
ko:K04750	lmy:LM5923_1331
ko:K02248	lmy:LM5923_1434
ko:K13653	lmy:LM5923_0505
ko:K02246	lmy:LM5923_1436
ko:K02236	lmy:LM5923_1647
ko:K07404	lmy:LM5923_0585
ko:K13052	lmy:LM5923_2750
ko:K06183	lmy:LM5923_2490
ko:K07052	lmy:LM5923_1034
ko:K07213	lmy:LM5923_2005
ko:K03436	lmy:LM5923_2485
ko:K07284	lmy:LM5923_0964
ko:K14235	lmy:LM5923_tRNA44
ko:K14231	lmy:LM5923_tRNA17
ko:K14231	lmy:LM5923_tRNA46
ko:K07052	lmy:LM5923_2223
ko:K14226	lmy:LM5923_tRNA43
ko:K14226	lmy:LM5923_tRNA16
ko:K14223	lmy:LM5923_tRNA37
