ko:K19743	zmr:A254_01222
ko:K03629	zmr:A254_01570
ko:K02470	zmr:A254_01571
ko:K06889	zmr:A254_01580
ko:K07223	zmr:A254_01585
ko:K00426	zmr:A254_01587
ko:K00425	zmr:A254_01588
ko:K00656	zmr:A254_01589
ko:K04069	zmr:A254_01590
ko:K09771	zmr:A254_01593
ko:K03811	zmr:A254_01594
ko:K08311	zmr:A254_01597
ko:K00764	zmr:A254_01599
ko:K01919	zmr:A254_01600
ko:K09761	zmr:A254_01601
ko:K00946	zmr:A254_01602
ko:K03625	zmr:A254_01603
ko:K00013	zmr:A254_01604
ko:K00765	zmr:A254_01605
ko:K05527	zmr:A254_01606
ko:K06045	zmr:A254_01607
ko:K03789	zmr:A254_01715
ko:K03711	zmr:A254_01717
ko:K03594	zmr:A254_01718
ko:K02192	zmr:A254_10008
ko:K01278	zmr:A254_01720
ko:K00133	zmr:A254_01721
ko:K03088	zmr:A254_01724
ko:K01142	zmr:A254_01727
ko:K11720	zmr:A254_01733
ko:K07091	zmr:A254_01734
ko:K13584	zmr:A254_01740
ko:K03685	zmr:A254_01750
ko:K12251	zmr:A254_01754
ko:K10536	zmr:A254_01755
ko:K02986	zmr:A254_01756
ko:K02968	zmr:A254_01763
ko:K07726	zmr:A254_01832
ko:K04080	zmr:A254_00324
ko:K06204	zmr:A254_00327
ko:K01875	zmr:A254_00328
ko:K03787	zmr:A254_00329
ko:K02034	zmr:A254_00332
ko:K02031	zmr:A254_00333
ko:K02032	zmr:A254_00333
ko:K02338	zmr:A254_00334
ko:K03781	zmr:A254_00392
ko:K07213	zmr:A254_00395
ko:K17686	zmr:A254_00396
ko:K01491	zmr:A254_00397
ko:K00826	zmr:A254_00398
ko:K01991	zmr:A254_00400
ko:K09689	zmr:A254_00401
ko:K10107	zmr:A254_00403
ko:K03669	zmr:A254_00405
ko:K03670	zmr:A254_00406
ko:K01649	zmr:A254_00408
ko:K01885	zmr:A254_00411
ko:K01916	zmr:A254_00412
ko:K04566	zmr:A254_00419
ko:K01785	zmr:A254_00420
ko:K09005	zmr:A254_00422
ko:K02871	zmr:A254_00424
ko:K02996	zmr:A254_00425
ko:K03406	zmr:A254_00426
ko:K03412	zmr:A254_00427
ko:K03412	zmr:A254_00428
ko:K07323	zmr:A254_00430
ko:K03527	zmr:A254_00431
ko:K06045	zmr:A254_00434
ko:K16264	zmr:A254_00440
ko:K14441	zmr:A254_00492
ko:K01255	zmr:A254_00493
ko:K00145	zmr:A254_00495
ko:K01993	zmr:A254_00497
ko:K13926	zmr:A254_00498
ko:K01322	zmr:A254_00504
ko:K01465	zmr:A254_00506
ko:K00609	zmr:A254_00507
ko:K02014	zmr:A254_00509
ko:K07447	zmr:A254_00513
ko:K02435	zmr:A254_00514
ko:K02433	zmr:A254_00515
ko:K02434	zmr:A254_00516
ko:K06213	zmr:A254_00525
ko:K00566	zmr:A254_00526
ko:K00990	zmr:A254_00529
ko:K01868	zmr:A254_00530
ko:K01759	zmr:A254_00533
ko:K01069	zmr:A254_00534
ko:K13588	zmr:A254_00540
ko:K06180	zmr:A254_00542
ko:K07088	zmr:A254_00598
ko:K01652	zmr:A254_00599
ko:K15342	zmr:A254_00606
ko:K00052	zmr:A254_00608
ko:K10764	zmr:A254_00609
ko:K03566	zmr:A254_00610
ko:K03584	zmr:A254_00612
ko:K03703	zmr:A254_00613
ko:K02109	zmr:A254_00614
ko:K02109	zmr:A254_00615
ko:K02110	zmr:A254_00616
ko:K02108	zmr:A254_00617
ko:K02116	zmr:A254_00618
ko:K09978	zmr:A254_00619
ko:K03630	zmr:A254_00622
ko:K01756	zmr:A254_00623
ko:K03686	zmr:A254_00624
ko:K04043	zmr:A254_00625
ko:K01295	zmr:A254_00627
ko:K00673	zmr:A254_00628
ko:K07101	zmr:A254_00629
ko:K01488	zmr:A254_00630
ko:K02422	zmr:A254_00633
ko:K02407	zmr:A254_00634
ko:K02401	zmr:A254_00635
ko:K02421	zmr:A254_00636
ko:K02420	zmr:A254_00637
ko:K02419	zmr:A254_00638
ko:K02418	zmr:A254_00639
ko:K02417	zmr:A254_00640
ko:K02416	zmr:A254_00641
ko:K02415	zmr:A254_00642
ko:K02412	zmr:A254_00645
ko:K02411	zmr:A254_00646
ko:K02410	zmr:A254_00647
ko:K02409	zmr:A254_00648
ko:K02408	zmr:A254_00649
ko:K10943	zmr:A254_00650
ko:K00242	zmr:A254_00704
ko:K01902	zmr:A254_00705
ko:K08224	zmr:A254_00706
ko:K03579	zmr:A254_00707
ko:K02523	zmr:A254_00708
ko:K04092	zmr:A254_00709
ko:K00817	zmr:A254_00710
ko:K06923	zmr:A254_00711
ko:K09748	zmr:A254_00713
ko:K02600	zmr:A254_00714
ko:K07742	zmr:A254_00715
ko:K02519	zmr:A254_00716
ko:K02834	zmr:A254_00717
ko:K03177	zmr:A254_00719
ko:K02956	zmr:A254_00720
ko:K00962	zmr:A254_00721
ko:K03321	zmr:A254_00724
ko:K01609	zmr:A254_00725
ko:K00031	zmr:A254_00726
ko:K01681	zmr:A254_00727
ko:K02879	zmr:A254_00729
ko:K03040	zmr:A254_00730
ko:K02948	zmr:A254_00731
ko:K02952	zmr:A254_00732
ko:K00939	zmr:A254_00733
ko:K03076	zmr:A254_00734
ko:K02876	zmr:A254_00735
ko:K02907	zmr:A254_00736
ko:K02988	zmr:A254_00737
ko:K02881	zmr:A254_00738
ko:K02933	zmr:A254_00739
ko:K02994	zmr:A254_00740
ko:K02954	zmr:A254_00741
ko:K02931	zmr:A254_00742
ko:K02895	zmr:A254_00743
ko:K02874	zmr:A254_00744
ko:K02961	zmr:A254_00745
ko:K02904	zmr:A254_00746
ko:K02878	zmr:A254_00747
ko:K02982	zmr:A254_00748
ko:K02890	zmr:A254_00749
ko:K02965	zmr:A254_00750
ko:K02886	zmr:A254_00751
ko:K02892	zmr:A254_00752
ko:K02926	zmr:A254_00753
ko:K02906	zmr:A254_00754
ko:K02946	zmr:A254_00755
ko:K09808	zmr:A254_00810
ko:K09810	zmr:A254_00811
ko:K05800	zmr:A254_00812
ko:K01938	zmr:A254_00814
ko:K03977	zmr:A254_00815
ko:K09795	zmr:A254_00823
ko:K06179	zmr:A254_00828
ko:K00942	zmr:A254_00833
ko:K01476	zmr:A254_00834
ko:K00674	zmr:A254_00835
ko:K07025	zmr:A254_00836
ko:K13628	zmr:A254_00837
ko:K11717	zmr:A254_00839
ko:K09015	zmr:A254_00840
ko:K09013	zmr:A254_00841
ko:K09014	zmr:A254_00842
ko:K00817	zmr:A254_00844
ko:K00220	zmr:A254_00845
ko:K00655	zmr:A254_00846
ko:K09811	zmr:A254_00848
ko:K09812	zmr:A254_00849
ko:K02221	zmr:A254_00851
ko:K05595	zmr:A254_00852
ko:K02622	zmr:A254_00853
ko:K04083	zmr:A254_00854
ko:K13583	zmr:A254_00857
ko:K01992	zmr:A254_00858
ko:K03694	zmr:A254_00859
ko:K01524	zmr:A254_00861
ko:K02427	zmr:A254_00862
ko:K00789	zmr:A254_00972
ko:K03820	zmr:A254_00973
ko:K02194	zmr:A254_00983
ko:K02193	zmr:A254_00984
ko:K03777	zmr:A254_00987
ko:K12542	zmr:A254_00988
ko:K12541	zmr:A254_00989
ko:K12543	zmr:A254_00990
ko:K11443	zmr:A254_00993
ko:K02913	zmr:A254_00994
ko:K03667	zmr:A254_00995
ko:K01419	zmr:A254_00996
ko:K03530	zmr:A254_00997
ko:K02114	zmr:A254_00999
ko:K02112	zmr:A254_01000
ko:K02115	zmr:A254_01001
ko:K02111	zmr:A254_01002
ko:K02113	zmr:A254_01003
ko:K03593	zmr:A254_01004
ko:K03218	zmr:A254_01008
ko:K02013	zmr:A254_01010
ko:K02015	zmr:A254_01011
ko:K00641	zmr:A254_01015
ko:K07736	zmr:A254_01019
ko:K05524	zmr:A254_01020
ko:K17675	zmr:A254_01021
ko:K01934	zmr:A254_01023
ko:K03327	zmr:A254_01024
ko:K00681	zmr:A254_01739
ko:K18588	zmr:A254_00200
ko:K01985	zmr:A254_01309
ko:K01985	zmr:A254_01578
ko:K01985	zmr:A254_01320
ko:K18587	zmr:A254_00801
ko:K02477	zmr:A254_01426
ko:K14223	zmr:A254_00367
ko:K14223	zmr:A254_00369
ko:K14223	zmr:A254_00860
ko:K14235	zmr:A254_00567
ko:K14229	zmr:A254_01513
ko:K14229	zmr:A254_01595
ko:K14221	zmr:A254_00818
ko:K14224	zmr:A254_00104
ko:K14224	zmr:A254_01050
ko:K14228	zmr:A254_00208
ko:K14228	zmr:A254_00215
ko:K14228	zmr:A254_00365
ko:K14228	zmr:A254_00701
ko:K15035	zmr:A254_10099
ko:K14234	zmr:A254_01749
ko:K14225	zmr:A254_00146
ko:K14225	zmr:A254_00338
ko:K14225	zmr:A254_01282
ko:K14230	zmr:A254_00126
ko:K14230	zmr:A254_00223
ko:K14230	zmr:A254_01310
ko:K14230	zmr:A254_01321
ko:K14230	zmr:A254_01579
ko:K14231	zmr:A254_00306
ko:K14237	zmr:A254_00887
ko:K14237	zmr:A254_01753
ko:K01977	zmr:A254_01305
ko:K01977	zmr:A254_01574
ko:K01977	zmr:A254_01316
ko:K14218	zmr:A254_01307
ko:K14218	zmr:A254_01576
ko:K14218	zmr:A254_01318
ko:K14218	zmr:A254_01380
ko:K14218	zmr:A254_01395
ko:K01980	zmr:A254_01319
ko:K01980	zmr:A254_01308
ko:K01980	zmr:A254_01577
ko:K14232	zmr:A254_00935
ko:K14227	zmr:A254_01306
ko:K14227	zmr:A254_01575
ko:K14227	zmr:A254_01317
ko:K14220	zmr:A254_00013
ko:K14226	zmr:A254_00124
ko:K14219	zmr:A254_00404
ko:K14219	zmr:A254_00590
ko:K14233	zmr:A254_00728
ko:K14233	zmr:A254_00784
ko:K14233	zmr:A254_01658
ko:K14236	zmr:A254_01007
ko:K14234	zmr:A254_00284
ko:K14234	zmr:A254_00414
ko:K14237	zmr:A254_00592
ko:K14232	zmr:A254_01273
ko:K14232	zmr:A254_01683
ko:K14219	zmr:A254_00281
ko:K14219	zmr:A254_01289
ko:K14233	zmr:A254_00547
ko:K18676	zmr:A254_00164
ko:K18707	zmr:A254_00253
ko:K01568	zmr:A254_01762
ko:K07126	zmr:A254_01096
ko:K05366	zmr:A254_00773
ko:K18928	zmr:A254_01184
ko:K18929	zmr:A254_01185
ko:K03496	zmr:A254_00923
ko:K03496	zmr:A254_01218
ko:K03497	zmr:A254_01219
ko:K07473	zmr:A254_01833
ko:K03496	zmr:A254_01867
ko:K07473	zmr:A254_01869
ko:K03111	zmr:A254_01612
ko:K03496	zmr:A254_01772
ko:K07473	zmr:A254_01800
ko:K03496	zmr:A254_01802
ko:K03496	zmr:A254_01892
ko:K03496	zmr:A254_01895
ko:K16898	zmr:A254_00228
ko:K03976	zmr:A254_01104
ko:K10026	zmr:A254_00051
ko:K03526	zmr:A254_01056
ko:K16899	zmr:A254_00227
ko:K00611	zmr:A254_00855
ko:K16238	zmr:A254_01747
ko:K02169	zmr:A254_01254
ko:K01935	zmr:A254_01254
ko:K19129	zmr:A254_00602
ko:K00354	zmr:A254_01787
ko:K19127	zmr:A254_00604
ko:K19157	zmr:A254_01834
ko:K19157	zmr:A254_01868
ko:K13581	zmr:A254_00312
ko:K07012	zmr:A254_00605
ko:K19130	zmr:A254_00601
ko:K19128	zmr:A254_00603
ko:K19157	zmr:A254_01801
ko:K00798	zmr:A254_01650
ko:K04771	zmr:A254_01005
ko:K01992	zmr:A254_00499
ko:K11645	zmr:A254_01057
ko:K03722	zmr:A254_00418
ko:K19302	zmr:A254_00760
ko:K00059	zmr:A254_01893
ko:K13854	zmr:A254_00897
ko:K19577	zmr:A254_01678
ko:K15856	zmr:A254_00102
ko:K00992	zmr:A254_00226
ko:K20459	zmr:A254_00290
ko:K08744	zmr:A254_01129
ko:K19813	zmr:A254_00058
ko:K19802	zmr:A254_00107
ko:K00118	zmr:A254_00597
ko:K21679	zmr:A254_00437
ko:K21677	zmr:A254_00435
ko:K21613	zmr:A254_00941
ko:K00344	zmr:A254_01209
ko:K21636	zmr:A254_00293
ko:K20542	zmr:A254_00240
ko:K20543	zmr:A254_00241
ko:K21053	zmr:A254_00343
ko:K00821	zmr:A254_00856
ko:K21029	zmr:A254_00141
ko:K08968	zmr:A254_00766
ko:K00526	zmr:A254_00824
ko:K00525	zmr:A254_00283
ko:K01520	zmr:A254_00142
ko:K03553	zmr:A254_00166
ko:K02314	zmr:A254_00441
ko:K03676	zmr:A254_00539
ko:K00857	zmr:A254_00718
ko:K06909	zmr:A254_00882
ko:K06217	zmr:A254_01146
ko:K06908	zmr:A254_01151
ko:K02316	zmr:A254_01538
ko:K00287	zmr:A254_00934
ko:K00560	zmr:A254_01411
ko:K07313	zmr:A254_01422
ko:K09882	zmr:A254_01610
ko:K06905	zmr:A254_01840
ko:K06906	zmr:A254_01841
ko:K06908	zmr:A254_01844
ko:K06907	zmr:A254_01845
ko:K06903	zmr:A254_01846
ko:K06223	zmr:A254_01808
ko:K00091	zmr:A254_00439
ko:K02335	zmr:A254_01013
ko:K09806	zmr:A254_00045
ko:K02014	zmr:A254_00049
ko:K02014	zmr:A254_01213
ko:K02483	zmr:A254_00986
ko:K22044	zmr:A254_00021
ko:K21470	zmr:A254_01404
ko:K21929	zmr:A254_01511
ko:K21929	zmr:A254_00216
ko:K21929	zmr:A254_00149
ko:K03595	zmr:A254_01743
ko:K08994	zmr:A254_00310
ko:K11991	zmr:A254_00954
ko:K11206	zmr:A254_01691
