ko:K19743	apx:APA26_08140
ko:K01000	apx:APA26_18960
ko:K01925	apx:APA26_18970
ko:K03530	apx:APA26_40350
ko:K08325	apx:APA26_40430
ko:K01546	apx:APA26_40500
ko:K01547	apx:APA26_40510
ko:K01548	apx:APA26_40520
ko:K07646	apx:APA26_40530
ko:K07667	apx:APA26_40540
ko:K01126	apx:APA26_40680
ko:K06199	apx:APA26_40710
ko:K02115	apx:APA26_01190
ko:K02112	apx:APA26_01200
ko:K02114	apx:APA26_01210
ko:K09457	apx:APA26_01220
ko:K03684	apx:APA26_01230
ko:K13583	apx:APA26_01260
ko:K11738	apx:APA26_01270
ko:K02045	apx:APA26_01280
ko:K02047	apx:APA26_01290
ko:K02046	apx:APA26_01300
ko:K02048	apx:APA26_01350
ko:K03735	apx:APA26_01370
ko:K03736	apx:APA26_01380
ko:K03585	apx:APA26_01400
ko:K03704	apx:APA26_01430
ko:K02426	apx:APA26_10250
ko:K07302	apx:APA26_10270
ko:K02916	apx:APA26_10300
ko:K02887	apx:APA26_10310
ko:K01889	apx:APA26_10320
ko:K01890	apx:APA26_10330
ko:K02040	apx:APA26_10340
ko:K02986	apx:APA26_10390
ko:K02837	apx:APA26_10400
ko:K02687	apx:APA26_10440
ko:K03657	apx:APA26_10450
ko:K03630	apx:APA26_10460
ko:K03630	apx:APA26_10470
ko:K01589	apx:APA26_10480
ko:K01588	apx:APA26_10490
ko:K09987	apx:APA26_10520
ko:K04080	apx:APA26_10530
ko:K02909	apx:APA26_10540
ko:K03282	apx:APA26_10550
ko:K03072	apx:APA26_10580
ko:K02523	apx:APA26_10630
ko:K01776	apx:APA26_10640
ko:K00762	apx:APA26_10650
ko:K01647	apx:APA26_10670
ko:K08296	apx:APA26_10680
ko:K04092	apx:APA26_10690
ko:K03529	apx:APA26_10730
ko:K07042	apx:APA26_10760
ko:K03588	apx:APA26_18980
ko:K02563	apx:APA26_18990
ko:K01924	apx:APA26_19000
ko:K00075	apx:APA26_19010
ko:K01921	apx:APA26_19020
ko:K03589	apx:APA26_19030
ko:K03590	apx:APA26_19040
ko:K03531	apx:APA26_19050
ko:K02535	apx:APA26_19060
ko:K05807	apx:APA26_19070
ko:K03631	apx:APA26_19080
ko:K01972	apx:APA26_19090
ko:K09773	apx:APA26_19110
ko:K01626	apx:APA26_19150
ko:K00763	apx:APA26_19160
ko:K08281	apx:APA26_19190
ko:K07233	apx:APA26_19240
ko:K00053	apx:APA26_19250
ko:K01653	apx:APA26_19260
ko:K01652	apx:APA26_19270
ko:K00791	apx:APA26_19280
ko:K01079	apx:APA26_19290
ko:K07276	apx:APA26_19310
ko:K00600	apx:APA26_19360
ko:K01698	apx:APA26_19380
ko:K02621	apx:APA26_19400
ko:K03584	apx:APA26_19410
ko:K02357	apx:APA26_19420
ko:K02967	apx:APA26_19430
ko:K00826	apx:APA26_19460
ko:K01665	apx:APA26_19470
ko:K02337	apx:APA26_19490
ko:K01918	apx:APA26_19480
ko:K03322	apx:APA26_40840
ko:K11924	apx:APA26_40860
ko:K02471	apx:APA26_40850
ko:K15342	apx:APA26_41090
ko:K07043	apx:APA26_01830
ko:K09160	apx:APA26_01840
ko:K00220	apx:APA26_02020
ko:K04761	apx:APA26_02040
ko:K04756	apx:APA26_02060
ko:K04754	apx:APA26_02150
ko:K05801	apx:APA26_02160
ko:K00773	apx:APA26_02190
ko:K07568	apx:APA26_02200
ko:K00297	apx:APA26_02240
ko:K01491	apx:APA26_02250
ko:K09919	apx:APA26_02260
ko:K06168	apx:APA26_10780
ko:K07278	apx:APA26_10810
ko:K09800	apx:APA26_10820
ko:K01142	apx:APA26_10830
ko:K01273	apx:APA26_10840
ko:K03703	apx:APA26_10850
ko:K03636	apx:APA26_10880
ko:K00833	apx:APA26_10900
ko:K02170	apx:APA26_10920
ko:K01356	apx:APA26_10940
ko:K03750	apx:APA26_10950
ko:K02913	apx:APA26_10960
ko:K01689	apx:APA26_10980
ko:K03154	apx:APA26_11010
ko:K03149	apx:APA26_11020
ko:K00788	apx:APA26_11030
ko:K03655	apx:APA26_11040
ko:K09159	apx:APA26_11050
ko:K03723	apx:APA26_11060
ko:K14347	apx:APA26_11080
ko:K09883	apx:APA26_11100
ko:K03801	apx:APA26_11150
ko:K00963	apx:APA26_11170
ko:K03639	apx:APA26_11190
ko:K00928	apx:APA26_11270
ko:K15539	apx:APA26_11290
ko:K01892	apx:APA26_11310
ko:K02835	apx:APA26_11320
ko:K00812	apx:APA26_19530
ko:K00812	apx:APA26_19540
ko:K01894	apx:APA26_19550
ko:K00940	apx:APA26_19610
ko:K06158	apx:APA26_19620
ko:K02520	apx:APA26_19670
ko:K01868	apx:APA26_19680
ko:K00858	apx:APA26_19720
ko:K02204	apx:APA26_19760
ko:K03527	apx:APA26_19770
ko:K08602	apx:APA26_19800
ko:K00266	apx:APA26_19820
ko:K01448	apx:APA26_19860
ko:K08300	apx:APA26_19870
ko:K00765	apx:APA26_19880
ko:K00013	apx:APA26_19890
ko:K02518	apx:APA26_19900
ko:K06287	apx:APA26_19910
ko:K09862	apx:APA26_19930
ko:K03530	apx:APA26_41420
ko:K07090	apx:APA26_41560
ko:K01908	apx:APA26_41600
ko:K01502	apx:APA26_41660
ko:K03581	apx:APA26_41760
ko:K01154	apx:APA26_41860
ko:K03427	apx:APA26_41890
ko:K01087	apx:APA26_02330
ko:K00697	apx:APA26_02340
ko:K03702	apx:APA26_02400
ko:K11738	apx:APA26_02480
ko:K02346	apx:APA26_02490
ko:K09769	apx:APA26_02550
ko:K09888	apx:APA26_02570
ko:K00788	apx:APA26_02610
ko:K04568	apx:APA26_02750
ko:K01265	apx:APA26_02780
ko:K06891	apx:APA26_02800
ko:K03694	apx:APA26_02810
ko:K07735	apx:APA26_02840
ko:K06958	apx:APA26_02850
ko:K02493	apx:APA26_11340
ko:K06153	apx:APA26_11380
ko:K03642	apx:APA26_11430
ko:K00943	apx:APA26_11450
ko:K02341	apx:APA26_11460
ko:K01874	apx:APA26_11470
ko:K03424	apx:APA26_11480
ko:K06167	apx:APA26_11490
ko:K00275	apx:APA26_11510
ko:K00208	apx:APA26_11520
ko:K01736	apx:APA26_11530
ko:K00116	apx:APA26_11550
ko:K01737	apx:APA26_11560
ko:K06920	apx:APA26_11570
ko:K01012	apx:APA26_11590
ko:K00390	apx:APA26_11610
ko:K00957	apx:APA26_11620
ko:K00955	apx:APA26_11630
ko:K00381	apx:APA26_11650
ko:K02527	apx:APA26_11670
ko:K00912	apx:APA26_11680
ko:K02517	apx:APA26_11690
ko:K07082	apx:APA26_11720
ko:K09458	apx:APA26_11730
ko:K02078	apx:APA26_11740
ko:K00645	apx:APA26_11760
ko:K02002	apx:APA26_11790
ko:K03704	apx:APA26_11840
ko:K03664	apx:APA26_11850
ko:K01714	apx:APA26_11860
ko:K03777	apx:APA26_20440
ko:K00767	apx:APA26_20490
ko:K03517	apx:APA26_20500
ko:K03885	apx:APA26_20530
ko:K06911	apx:APA26_20580
ko:K03561	apx:APA26_20630
ko:K03832	apx:APA26_20640
ko:K01438	apx:APA26_41960
ko:K00362	apx:APA26_42110
ko:K02575	apx:APA26_42150
ko:K00549	apx:APA26_42270
ko:K03576	apx:APA26_42280
ko:K07726	apx:APA26_42310
ko:K03893	apx:APA26_42350
ko:K07043	apx:APA26_42370
ko:K01153	apx:APA26_42380
ko:K01154	apx:APA26_42390
ko:K03427	apx:APA26_42400
ko:K03417	apx:APA26_03610
ko:K00226	apx:APA26_14720
ko:K00570	apx:APA26_16840
ko:K07267	apx:APA26_22350
ko:K05372	apx:APA26_40590
ko:K16092	apx:APA26_04230
ko:K16090	apx:APA26_15440
ko:K16090	apx:APA26_22280
ko:K16137	apx:APA26_20520
ko:K16137	apx:APA26_40420
ko:K14230	apx:APA26_14370
ko:K14230	apx:APA26_24080
ko:K14230	apx:APA26_15970
ko:K14230	apx:APA26_20970
ko:K14230	apx:APA26_25510
ko:K02014	apx:APA26_04950
ko:K02014	apx:APA26_15330
ko:K02014	apx:APA26_41360
ko:K03561	apx:APA26_13010
ko:K03559	apx:APA26_13000
ko:K03559	apx:APA26_12990
ko:K15726	apx:APA26_42190
ko:K01546	apx:APA26_43100
ko:K01547	apx:APA26_43110
ko:K01548	apx:APA26_43120
ko:K07646	apx:APA26_43130
ko:K07667	apx:APA26_43140
ko:K07726	apx:APA26_44140
ko:K02014	apx:APA26_14120
ko:K00569	apx:APA26_14450
ko:K00595	apx:APA26_14510
ko:K01679	apx:APA26_14580
ko:K00033	apx:APA26_23130
ko:K00851	apx:APA26_23170
ko:K02342	apx:APA26_08710
ko:K02067	apx:APA26_08850
ko:K02200	apx:APA26_08930
ko:K02200	apx:APA26_08940
ko:K01496	apx:APA26_17380
ko:K01854	apx:APA26_17590
ko:K00769	apx:APA26_17640
ko:K01092	apx:APA26_17820
ko:K03769	apx:APA26_26300
ko:K01523	apx:APA26_26560
ko:K00799	apx:APA26_26620
ko:K00135	apx:APA26_00240
ko:K13953	apx:APA26_00250
ko:K00241	apx:APA26_00310
ko:K00939	apx:APA26_09520
ko:K02051	apx:APA26_09570
ko:K02050	apx:APA26_09580
ko:K02049	apx:APA26_09590
ko:K01259	apx:APA26_18310
ko:K00567	apx:APA26_26690
ko:K00970	apx:APA26_09760
ko:K11085	apx:APA26_09770
ko:K06147	apx:APA26_10030
ko:K00799	apx:APA26_10080
ko:K00135	apx:APA26_40440
ko:K03316	apx:APA26_40550
ko:K02428	apx:APA26_00620
ko:K05524	apx:APA26_00950
ko:K00383	apx:APA26_01050
ko:K00625	apx:APA26_14710
ko:K00799	apx:APA26_14780
ko:K00124	apx:APA26_14850
ko:K02427	apx:APA26_14890
ko:K00088	apx:APA26_15080
ko:K02035	apx:APA26_15090
ko:K02033	apx:APA26_15110
ko:K03386	apx:APA26_23580
ko:K09949	apx:APA26_06610
ko:K01759	apx:APA26_06620
ko:K00674	apx:APA26_06690
ko:K01439	apx:APA26_06700
ko:K02014	apx:APA26_15190
ko:K03442	apx:APA26_15340
ko:K07126	apx:APA26_15450
ko:K01424	apx:APA26_15480
ko:K02014	apx:APA26_15610
ko:K03177	apx:APA26_24370
ko:K07126	apx:APA26_24450
ko:K01082	apx:APA26_07200
ko:K08964	apx:APA26_07340
ko:K01577	apx:APA26_15720
ko:K01835	apx:APA26_15810
ko:K09702	apx:APA26_15830
ko:K00666	apx:APA26_16040
ko:K00652	apx:APA26_16060
ko:K00548	apx:APA26_24490
ko:K00721	apx:APA26_24580
ko:K02116	apx:APA26_24630
ko:K01759	apx:APA26_24670
ko:K03593	apx:APA26_24890
ko:K01885	apx:APA26_07620
ko:K02238	apx:APA26_07630
ko:K04763	apx:APA26_07890
ko:K05595	apx:APA26_07940
ko:K01409	apx:APA26_07960
ko:K01719	apx:APA26_07980
ko:K13628	apx:APA26_16560
ko:K04488	apx:APA26_16580
ko:K06147	apx:APA26_16700
ko:K02193	apx:APA26_25130
ko:K07250	apx:APA26_25330
ko:K02433	apx:APA26_25370
ko:K06147	apx:APA26_25400
ko:K00772	apx:APA26_08090
ko:K13953	apx:APA26_08590
ko:K01784	apx:APA26_08610
ko:K00721	apx:APA26_16880
ko:K06179	apx:APA26_17220
ko:K06177	apx:APA26_25960
ko:K02533	apx:APA26_26040
ko:K03316	apx:APA26_05450
ko:K07386	apx:APA26_05620
ko:K01455	apx:APA26_01550
ko:K00045	apx:APA26_10290
ko:K02035	apx:APA26_10350
ko:K03316	apx:APA26_10370
ko:K00030	apx:APA26_10420
ko:K01262	apx:APA26_10430
ko:K01006	apx:APA26_19100
ko:K01885	apx:APA26_19180
ko:K03294	apx:APA26_19370
ko:K10254	apx:APA26_41290
ko:K14235	apx:APA26_01140
ko:K02055	apx:APA26_01860
ko:K02052	apx:APA26_01870
ko:K06045	apx:APA26_01950
ko:K03386	apx:APA26_02050
ko:K01507	apx:APA26_02100
ko:K06910	apx:APA26_02220
ko:K03635	apx:APA26_10890
ko:K00652	apx:APA26_10910
ko:K03153	apx:APA26_11000
ko:K00568	apx:APA26_11260
ko:K02371	apx:APA26_11280
ko:K07213	apx:APA26_19580
ko:K03469	apx:APA26_19750
ko:K07123	apx:APA26_41630
ko:K02067	apx:APA26_02300
ko:K07263	apx:APA26_02420
ko:K01934	apx:APA26_02560
ko:K02067	apx:APA26_11370
ko:K03294	apx:APA26_11390
ko:K08305	apx:APA26_11420
ko:K07258	apx:APA26_11440
ko:K04063	apx:APA26_11540
ko:K01092	apx:APA26_11700
ko:K00059	apx:APA26_11750
ko:K04518	apx:APA26_11870
ko:K00135	apx:APA26_20540
ko:K03711	apx:APA26_03060
ko:K07657	apx:APA26_03170
ko:K07221	apx:APA26_03200
ko:K04765	apx:APA26_03320
ko:K08738	apx:APA26_11890
ko:K00058	apx:APA26_11910
ko:K01760	apx:APA26_11930
ko:K01011	apx:APA26_11940
ko:K03743	apx:APA26_12110
ko:K10563	apx:APA26_12340
ko:K02050	apx:APA26_12380
ko:K02049	apx:APA26_12390
ko:K07304	apx:APA26_12400
ko:K02014	apx:APA26_20650
ko:K02433	apx:APA26_20770
ko:K00700	apx:APA26_20810
ko:K02014	apx:APA26_20920
ko:K02050	apx:APA26_12790
ko:K02433	apx:APA26_12870
ko:K08178	apx:APA26_03630
ko:K01011	apx:APA26_03780
ko:K00121	apx:APA26_12700
ko:K02051	apx:APA26_12760
ko:K02049	apx:APA26_12780
ko:K00135	apx:APA26_13150
ko:K02014	apx:APA26_13280
ko:K03307	apx:APA26_21840
ko:K00059	apx:APA26_22030
ko:K02055	apx:APA26_22190
ko:K02052	apx:APA26_22200
ko:K03316	apx:APA26_04220
ko:K12373	apx:APA26_04270
ko:K07305	apx:APA26_04400
ko:K06045	apx:APA26_13100
ko:K02050	apx:APA26_13940
ko:K01941	apx:APA26_13990
ko:K02014	apx:APA26_14040
ko:K00135	apx:APA26_22400
ko:K07034	apx:APA26_22580
ko:K01692	apx:APA26_22590
ko:K02074	apx:APA26_22620
ko:K02077	apx:APA26_22630
ko:K02014	apx:APA26_13620
ko:K03535	apx:APA26_13800
ko:K02510	apx:APA26_13850
ko:K02051	apx:APA26_13930
ko:K19164	apx:APA26_43300
ko:K07267	apx:APA26_40870
ko:K16074	apx:APA26_23070
ko:K14233	apx:APA26_21720
ko:K11645	apx:APA26_02600
ko:K07165	apx:APA26_13600
ko:K03699	apx:APA26_03990
ko:K01840	apx:APA26_11180
ko:K01659	apx:APA26_03600
ko:K16264	apx:APA26_06040
ko:K01069	apx:APA26_07740
ko:K00146	apx:APA26_22090
ko:K11735	apx:APA26_07030
ko:K02054	apx:APA26_22150
ko:K02054	apx:APA26_22180
ko:K02014	apx:APA26_01490
ko:K13472	apx:APA26_40580
ko:K07749	apx:APA26_15730
ko:K14223	apx:APA26_26430
ko:K14233	apx:APA26_25390
ko:K14233	apx:APA26_18800
ko:K16066	apx:APA26_05540
ko:K14236	apx:APA26_08550
ko:K14224	apx:APA26_21950
ko:K03321	apx:APA26_17400
ko:K11959	apx:APA26_23330
ko:K11959	apx:APA26_01580
ko:K11960	apx:APA26_23320
ko:K11960	apx:APA26_01590
ko:K11961	apx:APA26_01600
ko:K07323	apx:APA26_02140
ko:K12205	apx:APA26_42780
ko:K12218	apx:APA26_42730
ko:K11961	apx:APA26_23310
ko:K01980	apx:APA26_14390
ko:K01980	apx:APA26_24100
ko:K01980	apx:APA26_20990
ko:K01980	apx:APA26_25530
ko:K01980	apx:APA26_15990
ko:K01977	apx:APA26_14420
ko:K01977	apx:APA26_25560
ko:K01977	apx:APA26_16020
ko:K01977	apx:APA26_21020
ko:K01977	apx:APA26_24130
ko:K01985	apx:APA26_14380
ko:K01985	apx:APA26_15980
ko:K01985	apx:APA26_24090
ko:K01985	apx:APA26_20980
ko:K01985	apx:APA26_25520
ko:K02075	apx:APA26_22610
ko:K11962	apx:APA26_23300
ko:K11962	apx:APA26_01610
ko:K11963	apx:APA26_23290
ko:K18828	apx:APA26_43270
ko:K07012	apx:APA26_41030
ko:K11963	apx:APA26_01620
ko:K14232	apx:APA26_17630
ko:K14219	apx:APA26_17610
ko:K14219	apx:APA26_21070
ko:K14219	apx:APA26_22730
ko:K14233	apx:APA26_17800
ko:K14220	apx:APA26_19510
ko:K14231	apx:APA26_19940
ko:K14234	apx:APA26_25750
ko:K14234	apx:APA26_26060
ko:K06016	apx:APA26_21600
ko:K02226	apx:APA26_22500
ko:K14228	apx:APA26_01820
ko:K14237	apx:APA26_03360
ko:K03559	apx:APA26_00690
ko:K03559	apx:APA26_00700
ko:K06075	apx:APA26_01900
ko:K03559	apx:APA26_13500
ko:K03559	apx:APA26_22300
ko:K07215	apx:APA26_14070
ko:K15555	apx:APA26_13680
ko:K00114	apx:APA26_22100
ko:K01487	apx:APA26_12970
ko:K02051	apx:APA26_19520
ko:K09810	apx:APA26_16250
ko:K13485	apx:APA26_12930
ko:K02196	apx:APA26_08980
ko:K14228	apx:APA26_00220
ko:K14228	apx:APA26_11160
ko:K14228	apx:APA26_16510
ko:K14228	apx:APA26_19840
ko:K14225	apx:APA26_01150
ko:K14225	apx:APA26_06990
ko:K14221	apx:APA26_02070
ko:K14230	apx:APA26_02110
ko:K14230	apx:APA26_11360
ko:K14237	apx:APA26_15030
ko:K14237	apx:APA26_16440
ko:K14237	apx:APA26_16450
ko:K14218	apx:APA26_04780
ko:K14226	apx:APA26_06280
ko:K14222	apx:APA26_12450
ko:K14232	apx:APA26_16970
ko:K14224	apx:APA26_23280
ko:K14229	apx:APA26_24290
ko:K14229	apx:APA26_26630
ko:K14234	apx:APA26_24560
ko:K07091	apx:APA26_16100
ko:K14223	apx:APA26_14870
ko:K14225	apx:APA26_26500
ko:K14227	apx:APA26_14410
ko:K14227	apx:APA26_16010
ko:K14227	apx:APA26_25550
ko:K14227	apx:APA26_21010
ko:K14227	apx:APA26_24120
ko:K14232	apx:APA26_26730
ko:K14218	apx:APA26_26810
ko:K07323	apx:APA26_03960
ko:K02029	apx:APA26_25100
ko:K02030	apx:APA26_25100
ko:K03457	apx:APA26_41980
ko:K03457	apx:APA26_21700
ko:K14218	apx:APA26_14400
ko:K14218	apx:APA26_24110
ko:K14218	apx:APA26_21000
ko:K14218	apx:APA26_16000
ko:K14218	apx:APA26_25540
ko:K02066	apx:APA26_08830
ko:K02065	apx:APA26_08840
ko:K02028	apx:APA26_25110
ko:K06218	apx:APA26_41270
ko:K00951	apx:APA26_06450
ko:K00040	apx:APA26_40070
ko:K00265	apx:APA26_19810
ko:K17218	apx:APA26_18520
ko:K02484	apx:APA26_15910
ko:K02484	apx:APA26_42170
ko:K04091	apx:APA26_14160
ko:K11532	apx:APA26_21350
ko:K02049	apx:APA26_13950
ko:K08316	apx:APA26_25710
ko:K04084	apx:APA26_21100
ko:K00102	apx:APA26_21930
ko:K22475	apx:APA26_07070
ko:K17686	apx:APA26_19210
ko:K17675	apx:APA26_01070
ko:K17675	apx:APA26_00960
ko:K17723	apx:APA26_21610
ko:K03292	apx:APA26_14100
ko:K19745	apx:APA26_03250
ko:K00537	apx:APA26_42360
ko:K00537	apx:APA26_42450
ko:K01658	apx:APA26_12220
ko:K01843	apx:APA26_02760
ko:K00661	apx:APA26_15820
ko:K00128	apx:APA26_20430
ko:K12574	apx:APA26_16280
ko:K18139	apx:APA26_01420
ko:K07506	apx:APA26_40700
ko:K12979	apx:APA26_02500
ko:K00127	apx:APA26_14840
ko:K18028	apx:APA26_23760
ko:K13995	apx:APA26_23750
ko:K18030	apx:APA26_23770
ko:K18029	apx:APA26_23780
ko:K03074	apx:APA26_10570
ko:K00329	apx:APA26_19830
ko:K00356	apx:APA26_19830
ko:K07003	apx:APA26_18530
ko:K07222	apx:APA26_41610
ko:K07222	apx:APA26_42010
ko:K01286	apx:APA26_02790
ko:K04771	apx:APA26_24860
ko:K00091	apx:APA26_02000
ko:K09017	apx:APA26_21710
ko:K02169	apx:APA26_10930
ko:K01935	apx:APA26_10930
ko:K16011	apx:APA26_18380
ko:K18118	apx:APA26_10710
ko:K21678	apx:APA26_01970
ko:K07165	apx:APA26_15870
ko:K07165	apx:APA26_13630
ko:K09691	apx:APA26_04100
ko:K01153	apx:APA26_14260
ko:K00537	apx:APA26_23620
ko:K11927	apx:APA26_19320
ko:K09712	apx:APA26_11600
ko:K03559	apx:APA26_20610
ko:K03559	apx:APA26_20620
ko:K02575	apx:APA26_42140
ko:K02160	apx:APA26_20720
ko:K03893	apx:APA26_42460
ko:K03549	apx:APA26_42630
ko:K03292	apx:APA26_43350
ko:K01669	apx:APA26_04390
ko:K02221	apx:APA26_04790
ko:K03535	apx:APA26_13820
ko:K18138	apx:APA26_01410
ko:K00681	apx:APA26_00430
ko:K00681	apx:APA26_02770
ko:K00681	apx:APA26_12980
ko:K18588	apx:APA26_12130
ko:K18587	apx:APA26_17080
ko:K09691	apx:APA26_23050
ko:K09690	apx:APA26_04110
ko:K18707	apx:APA26_24650
ko:K18702	apx:APA26_15690
ko:K01568	apx:APA26_23490
ko:K07172	apx:APA26_41500
ko:K18829	apx:APA26_41520
ko:K07171	apx:APA26_41490
ko:K21677	apx:APA26_01960
ko:K18829	apx:APA26_43260
ko:K18831	apx:APA26_23920
ko:K18918	apx:APA26_41260
ko:K18918	apx:APA26_42790
ko:K18928	apx:APA26_03840
ko:K18929	apx:APA26_03850
ko:K03111	apx:APA26_25720
ko:K03497	apx:APA26_26640
ko:K03496	apx:APA26_26650
ko:K03497	apx:APA26_40300
ko:K14161	apx:APA26_41300
ko:K18828	apx:APA26_41510
ko:K11811	apx:APA26_42340
ko:K18828	apx:APA26_42550
ko:K12217	apx:APA26_42710
ko:K12203	apx:APA26_42760
ko:K12204	apx:APA26_42770
ko:K06218	apx:APA26_42800
ko:K12206	apx:APA26_42810
ko:K03496	apx:APA26_43720
ko:K03496	apx:APA26_43920
ko:K03496	apx:APA26_44150
ko:K16898	apx:APA26_26100
ko:K07484	apx:APA26_14320
ko:K07484	apx:APA26_01790
ko:K07484	apx:APA26_08380
ko:K07484	apx:APA26_17900
ko:K07484	apx:APA26_18230
ko:K07484	apx:APA26_21640
ko:K03761	apx:APA26_09150
ko:K16899	apx:APA26_26110
ko:K07483	apx:APA26_14310
ko:K07483	apx:APA26_23970
ko:K07483	apx:APA26_08370
ko:K07483	apx:APA26_17890
ko:K07483	apx:APA26_18240
ko:K07483	apx:APA26_01800
ko:K07483	apx:APA26_42470
ko:K07483	apx:APA26_42520
ko:K07483	apx:APA26_42890
ko:K07483	apx:APA26_21650
ko:K07483	apx:APA26_43360
ko:K07483	apx:APA26_43580
ko:K07063	apx:APA26_43550
ko:K07497	apx:APA26_08170
ko:K07497	apx:APA26_08410
ko:K07497	apx:APA26_14360
ko:K07497	apx:APA26_17950
ko:K07497	apx:APA26_40180
ko:K07497	apx:APA26_41240
ko:K07497	apx:APA26_42430
ko:K07497	apx:APA26_42620
ko:K07497	apx:APA26_43980
ko:K07497	apx:APA26_44110
ko:K07497	apx:APA26_20950
ko:K00335	apx:APA26_16380
ko:K03976	apx:APA26_22680
ko:K18979	apx:APA26_02180
ko:K03526	apx:APA26_11300
ko:K02483	apx:APA26_19640
ko:K09472	apx:APA26_42000
ko:K00611	apx:APA26_07290
ko:K18996	apx:APA26_40640
ko:K19046	apx:APA26_41050
ko:K07497	apx:APA26_17940
ko:K07497	apx:APA26_08400
ko:K07497	apx:APA26_42980
ko:K07497	apx:APA26_15860
ko:K07497	apx:APA26_40010
ko:K07497	apx:APA26_42030
ko:K07497	apx:APA26_42580
ko:K07497	apx:APA26_42820
ko:K07497	apx:APA26_42990
ko:K07497	apx:APA26_43660
ko:K16238	apx:APA26_01390
ko:K19155	apx:APA26_40790
ko:K19156	apx:APA26_40780
ko:K19123	apx:APA26_41040
ko:K19163	apx:APA26_43310
ko:K01710	apx:APA26_25900
ko:K01710	apx:APA26_18080
ko:K00571	apx:APA26_08020
ko:K13581	apx:APA26_09690
ko:K19124	apx:APA26_41060
ko:K22468	apx:APA26_05910
ko:K03446	apx:APA26_23670
ko:K19125	apx:APA26_41070
ko:K19126	apx:APA26_41080
ko:K09951	apx:APA26_41100
ko:K19221	apx:APA26_22490
ko:K00798	apx:APA26_07140
ko:K00336	apx:APA26_16370
ko:K03722	apx:APA26_17830
ko:K07496	apx:APA26_17700
ko:K01992	apx:APA26_13050
ko:K07497	apx:APA26_14350
ko:K07497	apx:APA26_23380
ko:K07497	apx:APA26_15850
ko:K07497	apx:APA26_08180
ko:K07497	apx:APA26_40190
ko:K07497	apx:APA26_18770
ko:K07497	apx:APA26_18780
ko:K07497	apx:APA26_41230
ko:K07497	apx:APA26_41530
ko:K07497	apx:APA26_11810
ko:K07497	apx:APA26_42040
ko:K07497	apx:APA26_42420
ko:K07497	apx:APA26_20880
ko:K07497	apx:APA26_20890
ko:K07497	apx:APA26_20960
ko:K07497	apx:APA26_42530
ko:K07497	apx:APA26_42590
ko:K07497	apx:APA26_42610
ko:K07497	apx:APA26_42830
ko:K07497	apx:APA26_43650
ko:K07497	apx:APA26_43690
ko:K07497	apx:APA26_43970
ko:K07497	apx:APA26_44120
ko:K19338	apx:APA26_20760
ko:K00839	apx:APA26_12840
ko:K04771	apx:APA26_25660
ko:K02022	apx:APA26_24460
ko:K00059	apx:APA26_03300
ko:K19336	apx:APA26_15750
ko:K06867	apx:APA26_23100
ko:K02031	apx:APA26_15120
ko:K01066	apx:APA26_18890
ko:K01457	apx:APA26_14000
ko:K07344	apx:APA26_23890
ko:K04771	apx:APA26_07240
ko:K04096	apx:APA26_07540
ko:K14205	apx:APA26_07930
ko:K03574	apx:APA26_18370
ko:K00362	apx:APA26_42120
ko:K06075	apx:APA26_22560
ko:K19577	apx:APA26_20550
ko:K02032	apx:APA26_15130
ko:K17722	apx:APA26_21620
ko:K00799	apx:APA26_25980
ko:K19784	apx:APA26_20570
ko:K08744	apx:APA26_10860
ko:K07483	apx:APA26_23860
ko:K07483	apx:APA26_24050
ko:K07483	apx:APA26_40980
ko:K07483	apx:APA26_41160
ko:K07483	apx:APA26_41440
ko:K19813	apx:APA26_22380
ko:K21679	apx:APA26_01980
ko:K00380	apx:APA26_42070
ko:K20074	apx:APA26_01740
ko:K12132	apx:APA26_01750
ko:K07484	apx:APA26_08390
ko:K07484	apx:APA26_17910
ko:K07484	apx:APA26_18220
ko:K07484	apx:APA26_01780
ko:K07484	apx:APA26_21630
ko:K12132	apx:APA26_01760
ko:K20531	apx:APA26_23880
ko:K20532	apx:APA26_23870
ko:K20533	apx:APA26_23840
ko:K20539	apx:APA26_16230
ko:K20534	apx:APA26_17550
ko:K22066	apx:APA26_11130
ko:K11529	apx:APA26_05700
ko:K01214	apx:APA26_20830
ko:K11529	apx:APA26_00840
ko:K00821	apx:APA26_07300
ko:K21029	apx:APA26_06140
ko:K09961	apx:APA26_05210
ko:K09960	apx:APA26_05220
ko:K02314	apx:APA26_06910
ko:K07336	apx:APA26_15430
ko:K03465	apx:APA26_24920
ko:K03553	apx:APA26_00440
ko:K06919	apx:APA26_26880
ko:K02316	apx:APA26_09900
ko:K06217	apx:APA26_10770
ko:K09882	apx:APA26_11110
ko:K03676	apx:APA26_11220
ko:K01185	apx:APA26_19980
ko:K06904	apx:APA26_20140
ko:K01520	apx:APA26_12370
ko:K07336	apx:APA26_22250
ko:K07451	apx:APA26_04750
ko:K09806	apx:APA26_26390
ko:K02335	apx:APA26_21430
ko:K02014	apx:APA26_05630
ko:K00525	apx:APA26_10600
ko:K00526	apx:APA26_10610
ko:K21416	apx:APA26_05940
ko:K21417	apx:APA26_05950
ko:K02483	apx:APA26_15920
ko:K02483	apx:APA26_09180
ko:K02483	apx:APA26_42180
ko:K21420	apx:APA26_19390
ko:K22044	apx:APA26_26330
ko:K01420	apx:APA26_25650
