ko:K19743	apg:APA12_08140
ko:K02935	apg:APA12_09260
ko:K03043	apg:APA12_09270
ko:K03046	apg:APA12_09280
ko:K02950	apg:APA12_09290
ko:K02992	apg:APA12_09300
ko:K02358	apg:APA12_09310
ko:K02946	apg:APA12_09315
ko:K02906	apg:APA12_09320
ko:K02926	apg:APA12_09330
ko:K02892	apg:APA12_09340
ko:K02886	apg:APA12_09350
ko:K02965	apg:APA12_09355
ko:K02890	apg:APA12_09360
ko:K02982	apg:APA12_09370
ko:K02878	apg:APA12_09380
ko:K02904	apg:APA12_09390
ko:K02961	apg:APA12_09400
ko:K02874	apg:APA12_09410
ko:K02895	apg:APA12_09420
ko:K02931	apg:APA12_09430
ko:K02954	apg:APA12_09440
ko:K02994	apg:APA12_09450
ko:K02933	apg:APA12_09460
ko:K02881	apg:APA12_09470
ko:K02988	apg:APA12_09480
ko:K02907	apg:APA12_09490
ko:K02876	apg:APA12_09500
ko:K03076	apg:APA12_09510
ko:K02952	apg:APA12_09530
ko:K02948	apg:APA12_09540
ko:K03040	apg:APA12_09550
ko:K02879	apg:APA12_09560
ko:K03320	apg:APA12_18280
ko:K03733	apg:APA12_18320
ko:K04066	apg:APA12_18330
ko:K03210	apg:APA12_18340
ko:K06923	apg:APA12_18350
ko:K10764	apg:APA12_18390
ko:K06195	apg:APA12_18400
ko:K01495	apg:APA12_18410
ko:K05520	apg:APA12_18420
ko:K03638	apg:APA12_18430
ko:K07267	apg:APA12_18440
ko:K00794	apg:APA12_18550
ko:K14652	apg:APA12_18560
ko:K00793	apg:APA12_18570
ko:K11752	apg:APA12_18580
ko:K00412	apg:APA12_18590
ko:K00413	apg:APA12_18600
ko:K00411	apg:APA12_18610
ko:K06901	apg:APA12_18650
ko:K10773	apg:APA12_25410
ko:K01772	apg:APA12_25420
ko:K03575	apg:APA12_25430
ko:K01869	apg:APA12_25480
ko:K03643	apg:APA12_25490
ko:K02340	apg:APA12_25500
ko:K03522	apg:APA12_25590
ko:K03521	apg:APA12_25600
ko:K00311	apg:APA12_25610
ko:K07275	apg:APA12_25640
ko:K07010	apg:APA12_25690
ko:K06178	apg:APA12_25700
ko:K06204	apg:APA12_25740
ko:K02019	apg:APA12_00460
ko:K03670	apg:APA12_00470
ko:K03669	apg:APA12_00480
ko:K01443	apg:APA12_00490
ko:K02343	apg:APA12_00520
ko:K09747	apg:APA12_00530
ko:K06187	apg:APA12_00540
ko:K01633	apg:APA12_00560
ko:K00800	apg:APA12_00580
ko:K00945	apg:APA12_00590
ko:K02945	apg:APA12_00600
ko:K00989	apg:APA12_00630
ko:K03705	apg:APA12_00640
ko:K05366	apg:APA12_00650
ko:K02836	apg:APA12_00660
ko:K03832	apg:APA12_00670
ko:K03561	apg:APA12_00680
ko:K05837	apg:APA12_00720
ko:K05515	apg:APA12_00730
ko:K03571	apg:APA12_00740
ko:K03570	apg:APA12_00750
ko:K03569	apg:APA12_00760
ko:K01649	apg:APA12_00770
ko:K02259	apg:APA12_00780
ko:K07552	apg:APA12_00800
ko:K00759	apg:APA12_00820
ko:K01975	apg:APA12_00880
ko:K06890	apg:APA12_00890
ko:K02297	apg:APA12_00900
ko:K02298	apg:APA12_00910
ko:K02299	apg:APA12_00920
ko:K02300	apg:APA12_00930
ko:K01255	apg:APA12_00970
ko:K07789	apg:APA12_09630
ko:K07788	apg:APA12_09640
ko:K07799	apg:APA12_09650
ko:K03470	apg:APA12_09680
ko:K03924	apg:APA12_09740
ko:K09986	apg:APA12_09750
ko:K03543	apg:APA12_09780
ko:K03446	apg:APA12_09790
ko:K08311	apg:APA12_09800
ko:K09798	apg:APA12_09810
ko:K03797	apg:APA12_09820
ko:K15633	apg:APA12_09840
ko:K01754	apg:APA12_09850
ko:K03624	apg:APA12_09860
ko:K01955	apg:APA12_09870
ko:K01956	apg:APA12_09880
ko:K09117	apg:APA12_09890
ko:K03086	apg:APA12_09910
ko:K02990	apg:APA12_09930
ko:K02963	apg:APA12_09940
ko:K02939	apg:APA12_09950
ko:K00574	apg:APA12_09960
ko:K02528	apg:APA12_09970
ko:K03771	apg:APA12_09980
ko:K04744	apg:APA12_09990
ko:K11720	apg:APA12_10000
ko:K07091	apg:APA12_10010
ko:K03608	apg:APA12_10050
ko:K03609	apg:APA12_10060
ko:K03610	apg:APA12_10070
ko:K07007	apg:APA12_10090
ko:K02888	apg:APA12_18810
ko:K02899	apg:APA12_18820
ko:K03979	apg:APA12_18830
ko:K00931	apg:APA12_18840
ko:K00036	apg:APA12_18870
ko:K03925	apg:APA12_18900
ko:K03438	apg:APA12_18910
ko:K03587	apg:APA12_18930
ko:K01928	apg:APA12_18940
ko:K01929	apg:APA12_18950
ko:K01000	apg:APA12_18960
ko:K01925	apg:APA12_18970
ko:K03588	apg:APA12_18980
ko:K02563	apg:APA12_18990
ko:K01924	apg:APA12_19000
ko:K00075	apg:APA12_19010
ko:K01921	apg:APA12_19020
ko:K03589	apg:APA12_19030
ko:K03590	apg:APA12_19040
ko:K03531	apg:APA12_19050
ko:K02535	apg:APA12_19060
ko:K05807	apg:APA12_19070
ko:K03631	apg:APA12_19080
ko:K01972	apg:APA12_19090
ko:K09773	apg:APA12_19110
ko:K01626	apg:APA12_19150
ko:K00763	apg:APA12_19160
ko:K08281	apg:APA12_19190
ko:K07233	apg:APA12_19240
ko:K00053	apg:APA12_19250
ko:K01653	apg:APA12_19260
ko:K01652	apg:APA12_19270
ko:K00791	apg:APA12_19280
ko:K01079	apg:APA12_19290
ko:K07276	apg:APA12_19310
ko:K00600	apg:APA12_19360
ko:K13013	apg:APA12_01000
ko:K01465	apg:APA12_01040
ko:K00528	apg:APA12_01060
ko:K00029	apg:APA12_01110
ko:K02601	apg:APA12_01120
ko:K03073	apg:APA12_01130
ko:K02113	apg:APA12_01170
ko:K02111	apg:APA12_01180
ko:K02115	apg:APA12_01190
ko:K02112	apg:APA12_01200
ko:K02114	apg:APA12_01210
ko:K09457	apg:APA12_01220
ko:K03684	apg:APA12_01230
ko:K13583	apg:APA12_01260
ko:K11738	apg:APA12_01270
ko:K02045	apg:APA12_01280
ko:K02047	apg:APA12_01290
ko:K02046	apg:APA12_01300
ko:K02048	apg:APA12_01350
ko:K03735	apg:APA12_01370
ko:K03736	apg:APA12_01380
ko:K03585	apg:APA12_01400
ko:K03704	apg:APA12_01430
ko:K07056	apg:APA12_10110
ko:K07736	apg:APA12_10130
ko:K01070	apg:APA12_10150
ko:K09811	apg:APA12_10170
ko:K09812	apg:APA12_10180
ko:K01419	apg:APA12_10230
ko:K03667	apg:APA12_10240
ko:K02426	apg:APA12_10250
ko:K07302	apg:APA12_10270
ko:K02916	apg:APA12_10300
ko:K02887	apg:APA12_10310
ko:K01889	apg:APA12_10320
ko:K01890	apg:APA12_10330
ko:K02040	apg:APA12_10340
ko:K02986	apg:APA12_10390
ko:K02837	apg:APA12_10400
ko:K02687	apg:APA12_10440
ko:K03657	apg:APA12_10450
ko:K03630	apg:APA12_10460
ko:K03630	apg:APA12_10470
ko:K01546	apg:APA12_40500
ko:K01153	apg:APA12_43180
ko:K01154	apg:APA12_43200
ko:K03427	apg:APA12_43210
ko:K01589	apg:APA12_10480
ko:K01588	apg:APA12_10490
ko:K09987	apg:APA12_10520
ko:K04080	apg:APA12_10530
ko:K02909	apg:APA12_10540
ko:K03282	apg:APA12_10550
ko:K03072	apg:APA12_10580
ko:K07341	apg:APA12_43770
ko:K07726	apg:APA12_43930
ko:K01547	apg:APA12_40510
ko:K03316	apg:APA12_05450
ko:K00569	apg:APA12_14450
ko:K00595	apg:APA12_14510
ko:K01679	apg:APA12_14580
ko:K00625	apg:APA12_14710
ko:K00799	apg:APA12_14780
ko:K00124	apg:APA12_14850
ko:K02427	apg:APA12_14890
ko:K03593	apg:APA12_24890
ko:K02193	apg:APA12_25130
ko:K07250	apg:APA12_25330
ko:K02433	apg:APA12_25370
ko:K07386	apg:APA12_05620
ko:K00088	apg:APA12_15080
ko:K02035	apg:APA12_15090
ko:K02033	apg:APA12_15110
ko:K02014	apg:APA12_15190
ko:K03442	apg:APA12_15340
ko:K07126	apg:APA12_15450
ko:K01424	apg:APA12_15480
ko:K06177	apg:APA12_25960
ko:K02533	apg:APA12_26040
ko:K03769	apg:APA12_26300
ko:K03417	apg:APA12_03610
ko:K02014	apg:APA12_15610
ko:K01577	apg:APA12_15720
ko:K01835	apg:APA12_15810
ko:K09702	apg:APA12_15830
ko:K00666	apg:APA12_16040
ko:K00652	apg:APA12_16060
ko:K00135	apg:APA12_40440
ko:K09949	apg:APA12_06610
ko:K01759	apg:APA12_06620
ko:K00674	apg:APA12_06690
ko:K01439	apg:APA12_06700
ko:K03635	apg:APA12_10890
ko:K00652	apg:APA12_10910
ko:K03153	apg:APA12_11000
ko:K03294	apg:APA12_19370
ko:K07213	apg:APA12_19580
ko:K03469	apg:APA12_19750
ko:K01082	apg:APA12_07200
ko:K13628	apg:APA12_16560
ko:K04488	apg:APA12_16580
ko:K08964	apg:APA12_07340
ko:K01885	apg:APA12_07620
ko:K02238	apg:APA12_07630
ko:K06147	apg:APA12_16700
ko:K00721	apg:APA12_16880
ko:K02055	apg:APA12_22190
ko:K02052	apg:APA12_22200
ko:K00135	apg:APA12_22400
ko:K07034	apg:APA12_22580
ko:K01692	apg:APA12_22590
ko:K02074	apg:APA12_22620
ko:K04763	apg:APA12_07890
ko:K05595	apg:APA12_07940
ko:K01409	apg:APA12_07960
ko:K00568	apg:APA12_11260
ko:K02371	apg:APA12_11280
ko:K02067	apg:APA12_11370
ko:K03294	apg:APA12_11390
ko:K08305	apg:APA12_11420
ko:K07258	apg:APA12_11440
ko:K04063	apg:APA12_11540
ko:K01092	apg:APA12_11700
ko:K02055	apg:APA12_01860
ko:K02052	apg:APA12_01870
ko:K06045	apg:APA12_01950
ko:K03386	apg:APA12_02050
ko:K01507	apg:APA12_02100
ko:K06910	apg:APA12_02220
ko:K02067	apg:APA12_02300
ko:K01934	apg:APA12_02560
ko:K07263	apg:APA12_02420
ko:K00059	apg:APA12_11750
ko:K04518	apg:APA12_11870
ko:K08738	apg:APA12_11890
ko:K00058	apg:APA12_11910
ko:K01760	apg:APA12_11930
ko:K01011	apg:APA12_11940
ko:K03743	apg:APA12_12110
ko:K01523	apg:APA12_26560
ko:K00799	apg:APA12_26620
ko:K00567	apg:APA12_26690
ko:K01719	apg:APA12_07980
ko:K00772	apg:APA12_08090
ko:K06179	apg:APA12_17220
ko:K01496	apg:APA12_17380
ko:K01854	apg:APA12_17590
ko:K00769	apg:APA12_17640
ko:K03386	apg:APA12_23580
ko:K03711	apg:APA12_03060
ko:K07657	apg:APA12_03170
ko:K07221	apg:APA12_03200
ko:K10563	apg:APA12_12340
ko:K02050	apg:APA12_12380
ko:K02049	apg:APA12_12390
ko:K07304	apg:APA12_12400
ko:K00121	apg:APA12_12700
ko:K02051	apg:APA12_12760
ko:K00135	apg:APA12_20540
ko:K02014	apg:APA12_20650
ko:K02433	apg:APA12_20770
ko:K00700	apg:APA12_20810
ko:K02014	apg:APA12_20920
ko:K13953	apg:APA12_08590
ko:K01784	apg:APA12_08610
ko:K02342	apg:APA12_08710
ko:K02067	apg:APA12_08850
ko:K02200	apg:APA12_08930
ko:K02200	apg:APA12_08940
ko:K01092	apg:APA12_17820
ko:K03177	apg:APA12_24370
ko:K07126	apg:APA12_24450
ko:K00548	apg:APA12_24490
ko:K00721	apg:APA12_24580
ko:K02116	apg:APA12_24630
ko:K01759	apg:APA12_24670
ko:K00241	apg:APA12_00310
ko:K00939	apg:APA12_09520
ko:K01259	apg:APA12_18310
ko:K06147	apg:APA12_25400
ko:K00135	apg:APA12_00240
ko:K13953	apg:APA12_00250
ko:K02428	apg:APA12_00620
ko:K05524	apg:APA12_00950
ko:K02051	apg:APA12_09570
ko:K02050	apg:APA12_09580
ko:K02049	apg:APA12_09590
ko:K00970	apg:APA12_09760
ko:K11085	apg:APA12_09770
ko:K06147	apg:APA12_10030
ko:K00799	apg:APA12_10080
ko:K01006	apg:APA12_19100
ko:K01885	apg:APA12_19180
ko:K02049	apg:APA12_12780
ko:K02050	apg:APA12_12790
ko:K02433	apg:APA12_12870
ko:K06045	apg:APA12_13100
ko:K00135	apg:APA12_13150
ko:K02014	apg:APA12_13280
ko:K03307	apg:APA12_21840
ko:K00059	apg:APA12_22030
ko:K04765	apg:APA12_03320
ko:K08178	apg:APA12_03630
ko:K01011	apg:APA12_03780
ko:K00383	apg:APA12_01050
ko:K01455	apg:APA12_01550
ko:K00045	apg:APA12_10290
ko:K02035	apg:APA12_10350
ko:K03316	apg:APA12_10370
ko:K00030	apg:APA12_10420
ko:K01262	apg:APA12_10430
ko:K03316	apg:APA12_04220
ko:K12373	apg:APA12_04270
ko:K02014	apg:APA12_13620
ko:K03535	apg:APA12_13800
ko:K02510	apg:APA12_13850
ko:K02077	apg:APA12_22630
ko:K00033	apg:APA12_23130
ko:K00851	apg:APA12_23170
ko:K07305	apg:APA12_04400
ko:K02051	apg:APA12_13930
ko:K02050	apg:APA12_13940
ko:K01941	apg:APA12_13990
ko:K02014	apg:APA12_14040
ko:K02014	apg:APA12_14120
ko:K00570	apg:APA12_16840
ko:K07267	apg:APA12_22350
ko:K05372	apg:APA12_40590
ko:K16092	apg:APA12_04230
ko:K16090	apg:APA12_15440
ko:K16090	apg:APA12_22280
ko:K16137	apg:APA12_20520
ko:K16137	apg:APA12_40420
ko:K14230	apg:APA12_14370
ko:K14230	apg:APA12_24080
ko:K14230	apg:APA12_20970
ko:K14230	apg:APA12_25510
ko:K14230	apg:APA12_15970
ko:K03561	apg:APA12_13010
ko:K03559	apg:APA12_13000
ko:K03559	apg:APA12_12990
ko:K15726	apg:APA12_42190
ko:K01546	apg:APA12_43100
ko:K01547	apg:APA12_43110
ko:K01548	apg:APA12_43120
ko:K07646	apg:APA12_43130
ko:K07667	apg:APA12_43140
ko:K07726	apg:APA12_44140
ko:K02014	apg:APA12_04950
ko:K02014	apg:APA12_15330
ko:K02014	apg:APA12_41360
ko:K10254	apg:APA12_41290
ko:K07123	apg:APA12_41630
ko:K03316	apg:APA12_40550
ko:K14235	apg:APA12_01140
ko:K19164	apg:APA12_43300
ko:K16074	apg:APA12_23070
ko:K07267	apg:APA12_40870
ko:K14233	apg:APA12_21720
ko:K11645	apg:APA12_02600
ko:K07165	apg:APA12_13600
ko:K03699	apg:APA12_03990
ko:K01840	apg:APA12_11180
ko:K01659	apg:APA12_03600
ko:K16264	apg:APA12_06040
ko:K01069	apg:APA12_07740
ko:K00146	apg:APA12_22090
ko:K11735	apg:APA12_07030
ko:K02054	apg:APA12_22150
ko:K02054	apg:APA12_22180
ko:K02014	apg:APA12_01490
ko:K13472	apg:APA12_40580
ko:K07749	apg:APA12_15730
ko:K16066	apg:APA12_05540
ko:K14223	apg:APA12_26430
ko:K14233	apg:APA12_25390
ko:K14233	apg:APA12_18800
ko:K14236	apg:APA12_08550
ko:K14224	apg:APA12_21950
ko:K03321	apg:APA12_17400
ko:K11959	apg:APA12_23330
ko:K11959	apg:APA12_01580
ko:K11960	apg:APA12_23320
ko:K11960	apg:APA12_01590
ko:K11961	apg:APA12_01600
ko:K07323	apg:APA12_02140
ko:K12205	apg:APA12_42780
ko:K12218	apg:APA12_42730
ko:K11961	apg:APA12_23310
ko:K01980	apg:APA12_14390
ko:K01980	apg:APA12_25530
ko:K01980	apg:APA12_15990
ko:K01980	apg:APA12_20990
ko:K01980	apg:APA12_24100
ko:K01977	apg:APA12_14420
ko:K01977	apg:APA12_21020
ko:K01977	apg:APA12_25560
ko:K01977	apg:APA12_24130
ko:K01977	apg:APA12_16020
ko:K01985	apg:APA12_14380
ko:K01985	apg:APA12_20980
ko:K01985	apg:APA12_24090
ko:K01985	apg:APA12_25520
ko:K01985	apg:APA12_15980
ko:K02075	apg:APA12_22610
ko:K11962	apg:APA12_23300
ko:K11962	apg:APA12_01610
ko:K11963	apg:APA12_23290
ko:K18828	apg:APA12_43270
ko:K07012	apg:APA12_41030
ko:K11963	apg:APA12_01620
ko:K14232	apg:APA12_17630
ko:K14219	apg:APA12_17610
ko:K14219	apg:APA12_21070
ko:K14219	apg:APA12_22730
ko:K14233	apg:APA12_17800
ko:K14220	apg:APA12_19510
ko:K14231	apg:APA12_19940
ko:K14234	apg:APA12_25750
ko:K14234	apg:APA12_26060
ko:K06016	apg:APA12_21600
ko:K02226	apg:APA12_22500
ko:K14228	apg:APA12_01820
ko:K14237	apg:APA12_03360
ko:K07215	apg:APA12_14070
ko:K00265	apg:APA12_19810
ko:K00951	apg:APA12_06450
ko:K00040	apg:APA12_40070
ko:K15555	apg:APA12_13680
ko:K06075	apg:APA12_01900
ko:K03559	apg:APA12_13500
ko:K03559	apg:APA12_22300
ko:K03559	apg:APA12_00690
ko:K03559	apg:APA12_00700
ko:K00114	apg:APA12_22100
ko:K01487	apg:APA12_12970
ko:K02051	apg:APA12_19520
ko:K14218	apg:APA12_14400
ko:K14218	apg:APA12_21000
ko:K14218	apg:APA12_16000
ko:K14218	apg:APA12_24110
ko:K14218	apg:APA12_25540
ko:K09810	apg:APA12_16250
ko:K13485	apg:APA12_12930
ko:K02196	apg:APA12_08980
ko:K14228	apg:APA12_00220
ko:K14228	apg:APA12_11160
ko:K14228	apg:APA12_16510
ko:K14228	apg:APA12_19840
ko:K14225	apg:APA12_01150
ko:K14225	apg:APA12_06990
ko:K14221	apg:APA12_02070
ko:K14230	apg:APA12_02110
ko:K14230	apg:APA12_11360
ko:K14237	apg:APA12_15030
ko:K14237	apg:APA12_16440
ko:K14237	apg:APA12_16450
ko:K14218	apg:APA12_04780
ko:K14226	apg:APA12_06280
ko:K14222	apg:APA12_12450
ko:K14232	apg:APA12_16970
ko:K14224	apg:APA12_23280
ko:K14229	apg:APA12_24290
ko:K14229	apg:APA12_26630
ko:K14234	apg:APA12_24560
ko:K07091	apg:APA12_16100
ko:K14223	apg:APA12_14870
ko:K14227	apg:APA12_14410
ko:K14227	apg:APA12_21010
ko:K14227	apg:APA12_16010
ko:K14227	apg:APA12_25550
ko:K14227	apg:APA12_24120
ko:K14225	apg:APA12_26500
ko:K14232	apg:APA12_26730
ko:K14218	apg:APA12_26810
ko:K07323	apg:APA12_03960
ko:K02029	apg:APA12_25100
ko:K02030	apg:APA12_25100
ko:K03457	apg:APA12_21700
ko:K03457	apg:APA12_41980
ko:K02066	apg:APA12_08830
ko:K02065	apg:APA12_08840
ko:K02028	apg:APA12_25110
ko:K06218	apg:APA12_41270
ko:K17218	apg:APA12_18520
ko:K02484	apg:APA12_15910
ko:K02484	apg:APA12_42170
ko:K04091	apg:APA12_14160
ko:K11532	apg:APA12_21350
ko:K02049	apg:APA12_13950
ko:K08316	apg:APA12_25710
ko:K04084	apg:APA12_21100
ko:K00102	apg:APA12_21930
ko:K17686	apg:APA12_19210
ko:K17675	apg:APA12_01070
ko:K17675	apg:APA12_00960
ko:K17723	apg:APA12_21610
ko:K03292	apg:APA12_14100
ko:K00226	apg:APA12_14720
ko:K19745	apg:APA12_03250
ko:K01658	apg:APA12_12220
ko:K00537	apg:APA12_42360
ko:K00537	apg:APA12_42450
ko:K01843	apg:APA12_02760
ko:K00661	apg:APA12_15820
ko:K00128	apg:APA12_20430
ko:K12574	apg:APA12_16280
ko:K18139	apg:APA12_01420
ko:K07506	apg:APA12_40700
ko:K12979	apg:APA12_02500
ko:K00127	apg:APA12_14840
ko:K18028	apg:APA12_23760
ko:K13995	apg:APA12_23750
ko:K18030	apg:APA12_23770
ko:K18029	apg:APA12_23780
ko:K03074	apg:APA12_10570
ko:K00329	apg:APA12_19830
ko:K00356	apg:APA12_19830
ko:K07003	apg:APA12_18530
ko:K07222	apg:APA12_41610
ko:K07222	apg:APA12_42010
ko:K00091	apg:APA12_02000
ko:K09017	apg:APA12_21710
ko:K01286	apg:APA12_02790
ko:K04771	apg:APA12_24860
ko:K16011	apg:APA12_18380
ko:K18118	apg:APA12_10710
ko:K21678	apg:APA12_01970
ko:K18138	apg:APA12_01410
ko:K07165	apg:APA12_13630
ko:K07165	apg:APA12_15870
ko:K09691	apg:APA12_04100
ko:K09712	apg:APA12_11600
ko:K03559	apg:APA12_20610
ko:K03559	apg:APA12_20620
ko:K02160	apg:APA12_20720
ko:K03535	apg:APA12_13820
ko:K01669	apg:APA12_04390
ko:K02221	apg:APA12_04790
ko:K01153	apg:APA12_14260
ko:K00537	apg:APA12_23620
ko:K11927	apg:APA12_19320
ko:K02575	apg:APA12_42140
ko:K03893	apg:APA12_42460
ko:K03549	apg:APA12_42630
ko:K03292	apg:APA12_43350
ko:K00681	apg:APA12_02770
ko:K00681	apg:APA12_12980
ko:K00681	apg:APA12_00430
ko:K18588	apg:APA12_12130
ko:K18587	apg:APA12_17080
ko:K09691	apg:APA12_23050
ko:K09690	apg:APA12_04110
ko:K18707	apg:APA12_24650
ko:K18702	apg:APA12_15690
ko:K01568	apg:APA12_23490
ko:K07172	apg:APA12_41500
ko:K18829	apg:APA12_41520
ko:K07171	apg:APA12_41490
ko:K21677	apg:APA12_01960
ko:K18829	apg:APA12_43260
ko:K18831	apg:APA12_23920
ko:K18918	apg:APA12_41260
ko:K18918	apg:APA12_42790
ko:K18828	apg:APA12_41510
ko:K18928	apg:APA12_03840
ko:K18929	apg:APA12_03850
ko:K03497	apg:APA12_26640
ko:K03496	apg:APA12_26650
ko:K14161	apg:APA12_41300
ko:K03497	apg:APA12_40300
ko:K03111	apg:APA12_25720
ko:K11811	apg:APA12_42340
ko:K18828	apg:APA12_42550
ko:K12217	apg:APA12_42710
ko:K12203	apg:APA12_42760
ko:K12204	apg:APA12_42770
ko:K06218	apg:APA12_42800
ko:K12206	apg:APA12_42810
ko:K03496	apg:APA12_43720
ko:K03496	apg:APA12_43920
ko:K03496	apg:APA12_44150
ko:K16898	apg:APA12_26100
ko:K07484	apg:APA12_14320
ko:K07484	apg:APA12_01790
ko:K07484	apg:APA12_08380
ko:K07484	apg:APA12_17900
ko:K07484	apg:APA12_18230
ko:K07484	apg:APA12_21640
ko:K03761	apg:APA12_09150
ko:K07483	apg:APA12_01800
ko:K07483	apg:APA12_21650
ko:K07483	apg:APA12_14310
ko:K07483	apg:APA12_23970
ko:K07483	apg:APA12_08370
ko:K07483	apg:APA12_17890
ko:K07483	apg:APA12_18240
ko:K16899	apg:APA12_26110
ko:K07483	apg:APA12_42470
ko:K07483	apg:APA12_42520
ko:K07483	apg:APA12_42890
ko:K07483	apg:APA12_43360
ko:K07483	apg:APA12_43580
ko:K07063	apg:APA12_43550
ko:K07497	apg:APA12_40180
ko:K07497	apg:APA12_41240
ko:K07497	apg:APA12_42430
ko:K07497	apg:APA12_42620
ko:K07497	apg:APA12_43980
ko:K07497	apg:APA12_44110
ko:K03976	apg:APA12_22680
ko:K00335	apg:APA12_16380
ko:K18979	apg:APA12_02180
ko:K03526	apg:APA12_11300
ko:K02483	apg:APA12_19640
ko:K09472	apg:APA12_42000
ko:K00611	apg:APA12_07290
ko:K18996	apg:APA12_40640
ko:K19046	apg:APA12_41050
ko:K07497	apg:APA12_08400
ko:K07497	apg:APA12_42980
ko:K07497	apg:APA12_17940
ko:K07497	apg:APA12_20950
ko:K07497	apg:APA12_15860
ko:K07497	apg:APA12_40010
ko:K07497	apg:APA12_42030
ko:K07497	apg:APA12_42580
ko:K07497	apg:APA12_42820
ko:K07497	apg:APA12_42990
ko:K07497	apg:APA12_43660
ko:K07497	apg:APA12_08170
ko:K07497	apg:APA12_08410
ko:K07497	apg:APA12_14360
ko:K07497	apg:APA12_17950
ko:K16238	apg:APA12_01390
ko:K19155	apg:APA12_40790
ko:K19156	apg:APA12_40780
ko:K19123	apg:APA12_41040
ko:K19163	apg:APA12_43310
ko:K01710	apg:APA12_25900
ko:K01710	apg:APA12_18080
ko:K00571	apg:APA12_08020
ko:K13581	apg:APA12_09690
ko:K19124	apg:APA12_41060
ko:K22468	apg:APA12_05910
ko:K03446	apg:APA12_23670
ko:K19125	apg:APA12_41070
ko:K19126	apg:APA12_41080
ko:K09951	apg:APA12_41100
ko:K19221	apg:APA12_22490
ko:K00798	apg:APA12_07140
ko:K00336	apg:APA12_16370
ko:K03722	apg:APA12_17830
ko:K07496	apg:APA12_17700
ko:K01992	apg:APA12_13050
ko:K07497	apg:APA12_11810
ko:K07497	apg:APA12_20880
ko:K07497	apg:APA12_20890
ko:K07497	apg:APA12_20960
ko:K07497	apg:APA12_14350
ko:K07497	apg:APA12_15850
ko:K07497	apg:APA12_40190
ko:K07497	apg:APA12_08180
ko:K07497	apg:APA12_23380
ko:K07497	apg:APA12_18770
ko:K07497	apg:APA12_18780
ko:K07497	apg:APA12_41230
ko:K07497	apg:APA12_41530
ko:K07497	apg:APA12_42040
ko:K07497	apg:APA12_42420
ko:K07497	apg:APA12_42530
ko:K07497	apg:APA12_42590
ko:K07497	apg:APA12_42610
ko:K07497	apg:APA12_42830
ko:K07497	apg:APA12_43650
ko:K07497	apg:APA12_43690
ko:K07497	apg:APA12_43970
ko:K07497	apg:APA12_44120
ko:K19338	apg:APA12_20760
ko:K00839	apg:APA12_12840
ko:K04771	apg:APA12_25660
ko:K02022	apg:APA12_24460
ko:K00059	apg:APA12_03300
ko:K19336	apg:APA12_15750
ko:K06867	apg:APA12_23100
ko:K02031	apg:APA12_15120
ko:K01066	apg:APA12_18890
ko:K01457	apg:APA12_14000
ko:K07344	apg:APA12_23890
ko:K04771	apg:APA12_07240
ko:K04096	apg:APA12_07540
ko:K06075	apg:APA12_22560
ko:K14205	apg:APA12_07930
ko:K03574	apg:APA12_18370
ko:K00362	apg:APA12_42120
ko:K19577	apg:APA12_20550
ko:K02032	apg:APA12_15130
ko:K19689	apg:APA12_03660
ko:K17722	apg:APA12_21620
ko:K00799	apg:APA12_25980
ko:K19784	apg:APA12_20570
ko:K08744	apg:APA12_10860
ko:K07483	apg:APA12_23860
ko:K07483	apg:APA12_24050
ko:K07483	apg:APA12_40980
ko:K07483	apg:APA12_41160
ko:K07483	apg:APA12_41440
ko:K19813	apg:APA12_22380
ko:K21679	apg:APA12_01980
ko:K00380	apg:APA12_42070
ko:K20074	apg:APA12_01740
ko:K12132	apg:APA12_01750
ko:K07484	apg:APA12_01780
ko:K07484	apg:APA12_21630
ko:K07484	apg:APA12_08390
ko:K07484	apg:APA12_17910
ko:K07484	apg:APA12_18220
ko:K12132	apg:APA12_01760
ko:K20531	apg:APA12_23880
ko:K20532	apg:APA12_23870
ko:K20533	apg:APA12_23840
ko:K20539	apg:APA12_16230
ko:K20534	apg:APA12_17550
ko:K22066	apg:APA12_11130
ko:K11529	apg:APA12_05700
ko:K01214	apg:APA12_20830
ko:K11529	apg:APA12_00840
ko:K00821	apg:APA12_07300
ko:K21029	apg:APA12_06140
ko:K06217	apg:APA12_10770
ko:K09882	apg:APA12_11110
ko:K03676	apg:APA12_11220
ko:K01185	apg:APA12_19980
ko:K06904	apg:APA12_20140
ko:K01520	apg:APA12_12370
ko:K07451	apg:APA12_04750
ko:K09961	apg:APA12_05210
ko:K09960	apg:APA12_05220
ko:K03465	apg:APA12_24920
ko:K07336	apg:APA12_15430
ko:K06919	apg:APA12_26880
ko:K02314	apg:APA12_06910
ko:K07336	apg:APA12_22250
ko:K03553	apg:APA12_00440
ko:K02316	apg:APA12_09900
ko:K09806	apg:APA12_26390
ko:K02335	apg:APA12_21430
ko:K02014	apg:APA12_05630
ko:K02482	apg:APA12_10210
ko:K00525	apg:APA12_10600
ko:K00526	apg:APA12_10610
ko:K21416	apg:APA12_05940
ko:K21417	apg:APA12_05950
ko:K02483	apg:APA12_15920
ko:K02483	apg:APA12_09180
ko:K02483	apg:APA12_42180
ko:K21420	apg:APA12_19390
ko:K22044	apg:APA12_26330
