ko:K16235	bbrc:B7019_1155
ko:K02961	bbrc:B7019_1801
ko:K02904	bbrc:B7019_1802
ko:K02878	bbrc:B7019_1803
ko:K02982	bbrc:B7019_1804
ko:K02890	bbrc:B7019_1805
ko:K02965	bbrc:B7019_1806
ko:K02886	bbrc:B7019_1807
ko:K02892	bbrc:B7019_1808
ko:K02926	bbrc:B7019_1809
ko:K02906	bbrc:B7019_1810
ko:K02946	bbrc:B7019_1811
ko:K01575	bbrc:B7019_1812
ko:K04072	bbrc:B7019_1814
ko:K05351	bbrc:B7019_1816
ko:K06187	bbrc:B7019_0143
ko:K07284	bbrc:B7019_0145
ko:K03655	bbrc:B7019_0147
ko:K00928	bbrc:B7019_0148
ko:K00928	bbrc:B7019_0149
ko:K00133	bbrc:B7019_0150
ko:K00845	bbrc:B7019_0153
ko:K01788	bbrc:B7019_0154
ko:K02035	bbrc:B7019_0156
ko:K02033	bbrc:B7019_0157
ko:K02031	bbrc:B7019_0158
ko:K02034	bbrc:B7019_0158
ko:K01714	bbrc:B7019_0160
ko:K02564	bbrc:B7019_0161
ko:K01186	bbrc:B7019_0163
ko:K07133	bbrc:B7019_0164
ko:K01649	bbrc:B7019_0168
ko:K03168	bbrc:B7019_0171
ko:K00943	bbrc:B7019_0172
ko:K02341	bbrc:B7019_0173
ko:K11189	bbrc:B7019_0175
ko:K08483	bbrc:B7019_0177
ko:K06910	bbrc:B7019_0178
ko:K08659	bbrc:B7019_0179
ko:K01938	bbrc:B7019_0180
ko:K01885	bbrc:B7019_0191
ko:K00297	bbrc:B7019_1044
ko:K01442	bbrc:B7019_1045
ko:K00982	bbrc:B7019_1046
ko:K00609	bbrc:B7019_1047
ko:K00610	bbrc:B7019_1048
ko:K01465	bbrc:B7019_1049
ko:K01591	bbrc:B7019_1050
ko:K02823	bbrc:B7019_1051
ko:K17828	bbrc:B7019_1052
ko:K00762	bbrc:B7019_1053
ko:K16786	bbrc:B7019_1061
ko:K16787	bbrc:B7019_1061
ko:K16926	bbrc:B7019_1062
ko:K11358	bbrc:B7019_1063
ko:K03701	bbrc:B7019_1064
ko:K03703	bbrc:B7019_1065
ko:K00014	bbrc:B7019_1066
ko:K06958	bbrc:B7019_1067
ko:K09762	bbrc:B7019_1068
ko:K00927	bbrc:B7019_1069
ko:K01803	bbrc:B7019_1070
ko:K03075	bbrc:B7019_1071
ko:K00016	bbrc:B7019_1072
ko:K14260	bbrc:B7019_1074
ko:K03311	bbrc:B7019_1076
ko:K00616	bbrc:B7019_1077
ko:K00615	bbrc:B7019_1078
ko:K03705	bbrc:B7019_1079
ko:K03686	bbrc:B7019_1080
ko:K06153	bbrc:B7019_1082
ko:K01868	bbrc:B7019_1084
ko:K01159	bbrc:B7019_1087
ko:K03550	bbrc:B7019_1088
ko:K03551	bbrc:B7019_1089
ko:K03210	bbrc:B7019_1090
ko:K00759	bbrc:B7019_1091
ko:K01903	bbrc:B7019_1092
ko:K01902	bbrc:B7019_1093
ko:K00602	bbrc:B7019_1095
ko:K01990	bbrc:B7019_1974
ko:K01992	bbrc:B7019_1975
ko:K00973	bbrc:B7019_1977
ko:K06950	bbrc:B7019_1991
ko:K03549	bbrc:B7019_1993
ko:K03424	bbrc:B7019_1994
ko:K06147	bbrc:B7019_1995
ko:K06147	bbrc:B7019_1996
ko:K07133	bbrc:B7019_1998
ko:K02035	bbrc:B7019_2000
ko:K02031	bbrc:B7019_2001
ko:K02032	bbrc:B7019_2001
ko:K02034	bbrc:B7019_2002
ko:K02033	bbrc:B7019_2003
ko:K01372	bbrc:B7019_2004
ko:K01874	bbrc:B7019_2006
ko:K07056	bbrc:B7019_2008
ko:K03734	bbrc:B7019_2010
ko:K06147	bbrc:B7019_2011
ko:K00661	bbrc:B7019_2017
ko:K12308	bbrc:B7019_2021
ko:K10440	bbrc:B7019_2022
ko:K10441	bbrc:B7019_2023
ko:K10439	bbrc:B7019_2024
ko:K03671	bbrc:B7019_0430
ko:K03426	bbrc:B7019_0433
ko:K02437	bbrc:B7019_0434
ko:K01354	bbrc:B7019_0436
ko:K00052	bbrc:B7019_0437
ko:K03800	bbrc:B7019_0438
ko:K00226	bbrc:B7019_0442
ko:K00965	bbrc:B7019_0444
ko:K00849	bbrc:B7019_0445
ko:K07166	bbrc:B7019_0447
ko:K09157	bbrc:B7019_0448
ko:K03216	bbrc:B7019_0449
ko:K03575	bbrc:B7019_0450
ko:K03043	bbrc:B7019_0452
ko:K03046	bbrc:B7019_0453
ko:K03657	bbrc:B7019_0459
ko:K00215	bbrc:B7019_0461
ko:K01714	bbrc:B7019_0462
ko:K12574	bbrc:B7019_0463
ko:K01256	bbrc:B7019_0464
ko:K02027	bbrc:B7019_0466
ko:K02025	bbrc:B7019_0467
ko:K02026	bbrc:B7019_0468
ko:K05350	bbrc:B7019_0469
ko:K07090	bbrc:B7019_0471
ko:K03431	bbrc:B7019_0472
ko:K01462	bbrc:B7019_0473
ko:K02836	bbrc:B7019_0475
ko:K09812	bbrc:B7019_0476
ko:K09811	bbrc:B7019_0477
ko:K03664	bbrc:B7019_0479
ko:K02030	bbrc:B7019_0480
ko:K02030	bbrc:B7019_0481
ko:K02004	bbrc:B7019_1313
ko:K08369	bbrc:B7019_1399
ko:K04487	bbrc:B7019_1400
ko:K00767	bbrc:B7019_1401
ko:K00278	bbrc:B7019_1402
ko:K03517	bbrc:B7019_1403
ko:K06024	bbrc:B7019_1405
ko:K05896	bbrc:B7019_1406
ko:K04763	bbrc:B7019_1408
ko:K00865	bbrc:B7019_1409
ko:K02887	bbrc:B7019_1410
ko:K02916	bbrc:B7019_1411
ko:K02520	bbrc:B7019_1412
ko:K00949	bbrc:B7019_1414
ko:K00134	bbrc:B7019_1415
ko:K03527	bbrc:B7019_1417
ko:K03088	bbrc:B7019_1421
ko:K01928	bbrc:B7019_1422
ko:K03529	bbrc:B7019_1425
ko:K11754	bbrc:B7019_1426
ko:K01262	bbrc:B7019_1427
ko:K01443	bbrc:B7019_1429
ko:K02564	bbrc:B7019_1430
ko:K00847	bbrc:B7019_1435
ko:K07560	bbrc:B7019_1436
ko:K03589	bbrc:B7019_1437
ko:K01924	bbrc:B7019_1438
ko:K02563	bbrc:B7019_1439
ko:K03588	bbrc:B7019_1440
ko:K01925	bbrc:B7019_1441
ko:K01000	bbrc:B7019_1442
ko:K01929	bbrc:B7019_1443
ko:K03587	bbrc:B7019_1445
ko:K03438	bbrc:B7019_1447
ko:K03925	bbrc:B7019_1448
ko:K16786	bbrc:B7019_0649
ko:K16787	bbrc:B7019_0649
ko:K16785	bbrc:B7019_0650
ko:K03437	bbrc:B7019_0651
ko:K01889	bbrc:B7019_0652
ko:K01890	bbrc:B7019_0653
ko:K00145	bbrc:B7019_0655
ko:K00620	bbrc:B7019_0656
ko:K00930	bbrc:B7019_0657
ko:K00611	bbrc:B7019_0659
ko:K03402	bbrc:B7019_0660
ko:K01940	bbrc:B7019_0661
ko:K01755	bbrc:B7019_0662
ko:K03154	bbrc:B7019_0663
ko:K03149	bbrc:B7019_0664
ko:K06950	bbrc:B7019_0667
ko:K01866	bbrc:B7019_0669
ko:K06442	bbrc:B7019_0673
ko:K00858	bbrc:B7019_0677
ko:K03631	bbrc:B7019_0678
ko:K07979	bbrc:B7019_0682
ko:K01990	bbrc:B7019_0683
ko:K01733	bbrc:B7019_0686
ko:K00147	bbrc:B7019_0687
ko:K00969	bbrc:B7019_0689
ko:K07089	bbrc:B7019_0691
ko:K02077	bbrc:B7019_0693
ko:K09118	bbrc:B7019_0695
ko:K03823	bbrc:B7019_0696
ko:K01056	bbrc:B7019_0697
ko:K03723	bbrc:B7019_0698
ko:K01689	bbrc:B7019_0700
ko:K09009	bbrc:B7019_0702
ko:K01524	bbrc:B7019_0703
ko:K01752	bbrc:B7019_0705
ko:K03624	bbrc:B7019_0707
ko:K03292	bbrc:B7019_1613
ko:K07507	bbrc:B7019_1623
ko:K05989	bbrc:B7019_1625
ko:K06610	bbrc:B7019_1626
ko:K02529	bbrc:B7019_1627
ko:K10117	bbrc:B7019_1634
ko:K05349	bbrc:B7019_1637
ko:K01919	bbrc:B7019_1639
ko:K03601	bbrc:B7019_1643
ko:K03602	bbrc:B7019_1644
ko:K01897	bbrc:B7019_1646
ko:K03282	bbrc:B7019_1647
ko:K01524	bbrc:B7019_1650
ko:K07458	bbrc:B7019_1653
ko:K00674	bbrc:B7019_1656
ko:K01647	bbrc:B7019_1657
ko:K01265	bbrc:B7019_1658
ko:K07386	bbrc:B7019_1660
ko:K01881	bbrc:B7019_1662
ko:K16235	bbrc:B7019_1123
ko:K14218	bbrc:B7019_tRNA1
ko:K14218	bbrc:B7019_tRNA22
ko:K14218	bbrc:B7019_tRNA23
ko:K14228	bbrc:B7019_tRNA3
ko:K14228	bbrc:B7019_tRNA13
ko:K14229	bbrc:B7019_tRNA8
ko:K14229	bbrc:B7019_tRNA9
ko:K14230	bbrc:B7019_tRNA10
ko:K14219	bbrc:B7019_tRNA11
ko:K14219	bbrc:B7019_tRNA15
ko:K14219	bbrc:B7019_tRNA24
ko:K14219	bbrc:B7019_tRNA25
ko:K14219	bbrc:B7019_tRNA38
ko:K14234	bbrc:B7019_tRNA14
ko:K14234	bbrc:B7019_tRNA27
ko:K14226	bbrc:B7019_tRNA16
ko:K14237	bbrc:B7019_tRNA17
ko:K14237	bbrc:B7019_tRNA32
ko:K14237	bbrc:B7019_tRNA52
ko:K14232	bbrc:B7019_tRNA35
ko:K14232	bbrc:B7019_tRNA44
ko:K14235	bbrc:B7019_tRNA28
ko:K14235	bbrc:B7019_tRNA54
ko:K14222	bbrc:B7019_tRNA31
ko:K14220	bbrc:B7019_tRNA36
ko:K14220	bbrc:B7019_tRNA37
ko:K01985	bbrc:B7019_rRNA5S1
ko:K01985	bbrc:B7019_rRNA5S2
ko:K01980	bbrc:B7019_rRNA23S1
ko:K01980	bbrc:B7019_rRNA23S2
ko:K14228	bbrc:B7019_tRNA18
ko:K14228	bbrc:B7019_tRNA19
ko:K14228	bbrc:B7019_tRNA26
ko:K14225	bbrc:B7019_tRNA4
ko:K14225	bbrc:B7019_tRNA12
ko:K14225	bbrc:B7019_tRNA30
ko:K14225	bbrc:B7019_tRNA34
ko:K14225	bbrc:B7019_tRNA53
ko:K14224	bbrc:B7019_tRNA5
ko:K14223	bbrc:B7019_tRNA6
ko:K14223	bbrc:B7019_tRNA21
ko:K01977	bbrc:B7019_rRNA16S1
ko:K01977	bbrc:B7019_rRNA16S2
ko:K14221	bbrc:B7019_tRNA40
ko:K14221	bbrc:B7019_tRNA42
ko:K14231	bbrc:B7019_tRNA41
ko:K14233	bbrc:B7019_tRNA45
ko:K14233	bbrc:B7019_tRNA46
ko:K14233	bbrc:B7019_tRNA47
ko:K14227	bbrc:B7019_tRNA2
ko:K11928	bbrc:B7019_0045
ko:K14233	bbrc:B7019_tRNA7
ko:K14233	bbrc:B7019_tRNA29
ko:K14230	bbrc:B7019_tRNA39
ko:K14237	bbrc:B7019_tRNA33
ko:K14237	bbrc:B7019_tRNA51
ko:K14232	bbrc:B7019_tRNA20
ko:K03574	bbrc:B7019_1941
ko:K13059	bbrc:B7019_1755
ko:K14234	bbrc:B7019_tRNA49
ko:K14234	bbrc:B7019_tRNA56
ko:K14236	bbrc:B7019_tRNA50
ko:K14218	bbrc:B7019_tRNA55
ko:K14230	bbrc:B7019_tRNA48
ko:K07316	bbrc:B7019_0198
ko:K01214	bbrc:B7019_0738
ko:K06147	bbrc:B7019_0379
ko:K03497	bbrc:B7019_2100
ko:K03496	bbrc:B7019_2101
ko:K03496	bbrc:B7019_1407
ko:K03502	bbrc:B7019_0539
ko:K03111	bbrc:B7019_1661
ko:K03496	bbrc:B7019_1709
ko:K07473	bbrc:B7019_0877
ko:K07473	bbrc:B7019_0942
ko:K03111	bbrc:B7019_0985
ko:K03111	bbrc:B7019_0238
ko:K07473	bbrc:B7019_1129
ko:K03976	bbrc:B7019_1416
ko:K07483	bbrc:B7019_1223
ko:K07483	bbrc:B7019_1230
ko:K07483	bbrc:B7019_0520
ko:K07483	bbrc:B7019_1921
ko:K07483	bbrc:B7019_2073a
ko:K07483	bbrc:B7019_0276
ko:K03526	bbrc:B7019_0630
ko:K07816	bbrc:B7019_1287
ko:K07464	bbrc:B7019_1594
ko:K00067	bbrc:B7019_1978
ko:K01790	bbrc:B7019_1978
ko:K19119	bbrc:B7019_1597
ko:K19117	bbrc:B7019_1596
ko:K09951	bbrc:B7019_1592
ko:K01710	bbrc:B7019_1980
ko:K19118	bbrc:B7019_1595
ko:K07062	bbrc:B7019_0353
ko:K19157	bbrc:B7019_1130
ko:K01621	bbrc:B7019_0759
ko:K19265	bbrc:B7019_0363
ko:K01239	bbrc:B7019_0343
ko:K01785	bbrc:B7019_1419
ko:K07496	bbrc:B7019_0123
ko:K01990	bbrc:B7019_0838
ko:K12952	bbrc:B7019_1293
ko:K08217	bbrc:B7019_0827
ko:K02100	bbrc:B7019_0378
ko:K08217	bbrc:B7019_0810
ko:K01785	bbrc:B7019_1418
ko:K08156	bbrc:B7019_1746
ko:K16960	bbrc:B7019_1932
ko:K00526	bbrc:B7019_2083
ko:K20459	bbrc:B7019_1184
ko:K19710	bbrc:B7019_1085
ko:K08744	bbrc:B7019_1114
ko:K02538	bbrc:B7019_1577
ko:K12132	bbrc:B7019_0061
ko:K12132	bbrc:B7019_1271
ko:K02777	bbrc:B7019_1920
ko:K20107	bbrc:B7019_1920
ko:K20108	bbrc:B7019_1920
ko:K12132	bbrc:B7019_0062
ko:K20074	bbrc:B7019_0065
ko:K20461	bbrc:B7019_1186
ko:K20460	bbrc:B7019_1185
ko:K20444	bbrc:B7019_1972
ko:K01214	bbrc:B7019_1822
ko:K01200	bbrc:B7019_0118
ko:K20814	bbrc:B7019_1571
ko:K21011	bbrc:B7019_0035
ko:K21012	bbrc:B7019_0036
ko:K00821	bbrc:B7019_0658
ko:K21636	bbrc:B7019_1642
ko:K06191	bbrc:B7019_2087
ko:K02314	bbrc:B7019_1246
ko:K01520	bbrc:B7019_1255
ko:K03553	bbrc:B7019_1278
ko:K02316	bbrc:B7019_0506
ko:K04068	bbrc:B7019_1641
ko:K00287	bbrc:B7019_1732
ko:K00560	bbrc:B7019_1733
ko:K06217	bbrc:B7019_0900
ko:K02314	bbrc:B7019_0228
ko:K02031	bbrc:B7019_0578
ko:K02003	bbrc:B7019_1617
ko:K02004	bbrc:B7019_1617
ko:K02031	bbrc:B7019_0496
ko:K02032	bbrc:B7019_0497
ko:K02032	bbrc:B7019_0159
ko:K00525	bbrc:B7019_2085
ko:K02335	bbrc:B7019_0735
ko:K07005	bbrc:B7019_0076
ko:K03293	bbrc:B7019_2028
ko:K21471	bbrc:B7019_0478
ko:K03293	bbrc:B7019_2031
ko:K05364	bbrc:B7019_0063
ko:K21495	bbrc:B7019_0354
ko:K21600	bbrc:B7019_0253
ko:K10914	bbrc:B7019_0439
ko:K21739	bbrc:B7019_1767
ko:K00936	bbrc:B7019_0709
ko:K22010	bbrc:B7019_0734
ko:K03595	bbrc:B7019_0903
ko:K22306	bbrc:B7019_0762
ko:K22397	bbrc:B7019_1906
ko:K22397	bbrc:B7019_1471
ko:K08300	bbrc:B7019_1903
ko:K08301	bbrc:B7019_1903
