ko:K00632	sega:SPUCDC_0495
ko:K15548	sega:SPUCDC_3361
ko:K03568	sega:SPUCDC_3364
ko:K08301	sega:SPUCDC_3366
ko:K06287	sega:SPUCDC_3367
ko:K03571	sega:SPUCDC_3368
ko:K03570	sega:SPUCDC_3369
ko:K03569	sega:SPUCDC_3370
ko:K17247	sega:SPUCDC_3374
ko:K00876	sega:SPUCDC_0773
ko:K02388	sega:SPUCDC_0975
ko:K02389	sega:SPUCDC_0976
ko:K02390	sega:SPUCDC_0977
ko:K02391	sega:SPUCDC_0978
ko:K02392	sega:SPUCDC_0979
ko:K02393	sega:SPUCDC_0980
ko:K02394	sega:SPUCDC_0981
ko:K09915	sega:SPUCDC_0968
ko:K03810	sega:SPUCDC_0969
ko:K03408	sega:SPUCDC_1792
ko:K03407	sega:SPUCDC_1793
ko:K02557	sega:SPUCDC_1794
ko:K02556	sega:SPUCDC_1795
ko:K02402	sega:SPUCDC_1796
ko:K02403	sega:SPUCDC_1797
ko:K14064	sega:SPUCDC_1799
ko:K03980	sega:SPUCDC_0970
ko:K02399	sega:SPUCDC_0971
ko:K02398	sega:SPUCDC_0972
ko:K02386	sega:SPUCDC_0973
ko:K00697	sega:SPUCDC_1800
ko:K01087	sega:SPUCDC_1801
ko:K02255	sega:SPUCDC_1805
ko:K02217	sega:SPUCDC_1809
ko:K03834	sega:SPUCDC_1811
ko:K07039	sega:SPUCDC_1812
ko:K00995	sega:SPUCDC_1818
ko:K03703	sega:SPUCDC_1819
ko:K07689	sega:SPUCDC_1821
ko:K10010	sega:SPUCDC_1825
ko:K10009	sega:SPUCDC_1826
ko:K02424	sega:SPUCDC_1828
ko:K02425	sega:SPUCDC_1829
ko:K02405	sega:SPUCDC_1830
ko:K02406	sega:SPUCDC_1832
ko:K02407	sega:SPUCDC_1833
ko:K02422	sega:SPUCDC_1834
ko:K02423	sega:SPUCDC_1835
ko:K01176	sega:SPUCDC_1836
ko:K07112	sega:SPUCDC_1838
ko:K02387	sega:SPUCDC_0974
ko:K00147	sega:SPUCDC_2636
ko:K00931	sega:SPUCDC_2637
ko:K11926	sega:SPUCDC_2640
ko:K11750	sega:SPUCDC_2641
ko:K01924	sega:SPUCDC_0137
ko:K03589	sega:SPUCDC_0139
ko:K03590	sega:SPUCDC_0140
ko:K03531	sega:SPUCDC_0141
ko:K02535	sega:SPUCDC_0142
ko:K13301	sega:SPUCDC_0143
ko:K03070	sega:SPUCDC_0144
ko:K03574	sega:SPUCDC_0145
ko:K09862	sega:SPUCDC_0148
ko:K00859	sega:SPUCDC_0150
ko:K00364	sega:SPUCDC_0151
ko:K02505	sega:SPUCDC_0152
ko:K02504	sega:SPUCDC_0153
ko:K02682	sega:SPUCDC_0154
ko:K00767	sega:SPUCDC_0155
ko:K03806	sega:SPUCDC_0156
ko:K03807	sega:SPUCDC_0157
ko:K11734	sega:SPUCDC_0161
ko:K00163	sega:SPUCDC_0164
ko:K00627	sega:SPUCDC_0165
ko:K00382	sega:SPUCDC_0166
ko:K02395	sega:SPUCDC_0982
ko:K02397	sega:SPUCDC_0984
ko:K08300	sega:SPUCDC_0986
ko:K06179	sega:SPUCDC_0987
ko:K07040	sega:SPUCDC_0991
ko:K03621	sega:SPUCDC_0992
ko:K00648	sega:SPUCDC_0994
ko:K00645	sega:SPUCDC_0995
ko:K00059	sega:SPUCDC_0996
ko:K02078	sega:SPUCDC_0997
ko:K09458	sega:SPUCDC_0998
ko:K02619	sega:SPUCDC_0999
ko:K07082	sega:SPUCDC_1000
ko:K00943	sega:SPUCDC_1001
ko:K02341	sega:SPUCDC_1002
ko:K03424	sega:SPUCDC_1003
ko:K02778	sega:SPUCDC_1004
ko:K02779	sega:SPUCDC_1004
ko:K02503	sega:SPUCDC_1006
ko:K07337	sega:SPUCDC_1008
ko:K07251	sega:SPUCDC_1009
ko:K01207	sega:SPUCDC_1010
ko:K07000	sega:SPUCDC_1011
ko:K03885	sega:SPUCDC_1012
ko:K12151	sega:SPUCDC_1015
ko:K03723	sega:SPUCDC_1017
ko:K09808	sega:SPUCDC_1019
ko:K09810	sega:SPUCDC_1020
ko:K09808	sega:SPUCDC_1021
ko:K12410	sega:SPUCDC_1023
ko:K11069	sega:SPUCDC_1024
ko:K14392	sega:SPUCDC_3378
ko:K02687	sega:SPUCDC_3379
ko:K03557	sega:SPUCDC_3381
ko:K00014	sega:SPUCDC_4166
ko:K03827	sega:SPUCDC_4172
ko:K00651	sega:SPUCDC_4173
ko:K01638	sega:SPUCDC_4174
ko:K01637	sega:SPUCDC_4175
ko:K00906	sega:SPUCDC_4177
ko:K13641	sega:SPUCDC_4179
ko:K00548	sega:SPUCDC_4181
ko:K03324	sega:SPUCDC_4182
ko:K05995	sega:SPUCDC_4183
ko:K09912	sega:SPUCDC_4184
ko:K06182	sega:SPUCDC_4185
ko:K00928	sega:SPUCDC_4195
ko:K01810	sega:SPUCDC_4196
ko:K13256	sega:SPUCDC_4201
ko:K10110	sega:SPUCDC_4202
ko:K10109	sega:SPUCDC_4204
ko:K10108	sega:SPUCDC_4205
ko:K10111	sega:SPUCDC_4206
ko:K02024	sega:SPUCDC_4207
ko:K05775	sega:SPUCDC_4208
ko:K03181	sega:SPUCDC_4209
ko:K03179	sega:SPUCDC_4210
ko:K00631	sega:SPUCDC_4211
ko:K02160	sega:SPUCDC_3375
ko:K01961	sega:SPUCDC_3376
ko:K00901	sega:SPUCDC_4212
ko:K01356	sega:SPUCDC_4213
ko:K03327	sega:SPUCDC_4214
ko:K07347	sega:SPUCDC_0024
ko:K06871	sega:SPUCDC_0039
ko:K03313	sega:SPUCDC_0042
ko:K03717	sega:SPUCDC_0043
ko:K01811	sega:SPUCDC_0044
ko:K02968	sega:SPUCDC_0046
ko:K11753	sega:SPUCDC_0048
ko:K01870	sega:SPUCDC_0049
ko:K03101	sega:SPUCDC_0050
ko:K03774	sega:SPUCDC_0051
ko:K03527	sega:SPUCDC_0052
ko:K12700	sega:SPUCDC_0055
ko:K07702	sega:SPUCDC_0056
ko:K07700	sega:SPUCDC_0057
ko:K03394	sega:SPUCDC_0876
ko:K02007	sega:SPUCDC_0877
ko:K02009	sega:SPUCDC_0878
ko:K02008	sega:SPUCDC_0879
ko:K02006	sega:SPUCDC_0880
ko:K02232	sega:SPUCDC_0881
ko:K02231	sega:SPUCDC_0882
ko:K02233	sega:SPUCDC_0883
ko:K00768	sega:SPUCDC_0884
ko:K01241	sega:SPUCDC_0889
ko:K07126	sega:SPUCDC_0894
ko:K07733	sega:SPUCDC_0899
ko:K09933	sega:SPUCDC_0928
ko:K07156	sega:SPUCDC_1745
ko:K10857	sega:SPUCDC_1748
ko:K01354	sega:SPUCDC_1749
ko:K00769	sega:SPUCDC_2642
ko:K01270	sega:SPUCDC_2643
ko:K02839	sega:SPUCDC_2644
ko:K02346	sega:SPUCDC_2646
ko:K03271	sega:SPUCDC_2649
ko:K06445	sega:SPUCDC_2650
ko:K07347	sega:SPUCDC_2660
ko:K06946	sega:SPUCDC_2682
ko:K05851	sega:SPUCDC_3476
ko:K01749	sega:SPUCDC_3477
ko:K01719	sega:SPUCDC_3478
ko:K02496	sega:SPUCDC_3479
ko:K02498	sega:SPUCDC_3480
ko:K02852	sega:SPUCDC_3483
ko:K02853	sega:SPUCDC_3484
ko:K12582	sega:SPUCDC_3485
ko:K16693	sega:SPUCDC_3486
ko:K02805	sega:SPUCDC_3487
ko:K16704	sega:SPUCDC_3488
ko:K02472	sega:SPUCDC_3491
ko:K05790	sega:SPUCDC_3493
ko:K02851	sega:SPUCDC_3494
ko:K03628	sega:SPUCDC_3495
ko:K03671	sega:SPUCDC_3496
ko:K03732	sega:SPUCDC_3497
ko:K01524	sega:SPUCDC_3498
ko:K03656	sega:SPUCDC_3499
ko:K03769	sega:SPUCDC_3500
ko:K00053	sega:SPUCDC_3501
ko:K02521	sega:SPUCDC_3502
ko:K01754	sega:SPUCDC_3505
ko:K01687	sega:SPUCDC_3506
ko:K00826	sega:SPUCDC_3507
ko:K11258	sega:SPUCDC_3508
ko:K01652	sega:SPUCDC_3509
ko:K07391	sega:SPUCDC_3510
ko:K09897	sega:SPUCDC_3511
ko:K01776	sega:SPUCDC_3513
ko:K05541	sega:SPUCDC_0715
ko:K07262	sega:SPUCDC_0722
ko:K03777	sega:SPUCDC_0723
ko:K05349	sega:SPUCDC_0725
ko:K05845	sega:SPUCDC_0726
ko:K05846	sega:SPUCDC_0727
ko:K05847	sega:SPUCDC_0728
ko:K05846	sega:SPUCDC_0729
ko:K02478	sega:SPUCDC_0731
ko:K01874	sega:SPUCDC_0736
ko:K03593	sega:SPUCDC_0737
ko:K00878	sega:SPUCDC_0745
ko:K00941	sega:SPUCDC_0746
ko:K08289	sega:SPUCDC_1753
ko:K01625	sega:SPUCDC_1754
ko:K01690	sega:SPUCDC_1755
ko:K00036	sega:SPUCDC_1756
ko:K00873	sega:SPUCDC_1758
ko:K02560	sega:SPUCDC_1759
ko:K09815	sega:SPUCDC_1761
ko:K09817	sega:SPUCDC_1762
ko:K09816	sega:SPUCDC_1763
ko:K03551	sega:SPUCDC_1764
ko:K03550	sega:SPUCDC_1765
ko:K01159	sega:SPUCDC_1768
ko:K08310	sega:SPUCDC_1770
ko:K01876	sega:SPUCDC_1771
ko:K07136	sega:SPUCDC_1774
ko:K15256	sega:SPUCDC_1775
ko:K15257	sega:SPUCDC_1776
ko:K06201	sega:SPUCDC_1777
ko:K09907	sega:SPUCDC_1778
ko:K01887	sega:SPUCDC_1780
ko:K05515	sega:SPUCDC_1781
ko:K15532	sega:SPUCDC_1782
ko:K03516	sega:SPUCDC_1783
ko:K02400	sega:SPUCDC_1784
ko:K03414	sega:SPUCDC_1786
ko:K03413	sega:SPUCDC_1787
ko:K03412	sega:SPUCDC_1788
ko:K00575	sega:SPUCDC_1789
ko:K01698	sega:SPUCDC_2587
ko:K01908	sega:SPUCDC_2588
ko:K09918	sega:SPUCDC_1752
ko:K01720	sega:SPUCDC_2589
ko:K02688	sega:SPUCDC_2592
ko:K03329	sega:SPUCDC_2594
ko:K02014	sega:SPUCDC_2595
ko:K00426	sega:SPUCDC_2598
ko:K00425	sega:SPUCDC_2599
ko:K08178	sega:SPUCDC_2602
ko:K07213	sega:SPUCDC_2604
ko:K07345	sega:SPUCDC_2620
ko:K01561	sega:SPUCDC_2627
ko:K01703	sega:SPUCDC_2630
ko:K00867	sega:SPUCDC_3428
ko:K03524	sega:SPUCDC_3429
ko:K00075	sega:SPUCDC_3430
ko:K00230	sega:SPUCDC_3431
ko:K03498	sega:SPUCDC_3432
ko:K01613	sega:SPUCDC_4327
ko:K06949	sega:SPUCDC_4328
ko:K13288	sega:SPUCDC_4329
ko:K09996	sega:SPUCDC_4330
ko:K06925	sega:SPUCDC_4333
ko:K01448	sega:SPUCDC_4334
ko:K00791	sega:SPUCDC_4336
ko:K03666	sega:SPUCDC_4337
ko:K03665	sega:SPUCDC_4338
ko:K04088	sega:SPUCDC_4339
ko:K04087	sega:SPUCDC_4340
ko:K09937	sega:SPUCDC_4341
ko:K01939	sega:SPUCDC_4342
ko:K13771	sega:SPUCDC_4343
ko:K12573	sega:SPUCDC_4344
ko:K03218	sega:SPUCDC_4345
ko:K09980	sega:SPUCDC_4346
ko:K10716	sega:SPUCDC_4348
ko:K08989	sega:SPUCDC_4350
ko:K09456	sega:SPUCDC_4353
ko:K06889	sega:SPUCDC_4356
ko:K03477	sega:SPUCDC_4357
ko:K03476	sega:SPUCDC_4358
ko:K03475	sega:SPUCDC_4359
ko:K02822	sega:SPUCDC_4360
ko:K02821	sega:SPUCDC_4361
ko:K03078	sega:SPUCDC_4362
ko:K03079	sega:SPUCDC_4363
ko:K03077	sega:SPUCDC_4364
ko:K02990	sega:SPUCDC_4367
ko:K02686	sega:SPUCDC_4368
ko:K16092	sega:SPUCDC_3514
ko:K02963	sega:SPUCDC_4369
ko:K02939	sega:SPUCDC_4370
ko:K07269	sega:SPUCDC_4372
ko:K03773	sega:SPUCDC_4373
ko:K11737	sega:SPUCDC_4374
ko:K07322	sega:SPUCDC_4377
ko:K07664	sega:SPUCDC_0762
ko:K07642	sega:SPUCDC_0763
ko:K07789	sega:SPUCDC_0765
ko:K07788	sega:SPUCDC_0766
ko:K07799	sega:SPUCDC_0767
ko:K04046	sega:SPUCDC_0769
ko:K00374	sega:SPUCDC_1573
ko:K00373	sega:SPUCDC_1574
ko:K00371	sega:SPUCDC_1575
ko:K00370	sega:SPUCDC_1576
ko:K02575	sega:SPUCDC_1577
ko:K06039	sega:SPUCDC_1581
ko:K07300	sega:SPUCDC_1583
ko:K01627	sega:SPUCDC_1584
ko:K02493	sega:SPUCDC_1587
ko:K02835	sega:SPUCDC_1588
ko:K02494	sega:SPUCDC_1591
ko:K00919	sega:SPUCDC_1592
ko:K00948	sega:SPUCDC_1594
ko:K03321	sega:SPUCDC_1595
ko:K01056	sega:SPUCDC_1597
ko:K06942	sega:SPUCDC_1598
ko:K08303	sega:SPUCDC_0758
ko:K06282	sega:SPUCDC_1602
ko:K06281	sega:SPUCDC_1603
ko:K03620	sega:SPUCDC_1604
ko:K03619	sega:SPUCDC_1606
ko:K03618	sega:SPUCDC_1607
ko:K00425	sega:SPUCDC_1608
ko:K00426	sega:SPUCDC_1609
ko:K00261	sega:SPUCDC_1610
ko:K01194	sega:SPUCDC_1612
ko:K08308	sega:SPUCDC_1615
ko:K01297	sega:SPUCDC_1616
ko:K11105	sega:SPUCDC_1617
ko:K01775	sega:SPUCDC_1618
ko:K03603	sega:SPUCDC_1621
ko:K03314	sega:SPUCDC_1622
ko:K03611	sega:SPUCDC_1623
ko:K10975	sega:SPUCDC_2424
ko:K01608	sega:SPUCDC_2428
ko:K10973	sega:SPUCDC_2429
ko:K01483	sega:SPUCDC_2430
ko:K10972	sega:SPUCDC_2431
ko:K06917	sega:SPUCDC_2432
ko:K02072	sega:SPUCDC_2433
ko:K02071	sega:SPUCDC_2434
ko:K02073	sega:SPUCDC_2435
ko:K02004	sega:SPUCDC_2438
ko:K02003	sega:SPUCDC_2440
ko:K10804	sega:SPUCDC_2439
ko:K02069	sega:SPUCDC_2443
ko:K02068	sega:SPUCDC_2444
ko:K07340	sega:SPUCDC_2446
ko:K09973	sega:SPUCDC_2450
ko:K11751	sega:SPUCDC_2452
ko:K08223	sega:SPUCDC_2453
ko:K03455	sega:SPUCDC_2455
ko:K00892	sega:SPUCDC_2456
ko:K01772	sega:SPUCDC_2458
ko:K05368	sega:SPUCDC_3438
ko:K03182	sega:SPUCDC_3439
ko:K03424	sega:SPUCDC_3441
ko:K03118	sega:SPUCDC_3442
ko:K03117	sega:SPUCDC_3443
ko:K03116	sega:SPUCDC_3444
ko:K03688	sega:SPUCDC_3445
ko:K03690	sega:SPUCDC_3446
ko:K03183	sega:SPUCDC_3447
ko:K09760	sega:SPUCDC_3448
ko:K01825	sega:SPUCDC_3435
ko:K00757	sega:SPUCDC_3449
ko:K01061	sega:SPUCDC_3450
ko:K06871	sega:SPUCDC_3451
ko:K00549	sega:SPUCDC_3454
ko:K03576	sega:SPUCDC_3455
ko:K01048	sega:SPUCDC_3457
ko:K05835	sega:SPUCDC_3459
ko:K03654	sega:SPUCDC_3460
ko:K01058	sega:SPUCDC_3461
ko:K05786	sega:SPUCDC_3463
ko:K03284	sega:SPUCDC_3466
ko:K03657	sega:SPUCDC_3467
ko:K03733	sega:SPUCDC_3469
ko:K09921	sega:SPUCDC_3470
ko:K01778	sega:SPUCDC_3471
ko:K06202	sega:SPUCDC_3475
ko:K03759	sega:SPUCDC_4272
ko:K03755	sega:SPUCDC_4273
ko:K01584	sega:SPUCDC_4274
ko:K07406	sega:SPUCDC_4276
ko:K01676	sega:SPUCDC_4278
ko:K07792	sega:SPUCDC_4279
ko:K07703	sega:SPUCDC_4281
ko:K07701	sega:SPUCDC_4282
ko:K07307	sega:SPUCDC_4284
ko:K07308	sega:SPUCDC_4285
ko:K09474	sega:SPUCDC_4297
ko:K04084	sega:SPUCDC_4301
ko:K03926	sega:SPUCDC_4302
ko:K07791	sega:SPUCDC_4303
ko:K01744	sega:SPUCDC_4304
ko:K07113	sega:SPUCDC_4306
ko:K04078	sega:SPUCDC_4308
ko:K04077	sega:SPUCDC_4309
ko:K02356	sega:SPUCDC_4313
ko:K03098	sega:SPUCDC_4318
ko:K00247	sega:SPUCDC_4319
ko:K00246	sega:SPUCDC_4320
ko:K00245	sega:SPUCDC_4321
ko:K00244	sega:SPUCDC_4322
ko:K04568	sega:SPUCDC_4323
ko:K11071	sega:SPUCDC_1029
ko:K11072	sega:SPUCDC_1030
ko:K01258	sega:SPUCDC_1031
ko:K07637	sega:SPUCDC_1034
ko:K02408	sega:SPUCDC_1841
ko:K02409	sega:SPUCDC_1843
ko:K02410	sega:SPUCDC_1844
ko:K02411	sega:SPUCDC_1845
ko:K02412	sega:SPUCDC_1846
ko:K02413	sega:SPUCDC_1847
ko:K02414	sega:SPUCDC_1848
ko:K02415	sega:SPUCDC_1849
ko:K02416	sega:SPUCDC_1850
ko:K02417	sega:SPUCDC_1851
ko:K02418	sega:SPUCDC_1852
ko:K02419	sega:SPUCDC_1853
ko:K02420	sega:SPUCDC_1854
ko:K02421	sega:SPUCDC_1855
ko:K07781	sega:SPUCDC_1856
ko:K07026	sega:SPUCDC_1859
ko:K09781	sega:SPUCDC_1862
ko:K07458	sega:SPUCDC_1864
ko:K06950	sega:SPUCDC_1866
ko:K03704	sega:SPUCDC_1871
ko:K07126	sega:SPUCDC_1878
ko:K07126	sega:SPUCDC_1879
ko:K11903	sega:SPUCDC_1887
ko:K11901	sega:SPUCDC_1889
ko:K11900	sega:SPUCDC_1891
ko:K11905	sega:SPUCDC_1892
ko:K11896	sega:SPUCDC_1893
ko:K11895	sega:SPUCDC_1894
ko:K11906	sega:SPUCDC_1896
ko:K02342	sega:SPUCDC_2704
ko:K03469	sega:SPUCDC_2705
ko:K08307	sega:SPUCDC_2708
ko:K06222	sega:SPUCDC_2713
ko:K03695	sega:SPUCDC_2714
ko:K05810	sega:SPUCDC_2715
ko:K06180	sega:SPUCDC_2716
ko:K05807	sega:SPUCDC_2717
ko:K05809	sega:SPUCDC_2718
ko:K14170	sega:SPUCDC_2719
ko:K14187	sega:SPUCDC_2721
ko:K01626	sega:SPUCDC_2722
ko:K02884	sega:SPUCDC_2725
ko:K00554	sega:SPUCDC_2726
ko:K02860	sega:SPUCDC_2727
ko:K02959	sega:SPUCDC_2728
ko:K03106	sega:SPUCDC_2729
ko:K03687	sega:SPUCDC_2734
ko:K04079	sega:SPUCDC_2462
ko:K06187	sega:SPUCDC_2463
ko:K09747	sega:SPUCDC_2464
ko:K02343	sega:SPUCDC_2465
ko:K00759	sega:SPUCDC_2466
ko:K09790	sega:SPUCDC_2467
ko:K04067	sega:SPUCDC_2468
ko:K05802	sega:SPUCDC_2471
ko:K03577	sega:SPUCDC_2473
ko:K00962	sega:SPUCDC_3277
ko:K02956	sega:SPUCDC_3278
ko:K03177	sega:SPUCDC_3279
ko:K02834	sega:SPUCDC_3280
ko:K02519	sega:SPUCDC_3281
ko:K02600	sega:SPUCDC_3282
ko:K09748	sega:SPUCDC_3283
ko:K01940	sega:SPUCDC_3284
ko:K03075	sega:SPUCDC_3286
ko:K03431	sega:SPUCDC_3287
ko:K00796	sega:SPUCDC_3289
ko:K03798	sega:SPUCDC_3290
ko:K02427	sega:SPUCDC_3291
ko:K07574	sega:SPUCDC_3292
ko:K03624	sega:SPUCDC_3293
ko:K07259	sega:SPUCDC_3295
ko:K03979	sega:SPUCDC_3297
ko:K02899	sega:SPUCDC_3299
ko:K02523	sega:SPUCDC_3301
ko:K00790	sega:SPUCDC_3303
ko:K07122	sega:SPUCDC_3305
ko:K07323	sega:SPUCDC_3306
ko:K02067	sega:SPUCDC_3307
ko:K02066	sega:SPUCDC_3308
ko:K02065	sega:SPUCDC_3309
ko:K07301	sega:SPUCDC_3310
ko:K06041	sega:SPUCDC_3311
ko:K03270	sega:SPUCDC_3312
ko:K11719	sega:SPUCDC_3313
ko:K09774	sega:SPUCDC_3314
ko:K06861	sega:SPUCDC_3315
ko:K03092	sega:SPUCDC_3316
ko:K05808	sega:SPUCDC_3317
ko:K02806	sega:SPUCDC_3318
ko:K06958	sega:SPUCDC_3319
ko:K03814	sega:SPUCDC_3322
ko:K07648	sega:SPUCDC_3324
ko:K07139	sega:SPUCDC_3325
ko:K00266	sega:SPUCDC_3327
ko:K07070	sega:SPUCDC_4112
ko:K00939	sega:SPUCDC_2460
ko:K03775	sega:SPUCDC_4113
ko:K03745	sega:SPUCDC_4114
ko:K07235	sega:SPUCDC_4117
ko:K07236	sega:SPUCDC_4118
ko:K07237	sega:SPUCDC_4119
ko:K02950	sega:SPUCDC_4120
ko:K02992	sega:SPUCDC_4121
ko:K02355	sega:SPUCDC_4122
ko:K02358	sega:SPUCDC_4123
ko:K02192	sega:SPUCDC_4125
ko:K03594	sega:SPUCDC_4126
ko:K02506	sega:SPUCDC_4127
ko:K02946	sega:SPUCDC_4128
ko:K02906	sega:SPUCDC_4129
ko:K02926	sega:SPUCDC_4130
ko:K02892	sega:SPUCDC_4131
ko:K02886	sega:SPUCDC_4132
ko:K02965	sega:SPUCDC_4133
ko:K02890	sega:SPUCDC_4134
ko:K02982	sega:SPUCDC_4135
ko:K02878	sega:SPUCDC_4136
ko:K02904	sega:SPUCDC_4137
ko:K02961	sega:SPUCDC_4138
ko:K02874	sega:SPUCDC_4139
ko:K02895	sega:SPUCDC_4140
ko:K02931	sega:SPUCDC_4141
ko:K02954	sega:SPUCDC_4142
ko:K02994	sega:SPUCDC_4143
ko:K02933	sega:SPUCDC_4144
ko:K02881	sega:SPUCDC_4145
ko:K02988	sega:SPUCDC_4146
ko:K02907	sega:SPUCDC_4147
ko:K02876	sega:SPUCDC_4148
ko:K03076	sega:SPUCDC_4149
ko:K02952	sega:SPUCDC_4150
ko:K02948	sega:SPUCDC_4151
ko:K02986	sega:SPUCDC_4152
ko:K03040	sega:SPUCDC_4153
ko:K02879	sega:SPUCDC_4154
ko:K03282	sega:SPUCDC_4157
ko:K03499	sega:SPUCDC_4158
ko:K03500	sega:SPUCDC_4159
ko:K01462	sega:SPUCDC_4161
ko:K03747	sega:SPUCDC_4163
ko:K07479	sega:SPUCDC_4164
ko:K07566	sega:SPUCDC_4165
ko:K00604	sega:SPUCDC_4160
ko:K03631	sega:SPUCDC_2735
ko:K06186	sega:SPUCDC_2736
ko:K09801	sega:SPUCDC_2737
ko:K03664	sega:SPUCDC_2739
ko:K00322	sega:SPUCDC_3518
ko:K04761	sega:SPUCDC_3519
ko:K01755	sega:SPUCDC_3520
ko:K00930	sega:SPUCDC_3521
ko:K00145	sega:SPUCDC_3522
ko:K01438	sega:SPUCDC_3523
ko:K01595	sega:SPUCDC_3524
ko:K11202	sega:SPUCDC_3527
ko:K04069	sega:SPUCDC_3528
ko:K00656	sega:SPUCDC_3529
ko:K11202	sega:SPUCDC_3530
ko:K11203	sega:SPUCDC_3531
ko:K08483	sega:SPUCDC_3532
ko:K11189	sega:SPUCDC_3532
ko:K11201	sega:SPUCDC_3532
ko:K08314	sega:SPUCDC_3533
ko:K00005	sega:SPUCDC_3534
ko:K09974	sega:SPUCDC_3535
ko:K03782	sega:SPUCDC_3536
ko:K00297	sega:SPUCDC_3537
ko:K00375	sega:SPUCDC_3538
ko:K00600	sega:SPUCDC_3540
ko:K12525	sega:SPUCDC_3546
ko:K03764	sega:SPUCDC_3548
ko:K02909	sega:SPUCDC_3552
ko:K04066	sega:SPUCDC_3553
ko:K05499	sega:SPUCDC_3554
ko:K03591	sega:SPUCDC_3555
ko:K01419	sega:SPUCDC_3556
ko:K03667	sega:SPUCDC_3557
ko:K02548	sega:SPUCDC_3558
ko:K02553	sega:SPUCDC_3559
ko:K09892	sega:SPUCDC_3561
ko:K02440	sega:SPUCDC_3562
ko:K00864	sega:SPUCDC_3563
ko:K02446	sega:SPUCDC_3564
ko:K00528	sega:SPUCDC_3565
ko:K01803	sega:SPUCDC_3568
ko:K00858	sega:SPUCDC_2733
ko:K01783	sega:SPUCDC_3569
ko:K11530	sega:SPUCDC_3570
ko:K08321	sega:SPUCDC_3571
ko:K01119	sega:SPUCDC_4381
ko:K01082	sega:SPUCDC_4382
ko:K07109	sega:SPUCDC_4383
ko:K07304	sega:SPUCDC_4386
ko:K07278	sega:SPUCDC_4387
ko:K09800	sega:SPUCDC_4388
ko:K02897	sega:SPUCDC_0661
ko:K06183	sega:SPUCDC_0663
ko:K07552	sega:SPUCDC_0664
ko:K13896	sega:SPUCDC_0666
ko:K13895	sega:SPUCDC_0667
ko:K13894	sega:SPUCDC_0668
ko:K13893	sega:SPUCDC_0669
ko:K13694	sega:SPUCDC_0671
ko:K02356	sega:SPUCDC_0674
ko:K06940	sega:SPUCDC_0675
ko:K03291	sega:SPUCDC_0678
ko:K02768	sega:SPUCDC_0680
ko:K11183	sega:SPUCDC_0680
ko:K00882	sega:SPUCDC_0681
ko:K02769	sega:SPUCDC_0682
ko:K02770	sega:SPUCDC_0682
ko:K01151	sega:SPUCDC_0684
ko:K11733	sega:SPUCDC_0688
ko:K16089	sega:SPUCDC_0689
ko:K07783	sega:SPUCDC_0691
ko:K01752	sega:SPUCDC_0693
ko:K01070	sega:SPUCDC_0695
ko:K01495	sega:SPUCDC_0696
ko:K07148	sega:SPUCDC_0697
ko:K02529	sega:SPUCDC_0698
ko:K10540	sega:SPUCDC_0699
ko:K10541	sega:SPUCDC_0701
ko:K03748	sega:SPUCDC_0705
ko:K01489	sega:SPUCDC_0706
ko:K08195	sega:SPUCDC_0710
ko:K00450	sega:SPUCDC_0711
ko:K16165	sega:SPUCDC_0712
ko:K01591	sega:SPUCDC_1517
ko:K08992	sega:SPUCDC_1520
ko:K01681	sega:SPUCDC_1523
ko:K13634	sega:SPUCDC_1526
ko:K03168	sega:SPUCDC_1528
ko:K03592	sega:SPUCDC_4396
ko:K15536	sega:SPUCDC_4397
ko:K01465	sega:SPUCDC_4404
ko:K01042	sega:SPUCDC_4405
ko:K01507	sega:SPUCDC_4392
ko:K01226	sega:SPUCDC_4413
ko:K02818	sega:SPUCDC_4414
ko:K02819	sega:SPUCDC_4414
ko:K03485	sega:SPUCDC_4416
ko:K01531	sega:SPUCDC_4417
ko:K09022	sega:SPUCDC_4419
ko:K00610	sega:SPUCDC_4420
ko:K00609	sega:SPUCDC_4421
ko:K00611	sega:SPUCDC_4425
ko:K00926	sega:SPUCDC_4427
ko:K01478	sega:SPUCDC_4428
ko:K00611	sega:SPUCDC_4431
ko:K09893	sega:SPUCDC_4432
ko:K06169	sega:SPUCDC_4433
ko:K03841	sega:SPUCDC_4393
ko:K02558	sega:SPUCDC_4394
ko:K09889	sega:SPUCDC_4395
ko:K06178	sega:SPUCDC_1533
ko:K07053	sega:SPUCDC_1535
ko:K01657	sega:SPUCDC_1536
ko:K13497	sega:SPUCDC_1537
ko:K13498	sega:SPUCDC_1538
ko:K04774	sega:SPUCDC_1530
ko:K01696	sega:SPUCDC_1539
ko:K01695	sega:SPUCDC_1540
ko:K07217	sega:SPUCDC_1544
ko:K07275	sega:SPUCDC_1545
ko:K06940	sega:SPUCDC_1546
ko:K06190	sega:SPUCDC_1548
ko:K10806	sega:SPUCDC_1549
ko:K03832	sega:SPUCDC_1550
ko:K06131	sega:SPUCDC_1553
ko:K09901	sega:SPUCDC_1554
ko:K10716	sega:SPUCDC_1555
ko:K10823	sega:SPUCDC_1556
ko:K15583	sega:SPUCDC_1557
ko:K15582	sega:SPUCDC_1558
ko:K15581	sega:SPUCDC_1559
ko:K15580	sega:SPUCDC_1560
ko:K04072	sega:SPUCDC_1563
ko:K00963	sega:SPUCDC_1566
