ko:K01212	bqy:MUS_4457
ko:K00931	bqy:MUS_1385
ko:K00147	bqy:MUS_1386
ko:K05820	bqy:MUS_1398
ko:K00549	bqy:MUS_1400
ko:K13275	bqy:MUS_1401
ko:K06213	bqy:MUS_1410
ko:K10979	bqy:MUS_1418
ko:K03569	bqy:MUS_1531
ko:K01462	bqy:MUS_1541
ko:K00161	bqy:MUS_1553
ko:K00162	bqy:MUS_1554
ko:K00627	bqy:MUS_1555
ko:K00382	bqy:MUS_1556
ko:K06207	bqy:MUS_1571
ko:K07175	bqy:MUS_1575
ko:K02387	bqy:MUS_1772
ko:K02388	bqy:MUS_1773
ko:K02408	bqy:MUS_1774
ko:K02409	bqy:MUS_1775
ko:K02410	bqy:MUS_1776
ko:K02411	bqy:MUS_1777
ko:K02412	bqy:MUS_1778
ko:K02413	bqy:MUS_1779
ko:K02389	bqy:MUS_1782
ko:K02390	bqy:MUS_1783
ko:K02385	bqy:MUS_1784
ko:K02415	bqy:MUS_1785
ko:K02416	bqy:MUS_1786
ko:K02417	bqy:MUS_1787
ko:K03413	bqy:MUS_1788
ko:K02418	bqy:MUS_1789
ko:K02419	bqy:MUS_1790
ko:K02420	bqy:MUS_1791
ko:K02421	bqy:MUS_1792
ko:K02401	bqy:MUS_1793
ko:K02400	bqy:MUS_1794
ko:K02404	bqy:MUS_1795
ko:K04562	bqy:MUS_1796
ko:K03412	bqy:MUS_1797
ko:K03407	bqy:MUS_1798
ko:K03408	bqy:MUS_1799
ko:K03410	bqy:MUS_1800
ko:K03411	bqy:MUS_1801
ko:K02405	bqy:MUS_1802
ko:K02967	bqy:MUS_1804
ko:K02357	bqy:MUS_1805
ko:K09903	bqy:MUS_1806
ko:K02838	bqy:MUS_1807
ko:K00806	bqy:MUS_1808
ko:K00981	bqy:MUS_1809
ko:K00099	bqy:MUS_1810
ko:K11749	bqy:MUS_1811
ko:K01881	bqy:MUS_1812
ko:K03763	bqy:MUS_1813
ko:K09748	bqy:MUS_1814
ko:K02600	bqy:MUS_1815
ko:K00088	bqy:MUS_0011
ko:K07742	bqy:MUS_1816
ko:K02519	bqy:MUS_1818
ko:K02834	bqy:MUS_1820
ko:K11753	bqy:MUS_1822
ko:K00962	bqy:MUS_1823
ko:K06410	bqy:MUS_1827
ko:K06411	bqy:MUS_1828
ko:K01356	bqy:MUS_2114
ko:K00615	bqy:MUS_2118
ko:K03413	bqy:MUS_2123
ko:K06433	bqy:MUS_2127
ko:K06432	bqy:MUS_2128
ko:K01681	bqy:MUS_2130
ko:K06431	bqy:MUS_2133
ko:K06434	bqy:MUS_2134
ko:K07107	bqy:MUS_2135
ko:K08591	bqy:MUS_2138
ko:K02622	bqy:MUS_2141
ko:K02621	bqy:MUS_2142
ko:K03310	bqy:MUS_2145
ko:K00874	bqy:MUS_2146
ko:K08322	bqy:MUS_2147
ko:K01625	bqy:MUS_2148
ko:K01686	bqy:MUS_2149
ko:K05366	bqy:MUS_2476
ko:K10773	bqy:MUS_2478
ko:K01893	bqy:MUS_2480
ko:K00812	bqy:MUS_2481
ko:K01579	bqy:MUS_2485
ko:K01918	bqy:MUS_2486
ko:K00606	bqy:MUS_2487
ko:K03524	bqy:MUS_2488
ko:K01734	bqy:MUS_2492
ko:K00215	bqy:MUS_2493
ko:K03887	bqy:MUS_2500
ko:K00800	bqy:MUS_2506
ko:K00817	bqy:MUS_2508
ko:K01695	bqy:MUS_2509
ko:K01696	bqy:MUS_2511
ko:K01817	bqy:MUS_2514
ko:K01609	bqy:MUS_2515
ko:K00766	bqy:MUS_2516
ko:K01657	bqy:MUS_2517
ko:K06208	bqy:MUS_2518
ko:K01735	bqy:MUS_2519
ko:K01736	bqy:MUS_2520
ko:K00969	bqy:MUS_2860
ko:K07574	bqy:MUS_2861
ko:K00014	bqy:MUS_2862
ko:K06371	bqy:MUS_2865
ko:K03091	bqy:MUS_2873
ko:K13653	bqy:MUS_2876
ko:K13256	bqy:MUS_2879
ko:K07148	bqy:MUS_2882
ko:K01809	bqy:MUS_2894
ko:K08224	bqy:MUS_2900
ko:K00123	bqy:MUS_2908
ko:K11632	bqy:MUS_3317
ko:K11631	bqy:MUS_3318
ko:K11629	bqy:MUS_3319
ko:K11630	bqy:MUS_3320
ko:K07139	bqy:MUS_3331
ko:K01126	bqy:MUS_3334
ko:K01953	bqy:MUS_3340
ko:K00789	bqy:MUS_3341
ko:K01610	bqy:MUS_3342
ko:K04047	bqy:MUS_3350
ko:K07173	bqy:MUS_3353
ko:K08998	bqy:MUS_3354
ko:K01673	bqy:MUS_3355
ko:K02909	bqy:MUS_3356
ko:K00425	bqy:MUS_3357
ko:K00426	bqy:MUS_3358
ko:K01911	bqy:MUS_3366
ko:K06966	bqy:MUS_3803
ko:K03321	bqy:MUS_3805
ko:K01673	bqy:MUS_3806
ko:K00675	bqy:MUS_3810
ko:K11184	bqy:MUS_3811
ko:K06958	bqy:MUS_3814
ko:K00384	bqy:MUS_3817
ko:K11755	bqy:MUS_3825
ko:K02500	bqy:MUS_3826
ko:K01814	bqy:MUS_3827
ko:K02501	bqy:MUS_3828
ko:K01693	bqy:MUS_3829
ko:K00013	bqy:MUS_3830
ko:K00765	bqy:MUS_3831
ko:K02502	bqy:MUS_3832
ko:K06019	bqy:MUS_3835
ko:K13292	bqy:MUS_3836
ko:K01443	bqy:MUS_3838
ko:K03710	bqy:MUS_3840
ko:K08972	bqy:MUS_3843
ko:K03701	bqy:MUS_3848
ko:K03702	bqy:MUS_3849
ko:K06606	bqy:MUS_4359
ko:K06605	bqy:MUS_4360
ko:K03335	bqy:MUS_4363
ko:K03336	bqy:MUS_4364
ko:K03338	bqy:MUS_4365
ko:K03337	bqy:MUS_4366
ko:K00140	bqy:MUS_4367
ko:K06608	bqy:MUS_4369
ko:K04079	bqy:MUS_4373
ko:K07693	bqy:MUS_4376
ko:K07778	bqy:MUS_4377
ko:K10255	bqy:MUS_4378
ko:K03387	bqy:MUS_4389
ko:K04041	bqy:MUS_4392
ko:K07141	bqy:MUS_4396
ko:K00783	bqy:MUS_4405
ko:K06295	bqy:MUS_0347
ko:K02003	bqy:MUS_0358
ko:K00928	bqy:MUS_0366
ko:K02015	bqy:MUS_0368
ko:K02015	bqy:MUS_0369
ko:K02013	bqy:MUS_0370
ko:K02016	bqy:MUS_0371
ko:K07300	bqy:MUS_0812
ko:K03284	bqy:MUS_0826
ko:K01247	bqy:MUS_0827
ko:K03215	bqy:MUS_0828
ko:K00627	bqy:MUS_0837
ko:K00382	bqy:MUS_0838
ko:K03530	bqy:MUS_1973
ko:K02337	bqy:MUS_2022
ko:K00658	bqy:MUS_2286
ko:K00164	bqy:MUS_2287
ko:K03327	bqy:MUS_2296
ko:K05786	bqy:MUS_2301
ko:K06999	bqy:MUS_2308
ko:K15975	bqy:MUS_2309
ko:K01201	bqy:MUS_2312
ko:K01223	bqy:MUS_2314
ko:K03489	bqy:MUS_2315
ko:K03797	bqy:MUS_2316
ko:K01438	bqy:MUS_2332
ko:K01034	bqy:MUS_2334
ko:K01753	bqy:MUS_2629
ko:K07124	bqy:MUS_2630
ko:K00286	bqy:MUS_2632
ko:K15311	bqy:MUS_2634
ko:K02601	bqy:MUS_2669
ko:K02913	bqy:MUS_2676
ko:K00036	bqy:MUS_2678
ko:K02346	bqy:MUS_2680
ko:K03217	bqy:MUS_2682
ko:K05606	bqy:MUS_2685
ko:K09699	bqy:MUS_2693
ko:K00167	bqy:MUS_2694
ko:K00166	bqy:MUS_2695
ko:K00382	bqy:MUS_2696
ko:K06318	bqy:MUS_3042
ko:K06370	bqy:MUS_3045
ko:K03517	bqy:MUS_3046
ko:K00767	bqy:MUS_3047
ko:K00278	bqy:MUS_3048
ko:K04487	bqy:MUS_3049
ko:K06209	bqy:MUS_3052
ko:K03979	bqy:MUS_3053
ko:K06375	bqy:MUS_3054
ko:K02899	bqy:MUS_3055
ko:K02888	bqy:MUS_3057
ko:K06401	bqy:MUS_3059
ko:K03609	bqy:MUS_3060
ko:K03610	bqy:MUS_3061
ko:K03571	bqy:MUS_3062
ko:K03570	bqy:MUS_3063
ko:K03569	bqy:MUS_3064
ko:K03630	bqy:MUS_3065
ko:K06287	bqy:MUS_3066
ko:K11754	bqy:MUS_3069
ko:K01873	bqy:MUS_3070
ko:K06417	bqy:MUS_3074
ko:K01845	bqy:MUS_3077
ko:K01698	bqy:MUS_3078
ko:K01749	bqy:MUS_3080
ko:K02497	bqy:MUS_3081
ko:K02492	bqy:MUS_3082
ko:K03978	bqy:MUS_3084
ko:K01338	bqy:MUS_3085
ko:K03544	bqy:MUS_3087
ko:K03545	bqy:MUS_3088
ko:K01704	bqy:MUS_3091
ko:K01703	bqy:MUS_3092
ko:K00052	bqy:MUS_3093
ko:K01649	bqy:MUS_3094
ko:K00053	bqy:MUS_3095
ko:K00763	bqy:MUS_3468
ko:K06950	bqy:MUS_3475
ko:K03466	bqy:MUS_3479
ko:K00259	bqy:MUS_3485
ko:K04780	bqy:MUS_3488
ko:K01252	bqy:MUS_3489
ko:K02363	bqy:MUS_3490
ko:K02361	bqy:MUS_3491
ko:K00216	bqy:MUS_3492
ko:K03523	bqy:MUS_3496
ko:K07084	bqy:MUS_3497
ko:K01255	bqy:MUS_3498
ko:K09775	bqy:MUS_3499
ko:K03885	bqy:MUS_3503
ko:K00364	bqy:MUS_3507
ko:K03790	bqy:MUS_3514
ko:K14189	bqy:MUS_3515
ko:K01778	bqy:MUS_3516
ko:K03885	bqy:MUS_3520
ko:K07240	bqy:MUS_3970
ko:K05982	bqy:MUS_3975
ko:K00012	bqy:MUS_3987
ko:K03282	bqy:MUS_4002
ko:K02372	bqy:MUS_4003
ko:K02392	bqy:MUS_4005
ko:K02392	bqy:MUS_4006
ko:K03569	bqy:MUS_4008
ko:K06283	bqy:MUS_4009
ko:K03320	bqy:MUS_4016
ko:K04751	bqy:MUS_4017
ko:K03588	bqy:MUS_4018
ko:K03817	bqy:MUS_0413
ko:K03322	bqy:MUS_0433
ko:K07071	bqy:MUS_0870
ko:K03565	bqy:MUS_0871
ko:K06428	bqy:MUS_0876
ko:K03575	bqy:MUS_0885
ko:K10780	bqy:MUS_0887
ko:K06422	bqy:MUS_0888
ko:K01845	bqy:MUS_0893
ko:K03564	bqy:MUS_0894
ko:K00283	bqy:MUS_2752
ko:K00282	bqy:MUS_2753
ko:K00605	bqy:MUS_2754
ko:K01308	bqy:MUS_2780
ko:K03315	bqy:MUS_2783
ko:K02036	bqy:MUS_2791
ko:K02036	bqy:MUS_2792
ko:K02038	bqy:MUS_2793
ko:K02037	bqy:MUS_2794
ko:K02040	bqy:MUS_2795
ko:K08222	bqy:MUS_2797
ko:K04564	bqy:MUS_2798
ko:K09793	bqy:MUS_2799
ko:K05967	bqy:MUS_2804
ko:K01804	bqy:MUS_3155
ko:K02887	bqy:MUS_3162
ko:K02520	bqy:MUS_3163
ko:K05339	bqy:MUS_3164
ko:K05338	bqy:MUS_3165
ko:K07704	bqy:MUS_3167
ko:K01868	bqy:MUS_3169
ko:K07738	bqy:MUS_3174
ko:K01611	bqy:MUS_3176
ko:K00134	bqy:MUS_3177
ko:K00859	bqy:MUS_3181
ko:K07636	bqy:MUS_3186
ko:K00024	bqy:MUS_3188
ko:K00031	bqy:MUS_3189
ko:K01647	bqy:MUS_3190
ko:K07113	bqy:MUS_3197
ko:K00873	bqy:MUS_3198
ko:K00850	bqy:MUS_3199
ko:K01962	bqy:MUS_3200
ko:K01963	bqy:MUS_3201
ko:K00943	bqy:MUS_0034
ko:K09770	bqy:MUS_0036
ko:K02341	bqy:MUS_0037
ko:K07461	bqy:MUS_0041
ko:K07056	bqy:MUS_0042
ko:K06284	bqy:MUS_0043
ko:K01874	bqy:MUS_0044
ko:K03424	bqy:MUS_0045
ko:K05985	bqy:MUS_0047
ko:K02528	bqy:MUS_0048
ko:K06436	bqy:MUS_0049
ko:K06423	bqy:MUS_0051
ko:K00919	bqy:MUS_0052
ko:K06412	bqy:MUS_0055
ko:K04042	bqy:MUS_0056
ko:K00948	bqy:MUS_0057
ko:K02897	bqy:MUS_0058
ko:K01056	bqy:MUS_0059
ko:K03723	bqy:MUS_0061
ko:K00997	bqy:MUS_0466
ko:K01775	bqy:MUS_0468
ko:K07723	bqy:MUS_0469
ko:K06959	bqy:MUS_0478
ko:K03762	bqy:MUS_0482
ko:K15554	bqy:MUS_0916
ko:K02954	bqy:MUS_0920
ko:K03216	bqy:MUS_0926
ko:K07180	bqy:MUS_0931
ko:K09786	bqy:MUS_0933
ko:K03809	bqy:MUS_0938
ko:K03664	bqy:MUS_3687
ko:K12573	bqy:MUS_3688
ko:K03928	bqy:MUS_3689
ko:K03075	bqy:MUS_3690
ko:K05845	bqy:MUS_3703
ko:K05846	bqy:MUS_3709
ko:K05845	bqy:MUS_3710
ko:K05846	bqy:MUS_3711
ko:K05847	bqy:MUS_3712
ko:K01689	bqy:MUS_3720
ko:K15633	bqy:MUS_3721
ko:K01803	bqy:MUS_3722
ko:K00927	bqy:MUS_3723
ko:K00134	bqy:MUS_3725
ko:K05311	bqy:MUS_3726
ko:K02103	bqy:MUS_3728
ko:K00782	bqy:MUS_3741
ko:K14647	bqy:MUS_4195
ko:K05837	bqy:MUS_4198
ko:K03829	bqy:MUS_4199
ko:K02829	bqy:MUS_4201
ko:K02828	bqy:MUS_4202
ko:K02827	bqy:MUS_4203
ko:K02826	bqy:MUS_4204
ko:K00849	bqy:MUS_4211
ko:K00788	bqy:MUS_4220
ko:K00878	bqy:MUS_4221
ko:K06969	bqy:MUS_4230
ko:K01866	bqy:MUS_4239
ko:K02548	bqy:MUS_4242
ko:K03367	bqy:MUS_4244
ko:K03739	bqy:MUS_4245
ko:K14188	bqy:MUS_4246
ko:K03740	bqy:MUS_4247
ko:K00826	bqy:MUS_4248
ko:K02071	bqy:MUS_3578
ko:K07476	bqy:MUS_3581
ko:K02437	bqy:MUS_3583
ko:K07516	bqy:MUS_3587
ko:K01574	bqy:MUS_3595
ko:K00077	bqy:MUS_3596
ko:K02013	bqy:MUS_3598
ko:K04047	bqy:MUS_3602
ko:K07650	bqy:MUS_3606
ko:K11622	bqy:MUS_3616
ko:K11619	bqy:MUS_3619
ko:K02013	bqy:MUS_3622
ko:K02015	bqy:MUS_3623
ko:K02016	bqy:MUS_3624
ko:K03628	bqy:MUS_4082
ko:K00790	bqy:MUS_4085
ko:K01624	bqy:MUS_4087
ko:K02490	bqy:MUS_4088
ko:K01937	bqy:MUS_4090
ko:K06131	bqy:MUS_4096
ko:K06131	bqy:MUS_4100
ko:K00373	bqy:MUS_4103
ko:K00371	bqy:MUS_4104
ko:K00370	bqy:MUS_4105
ko:K02575	bqy:MUS_4109
ko:K01887	bqy:MUS_4110
ko:K00797	bqy:MUS_4120
ko:K01821	bqy:MUS_4125
ko:K06885	bqy:MUS_4129
ko:K06314	bqy:MUS_4132
ko:K03218	bqy:MUS_0107
ko:K06962	bqy:MUS_0108
ko:K03091	bqy:MUS_0109
ko:K02913	bqy:MUS_0110
ko:K03073	bqy:MUS_0111
ko:K02601	bqy:MUS_0112
ko:K02867	bqy:MUS_0113
ko:K02863	bqy:MUS_0114
ko:K02864	bqy:MUS_0115
ko:K02935	bqy:MUS_0116
ko:K03043	bqy:MUS_0118
ko:K03046	bqy:MUS_0119
ko:K07590	bqy:MUS_0120
ko:K02992	bqy:MUS_0121
ko:K02355	bqy:MUS_0122
ko:K02358	bqy:MUS_0123
ko:K02906	bqy:MUS_0126
ko:K02926	bqy:MUS_0128
ko:K02892	bqy:MUS_0129
ko:K02886	bqy:MUS_0130
ko:K02982	bqy:MUS_0131
ko:K02878	bqy:MUS_0132
ko:K02904	bqy:MUS_0133
ko:K02961	bqy:MUS_0134
ko:K02895	bqy:MUS_0135
ko:K02931	bqy:MUS_0136
ko:K00375	bqy:MUS_0551
ko:K07010	bqy:MUS_0564
ko:K00005	bqy:MUS_0568
ko:K07552	bqy:MUS_0569
ko:K09458	bqy:MUS_0570
ko:K00824	bqy:MUS_1006
ko:K03897	bqy:MUS_1025
ko:K07228	bqy:MUS_1027
ko:K07258	bqy:MUS_0012
ko:K03088	bqy:MUS_0184
ko:K03431	bqy:MUS_0188
ko:K00820	bqy:MUS_0191
ko:K03969	bqy:MUS_0623
ko:K06872	bqy:MUS_0625
ko:K03088	bqy:MUS_0630
ko:K03924	bqy:MUS_0640
ko:K01951	bqy:MUS_0644
ko:K01841	bqy:MUS_0647
ko:K00812	bqy:MUS_0648
ko:K03100	bqy:MUS_1103
ko:K03547	bqy:MUS_1113
ko:K06303	bqy:MUS_1117
ko:K06302	bqy:MUS_1118
ko:K06301	bqy:MUS_1119
ko:K06300	bqy:MUS_1120
ko:K06299	bqy:MUS_1121
ko:K09190	bqy:MUS_0291
ko:K09967	bqy:MUS_0293
ko:K15652	bqy:MUS_0297
ko:K00891	bqy:MUS_0299
ko:K01060	bqy:MUS_0300
ko:K07074	bqy:MUS_0301
ko:K00318	bqy:MUS_0303
ko:K13542	bqy:MUS_0309
ko:K00363	bqy:MUS_0310
ko:K00362	bqy:MUS_0311
ko:K00372	bqy:MUS_0312
ko:K00362	bqy:MUS_0313
ko:K02575	bqy:MUS_0315
ko:K15738	bqy:MUS_0747
ko:K01728	bqy:MUS_0758
ko:K03319	bqy:MUS_0759
ko:K03093	bqy:MUS_1423
ko:K03799	bqy:MUS_1428
ko:K08963	bqy:MUS_1436
ko:K00899	bqy:MUS_1437
ko:K08965	bqy:MUS_1440
ko:K08966	bqy:MUS_1441
ko:K08967	bqy:MUS_1443
ko:K15973	bqy:MUS_1448
ko:K02557	bqy:MUS_1449
ko:K02556	bqy:MUS_1450
ko:K06920	bqy:MUS_1457
ko:K01737	bqy:MUS_1458
ko:K10026	bqy:MUS_1459
ko:K01449	bqy:MUS_1464
ko:K01534	bqy:MUS_1467
ko:K03480	bqy:MUS_1471
ko:K01425	bqy:MUS_1629
ko:K03588	bqy:MUS_1631
ko:K02259	bqy:MUS_1633
ko:K02275	bqy:MUS_1636
ko:K02276	bqy:MUS_1638
ko:K00954	bqy:MUS_1650
ko:K07001	bqy:MUS_1652
ko:K07040	bqy:MUS_1656
ko:K00133	bqy:MUS_1829
ko:K00928	bqy:MUS_1830
ko:K01714	bqy:MUS_1831
ko:K03710	bqy:MUS_1836
ko:K08221	bqy:MUS_1837
ko:K00995	bqy:MUS_1847
ko:K09769	bqy:MUS_1853
ko:K06416	bqy:MUS_1854
ko:K00060	bqy:MUS_1855
ko:K06168	bqy:MUS_1857
ko:K06328	bqy:MUS_1859
ko:K03555	bqy:MUS_1860
ko:K03572	bqy:MUS_1861
ko:K15311	bqy:MUS_1873
ko:K00645	bqy:MUS_2171
ko:K00019	bqy:MUS_2172
ko:K01029	bqy:MUS_2173
ko:K01028	bqy:MUS_2174
ko:K01012	bqy:MUS_2178
ko:K01935	bqy:MUS_2179
ko:K00963	bqy:MUS_2185
ko:K01640	bqy:MUS_2189
ko:K02160	bqy:MUS_2190
ko:K01961	bqy:MUS_2191
ko:K07259	bqy:MUS_2210
ko:K01868	bqy:MUS_2219
ko:K00940	bqy:MUS_2522
ko:K03183	bqy:MUS_2524
ko:K06285	bqy:MUS_2526
ko:K01495	bqy:MUS_2527
ko:K03530	bqy:MUS_2528
ko:K06398	bqy:MUS_2530
ko:K00057	bqy:MUS_2534
ko:K03977	bqy:MUS_2535
ko:K02945	bqy:MUS_2539
ko:K00945	bqy:MUS_2540
ko:K01449	bqy:MUS_2544
ko:K00384	bqy:MUS_2546
ko:K00260	bqy:MUS_2547
ko:K03654	bqy:MUS_2553
ko:K03088	bqy:MUS_2560
ko:K07651	bqy:MUS_2561
ko:K07775	bqy:MUS_2562
ko:K07399	bqy:MUS_2564
ko:K06178	bqy:MUS_2566
ko:K06374	bqy:MUS_2567
ko:K06373	bqy:MUS_2568
ko:K06024	bqy:MUS_2572
ko:K05896	bqy:MUS_2573
ko:K03624	bqy:MUS_2918
ko:K00571	bqy:MUS_3218
ko:K18682	bqy:MUS_1852
ko:K16188	bqy:MUS_3335
ko:K15973	bqy:MUS_1414
ko:K15313	bqy:MUS_1875
ko:K16248	bqy:MUS_0620
ko:K00008	bqy:MUS_0619
ko:K16247	bqy:MUS_0618
ko:K06352	bqy:MUS_1328
ko:K06353	bqy:MUS_0365
ko:K00483	bqy:MUS_0220
ko:K14222	bqy:MUS_R0078
ko:K06291	bqy:MUS_3921
ko:K10823	bqy:MUS_1190
ko:K06366	bqy:MUS_3191
ko:K06360	bqy:MUS_4036
ko:K10710	bqy:MUS_3551
ko:K11635	bqy:MUS_4346
ko:K11633	bqy:MUS_4347
ko:K13613	bqy:MUS_1883
ko:K16331	bqy:MUS_1708
ko:K07038	bqy:MUS_0884
ko:K16593	bqy:MUS_2177
ko:K16216	bqy:MUS_3476
ko:K16509	bqy:MUS_1193
ko:K16511	bqy:MUS_2548
ko:K01838	bqy:MUS_3792
ko:K01739	bqy:MUS_1237
ko:K01977	bqy:MUS_R0001
ko:K01977	bqy:MUS_R0041
ko:K01977	bqy:MUS_R0026
ko:K01977	bqy:MUS_R0110
ko:K01977	bqy:MUS_R0057
ko:K01977	bqy:MUS_R0062
ko:K01977	bqy:MUS_R0006
ko:K01977	bqy:MUS_R0023
ko:K01977	bqy:MUS_R0011
ko:K05846	bqy:MUS_3704
ko:K05847	bqy:MUS_3705
ko:K01179	bqy:MUS_2161
ko:K02480	bqy:MUS_0970
ko:K01223	bqy:MUS_0320
ko:K06437	bqy:MUS_1509
ko:K07698	bqy:MUS_1534
ko:K06362	bqy:MUS_4004
ko:K11620	bqy:MUS_3618
ko:K11623	bqy:MUS_0561
ko:K03339	bqy:MUS_4358
ko:K11624	bqy:MUS_0562
ko:K13955	bqy:MUS_2223
ko:K00355	bqy:MUS_0853
ko:K02004	bqy:MUS_0359
ko:K03307	bqy:MUS_2311
ko:K00867	bqy:MUS_2628
ko:K00059	bqy:MUS_2662
ko:K15329	bqy:MUS_2667
ko:K00784	bqy:MUS_2677
ko:K00033	bqy:MUS_2679
ko:K00929	bqy:MUS_2697
ko:K07105	bqy:MUS_3050
ko:K04518	bqy:MUS_3051
ko:K07584	bqy:MUS_3056
ko:K06402	bqy:MUS_3058
ko:K02236	bqy:MUS_3068
ko:K01719	bqy:MUS_3079
ko:K04076	bqy:MUS_3086
ko:K07017	bqy:MUS_3493
ko:K03317	bqy:MUS_3517
ko:K01104	bqy:MUS_3989
ko:K01092	bqy:MUS_0168
ko:K01409	bqy:MUS_0607
ko:K07052	bqy:MUS_0614
ko:K00626	bqy:MUS_1086
ko:K05937	bqy:MUS_1094
ko:K16167	bqy:MUS_2383
ko:K16168	bqy:MUS_2382
ko:K00135	bqy:MUS_0379
ko:K02799	bqy:MUS_0387
ko:K02800	bqy:MUS_0387
ko:K02798	bqy:MUS_0388
ko:K07104	bqy:MUS_0847
ko:K07305	bqy:MUS_2346
ko:K07304	bqy:MUS_2347
ko:K03469	bqy:MUS_2373
ko:K03469	bqy:MUS_2375
ko:K00626	bqy:MUS_2707
ko:K01262	bqy:MUS_2744
ko:K02428	bqy:MUS_3109
ko:K00241	bqy:MUS_3118
ko:K01209	bqy:MUS_3124
ko:K03471	bqy:MUS_3136
ko:K01209	bqy:MUS_3147
ko:K01466	bqy:MUS_3539
ko:K09684	bqy:MUS_3540
ko:K04488	bqy:MUS_3569
ko:K07114	bqy:MUS_4040
ko:K07114	bqy:MUS_4043
ko:K08234	bqy:MUS_4077
ko:K00104	bqy:MUS_3143
ko:K01560	bqy:MUS_0203
ko:K07120	bqy:MUS_1106
ko:K00158	bqy:MUS_0426
ko:K07586	bqy:MUS_0890
ko:K11085	bqy:MUS_0891
ko:K09825	bqy:MUS_0895
ko:K13280	bqy:MUS_2760
ko:K02249	bqy:MUS_2764
ko:K02248	bqy:MUS_2765
ko:K02246	bqy:MUS_2767
ko:K02245	bqy:MUS_2768
ko:K02244	bqy:MUS_2769
ko:K02243	bqy:MUS_2770
ko:K16509	bqy:MUS_2774
ko:K00845	bqy:MUS_2781
ko:K01934	bqy:MUS_2786
ko:K02076	bqy:MUS_2805
ko:K00853	bqy:MUS_3154
ko:K07025	bqy:MUS_3168
ko:K11144	bqy:MUS_3172
ko:K03346	bqy:MUS_3173
ko:K10563	bqy:MUS_3183
ko:K07658	bqy:MUS_3187
ko:K07770	bqy:MUS_3605
ko:K01679	bqy:MUS_3609
ko:K11618	bqy:MUS_3614
ko:K11617	bqy:MUS_3615
ko:K00027	bqy:MUS_4080
ko:K02446	bqy:MUS_4084
ko:K00616	bqy:MUS_4086
ko:K03048	bqy:MUS_4091
ko:K06147	bqy:MUS_4099
ko:K00374	bqy:MUS_4102
ko:K07729	bqy:MUS_4114
ko:K01480	bqy:MUS_4119
ko:K03294	bqy:MUS_4127
ko:K10947	bqy:MUS_4133
ko:K15583	bqy:MUS_1189
ko:K07094	bqy:MUS_0677
ko:K15629	bqy:MUS_1146
ko:K06889	bqy:MUS_1154
ko:K14220	bqy:MUS_R0065
ko:K09167	bqy:MUS_0463
ko:K08981	bqy:MUS_0464
ko:K02035	bqy:MUS_0906
ko:K02033	bqy:MUS_0907
ko:K00027	bqy:MUS_3203
ko:K00059	bqy:MUS_3212
ko:K06286	bqy:MUS_3232
ko:K01569	bqy:MUS_3634
ko:K03316	bqy:MUS_3656
ko:K00380	bqy:MUS_3659
ko:K07213	bqy:MUS_3670
ko:K00625	bqy:MUS_4144
ko:K00294	bqy:MUS_4158
ko:K09685	bqy:MUS_0053
ko:K07315	bqy:MUS_0473
ko:K03090	bqy:MUS_0476
ko:K03095	bqy:MUS_0480
ko:K00059	bqy:MUS_3684
ko:K05595	bqy:MUS_3715
ko:K00851	bqy:MUS_3738
ko:K03299	bqy:MUS_3739
ko:K03488	bqy:MUS_4193
ko:K01759	bqy:MUS_4229
ko:K01222	bqy:MUS_4249
ko:K16511	bqy:MUS_1195
ko:K00547	bqy:MUS_0237
ko:K01113	bqy:MUS_0248
ko:K01424	bqy:MUS_0256
ko:K03307	bqy:MUS_0683
ko:K02433	bqy:MUS_0685
ko:K02035	bqy:MUS_1180
ko:K02033	bqy:MUS_1181
ko:K15582	bqy:MUS_1188
ko:K07816	bqy:MUS_1205
ko:K03455	bqy:MUS_1209
ko:K03153	bqy:MUS_1212
ko:K01760	bqy:MUS_1238
ko:K01719	bqy:MUS_1312
ko:K03294	bqy:MUS_1358
ko:K08483	bqy:MUS_1474
ko:K03406	bqy:MUS_1477
ko:K00841	bqy:MUS_1483
ko:K07098	bqy:MUS_1489
ko:K05822	bqy:MUS_1503
ko:K03635	bqy:MUS_1514
ko:K02005	bqy:MUS_1518
ko:K02004	bqy:MUS_1520
ko:K03436	bqy:MUS_1521
ko:K00882	bqy:MUS_1522
ko:K00949	bqy:MUS_1731
ko:K07030	bqy:MUS_1735
ko:K00059	bqy:MUS_1742
ko:K09787	bqy:MUS_1748
ko:K00854	bqy:MUS_2076
ko:K13953	bqy:MUS_2081
ko:K06877	bqy:MUS_2466
ko:K13300	bqy:MUS_2814
ko:K01489	bqy:MUS_2826
ko:K02238	bqy:MUS_2853
ko:K04767	bqy:MUS_3263
ko:K00027	bqy:MUS_3281
ko:K01439	bqy:MUS_3290
ko:K06183	bqy:MUS_3295
ko:K05020	bqy:MUS_3299
ko:K03929	bqy:MUS_3768
ko:K01182	bqy:MUS_3794
ko:K03488	bqy:MUS_4305
ko:K06902	bqy:MUS_4306
ko:K01479	bqy:MUS_4331
ko:K01619	bqy:MUS_4335
ko:K02499	bqy:MUS_0064
ko:K07114	bqy:MUS_0072
ko:K02619	bqy:MUS_0084
ko:K01081	bqy:MUS_0956
ko:K02443	bqy:MUS_0965
ko:K01835	bqy:MUS_0969
ko:K03491	bqy:MUS_4253
