ko:K15039	sin:YN1551_1342
ko:K08676	sin:YN1551_2619
ko:K01990	sin:YN1551_2567
ko:K00340	sin:YN1551_1035
ko:K02614	sin:YN1551_3053
ko:K01897	sin:YN1551_0478
ko:K00721	sin:YN1551_2336
ko:K10027	sin:YN1551_0910
ko:K06001	sin:YN1551_1779
ko:K01990	sin:YN1551_1778
ko:K01992	sin:YN1551_1777
ko:K07133	sin:YN1551_0194
ko:K07133	sin:YN1551_1796
ko:K07133	sin:YN1551_2211
ko:K07114	sin:YN1551_1728
ko:K02224	sin:YN1551_1111
ko:K01271	sin:YN1551_1069
ko:K03057	sin:YN1551_0997
ko:K09737	sin:YN1551_1578
ko:K10725	sin:YN1551_0961
ko:K01992	sin:YN1551_0578
ko:K01739	sin:YN1551_2771
ko:K07405	sin:YN1551_1627
ko:K06001	sin:YN1551_1531
ko:K07143	sin:YN1551_1488
ko:K10725	sin:YN1551_1477
ko:K07076	sin:YN1551_0893
ko:K09386	sin:YN1551_2828
ko:K01473	sin:YN1551_1918
ko:K13280	sin:YN1551_1558
ko:K01170	sin:YN1551_1144
ko:K04796	sin:YN1551_0862
ko:K04796	sin:YN1551_1463
ko:K02191	sin:YN1551_0110
ko:K12589	sin:YN1551_1441
ko:K10725	sin:YN1551_0002
ko:K03540	sin:YN1551_0042
ko:K03394	sin:YN1551_0109
ko:K07332	sin:YN1551_2940
ko:K07331	sin:YN1551_2939
ko:K02303	sin:YN1551_2833
ko:K06984	sin:YN1551_1076
ko:K08368	sin:YN1551_2029
ko:K09685	sin:YN1551_0941
ko:K03855	sin:YN1551_0272
ko:K13525	sin:YN1551_1124
ko:K13525	sin:YN1551_0837
ko:K13798	sin:YN1551_0933
ko:K03679	sin:YN1551_1443
ko:K01811	sin:YN1551_0429
ko:K00113	sin:YN1551_3032
ko:K06044	sin:YN1551_2618
ko:K03136	sin:YN1551_0972
ko:K01474	sin:YN1551_1917
ko:K07398	sin:YN1551_0977
ko:K06928	sin:YN1551_3158
ko:K08980	sin:YN1551_1935
ko:K13038	sin:YN1551_0918
ko:K00302	sin:YN1551_0848
ko:K04802	sin:YN1551_1104
ko:K01515	sin:YN1551_3154
ko:K07087	sin:YN1551_3075
ko:K06944	sin:YN1551_2785
ko:K03057	sin:YN1551_1305
ko:K00150	sin:YN1551_1251
ko:K02016	sin:YN1551_1191
ko:K09147	sin:YN1551_3086
ko:K03052	sin:YN1551_0981
ko:K03057	sin:YN1551_0998
ko:K02304	sin:YN1551_0840
ko:K01784	sin:YN1551_0821
ko:K05831	sin:YN1551_0817
ko:K05826	sin:YN1551_0814
ko:K03058	sin:YN1551_0741
ko:K07022	sin:YN1551_0671
ko:K11395	sin:YN1551_0626
ko:K01990	sin:YN1551_0579
ko:K01187	sin:YN1551_0466
ko:K10199	sin:YN1551_0482
ko:K10196	sin:YN1551_0479
ko:K10198	sin:YN1551_0302
ko:K10198	sin:YN1551_0481
ko:K03239	sin:YN1551_0386
ko:K02827	sin:YN1551_0381
ko:K02828	sin:YN1551_0381
ko:K02826	sin:YN1551_0377
ko:K01191	sin:YN1551_0409
ko:K09002	sin:YN1551_2140
ko:K13953	sin:YN1551_2043
ko:K07991	sin:YN1551_0799
ko:K00024	sin:YN1551_3092
ko:K01595	sin:YN1551_0069
ko:K07068	sin:YN1551_2033
ko:K15495	sin:YN1551_1664
ko:K00001	sin:YN1551_2663
ko:K06957	sin:YN1551_0643
ko:K13722	sin:YN1551_3140
ko:K06921	sin:YN1551_2552
ko:K07114	sin:YN1551_1725
ko:K01622	sin:YN1551_0991
ko:K14234	sin:YN1551_R0014
ko:K07068	sin:YN1551_1855
ko:K14231	sin:YN1551_R0031
ko:K07158	sin:YN1551_1119
ko:K14218	sin:YN1551_R0022
ko:K14218	sin:YN1551_R0049
ko:K14218	sin:YN1551_R0015
ko:K14219	sin:YN1551_R0040
ko:K14219	sin:YN1551_R0018
ko:K07496	sin:YN1551_2362
ko:K00666	sin:YN1551_2047
ko:K10844	sin:YN1551_1019
ko:K14230	sin:YN1551_R0028
ko:K14236	sin:YN1551_R0036
ko:K14228	sin:YN1551_R0032
ko:K14221	sin:YN1551_R0011
ko:K01983	sin:YN1551_R0005
ko:K00008	sin:YN1551_0659
ko:K00104	sin:YN1551_0571
ko:K14233	sin:YN1551_R0024
ko:K00666	sin:YN1551_2031
ko:K01980	sin:YN1551_R0045
ko:K07045	sin:YN1551_2695
ko:K01011	sin:YN1551_0336
ko:K14187	sin:YN1551_1009
ko:K06921	sin:YN1551_2451
ko:K14232	sin:YN1551_R0002
ko:K14224	sin:YN1551_R0027
ko:K14224	sin:YN1551_R0038
ko:K14228	sin:YN1551_R0043
ko:K01978	sin:YN1551_R0016
ko:K14229	sin:YN1551_R0008
ko:K14233	sin:YN1551_R0035
ko:K14219	sin:YN1551_R0019
ko:K15763	sin:YN1551_2653
ko:K15764	sin:YN1551_2652
ko:K14220	sin:YN1551_R0003
ko:K03537	sin:YN1551_1446
ko:K14225	sin:YN1551_R0026
ko:K00721	sin:YN1551_0663
ko:K14225	sin:YN1551_R0023
ko:K14225	sin:YN1551_R0030
ko:K02614	sin:YN1551_2581
ko:K07068	sin:YN1551_1247
ko:K14232	sin:YN1551_R0021
ko:K14232	sin:YN1551_R0047
ko:K14229	sin:YN1551_R0009
ko:K09717	sin:YN1551_0922
ko:K05966	sin:YN1551_0921
ko:K07176	sin:YN1551_1672
ko:K14233	sin:YN1551_R0004
ko:K14219	sin:YN1551_R0020
ko:K14234	sin:YN1551_R0041
ko:K14237	sin:YN1551_R0007
ko:K14237	sin:YN1551_R0017
ko:K14230	sin:YN1551_R0034
ko:K14219	sin:YN1551_R0029
ko:K14233	sin:YN1551_R0013
ko:K14237	sin:YN1551_R0037
ko:K13993	sin:YN1551_2824
ko:K03709	sin:YN1551_1363
ko:K00793	sin:YN1551_1108
ko:K15017	sin:YN1551_3167
ko:K03538	sin:YN1551_1420
ko:K01977	sin:YN1551_R0044
ko:K15372	sin:YN1551_2956
ko:K14534	sin:YN1551_0139
ko:K03653	sin:YN1551_1546
ko:K15038	sin:YN1551_1850
ko:K01524	sin:YN1551_2685
ko:K14654	sin:YN1551_2620
ko:K15037	sin:YN1551_2861
ko:K01964	sin:YN1551_2862
ko:K03457	sin:YN1551_1877
ko:K01470	sin:YN1551_0295
ko:K14234	sin:YN1551_R0001
ko:K14223	sin:YN1551_R0042
ko:K14223	sin:YN1551_R0025
ko:K05308	sin:YN1551_0627
ko:K01090	sin:YN1551_1727
ko:K06921	sin:YN1551_0220
ko:K01985	sin:YN1551_R0006
ko:K14228	sin:YN1551_R0050
ko:K01485	sin:YN1551_0172
ko:K14228	sin:YN1551_R0033
ko:K14228	sin:YN1551_R0039
ko:K06963	sin:YN1551_1478
ko:K14227	sin:YN1551_R0048
ko:K14230	sin:YN1551_R0012
ko:K01607	sin:YN1551_0329
ko:K10848	sin:YN1551_1436
ko:K05606	sin:YN1551_2823
ko:K15020	sin:YN1551_1469
ko:K02027	sin:YN1551_2964
ko:K14656	sin:YN1551_1591
ko:K14561	sin:YN1551_1439
ko:K15018	sin:YN1551_0632
ko:K14465	sin:YN1551_1180
ko:K03539	sin:YN1551_1447
ko:K18882	sin:YN1551_1261
ko:K15036	sin:YN1551_2860
ko:K15019	sin:YN1551_1350
ko:K15429	sin:YN1551_2838
ko:K11130	sin:YN1551_1687
ko:K11529	sin:YN1551_1361
ko:K01434	sin:YN1551_1840
ko:K15566	sin:YN1551_1724
ko:K01170	sin:YN1551_0984
ko:K15746	sin:YN1551_0909
ko:K02428	sin:YN1551_1135
ko:K14415	sin:YN1551_1606
ko:K15863	sin:YN1551_1036
ko:K07333	sin:YN1551_2786
ko:K15916	sin:YN1551_0092
ko:K15888	sin:YN1551_0818
ko:K15762	sin:YN1551_2654
ko:K15760	sin:YN1551_2657
ko:K15342	sin:YN1551_2121
ko:K15635	sin:YN1551_1123
ko:K14568	sin:YN1551_0043
ko:K11131	sin:YN1551_1098
ko:K05829	sin:YN1551_0811
ko:K05828	sin:YN1551_0812
ko:K03146	sin:YN1551_1140
ko:K14574	sin:YN1551_1444
ko:K00966	sin:YN1551_1024
ko:K14226	sin:YN1551_R0010
ko:K07332	sin:YN1551_2787
ko:K07050	sin:YN1551_1156
ko:K14564	sin:YN1551_1576
ko:K07332	sin:YN1551_2995
ko:K07333	sin:YN1551_2996
ko:K15977	sin:YN1551_2968
ko:K01683	sin:YN1551_0534
ko:K03417	sin:YN1551_3090
ko:K07496	sin:YN1551_3193
ko:K15496	sin:YN1551_1665
ko:K15760	sin:YN1551_2656
ko:K15497	sin:YN1551_1073
ko:K01684	sin:YN1551_3011
ko:K01641	sin:YN1551_1245
ko:K11645	sin:YN1551_0651
ko:K16264	sin:YN1551_0061
ko:K18125	sin:YN1551_0458
ko:K16785	sin:YN1551_1889
ko:K05825	sin:YN1551_0773
ko:K16640	sin:YN1551_1897
ko:K16640	sin:YN1551_3121
ko:K18779	sin:YN1551_0979
ko:K16786	sin:YN1551_1890
ko:K16787	sin:YN1551_1890
ko:K16933	sin:YN1551_0715
ko:K16936	sin:YN1551_1972
ko:K16935	sin:YN1551_0717
ko:K10974	sin:YN1551_2244
ko:K16846	sin:YN1551_2573
ko:K16845	sin:YN1551_2572
ko:K16937	sin:YN1551_1973
ko:K16934	sin:YN1551_0716
ko:K16937	sin:YN1551_0505
ko:K02058	sin:YN1551_2073
ko:K17104	sin:YN1551_0965
ko:K17219	sin:YN1551_2198
ko:K17311	sin:YN1551_1637
ko:K17313	sin:YN1551_1639
ko:K07329	sin:YN1551_2938
ko:K17105	sin:YN1551_1283
ko:K07486	sin:YN1551_0232
ko:K17221	sin:YN1551_2200
ko:K17220	sin:YN1551_2199
ko:K17218	sin:YN1551_0072
ko:K17218	sin:YN1551_3045
ko:K17312	sin:YN1551_1638
ko:K17314	sin:YN1551_1640
ko:K01011	sin:YN1551_1652
ko:K02189	sin:YN1551_0798
ko:K07333	sin:YN1551_0787
ko:K15038	sin:YN1551_2101
ko:K07332	sin:YN1551_0788
ko:K17285	sin:YN1551_0309
ko:K01992	sin:YN1551_0724
ko:K01992	sin:YN1551_2926
ko:K01992	sin:YN1551_3028
ko:K13953	sin:YN1551_2640
ko:K01990	sin:YN1551_0725
ko:K01990	sin:YN1551_2927
ko:K01990	sin:YN1551_3027
ko:K15771	sin:YN1551_1807
ko:K15770	sin:YN1551_1808
ko:K15772	sin:YN1551_1806
ko:K10112	sin:YN1551_1805
ko:K17758	sin:YN1551_0067
ko:K17759	sin:YN1551_0067
ko:K07577	sin:YN1551_0850
ko:K14259	sin:YN1551_0530
ko:K03520	sin:YN1551_3137
ko:K07064	sin:YN1551_2175
ko:K03605	sin:YN1551_2224
ko:K03520	sin:YN1551_1999
ko:K17884	sin:YN1551_1260
ko:K09022	sin:YN1551_0635
ko:K18021	sin:YN1551_3038
ko:K22585	sin:YN1551_1519
ko:K18020	sin:YN1551_3036
ko:K18022	sin:YN1551_3037
ko:K18125	sin:YN1551_0407
ko:K07076	sin:YN1551_1799
ko:K07496	sin:YN1551_1791
ko:K18125	sin:YN1551_0633
ko:K18126	sin:YN1551_0625
ko:K01897	sin:YN1551_1075
ko:K00666	sin:YN1551_2909
ko:K00666	sin:YN1551_0261
ko:K00520	sin:YN1551_2986
ko:K07068	sin:YN1551_2908
ko:K07068	sin:YN1551_1854
ko:K07076	sin:YN1551_1819
ko:K01897	sin:YN1551_2020
ko:K07076	sin:YN1551_1801
ko:K07076	sin:YN1551_2726
ko:K07076	sin:YN1551_2063
ko:K07076	sin:YN1551_1960
ko:K15449	sin:YN1551_1593
ko:K18367	sin:YN1551_0094
ko:K07092	sin:YN1551_0496
ko:K19139	sin:YN1551_2136
ko:K18532	sin:YN1551_1167
ko:K07068	sin:YN1551_0523
ko:K07495	sin:YN1551_0188
ko:K07475	sin:YN1551_2112
ko:K07495	sin:YN1551_2521
ko:K07496	sin:YN1551_2158
ko:K07486	sin:YN1551_2878
ko:K07495	sin:YN1551_0240
ko:K07495	sin:YN1551_1218
ko:K07012	sin:YN1551_2113
ko:K09723	sin:YN1551_1479
ko:K02493	sin:YN1551_1454
ko:K18859	sin:YN1551_2762
ko:K01409	sin:YN1551_1137
ko:K01872	sin:YN1551_2563
ko:K08851	sin:YN1551_1136
ko:K15450	sin:YN1551_1322
ko:K07464	sin:YN1551_0674
ko:K07464	sin:YN1551_2119
ko:K07464	sin:YN1551_2276
ko:K19143	sin:YN1551_2148
ko:K08678	sin:YN1551_2331
ko:K08678	sin:YN1551_2404
ko:K19135	sin:YN1551_2131
ko:K19140	sin:YN1551_2141
ko:K07016	sin:YN1551_2142
ko:K19146	sin:YN1551_2111
ko:K09951	sin:YN1551_2120
ko:K19074	sin:YN1551_2115
ko:K19085	sin:YN1551_2122
ko:K19089	sin:YN1551_2114
ko:K07725	sin:YN1551_2117
ko:K07725	sin:YN1551_2594
ko:K01066	sin:YN1551_2894
ko:K19412	sin:YN1551_1340
ko:K01066	sin:YN1551_2918
ko:K01785	sin:YN1551_0147
ko:K21268	sin:YN1551_2745
ko:K19244	sin:YN1551_1083
ko:K07092	sin:YN1551_1062
ko:K07092	sin:YN1551_1758
ko:K01273	sin:YN1551_1966
ko:K06148	sin:YN1551_0419
ko:K19590	sin:YN1551_2256
ko:K19710	sin:YN1551_0953
ko:K19664	sin:YN1551_1483
ko:K20215	sin:YN1551_1590
ko:K01214	sin:YN1551_2617
ko:K21029	sin:YN1551_1006
ko:K13075	sin:YN1551_2055
ko:K19588	sin:YN1551_0529
ko:K21220	sin:YN1551_0714
ko:K07495	sin:YN1551_1851
ko:K07496	sin:YN1551_2449
ko:K07499	sin:YN1551_0592
ko:K07096	sin:YN1551_2609
ko:K07486	sin:YN1551_3266
ko:K07486	sin:YN1551_0239
ko:K07486	sin:YN1551_1225
ko:K07097	sin:YN1551_2852
ko:K21142	sin:YN1551_2792
ko:K07489	sin:YN1551_2235
ko:K07096	sin:YN1551_0054
ko:K07096	sin:YN1551_2955
ko:K07450	sin:YN1551_2239
ko:K07450	sin:YN1551_2469
ko:K07450	sin:YN1551_0435
ko:K07486	sin:YN1551_0115
ko:K07486	sin:YN1551_1691
ko:K07486	sin:YN1551_2250
ko:K07496	sin:YN1551_0679
ko:K07496	sin:YN1551_2353
ko:K21219	sin:YN1551_2791
ko:K21417	sin:YN1551_2052
ko:K21416	sin:YN1551_2051
ko:K21416	sin:YN1551_0182
ko:K07486	sin:YN1551_0195
ko:K07495	sin:YN1551_1992
ko:K07495	sin:YN1551_0562
ko:K21567	sin:YN1551_0038
ko:K07496	sin:YN1551_2458
ko:K07493	sin:YN1551_0413
ko:K21929	sin:YN1551_0085
ko:K21929	sin:YN1551_0133
ko:K03564	sin:YN1551_3063
ko:K14274	sin:YN1551_2970
ko:K22206	sin:YN1551_1174
ko:K02316	sin:YN1551_0752
ko:K06927	sin:YN1551_1372
ko:K03547	sin:YN1551_0064
ko:K22205	sin:YN1551_0958
ko:K15634	sin:YN1551_0053
ko:K02257	sin:YN1551_1352
ko:K19302	sin:YN1551_3022
ko:K15865	sin:YN1551_2780
ko:K22447	sin:YN1551_0986
ko:K09759	sin:YN1551_0832
ko:K00590	sin:YN1551_2183
ko:K03800	sin:YN1551_1696
ko:K00590	sin:YN1551_2288
