ko:K12132	btg:BTB_c39880
ko:K03438	btg:BTB_c40460
ko:K00077	btg:BTB_c40480
ko:K02911	btg:BTB_c40510
ko:K07040	btg:BTB_c40520
ko:K07001	btg:BTB_c40550
ko:K00954	btg:BTB_c40570
ko:K03817	btg:BTB_c48380
ko:K01924	btg:BTB_c48410
ko:K00763	btg:BTB_c48420
ko:K03466	btg:BTB_c48430
ko:K01448	btg:BTB_c48440
ko:K06878	btg:BTB_c48460
ko:K03439	btg:BTB_c48530
ko:K01975	btg:BTB_c48570
ko:K07007	btg:BTB_c48620
ko:K05340	btg:BTB_c48710
ko:K03636	btg:BTB_c48730
ko:K03753	btg:BTB_c48750
ko:K03750	btg:BTB_c48760
ko:K03637	btg:BTB_c48770
ko:K03639	btg:BTB_c48790
ko:K00641	btg:BTB_c48860
ko:K03501	btg:BTB_c56840
ko:K03495	btg:BTB_c56850
ko:K03650	btg:BTB_c56860
ko:K03217	btg:BTB_c56880
ko:K03536	btg:BTB_c56890
ko:K02914	btg:BTB_c56900
ko:K07727	btg:BTB_7p00040
ko:K07341	btg:BTB_7p00070
ko:K07727	btg:BTB_9p00040
ko:K02945	btg:BTB_502p07260
ko:K07038	btg:BTB_502p07310
ko:K07462	btg:BTB_502p07360
ko:K15256	btg:BTB_502p07430
ko:K02279	btg:BTB_502p07500
ko:K02283	btg:BTB_502p07520
ko:K12510	btg:BTB_502p07530
ko:K03091	btg:BTB_502p07650
ko:K02012	btg:BTB_c54550
ko:K01809	btg:BTB_c54590
ko:K01809	btg:BTB_c54650
ko:K02472	btg:BTB_c54740
ko:K00963	btg:BTB_c54760
ko:K03798	btg:BTB_502p05070
ko:K06327	btg:BTB_c15970
ko:K07444	btg:BTB_c16000
ko:K01299	btg:BTB_c16030
ko:K01265	btg:BTB_c16050
ko:K03816	btg:BTB_c16060
ko:K16169	btg:BTB_c16070
ko:K07148	btg:BTB_c16080
ko:K08989	btg:BTB_c16180
ko:K03704	btg:BTB_c16420
ko:K09190	btg:BTB_c16430
ko:K14393	btg:BTB_c16480
ko:K07090	btg:BTB_c25270
ko:K06133	btg:BTB_c25360
ko:K01425	btg:BTB_c25410
ko:K07717	btg:BTB_c25420
ko:K06310	btg:BTB_c25440
ko:K06311	btg:BTB_c25450
ko:K06312	btg:BTB_c25460
ko:K00286	btg:BTB_c25470
ko:K02491	btg:BTB_c25550
ko:K00873	btg:BTB_c33810
ko:K01867	btg:BTB_c34040
ko:K00099	btg:BTB_c34050
ko:K00978	btg:BTB_c34210
ko:K01709	btg:BTB_c34220
ko:K09984	btg:BTB_c34300
ko:K09807	btg:BTB_c42190
ko:K06901	btg:BTB_c42200
ko:K03284	btg:BTB_c42210
ko:K00756	btg:BTB_c42220
ko:K01839	btg:BTB_c42240
ko:K07084	btg:BTB_c42400
ko:K11752	btg:BTB_c42460
ko:K00793	btg:BTB_c42470
ko:K14652	btg:BTB_c42480
ko:K00794	btg:BTB_c42490
ko:K01012	btg:BTB_c42510
ko:K02169	btg:BTB_c42520
ko:K02170	btg:BTB_c42530
ko:K01935	btg:BTB_c42550
ko:K00833	btg:BTB_c42560
ko:K03315	btg:BTB_c42580
ko:K07507	btg:BTB_c50590
ko:K10716	btg:BTB_c50600
ko:K01810	btg:BTB_c50620
ko:K09779	btg:BTB_c50630
ko:K10907	btg:BTB_c50650
ko:K14155	btg:BTB_c50700
ko:K06347	btg:BTB_c50730
ko:K06348	btg:BTB_c50740
ko:K01880	btg:BTB_c50780
ko:K03523	btg:BTB_c50810
ko:K00963	btg:BTB_c50820
ko:K09775	btg:BTB_c50860
ko:K01255	btg:BTB_c50890
ko:K03885	btg:BTB_c50930
ko:K00826	btg:BTB_c18270
ko:K01652	btg:BTB_c18280
ko:K01653	btg:BTB_c18290
ko:K00053	btg:BTB_c18300
ko:K01687	btg:BTB_c18310
ko:K01754	btg:BTB_c18320
ko:K07282	btg:BTB_c18340
ko:K07150	btg:BTB_c18350
ko:K12960	btg:BTB_c18440
ko:K16137	btg:BTB_c18460
ko:K15580	btg:BTB_c18470
ko:K03322	btg:BTB_c18530
ko:K07146	btg:BTB_c18540
ko:K00077	btg:BTB_c18560
ko:K11034	btg:BTB_c18600
ko:K11034	btg:BTB_c18610
ko:K05346	btg:BTB_c18700
ko:K11535	btg:BTB_c18720
ko:K00756	btg:BTB_c18730
ko:K03100	btg:BTB_c27480
ko:K01779	btg:BTB_c27500
ko:K07697	btg:BTB_c27540
ko:K13955	btg:BTB_c27650
ko:K01126	btg:BTB_c27820
ko:K07697	btg:BTB_c36000
ko:K07507	btg:BTB_c36020
ko:K03704	btg:BTB_c36150
ko:K03839	btg:BTB_c36170
ko:K16216	btg:BTB_c36230
ko:K01755	btg:BTB_c36250
ko:K14392	btg:BTB_c36280
ko:K09775	btg:BTB_c36340
ko:K05786	btg:BTB_c36350
ko:K03636	btg:BTB_c36400
ko:K03750	btg:BTB_c36420
ko:K03639	btg:BTB_c36450
ko:K02379	btg:BTB_c36460
ko:K09816	btg:BTB_c44240
ko:K09817	btg:BTB_c44250
ko:K01151	btg:BTB_c44280
ko:K03527	btg:BTB_c44310
ko:K06967	btg:BTB_c44330
ko:K03086	btg:BTB_c44350
ko:K09773	btg:BTB_c44370
ko:K03584	btg:BTB_c44390
ko:K07042	btg:BTB_c44440
ko:K07037	btg:BTB_c44450
ko:K06438	btg:BTB_c44470
ko:K09117	btg:BTB_c44500
ko:K02970	btg:BTB_c44510
ko:K09761	btg:BTB_c44530
ko:K02687	btg:BTB_c44540
ko:K03686	btg:BTB_c44550
ko:K04043	btg:BTB_c44560
ko:K03687	btg:BTB_c44570
ko:K03705	btg:BTB_c44580
ko:K03596	btg:BTB_c44610
ko:K06012	btg:BTB_c44630
ko:K02968	btg:BTB_c44640
ko:K02340	btg:BTB_c44650
ko:K02237	btg:BTB_c44690
ko:K02239	btg:BTB_c44700
ko:K09710	btg:BTB_c44720
ko:K03310	btg:BTB_c52730
ko:K04047	btg:BTB_c52740
ko:K06966	btg:BTB_c52780
ko:K02217	btg:BTB_c52800
ko:K07148	btg:BTB_c52810
ko:K11535	btg:BTB_c52820
ko:K03310	btg:BTB_c52840
ko:K03310	btg:BTB_c52850
ko:K07118	btg:BTB_c52860
ko:K03885	btg:BTB_c52930
ko:K01866	btg:BTB_c52940
ko:K00075	btg:BTB_c52950
ko:K06199	btg:BTB_c53000
ko:K06199	btg:BTB_c53010
ko:K13256	btg:BTB_c53050
ko:K02013	btg:BTB_c53130
ko:K02015	btg:BTB_c53140
ko:K02015	btg:BTB_c53150
ko:K02016	btg:BTB_c53160
ko:K03664	btg:BTB_c53190
ko:K12573	btg:BTB_c53200
ko:K03928	btg:BTB_c53210
ko:K03075	btg:BTB_c53220
ko:K15652	btg:BTB_c20530
ko:K08221	btg:BTB_c20550
ko:K06895	btg:BTB_c20560
ko:K07001	btg:BTB_c20590
ko:K13275	btg:BTB_c20680
ko:K06949	btg:BTB_c20750
ko:K04047	btg:BTB_c20800
ko:K15580	btg:BTB_c20960
ko:K11210	btg:BTB_c20970
ko:K06330	btg:BTB_c21010
ko:K03740	btg:BTB_c29660
ko:K15580	btg:BTB_c29680
ko:K05946	btg:BTB_c29880
ko:K02013	btg:BTB_c38080
ko:K02015	btg:BTB_c38090
ko:K02015	btg:BTB_c38100
ko:K02016	btg:BTB_c38110
ko:K01142	btg:BTB_c38120
ko:K13530	btg:BTB_c38130
ko:K13531	btg:BTB_c38140
ko:K01247	btg:BTB_c38150
ko:K02563	btg:BTB_c38220
ko:K03489	btg:BTB_c38320
ko:K01223	btg:BTB_c38330
ko:K01449	btg:BTB_c38360
ko:K07137	btg:BTB_c38370
ko:K03572	btg:BTB_c38410
ko:K03555	btg:BTB_c38420
ko:K06328	btg:BTB_c38430
ko:K06168	btg:BTB_c38450
ko:K00175	btg:BTB_c38460
ko:K00174	btg:BTB_c38470
ko:K01273	btg:BTB_c38480
ko:K06416	btg:BTB_c38490
ko:K09769	btg:BTB_c38500
ko:K00995	btg:BTB_c38540
ko:K07095	btg:BTB_c46400
ko:K00989	btg:BTB_c46420
ko:K01776	btg:BTB_c46440
ko:K01994	btg:BTB_c46490
ko:K06188	btg:BTB_c46550
ko:K02557	btg:BTB_c46600
ko:K02556	btg:BTB_c46610
ko:K07107	btg:BTB_c46630
ko:K00240	btg:BTB_c46640
ko:K00239	btg:BTB_c46650
ko:K03703	btg:BTB_c46680
ko:K03671	btg:BTB_c46690
ko:K03522	btg:BTB_c46700
ko:K03521	btg:BTB_c46710
ko:K13767	btg:BTB_c46720
ko:K13770	btg:BTB_c46730
ko:K02016	btg:BTB_c46760
ko:K02015	btg:BTB_c46770
ko:K02372	btg:BTB_c54810
ko:K03569	btg:BTB_c54820
ko:K06283	btg:BTB_c54830
ko:K06386	btg:BTB_c54840
ko:K06381	btg:BTB_c54880
ko:K00790	btg:BTB_c54890
ko:K00343	btg:BTB_c54920
ko:K00342	btg:BTB_c54930
ko:K00341	btg:BTB_c54940
ko:K00340	btg:BTB_c54950
ko:K00339	btg:BTB_c54960
ko:K00338	btg:BTB_c54970
ko:K00337	btg:BTB_c54980
ko:K00333	btg:BTB_c54990
ko:K00332	btg:BTB_c55000
ko:K00331	btg:BTB_c55010
ko:K00330	btg:BTB_c55020
ko:K02114	btg:BTB_c55060
ko:K02112	btg:BTB_c55070
ko:K02115	btg:BTB_c55080
ko:K02111	btg:BTB_c55090
ko:K02113	btg:BTB_c55100
ko:K02109	btg:BTB_c55110
ko:K02110	btg:BTB_c55120
ko:K02108	btg:BTB_c55130
ko:K00761	btg:BTB_c55160
ko:K00600	btg:BTB_c55170
ko:K01808	btg:BTB_c55190
ko:K15977	btg:BTB_c55220
ko:K07566	btg:BTB_c55270
ko:K00826	btg:BTB_c14380
ko:K01652	btg:BTB_c14390
ko:K01653	btg:BTB_c14400
ko:K00053	btg:BTB_c14410
ko:K01649	btg:BTB_c14420
ko:K00052	btg:BTB_c14430
ko:K01703	btg:BTB_c14440
ko:K01704	btg:BTB_c14450
ko:K02502	btg:BTB_c14460
ko:K00765	btg:BTB_c14470
ko:K00013	btg:BTB_c14480
ko:K01693	btg:BTB_c14490
ko:K02501	btg:BTB_c14500
ko:K01814	btg:BTB_c14510
ko:K02500	btg:BTB_c14520
ko:K04486	btg:BTB_c14550
ko:K01586	btg:BTB_c14610
ko:K00390	btg:BTB_c14630
ko:K00958	btg:BTB_c14640
ko:K00860	btg:BTB_c14650
ko:K02304	btg:BTB_c14700
ko:K03308	btg:BTB_c14710
ko:K11102	btg:BTB_c14740
ko:K11619	btg:BTB_c14770
ko:K11622	btg:BTB_c14790
ko:K03311	btg:BTB_c14830
ko:K06304	btg:BTB_c23580
ko:K05366	btg:BTB_c23640
ko:K01647	btg:BTB_c23680
ko:K01720	btg:BTB_c23690
ko:K00140	btg:BTB_c23730
ko:K03547	btg:BTB_c23780
ko:K08177	btg:BTB_c23830
ko:K00216	btg:BTB_c23840
ko:K02361	btg:BTB_c23850
ko:K02363	btg:BTB_c23860
ko:K01252	btg:BTB_c23870
ko:K01669	btg:BTB_c32340
ko:K09822	btg:BTB_c32360
ko:K05577	btg:BTB_c32370
ko:K02548	btg:BTB_c32420
ko:K02276	btg:BTB_c40750
ko:K02275	btg:BTB_c40770
ko:K02259	btg:BTB_c40790
ko:K03588	btg:BTB_c40810
ko:K07175	btg:BTB_c40840
ko:K06207	btg:BTB_c40890
ko:K00686	btg:BTB_c40960
ko:K00382	btg:BTB_c41030
ko:K00627	btg:BTB_c41040
ko:K00162	btg:BTB_c41050
ko:K00161	btg:BTB_c41060
ko:K01462	btg:BTB_c41080
ko:K00426	btg:BTB_c41130
ko:K05823	btg:BTB_c41140
ko:K01869	btg:BTB_c48930
ko:K07228	btg:BTB_c48960
ko:K02003	btg:BTB_c48990
ko:K07139	btg:BTB_c49040
ko:K01779	btg:BTB_c49080
ko:K16188	btg:BTB_c49110
ko:K03752	btg:BTB_c49160
ko:K03638	btg:BTB_c49170
ko:K00789	btg:BTB_c49190
ko:K01610	btg:BTB_c49200
ko:K03781	btg:BTB_c49330
ko:K04095	btg:BTB_78p00250
ko:K02283	btg:BTB_78p00470
ko:K02279	btg:BTB_78p00490
ko:K03088	btg:BTB_c16580
ko:K03666	btg:BTB_c16670
ko:K07023	btg:BTB_c16680
ko:K02556	btg:BTB_c16690
ko:K02557	btg:BTB_c16700
ko:K03413	btg:BTB_c16710
ko:K03407	btg:BTB_c16720
ko:K02417	btg:BTB_c16730
ko:K09770	btg:BTB_c16780
ko:K02396	btg:BTB_c16800
ko:K02397	btg:BTB_c16810
ko:K02407	btg:BTB_c16820
ko:K02422	btg:BTB_c16830
ko:K02387	btg:BTB_c16850
ko:K02388	btg:BTB_c16860
ko:K02408	btg:BTB_c16870
ko:K02409	btg:BTB_c16880
ko:K02410	btg:BTB_c16890
ko:K02411	btg:BTB_c16900
ko:K02412	btg:BTB_c16910
ko:K02389	btg:BTB_c16940
ko:K02390	btg:BTB_c16950
ko:K03415	btg:BTB_c16980
ko:K02406	btg:BTB_c17000
ko:K02406	btg:BTB_c17010
ko:K02417	btg:BTB_c17030
ko:K02416	btg:BTB_c17040
ko:K02417	btg:BTB_c17050
ko:K02419	btg:BTB_c17070
ko:K02420	btg:BTB_c17080
ko:K02421	btg:BTB_c17090
ko:K07001	btg:BTB_c25680
ko:K03088	btg:BTB_c25730
ko:K01961	btg:BTB_c25870
ko:K02160	btg:BTB_c25880
ko:K01640	btg:BTB_c25890
ko:K01895	btg:BTB_c25920
ko:K00615	btg:BTB_c34360
ko:K00036	btg:BTB_c34370
ko:K05967	btg:BTB_c34460
ko:K11752	btg:BTB_c34470
ko:K07078	btg:BTB_c34500
ko:K08987	btg:BTB_c34560
ko:K06193	btg:BTB_c34580
ko:K03321	btg:BTB_c34590
ko:K03837	btg:BTB_c34620
ko:K00574	btg:BTB_c34730
ko:K00064	btg:BTB_c34760
ko:K00611	btg:BTB_c42710
ko:K00930	btg:BTB_c42730
ko:K00620	btg:BTB_c42740
ko:K00145	btg:BTB_c42750
ko:K07124	btg:BTB_c42770
ko:K00286	btg:BTB_c42790
ko:K01752	btg:BTB_c42800
ko:K01752	btg:BTB_c42810
ko:K01531	btg:BTB_c42850
ko:K07507	btg:BTB_c42860
ko:K02346	btg:BTB_c42870
ko:K03790	btg:BTB_c42890
ko:K09699	btg:BTB_c43010
ko:K00167	btg:BTB_c43020
ko:K00166	btg:BTB_c43030
ko:K00382	btg:BTB_c43040
ko:K00263	btg:BTB_c43060
ko:K01126	btg:BTB_c43100
ko:K07699	btg:BTB_c43130
ko:K06399	btg:BTB_c43140
ko:K03631	btg:BTB_c43150
ko:K03402	btg:BTB_c43160
ko:K06442	btg:BTB_c43170
ko:K01662	btg:BTB_c43180
ko:K13789	btg:BTB_c43190
ko:K03581	btg:BTB_502p01490
ko:K01118	btg:BTB_c18890
ko:K03311	btg:BTB_c18900
ko:K14166	btg:BTB_c18920
ko:K08177	btg:BTB_c27970
ko:K02338	btg:BTB_c28000
ko:K06153	btg:BTB_c28180
ko:K08310	btg:BTB_c28270
ko:K00285	btg:BTB_c28280
ko:K00675	btg:BTB_c28300
ko:K09984	btg:BTB_c28360
ko:K02003	btg:BTB_c28400
ko:K00123	btg:BTB_c36490
ko:K15580	btg:BTB_c36620
ko:K15580	btg:BTB_c36650
ko:K15580	btg:BTB_c36660
ko:K03088	btg:BTB_c36690
ko:K02621	btg:BTB_c36770
ko:K02622	btg:BTB_c36780
ko:K08591	btg:BTB_c36840
ko:K07107	btg:BTB_c36860
ko:K06306	btg:BTB_c36870
ko:K06431	btg:BTB_c36880
ko:K01681	btg:BTB_c36950
ko:K06432	btg:BTB_c36960
ko:K06433	btg:BTB_c36990
ko:K06335	btg:BTB_c37000
ko:K00969	btg:BTB_c44740
ko:K07574	btg:BTB_c44750
ko:K00014	btg:BTB_c44760
ko:K07015	btg:BTB_c44780
ko:K06371	btg:BTB_c44790
ko:K01613	btg:BTB_c44800
ko:K03091	btg:BTB_c44810
ko:K02913	btg:BTB_c44840
ko:K14647	btg:BTB_c44970
ko:K00500	btg:BTB_c44980
ko:K02013	btg:BTB_c45070
ko:K02015	btg:BTB_c45080
ko:K02016	btg:BTB_c45090
ko:K04072	btg:BTB_c45110
ko:K03624	btg:BTB_c45190
ko:K00876	btg:BTB_c45200
ko:K08303	btg:BTB_c45210
ko:K08303	btg:BTB_c45220
ko:K07082	btg:BTB_c45240
ko:K01689	btg:BTB_c53260
ko:K15633	btg:BTB_c53270
ko:K01803	btg:BTB_c53280
ko:K00927	btg:BTB_c53290
ko:K00134	btg:BTB_c53300
ko:K05311	btg:BTB_c53310
ko:K03092	btg:BTB_c53330
ko:K07680	btg:BTB_c53350
ko:K07691	btg:BTB_c53360
ko:K06405	btg:BTB_c53400
ko:K06406	btg:BTB_c53410
ko:K06407	btg:BTB_c53420
ko:K01358	btg:BTB_c53450
ko:K11184	btg:BTB_c53460
ko:K06958	btg:BTB_c53490
ko:K00384	btg:BTB_c53520
ko:K06019	btg:BTB_c53550
ko:K13292	btg:BTB_c53560
ko:K08972	btg:BTB_c53580
ko:K03701	btg:BTB_c53600
ko:K03702	btg:BTB_c53610
ko:K03797	btg:BTB_c53750
ko:K09811	btg:BTB_c53760
ko:K09812	btg:BTB_c53770
ko:K00648	btg:BTB_502p03980
ko:K03284	btg:BTB_c21050
ko:K07089	btg:BTB_c21060
ko:K06131	btg:BTB_c21090
ko:K09793	btg:BTB_c21130
ko:K03311	btg:BTB_c21190
ko:K06878	btg:BTB_c21200
ko:K06385	btg:BTB_c21230
ko:K06385	btg:BTB_c21310
ko:K01775	btg:BTB_c21370
ko:K00375	btg:BTB_c21430
ko:K02372	btg:BTB_c30180
ko:K15554	btg:BTB_c30350
ko:K15553	btg:BTB_c30360
ko:K01738	btg:BTB_c30550
ko:K02057	btg:BTB_c38610
ko:K02057	btg:BTB_c38620
ko:K07335	btg:BTB_c38640
ko:K03710	btg:BTB_c38650
ko:K03466	btg:BTB_c38670
ko:K01714	btg:BTB_c38710
ko:K00928	btg:BTB_c38720
ko:K00133	btg:BTB_c38730
ko:K06969	btg:BTB_c46900
ko:K08600	btg:BTB_c46920
ko:K02013	btg:BTB_c46930
ko:K02015	btg:BTB_c46940
ko:K02016	btg:BTB_c46950
ko:K03311	btg:BTB_c47000
ko:K06182	btg:BTB_c47010
ko:K07456	btg:BTB_c47030
ko:K02347	btg:BTB_c47040
ko:K09888	btg:BTB_c47060
ko:K01893	btg:BTB_c47100
ko:K01890	btg:BTB_c47110
ko:K01889	btg:BTB_c47120
ko:K03437	btg:BTB_c47130
ko:K06426	btg:BTB_c47140
ko:K06950	btg:BTB_c47150
ko:K02887	btg:BTB_c47240
ko:K02916	btg:BTB_c47250
ko:K02520	btg:BTB_c47260
ko:K01868	btg:BTB_c47270
ko:K07738	btg:BTB_c47320
ko:K06387	btg:BTB_c55290
ko:K02493	btg:BTB_c55300
ko:K02835	btg:BTB_c55310
ko:K02909	btg:BTB_c55330
ko:K03628	btg:BTB_c55340
ko:K00790	btg:BTB_c55360
ko:K01624	btg:BTB_c55370
ko:K02490	btg:BTB_c55380
ko:K01937	btg:BTB_c55400
ko:K00074	btg:BTB_c55450
ko:K06131	btg:BTB_c55480
ko:K07693	btg:BTB_c55540
ko:K07778	btg:BTB_c55550
ko:K01265	btg:BTB_c55580
ko:K03088	btg:BTB_c55640
ko:K01887	btg:BTB_c55650
ko:K00797	btg:BTB_c55710
ko:K01126	btg:BTB_c55740
ko:K01821	btg:BTB_c55780
ko:K06885	btg:BTB_c55790
ko:K05916	btg:BTB_c14900
ko:K07090	btg:BTB_c14930
ko:K03306	btg:BTB_c14940
ko:K07220	btg:BTB_c14950
ko:K14205	btg:BTB_c15060
ko:K04564	btg:BTB_c15090
ko:K06373	btg:BTB_c15110
ko:K06374	btg:BTB_c15120
ko:K06178	btg:BTB_c15130
ko:K07399	btg:BTB_c15150
ko:K07775	btg:BTB_c15170
ko:K07651	btg:BTB_c15180
ko:K03654	btg:BTB_c15250
ko:K16511	btg:BTB_c15300
ko:K00260	btg:BTB_c15310
ko:K00384	btg:BTB_c15350
ko:K00945	btg:BTB_c15380
ko:K02945	btg:BTB_c15390
ko:K04780	btg:BTB_c23880
ko:K06133	btg:BTB_c23910
ko:K03530	btg:BTB_c23930
ko:K03310	btg:BTB_c23970
ko:K06182	btg:BTB_c24010
ko:K01868	btg:BTB_c24020
ko:K02003	btg:BTB_c24030
ko:K02034	btg:BTB_c24070
ko:K07238	btg:BTB_c24090
ko:K09936	btg:BTB_c24140
ko:K09936	btg:BTB_c24160
ko:K00231	btg:BTB_c24320
ko:K03704	btg:BTB_c24360
ko:K00133	btg:BTB_c24410
ko:K02003	btg:BTB_c33150
ko:K09776	btg:BTB_c41190
ko:K00937	btg:BTB_c41280
ko:K01524	btg:BTB_c41290
ko:K00549	btg:BTB_c41370
ko:K07697	btg:BTB_c41410
ko:K15772	btg:BTB_c41450
ko:K15771	btg:BTB_c41460
ko:K00019	btg:BTB_c41650
ko:K08963	btg:BTB_c41670
ko:K07173	btg:BTB_c49550
ko:K08998	btg:BTB_c49560
ko:K01673	btg:BTB_c49570
ko:K00425	btg:BTB_c49580
ko:K00426	btg:BTB_c49590
ko:K03969	btg:BTB_c49660
ko:K04759	btg:BTB_c49690
ko:K04758	btg:BTB_c49700
ko:K00760	btg:BTB_c49780
ko:K02003	btg:BTB_c49880
ko:K13653	btg:BTB_c49890
ko:K03648	btg:BTB_502p00020
ko:K02470	btg:BTB_502p00040
ko:K02469	btg:BTB_502p00060
ko:K01159	btg:BTB_502p00080
ko:K02401	btg:BTB_c17100
ko:K02400	btg:BTB_c17110
ko:K02404	btg:BTB_c17120
ko:K02392	btg:BTB_c17130
ko:K00694	btg:BTB_c17220
ko:K06425	btg:BTB_c17230
ko:K02012	btg:BTB_c17290
ko:K02011	btg:BTB_c17300
ko:K01953	btg:BTB_c17440
ko:K03088	btg:BTB_c17450
ko:K16264	btg:BTB_c17480
ko:K03315	btg:BTB_c17570
ko:K05995	btg:BTB_c17640
ko:K08602	btg:BTB_c26310
ko:K04566	btg:BTB_c26470
ko:K01449	btg:BTB_c26480
ko:K00003	btg:BTB_c26620
ko:K01921	btg:BTB_c26640
ko:K03707	btg:BTB_c26650
ko:K03093	btg:BTB_c34960
ko:K05601	btg:BTB_c35070
ko:K09936	btg:BTB_c35200
ko:K02016	btg:BTB_c35350
ko:K02015	btg:BTB_c35360
ko:K02015	btg:BTB_c35370
ko:K03602	btg:BTB_c43200
ko:K03601	btg:BTB_c43210
ko:K01491	btg:BTB_c43220
ko:K03625	btg:BTB_c43230
ko:K01961	btg:BTB_c43250
ko:K02160	btg:BTB_c43260
ko:K06397	btg:BTB_c43280
ko:K06396	btg:BTB_c43290
ko:K06395	btg:BTB_c43300
ko:K06394	btg:BTB_c43310
ko:K06393	btg:BTB_c43320
ko:K06392	btg:BTB_c43330
ko:K06391	btg:BTB_c43340
ko:K06390	btg:BTB_c43350
ko:K02356	btg:BTB_c43390
ko:K03786	btg:BTB_c43410
ko:K03716	btg:BTB_c43470
ko:K03800	btg:BTB_c43510
ko:K00283	btg:BTB_c43670
ko:K00282	btg:BTB_c43680
ko:K00605	btg:BTB_c43690
ko:K01778	btg:BTB_c51640
ko:K03885	btg:BTB_c51660
ko:K06193	btg:BTB_c51680
ko:K03644	btg:BTB_c51970
ko:K09014	btg:BTB_c52020
ko:K11717	btg:BTB_c52040
ko:K09015	btg:BTB_c52050
ko:K09013	btg:BTB_c52060
ko:K02073	btg:BTB_c52070
ko:K02073	btg:BTB_c52080
ko:K02072	btg:BTB_c52090
ko:K02071	btg:BTB_c52100
ko:K07476	btg:BTB_c52130
ko:K02437	btg:BTB_c52140
ko:K03100	btg:BTB_502p01930
ko:K00023	btg:BTB_c13600
ko:K03821	btg:BTB_c13610
ko:K02012	btg:BTB_c13660
ko:K02011	btg:BTB_c13680
ko:K05306	btg:BTB_c13690
ko:K03430	btg:BTB_c13700
ko:K09798	btg:BTB_c13770
ko:K13532	btg:BTB_c13790
ko:K15973	btg:BTB_c13800
ko:K01887	btg:BTB_c22210
ko:K01870	btg:BTB_c22240
ko:K01929	btg:BTB_c22290
ko:K03466	btg:BTB_c22340
ko:K03308	btg:BTB_c22480
ko:K09962	btg:BTB_c22500
ko:K01091	btg:BTB_c22520
ko:K01779	btg:BTB_c22550
ko:K07727	btg:BTB_c22590
ko:K01091	btg:BTB_c22650
ko:K01118	btg:BTB_c22710
ko:K00655	btg:BTB_c22720
ko:K11068	btg:BTB_c22730
ko:K03116	btg:BTB_c22740
ko:K07727	btg:BTB_c31180
ko:K00876	btg:BTB_c31210
ko:K03924	btg:BTB_c31270
ko:K03762	btg:BTB_c31300
ko:K03781	btg:BTB_c31320
ko:K01486	btg:BTB_c31350
ko:K13652	btg:BTB_c31500
ko:K09768	btg:BTB_c31560
ko:K00876	btg:BTB_c31600
ko:K07090	btg:BTB_c31640
ko:K11733	btg:BTB_c31660
ko:K14540	btg:BTB_c39640
ko:K03100	btg:BTB_c39650
ko:K02884	btg:BTB_c39660
ko:K00554	btg:BTB_c39670
ko:K02860	btg:BTB_c39680
ko:K06960	btg:BTB_c39690
ko:K02959	btg:BTB_c39700
ko:K03106	btg:BTB_c39710
ko:K03110	btg:BTB_c39730
ko:K03529	btg:BTB_c39740
ko:K03685	btg:BTB_c39750
ko:K02078	btg:BTB_c39760
ko:K00645	btg:BTB_c39780
ko:K03621	btg:BTB_c39790
ko:K03655	btg:BTB_c39810
ko:K02902	btg:BTB_c39840
ko:K01783	btg:BTB_c39860
ko:K06949	btg:BTB_c39870
ko:K06941	btg:BTB_c39900
ko:K03500	btg:BTB_c39910
ko:K00604	btg:BTB_c39920
ko:K01462	btg:BTB_c39930
ko:K04066	btg:BTB_c39940
ko:K13038	btg:BTB_c39950
ko:K03060	btg:BTB_c39960
ko:K00942	btg:BTB_c39970
ko:K09777	btg:BTB_c39980
ko:K00762	btg:BTB_c40100
ko:K01591	btg:BTB_c40110
ko:K00925	btg:BTB_c47900
ko:K11065	btg:BTB_c47920
ko:K00858	btg:BTB_c47950
ko:K01895	btg:BTB_c47980
ko:K03151	btg:BTB_c48000
ko:K04487	btg:BTB_c48010
ko:K01761	btg:BTB_c48070
ko:K02986	btg:BTB_c48080
ko:K01866	btg:BTB_c48110
ko:K03088	btg:BTB_c48130
ko:K16785	btg:BTB_c27530
ko:K03076	btg:BTB_c28520
ko:K01449	btg:BTB_c28680
ko:K00453	btg:BTB_c28720
ko:K07130	btg:BTB_c28730
ko:K01556	btg:BTB_c28740
ko:K00382	btg:BTB_c28900
ko:K00627	btg:BTB_c28910
ko:K03523	btg:BTB_c37080
ko:K06999	btg:BTB_c37200
ko:K15975	btg:BTB_c37210
ko:K07736	btg:BTB_c37250
ko:K01468	btg:BTB_c37270
ko:K01712	btg:BTB_c37280
ko:K01745	btg:BTB_c37290
ko:K09683	btg:BTB_c37300
ko:K07090	btg:BTB_c37510
ko:K07447	btg:BTB_c45260
ko:K01872	btg:BTB_c45280
ko:K03581	btg:BTB_c45340
ko:K00566	btg:BTB_c45360
ko:K04487	btg:BTB_c45370
ko:K07478	btg:BTB_c45390
ko:K01876	btg:BTB_c45420
ko:K01892	btg:BTB_c45430
ko:K07560	btg:BTB_c45450
ko:K00759	btg:BTB_c45470
ko:K07462	btg:BTB_c45480
ko:K12257	btg:BTB_c45500
ko:K06409	btg:BTB_c45520
ko:K03210	btg:BTB_c45550
ko:K00773	btg:BTB_c45560
ko:K07568	btg:BTB_c45570
ko:K03551	btg:BTB_c45590
ko:K03550	btg:BTB_c45600
ko:K02016	btg:BTB_c45610
ko:K06318	btg:BTB_c45620
