ko:K02548	sax:USA300HOU_0989
ko:K03499	sax:USA300HOU_1030
ko:K00796	sax:USA300HOU_0508
ko:K01633	sax:USA300HOU_0509
ko:K00375	sax:USA300HOU_0510
ko:K06215	sax:USA300HOU_0511
ko:K08681	sax:USA300HOU_0512
ko:K00003	sax:USA300HOU_1273
ko:K01733	sax:USA300HOU_1274
ko:K00615	sax:USA300HOU_1279
ko:K09976	sax:USA300HOU_1280
ko:K07107	sax:USA300HOU_1284
ko:K08591	sax:USA300HOU_1286
ko:K03310	sax:USA300HOU_1290
ko:K01821	sax:USA300HOU_1298
ko:K03502	sax:USA300HOU_1299
ko:K00766	sax:USA300HOU_1304
ko:K01609	sax:USA300HOU_1305
ko:K01817	sax:USA300HOU_1306
ko:K05311	sax:USA300HOU_0801
ko:K00134	sax:USA300HOU_0802
ko:K00927	sax:USA300HOU_0803
ko:K01803	sax:USA300HOU_0804
ko:K01689	sax:USA300HOU_0806
ko:K03075	sax:USA300HOU_0808
ko:K03928	sax:USA300HOU_0809
ko:K02160	sax:USA300HOU_1607
ko:K00876	sax:USA300HOU_1611
ko:K01872	sax:USA300HOU_1618
ko:K03581	sax:USA300HOU_1619
ko:K00566	sax:USA300HOU_1621
ko:K01876	sax:USA300HOU_1628
ko:K07560	sax:USA300HOU_1631
ko:K00759	sax:USA300HOU_1633
ko:K02773	sax:USA300HOU_0256
ko:K01476	sax:USA300HOU_2154
ko:K01874	sax:USA300HOU_0490
ko:K01890	sax:USA300HOU_1074
ko:K00761	sax:USA300HOU_2102
ko:K00600	sax:USA300HOU_2103
ko:K02493	sax:USA300HOU_2105
ko:K02835	sax:USA300HOU_2106
ko:K00857	sax:USA300HOU_2107
ko:K02909	sax:USA300HOU_2108
ko:K03628	sax:USA300HOU_2109
ko:K00790	sax:USA300HOU_2112
ko:K01937	sax:USA300HOU_2115
ko:K00869	sax:USA300HOU_0583
ko:K01597	sax:USA300HOU_0584
ko:K00938	sax:USA300HOU_0585
ko:K00819	sax:USA300HOU_0916
ko:K09698	sax:USA300HOU_0521
ko:K00567	sax:USA300HOU_2541
ko:K04518	sax:USA300HOU_1917
ko:K00008	sax:USA300HOU_0261
ko:K01421	sax:USA300HOU_2643
ko:K07090	sax:USA300HOU_1701
ko:K01104	sax:USA300HOU_2662
ko:K01104	sax:USA300HOU_1877
ko:K03210	sax:USA300HOU_1637
ko:K00773	sax:USA300HOU_1638
ko:K06209	sax:USA300HOU_1642
ko:K03979	sax:USA300HOU_1643
ko:K02899	sax:USA300HOU_1644
ko:K07584	sax:USA300HOU_1645
ko:K09888	sax:USA300HOU_1076
ko:K03671	sax:USA300HOU_1080
ko:K03703	sax:USA300HOU_1082
ko:K01776	sax:USA300HOU_1086
ko:K07095	sax:USA300HOU_1088
ko:K09825	sax:USA300HOU_1856
ko:K01845	sax:USA300HOU_1859
ko:K07586	sax:USA300HOU_1862
ko:K02017	sax:USA300HOU_2259
ko:K00658	sax:USA300HOU_1347
ko:K07052	sax:USA300HOU_2296
ko:K01834	sax:USA300HOU_0399
ko:K01834	sax:USA300HOU_2398
ko:K03709	sax:USA300HOU_0654
ko:K10681	sax:USA300HOU_0728
ko:K02116	sax:USA300HOU_2100
ko:K01091	sax:USA300HOU_0549
ko:K07694	sax:USA300HOU_1880
ko:K11442	sax:USA300HOU_2162
ko:K01911	sax:USA300HOU_1784
ko:K10682	sax:USA300HOU_0729
ko:K11535	sax:USA300HOU_0514
ko:K01916	sax:USA300HOU_1914
ko:K02372	sax:USA300HOU_2089
ko:K10026	sax:USA300HOU_0733
ko:K11753	sax:USA300HOU_1204
ko:K02236	sax:USA300HOU_1653
ko:K02443	sax:USA300HOU_1229
ko:K00108	sax:USA300HOU_2605
ko:K03733	sax:USA300HOU_1183
ko:K00265	sax:USA300HOU_0472
ko:K01665	sax:USA300HOU_0737
ko:K02501	sax:USA300HOU_2676
ko:K00174	sax:USA300HOU_1221
ko:K11102	sax:USA300HOU_2366
ko:K00240	sax:USA300HOU_1085
ko:K02552	sax:USA300HOU_0990
ko:K11065	sax:USA300HOU_1700
ko:K11032	sax:USA300HOU_1099
ko:K01679	sax:USA300HOU_1845
ko:K04066	sax:USA300HOU_1150
ko:K02768	sax:USA300HOU_0723
ko:K02769	sax:USA300HOU_0723
ko:K02770	sax:USA300HOU_0723
ko:K00175	sax:USA300HOU_1222
ko:K02818	sax:USA300HOU_0474
ko:K02819	sax:USA300HOU_0474
ko:K02798	sax:USA300HOU_2148
ko:K02809	sax:USA300HOU_2362
ko:K02810	sax:USA300HOU_2362
ko:K02799	sax:USA300HOU_2146
ko:K02800	sax:USA300HOU_2146
ko:K02787	sax:USA300HOU_2183
ko:K02788	sax:USA300HOU_2183
ko:K11189	sax:USA300HOU_1025
ko:K03475	sax:USA300HOU_0350
ko:K03700	sax:USA300HOU_1387
ko:K03575	sax:USA300HOU_1863
ko:K09692	sax:USA300HOU_1865
ko:K09693	sax:USA300HOU_1866
ko:K03565	sax:USA300HOU_1868
ko:K00963	sax:USA300HOU_2489
ko:K00851	sax:USA300HOU_2493
ko:K03535	sax:USA300HOU_2499
ko:K06999	sax:USA300HOU_2508
ko:K07104	sax:USA300HOU_2511
ko:K03823	sax:USA300HOU_2518
ko:K01752	sax:USA300HOU_2521
ko:K01752	sax:USA300HOU_2522
ko:K02888	sax:USA300HOU_1646
ko:K03571	sax:USA300HOU_1647
ko:K03570	sax:USA300HOU_1648
ko:K03630	sax:USA300HOU_1652
ko:K01873	sax:USA300HOU_1655
ko:K07120	sax:USA300HOU_1657
ko:K01845	sax:USA300HOU_1659
ko:K01745	sax:USA300HOU_0008
ko:K01875	sax:USA300HOU_0009
ko:K00641	sax:USA300HOU_0012
ko:K02939	sax:USA300HOU_0015
ko:K02314	sax:USA300HOU_0016
ko:K01939	sax:USA300HOU_0017
ko:K07668	sax:USA300HOU_0018
ko:K00783	sax:USA300HOU_0024
ko:K01126	sax:USA300HOU_0029
ko:K07058	sax:USA300HOU_1879
ko:K01265	sax:USA300HOU_1884
ko:K07009	sax:USA300HOU_1889
ko:K02434	sax:USA300HOU_1900
ko:K02433	sax:USA300HOU_1901
ko:K01126	sax:USA300HOU_0236
ko:K00252	sax:USA300HOU_0242
ko:K02035	sax:USA300HOU_0246
ko:K05916	sax:USA300HOU_0249
ko:K07107	sax:USA300HOU_2527
ko:K00158	sax:USA300HOU_2531
ko:K01641	sax:USA300HOU_2540
ko:K04086	sax:USA300HOU_2542
ko:K04759	sax:USA300HOU_2544
ko:K04758	sax:USA300HOU_2545
ko:K06994	sax:USA300HOU_2546
ko:K00294	sax:USA300HOU_2549
ko:K03778	sax:USA300HOU_2554
ko:K07035	sax:USA300HOU_2565
ko:K07032	sax:USA300HOU_2569
ko:K11040	sax:USA300HOU_0851
ko:K11041	sax:USA300HOU_1110
ko:K06173	sax:USA300HOU_2210
ko:K06180	sax:USA300HOU_1844
ko:K03177	sax:USA300HOU_1203
ko:K01892	sax:USA300HOU_1629
ko:K03551	sax:USA300HOU_1640
ko:K01889	sax:USA300HOU_1073
ko:K07447	sax:USA300HOU_1616
ko:K01448	sax:USA300HOU_1630
ko:K06878	sax:USA300HOU_1732
ko:K05020	sax:USA300HOU_2178
ko:K02356	sax:USA300HOU_1530
ko:K02500	sax:USA300HOU_2674
ko:K03655	sax:USA300HOU_1163
ko:K03070	sax:USA300HOU_0780
ko:K03070	sax:USA300HOU_2649
ko:K09167	sax:USA300HOU_2067
ko:K11068	sax:USA300HOU_2161
ko:K03501	sax:USA300HOU_2713
ko:K02435	sax:USA300HOU_1902
ko:K02774	sax:USA300HOU_0257
ko:K02111	sax:USA300HOU_2095
ko:K03497	sax:USA300HOU_2712
ko:K04564	sax:USA300HOU_1555
ko:K05896	sax:USA300HOU_1496
ko:K02809	sax:USA300HOU_0206
ko:K02810	sax:USA300HOU_0206
ko:K02113	sax:USA300HOU_2096
ko:K02109	sax:USA300HOU_2097
ko:K02110	sax:USA300HOU_2098
ko:K02108	sax:USA300HOU_2099
ko:K10208	sax:USA300HOU_2557
ko:K02827	sax:USA300HOU_1004
ko:K01652	sax:USA300HOU_2202
ko:K00425	sax:USA300HOU_1028
ko:K01681	sax:USA300HOU_1283
ko:K04763	sax:USA300HOU_1498
ko:K01154	sax:USA300HOU_0434
ko:K03427	sax:USA300HOU_0433
ko:K04041	sax:USA300HOU_2505
ko:K01056	sax:USA300HOU_0496
ko:K01664	sax:USA300HOU_0736
ko:K01545	sax:USA300HOU_2073
ko:K07304	sax:USA300HOU_1295
ko:K07305	sax:USA300HOU_1360
ko:K07304	sax:USA300HOU_1361
ko:K07304	sax:USA300HOU_2660
ko:K03885	sax:USA300HOU_0902
ko:K03076	sax:USA300HOU_2221
ko:K11038	sax:USA300HOU_1430
ko:K11038	sax:USA300HOU_1431
ko:K11038	sax:USA300HOU_1817
ko:K11038	sax:USA300HOU_1818
ko:K11038	sax:USA300HOU_2011
ko:K11038	sax:USA300HOU_2013
ko:K11038	sax:USA300HOU_2402
ko:K11042	sax:USA300HOU_0422
ko:K00231	sax:USA300HOU_1823
ko:K02837	sax:USA300HOU_0978
ko:K02250	sax:USA300HOU_0983
ko:K00616	sax:USA300HOU_1770
ko:K06199	sax:USA300HOU_1772
ko:K06199	sax:USA300HOU_1773
ko:K00995	sax:USA300HOU_1215
ko:K03553	sax:USA300HOU_1217
ko:K00864	sax:USA300HOU_1231
ko:K00791	sax:USA300HOU_1234
ko:K00432	sax:USA300HOU_1236
ko:K03713	sax:USA300HOU_1239
ko:K01915	sax:USA300HOU_1240
ko:K01620	sax:USA300HOU_1260
ko:K06131	sax:USA300HOU_1262
ko:K09940	sax:USA300HOU_2284
ko:K03453	sax:USA300HOU_2301
ko:K01468	sax:USA300HOU_2310
ko:K01712	sax:USA300HOU_2311
ko:K11210	sax:USA300HOU_2313
ko:K09771	sax:USA300HOU_2320
ko:K03312	sax:USA300HOU_2326
ko:K01823	sax:USA300HOU_2327
ko:K03284	sax:USA300HOU_2328
ko:K07107	sax:USA300HOU_2329
ko:K03466	sax:USA300HOU_0302
ko:K03311	sax:USA300HOU_0325
ko:K02003	sax:USA300HOU_0329
ko:K01639	sax:USA300HOU_0335
ko:K09815	sax:USA300HOU_2386
ko:K01012	sax:USA300HOU_2409
ko:K01935	sax:USA300HOU_2411
ko:K00865	sax:USA300HOU_2418
ko:K11038	sax:USA300HOU_2404
ko:K11038	sax:USA300HOU_2405
ko:K09705	sax:USA300HOU_0691
ko:K00374	sax:USA300HOU_2376
ko:K07667	sax:USA300HOU_2075
ko:K07258	sax:USA300HOU_0662
ko:K02013	sax:USA300HOU_0668
ko:K02015	sax:USA300HOU_0669
ko:K02015	sax:USA300HOU_0670
ko:K05878	sax:USA300HOU_0671
ko:K05879	sax:USA300HOU_0672
ko:K07220	sax:USA300HOU_0684
ko:K03306	sax:USA300HOU_0685
ko:K06890	sax:USA300HOU_0687
ko:K00286	sax:USA300HOU_1504
ko:K00784	sax:USA300HOU_1505
ko:K00036	sax:USA300HOU_1507
ko:K00033	sax:USA300HOU_1512
ko:K02035	sax:USA300HOU_0949
ko:K02031	sax:USA300HOU_0950
ko:K02034	sax:USA300HOU_0953
ko:K01867	sax:USA300HOU_0954
ko:K08602	sax:USA300HOU_0958
ko:K06886	sax:USA300HOU_0960
ko:K07816	sax:USA300HOU_0963
ko:K00858	sax:USA300HOU_0964
ko:K06213	sax:USA300HOU_0966
ko:K03455	sax:USA300HOU_0967
ko:K00208	sax:USA300HOU_0969
ko:K03310	sax:USA300HOU_0971
ko:K11693	sax:USA300HOU_2244
ko:K11694	sax:USA300HOU_1309
ko:K11695	sax:USA300HOU_1310
ko:K01809	sax:USA300HOU_2642
ko:K01809	sax:USA300HOU_2132
ko:K01771	sax:USA300HOU_0108
ko:K00031	sax:USA300HOU_1681
ko:K11072	sax:USA300HOU_1042
ko:K03328	sax:USA300HOU_0498
ko:K00016	sax:USA300HOU_0251
ko:K02824	sax:USA300HOU_1137
ko:K11476	sax:USA300HOU_2494
ko:K00602	sax:USA300HOU_1017
ko:K12574	sax:USA300HOU_1031
ko:K01992	sax:USA300HOU_2322
ko:K11928	sax:USA300HOU_1903
ko:K11755	sax:USA300HOU_2673
ko:K00260	sax:USA300HOU_0917
ko:K00712	sax:USA300HOU_0559
ko:K00712	sax:USA300HOU_0558
ko:K02472	sax:USA300HOU_0177
ko:K01906	sax:USA300HOU_2407
ko:K01104	sax:USA300HOU_0165
ko:K00491	sax:USA300HOU_1916
ko:K03484	sax:USA300HOU_2039
ko:K06131	sax:USA300HOU_2083
ko:K07124	sax:USA300HOU_1503
ko:K00059	sax:USA300HOU_1212
ko:K07315	sax:USA300HOU_2062
ko:K00657	sax:USA300HOU_0057
ko:K03574	sax:USA300HOU_2481
ko:K00059	sax:USA300HOU_1167
ko:K13012	sax:USA300HOU_0175
ko:K01187	sax:USA300HOU_1509
ko:K06934	sax:USA300HOU_0717
ko:K00853	sax:USA300HOU_0545
ko:K01515	sax:USA300HOU_1500
ko:K12268	sax:USA300HOU_2652
ko:K12269	sax:USA300HOU_2651
ko:K01784	sax:USA300HOU_0140
ko:K00951	sax:USA300HOU_1632
ko:K12410	sax:USA300HOU_2190
ko:K01193	sax:USA300HOU_2038
ko:K03711	sax:USA300HOU_1499
ko:K08094	sax:USA300HOU_0565
ko:K13292	sax:USA300HOU_0789
ko:K01491	sax:USA300HOU_1008
ko:K00823	sax:USA300HOU_2596
ko:K13052	sax:USA300HOU_0501
ko:K07729	sax:USA300HOU_0370
ko:K07090	sax:USA300HOU_0883
ko:K19005	sax:USA300HOU_0742
ko:K00626	sax:USA300HOU_0375
ko:K00626	sax:USA300HOU_0569
ko:K01243	sax:USA300HOU_1600
ko:K03768	sax:USA300HOU_0914
ko:K11752	sax:USA300HOU_1760
ko:K06168	sax:USA300HOU_1224
ko:K01092	sax:USA300HOU_2293
ko:K03524	sax:USA300HOU_1394
ko:K09015	sax:USA300HOU_0871
ko:K05362	sax:USA300HOU_0976
ko:K01785	sax:USA300HOU_2319
ko:K03636	sax:USA300HOU_2252
ko:K01990	sax:USA300HOU_2323
ko:K05946	sax:USA300HOU_0656
ko:K01358	sax:USA300HOU_0797
ko:K03386	sax:USA300HOU_0404
ko:K04487	sax:USA300HOU_1703
ko:K04487	sax:USA300HOU_1622
ko:K01895	sax:USA300HOU_1722
ko:K01895	sax:USA300HOU_2602
ko:K00299	sax:USA300HOU_0360
ko:K11717	sax:USA300HOU_0873
ko:K07052	sax:USA300HOU_2026
ko:K02237	sax:USA300HOU_1591
ko:K03762	sax:USA300HOU_0567
ko:K12257	sax:USA300HOU_1636
ko:K12270	sax:USA300HOU_2650
ko:K06895	sax:USA300HOU_0832
ko:K06400	sax:USA300HOU_0039
ko:K11754	sax:USA300HOU_1654
ko:K00054	sax:USA300HOU_2539
ko:K01961	sax:USA300HOU_1528
ko:K01961	sax:USA300HOU_1606
ko:K01077	sax:USA300HOU_2626
ko:K13715	sax:USA300HOU_0995
ko:K01424	sax:USA300HOU_1416
ko:K07025	sax:USA300HOU_0617
ko:K07025	sax:USA300HOU_1114
ko:K02347	sax:USA300HOU_1078
ko:K05520	sax:USA300HOU_1870
ko:K13038	sax:USA300HOU_1149
ko:K03316	sax:USA300HOU_0650
ko:K05565	sax:USA300HOU_0912
ko:K03489	sax:USA300HOU_0275
ko:K09963	sax:USA300HOU_0204
ko:K00917	sax:USA300HOU_2186
ko:K06347	sax:USA300HOU_0913
ko:K01174	sax:USA300HOU_0823
ko:K12551	sax:USA300HOU_1718
ko:K12574	sax:USA300HOU_1207
ko:K12552	sax:USA300HOU_1121
ko:K12573	sax:USA300HOU_0810
ko:K12553	sax:USA300HOU_1554
ko:K13733	sax:USA300HOU_2490
ko:K00805	sax:USA300HOU_1407
ko:K07284	sax:USA300HOU_2517
ko:K01271	sax:USA300HOU_1694
ko:K02217	sax:USA300HOU_1891
ko:K03481	sax:USA300HOU_2304
ko:K00215	sax:USA300HOU_1331
ko:K00625	sax:USA300HOU_0581
ko:K01174	sax:USA300HOU_1268
ko:K06956	sax:USA300HOU_0406
ko:K01479	sax:USA300HOU_2314
ko:K00980	sax:USA300HOU_0661
ko:K03655	sax:USA300HOU_0044
ko:K07038	sax:USA300HOU_2163
ko:K03294	sax:USA300HOU_1374
ko:K03328	sax:USA300HOU_0144
ko:K03294	sax:USA300HOU_2595
ko:K09457	sax:USA300HOU_0752
ko:K13953	sax:USA300HOU_0610
ko:K03429	sax:USA300HOU_0975
ko:K02069	sax:USA300HOU_2443
ko:K05845	sax:USA300HOU_2435
ko:K06518	sax:USA300HOU_2533
ko:K00620	sax:USA300HOU_0196
ko:K02068	sax:USA300HOU_2444
ko:K01791	sax:USA300HOU_0178
ko:K01791	sax:USA300HOU_2101
ko:K07729	sax:pUSA300HOUMR0032
ko:K12942	sax:USA300HOU_2464
ko:K02826	sax:USA300HOU_1005
ko:K06979	sax:pUSA300HOUMR0029
ko:K00008	sax:USA300HOU_0259
ko:K13853	sax:USA300HOU_1727
ko:K13732	sax:USA300HOU_2491
ko:K08093	sax:USA300HOU_0564
ko:K00027	sax:USA300HOU_1688
ko:K00130	sax:USA300HOU_2606
ko:K01958	sax:USA300HOU_1052
ko:K07516	sax:USA300HOU_0241
ko:K00974	sax:USA300HOU_1395
ko:K02004	sax:USA300HOU_0328
ko:K03480	sax:USA300HOU_1291
ko:K07800	sax:USA300HOU_2033
ko:K02303	sax:USA300HOU_2380
ko:K13714	sax:USA300HOU_0997
ko:K00652	sax:USA300HOU_2408
ko:K04072	sax:USA300HOU_0162
ko:K01819	sax:USA300HOU_2188
ko:K03293	sax:USA300HOU_2299
ko:K14233	sax:USA300HOU_t0003
ko:K14233	sax:USA300HOU_t0039
ko:K14233	sax:USA300HOU_t0037
ko:K03483	sax:USA300HOU_2147
ko:K03296	sax:USA300HOU_2243
ko:K14232	sax:USA300HOU_t0010
ko:K14232	sax:USA300HOU_t0043
ko:K04750	sax:USA300HOU_2587
ko:K02246	sax:USA300HOU_1543
ko:K05565	sax:USA300HOU_0643
ko:K14229	sax:USA300HOU_t0048
ko:K14229	sax:USA300HOU_t0055
ko:K14229	sax:USA300HOU_t0006
ko:K06147	sax:USA300HOU_2412
ko:K14224	sax:USA300HOU_t0001
ko:K14224	sax:USA300HOU_t0018
ko:K14224	sax:USA300HOU_t0059
ko:K14237	sax:USA300HOU_t0004
ko:K14237	sax:USA300HOU_t0050
ko:K14237	sax:USA300HOU_t0058
ko:K14228	sax:USA300HOU_t0025
ko:K14228	sax:USA300HOU_t0045
ko:K14228	sax:USA300HOU_t0008
ko:K13628	sax:USA300HOU_0901
ko:K05847	sax:USA300HOU_0745
ko:K05847	sax:USA300HOU_2437
ko:K14220	sax:USA300HOU_t0015
ko:K14220	sax:USA300HOU_t0060
ko:K14220	sax:USA300HOU_t0019
ko:K14234	sax:USA300HOU_t0005
ko:K14234	sax:USA300HOU_t0049
ko:K14234	sax:USA300HOU_t0033
ko:K14199	sax:USA300HOU_0237
ko:K14199	sax:USA300HOU_1095
ko:K14200	sax:USA300HOU_1094
ko:K14202	sax:USA300HOU_1947
ko:K14203	sax:USA300HOU_1092
ko:K07052	sax:USA300HOU_1769
ko:K14198	sax:USA300HOU_1949
ko:K14199	sax:USA300HOU_1946
ko:K14204	sax:USA300HOU_1942
ko:K01983	sax:USA300HOU_nc0002
ko:K01990	sax:USA300HOU_0372
ko:K10210	sax:USA300HOU_2559
ko:K14228	sax:USA300HOU_t0047
ko:K14225	sax:USA300HOU_t0007
ko:K14225	sax:USA300HOU_t0046
ko:K14192	sax:USA300HOU_2630
ko:K14193	sax:USA300HOU_1064
ko:K14194	sax:USA300HOU_0556
ko:K14196	sax:USA300HOU_0122
ko:K14230	sax:USA300HOU_t0041
ko:K14219	sax:USA300HOU_t0016
ko:K01318	sax:USA300HOU_1802
ko:K00318	sax:USA300HOU_1756
ko:K00058	sax:USA300HOU_1712
ko:K07483	sax:USA300HOU_0417
ko:K00632	sax:USA300HOU_0240
ko:K01990	sax:USA300HOU_1936
ko:K13789	sax:USA300HOU_1523
ko:K14194	sax:USA300HOU_0555
ko:K14194	sax:USA300HOU_0557
ko:K14197	sax:USA300HOU_2401
ko:K14201	sax:USA300HOU_0819
ko:K14219	sax:USA300HOU_t0013
ko:K07474	sax:USA300HOU_2021
ko:K14221	sax:USA300HOU_t0023
ko:K14221	sax:USA300HOU_t0035
ko:K14221	sax:USA300HOU_t0038
ko:K14221	sax:USA300HOU_t0002
ko:K07045	sax:USA300HOU_2574
ko:K14225	sax:USA300HOU_t0026
ko:K14225	sax:USA300HOU_t0027
ko:K00819	sax:USA300HOU_0198
ko:K14223	sax:USA300HOU_t0056
ko:K14223	sax:USA300HOU_t0029
ko:K14233	sax:USA300HOU_t0014
ko:K19285	sax:USA300HOU_0405
ko:K01401	sax:USA300HOU_2637
ko:K14225	sax:USA300HOU_t0020
ko:K14225	sax:USA300HOU_t0053
ko:K14236	sax:USA300HOU_t0057
ko:K14236	sax:USA300HOU_t0032
ko:K05822	sax:USA300HOU_1332
ko:K01977	sax:USA300HOU_r0013
ko:K01977	sax:USA300HOU_r0005
ko:K01977	sax:USA300HOU_r0016
ko:K01977	sax:USA300HOU_r0010
ko:K01977	sax:USA300HOU_r0001
ko:K01978	sax:USA300HOU_nc0007
ko:K14230	sax:USA300HOU_t0024
ko:K14230	sax:USA300HOU_t0036
ko:K00001	sax:USA300HOU_0059
ko:K04757	sax:USA300HOU_2060
ko:K14228	sax:USA300HOU_t0054
ko:K00868	sax:USA300HOU_0573
ko:K14231	sax:USA300HOU_t0022
ko:K14231	sax:USA300HOU_t0034
ko:K14222	sax:USA300HOU_t0028
ko:K14230	sax:USA300HOU_t0040
ko:K01980	sax:USA300HOU_r0006
ko:K01980	sax:USA300HOU_r0015
ko:K01980	sax:USA300HOU_r0002
ko:K01980	sax:USA300HOU_r0012
ko:K01980	sax:USA300HOU_r0009
ko:K14445	sax:USA300HOU_1918
ko:K09145	sax:USA300HOU_0693
ko:K00128	sax:USA300HOU_1923
ko:K14205	sax:USA300HOU_1294
ko:K03324	sax:USA300HOU_0116
ko:K01985	sax:USA300HOU_r0004
ko:K01985	sax:USA300HOU_r0008
ko:K01985	sax:USA300HOU_r0007
ko:K01985	sax:USA300HOU_r0011
ko:K01985	sax:USA300HOU_r0003
ko:K01985	sax:USA300HOU_r0014
ko:K07467	sax:USA300HOU_0635
ko:K03307	sax:USA300HOU_0334
ko:K08255	sax:USA300HOU_0929
ko:K09813	sax:USA300HOU_2343
ko:K09814	sax:USA300HOU_2342
ko:K00459	sax:USA300HOU_0879
ko:K14188	sax:USA300HOU_0895
ko:K14219	sax:USA300HOU_t0009
ko:K14219	sax:USA300HOU_t0044
ko:K14218	sax:USA300HOU_t0011
ko:K14218	sax:USA300HOU_t0051
ko:K14218	sax:USA300HOU_t0042
ko:K01992	sax:USA300HOU_1828
ko:K14227	sax:USA300HOU_t0012
ko:K14227	sax:USA300HOU_t0052
ko:K00128	sax:USA300HOU_2110
ko:K14652	sax:USA300HOU_1758
ko:K01990	sax:USA300HOU_1829
ko:K06147	sax:USA300HOU_2413
ko:K07145	sax:USA300HOU_0179
ko:K03436	sax:USA300HOU_0721
ko:K07979	sax:USA300HOU_1937
ko:K02538	sax:USA300HOU_2640
ko:K01760	sax:USA300HOU_0379
ko:K01784	sax:USA300HOU_0176
ko:K02545	sax:USA300HOU_0031
ko:K08259	sax:USA300HOU_0289
ko:K01261	sax:USA300HOU_1735
ko:K01318	sax:USA300HOU_0996
ko:K07720	sax:USA300HOU_0230
ko:K14233	sax:USA300HOU_t0017
ko:K14235	sax:USA300HOU_t0031
ko:K01819	sax:USA300HOU_2187
ko:K01046	sax:USA300HOU_0340
ko:K01046	sax:USA300HOU_2671
ko:K02352	sax:USA300HOU_2690
ko:K02547	sax:USA300HOU_0032
ko:K14226	sax:USA300HOU_t0021
ko:K14226	sax:USA300HOU_t0030
ko:K02304	sax:USA300HOU_2617
ko:K02031	sax:USA300HOU_0212
ko:K02032	sax:USA300HOU_0212
ko:K07741	sax:USA300HOU_2000
ko:K11737	sax:USA300HOU_1683
ko:K06948	sax:USA300HOU_1598
ko:K14540	sax:USA300HOU_1174
ko:K11749	sax:USA300HOU_1194
ko:K06919	sax:USA300HOU_0861
ko:K00128	sax:USA300HOU_0181
ko:K01897	sax:USA300HOU_0243
ko:K00571	sax:USA300HOU_1699
ko:K10211	sax:USA300HOU_2558
ko:K06216	sax:USA300HOU_0282
ko:K01992	sax:USA300HOU_0291
ko:K01992	sax:USA300HOU_0292
ko:K01739	sax:USA300HOU_0380
ko:K01992	sax:USA300HOU_1933
ko:K11936	sax:USA300HOU_2666
ko:K01990	sax:USA300HOU_0290
ko:K01990	sax:USA300HOU_2503
ko:K10212	sax:USA300HOU_2560
ko:K00122	sax:USA300HOU_0190
ko:K16012	sax:USA300HOU_0708
ko:K16013	sax:USA300HOU_0707
ko:K01239	sax:USA300HOU_2265
ko:K02428	sax:USA300HOU_1087
ko:K01442	sax:USA300HOU_0288
ko:K15586	sax:USA300HOU_2456
ko:K15585	sax:USA300HOU_2457
ko:K07491	sax:USA300HOU_1353
ko:K03215	sax:USA300HOU_1896
ko:K15581	sax:USA300HOU_0944
ko:K15772	sax:USA300HOU_0223
ko:K15770	sax:USA300HOU_0221
ko:K15584	sax:USA300HOU_2458
ko:K15583	sax:USA300HOU_0946
ko:K15519	sax:USA300HOU_0550
ko:K16301	sax:USA300HOU_0365
ko:K15633	sax:USA300HOU_0805
ko:K15771	sax:USA300HOU_0222
ko:K03929	sax:USA300HOU_2441
ko:K10824	sax:USA300HOU_2454
ko:K15738	sax:USA300HOU_0743
ko:K05352	sax:USA300HOU_0263
ko:K15582	sax:USA300HOU_0945
ko:K15518	sax:USA300HOU_0551
ko:K10823	sax:USA300HOU_0947
ko:K15580	sax:USA300HOU_0948
ko:K03817	sax:USA300HOU_0363
ko:K15587	sax:USA300HOU_2455
ko:K02033	sax:USA300HOU_0952
ko:K01835	sax:USA300HOU_2482
ko:K00887	sax:USA300HOU_1570
ko:K15986	sax:USA300HOU_1921
ko:K18934	sax:USA300HOU_2158
ko:K15973	sax:USA300HOU_2510
ko:K15975	sax:USA300HOU_2509
ko:K18936	sax:USA300HOU_2396
ko:K18935	sax:USA300HOU_2160
ko:K02424	sax:USA300HOU_2395
ko:K10009	sax:USA300HOU_2394
ko:K18940	sax:USA300HOU_1349
ko:K21454	sax:USA300HOU_2339
ko:K07038	sax:USA300HOU_1864
ko:K16509	sax:USA300HOU_0955
ko:K16511	sax:USA300HOU_0956
ko:K11733	sax:USA300HOU_1668
ko:K16264	sax:USA300HOU_0182
ko:K16329	sax:USA300HOU_0332
ko:K19310	sax:pUSA300HOUMR0023
ko:K16323	sax:USA300HOU_0665
ko:K16169	sax:USA300HOU_0412
ko:K11737	sax:USA300HOU_2424
ko:K16264	sax:USA300HOU_2135
ko:K02851	sax:USA300HOU_0774
ko:K11040	sax:USA300HOU_1603
ko:K10010	sax:USA300HOU_2393
ko:K16786	sax:USA300HOU_2213
ko:K16787	sax:USA300HOU_2212
ko:K04564	sax:USA300HOU_0145
ko:K16785	sax:USA300HOU_2211
ko:K02032	sax:USA300HOU_0951
ko:K02755	sax:USA300HOU_0276
ko:K11631	sax:USA300HOU_2703
ko:K16785	sax:USA300HOU_1019
ko:K16786	sax:USA300HOU_1020
ko:K16787	sax:USA300HOU_1020
ko:K16785	sax:USA300HOU_2685
ko:K16786	sax:USA300HOU_2686
ko:K16787	sax:USA300HOU_2686
ko:K02768	sax:USA300HOU_2641
ko:K02769	sax:USA300HOU_2641
ko:K02770	sax:USA300HOU_2641
ko:K11632	sax:USA300HOU_2704
