ko:K18137	abj:BJAB07104_01639
ko:K03589	abj:BJAB07104_03627
ko:K01921	abj:BJAB07104_03628
ko:K01924	abj:BJAB07104_03629
ko:K02563	abj:BJAB07104_03630
ko:K01920	abj:BJAB07104_03631
ko:K00762	abj:BJAB07104_03634
ko:K01142	abj:BJAB07104_03635
ko:K04084	abj:BJAB07104_03640
ko:K16842	abj:BJAB07104_03644
ko:K16840	abj:BJAB07104_03645
ko:K07127	abj:BJAB07104_03646
ko:K01477	abj:BJAB07104_03650
ko:K01483	abj:BJAB07104_03651
ko:K02622	abj:BJAB07104_03654
ko:K07000	abj:BJAB07104_03655
ko:K03321	abj:BJAB07104_00259
ko:K03733	abj:BJAB07104_00265
ko:K03321	abj:BJAB07104_00275
ko:K07391	abj:BJAB07104_00284
ko:K04752	abj:BJAB07104_00286
ko:K03320	abj:BJAB07104_00287
ko:K07738	abj:BJAB07104_00288
ko:K11752	abj:BJAB07104_00289
ko:K00793	abj:BJAB07104_00291
ko:K02339	abj:BJAB07104_00294
ko:K01255	abj:BJAB07104_00295
ko:K07091	abj:BJAB07104_00296
ko:K11720	abj:BJAB07104_00297
ko:K15633	abj:BJAB07104_00298
ko:K03797	abj:BJAB07104_00299
ko:K02667	abj:BJAB07104_00300
ko:K02668	abj:BJAB07104_00301
ko:K01425	abj:BJAB07104_01058
ko:K08223	abj:BJAB07104_01060
ko:K00615	abj:BJAB07104_01066
ko:K00615	abj:BJAB07104_01067
ko:K03306	abj:BJAB07104_01070
ko:K01753	abj:BJAB07104_01071
ko:K07400	abj:BJAB07104_01078
ko:K01673	abj:BJAB07104_01082
ko:K10804	abj:BJAB07104_01083
ko:K02003	abj:BJAB07104_01084
ko:K03814	abj:BJAB07104_01087
ko:K00937	abj:BJAB07104_01088
ko:K04761	abj:BJAB07104_01090
ko:K05297	abj:BJAB07104_01092
ko:K04567	abj:BJAB07104_01096
ko:K00957	abj:BJAB07104_01099
ko:K09965	abj:BJAB07104_01101
ko:K03300	abj:BJAB07104_01103
ko:K01637	abj:BJAB07104_01107
ko:K03543	abj:BJAB07104_01889
ko:K07345	abj:BJAB07104_01924
ko:K13776	abj:BJAB07104_00453
ko:K08300	abj:BJAB07104_00454
ko:K01091	abj:BJAB07104_00457
ko:K05817	abj:BJAB07104_00461
ko:K03782	abj:BJAB07104_00463
ko:K08484	abj:BJAB07104_00464
ko:K08311	abj:BJAB07104_00465
ko:K01703	abj:BJAB07104_00471
ko:K01704	abj:BJAB07104_00472
ko:K00052	abj:BJAB07104_00474
ko:K02518	abj:BJAB07104_00477
ko:K06173	abj:BJAB07104_00479
ko:K00133	abj:BJAB07104_00483
ko:K11102	abj:BJAB07104_00485
ko:K02517	abj:BJAB07104_00487
ko:K15738	abj:BJAB07104_00489
ko:K03745	abj:BJAB07104_00490
ko:K03168	abj:BJAB07104_00494
ko:K03657	abj:BJAB07104_00497
ko:K05596	abj:BJAB07104_01272
ko:K07056	abj:BJAB07104_01274
ko:K07460	abj:BJAB07104_01275
ko:K03426	abj:BJAB07104_01278
ko:K13893	abj:BJAB07104_01282
ko:K13894	abj:BJAB07104_01283
ko:K13895	abj:BJAB07104_01284
ko:K13896	abj:BJAB07104_01285
ko:K03683	abj:BJAB07104_01288
ko:K01465	abj:BJAB07104_01289
ko:K01940	abj:BJAB07104_01291
ko:K06911	abj:BJAB07104_01312
ko:K06901	abj:BJAB07104_01317
ko:K12262	abj:BJAB07104_01319
ko:K00496	abj:BJAB07104_02087
ko:K03770	abj:BJAB07104_02089
ko:K03530	abj:BJAB07104_02090
ko:K13643	abj:BJAB07104_02093
ko:K04487	abj:BJAB07104_02094
ko:K04082	abj:BJAB07104_02097
ko:K04044	abj:BJAB07104_02098
ko:K04755	abj:BJAB07104_02099
ko:K03723	abj:BJAB07104_02102
ko:K07223	abj:BJAB07104_02104
ko:K02553	abj:BJAB07104_02106
ko:K02968	abj:BJAB07104_02108
ko:K02034	abj:BJAB07104_02114
ko:K03832	abj:BJAB07104_02120
ko:K03561	abj:BJAB07104_02121
ko:K01638	abj:BJAB07104_02125
ko:K06916	abj:BJAB07104_02126
ko:K01591	abj:BJAB07104_02130
ko:K05788	abj:BJAB07104_02132
ko:K02945	abj:BJAB07104_02133
ko:K00945	abj:BJAB07104_02134
ko:K07262	abj:BJAB07104_00303
ko:K01733	abj:BJAB07104_00304
ko:K00003	abj:BJAB07104_00305
ko:K03981	abj:BJAB07104_00306
ko:K04758	abj:BJAB07104_00308
ko:K04759	abj:BJAB07104_00309
ko:K01925	abj:BJAB07104_00311
ko:K03588	abj:BJAB07104_00312
ko:K01894	abj:BJAB07104_00313
ko:K06204	abj:BJAB07104_00314
ko:K03651	abj:BJAB07104_00315
ko:K03147	abj:BJAB07104_00317
ko:K12340	abj:BJAB07104_00321
ko:K02039	abj:BJAB07104_00322
ko:K01755	abj:BJAB07104_00324
ko:K08082	abj:BJAB07104_00325
ko:K08083	abj:BJAB07104_00326
ko:K01749	abj:BJAB07104_00327
ko:K07107	abj:BJAB07104_00331
ko:K02452	abj:BJAB07104_00334
ko:K02453	abj:BJAB07104_00335
ko:K01091	abj:BJAB07104_00337
ko:K03648	abj:BJAB07104_02138
ko:K01737	abj:BJAB07104_02139
ko:K02460	abj:BJAB07104_02141
ko:K02459	abj:BJAB07104_02142
ko:K02458	abj:BJAB07104_02143
ko:K02456	abj:BJAB07104_02144
ko:K03424	abj:BJAB07104_02146
ko:K02676	abj:BJAB07104_02147
ko:K02341	abj:BJAB07104_02148
ko:K00979	abj:BJAB07104_02149
ko:K00912	abj:BJAB07104_02150
ko:K03561	abj:BJAB07104_02153
ko:K03501	abj:BJAB07104_02156
ko:K07102	abj:BJAB07104_02158
ko:K04744	abj:BJAB07104_02159
ko:K03771	abj:BJAB07104_02160
ko:K01624	abj:BJAB07104_02161
ko:K00927	abj:BJAB07104_02163
ko:K07862	abj:BJAB07104_02169
ko:K09912	abj:BJAB07104_02171
ko:K02437	abj:BJAB07104_02175
ko:K12410	abj:BJAB07104_02176
ko:K13821	abj:BJAB07104_02179
ko:K07397	abj:BJAB07104_02186
ko:K00615	abj:BJAB07104_02187
ko:K00789	abj:BJAB07104_02188
ko:K07113	abj:BJAB07104_02191
ko:K03823	abj:BJAB07104_02193
ko:K01159	abj:BJAB07104_02196
ko:K01012	abj:BJAB07104_02199
ko:K07345	abj:BJAB07104_02202
ko:K07347	abj:BJAB07104_02204
ko:K03457	abj:BJAB07104_02210
ko:K10004	abj:BJAB07104_02224
ko:K10002	abj:BJAB07104_02225
ko:K10003	abj:BJAB07104_02226
ko:K10001	abj:BJAB07104_02227
ko:K02073	abj:BJAB07104_02233
ko:K02073	abj:BJAB07104_02234
ko:K02071	abj:BJAB07104_02235
ko:K02072	abj:BJAB07104_02236
ko:K06942	abj:BJAB07104_02237
ko:K08289	abj:BJAB07104_02245
ko:K00990	abj:BJAB07104_02246
ko:K14267	abj:BJAB07104_02247
ko:K00432	abj:BJAB07104_02250
ko:K14260	abj:BJAB07104_02252
ko:K05597	abj:BJAB07104_02254
ko:K02337	abj:BJAB07104_02255
ko:K15396	abj:BJAB07104_02256
ko:K00640	abj:BJAB07104_02257
ko:K03387	abj:BJAB07104_02260
ko:K07240	abj:BJAB07104_02261
ko:K07240	abj:BJAB07104_02262
ko:K03457	abj:BJAB07104_02272
ko:K16841	abj:BJAB07104_02273
ko:K03119	abj:BJAB07104_02274
ko:K15552	abj:BJAB07104_02275
ko:K15551	abj:BJAB07104_02277
ko:K00425	abj:BJAB07104_02286
ko:K00426	abj:BJAB07104_02287
ko:K13928	abj:BJAB07104_02290
ko:K13935	abj:BJAB07104_02293
ko:K13934	abj:BJAB07104_02294
ko:K13933	abj:BJAB07104_02295
ko:K13932	abj:BJAB07104_02296
ko:K13931	abj:BJAB07104_02297
ko:K13930	abj:BJAB07104_02298
ko:K13929	abj:BJAB07104_02299
ko:K07734	abj:BJAB07104_02303
ko:K00375	abj:BJAB07104_02304
ko:K00640	abj:BJAB07104_02313
ko:K11717	abj:BJAB07104_02315
ko:K01866	abj:BJAB07104_00002
ko:K09001	abj:BJAB07104_00003
ko:K15724	abj:BJAB07104_00005
ko:K06158	abj:BJAB07104_00010
ko:K15536	abj:BJAB07104_00012
ko:K02470	abj:BJAB07104_00013
ko:K03629	abj:BJAB07104_00014
ko:K02338	abj:BJAB07104_00015
ko:K02313	abj:BJAB07104_00016
ko:K02914	abj:BJAB07104_00017
ko:K03536	abj:BJAB07104_00018
ko:K08998	abj:BJAB07104_00019
ko:K03217	abj:BJAB07104_00020
ko:K03650	abj:BJAB07104_00021
ko:K03981	abj:BJAB07104_00024
ko:K00760	abj:BJAB07104_00026
ko:K02558	abj:BJAB07104_00035
ko:K09922	abj:BJAB07104_00036
ko:K01588	abj:BJAB07104_00038
ko:K01589	abj:BJAB07104_00039
ko:K04043	abj:BJAB07104_00044
ko:K03687	abj:BJAB07104_00045
ko:K02913	abj:BJAB07104_00503
ko:K02902	abj:BJAB07104_00504
ko:K00154	abj:BJAB07104_00505
ko:K01433	abj:BJAB07104_00507
ko:K03832	abj:BJAB07104_00508
ko:K03561	abj:BJAB07104_00509
ko:K13292	abj:BJAB07104_00517
ko:K07093	abj:BJAB07104_00519
ko:K07093	abj:BJAB07104_00520
ko:K03118	abj:BJAB07104_00521
ko:K03117	abj:BJAB07104_00522
ko:K01657	abj:BJAB07104_00338
ko:K02358	abj:BJAB07104_00339
ko:K03073	abj:BJAB07104_00340
ko:K02601	abj:BJAB07104_00341
ko:K02867	abj:BJAB07104_00342
ko:K02863	abj:BJAB07104_00343
ko:K02864	abj:BJAB07104_00344
ko:K02935	abj:BJAB07104_00345
ko:K03043	abj:BJAB07104_00346
ko:K03046	abj:BJAB07104_00347
ko:K03190	abj:BJAB07104_01111
ko:K01430	abj:BJAB07104_01112
ko:K01429	abj:BJAB07104_01113
ko:K01428	abj:BJAB07104_01115
ko:K03187	abj:BJAB07104_01116
ko:K03188	abj:BJAB07104_01117
ko:K03189	abj:BJAB07104_01118
ko:K03192	abj:BJAB07104_01119
ko:K05515	abj:BJAB07104_01121
ko:K10773	abj:BJAB07104_01126
ko:K00262	abj:BJAB07104_01128
ko:K00783	abj:BJAB07104_01131
ko:K01338	abj:BJAB07104_01132
ko:K07347	abj:BJAB07104_01938
ko:K01273	abj:BJAB07104_01950
ko:K06139	abj:BJAB07104_01951
ko:K06138	abj:BJAB07104_01952
ko:K06137	abj:BJAB07104_01953
ko:K06136	abj:BJAB07104_01954
ko:K00937	abj:BJAB07104_01955
ko:K00216	abj:BJAB07104_01959
ko:K02018	abj:BJAB07104_01961
ko:K02020	abj:BJAB07104_01962
ko:K02019	abj:BJAB07104_01963
ko:K01061	abj:BJAB07104_01972
ko:K00019	abj:BJAB07104_01977
ko:K03116	abj:BJAB07104_00523
ko:K07088	abj:BJAB07104_00524
ko:K00641	abj:BJAB07104_00528
ko:K01649	abj:BJAB07104_00529
ko:K16090	abj:BJAB07104_00531
ko:K03545	abj:BJAB07104_00532
ko:K01358	abj:BJAB07104_00533
ko:K03544	abj:BJAB07104_00534
ko:K01676	abj:BJAB07104_00537
ko:K13788	abj:BJAB07104_00538
ko:K00925	abj:BJAB07104_00539
ko:K01690	abj:BJAB07104_00540
ko:K01625	abj:BJAB07104_00541
ko:K00147	abj:BJAB07104_00545
ko:K01207	abj:BJAB07104_00548
ko:K03797	abj:BJAB07104_00549
ko:K03470	abj:BJAB07104_01321
ko:K03563	abj:BJAB07104_01322
ko:K00928	abj:BJAB07104_01323
ko:K01872	abj:BJAB07104_01324
ko:K00134	abj:BJAB07104_01325
ko:K02502	abj:BJAB07104_01326
ko:K01939	abj:BJAB07104_01327
ko:K07397	abj:BJAB07104_01332
ko:K03695	abj:BJAB07104_01335
ko:K12297	abj:BJAB07104_01338
ko:K00609	abj:BJAB07104_01340
ko:K01465	abj:BJAB07104_01341
ko:K03439	abj:BJAB07104_01345
ko:K03387	abj:BJAB07104_01349
ko:K03578	abj:BJAB07104_01354
ko:K16872	abj:BJAB07104_01355
ko:K05548	abj:BJAB07104_01357
ko:K05782	abj:BJAB07104_01358
ko:K05783	abj:BJAB07104_01359
ko:K05784	abj:BJAB07104_01360
ko:K05550	abj:BJAB07104_01361
ko:K05549	abj:BJAB07104_01362
ko:K07084	abj:BJAB07104_00352
ko:K07275	abj:BJAB07104_00353
ko:K04079	abj:BJAB07104_00355
ko:K07002	abj:BJAB07104_00361
ko:K01825	abj:BJAB07104_00365
ko:K03703	abj:BJAB07104_00369
ko:K00995	abj:BJAB07104_00371
ko:K10778	abj:BJAB07104_00372
ko:K07447	abj:BJAB07104_00378
ko:K07735	abj:BJAB07104_00379
ko:K03631	abj:BJAB07104_00380
ko:K09913	abj:BJAB07104_00382
ko:K03218	abj:BJAB07104_00383
ko:K00859	abj:BJAB07104_00385
ko:K02654	abj:BJAB07104_00386
ko:K02652	abj:BJAB07104_00388
ko:K01803	abj:BJAB07104_00389
ko:K03075	abj:BJAB07104_00390
ko:K09748	abj:BJAB07104_00391
ko:K02600	abj:BJAB07104_00392
ko:K02519	abj:BJAB07104_00393
ko:K02834	abj:BJAB07104_00394
ko:K05564	abj:BJAB07104_00395
ko:K05563	abj:BJAB07104_00396
ko:K05562	abj:BJAB07104_00397
ko:K05561	abj:BJAB07104_00399
ko:K05560	abj:BJAB07104_00400
ko:K03760	abj:BJAB07104_01209
ko:K01028	abj:BJAB07104_01981
ko:K01029	abj:BJAB07104_01982
ko:K02106	abj:BJAB07104_01983
ko:K01744	abj:BJAB07104_01989
ko:K03710	abj:BJAB07104_01999
ko:K07240	abj:BJAB07104_02000
ko:K01118	abj:BJAB07104_02001
ko:K00003	abj:BJAB07104_02005
ko:K07090	abj:BJAB07104_02006
ko:K17218	abj:BJAB07104_02007
ko:K00382	abj:BJAB07104_02013
ko:K00627	abj:BJAB07104_02014
ko:K03644	abj:BJAB07104_02017
ko:K01736	abj:BJAB07104_02021
ko:K07320	abj:BJAB07104_02022
ko:K06001	abj:BJAB07104_02023
ko:K00164	abj:BJAB07104_03039
ko:K00240	abj:BJAB07104_03041
ko:K00239	abj:BJAB07104_03042
ko:K00242	abj:BJAB07104_03043
ko:K01647	abj:BJAB07104_03045
ko:K06938	abj:BJAB07104_03046
ko:K07146	abj:BJAB07104_03047
ko:K07039	abj:BJAB07104_03049
ko:K03086	abj:BJAB07104_03051
ko:K09158	abj:BJAB07104_03052
ko:K03801	abj:BJAB07104_03053
ko:K03216	abj:BJAB07104_03059
ko:K02302	abj:BJAB07104_03060
ko:K01875	abj:BJAB07104_03061
ko:K03634	abj:BJAB07104_03063
ko:K02899	abj:BJAB07104_03064
ko:K02888	abj:BJAB07104_03065
ko:K02523	abj:BJAB07104_03067
ko:K03585	abj:BJAB07104_03070
ko:K01873	abj:BJAB07104_03078
ko:K07088	abj:BJAB07104_03081
ko:K03320	abj:BJAB07104_03083
ko:K03981	abj:BJAB07104_p0051
ko:K11250	abj:BJAB07104_02416
ko:K05782	abj:BJAB07104_02418
ko:K07507	abj:BJAB07104_02419
ko:K01531	abj:BJAB07104_02420
ko:K07275	abj:BJAB07104_02429
ko:K16088	abj:BJAB07104_02430
ko:K03824	abj:BJAB07104_02433
ko:K16053	abj:BJAB07104_02438
ko:K01256	abj:BJAB07104_02448
ko:K00878	abj:BJAB07104_02451
ko:K13652	abj:BJAB07104_02452
ko:K13954	abj:BJAB07104_02455
ko:K07267	abj:BJAB07104_03185
ko:K11068	abj:BJAB07104_03195
ko:K01779	abj:BJAB07104_02561
ko:K09857	abj:BJAB07104_02562
ko:K06192	abj:BJAB07104_02563
ko:K03808	abj:BJAB07104_02564
ko:K03808	abj:BJAB07104_02565
ko:K09758	abj:BJAB07104_02567
ko:K03762	abj:BJAB07104_02570
ko:K07347	abj:BJAB07104_02573
ko:K06923	abj:BJAB07104_02581
ko:K03312	abj:BJAB07104_02582
ko:K03821	abj:BJAB07104_02583
ko:K11735	abj:BJAB07104_02594
ko:K00140	abj:BJAB07104_02595
ko:K00822	abj:BJAB07104_02596
ko:K06923	abj:BJAB07104_02600
ko:K02970	abj:BJAB07104_02603
ko:K09117	abj:BJAB07104_02604
ko:K09159	abj:BJAB07104_03337
ko:K02879	abj:BJAB07104_03340
ko:K03040	abj:BJAB07104_03341
ko:K02986	abj:BJAB07104_03342
ko:K02948	abj:BJAB07104_03343
ko:K02952	abj:BJAB07104_03344
ko:K02919	abj:BJAB07104_03345
ko:K03076	abj:BJAB07104_03346
ko:K02876	abj:BJAB07104_03347
ko:K02907	abj:BJAB07104_03348
ko:K02988	abj:BJAB07104_03349
ko:K02881	abj:BJAB07104_03350
ko:K02933	abj:BJAB07104_03351
ko:K02994	abj:BJAB07104_03352
ko:K02954	abj:BJAB07104_03353
ko:K02931	abj:BJAB07104_03354
ko:K02895	abj:BJAB07104_03355
ko:K02874	abj:BJAB07104_03356
ko:K02961	abj:BJAB07104_03357
ko:K02904	abj:BJAB07104_03358
ko:K02878	abj:BJAB07104_03359
ko:K02982	abj:BJAB07104_03360
ko:K02890	abj:BJAB07104_03361
ko:K02965	abj:BJAB07104_03362
ko:K02886	abj:BJAB07104_03363
ko:K02892	abj:BJAB07104_03364
ko:K02926	abj:BJAB07104_03365
ko:K02906	abj:BJAB07104_03366
ko:K02946	abj:BJAB07104_03367
ko:K06915	abj:BJAB07104_03370
ko:K05916	abj:BJAB07104_03371
ko:K13771	abj:BJAB07104_03372
ko:K03978	abj:BJAB07104_03373
ko:K07044	abj:BJAB07104_03374
ko:K10805	abj:BJAB07104_03376
ko:K00631	abj:BJAB07104_03377
ko:K03179	abj:BJAB07104_02705
ko:K03181	abj:BJAB07104_02706
ko:K01915	abj:BJAB07104_02707
ko:K03305	abj:BJAB07104_02708
ko:K00766	abj:BJAB07104_02713
ko:K01609	abj:BJAB07104_02714
ko:K07402	abj:BJAB07104_02716
ko:K13482	abj:BJAB07104_02717
ko:K13481	abj:BJAB07104_02718
ko:K01495	abj:BJAB07104_02719
ko:K01599	abj:BJAB07104_02726
ko:K02361	abj:BJAB07104_02728
ko:K01590	abj:BJAB07104_02734
ko:K01252	abj:BJAB07104_02735
ko:K02363	abj:BJAB07104_02736
ko:K03897	abj:BJAB07104_02738
ko:K02016	abj:BJAB07104_02740
ko:K02013	abj:BJAB07104_02741
ko:K02015	abj:BJAB07104_02742
ko:K02015	abj:BJAB07104_02743
ko:K06872	abj:BJAB07104_03473
ko:K03744	abj:BJAB07104_03474
ko:K07044	abj:BJAB07104_03475
ko:K00266	abj:BJAB07104_03476
ko:K01735	abj:BJAB07104_03479
ko:K00891	abj:BJAB07104_03480
ko:K02666	abj:BJAB07104_03481
ko:K02662	abj:BJAB07104_03485
ko:K05366	abj:BJAB07104_03486
ko:K00563	abj:BJAB07104_03487
ko:K01000	abj:BJAB07104_03489
ko:K01929	abj:BJAB07104_03490
ko:K01928	abj:BJAB07104_03491
ko:K03587	abj:BJAB07104_03492
ko:K03586	abj:BJAB07104_03493
ko:K03438	abj:BJAB07104_03494
ko:K02048	abj:BJAB07104_03495
ko:K16264	abj:BJAB07104_03502
ko:K15726	abj:BJAB07104_03503
ko:K01740	abj:BJAB07104_03515
ko:K01673	abj:BJAB07104_03517
ko:K06959	abj:BJAB07104_03518
ko:K00940	abj:BJAB07104_00553
ko:K06941	abj:BJAB07104_00554
ko:K02656	abj:BJAB07104_00555
ko:K01892	abj:BJAB07104_00558
ko:K03977	abj:BJAB07104_00561
ko:K02078	abj:BJAB07104_00564
ko:K02078	abj:BJAB07104_00565
ko:K01745	abj:BJAB07104_00570
ko:K07107	abj:BJAB07104_00571
ko:K09458	abj:BJAB07104_00579
ko:K06133	abj:BJAB07104_00581
ko:K03071	abj:BJAB07104_00582
ko:K06949	abj:BJAB07104_00585
ko:K13288	abj:BJAB07104_00586
ko:K00208	abj:BJAB07104_00588
ko:K05685	abj:BJAB07104_00590
ko:K13888	abj:BJAB07104_00591
ko:K02340	abj:BJAB07104_00592
ko:K03643	abj:BJAB07104_00593
ko:K01869	abj:BJAB07104_00594
ko:K01652	abj:BJAB07104_00596
ko:K01653	abj:BJAB07104_00597
ko:K00053	abj:BJAB07104_00598
ko:K03601	abj:BJAB07104_01373
ko:K03704	abj:BJAB07104_01379
ko:K00286	abj:BJAB07104_01381
ko:K08995	abj:BJAB07104_01390
ko:K01883	abj:BJAB07104_01393
ko:K06041	abj:BJAB07104_01394
ko:K03270	abj:BJAB07104_01395
ko:K11719	abj:BJAB07104_01396
ko:K09774	abj:BJAB07104_01397
ko:K06861	abj:BJAB07104_01398
ko:K12543	abj:BJAB07104_01399
ko:K12541	abj:BJAB07104_01400
ko:K12542	abj:BJAB07104_01401
ko:K03555	abj:BJAB07104_01409
ko:K02517	abj:BJAB07104_01415
ko:K08195	abj:BJAB07104_01418
ko:K05559	abj:BJAB07104_00401
ko:K11755	abj:BJAB07104_00404
ko:K03688	abj:BJAB07104_00406
ko:K03690	abj:BJAB07104_00407
ko:K03183	abj:BJAB07104_00408
ko:K03583	abj:BJAB07104_00412
ko:K03582	abj:BJAB07104_00413
ko:K03581	abj:BJAB07104_00414
ko:K02956	abj:BJAB07104_00416
ko:K00962	abj:BJAB07104_00417
ko:K05516	abj:BJAB07104_00420
ko:K04083	abj:BJAB07104_00422
ko:K04066	abj:BJAB07104_00424
ko:K02455	abj:BJAB07104_00425
ko:K02456	abj:BJAB07104_00426
ko:K06878	abj:BJAB07104_00428
ko:K03820	abj:BJAB07104_00429
ko:K06189	abj:BJAB07104_00430
ko:K00311	abj:BJAB07104_00432
ko:K09986	abj:BJAB07104_00433
ko:K01776	abj:BJAB07104_00434
ko:K01772	abj:BJAB07104_00436
ko:K09862	abj:BJAB07104_00438
ko:K07007	abj:BJAB07104_00440
ko:K06199	abj:BJAB07104_00442
ko:K02909	abj:BJAB07104_00444
ko:K03327	abj:BJAB07104_00448
ko:K09936	abj:BJAB07104_00449
ko:K09895	abj:BJAB07104_01264
ko:K03185	abj:BJAB07104_01266
ko:K06895	abj:BJAB07104_01271
ko:K09989	abj:BJAB07104_02024
ko:K09902	abj:BJAB07104_02027
ko:K03684	abj:BJAB07104_02031
ko:K06187	abj:BJAB07104_02032
ko:K09747	abj:BJAB07104_02033
ko:K10764	abj:BJAB07104_02035
ko:K02503	abj:BJAB07104_02044
ko:K01993	abj:BJAB07104_02052
ko:K00748	abj:BJAB07104_02054
ko:K16088	abj:BJAB07104_02055
ko:K07090	abj:BJAB07104_02059
ko:K01626	abj:BJAB07104_02060
ko:K02233	abj:BJAB07104_02061
ko:K00768	abj:BJAB07104_02064
ko:K02231	abj:BJAB07104_02065
ko:K02048	abj:BJAB07104_02896
ko:K07002	abj:BJAB07104_02897
ko:K02046	abj:BJAB07104_02899
ko:K02047	abj:BJAB07104_02900
ko:K02045	abj:BJAB07104_02901
ko:K13635	abj:BJAB07104_02902
ko:K10026	abj:BJAB07104_02905
ko:K06920	abj:BJAB07104_02906
ko:K03564	abj:BJAB07104_02909
ko:K07552	abj:BJAB07104_02916
ko:K01952	abj:BJAB07104_02917
ko:K01129	abj:BJAB07104_02918
ko:K03550	abj:BJAB07104_02919
ko:K03551	abj:BJAB07104_02920
ko:K07107	abj:BJAB07104_02922
ko:K03562	abj:BJAB07104_02923
ko:K03641	abj:BJAB07104_02926
ko:K03640	abj:BJAB07104_02927
ko:K03841	abj:BJAB07104_02929
ko:K03437	abj:BJAB07104_02930
ko:K03088	abj:BJAB07104_02931
ko:K10763	abj:BJAB07104_02936
ko:K01933	abj:BJAB07104_02938
ko:K11175	abj:BJAB07104_02939
ko:K04773	abj:BJAB07104_02941
ko:K02517	abj:BJAB07104_02942
ko:K03611	abj:BJAB07104_03663
ko:K01919	abj:BJAB07104_03664
ko:K14287	abj:BJAB07104_03668
ko:K07636	abj:BJAB07104_03673
ko:K01613	abj:BJAB07104_03678
ko:K00763	abj:BJAB07104_03680
ko:K07560	abj:BJAB07104_03681
ko:K01079	abj:BJAB07104_03684
ko:K14652	abj:BJAB07104_03686
ko:K00794	abj:BJAB07104_03687
ko:K03625	abj:BJAB07104_03688
ko:K00946	abj:BJAB07104_03689
ko:K01095	abj:BJAB07104_03691
ko:K04042	abj:BJAB07104_03692
ko:K00820	abj:BJAB07104_03693
ko:K01776	abj:BJAB07104_03694
ko:K01091	abj:BJAB07104_03695
ko:K01468	abj:BJAB07104_03700
ko:K01745	abj:BJAB07104_03702
ko:K01712	abj:BJAB07104_03703
ko:K09975	abj:BJAB07104_03704
ko:K05836	abj:BJAB07104_03705
ko:K11734	abj:BJAB07104_03709
ko:K01555	abj:BJAB07104_03710
ko:K03070	abj:BJAB07104_03198
ko:K11754	abj:BJAB07104_03203
ko:K01963	abj:BJAB07104_03204
ko:K01695	abj:BJAB07104_03205
ko:K07044	abj:BJAB07104_03208
ko:K01696	abj:BJAB07104_03211
ko:K01817	abj:BJAB07104_03212
ko:K16092	abj:BJAB07104_03213
ko:K00798	abj:BJAB07104_03214
ko:K01126	abj:BJAB07104_03215
ko:K07664	abj:BJAB07104_03219
ko:K07642	abj:BJAB07104_03220
ko:K02837	abj:BJAB07104_00603
ko:K03424	abj:BJAB07104_00606
ko:K01681	abj:BJAB07104_00607
ko:K05539	abj:BJAB07104_00613
ko:K00324	abj:BJAB07104_00617
ko:K00324	abj:BJAB07104_00618
ko:K00325	abj:BJAB07104_00619
ko:K09710	abj:BJAB07104_00621
ko:K07678	abj:BJAB07104_00625
ko:K12339	abj:BJAB07104_00626
ko:K07501	abj:BJAB07104_00627
ko:K03215	abj:BJAB07104_00628
ko:K02237	abj:BJAB07104_00632
ko:K00950	abj:BJAB07104_00634
ko:K00606	abj:BJAB07104_00635
ko:K01918	abj:BJAB07104_00636
ko:K06958	abj:BJAB07104_00637
ko:K09889	abj:BJAB07104_00639
ko:K01868	abj:BJAB07104_00641
ko:K02520	abj:BJAB07104_00642
ko:K02916	abj:BJAB07104_00646
ko:K02887	abj:BJAB07104_00647
ko:K01889	abj:BJAB07104_00651
ko:K01890	abj:BJAB07104_00652
ko:K04764	abj:BJAB07104_00653
ko:K07160	abj:BJAB07104_01434
ko:K09967	abj:BJAB07104_01445
ko:K09967	abj:BJAB07104_01446
ko:K11746	abj:BJAB07104_01448
ko:K07722	abj:BJAB07104_01452
ko:K11901	abj:BJAB07104_01459
ko:K11900	abj:BJAB07104_01460
ko:K11903	abj:BJAB07104_01461
ko:K11897	abj:BJAB07104_01462
ko:K11896	abj:BJAB07104_01463
ko:K11895	abj:BJAB07104_01464
ko:K11891	abj:BJAB07104_01466
ko:K11890	abj:BJAB07104_01467
ko:K11907	abj:BJAB07104_01470
ko:K11902	abj:BJAB07104_01471
ko:K03628	abj:BJAB07104_00656
ko:K03671	abj:BJAB07104_00657
ko:K01524	abj:BJAB07104_00658
ko:K01962	abj:BJAB07104_00659
ko:K04075	abj:BJAB07104_00660
ko:K00286	abj:BJAB07104_00661
ko:K02221	abj:BJAB07104_00662
ko:K04754	abj:BJAB07104_00674
ko:K03092	abj:BJAB07104_00676
ko:K05808	abj:BJAB07104_00677
ko:K00790	abj:BJAB07104_00679
ko:K00765	abj:BJAB07104_00680
ko:K00013	abj:BJAB07104_00681
ko:K00817	abj:BJAB07104_00682
ko:K01665	abj:BJAB07104_00683
ko:K15984	abj:BJAB07104_00695
ko:K01070	abj:BJAB07104_00697
ko:K09956	abj:BJAB07104_00698
ko:K01783	abj:BJAB07104_00699
ko:K11893	abj:BJAB07104_01472
ko:K11892	abj:BJAB07104_01473
ko:K03449	abj:BJAB07104_01479
ko:K09927	abj:BJAB07104_01480
ko:K09765	abj:BJAB07104_01482
ko:K13639	abj:BJAB07104_01485
ko:K09712	abj:BJAB07104_01486
