ko:K14224	cjw:PJ18_04630
ko:K00057	cjw:PJ18_05910
ko:K02434	cjw:PJ18_05915
ko:K07173	cjw:PJ18_05920
ko:K02073	cjw:PJ18_05930
ko:K00549	cjw:PJ18_05935
ko:K00297	cjw:PJ18_05940
ko:K02108	cjw:PJ18_05950
ko:K04485	cjw:PJ18_05955
ko:K03110	cjw:PJ18_05960
ko:K01934	cjw:PJ18_05970
ko:K18682	cjw:PJ18_05975
ko:K02238	cjw:PJ18_05985
ko:K07058	cjw:PJ18_05990
ko:K00104	cjw:PJ18_05995
ko:K05810	cjw:PJ18_06015
ko:K00793	cjw:PJ18_06020
ko:K04078	cjw:PJ18_06030
ko:K04077	cjw:PJ18_06035
ko:K02484	cjw:PJ18_06040
ko:K02484	cjw:PJ18_06065
ko:K04771	cjw:PJ18_06075
ko:K05516	cjw:PJ18_06080
ko:K13640	cjw:PJ18_06085
ko:K03455	cjw:PJ18_06090
ko:K01091	cjw:PJ18_06100
ko:K01879	cjw:PJ18_06105
ko:K01524	cjw:PJ18_06120
ko:K03474	cjw:PJ18_06125
ko:K00097	cjw:PJ18_06130
ko:K00974	cjw:PJ18_03890
ko:K01433	cjw:PJ18_03895
ko:K06921	cjw:PJ18_03905
ko:K01929	cjw:PJ18_03920
ko:K01921	cjw:PJ18_03935
ko:K03550	cjw:PJ18_03940
ko:K03980	cjw:PJ18_03950
ko:K01883	cjw:PJ18_03955
ko:K11085	cjw:PJ18_03960
ko:K00254	cjw:PJ18_03965
ko:K01714	cjw:PJ18_03975
ko:K00076	cjw:PJ18_03980
ko:K01916	cjw:PJ18_03995
ko:K00912	cjw:PJ18_04000
ko:K01733	cjw:PJ18_04005
ko:K00979	cjw:PJ18_04010
ko:K02030	cjw:PJ18_04025
ko:K02419	cjw:PJ18_04040
ko:K04042	cjw:PJ18_04045
ko:K13038	cjw:PJ18_04050
ko:K00806	cjw:PJ18_04060
ko:K02654	cjw:PJ18_04065
ko:K07091	cjw:PJ18_04070
ko:K06173	cjw:PJ18_04075
ko:K01754	cjw:PJ18_04080
ko:K06929	cjw:PJ18_04085
ko:K09943	cjw:PJ18_04090
ko:K00557	cjw:PJ18_04095
ko:K01682	cjw:PJ18_04115
ko:K00567	cjw:PJ18_04120
ko:K01772	cjw:PJ18_04125
ko:K01874	cjw:PJ18_04130
ko:K03841	cjw:PJ18_04140
ko:K03753	cjw:PJ18_04145
ko:K08309	cjw:PJ18_04155
ko:K02221	cjw:PJ18_04160
ko:K01885	cjw:PJ18_04165
ko:K01689	cjw:PJ18_08485
ko:K11785	cjw:PJ18_08495
ko:K02420	cjw:PJ18_08500
ko:K00075	cjw:PJ18_08505
ko:K01082	cjw:PJ18_08530
ko:K01647	cjw:PJ18_08535
ko:K01012	cjw:PJ18_08545
ko:K03168	cjw:PJ18_08550
ko:K03076	cjw:PJ18_08560
ko:K02876	cjw:PJ18_08565
ko:K02988	cjw:PJ18_08570
ko:K02881	cjw:PJ18_08575
ko:K02933	cjw:PJ18_08580
ko:K02994	cjw:PJ18_08585
ko:K02954	cjw:PJ18_08590
ko:K02931	cjw:PJ18_08595
ko:K02895	cjw:PJ18_08600
ko:K02874	cjw:PJ18_08605
ko:K02961	cjw:PJ18_08610
ko:K02904	cjw:PJ18_08615
ko:K02878	cjw:PJ18_08620
ko:K02982	cjw:PJ18_08625
ko:K02890	cjw:PJ18_08630
ko:K02965	cjw:PJ18_08635
ko:K02886	cjw:PJ18_08640
ko:K02892	cjw:PJ18_08645
ko:K02926	cjw:PJ18_08650
ko:K02906	cjw:PJ18_08655
ko:K02946	cjw:PJ18_08660
ko:K06178	cjw:PJ18_08665
ko:K12574	cjw:PJ18_08670
ko:K02528	cjw:PJ18_08675
ko:K06941	cjw:PJ18_08685
ko:K01704	cjw:PJ18_08720
ko:K01703	cjw:PJ18_08725
ko:K00052	cjw:PJ18_08730
ko:K01649	cjw:PJ18_08735
ko:K09457	cjw:PJ18_08750
ko:K01599	cjw:PJ18_06150
ko:K03703	cjw:PJ18_06165
ko:K07098	cjw:PJ18_04170
ko:K01613	cjw:PJ18_04175
ko:K04061	cjw:PJ18_04180
ko:K01845	cjw:PJ18_04205
ko:K01491	cjw:PJ18_04215
ko:K03100	cjw:PJ18_04220
ko:K03750	cjw:PJ18_04225
ko:K00790	cjw:PJ18_04230
ko:K01664	cjw:PJ18_04240
ko:K03342	cjw:PJ18_04245
ko:K04763	cjw:PJ18_04250
ko:K03673	cjw:PJ18_04255
ko:K03611	cjw:PJ18_04260
ko:K03673	cjw:PJ18_04285
ko:K02400	cjw:PJ18_04325
ko:K02956	cjw:PJ18_04335
ko:K03466	cjw:PJ18_04340
ko:K02397	cjw:PJ18_04345
ko:K15738	cjw:PJ18_04360
ko:K00058	cjw:PJ18_04375
ko:K02945	cjw:PJ18_04385
ko:K03527	cjw:PJ18_04390
ko:K00800	cjw:PJ18_04395
ko:K01890	cjw:PJ18_04400
ko:K01889	cjw:PJ18_04405
ko:K02503	cjw:PJ18_04410
ko:K03152	cjw:PJ18_04415
ko:K02029	cjw:PJ18_04425
ko:K02028	cjw:PJ18_04430
ko:K03310	cjw:PJ18_04435
ko:K03216	cjw:PJ18_04440
ko:K01775	cjw:PJ18_04445
ko:K02390	cjw:PJ18_08760
ko:K01159	cjw:PJ18_08765
ko:K01056	cjw:PJ18_01495
ko:K11720	cjw:PJ18_01500
ko:K01586	cjw:PJ18_01505
ko:K02566	cjw:PJ18_01510
ko:K14170	cjw:PJ18_01515
ko:K00817	cjw:PJ18_01520
ko:K02409	cjw:PJ18_01525
ko:K02410	cjw:PJ18_01530
ko:K02411	cjw:PJ18_01535
ko:K01662	cjw:PJ18_01540
ko:K09825	cjw:PJ18_01545
ko:K03183	cjw:PJ18_01555
ko:K03601	cjw:PJ18_01560
ko:K00831	cjw:PJ18_01565
ko:K00648	cjw:PJ18_01575
ko:K03621	cjw:PJ18_01580
ko:K02911	cjw:PJ18_01585
ko:K00940	cjw:PJ18_01595
ko:K03386	cjw:PJ18_01605
ko:K02401	cjw:PJ18_01610
ko:K02557	cjw:PJ18_01615
ko:K02556	cjw:PJ18_01620
ko:K08173	cjw:PJ18_01630
ko:K03701	cjw:PJ18_01660
ko:K07090	cjw:PJ18_01665
ko:K01657	cjw:PJ18_01675
ko:K13497	cjw:PJ18_01680
ko:K01817	cjw:PJ18_01685
ko:K01696	cjw:PJ18_01690
ko:K01695	cjw:PJ18_01695
ko:K02417	cjw:PJ18_01705
ko:K01524	cjw:PJ18_01715
ko:K01633	cjw:PJ18_01730
ko:K08591	cjw:PJ18_01735
ko:K00428	cjw:PJ18_01740
ko:K03431	cjw:PJ18_01745
ko:K03101	cjw:PJ18_01750
ko:K08973	cjw:PJ18_01755
ko:K18139	cjw:PJ18_01770
ko:K18138	cjw:PJ18_01775
ko:K03585	cjw:PJ18_01780
ko:K18992	cjw:PJ18_01785
ko:K01951	cjw:PJ18_06175
ko:K01945	cjw:PJ18_06185
ko:K04744	cjw:PJ18_06195
ko:K00962	cjw:PJ18_06200
ko:K01821	cjw:PJ18_06210
ko:K01104	cjw:PJ18_06225
ko:K03686	cjw:PJ18_06235
ko:K02484	cjw:PJ18_06245
ko:K06187	cjw:PJ18_06250
ko:K03605	cjw:PJ18_06255
ko:K03620	cjw:PJ18_06260
ko:K05922	cjw:PJ18_06265
ko:K05927	cjw:PJ18_06270
ko:K15461	cjw:PJ18_06275
ko:K01448	cjw:PJ18_06280
ko:K00459	cjw:PJ18_06285
ko:K01866	cjw:PJ18_06290
ko:K03060	cjw:PJ18_06300
ko:K09903	cjw:PJ18_06305
ko:K09811	cjw:PJ18_06315
ko:K09812	cjw:PJ18_06320
ko:K03439	cjw:PJ18_06325
ko:K06180	cjw:PJ18_06335
ko:K05837	cjw:PJ18_06340
ko:K01173	cjw:PJ18_06450
ko:K02970	cjw:PJ18_01795
ko:K09767	cjw:PJ18_01815
ko:K17247	cjw:PJ18_01835
ko:K01591	cjw:PJ18_01850
ko:K03625	cjw:PJ18_01855
ko:K00794	cjw:PJ18_01860
ko:K01627	cjw:PJ18_01865
ko:K03977	cjw:PJ18_01875
ko:K00891	cjw:PJ18_01880
ko:K01867	cjw:PJ18_01885
ko:K01875	cjw:PJ18_01890
ko:K00873	cjw:PJ18_01905
ko:K00116	cjw:PJ18_01910
ko:K03525	cjw:PJ18_01915
ko:K02435	cjw:PJ18_01935
ko:K03558	cjw:PJ18_01940
ko:K03711	cjw:PJ18_01945
ko:K04567	cjw:PJ18_01950
ko:K00600	cjw:PJ18_01955
ko:K03749	cjw:PJ18_01965
ko:K00014	cjw:PJ18_01970
ko:K13292	cjw:PJ18_01980
ko:K00246	cjw:PJ18_01985
ko:K00244	cjw:PJ18_01990
ko:K00245	cjw:PJ18_01995
ko:K07126	cjw:PJ18_02010
ko:K06152	cjw:PJ18_02015
ko:K06151	cjw:PJ18_02020
ko:K06218	cjw:PJ18_06565
ko:K07171	cjw:PJ18_06585
ko:K03498	cjw:PJ18_06615
ko:K03499	cjw:PJ18_06620
ko:K11782	cjw:PJ18_06625
ko:K00761	cjw:PJ18_06630
ko:K00029	cjw:PJ18_06635
ko:K01885	cjw:PJ18_06640
ko:K01961	cjw:PJ18_06650
ko:K02160	cjw:PJ18_06655
ko:K01494	cjw:PJ18_06660
ko:K15894	cjw:PJ18_06665
ko:K15895	cjw:PJ18_06670
ko:K00662	cjw:PJ18_06680
ko:K00662	cjw:PJ18_06685
ko:K00648	cjw:PJ18_06710
ko:K01925	cjw:PJ18_02130
ko:K01000	cjw:PJ18_02135
ko:K15633	cjw:PJ18_02140
ko:K00059	cjw:PJ18_02150
ko:K00239	cjw:PJ18_02160
ko:K00240	cjw:PJ18_02165
ko:K00241	cjw:PJ18_02170
ko:K03707	cjw:PJ18_02175
ko:K02078	cjw:PJ18_02180
ko:K09458	cjw:PJ18_02185
ko:K01962	cjw:PJ18_02190
ko:K08077	cjw:PJ18_02200
ko:K09794	cjw:PJ18_02210
ko:K02902	cjw:PJ18_02215
ko:K01783	cjw:PJ18_02220
ko:K02342	cjw:PJ18_02225
ko:K03147	cjw:PJ18_02230
ko:K09778	cjw:PJ18_02250
ko:K06168	cjw:PJ18_02255
ko:K02600	cjw:PJ18_02265
ko:K11784	cjw:PJ18_02275
ko:K03655	cjw:PJ18_02285
ko:K06886	cjw:PJ18_02290
ko:K02029	cjw:PJ18_02300
ko:K02029	cjw:PJ18_02305
ko:K02028	cjw:PJ18_02310
ko:K02358	cjw:PJ18_02335
ko:K02913	cjw:PJ18_02340
ko:K03073	cjw:PJ18_02350
ko:K02601	cjw:PJ18_02355
ko:K02867	cjw:PJ18_02360
ko:K02863	cjw:PJ18_02365
ko:K02864	cjw:PJ18_02370
ko:K02935	cjw:PJ18_02375
ko:K03043	cjw:PJ18_02380
ko:K15897	cjw:PJ18_06755
ko:K15896	cjw:PJ18_06760
ko:K02500	cjw:PJ18_06765
ko:K02501	cjw:PJ18_06770
ko:K15898	cjw:PJ18_06780
ko:K18430	cjw:PJ18_06820
ko:K18429	cjw:PJ18_06825
ko:K02406	cjw:PJ18_06870
ko:K02406	cjw:PJ18_06875
ko:K02456	cjw:PJ18_06895
ko:K01409	cjw:PJ18_06900
ko:K00099	cjw:PJ18_06910
ko:K00981	cjw:PJ18_06915
ko:K03752	cjw:PJ18_06930
ko:K01058	cjw:PJ18_06935
ko:K02015	cjw:PJ18_06940
ko:K02015	cjw:PJ18_06945
ko:K02013	cjw:PJ18_06950
ko:K02016	cjw:PJ18_06955
ko:K03385	cjw:PJ18_06970
ko:K15876	cjw:PJ18_06975
ko:K00937	cjw:PJ18_06980
ko:K03407	cjw:PJ18_06985
ko:K03551	cjw:PJ18_06990
ko:K01679	cjw:PJ18_07000
ko:K00820	cjw:PJ18_07010
ko:K00990	cjw:PJ18_07015
ko:K18285	cjw:PJ18_07020
ko:K06901	cjw:PJ18_07025
ko:K00769	cjw:PJ18_07030
ko:K04754	cjw:PJ18_07035
ko:K17250	cjw:PJ18_05595
ko:K06867	cjw:PJ18_07105
ko:K07496	cjw:PJ18_03715
ko:K14218	cjw:PJ18_00150
ko:K14218	cjw:PJ18_03680
ko:K14218	cjw:PJ18_02110
ko:K02031	cjw:PJ18_07985
ko:K19416	cjw:PJ18_00855
ko:K18431	cjw:PJ18_06840
ko:K06867	cjw:PJ18_04110
ko:K07216	cjw:PJ18_00370
ko:K07216	cjw:PJ18_00375
ko:K15669	cjw:PJ18_07290
ko:K10938	cjw:PJ18_01390
ko:K19713	cjw:PJ18_04295
ko:K07147	cjw:PJ18_01840
ko:K09796	cjw:PJ18_04460
ko:K20810	cjw:PJ18_00350
ko:K01977	cjw:PJ18_00145
ko:K14227	cjw:PJ18_00155
ko:K14227	cjw:PJ18_03685
ko:K14227	cjw:PJ18_02115
ko:K01985	cjw:PJ18_00165
ko:K01985	cjw:PJ18_02125
ko:K01985	cjw:PJ18_03695
ko:K14224	cjw:PJ18_01145
ko:K14234	cjw:PJ18_02315
ko:K14234	cjw:PJ18_02330
ko:K14236	cjw:PJ18_02320
ko:K14225	cjw:PJ18_02325
ko:K14225	cjw:PJ18_04355
ko:K14225	cjw:PJ18_08195
ko:K14219	cjw:PJ18_02455
ko:K14219	cjw:PJ18_05005
ko:K14219	cjw:PJ18_08450
ko:K14230	cjw:PJ18_02850
ko:K14230	cjw:PJ18_06345
ko:K14223	cjw:PJ18_02855
ko:K14228	cjw:PJ18_04350
ko:K14228	cjw:PJ18_04600
ko:K14228	cjw:PJ18_08200
ko:K14221	cjw:PJ18_04620
ko:K14221	cjw:PJ18_04640
ko:K14237	cjw:PJ18_04625
ko:K14237	cjw:PJ18_04645
ko:K14237	cjw:PJ18_08710
ko:K14229	cjw:PJ18_04635
ko:K14229	cjw:PJ18_04650
ko:K14220	cjw:PJ18_06060
ko:K14231	cjw:PJ18_06610
ko:K14233	cjw:PJ18_06960
ko:K14233	cjw:PJ18_08210
ko:K14222	cjw:PJ18_08205
ko:K14232	cjw:PJ18_08465
ko:K14218	cjw:PJ18_08705
ko:K01980	cjw:PJ18_02120
ko:K01980	cjw:PJ18_03690
ko:K01980	cjw:PJ18_00160
ko:K14228	cjw:PJ18_08445
ko:K14226	cjw:PJ18_08460
ko:K01977	cjw:PJ18_02105
ko:K14233	cjw:PJ18_08700
ko:K01977	cjw:PJ18_03675
ko:K01023	cjw:PJ18_04280
ko:K00821	cjw:PJ18_00900
ko:K03465	cjw:PJ18_00125
ko:K02314	cjw:PJ18_02795
ko:K02316	cjw:PJ18_08295
ko:K10747	cjw:PJ18_08470
ko:K03553	cjw:PJ18_08490
ko:K02335	cjw:PJ18_01625
ko:K02483	cjw:PJ18_06240
ko:K02483	cjw:PJ18_01725
ko:K02483	cjw:PJ18_06070
ko:K00525	cjw:PJ18_00115
ko:K02032	cjw:PJ18_07980
ko:K02481	cjw:PJ18_05070
ko:K01139	cjw:PJ18_06295
ko:K00526	cjw:PJ18_00880
ko:K03668	cjw:PJ18_04705
ko:K10938	cjw:PJ18_03835
ko:K21420	cjw:PJ18_05125
ko:K13695	cjw:PJ18_08370
ko:K01451	cjw:PJ18_04870
ko:K10026	cjw:PJ18_01180
ko:K21600	cjw:PJ18_02540
ko:K21929	cjw:PJ18_04770
ko:K03595	cjw:PJ18_03285
ko:K14441	cjw:PJ18_07395
ko:K17758	cjw:PJ18_01045
ko:K17759	cjw:PJ18_01045
ko:K22391	cjw:PJ18_03485
ko:K22424	cjw:PJ18_07245
ko:K22477	cjw:PJ18_00910
