ko:K01533	llr:llh_13655
ko:K07177	llr:llh_12530
ko:K08152	llr:llh_12545
ko:K08152	llr:llh_12550
ko:K05845	llr:llh_8470
ko:K05846	llr:llh_8470
ko:K00383	llr:llh_8485
ko:K03299	llr:llh_12665
ko:K00851	llr:llh_12670
ko:K00033	llr:llh_12675
ko:K07098	llr:llh_12690
ko:K04516	llr:llh_12735
ko:K03713	llr:llh_12865
ko:K01104	llr:llh_12870
ko:K00059	llr:llh_8835
ko:K06183	llr:llh_13030
ko:K07052	llr:llh_13105
ko:K03830	llr:llh_0165
ko:K00841	llr:llh_0185
ko:K04063	llr:llh_0275
ko:K11189	llr:llh_0740
ko:K08483	llr:llh_0745
ko:K06889	llr:llh_0765
ko:K08161	llr:llh_0815
ko:K06346	llr:llh_0835
ko:K07052	llr:llh_0855
ko:K00700	llr:llh_0905
ko:K15051	llr:llh_1005
ko:K01784	llr:llh_1290
ko:K00088	llr:llh_1345
ko:K06948	llr:llh_1350
ko:K06147	llr:llh_1535
ko:K06147	llr:llh_1540
ko:K03976	llr:llh_1855
ko:K07729	llr:llh_1915
ko:K08234	llr:llh_1970
ko:K03386	llr:llh_1980
ko:K15582	llr:llh_2025
ko:K10823	llr:llh_2035
ko:K10563	llr:llh_2070
ko:K07025	llr:llh_2860
ko:K02033	llr:llh_2910
ko:K02035	llr:llh_2920
ko:K00949	llr:llh_2980
ko:K03810	llr:llh_2985
ko:K02238	llr:llh_3535
ko:K03930	llr:llh_3565
ko:K02795	llr:llh_3955
ko:K02793	llr:llh_3960
ko:K02794	llr:llh_3960
ko:K05337	llr:llh_3965
ko:K01176	llr:llh_4040
ko:K14983	llr:llh_4060
ko:K14982	llr:llh_4065
ko:K00625	llr:llh_4145
ko:K03731	llr:llh_2525
ko:K00059	llr:llh_8940
ko:K11144	llr:llh_9095
ko:K03346	llr:llh_9100
ko:K07192	llr:llh_9160
ko:K02004	llr:llh_13125
ko:K03471	llr:llh_13135
ko:K09685	llr:llh_13145
ko:K07258	llr:llh_13200
ko:K01156	llr:llh_14205
ko:K07316	llr:llh_14210
ko:K11041	llr:llh_14000
ko:K01220	llr:llh_14020
ko:K01424	llr:llh_9180
ko:K02552	llr:llh_9205
ko:K08680	llr:llh_9215
ko:K02549	llr:llh_9235
ko:K07069	llr:llh_9340
ko:K16012	llr:llh_9395
ko:K16013	llr:llh_9400
ko:K07052	llr:llh_9425
ko:K02786	llr:llh_14030
ko:K01635	llr:llh_14035
ko:K00917	llr:llh_14040
ko:K01819	llr:llh_14045
ko:K01819	llr:llh_14050
ko:K02530	llr:llh_14055
ko:K07386	llr:llh_14120
ko:K02035	llr:llh_14125
ko:K02033	llr:llh_14135
ko:K01262	llr:llh_9505
ko:K01537	llr:llh_9580
ko:K01958	llr:llh_9640
ko:K02004	llr:llh_9685
ko:K03711	llr:llh_5415
ko:K03488	llr:llh_5520
ko:K02755	llr:llh_5525
ko:K02756	llr:llh_5525
ko:K02757	llr:llh_5525
ko:K00867	llr:llh_5590
ko:K00564	llr:llh_5595
ko:K04763	llr:llh_9765
ko:K03708	llr:llh_9785
ko:K03048	llr:llh_9815
ko:K00784	llr:llh_9835
ko:K00033	llr:llh_9890
ko:K06023	llr:llh_9910
ko:K01507	llr:llh_9985
ko:K00567	llr:llh_10395
ko:K03177	llr:llh_6220
ko:K00016	llr:llh_6230
ko:K09963	llr:llh_6235
ko:K07273	llr:llh_6305
ko:K11072	llr:llh_6455
ko:K11071	llr:llh_6460
ko:K00016	llr:llh_10480
ko:K07273	llr:llh_10615
ko:K01619	llr:llh_5610
ko:K01489	llr:llh_5615
ko:K09787	llr:llh_5645
ko:K02086	llr:llh_5865
ko:K00058	llr:llh_10015
ko:K03574	llr:llh_10125
ko:K03697	llr:llh_10230
ko:K07584	llr:llh_5915
ko:K02242	llr:llh_5965
ko:K02240	llr:llh_5975
ko:K01081	llr:llh_5995
ko:K01916	llr:llh_6045
ko:K02004	llr:llh_6055
ko:K07009	llr:llh_6060
ko:K03574	llr:llh_6135
ko:K04750	llr:llh_6150
ko:K00244	llr:llh_6155
ko:K01092	llr:llh_10295
ko:K03700	llr:llh_10315
ko:K01992	llr:llh_10375
ko:K01834	llr:llh_1975
ko:K16511	llr:llh_3170
ko:K03322	llr:llh_13985
ko:K03322	llr:llh_5925
ko:K01834	llr:llh_3905
ko:K01739	llr:llh_11050
ko:K16209	llr:llh_11355
ko:K16210	llr:llh_4325
ko:K16509	llr:llh_10305
ko:K16509	llr:llh_8490
ko:K03699	llr:llh_3045
ko:K14231	llr:llh_13230
ko:K14231	llr:llh_13345
ko:K14224	llr:llh_13220
ko:K14224	llr:llh_13575
ko:K14189	llr:llh_0890
ko:K14236	llr:llh_13540
ko:K01838	llr:llh_2530
ko:K11733	llr:llh_12715
ko:K16264	llr:llh_4465
ko:K01223	llr:llh_1115
ko:K01977	llr:llh_13415
ko:K01977	llr:llh_13515
ko:K01977	llr:llh_13470
ko:K01977	llr:llh_13565
ko:K01977	llr:llh_13495
ko:K01977	llr:llh_13595
ko:K01223	llr:llh_5265
ko:K14237	llr:llh_13395
ko:K14237	llr:llh_13545
ko:K14237	llr:llh_13450
ko:K15583	llr:llh_2030
ko:K16509	llr:llh_9595
ko:K11733	llr:llh_2140
ko:K16137	llr:llh_13770
ko:K16169	llr:llh_6370
ko:K01223	llr:llh_7400
ko:K14235	llr:llh_13535
ko:K05340	llr:llh_13205
ko:K15770	llr:llh_4015
ko:K15772	llr:llh_4005
ko:K15580	llr:llh_10340
ko:K16786	llr:llh_1605
ko:K16787	llr:llh_1610
ko:K16785	llr:llh_1615
ko:K16788	llr:llh_6445
ko:K16789	llr:llh_1860
ko:K07260	llr:llh_7875
ko:K02029	llr:llh_7940
ko:K02030	llr:llh_11925
ko:K02030	llr:llh_7950
ko:K14220	llr:llh_13250
ko:K14220	llr:llh_13570
ko:K14219	llr:llh_13300
ko:K14223	llr:llh_13315
ko:K14223	llr:llh_13525
ko:K14230	llr:llh_13355
ko:K14225	llr:llh_13370
ko:K14225	llr:llh_13425
ko:K14232	llr:llh_13290
ko:K14232	llr:llh_13360
ko:K14219	llr:llh_13310
ko:K11991	llr:llh_9290
ko:K14218	llr:llh_13410
ko:K14218	llr:llh_13560
ko:K14218	llr:llh_13465
ko:K14218	llr:llh_13490
ko:K14218	llr:llh_13510
ko:K14218	llr:llh_13590
ko:K16785	llr:llh_1910
ko:K16786	llr:llh_1905
ko:K16787	llr:llh_1905
ko:K14234	llr:llh_13375
ko:K14234	llr:llh_13430
ko:K14228	llr:llh_13520
ko:K14221	llr:llh_13390
ko:K14221	llr:llh_13445
ko:K08316	llr:llh_12540
ko:K01426	llr:llh_1055
ko:K16924	llr:llh_1900
ko:K14229	llr:llh_13325
ko:K14229	llr:llh_13440
ko:K14229	llr:llh_13385
ko:K01985	llr:llh_13245
ko:K14226	llr:llh_13530
ko:K14230	llr:llh_13225
ko:K14230	llr:llh_13320
ko:K14230	llr:llh_13350
ko:K14225	llr:llh_13235
ko:K14225	llr:llh_13340
ko:K14227	llr:llh_13240
ko:K14227	llr:llh_13335
ko:K14229	llr:llh_13255
ko:K14228	llr:llh_13260
ko:K14228	llr:llh_13275
ko:K14228	llr:llh_13380
ko:K14228	llr:llh_13435
ko:K14228	llr:llh_13420
ko:K14233	llr:llh_13280
ko:K14234	llr:llh_13475
ko:K14219	llr:llh_13285
ko:K14219	llr:llh_13365
ko:K14219	llr:llh_13330
ko:K14222	llr:llh_13295
ko:K01985	llr:llh_13400
ko:K01985	llr:llh_13480
ko:K01985	llr:llh_13580
ko:K01985	llr:llh_13500
ko:K01985	llr:llh_13455
ko:K01985	llr:llh_13550
ko:K18704	llr:llh_8010
ko:K16898	llr:llh_0020
ko:K16899	llr:llh_0015
ko:K03574	llr:llh_12990
ko:K11070	llr:llh_6465
ko:K02029	llr:llh_3645
ko:K02030	llr:llh_3645
ko:K01990	llr:llh_1255
ko:K17319	llr:llh_5290
ko:K17319	llr:llh_9280
ko:K17318	llr:llh_5300
ko:K17318	llr:llh_9270
ko:K01992	llr:llh_1250
ko:K01992	llr:llh_11515
ko:K01992	llr:llh_3520
ko:K01990	llr:llh_11520
ko:K01990	llr:llh_3515
ko:K01992	llr:llh_8120
ko:K02028	llr:llh_3640
ko:K01760	llr:llh_8905
ko:K02028	llr:llh_7935
ko:K02032	llr:llh_14140
ko:K17716	llr:llh_0465
ko:K17320	llr:llh_5295
ko:K17320	llr:llh_9275
ko:K00951	llr:llh_0675
ko:K00040	llr:llh_4315
ko:K01598	llr:llh_10155
ko:K00265	llr:llh_7120
ko:K02484	llr:llh_5635
ko:K02029	llr:llh_3160
ko:K01990	llr:llh_1495
ko:K01990	llr:llh_8125
ko:K02030	llr:llh_10195
ko:K14230	llr:llh_13305
ko:K14233	llr:llh_13265
ko:K01980	llr:llh_13405
ko:K01980	llr:llh_13505
ko:K01980	llr:llh_13555
ko:K01980	llr:llh_13585
ko:K01980	llr:llh_13485
ko:K01980	llr:llh_13460
ko:K01992	llr:llh_2355
ko:K01992	llr:llh_5200
ko:K01992	llr:llh_7755
ko:K14234	llr:llh_13270
ko:K01990	llr:llh_10380
ko:K01990	llr:llh_11565
ko:K01990	llr:llh_2360
ko:K01990	llr:llh_5205
ko:K01990	llr:llh_7760
ko:K10112	llr:llh_2475
ko:K17686	llr:llh_8600
ko:K01101	llr:llh_6320
ko:K03292	llr:llh_5080
ko:K00226	llr:llh_4795
ko:K03767	llr:llh_2135
ko:K06518	llr:llh_9015
ko:K01791	llr:llh_0480
ko:K01791	llr:llh_6985
ko:K00537	llr:llh_8870
ko:K17810	llr:llh_12965
ko:K07493	llr:llh_8325
ko:K01467	llr:llh_0080
ko:K01658	llr:llh_5460
ko:K02026	llr:llh_7415
ko:K17828	llr:llh_7380
ko:K07493	llr:llh_0405
ko:K07493	llr:llh_12875
ko:K12574	llr:llh_1685
ko:K07284	llr:llh_6115
ko:K00661	llr:llh_4035
ko:K12574	llr:llh_4405
ko:K01183	llr:llh_11145
ko:K01187	llr:llh_4045
ko:K07284	llr:llh_9035
ko:K07493	llr:llh_0130
ko:K03366	llr:llh_1880
ko:K00897	llr:llh_6710
ko:K01071	llr:llh_6315
ko:K03366	llr:llh_8160
ko:K18104	llr:llh_9360
ko:K06148	llr:llh_4970
ko:K12999	llr:llh_0685
ko:K02799	llr:llh_0105
ko:K02800	llr:llh_0105
ko:K07386	llr:llh_3125
ko:K07386	llr:llh_3130
ko:K03284	llr:llh_5325
ko:K02238	llr:llh_3545
ko:K07192	llr:llh_9165
ko:K03282	llr:llh_14010
ko:K03704	llr:llh_9315
ko:K06198	llr:llh_14075
ko:K09936	llr:llh_13675
ko:K00703	llr:llh_9465
ko:K03311	llr:llh_9540
ko:K01681	llr:llh_9615
ko:K06198	llr:llh_13740
ko:K08602	llr:llh_13745
ko:K03704	llr:llh_13840
ko:K01657	llr:llh_5450
ko:K16509	llr:llh_5790
ko:K02240	llr:llh_5970
ko:K03574	llr:llh_6140
ko:K02808	llr:llh_6250
ko:K02809	llr:llh_6250
ko:K02810	llr:llh_6250
ko:K00053	llr:llh_6600
ko:K01687	llr:llh_6615
ko:K01649	llr:llh_6675
ko:K00013	llr:llh_6720
ko:K16509	llr:llh_6895
ko:K16509	llr:llh_7265
ko:K00849	llr:llh_11345
ko:K16209	llr:llh_11360
ko:K01990	llr:llh_11570
ko:K00012	llr:llh_7840
ko:K02246	llr:llh_12315
ko:K01421	llr:llh_8245
ko:K01533	llr:llh_8440
ko:K01533	llr:llh_8445
ko:K00611	llr:llh_8760
ko:K00930	llr:llh_8775
ko:K07126	llr:llh_5815
ko:K02001	llr:llh_5545
ko:K02002	llr:llh_5545
ko:K01438	llr:llh_10185
ko:K07030	llr:llh_6760
ko:K18682	llr:llh_10945
ko:K18672	llr:llh_2490
ko:K18692	llr:llh_2420
ko:K18892	llr:llh_1800
ko:K18891	llr:llh_1795
ko:K03790	llr:llh_8860
ko:K03790	llr:llh_9200
ko:K18929	llr:llh_3785
ko:K18928	llr:llh_3790
ko:K03497	llr:llh_0620
ko:K08151	llr:llh_1775
ko:K03111	llr:llh_2290
ko:K07467	llr:llh_14170
ko:K03496	llr:llh_13950
ko:K03502	llr:llh_13885
ko:K03497	llr:llh_13900
ko:K03496	llr:llh_13905
ko:K03502	llr:llh_7820
ko:K03111	llr:llh_12700
ko:K07029	llr:llh_2470
ko:K07816	llr:llh_8310
ko:K07483	llr:llh_0550
ko:K07483	llr:llh_2160
ko:K07483	llr:llh_3075
ko:K07483	llr:llh_3620
ko:K07483	llr:llh_3705
ko:K07483	llr:llh_4500
ko:K07483	llr:llh_4510
ko:K07483	llr:llh_5220
ko:K07483	llr:llh_5235
ko:K07483	llr:llh_0240
ko:K07483	llr:llh_0250
ko:K07483	llr:llh_0945
ko:K07483	llr:llh_2955
ko:K07483	llr:llh_3920
ko:K07483	llr:llh_9630
ko:K07483	llr:llh_13825
ko:K07483	llr:llh_5370
ko:K07483	llr:llh_5385
ko:K07483	llr:llh_9790
ko:K07483	llr:llh_5660
ko:K07483	llr:llh_5675
ko:K07483	llr:llh_10130
ko:K07483	llr:llh_10750
ko:K07483	llr:llh_7520
ko:K07483	llr:llh_7530
ko:K07483	llr:llh_11645
ko:K07483	llr:llh_7735
ko:K07483	llr:llh_7750
ko:K07483	llr:llh_11850
ko:K07483	llr:llh_8545
ko:K07483	llr:llh_8640
ko:K07483	llr:llh_8655
ko:K07483	llr:llh_8795
ko:K19055	llr:llh_11710
ko:K19002	llr:llh_12415
ko:K07498	llr:llh_2585
ko:K07498	llr:llh_13750
ko:K07498	llr:llh_1595
ko:K07498	llr:llh_7845
ko:K07497	llr:llh_10135
ko:K07483	llr:llh_0160
ko:K07483	llr:llh_0570
ko:K07483	llr:llh_0790
ko:K07483	llr:llh_12490
ko:K07483	llr:llh_1815
ko:K07483	llr:llh_3490
ko:K07483	llr:llh_3695
ko:K07483	llr:llh_5170
ko:K07483	llr:llh_5345
ko:K07483	llr:llh_5710
ko:K07483	llr:llh_5840
ko:K07483	llr:llh_6090
ko:K07483	llr:llh_6510
ko:K07483	llr:llh_6870
ko:K07483	llr:llh_6900
ko:K07483	llr:llh_7175
ko:K07483	llr:llh_7545
ko:K07483	llr:llh_7605
ko:K07483	llr:llh_8035
ko:K07483	llr:llh_9570
ko:K01664	llr:llh_5120
ko:K07498	llr:llh_13725
ko:K07498	llr:llh_14090
ko:K07498	llr:llh_13790
ko:K07498	llr:llh_13850
ko:K13052	llr:llh_0070
ko:K02031	llr:llh_14145
ko:K07816	llr:llh_8315
ko:K07497	llr:llh_5350
ko:K03741	llr:llh_4525
ko:K07498	llr:llh_4990
ko:K07498	llr:llh_14200
ko:K07498	llr:llh_13975
ko:K07498	llr:llh_13995
ko:K07498	llr:llh_14080
ko:K07498	llr:llh_14100
ko:K07498	llr:llh_13710
ko:K07498	llr:llh_13735
ko:K19005	llr:llh_8740
ko:K07497	llr:llh_3700
ko:K07497	llr:llh_0235
ko:K07497	llr:llh_4515
ko:K07497	llr:llh_5665
ko:K07497	llr:llh_7515
ko:K07497	llr:llh_8645
ko:K07497	llr:llh_8800
ko:K07497	llr:llh_5375
ko:K07497	llr:llh_7740
ko:K00001	llr:llh_4810
ko:K01710	llr:llh_1215
ko:K05881	llr:llh_1480
ko:K19068	llr:llh_0475
ko:K02755	llr:llh_2510
ko:K19265	llr:llh_11370
ko:K19302	llr:llh_5770
ko:K00020	llr:llh_12910
ko:K00020	llr:llh_12915
ko:K03722	llr:llh_2930
ko:K01992	llr:llh_1500
ko:K07497	llr:llh_0545
ko:K07497	llr:llh_0565
ko:K07497	llr:llh_1820
ko:K07497	llr:llh_3080
ko:K07497	llr:llh_3625
ko:K07497	llr:llh_3710
ko:K07497	llr:llh_5175
ko:K07497	llr:llh_5225
ko:K07497	llr:llh_5230
ko:K07497	llr:llh_5240
ko:K07497	llr:llh_0155
ko:K07497	llr:llh_0795
ko:K07497	llr:llh_3485
ko:K07497	llr:llh_3925
ko:K07497	llr:llh_14065
ko:K07497	llr:llh_9565
ko:K07497	llr:llh_5715
ko:K07497	llr:llh_5845
ko:K07497	llr:llh_6095
ko:K07497	llr:llh_6505
ko:K07497	llr:llh_10745
ko:K07497	llr:llh_6865
ko:K07497	llr:llh_6905
ko:K07497	llr:llh_7170
ko:K07497	llr:llh_7540
ko:K07497	llr:llh_11640
ko:K07497	llr:llh_7600
ko:K07497	llr:llh_11855
ko:K07497	llr:llh_8030
ko:K07497	llr:llh_12495
ko:K19267	llr:llh_12590
ko:K12952	llr:llh_10140
ko:K01215	llr:llh_4030
ko:K19350	llr:llh_8150
ko:K03483	llr:llh_0110
ko:K06881	llr:llh_9190
ko:K00526	llr:llh_7695
ko:K02796	llr:llh_3950
ko:K00887	llr:llh_5950
ko:K19972	llr:llh_7225
ko:K21636	llr:llh_13650
ko:K19965	llr:llh_6420
ko:K10830	llr:llh_7230
ko:K19971	llr:llh_7210
ko:K19972	llr:llh_7215
ko:K22457	llr:llh_2940
ko:K05770	llr:llh_6780
ko:K20074	llr:llh_2620
ko:K12132	llr:llh_2625
ko:K00661	llr:llh_7125
ko:K20073	llr:llh_4185
ko:K20265	llr:llh_7150
ko:K00525	llr:llh_7690
ko:K20486	llr:llh_13955
ko:K18890	llr:llh_7025
ko:K18889	llr:llh_7030
ko:K18889	llr:llh_7035
ko:K12999	llr:llh_2610
ko:K20866	llr:llh_0700
ko:K01208	llr:llh_4020
ko:K21064	llr:llh_3795
ko:K08968	llr:llh_12730
ko:K00821	llr:llh_8780
ko:K01520	llr:llh_1120
ko:K07455	llr:llh_3265
ko:K00560	llr:llh_4855
ko:K03553	llr:llh_2075
ko:K02315	llr:llh_3285
ko:K01520	llr:llh_3325
ko:K02314	llr:llh_9125
ko:K04068	llr:llh_13645
ko:K00857	llr:llh_10075
ko:K06217	llr:llh_5935
ko:K02316	llr:llh_10275
ko:K01493	llr:llh_6310
ko:K00287	llr:llh_6385
ko:K06904	llr:llh_10710
ko:K01520	llr:llh_10770
ko:K03546	llr:llh_7250
ko:K07474	llr:llh_11415
ko:K06919	llr:llh_11425
ko:K06191	llr:llh_7680
ko:K03553	llr:llh_7810
ko:K06919	llr:llh_12835
ko:K06904	llr:llh_12850
ko:K02335	llr:llh_12435
ko:K07741	llr:llh_10855
ko:K07005	llr:llh_11895
ko:K19577	llr:llh_1955
ko:K02031	llr:llh_2900
ko:K02032	llr:llh_2905
ko:K03293	llr:llh_2990
ko:K03293	llr:llh_2085
ko:K03293	llr:llh_8720
ko:K07497	llr:llh_7745
ko:K21478	llr:llh_9550
ko:K21471	llr:llh_12975
ko:K21471	llr:llh_10345
ko:K00950	llr:llh_6410
ko:K01495	llr:llh_6410
ko:K00863	llr:llh_1460
ko:K21567	llr:llh_4205
ko:K21977	llr:llh_10150
ko:K21993	llr:llh_7725
ko:K22044	llr:llh_7135
ko:K03595	llr:llh_2060
ko:K01537	llr:llh_7585
ko:K22212	llr:llh_8145
ko:K22212	llr:llh_8140
ko:K17758	llr:llh_1525
