ko:K19079	suy:SA2981_0637
ko:K21454	suy:SA2981_2296
ko:K03800	suy:SA2981_0326
ko:K02445	suy:SA2981_0335
ko:K00299	suy:SA2981_0338
ko:K03817	suy:SA2981_0340
ko:K07224	suy:SA2981_0341
ko:K07243	suy:SA2981_0343
ko:K03118	suy:SA2981_0344
ko:K03116	suy:SA2981_0345
ko:K00549	suy:SA2981_0354
ko:K06942	suy:SA2981_0361
ko:K02990	suy:SA2981_0363
ko:K02963	suy:SA2981_0365
ko:K02825	suy:SA2981_1156
ko:K00609	suy:SA2981_1158
ko:K01465	suy:SA2981_1159
ko:K01956	suy:SA2981_1160
ko:K03308	suy:SA2981_0434
ko:K02071	suy:SA2981_0437
ko:K02072	suy:SA2981_0438
ko:K02073	suy:SA2981_0439
ko:K00266	suy:SA2981_0448
ko:K02818	suy:SA2981_0449
ko:K02819	suy:SA2981_0449
ko:K02343	suy:SA2981_0453
ko:K09747	suy:SA2981_0454
ko:K06187	suy:SA2981_0455
ko:K00943	suy:SA2981_0457
ko:K02341	suy:SA2981_0459
ko:K07461	suy:SA2981_0463
ko:K07056	suy:SA2981_0464
ko:K01874	suy:SA2981_0465
ko:K03424	suy:SA2981_0466
ko:K05985	suy:SA2981_0467
ko:K02528	suy:SA2981_0468
ko:K00919	suy:SA2981_0470
ko:K06412	suy:SA2981_0473
ko:K04042	suy:SA2981_0474
ko:K00948	suy:SA2981_0475
ko:K02897	suy:SA2981_0476
ko:K01056	suy:SA2981_0477
ko:K03723	suy:SA2981_0478
ko:K00111	suy:SA2981_1258
ko:K00791	suy:SA2981_1260
ko:K03666	suy:SA2981_1261
ko:K00432	suy:SA2981_1262
ko:K03665	suy:SA2981_1263
ko:K01915	suy:SA2981_1266
ko:K01620	suy:SA2981_1271
ko:K06131	suy:SA2981_1273
ko:K07778	suy:SA2981_1276
ko:K00928	suy:SA2981_1282
ko:K00003	suy:SA2981_1283
ko:K01733	suy:SA2981_1284
ko:K00872	suy:SA2981_1285
ko:K01955	suy:SA2981_1161
ko:K01591	suy:SA2981_1162
ko:K00762	suy:SA2981_1163
ko:K00942	suy:SA2981_1167
ko:K03060	suy:SA2981_1168
ko:K13038	suy:SA2981_1169
ko:K04066	suy:SA2981_1170
ko:K01462	suy:SA2981_1173
ko:K00604	suy:SA2981_1174
ko:K03500	suy:SA2981_1175
ko:K06941	suy:SA2981_1176
ko:K06949	suy:SA2981_1179
ko:K01783	suy:SA2981_1180
ko:K02902	suy:SA2981_1182
ko:K03655	suy:SA2981_1185
ko:K03621	suy:SA2981_1187
ko:K00645	suy:SA2981_1188
ko:K02078	suy:SA2981_1190
ko:K03685	suy:SA2981_1191
ko:K03529	suy:SA2981_1192
ko:K03110	suy:SA2981_1193
ko:K03106	suy:SA2981_1195
ko:K02959	suy:SA2981_1196
ko:K02860	suy:SA2981_1197
ko:K00554	suy:SA2981_1198
ko:K02884	suy:SA2981_1199
ko:K14540	suy:SA2981_1201
ko:K03470	suy:SA2981_1202
ko:K01903	suy:SA2981_1203
ko:K01902	suy:SA2981_1204
ko:K01114	suy:SA2981_1965
ko:K04077	suy:SA2981_1970
ko:K04078	suy:SA2981_1971
ko:K07078	suy:SA2981_1974
ko:K03781	suy:SA2981_1289
ko:K02913	suy:SA2981_1290
ko:K02954	suy:SA2981_1291
ko:K00364	suy:SA2981_1292
ko:K01356	suy:SA2981_1294
ko:K00615	suy:SA2981_1297
ko:K03547	suy:SA2981_1300
ko:K03282	suy:SA2981_1302
ko:K01681	suy:SA2981_1304
ko:K07107	suy:SA2981_1305
ko:K08591	suy:SA2981_1307
ko:K02622	suy:SA2981_1308
ko:K02621	suy:SA2981_1309
ko:K03310	suy:SA2981_1310
ko:K03480	suy:SA2981_1311
ko:K07667	suy:SA2981_2020
ko:K01929	suy:SA2981_2023
ko:K01921	suy:SA2981_2024
ko:K05837	suy:SA2981_2025
ko:K06131	suy:SA2981_2029
ko:K06950	suy:SA2981_2030
ko:K03217	suy:SA2981_2031
ko:K00788	suy:SA2981_2032
ko:K00878	suy:SA2981_2033
ko:K00941	suy:SA2981_2034
ko:K03707	suy:SA2981_2035
ko:K02372	suy:SA2981_2039
ko:K00790	suy:SA2981_2040
ko:K02114	suy:SA2981_2042
ko:K02112	suy:SA2981_2043
ko:K02115	suy:SA2981_2044
ko:K02111	suy:SA2981_2045
ko:K02113	suy:SA2981_2046
ko:K02109	suy:SA2981_2047
ko:K02110	suy:SA2981_2048
ko:K02108	suy:SA2981_2049
ko:K00761	suy:SA2981_2052
ko:K00600	suy:SA2981_2053
ko:K07566	suy:SA2981_2056
ko:K02493	suy:SA2981_2057
ko:K02835	suy:SA2981_2058
ko:K02909	suy:SA2981_2060
ko:K03628	suy:SA2981_2061
ko:K00790	suy:SA2981_2064
ko:K01624	suy:SA2981_2065
ko:K01937	suy:SA2981_2067
ko:K06198	suy:SA2981_0954
ko:K02546	suy:SA2981_0041
ko:K07038	suy:SA2981_1825
ko:K02545	suy:SA2981_0039
ko:K16509	suy:SA2981_0952
ko:K01834	suy:SA2981_2353
ko:K01834	suy:SA2981_0375
ko:K13628	suy:SA2981_0895
ko:K07658	suy:SA2981_1652
ko:K00027	suy:SA2981_1660
ko:K06286	suy:SA2981_1676
ko:K00058	suy:SA2981_1682
ko:K01835	suy:SA2981_2427
ko:K03299	suy:SA2981_2441
ko:K00851	suy:SA2981_2442
ko:K03535	suy:SA2981_2448
ko:K07104	suy:SA2981_2458
ko:K16511	suy:SA2981_0953
ko:K11733	suy:SA2981_1641
ko:K14229	suy:SA2981_tRNA08
ko:K01977	suy:SA2981_rRNA05
ko:K01977	suy:SA2981_rRNA16
ko:K01977	suy:SA2981_rRNA01
ko:K01977	suy:SA2981_rRNA13
ko:K01977	suy:SA2981_rRNA10
ko:K05570	suy:SA2981_0902
ko:K05568	suy:SA2981_0904
ko:K05565	suy:SA2981_0907
ko:K03768	suy:SA2981_0909
ko:K16264	suy:SA2981_0169
ko:K02035	suy:SA2981_0946
ko:K02033	suy:SA2981_0949
ko:K01261	suy:SA2981_1703
ko:K01439	suy:SA2981_1709
ko:K06183	suy:SA2981_1711
ko:K00819	suy:SA2981_0912
ko:K07052	suy:SA2981_1735
ko:K00616	suy:SA2981_1736
ko:K00158	suy:SA2981_2475
ko:K00054	suy:SA2981_2481
ko:K01641	suy:SA2981_2482
ko:K00567	suy:SA2981_2483
ko:K04086	suy:SA2981_2484
ko:K06994	suy:SA2981_2488
ko:K00294	suy:SA2981_2491
ko:K07213	suy:SA2981_2495
ko:K10209	suy:SA2981_2498
ko:K07035	suy:SA2981_2507
ko:K07032	suy:SA2981_2513
ko:K06910	suy:SA2981_0935
ko:K15582	suy:SA2981_0942
ko:K10823	suy:SA2981_0944
ko:K01226	suy:SA2981_0450
ko:K03486	suy:SA2981_0451
ko:K09685	suy:SA2981_0471
ko:K02499	suy:SA2981_0480
ko:K03713	suy:SA2981_1265
ko:K09976	suy:SA2981_1298
ko:K05020	suy:SA2981_1303
ko:K02116	suy:SA2981_2050
ko:K01104	suy:SA2981_2055
ko:K03048	suy:SA2981_2068
ko:K02619	suy:SA2981_0692
ko:K05845	suy:SA2981_0700
ko:K05846	suy:SA2981_0700
ko:K03647	suy:SA2981_0708
ko:K01258	suy:SA2981_0721
ko:K02240	suy:SA2981_0728
ko:K02242	suy:SA2981_0729
ko:K02076	suy:SA2981_1512
ko:K01489	suy:SA2981_1526
ko:K02238	suy:SA2981_1546
ko:K01479	suy:SA2981_2273
ko:K01785	suy:SA2981_2277
ko:K01823	suy:SA2981_2285
ko:K07720	suy:SA2981_0223
ko:K02035	suy:SA2981_0237
ko:K00016	suy:SA2981_0241
ko:K02775	suy:SA2981_0247
ko:K00852	suy:SA2981_0268
ko:K11072	suy:SA2981_1056
ko:K11071	suy:SA2981_1057
ko:K11069	suy:SA2981_1059
ko:K01092	suy:SA2981_1064
ko:K01958	suy:SA2981_1071
ko:K03471	suy:SA2981_1096
ko:K11085	suy:SA2981_1822
ko:K07586	suy:SA2981_1823
ko:K09693	suy:SA2981_1827
ko:K01104	suy:SA2981_1837
ko:K07009	suy:SA2981_1847
ko:K02342	suy:SA2981_1850
ko:K02433	suy:SA2981_1857
ko:K07094	suy:SA2981_1863
ko:K03708	suy:SA2981_0497
ko:K09698	suy:SA2981_0503
ko:K07304	suy:SA2981_1315
ko:K04517	suy:SA2981_1319
ko:K02033	suy:SA2981_1336
ko:K05822	suy:SA2981_1351
ko:K09680	suy:SA2981_2070
ko:K01619	suy:SA2981_2077
ko:K03784	suy:SA2981_2078
ko:K02799	suy:SA2981_2095
ko:K02800	suy:SA2981_2095
ko:K02798	suy:SA2981_2097
ko:K03593	suy:SA2981_2104
ko:K06023	suy:SA2981_0738
ko:K09762	suy:SA2981_0745
ko:K06948	suy:SA2981_1555
ko:K01243	suy:SA2981_1557
ko:K00374	suy:SA2981_2331
ko:K09815	suy:SA2981_2343
ko:K00652	suy:SA2981_2361
ko:K15583	suy:SA2981_0943
ko:K14220	suy:SA2981_tRNA17
ko:K02004	suy:SA2981_0307
ko:K03307	suy:SA2981_0313
ko:K01639	suy:SA2981_0314
ko:K01788	suy:SA2981_0317
ko:K00241	suy:SA2981_1103
ko:K02428	suy:SA2981_1107
ko:K11041	suy:SA2981_1129
ko:K07025	suy:SA2981_1133
ko:K07104	suy:SA2981_1152
ko:K01916	suy:SA2981_1869
ko:K04518	suy:SA2981_1872
ko:K15986	suy:SA2981_1876
ko:K00639	suy:SA2981_0527
ko:K00853	suy:SA2981_0529
ko:K00712	suy:SA2981_0541
ko:K00712	suy:SA2981_0542
ko:K02564	suy:SA2981_0546
ko:K08093	suy:SA2981_0547
ko:K00626	suy:SA2981_0553
ko:K00625	suy:SA2981_0565
ko:K00869	suy:SA2981_0567
ko:K01597	suy:SA2981_0568
ko:K00938	suy:SA2981_0569
ko:K07305	suy:SA2981_1377
ko:K07304	suy:SA2981_1378
ko:K03469	suy:SA2981_1388
ko:K03294	suy:SA2981_1392
ko:K03700	suy:SA2981_1405
ko:K02086	suy:SA2981_1409
ko:K01220	suy:SA2981_2127
ko:K02786	suy:SA2981_2129
ko:K01635	suy:SA2981_2130
ko:K00917	suy:SA2981_2131
ko:K01819	suy:SA2981_2132
ko:K01819	suy:SA2981_2133
ko:K02530	suy:SA2981_2134
ko:K01727	suy:SA2981_2139
ko:K08974	suy:SA2981_0796
ko:K04488	suy:SA2981_0800
ko:K07584	suy:SA2981_1604
ko:K02236	suy:SA2981_1620
ko:K07120	suy:SA2981_1624
ko:K01719	suy:SA2981_1629
ko:K11144	suy:SA2981_1643
ko:K03346	suy:SA2981_1644
ko:K10563	suy:SA2981_1648
ko:K06147	suy:SA2981_2365
ko:K06147	suy:SA2981_2366
ko:K03929	suy:SA2981_2388
ko:K12942	suy:SA2981_2410
ko:K03475	suy:SA2981_0328
ko:K02822	suy:SA2981_0329
ko:K02821	suy:SA2981_0330
ko:K07729	suy:SA2981_0347
ko:K00626	suy:SA2981_0352
ko:K01760	suy:SA2981_0356
ko:K02824	suy:SA2981_1157
ko:K07030	suy:SA2981_1184
ko:K00059	suy:SA2981_1189
ko:K09787	suy:SA2981_1194
ko:K01439	suy:SA2981_1968
ko:K07052	suy:SA2981_1972
ko:K13953	suy:SA2981_0582
ko:K07457	suy:SA2981_0585
ko:K07025	suy:SA2981_0588
ko:K05565	suy:SA2981_0598
ko:K05568	suy:SA2981_0601
ko:K05570	suy:SA2981_0603
ko:K03316	suy:SA2981_0605
ko:K03709	suy:SA2981_0610
ko:K09693	suy:SA2981_0613
ko:K07258	suy:SA2981_0618
ko:K00974	suy:SA2981_1413
ko:K00805	suy:SA2981_1426
ko:K01424	suy:SA2981_1435
ko:K05337	suy:SA2981_1440
ko:K09763	suy:SA2981_1453
ko:K04763	suy:SA2981_1454
ko:K03711	suy:SA2981_1455
ko:K01515	suy:SA2981_1456
ko:K00939	suy:SA2981_2167
ko:K03635	suy:SA2981_2209
ko:K01784	suy:SA2981_0129
ko:K03784	suy:SA2981_0137
ko:K01619	suy:SA2981_0139
ko:K01104	suy:SA2981_0152
ko:K01784	suy:SA2981_0163
ko:K07816	suy:SA2981_0960
ko:K03455	suy:SA2981_0964
ko:K05362	suy:SA2981_0972
ko:K07052	suy:SA2981_0983
ko:K02552	suy:SA2981_0997
ko:K08680	suy:SA2981_0999
ko:K00841	suy:SA2981_1004
ko:K02549	suy:SA2981_1751
ko:K04750	suy:SA2981_2530
ko:K00016	suy:SA2981_2540
ko:K03294	suy:SA2981_2541
ko:K03451	suy:SA2981_2553
ko:K00380	suy:SA2981_2558
ko:K02049	suy:SA2981_0173
ko:K02051	suy:SA2981_0174
ko:K02050	suy:SA2981_0175
ko:K00819	suy:SA2981_0186
ko:K09963	suy:SA2981_0191
ko:K02005	suy:SA2981_0198
ko:K02004	suy:SA2981_0200
ko:K02033	suy:SA2981_0207
ko:K02035	suy:SA2981_0209
ko:K10112	suy:SA2981_0214
ko:K15770	suy:SA2981_0215
ko:K03499	suy:SA2981_1044
ko:K07533	suy:SA2981_1797
ko:K03698	suy:SA2981_1798
ko:K01679	suy:SA2981_1807
ko:K07035	suy:SA2981_1815
ko:K07784	suy:SA2981_0222
ko:K09825	suy:SA2981_1817
ko:K01077	suy:SA2981_2566
ko:K01478	suy:SA2981_2574
ko:K12270	suy:SA2981_2589
ko:K12269	suy:SA2981_2590
ko:K12268	suy:SA2981_2591
ko:K07304	suy:SA2981_2599
ko:K01104	suy:SA2981_2601
ko:K11189	suy:SA2981_1039
ko:K08483	suy:SA2981_1040
ko:K03386	suy:SA2981_0380
ko:K00088	suy:SA2981_0388
ko:K03177	suy:SA2981_1229
ko:K00059	suy:SA2981_1238
ko:K02443	suy:SA2981_1255
ko:K07706	suy:SA2981_1979
ko:K01409	suy:SA2981_1990
ko:K03095	suy:SA2981_2003
ko:K03090	suy:SA2981_2005
ko:K07315	suy:SA2981_2008
ko:K09167	suy:SA2981_2013
ko:K08981	suy:SA2981_2014
ko:K09705	suy:SA2981_0646
ko:K16013	suy:SA2981_0661
ko:K16012	suy:SA2981_0662
ko:K06934	suy:SA2981_0671
ko:K03976	suy:SA2981_0674
ko:K03436	suy:SA2981_0675
ko:K00882	suy:SA2981_0676
ko:K00784	suy:SA2981_1461
ko:K00033	suy:SA2981_1468
ko:K01262	suy:SA2981_1488
ko:K02246	suy:SA2981_1499
ko:K02245	suy:SA2981_1500
ko:K02244	suy:SA2981_1501
ko:K02243	suy:SA2981_1502
ko:K00845	suy:SA2981_1505
ko:K02017	suy:SA2981_2215
ko:K07052	suy:SA2981_2252
ko:K16329	suy:SA2981_0311
ko:K16323	suy:SA2981_0621
ko:K16169	suy:SA2981_0387
ko:K11737	suy:SA2981_2375
ko:K05340	suy:SA2981_2194
ko:K16264	suy:SA2981_2086
ko:K02851	suy:SA2981_0725
ko:K07045	suy:SA2981_2518
ko:K09814	suy:SA2981_2298
ko:K13052	suy:SA2981_0482
ko:K10010	suy:SA2981_2349
ko:K16786	suy:SA2981_2160
ko:K16787	suy:SA2981_2159
ko:K04564	suy:SA2981_0134
ko:K16785	suy:SA2981_2158
ko:K04757	suy:SA2981_2006
ko:K01985	suy:SA2981_rRNA03
ko:K01985	suy:SA2981_rRNA11a
ko:K01985	suy:SA2981_rRNA11
ko:K01985	suy:SA2981_rRNA07
ko:K01985	suy:SA2981_rRNA14
ko:K01985	suy:SA2981_rRNA08
ko:K01985	suy:SA2981_rRNA04
ko:K07705	suy:SA2981_0261
ko:K02032	suy:SA2981_0948
ko:K03429	suy:SA2981_0971
ko:K09813	suy:SA2981_2299
ko:K01401	suy:SA2981_2576
ko:K14198	suy:SA2981_1905
ko:K14204	suy:SA2981_1896
ko:K13733	suy:SA2981_2438
ko:K02547	suy:SA2981_0040
ko:K11039	suy:SA2981_1976
ko:K14200	suy:SA2981_1114
ko:K14201	suy:SA2981_0766
ko:K10208	suy:SA2981_2499
ko:K14195	suy:SA2981_2433
ko:K07800	suy:SA2981_1978
ko:K02755	suy:SA2981_0265
ko:K08259	suy:SA2981_0276
ko:K12553	suy:SA2981_1510
ko:K07683	suy:SA2981_2329
ko:K01239	suy:SA2981_2221
ko:K00128	suy:SA2981_0168
ko:K00128	suy:SA2981_2062
ko:K00128	suy:SA2981_1878
ko:K01906	suy:SA2981_2360
ko:K14230	suy:SA2981_tRNA26
ko:K14230	suy:SA2981_tRNA39
ko:K14229	suy:SA2981_tRNA51
ko:K14229	suy:SA2981_tRNA58
ko:K01980	suy:SA2981_rRNA09
ko:K01980	suy:SA2981_rRNA12
ko:K01980	suy:SA2981_rRNA15
ko:K01980	suy:SA2981_rRNA06
ko:K01980	suy:SA2981_rRNA02
ko:K03483	suy:SA2981_2096
ko:K11631	suy:SA2981_2640
ko:K02803	suy:SA2981_1684
ko:K02804	suy:SA2981_1684
ko:K11042	suy:SA2981_0396
ko:K13715	suy:SA2981_1002
ko:K13732	suy:SA2981_2439
ko:K10210	suy:SA2981_2501
ko:K11695	suy:SA2981_1329
ko:K11693	suy:SA2981_2200
ko:K01271	suy:SA2981_1666
ko:K16785	suy:SA2981_1031
ko:K16786	suy:SA2981_1032
ko:K16787	suy:SA2981_1032
ko:K16785	suy:SA2981_2623
ko:K16786	suy:SA2981_2624
ko:K16787	suy:SA2981_2624
ko:K02768	suy:SA2981_2580
ko:K02769	suy:SA2981_2580
ko:K02770	suy:SA2981_2580
ko:K11632	suy:SA2981_2641
ko:K13714	suy:SA2981_1007
ko:K04478	suy:SA2981_1830
ko:K00980	suy:SA2981_0617
ko:K16869	suy:SA2981_0566
ko:K11991	suy:SA2981_0535
ko:K17716	suy:SA2981_0154
ko:K10851	suy:SA2981_2330
ko:K00108	suy:SA2981_2550
ko:K16916	suy:SA2981_2463
ko:K16917	suy:SA2981_2462
ko:K16925	suy:SA2981_1033
ko:K14202	suy:SA2981_1902
ko:K14196	suy:SA2981_0112
ko:K14203	suy:SA2981_1112
ko:K16924	suy:SA2981_2625
ko:K14192	suy:SA2981_2569
ko:K14193	suy:SA2981_1086
ko:K14197	suy:SA2981_2355
ko:K08258	suy:SA2981_1866
ko:K10211	suy:SA2981_2500
ko:K10850	suy:SA2981_2325
ko:K11694	suy:SA2981_1328
ko:K12552	suy:SA2981_1139
ko:K07681	suy:SA2981_1841
ko:K07694	suy:SA2981_1840
ko:K02352	suy:SA2981_2628
ko:K12551	suy:SA2981_1688
ko:K02303	suy:SA2981_2335
ko:K16937	suy:SA2981_0684
ko:K16898	suy:SA2981_0922
ko:K16899	suy:SA2981_0921
ko:K14224	suy:SA2981_tRNA01
ko:K14224	suy:SA2981_tRNA20
ko:K14224	suy:SA2981_tRNA62
ko:K14221	suy:SA2981_tRNA02
ko:K14221	suy:SA2981_tRNA25
ko:K14221	suy:SA2981_tRNA41
ko:K14221	suy:SA2981_tRNA38
ko:K14233	suy:SA2981_tRNA03
ko:K14233	suy:SA2981_tRNA42
ko:K14233	suy:SA2981_tRNA40
ko:K14233	suy:SA2981_tRNA16
ko:K14237	suy:SA2981_tRNA06
ko:K14237	suy:SA2981_tRNA61
ko:K14237	suy:SA2981_tRNA53
ko:K14225	suy:SA2981_tRNA22
ko:K14225	suy:SA2981_tRNA56
ko:K14225	suy:SA2981_tRNA09
ko:K14225	suy:SA2981_tRNA49
ko:K14228	suy:SA2981_tRNA10
ko:K14228	suy:SA2981_tRNA48
ko:K14228	suy:SA2981_tRNA27
ko:K14228	suy:SA2981_tRNA50
ko:K14228	suy:SA2981_tRNA57
ko:K14219	suy:SA2981_tRNA11
ko:K14219	suy:SA2981_tRNA47
ko:K14219	suy:SA2981_tRNA15
ko:K14219	suy:SA2981_tRNA18
ko:K14218	suy:SA2981_tRNA05
ko:K14218	suy:SA2981_tRNA54
ko:K14218	suy:SA2981_tRNA45
ko:K14218	suy:SA2981_tRNA13
ko:K14227	suy:SA2981_tRNA04
ko:K14227	suy:SA2981_tRNA14
ko:K14227	suy:SA2981_tRNA55
ko:K14220	suy:SA2981_tRNA63
ko:K14220	suy:SA2981_tRNA21
ko:K14226	suy:SA2981_tRNA23
ko:K14226	suy:SA2981_tRNA33
ko:K14231	suy:SA2981_tRNA24
ko:K14231	suy:SA2981_tRNA37
ko:K14230	suy:SA2981_tRNA44
ko:K14225	suy:SA2981_tRNA30
ko:K14225	suy:SA2981_tRNA28
ko:K14223	suy:SA2981_tRNA32
ko:K14223	suy:SA2981_tRNA59
ko:K11070	suy:SA2981_1058
ko:K15035	suy:SA2981_tmRNA01
ko:K02029	suy:SA2981_1814
ko:K02030	suy:SA2981_1814
ko:K01992	suy:SA2981_2279
ko:K07483	suy:SA2981_0392
ko:K07284	suy:SA2981_2464
ko:K10947	suy:SA2981_2632
ko:K01990	suy:SA2981_0277
ko:K01990	suy:SA2981_2450
ko:K14233	suy:SA2981_tRNA19
ko:K01990	suy:SA2981_2280
ko:K01990	suy:SA2981_0349
ko:K01990	suy:SA2981_1793
ko:K01990	suy:SA2981_1891
ko:K01990	suy:SA2981_0204
ko:K01664	suy:SA2981_0690
ko:K01992	suy:SA2981_0278
ko:K01992	suy:SA2981_0279
ko:K01992	suy:SA2981_1792
ko:K01992	suy:SA2981_1888
ko:K02028	suy:SA2981_1813
ko:K17217	suy:SA2981_0436
ko:K17216	suy:SA2981_0435
ko:K03574	suy:SA2981_2426
ko:K17218	suy:SA2981_0088
ko:K00265	suy:SA2981_0447
ko:K00951	suy:SA2981_1592
ko:K01897	suy:SA2981_0234
ko:K01992	suy:SA2981_1275
ko:K01990	suy:SA2981_1274
ko:K01990	suy:SA2981_1889
ko:K17472	suy:SA2981_1584
ko:K02313	suy:SA2981_0001
ko:K02338	suy:SA2981_0002
ko:K17686	suy:SA2981_2494
ko:K01739	suy:SA2981_0357
ko:K00226	suy:SA2981_2527
ko:K06518	suy:SA2981_2477
ko:K01791	suy:SA2981_0156
ko:K01791	suy:SA2981_0165
ko:K11928	suy:SA2981_1859
ko:K01658	suy:SA2981_1322
ko:K12574	suy:SA2981_1046
ko:K12574	suy:SA2981_1233
ko:K03629	suy:SA2981_0004
ko:K02470	suy:SA2981_0005
ko:K02469	suy:SA2981_0006
ko:K01745	suy:SA2981_0008
ko:K01875	suy:SA2981_0009
ko:K00641	suy:SA2981_0012
ko:K02939	suy:SA2981_0015
ko:K01939	suy:SA2981_0017
ko:K07668	suy:SA2981_0018
ko:K07652	suy:SA2981_0019
ko:K00783	suy:SA2981_0024
ko:K01126	suy:SA2981_0037
ko:K07090	suy:SA2981_0048
ko:K04763	suy:SA2981_0056
ko:K07667	suy:SA2981_0070
ko:K07646	suy:SA2981_0071
ko:K01546	suy:SA2981_0072
ko:K01547	suy:SA2981_0073
ko:K01548	suy:SA2981_0074
ko:K07979	suy:SA2981_1892
ko:K10212	suy:SA2981_2502
ko:K01791	suy:SA2981_2051
ko:K01771	suy:SA2981_0095
ko:K08170	suy:SA2981_0103
ko:K03324	suy:SA2981_0104
ko:K10254	suy:SA2981_0106
ko:K03303	suy:SA2981_0111
ko:K02015	suy:SA2981_0114
ko:K02015	suy:SA2981_0115
ko:K02016	suy:SA2981_0116
ko:K07090	suy:SA2981_0084
ko:K01187	suy:SA2981_1464
ko:K19080	suy:SA2981_0638
ko:K00561	suy:SA2981_0052
ko:K18104	suy:SA2981_0619
ko:K02479	suy:SA2981_1804
ko:K08168	suy:SA2981_0138
ko:K02483	suy:SA2981_2300
ko:K03293	suy:SA2981_1288
ko:K02031	suy:SA2981_0206
ko:K02032	suy:SA2981_0206
ko:K02809	suy:SA2981_0193
ko:K02810	suy:SA2981_0193
ko:K02809	suy:SA2981_2316
ko:K02810	suy:SA2981_2316
ko:K03366	suy:SA2981_0127
ko:K17882	suy:SA2981_0035
ko:K00008	suy:SA2981_0250
ko:K07145	suy:SA2981_1092
ko:K22580	suy:SA2981_1011
ko:K00632	suy:SA2981_0231
ko:K01046	suy:SA2981_0319
ko:K01046	suy:SA2981_2610
ko:K21461	suy:SA2981_2606
ko:K21462	suy:SA2981_2608
ko:K21463	suy:SA2981_2295
ko:K00008	suy:SA2981_0248
ko:K05352	suy:SA2981_0256
ko:K08255	suy:SA2981_0925
ko:K00681	suy:SA2981_0210
ko:K04749	suy:SA2981_2007
ko:K18707	suy:SA2981_1534
ko:K05592	suy:SA2981_2022
ko:K18672	suy:SA2981_2102
ko:K18704	suy:SA2981_0253
ko:K18682	suy:SA2981_1244
ko:K18692	suy:SA2981_1516
ko:K18907	suy:SA2981_0108
ko:K18906	suy:SA2981_0663
ko:K09692	suy:SA2981_1826
ko:K07723	suy:SA2981_2010
ko:K18909	suy:SA2981_0332
ko:K18941	suy:SA2981_1369
ko:K18908	suy:SA2981_0333
ko:K07171	suy:SA2981_2009
ko:K04940	suy:SA2981_2240
ko:K03502	suy:SA2981_1318
ko:K11040	suy:SA2981_1560
ko:K11040	suy:SA2981_1780
ko:K11040	suy:SA2981_1781
ko:K11040	suy:SA2981_1782
ko:K11040	suy:SA2981_1783
ko:K11040	suy:SA2981_1784
ko:K11040	suy:SA2981_1785
ko:K11040	suy:SA2981_1786
ko:K11040	suy:SA2981_1909
ko:K03111	suy:SA2981_1944
ko:K03111	suy:SA2981_2037
ko:K03169	suy:SA2981_2192
ko:K03497	suy:SA2981_2648
ko:K03497	suy:SA2981_0358
ko:K03111	suy:SA2981_0364
ko:K03111	suy:SA2981_0818
ko:K03892	suy:SA2981_1728
ko:K07029	suy:SA2981_1854
ko:K02315	suy:SA2981_0823
ko:K03498	suy:SA2981_1969
ko:K09145	suy:SA2981_0648
ko:K18979	suy:SA2981_1812
ko:K00949	suy:SA2981_1181
ko:K01318	suy:SA2981_1764
ko:K01318	suy:SA2981_1003
ko:K07498	suy:SA2981_0027
ko:K07498	suy:SA2981_0036
ko:K07816	suy:SA2981_2445
ko:K19005	suy:SA2981_0696
ko:K19078	suy:SA2981_0635
ko:K03293	suy:SA2981_2255
ko:K19159	suy:SA2981_2345
ko:K19077	suy:SA2981_0636
ko:K01174	suy:SA2981_1279
ko:K07741	suy:SA2981_1955
ko:K19158	suy:SA2981_2344
ko:K19225	suy:SA2981_1507
ko:K02777	suy:SA2981_1376
ko:K19068	suy:SA2981_0155
ko:K19081	suy:SA2981_2563
ko:K19082	suy:SA2981_2564
ko:K19083	suy:SA2981_2562
ko:K19084	suy:SA2981_2561
ko:K02031	suy:SA2981_0947
ko:K14195	suy:SA2981_2432
ko:K02032	suy:SA2981_1333
ko:K07485	suy:SA2981_0606
ko:K03722	suy:SA2981_1411
ko:K01992	suy:SA2981_2451
ko:K07485	suy:SA2981_0881
ko:K19411	suy:SA2981_0498
ko:K07485	suy:SA2981_1118
ko:K07485	suy:SA2981_1816
ko:K07485	suy:SA2981_2021
ko:K07485	suy:SA2981_2437
ko:K02031	suy:SA2981_1334
ko:K19302	suy:SA2981_1371
ko:K19405	suy:SA2981_0499
ko:K03574	suy:SA2981_1749
ko:K19279	suy:SA2981_0053
ko:K19576	suy:SA2981_0672
ko:K06881	suy:SA2981_1662
ko:K00561	suy:SA2981_1614
ko:K21721	suy:SA2981_0118
ko:K07487	suy:SA2981_1153
ko:K07487	suy:SA2981_1344
ko:K07487	suy:SA2981_1881
ko:K00887	suy:SA2981_1527
ko:K19689	suy:SA2981_1835
ko:K01258	suy:SA2981_1469
ko:K07119	suy:SA2981_2125
ko:K00547	suy:SA2981_0355
ko:K00297	suy:SA2981_0355
ko:K02538	suy:SA2981_2579
ko:K21636	suy:SA2981_2555
ko:K19975	suy:SA2981_0607
ko:K19976	suy:SA2981_0608
ko:K19973	suy:SA2981_0609
ko:K20074	suy:SA2981_1177
ko:K12132	suy:SA2981_1178
ko:K20116	suy:SA2981_0190
ko:K20117	suy:SA2981_0190
ko:K20118	suy:SA2981_0190
