ko:K14237	hpyr:K747_08975
ko:K00254	hpyr:K747_10885
ko:K06148	hpyr:K747_04990
ko:K05922	hpyr:K747_07245
ko:K05927	hpyr:K747_07235
ko:K05366	hpyr:K747_07065
ko:K11784	hpyr:K747_07380
ko:K03761	hpyr:K747_10460
ko:K18284	hpyr:K747_09260
ko:K18285	hpyr:K747_07365
ko:K18480	hpyr:K747_03875
ko:K00681	hpyr:K747_05445
ko:K12053	hpyr:K747_09080
ko:K07316	hpyr:K747_04185
ko:K02847	hpyr:K747_10750
ko:K03196	hpyr:K747_06685
ko:K18930	hpyr:K747_04915
ko:K03497	hpyr:K747_05345
ko:K03496	hpyr:K747_05340
ko:K03111	hpyr:K747_04800
ko:K02483	hpyr:K747_09485
ko:K03526	hpyr:K747_07210
ko:K00571	hpyr:K747_09245
ko:K03296	hpyr:K747_07120
ko:K00336	hpyr:K747_04685
ko:K07448	hpyr:K747_10520
ko:K19157	hpyr:K747_06445
ko:K00571	hpyr:K747_04305
ko:K00571	hpyr:K747_08850
ko:K00571	hpyr:K747_10000
ko:K00020	hpyr:K747_07290
ko:K07317	hpyr:K747_06370
ko:K01992	hpyr:K747_03755
ko:K19302	hpyr:K747_11170
ko:K19416	hpyr:K747_06325
ko:K12052	hpyr:K747_04255
ko:K15633	hpyr:K747_12985
ko:K01775	hpyr:K747_13000
ko:K02424	hpyr:K747_13005
ko:K01972	hpyr:K747_13150
ko:K07456	hpyr:K747_13155
ko:K03605	hpyr:K747_13165
ko:K08309	hpyr:K747_13185
ko:K02434	hpyr:K747_13195
ko:K03469	hpyr:K747_13200
ko:K11473	hpyr:K747_13210
ko:K03703	hpyr:K747_12060
ko:K02519	hpyr:K747_12185
ko:K00872	hpyr:K747_12190
ko:K17686	hpyr:K747_12210
ko:K11753	hpyr:K747_12220
ko:K03596	hpyr:K747_12230
ko:K01662	hpyr:K747_12235
ko:K02410	hpyr:K747_12240
ko:K02409	hpyr:K747_12245
ko:K00384	hpyr:K747_12065
ko:K00788	hpyr:K747_12085
ko:K02390	hpyr:K747_12105
ko:K03781	hpyr:K747_12110
ko:K03455	hpyr:K747_12145
ko:K01153	hpyr:K747_12150
ko:K01154	hpyr:K747_12155
ko:K04771	hpyr:K747_12165
ko:K02416	hpyr:K747_12170
ko:K00950	hpyr:K747_12175
ko:K03342	hpyr:K747_12275
ko:K00773	hpyr:K747_12285
ko:K11749	hpyr:K747_12290
ko:K13896	hpyr:K747_12300
ko:K03837	hpyr:K747_12385
ko:K01752	hpyr:K747_12390
ko:K01733	hpyr:K747_12405
ko:K03406	hpyr:K747_12410
ko:K00981	hpyr:K747_12325
ko:K03406	hpyr:K747_12435
ko:K03588	hpyr:K747_12535
ko:K03820	hpyr:K747_12350
ko:K02484	hpyr:K747_12365
ko:K11785	hpyr:K747_12375
ko:K00406	hpyr:K747_12380
ko:K03797	hpyr:K747_12480
ko:K00677	hpyr:K747_12510
ko:K04077	hpyr:K747_12520
ko:K03723	hpyr:K747_12545
ko:K01869	hpyr:K747_12555
ko:K03072	hpyr:K747_12560
ko:K03313	hpyr:K747_12565
ko:K02357	hpyr:K747_12575
ko:K01153	hpyr:K747_12615
ko:K02313	hpyr:K747_12620
ko:K07316	hpyr:K747_12625
ko:K07316	hpyr:K747_12630
ko:K01156	hpyr:K747_12635
ko:K03312	hpyr:K747_12640
ko:K02897	hpyr:K747_12655
ko:K01928	hpyr:K747_12660
ko:K00826	hpyr:K747_12680
ko:K03650	hpyr:K747_12685
ko:K04773	hpyr:K747_12700
ko:K01433	hpyr:K747_12705
ko:K06941	hpyr:K747_12715
ko:K00791	hpyr:K747_12720
ko:K01156	hpyr:K747_12740
ko:K00031	hpyr:K747_12750
ko:K03694	hpyr:K747_12755
ko:K02377	hpyr:K747_12760
ko:K03183	hpyr:K747_12670
ko:K03701	hpyr:K747_13230
ko:K02919	hpyr:K747_12775
ko:K00949	hpyr:K747_12780
ko:K00335	hpyr:K747_12785
ko:K02169	hpyr:K747_12790
ko:K03439	hpyr:K747_13285
ko:K03752	hpyr:K747_13305
ko:K13894	hpyr:K747_12800
ko:K00014	hpyr:K747_12805
ko:K00806	hpyr:K747_12815
ko:K03070	hpyr:K747_13315
ko:K08159	hpyr:K747_12825
ko:K02029	hpyr:K747_12835
ko:K01810	hpyr:K747_12845
ko:K06176	hpyr:K747_13015
ko:K02014	hpyr:K747_13020
ko:K02389	hpyr:K747_13035
ko:K03980	hpyr:K747_13055
ko:K15846	hpyr:K747_13060
ko:K01534	hpyr:K747_12020
ko:K07391	hpyr:K747_12025
ko:K03641	hpyr:K747_12865
ko:K01690	hpyr:K747_12875
ko:K07091	hpyr:K747_12880
ko:K16091	hpyr:K747_12050
ko:K07043	hpyr:K747_12045
ko:K07107	hpyr:K747_13065
ko:K00104	hpyr:K747_13070
ko:K03595	hpyr:K747_13075
ko:K12090	hpyr:K747_13080
ko:K12092	hpyr:K747_13085
ko:K12093	hpyr:K747_13090
ko:K12094	hpyr:K747_13095
ko:K12102	hpyr:K747_13110
ko:K03218	hpyr:K747_13115
ko:K09761	hpyr:K747_12895
ko:K01772	hpyr:K747_12900
ko:K00262	hpyr:K747_12910
ko:K04066	hpyr:K747_12915
ko:K03182	hpyr:K747_12920
ko:K00800	hpyr:K747_12925
ko:K01889	hpyr:K747_12930
ko:K01772	hpyr:K747_12955
ko:K15257	hpyr:K747_12960
ko:K14224	hpyr:K747_08555
ko:K14221	hpyr:K747_08545
ko:K14237	hpyr:K747_08550
ko:K01934	hpyr:K747_08015
ko:K20151	hpyr:K747_07345
ko:K20810	hpyr:K747_10020
ko:K20151	hpyr:K747_05675
ko:K14229	hpyr:K747_08560
ko:K14233	hpyr:K747_10600
ko:K00525	hpyr:K747_07490
ko:K01978	hpyr:K747_13320
ko:K14218	hpyr:K747_09940
ko:K14219	hpyr:K747_10325
ko:K14224	hpyr:K747_08540
ko:K01977	hpyr:K747_11820
ko:K01977	hpyr:K747_11930
ko:K07100	hpyr:K747_04945
ko:K14233	hpyr:K747_09250
ko:K02335	hpyr:K747_03835
ko:K02335	hpyr:K747_10835
ko:K01520	hpyr:K747_11110
ko:K00558	hpyr:K747_12120
ko:K06223	hpyr:K747_10995
ko:K00558	hpyr:K747_08855
ko:K03553	hpyr:K747_12370
ko:K02314	hpyr:K747_08740
ko:K02316	hpyr:K747_12515
ko:K12089	hpyr:K747_06675
ko:K12106	hpyr:K747_06780
ko:K00558	hpyr:K747_05430
ko:K03465	hpyr:K747_03525
ko:K06223	hpyr:K747_12650
ko:K02483	hpyr:K747_08725
ko:K00526	hpyr:K747_05595
ko:K02481	hpyr:K747_07610
ko:K01139	hpyr:K747_13310
ko:K07097	hpyr:K747_10735
ko:K02483	hpyr:K747_10730
ko:K10026	hpyr:K747_13010
ko:K21929	hpyr:K747_07340
ko:K22278	hpyr:K747_10225
ko:K14441	hpyr:K747_07865
ko:K22391	hpyr:K747_06120
ko:K17758	hpyr:K747_08735
ko:K17759	hpyr:K747_08735
ko:K00571	hpyr:K747_12490
ko:K01007	hpyr:K747_09125
