ko:K03741	fpy:FPG101_05950
ko:K02536	fpy:FPG101_06780
ko:K02356	fpy:FPG101_06785
ko:K00677	fpy:FPG101_06790
ko:K16363	fpy:FPG101_06795
ko:K02536	fpy:FPG101_06800
ko:K06885	fpy:FPG101_06805
ko:K00979	fpy:FPG101_06815
ko:K02886	fpy:FPG101_11265
ko:K02892	fpy:FPG101_11270
ko:K02926	fpy:FPG101_11275
ko:K02906	fpy:FPG101_11280
ko:K02946	fpy:FPG101_11285
ko:K06147	fpy:FPG101_04475
ko:K00554	fpy:FPG101_04495
ko:K02884	fpy:FPG101_04500
ko:K00031	fpy:FPG101_04510
ko:K03437	fpy:FPG101_04540
ko:K00951	fpy:FPG101_04545
ko:K00783	fpy:FPG101_04575
ko:K13771	fpy:FPG101_04585
ko:K05916	fpy:FPG101_04590
ko:K00767	fpy:FPG101_04595
ko:K07058	fpy:FPG101_04600
ko:K04066	fpy:FPG101_04610
ko:K02990	fpy:FPG101_04620
ko:K02963	fpy:FPG101_04625
ko:K02939	fpy:FPG101_04630
ko:K01972	fpy:FPG101_04640
ko:K00209	fpy:FPG101_04660
ko:K03631	fpy:FPG101_04665
ko:K13038	fpy:FPG101_04675
ko:K05807	fpy:FPG101_04685
ko:K01714	fpy:FPG101_04690
ko:K01081	fpy:FPG101_04705
ko:K00859	fpy:FPG101_04735
ko:K07636	fpy:FPG101_04740
ko:K00254	fpy:FPG101_04780
ko:K01661	fpy:FPG101_09250
ko:K00243	fpy:FPG101_09255
ko:K06207	fpy:FPG101_09260
ko:K02968	fpy:FPG101_09295
ko:K01881	fpy:FPG101_09310
ko:K14441	fpy:FPG101_09325
ko:K07636	fpy:FPG101_09335
ko:K00940	fpy:FPG101_09355
ko:K00432	fpy:FPG101_09400
ko:K03270	fpy:FPG101_09415
ko:K03179	fpy:FPG101_09420
ko:K06287	fpy:FPG101_09425
ko:K06173	fpy:FPG101_09430
ko:K00796	fpy:FPG101_09440
ko:K01803	fpy:FPG101_09460
ko:K03110	fpy:FPG101_09465
ko:K02913	fpy:FPG101_09475
ko:K02902	fpy:FPG101_09480
ko:K03742	fpy:FPG101_09485
ko:K02342	fpy:FPG101_09505
ko:K04762	fpy:FPG101_09515
ko:K02825	fpy:FPG101_09525
ko:K00891	fpy:FPG101_09530
ko:K02355	fpy:FPG101_11290
ko:K02992	fpy:FPG101_11295
ko:K02950	fpy:FPG101_11300
ko:K03218	fpy:FPG101_11320
ko:K07478	fpy:FPG101_11330
ko:K07025	fpy:FPG101_11340
ko:K03630	fpy:FPG101_11345
ko:K02558	fpy:FPG101_11350
ko:K03979	fpy:FPG101_11370
ko:K03699	fpy:FPG101_11380
ko:K00939	fpy:FPG101_11385
ko:K00760	fpy:FPG101_11390
ko:K01589	fpy:FPG101_11400
ko:K01588	fpy:FPG101_11405
ko:K01284	fpy:FPG101_11410
ko:K00281	fpy:FPG101_11445
ko:K06886	fpy:FPG101_11450
ko:K00648	fpy:FPG101_11455
ko:K02066	fpy:FPG101_11475
ko:K02065	fpy:FPG101_11480
ko:K00971	fpy:FPG101_11490
ko:K00627	fpy:FPG101_11505
ko:K00161	fpy:FPG101_11510
ko:K01489	fpy:FPG101_11515
ko:K01929	fpy:FPG101_11535
ko:K02038	fpy:FPG101_02000
ko:K02036	fpy:FPG101_02005
ko:K02039	fpy:FPG101_02010
ko:K03439	fpy:FPG101_02025
ko:K07443	fpy:FPG101_02035
ko:K00184	fpy:FPG101_02050
ko:K00185	fpy:FPG101_02055
ko:K02275	fpy:FPG101_02075
ko:K02274	fpy:FPG101_02080
ko:K09946	fpy:FPG101_02105
ko:K03555	fpy:FPG101_02165
ko:K04773	fpy:FPG101_02185
ko:K01448	fpy:FPG101_02200
ko:K02527	fpy:FPG101_02210
ko:K01784	fpy:FPG101_02220
ko:K00645	fpy:FPG101_02230
ko:K08289	fpy:FPG101_02245
ko:K00812	fpy:FPG101_02250
ko:K00508	fpy:FPG101_02255
ko:K03501	fpy:FPG101_02260
ko:K00294	fpy:FPG101_02265
ko:K06195	fpy:FPG101_02300
ko:K10254	fpy:FPG101_06880
ko:K00074	fpy:FPG101_06885
ko:K10254	fpy:FPG101_06890
ko:K03306	fpy:FPG101_06900
ko:K07220	fpy:FPG101_06905
ko:K06910	fpy:FPG101_06930
ko:K01256	fpy:FPG101_06940
ko:K03655	fpy:FPG101_06950
ko:K01669	fpy:FPG101_06970
ko:K08303	fpy:FPG101_07040
ko:K11381	fpy:FPG101_07045
ko:K03113	fpy:FPG101_07060
ko:K00757	fpy:FPG101_07065
ko:K03648	fpy:FPG101_07095
ko:K07456	fpy:FPG101_07100
ko:K01890	fpy:FPG101_07110
ko:K06937	fpy:FPG101_07125
ko:K09808	fpy:FPG101_11575
ko:K06940	fpy:FPG101_11585
ko:K02040	fpy:FPG101_11640
ko:K03832	fpy:FPG101_11650
ko:K03561	fpy:FPG101_11665
ko:K06915	fpy:FPG101_11670
ko:K00486	fpy:FPG101_11675
ko:K01434	fpy:FPG101_11680
ko:K01480	fpy:FPG101_11685
ko:K01556	fpy:FPG101_11690
ko:K02899	fpy:FPG101_11705
ko:K02888	fpy:FPG101_11710
ko:K00343	fpy:FPG101_11720
ko:K00342	fpy:FPG101_11725
ko:K00341	fpy:FPG101_11730
ko:K00340	fpy:FPG101_11735
ko:K00339	fpy:FPG101_11740
ko:K00338	fpy:FPG101_11745
ko:K00337	fpy:FPG101_11750
ko:K00334	fpy:FPG101_11770
ko:K00333	fpy:FPG101_11775
ko:K00332	fpy:FPG101_11780
ko:K00331	fpy:FPG101_11785
ko:K00330	fpy:FPG101_11790
ko:K06894	fpy:FPG101_11800
ko:K05367	fpy:FPG101_11805
ko:K00452	fpy:FPG101_11810
ko:K03596	fpy:FPG101_11845
ko:K03565	fpy:FPG101_11850
ko:K01265	fpy:FPG101_02315
ko:K01534	fpy:FPG101_02350
ko:K03154	fpy:FPG101_02355
ko:K03147	fpy:FPG101_02360
ko:K00788	fpy:FPG101_02365
ko:K00941	fpy:FPG101_02370
ko:K00788	fpy:FPG101_02375
ko:K03149	fpy:FPG101_02380
ko:K03150	fpy:FPG101_02385
ko:K09903	fpy:FPG101_02395
ko:K02838	fpy:FPG101_02400
ko:K01754	fpy:FPG101_02445
ko:K00053	fpy:FPG101_02450
ko:K01653	fpy:FPG101_02455
ko:K01652	fpy:FPG101_02460
ko:K01687	fpy:FPG101_02465
ko:K00826	fpy:FPG101_02470
ko:K02357	fpy:FPG101_02485
ko:K02967	fpy:FPG101_02490
ko:K02996	fpy:FPG101_02495
ko:K02871	fpy:FPG101_02500
ko:K05595	fpy:FPG101_02525
ko:K03797	fpy:FPG101_02540
ko:K09748	fpy:FPG101_02565
ko:K02600	fpy:FPG101_02570
ko:K02519	fpy:FPG101_02575
ko:K00616	fpy:FPG101_07145
ko:K02340	fpy:FPG101_07175
ko:K01486	fpy:FPG101_07205
ko:K07056	fpy:FPG101_07215
ko:K01775	fpy:FPG101_07230
ko:K03282	fpy:FPG101_07235
ko:K06925	fpy:FPG101_07245
ko:K00259	fpy:FPG101_07250
ko:K01868	fpy:FPG101_07340
ko:K02520	fpy:FPG101_07345
ko:K02916	fpy:FPG101_07350
ko:K02887	fpy:FPG101_07355
ko:K00128	fpy:FPG101_07375
ko:K06180	fpy:FPG101_07380
ko:K00606	fpy:FPG101_07390
ko:K01752	fpy:FPG101_07400
ko:K15727	fpy:FPG101_07415
ko:K15726	fpy:FPG101_07420
ko:K07462	fpy:FPG101_07440
ko:K09747	fpy:FPG101_07445
ko:K01620	fpy:FPG101_07450
ko:K00655	fpy:FPG101_11865
ko:K01867	fpy:FPG101_11870
ko:K01737	fpy:FPG101_11875
ko:K03092	fpy:FPG101_11880
ko:K01893	fpy:FPG101_11885
ko:K07003	fpy:FPG101_11890
ko:K01912	fpy:FPG101_11900
ko:K02372	fpy:FPG101_11930
ko:K02078	fpy:FPG101_11970
ko:K00647	fpy:FPG101_11980
ko:K07107	fpy:FPG101_11985
ko:K01992	fpy:FPG101_11990
ko:K00648	fpy:FPG101_12030
ko:K02078	fpy:FPG101_12050
ko:K00647	fpy:FPG101_12055
ko:K00059	fpy:FPG101_12060
ko:K01745	fpy:FPG101_12070
ko:K03424	fpy:FPG101_12080
ko:K01424	fpy:FPG101_12090
ko:K02836	fpy:FPG101_07455
ko:K01697	fpy:FPG101_07465
ko:K01354	fpy:FPG101_07470
ko:K03657	fpy:FPG101_07480
ko:K04043	fpy:FPG101_07505
ko:K09807	fpy:FPG101_07520
ko:K02517	fpy:FPG101_07530
ko:K01840	fpy:FPG101_07565
ko:K02014	fpy:FPG101_07580
ko:K03701	fpy:FPG101_07590
ko:K06966	fpy:FPG101_07610
ko:K03718	fpy:FPG101_07620
ko:K13653	fpy:FPG101_07645
ko:K01745	fpy:FPG101_07650
ko:K00605	fpy:FPG101_07660
ko:K00626	fpy:FPG101_07695
ko:K01736	fpy:FPG101_07720
ko:K02666	fpy:FPG101_12135
ko:K02652	fpy:FPG101_12140
ko:K02655	fpy:FPG101_12150
ko:K06142	fpy:FPG101_12155
ko:K02653	fpy:FPG101_12230
ko:K00128	fpy:FPG101_12275
ko:K00946	fpy:FPG101_12285
ko:K00833	fpy:FPG101_12295
ko:K01935	fpy:FPG101_12300
ko:K00748	fpy:FPG101_12305
ko:K03787	fpy:FPG101_12315
ko:K03797	fpy:FPG101_12320
ko:K02238	fpy:FPG101_12325
ko:K03305	fpy:FPG101_12340
ko:K03305	fpy:FPG101_12345
ko:K01278	fpy:FPG101_12350
ko:K00054	fpy:FPG101_12365
ko:K03797	fpy:FPG101_12390
ko:K01759	fpy:FPG101_12395
ko:K03814	fpy:FPG101_12400
ko:K00684	fpy:FPG101_12425
ko:K18707	fpy:FPG101_10230
ko:K01977	fpy:FPG101_02590
ko:K01977	fpy:FPG101_07330
ko:K01977	fpy:FPG101_11565
ko:K01977	fpy:FPG101_09285
ko:K01977	fpy:FPG101_06370
ko:K01977	fpy:FPG101_09935
ko:K01978	fpy:FPG101_13125
ko:K01985	fpy:FPG101_02610
ko:K01985	fpy:FPG101_09265
ko:K01985	fpy:FPG101_06390
ko:K01985	fpy:FPG101_09915
ko:K01985	fpy:FPG101_07310
ko:K01985	fpy:FPG101_11545
ko:K14219	fpy:FPG101_03560
ko:K14230	fpy:FPG101_03825
ko:K03790	fpy:FPG101_04430
ko:K03790	fpy:FPG101_00260
ko:K14220	fpy:FPG101_00465
ko:K14228	fpy:FPG101_00855
ko:K14228	fpy:FPG101_00895
ko:K14230	fpy:FPG101_01335
ko:K14221	fpy:FPG101_01450
ko:K14223	fpy:FPG101_01660
ko:K14228	fpy:FPG101_02155
ko:K14225	fpy:FPG101_02160
ko:K14227	fpy:FPG101_02595
ko:K14227	fpy:FPG101_06375
ko:K14227	fpy:FPG101_09280
ko:K14227	fpy:FPG101_07325
ko:K14227	fpy:FPG101_09930
ko:K14227	fpy:FPG101_11560
ko:K14218	fpy:FPG101_02600
ko:K14218	fpy:FPG101_09275
ko:K14218	fpy:FPG101_06380
ko:K14218	fpy:FPG101_07320
ko:K14218	fpy:FPG101_11555
ko:K14218	fpy:FPG101_09925
ko:K14225	fpy:FPG101_03135
ko:K18831	fpy:FPG101_10715
ko:K07316	fpy:FPG101_02695
ko:K14230	fpy:FPG101_04035
ko:K14230	fpy:FPG101_04040
ko:K14234	fpy:FPG101_04980
ko:K14234	fpy:FPG101_10510
ko:K14233	fpy:FPG101_06000
ko:K14219	fpy:FPG101_08085
ko:K14226	fpy:FPG101_08290
ko:K14224	fpy:FPG101_09300
ko:K14224	fpy:FPG101_09305
ko:K14229	fpy:FPG101_09535
ko:K14229	fpy:FPG101_09540
ko:K14228	fpy:FPG101_09545
ko:K14235	fpy:FPG101_10490
ko:K14234	fpy:FPG101_10500
ko:K14236	fpy:FPG101_10505
ko:K14233	fpy:FPG101_12095
ko:K14218	fpy:FPG101_12675
ko:K14231	fpy:FPG101_12850
ko:K14222	fpy:FPG101_00020
ko:K01980	fpy:FPG101_07315
ko:K01980	fpy:FPG101_09270
ko:K01980	fpy:FPG101_11550
ko:K01980	fpy:FPG101_02605
ko:K01980	fpy:FPG101_06385
ko:K01980	fpy:FPG101_09920
ko:K03790	fpy:FPG101_09145
ko:K03646	fpy:FPG101_01690
ko:K03502	fpy:FPG101_02135
ko:K03503	fpy:FPG101_02140
ko:K08151	fpy:FPG101_12725
ko:K04565	fpy:FPG101_05240
ko:K03111	fpy:FPG101_00480
ko:K03111	fpy:FPG101_05610
ko:K03497	fpy:FPG101_10210
ko:K03496	fpy:FPG101_10215
ko:K00335	fpy:FPG101_11765
ko:K14742	fpy:FPG101_03275
ko:K18979	fpy:FPG101_03175
ko:K07483	fpy:FPG101_03070
ko:K11991	fpy:FPG101_01555
ko:K19166	fpy:FPG101_10710
ko:K19159	fpy:FPG101_12900
ko:K19158	fpy:FPG101_12895
ko:K07319	fpy:FPG101_03100
ko:K01710	fpy:FPG101_11055
ko:K01710	fpy:FPG101_13055
ko:K09951	fpy:FPG101_06345
ko:K01654	fpy:FPG101_10860
ko:K19068	fpy:FPG101_11015
ko:K00798	fpy:FPG101_08685
ko:K00336	fpy:FPG101_11755
ko:K19302	fpy:FPG101_03395
ko:K01990	fpy:FPG101_05635
ko:K01990	fpy:FPG101_11995
ko:K07497	fpy:FPG101_06165
ko:K07497	fpy:FPG101_01485
ko:K07497	fpy:FPG101_06335
ko:K07497	fpy:FPG101_02655
ko:K07497	fpy:FPG101_02725
ko:K07497	fpy:FPG101_08830
ko:K01992	fpy:FPG101_01640
ko:K19294	fpy:FPG101_09375
ko:K06867	fpy:FPG101_09715
ko:K06881	fpy:FPG101_04395
ko:K09690	fpy:FPG101_10930
ko:K10206	fpy:FPG101_01410
ko:K05770	fpy:FPG101_01720
ko:K20344	fpy:FPG101_02295
ko:K20345	fpy:FPG101_02290
ko:K20534	fpy:FPG101_05765
ko:K18890	fpy:FPG101_09435
ko:K18889	fpy:FPG101_08965
ko:K20866	fpy:FPG101_03690
ko:K08968	fpy:FPG101_03635
ko:K00632	fpy:FPG101_05295
ko:K06217	fpy:FPG101_09965
ko:K07313	fpy:FPG101_00805
ko:K14623	fpy:FPG101_01385
ko:K00287	fpy:FPG101_01815
ko:K00560	fpy:FPG101_01840
ko:K06919	fpy:FPG101_02125
ko:K01493	fpy:FPG101_02545
ko:K00857	fpy:FPG101_07225
ko:K03553	fpy:FPG101_11860
ko:K00558	fpy:FPG101_12005
ko:K00558	fpy:FPG101_02935
ko:K00558	fpy:FPG101_07545
ko:K09935	fpy:FPG101_12185
ko:K00558	fpy:FPG101_03045
ko:K00558	fpy:FPG101_07865
ko:K02316	fpy:FPG101_03445
ko:K01520	fpy:FPG101_12915
ko:K02314	fpy:FPG101_08525
ko:K00525	fpy:FPG101_02505
ko:K02481	fpy:FPG101_05460
ko:K00526	fpy:FPG101_02515
ko:K21470	fpy:FPG101_03120
ko:K01420	fpy:FPG101_06530
ko:K10026	fpy:FPG101_11600
ko:K00754	fpy:FPG101_07735
ko:K01463	fpy:FPG101_08285
ko:K17758	fpy:FPG101_07655
ko:K22132	fpy:FPG101_05195
ko:K22136	fpy:FPG101_09350
ko:K03595	fpy:FPG101_04045
ko:K08994	fpy:FPG101_08500
ko:K22252	fpy:FPG101_05725
ko:K02257	fpy:FPG101_03270
ko:K01505	fpy:FPG101_10605
ko:K22491	fpy:FPG101_09555
ko:K09516	fpy:FPG101_12040
