ko:K08325	fps:FP0142
ko:K01829	fps:FP2335
ko:K01155	fps:FP2273
ko:K03322	fps:FP0076
ko:K00949	fps:FP1767
ko:K01759	fps:FP2346
ko:K06867	fps:FP1480
ko:K01434	fps:FP2213
ko:K01760	fps:FP0354
ko:K13766	fps:FP0183
ko:K03921	fps:FP0051
ko:K07114	fps:FP0132
ko:K02003	fps:FP0584
ko:K00058	fps:FP0064
ko:K13771	fps:FP1858
ko:K00632	fps:FP1725
ko:K03116	fps:FP2083
ko:K06168	fps:FP1979
ko:K09808	fps:FP0239
ko:K01719	fps:FP0182
ko:K01658	fps:FP0512
ko:K07114	fps:FP0550
ko:K01912	fps:FP2474
ko:K09935	fps:FP2309
ko:K00128	fps:FP0888
ko:K00128	fps:FP2325
ko:K01715	fps:FP0049
ko:K00721	fps:FP0165
ko:K07003	fps:FP2251
ko:K07052	fps:FP1602
ko:K07636	fps:FP1827
ko:K01840	fps:FP0854
ko:K07146	fps:FP0022
ko:K01697	fps:FP0871
ko:K13628	fps:FP2394
ko:K07017	fps:FP1756
ko:K07394	fps:FP0079
ko:K07017	fps:FP0105
ko:K01505	fps:FP1206
ko:K03296	fps:FP0932
ko:K00674	fps:FP1628
ko:K15034	fps:FP0184
ko:K03671	fps:FP0292
ko:K14441	fps:FP1403
ko:K03921	fps:FP1155
ko:K09810	fps:FP0921
ko:K01784	fps:FP1281
ko:K01173	fps:FP2422
ko:K01524	fps:FP0968
ko:K14652	fps:FP1589
ko:K14623	fps:FP0245
ko:K07273	fps:FP1238
ko:K00104	fps:FP0574
ko:K03646	fps:FP0304
ko:K03625	fps:FP0534
ko:K06919	fps:FP0387
ko:K03500	fps:FP0697
ko:K14742	fps:FP2105
ko:K15342	fps:FP1525
ko:K09022	fps:FP0750
ko:K15633	fps:FP2135
ko:K15746	fps:FP1451
ko:K15738	fps:FP0588
ko:K02428	fps:FP1819
ko:K08151	fps:FP2141
ko:K15460	fps:FP0346
ko:K03215	fps:FP0734
ko:K15862	fps:FP1156
ko:K00812	fps:FP1696
ko:K02226	fps:FP1458
ko:K05606	fps:FP0237
ko:K16091	fps:FP1489
ko:K16089	fps:FP1495
ko:K15726	fps:FP0880
ko:K02014	fps:FP0851
ko:K18682	fps:FP1146
ko:K10716	fps:FP1223
ko:K16053	fps:FP0949
ko:K16216	fps:FP1165
ko:K16363	fps:FP0977
ko:K16264	fps:FP2486
ko:K03699	fps:FP1358
ko:K01156	fps:FP2167
ko:K02473	fps:FP1297
ko:K02067	fps:FP0753
ko:K11720	fps:FP0611
ko:K09810	fps:FP0632
ko:K07091	fps:FP1590
ko:K00184	fps:FP0373
ko:K01990	fps:FP2090
ko:K08738	fps:FP0034
ko:K17716	fps:FP1288
ko:K01992	fps:FP2271
ko:K01990	fps:FP0252
ko:K04084	fps:FP1627
ko:K17686	fps:FP1153
ko:K00254	fps:FP1822
ko:K00209	fps:FP1842
ko:K01791	fps:FP1285
ko:K08068	fps:FP1255
ko:K03742	fps:FP1434
ko:K18707	fps:FP1133
ko:K07316	fps:FP2169
ko:K03790	fps:FP1886
ko:K18831	fps:FP1227
ko:K03790	fps:FP0497
ko:K18979	fps:FP2124
ko:K11991	fps:FP0277
ko:K19048	fps:FP0791
ko:K19166	fps:FP1226
ko:K19159	fps:FP2447
ko:K19158	fps:FP2446
ko:K19068	fps:FP1286
ko:K00798	fps:FP0583
ko:K19302	fps:FP2082
ko:K01990	fps:FP1659
ko:K01990	fps:FP2272
ko:K01992	fps:FP0294
ko:K19294	fps:FP1413
ko:K06881	fps:FP1893
ko:K01980	fps:FP2628
ko:K01980	fps:FP2641
ko:K01980	fps:FP2623
ko:K01980	fps:FP2653
ko:K01980	fps:FP2601
ko:K01980	fps:FP2611
ko:K14225	fps:FP2639
ko:K14227	fps:FP2599
ko:K14227	fps:FP2655
ko:K14227	fps:FP2630
ko:K14227	fps:FP2621
ko:K14227	fps:FP2609
ko:K14227	fps:FP2643
ko:K14237	fps:FP2613
ko:K14237	fps:FP2625
ko:K14219	fps:FP2619
ko:K10206	fps:FP0250
ko:K05770	fps:FP0309
ko:K01985	fps:FP2602
ko:K01985	fps:FP2612
ko:K01985	fps:FP2624
ko:K01985	fps:FP2627
ko:K01985	fps:FP2640
ko:K01985	fps:FP2652
ko:K14230	fps:FP2635
ko:K14230	fps:FP2636
ko:K01977	fps:FP2656
ko:K01977	fps:FP2631
ko:K01977	fps:FP2644
ko:K01977	fps:FP2598
ko:K01977	fps:FP2620
ko:K01977	fps:FP2608
ko:K14228	fps:FP2591
ko:K14228	fps:FP2646
ko:K14228	fps:FP2603
ko:K14220	fps:FP2590
ko:K14230	fps:FP2593
ko:K14230	fps:FP2637
ko:K14221	fps:FP2594
ko:K14223	fps:FP2595
ko:K14225	fps:FP2645
ko:K14218	fps:FP2600
ko:K14218	fps:FP2622
ko:K14218	fps:FP2654
ko:K14218	fps:FP2610
ko:K14218	fps:FP2642
ko:K14218	fps:FP2629
ko:K14218	fps:FP2658
ko:K14226	fps:FP2615
ko:K14219	fps:FP2616
ko:K14219	fps:FP2638
ko:K14233	fps:FP2617
ko:K14233	fps:FP2632
ko:K14233	fps:FP2657
ko:K14232	fps:FP2618
ko:K14232	fps:FP2597
ko:K14236	fps:FP2626
ko:K14236	fps:FP2649
ko:K14235	fps:FP2647
ko:K14234	fps:FP2648
ko:K14234	fps:FP2650
ko:K14234	fps:FP2634
ko:K14224	fps:FP2607
ko:K14224	fps:FP2606
ko:K14229	fps:FP2604
ko:K14229	fps:FP2605
ko:K14231	fps:FP2659
ko:K14222	fps:FP2589
ko:K20534	fps:FP1634
ko:K18890	fps:FP1424
ko:K18889	fps:FP0532
ko:K20866	fps:FP2026
ko:K21029	fps:FP0434
ko:K08968	fps:FP2037
ko:K02481	fps:FP1694
ko:K21470	fps:FP2133
ko:K10026	fps:FP2200
ko:K00754	fps:FP0762
ko:K01463	fps:FP0656
ko:K17758	fps:FP0837
ko:K22132	fps:FP1745
ko:K22136	fps:FP1408
ko:K22252	fps:FP1641
ko:K02257	fps:FP2106
ko:K22491	fps:FP1448
