ko:K14222	hiz:R2866_0615
ko:K03820	hiz:R2866_0277
ko:K06189	hiz:R2866_0278
ko:K03806	hiz:R2866_0279
ko:K02682	hiz:R2866_0280
ko:K02504	hiz:R2866_0281
ko:K02505	hiz:R2866_0282
ko:K03628	hiz:R2866_0284
ko:K03764	hiz:R2866_0285
ko:K03837	hiz:R2866_0291
ko:K01752	hiz:R2866_0292
ko:K03835	hiz:R2866_0293
ko:K14260	hiz:R2866_0294
ko:K02551	hiz:R2866_0296
ko:K00757	hiz:R2866_0299
ko:K09858	hiz:R2866_0301
ko:K07058	hiz:R2866_0302
ko:K00989	hiz:R2866_0310
ko:K00762	hiz:R2866_0311
ko:K05801	hiz:R2866_0312
ko:K03089	hiz:R2866_0314
ko:K00075	hiz:R2866_0316
ko:K07674	hiz:R2866_0317
ko:K08591	hiz:R2866_0318
ko:K01633	hiz:R2866_0319
ko:K01433	hiz:R2866_1121
ko:K00800	hiz:R2866_1122
ko:K07478	hiz:R2866_1123
ko:K03634	hiz:R2866_1124
ko:K03466	hiz:R2866_1125
ko:K04485	hiz:R2866_1127
ko:K09929	hiz:R2866_1129
ko:K09930	hiz:R2866_1130
ko:K15977	hiz:R2866_1132
ko:K07220	hiz:R2866_1133
ko:K03306	hiz:R2866_1134
ko:K07184	hiz:R2866_1135
ko:K02494	hiz:R2866_1137
ko:K00919	hiz:R2866_1138
ko:K00948	hiz:R2866_1139
ko:K01866	hiz:R2866_1140
ko:K06206	hiz:R2866_1141
ko:K03327	hiz:R2866_1142
ko:K00793	hiz:R2866_1143
ko:K01256	hiz:R2866_1144
ko:K07345	hiz:R2866_1146
ko:K07347	hiz:R2866_1147
ko:K07345	hiz:R2866_1149
ko:K01588	hiz:R2866_1152
ko:K01589	hiz:R2866_1153
ko:K02007	hiz:R2866_1157
ko:K09908	hiz:R2866_1164
ko:K02897	hiz:R2866_1166
ko:K01939	hiz:R2866_1172
ko:K01686	hiz:R2866_0649
ko:K00874	hiz:R2866_0655
ko:K01625	hiz:R2866_0657
ko:K06193	hiz:R2866_0658
ko:K07109	hiz:R2866_0659
ko:K08990	hiz:R2866_0662
ko:K01142	hiz:R2866_0664
ko:K03571	hiz:R2866_0666
ko:K03570	hiz:R2866_0667
ko:K03569	hiz:R2866_0668
ko:K02471	hiz:R2866_0669
ko:K07085	hiz:R2866_0670
ko:K09710	hiz:R2866_0671
ko:K00783	hiz:R2866_0672
ko:K05515	hiz:R2866_0673
ko:K05837	hiz:R2866_0674
ko:K03642	hiz:R2866_0675
ko:K09158	hiz:R2866_0677
ko:K03801	hiz:R2866_0678
ko:K03644	hiz:R2866_0679
ko:K01910	hiz:R2866_0680
ko:K01646	hiz:R2866_0681
ko:K01644	hiz:R2866_0682
ko:K01643	hiz:R2866_0683
ko:K03319	hiz:R2866_0685
ko:K06168	hiz:R2866_0686
ko:K03648	hiz:R2866_0687
ko:K03596	hiz:R2866_0689
ko:K03100	hiz:R2866_0690
ko:K03685	hiz:R2866_0691
ko:K02344	hiz:R2866_0694
ko:K03789	hiz:R2866_0695
ko:K02380	hiz:R2866_0696
ko:K11991	hiz:R2866_1477
ko:K13292	hiz:R2866_1479
ko:K08311	hiz:R2866_1481
ko:K00931	hiz:R2866_1482
ko:K03543	hiz:R2866_1484
ko:K03446	hiz:R2866_1485
ko:K03591	hiz:R2866_1486
ko:K03732	hiz:R2866_1490
ko:K09862	hiz:R2866_1491
ko:K00859	hiz:R2866_1492
ko:K00600	hiz:R2866_1493
ko:K01945	hiz:R2866_1494
ko:K00602	hiz:R2866_1495
ko:K15977	hiz:R2866_1496
ko:K04084	hiz:R2866_1497
ko:K07773	hiz:R2866_1498
ko:K03310	hiz:R2866_1499
ko:K09765	hiz:R2866_1500
ko:K02523	hiz:R2866_1501
ko:K02888	hiz:R2866_1502
ko:K02899	hiz:R2866_1503
ko:K03979	hiz:R2866_1505
ko:K00940	hiz:R2866_1506
ko:K07751	hiz:R2866_1507
ko:K01915	hiz:R2866_1517
ko:K06207	hiz:R2866_1518
ko:K00275	hiz:R2866_1519
ko:K09125	hiz:R2866_1520
ko:K07270	hiz:R2866_1521
ko:K07270	hiz:R2866_1523
ko:K02020	hiz:R2866_1526
ko:K02237	hiz:R2866_1377
ko:K03527	hiz:R2866_1378
ko:K03101	hiz:R2866_1379
ko:K03770	hiz:R2866_1381
ko:K03650	hiz:R2866_1382
ko:K03217	hiz:R2866_1383
ko:K08998	hiz:R2866_1384
ko:K03536	hiz:R2866_1385
ko:K02914	hiz:R2866_1386
ko:K02313	hiz:R2866_1390
ko:K02338	hiz:R2866_1391
ko:K03629	hiz:R2866_1392
ko:K01704	hiz:R2866_1394
ko:K01703	hiz:R2866_1395
ko:K00052	hiz:R2866_1396
ko:K01649	hiz:R2866_1397
ko:K04096	hiz:R2866_1398
ko:K09861	hiz:R2866_1399
ko:K00850	hiz:R2866_1401
ko:K03664	hiz:R2866_1402
ko:K03557	hiz:R2866_1403
ko:K02687	hiz:R2866_1405
ko:K04095	hiz:R2866_1406
ko:K14392	hiz:R2866_1408
ko:K01961	hiz:R2866_1410
ko:K02160	hiz:R2866_1411
ko:K03786	hiz:R2866_1412
ko:K01661	hiz:R2866_1414
ko:K02968	hiz:R2866_1416
ko:K03980	hiz:R2866_1417
ko:K11753	hiz:R2866_1418
ko:K01870	hiz:R2866_1419
ko:K01207	hiz:R2866_1422
ko:K03212	hiz:R2866_1423
ko:K02548	hiz:R2866_0067
ko:K02553	hiz:R2866_0068
ko:K02529	hiz:R2866_0070
ko:K10441	hiz:R2866_0074
ko:K06726	hiz:R2866_0075
ko:K09760	hiz:R2866_0076
ko:K03667	hiz:R2866_0079
ko:K01419	hiz:R2866_0080
ko:K03788	hiz:R2866_0081
ko:K07173	hiz:R2866_0083
ko:K03501	hiz:R2866_0087
ko:K02108	hiz:R2866_0089
ko:K02110	hiz:R2866_0090
ko:K02109	hiz:R2866_0091
ko:K02113	hiz:R2866_0092
ko:K02111	hiz:R2866_0093
ko:K02115	hiz:R2866_0094
ko:K02112	hiz:R2866_0095
ko:K02114	hiz:R2866_0096
ko:K03834	hiz:R2866_0097
ko:K11755	hiz:R2866_0098
ko:K02500	hiz:R2866_0099
ko:K01814	hiz:R2866_0100
ko:K02501	hiz:R2866_0101
ko:K01089	hiz:R2866_0102
ko:K00817	hiz:R2866_0103
ko:K00013	hiz:R2866_0104
ko:K00765	hiz:R2866_0105
ko:K06980	hiz:R2866_0107
ko:K01807	hiz:R2866_0109
ko:K01338	hiz:R2866_0111
ko:K09824	hiz:R2866_0112
ko:K03582	hiz:R2866_0912
ko:K03581	hiz:R2866_0913
ko:K09911	hiz:R2866_0914
ko:K04770	hiz:R2866_0915
ko:K01716	hiz:R2866_0916
ko:K02956	hiz:R2866_0919
ko:K07259	hiz:R2866_0920
ko:K03624	hiz:R2866_0921
ko:K07574	hiz:R2866_0922
ko:K03798	hiz:R2866_0924
ko:K00796	hiz:R2866_0925
ko:K03431	hiz:R2866_0926
ko:K08296	hiz:R2866_0927
ko:K03088	hiz:R2866_0930
ko:K12267	hiz:R2866_0935
ko:K09901	hiz:R2866_0938
ko:K03750	hiz:R2866_0940
ko:K01495	hiz:R2866_0941
ko:K09902	hiz:R2866_0942
ko:K01935	hiz:R2866_0943
ko:K00297	hiz:R2866_0944
ko:K02871	hiz:R2866_0945
ko:K02996	hiz:R2866_0946
ko:K03599	hiz:R2866_0947
ko:K03600	hiz:R2866_0948
ko:K01662	hiz:R2866_0949
ko:K00795	hiz:R2866_0950
ko:K03602	hiz:R2866_0951
ko:K03151	hiz:R2866_0952
ko:K06175	hiz:R2866_0954
ko:K09917	hiz:R2866_0955
ko:K03704	hiz:R2866_0956
ko:K01695	hiz:R2866_0959
ko:K01696	hiz:R2866_0960
ko:K01933	hiz:R2866_0962
ko:K11175	hiz:R2866_0963
ko:K03799	hiz:R2866_1754
ko:K04754	hiz:R2866_1756
ko:K02601	hiz:R2866_1757
ko:K03073	hiz:R2866_1758
ko:K03544	hiz:R2866_1759
ko:K01358	hiz:R2866_1760
ko:K03545	hiz:R2866_1761
ko:K03833	hiz:R2866_1764
ko:K01042	hiz:R2866_1765
ko:K03555	hiz:R2866_1767
ko:K03835	hiz:R2866_1768
ko:K01667	hiz:R2866_1769
ko:K06194	hiz:R2866_1770
ko:K03787	hiz:R2866_1773
ko:K06176	hiz:R2866_1774
ko:K09893	hiz:R2866_1775
ko:K03775	hiz:R2866_1778
ko:K07278	hiz:R2866_1779
ko:K09800	hiz:R2866_1780
ko:K01524	hiz:R2866_1781
ko:K06181	hiz:R2866_1782
ko:K00864	hiz:R2866_1785
ko:K02440	hiz:R2866_1786
ko:K01126	hiz:R2866_1787
ko:K02424	hiz:R2866_1320
ko:K10009	hiz:R2866_1321
ko:K16087	hiz:R2866_1186
ko:K16087	hiz:R2866_0322
ko:K16087	hiz:R2866_1762
ko:K16087	hiz:R2866_1813
ko:K16087	hiz:R2866_0484
ko:K16087	hiz:R2866_1389
ko:K07645	hiz:R2866_0748
ko:K00567	hiz:R2866_0171
ko:K01515	hiz:R2866_0175
ko:K03560	hiz:R2866_0189
ko:K04488	hiz:R2866_0198
ko:K13628	hiz:R2866_0199
ko:K11604	hiz:R2866_0213
ko:K11607	hiz:R2866_0214
ko:K07657	hiz:R2866_1022
ko:K11179	hiz:R2866_1031
ko:K07263	hiz:R2866_1034
ko:K00700	hiz:R2866_1045
ko:K01489	hiz:R2866_1052
ko:K01258	hiz:R2866_1054
ko:K11072	hiz:R2866_1055
ko:K11071	hiz:R2866_1056
ko:K11069	hiz:R2866_1058
ko:K05844	hiz:R2866_1066
ko:K00647	hiz:R2866_1068
ko:K00867	hiz:R2866_1856
ko:K03499	hiz:R2866_1862
ko:K07343	hiz:R2866_1872
ko:K03756	hiz:R2866_1879
ko:K01119	hiz:R2866_1886
ko:K02035	hiz:R2866_0376
ko:K03711	hiz:R2866_0398
ko:K00121	hiz:R2866_0404
ko:K06212	hiz:R2866_0408
ko:K09998	hiz:R2866_1225
ko:K02619	hiz:R2866_1232
ko:K03286	hiz:R2866_1237
ko:K16013	hiz:R2866_1243
ko:K16012	hiz:R2866_1244
ko:K02806	hiz:R2866_1254
ko:K02506	hiz:R2866_0283
ko:K07213	hiz:R2866_0287
ko:K02552	hiz:R2866_0295
ko:K08680	hiz:R2866_0297
ko:K01885	hiz:R2866_0308
ko:K00974	hiz:R2866_1136
ko:K07126	hiz:R2866_1161
ko:K10010	hiz:R2866_1322
ko:K00882	hiz:R2866_0127
ko:K15460	hiz:R2866_0152
ko:K06179	hiz:R2866_0161
ko:K01679	hiz:R2866_1004
ko:K00769	hiz:R2866_1800
ko:K02446	hiz:R2866_1807
ko:K12984	hiz:R2866_1822
ko:K00674	hiz:R2866_1173
ko:K01243	hiz:R2866_1187
ko:K10000	hiz:R2866_1222
ko:K02428	hiz:R2866_0325
ko:K03548	hiz:R2866_0346
ko:K00088	hiz:R2866_0361
ko:K15599	hiz:R2866_0219
ko:K01784	hiz:R2866_0222
ko:K00939	hiz:R2866_0224
ko:K02569	hiz:R2866_0225
ko:K02574	hiz:R2866_0227
ko:K04067	hiz:R2866_0247
ko:K01759	hiz:R2866_0250
ko:K04763	hiz:R2866_0262
ko:K00652	hiz:R2866_1086
ko:K07126	hiz:R2866_1095
ko:K07126	hiz:R2866_1099
ko:K14235	hiz:R2866_1744
ko:K04753	hiz:R2866_1661
ko:K08992	hiz:R2866_0811
ko:K02824	hiz:R2866_0816
ko:K06183	hiz:R2866_0831
ko:K03748	hiz:R2866_0849
ko:K02858	hiz:R2866_1630
ko:K07792	hiz:R2866_1650
ko:K03718	hiz:R2866_0021
ko:K01082	hiz:R2866_0025
ko:K00033	hiz:R2866_0030
ko:K01525	hiz:R2866_0032
ko:K12942	hiz:R2866_0043
ko:K01409	hiz:R2866_0048
ko:K03317	hiz:R2866_0059
ko:K03784	hiz:R2866_0060
ko:K03593	hiz:R2866_0859
ko:K03177	hiz:R2866_0872
ko:K02441	hiz:R2866_1680
ko:K06177	hiz:R2866_1681
ko:K02017	hiz:R2866_0764
ko:K03613	hiz:R2866_0767
ko:K03612	hiz:R2866_0768
ko:K03614	hiz:R2866_0769
ko:K03615	hiz:R2866_0770
ko:K02549	hiz:R2866_1413
ko:K10914	hiz:R2866_1424
ko:K09898	hiz:R2866_1425
ko:K13637	hiz:R2866_0650
ko:K06177	hiz:R2866_0663
ko:K07258	hiz:R2866_0676
ko:K00564	hiz:R2866_0693
ko:K00124	hiz:R2866_0698
ko:K10563	hiz:R2866_1525
ko:K00383	hiz:R2866_0426
ko:K00059	hiz:R2866_0432
ko:K07792	hiz:R2866_0434
ko:K01788	hiz:R2866_0442
ko:K01639	hiz:R2866_0445
ko:K02564	hiz:R2866_0446
ko:K03469	hiz:R2866_0450
ko:K02342	hiz:R2866_0451
ko:K02010	hiz:R2866_0461
ko:K01507	hiz:R2866_0463
ko:K03386	hiz:R2866_0468
ko:K01760	hiz:R2866_0469
ko:K09815	hiz:R2866_0472
ko:K00616	hiz:R2866_1275
ko:K15582	hiz:R2866_1278
ko:K01619	hiz:R2866_1284
ko:K00854	hiz:R2866_1287
ko:K02843	hiz:R2866_1295
ko:K02200	hiz:R2866_1304
ko:K02193	hiz:R2866_1311
ko:K02067	hiz:R2866_1315
ko:K03616	hiz:R2866_0771
ko:K03617	hiz:R2866_0772
ko:K04774	hiz:R2866_0773
ko:K09909	hiz:R2866_0774
ko:K03635	hiz:R2866_0783
ko:K01262	hiz:R2866_1577
ko:K06149	hiz:R2866_1578
ko:K00626	hiz:R2866_1623
ko:K01270	hiz:R2866_1799
ko:K00852	hiz:R2866_0071
ko:K10440	hiz:R2866_0073
ko:K09471	hiz:R2866_0077
ko:K11069	hiz:R2866_0078
ko:K02116	hiz:R2866_0088
ko:K00058	hiz:R2866_0108
ko:K04765	hiz:R2866_0113
ko:K02427	hiz:R2866_0923
ko:K06196	hiz:R2866_0936
ko:K03498	hiz:R2866_1751
ko:K04085	hiz:R2866_1753
ko:K09022	hiz:R2866_1755
ko:K07316	hiz:R2866_1777
ko:K00769	hiz:R2866_1784
ko:K15583	hiz:R2866_1279
ko:K02851	hiz:R2866_0737
ko:K02784	hiz:R2866_0742
ko:K08483	hiz:R2866_0743
ko:K07666	hiz:R2866_0747
ko:K01934	hiz:R2866_1534
ko:K00101	hiz:R2866_0710
ko:K03803	hiz:R2866_1544
ko:K00244	hiz:R2866_1558
ko:K00245	hiz:R2866_1559
ko:K00247	hiz:R2866_1561
ko:K10541	hiz:R2866_1569
ko:K10540	hiz:R2866_1571
ko:K01785	hiz:R2866_1575
ko:K00799	hiz:R2866_0486
ko:K01439	hiz:R2866_0500
ko:K02010	hiz:R2866_0502
ko:K01156	hiz:R2866_1344
ko:K07307	hiz:R2866_1352
ko:K07308	hiz:R2866_1353
ko:K03768	hiz:R2866_0623
ko:K00970	hiz:R2866_0641
ko:K02238	hiz:R2866_0643
ko:K11085	hiz:R2866_0644
ko:K10563	hiz:R2866_1436
ko:K01092	hiz:R2866_1445
ko:K02200	hiz:R2866_1448
ko:K19227	hiz:R2866_1178
ko:K01977	hiz:R2866_0363
ko:K01977	hiz:R2866_1674
ko:K01977	hiz:R2866_0711
ko:K01977	hiz:R2866_1750
ko:K01977	hiz:R2866_0480
ko:K01977	hiz:R2866_1871
ko:K01139	hiz:R2866_0707
ko:K14219	hiz:R2866_0477
ko:K01048	hiz:R2866_1834
ko:K01980	hiz:R2866_0482
ko:K01980	hiz:R2866_0365
ko:K01980	hiz:R2866_1747
ko:K01980	hiz:R2866_1869
ko:K01980	hiz:R2866_0714
ko:K01980	hiz:R2866_1671
ko:K02062	hiz:R2866_1366
ko:K01983	hiz:R2866_1245
ko:K01840	hiz:R2866_1653
ko:K01739	hiz:R2866_0617
ko:K01069	hiz:R2866_0856
ko:K12982	hiz:R2866_0323
ko:K15540	hiz:R2866_1148
ko:K11747	hiz:R2866_1472
ko:K03299	hiz:R2866_0509
ko:K04015	hiz:R2866_1336
ko:K04014	hiz:R2866_1335
ko:K03566	hiz:R2866_1209
ko:K08364	hiz:R2866_1348
ko:K10823	hiz:R2866_1280
ko:K01035	hiz:R2866_1621
ko:K10544	hiz:R2866_1291
ko:K16264	hiz:R2866_1892
ko:K14233	hiz:R2866_1837
ko:K14228	hiz:R2866_0129
ko:K14238	hiz:R2866_1766
ko:K14233	hiz:R2866_0246
ko:K14233	hiz:R2866_0660
ko:K14233	hiz:R2866_0327
ko:K14228	hiz:R2866_0465
ko:K14228	hiz:R2866_0614
ko:K14228	hiz:R2866_0967
ko:K14228	hiz:R2866_1169
ko:K14229	hiz:R2866_0193
ko:K14229	hiz:R2866_0464
ko:K14229	hiz:R2866_0554
ko:K14229	hiz:R2866_0515
ko:K14229	hiz:R2866_0194
ko:K14232	hiz:R2866_0479
ko:K14232	hiz:R2866_1690
ko:K14230	hiz:R2866_0475
ko:K14230	hiz:R2866_0863
ko:K14230	hiz:R2866_1459
ko:K14230	hiz:R2866_1170
ko:K14221	hiz:R2866_0452
ko:K14221	hiz:R2866_1745
ko:K14221	hiz:R2866_0453
ko:K14218	hiz:R2866_0713
ko:K14218	hiz:R2866_1748
ko:K14218	hiz:R2866_1672
ko:K14218	hiz:R2866_0309
ko:K14237	hiz:R2866_1107
ko:K14219	hiz:R2866_1689
ko:K14219	hiz:R2866_1839
ko:K14219	hiz:R2866_1838
ko:K14234	hiz:R2866_1855
ko:K14234	hiz:R2866_1852
ko:K14236	hiz:R2866_1854
ko:K14225	hiz:R2866_1853
ko:K14231	hiz:R2866_1634
ko:K14220	hiz:R2866_1633
ko:K14220	hiz:R2866_0836
ko:K14223	hiz:R2866_1167
ko:K14223	hiz:R2866_1168
ko:K14225	hiz:R2866_0739
ko:K14225	hiz:R2866_0466
ko:K14225	hiz:R2866_0616
ko:K14225	hiz:R2866_0738
ko:K12368	hiz:R2866_1540
ko:K14224	hiz:R2866_0364
ko:K14224	hiz:R2866_0481
ko:K14224	hiz:R2866_1870
ko:K01166	hiz:R2866_0052
ko:K01985	hiz:R2866_0366
ko:K01985	hiz:R2866_1868
ko:K01985	hiz:R2866_1670
ko:K01985	hiz:R2866_0715
ko:K01985	hiz:R2866_0483
ko:K01985	hiz:R2866_1746
ko:K15600	hiz:R2866_0220
ko:K01978	hiz:R2866_0778
ko:K14237	hiz:R2866_0304
ko:K14237	hiz:R2866_0306
ko:K14237	hiz:R2866_0307
ko:K14237	hiz:R2866_0305
ko:K10094	hiz:R2866_1159
ko:K19230	hiz:R2866_1181
ko:K01096	hiz:R2866_0378
ko:K00557	hiz:R2866_1546
ko:K00537	hiz:R2866_0347
ko:K01347	hiz:R2866_1393
ko:K01347	hiz:R2866_0337
ko:K00785	hiz:R2866_0756
ko:K06016	hiz:R2866_1882
ko:K16915	hiz:R2866_1158
ko:K13927	hiz:R2866_0684
ko:K07268	hiz:R2866_0243
ko:K09810	hiz:R2866_1082
ko:K01420	hiz:R2866_0966
ko:K16868	hiz:R2866_0857
ko:K14742	hiz:R2866_0185
ko:K01834	hiz:R2866_1639
ko:K02008	hiz:R2866_1156
ko:K02006	hiz:R2866_1155
ko:K01185	hiz:R2866_1708
ko:K07662	hiz:R2866_1556
ko:K08316	hiz:R2866_1627
ko:K11070	hiz:R2866_1057
ko:K03585	hiz:R2866_1488
ko:K02503	hiz:R2866_1420
ko:K10439	hiz:R2866_0072
ko:K00884	hiz:R2866_0407
ko:K01664	hiz:R2866_1230
ko:K03574	hiz:R2866_1473
ko:K01897	hiz:R2866_0183
ko:K03559	hiz:R2866_0333
ko:K00951	hiz:R2866_0239
ko:K03604	hiz:R2866_1174
ko:K01897	hiz:R2866_0703
ko:K07271	hiz:R2866_1073
ko:K00813	hiz:R2866_1154
ko:K17686	hiz:R2866_0290
ko:K06518	hiz:R2866_0879
ko:K00254	hiz:R2866_1001
ko:K01658	hiz:R2866_1013
ko:K11928	hiz:R2866_1050
ko:K05540	hiz:R2866_1404
ko:K00018	hiz:R2866_1089
ko:K01497	hiz:R2866_0377
ko:K13695	hiz:R2866_0896
ko:K03772	hiz:R2866_0010
ko:K07812	hiz:R2866_1836
ko:K06148	hiz:R2866_1812
ko:K03719	hiz:R2866_0358
ko:K03719	hiz:R2866_1126
ko:K17948	hiz:R2866_0439
ko:K18138	hiz:R2866_1487
ko:K00996	hiz:R2866_1510
ko:K07090	hiz:R2866_1480
ko:K07076	hiz:R2866_0631
ko:K01185	hiz:R2866_0542
ko:K02487	hiz:R2866_0596
ko:K01175	hiz:R2866_0396
ko:K03803	hiz:R2866_1880
ko:K15984	hiz:R2866_1881
ko:K07126	hiz:R2866_1097
ko:K07126	hiz:R2866_1101
ko:K05541	hiz:R2866_0313
ko:K21498	hiz:R2866_0840
ko:K18698	hiz:R2866_0574
ko:K18691	hiz:R2866_0350
ko:K18829	hiz:R2866_0252
ko:K18829	hiz:R2866_1433
ko:K18828	hiz:R2866_0251
ko:K00526	hiz:R2866_0794
ko:K19239	hiz:R2866_1182
ko:K02847	hiz:R2866_1508
ko:K18850	hiz:R2866_0177
ko:K10747	hiz:R2866_1220
ko:K18893	hiz:R2866_1347
ko:K03169	hiz:R2866_0131
ko:K03646	hiz:R2866_0190
ko:K03674	hiz:R2866_1067
ko:K03746	hiz:R2866_1120
ko:K03111	hiz:R2866_0335
ko:K08363	hiz:R2866_1349
ko:K03169	hiz:R2866_0603
ko:K03111	hiz:R2866_0606
ko:K07483	hiz:R2866_0485
ko:K03976	hiz:R2866_0957
ko:K03526	hiz:R2866_0207
ko:K18991	hiz:R2866_1346
ko:K00355	hiz:R2866_1077
ko:K19226	hiz:R2866_1177
ko:K00983	hiz:R2866_0861
ko:K02777	hiz:R2866_0744
ko:K04772	hiz:R2866_0846
ko:K01710	hiz:R2866_1509
ko:K19228	hiz:R2866_1179
ko:K03722	hiz:R2866_0186
ko:K07496	hiz:R2866_0212
ko:K19416	hiz:R2866_0661
ko:K19804	hiz:R2866_0812
ko:K19810	hiz:R2866_0244
ko:K21636	hiz:R2866_0629
ko:K11751	hiz:R2866_0382
ko:K20074	hiz:R2866_0903
ko:K16066	hiz:R2866_0961
ko:K02438	hiz:R2866_1044
ko:K21029	hiz:R2866_0939
ko:K00525	hiz:R2866_0795
ko:K02316	hiz:R2866_0046
ko:K00857	hiz:R2866_0049
ko:K02314	hiz:R2866_0612
ko:K04068	hiz:R2866_1246
ko:K01520	hiz:R2866_1427
ko:K06866	hiz:R2866_0688
ko:K00560	hiz:R2866_1478
ko:K00287	hiz:R2866_1483
ko:K06903	hiz:R2866_1718
ko:K06907	hiz:R2866_1724
ko:K06908	hiz:R2866_1725
ko:K06906	hiz:R2866_1728
ko:K06905	hiz:R2866_1729
ko:K06223	hiz:R2866_0379
ko:K03791	hiz:R2866_0993
ko:K06909	hiz:R2866_0997
ko:K09961	hiz:R2866_0998
ko:K02314	hiz:R2866_1109
ko:K02335	hiz:R2866_1537
ko:K07741	hiz:R2866_0970
ko:K07497	hiz:R2866_0082
ko:K21394	hiz:R2866_0653
ko:K21395	hiz:R2866_0652
ko:K21393	hiz:R2866_0654
ko:K21470	hiz:R2866_0788
ko:K07334	hiz:R2866_0839
ko:K10026	hiz:R2866_1214
ko:K21948	hiz:R2866_1374
ko:K19591	hiz:R2866_0286
ko:K22025	hiz:R2866_1371
ko:K22132	hiz:R2866_0473
ko:K08319	hiz:R2866_1375
ko:K22131	hiz:R2866_1372
ko:K22105	hiz:R2866_0014
ko:K22130	hiz:R2866_1373
ko:K03595	hiz:R2866_0692
ko:K18446	hiz:R2866_1128
