ko:K15039	siy:YG5714_1494
ko:K03059	siy:YG5714_1777
ko:K06957	siy:YG5714_1830
ko:K08177	siy:YG5714_0359
ko:K08676	siy:YG5714_0400
ko:K01990	siy:YG5714_0449
ko:K00340	siy:YG5714_1890
ko:K02614	siy:YG5714_2866
ko:K01897	siy:YG5714_2432
ko:K10027	siy:YG5714_1670
ko:K06001	siy:YG5714_1079
ko:K01990	siy:YG5714_1080
ko:K01992	siy:YG5714_1081
ko:K07133	siy:YG5714_0518
ko:K07133	siy:YG5714_2014
ko:K07133	siy:YG5714_0724
ko:K07133	siy:YG5714_1066
ko:K07114	siy:YG5714_1130
ko:K02224	siy:YG5714_1815
ko:K01271	siy:YG5714_1856
ko:K03057	siy:YG5714_1928
ko:K10725	siy:YG5714_1959
ko:K09737	siy:YG5714_1270
ko:K01992	siy:YG5714_2329
ko:K02121	siy:YG5714_1571
ko:K07405	siy:YG5714_1220
ko:K06001	siy:YG5714_1326
ko:K07143	siy:YG5714_1353
ko:K10725	siy:YG5714_1364
ko:K07076	siy:YG5714_2030
ko:K09386	siy:YG5714_0225
ko:K01473	siy:YG5714_0957
ko:K05349	siy:YG5714_2461
ko:K03116	siy:YG5714_1714
ko:K13280	siy:YG5714_1299
ko:K04796	siy:YG5714_2056
ko:K01170	siy:YG5714_1783
ko:K04796	siy:YG5714_1378
ko:K02191	siy:YG5714_0112
ko:K12589	siy:YG5714_1402
ko:K10725	siy:YG5714_0002
ko:K03540	siy:YG5714_0042
ko:K03394	siy:YG5714_0111
ko:K07332	siy:YG5714_0120
ko:K07331	siy:YG5714_0121
ko:K02303	siy:YG5714_0229
ko:K06984	siy:YG5714_1849
ko:K03855	siy:YG5714_2641
ko:K09685	siy:YG5714_1979
ko:K05592	siy:YG5714_0989
ko:K13525	siy:YG5714_1802
ko:K13525	siy:YG5714_2081
ko:K13798	siy:YG5714_1987
ko:K03679	siy:YG5714_1400
ko:K01811	siy:YG5714_2478
ko:K00113	siy:YG5714_2845
ko:K06044	siy:YG5714_0402
ko:K03136	siy:YG5714_1950
ko:K06944	siy:YG5714_0183
ko:K07398	siy:YG5714_1945
ko:K06928	siy:YG5714_2968
ko:K08980	siy:YG5714_0942
ko:K13038	siy:YG5714_2002
ko:K00302	siy:YG5714_2070
ko:K05708	siy:YG5714_0780
ko:K09000	siy:YG5714_0611
ko:K09000	siy:YG5714_0692
ko:K07087	siy:YG5714_2890
ko:K03057	siy:YG5714_1531
ko:K00150	siy:YG5714_1585
ko:K02016	siy:YG5714_1712
ko:K09147	siy:YG5714_2899
ko:K03052	siy:YG5714_1941
ko:K03057	siy:YG5714_1927
ko:K02304	siy:YG5714_2078
ko:K01784	siy:YG5714_2097
ko:K05831	siy:YG5714_2101
ko:K05830	siy:YG5714_2102
ko:K05826	siy:YG5714_2104
ko:K01515	siy:YG5714_2964
ko:K04802	siy:YG5714_1822
ko:K03058	siy:YG5714_2178
ko:K07022	siy:YG5714_2245
ko:K11395	siy:YG5714_2289
ko:K01990	siy:YG5714_2328
ko:K01187	siy:YG5714_2444
ko:K10199	siy:YG5714_2604
ko:K10196	siy:YG5714_2607
ko:K10198	siy:YG5714_2605
ko:K03239	siy:YG5714_2520
ko:K02827	siy:YG5714_2525
ko:K02828	siy:YG5714_2525
ko:K02826	siy:YG5714_2529
ko:K01191	siy:YG5714_2495
ko:K13953	siy:YG5714_0392
ko:K07991	siy:YG5714_2120
ko:K00024	siy:YG5714_2905
ko:K01595	siy:YG5714_0069
ko:K07068	siy:YG5714_0818
ko:K15495	siy:YG5714_1186
ko:K06957	siy:YG5714_2273
ko:K13722	siy:YG5714_2950
ko:K06921	siy:YG5714_0467
ko:K07114	siy:YG5714_1133
ko:K01622	siy:YG5714_1931
ko:K14234	siy:YG5714_R0015
ko:K07068	siy:YG5714_1018
ko:K14231	siy:YG5714_R0032
ko:K07158	siy:YG5714_1807
ko:K14218	siy:YG5714_R0023
ko:K14218	siy:YG5714_R0050
ko:K14218	siy:YG5714_R0016
ko:K14219	siy:YG5714_R0041
ko:K14219	siy:YG5714_R0019
ko:K07496	siy:YG5714_0758
ko:K00666	siy:YG5714_0805
ko:K07445	siy:YG5714_0563
ko:K10844	siy:YG5714_1906
ko:K14230	siy:YG5714_R0029
ko:K14236	siy:YG5714_R0037
ko:K14228	siy:YG5714_R0033
ko:K14221	siy:YG5714_R0012
ko:K00008	siy:YG5714_2257
ko:K00104	siy:YG5714_2336
ko:K14233	siy:YG5714_R0025
ko:K01980	siy:YG5714_R0046
ko:K07045	siy:YG5714_0345
ko:K01011	siy:YG5714_2567
ko:K14187	siy:YG5714_1916
ko:K06921	siy:YG5714_0672
ko:K14232	siy:YG5714_R0003
ko:K14224	siy:YG5714_R0028
ko:K14224	siy:YG5714_R0039
ko:K14228	siy:YG5714_R0044
ko:K14229	siy:YG5714_R0009
ko:K14233	siy:YG5714_R0036
ko:K14219	siy:YG5714_R0020
ko:K14225	siy:YG5714_R0051
ko:K14220	siy:YG5714_R0004
ko:K03537	siy:YG5714_1397
ko:K14225	siy:YG5714_R0027
ko:K00721	siy:YG5714_2253
ko:K07579	siy:YG5714_2954
ko:K14225	siy:YG5714_R0024
ko:K14225	siy:YG5714_R0031
ko:K02614	siy:YG5714_0435
ko:K07068	siy:YG5714_1589
ko:K14232	siy:YG5714_R0022
ko:K14232	siy:YG5714_R0048
ko:K14229	siy:YG5714_R0010
ko:K09717	siy:YG5714_1998
ko:K05966	siy:YG5714_1999
ko:K07176	siy:YG5714_1179
ko:K14233	siy:YG5714_R0005
ko:K14219	siy:YG5714_R0021
ko:K14234	siy:YG5714_R0042
ko:K14237	siy:YG5714_R0008
ko:K14237	siy:YG5714_R0018
ko:K14230	siy:YG5714_R0035
ko:K14219	siy:YG5714_R0030
ko:K14233	siy:YG5714_R0014
ko:K14237	siy:YG5714_R0038
ko:K13993	siy:YG5714_0221
ko:K03709	siy:YG5714_1473
ko:K00793	siy:YG5714_1818
ko:K15017	siy:YG5714_2976
ko:K03538	siy:YG5714_1423
ko:K01977	siy:YG5714_R0045
ko:K15372	siy:YG5714_2765
ko:K14534	siy:YG5714_2751
ko:K03653	siy:YG5714_1311
ko:K15038	siy:YG5714_1027
ko:K01524	siy:YG5714_0371
ko:K14654	siy:YG5714_0399
ko:K15037	siy:YG5714_0256
ko:K01964	siy:YG5714_0257
ko:K03457	siy:YG5714_0995
ko:K01470	siy:YG5714_2616
ko:K01170	siy:YG5714_1938
ko:K14234	siy:YG5714_R0002
ko:K14223	siy:YG5714_R0043
ko:K14223	siy:YG5714_R0026
ko:K05308	siy:YG5714_2288
ko:K01090	siy:YG5714_1131
ko:K01985	siy:YG5714_R0007
ko:K14228	siy:YG5714_R0001
ko:K01485	siy:YG5714_2716
ko:K14228	siy:YG5714_R0034
ko:K14228	siy:YG5714_R0040
ko:K06963	siy:YG5714_1363
ko:K14227	siy:YG5714_R0049
ko:K14230	siy:YG5714_R0013
ko:K01607	siy:YG5714_2575
ko:K18978	siy:YG5714_2291
ko:K10848	siy:YG5714_1407
ko:K05606	siy:YG5714_0220
ko:K15020	siy:YG5714_1372
ko:K02027	siy:YG5714_2774
ko:K14656	siy:YG5714_1257
ko:K14561	siy:YG5714_1404
ko:K15018	siy:YG5714_2284
ko:K14465	siy:YG5714_1723
ko:K03539	siy:YG5714_1396
ko:K18882	siy:YG5714_1575
ko:K15036	siy:YG5714_0255
ko:K15019	siy:YG5714_1486
ko:K15429	siy:YG5714_0234
ko:K11130	siy:YG5714_1164
ko:K11529	siy:YG5714_1475
ko:K01434	siy:YG5714_1040
ko:K15566	siy:YG5714_1134
ko:K15746	siy:YG5714_1669
ko:K02428	siy:YG5714_1791
ko:K14415	siy:YG5714_1242
ko:K15863	siy:YG5714_1889
ko:K07333	siy:YG5714_0184
ko:K15916	siy:YG5714_0094
ko:K15888	siy:YG5714_2100
ko:K15342	siy:YG5714_0759
ko:K15635	siy:YG5714_1803
ko:K14568	siy:YG5714_0043
ko:K11131	siy:YG5714_1827
ko:K05829	siy:YG5714_2107
ko:K05828	siy:YG5714_2106
ko:K03146	siy:YG5714_1786
ko:K14574	siy:YG5714_1399
ko:K00966	siy:YG5714_1901
ko:K14226	siy:YG5714_R0011
ko:K07332	siy:YG5714_0185
ko:K07050	siy:YG5714_1747
ko:K14564	siy:YG5714_1272
ko:K07332	siy:YG5714_2806
ko:K07333	siy:YG5714_2807
ko:K15977	siy:YG5714_2778
ko:K01683	siy:YG5714_2374
ko:K03417	siy:YG5714_2903
ko:K15496	siy:YG5714_1185
ko:K15497	siy:YG5714_1852
ko:K01684	siy:YG5714_2823
ko:K01641	siy:YG5714_1591
ko:K11645	siy:YG5714_2265
ko:K16264	siy:YG5714_0061
ko:K18125	siy:YG5714_2452
ko:K16785	siy:YG5714_0986
ko:K05825	siy:YG5714_2146
ko:K16640	siy:YG5714_0978
ko:K16640	siy:YG5714_2932
ko:K18779	siy:YG5714_1943
ko:K16786	siy:YG5714_0985
ko:K16787	siy:YG5714_0985
ko:K16933	siy:YG5714_2201
ko:K16936	siy:YG5714_0909
ko:K16935	siy:YG5714_2199
ko:K16846	siy:YG5714_0443
ko:K16845	siy:YG5714_0444
ko:K16937	siy:YG5714_0908
ko:K16934	siy:YG5714_2200
ko:K16937	siy:YG5714_0999
ko:K16937	siy:YG5714_2406
ko:K17219	siy:YG5714_0504
ko:K17311	siy:YG5714_1210
ko:K17313	siy:YG5714_1208
ko:K17104	siy:YG5714_1955
ko:K07329	siy:YG5714_0122
ko:K17105	siy:YG5714_1553
ko:K07486	siy:YG5714_2580
ko:K17221	siy:YG5714_0506
ko:K17220	siy:YG5714_0505
ko:K17218	siy:YG5714_0072
ko:K17218	siy:YG5714_2858
ko:K17312	siy:YG5714_1209
ko:K17314	siy:YG5714_1207
ko:K01011	siy:YG5714_1198
ko:K02189	siy:YG5714_2121
ko:K07333	siy:YG5714_2132
ko:K07332	siy:YG5714_2131
ko:K17285	siy:YG5714_2598
ko:K01992	siy:YG5714_0321
ko:K01992	siy:YG5714_0862
ko:K01992	siy:YG5714_2192
ko:K01992	siy:YG5714_2840
ko:K01990	siy:YG5714_0322
ko:K01990	siy:YG5714_0861
ko:K01990	siy:YG5714_2191
ko:K01990	siy:YG5714_2839
ko:K13953	siy:YG5714_0778
ko:K10112	siy:YG5714_2773
ko:K07064	siy:YG5714_2016
ko:K15771	siy:YG5714_1055
ko:K15770	siy:YG5714_1054
ko:K15772	siy:YG5714_1056
ko:K10112	siy:YG5714_1057
ko:K12574	siy:YG5714_0567
ko:K17758	siy:YG5714_0067
ko:K17759	siy:YG5714_0067
ko:K07577	siy:YG5714_2068
ko:K14259	siy:YG5714_2378
ko:K03520	siy:YG5714_2947
ko:K03520	siy:YG5714_0848
ko:K17884	siy:YG5714_1576
ko:K09022	siy:YG5714_2281
ko:K18021	siy:YG5714_2851
ko:K22585	siy:YG5714_1338
ko:K18020	siy:YG5714_2849
ko:K18022	siy:YG5714_2850
ko:K18125	siy:YG5714_2497
ko:K07076	siy:YG5714_1063
ko:K06930	siy:YG5714_0896
ko:K18125	siy:YG5714_2283
ko:K18126	siy:YG5714_2290
ko:K01897	siy:YG5714_1850
ko:K00666	siy:YG5714_0305
ko:K00666	siy:YG5714_2650
ko:K00520	siy:YG5714_2797
ko:K07068	siy:YG5714_0304
ko:K07068	siy:YG5714_1019
ko:K07076	siy:YG5714_1043
ko:K07076	siy:YG5714_1061
ko:K07076	siy:YG5714_0332
ko:K07076	siy:YG5714_0416
ko:K07076	siy:YG5714_0919
ko:K15449	siy:YG5714_1255
ko:K02058	siy:YG5714_0788
ko:K07495	siy:YG5714_0631
ko:K18367	siy:YG5714_0096
ko:K07092	siy:YG5714_2415
ko:K18532	siy:YG5714_1736
ko:K19076	siy:YG5714_0607
ko:K07068	siy:YG5714_2387
ko:K07495	siy:YG5714_2345
ko:K07475	siy:YG5714_0766
ko:K07495	siy:YG5714_0489
ko:K18861	siy:YG5714_0492
ko:K07495	siy:YG5714_0521
ko:K07495	siy:YG5714_2940
ko:K07486	siy:YG5714_0433
ko:K07486	siy:YG5714_2363
ko:K07486	siy:YG5714_2423
ko:K07495	siy:YG5714_2685
ko:K07012	siy:YG5714_0765
ko:K09723	siy:YG5714_1362
ko:K02493	siy:YG5714_1389
ko:K18859	siy:YG5714_0162
ko:K01409	siy:YG5714_1789
ko:K01872	siy:YG5714_0453
ko:K08851	siy:YG5714_1790
ko:K15450	siy:YG5714_1514
ko:K07464	siy:YG5714_0546
ko:K07464	siy:YG5714_0755
ko:K07464	siy:YG5714_2242
ko:K19142	siy:YG5714_0695
ko:K19142	siy:YG5714_0744
ko:K09127	siy:YG5714_0746
ko:K19146	siy:YG5714_0767
ko:K09951	siy:YG5714_0756
ko:K19074	siy:YG5714_0763
ko:K19076	siy:YG5714_0696
ko:K19076	siy:YG5714_0745
ko:K19085	siy:YG5714_0760
ko:K19089	siy:YG5714_0764
ko:K07725	siy:YG5714_0422
ko:K07725	siy:YG5714_0761
ko:K01066	siy:YG5714_0288
ko:K19412	siy:YG5714_1496
ko:K01066	siy:YG5714_0314
ko:K01785	siy:YG5714_2739
ko:K21268	siy:YG5714_0146
ko:K19244	siy:YG5714_1842
ko:K07092	siy:YG5714_1863
ko:K07092	siy:YG5714_1100
ko:K01273	siy:YG5714_0915
ko:K06148	siy:YG5714_2489
ko:K19710	siy:YG5714_1967
ko:K19664	siy:YG5714_1358
ko:K20215	siy:YG5714_1258
ko:K01214	siy:YG5714_0403
ko:K21029	siy:YG5714_1919
ko:K13075	siy:YG5714_0784
ko:K19588	siy:YG5714_2379
ko:K21220	siy:YG5714_2202
ko:K07496	siy:YG5714_0660
ko:K07495	siy:YG5714_0699
ko:K07096	siy:YG5714_0410
ko:K07486	siy:YG5714_0735
ko:K07486	siy:YG5714_0552
ko:K07097	siy:YG5714_0248
ko:K21142	siy:YG5714_0190
ko:K07489	siy:YG5714_0525
ko:K07064	siy:YG5714_0869
ko:K07096	siy:YG5714_0054
ko:K07096	siy:YG5714_2764
ko:K07450	siy:YG5714_2555
ko:K07450	siy:YG5714_2472
ko:K07450	siy:YG5714_0659
ko:K07486	siy:YG5714_0325
ko:K07486	siy:YG5714_0485
ko:K07486	siy:YG5714_0397
ko:K07486	siy:YG5714_1160
ko:K07486	siy:YG5714_2941
ko:K07496	siy:YG5714_2237
ko:K07496	siy:YG5714_2455
ko:K07499	siy:YG5714_2315
ko:K21219	siy:YG5714_0189
ko:K21417	siy:YG5714_0801
ko:K21416	siy:YG5714_0802
ko:K21416	siy:YG5714_2706
ko:K07486	siy:YG5714_2700
ko:K07495	siy:YG5714_0326
ko:K07495	siy:YG5714_2550
ko:K21567	siy:YG5714_0038
ko:K07496	siy:YG5714_2556
ko:K07493	siy:YG5714_0539
ko:K07496	siy:YG5714_0689
ko:K07496	siy:YG5714_0875
ko:K21929	siy:YG5714_0087
ko:K21929	siy:YG5714_2757
ko:K03564	siy:YG5714_2878
ko:K14274	siy:YG5714_2780
ko:K22206	siy:YG5714_1729
ko:K02316	siy:YG5714_2167
ko:K06927	siy:YG5714_1464
ko:K03547	siy:YG5714_0064
ko:K22205	siy:YG5714_1962
ko:K15634	siy:YG5714_0053
ko:K02257	siy:YG5714_1484
ko:K19302	siy:YG5714_2834
ko:K15865	siy:YG5714_0178
ko:K22447	siy:YG5714_1936
ko:K09759	siy:YG5714_2086
ko:K22469	siy:YG5714_1128
ko:K03800	siy:YG5714_1155
