ko:K18917	cpl:Cp3995_0641
ko:K01918	cpl:Cp3995_1833
ko:K00950	cpl:Cp3995_1837
ko:K01633	cpl:Cp3995_1838
ko:K00796	cpl:Cp3995_1839
ko:K02217	cpl:Cp3995_1716
ko:K02919	cpl:Cp3995_1720
ko:K06199	cpl:Cp3995_1737
ko:K06199	cpl:Cp3995_1738
ko:K02003	cpl:Cp3995_1740
ko:K03686	cpl:Cp3995_1949
ko:K03687	cpl:Cp3995_1950
ko:K04043	cpl:Cp3995_1951
ko:K07735	cpl:Cp3995_2160
ko:K03980	cpl:Cp3995_2164
ko:K03088	cpl:Cp3995_2166
ko:K00384	cpl:Cp3995_2168
ko:K03671	cpl:Cp3995_2169
ko:K01448	cpl:Cp3995_2170
ko:K00995	cpl:Cp3995_1211
ko:K01868	cpl:Cp3995_1214
ko:K07156	cpl:Cp3995_1217
ko:K01126	cpl:Cp3995_2021
ko:K02445	cpl:Cp3995_2022
ko:K02013	cpl:Cp3995_2024
ko:K02015	cpl:Cp3995_2025
ko:K02016	cpl:Cp3995_2026
ko:K01875	cpl:Cp3995_2032
ko:K03710	cpl:Cp3995_2033
ko:K01126	cpl:Cp3995_2046
ko:K04564	cpl:Cp3995_2053
ko:K00790	cpl:Cp3995_1743
ko:K01738	cpl:Cp3995_1747
ko:K00098	cpl:Cp3995_0141
ko:K02343	cpl:Cp3995_0146
ko:K09747	cpl:Cp3995_0147
ko:K06187	cpl:Cp3995_0148
ko:K01649	cpl:Cp3995_0160
ko:K05346	cpl:Cp3995_0161
ko:K00928	cpl:Cp3995_0172
ko:K00133	cpl:Cp3995_0175
ko:K03088	cpl:Cp3995_0176
ko:K03781	cpl:Cp3995_0177
ko:K02011	cpl:Cp3995_0184
ko:K02904	cpl:Cp3995_0356
ko:K02961	cpl:Cp3995_0357
ko:K02034	cpl:Cp3995_0360
ko:K02874	cpl:Cp3995_0364
ko:K01495	cpl:Cp3995_1840
ko:K03798	cpl:Cp3995_1841
ko:K00760	cpl:Cp3995_1842
ko:K04075	cpl:Cp3995_1843
ko:K07259	cpl:Cp3995_1844
ko:K11103	cpl:Cp3995_1847
ko:K08224	cpl:Cp3995_2055
ko:K02895	cpl:Cp3995_0365
ko:K02931	cpl:Cp3995_0366
ko:K03837	cpl:Cp3995_0368
ko:K01752	cpl:Cp3995_0369
ko:K02994	cpl:Cp3995_0373
ko:K02933	cpl:Cp3995_0374
ko:K02881	cpl:Cp3995_0375
ko:K02988	cpl:Cp3995_0376
ko:K02907	cpl:Cp3995_0377
ko:K02876	cpl:Cp3995_0378
ko:K03076	cpl:Cp3995_0388
ko:K02518	cpl:Cp3995_0393
ko:K02952	cpl:Cp3995_0394
ko:K02948	cpl:Cp3995_0395
ko:K02986	cpl:Cp3995_0396
ko:K03040	cpl:Cp3995_0397
ko:K02879	cpl:Cp3995_0398
ko:K06173	cpl:Cp3995_0399
ko:K01897	cpl:Cp3995_1575
ko:K00135	cpl:Cp3995_0650
ko:K04093	cpl:Cp3995_0651
ko:K07669	cpl:Cp3995_0671
ko:K07653	cpl:Cp3995_0672
ko:K08372	cpl:Cp3995_0673
ko:K01934	cpl:Cp3995_0678
ko:K07316	cpl:Cp3995_1498
ko:K02004	cpl:Cp3995_1509
ko:K07035	cpl:Cp3995_1513
ko:K00088	cpl:Cp3995_1514
ko:K01104	cpl:Cp3995_1535
ko:K01507	cpl:Cp3995_1845
ko:K13671	cpl:Cp3995_2061
ko:K05565	cpl:Cp3995_0194
ko:K06877	cpl:Cp3995_0225
ko:K14743	cpl:Cp3995_0403
ko:K07305	cpl:Cp3995_1221
ko:K03087	cpl:Cp3995_1243
ko:K03709	cpl:Cp3995_1244
ko:K01784	cpl:Cp3995_1245
ko:K03386	cpl:Cp3995_1251
ko:K02035	cpl:Cp3995_0634
ko:K02033	cpl:Cp3995_0635
ko:K02228	cpl:Cp3995_0640
ko:K01082	cpl:Cp3995_0644
ko:K03649	cpl:Cp3995_0646
ko:K05522	cpl:Cp3995_0647
ko:K01409	cpl:Cp3995_0423
ko:K00088	cpl:Cp3995_0429
ko:K00088	cpl:Cp3995_0430
ko:K02077	cpl:Cp3995_0447
ko:K03709	cpl:Cp3995_0451
ko:K13570	cpl:Cp3995_1057
ko:K13527	cpl:Cp3995_1059
ko:K07442	cpl:Cp3995_1060
ko:K05565	cpl:Cp3995_1863
ko:K05568	cpl:Cp3995_1865
ko:K05570	cpl:Cp3995_1867
ko:K03574	cpl:Cp3995_1879
ko:K14949	cpl:Cp3995_1882
ko:K02348	cpl:Cp3995_1886
ko:K03436	cpl:Cp3995_1260
ko:K08483	cpl:Cp3995_1261
ko:K03436	cpl:Cp3995_1262
ko:K00882	cpl:Cp3995_1263
ko:K11189	cpl:Cp3995_1266
ko:K06177	cpl:Cp3995_2077
ko:K01259	cpl:Cp3995_0707
ko:K02428	cpl:Cp3995_0723
ko:K09009	cpl:Cp3995_0728
ko:K12503	cpl:Cp3995_0737
ko:K00867	cpl:Cp3995_0739
ko:K02566	cpl:Cp3995_1542
ko:K03711	cpl:Cp3995_1560
ko:K01823	cpl:Cp3995_1581
ko:K15521	cpl:Cp3995_0259
ko:K07768	cpl:Cp3995_0261
ko:K07776	cpl:Cp3995_0262
ko:K06196	cpl:Cp3995_0286
ko:K02056	cpl:Cp3995_0016
ko:K01322	cpl:Cp3995_0239
ko:K00241	cpl:Cp3995_0244
ko:K01523	cpl:Cp3995_1070
ko:K00548	cpl:Cp3995_1072
ko:K15526	cpl:Cp3995_1074
ko:K06910	cpl:Cp3995_1081
ko:K07588	cpl:Cp3995_1089
ko:K01847	cpl:Cp3995_1090
ko:K01847	cpl:Cp3995_1091
ko:K03743	cpl:Cp3995_1288
ko:K05794	cpl:Cp3995_1292
ko:K03177	cpl:Cp3995_1306
ko:K07670	cpl:Cp3995_0523
ko:K07654	cpl:Cp3995_0524
ko:K02004	cpl:Cp3995_2118
ko:K07052	cpl:Cp3995_0039
ko:K03326	cpl:Cp3995_0298
ko:K02549	cpl:Cp3995_0299
ko:K14339	cpl:Cp3995_1117
ko:K00616	cpl:Cp3995_1123
ko:K09762	cpl:Cp3995_1132
ko:K00508	cpl:Cp3995_0533
ko:K01679	cpl:Cp3995_0749
ko:K02446	cpl:Cp3995_0750
ko:K04488	cpl:Cp3995_1111
ko:K07503	cpl:Cp3995_0865
ko:K01011	cpl:Cp3995_1917
ko:K02004	cpl:Cp3995_1938
ko:K02005	cpl:Cp3995_1940
ko:K13953	cpl:Cp3995_1944
ko:K00700	cpl:Cp3995_0870
ko:K13640	cpl:Cp3995_1948
ko:K02342	cpl:Cp3995_0881
ko:K02433	cpl:Cp3995_0885
ko:K00567	cpl:Cp3995_1322
ko:K02564	cpl:Cp3995_2125
ko:K01788	cpl:Cp3995_2127
ko:K00845	cpl:Cp3995_2128
ko:K02035	cpl:Cp3995_2130
ko:K02033	cpl:Cp3995_2131
ko:K07177	cpl:Cp3995_0557
ko:K09118	cpl:Cp3995_0560
ko:K01496	cpl:Cp3995_1389
ko:K09146	cpl:Cp3995_0777
ko:K15525	cpl:Cp3995_0781
ko:K00674	cpl:Cp3995_0788
ko:K00674	cpl:Cp3995_0790
ko:K01439	cpl:Cp3995_0791
ko:K13693	cpl:Cp3995_0794
ko:K02035	cpl:Cp3995_1593
ko:K02033	cpl:Cp3995_1594
ko:K02035	cpl:Cp3995_1602
ko:K07386	cpl:Cp3995_0099
ko:K11387	cpl:Cp3995_0103
ko:K13686	cpl:Cp3995_0104
ko:K11710	cpl:Cp3995_0114
ko:K11708	cpl:Cp3995_0115
ko:K11709	cpl:Cp3995_0116
ko:K11707	cpl:Cp3995_0117
ko:K02034	cpl:Cp3995_2132
ko:K07052	cpl:Cp3995_2136
ko:K02031	cpl:Cp3995_2132
ko:K01092	cpl:Cp3995_1391
ko:K01814	cpl:Cp3995_1392
ko:K01817	cpl:Cp3995_1392
ko:K02342	cpl:Cp3995_1404
ko:K02238	cpl:Cp3995_1613
ko:K12583	cpl:Cp3995_0302
ko:K00016	cpl:Cp3995_0304
ko:K00805	cpl:Cp3995_0306
ko:K01372	cpl:Cp3995_0312
ko:K07120	cpl:Cp3995_0081
ko:K03475	cpl:Cp3995_0085
ko:K00058	cpl:Cp3995_0910
ko:K07182	cpl:Cp3995_0912
ko:K02342	cpl:Cp3995_0913
ko:K01885	cpl:Cp3995_0917
ko:K03932	cpl:Cp3995_0918
ko:K07030	cpl:Cp3995_0933
ko:K08974	cpl:Cp3995_0943
ko:K00135	cpl:Cp3995_1986
ko:K01596	cpl:Cp3995_1997
ko:K06860	cpl:Cp3995_1999
ko:K02428	cpl:Cp3995_1698
ko:K02274	cpl:Cp3995_1713
ko:K03647	cpl:Cp3995_1718
ko:K01916	cpl:Cp3995_1721
ko:K01835	cpl:Cp3995_1736
ko:K02004	cpl:Cp3995_1739
ko:K02351	cpl:Cp3995_1671
ko:K07245	cpl:Cp3995_1671
ko:K07258	cpl:Cp3995_0471
ko:K01488	cpl:Cp3995_0473
ko:K02033	cpl:Cp3995_1958
ko:K00970	cpl:Cp3995_2161
ko:K10843	cpl:Cp3995_0600
ko:K01962	cpl:Cp3995_0617
ko:K01963	cpl:Cp3995_0617
ko:K01692	cpl:Cp3995_0621
ko:K01958	cpl:Cp3995_0481
ko:K11263	cpl:Cp3995_0484
ko:K01011	cpl:Cp3995_0485
ko:K00852	cpl:Cp3995_0491
ko:K01966	cpl:Cp3995_0494
ko:K01966	cpl:Cp3995_0495
ko:K02025	cpl:Cp3995_0504
ko:K03404	cpl:Cp3995_1326
ko:K03593	cpl:Cp3995_0806
ko:K01616	cpl:Cp3995_0810
ko:K04517	cpl:Cp3995_0133
ko:K06994	cpl:Cp3995_0136
ko:K01885	cpl:Cp3995_0138
ko:K01515	cpl:Cp3995_0986
ko:K04763	cpl:Cp3995_0987
ko:K07792	cpl:Cp3995_0998
ko:K07054	cpl:Cp3995_1176
ko:K03768	cpl:Cp3995_1190
ko:K02035	cpl:Cp3995_1194
ko:K08256	cpl:Cp3995_1209
ko:K05602	cpl:Cp3995_0582
ko:K12942	cpl:Cp3995_0586
ko:K10563	cpl:Cp3995_1371
ko:K03929	cpl:Cp3995_0814
ko:K03307	cpl:Cp3995_0819
ko:K04750	cpl:Cp3995_0825
ko:K00666	cpl:Cp3995_0849
ko:K03299	cpl:Cp3995_0139
ko:K00851	cpl:Cp3995_0140
ko:K00046	cpl:Cp3995_0142
ko:K03299	cpl:Cp3995_0149
ko:K07009	cpl:Cp3995_0156
ko:K02342	cpl:Cp3995_0158
ko:K03784	cpl:Cp3995_0162
ko:K01619	cpl:Cp3995_0164
ko:K02035	cpl:Cp3995_0358
ko:K02033	cpl:Cp3995_0361
ko:K01424	cpl:Cp3995_0371
ko:K00939	cpl:Cp3995_0389
ko:K13787	cpl:Cp3995_1447
ko:K00845	cpl:Cp3995_1455
ko:K13668	cpl:Cp3995_1456
ko:K03891	cpl:Cp3995_1460
ko:K03890	cpl:Cp3995_1461
ko:K03889	cpl:Cp3995_1462
ko:K03932	cpl:Cp3995_1804
ko:K13687	cpl:Cp3995_2013
ko:K14136	cpl:Cp3995_2015
ko:K01854	cpl:Cp3995_2023
ko:K04518	cpl:Cp3995_2037
ko:K03317	cpl:Cp3995_2047
ko:K01489	cpl:Cp3995_2048
ko:K00758	cpl:Cp3995_2049
ko:K00016	cpl:Cp3995_2050
ko:K07304	cpl:Cp3995_2051
ko:K02755	cpl:Cp3995_0948
ko:K02756	cpl:Cp3995_0948
ko:K02757	cpl:Cp3995_0948
ko:K15520	cpl:Cp3995_1763
ko:K02619	cpl:Cp3995_1767
ko:K03647	cpl:Cp3995_1773
ko:K03499	cpl:Cp3995_1784
ko:K12437	cpl:Cp3995_2006
ko:K12428	cpl:Cp3995_2007
ko:K07657	cpl:Cp3995_0187
ko:K05570	cpl:Cp3995_0190
ko:K05568	cpl:Cp3995_0192
ko:K06889	cpl:Cp3995_1016
ko:K07397	cpl:Cp3995_1016
ko:K00033	cpl:Cp3995_1028
ko:K00721	cpl:Cp3995_1039
ko:K13540	cpl:Cp3995_1045
ko:K00595	cpl:Cp3995_1048
ko:K03727	cpl:Cp3995_1051
ko:K13573	cpl:Cp3995_1054
ko:K13571	cpl:Cp3995_1056
ko:K14232	cpl:Cp3995_t36
ko:K16147	cpl:Cp3995_0871
ko:K16148	cpl:Cp3995_0800
ko:K16164	cpl:Cp3995_0153
ko:K10716	cpl:Cp3995_0551
ko:K14235	cpl:Cp3995_t16
ko:K02028	cpl:Cp3995_0940
ko:K15733	cpl:Cp3995_1215
ko:K12574	cpl:Cp3995_1296
ko:K14232	cpl:Cp3995_t11
ko:K18955	cpl:Cp3995_0511
ko:K01840	cpl:Cp3995_0165
ko:K01840	cpl:Cp3995_0478
ko:K01834	cpl:Cp3995_0260
ko:K01840	cpl:Cp3995_0514
ko:K01977	cpl:Cp3995_r01
ko:K01977	cpl:Cp3995_r04
ko:K01977	cpl:Cp3995_r12
ko:K01977	cpl:Cp3995_r09
ko:K14222	cpl:Cp3995_t30
ko:K16264	cpl:Cp3995_0907
ko:K15772	cpl:Cp3995_0382
ko:K16653	cpl:Cp3995_0106
ko:K15770	cpl:Cp3995_0380
ko:K15771	cpl:Cp3995_0381
ko:K16783	cpl:Cp3995_1285
ko:K02484	cpl:Cp3995_1789
ko:K01985	cpl:Cp3995_r03
ko:K01985	cpl:Cp3995_r06
ko:K01985	cpl:Cp3995_r10
ko:K01985	cpl:Cp3995_r07
ko:K16784	cpl:Cp3995_1284
ko:K16652	cpl:Cp3995_0105
ko:K16647	cpl:Cp3995_1219
ko:K16650	cpl:Cp3995_2017
ko:K16649	cpl:Cp3995_0112
ko:K02851	cpl:Cp3995_0854
ko:K16648	cpl:Cp3995_1991
ko:K02030	cpl:Cp3995_0942
ko:K02030	cpl:Cp3995_1881
ko:K11991	cpl:Cp3995_0135
ko:K01906	cpl:Cp3995_1206
ko:K02031	cpl:Cp3995_0774
ko:K02032	cpl:Cp3995_0774
ko:K14219	cpl:Cp3995_t18
ko:K14225	cpl:Cp3995_t49
ko:K14228	cpl:Cp3995_t41
ko:K14233	cpl:Cp3995_t10
ko:K14219	cpl:Cp3995_t21
ko:K01980	cpl:Cp3995_r02
ko:K01980	cpl:Cp3995_r08
ko:K01980	cpl:Cp3995_r11
ko:K01980	cpl:Cp3995_r05
ko:K14228	cpl:Cp3995_t20
ko:K14228	cpl:Cp3995_t25
ko:K14228	cpl:Cp3995_t27
ko:K14224	cpl:Cp3995_t23
ko:K14224	cpl:Cp3995_t24
ko:K14231	cpl:Cp3995_t43
ko:K14234	cpl:Cp3995_t48
ko:K14232	cpl:Cp3995_t26
ko:K14237	cpl:Cp3995_t28
ko:K14237	cpl:Cp3995_t31
ko:K14237	cpl:Cp3995_t33
ko:K14220	cpl:Cp3995_t35
ko:K14226	cpl:Cp3995_t39
ko:K14218	cpl:Cp3995_t42
ko:K02768	cpl:Cp3995_1357
ko:K02769	cpl:Cp3995_1357
ko:K02770	cpl:Cp3995_1357
ko:K14234	cpl:Cp3995_t14
ko:K14225	cpl:Cp3995_t37
ko:K00966	cpl:Cp3995_0510
ko:K02303	cpl:Cp3995_1319
ko:K00951	cpl:Cp3995_1192
ko:K08316	cpl:Cp3995_0936
ko:K14225	cpl:Cp3995_t29
ko:K14225	cpl:Cp3995_t32
ko:K00108	cpl:Cp3995_1832
ko:K16870	cpl:Cp3995_0509
ko:K16925	cpl:Cp3995_0766
ko:K16786	cpl:Cp3995_0767
ko:K16787	cpl:Cp3995_0767
ko:K16785	cpl:Cp3995_0768
ko:K14227	cpl:Cp3995_t01
ko:K14228	cpl:Cp3995_t04
ko:K14233	cpl:Cp3995_t06
ko:K14234	cpl:Cp3995_t12
ko:K14236	cpl:Cp3995_t13
ko:K14223	cpl:Cp3995_t19
ko:K14223	cpl:Cp3995_t22
ko:K14224	cpl:Cp3995_t46
ko:K14229	cpl:Cp3995_t40
ko:K14229	cpl:Cp3995_t47
ko:K14221	cpl:Cp3995_t45
ko:K14221	cpl:Cp3995_t44
ko:K14218	cpl:Cp3995_t02
ko:K14218	cpl:Cp3995_t03
ko:K14233	cpl:Cp3995_t05
ko:K14233	cpl:Cp3995_t09
ko:K14219	cpl:Cp3995_t07
ko:K14219	cpl:Cp3995_t08
ko:K14219	cpl:Cp3995_t38
ko:K14230	cpl:Cp3995_t15
ko:K14230	cpl:Cp3995_t17
ko:K14230	cpl:Cp3995_t34
ko:K15582	cpl:Cp3995_0773
ko:K15581	cpl:Cp3995_0772
ko:K01990	cpl:Cp3995_1928
ko:K01992	cpl:Cp3995_1929
ko:K01992	cpl:Cp3995_0197
ko:K01992	cpl:Cp3995_1904
ko:K01990	cpl:Cp3995_1905
ko:K01990	cpl:Cp3995_2080
ko:K01990	cpl:Cp3995_0198
ko:K01897	cpl:Cp3995_0258
ko:K15580	cpl:Cp3995_0771
ko:K10112	cpl:Cp3995_0386
ko:K03416	cpl:Cp3995_0577
ko:K17489	cpl:Cp3995_0578
ko:K01990	cpl:Cp3995_0328
ko:K01990	cpl:Cp3995_1118
ko:K01990	cpl:Cp3995_1670
ko:K01990	cpl:Cp3995_1878
ko:K17490	cpl:Cp3995_0580
ko:K01186	cpl:Cp3995_0391
ko:K17489	cpl:Cp3995_0579
ko:K17686	cpl:Cp3995_2088
ko:K03671	cpl:Cp3995_2086
ko:K02010	cpl:Cp3995_0183
ko:K11928	cpl:Cp3995_0829
ko:K01658	cpl:Cp3995_2149
ko:K02026	cpl:Cp3995_0503
ko:K19745	cpl:Cp3995_1675
ko:K07284	cpl:Cp3995_1923
ko:K03767	cpl:Cp3995_0018
ko:K01267	cpl:Cp3995_1061
ko:K14337	cpl:Cp3995_1448
ko:K00537	cpl:Cp3995_0776
ko:K02027	cpl:Cp3995_0506
ko:K07284	cpl:Cp3995_1926
ko:K07284	cpl:Cp3995_1954
ko:K00254	cpl:Cp3995_1078
ko:K08168	cpl:Cp3995_0163
ko:K17883	cpl:Cp3995_1329
ko:K02031	cpl:Cp3995_0637
ko:K02032	cpl:Cp3995_0637
ko:K02031	cpl:Cp3995_1596
ko:K02032	cpl:Cp3995_1596
ko:K02031	cpl:Cp3995_0359
ko:K02032	cpl:Cp3995_0359
ko:K02058	cpl:Cp3995_0014
ko:K00130	cpl:Cp3995_1830
ko:K21480	cpl:Cp3995_1522
ko:K18118	cpl:Cp3995_1755
ko:K21687	cpl:Cp3995_0603
ko:K18292	cpl:Cp3995_1183
ko:K21688	cpl:Cp3995_0692
ko:K06221	cpl:Cp3995_0620
ko:K07052	cpl:Cp3995_1695
ko:K14267	cpl:Cp3995_0597
ko:K01256	cpl:Cp3995_1649
ko:K00620	cpl:Cp3995_0966
ko:K00299	cpl:Cp3995_1181
ko:K07052	cpl:Cp3995_1825
ko:K01619	cpl:Cp3995_0250
ko:K13671	cpl:Cp3995_2011
ko:K00641	cpl:Cp3995_0456
ko:K01687	cpl:Cp3995_0900
ko:K00652	cpl:Cp3995_1207
ko:K02483	cpl:Cp3995_1790
ko:K16237	cpl:Cp3995_0789
ko:K16237	cpl:Cp3995_0787
ko:K18455	cpl:Cp3995_0735
ko:K03574	cpl:Cp3995_0927
ko:K01990	cpl:Cp3995_0119
ko:K01992	cpl:Cp3995_0120
ko:K02032	cpl:Cp3995_1956
ko:K02032	cpl:Cp3995_2133
ko:K18955	cpl:Cp3995_0203
ko:K18955	cpl:Cp3995_0541
ko:K06147	cpl:Cp3995_0811
ko:K18929	cpl:Cp3995_0841
ko:K18928	cpl:Cp3995_0842
ko:K04565	cpl:Cp3995_0619
ko:K03497	cpl:Cp3995_2172
ko:K03496	cpl:Cp3995_2173
ko:K03111	cpl:Cp3995_1658
ko:K03496	cpl:Cp3995_0988
ko:K03111	cpl:Cp3995_2094
ko:K03976	cpl:Cp3995_0537
ko:K03526	cpl:Cp3995_1335
ko:K19125	cpl:Cp3995_0024
ko:K10563	cpl:Cp3995_2108
ko:K19221	cpl:Cp3995_1324
ko:K00798	cpl:Cp3995_1744
ko:K01710	cpl:Cp3995_0237
ko:K01239	cpl:Cp3995_1823
ko:K01239	cpl:Cp3995_1304
ko:K19265	cpl:Cp3995_0895
ko:K01785	cpl:Cp3995_0818
ko:K03722	cpl:Cp3995_1706
ko:K19302	cpl:Cp3995_2019
ko:K19302	cpl:Cp3995_0118
ko:K00020	cpl:Cp3995_0150
ko:K00526	cpl:Cp3995_1715
ko:K01992	cpl:Cp3995_1877
ko:K06867	cpl:Cp3995_1573
ko:K06867	cpl:Cp3995_1611
ko:K06881	cpl:Cp3995_1310
ko:K19577	cpl:Cp3995_0465
ko:K19710	cpl:Cp3995_1213
ko:K19784	cpl:Cp3995_2054
ko:K07119	cpl:Cp3995_1681
ko:K02033	cpl:Cp3995_1601
ko:K02034	cpl:Cp3995_1601
ko:K09796	cpl:Cp3995_1216
ko:K12132	cpl:Cp3995_0032
ko:K12132	cpl:Cp3995_1450
ko:K12132	cpl:Cp3995_0033
ko:K20074	cpl:Cp3995_0036
ko:K20468	cpl:Cp3995_2001
ko:K20470	cpl:Cp3995_2000
ko:K01214	cpl:Cp3995_1403
ko:K01200	cpl:Cp3995_0715
ko:K20814	cpl:Cp3995_1058
ko:K00525	cpl:Cp3995_1717
ko:K21071	cpl:Cp3995_0893
ko:K01768	cpl:Cp3995_0229
ko:K00821	cpl:Cp3995_0968
ko:K00821	cpl:Cp3995_0969
ko:K21636	cpl:Cp3995_0333
ko:K02335	cpl:Cp3995_0945
ko:K00287	cpl:Cp3995_0642
ko:K00560	cpl:Cp3995_0643
ko:K02316	cpl:Cp3995_1548
ko:K06217	cpl:Cp3995_1568
ko:K03553	cpl:Cp3995_1281
ko:K03465	cpl:Cp3995_1298
ko:K06191	cpl:Cp3995_1719
ko:K01520	cpl:Cp3995_1229
ko:K07465	cpl:Cp3995_1063
ko:K02314	cpl:Cp3995_2090
ko:K09820	cpl:Cp3995_0319
ko:K01436	cpl:Cp3995_0479
ko:K22468	cpl:Cp3995_0698
ko:K09819	cpl:Cp3995_0320
ko:K02075	cpl:Cp3995_0450
ko:K02075	cpl:Cp3995_0449
ko:K02074	cpl:Cp3995_0448
ko:K00526	cpl:Cp3995_1774
ko:K21481	cpl:Cp3995_1683
ko:K21473	cpl:Cp3995_1099
ko:K21471	cpl:Cp3995_1457
ko:K05364	cpl:Cp3995_0034
ko:K21401	cpl:Cp3995_0305
ko:K21498	cpl:Cp3995_1064
ko:K10914	cpl:Cp3995_0207
ko:K21685	cpl:Cp3995_1745
ko:K21962	cpl:Cp3995_1102
ko:K22044	cpl:Cp3995_0903
ko:K22044	cpl:Cp3995_1652
ko:K03595	cpl:Cp3995_1564
ko:K00666	cpl:Cp3995_0233
ko:K01046	cpl:Cp3995_0071
ko:K17758	cpl:Cp3995_2109
ko:K17759	cpl:Cp3995_2109
ko:K22316	cpl:Cp3995_1530
ko:K22306	cpl:Cp3995_1616
ko:K02257	cpl:Cp3995_1121
ko:K22311	cpl:Cp3995_1210
ko:K22476	cpl:Cp3995_1874
ko:K00728	cpl:Cp3995_0685
ko:K22468	cpl:Cp3995_1852
ko:K08300	cpl:Cp3995_1627
ko:K08301	cpl:Cp3995_1627
ko:K07566	cpl:Cp3995_0853
