ko:K09796	psr:PSTAA_2146
ko:K01776	psr:PSTAA_3345
ko:K02493	psr:PSTAA_3347
ko:K02835	psr:PSTAA_3348
ko:K02492	psr:PSTAA_3349
ko:K02494	psr:PSTAA_3351
ko:K00919	psr:PSTAA_3352
ko:K00948	psr:PSTAA_3355
ko:K02897	psr:PSTAA_3356
ko:K01056	psr:PSTAA_3357
ko:K06942	psr:PSTAA_3358
ko:K07649	psr:PSTAA_4193
ko:K07080	psr:PSTAA_4197
ko:K11066	psr:PSTAA_4206
ko:K03673	psr:PSTAA_4209
ko:K03978	psr:PSTAA_4211
ko:K00281	psr:PSTAA_4212
ko:K02437	psr:PSTAA_4213
ko:K00605	psr:PSTAA_4214
ko:K02011	psr:PSTAA_4215
ko:K02012	psr:PSTAA_4216
ko:K03185	psr:PSTAA_4219
ko:K09895	psr:PSTAA_4221
ko:K09888	psr:PSTAA_4223
ko:K02415	psr:PSTAA_4227
ko:K03071	psr:PSTAA_4229
ko:K15633	psr:PSTAA_4232
ko:K03797	psr:PSTAA_4234
ko:K09798	psr:PSTAA_4235
ko:K02500	psr:PSTAA_4238
ko:K01814	psr:PSTAA_4239
ko:K02501	psr:PSTAA_4241
ko:K01693	psr:PSTAA_4242
ko:K10536	psr:PSTAA_0062
ko:K12251	psr:PSTAA_0063
ko:K01915	psr:PSTAA_0065
ko:K07010	psr:PSTAA_0066
ko:K01915	psr:PSTAA_0067
ko:K12256	psr:PSTAA_0068
ko:K11073	psr:PSTAA_0069
ko:K11073	psr:PSTAA_0070
ko:K11076	psr:PSTAA_0071
ko:K11075	psr:PSTAA_0072
ko:K11074	psr:PSTAA_0073
ko:K07234	psr:PSTAA_0074
ko:K10126	psr:PSTAA_0086
ko:K10125	psr:PSTAA_0087
ko:K00067	psr:PSTAA_0088
ko:K01790	psr:PSTAA_0089
ko:K00973	psr:PSTAA_0090
ko:K13926	psr:PSTAA_0093
ko:K01993	psr:PSTAA_0094
ko:K02065	psr:PSTAA_0097
ko:K02066	psr:PSTAA_0098
ko:K11891	psr:PSTAA_0106
ko:K11892	psr:PSTAA_0107
ko:K11893	psr:PSTAA_0108
ko:K11906	psr:PSTAA_0109
ko:K09939	psr:PSTAA_0964
ko:K15011	psr:PSTAA_0967
ko:K15012	psr:PSTAA_0968
ko:K07088	psr:PSTAA_0969
ko:K07301	psr:PSTAA_0973
ko:K07301	psr:PSTAA_0974
ko:K03642	psr:PSTAA_0975
ko:K02434	psr:PSTAA_0976
ko:K02435	psr:PSTAA_0978
ko:K03569	psr:PSTAA_0979
ko:K03570	psr:PSTAA_0980
ko:K03571	psr:PSTAA_0981
ko:K06287	psr:PSTAA_0983
ko:K08301	psr:PSTAA_0984
ko:K03568	psr:PSTAA_0987
ko:K09889	psr:PSTAA_0988
ko:K03592	psr:PSTAA_0989
ko:K06958	psr:PSTAA_0991
ko:K05808	psr:PSTAA_0993
ko:K03092	psr:PSTAA_0994
ko:K06861	psr:PSTAA_0995
ko:K09774	psr:PSTAA_0996
ko:K11719	psr:PSTAA_0997
ko:K03270	psr:PSTAA_0998
ko:K06041	psr:PSTAA_0999
ko:K02065	psr:PSTAA_1000
ko:K02066	psr:PSTAA_1001
ko:K07323	psr:PSTAA_1003
ko:K00790	psr:PSTAA_1007
ko:K00765	psr:PSTAA_1008
ko:K00013	psr:PSTAA_1009
ko:K00817	psr:PSTAA_1010
ko:K04691	psr:PSTAA_1011
ko:K00957	psr:PSTAA_1013
ko:K07152	psr:PSTAA_1854
ko:K00759	psr:PSTAA_1855
ko:K09792	psr:PSTAA_1859
ko:K09926	psr:PSTAA_1862
ko:K00406	psr:PSTAA_1864
ko:K00407	psr:PSTAA_1865
ko:K00405	psr:PSTAA_1866
ko:K00404	psr:PSTAA_1867
ko:K00406	psr:PSTAA_1868
ko:K00405	psr:PSTAA_1869
ko:K07020	psr:PSTAA_1872
ko:K01681	psr:PSTAA_1874
ko:K06968	psr:PSTAA_1875
ko:K15408	psr:PSTAA_1879
ko:K02275	psr:PSTAA_1880
ko:K03639	psr:PSTAA_1884
ko:K03529	psr:PSTAA_1885
ko:K03528	psr:PSTAA_1886
ko:K01972	psr:PSTAA_1887
ko:K02406	psr:PSTAA_1888
ko:K02407	psr:PSTAA_1890
ko:K02422	psr:PSTAA_1892
ko:K09913	psr:PSTAA_1894
ko:K09922	psr:PSTAA_1895
ko:K01647	psr:PSTAA_1896
ko:K00242	psr:PSTAA_1898
ko:K00239	psr:PSTAA_1899
ko:K00240	psr:PSTAA_1900
ko:K00164	psr:PSTAA_1901
ko:K00658	psr:PSTAA_1902
ko:K00382	psr:PSTAA_1903
ko:K01903	psr:PSTAA_1904
ko:K01902	psr:PSTAA_1905
ko:K03311	psr:PSTAA_1906
ko:K00645	psr:PSTAA_2744
ko:K03621	psr:PSTAA_2745
ko:K02911	psr:PSTAA_2746
ko:K07040	psr:PSTAA_2747
ko:K04773	psr:PSTAA_2749
ko:K01091	psr:PSTAA_2750
ko:K08300	psr:PSTAA_2752
ko:K00075	psr:PSTAA_2753
ko:K00979	psr:PSTAA_2755
ko:K09791	psr:PSTAA_2756
ko:K00912	psr:PSTAA_2757
ko:K03561	psr:PSTAA_2759
ko:K09928	psr:PSTAA_2761
ko:K09808	psr:PSTAA_2762
ko:K09808	psr:PSTAA_2764
ko:K01126	psr:PSTAA_2767
ko:K00322	psr:PSTAA_2768
ko:K05952	psr:PSTAA_2769
ko:K03734	psr:PSTAA_2770
ko:K00351	psr:PSTAA_2771
ko:K00350	psr:PSTAA_2772
ko:K00349	psr:PSTAA_2773
ko:K00348	psr:PSTAA_2774
ko:K00347	psr:PSTAA_2775
ko:K00346	psr:PSTAA_2776
ko:K00134	psr:PSTAA_2777
ko:K03723	psr:PSTAA_2778
ko:K03724	psr:PSTAA_2784
ko:K09912	psr:PSTAA_2789
ko:K03215	psr:PSTAA_2792
ko:K12339	psr:PSTAA_2793
ko:K05596	psr:PSTAA_2794
ko:K07168	psr:PSTAA_3637
ko:K07234	psr:PSTAA_3641
ko:K03116	psr:PSTAA_3642
ko:K07218	psr:PSTAA_3646
ko:K00376	psr:PSTAA_3647
ko:K09943	psr:PSTAA_3650
ko:K00384	psr:PSTAA_3655
ko:K01752	psr:PSTAA_3656
ko:K13924	psr:PSTAA_3657
ko:K03721	psr:PSTAA_3658
ko:K00500	psr:PSTAA_3659
ko:K00832	psr:PSTAA_3661
ko:K01725	psr:PSTAA_3663
ko:K03781	psr:PSTAA_3665
ko:K10974	psr:PSTAA_3666
ko:K06193	psr:PSTAA_3670
ko:K02057	psr:PSTAA_3675
ko:K02057	psr:PSTAA_3676
ko:K02053	psr:PSTAA_0678
ko:K01783	psr:PSTAA_0681
ko:K01091	psr:PSTAA_0682
ko:K01657	psr:PSTAA_0683
ko:K00766	psr:PSTAA_0685
ko:K01609	psr:PSTAA_0686
ko:K07397	psr:PSTAA_0688
ko:K06134	psr:PSTAA_0689
ko:K02503	psr:PSTAA_0690
ko:K08973	psr:PSTAA_0693
ko:K00145	psr:PSTAA_0694
ko:K15724	psr:PSTAA_0695
ko:K09001	psr:PSTAA_0696
ko:K01866	psr:PSTAA_0698
ko:K02358	psr:PSTAA_0707
ko:K03073	psr:PSTAA_0710
ko:K02601	psr:PSTAA_0711
ko:K02867	psr:PSTAA_0712
ko:K02863	psr:PSTAA_0713
ko:K02864	psr:PSTAA_0714
ko:K02935	psr:PSTAA_0715
ko:K03043	psr:PSTAA_0716
ko:K03046	psr:PSTAA_0717
ko:K02950	psr:PSTAA_0718
ko:K02992	psr:PSTAA_0719
ko:K02355	psr:PSTAA_0720
ko:K02946	psr:PSTAA_0722
ko:K02906	psr:PSTAA_0723
ko:K02926	psr:PSTAA_0724
ko:K02892	psr:PSTAA_0725
ko:K02886	psr:PSTAA_0726
ko:K02965	psr:PSTAA_0727
ko:K02890	psr:PSTAA_0728
ko:K02982	psr:PSTAA_0729
ko:K02878	psr:PSTAA_0730
ko:K02904	psr:PSTAA_0731
ko:K02961	psr:PSTAA_0732
ko:K00677	psr:PSTAA_1572
ko:K00748	psr:PSTAA_1573
ko:K03470	psr:PSTAA_1574
ko:K02337	psr:PSTAA_1575
ko:K01962	psr:PSTAA_1576
ko:K04075	psr:PSTAA_1577
ko:K01937	psr:PSTAA_1578
ko:K01627	psr:PSTAA_1579
ko:K01689	psr:PSTAA_1580
ko:K05589	psr:PSTAA_1582
ko:K00991	psr:PSTAA_1583
ko:K01070	psr:PSTAA_1588
ko:K01770	psr:PSTAA_1591
ko:K06176	psr:PSTAA_1592
ko:K03787	psr:PSTAA_1593
ko:K00573	psr:PSTAA_1594
ko:K06194	psr:PSTAA_1596
ko:K06886	psr:PSTAA_1604
ko:K15268	psr:PSTAA_1608
ko:K01129	psr:PSTAA_1613
ko:K12972	psr:PSTAA_1615
ko:K02040	psr:PSTAA_1625
ko:K04764	psr:PSTAA_2472
ko:K01890	psr:PSTAA_2473
ko:K01889	psr:PSTAA_2474
ko:K02887	psr:PSTAA_2475
ko:K02916	psr:PSTAA_2476
ko:K02520	psr:PSTAA_2477
ko:K01868	psr:PSTAA_2478
ko:K03752	psr:PSTAA_2485
ko:K01129	psr:PSTAA_2493
ko:K09923	psr:PSTAA_2495
ko:K07259	psr:PSTAA_2496
ko:K12297	psr:PSTAA_2497
ko:K03812	psr:PSTAA_2498
ko:K15371	psr:PSTAA_2502
ko:K03924	psr:PSTAA_2503
ko:K02575	psr:PSTAA_2514
ko:K00362	psr:PSTAA_2517
ko:K00363	psr:PSTAA_2518
ko:K00372	psr:PSTAA_2519
ko:K01998	psr:PSTAA_3360
ko:K01997	psr:PSTAA_3361
ko:K01999	psr:PSTAA_3362
ko:K01996	psr:PSTAA_3363
ko:K01995	psr:PSTAA_3364
ko:K01969	psr:PSTAA_3371
ko:K13766	psr:PSTAA_3372
ko:K01968	psr:PSTAA_3373
ko:K01640	psr:PSTAA_3374
ko:K01028	psr:PSTAA_3375
ko:K01029	psr:PSTAA_3376
ko:K15977	psr:PSTAA_3385
ko:K01673	psr:PSTAA_3393
ko:K00697	psr:PSTAA_3394
ko:K01087	psr:PSTAA_3395
ko:K03789	psr:PSTAA_3397
ko:K01649	psr:PSTAA_3399
ko:K03300	psr:PSTAA_3404
ko:K13747	psr:PSTAA_3406
ko:K03808	psr:PSTAA_3411
ko:K03808	psr:PSTAA_3412
ko:K07289	psr:PSTAA_4248
ko:K03575	psr:PSTAA_4249
ko:K02168	psr:PSTAA_4254
ko:K02029	psr:PSTAA_4257
ko:K02029	psr:PSTAA_4258
ko:K01792	psr:PSTAA_4259
ko:K13928	psr:PSTAA_4261
ko:K00285	psr:PSTAA_4262
ko:K13935	psr:PSTAA_4266
ko:K13934	psr:PSTAA_4267
ko:K13933	psr:PSTAA_4268
ko:K13932	psr:PSTAA_4269
ko:K13931	psr:PSTAA_4270
ko:K13930	psr:PSTAA_4271
ko:K13929	psr:PSTAA_4272
ko:K05774	psr:PSTAA_4274
ko:K07080	psr:PSTAA_4277
ko:K09165	psr:PSTAA_4288
ko:K06975	psr:PSTAA_4295
ko:K05995	psr:PSTAA_4296
ko:K07001	psr:PSTAA_4298
ko:K07516	psr:PSTAA_0117
ko:K02902	psr:PSTAA_0128
ko:K02913	psr:PSTAA_0129
ko:K06966	psr:PSTAA_0133
ko:K02204	psr:PSTAA_0134
ko:K00325	psr:PSTAA_0144
ko:K00324	psr:PSTAA_0145
ko:K00324	psr:PSTAA_0146
ko:K02455	psr:PSTAA_0148
ko:K02456	psr:PSTAA_0149
ko:K02457	psr:PSTAA_0150
ko:K02458	psr:PSTAA_0151
ko:K02459	psr:PSTAA_0152
ko:K02460	psr:PSTAA_0153
ko:K02461	psr:PSTAA_0154
ko:K02462	psr:PSTAA_0155
ko:K03655	psr:PSTAA_0157
ko:K04761	psr:PSTAA_0158
ko:K07088	psr:PSTAA_0162
ko:K02400	psr:PSTAA_0167
ko:K00955	psr:PSTAA_1014
ko:K02652	psr:PSTAA_1016
ko:K02654	psr:PSTAA_1018
ko:K00859	psr:PSTAA_1019
ko:K02871	psr:PSTAA_1022
ko:K02996	psr:PSTAA_1023
ko:K00411	psr:PSTAA_1024
ko:K00412	psr:PSTAA_1025
ko:K00413	psr:PSTAA_1026
ko:K03599	psr:PSTAA_1027
ko:K03600	psr:PSTAA_1028
ko:K03271	psr:PSTAA_1030
ko:K07460	psr:PSTAA_1031
ko:K07121	psr:PSTAA_1032
ko:K07056	psr:PSTAA_1033
ko:K03925	psr:PSTAA_1034
ko:K03438	psr:PSTAA_1035
ko:K03586	psr:PSTAA_1036
ko:K03587	psr:PSTAA_1037
ko:K01928	psr:PSTAA_1038
ko:K01929	psr:PSTAA_1039
ko:K01000	psr:PSTAA_1040
ko:K01925	psr:PSTAA_1041
ko:K03588	psr:PSTAA_1042
ko:K02563	psr:PSTAA_1043
ko:K01924	psr:PSTAA_1044
ko:K01921	psr:PSTAA_1045
ko:K03589	psr:PSTAA_1046
ko:K03590	psr:PSTAA_1048
ko:K03531	psr:PSTAA_1049
ko:K02535	psr:PSTAA_1050
ko:K03594	psr:PSTAA_1051
ko:K04064	psr:PSTAA_1054
ko:K07507	psr:PSTAA_1056
ko:K06966	psr:PSTAA_1060
ko:K03321	psr:PSTAA_1062
ko:K00116	psr:PSTAA_1064
ko:K07286	psr:PSTAA_1066
ko:K04079	psr:PSTAA_1911
ko:K07862	psr:PSTAA_1917
ko:K01716	psr:PSTAA_1919
ko:K00057	psr:PSTAA_1920
ko:K08296	psr:PSTAA_1922
ko:K07001	psr:PSTAA_1928
ko:K01008	psr:PSTAA_1929
ko:K06917	psr:PSTAA_1930
ko:K02874	psr:PSTAA_0733
ko:K02895	psr:PSTAA_0734
ko:K02931	psr:PSTAA_0735
ko:K02954	psr:PSTAA_0736
ko:K02994	psr:PSTAA_0737
ko:K02933	psr:PSTAA_0738
ko:K02881	psr:PSTAA_0739
ko:K02988	psr:PSTAA_0740
ko:K02907	psr:PSTAA_0741
ko:K02876	psr:PSTAA_0742
ko:K03076	psr:PSTAA_0743
ko:K02919	psr:PSTAA_0744
ko:K02952	psr:PSTAA_0745
ko:K02948	psr:PSTAA_0746
ko:K02986	psr:PSTAA_0747
ko:K03040	psr:PSTAA_0748
ko:K02879	psr:PSTAA_0749
ko:K03781	psr:PSTAA_0750
ko:K03701	psr:PSTAA_0751
ko:K00067	psr:PSTAA_0754
ko:K07275	psr:PSTAA_0756
ko:K03561	psr:PSTAA_0758
ko:K03561	psr:PSTAA_0759
ko:K03832	psr:PSTAA_0761
ko:K09950	psr:PSTAA_0763
ko:K02003	psr:PSTAA_0765
ko:K05838	psr:PSTAA_0768
ko:K07112	psr:PSTAA_0769
ko:K01975	psr:PSTAA_0771
ko:K07738	psr:PSTAA_0774
ko:K11752	psr:PSTAA_0775
ko:K00793	psr:PSTAA_0776
ko:K14652	psr:PSTAA_0777
ko:K00794	psr:PSTAA_0778
ko:K03625	psr:PSTAA_0779
ko:K00946	psr:PSTAA_0780
ko:K01095	psr:PSTAA_0781
ko:K06985	psr:PSTAA_0782
ko:K03547	psr:PSTAA_0788
ko:K00111	psr:PSTAA_1628
ko:K02444	psr:PSTAA_1629
ko:K00864	psr:PSTAA_1630
ko:K02440	psr:PSTAA_1631
ko:K03111	psr:PSTAA_0753
ko:K03924	psr:PSTAA_1932
ko:K00140	psr:PSTAA_1949
ko:K01546	psr:PSTAA_1952
ko:K01547	psr:PSTAA_1953
ko:K01548	psr:PSTAA_1954
ko:K07646	psr:PSTAA_1955
ko:K07667	psr:PSTAA_1956
ko:K00688	psr:PSTAA_1957
ko:K07184	psr:PSTAA_1962
ko:K07678	psr:PSTAA_2797
ko:K15461	psr:PSTAA_2798
ko:K07090	psr:PSTAA_2800
ko:K09919	psr:PSTAA_2812
ko:K00563	psr:PSTAA_2816
ko:K03704	psr:PSTAA_2818
ko:K15256	psr:PSTAA_2825
ko:K00631	psr:PSTAA_2827
ko:K03826	psr:PSTAA_2828
ko:K03805	psr:PSTAA_2830
ko:K07644	psr:PSTAA_2832
ko:K07233	psr:PSTAA_2839
ko:K03809	psr:PSTAA_2843
ko:K06911	psr:PSTAA_2844
ko:K03669	psr:PSTAA_2846
ko:K03670	psr:PSTAA_2847
ko:K05349	psr:PSTAA_2848
ko:K09018	psr:PSTAA_3692
ko:K09021	psr:PSTAA_3694
ko:K09023	psr:PSTAA_3695
ko:K09019	psr:PSTAA_3696
ko:K09024	psr:PSTAA_3697
ko:K06204	psr:PSTAA_3698
ko:K07552	psr:PSTAA_3705
ko:K03594	psr:PSTAA_3711
ko:K07178	psr:PSTAA_3715
ko:K10778	psr:PSTAA_3716
ko:K03424	psr:PSTAA_3718
ko:K03807	psr:PSTAA_3720
ko:K03806	psr:PSTAA_3721
ko:K05982	psr:PSTAA_3722
ko:K06916	psr:PSTAA_3724
ko:K01867	psr:PSTAA_3725
ko:K07018	psr:PSTAA_3726
ko:K09908	psr:PSTAA_3727
ko:K00767	psr:PSTAA_3728
ko:K03885	psr:PSTAA_3730
ko:K03695	psr:PSTAA_3734
ko:K05810	psr:PSTAA_3735
ko:K06180	psr:PSTAA_3736
ko:K05807	psr:PSTAA_3737
ko:K06950	psr:PSTAA_3738
ko:K02668	psr:PSTAA_3739
ko:K02667	psr:PSTAA_3740
ko:K01775	psr:PSTAA_3746
ko:K02939	psr:PSTAA_3748
ko:K08159	psr:PSTAA_1640
ko:K08303	psr:PSTAA_1641
ko:K01053	psr:PSTAA_1650
ko:K03782	psr:PSTAA_1658
ko:K01118	psr:PSTAA_1661
ko:K07661	psr:PSTAA_1666
ko:K07639	psr:PSTAA_1667
ko:K05526	psr:PSTAA_1679
ko:K06879	psr:PSTAA_1682
ko:K01256	psr:PSTAA_2523
ko:K09916	psr:PSTAA_2525
ko:K00858	psr:PSTAA_2528
ko:K09977	psr:PSTAA_2529
ko:K07240	psr:PSTAA_2530
ko:K07090	psr:PSTAA_2531
ko:K00797	psr:PSTAA_2534
ko:K01247	psr:PSTAA_2535
ko:K08967	psr:PSTAA_2539
ko:K05820	psr:PSTAA_2540
ko:K01736	psr:PSTAA_2541
ko:K02024	psr:PSTAA_2544
ko:K01690	psr:PSTAA_2552
ko:K06024	psr:PSTAA_2553
ko:K05896	psr:PSTAA_2554
ko:K01867	psr:PSTAA_2555
ko:K07053	psr:PSTAA_2557
ko:K09780	psr:PSTAA_2558
ko:K06940	psr:PSTAA_2564
ko:K09781	psr:PSTAA_2566
ko:K07401	psr:PSTAA_2572
ko:K07001	psr:PSTAA_2573
ko:K03654	psr:PSTAA_2575
ko:K07039	psr:PSTAA_2576
ko:K09790	psr:PSTAA_2577
ko:K00053	psr:PSTAA_3419
ko:K01653	psr:PSTAA_3420
ko:K01652	psr:PSTAA_3421
ko:K05365	psr:PSTAA_3425
ko:K02013	psr:PSTAA_3431
ko:K02015	psr:PSTAA_3432
ko:K04084	psr:PSTAA_3434
ko:K03786	psr:PSTAA_3435
ko:K02160	psr:PSTAA_3436
ko:K01961	psr:PSTAA_3437
ko:K02687	psr:PSTAA_3438
ko:K03557	psr:PSTAA_3441
ko:K00602	psr:PSTAA_3442
ko:K01945	psr:PSTAA_3443
ko:K07088	psr:PSTAA_3448
ko:K00067	psr:PSTAA_3449
ko:K06206	psr:PSTAA_3450
ko:K06204	psr:PSTAA_3452
ko:K01894	psr:PSTAA_3453
ko:K00950	psr:PSTAA_3458
ko:K00606	psr:PSTAA_3459
ko:K01918	psr:PSTAA_3460
ko:K01579	psr:PSTAA_3461
ko:K01810	psr:PSTAA_3462
ko:K06969	psr:PSTAA_3464
ko:K00962	psr:PSTAA_3469
ko:K02956	psr:PSTAA_3470
ko:K06991	psr:PSTAA_4307
ko:K01414	psr:PSTAA_4309
ko:K07070	psr:PSTAA_4310
ko:K01673	psr:PSTAA_4314
ko:K02275	psr:PSTAA_4318
ko:K02276	psr:PSTAA_4321
ko:K02259	psr:PSTAA_4325
ko:K07152	psr:PSTAA_4327
ko:K03088	psr:PSTAA_4331
ko:K00820	psr:PSTAA_4342
ko:K04042	psr:PSTAA_4345
ko:K02114	psr:PSTAA_4346
ko:K02112	psr:PSTAA_4347
ko:K02115	psr:PSTAA_4348
ko:K02111	psr:PSTAA_4349
ko:K02113	psr:PSTAA_4350
ko:K02109	psr:PSTAA_4351
ko:K02110	psr:PSTAA_4352
ko:K02108	psr:PSTAA_4353
ko:K02401	psr:PSTAA_0168
ko:K02421	psr:PSTAA_0169
ko:K02420	psr:PSTAA_0170
ko:K02419	psr:PSTAA_0171
ko:K02417	psr:PSTAA_0172
ko:K02416	psr:PSTAA_0173
ko:K02408	psr:PSTAA_0175
ko:K02409	psr:PSTAA_0176
ko:K02410	psr:PSTAA_0177
ko:K02411	psr:PSTAA_0178
ko:K02412	psr:PSTAA_0179
ko:K02398	psr:PSTAA_0181
ko:K02399	psr:PSTAA_0182
ko:K02407	psr:PSTAA_0183
ko:K02422	psr:PSTAA_0184
ko:K02415	psr:PSTAA_0187
ko:K02405	psr:PSTAA_0188
ko:K02556	psr:PSTAA_0189
ko:K02557	psr:PSTAA_0190
ko:K02406	psr:PSTAA_0193
ko:K02386	psr:PSTAA_0194
ko:K02387	psr:PSTAA_0195
ko:K02388	psr:PSTAA_0196
ko:K02389	psr:PSTAA_0197
ko:K02390	psr:PSTAA_0198
ko:K02391	psr:PSTAA_0199
ko:K02392	psr:PSTAA_0200
ko:K02393	psr:PSTAA_0201
ko:K02394	psr:PSTAA_0202
ko:K02396	psr:PSTAA_0204
ko:K02397	psr:PSTAA_0205
ko:K03088	psr:PSTAA_0215
ko:K10126	psr:PSTAA_0216
ko:K10125	psr:PSTAA_0217
ko:K00574	psr:PSTAA_0220
ko:K13788	psr:PSTAA_1087
ko:K00925	psr:PSTAA_1088
ko:K03775	psr:PSTAA_1089
ko:K00432	psr:PSTAA_1090
ko:K06203	psr:PSTAA_1093
ko:K09948	psr:PSTAA_1095
ko:K07589	psr:PSTAA_1096
ko:K13938	psr:PSTAA_1097
ko:K06205	psr:PSTAA_1099
ko:K05520	psr:PSTAA_1106
ko:K01676	psr:PSTAA_1108
ko:K00873	psr:PSTAA_1111
ko:K03924	psr:PSTAA_1117
ko:K01141	psr:PSTAA_1122
ko:K01433	psr:PSTAA_1124
ko:K02379	psr:PSTAA_1968
ko:K01083	psr:PSTAA_1973
ko:K03562	psr:PSTAA_1974
ko:K07093	psr:PSTAA_1977
ko:K00363	psr:PSTAA_1982
ko:K00362	psr:PSTAA_1983
ko:K12410	psr:PSTAA_1984
ko:K00574	psr:PSTAA_1987
ko:K09701	psr:PSTAA_1988
ko:K01669	psr:PSTAA_1992
ko:K07071	psr:PSTAA_1995
ko:K01772	psr:PSTAA_1996
ko:K07589	psr:PSTAA_2002
ko:K01495	psr:PSTAA_2003
ko:K07237	psr:PSTAA_2013
ko:K07236	psr:PSTAA_2014
ko:K07235	psr:PSTAA_2015
ko:K15984	psr:PSTAA_2861
ko:K01595	psr:PSTAA_2867
ko:K04567	psr:PSTAA_2876
ko:K02836	psr:PSTAA_2877
ko:K07462	psr:PSTAA_2881
ko:K07160	psr:PSTAA_2883
ko:K02192	psr:PSTAA_2890
ko:K03594	psr:PSTAA_2891
ko:K03773	psr:PSTAA_2892
ko:K03554	psr:PSTAA_2895
ko:K09760	psr:PSTAA_2902
ko:K09978	psr:PSTAA_2906
ko:K02336	psr:PSTAA_2908
ko:K02963	psr:PSTAA_3750
ko:K02990	psr:PSTAA_3751
ko:K03218	psr:PSTAA_3753
ko:K12573	psr:PSTAA_3754
ko:K01939	psr:PSTAA_3756
ko:K02502	psr:PSTAA_3757
ko:K04087	psr:PSTAA_3758
ko:K04088	psr:PSTAA_3759
ko:K03665	psr:PSTAA_3760
ko:K03666	psr:PSTAA_3761
ko:K00791	psr:PSTAA_3762
ko:K03572	psr:PSTAA_3763
ko:K01448	psr:PSTAA_3764
ko:K06925	psr:PSTAA_3765
ko:K03798	psr:PSTAA_3768
ko:K03186	psr:PSTAA_3770
ko:K02558	psr:PSTAA_3771
ko:K03735	psr:PSTAA_3774
ko:K03736	psr:PSTAA_3775
ko:K09933	psr:PSTAA_3778
ko:K03088	psr:PSTAA_3785
ko:K13745	psr:PSTAA_3786
ko:K03897	psr:PSTAA_3788
ko:K03602	psr:PSTAA_3793
ko:K13789	psr:PSTAA_3794
ko:K01662	psr:PSTAA_3795
ko:K03579	psr:PSTAA_3801
ko:K03833	psr:PSTAA_0224
ko:K01042	psr:PSTAA_0225
ko:K02380	psr:PSTAA_0226
ko:K00123	psr:PSTAA_0229
ko:K00123	psr:PSTAA_0230
ko:K03657	psr:PSTAA_0236
ko:K08303	psr:PSTAA_0238
ko:K09794	psr:PSTAA_0239
ko:K00928	psr:PSTAA_0240
ko:K10674	psr:PSTAA_0241
ko:K06720	psr:PSTAA_0242
ko:K00836	psr:PSTAA_0243
ko:K06718	psr:PSTAA_0244
ko:K00036	psr:PSTAA_0245
ko:K01960	psr:PSTAA_0249
ko:K07086	psr:PSTAA_0250
ko:K01425	psr:PSTAA_0252
ko:K01673	psr:PSTAA_0253
ko:K03310	psr:PSTAA_0256
ko:K01744	psr:PSTAA_0259
ko:K00457	psr:PSTAA_0262
ko:K01588	psr:PSTAA_0264
ko:K01589	psr:PSTAA_0265
ko:K09950	psr:PSTAA_0267
ko:K03778	psr:PSTAA_0269
ko:K02045	psr:PSTAA_0270
ko:K02047	psr:PSTAA_0271
ko:K02046	psr:PSTAA_0272
ko:K02048	psr:PSTAA_0273
ko:K07002	psr:PSTAA_0275
ko:K00299	psr:PSTAA_0277
ko:K06915	psr:PSTAA_1126
ko:K09861	psr:PSTAA_1129
ko:K07175	psr:PSTAA_1131
ko:K03637	psr:PSTAA_1132
ko:K03636	psr:PSTAA_1133
ko:K03732	psr:PSTAA_1136
ko:K06999	psr:PSTAA_1137
ko:K09969	psr:PSTAA_1138
ko:K09970	psr:PSTAA_1139
ko:K09971	psr:PSTAA_1140
ko:K09972	psr:PSTAA_1141
ko:K01952	psr:PSTAA_1142
ko:K06938	psr:PSTAA_1148
ko:K08289	psr:PSTAA_1149
ko:K03106	psr:PSTAA_1152
ko:K02959	psr:PSTAA_1153
ko:K02860	psr:PSTAA_1154
ko:K00554	psr:PSTAA_1155
ko:K02884	psr:PSTAA_1156
ko:K03981	psr:PSTAA_1158
ko:K00003	psr:PSTAA_1160
ko:K01733	psr:PSTAA_1161
ko:K03683	psr:PSTAA_1162
ko:K01465	psr:PSTAA_1163
ko:K01940	psr:PSTAA_1165
ko:K10773	psr:PSTAA_1168
ko:K03648	psr:PSTAA_1179
ko:K08995	psr:PSTAA_1180
ko:K01915	psr:PSTAA_2022
ko:K00641	psr:PSTAA_2023
ko:K09967	psr:PSTAA_2038
ko:K09967	psr:PSTAA_2039
ko:K03424	psr:PSTAA_2043
ko:K04760	psr:PSTAA_2047
ko:K02003	psr:PSTAA_2049
ko:K10804	psr:PSTAA_2050
ko:K06975	psr:PSTAA_2054
ko:K01626	psr:PSTAA_2055
ko:K00077	psr:PSTAA_2056
ko:K13634	psr:PSTAA_2057
ko:K00390	psr:PSTAA_2058
ko:K02203	psr:PSTAA_2059
ko:K01665	psr:PSTAA_2060
ko:K09773	psr:PSTAA_2069
ko:K02553	psr:PSTAA_2071
ko:K01923	psr:PSTAA_2910
ko:K07287	psr:PSTAA_2911
ko:K01714	psr:PSTAA_2912
ko:K03567	psr:PSTAA_2913
ko:K03564	psr:PSTAA_2914
ko:K03517	psr:PSTAA_2918
ko:K06920	psr:PSTAA_2922
ko:K10026	psr:PSTAA_2923
ko:K03640	psr:PSTAA_2925
ko:K03641	psr:PSTAA_2926
ko:K03562	psr:PSTAA_2929
ko:K01075	psr:PSTAA_2930
