ko:K09796	myc:NF90_13045
ko:K00681	myc:NF90_10465
ko:K02020	myc:NF90_10470
ko:K03703	myc:NF90_10485
ko:K06958	myc:NF90_10490
ko:K09762	myc:NF90_10500
ko:K00134	myc:NF90_10510
ko:K00927	myc:NF90_10515
ko:K01803	myc:NF90_10520
ko:K07054	myc:NF90_10530
ko:K03075	myc:NF90_10535
ko:K08641	myc:NF90_14900
ko:K03781	myc:NF90_14905
ko:K12262	myc:NF90_14910
ko:K03568	myc:NF90_14980
ko:K02025	myc:NF90_14985
ko:K02026	myc:NF90_14990
ko:K02027	myc:NF90_14995
ko:K16785	myc:NF90_15010
ko:K16786	myc:NF90_15015
ko:K16787	myc:NF90_15015
ko:K06889	myc:NF90_15030
ko:K07397	myc:NF90_15030
ko:K01129	myc:NF90_15050
ko:K15372	myc:NF90_15070
ko:K01880	myc:NF90_15075
ko:K02067	myc:NF90_15105
ko:K02066	myc:NF90_15115
ko:K02066	myc:NF90_15120
ko:K00666	myc:NF90_15125
ko:K02078	myc:NF90_15130
ko:K01992	myc:NF90_15135
ko:K01990	myc:NF90_15140
ko:K13745	myc:NF90_15160
ko:K00836	myc:NF90_15165
ko:K01933	myc:NF90_19495
ko:K00215	myc:NF90_19500
ko:K01426	myc:NF90_19515
ko:K02031	myc:NF90_19525
ko:K02032	myc:NF90_19525
ko:K02034	myc:NF90_19530
ko:K02033	myc:NF90_19535
ko:K02035	myc:NF90_19540
ko:K00764	myc:NF90_19570
ko:K07052	myc:NF90_19590
ko:K01952	myc:NF90_19600
ko:K07223	myc:NF90_19625
ko:K01952	myc:NF90_19635
ko:K01952	myc:NF90_19640
ko:K07077	myc:NF90_19650
ko:K06986	myc:NF90_19655
ko:K00432	myc:NF90_19660
ko:K01354	myc:NF90_19675
ko:K01923	myc:NF90_19680
ko:K01756	myc:NF90_19690
ko:K01945	myc:NF90_19715
ko:K15268	myc:NF90_19740
ko:K02484	myc:NF90_19750
ko:K00389	myc:NF90_19770
ko:K00135	myc:NF90_02575
ko:K08372	myc:NF90_02635
ko:K09956	myc:NF90_02640
ko:K01130	myc:NF90_02645
ko:K07407	myc:NF90_02660
ko:K01494	myc:NF90_02690
ko:K00012	myc:NF90_02700
ko:K14260	myc:NF90_02705
ko:K15977	myc:NF90_02730
ko:K04043	myc:NF90_02820
ko:K03687	myc:NF90_02825
ko:K03686	myc:NF90_02830
ko:K13640	myc:NF90_02835
ko:K03695	myc:NF90_02860
ko:K06994	myc:NF90_02870
ko:K12421	myc:NF90_07325
ko:K16150	myc:NF90_07330
ko:K16149	myc:NF90_07335
ko:K03521	myc:NF90_07345
ko:K03522	myc:NF90_07350
ko:K04487	myc:NF90_07375
ko:K00566	myc:NF90_07380
ko:K03921	myc:NF90_07390
ko:K06901	myc:NF90_07395
ko:K04719	myc:NF90_07405
ko:K01692	myc:NF90_07410
ko:K01972	myc:NF90_07435
ko:K02435	myc:NF90_07450
ko:K02433	myc:NF90_07455
ko:K03929	myc:NF90_07485
ko:K02434	myc:NF90_07495
ko:K15977	myc:NF90_07505
ko:K00480	myc:NF90_07515
ko:K03718	myc:NF90_07530
ko:K01652	myc:NF90_07550
ko:K01653	myc:NF90_07555
ko:K00053	myc:NF90_07560
ko:K07225	myc:NF90_12020
ko:K03782	myc:NF90_12090
ko:K03891	myc:NF90_12105
ko:K02050	myc:NF90_12125
ko:K02051	myc:NF90_12130
ko:K02045	myc:NF90_12135
ko:K06153	myc:NF90_12190
ko:K06911	myc:NF90_12210
ko:K03742	myc:NF90_12225
ko:K06199	myc:NF90_12240
ko:K06199	myc:NF90_12245
ko:K02017	myc:NF90_12270
ko:K02018	myc:NF90_12275
ko:K02020	myc:NF90_12280
ko:K03885	myc:NF90_12300
ko:K03190	myc:NF90_12305
ko:K07552	myc:NF90_16645
ko:K01616	myc:NF90_16655
ko:K00027	myc:NF90_16700
ko:K05595	myc:NF90_16705
ko:K03284	myc:NF90_16710
ko:K10112	myc:NF90_16725
ko:K02026	myc:NF90_16730
ko:K02025	myc:NF90_16735
ko:K02027	myc:NF90_16740
ko:K01644	myc:NF90_16755
ko:K03593	myc:NF90_16770
ko:K03117	myc:NF90_16775
ko:K03088	myc:NF90_16790
ko:K01990	myc:NF90_16805
ko:K01992	myc:NF90_16810
ko:K00975	myc:NF90_16820
ko:K16148	myc:NF90_16825
ko:K01246	myc:NF90_16835
ko:K13693	myc:NF90_16850
ko:K00796	myc:NF90_16855
ko:K00666	myc:NF90_16870
ko:K06966	myc:NF90_16875
ko:K06966	myc:NF90_16880
ko:K08223	myc:NF90_16890
ko:K00864	myc:NF90_21255
ko:K02440	myc:NF90_21260
ko:K18913	myc:NF90_21300
ko:K18911	myc:NF90_21305
ko:K07008	myc:NF90_21310
ko:K18912	myc:NF90_21315
ko:K01919	myc:NF90_21320
ko:K00820	myc:NF90_21350
ko:K01443	myc:NF90_21355
ko:K00847	myc:NF90_21370
ko:K03320	myc:NF90_21385
ko:K03781	myc:NF90_21410
ko:K09922	myc:NF90_21415
ko:K00133	myc:NF90_21445
ko:K00928	myc:NF90_21450
ko:K01649	myc:NF90_21475
ko:K02909	myc:NF90_21480
ko:K02902	myc:NF90_21490
ko:K02913	myc:NF90_21495
ko:K02954	myc:NF90_21500
ko:K02963	myc:NF90_21505
ko:K02342	myc:NF90_21515
ko:K10215	myc:NF90_04400
ko:K02548	myc:NF90_04445
ko:K04564	myc:NF90_04450
ko:K00772	myc:NF90_04455
ko:K01911	myc:NF90_04475
ko:K03306	myc:NF90_04485
ko:K01661	myc:NF90_04510
ko:K06975	myc:NF90_04525
ko:K06911	myc:NF90_04530
ko:K02549	myc:NF90_04555
ko:K02551	myc:NF90_04565
ko:K12583	myc:NF90_04575
ko:K03183	myc:NF90_04580
ko:K00805	myc:NF90_04590
ko:K03799	myc:NF90_04595
ko:K15983	myc:NF90_04640
ko:K00057	myc:NF90_04655
ko:K09767	myc:NF90_04670
ko:K07738	myc:NF90_09080
ko:K00322	myc:NF90_09100
ko:K03709	myc:NF90_09115
ko:K03087	myc:NF90_09120
ko:K07058	myc:NF90_09135
ko:K09930	myc:NF90_09150
ko:K00567	myc:NF90_09200
ko:K03086	myc:NF90_09215
ko:K00886	myc:NF90_09220
ko:K01092	myc:NF90_09225
ko:K03088	myc:NF90_09265
ko:K03499	myc:NF90_09285
ko:K03499	myc:NF90_09290
ko:K03313	myc:NF90_09305
ko:K01662	myc:NF90_09310
ko:K01586	myc:NF90_09315
ko:K03684	myc:NF90_09325
ko:K01599	myc:NF90_09335
ko:K00231	myc:NF90_09340
ko:K07305	myc:NF90_09365
ko:K01523	myc:NF90_13740
ko:K00548	myc:NF90_13750
ko:K04788	myc:NF90_13775
ko:K04792	myc:NF90_13780
ko:K04789	myc:NF90_13785
ko:K04790	myc:NF90_13795
ko:K04791	myc:NF90_13800
ko:K15526	myc:NF90_13815
ko:K01082	myc:NF90_13820
ko:K06153	myc:NF90_13855
ko:K00254	myc:NF90_13875
ko:K06910	myc:NF90_13880
ko:K08224	myc:NF90_13900
ko:K06994	myc:NF90_13905
ko:K00645	myc:NF90_13920
ko:K00059	myc:NF90_13930
ko:K09458	myc:NF90_13940
ko:K09458	myc:NF90_13950
ko:K02221	myc:NF90_13990
ko:K09772	myc:NF90_14010
ko:K06997	myc:NF90_14015
ko:K05810	myc:NF90_14020
ko:K03531	myc:NF90_14025
ko:K02066	myc:NF90_18420
ko:K02066	myc:NF90_18425
ko:K02067	myc:NF90_18435
ko:K18481	myc:NF90_18460
ko:K00122	myc:NF90_18485
ko:K00537	myc:NF90_18515
ko:K06994	myc:NF90_18530
ko:K07107	myc:NF90_18555
ko:K02346	myc:NF90_18580
ko:K06996	myc:NF90_18585
ko:K09861	myc:NF90_18590
ko:K09959	myc:NF90_18600
ko:K00138	myc:NF90_18605
ko:K00675	myc:NF90_22995
ko:K02470	myc:NF90_23030
ko:K03629	myc:NF90_23040
ko:K00033	myc:NF90_23045
ko:K02338	myc:NF90_23050
ko:K03975	myc:NF90_01115
ko:K03088	myc:NF90_01165
ko:K01640	myc:NF90_01175
ko:K02433	myc:NF90_01210
ko:K01687	myc:NF90_01225
ko:K03307	myc:NF90_01230
ko:K00849	myc:NF90_01235
ko:K00965	myc:NF90_01240
ko:K00076	myc:NF90_01265
ko:K00666	myc:NF90_01295
ko:K00549	myc:NF90_01310
ko:K01647	myc:NF90_01330
ko:K03417	myc:NF90_01335
ko:K01720	myc:NF90_01340
ko:K00252	myc:NF90_01380
ko:K00758	myc:NF90_05865
ko:K01488	myc:NF90_05870
ko:K00761	myc:NF90_05910
ko:K01840	myc:NF90_05915
ko:K03783	myc:NF90_05920
ko:K00382	myc:NF90_05940
ko:K00111	myc:NF90_05945
ko:K06177	myc:NF90_05950
ko:K07006	myc:NF90_05955
ko:K03724	myc:NF90_05965
ko:K00128	myc:NF90_05975
ko:K03719	myc:NF90_05985
ko:K03918	myc:NF90_05990
ko:K11263	myc:NF90_06010
ko:K02426	myc:NF90_06015
ko:K01011	myc:NF90_06020
ko:K00851	myc:NF90_06065
ko:K03299	myc:NF90_06070
ko:K01061	myc:NF90_06080
ko:K06287	myc:NF90_06090
ko:K01966	myc:NF90_06100
ko:K00666	myc:NF90_06115
ko:K15982	myc:NF90_06120
ko:K03524	myc:NF90_06125
ko:K01057	myc:NF90_10555
ko:K00036	myc:NF90_10565
ko:K00616	myc:NF90_10570
ko:K00615	myc:NF90_10575
ko:K02259	myc:NF90_10600
ko:K02067	myc:NF90_10625
ko:K02066	myc:NF90_10635
ko:K02066	myc:NF90_10640
ko:K01992	myc:NF90_10675
ko:K01990	myc:NF90_10680
ko:K14339	myc:NF90_10685
ko:K09014	myc:NF90_10695
ko:K09015	myc:NF90_10700
ko:K09013	myc:NF90_10705
ko:K11717	myc:NF90_10710
ko:K04488	myc:NF90_10715
ko:K00384	myc:NF90_10745
ko:K01692	myc:NF90_10755
ko:K01681	myc:NF90_10790
ko:K03924	myc:NF90_10810
ko:K07114	myc:NF90_10820
ko:K11610	myc:NF90_10825
ko:K11611	myc:NF90_10830
ko:K01772	myc:NF90_10835
ko:K03711	myc:NF90_15195
ko:K03584	myc:NF90_15210
ko:K01426	myc:NF90_15215
ko:K07042	myc:NF90_15240
ko:K09761	myc:NF90_15250
ko:K03686	myc:NF90_15255
ko:K03705	myc:NF90_15260
ko:K00392	myc:NF90_15275
ko:K00390	myc:NF90_15280
ko:K00957	myc:NF90_15285
ko:K00956	myc:NF90_15290
ko:K02045	myc:NF90_15305
ko:K02047	myc:NF90_15310
ko:K02046	myc:NF90_15315
ko:K02048	myc:NF90_15320
ko:K00459	myc:NF90_15375
ko:K03596	myc:NF90_15380
ko:K02968	myc:NF90_15410
ko:K02340	myc:NF90_15415
ko:K02238	myc:NF90_15445
ko:K02237	myc:NF90_15450
ko:K12422	myc:NF90_19820
ko:K03924	myc:NF90_19860
ko:K04077	myc:NF90_19875
ko:K03750	myc:NF90_19935
ko:K01613	myc:NF90_19940
ko:K17103	myc:NF90_19945
ko:K13525	myc:NF90_19950
ko:K05565	myc:NF90_19955
ko:K05567	myc:NF90_19960
ko:K05568	myc:NF90_19965
ko:K05569	myc:NF90_19970
ko:K05570	myc:NF90_19975
ko:K05571	myc:NF90_19980
ko:K01666	myc:NF90_20000
ko:K04073	myc:NF90_20005
ko:K02554	myc:NF90_20010
ko:K16051	myc:NF90_20015
ko:K07124	myc:NF90_02880
ko:K00762	myc:NF90_02885
ko:K07107	myc:NF90_02905
ko:K03975	myc:NF90_02910
ko:K01624	myc:NF90_02915
ko:K01939	myc:NF90_02940
ko:K03088	myc:NF90_02955
ko:K00574	myc:NF90_02965
ko:K09701	myc:NF90_02970
ko:K00574	myc:NF90_02980
ko:K07071	myc:NF90_02990
ko:K01669	myc:NF90_02995
ko:K03316	myc:NF90_03010
ko:K08289	myc:NF90_03015
ko:K10764	myc:NF90_03030
ko:K06994	myc:NF90_03040
ko:K02029	myc:NF90_03050
ko:K02028	myc:NF90_03055
ko:K02030	myc:NF90_03060
ko:K01191	myc:NF90_03105
ko:K13788	myc:NF90_03110
ko:K00925	myc:NF90_03115
ko:K14949	myc:NF90_03120
ko:K02030	myc:NF90_03125
ko:K03574	myc:NF90_03135
ko:K00788	myc:NF90_03145
ko:K03153	myc:NF90_03150
ko:K03154	myc:NF90_03155
ko:K03149	myc:NF90_03160
ko:K10679	myc:NF90_07660
ko:K00058	myc:NF90_07690
ko:K00052	myc:NF90_07695
ko:K01885	myc:NF90_07720
ko:K01703	myc:NF90_07765
ko:K01704	myc:NF90_07770
ko:K03530	myc:NF90_07775
ko:K03574	myc:NF90_07780
ko:K00937	myc:NF90_07785
ko:K14941	myc:NF90_07790
ko:K00057	myc:NF90_07795
ko:K01758	myc:NF90_07800
ko:K01921	myc:NF90_07805
ko:K00946	myc:NF90_07815
ko:K03648	myc:NF90_07820
ko:K15866	myc:NF90_07830
ko:K02902	myc:NF90_07835
ko:K07030	myc:NF90_07840
ko:K03655	myc:NF90_07845
ko:K05337	myc:NF90_07865
ko:K03189	myc:NF90_12310
ko:K03188	myc:NF90_12315
ko:K01428	myc:NF90_12320
ko:K01429	myc:NF90_12325
ko:K01430	myc:NF90_12330
ko:K00033	myc:NF90_12380
ko:K00088	myc:NF90_12385
ko:K01638	myc:NF90_12400
ko:K00281	myc:NF90_12410
ko:K08999	myc:NF90_12420
ko:K02437	myc:NF90_12435
ko:K03070	myc:NF90_12460
ko:K03977	myc:NF90_12550
ko:K00945	myc:NF90_12555
ko:K06178	myc:NF90_12560
ko:K06024	myc:NF90_12565
ko:K05896	myc:NF90_12570
ko:K04763	myc:NF90_12580
ko:K01515	myc:NF90_12585
ko:K01937	myc:NF90_12590
ko:K01439	myc:NF90_16900
ko:K00674	myc:NF90_16905
ko:K12429	myc:NF90_16920
ko:K00318	myc:NF90_16925
ko:K00294	myc:NF90_16930
ko:K00219	myc:NF90_16955
ko:K11779	myc:NF90_16980
ko:K00545	myc:NF90_16985
ko:K15525	myc:NF90_17000
ko:K06207	myc:NF90_17030
ko:K03574	myc:NF90_17035
ko:K01724	myc:NF90_17040
ko:K01433	myc:NF90_17045
ko:K13669	myc:NF90_17055
ko:K11065	myc:NF90_17125
ko:K06994	myc:NF90_17140
ko:K07009	myc:NF90_21545
ko:K06187	myc:NF90_21550
ko:K09747	myc:NF90_21555
ko:K01448	myc:NF90_21560
ko:K01689	myc:NF90_21590
ko:K00574	myc:NF90_21600
ko:K02343	myc:NF90_21605
ko:K13063	myc:NF90_21640
ko:K00216	myc:NF90_21650
ko:K01626	myc:NF90_21655
ko:K01857	myc:NF90_21675
ko:K13671	myc:NF90_21730
ko:K01885	myc:NF90_21745
ko:K00773	myc:NF90_21765
ko:K11991	myc:NF90_21790
ko:K04517	myc:NF90_21800
ko:K09957	myc:NF90_21805
ko:K11609	myc:NF90_01385
ko:K00128	myc:NF90_01400
ko:K02066	myc:NF90_01420
ko:K02066	myc:NF90_01425
ko:K02067	myc:NF90_01435
ko:K18481	myc:NF90_01460
ko:K09793	myc:NF90_01465
ko:K01104	myc:NF90_01470
ko:K11537	myc:NF90_01475
ko:K01692	myc:NF90_01485
ko:K07393	myc:NF90_01525
ko:K00324	myc:NF90_01530
ko:K00324	myc:NF90_01535
ko:K00325	myc:NF90_01540
ko:K00666	myc:NF90_01580
ko:K02067	myc:NF90_01590
ko:K06911	myc:NF90_01620
ko:K00121	myc:NF90_01625
ko:K03744	myc:NF90_01640
ko:K07032	myc:NF90_01650
ko:K03088	myc:NF90_01660
ko:K03119	myc:NF90_06155
ko:K01589	myc:NF90_06160
ko:K01588	myc:NF90_06165
ko:K00067	myc:NF90_06190
ko:K16870	myc:NF90_06195
ko:K00966	myc:NF90_06200
ko:K12234	myc:NF90_06215
ko:K11212	myc:NF90_06220
ko:K01840	myc:NF90_06240
ko:K01809	myc:NF90_06250
ko:K03294	myc:NF90_06260
ko:K00496	myc:NF90_06265
ko:K01251	myc:NF90_06285
ko:K00943	myc:NF90_06300
ko:K07507	myc:NF90_06305
ko:K07670	myc:NF90_06315
ko:K07654	myc:NF90_06320
ko:K00232	myc:NF90_06330
ko:K03070	myc:NF90_06365
ko:K00508	myc:NF90_06400
ko:K06949	myc:NF90_06405
ko:K00800	myc:NF90_06410
ko:K03088	myc:NF90_06425
ko:K01847	myc:NF90_10885
ko:K01847	myc:NF90_10890
ko:K07588	myc:NF90_10895
ko:K07182	myc:NF90_10905
ko:K01870	myc:NF90_10920
ko:K02346	myc:NF90_10930
ko:K01424	myc:NF90_10935
ko:K03101	myc:NF90_10940
ko:K06180	myc:NF90_10945
ko:K05786	myc:NF90_10950
ko:K02337	myc:NF90_10955
ko:K01754	myc:NF90_10975
ko:K00833	myc:NF90_10990
ko:K00652	myc:NF90_10995
ko:K01935	myc:NF90_11000
ko:K01012	myc:NF90_11010
ko:K00116	myc:NF90_11025
ko:K03517	myc:NF90_11065
ko:K00278	myc:NF90_11070
ko:K00767	myc:NF90_11075
ko:K00013	myc:NF90_11085
ko:K00817	myc:NF90_11090
ko:K01693	myc:NF90_11095
ko:K02501	myc:NF90_11100
ko:K01814	myc:NF90_11105
ko:K01817	myc:NF90_11105
ko:K01092	myc:NF90_11110
ko:K02500	myc:NF90_11115
ko:K01496	myc:NF90_11120
ko:K03564	myc:NF90_11125
ko:K02503	myc:NF90_11130
ko:K06994	myc:NF90_11135
ko:K09710	myc:NF90_15470
ko:K00969	myc:NF90_15475
ko:K07161	myc:NF90_15480
ko:K00147	myc:NF90_15490
ko:K00852	myc:NF90_15495
ko:K00931	myc:NF90_15515
ko:K03979	myc:NF90_15520
ko:K02899	myc:NF90_15525
ko:K02888	myc:NF90_15530
ko:K00940	myc:NF90_15540
ko:K11754	myc:NF90_15550
ko:K01873	myc:NF90_15555
ko:K03752	myc:NF90_15580
ko:K00175	myc:NF90_15595
ko:K00174	myc:NF90_15600
ko:K02379	myc:NF90_15610
ko:K03544	myc:NF90_15655
ko:K01358	myc:NF90_15660
ko:K01358	myc:NF90_15665
ko:K03545	myc:NF90_15670
ko:K18851	myc:NF90_15685
ko:K05522	myc:NF90_15705
ko:K01808	myc:NF90_15710
ko:K01256	myc:NF90_15725
ko:K15981	myc:NF90_20065
ko:K00626	myc:NF90_20070
ko:K15981	myc:NF90_20075
ko:K01692	myc:NF90_20100
ko:K00626	myc:NF90_20130
ko:K00059	myc:NF90_20140
ko:K18687	myc:NF90_20150
ko:K06188	myc:NF90_20185
ko:K10536	myc:NF90_20190
ko:K01455	myc:NF90_20195
ko:K16049	myc:NF90_20205
ko:K16047	myc:NF90_20210
ko:K15983	myc:NF90_20215
ko:K02077	myc:NF90_20240
ko:K02074	myc:NF90_20245
ko:K02075	myc:NF90_20250
ko:K07160	myc:NF90_20255
ko:K01126	myc:NF90_20260
ko:K03218	myc:NF90_20265
ko:K01883	myc:NF90_20270
ko:K01770	myc:NF90_20275
ko:K00991	myc:NF90_20280
ko:K07736	myc:NF90_20285
ko:K04485	myc:NF90_20305
ko:K07067	myc:NF90_20315
ko:K01673	myc:NF90_20330
ko:K03575	myc:NF90_20335
ko:K01114	myc:NF90_20350
ko:K00135	myc:NF90_03200
ko:K07250	myc:NF90_03205
ko:K00276	myc:NF90_03220
ko:K09684	myc:NF90_03230
ko:K03088	myc:NF90_03240
ko:K03885	myc:NF90_03245
ko:K07020	myc:NF90_03250
ko:K00941	myc:NF90_03255
ko:K03147	myc:NF90_03260
ko:K01142	myc:NF90_03295
ko:K01462	myc:NF90_03305
ko:K06048	myc:NF90_03325
ko:K00957	myc:NF90_03335
ko:K07560	myc:NF90_03365
ko:K15982	myc:NF90_03375
ko:K00528	myc:NF90_03385
ko:K00626	myc:NF90_03395
ko:K07068	myc:NF90_03405
ko:K07157	myc:NF90_03415
ko:K02914	myc:NF90_00005
ko:K03536	myc:NF90_00010
ko:K03217	myc:NF90_00020
ko:K06346	myc:NF90_00025
ko:K03501	myc:NF90_00030
ko:K05337	myc:NF90_00070
ko:K03671	myc:NF90_00080
ko:K00384	myc:NF90_00085
ko:K03088	myc:NF90_00095
ko:K03980	myc:NF90_00100
ko:K00970	myc:NF90_00115
ko:K07090	myc:NF90_00120
ko:K07735	myc:NF90_00145
ko:K01869	myc:NF90_00170
ko:K07148	myc:NF90_00180
ko:K07028	myc:NF90_04720
ko:K05520	myc:NF90_04725
ko:K04047	myc:NF90_04730
ko:K02913	myc:NF90_04745
ko:K03073	myc:NF90_04770
ko:K02601	myc:NF90_04775
ko:K02867	myc:NF90_04780
ko:K02863	myc:NF90_04785
ko:K03088	myc:NF90_04805
ko:K00803	myc:NF90_04825
ko:K00111	myc:NF90_04835
ko:K00574	myc:NF90_04840
ko:K02864	myc:NF90_04865
ko:K02935	myc:NF90_04870
ko:K11159	myc:NF90_04880
ko:K02065	myc:NF90_04895
ko:K03043	myc:NF90_04905
ko:K03046	myc:NF90_04910
ko:K09456	myc:NF90_04950
ko:K01692	myc:NF90_04955
ko:K02616	myc:NF90_04960
ko:K01692	myc:NF90_04965
ko:K16647	myc:NF90_09370
ko:K06916	myc:NF90_09385
ko:K07044	myc:NF90_09425
ko:K15983	myc:NF90_09430
ko:K12421	myc:NF90_09445
ko:K08167	myc:NF90_09465
ko:K09117	myc:NF90_09475
ko:K01477	myc:NF90_09505
ko:K11103	myc:NF90_09515
ko:K03457	myc:NF90_09525
ko:K16841	myc:NF90_09535
ko:K16840	myc:NF90_09550
ko:K07127	myc:NF90_09555
ko:K00365	myc:NF90_09560
ko:K01487	myc:NF90_09565
ko:K03589	myc:NF90_14030
ko:K01924	myc:NF90_14035
ko:K02563	myc:NF90_14040
ko:K03588	myc:NF90_14045
ko:K01925	myc:NF90_14050
ko:K01000	myc:NF90_14055
ko:K01929	myc:NF90_14060
ko:K01928	myc:NF90_14065
ko:K03587	myc:NF90_14070
ko:K03438	myc:NF90_14080
ko:K03925	myc:NF90_14085
ko:K00297	myc:NF90_14105
ko:K13787	myc:NF90_14110
ko:K14337	myc:NF90_14115
ko:K01626	myc:NF90_14135
ko:K13671	myc:NF90_14145
ko:K00655	myc:NF90_14150
ko:K01897	myc:NF90_14180
ko:K13668	myc:NF90_14190
ko:K02342	myc:NF90_14215
ko:K00766	myc:NF90_14220
ko:K02276	myc:NF90_14225
ko:K03889	myc:NF90_14230
ko:K03890	myc:NF90_14235
ko:K03891	myc:NF90_14240
ko:K02275	myc:NF90_14265
ko:K01953	myc:NF90_14270
ko:K00856	myc:NF90_14275
ko:K00865	myc:NF90_14290
ko:K02231	myc:NF90_14300
ko:K01692	myc:NF90_18665
ko:K07671	myc:NF90_18680
ko:K03710	myc:NF90_18695
ko:K00059	myc:NF90_18700
ko:K01647	myc:NF90_18740
ko:K06994	myc:NF90_18775
ko:K12423	myc:NF90_18785
ko:K00275	myc:NF90_18795
ko:K01647	myc:NF90_18800
ko:K04750	myc:NF90_18805
ko:K00528	myc:NF90_18810
ko:K00831	myc:NF90_18820
ko:K06889	myc:NF90_18845
ko:K02616	myc:NF90_18855
ko:K00389	myc:NF90_18880
ko:K14953	myc:NF90_18890
ko:K14953	myc:NF90_18895
ko:K01692	myc:NF90_03420
ko:K18688	myc:NF90_03425
ko:K00666	myc:NF90_03440
ko:K05337	myc:NF90_03455
ko:K00059	myc:NF90_03460
ko:K01958	myc:NF90_07900
ko:K08316	myc:NF90_07905
ko:K01061	myc:NF90_07915
ko:K14953	myc:NF90_07935
ko:K00954	myc:NF90_07945
ko:K07040	myc:NF90_07955
ko:K03685	myc:NF90_07960
ko:K10563	myc:NF90_07965
ko:K01546	myc:NF90_07975
ko:K01547	myc:NF90_07980
ko:K01548	myc:NF90_07985
ko:K07646	myc:NF90_07990
ko:K07667	myc:NF90_07995
ko:K03529	myc:NF90_08015
ko:K01823	myc:NF90_08035
ko:K03110	myc:NF90_08040
ko:K03320	myc:NF90_08045
ko:K04751	myc:NF90_08050
ko:K00990	myc:NF90_08055
ko:K03106	myc:NF90_08060
ko:K07258	myc:NF90_08075
ko:K02959	myc:NF90_08100
ko:K06960	myc:NF90_08105
ko:K02860	myc:NF90_08110
ko:K00554	myc:NF90_08115
ko:K02884	myc:NF90_08125
ko:K03100	myc:NF90_08130
ko:K03470	myc:NF90_08135
ko:K07460	myc:NF90_08190
ko:K07391	myc:NF90_08195
ko:K03631	myc:NF90_12605
ko:K00858	myc:NF90_12610
ko:K06442	myc:NF90_12615
ko:K01866	myc:NF90_12640
ko:K03652	myc:NF90_12650
ko:K01755	myc:NF90_12695
ko:K01940	myc:NF90_12700
ko:K03402	myc:NF90_12705
ko:K00611	myc:NF90_12710
ko:K00930	myc:NF90_12720
ko:K00620	myc:NF90_12725
ko:K00145	myc:NF90_12730
ko:K01890	myc:NF90_12735
ko:K01889	myc:NF90_12740
ko:K13529	myc:NF90_12745
ko:K00567	myc:NF90_12750
ko:K03437	myc:NF90_12785
ko:K02887	myc:NF90_12790
ko:K02916	myc:NF90_12795
ko:K02520	myc:NF90_12800
ko:K04567	myc:NF90_12810
ko:K03701	myc:NF90_12830
ko:K13639	myc:NF90_12860
ko:K03702	myc:NF90_12865
ko:K09146	myc:NF90_12870
ko:K01738	myc:NF90_17205
ko:K06942	myc:NF90_17225
ko:K06200	myc:NF90_17255
ko:K03527	myc:NF90_17270
ko:K03601	myc:NF90_17280
ko:K03602	myc:NF90_17285
ko:K02446	myc:NF90_17300
ko:K01679	myc:NF90_17305
ko:K03088	myc:NF90_17315
ko:K07175	myc:NF90_17355
ko:K03922	myc:NF90_17360
ko:K00600	myc:NF90_17365
ko:K00867	myc:NF90_17375
ko:K03333	myc:NF90_17385
ko:K05845	myc:NF90_17405
ko:K05846	myc:NF90_17410
ko:K05847	myc:NF90_17415
ko:K05846	myc:NF90_17420
ko:K03929	myc:NF90_17430
ko:K01607	myc:NF90_17440
ko:K00128	myc:NF90_17455
ko:K05846	myc:NF90_21810
ko:K05846	myc:NF90_21815
ko:K05847	myc:NF90_21820
ko:K05845	myc:NF90_21825
ko:K00817	myc:NF90_21910
ko:K11717	myc:NF90_21925
ko:K01990	myc:NF90_21995
ko:K16649	myc:NF90_22000
ko:K01992	myc:NF90_22005
ko:K00375	myc:NF90_22030
ko:K16653	myc:NF90_22055
ko:K16652	myc:NF90_22060
ko:K13686	myc:NF90_22065
ko:K11387	myc:NF90_22070
ko:K11385	myc:NF90_22085
ko:K11386	myc:NF90_22090
ko:K03822	myc:NF90_12670
ko:K00335	myc:NF90_13700
ko:K03976	myc:NF90_06420
ko:K00336	myc:NF90_13695
ko:K05898	myc:NF90_20020
ko:K01436	myc:NF90_05930
ko:K13572	myc:NF90_13455
ko:K02483	myc:NF90_19755
ko:K00249	myc:NF90_00230
ko:K00020	myc:NF90_17615
ko:K16048	myc:NF90_20200
ko:K00344	myc:NF90_01410
ko:K00344	myc:NF90_10585
ko:K08095	myc:NF90_05435
ko:K08095	myc:NF90_05420
ko:K07029	myc:NF90_04820
ko:K03761	myc:NF90_05205
ko:K03496	myc:NF90_00035
ko:K03497	myc:NF90_00040
ko:K03111	myc:NF90_00295
ko:K03496	myc:NF90_06475
ko:K18652	myc:NF90_11330
ko:K03111	myc:NF90_15785
ko:K05593	myc:NF90_11975
ko:K10673	myc:NF90_12515
ko:K03496	myc:NF90_12575
ko:K04565	myc:NF90_03320
ko:K18553	myc:NF90_09350
ko:K03526	myc:NF90_08410
ko:K16238	myc:NF90_05105
ko:K03343	myc:NF90_02580
ko:K01978	myc:NF90_23060
ko:K19221	myc:NF90_08475
ko:K05556	myc:NF90_19330
ko:K07448	myc:NF90_00785
ko:K00798	myc:NF90_16330
ko:K19190	myc:NF90_09520
ko:K01621	myc:NF90_11610
ko:K05558	myc:NF90_01090
ko:K01710	myc:NF90_05350
