ko:K07489	ypv:BZ15_2605
ko:K02532	ypv:BZ15_1967
ko:K07407	ypv:BZ15_1968
ko:K09946	ypv:BZ15_677
ko:K07664	ypv:BZ15_678
ko:K07642	ypv:BZ15_679
ko:K18326	ypv:BZ15_680
ko:K07789	ypv:BZ15_681
ko:K07788	ypv:BZ15_682
ko:K07799	ypv:BZ15_683
ko:K02052	ypv:BZ15_684
ko:K00375	ypv:BZ15_685
ko:K00823	ypv:BZ15_686
ko:K02055	ypv:BZ15_687
ko:K02054	ypv:BZ15_688
ko:K02053	ypv:BZ15_689
ko:K04046	ypv:BZ15_690
ko:K06213	ypv:BZ15_691
ko:K01524	ypv:BZ15_692
ko:K00937	ypv:BZ15_693
ko:K02037	ypv:BZ15_694
ko:K02038	ypv:BZ15_695
ko:K02036	ypv:BZ15_696
ko:K18475	ypv:BZ15_697
ko:K18475	ypv:BZ15_698
ko:K00657	ypv:BZ15_699
ko:K11175	ypv:BZ15_700
ko:K01933	ypv:BZ15_701
ko:K00761	ypv:BZ15_702
ko:K07491	ypv:BZ15_703
ko:K14761	ypv:BZ15_704
ko:K01491	ypv:BZ15_705
ko:K00981	ypv:BZ15_713
ko:K06221	ypv:BZ15_723
ko:K05349	ypv:BZ15_725
ko:K07126	ypv:BZ15_1552
ko:K00720	ypv:BZ15_1558
ko:K00648	ypv:BZ15_1563
ko:K00648	ypv:BZ15_1564
ko:K09975	ypv:BZ15_1566
ko:K05603	ypv:BZ15_1567
ko:K05836	ypv:BZ15_1568
ko:K01468	ypv:BZ15_1569
ko:K01479	ypv:BZ15_1570
ko:K05526	ypv:BZ15_1575
ko:K01484	ypv:BZ15_1576
ko:K06447	ypv:BZ15_1577
ko:K00673	ypv:BZ15_1578
ko:K00840	ypv:BZ15_1579
ko:K07673	ypv:BZ15_1583
ko:K07300	ypv:BZ15_1584
ko:K11937	ypv:BZ15_1588
ko:K11936	ypv:BZ15_1589
ko:K11931	ypv:BZ15_1590
ko:K11935	ypv:BZ15_1591
ko:K16868	ypv:BZ15_1593
ko:K02003	ypv:BZ15_1596
ko:K03702	ypv:BZ15_2402
ko:K01935	ypv:BZ15_2404
ko:K02169	ypv:BZ15_2405
ko:K00652	ypv:BZ15_2406
ko:K01012	ypv:BZ15_2407
ko:K00833	ypv:BZ15_2408
ko:K07404	ypv:BZ15_2409
ko:K02017	ypv:BZ15_2411
ko:K02018	ypv:BZ15_2412
ko:K02020	ypv:BZ15_2413
ko:K02019	ypv:BZ15_2415
ko:K05776	ypv:BZ15_2416
ko:K07052	ypv:BZ15_2418
ko:K01784	ypv:BZ15_2419
ko:K00965	ypv:BZ15_2420
ko:K00849	ypv:BZ15_2421
ko:K01785	ypv:BZ15_2423
ko:K01834	ypv:BZ15_2425
ko:K01626	ypv:BZ15_2428
ko:K16264	ypv:BZ15_2430
ko:K03811	ypv:BZ15_2431
ko:K03517	ypv:BZ15_2432
ko:K03640	ypv:BZ15_2437
ko:K03641	ypv:BZ15_2438
ko:K03646	ypv:BZ15_2439
ko:K03560	ypv:BZ15_2440
ko:K03562	ypv:BZ15_2441
ko:K07107	ypv:BZ15_2442
ko:K00426	ypv:BZ15_2445
ko:K00425	ypv:BZ15_2446
ko:K01902	ypv:BZ15_2447
ko:K01903	ypv:BZ15_2448
ko:K00658	ypv:BZ15_2449
ko:K00164	ypv:BZ15_2450
ko:K00901	ypv:BZ15_3259
ko:K00631	ypv:BZ15_3260
ko:K03179	ypv:BZ15_3261
ko:K03181	ypv:BZ15_3262
ko:K05795	ypv:BZ15_3270
ko:K05795	ypv:BZ15_3271
ko:K05794	ypv:BZ15_3272
ko:K05793	ypv:BZ15_3273
ko:K05792	ypv:BZ15_3274
ko:K05791	ypv:BZ15_3275
ko:K00297	ypv:BZ15_3282
ko:K07227	ypv:BZ15_3284
ko:K16087	ypv:BZ15_3286
ko:K07225	ypv:BZ15_3287
ko:K02016	ypv:BZ15_3288
ko:K02015	ypv:BZ15_3289
ko:K02013	ypv:BZ15_3290
ko:K01760	ypv:BZ15_3291
ko:K07112	ypv:BZ15_3295
ko:K03229	ypv:BZ15_3296
ko:K03228	ypv:BZ15_3297
ko:K03227	ypv:BZ15_3298
ko:K03226	ypv:BZ15_3299
ko:K03225	ypv:BZ15_3300
ko:K03224	ypv:BZ15_3303
ko:K03230	ypv:BZ15_3304
ko:K03222	ypv:BZ15_3307
ko:K03221	ypv:BZ15_3310
ko:K15548	ypv:BZ15_4129
ko:K03468	ypv:BZ15_4130
ko:K00135	ypv:BZ15_4131
ko:K03623	ypv:BZ15_4134
ko:K09889	ypv:BZ15_4135
ko:K03592	ypv:BZ15_4136
ko:K15536	ypv:BZ15_4138
ko:K06140	ypv:BZ15_4139
ko:K01226	ypv:BZ15_4140
ko:K02818	ypv:BZ15_4141
ko:K02819	ypv:BZ15_4141
ko:K03485	ypv:BZ15_4142
ko:K09022	ypv:BZ15_4146
ko:K00610	ypv:BZ15_4147
ko:K00609	ypv:BZ15_4148
ko:K08485	ypv:BZ15_4149
ko:K06958	ypv:BZ15_4150
ko:K02806	ypv:BZ15_4151
ko:K05808	ypv:BZ15_4152
ko:K03092	ypv:BZ15_4153
ko:K06861	ypv:BZ15_4154
ko:K09774	ypv:BZ15_4155
ko:K11719	ypv:BZ15_4156
ko:K03270	ypv:BZ15_4157
ko:K06041	ypv:BZ15_4158
ko:K07301	ypv:BZ15_4159
ko:K02065	ypv:BZ15_4160
ko:K02066	ypv:BZ15_4161
ko:K02067	ypv:BZ15_4162
ko:K07323	ypv:BZ15_4163
ko:K07122	ypv:BZ15_4164
ko:K00790	ypv:BZ15_4166
ko:K04691	ypv:BZ15_4167
ko:K07491	ypv:BZ15_4168
ko:K09908	ypv:BZ15_4170
ko:K06916	ypv:BZ15_4171
ko:K02871	ypv:BZ15_4172
ko:K02996	ypv:BZ15_4173
ko:K03599	ypv:BZ15_4174
ko:K09912	ypv:BZ15_1977
ko:K01586	ypv:BZ15_2779
ko:K02529	ypv:BZ15_2778
ko:K08351	ypv:BZ15_2780
ko:K05939	ypv:BZ15_2781
ko:K08227	ypv:BZ15_2782
ko:K03573	ypv:BZ15_2786
ko:K08311	ypv:BZ15_2787
ko:K08484	ypv:BZ15_2788
ko:K13292	ypv:BZ15_2789
ko:K02679	ypv:BZ15_2792
ko:K06147	ypv:BZ15_2803
ko:K06147	ypv:BZ15_2804
ko:K16321	ypv:BZ15_2808
ko:K11904	ypv:BZ15_2811
ko:K14445	ypv:BZ15_2816
ko:K02529	ypv:BZ15_2817
ko:K07483	ypv:BZ15_2820
ko:K06077	ypv:BZ15_2821
ko:K06077	ypv:BZ15_2822
ko:K02557	ypv:BZ15_2826
ko:K02556	ypv:BZ15_2827
ko:K02405	ypv:BZ15_2828
ko:K02415	ypv:BZ15_2829
ko:K03826	ypv:BZ15_3627
ko:K01246	ypv:BZ15_3628
ko:K01878	ypv:BZ15_3630
ko:K01879	ypv:BZ15_3631
ko:K02798	ypv:BZ15_3633
ko:K02799	ypv:BZ15_3633
ko:K02800	ypv:BZ15_3633
ko:K00009	ypv:BZ15_3634
ko:K02562	ypv:BZ15_3635
ko:K14762	ypv:BZ15_3637
ko:K04564	ypv:BZ15_3642
ko:K02379	ypv:BZ15_3643
ko:K00123	ypv:BZ15_3644
ko:K00123	ypv:BZ15_3645
ko:K00124	ypv:BZ15_3646
ko:K00127	ypv:BZ15_3647
ko:K02380	ypv:BZ15_3648
ko:K01042	ypv:BZ15_3649
ko:K08160	ypv:BZ15_3657
ko:K07483	ypv:BZ15_3659
ko:K00854	ypv:BZ15_3666
ko:K01805	ypv:BZ15_3667
ko:K10543	ypv:BZ15_3668
ko:K10545	ypv:BZ15_3669
ko:K10544	ypv:BZ15_3670
ko:K02529	ypv:BZ15_3671
ko:K03106	ypv:BZ15_232
ko:K02959	ypv:BZ15_233
ko:K02860	ypv:BZ15_234
ko:K00554	ypv:BZ15_235
ko:K02884	ypv:BZ15_236
ko:K07491	ypv:BZ15_237
ko:K07283	ypv:BZ15_238
ko:K07792	ypv:BZ15_239
ko:K07792	ypv:BZ15_240
ko:K07792	ypv:BZ15_241
ko:K02477	ypv:BZ15_242
ko:K01626	ypv:BZ15_243
ko:K14187	ypv:BZ15_244
ko:K14170	ypv:BZ15_245
ko:K14170	ypv:BZ15_248
ko:K07491	ypv:BZ15_249
ko:K05809	ypv:BZ15_250
ko:K05807	ypv:BZ15_251
ko:K06180	ypv:BZ15_252
ko:K05810	ypv:BZ15_253
ko:K03695	ypv:BZ15_254
ko:K05811	ypv:BZ15_261
ko:K00998	ypv:BZ15_262
ko:K05812	ypv:BZ15_264
ko:K03672	ypv:BZ15_265
ko:K03214	ypv:BZ15_266
ko:K03446	ypv:BZ15_267
ko:K03543	ypv:BZ15_268
ko:K15974	ypv:BZ15_269
ko:K02030	ypv:BZ15_277
ko:K02029	ypv:BZ15_278
ko:K02029	ypv:BZ15_279
ko:K02028	ypv:BZ15_280
ko:K02083	ypv:BZ15_285
ko:K12963	ypv:BZ15_1109
ko:K03800	ypv:BZ15_1111
ko:K08997	ypv:BZ15_1112
ko:K08997	ypv:BZ15_1113
ko:K01626	ypv:BZ15_1114
ko:K09773	ypv:BZ15_1115
ko:K19222	ypv:BZ15_1119
ko:K05997	ypv:BZ15_1120
ko:K09014	ypv:BZ15_1121
ko:K09013	ypv:BZ15_1122
ko:K09015	ypv:BZ15_1123
ko:K11717	ypv:BZ15_1124
ko:K02426	ypv:BZ15_1125
ko:K19236	ypv:BZ15_1126
ko:K07491	ypv:BZ15_1129
ko:K06078	ypv:BZ15_1130
ko:K00873	ypv:BZ15_1131
ko:K03327	ypv:BZ15_1134
ko:K00793	ypv:BZ15_1135
ko:K00574	ypv:BZ15_1136
ko:K03604	ypv:BZ15_1139
ko:K04564	ypv:BZ15_1141
ko:K07390	ypv:BZ15_1144
ko:K03683	ypv:BZ15_1145
ko:K01759	ypv:BZ15_1146
ko:K11021	ypv:BZ15_1147
ko:K10680	ypv:BZ15_1148
ko:K16137	ypv:BZ15_1149
ko:K03760	ypv:BZ15_1150
ko:K06938	ypv:BZ15_1151
ko:K06075	ypv:BZ15_1153
ko:K06077	ypv:BZ15_1154
ko:K09001	ypv:BZ15_1155
ko:K00275	ypv:BZ15_1157
ko:K01866	ypv:BZ15_1158
ko:K00868	ypv:BZ15_1159
ko:K00799	ypv:BZ15_1160
ko:K01940	ypv:BZ15_1982
ko:K00101	ypv:BZ15_1983
ko:K18334	ypv:BZ15_1985
ko:K18335	ypv:BZ15_1987
ko:K09802	ypv:BZ15_1992
ko:K01141	ypv:BZ15_1994
ko:K08317	ypv:BZ15_1997
ko:K02056	ypv:BZ15_1998
ko:K02056	ypv:BZ15_1999
ko:K02057	ypv:BZ15_2000
ko:K00765	ypv:BZ15_2003
ko:K00013	ypv:BZ15_2004
ko:K00817	ypv:BZ15_2005
ko:K01089	ypv:BZ15_2006
ko:K02501	ypv:BZ15_2007
ko:K01814	ypv:BZ15_2008
ko:K02500	ypv:BZ15_2009
ko:K11755	ypv:BZ15_2010
ko:K00033	ypv:BZ15_2011
ko:K00963	ypv:BZ15_2012
ko:K00963	ypv:BZ15_2013
ko:K16088	ypv:BZ15_2015
ko:K02016	ypv:BZ15_2016
ko:K02015	ypv:BZ15_2017
ko:K02015	ypv:BZ15_2018
ko:K02013	ypv:BZ15_2019
ko:K03897	ypv:BZ15_2022
ko:K13745	ypv:BZ15_2023
ko:K13255	ypv:BZ15_2024
ko:K07289	ypv:BZ15_2026
ko:K01494	ypv:BZ15_2027
ko:K00876	ypv:BZ15_2028
ko:K03593	ypv:BZ15_2029
ko:K02414	ypv:BZ15_2830
ko:K02422	ypv:BZ15_2832
ko:K02407	ypv:BZ15_2833
ko:K02406	ypv:BZ15_2834
ko:K02406	ypv:BZ15_2835
ko:K02406	ypv:BZ15_2836
ko:K02397	ypv:BZ15_2840
ko:K02396	ypv:BZ15_2841
ko:K02395	ypv:BZ15_2842
ko:K02394	ypv:BZ15_2843
ko:K02393	ypv:BZ15_2844
ko:K02392	ypv:BZ15_2845
ko:K02391	ypv:BZ15_2846
ko:K07491	ypv:BZ15_2847
ko:K02390	ypv:BZ15_2849
ko:K02389	ypv:BZ15_2850
ko:K02388	ypv:BZ15_2851
ko:K02387	ypv:BZ15_2852
ko:K02386	ypv:BZ15_2853
ko:K02398	ypv:BZ15_2854
ko:K02399	ypv:BZ15_2855
ko:K02412	ypv:BZ15_2857
ko:K02411	ypv:BZ15_2858
ko:K02410	ypv:BZ15_2859
ko:K02409	ypv:BZ15_2860
ko:K02408	ypv:BZ15_2861
ko:K02416	ypv:BZ15_2863
ko:K02417	ypv:BZ15_2864
ko:K02419	ypv:BZ15_2865
ko:K02420	ypv:BZ15_2866
ko:K02421	ypv:BZ15_2867
ko:K02401	ypv:BZ15_2868
ko:K02400	ypv:BZ15_2869
ko:K02400	ypv:BZ15_2870
ko:K02016	ypv:BZ15_2873
ko:K07491	ypv:BZ15_2877
ko:K07491	ypv:BZ15_2878
ko:K02278	ypv:BZ15_2879
ko:K02200	ypv:BZ15_784
ko:K02199	ypv:BZ15_785
ko:K02198	ypv:BZ15_786
ko:K02197	ypv:BZ15_787
ko:K02196	ypv:BZ15_788
ko:K02195	ypv:BZ15_789
ko:K02194	ypv:BZ15_790
ko:K02193	ypv:BZ15_791
ko:K03744	ypv:BZ15_794
ko:K06193	ypv:BZ15_796
ko:K11897	ypv:BZ15_798
ko:K11898	ypv:BZ15_799
ko:K11904	ypv:BZ15_802
ko:K11891	ypv:BZ15_803
ko:K11892	ypv:BZ15_804
ko:K03584	ypv:BZ15_807
ko:K03685	ypv:BZ15_809
ko:K03100	ypv:BZ15_810
ko:K03596	ypv:BZ15_811
ko:K03803	ypv:BZ15_813
ko:K03597	ypv:BZ15_816
ko:K03088	ypv:BZ15_817
ko:K00278	ypv:BZ15_818
ko:K15460	ypv:BZ15_819
ko:K05590	ypv:BZ15_820
ko:K03648	ypv:BZ15_826
ko:K01304	ypv:BZ15_827
ko:K07160	ypv:BZ15_830
ko:K01669	ypv:BZ15_836
ko:K03710	ypv:BZ15_1655
ko:K09803	ypv:BZ15_1665
ko:K06887	ypv:BZ15_1674
ko:K00995	ypv:BZ15_1683
ko:K03703	ypv:BZ15_1684
ko:K07689	ypv:BZ15_1685
ko:K11737	ypv:BZ15_1691
ko:K17948	ypv:BZ15_1692
ko:K03809	ypv:BZ15_1693
ko:K16301	ypv:BZ15_1694
ko:K07224	ypv:BZ15_1695
ko:K07243	ypv:BZ15_1696
ko:K11928	ypv:BZ15_1697
ko:K13821	ypv:BZ15_1699
ko:K10010	ypv:BZ15_1702
ko:K10009	ypv:BZ15_1703
ko:K02424	ypv:BZ15_1704
ko:K05396	ypv:BZ15_1705
ko:K02425	ypv:BZ15_1706
ko:K02405	ypv:BZ15_1707
ko:K02406	ypv:BZ15_1708
ko:K02407	ypv:BZ15_1709
ko:K04075	ypv:BZ15_2508
ko:K08234	ypv:BZ15_2509
ko:K01962	ypv:BZ15_2510
ko:K02337	ypv:BZ15_2511
ko:K03470	ypv:BZ15_2512
ko:K00748	ypv:BZ15_2513
ko:K00677	ypv:BZ15_2514
ko:K02372	ypv:BZ15_2515
ko:K02536	ypv:BZ15_2516
ko:K06142	ypv:BZ15_2517
ko:K07277	ypv:BZ15_2518
ko:K11749	ypv:BZ15_2519
ko:K00981	ypv:BZ15_2520
ko:K00806	ypv:BZ15_2521
ko:K00099	ypv:BZ15_2522
ko:K02838	ypv:BZ15_2523
ko:K09903	ypv:BZ15_2524
ko:K02357	ypv:BZ15_2525
ko:K02967	ypv:BZ15_2526
ko:K01265	ypv:BZ15_2527
ko:K00990	ypv:BZ15_2528
ko:K00674	ypv:BZ15_2529
ko:K06175	ypv:BZ15_2532
ko:K07491	ypv:BZ15_2534
ko:K15723	ypv:BZ15_2535
ko:K06879	ypv:BZ15_2536
ko:K06966	ypv:BZ15_2537
ko:K01146	ypv:BZ15_2538
ko:K06968	ypv:BZ15_2539
ko:K03566	ypv:BZ15_2541
ko:K01766	ypv:BZ15_2543
ko:K02426	ypv:BZ15_2544
ko:K08304	ypv:BZ15_2546
ko:K01448	ypv:BZ15_2549
ko:K14682	ypv:BZ15_2550
ko:K03581	ypv:BZ15_2551
ko:K03582	ypv:BZ15_2552
ko:K01407	ypv:BZ15_2553
ko:K03583	ypv:BZ15_2554
ko:K02681	ypv:BZ15_2555
ko:K02680	ypv:BZ15_2557
ko:K03594	ypv:BZ15_3365
ko:K02192	ypv:BZ15_3366
ko:K07491	ypv:BZ15_3367
ko:K02358	ypv:BZ15_3368
ko:K02355	ypv:BZ15_3369
ko:K02992	ypv:BZ15_3370
ko:K02950	ypv:BZ15_3371
ko:K07237	ypv:BZ15_3372
ko:K07236	ypv:BZ15_3373
ko:K07235	ypv:BZ15_3374
ko:K03772	ypv:BZ15_3376
ko:K03745	ypv:BZ15_3377
ko:K03775	ypv:BZ15_3378
ko:K07070	ypv:BZ15_3379
ko:K11747	ypv:BZ15_3380
ko:K11748	ypv:BZ15_3381
ko:K06158	ypv:BZ15_3383
ko:K03119	ypv:BZ15_3386
ko:K15552	ypv:BZ15_3387
ko:K10831	ypv:BZ15_3388
ko:K15551	ypv:BZ15_3389
ko:K07019	ypv:BZ15_3391
ko:K09898	ypv:BZ15_3392
ko:K00855	ypv:BZ15_3393
ko:K07397	ypv:BZ15_3395
ko:K10914	ypv:BZ15_3396
ko:K01664	ypv:BZ15_3399
ko:K06915	ypv:BZ15_3400
ko:K03767	ypv:BZ15_3401
ko:K01222	ypv:BZ15_3402
ko:K02014	ypv:BZ15_3404
ko:K06141	ypv:BZ15_3405
ko:K01485	ypv:BZ15_3406
ko:K00362	ypv:BZ15_3407
ko:K00363	ypv:BZ15_3408
ko:K02598	ypv:BZ15_3409
ko:K02302	ypv:BZ15_3410
ko:K01867	ypv:BZ15_3411
ko:K01091	ypv:BZ15_3412
ko:K01783	ypv:BZ15_3413
ko:K03112	ypv:BZ15_3415
ko:K07491	ypv:BZ15_4233
ko:K02337	ypv:BZ15_4261
ko:K07347	ypv:BZ15_4268
ko:K03497	ypv:BZ15_4282
ko:K02899	ypv:BZ15_9
ko:K03979	ypv:BZ15_11
ko:K07643	ypv:BZ15_12
ko:K07771	ypv:BZ15_13
ko:K07259	ypv:BZ15_14
ko:K03624	ypv:BZ15_15
ko:K07574	ypv:BZ15_16
ko:K02427	ypv:BZ15_17
ko:K03798	ypv:BZ15_18
ko:K00796	ypv:BZ15_19
ko:K03431	ypv:BZ15_20
ko:K03075	ypv:BZ15_21
ko:K09748	ypv:BZ15_24
ko:K02600	ypv:BZ15_25
ko:K02519	ypv:BZ15_26
ko:K02834	ypv:BZ15_27
ko:K03177	ypv:BZ15_28
ko:K02956	ypv:BZ15_29
ko:K07483	ypv:BZ15_30
ko:K00962	ypv:BZ15_32
ko:K05803	ypv:BZ15_33
ko:K05592	ypv:BZ15_34
ko:K03585	ypv:BZ15_39
ko:K18138	ypv:BZ15_40
ko:K18139	ypv:BZ15_41
ko:K08303	ypv:BZ15_43
ko:K03824	ypv:BZ15_45
ko:K07461	ypv:BZ15_46
ko:K02027	ypv:BZ15_49
ko:K02025	ypv:BZ15_50
ko:K02026	ypv:BZ15_51
ko:K10112	ypv:BZ15_52
ko:K09979	ypv:BZ15_54
ko:K06167	ypv:BZ15_56
ko:K05774	ypv:BZ15_57
ko:K06162	ypv:BZ15_58
ko:K05780	ypv:BZ15_59
ko:K05781	ypv:BZ15_60
ko:K06163	ypv:BZ15_61
ko:K06164	ypv:BZ15_62
ko:K06165	ypv:BZ15_63
ko:K06166	ypv:BZ15_64
ko:K02043	ypv:BZ15_65
ko:K03839	ypv:BZ15_898
ko:K03711	ypv:BZ15_899
ko:K12373	ypv:BZ15_900
ko:K01886	ypv:BZ15_903
ko:K07491	ypv:BZ15_904
ko:K02802	ypv:BZ15_905
ko:K02803	ypv:BZ15_905
ko:K02804	ypv:BZ15_905
ko:K02564	ypv:BZ15_906
ko:K01443	ypv:BZ15_907
ko:K02565	ypv:BZ15_908
ko:K02566	ypv:BZ15_909
ko:K01953	ypv:BZ15_910
ko:K03184	ypv:BZ15_916
ko:K06168	ypv:BZ15_917
ko:K07042	ypv:BZ15_919
ko:K06189	ypv:BZ15_920
ko:K03820	ypv:BZ15_921
ko:K10001	ypv:BZ15_922
ko:K10003	ypv:BZ15_923
ko:K10002	ypv:BZ15_924
ko:K10004	ypv:BZ15_925
ko:K01869	ypv:BZ15_927
ko:K03643	ypv:BZ15_928
ko:K02340	ypv:BZ15_929
ko:K00969	ypv:BZ15_930
ko:K09710	ypv:BZ15_931
ko:K00783	ypv:BZ15_932
ko:K05515	ypv:BZ15_933
ko:K05837	ypv:BZ15_934
ko:K03642	ypv:BZ15_935
ko:K07258	ypv:BZ15_936
ko:K09158	ypv:BZ15_937
ko:K03801	ypv:BZ15_938
ko:K03644	ypv:BZ15_939
ko:K03425	ypv:BZ15_940
ko:K06199	ypv:BZ15_941
ko:K03704	ypv:BZ15_942
ko:K07245	ypv:BZ15_1764
ko:K07156	ypv:BZ15_1765
ko:K02217	ypv:BZ15_1766
ko:K02345	ypv:BZ15_1767
ko:K01259	ypv:BZ15_1768
ko:K01354	ypv:BZ15_1769
ko:K09900	ypv:BZ15_1771
ko:K09918	ypv:BZ15_1772
ko:K05591	ypv:BZ15_1773
ko:K08289	ypv:BZ15_1774
ko:K09917	ypv:BZ15_1775
ko:K01665	ypv:BZ15_1776
ko:K01752	ypv:BZ15_1778
ko:K00484	ypv:BZ15_1779
ko:K00483	ypv:BZ15_1780
ko:K02511	ypv:BZ15_1781
ko:K02510	ypv:BZ15_1782
ko:K02509	ypv:BZ15_1783
ko:K01826	ypv:BZ15_1784
ko:K00455	ypv:BZ15_1785
ko:K00151	ypv:BZ15_1786
ko:K05921	ypv:BZ15_1787
ko:K05921	ypv:BZ15_1788
ko:K02793	ypv:BZ15_1791
ko:K02794	ypv:BZ15_1791
ko:K02795	ypv:BZ15_1792
ko:K02014	ypv:BZ15_1796
ko:K00563	ypv:BZ15_1799
ko:K03704	ypv:BZ15_1801
ko:K12973	ypv:BZ15_1803
ko:K11734	ypv:BZ15_1804
ko:K06147	ypv:BZ15_1813
ko:K07178	ypv:BZ15_1814
ko:K01581	ypv:BZ15_2614
ko:K10439	ypv:BZ15_2615
ko:K10441	ypv:BZ15_2616
ko:K10440	ypv:BZ15_2617
ko:K02014	ypv:BZ15_2618
ko:K02016	ypv:BZ15_2619
ko:K08306	ypv:BZ15_2620
ko:K03575	ypv:BZ15_2622
ko:K03439	ypv:BZ15_2623
ko:K09923	ypv:BZ15_2624
ko:K01425	ypv:BZ15_2625
ko:K02428	ypv:BZ15_2630
ko:K09131	ypv:BZ15_2631
ko:K02221	ypv:BZ15_2632
ko:K00286	ypv:BZ15_2633
ko:K06997	ypv:BZ15_2634
ko:K02669	ypv:BZ15_2635
ko:K10536	ypv:BZ15_2636
ko:K12251	ypv:BZ15_2637
ko:K07447	ypv:BZ15_2638
ko:K07735	ypv:BZ15_2639
ko:K01920	ypv:BZ15_2640
ko:K09761	ypv:BZ15_2641
ko:K01150	ypv:BZ15_2642
ko:K02742	ypv:BZ15_2643
ko:K00789	ypv:BZ15_2644
ko:K01585	ypv:BZ15_2646
ko:K07387	ypv:BZ15_2648
ko:K00615	ypv:BZ15_2649
ko:K02279	ypv:BZ15_2880
ko:K02280	ypv:BZ15_2881
ko:K02013	ypv:BZ15_3680
ko:K02015	ypv:BZ15_3682
ko:K02015	ypv:BZ15_3683
ko:K02016	ypv:BZ15_3684
ko:K00759	ypv:BZ15_3687
ko:K01738	ypv:BZ15_3688
ko:K01712	ypv:BZ15_3689
ko:K01745	ypv:BZ15_3690
ko:K16234	ypv:BZ15_3691
ko:K12975	ypv:BZ15_3693
ko:K07675	ypv:BZ15_3695
ko:K07783	ypv:BZ15_3696
ko:K12368	ypv:BZ15_3702
ko:K12369	ypv:BZ15_3703
ko:K12370	ypv:BZ15_3704
ko:K12371	ypv:BZ15_3705
ko:K12372	ypv:BZ15_3706
ko:K01728	ypv:BZ15_3710
ko:K11103	ypv:BZ15_3712
ko:K00874	ypv:BZ15_3715
ko:K01821	ypv:BZ15_3716
ko:K07290	ypv:BZ15_3719
ko:K01521	ypv:BZ15_3718
ko:K07058	ypv:BZ15_3720
ko:K00865	ypv:BZ15_3725
ko:K03299	ypv:BZ15_3726
ko:K02647	ypv:BZ15_3727
ko:K00383	ypv:BZ15_3728
ko:K07115	ypv:BZ15_3729
ko:K01414	ypv:BZ15_3730
ko:K15984	ypv:BZ15_3731
ko:K00262	ypv:BZ15_3733
ko:K06149	ypv:BZ15_3734
ko:K06144	ypv:BZ15_3735
ko:K06445	ypv:BZ15_290
ko:K03271	ypv:BZ15_291
ko:K00346	ypv:BZ15_294
ko:K00347	ypv:BZ15_295
ko:K00348	ypv:BZ15_296
ko:K00349	ypv:BZ15_297
ko:K00350	ypv:BZ15_298
ko:K00351	ypv:BZ15_299
ko:K03734	ypv:BZ15_300
ko:K05952	ypv:BZ15_301
ko:K02346	ypv:BZ15_303
ko:K01270	ypv:BZ15_304
ko:K00769	ypv:BZ15_308
ko:K11750	ypv:BZ15_309
ko:K11926	ypv:BZ15_310
ko:K00931	ypv:BZ15_311
ko:K00147	ypv:BZ15_312
ko:K00891	ypv:BZ15_317
ko:K09913	ypv:BZ15_318
ko:K03554	ypv:BZ15_319
ko:K00847	ypv:BZ15_320
ko:K03547	ypv:BZ15_324
ko:K07657	ypv:BZ15_325
ko:K07636	ypv:BZ15_326
ko:K02040	ypv:BZ15_327
ko:K03311	ypv:BZ15_328
ko:K11736	ypv:BZ15_329
ko:K01187	ypv:BZ15_330
ko:K00681	ypv:BZ15_332
ko:K07491	ypv:BZ15_334
ko:K03386	ypv:BZ15_335
ko:K08682	ypv:BZ15_336
ko:K07568	ypv:BZ15_337
ko:K00773	ypv:BZ15_338
ko:K03210	ypv:BZ15_339
ko:K03072	ypv:BZ15_340
ko:K03305	ypv:BZ15_1165
ko:K19230	ypv:BZ15_1168
ko:K19229	ypv:BZ15_1169
ko:K19228	ypv:BZ15_1170
ko:K19227	ypv:BZ15_1171
ko:K19226	ypv:BZ15_1172
ko:K07491	ypv:BZ15_1173
ko:K03974	ypv:BZ15_1174
ko:K03969	ypv:BZ15_1175
ko:K03970	ypv:BZ15_1176
ko:K03971	ypv:BZ15_1178
ko:K06918	ypv:BZ15_1179
ko:K08990	ypv:BZ15_1180
ko:K03721	ypv:BZ15_1183
ko:K07491	ypv:BZ15_1184
ko:K11065	ypv:BZ15_1185
ko:K14054	ypv:BZ15_1187
ko:K15580	ypv:BZ15_1188
ko:K16074	ypv:BZ15_1189
ko:K14058	ypv:BZ15_1193
ko:K03737	ypv:BZ15_1194
ko:K03297	ypv:BZ15_1195
ko:K07507	ypv:BZ15_1196
ko:K03668	ypv:BZ15_1198
ko:K03778	ypv:BZ15_1199
ko:K09978	ypv:BZ15_1202
ko:K00007	ypv:BZ15_1203
ko:K01118	ypv:BZ15_1205
ko:K03578	ypv:BZ15_1206
ko:K03472	ypv:BZ15_2654
ko:K00927	ypv:BZ15_2655
ko:K01624	ypv:BZ15_2656
ko:K03442	ypv:BZ15_2657
ko:K06895	ypv:BZ15_2658
ko:K09807	ypv:BZ15_2659
ko:K05596	ypv:BZ15_2660
ko:K01807	ypv:BZ15_2661
ko:K00058	ypv:BZ15_2662
ko:K01934	ypv:BZ15_2663
ko:K09888	ypv:BZ15_2664
ko:K09895	ypv:BZ15_2665
ko:K01262	ypv:BZ15_2666
ko:K03185	ypv:BZ15_2667
ko:K13409	ypv:BZ15_3469
ko:K13409	ypv:BZ15_3474
ko:K07491	ypv:BZ15_3475
