ko:K18928	bpsd:BBX_5391
ko:K02407	bpsd:BBX_5988
ko:K07396	bpsd:BBX_5990
ko:K00059	bpsd:BBX_5994
ko:K06140	bpsd:BBX_6008
ko:K00648	bpsd:BBX_441
ko:K02078	bpsd:BBX_442
ko:K00648	bpsd:BBX_443
ko:K02407	bpsd:BBX_447
ko:K02406	bpsd:BBX_448
ko:K02970	bpsd:BBX_449
ko:K01246	bpsd:BBX_450
ko:K06188	bpsd:BBX_453
ko:K02403	bpsd:BBX_456
ko:K02402	bpsd:BBX_457
ko:K02556	bpsd:BBX_458
ko:K02557	bpsd:BBX_459
ko:K03413	bpsd:BBX_460
ko:K03407	bpsd:BBX_461
ko:K03408	bpsd:BBX_462
ko:K00575	bpsd:BBX_464
ko:K03411	bpsd:BBX_465
ko:K03412	bpsd:BBX_466
ko:K03413	bpsd:BBX_467
ko:K03414	bpsd:BBX_468
ko:K02401	bpsd:BBX_472
ko:K02400	bpsd:BBX_473
ko:K02404	bpsd:BBX_474
ko:K04562	bpsd:BBX_475
ko:K02405	bpsd:BBX_476
ko:K01251	bpsd:BBX_477
ko:K08972	bpsd:BBX_478
ko:K00297	bpsd:BBX_479
ko:K01061	bpsd:BBX_481
ko:K00459	bpsd:BBX_482
ko:K01999	bpsd:BBX_483
ko:K07226	bpsd:BBX_485
ko:K03642	bpsd:BBX_491
ko:K07056	bpsd:BBX_492
ko:K07460	bpsd:BBX_493
ko:K03271	bpsd:BBX_494
ko:K00127	bpsd:BBX_1309
ko:K00568	bpsd:BBX_1314
ko:K03286	bpsd:BBX_1315
ko:K02469	bpsd:BBX_1316
ko:K09924	bpsd:BBX_1317
ko:K00831	bpsd:BBX_1318
ko:K14170	bpsd:BBX_1319
ko:K00800	bpsd:BBX_1320
ko:K00945	bpsd:BBX_1321
ko:K02945	bpsd:BBX_1322
ko:K05788	bpsd:BBX_1323
ko:K00012	bpsd:BBX_1326
ko:K03274	bpsd:BBX_1328
ko:K02237	bpsd:BBX_1329
ko:K12339	bpsd:BBX_1330
ko:K08305	bpsd:BBX_1331
ko:K02071	bpsd:BBX_1334
ko:K02072	bpsd:BBX_1335
ko:K02073	bpsd:BBX_1336
ko:K03521	bpsd:BBX_1337
ko:K03522	bpsd:BBX_1338
ko:K00285	bpsd:BBX_1340
ko:K03719	bpsd:BBX_1341
ko:K02959	bpsd:BBX_1345
ko:K02860	bpsd:BBX_1346
ko:K00554	bpsd:BBX_1347
ko:K02884	bpsd:BBX_1348
ko:K02227	bpsd:BBX_1352
ko:K06949	bpsd:BBX_1354
ko:K06013	bpsd:BBX_1355
ko:K13288	bpsd:BBX_1356
ko:K03831	bpsd:BBX_1357
ko:K09889	bpsd:BBX_1358
ko:K03592	bpsd:BBX_1359
ko:K01755	bpsd:BBX_2177
ko:K01940	bpsd:BBX_2178
ko:K00817	bpsd:BBX_2181
ko:K03408	bpsd:BBX_2188
ko:K00666	bpsd:BBX_2192
ko:K05845	bpsd:BBX_2195
ko:K05846	bpsd:BBX_2196
ko:K05847	bpsd:BBX_2197
ko:K05846	bpsd:BBX_2199
ko:K03758	bpsd:BBX_2201
ko:K01478	bpsd:BBX_2202
ko:K00611	bpsd:BBX_2203
ko:K00926	bpsd:BBX_2204
ko:K03449	bpsd:BBX_2214
ko:K05936	bpsd:BBX_2216
ko:K05895	bpsd:BBX_2217
ko:K02188	bpsd:BBX_2218
ko:K00595	bpsd:BBX_2219
ko:K02229	bpsd:BBX_2220
ko:K06042	bpsd:BBX_2221
ko:K03394	bpsd:BBX_2222
ko:K13541	bpsd:BBX_2223
ko:K01183	bpsd:BBX_2224
ko:K06999	bpsd:BBX_2226
ko:K13580	bpsd:BBX_2227
ko:K03405	bpsd:BBX_2228
ko:K00956	bpsd:BBX_3024
ko:K00957	bpsd:BBX_3025
ko:K00390	bpsd:BBX_3026
ko:K00381	bpsd:BBX_3028
ko:K13634	bpsd:BBX_3029
ko:K01628	bpsd:BBX_3032
ko:K01714	bpsd:BBX_3033
ko:K07156	bpsd:BBX_3038
ko:K06183	bpsd:BBX_3039
ko:K00523	bpsd:BBX_3042
ko:K01996	bpsd:BBX_3046
ko:K01995	bpsd:BBX_3047
ko:K01998	bpsd:BBX_3048
ko:K01997	bpsd:BBX_3049
ko:K03527	bpsd:BBX_3051
ko:K03774	bpsd:BBX_3052
ko:K03630	bpsd:BBX_3053
ko:K02902	bpsd:BBX_3054
ko:K02913	bpsd:BBX_3055
ko:K00278	bpsd:BBX_3056
ko:K00767	bpsd:BBX_3057
ko:K03517	bpsd:BBX_3058
ko:K03500	bpsd:BBX_3061
ko:K11175	bpsd:BBX_3062
ko:K11753	bpsd:BBX_3063
ko:K01870	bpsd:BBX_3064
ko:K03101	bpsd:BBX_3065
ko:K13038	bpsd:BBX_3066
ko:K03694	bpsd:BBX_3071
ko:K06891	bpsd:BBX_3072
ko:K03704	bpsd:BBX_3073
ko:K03225	bpsd:BBX_3873
ko:K03226	bpsd:BBX_3874
ko:K03227	bpsd:BBX_3875
ko:K03220	bpsd:BBX_3877
ko:K02002	bpsd:BBX_3893
ko:K02001	bpsd:BBX_3895
ko:K02000	bpsd:BBX_3896
ko:K00299	bpsd:BBX_3898
ko:K03325	bpsd:BBX_3904
ko:K01968	bpsd:BBX_3915
ko:K13766	bpsd:BBX_3916
ko:K01969	bpsd:BBX_3917
ko:K00253	bpsd:BBX_3918
ko:K04561	bpsd:BBX_3920
ko:K00368	bpsd:BBX_3921
ko:K13747	bpsd:BBX_3922
ko:K11900	bpsd:BBX_4727
ko:K00626	bpsd:BBX_1
ko:K09858	bpsd:BBX_3
ko:K00833	bpsd:BBX_5
ko:K00652	bpsd:BBX_6
ko:K01935	bpsd:BBX_7
ko:K01012	bpsd:BBX_8
ko:K06201	bpsd:BBX_9
ko:K01077	bpsd:BBX_11
ko:K01077	bpsd:BBX_12
ko:K03316	bpsd:BBX_15
ko:K04090	bpsd:BBX_16
ko:K08715	bpsd:BBX_17
ko:K02048	bpsd:BBX_20
ko:K01714	bpsd:BBX_25
ko:K01114	bpsd:BBX_33
ko:K07002	bpsd:BBX_35
ko:K06991	bpsd:BBX_36
ko:K12972	bpsd:BBX_37
ko:K01640	bpsd:BBX_38
ko:K06938	bpsd:BBX_40
ko:K03719	bpsd:BBX_42
ko:K01561	bpsd:BBX_43
ko:K00459	bpsd:BBX_44
ko:K14347	bpsd:BBX_48
ko:K00847	bpsd:BBX_53
ko:K01633	bpsd:BBX_58
ko:K11103	bpsd:BBX_891
ko:K01477	bpsd:BBX_892
ko:K01483	bpsd:BBX_893
ko:K03711	bpsd:BBX_894
ko:K06186	bpsd:BBX_895
ko:K00215	bpsd:BBX_896
ko:K03561	bpsd:BBX_897
ko:K03559	bpsd:BBX_898
ko:K01869	bpsd:BBX_899
ko:K03643	bpsd:BBX_900
ko:K02340	bpsd:BBX_901
ko:K00147	bpsd:BBX_902
ko:K08973	bpsd:BBX_903
ko:K01690	bpsd:BBX_905
ko:K01625	bpsd:BBX_906
ko:K03299	bpsd:BBX_907
ko:K00851	bpsd:BBX_908
ko:K01756	bpsd:BBX_909
ko:K02575	bpsd:BBX_910
ko:K00261	bpsd:BBX_912
ko:K10001	bpsd:BBX_913
ko:K10003	bpsd:BBX_914
ko:K10002	bpsd:BBX_915
ko:K10004	bpsd:BBX_916
ko:K04077	bpsd:BBX_920
ko:K04078	bpsd:BBX_921
ko:K13993	bpsd:BBX_922
ko:K01465	bpsd:BBX_926
ko:K07397	bpsd:BBX_928
ko:K02871	bpsd:BBX_929
ko:K02996	bpsd:BBX_930
ko:K15724	bpsd:BBX_931
ko:K09001	bpsd:BBX_935
ko:K01866	bpsd:BBX_936
ko:K07560	bpsd:BBX_937
ko:K03551	bpsd:BBX_941
ko:K03550	bpsd:BBX_942
ko:K13896	bpsd:BBX_1744
ko:K07001	bpsd:BBX_1746
ko:K01885	bpsd:BBX_1747
ko:K02553	bpsd:BBX_1755
ko:K01638	bpsd:BBX_1757
ko:K01560	bpsd:BBX_1758
ko:K01637	bpsd:BBX_1761
ko:K03789	bpsd:BBX_1765
ko:K09977	bpsd:BBX_1767
ko:K00941	bpsd:BBX_1768
ko:K01775	bpsd:BBX_1770
ko:K04485	bpsd:BBX_1771
ko:K06158	bpsd:BBX_1773
ko:K00432	bpsd:BBX_1774
ko:K06131	bpsd:BBX_1775
ko:K07320	bpsd:BBX_1776
ko:K01439	bpsd:BBX_1777
ko:K00674	bpsd:BBX_1779
ko:K14267	bpsd:BBX_1780
ko:K03529	bpsd:BBX_1782
ko:K01972	bpsd:BBX_1784
ko:K01462	bpsd:BBX_1785
ko:K06182	bpsd:BBX_1786
ko:K00990	bpsd:BBX_1787
ko:K01265	bpsd:BBX_1788
ko:K02967	bpsd:BBX_1789
ko:K02357	bpsd:BBX_1790
ko:K09903	bpsd:BBX_1791
ko:K02838	bpsd:BBX_1792
ko:K00806	bpsd:BBX_1793
ko:K00981	bpsd:BBX_1794
ko:K00099	bpsd:BBX_1795
ko:K11749	bpsd:BBX_1796
ko:K03798	bpsd:BBX_2600
ko:K02427	bpsd:BBX_2601
ko:K03624	bpsd:BBX_2604
ko:K01955	bpsd:BBX_2605
ko:K11250	bpsd:BBX_2606
ko:K01956	bpsd:BBX_2607
ko:K08307	bpsd:BBX_2611
ko:K01069	bpsd:BBX_2612
ko:K03469	bpsd:BBX_2614
ko:K02342	bpsd:BBX_2615
ko:K09771	bpsd:BBX_2616
ko:K03762	bpsd:BBX_2617
ko:K00645	bpsd:BBX_2622
ko:K13930	bpsd:BBX_2623
ko:K13934	bpsd:BBX_2624
ko:K13933	bpsd:BBX_2625
ko:K13932	bpsd:BBX_2626
ko:K13931	bpsd:BBX_2627
ko:K13929	bpsd:BBX_2628
ko:K01596	bpsd:BBX_2634
ko:K00381	bpsd:BBX_2641
ko:K09965	bpsd:BBX_2646
ko:K11159	bpsd:BBX_2647
ko:K00820	bpsd:BBX_2648
ko:K00375	bpsd:BBX_2651
ko:K01990	bpsd:BBX_3449
ko:K01992	bpsd:BBX_3450
ko:K00836	bpsd:BBX_3452
ko:K14162	bpsd:BBX_3456
ko:K14161	bpsd:BBX_3457
ko:K14160	bpsd:BBX_3458
ko:K05833	bpsd:BBX_3459
ko:K05832	bpsd:BBX_3460
ko:K01989	bpsd:BBX_3461
ko:K02073	bpsd:BBX_3464
ko:K03406	bpsd:BBX_3465
ko:K07152	bpsd:BBX_3467
ko:K02259	bpsd:BBX_3469
ko:K02276	bpsd:BBX_3473
ko:K02258	bpsd:BBX_3475
ko:K02274	bpsd:BBX_3476
ko:K02275	bpsd:BBX_3477
ko:K02169	bpsd:BBX_3479
ko:K03216	bpsd:BBX_3481
ko:K00057	bpsd:BBX_3483
ko:K03071	bpsd:BBX_3484
ko:K01834	bpsd:BBX_3487
ko:K03797	bpsd:BBX_3488
ko:K08483	bpsd:BBX_3490
ko:K11189	bpsd:BBX_3491
ko:K02821	bpsd:BBX_3492
ko:K01920	bpsd:BBX_3493
ko:K01919	bpsd:BBX_3494
ko:K03320	bpsd:BBX_3495
ko:K03086	bpsd:BBX_4320
ko:K09117	bpsd:BBX_4322
ko:K02970	bpsd:BBX_4323
ko:K07007	bpsd:BBX_4324
ko:K01409	bpsd:BBX_4325
ko:K09007	bpsd:BBX_4326
ko:K01662	bpsd:BBX_4327
ko:K00795	bpsd:BBX_4328
ko:K03602	bpsd:BBX_4329
ko:K01011	bpsd:BBX_4331
ko:K01061	bpsd:BBX_4332
ko:K03885	bpsd:BBX_4334
ko:K06966	bpsd:BBX_4336
ko:K01241	bpsd:BBX_4341
ko:K02204	bpsd:BBX_4343
ko:K02020	bpsd:BBX_4351
ko:K02018	bpsd:BBX_4352
ko:K02017	bpsd:BBX_4353
ko:K02019	bpsd:BBX_4354
ko:K01821	bpsd:BBX_4356
ko:K02414	bpsd:BBX_5159
ko:K02405	bpsd:BBX_5161
ko:K02398	bpsd:BBX_5162
ko:K02399	bpsd:BBX_5163
ko:K02395	bpsd:BBX_5165
ko:K02386	bpsd:BBX_5164
ko:K02387	bpsd:BBX_5166
ko:K02388	bpsd:BBX_5167
ko:K11901	bpsd:BBX_4728
ko:K11902	bpsd:BBX_4729
ko:K11890	bpsd:BBX_4732
ko:K11891	bpsd:BBX_4733
ko:K11892	bpsd:BBX_4734
ko:K11893	bpsd:BBX_4735
ko:K11906	bpsd:BBX_4736
ko:K07169	bpsd:BBX_4738
ko:K01753	bpsd:BBX_4746
ko:K04487	bpsd:BBX_4752
ko:K00101	bpsd:BBX_4756
ko:K16856	bpsd:BBX_4757
ko:K10823	bpsd:BBX_4770
ko:K15583	bpsd:BBX_4771
ko:K15582	bpsd:BBX_4772
ko:K15581	bpsd:BBX_4773
ko:K15580	bpsd:BBX_4774
ko:K03305	bpsd:BBX_4777
ko:K11896	bpsd:BBX_5584
ko:K11895	bpsd:BBX_5585
ko:K11907	bpsd:BBX_5586
ko:K11904	bpsd:BBX_5587
ko:K11904	bpsd:BBX_5588
ko:K11906	bpsd:BBX_5593
ko:K11893	bpsd:BBX_5594
ko:K11892	bpsd:BBX_5595
ko:K11891	bpsd:BBX_5596
ko:K18100	bpsd:BBX_5600
ko:K18101	bpsd:BBX_5601
ko:K12990	bpsd:BBX_5604
ko:K03543	bpsd:BBX_5606
ko:K00692	bpsd:BBX_5608
ko:K02529	bpsd:BBX_5609
ko:K00600	bpsd:BBX_5612
ko:K01273	bpsd:BBX_5613
ko:K03522	bpsd:BBX_5617
ko:K03521	bpsd:BBX_5618
ko:K00479	bpsd:BBX_5619
ko:K02002	bpsd:BBX_5621
ko:K01433	bpsd:BBX_5623
ko:K01133	bpsd:BBX_5625
ko:K02002	bpsd:BBX_5626
ko:K08720	bpsd:BBX_5627
ko:K05994	bpsd:BBX_5628
ko:K17736	bpsd:BBX_5630
ko:K02002	bpsd:BBX_5631
ko:K17735	bpsd:BBX_5633
ko:K07107	bpsd:BBX_5634
ko:K02389	bpsd:BBX_5168
ko:K02390	bpsd:BBX_5169
ko:K02391	bpsd:BBX_5170
ko:K02392	bpsd:BBX_5171
ko:K02393	bpsd:BBX_5172
ko:K02394	bpsd:BBX_5173
ko:K02396	bpsd:BBX_5175
ko:K02397	bpsd:BBX_5176
ko:K07687	bpsd:BBX_5181
ko:K00865	bpsd:BBX_5184
ko:K00873	bpsd:BBX_5185
ko:K02647	bpsd:BBX_5186
ko:K10439	bpsd:BBX_5199
ko:K10440	bpsd:BBX_5200
ko:K10441	bpsd:BBX_5201
ko:K05591	bpsd:BBX_5205
ko:K01497	bpsd:BBX_6012
ko:K07507	bpsd:BBX_6016
ko:K07098	bpsd:BBX_6017
ko:K09019	bpsd:BBX_6018
ko:K01652	bpsd:BBX_6030
ko:K06989	bpsd:BBX_6031
ko:K01426	bpsd:BBX_6040
ko:K01761	bpsd:BBX_6042
ko:K00675	bpsd:BBX_6045
ko:K09957	bpsd:BBX_6046
ko:K03762	bpsd:BBX_6051
ko:K07044	bpsd:BBX_6053
ko:K15553	bpsd:BBX_6057
ko:K03823	bpsd:BBX_6059
ko:K03406	bpsd:BBX_6062
ko:K14058	bpsd:BBX_59
ko:K04042	bpsd:BBX_60
ko:K08738	bpsd:BBX_496
ko:K09122	bpsd:BBX_523
ko:K07275	bpsd:BBX_528
ko:K00145	bpsd:BBX_532
ko:K03809	bpsd:BBX_533
ko:K06910	bpsd:BBX_534
ko:K00762	bpsd:BBX_535
ko:K00029	bpsd:BBX_536
ko:K04090	bpsd:BBX_537
ko:K00457	bpsd:BBX_539
ko:K03719	bpsd:BBX_540
ko:K02613	bpsd:BBX_544
ko:K02612	bpsd:BBX_545
ko:K02611	bpsd:BBX_546
ko:K02610	bpsd:BBX_547
ko:K02609	bpsd:BBX_548
ko:K01679	bpsd:BBX_1370
ko:K03327	bpsd:BBX_1372
ko:K14761	bpsd:BBX_1373
ko:K05805	bpsd:BBX_1376
ko:K05524	bpsd:BBX_1379
ko:K00763	bpsd:BBX_1380
ko:K00782	bpsd:BBX_1381
ko:K09760	bpsd:BBX_1384
ko:K03750	bpsd:BBX_1387
ko:K03752	bpsd:BBX_1388
ko:K03639	bpsd:BBX_1389
ko:K08300	bpsd:BBX_1390
ko:K06179	bpsd:BBX_1391
ko:K01091	bpsd:BBX_1392
ko:K04773	bpsd:BBX_1394
ko:K07056	bpsd:BBX_1395
ko:K06287	bpsd:BBX_1396
ko:K07040	bpsd:BBX_1397
ko:K02911	bpsd:BBX_1398
ko:K03621	bpsd:BBX_1399
ko:K00648	bpsd:BBX_1400
ko:K00645	bpsd:BBX_1401
ko:K00059	bpsd:BBX_1402
ko:K02078	bpsd:BBX_1403
ko:K09458	bpsd:BBX_1404
ko:K03088	bpsd:BBX_1406
ko:K03597	bpsd:BBX_1407
ko:K03598	bpsd:BBX_1408
ko:K03596	bpsd:BBX_1411
ko:K03100	bpsd:BBX_1412
ko:K03685	bpsd:BBX_1413
ko:K03584	bpsd:BBX_1415
ko:K03474	bpsd:BBX_1416
ko:K00997	bpsd:BBX_1417
ko:K02230	bpsd:BBX_2229
ko:K02234	bpsd:BBX_2230
ko:K07241	bpsd:BBX_2231
ko:K02189	bpsd:BBX_2232
ko:K02224	bpsd:BBX_2234
ko:K02014	bpsd:BBX_2236
ko:K10531	bpsd:BBX_2237
ko:K06160	bpsd:BBX_2242
ko:K02016	bpsd:BBX_2244
ko:K13255	bpsd:BBX_2245
ko:K02015	bpsd:BBX_2246
ko:K02013	bpsd:BBX_2247
ko:K03088	bpsd:BBX_2250
ko:K00854	bpsd:BBX_2253
ko:K00008	bpsd:BBX_2254
ko:K10440	bpsd:BBX_2255
ko:K10441	bpsd:BBX_2256
ko:K10439	bpsd:BBX_2257
ko:K07345	bpsd:BBX_2263
ko:K07346	bpsd:BBX_2264
ko:K07347	bpsd:BBX_2265
ko:K07345	bpsd:BBX_2266
ko:K18095	bpsd:BBX_2268
ko:K18094	bpsd:BBX_2269
ko:K18129	bpsd:BBX_2270
ko:K02029	bpsd:BBX_2272
ko:K02029	bpsd:BBX_2273
ko:K02030	bpsd:BBX_2274
ko:K12511	bpsd:BBX_2278
ko:K02283	bpsd:BBX_2280
ko:K00031	bpsd:BBX_3075
ko:K06181	bpsd:BBX_3076
ko:K09005	bpsd:BBX_3077
ko:K02355	bpsd:BBX_3078
ko:K03710	bpsd:BBX_3081
ko:K01647	bpsd:BBX_3083
ko:K00077	bpsd:BBX_3087
ko:K07240	bpsd:BBX_3090
ko:K04564	bpsd:BBX_3093
ko:K03601	bpsd:BBX_3094
ko:K00912	bpsd:BBX_3095
ko:K09791	bpsd:BBX_3096
ko:K00979	bpsd:BBX_3097
ko:K00939	bpsd:BBX_3098
ko:K03980	bpsd:BBX_3101
ko:K02968	bpsd:BBX_3102
ko:K00075	bpsd:BBX_3105
ko:K09767	bpsd:BBX_3106
ko:K08591	bpsd:BBX_3107
ko:K04763	bpsd:BBX_3110
ko:K00567	bpsd:BBX_3111
ko:K06925	bpsd:BBX_3113
ko:K01448	bpsd:BBX_3114
ko:K15268	bpsd:BBX_3115
ko:K06911	bpsd:BBX_3116
ko:K05838	bpsd:BBX_3117
ko:K00275	bpsd:BBX_3119
ko:K00574	bpsd:BBX_3120
ko:K07304	bpsd:BBX_3122
ko:K07130	bpsd:BBX_3125
ko:K01556	bpsd:BBX_3126
ko:K08369	bpsd:BBX_3927
ko:K02484	bpsd:BBX_3929
ko:K00380	bpsd:BBX_3933
ko:K03734	bpsd:BBX_3934
ko:K00128	bpsd:BBX_3935
ko:K09471	bpsd:BBX_3940
ko:K00040	bpsd:BBX_3946
ko:K08323	bpsd:BBX_3948
ko:K08322	bpsd:BBX_3949
ko:K01916	bpsd:BBX_3953
ko:K00368	bpsd:BBX_3959
ko:K07152	bpsd:BBX_3962
ko:K11910	bpsd:BBX_3967
ko:K11901	bpsd:BBX_3970
ko:K11900	bpsd:BBX_3971
ko:K11903	bpsd:BBX_3972
ko:K11905	bpsd:BBX_3973
ko:K11896	bpsd:BBX_3974
ko:K11895	bpsd:BBX_3975
ko:K11907	bpsd:BBX_3976
ko:K11904	bpsd:BBX_3977
ko:K01644	bpsd:BBX_4785
ko:K08369	bpsd:BBX_4790
ko:K01644	bpsd:BBX_4794
ko:K01720	bpsd:BBX_4796
ko:K05786	bpsd:BBX_4798
ko:K01512	bpsd:BBX_4799
ko:K03527	bpsd:BBX_4803
ko:K10253	bpsd:BBX_4805
ko:K01845	bpsd:BBX_4806
ko:K06200	bpsd:BBX_4809
ko:K02651	bpsd:BBX_4822
ko:K02651	bpsd:BBX_4823
ko:K02278	bpsd:BBX_4824
ko:K02279	bpsd:BBX_4826
ko:K02280	bpsd:BBX_4827
ko:K02282	bpsd:BBX_4832
ko:K02283	bpsd:BBX_4833
ko:K00285	bpsd:BBX_5639
ko:K01999	bpsd:BBX_5640
ko:K01997	bpsd:BBX_5641
ko:K01998	bpsd:BBX_5642
ko:K01995	bpsd:BBX_5643
ko:K01996	bpsd:BBX_5644
ko:K04782	bpsd:BBX_5648
ko:K12243	bpsd:BBX_5651
ko:K06147	bpsd:BBX_5656
ko:K16088	bpsd:BBX_5657
ko:K06901	bpsd:BBX_5665
ko:K07090	bpsd:BBX_5669
ko:K03119	bpsd:BBX_5672
ko:K01841	bpsd:BBX_5674
ko:K07044	bpsd:BBX_5675
ko:K07403	bpsd:BBX_5679
ko:K01895	bpsd:BBX_5682
ko:K00140	bpsd:BBX_5683
ko:K00820	bpsd:BBX_61
ko:K07787	bpsd:BBX_64
ko:K07798	bpsd:BBX_65
ko:K06872	bpsd:BBX_69
ko:K03744	bpsd:BBX_70
ko:K01533	bpsd:BBX_71
ko:K07213	bpsd:BBX_72
ko:K01940	bpsd:BBX_75
ko:K00383	bpsd:BBX_76
ko:K07267	bpsd:BBX_83
ko:K00720	bpsd:BBX_84
ko:K06193	bpsd:BBX_90
ko:K07240	bpsd:BBX_92
ko:K07240	bpsd:BBX_93
ko:K03566	bpsd:BBX_94
ko:K02397	bpsd:BBX_96
ko:K02396	bpsd:BBX_97
ko:K02395	bpsd:BBX_99
ko:K02394	bpsd:BBX_100
ko:K02393	bpsd:BBX_101
ko:K02392	bpsd:BBX_102
ko:K02391	bpsd:BBX_103
ko:K02390	bpsd:BBX_104
ko:K02389	bpsd:BBX_105
ko:K02388	bpsd:BBX_106
ko:K02387	bpsd:BBX_107
ko:K02386	bpsd:BBX_108
ko:K02398	bpsd:BBX_109
ko:K02399	bpsd:BBX_110
ko:K00974	bpsd:BBX_112
ko:K01159	bpsd:BBX_943
ko:K00602	bpsd:BBX_944
ko:K03557	bpsd:BBX_945
ko:K05540	bpsd:BBX_946
ko:K03185	bpsd:BBX_947
ko:K01262	bpsd:BBX_948
ko:K00799	bpsd:BBX_949
ko:K00566	bpsd:BBX_951
ko:K00324	bpsd:BBX_953
ko:K00324	bpsd:BBX_954
ko:K00325	bpsd:BBX_955
ko:K06996	bpsd:BBX_957
ko:K07444	bpsd:BBX_958
ko:K09857	bpsd:BBX_962
ko:K06192	bpsd:BBX_963
ko:K03808	bpsd:BBX_964
ko:K03808	bpsd:BBX_965
ko:K12262	bpsd:BBX_966
ko:K03074	bpsd:BBX_970
ko:K03072	bpsd:BBX_971
ko:K03210	bpsd:BBX_972
ko:K00773	bpsd:BBX_973
ko:K07568	bpsd:BBX_974
ko:K03655	bpsd:BBX_975
ko:K04761	bpsd:BBX_976
ko:K03782	bpsd:BBX_978
ko:K04047	bpsd:BBX_980
ko:K03179	bpsd:BBX_982
ko:K05774	bpsd:BBX_983
ko:K02043	bpsd:BBX_985
ko:K06166	bpsd:BBX_986
ko:K06165	bpsd:BBX_987
ko:K06164	bpsd:BBX_988
ko:K06163	bpsd:BBX_989
ko:K05781	bpsd:BBX_990
ko:K05780	bpsd:BBX_991
ko:K06162	bpsd:BBX_992
ko:K02041	bpsd:BBX_993
ko:K02044	bpsd:BBX_994
ko:K07277	bpsd:BBX_1797
ko:K06142	bpsd:BBX_1798
ko:K02536	bpsd:BBX_1799
ko:K02372	bpsd:BBX_1800
ko:K00677	bpsd:BBX_1801
ko:K00748	bpsd:BBX_1802
ko:K03470	bpsd:BBX_1803
ko:K03437	bpsd:BBX_1804
ko:K09773	bpsd:BBX_1805
ko:K05998	bpsd:BBX_1806
ko:K03664	bpsd:BBX_1812
ko:K09801	bpsd:BBX_1814
ko:K00088	bpsd:BBX_1819
ko:K01951	bpsd:BBX_1821
ko:K09983	bpsd:BBX_1825
ko:K11991	bpsd:BBX_1827
ko:K01297	bpsd:BBX_1828
ko:K03457	bpsd:BBX_1830
ko:K16841	bpsd:BBX_1831
ko:K13485	bpsd:BBX_1833
ko:K01477	bpsd:BBX_1834
ko:K01483	bpsd:BBX_1835
ko:K07127	bpsd:BBX_1837
ko:K09165	bpsd:BBX_1840
ko:K03282	bpsd:BBX_1843
ko:K03969	bpsd:BBX_1845
ko:K05366	bpsd:BBX_1846
ko:K01754	bpsd:BBX_1848
ko:K01438	bpsd:BBX_1849
ko:K07734	bpsd:BBX_2652
ko:K02055	bpsd:BBX_2659
ko:K02053	bpsd:BBX_2660
ko:K02053	bpsd:BBX_2662
ko:K02052	bpsd:BBX_2663
ko:K03147	bpsd:BBX_2672
ko:K04062	bpsd:BBX_2673
ko:K15034	bpsd:BBX_2677
ko:K03581	bpsd:BBX_2678
ko:K03582	bpsd:BBX_2679
ko:K03583	bpsd:BBX_2680
ko:K16234	bpsd:BBX_2683
ko:K02012	bpsd:BBX_2685
ko:K02011	bpsd:BBX_2686
ko:K02010	bpsd:BBX_2687
ko:K05800	bpsd:BBX_2688
ko:K07118	bpsd:BBX_2690
ko:K07093	bpsd:BBX_2693
ko:K07799	bpsd:BBX_2695
ko:K07788	bpsd:BBX_2696
ko:K07789	bpsd:BBX_2697
ko:K02274	bpsd:BBX_2703
ko:K02275	bpsd:BBX_2704
ko:K04752	bpsd:BBX_3496
ko:K09806	bpsd:BBX_3497
ko:K07391	bpsd:BBX_3498
ko:K10126	bpsd:BBX_3503
ko:K10125	bpsd:BBX_3504
ko:K11103	bpsd:BBX_3505
ko:K14393	bpsd:BBX_3506
ko:K03644	bpsd:BBX_3516
ko:K03801	bpsd:BBX_3517
ko:K03566	bpsd:BBX_3519
ko:K09158	bpsd:BBX_3520
ko:K00824	bpsd:BBX_3521
ko:K07258	bpsd:BBX_3522
ko:K07018	bpsd:BBX_3523
ko:K18480	bpsd:BBX_3526
ko:K02067	bpsd:BBX_3527
ko:K02065	bpsd:BBX_3528
ko:K02066	bpsd:BBX_3529
ko:K01119	bpsd:BBX_3530
ko:K03524	bpsd:BBX_3532
ko:K03525	bpsd:BBX_3533
ko:K07001	bpsd:BBX_3537
ko:K01692	bpsd:BBX_3540
ko:K16171	bpsd:BBX_3541
ko:K00548	bpsd:BBX_3545
ko:K00548	bpsd:BBX_3546
ko:K01887	bpsd:BBX_3548
ko:K00788	bpsd:BBX_4361
ko:K15256	bpsd:BBX_4363
ko:K01666	bpsd:BBX_4373
ko:K04073	bpsd:BBX_4374
ko:K00826	bpsd:BBX_4376
ko:K07044	bpsd:BBX_4388
ko:K03772	bpsd:BBX_4390
ko:K16692	bpsd:BBX_4397
ko:K01991	bpsd:BBX_4398
ko:K01104	bpsd:BBX_4399
ko:K00012	bpsd:BBX_4400
ko:K03606	bpsd:BBX_4401
ko:K10001	bpsd:BBX_5214
ko:K00285	bpsd:BBX_5215
ko:K01953	bpsd:BBX_5224
ko:K11891	bpsd:BBX_5228
ko:K11892	bpsd:BBX_5229
ko:K11893	bpsd:BBX_5230
ko:K11906	bpsd:BBX_5231
ko:K11903	bpsd:BBX_5232
ko:K11901	bpsd:BBX_5234
ko:K11907	bpsd:BBX_5235
ko:K11898	bpsd:BBX_5237
