ko:K18929	hpyk:HPAKL86_06315
ko:K00943	hpyk:HPAKL86_00570
ko:K02065	hpyk:HPAKL86_00615
ko:K01749	hpyk:HPAKL86_02160
ko:K01881	hpyk:HPAKL86_02165
ko:K02492	hpyk:HPAKL86_02170
ko:K02523	hpyk:HPAKL86_02175
ko:K04047	hpyk:HPAKL86_02190
ko:K07710	hpyk:HPAKL86_02195
ko:K02394	hpyk:HPAKL86_02205
ko:K05592	hpyk:HPAKL86_02210
ko:K13896	hpyk:HPAKL86_02225
ko:K13895	hpyk:HPAKL86_02230
ko:K01939	hpyk:HPAKL86_02245
ko:K11749	hpyk:HPAKL86_02260
ko:K03601	hpyk:HPAKL86_02265
ko:K01810	hpyk:HPAKL86_02270
ko:K00384	hpyk:HPAKL86_02280
ko:K03839	hpyk:HPAKL86_02295
ko:K07042	hpyk:HPAKL86_02300
ko:K04095	hpyk:HPAKL86_02305
ko:K00286	hpyk:HPAKL86_02310
ko:K02563	hpyk:HPAKL86_02325
ko:K01873	hpyk:HPAKL86_02335
ko:K03106	hpyk:HPAKL86_02340
ko:K02959	hpyk:HPAKL86_02345
ko:K06960	hpyk:HPAKL86_02350
ko:K02860	hpyk:HPAKL86_02355
ko:K00554	hpyk:HPAKL86_02360
ko:K02884	hpyk:HPAKL86_02365
ko:K01775	hpyk:HPAKL86_02370
ko:K03303	hpyk:HPAKL86_06300
ko:K03303	hpyk:HPAKL86_06305
ko:K00782	hpyk:HPAKL86_06320
ko:K03564	hpyk:HPAKL86_06325
ko:K01626	hpyk:HPAKL86_06335
ko:K03837	hpyk:HPAKL86_06340
ko:K01752	hpyk:HPAKL86_06345
ko:K03981	hpyk:HPAKL86_06365
ko:K00979	hpyk:HPAKL86_06370
ko:K00640	hpyk:HPAKL86_06385
ko:K00413	hpyk:HPAKL86_06395
ko:K00412	hpyk:HPAKL86_06400
ko:K00411	hpyk:HPAKL86_06405
ko:K03723	hpyk:HPAKL86_06410
ko:K11754	hpyk:HPAKL86_06430
ko:K01869	hpyk:HPAKL86_06440
ko:K03074	hpyk:HPAKL86_06450
ko:K03072	hpyk:HPAKL86_06455
ko:K03210	hpyk:HPAKL86_06460
ko:K03313	hpyk:HPAKL86_06465
ko:K02967	hpyk:HPAKL86_06480
ko:K02357	hpyk:HPAKL86_06485
ko:K03797	hpyk:HPAKL86_06500
ko:K00655	hpyk:HPAKL86_06510
ko:K03648	hpyk:HPAKL86_06515
ko:K00075	hpyk:HPAKL86_06520
ko:K02420	hpyk:HPAKL86_06525
ko:K02412	hpyk:HPAKL86_06530
ko:K01870	hpyk:HPAKL86_06540
ko:K00820	hpyk:HPAKL86_00220
ko:K01657	hpyk:HPAKL86_00315
ko:K03631	hpyk:HPAKL86_00390
ko:K03310	hpyk:HPAKL86_02375
ko:K00285	hpyk:HPAKL86_02380
ko:K02424	hpyk:HPAKL86_02405
ko:K10009	hpyk:HPAKL86_02410
ko:K15844	hpyk:HPAKL86_02420
ko:K15843	hpyk:HPAKL86_02425
ko:K03657	hpyk:HPAKL86_02430
ko:K02390	hpyk:HPAKL86_02445
ko:K02389	hpyk:HPAKL86_02450
ko:K13788	hpyk:HPAKL86_02460
ko:K00925	hpyk:HPAKL86_02465
ko:K04653	hpyk:HPAKL86_02480
ko:K04654	hpyk:HPAKL86_02485
ko:K02015	hpyk:HPAKL86_02510
ko:K02013	hpyk:HPAKL86_02515
ko:K03695	hpyk:HPAKL86_02550
ko:K01465	hpyk:HPAKL86_02560
ko:K06168	hpyk:HPAKL86_02575
ko:K09778	hpyk:HPAKL86_02580
ko:K06940	hpyk:HPAKL86_02600
ko:K01609	hpyk:HPAKL86_02610
ko:K01524	hpyk:HPAKL86_02620
ko:K02528	hpyk:HPAKL86_06565
ko:K06041	hpyk:HPAKL86_06575
ko:K06941	hpyk:HPAKL86_06580
ko:K06287	hpyk:HPAKL86_06595
ko:K01872	hpyk:HPAKL86_06600
ko:K09794	hpyk:HPAKL86_06605
ko:K02963	hpyk:HPAKL86_06615
ko:K02990	hpyk:HPAKL86_06625
ko:K02340	hpyk:HPAKL86_06630
ko:K12573	hpyk:HPAKL86_06635
ko:K00014	hpyk:HPAKL86_06640
ko:K13894	hpyk:HPAKL86_06650
ko:K13893	hpyk:HPAKL86_06655
ko:K01867	hpyk:HPAKL86_06660
ko:K02169	hpyk:HPAKL86_06665
ko:K03075	hpyk:HPAKL86_06670
ko:K02838	hpyk:HPAKL86_06675
ko:K00762	hpyk:HPAKL86_06680
ko:K12410	hpyk:HPAKL86_06690
ko:K00330	hpyk:HPAKL86_06695
ko:K00331	hpyk:HPAKL86_06700
ko:K00332	hpyk:HPAKL86_06705
ko:K00333	hpyk:HPAKL86_06710
ko:K00334	hpyk:HPAKL86_06715
ko:K00337	hpyk:HPAKL86_06730
ko:K00338	hpyk:HPAKL86_06735
ko:K00339	hpyk:HPAKL86_06740
ko:K00340	hpyk:HPAKL86_06745
ko:K00341	hpyk:HPAKL86_06750
ko:K00342	hpyk:HPAKL86_06755
ko:K00343	hpyk:HPAKL86_06760
ko:K15778	hpyk:HPAKL86_06770
ko:K03811	hpyk:HPAKL86_06780
ko:K00767	hpyk:HPAKL86_06810
ko:K00858	hpyk:HPAKL86_00395
ko:K02841	hpyk:HPAKL86_02625
ko:K02517	hpyk:HPAKL86_02630
ko:K00773	hpyk:HPAKL86_02635
ko:K09944	hpyk:HPAKL86_02640
ko:K01735	hpyk:HPAKL86_02645
ko:K01586	hpyk:HPAKL86_02680
ko:K01163	hpyk:HPAKL86_02690
ko:K01521	hpyk:HPAKL86_02700
ko:K02390	hpyk:HPAKL86_02705
ko:K04651	hpyk:HPAKL86_02710
ko:K00748	hpyk:HPAKL86_02720
ko:K03624	hpyk:HPAKL86_02725
ko:K03525	hpyk:HPAKL86_02745
ko:K09792	hpyk:HPAKL86_02750
ko:K03273	hpyk:HPAKL86_02755
ko:K03274	hpyk:HPAKL86_02760
ko:K03272	hpyk:HPAKL86_02765
ko:K03271	hpyk:HPAKL86_02770
ko:K00364	hpyk:HPAKL86_02775
ko:K09805	hpyk:HPAKL86_02785
ko:K01154	hpyk:HPAKL86_02805
ko:K01153	hpyk:HPAKL86_02810
ko:K13038	hpyk:HPAKL86_02845
ko:K15894	hpyk:HPAKL86_02850
ko:K09860	hpyk:HPAKL86_02865
ko:K03530	hpyk:HPAKL86_02870
ko:K03977	hpyk:HPAKL86_02875
ko:K00797	hpyk:HPAKL86_02885
ko:K00859	hpyk:HPAKL86_02890
ko:K03517	hpyk:HPAKL86_06815
ko:K01613	hpyk:HPAKL86_06820
ko:K03179	hpyk:HPAKL86_06835
ko:K04656	hpyk:HPAKL86_06900
ko:K11752	hpyk:HPAKL86_06925
ko:K03312	hpyk:HPAKL86_06930
ko:K08591	hpyk:HPAKL86_06945
ko:K01633	hpyk:HPAKL86_06950
ko:K01042	hpyk:HPAKL86_06965
ko:K02600	hpyk:HPAKL86_06970
ko:K07043	hpyk:HPAKL86_06990
ko:K00826	hpyk:HPAKL86_06995
ko:K00566	hpyk:HPAKL86_07015
ko:K04078	hpyk:HPAKL86_07025
ko:K04077	hpyk:HPAKL86_07030
ko:K03284	hpyk:HPAKL86_07040
ko:K00927	hpyk:HPAKL86_07045
ko:K00134	hpyk:HPAKL86_07050
ko:K03686	hpyk:HPAKL86_07065
ko:K00566	hpyk:HPAKL86_07080
ko:K02108	hpyk:HPAKL86_02905
ko:K07241	hpyk:HPAKL86_02930
ko:K03798	hpyk:HPAKL86_02965
ko:K02687	hpyk:HPAKL86_02970
ko:K03413	hpyk:HPAKL86_02975
ko:K06950	hpyk:HPAKL86_02990
ko:K03501	hpyk:HPAKL86_02995
ko:K07568	hpyk:HPAKL86_03000
ko:K03118	hpyk:HPAKL86_03005
ko:K03117	hpyk:HPAKL86_03010
ko:K03551	hpyk:HPAKL86_03015
ko:K00606	hpyk:HPAKL86_03020
ko:K03610	hpyk:HPAKL86_03045
ko:K02535	hpyk:HPAKL86_03050
ko:K00872	hpyk:HPAKL86_03060
ko:K02519	hpyk:HPAKL86_03070
ko:K02834	hpyk:HPAKL86_03075
ko:K09748	hpyk:HPAKL86_03080
ko:K01895	hpyk:HPAKL86_03085
ko:K02400	hpyk:HPAKL86_03105
ko:K02956	hpyk:HPAKL86_03110
ko:K03786	hpyk:HPAKL86_03120
ko:K00950	hpyk:HPAKL86_03130
ko:K02404	hpyk:HPAKL86_03135
ko:K04562	hpyk:HPAKL86_03140
ko:K02405	hpyk:HPAKL86_03150
ko:K00969	hpyk:HPAKL86_07090
ko:K07722	hpyk:HPAKL86_07095
ko:K03561	hpyk:HPAKL86_07100
ko:K03832	hpyk:HPAKL86_07110
ko:K02392	hpyk:HPAKL86_07120
ko:K01821	hpyk:HPAKL86_07259
ko:K12049	hpyk:HPAKL86_00055
ko:K15845	hpyk:HPAKL86_05900
ko:K11028	hpyk:HPAKL86_05485
ko:K02030	hpyk:HPAKL86_05880
ko:K11782	hpyk:HPAKL86_05080
ko:K07318	hpyk:HPAKL86_06375
ko:K03559	hpyk:HPAKL86_05295
ko:K09477	hpyk:HPAKL86_06290
ko:K03559	hpyk:HPAKL86_07105
ko:K12977	hpyk:HPAKL86_00805
ko:K12048	hpyk:HPAKL86_00050
ko:K12052	hpyk:HPAKL86_00070
ko:K12050	hpyk:HPAKL86_00060
ko:K03191	hpyk:HPAKL86_01530
ko:K13797	hpyk:HPAKL86_01360
ko:K15895	hpyk:HPAKL86_02535
ko:K15896	hpyk:HPAKL86_03500
ko:K02003	hpyk:HPAKL86_06090
ko:K01738	hpyk:HPAKL86_01800
ko:K01760	hpyk:HPAKL86_01805
ko:K01992	hpyk:HPAKL86_02125
ko:K02028	hpyk:HPAKL86_05875
ko:K01990	hpyk:HPAKL86_01275
ko:K17103	hpyk:HPAKL86_02960
ko:K03559	hpyk:HPAKL86_01090
ko:K02484	hpyk:HPAKL86_06185
ko:K02484	hpyk:HPAKL86_06855
ko:K02847	hpyk:HPAKL86_03115
ko:K01992	hpyk:HPAKL86_00500
ko:K12053	hpyk:HPAKL86_00825
ko:K17686	hpyk:HPAKL86_06915
ko:K17686	hpyk:HPAKL86_02955
ko:K01155	hpyk:HPAKL86_02540
ko:K05540	hpyk:HPAKL86_04390
ko:K11928	hpyk:HPAKL86_01430
ko:K01658	hpyk:HPAKL86_00310
ko:K12574	hpyk:HPAKL86_06570
ko:K00971	hpyk:HPAKL86_00045
ko:K00290	hpyk:HPAKL86_06935
ko:K01497	hpyk:HPAKL86_03770
ko:K00254	hpyk:HPAKL86_03255
ko:K06148	hpyk:HPAKL86_01315
ko:K05922	hpyk:HPAKL86_04445
ko:K05927	hpyk:HPAKL86_04450
ko:K00104	hpyk:HPAKL86_03870
ko:K03605	hpyk:HPAKL86_04435
ko:K05366	hpyk:HPAKL86_02050
ko:K12051	hpyk:HPAKL86_00065
ko:K15848	hpyk:HPAKL86_00130
ko:K11784	hpyk:HPAKL86_04245
ko:K07126	hpyk:HPAKL86_03540
ko:K07126	hpyk:HPAKL86_02925
ko:K11785	hpyk:HPAKL86_06240
ko:K18284	hpyk:HPAKL86_01610
ko:K18285	hpyk:HPAKL86_04235
ko:K08068	hpyk:HPAKL86_02820
ko:K16235	hpyk:HPAKL86_03220
ko:K18480	hpyk:HPAKL86_00625
ko:K00681	hpyk:HPAKL86_05240
ko:K18930	hpyk:HPAKL86_01265
ko:K03497	hpyk:HPAKL86_05340
ko:K03496	hpyk:HPAKL86_05345
ko:K03111	hpyk:HPAKL86_06620
ko:K03761	hpyk:HPAKL86_04020
ko:K00335	hpyk:HPAKL86_06720
ko:K03526	hpyk:HPAKL86_04515
ko:K02483	hpyk:HPAKL86_06190
ko:K00571	hpyk:HPAKL86_01625
ko:K02483	hpyk:HPAKL86_06860
ko:K03296	hpyk:HPAKL86_02110
ko:K00336	hpyk:HPAKL86_06725
ko:K07448	hpyk:HPAKL86_04075
ko:K19157	hpyk:HPAKL86_01885
ko:K19157	hpyk:HPAKL86_07219
ko:K00571	hpyk:HPAKL86_02545
ko:K00571	hpyk:HPAKL86_06890
ko:K00525	hpyk:HPAKL86_04345
ko:K07317	hpyk:HPAKL86_02435
ko:K07496	hpyk:HPAKL86_02065
ko:K04771	hpyk:HPAKL86_03215
ko:K01992	hpyk:HPAKL86_00505
ko:K19416	hpyk:HPAKL86_04625
ko:K09859	hpyk:HPAKL86_01030
ko:K20151	hpyk:HPAKL86_05545
ko:K20810	hpyk:HPAKL86_02565
ko:K20151	hpyk:HPAKL86_04810
ko:K11028	hpyk:HPAKL86_02525
ko:K07100	hpyk:HPAKL86_01295
ko:K06223	hpyk:HPAKL86_03355
ko:K00558	hpyk:HPAKL86_03600
ko:K00558	hpyk:HPAKL86_03810
ko:K03465	hpyk:HPAKL86_00215
ko:K00558	hpyk:HPAKL86_05255
ko:K00558	hpyk:HPAKL86_06115
ko:K03553	hpyk:HPAKL86_06235
ko:K01520	hpyk:HPAKL86_02730
ko:K02314	hpyk:HPAKL86_06845
ko:K00558	hpyk:HPAKL86_06885
ko:K02316	hpyk:HPAKL86_07020
ko:K02335	hpyk:HPAKL86_07005
ko:K02335	hpyk:HPAKL86_03200
ko:K00526	hpyk:HPAKL86_05800
ko:K02481	hpyk:HPAKL86_03610
ko:K01139	hpyk:HPAKL86_05105
ko:K07097	hpyk:HPAKL86_03100
ko:K02483	hpyk:HPAKL86_03095
ko:K10026	hpyk:HPAKL86_03380
ko:K21929	hpyk:HPAKL86_04815
ko:K03595	hpyk:HPAKL86_03910
ko:K09022	hpyk:HPAKL86_02385
ko:K16235	hpyk:HPAKL86_00425
ko:K22278	hpyk:HPAKL86_04635
ko:K14441	hpyk:HPAKL86_04880
ko:K22391	hpyk:HPAKL86_04720
ko:K17758	hpyk:HPAKL86_06850
ko:K17759	hpyk:HPAKL86_06850
ko:K01007	hpyk:HPAKL86_01835
