ko:K14222	aan:D7S_t00689
ko:K01662	aan:D7S_02349
ko:K00795	aan:D7S_02350
ko:K03602	aan:D7S_02351
ko:K01963	aan:D7S_02352
ko:K11754	aan:D7S_02353
ko:K06131	aan:D7S_02355
ko:K06193	aan:D7S_02360
ko:K05685	aan:D7S_02363
ko:K13888	aan:D7S_02364
ko:K01886	aan:D7S_02365
ko:K09808	aan:D7S_02376
ko:K09808	aan:D7S_02378
ko:K01626	aan:D7S_02379
ko:K03639	aan:D7S_00003
ko:K03637	aan:D7S_00004
ko:K03636	aan:D7S_00005
ko:K03599	aan:D7S_00007
ko:K03600	aan:D7S_00008
ko:K01893	aan:D7S_00009
ko:K15545	aan:D7S_00011
ko:K01935	aan:D7S_00012
ko:K11216	aan:D7S_00013
ko:K11531	aan:D7S_00014
ko:K10558	aan:D7S_00015
ko:K10556	aan:D7S_00016
ko:K10557	aan:D7S_00017
ko:K10555	aan:D7S_00018
ko:K08321	aan:D7S_00019
ko:K00873	aan:D7S_00021
ko:K01695	aan:D7S_00024
ko:K01696	aan:D7S_00025
ko:K01573	aan:D7S_00031
ko:K04653	aan:D7S_00033
ko:K13498	aan:D7S_00035
ko:K00014	aan:D7S_00947
ko:K05786	aan:D7S_00948
ko:K02521	aan:D7S_00949
ko:K00053	aan:D7S_00950
ko:K02992	aan:D7S_00953
ko:K02355	aan:D7S_00954
ko:K10441	aan:D7S_00957
ko:K00880	aan:D7S_00959
ko:K06959	aan:D7S_00960
ko:K04760	aan:D7S_00969
ko:K03088	aan:D7S_00971
ko:K09125	aan:D7S_00973
ko:K02498	aan:D7S_00974
ko:K02496	aan:D7S_00975
ko:K01749	aan:D7S_00977
ko:K05851	aan:D7S_00978
ko:K07685	aan:D7S_00979
ko:K07278	aan:D7S_00980
ko:K09800	aan:D7S_00981
ko:K01524	aan:D7S_00982
ko:K01610	aan:D7S_00983
ko:K01599	aan:D7S_00987
ko:K09891	aan:D7S_00988
ko:K05787	aan:D7S_00989
ko:K00820	aan:D7S_00991
ko:K06915	aan:D7S_01000
ko:K09858	aan:D7S_01002
ko:K01876	aan:D7S_00643
ko:K15256	aan:D7S_00645
ko:K02445	aan:D7S_00647
ko:K03683	aan:D7S_00651
ko:K07084	aan:D7S_00653
ko:K06168	aan:D7S_00655
ko:K09765	aan:D7S_00658
ko:K02523	aan:D7S_00659
ko:K02888	aan:D7S_00660
ko:K02899	aan:D7S_00661
ko:K03979	aan:D7S_00664
ko:K15580	aan:D7S_00668
ko:K07773	aan:D7S_00675
ko:K02919	aan:D7S_00676
ko:K02909	aan:D7S_00677
ko:K06966	aan:D7S_00678
ko:K04084	aan:D7S_00679
ko:K15977	aan:D7S_00680
ko:K08300	aan:D7S_00682
ko:K03671	aan:D7S_00685
ko:K03778	aan:D7S_00686
ko:K15396	aan:D7S_00702
ko:K13643	aan:D7S_00703
ko:K04751	aan:D7S_01616
ko:K07082	aan:D7S_01617
ko:K00943	aan:D7S_01618
ko:K02341	aan:D7S_01619
ko:K03424	aan:D7S_01620
ko:K09798	aan:D7S_01631
ko:K07391	aan:D7S_01632
ko:K03978	aan:D7S_01633
ko:K09824	aan:D7S_01634
ko:K03216	aan:D7S_01635
ko:K02073	aan:D7S_01637
ko:K02072	aan:D7S_01638
ko:K02071	aan:D7S_01639
ko:K03273	aan:D7S_01640
ko:K07133	aan:D7S_01649
ko:K05590	aan:D7S_01650
ko:K03811	aan:D7S_01653
ko:K09894	aan:D7S_01656
ko:K01803	aan:D7S_01660
ko:K01661	aan:D7S_01661
ko:K03786	aan:D7S_01665
ko:K02160	aan:D7S_01666
ko:K01961	aan:D7S_01667
ko:K07058	aan:D7S_01004
ko:K07560	aan:D7S_01005
ko:K03312	aan:D7S_01006
ko:K08591	aan:D7S_01911
ko:K01633	aan:D7S_01912
ko:K03611	aan:D7S_01915
ko:K03314	aan:D7S_01916
ko:K03603	aan:D7S_01917
ko:K14260	aan:D7S_01918
ko:K02551	aan:D7S_01920
ko:K02956	aan:D7S_01922
ko:K00789	aan:D7S_01923
ko:K07552	aan:D7S_01934
ko:K02194	aan:D7S_01936
ko:K02195	aan:D7S_01937
ko:K02196	aan:D7S_01938
ko:K02197	aan:D7S_01939
ko:K02198	aan:D7S_01940
ko:K02199	aan:D7S_01941
ko:K03385	aan:D7S_01946
ko:K04013	aan:D7S_01947
ko:K04016	aan:D7S_01950
ko:K02199	aan:D7S_01951
ko:K07007	aan:D7S_01953
ko:K03629	aan:D7S_01956
ko:K02338	aan:D7S_01957
ko:K02313	aan:D7S_01958
ko:K02914	aan:D7S_01959
ko:K03536	aan:D7S_01960
ko:K03217	aan:D7S_01961
ko:K03650	aan:D7S_01962
ko:K03685	aan:D7S_01964
ko:K03100	aan:D7S_01965
ko:K03596	aan:D7S_01966
ko:K07783	aan:D7S_00286
ko:K03337	aan:D7S_00288
ko:K03271	aan:D7S_00459
ko:K01673	aan:D7S_00461
ko:K12267	aan:D7S_00462
ko:K01951	aan:D7S_00473
ko:K01962	aan:D7S_00475
ko:K00868	aan:D7S_00476
ko:K04075	aan:D7S_00477
ko:K06901	aan:D7S_00478
ko:K04651	aan:D7S_00481
ko:K04485	aan:D7S_00486
ko:K07220	aan:D7S_00488
ko:K03306	aan:D7S_00489
ko:K07184	aan:D7S_00490
ko:K02494	aan:D7S_00492
ko:K00919	aan:D7S_00493
ko:K00948	aan:D7S_00494
ko:K03303	aan:D7S_00497
ko:K09802	aan:D7S_00498
ko:K00831	aan:D7S_00500
ko:K00800	aan:D7S_00505
ko:K07112	aan:D7S_00513
ko:K08303	aan:D7S_00515
ko:K00615	aan:D7S_01430
ko:K12511	aan:D7S_01448
ko:K12510	aan:D7S_01449
ko:K02283	aan:D7S_01450
ko:K02282	aan:D7S_01451
ko:K02280	aan:D7S_01453
ko:K02279	aan:D7S_01454
ko:K02651	aan:D7S_01457
ko:K07042	aan:D7S_01459
ko:K06957	aan:D7S_01462
ko:K03723	aan:D7S_01465
ko:K03271	aan:D7S_01466
ko:K09997	aan:D7S_01468
ko:K09999	aan:D7S_01469
ko:K03438	aan:D7S_01473
ko:K03586	aan:D7S_01474
ko:K03587	aan:D7S_01475
ko:K01928	aan:D7S_01476
ko:K01929	aan:D7S_01477
ko:K01000	aan:D7S_01478
ko:K01925	aan:D7S_01479
ko:K03588	aan:D7S_01480
ko:K02563	aan:D7S_01481
ko:K01924	aan:D7S_01482
ko:K03590	aan:D7S_01485
ko:K03531	aan:D7S_01486
ko:K02535	aan:D7S_01487
ko:K14170	aan:D7S_01488
ko:K04079	aan:D7S_01489
ko:K01775	aan:D7S_02382
ko:K01810	aan:D7S_02383
ko:K00794	aan:D7S_02385
ko:K03625	aan:D7S_02386
ko:K00946	aan:D7S_02387
ko:K01095	aan:D7S_02388
ko:K00215	aan:D7S_02390
ko:K11107	aan:D7S_02391
ko:K02012	aan:D7S_02399
ko:K02011	aan:D7S_02400
ko:K02024	aan:D7S_02407
ko:K05775	aan:D7S_02408
ko:K01792	aan:D7S_02410
ko:K07285	aan:D7S_02414
ko:K03684	aan:D7S_02417
ko:K00428	aan:D7S_02418
ko:K07340	aan:D7S_02424
ko:K02517	aan:D7S_02427
ko:K03272	aan:D7S_02428
ko:K02426	aan:D7S_02429
ko:K01766	aan:D7S_02430
ko:K14058	aan:D7S_02432
ko:K15977	aan:D7S_02433
ko:K02016	aan:D7S_02436
ko:K02015	aan:D7S_02437
ko:K02013	aan:D7S_02438
ko:K10010	aan:D7S_01207
ko:K00971	aan:D7S_01290
ko:K14235	aan:D7S_t00360
ko:K04753	aan:D7S_01982
ko:K14230	aan:D7S_t00427
ko:K12143	aan:D7S_02170
ko:K15773	aan:D7S_00559
ko:K01840	aan:D7S_01019
ko:K01739	aan:D7S_00687
ko:K01270	aan:D7S_00891
ko:K15583	aan:D7S_00673
ko:K19227	aan:D7S_02264
ko:K02564	aan:D7S_00401
ko:K01639	aan:D7S_00402
ko:K01788	aan:D7S_00405
ko:K00799	aan:D7S_00449
ko:K04774	aan:D7S_00451
ko:K07308	aan:D7S_01380
ko:K07307	aan:D7S_01381
ko:K07126	aan:D7S_01403
ko:K05595	aan:D7S_01425
ko:K09022	aan:D7S_01429
ko:K02619	aan:D7S_02327
ko:K01635	aan:D7S_02345
ko:K00094	aan:D7S_02347
ko:K02436	aan:D7S_02348
ko:K06177	aan:D7S_02357
ko:K04488	aan:D7S_00705
ko:K13628	aan:D7S_00706
ko:K03593	aan:D7S_00712
ko:K10440	aan:D7S_00728
ko:K00852	aan:D7S_00730
ko:K03768	aan:D7S_00753
ko:K00230	aan:D7S_00764
ko:K03498	aan:D7S_00765
ko:K07213	aan:D7S_01699
ko:K02506	aan:D7S_01720
ko:K01139	aan:D7S_01777
ko:K14219	aan:D7S_t00370
ko:K00700	aan:D7S_00081
ko:K04765	aan:D7S_01015
ko:K06149	aan:D7S_01016
ko:K02010	aan:D7S_01051
ko:K01560	aan:D7S_01067
ko:K06212	aan:D7S_01978
ko:K04763	aan:D7S_01995
ko:K05845	aan:D7S_02009
ko:K05846	aan:D7S_02009
ko:K00567	aan:D7S_02018
ko:K01980	aan:D7S_r00364
ko:K01980	aan:D7S_r00761
ko:K01980	aan:D7S_r01783
ko:K01980	aan:D7S_r01435
ko:K01980	aan:D7S_r01643
ko:K01980	aan:D7S_r02259
ko:K00769	aan:D7S_00890
ko:K03803	aan:D7S_00894
ko:K02441	aan:D7S_00940
ko:K07186	aan:D7S_01848
ko:K02428	aan:D7S_01858
ko:K00058	aan:D7S_01862
ko:K13637	aan:D7S_01873
ko:K02824	aan:D7S_01882
ko:K01424	aan:D7S_01893
ko:K03635	aan:D7S_00006
ko:K11530	aan:D7S_00020
ko:K02062	aan:D7S_02134
ko:K11005	aan:D7S_00604
ko:K17213	aan:D7S_00538
ko:K01679	aan:D7S_00567
ko:K05844	aan:D7S_00570
ko:K03476	aan:D7S_00583
ko:K01515	aan:D7S_01493
ko:K00247	aan:D7S_01501
ko:K00245	aan:D7S_01503
ko:K00244	aan:D7S_01504
ko:K07098	aan:D7S_01511
ko:K00647	aan:D7S_01536
ko:K10541	aan:D7S_01538
ko:K10540	aan:D7S_01542
ko:K01785	aan:D7S_01546
ko:K04085	aan:D7S_00770
ko:K09806	aan:D7S_00771
ko:K01082	aan:D7S_00812
ko:K02793	aan:D7S_01753
ko:K02794	aan:D7S_01753
ko:K02795	aan:D7S_01754
ko:K03317	aan:D7S_01757
ko:K03784	aan:D7S_01758
ko:K03499	aan:D7S_01788
ko:K06039	aan:D7S_00116
ko:K08476	aan:D7S_00127
ko:K03711	aan:D7S_00164
ko:K08992	aan:D7S_00170
ko:K07263	aan:D7S_00176
ko:K01119	aan:D7S_00207
ko:K00121	aan:D7S_01140
ko:K01507	aan:D7S_01152
ko:K07126	aan:D7S_01167
ko:K00652	aan:D7S_01177
ko:K00059	aan:D7S_01186
ko:K02822	aan:D7S_02099
ko:K03475	aan:D7S_02100
ko:K09909	aan:D7S_02108
ko:K11607	aan:D7S_02112
ko:K11604	aan:D7S_02113
ko:K11179	aan:D7S_02114
ko:K07792	aan:D7S_02141
ko:K01840	aan:D7S_01629
ko:K03613	aan:D7S_00218
ko:K03612	aan:D7S_00219
ko:K03614	aan:D7S_00220
ko:K03615	aan:D7S_00221
ko:K03616	aan:D7S_00222
ko:K03617	aan:D7S_00223
ko:K02017	aan:D7S_00240
ko:K04655	aan:D7S_00249
ko:K04652	aan:D7S_00251
ko:K01243	aan:D7S_00258
ko:K07258	aan:D7S_01197
ko:K09471	aan:D7S_01204
ko:K07792	aan:D7S_01220
ko:K02446	aan:D7S_01226
ko:K02116	aan:D7S_01235
ko:K11069	aan:D7S_01244
ko:K01619	aan:D7S_01250
ko:K01489	aan:D7S_02143
ko:K11069	aan:D7S_02144
ko:K11071	aan:D7S_02146
ko:K11072	aan:D7S_02147
ko:K01258	aan:D7S_02148
ko:K00124	aan:D7S_02181
ko:K00851	aan:D7S_02186
ko:K03299	aan:D7S_02187
ko:K14224	aan:D7S_t00762
ko:K01572	aan:D7S_00029
ko:K01571	aan:D7S_00030
ko:K10439	aan:D7S_00956
ko:K10440	aan:D7S_00958
ko:K01719	aan:D7S_00976
ko:K06889	aan:D7S_00992
ko:K03929	aan:D7S_00995
ko:K07640	aan:D7S_01007
ko:K07054	aan:D7S_01909
ko:K02552	aan:D7S_01919
ko:K08680	aan:D7S_01921
ko:K06183	aan:D7S_01933
ko:K02193	aan:D7S_01935
ko:K02200	aan:D7S_01942
ko:K02200	aan:D7S_01952
ko:K02821	aan:D7S_00585
ko:K00010	aan:D7S_00598
ko:K02798	aan:D7S_00601
ko:K02799	aan:D7S_00601
ko:K02800	aan:D7S_00601
ko:K00564	aan:D7S_00611
ko:K03560	aan:D7S_00626
ko:K12373	aan:D7S_01563
ko:K02858	aan:D7S_01576
ko:K00882	aan:D7S_01591
ko:K06889	aan:D7S_01607
ko:K03299	aan:D7S_01610
ko:K08478	aan:D7S_00135
ko:K02010	aan:D7S_00137
ko:K02010	aan:D7S_00139
ko:K02427	aan:D7S_00142
ko:K07126	aan:D7S_00146
ko:K10563	aan:D7S_01081
ko:K09898	aan:D7S_01092
ko:K10914	aan:D7S_01093
ko:K00383	aan:D7S_01094
ko:K01525	aan:D7S_01131
ko:K02067	aan:D7S_02025
ko:K02806	aan:D7S_02032
ko:K08978	aan:D7S_02038
ko:K09815	aan:D7S_02041
ko:K02010	aan:D7S_02052
ko:K01760	aan:D7S_02073
ko:K01069	aan:D7S_00430
ko:K01092	aan:D7S_00287
ko:K07126	aan:D7S_00291
ko:K03748	aan:D7S_00297
ko:K00674	aan:D7S_00302
ko:K00970	aan:D7S_00327
ko:K02238	aan:D7S_00329
ko:K11085	aan:D7S_00330
ko:K02795	aan:D7S_01287
ko:K02793	aan:D7S_01288
ko:K02794	aan:D7S_01288
ko:K07343	aan:D7S_01313
ko:K08305	aan:D7S_02200
ko:K16012	aan:D7S_02214
ko:K16013	aan:D7S_02215
ko:K02014	aan:D7S_02228
ko:K00088	aan:D7S_02254
ko:K01934	aan:D7S_00831
ko:K01262	aan:D7S_00834
ko:K12984	aan:D7S_00862
ko:K00867	aan:D7S_00881
ko:K01104	aan:D7S_01793
ko:K03548	aan:D7S_01798
ko:K03718	aan:D7S_01800
ko:K00626	aan:D7S_01808
ko:K01409	aan:D7S_01833
ko:K04067	aan:D7S_00654
ko:K15582	aan:D7S_00672
ko:K06179	aan:D7S_00684
ko:K01092	aan:D7S_00701
ko:K06910	aan:D7S_01636
ko:K15460	aan:D7S_01652
ko:K06177	aan:D7S_01654
ko:K02549	aan:D7S_01664
ko:K03177	aan:D7S_00349
ko:K02851	aan:D7S_00371
ko:K02004	aan:D7S_00381
ko:K02004	aan:D7S_00382
ko:K03286	aan:D7S_00394
ko:K02574	aan:D7S_01324
ko:K02569	aan:D7S_01326
ko:K02843	aan:D7S_01328
ko:K00059	aan:D7S_01338
ko:K00647	aan:D7S_01340
ko:K06196	aan:D7S_00463
ko:K03326	aan:D7S_00470
ko:K01784	aan:D7S_00480
ko:K00939	aan:D7S_00484
ko:K00974	aan:D7S_00491
ko:K00101	aan:D7S_00496
ko:K03469	aan:D7S_00506
ko:K02342	aan:D7S_00507
ko:K00616	aan:D7S_01431
ko:K12515	aan:D7S_01444
ko:K12514	aan:D7S_01445
ko:K12513	aan:D7S_01446
ko:K12512	aan:D7S_01447
ko:K10000	aan:D7S_01467
ko:K09998	aan:D7S_01470
ko:K01439	aan:D7S_01491
ko:K01176	aan:D7S_02402
ko:K02014	aan:D7S_02434
ko:K02784	aan:D7S_02313
ko:K08483	aan:D7S_02314
ko:K12982	aan:D7S_00858
ko:K03299	aan:D7S_01733
ko:K02054	aan:D7S_00337
ko:K04014	aan:D7S_01948
ko:K04015	aan:D7S_01949
ko:K03566	aan:D7S_00230
ko:K10823	aan:D7S_00674
ko:K01035	aan:D7S_01810
ko:K14218	aan:D7S_t00365
ko:K10544	aan:D7S_01305
ko:K13283	aan:D7S_01971
ko:K11014	aan:D7S_02295
ko:K11015	aan:D7S_02296
ko:K14228	aan:D7S_t00093
ko:K14229	aan:D7S_t00621
ko:K14229	aan:D7S_t02069
ko:K14229	aan:D7S_t00622
ko:K14232	aan:D7S_t00368
ko:K14232	aan:D7S_t01279
ko:K14221	aan:D7S_t00361
ko:K14221	aan:D7S_t00508
ko:K14221	aan:D7S_t00509
ko:K14218	aan:D7S_t01434
ko:K14218	aan:D7S_t00732
ko:K14219	aan:D7S_t01278
ko:K14219	aan:D7S_t01390
ko:K14219	aan:D7S_t01389
ko:K14231	aan:D7S_t01043
ko:K14225	aan:D7S_t00688
ko:K14225	aan:D7S_t02071
ko:K14225	aan:D7S_t02310
ko:K14224	aan:D7S_t01782
ko:K14224	aan:D7S_t01642
ko:K14224	aan:D7S_t02258
ko:K14223	aan:D7S_t00424
ko:K14223	aan:D7S_t00425
ko:K14236	aan:D7S_t00879
ko:K14230	aan:D7S_t01828
ko:K14229	aan:D7S_t00620
ko:K14233	aan:D7S_t01388
ko:K14225	aan:D7S_t00878
ko:K14228	aan:D7S_t01547
ko:K14228	aan:D7S_t02070
ko:K14228	aan:D7S_t00426
ko:K14237	aan:D7S_t00117
ko:K14233	aan:D7S_t01878
ko:K01166	aan:D7S_00868
ko:K01985	aan:D7S_r00362
ko:K14233	aan:D7S_t00681
ko:K14228	aan:D7S_t01517
ko:K14230	aan:D7S_t00354
ko:K14230	aan:D7S_t02044
ko:K14237	aan:D7S_t00733
ko:K14237	aan:D7S_t00734
ko:K14237	aan:D7S_t00735
ko:K01985	aan:D7S_r00760
ko:K01985	aan:D7S_r02260
ko:K01985	aan:D7S_r01644
ko:K01985	aan:D7S_r01784
ko:K01985	aan:D7S_r01436
ko:K01985	aan:D7S_r00363
ko:K14220	aan:D7S_t00442
ko:K14220	aan:D7S_t01042
ko:K19230	aan:D7S_02261
ko:K10111	aan:D7S_02406
ko:K10108	aan:D7S_02405
ko:K07662	aan:D7S_01008
ko:K01096	aan:D7S_02206
ko:K02055	aan:D7S_00335
ko:K11013	aan:D7S_02294
ko:K12144	aan:D7S_02169
ko:K12145	aan:D7S_02168
ko:K12136	aan:D7S_02177
ko:K00557	aan:D7S_01598
ko:K10110	aan:D7S_02403
ko:K00537	aan:D7S_01797
ko:K16915	aan:D7S_00255
ko:K13927	aan:D7S_01551
ko:K07268	aan:D7S_01991
ko:K07012	aan:D7S_00190
ko:K19229	aan:D7S_02262
ko:K09810	aan:D7S_02377
ko:K02803	aan:D7S_00409
ko:K02804	aan:D7S_00409
ko:K01420	aan:D7S_00062
ko:K16868	aan:D7S_00315
ko:K14742	aan:D7S_02413
ko:K01834	aan:D7S_01628
ko:K08316	aan:D7S_01751
ko:K11070	aan:D7S_02145
ko:K03585	aan:D7S_01070
ko:K02503	aan:D7S_01977
ko:K10439	aan:D7S_00729
ko:K00884	aan:D7S_02207
ko:K06218	aan:D7S_00511
ko:K01664	aan:D7S_02329
ko:K17213	aan:D7S_00539
ko:K03574	aan:D7S_01122
ko:K17214	aan:D7S_00536
ko:K03559	aan:D7S_01149
ko:K03604	aan:D7S_00299
ko:K00951	aan:D7S_01065
ko:K01897	aan:D7S_00744
ko:K02017	aan:D7S_02085
ko:K00813	aan:D7S_00055
ko:K17686	aan:D7S_01698
ko:K01190	aan:D7S_00573
ko:K06518	aan:D7S_00092
ko:K00254	aan:D7S_00057
ko:K01658	aan:D7S_00040
ko:K11928	aan:D7S_02065
ko:K05540	aan:D7S_01676
ko:K00018	aan:D7S_02330
ko:K01497	aan:D7S_02205
ko:K01187	aan:D7S_01872
ko:K07812	aan:D7S_00104
ko:K00123	aan:D7S_02182
ko:K06148	aan:D7S_01218
ko:K03719	aan:D7S_02137
ko:K02822	aan:D7S_00584
ko:K03475	aan:D7S_00584
ko:K17948	aan:D7S_00408
ko:K18138	aan:D7S_01069
ko:K03772	aan:D7S_01212
ko:K00001	aan:D7S_01499
ko:K00996	aan:D7S_01300
ko:K07090	aan:D7S_00724
ko:K03531	aan:D7S_00525
ko:K07126	aan:D7S_00718
ko:K03286	aan:D7S_00440
ko:K01175	aan:D7S_00162
ko:K12509	aan:D7S_01452
ko:K11904	aan:D7S_01257
ko:K03462	aan:D7S_02006
ko:K11904	aan:D7S_00294
ko:K11904	aan:D7S_00411
ko:K00681	aan:D7S_00199
ko:K18691	aan:D7S_01913
ko:K18841	aan:D7S_02076
ko:K07171	aan:D7S_02292
ko:K18829	aan:D7S_02293
ko:K20862	aan:D7S_01356
ko:K12994	aan:D7S_01298
ko:K07316	aan:D7S_02121
ko:K18923	aan:D7S_00107
ko:K02847	aan:D7S_00871
ko:K18842	aan:D7S_02075
ko:K18850	aan:D7S_02035
ko:K00526	aan:D7S_02393
ko:K10747	aan:D7S_02189
ko:K18893	aan:D7S_00855
ko:K03674	aan:D7S_00572
ko:K03169	aan:D7S_01514
ko:K07389	aan:D7S_00605
ko:K03646	aan:D7S_00625
ko:K04565	aan:D7S_01954
ko:K03746	aan:D7S_00144
ko:K03111	aan:D7S_01112
ko:K08722	aan:D7S_00235
ko:K07473	aan:D7S_00471
ko:K03976	aan:D7S_02230
ko:K03526	aan:D7S_01888
ko:K18991	aan:D7S_00856
ko:K18997	aan:D7S_02062
ko:K09951	aan:D7S_00181
ko:K19129	aan:D7S_00545
ko:K19157	aan:D7S_00472
ko:K19118	aan:D7S_02128
ko:K19119	aan:D7S_00188
ko:K19119	aan:D7S_02125
ko:K04772	aan:D7S_00439
ko:K19127	aan:D7S_00543
ko:K19158	aan:D7S_02192
ko:K19159	aan:D7S_02193
ko:K02777	aan:D7S_02315
ko:K01710	aan:D7S_02203
ko:K07012	aan:D7S_00547
ko:K19117	aan:D7S_00187
ko:K19118	aan:D7S_00186
ko:K19130	aan:D7S_00546
ko:K19228	aan:D7S_02263
ko:K21498	aan:D7S_00863
ko:K19128	aan:D7S_00544
ko:K01668	aan:D7S_01988
ko:K01992	aan:D7S_00051
ko:K03722	aan:D7S_02412
ko:K07497	aan:D7S_01648
ko:K07497	aan:D7S_01686
ko:K00525	aan:D7S_00023
ko:K19416	aan:D7S_02115
ko:K19431	aan:D7S_02194
ko:K02796	aan:D7S_01755
ko:K02796	aan:D7S_01286
ko:K12137	aan:D7S_02176
ko:K19804	aan:D7S_00169
ko:K07497	aan:D7S_01685
ko:K19810	aan:D7S_01990
ko:K21636	aan:D7S_00748
ko:K11751	aan:D7S_01332
ko:K09796	aan:D7S_01135
ko:K16066	aan:D7S_00026
ko:K00661	aan:D7S_01393
ko:K19611	aan:D7S_03780
ko:K02438	aan:D7S_00080
ko:K20881	aan:D7S_00806
ko:K21029	aan:D7S_02218
ko:K02495	aan:D7S_01658
ko:K00526	aan:D7S_00022
ko:K00560	aan:D7S_00722
ko:K04068	aan:D7S_00749
ko:K02316	aan:D7S_01830
ko:K00857	aan:D7S_01835
ko:K06866	aan:D7S_01967
ko:K01520	aan:D7S_01090
ko:K06223	aan:D7S_01104
ko:K00287	aan:D7S_01169
ko:K03553	aan:D7S_01427
ko:K02314	aan:D7S_02381
ko:K02335	aan:D7S_01384
ko:K00525	aan:D7S_02396
ko:K07334	aan:D7S_00864
ko:K21470	aan:D7S_02154
ko:K21498	aan:D7S_02367
ko:K21498	aan:D7S_00036
ko:K07334	aan:D7S_02366
ko:K07334	aan:D7S_00037
ko:K10026	aan:D7S_00550
ko:K13695	aan:D7S_02470
ko:K06175	aan:D7S_02495
ko:K08475	aan:D7S_02505
ko:K08475	aan:D7S_02510
ko:K07666	aan:D7S_02540
ko:K07666	aan:D7S_02545
ko:K02006	aan:D7S_02580
ko:K02008	aan:D7S_02585
ko:K07483	aan:D7S_02645
ko:K07497	aan:D7S_02650
ko:K07127	aan:D7S_02705
ko:K07154	aan:D7S_02740
ko:K01885	aan:D7S_02845
ko:K01759	aan:D7S_02785
ko:K03664	aan:D7S_02790
ko:K21449	aan:D7S_02850
ko:K02907	aan:D7S_02870
ko:K02931	aan:D7S_02875
ko:K02686	aan:D7S_02905
ko:K01048	aan:D7S_02910
ko:K00033	aan:D7S_02880
ko:K09895	aan:D7S_02900
ko:K11907	aan:D7S_02930
ko:K11907	aan:D7S_02935
ko:K16087	aan:D7S_02955
ko:K02950	aan:D7S_02970
ko:K02902	aan:D7S_03010
ko:K03584	aan:D7S_03005
ko:K11904	aan:D7S_03065
ko:K00931	aan:D7S_03080
ko:K19267	aan:D7S_03085
ko:K09690	aan:D7S_03130
ko:K09691	aan:D7S_03135
ko:K02529	aan:D7S_03140
ko:K02567	aan:D7S_03150
ko:K09747	aan:D7S_03250
ko:K07497	aan:D7S_03205
ko:K02278	aan:D7S_03215
ko:K02651	aan:D7S_03220
ko:K03925	aan:D7S_03230
ko:K01921	aan:D7S_03235
ko:K03589	aan:D7S_03240
ko:K15461	aan:D7S_03260
ko:K01770	aan:D7S_03270
ko:K09862	aan:D7S_03340
ko:K00859	aan:D7S_03345
ko:K07483	aan:D7S_03350
ko:K07497	aan:D7S_03385
ko:K07483	aan:D7S_03390
ko:K00604	aan:D7S_03445
ko:K03500	aan:D7S_03450
ko:K07497	aan:D7S_03460
ko:K06997	aan:D7S_03535
ko:K07012	aan:D7S_03595
ko:K07012	aan:D7S_03600
ko:K19117	aan:D7S_03610
ko:K19117	aan:D7S_03615
ko:K19226	aan:D7S_03680
ko:K02010	aan:D7S_03755
ko:K01897	aan:D7S_03760
ko:K01897	aan:D7S_03765
ko:K19611	aan:D7S_03785
ko:K07497	aan:D7S_02595
ko:K21948	aan:D7S_01613
ko:K22015	aan:D7S_02165
ko:K22132	aan:D7S_02042
ko:K08319	aan:D7S_01614
ko:K22131	aan:D7S_01611
ko:K22105	aan:D7S_01216
ko:K03595	aan:D7S_01963
ko:K22130	aan:D7S_01612
ko:K03079	aan:D7S_00581
ko:K03077	aan:D7S_00580
ko:K22252	aan:D7S_01295
ko:K18446	aan:D7S_00487
ko:K22306	aan:D7S_00967
