ko:K00130	bsul:BSUA_03320
ko:K03410	bsul:BSUA_01777
ko:K03411	bsul:BSUA_01778
ko:K02405	bsul:BSUA_01779
ko:K02967	bsul:BSUA_01781
ko:K02357	bsul:BSUA_01782
ko:K09903	bsul:BSUA_01783
ko:K02838	bsul:BSUA_01784
ko:K00806	bsul:BSUA_01785
ko:K00981	bsul:BSUA_01786
ko:K00099	bsul:BSUA_01787
ko:K11749	bsul:BSUA_01788
ko:K01881	bsul:BSUA_01789
ko:K03763	bsul:BSUA_01790
ko:K09748	bsul:BSUA_01791
ko:K02600	bsul:BSUA_01792
ko:K07742	bsul:BSUA_01793
ko:K02519	bsul:BSUA_01795
ko:K09764	bsul:BSUA_01796
ko:K02834	bsul:BSUA_01797
ko:K03177	bsul:BSUA_01798
ko:K11753	bsul:BSUA_01799
ko:K02956	bsul:BSUA_01800
ko:K00962	bsul:BSUA_01801
ko:K06410	bsul:BSUA_01805
ko:K06411	bsul:BSUA_01806
ko:K00133	bsul:BSUA_01807
ko:K00928	bsul:BSUA_01808
ko:K01714	bsul:BSUA_01809
ko:K12574	bsul:BSUA_01810
ko:K02030	bsul:BSUA_02572
ko:K09699	bsul:BSUA_02577
ko:K00167	bsul:BSUA_02578
ko:K00166	bsul:BSUA_02579
ko:K00382	bsul:BSUA_02580
ko:K00929	bsul:BSUA_02581
ko:K00263	bsul:BSUA_02582
ko:K03417	bsul:BSUA_02586
ko:K01720	bsul:BSUA_02587
ko:K01647	bsul:BSUA_02588
ko:K00074	bsul:BSUA_02590
ko:K00626	bsul:BSUA_02591
ko:K01126	bsul:BSUA_02592
ko:K01448	bsul:BSUA_02593
ko:K07699	bsul:BSUA_02597
ko:K06399	bsul:BSUA_02598
ko:K03631	bsul:BSUA_02599
ko:K03402	bsul:BSUA_02600
ko:K06442	bsul:BSUA_02601
ko:K01662	bsul:BSUA_02602
ko:K13789	bsul:BSUA_02603
ko:K03602	bsul:BSUA_02604
ko:K03601	bsul:BSUA_02605
ko:K01491	bsul:BSUA_02606
ko:K03625	bsul:BSUA_02607
ko:K01961	bsul:BSUA_02609
ko:K02160	bsul:BSUA_02610
ko:K06397	bsul:BSUA_02611
ko:K06396	bsul:BSUA_02612
ko:K06395	bsul:BSUA_02613
ko:K06394	bsul:BSUA_02614
ko:K06393	bsul:BSUA_02615
ko:K06392	bsul:BSUA_02616
ko:K06391	bsul:BSUA_02617
ko:K06390	bsul:BSUA_02618
ko:K02356	bsul:BSUA_02620
ko:K18770	bsul:BSUA_03368
ko:K11614	bsul:BSUA_03371
ko:K07335	bsul:BSUA_03373
ko:K02056	bsul:BSUA_03374
ko:K02057	bsul:BSUA_03375
ko:K02057	bsul:BSUA_03376
ko:K11616	bsul:BSUA_03377
ko:K05565	bsul:BSUA_03379
ko:K05566	bsul:BSUA_03380
ko:K05567	bsul:BSUA_03381
ko:K05568	bsul:BSUA_03382
ko:K05569	bsul:BSUA_03383
ko:K05570	bsul:BSUA_03384
ko:K05571	bsul:BSUA_03385
ko:K07691	bsul:BSUA_03387
ko:K07680	bsul:BSUA_03388
ko:K02251	bsul:BSUA_03390
ko:K00763	bsul:BSUA_03394
ko:K06950	bsul:BSUA_03402
ko:K16216	bsul:BSUA_03403
ko:K03466	bsul:BSUA_03406
ko:K00259	bsul:BSUA_03411
ko:K04780	bsul:BSUA_03414
ko:K01252	bsul:BSUA_03415
ko:K02363	bsul:BSUA_03416
ko:K02361	bsul:BSUA_03417
ko:K00216	bsul:BSUA_03418
ko:K07017	bsul:BSUA_03419
ko:K01223	bsul:BSUA_04167
ko:K02755	bsul:BSUA_04168
ko:K02756	bsul:BSUA_04168
ko:K02757	bsul:BSUA_04168
ko:K06113	bsul:BSUA_04174
ko:K09683	bsul:BSUA_04176
ko:K01745	bsul:BSUA_04177
ko:K01712	bsul:BSUA_04178
ko:K01468	bsul:BSUA_04179
ko:K01479	bsul:BSUA_04180
ko:K00756	bsul:BSUA_04182
ko:K11535	bsul:BSUA_04183
ko:K01619	bsul:BSUA_04184
ko:K05346	bsul:BSUA_04185
ko:K04023	bsul:BSUA_04187
ko:K16963	bsul:BSUA_04190
ko:K16962	bsul:BSUA_04191
ko:K16961	bsul:BSUA_04192
ko:K01442	bsul:BSUA_04196
ko:K02016	bsul:BSUA_04203
ko:K11636	bsul:BSUA_04205
ko:K15629	bsul:BSUA_00258
ko:K01126	bsul:BSUA_00261
ko:K02445	bsul:BSUA_00262
ko:K08289	bsul:BSUA_00271
ko:K17103	bsul:BSUA_00275
ko:K01613	bsul:BSUA_00277
ko:K06880	bsul:BSUA_00279
ko:K07146	bsul:BSUA_00281
ko:K11102	bsul:BSUA_00282
ko:K02564	bsul:BSUA_00284
ko:K03710	bsul:BSUA_00285
ko:K00826	bsul:BSUA_00287
ko:K16235	bsul:BSUA_00288
ko:K00547	bsul:BSUA_00289
ko:K11626	bsul:BSUA_00290
ko:K01425	bsul:BSUA_00291
ko:K07717	bsul:BSUA_00292
ko:K07719	bsul:BSUA_00293
ko:K01707	bsul:BSUA_00294
ko:K03535	bsul:BSUA_00296
ko:K01706	bsul:BSUA_00297
ko:K01708	bsul:BSUA_00299
ko:K00831	bsul:BSUA_01099
ko:K02503	bsul:BSUA_01100
ko:K01990	bsul:BSUA_01101
ko:K01992	bsul:BSUA_01102
ko:K12555	bsul:BSUA_01108
ko:K01599	bsul:BSUA_01109
ko:K01772	bsul:BSUA_01110
ko:K00231	bsul:BSUA_01111
ko:K01421	bsul:BSUA_01113
ko:K00648	bsul:BSUA_01114
ko:K11102	bsul:BSUA_01119
ko:K03800	bsul:BSUA_01122
ko:K01897	bsul:BSUA_01124
ko:K02016	bsul:BSUA_01130
ko:K00626	bsul:BSUA_01132
ko:K03523	bsul:BSUA_01134
ko:K02250	bsul:BSUA_01139
ko:K03307	bsul:BSUA_01142
ko:K03100	bsul:BSUA_01146
ko:K08174	bsul:BSUA_01149
ko:K18654	bsul:BSUA_01151
ko:K09976	bsul:BSUA_01927
ko:K06196	bsul:BSUA_01929
ko:K03413	bsul:BSUA_01930
ko:K06335	bsul:BSUA_01933
ko:K06433	bsul:BSUA_01934
ko:K06432	bsul:BSUA_01935
ko:K01681	bsul:BSUA_01936
ko:K06431	bsul:BSUA_01939
ko:K06434	bsul:BSUA_01940
ko:K07107	bsul:BSUA_01941
ko:K08591	bsul:BSUA_01944
ko:K02622	bsul:BSUA_01946
ko:K02621	bsul:BSUA_01947
ko:K03310	bsul:BSUA_01950
ko:K15924	bsul:BSUA_01953
ko:K15921	bsul:BSUA_01954
ko:K00963	bsul:BSUA_01956
ko:K01640	bsul:BSUA_01961
ko:K02160	bsul:BSUA_01962
ko:K01961	bsul:BSUA_01963
ko:K00666	bsul:BSUA_01964
ko:K07259	bsul:BSUA_01973
ko:K00681	bsul:BSUA_01980
ko:K03596	bsul:BSUA_02728
ko:K06385	bsul:BSUA_02730
ko:K06012	bsul:BSUA_02731
ko:K02968	bsul:BSUA_02732
ko:K02340	bsul:BSUA_02733
ko:K02238	bsul:BSUA_02735
ko:K02237	bsul:BSUA_02737
ko:K02239	bsul:BSUA_02738
ko:K09710	bsul:BSUA_02740
ko:K00969	bsul:BSUA_02742
ko:K07574	bsul:BSUA_02743
ko:K00014	bsul:BSUA_02744
ko:K06948	bsul:BSUA_02745
ko:K07015	bsul:BSUA_02746
ko:K06371	bsul:BSUA_02747
ko:K00033	bsul:BSUA_02751
ko:K03325	bsul:BSUA_02757
ko:K09190	bsul:BSUA_02760
ko:K01679	bsul:BSUA_03528
ko:K06290	bsul:BSUA_03532
ko:K11618	bsul:BSUA_03533
ko:K11617	bsul:BSUA_03534
ko:K11622	bsul:BSUA_03535
ko:K11621	bsul:BSUA_03536
ko:K11619	bsul:BSUA_03538
ko:K02013	bsul:BSUA_03541
ko:K02015	bsul:BSUA_03542
ko:K02016	bsul:BSUA_03543
ko:K01569	bsul:BSUA_03551
ko:K02004	bsul:BSUA_03553
ko:K02003	bsul:BSUA_03554
ko:K02005	bsul:BSUA_03555
ko:K02013	bsul:BSUA_03556
ko:K02015	bsul:BSUA_03557
ko:K02015	bsul:BSUA_03558
ko:K02016	bsul:BSUA_03559
ko:K03758	bsul:BSUA_03561
ko:K06427	bsul:BSUA_03562
ko:K07038	bsul:BSUA_03563
ko:K07219	bsul:BSUA_03565
ko:K02020	bsul:BSUA_03566
ko:K02018	bsul:BSUA_03567
ko:K03316	bsul:BSUA_03570
ko:K00381	bsul:BSUA_03571
ko:K00380	bsul:BSUA_03572
ko:K03657	bsul:BSUA_03573
ko:K03611	bsul:BSUA_03575
ko:K01534	bsul:BSUA_03577
ko:K17686	bsul:BSUA_03578
ko:K07213	bsul:BSUA_03579
ko:K02867	bsul:BSUA_00130
ko:K02863	bsul:BSUA_00131
ko:K02864	bsul:BSUA_00132
ko:K02935	bsul:BSUA_00133
ko:K00564	bsul:BSUA_00134
ko:K03043	bsul:BSUA_00135
ko:K03046	bsul:BSUA_00136
ko:K07590	bsul:BSUA_00137
ko:K02950	bsul:BSUA_00138
ko:K02992	bsul:BSUA_00139
ko:K02355	bsul:BSUA_00140
ko:K02358	bsul:BSUA_00141
ko:K02946	bsul:BSUA_00143
ko:K02906	bsul:BSUA_00144
ko:K02926	bsul:BSUA_00145
ko:K02892	bsul:BSUA_00146
ko:K02886	bsul:BSUA_00147
ko:K02965	bsul:BSUA_00148
ko:K02890	bsul:BSUA_00149
ko:K02982	bsul:BSUA_00150
ko:K02878	bsul:BSUA_00151
ko:K02904	bsul:BSUA_00152
ko:K02961	bsul:BSUA_00153
ko:K02874	bsul:BSUA_00154
ko:K02895	bsul:BSUA_00155
ko:K02931	bsul:BSUA_00156
ko:K02954	bsul:BSUA_00157
ko:K02994	bsul:BSUA_00158
ko:K02933	bsul:BSUA_00159
ko:K02881	bsul:BSUA_00160
ko:K02988	bsul:BSUA_00161
ko:K02907	bsul:BSUA_00162
ko:K02876	bsul:BSUA_00163
ko:K03076	bsul:BSUA_00164
ko:K00939	bsul:BSUA_00165
ko:K01265	bsul:BSUA_00166
ko:K02518	bsul:BSUA_00168
ko:K02919	bsul:BSUA_00169
ko:K02952	bsul:BSUA_00170
ko:K02948	bsul:BSUA_00171
ko:K03040	bsul:BSUA_00172
ko:K02879	bsul:BSUA_00173
ko:K16786	bsul:BSUA_00174
ko:K16787	bsul:BSUA_00175
ko:K16785	bsul:BSUA_00176
ko:K06173	bsul:BSUA_00177
ko:K02871	bsul:BSUA_00178
ko:K02996	bsul:BSUA_00179
ko:K01448	bsul:BSUA_00182
ko:K03593	bsul:BSUA_00183
ko:K06294	bsul:BSUA_00184
ko:K06349	bsul:BSUA_00185
ko:K03216	bsul:BSUA_00989
ko:K07180	bsul:BSUA_00993
ko:K09786	bsul:BSUA_00994
ko:K03809	bsul:BSUA_00998
ko:K01990	bsul:BSUA_01003
ko:K01992	bsul:BSUA_01005
ko:K03704	bsul:BSUA_01006
ko:K02073	bsul:BSUA_01007
ko:K06956	bsul:BSUA_01009
ko:K07284	bsul:BSUA_01015
ko:K06180	bsul:BSUA_01016
ko:K02443	bsul:BSUA_01022
ko:K02440	bsul:BSUA_01023
ko:K00864	bsul:BSUA_01024
ko:K00111	bsul:BSUA_01025
ko:K01835	bsul:BSUA_01026
ko:K02480	bsul:BSUA_01027
ko:K03206	bsul:BSUA_01029
ko:K13771	bsul:BSUA_01033
ko:K01077	bsul:BSUA_01036
ko:K01647	bsul:BSUA_01039
ko:K03466	bsul:BSUA_01813
ko:K03710	bsul:BSUA_01814
ko:K08221	bsul:BSUA_01815
ko:K00059	bsul:BSUA_01818
ko:K00995	bsul:BSUA_01823
ko:K03742	bsul:BSUA_01824
ko:K18682	bsul:BSUA_01827
ko:K09769	bsul:BSUA_01828
ko:K06416	bsul:BSUA_01829
ko:K00060	bsul:BSUA_01830
ko:K00639	bsul:BSUA_01831
ko:K06168	bsul:BSUA_01832
ko:K06328	bsul:BSUA_01834
ko:K03555	bsul:BSUA_01835
ko:K03572	bsul:BSUA_01836
ko:K15328	bsul:BSUA_01842
ko:K15329	bsul:BSUA_01843
ko:K15337	bsul:BSUA_01844
ko:K00646	bsul:BSUA_01845
ko:K15311	bsul:BSUA_01846
ko:K15312	bsul:BSUA_01847
ko:K15313	bsul:BSUA_01848
ko:K17734	bsul:BSUA_01857
ko:K00791	bsul:BSUA_01864
ko:K03666	bsul:BSUA_01865
ko:K03647	bsul:BSUA_01868
ko:K01262	bsul:BSUA_02621
ko:K03786	bsul:BSUA_02622
ko:K07001	bsul:BSUA_02626
ko:K03800	bsul:BSUA_02628
ko:K00283	bsul:BSUA_02630
ko:K00282	bsul:BSUA_02631
ko:K00605	bsul:BSUA_02632
ko:K13280	bsul:BSUA_02638
ko:K02249	bsul:BSUA_02642
ko:K02248	bsul:BSUA_02643
ko:K02247	bsul:BSUA_02644
ko:K02246	bsul:BSUA_02645
ko:K02245	bsul:BSUA_02646
ko:K02244	bsul:BSUA_02647
ko:K02243	bsul:BSUA_02648
ko:K17763	bsul:BSUA_02652
ko:K16509	bsul:BSUA_02654
ko:K01308	bsul:BSUA_02660
ko:K00845	bsul:BSUA_02662
ko:K01934	bsul:BSUA_02666
ko:K02913	bsul:BSUA_02667
ko:K02036	bsul:BSUA_02672
ko:K02036	bsul:BSUA_02673
ko:K03523	bsul:BSUA_03421
ko:K07084	bsul:BSUA_03422
ko:K01255	bsul:BSUA_03423
ko:K09775	bsul:BSUA_03424
ko:K03885	bsul:BSUA_03428
ko:K00364	bsul:BSUA_03431
ko:K07734	bsul:BSUA_03432
ko:K13628	bsul:BSUA_03434
ko:K01778	bsul:BSUA_03435
ko:K03317	bsul:BSUA_03436
ko:K03885	bsul:BSUA_03438
ko:K00872	bsul:BSUA_03442
ko:K01733	bsul:BSUA_03443
ko:K00003	bsul:BSUA_03444
ko:K03644	bsul:BSUA_03451
ko:K07090	bsul:BSUA_03456
ko:K01466	bsul:BSUA_03459
ko:K09684	bsul:BSUA_03460
ko:K16169	bsul:BSUA_03462
ko:K07127	bsul:BSUA_03464
ko:K07141	bsul:BSUA_03469
ko:K02083	bsul:BSUA_03472
ko:K11635	bsul:BSUA_04206
ko:K06606	bsul:BSUA_04210
ko:K06605	bsul:BSUA_04211
ko:K00010	bsul:BSUA_04212
ko:K06610	bsul:BSUA_04213
ko:K03335	bsul:BSUA_04214
ko:K03336	bsul:BSUA_04215
ko:K03338	bsul:BSUA_04216
ko:K03337	bsul:BSUA_04217
ko:K00140	bsul:BSUA_04218
ko:K01449	bsul:BSUA_00308
ko:K01113	bsul:BSUA_00311
ko:K03116	bsul:BSUA_00312
ko:K03118	bsul:BSUA_00313
ko:K01304	bsul:BSUA_00314
ko:K01424	bsul:BSUA_00318
ko:K07039	bsul:BSUA_00321
ko:K09697	bsul:BSUA_00324
ko:K09696	bsul:BSUA_00325
ko:K00034	bsul:BSUA_00332
ko:K01182	bsul:BSUA_00333
ko:K09815	bsul:BSUA_00334
ko:K09817	bsul:BSUA_00335
ko:K09816	bsul:BSUA_00336
ko:K05795	bsul:BSUA_00339
ko:K05795	bsul:BSUA_00340
ko:K08369	bsul:BSUA_00344
ko:K02000	bsul:BSUA_00347
ko:K02001	bsul:BSUA_00348
ko:K02002	bsul:BSUA_00349
ko:K14665	bsul:BSUA_00350
ko:K01176	bsul:BSUA_00353
ko:K00016	bsul:BSUA_00354
ko:K03303	bsul:BSUA_00355
ko:K18653	bsul:BSUA_01152
ko:K07120	bsul:BSUA_01154
ko:K16899	bsul:BSUA_01159
ko:K16898	bsul:BSUA_01160
ko:K03547	bsul:BSUA_01161
ko:K06304	bsul:BSUA_01164
ko:K06303	bsul:BSUA_01165
ko:K06302	bsul:BSUA_01166
ko:K06301	bsul:BSUA_01167
ko:K06300	bsul:BSUA_01168
ko:K06299	bsul:BSUA_01169
ko:K01953	bsul:BSUA_01176
ko:K02291	bsul:BSUA_01178
ko:K16043	bsul:BSUA_01182
ko:K06895	bsul:BSUA_01184
ko:K00860	bsul:BSUA_01188
ko:K00958	bsul:BSUA_01189
ko:K00390	bsul:BSUA_01190
ko:K05979	bsul:BSUA_01191
ko:K08097	bsul:BSUA_01192
ko:K08221	bsul:BSUA_01195
ko:K09767	bsul:BSUA_01199
ko:K00243	bsul:BSUA_01200
ko:K13955	bsul:BSUA_01982
ko:K00266	bsul:BSUA_01983
ko:K00265	bsul:BSUA_01984
ko:K00931	bsul:BSUA_01986
ko:K00286	bsul:BSUA_01987
ko:K00059	bsul:BSUA_01989
ko:K11216	bsul:BSUA_01994
ko:K00058	bsul:BSUA_01995
ko:K03406	bsul:BSUA_02001
ko:K00483	bsul:BSUA_02002
ko:K01569	bsul:BSUA_02008
ko:K07727	bsul:BSUA_02016
ko:K17836	bsul:BSUA_02022
ko:K01181	bsul:BSUA_02026
ko:K13256	bsul:BSUA_02820
ko:K07148	bsul:BSUA_02823
ko:K07090	bsul:BSUA_02828
ko:K01118	bsul:BSUA_03582
ko:K00059	bsul:BSUA_03587
ko:K03664	bsul:BSUA_03588
ko:K12573	bsul:BSUA_03589
ko:K03928	bsul:BSUA_03590
ko:K03075	bsul:BSUA_03591
ko:K03406	bsul:BSUA_03597
ko:K05846	bsul:BSUA_03598
ko:K05845	bsul:BSUA_03599
ko:K05846	bsul:BSUA_03600
ko:K05847	bsul:BSUA_03601
ko:K05846	bsul:BSUA_03608
ko:K05845	bsul:BSUA_03609
ko:K05846	bsul:BSUA_03610
ko:K05847	bsul:BSUA_03611
ko:K05595	bsul:BSUA_03613
ko:K01689	bsul:BSUA_03618
ko:K15633	bsul:BSUA_03619
ko:K01803	bsul:BSUA_03620
ko:K00927	bsul:BSUA_03621
ko:K00134	bsul:BSUA_03622
ko:K05311	bsul:BSUA_03623
ko:K02103	bsul:BSUA_03625
ko:K00782	bsul:BSUA_03631
ko:K06608	bsul:BSUA_04219
ko:K04079	bsul:BSUA_04224
ko:K00128	bsul:BSUA_04228
ko:K01953	bsul:BSUA_04234
ko:K07148	bsul:BSUA_04239
ko:K06518	bsul:BSUA_04244
ko:K00865	bsul:BSUA_04247
ko:K11476	bsul:BSUA_04248
ko:K00851	bsul:BSUA_04249
ko:K03299	bsul:BSUA_04250
ko:K00033	bsul:BSUA_04251
ko:K03386	bsul:BSUA_04252
ko:K03387	bsul:BSUA_04253
ko:K01223	bsul:BSUA_04254
ko:K03489	bsul:BSUA_04257
ko:K09190	bsul:BSUA_00359
ko:K09967	bsul:BSUA_00361
ko:K01916	bsul:BSUA_00362
ko:K00891	bsul:BSUA_00364
ko:K01060	bsul:BSUA_00367
ko:K07074	bsul:BSUA_00368
ko:K00318	bsul:BSUA_00369
ko:K00294	bsul:BSUA_00370
ko:K11928	bsul:BSUA_00371
ko:K08986	bsul:BSUA_00373
ko:K07089	bsul:BSUA_00374
ko:K13542	bsul:BSUA_00377
ko:K00363	bsul:BSUA_00378
ko:K00362	bsul:BSUA_00379
ko:K00372	bsul:BSUA_00380
ko:K00362	bsul:BSUA_00381
ko:K02575	bsul:BSUA_00382
ko:K09007	bsul:BSUA_00383
ko:K10009	bsul:BSUA_00387
ko:K02424	bsul:BSUA_00388
ko:K01223	bsul:BSUA_00391
ko:K03406	bsul:BSUA_00394
ko:K08094	bsul:BSUA_00395
ko:K08093	bsul:BSUA_00396
ko:K15656	bsul:BSUA_00400
ko:K15657	bsul:BSUA_00401
ko:K06133	bsul:BSUA_00406
ko:K10010	bsul:BSUA_00408
ko:K10009	bsul:BSUA_00409
ko:K02424	bsul:BSUA_00410
ko:K03186	bsul:BSUA_00412
ko:K08777	bsul:BSUA_01207
ko:K06889	bsul:BSUA_01213
ko:K00145	bsul:BSUA_01218
ko:K00620	bsul:BSUA_01219
ko:K00930	bsul:BSUA_01220
ko:K01956	bsul:BSUA_01222
ko:K01955	bsul:BSUA_01223
ko:K00611	bsul:BSUA_01224
ko:K05519	bsul:BSUA_01229
ko:K02254	bsul:BSUA_01230
ko:K00648	bsul:BSUA_01232
ko:K09458	bsul:BSUA_01233
ko:K02033	bsul:BSUA_01239
ko:K02034	bsul:BSUA_01240
ko:K01867	bsul:BSUA_01242
ko:K15580	bsul:BSUA_01243
ko:K15581	bsul:BSUA_01244
ko:K15582	bsul:BSUA_01245
ko:K15583	bsul:BSUA_01246
ko:K10823	bsul:BSUA_01247
ko:K16509	bsul:BSUA_01250
ko:K16511	bsul:BSUA_01252
ko:K08602	bsul:BSUA_01254
ko:K06886	bsul:BSUA_01258
ko:K00274	bsul:BSUA_02048
ko:K06878	bsul:BSUA_02050
ko:K08976	bsul:BSUA_02060
ko:K10255	bsul:BSUA_02064
ko:K07778	bsul:BSUA_02065
ko:K07693	bsul:BSUA_02066
ko:K03654	bsul:BSUA_02068
ko:K01118	bsul:BSUA_02069
ko:K13993	bsul:BSUA_02073
ko:K00128	bsul:BSUA_02078
ko:K18115	bsul:BSUA_02079
ko:K04564	bsul:BSUA_02080
ko:K03308	bsul:BSUA_02081
ko:K03453	bsul:BSUA_02082
ko:K00658	bsul:BSUA_02083
ko:K00164	bsul:BSUA_02084
ko:K08153	bsul:BSUA_02838
ko:K00657	bsul:BSUA_02839
ko:K07222	bsul:BSUA_02844
ko:K16264	bsul:BSUA_02845
ko:K03311	bsul:BSUA_02849
ko:K03623	bsul:BSUA_02853
ko:K00459	bsul:BSUA_02860
ko:K01776	bsul:BSUA_02861
ko:K09815	bsul:BSUA_02864
ko:K03088	bsul:BSUA_02865
ko:K03300	bsul:BSUA_02867
ko:K00121	bsul:BSUA_02878
ko:K06439	bsul:BSUA_02880
ko:K01607	bsul:BSUA_02882
ko:K13979	bsul:BSUA_02883
ko:K05520	bsul:BSUA_02884
ko:K03332	bsul:BSUA_02885
ko:K07693	bsul:BSUA_03634
ko:K07778	bsul:BSUA_03635
ko:K01992	bsul:BSUA_03636
ko:K01990	bsul:BSUA_03637
ko:K01224	bsul:BSUA_03640
ko:K12308	bsul:BSUA_03641
ko:K15772	bsul:BSUA_03642
ko:K15771	bsul:BSUA_03643
ko:K15770	bsul:BSUA_03644
ko:K02529	bsul:BSUA_03645
ko:K03303	bsul:BSUA_03647
ko:K03092	bsul:BSUA_03648
ko:K03929	bsul:BSUA_03666
ko:K13727	bsul:BSUA_03668
ko:K01779	bsul:BSUA_03671
ko:K00692	bsul:BSUA_03673
ko:K01358	bsul:BSUA_03683
ko:K01259	bsul:BSUA_00416
ko:K03305	bsul:BSUA_00417
ko:K06295	bsul:BSUA_00420
ko:K06297	bsul:BSUA_00421
ko:K06296	bsul:BSUA_00422
ko:K02003	bsul:BSUA_00423
ko:K02004	bsul:BSUA_00424
ko:K00928	bsul:BSUA_00430
ko:K02015	bsul:BSUA_00431
ko:K02015	bsul:BSUA_00432
ko:K02013	bsul:BSUA_00433
ko:K02016	bsul:BSUA_00434
ko:K00375	bsul:BSUA_00440
ko:K07250	bsul:BSUA_00441
ko:K00135	bsul:BSUA_00442
ko:K05340	bsul:BSUA_00443
ko:K00034	bsul:BSUA_00444
ko:K14166	bsul:BSUA_00446
ko:K02799	bsul:BSUA_00449
ko:K02800	bsul:BSUA_00449
ko:K02798	bsul:BSUA_00450
ko:K00009	bsul:BSUA_00451
ko:K07246	bsul:BSUA_00452
ko:K03100	bsul:BSUA_00453
ko:K02372	bsul:BSUA_00455
ko:K07160	bsul:BSUA_00458
ko:K06351	bsul:BSUA_00461
ko:K06350	bsul:BSUA_00462
ko:K07816	bsul:BSUA_01262
ko:K00858	bsul:BSUA_01263
ko:K06180	bsul:BSUA_01264
ko:K03455	bsul:BSUA_01266
ko:K03707	bsul:BSUA_01267
ko:K10810	bsul:BSUA_01268
ko:K03153	bsul:BSUA_01269
ko:K03154	bsul:BSUA_01270
ko:K03149	bsul:BSUA_01271
ko:K00941	bsul:BSUA_01273
ko:K00208	bsul:BSUA_01274
ko:K06342	bsul:BSUA_01278
ko:K06341	bsul:BSUA_01279
ko:K03657	bsul:BSUA_01285
ko:K01739	bsul:BSUA_01290
ko:K01760	bsul:BSUA_01291
ko:K03790	bsul:BSUA_01292
ko:K00059	bsul:BSUA_01305
ko:K02768	bsul:BSUA_01308
ko:K02769	bsul:BSUA_01308
ko:K02770	bsul:BSUA_01308
ko:K01809	bsul:BSUA_01309
ko:K03976	bsul:BSUA_01313
ko:K03327	bsul:BSUA_02092
ko:K17763	bsul:BSUA_02093
ko:K05786	bsul:BSUA_02097
ko:K03299	bsul:BSUA_02100
ko:K06999	bsul:BSUA_02104
ko:K15975	bsul:BSUA_02105
ko:K03307	bsul:BSUA_02107
ko:K03797	bsul:BSUA_02108
ko:K07260	bsul:BSUA_02111
ko:K03784	bsul:BSUA_02112
ko:K01843	bsul:BSUA_02121
ko:K01438	bsul:BSUA_02123
ko:K01034	bsul:BSUA_02125
ko:K06322	bsul:BSUA_02130
ko:K06319	bsul:BSUA_02132
ko:K01083	bsul:BSUA_02134
ko:K11737	bsul:BSUA_02891
ko:K03088	bsul:BSUA_02894
ko:K14338	bsul:BSUA_02898
ko:K00123	bsul:BSUA_02904
ko:K17217	bsul:BSUA_02907
ko:K17216	bsul:BSUA_02908
ko:K01243	bsul:BSUA_02909
ko:K17462	bsul:BSUA_02910
ko:K03624	bsul:BSUA_02914
ko:K00876	bsul:BSUA_02915
ko:K08303	bsul:BSUA_02916
ko:K08303	bsul:BSUA_02917
ko:K07082	bsul:BSUA_02919
ko:K07447	bsul:BSUA_02921
ko:K01872	bsul:BSUA_02923
ko:K10041	bsul:BSUA_02925
ko:K10039	bsul:BSUA_02926
ko:K10040	bsul:BSUA_02927
ko:K10040	bsul:BSUA_02928
ko:K03581	bsul:BSUA_02932
ko:K00566	bsul:BSUA_02934
ko:K04487	bsul:BSUA_02935
ko:K17472	bsul:BSUA_02936
ko:K07478	bsul:BSUA_02937
ko:K01876	bsul:BSUA_02939
ko:K01892	bsul:BSUA_02940
ko:K01838	bsul:BSUA_03684
ko:K01182	bsul:BSUA_03685
ko:K00691	bsul:BSUA_03686
ko:K15772	bsul:BSUA_03688
ko:K15771	bsul:BSUA_03689
ko:K15770	bsul:BSUA_03690
ko:K06966	bsul:BSUA_03693
ko:K03321	bsul:BSUA_03695
ko:K01673	bsul:BSUA_03696
ko:K00090	bsul:BSUA_03697
ko:K02004	bsul:BSUA_03698
ko:K02003	bsul:BSUA_03699
ko:K00675	bsul:BSUA_03703
ko:K11184	bsul:BSUA_03704
ko:K09762	bsul:BSUA_03705
ko:K06958	bsul:BSUA_03707
ko:K03574	bsul:BSUA_03708
ko:K00384	bsul:BSUA_03709
ko:K18104	bsul:BSUA_03712
ko:K11755	bsul:BSUA_03716
ko:K02500	bsul:BSUA_03717
ko:K01814	bsul:BSUA_03718
ko:K02501	bsul:BSUA_03719
ko:K01693	bsul:BSUA_03720
ko:K00013	bsul:BSUA_03721
ko:K00765	bsul:BSUA_03722
ko:K02502	bsul:BSUA_03723
ko:K06019	bsul:BSUA_03727
ko:K13292	bsul:BSUA_03729
ko:K06023	bsul:BSUA_03730
ko:K01443	bsul:BSUA_03731
ko:K02564	bsul:BSUA_03732
ko:K03710	bsul:BSUA_03733
ko:K03817	bsul:BSUA_00474
ko:K07217	bsul:BSUA_00485
ko:K11692	bsul:BSUA_00488
ko:K11103	bsul:BSUA_00489
ko:K01990	bsul:BSUA_00491
ko:K01921	bsul:BSUA_00499
ko:K01929	bsul:BSUA_00500
ko:K05592	bsul:BSUA_00501
ko:K09167	bsul:BSUA_00502
ko:K08981	bsul:BSUA_00503
ko:K00997	bsul:BSUA_00505
ko:K01775	bsul:BSUA_00507
ko:K07723	bsul:BSUA_00508
ko:K17763	bsul:BSUA_00510
ko:K17762	bsul:BSUA_00511
ko:K17752	bsul:BSUA_00512
ko:K07315	bsul:BSUA_00513
