ko:K02495	send:DT104_40111
ko:K00005	send:DT104_41181
ko:K08314	send:DT104_41191
ko:K08483	send:DT104_41201
ko:K11189	send:DT104_41201
ko:K11201	send:DT104_41201
ko:K11203	send:DT104_41211
ko:K11202	send:DT104_41221
ko:K00656	send:DT104_41231
ko:K04069	send:DT104_41241
ko:K11202	send:DT104_41251
ko:K01595	send:DT104_41281
ko:K01438	send:DT104_41291
ko:K00145	send:DT104_41301
ko:K00930	send:DT104_41311
ko:K01755	send:DT104_41321
ko:K04761	send:DT104_41331
ko:K00322	send:DT104_41341
ko:K16092	send:DT104_41381
ko:K01776	send:DT104_41391
ko:K00075	send:DT104_41401
ko:K03524	send:DT104_41411
ko:K00867	send:DT104_41421
ko:K00840	send:DT104_12791
ko:K07126	send:DT104_20651
ko:K01241	send:DT104_20681
ko:K00768	send:DT104_20741
ko:K02233	send:DT104_20751
ko:K02231	send:DT104_20761
ko:K02232	send:DT104_20771
ko:K02006	send:DT104_20781
ko:K02008	send:DT104_20791
ko:K02009	send:DT104_20801
ko:K02007	send:DT104_20811
ko:K03394	send:DT104_20821
ko:K02190	send:DT104_20831
ko:K05895	send:DT104_20841
ko:K02189	send:DT104_20861
ko:K05936	send:DT104_20871
ko:K02191	send:DT104_20881
ko:K03399	send:DT104_20891
ko:K02188	send:DT104_20901
ko:K06042	send:DT104_20911
ko:K02227	send:DT104_20921
ko:K02224	send:DT104_20931
ko:K13919	send:DT104_20991
ko:K13920	send:DT104_21001
ko:K13923	send:DT104_21041
ko:K13922	send:DT104_21081
ko:K13921	send:DT104_21091
ko:K02078	send:DT104_28781
ko:K13284	send:DT104_28791
ko:K13287	send:DT104_28801
ko:K13286	send:DT104_28811
ko:K13285	send:DT104_28821
ko:K03225	send:DT104_28881
ko:K03230	send:DT104_28931
ko:K07314	send:DT104_29051
ko:K03555	send:DT104_29071
ko:K03186	send:DT104_29191
ko:K03087	send:DT104_29221
ko:K06194	send:DT104_29231
ko:K00060	send:DT104_36921
ko:K00639	send:DT104_36931
ko:K03274	send:DT104_36941
ko:K02843	send:DT104_36951
ko:K02841	send:DT104_36961
ko:K02847	send:DT104_36971
ko:K03280	send:DT104_36981
ko:K12981	send:DT104_36991
ko:K02850	send:DT104_37001
ko:K03279	send:DT104_37011
ko:K03278	send:DT104_37021
ko:K02840	send:DT104_37031
ko:K02848	send:DT104_37051
ko:K02844	send:DT104_37061
ko:K02849	send:DT104_37071
ko:K02527	send:DT104_37081
ko:K00954	send:DT104_37091
ko:K10563	send:DT104_37101
ko:K02913	send:DT104_37111
ko:K02902	send:DT104_37121
ko:K03630	send:DT104_37131
ko:K13038	send:DT104_37141
ko:K05501	send:DT104_37161
ko:K00762	send:DT104_37171
ko:K00989	send:DT104_37181
ko:K01972	send:DT104_37231
ko:K00942	send:DT104_37241
ko:K03060	send:DT104_37251
ko:K00556	send:DT104_37271
ko:K03655	send:DT104_37281
ko:K03312	send:DT104_37301
ko:K16345	send:DT104_37311
ko:K01811	send:DT104_37331
ko:K12678	send:DT104_37411
ko:K01154	send:DT104_45141
ko:K03427	send:DT104_45151
ko:K01153	send:DT104_45161
ko:K09803	send:DT104_45181
ko:K01002	send:DT104_45311
ko:K02317	send:DT104_45341
ko:K13255	send:DT104_45401
ko:K00564	send:DT104_45431
ko:K02344	send:DT104_45441
ko:K03789	send:DT104_45451
ko:K08723	send:DT104_45461
ko:K02837	send:DT104_45471
ko:K01619	send:DT104_45531
ko:K00758	send:DT104_45541
ko:K01839	send:DT104_45551
ko:K03784	send:DT104_45561
ko:K07738	send:DT104_04601
ko:K11752	send:DT104_04611
ko:K00794	send:DT104_04621
ko:K03625	send:DT104_04631
ko:K00946	send:DT104_04641
ko:K01095	send:DT104_04651
ko:K01662	send:DT104_04671
ko:K00795	send:DT104_04681
ko:K03602	send:DT104_04691
ko:K03151	send:DT104_04701
ko:K11082	send:DT104_04711
ko:K11083	send:DT104_04721
ko:K11084	send:DT104_04731
ko:K11081	send:DT104_04741
ko:K03430	send:DT104_04761
ko:K05306	send:DT104_04771
ko:K03152	send:DT104_04781
ko:K00077	send:DT104_04791
ko:K09767	send:DT104_04801
ko:K02300	send:DT104_04861
ko:K02299	send:DT104_04871
ko:K02298	send:DT104_04881
ko:K02297	send:DT104_04891
ko:K08218	send:DT104_04901
ko:K07286	send:DT104_04911
ko:K05527	send:DT104_04921
ko:K03545	send:DT104_04931
ko:K01358	send:DT104_04941
ko:K03544	send:DT104_04951
ko:K01338	send:DT104_04961
ko:K03770	send:DT104_04971
ko:K02237	send:DT104_04981
ko:K12500	send:DT104_04991
ko:K06920	send:DT104_05001
ko:K11938	send:DT104_05021
ko:K01738	send:DT104_05031
ko:K05800	send:DT104_05041
ko:K00673	send:DT104_12801
ko:K06447	send:DT104_12811
ko:K01484	send:DT104_12821
ko:K05526	send:DT104_12831
ko:K01916	send:DT104_12861
ko:K04064	send:DT104_12871
ko:K02760	send:DT104_12881
ko:K02761	send:DT104_12891
ko:K02759	send:DT104_12901
ko:K03490	send:DT104_12911
ko:K01222	send:DT104_12921
ko:K03478	send:DT104_12931
ko:K07491	send:DT104_12941
ko:K03781	send:DT104_12951
ko:K15722	send:DT104_12961
ko:K06956	send:DT104_12971
ko:K07038	send:DT104_12981
ko:K16370	send:DT104_13031
ko:K07283	send:DT104_13041
ko:K09953	send:DT104_13051
ko:K01173	send:DT104_13071
ko:K01868	send:DT104_13111
ko:K02520	send:DT104_13121
ko:K02887	send:DT104_13131
ko:K01889	send:DT104_13141
ko:K01890	send:DT104_13151
ko:K04764	send:DT104_13161
ko:K06073	send:DT104_13171
ko:K00432	send:DT104_13181
ko:K06074	send:DT104_13191
ko:K08997	send:DT104_13221
ko:K01626	send:DT104_13241
ko:K09773	send:DT104_13251
ko:K12507	send:DT104_13281
ko:K00313	send:DT104_13301
ko:K04031	send:DT104_21121
ko:K04029	send:DT104_21131
ko:K16651	send:DT104_21151
ko:K09802	send:DT104_21161
ko:K07470	send:DT104_21181
ko:K07258	send:DT104_21191
ko:K08354	send:DT104_21201
ko:K08353	send:DT104_21211
ko:K08352	send:DT104_21221
ko:K01141	send:DT104_21251
ko:K00765	send:DT104_21291
ko:K00013	send:DT104_21301
ko:K00817	send:DT104_21311
ko:K01089	send:DT104_21321
ko:K02501	send:DT104_21331
ko:K01814	send:DT104_21341
ko:K02500	send:DT104_21351
ko:K11755	send:DT104_21361
ko:K05789	send:DT104_21371
ko:K00012	send:DT104_21381
ko:K07491	send:DT104_21391
ko:K00033	send:DT104_21401
ko:K12992	send:DT104_21441
ko:K13005	send:DT104_21461
ko:K12452	send:DT104_21491
ko:K01709	send:DT104_21501
ko:K00978	send:DT104_21511
ko:K01790	send:DT104_21531
ko:K00973	send:DT104_21541
ko:K00067	send:DT104_21551
ko:K00963	send:DT104_21571
ko:K16703	send:DT104_21591
ko:K16710	send:DT104_21601
ko:K00573	send:DT104_29241
ko:K03787	send:DT104_29251
ko:K06176	send:DT104_29261
ko:K01770	send:DT104_29271
ko:K00991	send:DT104_29281
ko:K05589	send:DT104_29291
ko:K00860	send:DT104_29311
ko:K00957	send:DT104_29331
ko:K09612	send:DT104_29341
ko:K15342	send:DT104_29361
ko:K00390	send:DT104_29441
ko:K00381	send:DT104_29451
ko:K00380	send:DT104_29461
ko:K01737	send:DT104_29471
ko:K06897	send:DT104_29481
ko:K10026	send:DT104_29491
ko:K01689	send:DT104_29501
ko:K01937	send:DT104_29511
ko:K04765	send:DT104_29521
ko:K00951	send:DT104_29541
ko:K03215	send:DT104_29551
ko:K07678	send:DT104_29561
ko:K00865	send:DT104_29571
ko:K01706	send:DT104_29581
ko:K13918	send:DT104_29591
ko:K03535	send:DT104_29601
ko:K06175	send:DT104_29631
ko:K15723	send:DT104_29651
ko:K06879	send:DT104_29661
ko:K06966	send:DT104_29671
ko:K03837	send:DT104_29681
ko:K01752	send:DT104_29691
ko:K01146	send:DT104_29701
ko:K00048	send:DT104_29711
ko:K01628	send:DT104_29721
ko:K02429	send:DT104_29731
ko:K01818	send:DT104_29741
ko:K01531	send:DT104_37471
ko:K07507	send:DT104_37481
ko:K17463	send:DT104_37511
ko:K17468	send:DT104_37521
ko:K17467	send:DT104_37531
ko:K17466	send:DT104_37541
ko:K17465	send:DT104_37551
ko:K17464	send:DT104_37561
ko:K17473	send:DT104_37571
ko:K01223	send:DT104_37591
ko:K07726	send:DT104_37621
ko:K11189	send:DT104_37631
ko:K02775	send:DT104_37661
ko:K02774	send:DT104_37671
ko:K02773	send:DT104_37681
ko:K07784	send:DT104_37711
ko:K07783	send:DT104_37721
ko:K07675	send:DT104_37731
ko:K02429	send:DT104_37761
ko:K00852	send:DT104_37771
ko:K11534	send:DT104_37781
ko:K01653	send:DT104_37791
ko:K01652	send:DT104_37801
ko:K08154	send:DT104_37841
ko:K13636	send:DT104_37861
ko:K13629	send:DT104_37871
ko:K01753	send:DT104_37881
ko:K06871	send:DT104_37891
ko:K00389	send:DT104_37911
ko:K07085	send:DT104_37921
ko:K03800	send:DT104_45631
ko:K07186	send:DT104_45641
ko:K01079	send:DT104_45651
ko:K04485	send:DT104_45661
ko:K06211	send:DT104_45671
ko:K08309	send:DT104_45691
ko:K03720	send:DT104_45701
ko:K05804	send:DT104_45731
ko:K05805	send:DT104_45741
ko:K07663	send:DT104_45751
ko:K07641	send:DT104_45761
ko:K06143	send:DT104_45771
ko:K07347	send:DT104_45801
ko:K07773	send:DT104_45851
ko:K02533	send:DT104_45871
ko:K03686	send:DT104_00121
ko:K07347	send:DT104_00221
ko:K06871	send:DT104_00371
ko:K03313	send:DT104_00401
ko:K03717	send:DT104_00411
ko:K01811	send:DT104_00421
ko:K02968	send:DT104_00441
ko:K11753	send:DT104_00461
ko:K01870	send:DT104_00471
ko:K03101	send:DT104_00481
ko:K03774	send:DT104_00491
ko:K03527	send:DT104_00501
ko:K12700	send:DT104_00521
ko:K07702	send:DT104_00531
ko:K07700	send:DT104_00541
ko:K01572	send:DT104_00551
ko:K01910	send:DT104_00581
ko:K01646	send:DT104_00591
ko:K01644	send:DT104_00601
ko:K01643	send:DT104_00611
ko:K05964	send:DT104_00621
ko:K05966	send:DT104_00631
ko:K00215	send:DT104_00641
ko:K01956	send:DT104_00671
ko:K01955	send:DT104_00681
ko:K08277	send:DT104_00691
ko:K08279	send:DT104_00701
ko:K08299	send:DT104_00711
ko:K02182	send:DT104_00721
ko:K08298	send:DT104_00731
ko:K03750	send:DT104_08611
ko:K13051	send:DT104_08621
ko:K13892	send:DT104_08631
ko:K13889	send:DT104_08641
ko:K13890	send:DT104_08651
ko:K13891	send:DT104_08661
ko:K14441	send:DT104_08671
ko:K03521	send:DT104_08701
ko:K03522	send:DT104_08711
ko:K00311	send:DT104_08731
ko:K07258	send:DT104_08781
ko:K11534	send:DT104_08791
ko:K08160	send:DT104_08811
ko:K07085	send:DT104_08851
ko:K05844	send:DT104_08891
ko:K11073	send:DT104_08911
ko:K13695	send:DT104_13201
ko:K11076	send:DT104_08921
ko:K11075	send:DT104_08931
ko:K11074	send:DT104_08941
ko:K03212	send:DT104_08961
ko:K03475	send:DT104_08971
ko:K02822	send:DT104_08981
ko:K09996	send:DT104_09001
ko:K09998	send:DT104_09011
ko:K09999	send:DT104_09021
ko:K09997	send:DT104_09031
ko:K10000	send:DT104_09041
ko:K11066	send:DT104_09071
ko:K01620	send:DT104_09101
ko:K00156	send:DT104_09111
ko:K11933	send:DT104_09121
ko:K01657	send:DT104_16931
ko:K13497	send:DT104_16941
ko:K13498	send:DT104_16951
ko:K01696	send:DT104_16961
ko:K01695	send:DT104_16971
ko:K07217	send:DT104_17011
ko:K07275	send:DT104_17021
ko:K06940	send:DT104_17031
ko:K06190	send:DT104_17051
ko:K10806	send:DT104_17061
ko:K03832	send:DT104_17071
ko:K09780	send:DT104_17081
ko:K06131	send:DT104_17091
ko:K09901	send:DT104_17101
ko:K10716	send:DT104_17111
ko:K10823	send:DT104_17121
ko:K15583	send:DT104_17131
ko:K15582	send:DT104_17141
ko:K15581	send:DT104_17151
ko:K15580	send:DT104_17161
ko:K04072	send:DT104_17191
ko:K00963	send:DT104_17221
ko:K07001	send:DT104_17241
ko:K09858	send:DT104_17251
ko:K01433	send:DT104_17261
ko:K07126	send:DT104_17271
ko:K00374	send:DT104_17281
ko:K00373	send:DT104_17291
ko:K00371	send:DT104_17301
ko:K00370	send:DT104_17311
ko:K02575	send:DT104_17321
ko:K07673	send:DT104_17331
ko:K06039	send:DT104_17361
ko:K07300	send:DT104_17381
ko:K07491	send:DT104_17391
ko:K01627	send:DT104_17401
ko:K04027	send:DT104_25181
ko:K04020	send:DT104_25191
ko:K04032	send:DT104_25201
ko:K04030	send:DT104_25211
ko:K04029	send:DT104_25221
ko:K04031	send:DT104_25231
ko:K07491	send:DT104_25241
ko:K00029	send:DT104_25251
ko:K00616	send:DT104_25261
ko:K00615	send:DT104_25271
ko:K12945	send:DT104_25301
ko:K07674	send:DT104_25331
ko:K01439	send:DT104_25361
ko:K06957	send:DT104_25371
ko:K07054	send:DT104_25381
ko:K01923	send:DT104_25391
ko:K07287	send:DT104_25401
ko:K01714	send:DT104_25411
ko:K03567	send:DT104_25421
ko:K03564	send:DT104_25431
ko:K07491	send:DT104_25441
ko:K03548	send:DT104_25451
ko:K10763	send:DT104_25481
ko:K02824	send:DT104_25491
ko:K00761	send:DT104_25501
ko:K01933	send:DT104_25511
ko:K11175	send:DT104_25521
ko:K00937	send:DT104_25531
ko:K01524	send:DT104_25541
ko:K01951	send:DT104_25621
ko:K00088	send:DT104_25631
ko:K03601	send:DT104_25641
ko:K02996	send:DT104_33371
ko:K02871	send:DT104_33381
ko:K06916	send:DT104_33391
ko:K09908	send:DT104_33401
ko:K04691	send:DT104_33421
ko:K01572	send:DT104_33441
ko:K01571	send:DT104_33451
ko:K03780	send:DT104_33461
ko:K03779	send:DT104_33471
ko:K00024	send:DT104_33511
ko:K03402	send:DT104_33521
ko:K03623	send:DT104_33551
ko:K03468	send:DT104_33561
ko:K15548	send:DT104_33571
ko:K03568	send:DT104_33601
ko:K08301	send:DT104_33621
ko:K06287	send:DT104_33631
ko:K03571	send:DT104_33641
ko:K03570	send:DT104_33651
ko:K03569	send:DT104_33661
ko:K17247	send:DT104_33701
ko:K02160	send:DT104_33711
ko:K01961	send:DT104_33721
ko:K14392	send:DT104_33741
ko:K02687	send:DT104_33751
ko:K03557	send:DT104_33771
ko:K02358	send:DT104_41431
ko:K03073	send:DT104_41441
ko:K02601	send:DT104_41451
ko:K02867	send:DT104_41461
ko:K02863	send:DT104_41471
ko:K02864	send:DT104_41481
ko:K02935	send:DT104_41491
ko:K03043	send:DT104_41501
ko:K03046	send:DT104_41511
ko:K03150	send:DT104_41561
ko:K03149	send:DT104_41571
ko:K03154	send:DT104_41581
ko:K03148	send:DT104_41591
ko:K00788	send:DT104_41601
ko:K03147	send:DT104_41611
ko:K07740	send:DT104_41621
ko:K03426	send:DT104_41631
ko:K01599	send:DT104_41641
ko:K05982	send:DT104_41651
ko:K09891	send:DT104_41661
ko:K05787	send:DT104_41671
ko:K07803	send:DT104_41691
ko:K07709	send:DT104_41701
ko:K01945	send:DT104_41721
ko:K00602	send:DT104_41731
ko:K03827	send:DT104_41741
ko:K00651	send:DT104_41751
ko:K01638	send:DT104_41761
ko:K01637	send:DT104_41771
ko:K00906	send:DT104_41781
ko:K13641	send:DT104_41801
ko:K00548	send:DT104_41811
ko:K03324	send:DT104_41821
ko:K09912	send:DT104_41851
ko:K06182	send:DT104_41861
ko:K03453	send:DT104_41881
ko:K14226	send:DT104_t00066
ko:K04752	send:DT104_05071
ko:K03320	send:DT104_05081
ko:K10805	send:DT104_05091
ko:K09914	send:DT104_05101
ko:K07443	send:DT104_05111
ko:K02909	send:DT104_05131
ko:K02919	send:DT104_05141
ko:K03577	send:DT104_05211
ko:K05802	send:DT104_05221
ko:K04067	send:DT104_05241
ko:K09790	send:DT104_05251
ko:K00759	send:DT104_05261
ko:K02343	send:DT104_05271
ko:K09747	send:DT104_05281
ko:K06187	send:DT104_05291
ko:K04079	send:DT104_05301
ko:K00939	send:DT104_05311
ko:K01772	send:DT104_05321
ko:K00892	send:DT104_05341
ko:K03455	send:DT104_05351
ko:K08223	send:DT104_05361
ko:K09973	send:DT104_05391
ko:K17686	send:DT104_05411
ko:K07340	send:DT104_05431
ko:K02068	send:DT104_05451
ko:K02069	send:DT104_05461
ko:K05838	send:DT104_05471
ko:K10804	send:DT104_05491
ko:K02003	send:DT104_05501
ko:K02004	send:DT104_05511
ko:K02073	send:DT104_05531
ko:K02071	send:DT104_05541
ko:K02072	send:DT104_05551
ko:K06917	send:DT104_05561
ko:K10972	send:DT104_05571
ko:K03785	send:DT104_13361
ko:K05887	send:DT104_13371
ko:K06956	send:DT104_13451
ko:K05997	send:DT104_13461
ko:K09014	send:DT104_13471
ko:K09013	send:DT104_13481
ko:K09015	send:DT104_13491
ko:K11717	send:DT104_13501
ko:K02426	send:DT104_13511
ko:K06078	send:DT104_13531
ko:K06078	send:DT104_13541
ko:K00873	send:DT104_13551
ko:K01259	send:DT104_13571
ko:K08357	send:DT104_13601
ko:K08359	send:DT104_13611
ko:K08358	send:DT104_13621
ko:K13040	send:DT104_13631
ko:K13041	send:DT104_13641
ko:K14979	send:DT104_13681
ko:K14978	send:DT104_13691
ko:K03219	send:DT104_13711
ko:K03220	send:DT104_13721
ko:K15344	send:DT104_13741
ko:K15368	send:DT104_13751
ko:K15345	send:DT104_13761
ko:K15346	send:DT104_13771
ko:K15350	send:DT104_13801
ko:K03221	send:DT104_13821
ko:K16695	send:DT104_21611
ko:K03606	send:DT104_21621
ko:K03208	send:DT104_21651
ko:K03207	send:DT104_21661
ko:K02377	send:DT104_21681
ko:K01711	send:DT104_21691
ko:K03818	send:DT104_21701
ko:K13683	send:DT104_21711
ko:K13620	send:DT104_21721
ko:K13684	send:DT104_21731
ko:K03819	send:DT104_21741
ko:K16692	send:DT104_21761
ko:K01104	send:DT104_21771
ko:K01991	send:DT104_21781
ko:K07289	send:DT104_21801
ko:K01494	send:DT104_21811
ko:K00876	send:DT104_21821
ko:K01247	send:DT104_21841
ko:K04046	send:DT104_21851
ko:K07799	send:DT104_21861
ko:K07788	send:DT104_21871
ko:K07789	send:DT104_21881
ko:K07642	send:DT104_21901
ko:K07664	send:DT104_21911
ko:K08303	send:DT104_21951
ko:K00941	send:DT104_22051
ko:K00878	send:DT104_22061
ko:K07347	send:DT104_22091
ko:K03593	send:DT104_22131
ko:K02431	send:DT104_29761
ko:K02430	send:DT104_29771
ko:K06968	send:DT104_29781
ko:K01766	send:DT104_29821
ko:K02426	send:DT104_29831
ko:K08304	send:DT104_29861
ko:K01448	send:DT104_29871
ko:K14682	send:DT104_29881
ko:K03581	send:DT104_29891
ko:K03582	send:DT104_29901
ko:K01407	send:DT104_29911
ko:K03583	send:DT104_29921
ko:K02681	send:DT104_29931
ko:K02680	send:DT104_29951
ko:K02679	send:DT104_29961
ko:K13292	send:DT104_29981
ko:K08484	send:DT104_29991
ko:K08311	send:DT104_30001
ko:K03573	send:DT104_30011
ko:K08227	send:DT104_30051
ko:K05939	send:DT104_30061
ko:K02529	send:DT104_30081
ko:K01586	send:DT104_30101
ko:K02100	send:DT104_30131
ko:K00065	send:DT104_30141
ko:K01815	send:DT104_30151
ko:K00626	send:DT104_30161
ko:K04081	send:DT104_37931
ko:K04080	send:DT104_37941
ko:K02200	send:DT104_37971
ko:K02199	send:DT104_37981
ko:K02198	send:DT104_37991
ko:K02197	send:DT104_38001
ko:K02194	send:DT104_38031
ko:K02193	send:DT104_38041
ko:K00428	send:DT104_38051
ko:K03533	send:DT104_38061
ko:K07811	send:DT104_38071
ko:K03532	send:DT104_38081
ko:K07772	send:DT104_38091
ko:K11930	send:DT104_38101
ko:K07647	send:DT104_38111
ko:K01684	send:DT104_38131
ko:K01631	send:DT104_38141
ko:K00883	send:DT104_38151
ko:K02470	send:DT104_38211
ko:K03629	send:DT104_38221
ko:K02338	send:DT104_38231
ko:K02313	send:DT104_38241
ko:K02914	send:DT104_38251
ko:K03536	send:DT104_38261
ko:K08998	send:DT104_38271
ko:K03217	send:DT104_38281
ko:K03650	send:DT104_38291
ko:K07491	send:DT104_p0371
ko:K01673	send:DT104_p0471
ko:K08297	send:DT104_00741
ko:K05245	send:DT104_00751
ko:K03521	send:DT104_00761
ko:K03522	send:DT104_00771
ko:K00313	send:DT104_00781
ko:K03855	send:DT104_00791
ko:K08368	send:DT104_00801
ko:K11746	send:DT104_00891
ko:K01525	send:DT104_00921
ko:K06195	send:DT104_00931
ko:K02528	send:DT104_00941
ko:K00097	send:DT104_00951
ko:K03771	send:DT104_00961
ko:K04744	send:DT104_00971
ko:K05801	send:DT104_00981
ko:K06177	send:DT104_00991
ko:K03580	send:DT104_01001
ko:K02336	send:DT104_01011
ko:K01804	send:DT104_01071
ko:K00853	send:DT104_01081
ko:K02099	send:DT104_01091
ko:K02062	send:DT104_01111
ko:K02063	send:DT104_01121
ko:K02064	send:DT104_01131
ko:K11925	send:DT104_01141
ko:K01704	send:DT104_01151
ko:K01703	send:DT104_01161
ko:K00052	send:DT104_01171
ko:K01649	send:DT104_01181
ko:K05806	send:DT104_01191
ko:K05798	send:DT104_01201
ko:K01652	send:DT104_01211
ko:K01653	send:DT104_01221
ko:K03435	send:DT104_01231
ko:K03925	send:DT104_01241
ko:K03438	send:DT104_01251
ko:K03586	send:DT104_01261
ko:K03587	send:DT104_01271
ko:K01928	send:DT104_01281
ko:K01929	send:DT104_01291
ko:K01000	send:DT104_01301
ko:K01925	send:DT104_01311
ko:K05601	send:DT104_09131
ko:K09824	send:DT104_09161
ko:K13888	send:DT104_09171
ko:K05685	send:DT104_09181
ko:K03704	send:DT104_09191
ko:K06891	send:DT104_09201
ko:K03694	send:DT104_09211
ko:K07491	send:DT104_09221
ko:K06911	send:DT104_09261
ko:K02518	send:DT104_09281
ko:K00684	send:DT104_09301
ko:K16012	send:DT104_09311
ko:K16013	send:DT104_09321
ko:K00384	send:DT104_09331
ko:K03466	send:DT104_09351
ko:K03634	send:DT104_09361
ko:K07478	send:DT104_09371
ko:K01875	send:DT104_09381
ko:K07306	send:DT104_09391
ko:K07308	send:DT104_09411
ko:K08219	send:DT104_09421
ko:K04069	send:DT104_09441
ko:K00656	send:DT104_09471
ko:K06212	send:DT104_09481
ko:K09136	send:DT104_09491
ko:K00831	send:DT104_09511
ko:K00800	send:DT104_09521
ko:K07387	send:DT104_09531
ko:K00945	send:DT104_09541
ko:K02945	send:DT104_09551
ko:K05788	send:DT104_09561
ko:K02238	send:DT104_09571
ko:K11085	send:DT104_09581
ko:K00912	send:DT104_09591
ko:K09927	send:DT104_09601
ko:K09791	send:DT104_09611
ko:K00979	send:DT104_09621
ko:K02493	send:DT104_17431
ko:K02835	send:DT104_17441
ko:K02492	send:DT104_17451
ko:K02494	send:DT104_17461
ko:K00919	send:DT104_17471
ko:K00948	send:DT104_17481
ko:K03321	send:DT104_17491
ko:K01056	send:DT104_17511
ko:K06942	send:DT104_17521
ko:K06282	send:DT104_17541
ko:K06281	send:DT104_17551
ko:K03620	send:DT104_17561
ko:K03619	send:DT104_17581
ko:K03618	send:DT104_17591
ko:K00426	send:DT104_17611
ko:K00261	send:DT104_17631
ko:K01194	send:DT104_17641
ko:K08308	send:DT104_17671
ko:K01297	send:DT104_17681
ko:K11105	send:DT104_17691
ko:K01775	send:DT104_17701
ko:K00285	send:DT104_17711
ko:K03603	send:DT104_17731
ko:K03314	send:DT104_17741
ko:K03611	send:DT104_17751
ko:K09160	send:DT104_17791
ko:K09902	send:DT104_17811
ko:K03610	send:DT104_17821
ko:K03609	send:DT104_17831
ko:K03608	send:DT104_17841
ko:K03684	send:DT104_17851
ko:K01897	send:DT104_17861
ko:K07285	send:DT104_17871
ko:K09917	send:DT104_17911
ko:K01665	send:DT104_17921
ko:K01752	send:DT104_17941
ko:K03977	send:DT104_25711
ko:K17713	send:DT104_25721
ko:K01892	send:DT104_25741
ko:K15539	send:DT104_25761
ko:K06941	send:DT104_25771
ko:K00940	send:DT104_25781
ko:K07308	send:DT104_25801
ko:K07307	send:DT104_25811
ko:K07306	send:DT104_25821
ko:K05367	send:DT104_25831
ko:K06894	send:DT104_25841
ko:K01011	send:DT104_25851
ko:K07751	send:DT104_25881
ko:K04755	send:DT104_25901
ko:K04044	send:DT104_25911
ko:K04082	send:DT104_25921
ko:K13628	send:DT104_25931
ko:K04488	send:DT104_25941
ko:K04487	send:DT104_25951
ko:K13643	send:DT104_25961
ko:K15396	send:DT104_25971
ko:K01092	send:DT104_25981
ko:K06889	send:DT104_25991
ko:K16950	send:DT104_26001
ko:K16951	send:DT104_26011
ko:K00385	send:DT104_26021
ko:K05820	send:DT104_26061
ko:K00600	send:DT104_26071
ko:K05916	send:DT104_26081
ko:K03765	send:DT104_26091
ko:K03757	send:DT104_26101
ko:K03305	send:DT104_26121
ko:K04751	send:DT104_26131
ko:K07715	send:DT104_26141
ko:K07711	send:DT104_26161
ko:K01952	send:DT104_26171
ko:K11991	send:DT104_26191
ko:K00014	send:DT104_33881
ko:K07566	send:DT104_33891
ko:K07479	send:DT104_33901
ko:K03747	send:DT104_33911
ko:K04096	send:DT104_33921
ko:K01462	send:DT104_33931
ko:K00604	send:DT104_33941
ko:K03500	send:DT104_33951
ko:K03499	send:DT104_33961
ko:K03282	send:DT104_33971
ko:K09890	send:DT104_33981
ko:K02879	send:DT104_34011
ko:K03040	send:DT104_34021
ko:K02986	send:DT104_34031
ko:K02948	send:DT104_34041
ko:K02952	send:DT104_34051
ko:K02919	send:DT104_34061
ko:K03076	send:DT104_34071
ko:K02876	send:DT104_34081
ko:K02907	send:DT104_34091
ko:K02988	send:DT104_34101
ko:K02881	send:DT104_34111
ko:K02933	send:DT104_34121
ko:K02994	send:DT104_34131
ko:K02954	send:DT104_34141
ko:K02931	send:DT104_34151
ko:K02895	send:DT104_34161
ko:K02874	send:DT104_34171
ko:K02961	send:DT104_34181
ko:K02878	send:DT104_34191
ko:K02982	send:DT104_34201
ko:K02890	send:DT104_34211
ko:K02965	send:DT104_34221
ko:K02886	send:DT104_34231
ko:K02892	send:DT104_34241
ko:K02926	send:DT104_34251
ko:K02906	send:DT104_34261
ko:K02946	send:DT104_34271
ko:K02506	send:DT104_34281
ko:K03594	send:DT104_34291
ko:K02192	send:DT104_34301
ko:K02358	send:DT104_34311
ko:K02355	send:DT104_34321
ko:K02992	send:DT104_34331
ko:K02950	send:DT104_34341
ko:K07237	send:DT104_34351
ko:K00928	send:DT104_42141
ko:K01810	send:DT104_42151
ko:K13256	send:DT104_42201
ko:K10110	send:DT104_42211
ko:K10109	send:DT104_42221
ko:K10108	send:DT104_42231
ko:K10111	send:DT104_42241
ko:K02024	send:DT104_42251
ko:K05775	send:DT104_42261
ko:K03181	send:DT104_42271
ko:K03179	send:DT104_42281
ko:K00631	send:DT104_42291
ko:K00901	send:DT104_42301
ko:K01356	send:DT104_42311
ko:K03327	send:DT104_42321
ko:K09823	send:DT104_42351
ko:K05539	send:DT104_42371
ko:K01775	send:DT104_42411
ko:K00832	send:DT104_42421
ko:K03788	send:DT104_42431
ko:K01483	send:DT104_05581
ko:K10973	send:DT104_05591
ko:K01608	send:DT104_05601
ko:K00926	send:DT104_05631
ko:K01589	send:DT104_05641
ko:K01588	send:DT104_05651
ko:K03269	send:DT104_05661
ko:K03768	send:DT104_05671
ko:K01883	send:DT104_05681
ko:K07038	send:DT104_05711
ko:K14761	send:DT104_05721
ko:K01491	send:DT104_05731
ko:K07345	send:DT104_05741
ko:K07351	send:DT104_05751
ko:K07346	send:DT104_05761
ko:K07347	send:DT104_05771
