ko:K07171	efq:DR75_1948
ko:K03551	efq:DR75_2111
ko:K01788	efq:DR75_2113
ko:K03931	efq:DR75_2114
ko:K01752	efq:DR75_2136
ko:K01752	efq:DR75_2137
ko:K01875	efq:DR75_2138
ko:K03168	efq:DR75_649
ko:K07052	efq:DR75_650
ko:K04096	efq:DR75_651
ko:K03470	efq:DR75_652
ko:K14540	efq:DR75_653
ko:K00077	efq:DR75_654
ko:K07035	efq:DR75_656
ko:K09699	efq:DR75_657
ko:K00167	efq:DR75_658
ko:K00166	efq:DR75_659
ko:K00382	efq:DR75_660
ko:K00929	efq:DR75_661
ko:K00059	efq:DR75_666
ko:K15973	efq:DR75_667
ko:K15975	efq:DR75_668
ko:K06999	efq:DR75_669
ko:K02003	efq:DR75_673
ko:K01990	efq:DR75_676
ko:K03100	efq:DR75_679
ko:K03797	efq:DR75_680
ko:K07304	efq:DR75_682
ko:K11068	efq:DR75_686
ko:K00759	efq:DR75_688
ko:K07462	efq:DR75_689
ko:K07124	efq:DR75_691
ko:K00784	efq:DR75_692
ko:K06960	efq:DR75_694
ko:K02959	efq:DR75_695
ko:K03106	efq:DR75_699
ko:K09787	efq:DR75_700
ko:K07658	efq:DR75_702
ko:K07636	efq:DR75_703
ko:K02913	efq:DR75_1548
ko:K00687	efq:DR75_1549
ko:K01868	efq:DR75_1550
ko:K01821	efq:DR75_1551
ko:K07260	efq:DR75_1552
ko:K00926	efq:DR75_2379
ko:K00073	efq:DR75_2381
ko:K00549	efq:DR75_2387
ko:K01304	efq:DR75_2392
ko:K03315	efq:DR75_2393
ko:K02799	efq:DR75_2397
ko:K02800	efq:DR75_2397
ko:K02798	efq:DR75_2399
ko:K02798	efq:DR75_2402
ko:K00009	efq:DR75_2403
ko:K02005	efq:DR75_2408
ko:K02003	efq:DR75_2409
ko:K02004	efq:DR75_2410
ko:K01625	efq:DR75_2416
ko:K00874	efq:DR75_2417
ko:K01815	efq:DR75_2418
ko:K00046	efq:DR75_2419
ko:K15532	efq:DR75_2420
ko:K00848	efq:DR75_2426
ko:K01813	efq:DR75_2427
ko:K01629	efq:DR75_2428
ko:K03534	efq:DR75_2429
ko:K00625	efq:DR75_3
ko:K06925	efq:DR75_4
ko:K02529	efq:DR75_7
ko:K01785	efq:DR75_8
ko:K01838	efq:DR75_9
ko:K00691	efq:DR75_10
ko:K06896	efq:DR75_12
ko:K00286	efq:DR75_13
ko:K02888	efq:DR75_27
ko:K07584	efq:DR75_28
ko:K02899	efq:DR75_29
ko:K13256	efq:DR75_30
ko:K07098	efq:DR75_31
ko:K01262	efq:DR75_32
ko:K03625	efq:DR75_35
ko:K01491	efq:DR75_36
ko:K03601	efq:DR75_37
ko:K03602	efq:DR75_38
ko:K13789	efq:DR75_39
ko:K06442	efq:DR75_40
ko:K03402	efq:DR75_43
ko:K03631	efq:DR75_44
ko:K03284	efq:DR75_46
ko:K03925	efq:DR75_48
ko:K03438	efq:DR75_49
ko:K12556	efq:DR75_51
ko:K01000	efq:DR75_52
ko:K01925	efq:DR75_53
ko:K02563	efq:DR75_54
ko:K03589	efq:DR75_55
ko:K03590	efq:DR75_56
ko:K03531	efq:DR75_57
ko:K06997	efq:DR75_58
ko:K09772	efq:DR75_59
ko:K02221	efq:DR75_60
ko:K04074	efq:DR75_62
ko:K01870	efq:DR75_63
ko:K01129	efq:DR75_920
ko:K01689	efq:DR75_922
ko:K01803	efq:DR75_923
ko:K00927	efq:DR75_924
ko:K00134	efq:DR75_925
ko:K05311	efq:DR75_926
ko:K00868	efq:DR75_930
ko:K01876	efq:DR75_931
ko:K01892	efq:DR75_932
ko:K07560	efq:DR75_933
ko:K00951	efq:DR75_934
ko:K09761	efq:DR75_935
ko:K02687	efq:DR75_936
ko:K03652	efq:DR75_938
ko:K07478	efq:DR75_939
ko:K00925	efq:DR75_942
ko:K02248	efq:DR75_945
ko:K02246	efq:DR75_947
ko:K02245	efq:DR75_948
ko:K02244	efq:DR75_949
ko:K02243	efq:DR75_950
ko:K03294	efq:DR75_951
ko:K06941	efq:DR75_952
ko:K11636	efq:DR75_953
ko:K11635	efq:DR75_954
ko:K03466	efq:DR75_956
ko:K03885	efq:DR75_957
ko:K02548	efq:DR75_958
ko:K00805	efq:DR75_959
ko:K16012	efq:DR75_960
ko:K16013	efq:DR75_961
ko:K00426	efq:DR75_962
ko:K00425	efq:DR75_963
ko:K13653	efq:DR75_964
ko:K06910	efq:DR75_968
ko:K08161	efq:DR75_969
ko:K00566	efq:DR75_970
ko:K15580	efq:DR75_1766
ko:K02747	efq:DR75_1767
ko:K02746	efq:DR75_1768
ko:K01443	efq:DR75_1769
ko:K02745	efq:DR75_1770
ko:K02744	efq:DR75_1771
ko:K03478	efq:DR75_1773
ko:K01246	efq:DR75_1775
ko:K16789	efq:DR75_1778
ko:K07284	efq:DR75_1781
ko:K01104	efq:DR75_1783
ko:K03571	efq:DR75_1786
ko:K03570	efq:DR75_1787
ko:K00962	efq:DR75_1788
ko:K02956	efq:DR75_1789
ko:K01462	efq:DR75_1790
ko:K02986	efq:DR75_1794
ko:K03523	efq:DR75_1795
ko:K03100	efq:DR75_1796
ko:K01258	efq:DR75_1802
ko:K15580	efq:DR75_1803
ko:K02016	efq:DR75_1804
ko:K02013	efq:DR75_1805
ko:K02015	efq:DR75_1806
ko:K02015	efq:DR75_1807
ko:K01919	efq:DR75_1809
ko:K07032	efq:DR75_1812
ko:K09705	efq:DR75_1813
ko:K03110	efq:DR75_1814
ko:K03529	efq:DR75_1816
ko:K03685	efq:DR75_1817
ko:K03697	efq:DR75_2665
ko:K11189	efq:DR75_2667
ko:K08483	efq:DR75_2668
ko:K03545	efq:DR75_2672
ko:K02768	efq:DR75_2674
ko:K02769	efq:DR75_2674
ko:K02770	efq:DR75_2674
ko:K00882	efq:DR75_2675
ko:K03436	efq:DR75_2676
ko:K03657	efq:DR75_2678
ko:K01972	efq:DR75_2679
ko:K02435	efq:DR75_2680
ko:K02433	efq:DR75_2681
ko:K02434	efq:DR75_2682
ko:K03215	efq:DR75_2684
ko:K13252	efq:DR75_2688
ko:K10536	efq:DR75_2690
ko:K00926	efq:DR75_2691
ko:K01426	efq:DR75_2692
ko:K03811	efq:DR75_2693
ko:K06956	efq:DR75_2698
ko:K07146	efq:DR75_2702
ko:K01534	efq:DR75_2711
ko:K03767	efq:DR75_538
ko:K09963	efq:DR75_539
ko:K06889	efq:DR75_540
ko:K04763	efq:DR75_541
ko:K05896	efq:DR75_542
ko:K06024	efq:DR75_543
ko:K06178	efq:DR75_544
ko:K05337	efq:DR75_547
ko:K03654	efq:DR75_549
ko:K00945	efq:DR75_551
ko:K02945	efq:DR75_552
ko:K03977	efq:DR75_553
ko:K03530	efq:DR75_554
ko:K00215	efq:DR75_560
ko:K00974	efq:DR75_561
ko:K00014	efq:DR75_564
ko:K03856	efq:DR75_565
ko:K01735	efq:DR75_566
ko:K01736	efq:DR75_567
ko:K04517	efq:DR75_568
ko:K00800	efq:DR75_569
ko:K00891	efq:DR75_570
ko:K04518	efq:DR75_571
ko:K03316	efq:DR75_577
ko:K15738	efq:DR75_578
ko:K01356	efq:DR75_582
ko:K00615	efq:DR75_584
ko:K01738	efq:DR75_587
ko:K09825	efq:DR75_588
ko:K06147	efq:DR75_593
ko:K06147	efq:DR75_594
ko:K01515	efq:DR75_1395
ko:K03575	efq:DR75_1402
ko:K03565	efq:DR75_1403
ko:K12111	efq:DR75_1406
ko:K02935	efq:DR75_1410
ko:K02864	efq:DR75_1411
ko:K02863	efq:DR75_1412
ko:K02867	efq:DR75_1413
ko:K01752	efq:DR75_1415
ko:K01752	efq:DR75_1416
ko:K16203	efq:DR75_1417
ko:K15580	efq:DR75_1419
ko:K02601	efq:DR75_1422
ko:K03073	efq:DR75_1423
ko:K02913	efq:DR75_1424
ko:K00075	efq:DR75_1428
ko:K03810	efq:DR75_1429
ko:K01142	efq:DR75_1430
ko:K02342	efq:DR75_1431
ko:K00384	efq:DR75_1433
ko:K03386	efq:DR75_1434
ko:K03800	efq:DR75_1436
ko:K03740	efq:DR75_1440
ko:K14188	efq:DR75_1441
ko:K03739	efq:DR75_1442
ko:K03367	efq:DR75_1443
ko:K02004	efq:DR75_1445
ko:K16786	efq:DR75_2261
ko:K16787	efq:DR75_2262
ko:K16785	efq:DR75_2263
ko:K06173	efq:DR75_2264
ko:K00847	efq:DR75_244
ko:K07173	efq:DR75_247
ko:K00133	efq:DR75_248
ko:K01714	efq:DR75_249
ko:K12574	efq:DR75_250
ko:K06188	efq:DR75_257
ko:K07668	efq:DR75_258
ko:K07652	efq:DR75_259
ko:K07089	efq:DR75_263
ko:K08986	efq:DR75_264
ko:K07447	efq:DR75_268
ko:K00027	efq:DR75_271
ko:K01652	efq:DR75_277
ko:K01575	efq:DR75_278
ko:K02054	efq:DR75_282
ko:K02053	efq:DR75_283
ko:K02052	efq:DR75_284
ko:K02055	efq:DR75_285
ko:K01486	efq:DR75_286
ko:K03734	efq:DR75_289
ko:K07098	efq:DR75_295
ko:K17319	efq:DR75_296
ko:K17320	efq:DR75_297
ko:K17318	efq:DR75_298
ko:K01060	efq:DR75_300
ko:K01154	efq:DR75_1128
ko:K03427	efq:DR75_1129
ko:K09014	efq:DR75_1139
ko:K04488	efq:DR75_1140
ko:K11717	efq:DR75_1141
ko:K09015	efq:DR75_1142
ko:K09013	efq:DR75_1143
ko:K02838	efq:DR75_1144
ko:K09903	efq:DR75_1145
ko:K02357	efq:DR75_1146
ko:K02967	efq:DR75_1147
ko:K03826	efq:DR75_1148
ko:K03437	efq:DR75_1149
ko:K01512	efq:DR75_1150
ko:K03217	efq:DR75_1151
ko:K01879	efq:DR75_1153
ko:K01878	efq:DR75_1154
ko:K03584	efq:DR75_1156
ko:K07042	efq:DR75_1159
ko:K07037	efq:DR75_1160
ko:K09117	efq:DR75_1162
ko:K02970	efq:DR75_1163
ko:K02076	efq:DR75_1164
ko:K09773	efq:DR75_1165
ko:K00872	efq:DR75_1166
ko:K01733	efq:DR75_1167
ko:K00003	efq:DR75_1168
ko:K00286	efq:DR75_1170
ko:K01835	efq:DR75_1171
ko:K00364	efq:DR75_1175
ko:K01487	efq:DR75_1177
ko:K08303	efq:DR75_1979
ko:K03696	efq:DR75_1982
ko:K03708	efq:DR75_1983
ko:K02761	efq:DR75_1985
ko:K01875	efq:DR75_2000
ko:K00088	efq:DR75_2001
ko:K06942	efq:DR75_2004
ko:K03501	efq:DR75_2008
ko:K10254	efq:DR75_2010
ko:K02781	efq:DR75_2012
ko:K02783	efq:DR75_2015
ko:K03491	efq:DR75_2017
ko:K00068	efq:DR75_2018
ko:K03495	efq:DR75_2029
ko:K03650	efq:DR75_2030
ko:K15051	efq:DR75_2948
ko:K03311	efq:DR75_2266
ko:K06966	efq:DR75_2268
ko:K17076	efq:DR75_2269
ko:K17073	efq:DR75_2270
ko:K17074	efq:DR75_2270
ko:K12410	efq:DR75_2272
ko:K00661	efq:DR75_2273
ko:K07105	efq:DR75_2274
ko:K00016	efq:DR75_2277
ko:K01056	efq:DR75_2278
ko:K03723	efq:DR75_2279
ko:K07571	efq:DR75_2283
ko:K04075	efq:DR75_2284
ko:K00760	efq:DR75_2285
ko:K03798	efq:DR75_2286
ko:K04083	efq:DR75_2287
ko:K04567	efq:DR75_2289
ko:K03488	efq:DR75_2318
ko:K02755	efq:DR75_2319
ko:K02756	efq:DR75_2319
ko:K02757	efq:DR75_2319
ko:K01223	efq:DR75_2320
ko:K06167	efq:DR75_808
ko:K07706	efq:DR75_811
ko:K12308	efq:DR75_819
ko:K02761	efq:DR75_820
ko:K01579	efq:DR75_827
ko:K01918	efq:DR75_828
ko:K00606	efq:DR75_829
ko:K02004	efq:DR75_837
ko:K02003	efq:DR75_838
ko:K02004	efq:DR75_839
ko:K10716	efq:DR75_1675
ko:K03630	efq:DR75_1677
ko:K11754	efq:DR75_1679
ko:K01873	efq:DR75_1682
ko:K11065	efq:DR75_1683
ko:K01926	efq:DR75_1684
ko:K03151	efq:DR75_1685
ko:K06901	efq:DR75_1686
ko:K06216	efq:DR75_1690
ko:K06726	efq:DR75_1691
ko:K00852	efq:DR75_1692
ko:K02529	efq:DR75_1693
ko:K03475	efq:DR75_1695
ko:K02822	efq:DR75_1696
ko:K01077	efq:DR75_1703
ko:K01042	efq:DR75_1706
ko:K17467	efq:DR75_1707
ko:K17466	efq:DR75_1708
ko:K17465	efq:DR75_1709
ko:K17464	efq:DR75_1710
ko:K17473	efq:DR75_1711
ko:K16785	efq:DR75_2552
ko:K16786	efq:DR75_2553
ko:K16787	efq:DR75_2553
ko:K16926	efq:DR75_2554
ko:K06147	efq:DR75_2555
ko:K06147	efq:DR75_2556
ko:K02954	efq:DR75_2557
ko:K02911	efq:DR75_2558
ko:K02913	efq:DR75_2560
ko:K09815	efq:DR75_2564
ko:K02747	efq:DR75_2575
ko:K06131	efq:DR75_2581
ko:K01866	efq:DR75_2582
ko:K03315	efq:DR75_2585
ko:K00016	efq:DR75_2589
ko:K11041	efq:DR75_2593
ko:K01784	efq:DR75_2594
ko:K03800	efq:DR75_2597
ko:K01890	efq:DR75_188
ko:K10040	efq:DR75_189
ko:K10040	efq:DR75_190
ko:K10039	efq:DR75_191
ko:K10041	efq:DR75_192
ko:K01776	efq:DR75_193
ko:K07095	efq:DR75_195
ko:K03476	efq:DR75_197
ko:K02821	efq:DR75_198
ko:K03475	efq:DR75_199
ko:K02822	efq:DR75_200
ko:K05822	efq:DR75_205
ko:K05823	efq:DR75_206
ko:K07010	efq:DR75_210
ko:K01759	efq:DR75_211
ko:K03574	efq:DR75_212
ko:K06885	efq:DR75_214
ko:K16869	efq:DR75_215
ko:K03048	efq:DR75_217
ko:K01937	efq:DR75_218
ko:K05366	efq:DR75_219
ko:K03700	efq:DR75_220
ko:K07444	efq:DR75_223
ko:K01299	efq:DR75_224
ko:K02086	efq:DR75_225
ko:K10773	efq:DR75_226
ko:K03710	efq:DR75_227
ko:K02760	efq:DR75_230
ko:K02761	efq:DR75_231
ko:K01424	efq:DR75_234
ko:K09767	efq:DR75_236
ko:K01624	efq:DR75_238
ko:K00790	efq:DR75_239
ko:K03628	efq:DR75_240
ko:K02909	efq:DR75_241
ko:K01867	efq:DR75_1075
ko:K02026	efq:DR75_1079
ko:K02025	efq:DR75_1080
ko:K02027	efq:DR75_1081
ko:K18581	efq:DR75_1082
ko:K02529	efq:DR75_1085
ko:K03596	efq:DR75_1087
ko:K03695	efq:DR75_1090
ko:K15977	efq:DR75_1091
ko:K01756	efq:DR75_1092
ko:K01589	efq:DR75_1093
ko:K16169	efq:DR75_1094
ko:K03816	efq:DR75_1095
ko:K01893	efq:DR75_1101
ko:K03763	efq:DR75_1108
ko:K01881	efq:DR75_1109
ko:K11749	efq:DR75_1110
ko:K00034	efq:DR75_1111
ko:K07680	efq:DR75_1115
ko:K01953	efq:DR75_1117
ko:K06147	efq:DR75_1119
ko:K01990	efq:DR75_1120
ko:K01153	efq:DR75_1124
ko:K01154	efq:DR75_1125
ko:K02793	efq:DR75_1924
ko:K02794	efq:DR75_1925
ko:K02795	efq:DR75_1926
ko:K01534	efq:DR75_1935
ko:K02996	efq:DR75_1940
ko:K02871	efq:DR75_1941
ko:K04047	efq:DR75_1942
ko:K00851	efq:DR75_1944
ko:K02236	efq:DR75_1945
ko:K03046	efq:DR75_1946
ko:K03043	efq:DR75_1947
ko:K07069	efq:DR75_1950
ko:K03524	efq:DR75_1951
ko:K03734	efq:DR75_1960
ko:K03885	efq:DR75_1962
ko:K00805	efq:DR75_1964
ko:K00805	efq:DR75_1965
ko:K00796	efq:DR75_1966
ko:K02428	efq:DR75_1967
ko:K01495	efq:DR75_1968
ko:K00950	efq:DR75_1969
ko:K01633	efq:DR75_1970
ko:K00383	efq:DR75_1971
ko:K09703	efq:DR75_1976
ko:K10974	efq:DR75_1977
ko:K02028	efq:DR75_2830
ko:K02029	efq:DR75_2831
ko:K02030	efq:DR75_2831
ko:K08317	efq:DR75_2832
ko:K00773	efq:DR75_2833
ko:K03210	efq:DR75_2834
ko:K04072	efq:DR75_2836
ko:K01823	efq:DR75_2837
ko:K00938	efq:DR75_2838
ko:K01597	efq:DR75_2839
ko:K00869	efq:DR75_2840
ko:K15580	efq:DR75_2843
ko:K15581	efq:DR75_2845
ko:K15582	efq:DR75_2846
ko:K15583	efq:DR75_2847
ko:K10823	efq:DR75_2848
ko:K02520	efq:DR75_2851
ko:K02916	efq:DR75_2852
ko:K02887	efq:DR75_2853
ko:K08987	efq:DR75_2855
ko:K03827	efq:DR75_2856
ko:K03321	efq:DR75_2858
ko:K05340	efq:DR75_2866
ko:K03294	efq:DR75_2867
ko:K01874	efq:DR75_2868
ko:K03657	efq:DR75_2870
ko:K03424	efq:DR75_2871
ko:K05985	efq:DR75_2872
ko:K02528	efq:DR75_2873
ko:K16788	efq:DR75_2874
ko:K10112	efq:DR75_2875
ko:K01734	efq:DR75_2876
ko:K06147	efq:DR75_2878
ko:K06147	efq:DR75_2879
ko:K18682	efq:DR75_1885
ko:K01977	efq:DR75_2290
ko:K18924	efq:DR75_2353
ko:K18925	efq:DR75_2354
ko:K09692	efq:DR75_1232
ko:K09692	efq:DR75_1018
ko:K07171	efq:DR75_2766
ko:K14233	efq:DR75_2304
ko:K14233	efq:DR75_2310
ko:K18892	efq:DR75_2741
ko:K03790	efq:DR75_1801
ko:K18891	efq:DR75_2740
ko:K01985	efq:DR75_2292
ko:K01985	efq:DR75_114
ko:K01985	efq:DR75_1586
ko:K01985	efq:DR75_1995
ko:K14218	efq:DR75_112
ko:K14218	efq:DR75_2301
ko:K14218	efq:DR75_1588
ko:K01980	efq:DR75_113
ko:K01980	efq:DR75_2291
ko:K01980	efq:DR75_1996
ko:K01980	efq:DR75_1587
ko:K07171	efq:DR75_2790
ko:K18888	efq:DR75_1614
ko:K09693	efq:DR75_1017
ko:K14235	efq:DR75_122
ko:K18887	efq:DR75_1615
ko:K18929	efq:DR75_181
ko:K18928	efq:DR75_180
ko:K00335	efq:DR75_463
ko:K19055	efq:DR75_2489
ko:K19002	efq:DR75_1583
ko:K04028	efq:DR75_622
ko:K07483	efq:DR75_825
ko:K07483	efq:DR75_908
ko:K03497	efq:DR75_2006
ko:K03496	efq:DR75_2007
ko:K03502	efq:DR75_2902
ko:K03111	efq:DR75_2933
ko:K03205	efq:DR75_2936
ko:K03111	efq:DR75_2059
ko:K00520	efq:DR75_2981
ko:K07473	efq:DR75_3001
ko:K03111	efq:DR75_3003
ko:K07467	efq:DR75_2174
ko:K18231	efq:DR75_486
ko:K03111	efq:DR75_1530
ko:K18350	efq:DR75_1553
ko:K18349	efq:DR75_1554
ko:K05593	efq:DR75_1556
ko:K07467	efq:DR75_855
ko:K03169	efq:DR75_965
ko:K03502	efq:DR75_155
ko:K18220	efq:DR75_1047
ko:K07467	efq:DR75_1054
ko:K03832	efq:DR75_1898
ko:K07467	efq:DR75_1937
ko:K13052	efq:DR75_2282
ko:K07483	efq:DR75_2405
ko:K18979	efq:DR75_581
ko:K03741	efq:DR75_1933
ko:K19005	efq:DR75_805
ko:K19005	efq:DR75_327
ko:K07498	efq:DR75_2887
ko:K07498	efq:DR75_2477
ko:K07498	efq:DR75_1126
ko:K07498	efq:DR75_1127
ko:K19157	efq:DR75_3000
ko:K19225	efq:DR75_1481
ko:K02777	efq:DR75_2499
ko:K02475	efq:DR75_274
ko:K00798	efq:DR75_637
ko:K19058	efq:DR75_2982
ko:K01239	efq:DR75_1295
ko:K05881	efq:DR75_433
ko:K01710	efq:DR75_1023
ko:K00571	efq:DR75_943
ko:K01215	efq:DR75_423
ko:K14989	efq:DR75_1113
ko:K00839	efq:DR75_1723
ko:K19310	efq:DR75_1123
ko:K12952	efq:DR75_330
ko:K00020	efq:DR75_1582
ko:K03722	efq:DR75_1104
ko:K07497	efq:DR75_2487
ko:K12952	efq:DR75_526
ko:K19505	efq:DR75_919
ko:K19302	efq:DR75_2748
ko:K19350	efq:DR75_1414
ko:K08605	efq:DR75_810
ko:K06867	efq:DR75_2370
ko:K21977	efq:DR75_1356
ko:K00984	efq:DR75_152
ko:K02476	efq:DR75_273
ko:K19507	efq:DR75_917
ko:K19504	efq:DR75_914
ko:K06881	efq:DR75_447
ko:K03483	efq:DR75_2398
ko:K19506	efq:DR75_918
ko:K19510	efq:DR75_913
ko:K19508	efq:DR75_916
ko:K19509	efq:DR75_915
ko:K02796	efq:DR75_2071
ko:K02796	efq:DR75_2446
ko:K02796	efq:DR75_2511
ko:K02796	efq:DR75_1853
ko:K02796	efq:DR75_1927
ko:K00526	efq:DR75_2460
ko:K02796	efq:DR75_795
ko:K19784	efq:DR75_697
ko:K02538	efq:DR75_519
ko:K02107	efq:DR75_493
ko:K19802	efq:DR75_514
ko:K21636	efq:DR75_1447
ko:K19971	efq:DR75_2549
ko:K10830	efq:DR75_2547
ko:K19972	efq:DR75_2548
ko:K05770	efq:DR75_1033
ko:K19976	efq:DR75_975
ko:K20074	efq:DR75_1837
ko:K12132	efq:DR75_1836
ko:K14234	efq:DR75_1991
ko:K14234	efq:DR75_2296
ko:K02777	efq:DR75_1184
ko:K20107	efq:DR75_1184
ko:K20108	efq:DR75_1184
ko:K20265	efq:DR75_2584
ko:K20265	efq:DR75_2689
ko:K02777	efq:DR75_11
ko:K20107	efq:DR75_11
ko:K20108	efq:DR75_11
ko:K20379	efq:DR75_1961
ko:K20382	efq:DR75_2916
ko:K20383	efq:DR75_2953
ko:K20384	efq:DR75_2954
ko:K20385	efq:DR75_2955
ko:K20386	efq:DR75_2956
ko:K20387	efq:DR75_2952
ko:K20388	efq:DR75_2951
ko:K20444	efq:DR75_1016
ko:K20444	efq:DR75_1015
ko:K00525	efq:DR75_2461
ko:K20344	efq:DR75_2893
ko:K20344	efq:DR75_2989
ko:K06148	efq:DR75_2894
ko:K20534	efq:DR75_1002
ko:K20486	efq:DR75_2957
ko:K18889	efq:DR75_731
ko:K18890	efq:DR75_730
ko:K22103	efq:DR75_598
ko:K22103	efq:DR75_2604
ko:K14225	efq:DR75_2307
ko:K14225	efq:DR75_2314
ko:K02790	efq:DR75_2076
ko:K02791	efq:DR75_2076
ko:K22457	efq:DR75_1102
ko:K01208	efq:DR75_422
ko:K21064	efq:DR75_98
ko:K01768	efq:DR75_2659
ko:K14232	efq:DR75_1987
ko:K14232	efq:DR75_2300
ko:K08968	efq:DR75_140
ko:K14224	efq:DR75_117
ko:K14224	efq:DR75_2309
ko:K14224	efq:DR75_2317
ko:K01977	efq:DR75_111
ko:K14220	efq:DR75_115
ko:K14220	efq:DR75_1585
ko:K01977	efq:DR75_1997
ko:K01977	efq:DR75_1589
ko:K14228	efq:DR75_126
ko:K14219	efq:DR75_82
ko:K14219	efq:DR75_2299
ko:K14219	efq:DR75_2733
ko:K14219	efq:DR75_1988
ko:K14233	efq:DR75_1489
ko:K14230	efq:DR75_2305
ko:K14225	efq:DR75_1990
ko:K14225	efq:DR75_2297
ko:K01071	efq:DR75_2357
ko:K14237	efq:DR75_118
ko:K14237	efq:DR75_1994
ko:K14237	efq:DR75_2293
ko:K14221	efq:DR75_119
ko:K14231	efq:DR75_120
ko:K14236	efq:DR75_121
ko:K14236	efq:DR75_389
ko:K14226	efq:DR75_123
ko:K14230	efq:DR75_1490
ko:K14235	efq:DR75_1645
ko:K14221	efq:DR75_2306
ko:K14221	efq:DR75_2312
ko:K14231	efq:DR75_2313
ko:K14233	efq:DR75_2316
ko:K14229	efq:DR75_2469
ko:K14228	efq:DR75_1989
ko:K14228	efq:DR75_2298
ko:K14223	efq:DR75_124
ko:K06217	efq:DR75_1161
ko:K00558	efq:DR75_2020
ko:K02315	efq:DR75_343
ko:K01493	efq:DR75_1195
ko:K02314	efq:DR75_2063
ko:K01174	efq:DR75_3002
ko:K07313	efq:DR75_374
ko:K00857	efq:DR75_1264
ko:K01520	efq:DR75_2088
ko:K02316	efq:DR75_527
ko:K13730	efq:DR75_1385
ko:K03546	efq:DR75_1388
ko:K00560	efq:DR75_579
ko:K00287	efq:DR75_580
ko:K04068	efq:DR75_1448
ko:K07474	efq:DR75_1518
ko:K00558	efq:DR75_1527
ko:K06191	efq:DR75_2463
ko:K06904	efq:DR75_1639
ko:K07451	efq:DR75_1643
ko:K02315	efq:DR75_1659
ko:K07455	efq:DR75_1662
ko:K01286	efq:DR75_1844
ko:K21298	efq:DR75_303
ko:K14228	efq:DR75_1992
ko:K02003	efq:DR75_417
ko:K02004	efq:DR75_417
ko:K02335	efq:DR75_2815
ko:K01271	efq:DR75_741
ko:K19577	efq:DR75_1465
ko:K00980	efq:DR75_1005
ko:K02031	efq:DR75_1822
ko:K05910	efq:DR75_275
ko:K02032	efq:DR75_1821
ko:K14230	efq:DR75_2302
ko:K14219	efq:DR75_26
ko:K14233	efq:DR75_116
ko:K14230	efq:DR75_2311
ko:K14227	efq:DR75_2308
ko:K14227	efq:DR75_2315
ko:K03328	efq:DR75_2280
ko:K14222	efq:DR75_125
ko:K14230	efq:DR75_2303
ko:K14234	efq:DR75_982
ko:K14234	efq:DR75_1256
ko:K14229	efq:DR75_1993
ko:K14229	efq:DR75_2294
ko:K14223	efq:DR75_390
ko:K14228	efq:DR75_377
ko:K14228	efq:DR75_2295
ko:K01101	efq:DR75_253
ko:K01759	efq:DR75_2699
ko:K03293	efq:DR75_177
ko:K03892	efq:DR75_2978
ko:K21471	efq:DR75_1785
ko:K03892	efq:DR75_2976
ko:K21471	efq:DR75_2386
ko:K09809	efq:DR75_1240
ko:K09809	efq:DR75_1008
ko:K21713	efq:DR75_2356
ko:K21567	efq:DR75_1595
ko:K21828	efq:DR75_2145
ko:K21929	efq:DR75_2606
ko:K08365	efq:DR75_2983
ko:K21993	efq:DR75_2132
ko:K21993	efq:DR75_460
ko:K22043	efq:DR75_1169
ko:K22010	efq:DR75_634
ko:K00936	efq:DR75_633
ko:K22044	efq:DR75_207
ko:K21903	efq:DR75_1934
ko:K03547	efq:DR75_2632
ko:K03595	efq:DR75_1157
ko:K07456	efq:DR75_1704
ko:K03078	efq:DR75_201
ko:K03077	efq:DR75_203
ko:K03079	efq:DR75_202
ko:K22278	efq:DR75_2563
ko:K17758	efq:DR75_785
ko:K22330	efq:DR75_2583
ko:K22441	efq:DR75_1729
ko:K22441	efq:DR75_591
