ko:K19745	cgx:SB89_11905
ko:K15733	cgx:SB89_08550
ko:K07156	cgx:SB89_08560
ko:K16647	cgx:SB89_08615
ko:K07305	cgx:SB89_08620
ko:K03684	cgx:SB89_08635
ko:K01662	cgx:SB89_08640
ko:K01092	cgx:SB89_08675
ko:K00886	cgx:SB89_08680
ko:K03086	cgx:SB89_08685
ko:K07560	cgx:SB89_08720
ko:K03087	cgx:SB89_08725
ko:K03709	cgx:SB89_08730
ko:K01784	cgx:SB89_08735
ko:K04761	cgx:SB89_08755
ko:K03578	cgx:SB89_08765
ko:K07738	cgx:SB89_08770
ko:K01356	cgx:SB89_08780
ko:K03436	cgx:SB89_08785
ko:K00882	cgx:SB89_08790
ko:K08483	cgx:SB89_08795
ko:K00882	cgx:SB89_08805
ko:K02768	cgx:SB89_08810
ko:K02769	cgx:SB89_08810
ko:K02770	cgx:SB89_08810
ko:K11189	cgx:SB89_08815
ko:K03665	cgx:SB89_08830
ko:K01778	cgx:SB89_08845
ko:K00791	cgx:SB89_08850
ko:K06168	cgx:SB89_08875
ko:K10008	cgx:SB89_08880
ko:K10005	cgx:SB89_08885
ko:K10006	cgx:SB89_08890
ko:K10007	cgx:SB89_08895
ko:K03565	cgx:SB89_08900
ko:K03523	cgx:SB89_08920
ko:K16784	cgx:SB89_08925
ko:K03743	cgx:SB89_08945
ko:K00995	cgx:SB89_08950
ko:K05794	cgx:SB89_08960
ko:K03466	cgx:SB89_08965
ko:K12574	cgx:SB89_08975
ko:K01714	cgx:SB89_08980
ko:K00215	cgx:SB89_08990
ko:K00962	cgx:SB89_09000
ko:K02956	cgx:SB89_09005
ko:K11753	cgx:SB89_09015
ko:K03177	cgx:SB89_09020
ko:K02834	cgx:SB89_09045
ko:K02519	cgx:SB89_09050
ko:K07742	cgx:SB89_09055
ko:K02600	cgx:SB89_09060
ko:K09748	cgx:SB89_09065
ko:K15580	cgx:SB89_09075
ko:K15581	cgx:SB89_09085
ko:K15582	cgx:SB89_09090
ko:K02031	cgx:SB89_09095
ko:K02032	cgx:SB89_09095
ko:K01881	cgx:SB89_09100
ko:K09861	cgx:SB89_09105
ko:K13580	cgx:SB89_09110
ko:K03404	cgx:SB89_09115
ko:K00116	cgx:SB89_09135
ko:K17883	cgx:SB89_09145
ko:K01265	cgx:SB89_09155
ko:K02004	cgx:SB89_09175
ko:K02003	cgx:SB89_09180
ko:K03526	cgx:SB89_09195
ko:K00099	cgx:SB89_09205
ko:K01992	cgx:SB89_09215
ko:K01990	cgx:SB89_09220
ko:K06941	cgx:SB89_09225
ko:K00981	cgx:SB89_09235
ko:K02838	cgx:SB89_09240
ko:K09903	cgx:SB89_09245
ko:K02357	cgx:SB89_09250
ko:K02967	cgx:SB89_09255
ko:K03733	cgx:SB89_09265
ko:K04096	cgx:SB89_09270
ko:K07391	cgx:SB89_09275
ko:K07460	cgx:SB89_09280
ko:K03470	cgx:SB89_09290
ko:K03100	cgx:SB89_09295
ko:K02884	cgx:SB89_09305
ko:K00788	cgx:SB89_09310
ko:K03153	cgx:SB89_09315
ko:K03154	cgx:SB89_09320
ko:K03149	cgx:SB89_09325
ko:K06959	cgx:SB89_09335
ko:K03319	cgx:SB89_09345
ko:K01857	cgx:SB89_09350
ko:K00554	cgx:SB89_09365
ko:K02860	cgx:SB89_09375
ko:K02959	cgx:SB89_09385
ko:K11051	cgx:SB89_09395
ko:K11050	cgx:SB89_09400
ko:K03106	cgx:SB89_09405
ko:K00990	cgx:SB89_09410
ko:K04751	cgx:SB89_09415
ko:K03320	cgx:SB89_09420
ko:K03110	cgx:SB89_09430
ko:K03529	cgx:SB89_09440
ko:K01512	cgx:SB89_09445
ko:K07090	cgx:SB89_09460
ko:K10563	cgx:SB89_09475
ko:K03685	cgx:SB89_09480
ko:K07040	cgx:SB89_09485
ko:K00262	cgx:SB89_09505
ko:K00865	cgx:SB89_09510
ko:K07104	cgx:SB89_09545
ko:K00873	cgx:SB89_09550
ko:K01609	cgx:SB89_09560
ko:K01496	cgx:SB89_09570
ko:K02500	cgx:SB89_09575
ko:K01092	cgx:SB89_09580
ko:K01814	cgx:SB89_09585
ko:K01817	cgx:SB89_09585
ko:K02501	cgx:SB89_09590
ko:K01693	cgx:SB89_09605
ko:K00817	cgx:SB89_09610
ko:K00013	cgx:SB89_09615
ko:K00010	cgx:SB89_09655
ko:K02013	cgx:SB89_09665
ko:K02015	cgx:SB89_09670
ko:K02016	cgx:SB89_09675
ko:K02342	cgx:SB89_09685
ko:K06044	cgx:SB89_09695
ko:K04762	cgx:SB89_09710
ko:K01236	cgx:SB89_09725
ko:K01754	cgx:SB89_09730
ko:K00549	cgx:SB89_09740
ko:K02337	cgx:SB89_09745
ko:K05786	cgx:SB89_09750
ko:K06180	cgx:SB89_09760
ko:K03101	cgx:SB89_09765
ko:K18230	cgx:SB89_09775
ko:K01424	cgx:SB89_09785
ko:K02346	cgx:SB89_09795
ko:K11939	cgx:SB89_09800
ko:K01870	cgx:SB89_09815
ko:K02221	cgx:SB89_09830
ko:K09772	cgx:SB89_09835
ko:K06997	cgx:SB89_09840
ko:K05810	cgx:SB89_09845
ko:K03531	cgx:SB89_09850
ko:K03589	cgx:SB89_09855
ko:K01924	cgx:SB89_09860
ko:K02563	cgx:SB89_09865
ko:K03588	cgx:SB89_09870
ko:K01925	cgx:SB89_09875
ko:K01000	cgx:SB89_09880
ko:K01929	cgx:SB89_09885
ko:K01928	cgx:SB89_09890
ko:K03587	cgx:SB89_09895
ko:K03438	cgx:SB89_09905
ko:K03925	cgx:SB89_09910
ko:K00297	cgx:SB89_09930
ko:K13787	cgx:SB89_09935
ko:K14337	cgx:SB89_09940
ko:K01626	cgx:SB89_09965
ko:K13671	cgx:SB89_09975
ko:K00655	cgx:SB89_09995
ko:K00845	cgx:SB89_10000
ko:K13668	cgx:SB89_10005
ko:K03891	cgx:SB89_10020
ko:K03890	cgx:SB89_10025
ko:K03889	cgx:SB89_10030
ko:K02276	cgx:SB89_10035
ko:K02275	cgx:SB89_10050
ko:K01953	cgx:SB89_10055
ko:K02231	cgx:SB89_10070
ko:K00768	cgx:SB89_10075
ko:K02233	cgx:SB89_10080
ko:K00826	cgx:SB89_10090
ko:K01255	cgx:SB89_10095
ko:K00658	cgx:SB89_10105
ko:K03801	cgx:SB89_10110
ko:K03644	cgx:SB89_10115
ko:K07085	cgx:SB89_10125
ko:K01915	cgx:SB89_10135
ko:K01733	cgx:SB89_10165
ko:K00982	cgx:SB89_10195
ko:K01915	cgx:SB89_10200
ko:K00849	cgx:SB89_10220
ko:K18104	cgx:SB89_10250
ko:K07164	cgx:SB89_10270
ko:K01104	cgx:SB89_10285
ko:K00163	cgx:SB89_10320
ko:K05833	cgx:SB89_10325
ko:K05832	cgx:SB89_10330
ko:K01989	cgx:SB89_10335
ko:K02078	cgx:SB89_10355
ko:K02566	cgx:SB89_10360
ko:K01113	cgx:SB89_10470
ko:K00820	cgx:SB89_10510
ko:K01129	cgx:SB89_10520
ko:K01880	cgx:SB89_10555
ko:K03711	cgx:SB89_10565
ko:K00806	cgx:SB89_10580
ko:K03584	cgx:SB89_10585
ko:K07042	cgx:SB89_10600
ko:K09761	cgx:SB89_10610
ko:K03686	cgx:SB89_10615
ko:K03705	cgx:SB89_10620
ko:K00705	cgx:SB89_10650
ko:K06147	cgx:SB89_10655
ko:K01284	cgx:SB89_10665
ko:K05343	cgx:SB89_10675
ko:K16146	cgx:SB89_10680
ko:K01823	cgx:SB89_10685
ko:K14155	cgx:SB89_10705
ko:K03311	cgx:SB89_10710
ko:K07088	cgx:SB89_10730
ko:K02035	cgx:SB89_10760
ko:K02033	cgx:SB89_10765
ko:K02034	cgx:SB89_10770
ko:K02031	cgx:SB89_10775
ko:K02032	cgx:SB89_10775
ko:K01975	cgx:SB89_10780
ko:K00852	cgx:SB89_10785
ko:K03453	cgx:SB89_10795
ko:K01792	cgx:SB89_10800
ko:K00135	cgx:SB89_12785
ko:K01638	cgx:SB89_10805
ko:K01637	cgx:SB89_10810
ko:K03596	cgx:SB89_10865
ko:K02968	cgx:SB89_10875
ko:K02340	cgx:SB89_10890
ko:K02237	cgx:SB89_10900
ko:K09710	cgx:SB89_10915
ko:K00969	cgx:SB89_10920
ko:K00147	cgx:SB89_10930
ko:K00931	cgx:SB89_10940
ko:K03979	cgx:SB89_10945
ko:K06221	cgx:SB89_10955
ko:K02899	cgx:SB89_10970
ko:K02888	cgx:SB89_10975
ko:K06911	cgx:SB89_10990
ko:K00940	cgx:SB89_11000
ko:K11754	cgx:SB89_11025
ko:K01873	cgx:SB89_11030
ko:K15580	cgx:SB89_11035
ko:K06966	cgx:SB89_11045
ko:K00024	cgx:SB89_11050
ko:K07088	cgx:SB89_11080
ko:K03544	cgx:SB89_11085
ko:K01029	cgx:SB89_11095
ko:K01028	cgx:SB89_11100
ko:K02624	cgx:SB89_11105
ko:K00626	cgx:SB89_11110
ko:K01055	cgx:SB89_11115
ko:K06886	cgx:SB89_11120
ko:K01607	cgx:SB89_11125
ko:K01857	cgx:SB89_11130
ko:K00448	cgx:SB89_11135
ko:K00449	cgx:SB89_11140
ko:K03464	cgx:SB89_11150
ko:K01856	cgx:SB89_11155
ko:K03381	cgx:SB89_11160
ko:K05549	cgx:SB89_11165
ko:K05550	cgx:SB89_11170
ko:K05784	cgx:SB89_11175
ko:K05783	cgx:SB89_11180
ko:K05548	cgx:SB89_11190
ko:K05782	cgx:SB89_11195
ko:K01358	cgx:SB89_11200
ko:K01358	cgx:SB89_11205
ko:K03545	cgx:SB89_11210
ko:K01808	cgx:SB89_11260
ko:K01256	cgx:SB89_11275
ko:K07729	cgx:SB89_11290
ko:K02031	cgx:SB89_11305
ko:K02032	cgx:SB89_11305
ko:K02034	cgx:SB89_11310
ko:K02033	cgx:SB89_11315
ko:K02035	cgx:SB89_11320
ko:K15372	cgx:SB89_11330
ko:K03975	cgx:SB89_11340
ko:K01739	cgx:SB89_11355
ko:K02013	cgx:SB89_11360
ko:K06886	cgx:SB89_11370
ko:K07240	cgx:SB89_11375
ko:K07107	cgx:SB89_11385
ko:K03111	cgx:SB89_11405
ko:K02351	cgx:SB89_11410
ko:K07245	cgx:SB89_11410
ko:K10119	cgx:SB89_11440
ko:K10118	cgx:SB89_11445
ko:K10117	cgx:SB89_11450
ko:K10112	cgx:SB89_11460
ko:K00721	cgx:SB89_11465
ko:K00055	cgx:SB89_11490
ko:K06864	cgx:SB89_11515
ko:K06898	cgx:SB89_11520
ko:K07124	cgx:SB89_11535
ko:K07214	cgx:SB89_11545
ko:K01425	cgx:SB89_11590
ko:K02529	cgx:SB89_11595
ko:K01812	cgx:SB89_11605
ko:K00851	cgx:SB89_11610
ko:K08281	cgx:SB89_11620
ko:K03564	cgx:SB89_11630
ko:K00997	cgx:SB89_11640
ko:K18926	cgx:SB89_11645
ko:K11533	cgx:SB89_11670
ko:K00019	cgx:SB89_11680
ko:K02428	cgx:SB89_11740
ko:K00989	cgx:SB89_11745
ko:K01776	cgx:SB89_11760
ko:K06891	cgx:SB89_11790
ko:K00763	cgx:SB89_11800
ko:K01079	cgx:SB89_11820
ko:K02274	cgx:SB89_11825
ko:K10843	cgx:SB89_04330
ko:K03704	cgx:SB89_04350
ko:K06901	cgx:SB89_04370
ko:K00831	cgx:SB89_04390
ko:K01647	cgx:SB89_04395
ko:K01962	cgx:SB89_04405
ko:K01963	cgx:SB89_04405
ko:K14393	cgx:SB89_04415
ko:K11533	cgx:SB89_04430
ko:K00641	cgx:SB89_04445
ko:K18917	cgx:SB89_04465
ko:K01082	cgx:SB89_04480
ko:K03724	cgx:SB89_04485
ko:K05522	cgx:SB89_04490
ko:K03449	cgx:SB89_04505
ko:K01810	cgx:SB89_04510
ko:K04093	cgx:SB89_04520
ko:K03657	cgx:SB89_04525
ko:K02004	cgx:SB89_04530
ko:K02003	cgx:SB89_04535
ko:K11175	cgx:SB89_04560
ko:K00602	cgx:SB89_04565
ko:K01644	cgx:SB89_04570
ko:K02963	cgx:SB89_04585
ko:K02954	cgx:SB89_04590
ko:K02913	cgx:SB89_04595
ko:K02902	cgx:SB89_04600
ko:K03321	cgx:SB89_04605
ko:K02909	cgx:SB89_04615
ko:K02911	cgx:SB89_04620
ko:K07669	cgx:SB89_04625
ko:K07653	cgx:SB89_04630
ko:K08372	cgx:SB89_04635
ko:K03282	cgx:SB89_04645
ko:K01934	cgx:SB89_04655
ko:K00963	cgx:SB89_04660
ko:K03750	cgx:SB89_04665
ko:K03790	cgx:SB89_04670
ko:K03449	cgx:SB89_04680
ko:K15977	cgx:SB89_04685
ko:K07056	cgx:SB89_04705
ko:K01874	cgx:SB89_04715
ko:K03654	cgx:SB89_04720
ko:K03777	cgx:SB89_04755
ko:K07316	cgx:SB89_04765
ko:K03424	cgx:SB89_04790
ko:K02528	cgx:SB89_04800
ko:K00919	cgx:SB89_04805
ko:K00868	cgx:SB89_04815
ko:K06994	cgx:SB89_04870
ko:K02553	cgx:SB89_04875
ko:K02837	cgx:SB89_04895
ko:K11959	cgx:SB89_04900
ko:K11960	cgx:SB89_04905
ko:K11961	cgx:SB89_04910
ko:K11962	cgx:SB89_04915
ko:K01056	cgx:SB89_04925
ko:K00459	cgx:SB89_04930
ko:K00134	cgx:SB89_04935
ko:K01056	cgx:SB89_04940
ko:K02897	cgx:SB89_04945
ko:K07032	cgx:SB89_04950
ko:K00948	cgx:SB89_04960
ko:K04042	cgx:SB89_04965
ko:K01990	cgx:SB89_04980
ko:K01992	cgx:SB89_04985
ko:K07778	cgx:SB89_04990
ko:K07693	cgx:SB89_04995
ko:K07058	cgx:SB89_05000
ko:K00681	cgx:SB89_05020
ko:K18320	cgx:SB89_05035
ko:K03723	cgx:SB89_05065
ko:K06147	cgx:SB89_05070
ko:K06147	cgx:SB89_05075
ko:K03758	cgx:SB89_05090
ko:K02428	cgx:SB89_05100
ko:K01689	cgx:SB89_05120
ko:K09009	cgx:SB89_05130
ko:K01524	cgx:SB89_05135
ko:K03624	cgx:SB89_05175
ko:K18455	cgx:SB89_05185
ko:K01626	cgx:SB89_05195
ko:K12503	cgx:SB89_05200
ko:K00867	cgx:SB89_05210
ko:K00600	cgx:SB89_05215
ko:K13950	cgx:SB89_05220
ko:K03823	cgx:SB89_05240
ko:K07160	cgx:SB89_05255
ko:K01679	cgx:SB89_05275
ko:K04091	cgx:SB89_05305
ko:K02446	cgx:SB89_05310
ko:K07114	cgx:SB89_05320
ko:K03602	cgx:SB89_05335
ko:K03601	cgx:SB89_05340
ko:K03527	cgx:SB89_05345
ko:K03308	cgx:SB89_05365
ko:K06942	cgx:SB89_05375
ko:K07552	cgx:SB89_05465
ko:K06287	cgx:SB89_03725
ko:K01966	cgx:SB89_03735
ko:K01966	cgx:SB89_03740
ko:K03524	cgx:SB89_03745
ko:K01589	cgx:SB89_03755
ko:K03549	cgx:SB89_03760
ko:K01588	cgx:SB89_03770
ko:K00059	cgx:SB89_03790
ko:K02026	cgx:SB89_03815
ko:K02025	cgx:SB89_03820
ko:K02027	cgx:SB89_03830
ko:K10112	cgx:SB89_03835
ko:K16870	cgx:SB89_03885
ko:K00966	cgx:SB89_03890
ko:K01840	cgx:SB89_03910
ko:K01809	cgx:SB89_03920
ko:K01251	cgx:SB89_03935
ko:K00943	cgx:SB89_03940
ko:K07670	cgx:SB89_03945
ko:K07654	cgx:SB89_03950
ko:K03070	cgx:SB89_03970
ko:K06949	cgx:SB89_03990
ko:K00800	cgx:SB89_03995
ko:K01524	cgx:SB89_02285
ko:K00286	cgx:SB89_02295
ko:K02492	cgx:SB89_02315
ko:K01749	cgx:SB89_02320
ko:K00457	cgx:SB89_02340
ko:K03786	cgx:SB89_02345
ko:K00014	cgx:SB89_02350
ko:K02010	cgx:SB89_02360
ko:K02011	cgx:SB89_02365
ko:K02012	cgx:SB89_02370
ko:K13542	cgx:SB89_02375
ko:K01698	cgx:SB89_02385
ko:K01599	cgx:SB89_02405
ko:K00231	cgx:SB89_02410
ko:K01845	cgx:SB89_02415
ko:K06196	cgx:SB89_02430
ko:K07399	cgx:SB89_02435
ko:K02548	cgx:SB89_02470
ko:K01911	cgx:SB89_02480
ko:K15977	cgx:SB89_02485
ko:K01207	cgx:SB89_13435
ko:K16648	cgx:SB89_13450
ko:K01596	cgx:SB89_13490
ko:K03439	cgx:SB89_13500
ko:K06860	cgx:SB89_13505
ko:K12437	cgx:SB89_13535
ko:K12428	cgx:SB89_13540
ko:K13687	cgx:SB89_13570
ko:K14136	cgx:SB89_13575
ko:K16650	cgx:SB89_13585
ko:K07222	cgx:SB89_13605
ko:K01854	cgx:SB89_13610
ko:K00864	cgx:SB89_13620
ko:K01875	cgx:SB89_13635
ko:K03710	cgx:SB89_13640
ko:K04518	cgx:SB89_13665
ko:K01126	cgx:SB89_13710
ko:K03299	cgx:SB89_13715
ko:K01707	cgx:SB89_02495
ko:K18700	cgx:SB89_02515
ko:K03306	cgx:SB89_02530
ko:K01661	cgx:SB89_02540
ko:K01724	cgx:SB89_02545
ko:K05995	cgx:SB89_02550
ko:K02549	cgx:SB89_02555
ko:K02551	cgx:SB89_02560
ko:K03073	cgx:SB89_02620
ko:K03088	cgx:SB89_04010
ko:K02878	cgx:SB89_02805
ko:K02904	cgx:SB89_02810
ko:K02961	cgx:SB89_02815
ko:K02874	cgx:SB89_02830
ko:K02895	cgx:SB89_02835
ko:K02931	cgx:SB89_02840
ko:K02379	cgx:SB89_02860
ko:K16927	cgx:SB89_02880
ko:K16786	cgx:SB89_02885
ko:K16787	cgx:SB89_02885
ko:K16785	cgx:SB89_02890
ko:K02994	cgx:SB89_02910
ko:K02933	cgx:SB89_02915
ko:K02881	cgx:SB89_02920
ko:K02988	cgx:SB89_02925
ko:K02907	cgx:SB89_02930
ko:K02876	cgx:SB89_02935
ko:K00140	cgx:SB89_02940
ko:K04755	cgx:SB89_02980
ko:K03076	cgx:SB89_03010
ko:K00939	cgx:SB89_03015
ko:K01265	cgx:SB89_03020
ko:K02518	cgx:SB89_03030
ko:K02952	cgx:SB89_03035
ko:K02948	cgx:SB89_03040
ko:K02986	cgx:SB89_03045
ko:K03040	cgx:SB89_03050
ko:K02879	cgx:SB89_03055
ko:K06173	cgx:SB89_03060
ko:K00574	cgx:SB89_03080
ko:K03466	cgx:SB89_03100
ko:K12583	cgx:SB89_02570
ko:K11737	cgx:SB89_02575
ko:K03183	cgx:SB89_02580
ko:K00805	cgx:SB89_02590
ko:K02601	cgx:SB89_02625
ko:K03521	cgx:SB89_06395
ko:K03522	cgx:SB89_06400
ko:K04487	cgx:SB89_06405
ko:K07154	cgx:SB89_06415
ko:K03824	cgx:SB89_06425
ko:K00566	cgx:SB89_06445
ko:K02342	cgx:SB89_06460
ko:K01972	cgx:SB89_06465
ko:K02435	cgx:SB89_06475
ko:K02433	cgx:SB89_06480
ko:K02529	cgx:SB89_06500
ko:K02016	cgx:SB89_06520
ko:K03453	cgx:SB89_06525
ko:K02434	cgx:SB89_06530
ko:K06988	cgx:SB89_06535
ko:K06895	cgx:SB89_06545
ko:K05596	cgx:SB89_06550
ko:K07393	cgx:SB89_06555
ko:K01687	cgx:SB89_06570
ko:K01652	cgx:SB89_06585
ko:K01653	cgx:SB89_06590
ko:K00053	cgx:SB89_06595
ko:K15578	cgx:SB89_06600
ko:K15578	cgx:SB89_06605
ko:K15576	cgx:SB89_06610
ko:K16264	cgx:SB89_06635
ko:K00058	cgx:SB89_06650
ko:K00052	cgx:SB89_06660
ko:K07182	cgx:SB89_06670
ko:K02867	cgx:SB89_02630
ko:K02217	cgx:SB89_11850
ko:K03647	cgx:SB89_11875
ko:K02919	cgx:SB89_11885
ko:K01916	cgx:SB89_11890
ko:K01835	cgx:SB89_11920
ko:K02004	cgx:SB89_11950
ko:K02003	cgx:SB89_11955
ko:K00790	cgx:SB89_12005
ko:K01738	cgx:SB89_12020
ko:K00640	cgx:SB89_12025
ko:K06975	cgx:SB89_12030
ko:K01902	cgx:SB89_12045
ko:K01903	cgx:SB89_12050
ko:K18118	cgx:SB89_12080
ko:K02039	cgx:SB89_12090
ko:K02036	cgx:SB89_12095
ko:K02038	cgx:SB89_12100
ko:K02037	cgx:SB89_12105
ko:K02040	cgx:SB89_12110
ko:K15520	cgx:SB89_12115
ko:K13288	cgx:SB89_11540
ko:K19126	cgx:SB89_01805
ko:K01239	cgx:SB89_09010
ko:K01066	cgx:SB89_00650
ko:K19265	cgx:SB89_06540
ko:K00020	cgx:SB89_02945
ko:K01990	cgx:SB89_12950
ko:K16164	cgx:SB89_14490
ko:K19302	cgx:SB89_13595
ko:K03722	cgx:SB89_11805
ko:K01992	cgx:SB89_07510
ko:K14227	cgx:SB89_00070
ko:K14227	cgx:SB89_00130
ko:K07494	cgx:SB89_11685
ko:K12954	cgx:SB89_14110
ko:K19267	cgx:SB89_07085
ko:K07149	cgx:SB89_00035
ko:K07498	cgx:SB89_01715
ko:K07498	cgx:SB89_07645
ko:K07498	cgx:SB89_10540
ko:K07498	cgx:SB89_11660
ko:K00526	cgx:SB89_11845
ko:K06867	cgx:SB89_10885
ko:K02475	cgx:SB89_00385
ko:K06867	cgx:SB89_10635
ko:K02483	cgx:SB89_12530
ko:K01992	cgx:SB89_12945
ko:K06881	cgx:SB89_09040
ko:K19577	cgx:SB89_03545
ko:K11991	cgx:SB89_01210
ko:K18320	cgx:SB89_11705
ko:K18320	cgx:SB89_14050
ko:K18320	cgx:SB89_14250
ko:K19710	cgx:SB89_08540
ko:K10112	cgx:SB89_01160
ko:K01977	cgx:SB89_00415
ko:K01977	cgx:SB89_13925
ko:K01977	cgx:SB89_04305
ko:K01977	cgx:SB89_07260
ko:K01977	cgx:SB89_11970
ko:K01977	cgx:SB89_12000
ko:K14743	cgx:SB89_03090
ko:K00529	cgx:SB89_12765
ko:K01985	cgx:SB89_00425
ko:K01985	cgx:SB89_11960
ko:K01985	cgx:SB89_11990
ko:K01985	cgx:SB89_13915
ko:K01985	cgx:SB89_04315
ko:K01985	cgx:SB89_07270
ko:K14226	cgx:SB89_11425
ko:K00529	cgx:SB89_02975
ko:K09796	cgx:SB89_08555
ko:K12132	cgx:SB89_00220
ko:K12132	cgx:SB89_09950
ko:K12132	cgx:SB89_00225
ko:K20074	cgx:SB89_00240
ko:K01978	cgx:SB89_14850
ko:K20468	cgx:SB89_13515
ko:K20470	cgx:SB89_13510
ko:K14225	cgx:SB89_11235
ko:K01214	cgx:SB89_09640
ko:K14219	cgx:SB89_01180
ko:K14219	cgx:SB89_01195
ko:K14223	cgx:SB89_05055
ko:K14224	cgx:SB89_06730
ko:K14224	cgx:SB89_06740
ko:K14224	cgx:SB89_06745
ko:K20814	cgx:SB89_07720
ko:K00525	cgx:SB89_11870
ko:K21071	cgx:SB89_06495
ko:K01768	cgx:SB89_01680
ko:K00821	cgx:SB89_07210
ko:K21147	cgx:SB89_01120
ko:K21147	cgx:SB89_09330
ko:K14225	cgx:SB89_13420
ko:K02335	cgx:SB89_06990
ko:K18955	cgx:SB89_01520
ko:K02314	cgx:SB89_14285
ko:K18955	cgx:SB89_03215
ko:K00558	cgx:SB89_06025
ko:K07465	cgx:SB89_07740
ko:K01520	cgx:SB89_08655
ko:K03553	cgx:SB89_08905
ko:K03465	cgx:SB89_08985
ko:K02316	cgx:SB89_10495
ko:K06217	cgx:SB89_10605
ko:K00287	cgx:SB89_04470
ko:K00560	cgx:SB89_04475
ko:K18955	cgx:SB89_03895
ko:K18955	cgx:SB89_04015
ko:K06191	cgx:SB89_11880
ko:K02021	cgx:SB89_07855
ko:K01436	cgx:SB89_03630
ko:K22468	cgx:SB89_04835
ko:K16783	cgx:SB89_08930
ko:K03636	cgx:SB89_01155
ko:K21473	cgx:SB89_07930
ko:K21480	cgx:SB89_10190
ko:K05364	cgx:SB89_00230
ko:K21471	cgx:SB89_10010
ko:K21401	cgx:SB89_02585
ko:K21481	cgx:SB89_14345
ko:K21498	cgx:SB89_14480
ko:K21564	cgx:SB89_14230
ko:K21498	cgx:SB89_07745
ko:K10914	cgx:SB89_01580
ko:K21600	cgx:SB89_02175
ko:K21685	cgx:SB89_12015
ko:K21564	cgx:SB89_06105
ko:K00344	cgx:SB89_08075
ko:K14234	cgx:SB89_01690
ko:K21885	cgx:SB89_04780
ko:K21885	cgx:SB89_14885
ko:K14228	cgx:SB89_11725
ko:K21885	cgx:SB89_14175
ko:K21885	cgx:SB89_14115
ko:K14228	cgx:SB89_07865
ko:K14228	cgx:SB89_07860
ko:K21962	cgx:SB89_07945
ko:K14219	cgx:SB89_06125
ko:K14221	cgx:SB89_12040
ko:K14221	cgx:SB89_12055
ko:K22044	cgx:SB89_06580
ko:K22044	cgx:SB89_11365
ko:K14224	cgx:SB89_12060
ko:K14220	cgx:SB89_10475
ko:K14220	cgx:SB89_10480
ko:K14218	cgx:SB89_00075
ko:K14218	cgx:SB89_00125
ko:K14218	cgx:SB89_00135
ko:K01816	cgx:SB89_09650
ko:K01816	cgx:SB89_11530
ko:K03595	cgx:SB89_10590
ko:K14235	cgx:SB89_02615
ko:K14233	cgx:SB89_01175
ko:K14223	cgx:SB89_06725
ko:K14223	cgx:SB89_06735
ko:K14236	cgx:SB89_02595
ko:K14219	cgx:SB89_11415
ko:K03892	cgx:SB89_01425
ko:K03892	cgx:SB89_02455
ko:K14228	cgx:SB89_00255
ko:K14233	cgx:SB89_01220
ko:K14233	cgx:SB89_01285
ko:K14232	cgx:SB89_01500
ko:K04079	cgx:SB89_00520
ko:K22270	cgx:SB89_14510
ko:K14219	cgx:SB89_04455
ko:K14237	cgx:SB89_10305
ko:K14230	cgx:SB89_10465
ko:K14230	cgx:SB89_04125
ko:K14230	cgx:SB89_04255
ko:K14234	cgx:SB89_02600
ko:K14234	cgx:SB89_02605
ko:K14228	cgx:SB89_05140
ko:K14229	cgx:SB89_11555
ko:K14229	cgx:SB89_11560
ko:K14229	cgx:SB89_12075
ko:K14234	cgx:SB89_12365
ko:K14222	cgx:SB89_08575
ko:K14232	cgx:SB89_11215
ko:K14230	cgx:SB89_02610
ko:K14232	cgx:SB89_07415
ko:K17758	cgx:SB89_03195
ko:K17759	cgx:SB89_03195
ko:K22316	cgx:SB89_10265
ko:K22306	cgx:SB89_10910
ko:K02257	cgx:SB89_08080
ko:K14233	cgx:SB89_01095
ko:K22311	cgx:SB89_08530
ko:K11206	cgx:SB89_13145
ko:K22476	cgx:SB89_12915
ko:K00728	cgx:SB89_04700
ko:K22468	cgx:SB89_12790
ko:K08300	cgx:SB89_10980
ko:K08301	cgx:SB89_10980
ko:K07566	cgx:SB89_06255
ko:K01007	cgx:SB89_02990
