ko:K04042	bmt:BSUIS_B0579
ko:K00794	bmt:BSUIS_A0803
ko:K00167	bmt:BSUIS_B0520
ko:K03625	bmt:BSUIS_A0804
ko:K03621	bmt:BSUIS_A0810
ko:K04764	bmt:BSUIS_A0812
ko:K00330	bmt:BSUIS_A0841
ko:K04565	bmt:BSUIS_B0688
ko:K13747	bmt:BSUIS_A0365
ko:K01738	bmt:BSUIS_A1807
ko:K00647	bmt:BSUIS_A2009
ko:K01644	bmt:BSUIS_B0171
ko:K09691	bmt:BSUIS_A0550
ko:K09690	bmt:BSUIS_A0551
ko:K01711	bmt:BSUIS_A0553
ko:K07735	bmt:BSUIS_A0507
ko:K03790	bmt:BSUIS_A0509
ko:K01733	bmt:BSUIS_A0511
ko:K03281	bmt:BSUIS_A0517
ko:K03529	bmt:BSUIS_A0525
ko:K06996	bmt:BSUIS_A0527
ko:K01006	bmt:BSUIS_A0528
ko:K03523	bmt:BSUIS_A0534
ko:K07127	bmt:BSUIS_A0536
ko:K11175	bmt:BSUIS_A0740
ko:K00939	bmt:BSUIS_A0757
ko:K03704	bmt:BSUIS_A1571
ko:K07638	bmt:BSUIS_A1579
ko:K06878	bmt:BSUIS_A1582
ko:K00773	bmt:BSUIS_A1020
ko:K03642	bmt:BSUIS_A1034
ko:K07258	bmt:BSUIS_A1035
ko:K00943	bmt:BSUIS_A1036
ko:K06167	bmt:BSUIS_A1041
ko:K06179	bmt:BSUIS_A1043
ko:K01807	bmt:BSUIS_A1053
ko:K09924	bmt:BSUIS_A1054
ko:K00383	bmt:BSUIS_A1055
ko:K01626	bmt:BSUIS_A1056
ko:K01885	bmt:BSUIS_A1059
ko:K02066	bmt:BSUIS_A1062
ko:K02065	bmt:BSUIS_A1063
ko:K02067	bmt:BSUIS_A1064
ko:K00384	bmt:BSUIS_A1070
ko:K01735	bmt:BSUIS_A1869
ko:K00891	bmt:BSUIS_A1870
ko:K09815	bmt:BSUIS_B1349
ko:K09817	bmt:BSUIS_B1350
ko:K09816	bmt:BSUIS_B1351
ko:K09823	bmt:BSUIS_B1352
ko:K02400	bmt:BSUIS_B1359
ko:K02420	bmt:BSUIS_B1360
ko:K02389	bmt:BSUIS_B1361
ko:K01993	bmt:BSUIS_B0464
ko:K02050	bmt:BSUIS_B0468
ko:K02049	bmt:BSUIS_B0469
ko:K02051	bmt:BSUIS_B0470
ko:K03885	bmt:BSUIS_B0479
ko:K07230	bmt:BSUIS_B0386
ko:K07243	bmt:BSUIS_B0388
ko:K00014	bmt:BSUIS_B0400
ko:K01999	bmt:BSUIS_B0403
ko:K01714	bmt:BSUIS_B0409
ko:K02034	bmt:BSUIS_B0410
ko:K01480	bmt:BSUIS_A1797
ko:K01724	bmt:BSUIS_A0085
ko:K01975	bmt:BSUIS_A0087
ko:K02003	bmt:BSUIS_A0089
ko:K03823	bmt:BSUIS_A0093
ko:K04080	bmt:BSUIS_B0055
ko:K00266	bmt:BSUIS_B0059
ko:K09795	bmt:BSUIS_B0061
ko:K03196	bmt:BSUIS_B0063
ko:K03195	bmt:BSUIS_B0064
ko:K03204	bmt:BSUIS_B0065
ko:K03203	bmt:BSUIS_B0066
ko:K03200	bmt:BSUIS_B0069
ko:K03199	bmt:BSUIS_B0070
ko:K03194	bmt:BSUIS_B0073
ko:K07340	bmt:BSUIS_B0079
ko:K01772	bmt:BSUIS_B0081
ko:K00808	bmt:BSUIS_B0083
ko:K01665	bmt:BSUIS_B0085
ko:K08602	bmt:BSUIS_B0086
ko:K07146	bmt:BSUIS_B0091
ko:K07402	bmt:BSUIS_A0382
ko:K02064	bmt:BSUIS_B1234
ko:K02063	bmt:BSUIS_B1235
ko:K03089	bmt:BSUIS_B1239
ko:K04762	bmt:BSUIS_B1245
ko:K02911	bmt:BSUIS_B1251
ko:K00795	bmt:BSUIS_B1253
ko:K01999	bmt:BSUIS_B1258
ko:K01999	bmt:BSUIS_B1262
ko:K01995	bmt:BSUIS_B1265
ko:K00285	bmt:BSUIS_B1269
ko:K02033	bmt:BSUIS_B0411
ko:K02035	bmt:BSUIS_B0412
ko:K02377	bmt:BSUIS_B0421
ko:K02200	bmt:BSUIS_A0637
ko:K02197	bmt:BSUIS_A0638
ko:K02198	bmt:BSUIS_A0639
ko:K02200	bmt:BSUIS_A0640
ko:K00982	bmt:BSUIS_A0644
ko:K07716	bmt:BSUIS_A0646
ko:K01256	bmt:BSUIS_A0647
ko:K00311	bmt:BSUIS_A0651
ko:K01241	bmt:BSUIS_A0653
ko:K00817	bmt:BSUIS_A0663
ko:K01714	bmt:BSUIS_A0674
ko:K03664	bmt:BSUIS_A0675
ko:K02048	bmt:BSUIS_A0111
ko:K02046	bmt:BSUIS_A0113
ko:K02047	bmt:BSUIS_A0114
ko:K02045	bmt:BSUIS_A0115
ko:K00763	bmt:BSUIS_A0117
ko:K00847	bmt:BSUIS_A0120
ko:K03684	bmt:BSUIS_A0125
ko:K02836	bmt:BSUIS_A0958
ko:K03564	bmt:BSUIS_A0964
ko:K01866	bmt:BSUIS_A0966
ko:K09001	bmt:BSUIS_A0967
ko:K07018	bmt:BSUIS_A0969
ko:K09014	bmt:BSUIS_A0971
ko:K09013	bmt:BSUIS_A0972
ko:K09015	bmt:BSUIS_A0973
ko:K00406	bmt:BSUIS_A0391
ko:K00405	bmt:BSUIS_A0393
ko:K00404	bmt:BSUIS_A0394
ko:K03977	bmt:BSUIS_A0406
ko:K04046	bmt:BSUIS_A0407
ko:K02108	bmt:BSUIS_A0410
ko:K00919	bmt:BSUIS_A0420
ko:K03313	bmt:BSUIS_A0423
ko:K02523	bmt:BSUIS_A0427
ko:K01878	bmt:BSUIS_A0429
ko:K01879	bmt:BSUIS_A0430
ko:K07566	bmt:BSUIS_A0431
ko:K07478	bmt:BSUIS_A1254
ko:K02879	bmt:BSUIS_A1256
ko:K02952	bmt:BSUIS_A1259
ko:K00616	bmt:BSUIS_B1282
ko:K01869	bmt:BSUIS_B1284
ko:K06997	bmt:BSUIS_B1285
ko:K03799	bmt:BSUIS_B1291
ko:K06902	bmt:BSUIS_B1295
ko:K08988	bmt:BSUIS_B1298
ko:K06872	bmt:BSUIS_B1299
ko:K03744	bmt:BSUIS_B1300
ko:K02959	bmt:BSUIS_B1302
ko:K03106	bmt:BSUIS_B1304
ko:K00140	bmt:BSUIS_B1309
ko:K08311	bmt:BSUIS_B1314
ko:K03797	bmt:BSUIS_B1315
ko:K00969	bmt:BSUIS_B1320
ko:K00147	bmt:BSUIS_B1321
ko:K00931	bmt:BSUIS_B1322
ko:K02899	bmt:BSUIS_B1326
ko:K06996	bmt:BSUIS_B0481
ko:K03310	bmt:BSUIS_B0483
ko:K00651	bmt:BSUIS_B0486
ko:K01465	bmt:BSUIS_A0696
ko:K01649	bmt:BSUIS_A0707
ko:K00097	bmt:BSUIS_A0711
ko:K03771	bmt:BSUIS_A0712
ko:K04744	bmt:BSUIS_A0713
ko:K02339	bmt:BSUIS_A0718
ko:K06158	bmt:BSUIS_A0720
ko:K00940	bmt:BSUIS_A0722
ko:K09914	bmt:BSUIS_A0723
ko:K00788	bmt:BSUIS_A0213
ko:K03154	bmt:BSUIS_A0215
ko:K05846	bmt:BSUIS_A0222
ko:K05846	bmt:BSUIS_A0224
ko:K00304	bmt:BSUIS_A0230
ko:K02025	bmt:BSUIS_A0236
ko:K02026	bmt:BSUIS_A0237
ko:K03534	bmt:BSUIS_A0240
ko:K09803	bmt:BSUIS_A1019
ko:K00151	bmt:BSUIS_B1391
ko:K09472	bmt:BSUIS_B1401
ko:K01999	bmt:BSUIS_B1403
ko:K01997	bmt:BSUIS_B1405
ko:K01995	bmt:BSUIS_B1406
ko:K01998	bmt:BSUIS_B1406
ko:K01996	bmt:BSUIS_B1407
ko:K03710	bmt:BSUIS_B1410
ko:K02026	bmt:BSUIS_B1412
ko:K02025	bmt:BSUIS_B1413
ko:K02051	bmt:BSUIS_B1417
ko:K02049	bmt:BSUIS_B1418
ko:K02050	bmt:BSUIS_B1419
ko:K01999	bmt:BSUIS_B1423
ko:K01997	bmt:BSUIS_B1424
ko:K01998	bmt:BSUIS_B1425
ko:K01995	bmt:BSUIS_B1426
ko:K01996	bmt:BSUIS_B1427
ko:K02888	bmt:BSUIS_B1327
ko:K01599	bmt:BSUIS_A1907
ko:K09773	bmt:BSUIS_A1908
ko:K06287	bmt:BSUIS_A1909
ko:K00014	bmt:BSUIS_A1910
ko:K00859	bmt:BSUIS_A1911
ko:K03071	bmt:BSUIS_A1913
ko:K07113	bmt:BSUIS_A1914
ko:K08304	bmt:BSUIS_A1916
ko:K01693	bmt:BSUIS_A1923
ko:K01997	bmt:BSUIS_B0633
ko:K01995	bmt:BSUIS_B0636
ko:K01996	bmt:BSUIS_B0637
ko:K01486	bmt:BSUIS_B0638
ko:K05814	bmt:BSUIS_B0641
ko:K05815	bmt:BSUIS_B0642
ko:K05816	bmt:BSUIS_B0643
ko:K06901	bmt:BSUIS_B0646
ko:K07077	bmt:BSUIS_B0656
ko:K02016	bmt:BSUIS_B0660
ko:K02015	bmt:BSUIS_B0661
ko:K02015	bmt:BSUIS_B0662
ko:K02013	bmt:BSUIS_B0663
ko:K02427	bmt:BSUIS_B0670
ko:K02011	bmt:BSUIS_B0684
ko:K02012	bmt:BSUIS_B0685
ko:K06601	bmt:BSUIS_B1362
ko:K03831	bmt:BSUIS_B0495
ko:K07078	bmt:BSUIS_B0496
ko:K05560	bmt:BSUIS_B0499
ko:K05561	bmt:BSUIS_B0500
ko:K05562	bmt:BSUIS_B0501
ko:K05563	bmt:BSUIS_B0502
ko:K00426	bmt:BSUIS_B0508
ko:K03710	bmt:BSUIS_B0510
ko:K00382	bmt:BSUIS_B0522
ko:K08369	bmt:BSUIS_B0528
ko:K00012	bmt:BSUIS_B0541
ko:K03642	bmt:BSUIS_A1974
ko:K09790	bmt:BSUIS_A1976
ko:K02040	bmt:BSUIS_A1977
ko:K02037	bmt:BSUIS_A1978
ko:K02038	bmt:BSUIS_A1979
ko:K02036	bmt:BSUIS_A1980
ko:K02039	bmt:BSUIS_A1981
ko:K02395	bmt:BSUIS_A0256
ko:K09862	bmt:BSUIS_A0270
ko:K06287	bmt:BSUIS_A0271
ko:K02518	bmt:BSUIS_A0272
ko:K01429	bmt:BSUIS_A0292
ko:K01673	bmt:BSUIS_B0780
ko:K06602	bmt:BSUIS_B1363
ko:K02397	bmt:BSUIS_B1364
ko:K02396	bmt:BSUIS_B1365
ko:K02390	bmt:BSUIS_B1366
ko:K02557	bmt:BSUIS_B1371
ko:K02406	bmt:BSUIS_B1374
ko:K10543	bmt:BSUIS_B1379
ko:K10544	bmt:BSUIS_B1381
ko:K02342	bmt:BSUIS_B0621
ko:K00285	bmt:BSUIS_B0626
ko:K05810	bmt:BSUIS_A1589
ko:K00948	bmt:BSUIS_A1592
ko:K06915	bmt:BSUIS_A1593
ko:K02897	bmt:BSUIS_A1594
ko:K06942	bmt:BSUIS_A1596
ko:K00759	bmt:BSUIS_A1599
ko:K00413	bmt:BSUIS_A1600
ko:K00412	bmt:BSUIS_A1601
ko:K00411	bmt:BSUIS_A1602
ko:K03216	bmt:BSUIS_A1605
ko:K03824	bmt:BSUIS_A1609
ko:K09986	bmt:BSUIS_A1613
ko:K03924	bmt:BSUIS_A1614
ko:K07393	bmt:BSUIS_A1619
ko:K01004	bmt:BSUIS_B0568
ko:K03185	bmt:BSUIS_B0569
ko:K02035	bmt:BSUIS_B0572
ko:K01989	bmt:BSUIS_A1895
ko:K05832	bmt:BSUIS_A1896
ko:K05833	bmt:BSUIS_A1897
ko:K03650	bmt:BSUIS_A1903
ko:K06888	bmt:BSUIS_A1904
ko:K01428	bmt:BSUIS_A0293
ko:K09969	bmt:BSUIS_B0940
ko:K01999	bmt:BSUIS_B0945
ko:K01995	bmt:BSUIS_B0946
ko:K09159	bmt:BSUIS_B0576
ko:K06196	bmt:BSUIS_B0580
ko:K02433	bmt:BSUIS_B0591
ko:K09456	bmt:BSUIS_B0595
ko:K08591	bmt:BSUIS_B0598
ko:K04096	bmt:BSUIS_B0599
ko:K02913	bmt:BSUIS_B0606
ko:K06140	bmt:BSUIS_B0611
ko:K09969	bmt:BSUIS_A0776
ko:K05592	bmt:BSUIS_A0129
ko:K03579	bmt:BSUIS_A0132
ko:K01867	bmt:BSUIS_A0143
ko:K01996	bmt:BSUIS_B0947
ko:K01997	bmt:BSUIS_B0948
ko:K01998	bmt:BSUIS_B0949
ko:K07043	bmt:BSUIS_B0836
ko:K01624	bmt:BSUIS_B0864
ko:K03841	bmt:BSUIS_B0865
ko:K01251	bmt:BSUIS_A1939
ko:K03671	bmt:BSUIS_A1945
ko:K01817	bmt:BSUIS_A1951
ko:K07043	bmt:BSUIS_A1953
ko:K05782	bmt:BSUIS_A1955
ko:K02520	bmt:BSUIS_A1957
ko:K02916	bmt:BSUIS_A1959
ko:K02887	bmt:BSUIS_A1960
ko:K01591	bmt:BSUIS_A1968
ko:K01920	bmt:BSUIS_A1971
ko:K07391	bmt:BSUIS_A1972
ko:K06953	bmt:BSUIS_B0817
ko:K05838	bmt:BSUIS_B0885
ko:K06886	bmt:BSUIS_B0891
ko:K01750	bmt:BSUIS_B0892
ko:K06959	bmt:BSUIS_B0897
ko:K01443	bmt:BSUIS_B0904
ko:K03710	bmt:BSUIS_B0906
ko:K00101	bmt:BSUIS_B0912
ko:K01775	bmt:BSUIS_B0915
ko:K00285	bmt:BSUIS_B0916
ko:K00822	bmt:BSUIS_B0918
ko:K05836	bmt:BSUIS_B0919
ko:K01468	bmt:BSUIS_B0922
ko:K01745	bmt:BSUIS_B0923
ko:K01712	bmt:BSUIS_B0925
ko:K09975	bmt:BSUIS_B0926
ko:K00824	bmt:BSUIS_B0927
ko:K10547	bmt:BSUIS_B0928
ko:K10548	bmt:BSUIS_B0929
ko:K10546	bmt:BSUIS_B0930
ko:K00883	bmt:BSUIS_B0932
ko:K01687	bmt:BSUIS_B0933
ko:K00035	bmt:BSUIS_B0934
ko:K00566	bmt:BSUIS_A1646
ko:K06975	bmt:BSUIS_A1649
ko:K11074	bmt:BSUIS_A1665
ko:K11075	bmt:BSUIS_A1666
ko:K11076	bmt:BSUIS_A1667
ko:K11073	bmt:BSUIS_A1668
ko:K07110	bmt:BSUIS_A1669
ko:K01637	bmt:BSUIS_A1670
ko:K00648	bmt:BSUIS_B0488
ko:K01935	bmt:BSUIS_B0490
ko:K01012	bmt:BSUIS_B0492
ko:K00252	bmt:BSUIS_A1132
ko:K01523	bmt:BSUIS_A1928
ko:K00867	bmt:BSUIS_A1929
ko:K02509	bmt:BSUIS_B1388
ko:K03789	bmt:BSUIS_A1989
ko:K02529	bmt:BSUIS_A1891
ko:K11079	bmt:BSUIS_B1101
ko:K11077	bmt:BSUIS_B1099
ko:K02431	bmt:BSUIS_A1389
ko:K03466	bmt:BSUIS_B0526
ko:K02622	bmt:BSUIS_B0588
ko:K00564	bmt:BSUIS_A2007
ko:K04047	bmt:BSUIS_A1987
ko:K02057	bmt:BSUIS_B0565
ko:K01759	bmt:BSUIS_A1317
ko:K01759	bmt:BSUIS_A0059
ko:K01874	bmt:BSUIS_A1039
ko:K04518	bmt:BSUIS_A0040
ko:K01847	bmt:BSUIS_A1238
ko:K00020	bmt:BSUIS_A1365
ko:K02619	bmt:BSUIS_B0084
ko:K07090	bmt:BSUIS_A1749
ko:K00029	bmt:BSUIS_A1060
ko:K07090	bmt:BSUIS_B0655
ko:K07090	bmt:BSUIS_A1353
ko:K07090	bmt:BSUIS_B1409
ko:K01895	bmt:BSUIS_B1289
ko:K02488	bmt:BSUIS_B0607
ko:K03320	bmt:BSUIS_A1736
ko:K03185	bmt:BSUIS_A1739
ko:K01999	bmt:BSUIS_A0014
ko:K01640	bmt:BSUIS_A0018
ko:K01968	bmt:BSUIS_A0019
ko:K00800	bmt:BSUIS_A0027
ko:K00945	bmt:BSUIS_A0028
ko:K06187	bmt:BSUIS_A0034
ko:K09747	bmt:BSUIS_A0035
ko:K02343	bmt:BSUIS_A0036
ko:K00979	bmt:BSUIS_A0041
ko:K08738	bmt:BSUIS_A0042
ko:K02297	bmt:BSUIS_A0045
ko:K02298	bmt:BSUIS_A0046
ko:K02299	bmt:BSUIS_A0047
ko:K02968	bmt:BSUIS_A2023
ko:K00852	bmt:BSUIS_B0007
ko:K00216	bmt:BSUIS_B0015
ko:K02363	bmt:BSUIS_B0017
ko:K02364	bmt:BSUIS_B0019
ko:K03088	bmt:BSUIS_B0023
ko:K01999	bmt:BSUIS_B0026
ko:K03577	bmt:BSUIS_A0315
ko:K03585	bmt:BSUIS_A0317
ko:K07636	bmt:BSUIS_A0324
ko:K04083	bmt:BSUIS_A0329
ko:K06195	bmt:BSUIS_A0330
ko:K01494	bmt:BSUIS_A0334
ko:K00154	bmt:BSUIS_B1054
ko:K06131	bmt:BSUIS_B1056
ko:K03688	bmt:BSUIS_B1060
ko:K03183	bmt:BSUIS_B1061
ko:K00761	bmt:BSUIS_B1062
ko:K03745	bmt:BSUIS_B1063
ko:K02031	bmt:BSUIS_B1075
ko:K01520	bmt:BSUIS_B1150
ko:K05800	bmt:BSUIS_B1151
ko:K00831	bmt:BSUIS_B1162
ko:K03453	bmt:BSUIS_B1164
ko:K03431	bmt:BSUIS_B1166
ko:K03798	bmt:BSUIS_B1167
ko:K03574	bmt:BSUIS_A1779
ko:K00812	bmt:BSUIS_A1552
ko:K06891	bmt:BSUIS_A1217
ko:K01091	bmt:BSUIS_A1045
ko:K02529	bmt:BSUIS_A0578
ko:K02529	bmt:BSUIS_B0308
ko:K08738	bmt:BSUIS_B0177
ko:K03198	bmt:BSUIS_B0071
ko:K11357	bmt:BSUIS_A0606
ko:K03561	bmt:BSUIS_B1144
ko:K02116	bmt:BSUIS_A0409
ko:K02529	bmt:BSUIS_A0206
ko:K01631	bmt:BSUIS_B0931
ko:K02017	bmt:BSUIS_B0095
ko:K01091	bmt:BSUIS_A1051
ko:K01091	bmt:BSUIS_A0312
ko:K07270	bmt:BSUIS_A1660
ko:K07657	bmt:BSUIS_A1982
ko:K00868	bmt:BSUIS_B1307
ko:K11443	bmt:BSUIS_B0609
ko:K02032	bmt:BSUIS_B1003
ko:K12340	bmt:BSUIS_A0985
ko:K02362	bmt:BSUIS_B0014
ko:K06173	bmt:BSUIS_B1028
ko:K00332	bmt:BSUIS_A0843
ko:K07157	bmt:BSUIS_B0884
ko:K03820	bmt:BSUIS_A1995
ko:K04043	bmt:BSUIS_A1965
ko:K09386	bmt:BSUIS_A0309
ko:K03560	bmt:BSUIS_B1174
ko:K08300	bmt:BSUIS_A0953
ko:K07304	bmt:BSUIS_B1064
ko:K11749	bmt:BSUIS_A1203
ko:K09778	bmt:BSUIS_A0452
ko:K01784	bmt:BSUIS_A1110
ko:K22617	bmt:BSUIS_A1990
ko:K00262	bmt:BSUIS_A0227
ko:K00108	bmt:BSUIS_A0581
ko:K07473	bmt:BSUIS_B0384
ko:K11078	bmt:BSUIS_B1100
ko:K02114	bmt:BSUIS_B1274
ko:K01894	bmt:BSUIS_B1125
ko:K04092	bmt:BSUIS_B1303
ko:K00265	bmt:BSUIS_B0058
ko:K00821	bmt:BSUIS_A0327
ko:K04763	bmt:BSUIS_A1872
ko:K09959	bmt:BSUIS_A0205
ko:K03189	bmt:BSUIS_A0296
ko:K03092	bmt:BSUIS_A0159
ko:K02316	bmt:BSUIS_A1536
ko:K04566	bmt:BSUIS_B0782
ko:K02111	bmt:BSUIS_B1277
ko:K02113	bmt:BSUIS_B1278
ko:K04066	bmt:BSUIS_B1281
ko:K09928	bmt:BSUIS_A0686
ko:K06952	bmt:BSUIS_A0694
ko:K00333	bmt:BSUIS_A0844
ko:K06916	bmt:BSUIS_A1769
ko:K02501	bmt:BSUIS_A1925
ko:K03188	bmt:BSUIS_A0295
ko:K03188	bmt:BSUIS_A1411
ko:K03733	bmt:BSUIS_A1756
ko:K01890	bmt:BSUIS_A1963
ko:K03190	bmt:BSUIS_A0289
ko:K03187	bmt:BSUIS_A0294
ko:K00334	bmt:BSUIS_A0845
ko:K00658	bmt:BSUIS_A1762
ko:K02341	bmt:BSUIS_A1037
ko:K09883	bmt:BSUIS_A1862
ko:K00331	bmt:BSUIS_A0842
ko:K03070	bmt:BSUIS_A1785
ko:K07568	bmt:BSUIS_A1139
ko:K02356	bmt:BSUIS_B1185
ko:K03177	bmt:BSUIS_A2004
ko:K09125	bmt:BSUIS_A1855
ko:K02112	bmt:BSUIS_B1275
ko:K00242	bmt:BSUIS_A1743
ko:K09780	bmt:BSUIS_A1730
ko:K00057	bmt:BSUIS_A1729
ko:K01409	bmt:BSUIS_A1728
ko:K01719	bmt:BSUIS_A1726
ko:K02221	bmt:BSUIS_A1833
ko:K01507	bmt:BSUIS_A1834
ko:K01940	bmt:BSUIS_A0077
ko:K01951	bmt:BSUIS_B0366
ko:K00241	bmt:BSUIS_A1744
ko:K01749	bmt:BSUIS_A1727
ko:K06207	bmt:BSUIS_B0868
ko:K06941	bmt:BSUIS_A0080
ko:K06890	bmt:BSUIS_A0092
ko:K02194	bmt:BSUIS_A0099
ko:K02195	bmt:BSUIS_A0100
ko:K03466	bmt:BSUIS_A1735
ko:K00074	bmt:BSUIS_B1082
ko:K00762	bmt:BSUIS_A0681
ko:K11068	bmt:BSUIS_A0071
ko:K00341	bmt:BSUIS_A0852
ko:K00342	bmt:BSUIS_A0853
ko:K01679	bmt:BSUIS_B0195
ko:K01676	bmt:BSUIS_A1001
ko:K01814	bmt:BSUIS_A1926
ko:K03149	bmt:BSUIS_A0214
ko:K02563	bmt:BSUIS_A1483
ko:K03438	bmt:BSUIS_A1491
ko:K03705	bmt:BSUIS_A0173
ko:K02500	bmt:BSUIS_A1927
ko:K00013	bmt:BSUIS_A0275
ko:K00088	bmt:BSUIS_B0357
ko:K03495	bmt:BSUIS_A1902
ko:K08973	bmt:BSUIS_A1906
ko:K02379	bmt:BSUIS_B0681
ko:K03153	bmt:BSUIS_A0216
ko:K01424	bmt:BSUIS_A1800
ko:K01424	bmt:BSUIS_A1802
ko:K01744	bmt:BSUIS_A1798
ko:K01755	bmt:BSUIS_A1821
ko:K05896	bmt:BSUIS_A0918
ko:K02806	bmt:BSUIS_A0162
ko:K00760	bmt:BSUIS_A1825
ko:K01246	bmt:BSUIS_B0188
ko:K02970	bmt:BSUIS_B0958
ko:K04077	bmt:BSUIS_B0198
ko:K06213	bmt:BSUIS_B0869
ko:K01338	bmt:BSUIS_A1156
ko:K02032	bmt:BSUIS_B1074
ko:K03075	bmt:BSUIS_A1185
ko:K01464	bmt:BSUIS_A0302
ko:K02109	bmt:BSUIS_A0413
ko:K02110	bmt:BSUIS_A0411
ko:K02109	bmt:BSUIS_A0412
ko:K01704	bmt:BSUIS_B0875
ko:K09987	bmt:BSUIS_B1211
ko:K04564	bmt:BSUIS_A0594
ko:K01681	bmt:BSUIS_A0097
ko:K05936	bmt:BSUIS_A1350
ko:K00338	bmt:BSUIS_A0849
ko:K09882	bmt:BSUIS_A1863
ko:K00053	bmt:BSUIS_A1431
ko:K02049	bmt:BSUIS_B0292
ko:K03182	bmt:BSUIS_B0298
ko:K00370	bmt:BSUIS_B0305
ko:K02575	bmt:BSUIS_B0306
ko:K03585	bmt:BSUIS_B0341
ko:K01425	bmt:BSUIS_B0346
ko:K07552	bmt:BSUIS_A1453
ko:K09985	bmt:BSUIS_A1456
ko:K03657	bmt:BSUIS_A1464
ko:K05805	bmt:BSUIS_A1465
ko:K07152	bmt:BSUIS_A1467
ko:K02687	bmt:BSUIS_A1468
ko:K01262	bmt:BSUIS_A1469
ko:K05807	bmt:BSUIS_A1473
ko:K02535	bmt:BSUIS_A1475
ko:K03531	bmt:BSUIS_A1477
ko:K03590	bmt:BSUIS_A1478
ko:K03589	bmt:BSUIS_A1479
ko:K01921	bmt:BSUIS_A1480
ko:K00075	bmt:BSUIS_A1481
ko:K01924	bmt:BSUIS_A1482
ko:K03588	bmt:BSUIS_A1484
ko:K01925	bmt:BSUIS_A1485
ko:K01000	bmt:BSUIS_A1486
ko:K01929	bmt:BSUIS_A1487
ko:K01928	bmt:BSUIS_A1488
ko:K04761	bmt:BSUIS_B0359
ko:K03781	bmt:BSUIS_B0360
ko:K07056	bmt:BSUIS_A0178
ko:K01056	bmt:BSUIS_A1595
ko:K06178	bmt:BSUIS_B0209
ko:K07001	bmt:BSUIS_B0213
ko:K03455	bmt:BSUIS_B0214
ko:K09778	bmt:BSUIS_B0218
ko:K02527	bmt:BSUIS_B0219
ko:K00912	bmt:BSUIS_B0220
ko:K03527	bmt:BSUIS_A0502
ko:K02204	bmt:BSUIS_A0503
ko:K02230	bmt:BSUIS_A1356
ko:K02232	bmt:BSUIS_A1362
ko:K00380	bmt:BSUIS_B0239
ko:K03734	bmt:BSUIS_B0240
ko:K02164	bmt:BSUIS_B0251
ko:K02305	bmt:BSUIS_B0253
ko:K04748	bmt:BSUIS_B0255
ko:K02448	bmt:BSUIS_B0256
ko:K00479	bmt:BSUIS_A1514
ko:K02860	bmt:BSUIS_A1755
ko:K09791	bmt:BSUIS_B0883
ko:K07736	bmt:BSUIS_B1242
ko:K00768	bmt:BSUIS_A0905
ko:K02372	bmt:BSUIS_A1200
ko:K09710	bmt:BSUIS_B1319
ko:K03647	bmt:BSUIS_B0321
ko:K03801	bmt:BSUIS_B0586
ko:K00343	bmt:BSUIS_A0854
ko:K08484	bmt:BSUIS_A1711
ko:K11473	bmt:BSUIS_B0185
ko:K03636	bmt:BSUIS_A0725
ko:K05527	bmt:BSUIS_A1867
ko:K01104	bmt:BSUIS_A0086
ko:K00074	bmt:BSUIS_B0227
ko:K07039	bmt:BSUIS_B0550
ko:K07278	bmt:BSUIS_A0051
ko:K01625	bmt:BSUIS_B0089
ko:K11472	bmt:BSUIS_B0184
ko:K03426	bmt:BSUIS_A0039
ko:K09888	bmt:BSUIS_B1200
ko:K08224	bmt:BSUIS_B0445
ko:K00820	bmt:BSUIS_B0905
ko:K00104	bmt:BSUIS_B0183
ko:K11752	bmt:BSUIS_A0801
ko:K00058	bmt:BSUIS_B1160
ko:K00228	bmt:BSUIS_A1608
ko:K02498	bmt:BSUIS_A1724
ko:K00602	bmt:BSUIS_B1294
ko:K02058	bmt:BSUIS_B0563
ko:K02224	bmt:BSUIS_A1346
ko:K03446	bmt:BSUIS_A1103
ko:K05520	bmt:BSUIS_A1245
ko:K12573	bmt:BSUIS_B0602
ko:K12370	bmt:BSUIS_A1639
ko:K02058	bmt:BSUIS_A1393
ko:K02056	bmt:BSUIS_A1391
ko:K03296	bmt:BSUIS_A0301
ko:K02001	bmt:BSUIS_B0731
ko:K12989	bmt:BSUIS_A1559
ko:K13292	bmt:BSUIS_A1587
ko:K06203	bmt:BSUIS_A0168
ko:K00215	bmt:BSUIS_B1046
ko:K02483	bmt:BSUIS_A0642
ko:K02483	bmt:BSUIS_A0634
ko:K01271	bmt:BSUIS_A1106
ko:K02056	bmt:BSUIS_B0566
ko:K01207	bmt:BSUIS_A0917
ko:K00031	bmt:BSUIS_A1247
ko:K00059	bmt:BSUIS_B0399
ko:K00059	bmt:BSUIS_B0032
ko:K02002	bmt:BSUIS_B0730
ko:K00059	bmt:BSUIS_B0769
ko:K00059	bmt:BSUIS_B1008
ko:K00059	bmt:BSUIS_A1881
ko:K02002	bmt:BSUIS_A1635
ko:K07289	bmt:BSUIS_A1664
ko:K05564	bmt:BSUIS_B0503
ko:K01560	bmt:BSUIS_A0593
ko:K11927	bmt:BSUIS_A1096
ko:K03711	bmt:BSUIS_B1133
ko:K07027	bmt:BSUIS_A1376
ko:K01069	bmt:BSUIS_A1776
ko:K00748	bmt:BSUIS_A1197
ko:K05595	bmt:BSUIS_A1147
