ko:K01961	cju:C8J_1233
ko:K02406	cju:C8J_1256
ko:K02394	cju:C8J_1368
ko:K02389	cju:C8J_0045
ko:K02417	cju:C8J_0052
ko:K02396	cju:C8J_1372
ko:K03070	cju:C8J_0885
ko:K02570	cju:C8J_0736
ko:K02113	cju:C8J_0097
ko:K07568	cju:C8J_0539
ko:K07090	cju:C8J_0320
ko:K09951	cju:C8J_1423
ko:K11175	cju:C8J_0176
ko:K03781	cju:C8J_1303
ko:K02111	cju:C8J_0098
ko:K02114	cju:C8J_0101
ko:K02316	cju:C8J_1540
ko:K03496	cju:C8J_0093
ko:K07862	cju:C8J_1038
ko:K03655	cju:C8J_0437
ko:K00176	cju:C8J_0496
ko:K06180	cju:C8J_0021
ko:K03075	cju:C8J_0213
ko:K04075	cju:C8J_1359
ko:K02115	cju:C8J_0099
ko:K11015	cju:C8J_0070
ko:K03569	cju:C8J_0253
ko:K07305	cju:C8J_1053
ko:K02482	cju:C8J_0744
ko:K02390	cju:C8J_1629
ko:K03273	cju:C8J_1098
ko:K02372	cju:C8J_0250
ko:K04763	cju:C8J_0810
ko:K01056	cju:C8J_0289
ko:K05927	cju:C8J_1313
ko:K00029	cju:C8J_1230
ko:K02455	cju:C8J_1375
ko:K00031	cju:C8J_0492
ko:K01104	cju:C8J_1202
ko:K03711	cju:C8J_0375
ko:K02217	cju:C8J_0574
ko:K00016	cju:C8J_1111
ko:K03524	cju:C8J_0092
ko:K12574	cju:C8J_1614
ko:K00602	cju:C8J_0895
ko:K11755	cju:C8J_1505
ko:K03892	cju:C8J_1457
ko:K00215	cju:C8J_0186
ko:K01654	cju:C8J_1339
ko:K13292	cju:C8J_0382
ko:K03272	cju:C8J_1096
ko:K00297	cju:C8J_1146
ko:K02483	cju:C8J_0332
ko:K02483	cju:C8J_1170
ko:K02483	cju:C8J_1205
ko:K06159	cju:C8J_1488
ko:K12056	cju:C8J_0878
ko:K00059	cju:C8J_0410
ko:K12410	cju:C8J_0991
ko:K01497	cju:C8J_0933
ko:K11753	cju:C8J_0551
ko:K01784	cju:C8J_1344
ko:K01710	cju:C8J_1077
ko:K06168	cju:C8J_0431
ko:K11720	cju:C8J_0290
ko:K11754	cju:C8J_1029
ko:K03768	cju:C8J_1115
ko:K04487	cju:C8J_0218
ko:K03386	cju:C8J_0311
ko:K01895	cju:C8J_1436
ko:K01358	cju:C8J_0181
ko:K03636	cju:C8J_1420
ko:K01089	cju:C8J_1501
ko:K00748	cju:C8J_0264
ko:K03286	cju:C8J_1383
ko:K11749	cju:C8J_1009
ko:K07307	cju:C8J_1484
ko:K02237	cju:C8J_0010
ko:K07288	cju:C8J_1122
ko:K07098	cju:C8J_0793
ko:K01058	cju:C8J_1267
ko:K08309	cju:C8J_0790
ko:K01079	cju:C8J_0258
ko:K09979	cju:C8J_1355
ko:K01784	cju:C8J_1071
ko:K00407	cju:C8J_1393
ko:K05685	cju:C8J_0569
ko:K13819	cju:C8J_0217
ko:K13640	cju:C8J_1173
ko:K09457	cju:C8J_1628
ko:K01424	cju:C8J_0028
ko:K13747	cju:C8J_1418
ko:K05939	cju:C8J_0881
ko:K00104	cju:C8J_1156
ko:K00652	cju:C8J_0283
ko:K08173	cju:C8J_0316
ko:K01960	cju:C8J_0870
ko:K03406	cju:C8J_0138
ko:K03406	cju:C8J_0894
ko:K03406	cju:C8J_0018
ko:K03406	cju:C8J_0239
ko:K03406	cju:C8J_1051
ko:K01779	cju:C8J_0077
ko:K03406	cju:C8J_1409
ko:K00566	cju:C8J_1535
ko:K02004	cju:C8J_0884
ko:K02004	cju:C8J_1563
ko:K02004	cju:C8J_1564
ko:K13788	cju:C8J_0656
ko:K13888	cju:C8J_0568
ko:K01737	cju:C8J_0156
ko:K12573	cju:C8J_0590
ko:K06956	cju:C8J_0024
ko:K01491	cju:C8J_0802
ko:K01533	cju:C8J_1105
ko:K01760	cju:C8J_1308
ko:K12506	cju:C8J_1508
ko:K06013	cju:C8J_0690
ko:K02503	cju:C8J_0835
ko:K07133	cju:C8J_1432
ko:K13979	cju:C8J_1447
ko:K07126	cju:C8J_0388
ko:K10040	cju:C8J_0856
ko:K00611	cju:C8J_0931
ko:K14233	cju:C8J_t0030
ko:K00024	cju:C8J_0493
ko:K14235	cju:C8J_t0010
ko:K14228	cju:C8J_t0033
ko:K00058	cju:C8J_0828
ko:K06857	cju:C8J_1437
ko:K03342	cju:C8J_0809
ko:K00557	cju:C8J_0778
ko:K14221	cju:C8J_t0019
ko:K14221	cju:C8J_t0023
ko:K00290	cju:C8J_0166
ko:K13695	cju:C8J_1555
ko:K09944	cju:C8J_0946
ko:K09804	cju:C8J_1400
ko:K01092	cju:C8J_0121
ko:K14219	cju:C8J_t0026
ko:K08077	cju:C8J_0420
ko:K01841	cju:C8J_1332
ko:K01154	cju:C8J_0985
ko:K12684	cju:C8J_0201
ko:K06152	cju:C8J_0142
ko:K00459	cju:C8J_1214
ko:K14228	cju:C8J_t0036
ko:K14219	cju:C8J_t0037
ko:K18929	cju:C8J_0067
ko:K14232	cju:C8J_t0040
ko:K13497	cju:C8J_0323
ko:K13821	cju:C8J_1406
ko:K13626	cju:C8J_1016
ko:K14234	cju:C8J_t0006
ko:K09789	cju:C8J_0282
ko:K03605	cju:C8J_1208
ko:K02027	cju:C8J_1589
ko:K14238	cju:C8J_t0031
ko:K02029	cju:C8J_0440
ko:K00076	cju:C8J_0758
ko:K14230	cju:C8J_t0041
ko:K14219	cju:C8J_t0038
ko:K06921	cju:C8J_0743
ko:K07003	cju:C8J_1292
ko:K06867	cju:C8J_1304
ko:K09943	cju:C8J_0777
ko:K07791	cju:C8J_0081
ko:K00974	cju:C8J_0740
ko:K02484	cju:C8J_1169
ko:K07097	cju:C8J_0819
ko:K10041	cju:C8J_0859
ko:K10039	cju:C8J_0858
ko:K01934	cju:C8J_1151
ko:K14228	cju:C8J_t0016
ko:K14230	cju:C8J_t0028
ko:K05595	cju:C8J_1052
ko:K14234	cju:C8J_t0009
ko:K14223	cju:C8J_t0013
ko:K14229	cju:C8J_t0022
ko:K14229	cju:C8J_t0025
ko:K14233	cju:C8J_t0042
ko:K03296	cju:C8J_0970
ko:K14231	cju:C8J_t0029
ko:K14228	cju:C8J_t0018
ko:K14224	cju:C8J_t0021
ko:K14225	cju:C8J_t0008
ko:K10040	cju:C8J_0857
ko:K14222	cju:C8J_t0034
ko:K00674	cju:C8J_1506
ko:K14233	cju:C8J_t0035
ko:K14236	cju:C8J_t0007
ko:K14230	cju:C8J_t0012
ko:K01978	cju:C8J_rnpB
ko:K01607	cju:C8J_1453
ko:K14170	cju:C8J_0293
ko:K01985	cju:C8J_Cj5SA
ko:K01985	cju:C8J_Cj5SB
ko:K01985	cju:C8J_Cj5SC
ko:K01980	cju:C8J_Cj23SA
ko:K01980	cju:C8J_Cj23SB
ko:K01980	cju:C8J_Cj23SC
ko:K03406	cju:C8J_1461
ko:K00941	cju:C8J_1023
ko:K14218	cju:C8J_t0001
ko:K14218	cju:C8J_t0014
ko:K14218	cju:C8J_t0004
ko:K02010	cju:C8J_0167
ko:K14225	cju:C8J_t0017
ko:K14225	cju:C8J_t0032
ko:K01173	cju:C8J_0556
ko:K01524	cju:C8J_0330
ko:K01524	cju:C8J_1180
ko:K13689	cju:C8J_1086
ko:K14220	cju:C8J_t0027
ko:K14224	cju:C8J_t0003
ko:K14227	cju:C8J_t0002
ko:K14227	cju:C8J_t0015
ko:K14227	cju:C8J_t0005
ko:K14237	cju:C8J_t0044
ko:K14261	cju:C8J_0147
ko:K14226	cju:C8J_t0039
ko:K14219	cju:C8J_t0011
ko:K01977	cju:C8J_Cj16SA
ko:K01977	cju:C8J_Cj16SB
ko:K01977	cju:C8J_Cj16SC
ko:K14218	cju:C8J_t0043
ko:K14237	cju:C8J_t0020
ko:K14237	cju:C8J_t0024
ko:K02484	cju:C8J_1165
ko:K06148	cju:C8J_1070
ko:K11382	cju:C8J_0269
ko:K07216	cju:C8J_1167
ko:K06867	cju:C8J_0781
ko:K18928	cju:C8J_0068
ko:K06180	cju:C8J_0675
ko:K03324	cju:C8J_0485
ko:K15256	cju:C8J_0552
ko:K15257	cju:C8J_0915
ko:K01082	cju:C8J_1579
ko:K15633	cju:C8J_0409
ko:K15738	cju:C8J_0825
ko:K15912	cju:C8J_1061
ko:K15913	cju:C8J_1063
ko:K15894	cju:C8J_1236
ko:K15896	cju:C8J_1246
ko:K00983	cju:C8J_1333
ko:K15910	cju:C8J_1062
ko:K15897	cju:C8J_1245
ko:K18139	cju:C8J_0341
ko:K15778	cju:C8J_1321
ko:K15876	cju:C8J_1276
ko:K15895	cju:C8J_1237
ko:K15898	cju:C8J_1251
ko:K15899	cju:C8J_1244
ko:K16089	cju:C8J_0419
ko:K02029	cju:C8J_0441
ko:K02028	cju:C8J_0442
ko:K02030	cju:C8J_0921
ko:K16052	cju:C8J_0216
ko:K18682	cju:C8J_1152
ko:K16264	cju:C8J_1107
ko:K02025	cju:C8J_1586
ko:K15914	cju:C8J_1065
ko:K15915	cju:C8J_1064
ko:K11782	cju:C8J_1228
ko:K02003	cju:C8J_1124
ko:K17103	cju:C8J_1055
ko:K02028	cju:C8J_0839
ko:K02030	cju:C8J_0701
ko:K02030	cju:C8J_0766
ko:K17247	cju:C8J_0354
ko:K17248	cju:C8J_1067
ko:K17249	cju:C8J_1069
ko:K17250	cju:C8J_1068
ko:K17251	cju:C8J_1066
ko:K08738	cju:C8J_1099
ko:K02029	cju:C8J_0838
ko:K02029	cju:C8J_0883
ko:K10112	cju:C8J_1585
ko:K17686	cju:C8J_1101
ko:K08678	cju:C8J_1346
ko:K07318	cju:C8J_0197
ko:K00254	cju:C8J_0755
ko:K17938	cju:C8J_0171
ko:K05366	cju:C8J_0472
ko:K18284	cju:C8J_0110
ko:K11784	cju:C8J_0435
ko:K11785	cju:C8J_1575
ko:K18285	cju:C8J_1287
ko:K08068	cju:C8J_1338
ko:K01174	cju:C8J_0918
ko:K04753	cju:C8J_1419
ko:K03743	cju:C8J_1003
ko:K18480	cju:C8J_1551
ko:K03427	cju:C8J_0988
ko:K18924	cju:C8J_0287
ko:K18925	cju:C8J_0286
ko:K10747	cju:C8J_1570
ko:K18138	cju:C8J_0342
ko:K18992	cju:C8J_0344
ko:K03526	cju:C8J_0654
ko:K15461	cju:C8J_1212
ko:K19147	cju:C8J_0134
ko:K15342	cju:C8J_1424
ko:K22468	cju:C8J_0566
ko:K07317	cju:C8J_0034
ko:K19210	cju:C8J_0276
ko:K19416	cju:C8J_0214
ko:K19713	cju:C8J_0815
ko:K09796	cju:C8J_0845
ko:K20810	cju:C8J_0060
ko:K01023	cju:C8J_0813
ko:K00821	cju:C8J_0205
ko:K01139	cju:C8J_1216
ko:K03651	cju:C8J_1591
ko:K21420	cju:C8J_0972
ko:K01451	cju:C8J_0924
ko:K10026	cju:C8J_0157
ko:K21600	cju:C8J_0474
ko:K21929	cju:C8J_0905
ko:K14441	cju:C8J_1360
ko:K17758	cju:C8J_0177
ko:K17759	cju:C8J_0177
ko:K22391	cju:C8J_0672
ko:K22424	cju:C8J_0639
ko:K22477	cju:C8J_0203
