ko:K13060	yee:YE5303_14421
ko:K03633	yee:YE5303_13921
ko:K03804	yee:YE5303_13931
ko:K03632	yee:YE5303_13941
ko:K00813	yee:YE5303_13991
ko:K09476	yee:YE5303_14001
ko:K01893	yee:YE5303_14011
ko:K00763	yee:YE5303_14021
ko:K01256	yee:YE5303_14031
ko:K00254	yee:YE5303_14041
ko:K18657	yee:YE5303_14051
ko:K07140	yee:YE5303_14061
ko:K12297	yee:YE5303_14071
ko:K15738	yee:YE5303_14081
ko:K03808	yee:YE5303_14091
ko:K06192	yee:YE5303_14101
ko:K09857	yee:YE5303_14111
ko:K09458	yee:YE5303_14121
ko:K01716	yee:YE5303_14141
ko:K04770	yee:YE5303_14151
ko:K00275	yee:YE5303_19831
ko:K09001	yee:YE5303_19851
ko:K06077	yee:YE5303_19861
ko:K06075	yee:YE5303_19871
ko:K06938	yee:YE5303_19921
ko:K03760	yee:YE5303_19931
ko:K16137	yee:YE5303_19941
ko:K10680	yee:YE5303_19951
ko:K01759	yee:YE5303_19961
ko:K03683	yee:YE5303_19971
ko:K07390	yee:YE5303_19981
ko:K04564	yee:YE5303_20001
ko:K03604	yee:YE5303_20011
ko:K00574	yee:YE5303_20041
ko:K00793	yee:YE5303_20051
ko:K03327	yee:YE5303_20061
ko:K00873	yee:YE5303_20071
ko:K06078	yee:YE5303_20081
ko:K19236	yee:YE5303_20091
ko:K02426	yee:YE5303_20101
ko:K11717	yee:YE5303_20111
ko:K09015	yee:YE5303_20121
ko:K09013	yee:YE5303_20131
ko:K09014	yee:YE5303_20141
ko:K05997	yee:YE5303_20151
ko:K19222	yee:YE5303_20161
ko:K09773	yee:YE5303_20201
ko:K01626	yee:YE5303_20211
ko:K16087	yee:YE5303_20221
ko:K07225	yee:YE5303_20231
ko:K02016	yee:YE5303_20241
ko:K08997	yee:YE5303_20251
ko:K03800	yee:YE5303_20261
ko:K12963	yee:YE5303_20281
ko:K12962	yee:YE5303_20291
ko:K07264	yee:YE5303_20301
ko:K03799	yee:YE5303_20821
ko:K03797	yee:YE5303_20831
ko:K03607	yee:YE5303_20841
ko:K03808	yee:YE5303_20861
ko:K07346	yee:YE5303_20931
ko:K07347	yee:YE5303_20941
ko:K16052	yee:YE5303_21011
ko:K03312	yee:YE5303_21032
ko:K06182	yee:YE5303_21041
ko:K16371	yee:YE5303_21091
ko:K02745	yee:YE5303_21101
ko:K02746	yee:YE5303_21111
ko:K02747	yee:YE5303_21121
ko:K02744	yee:YE5303_21131
ko:K02082	yee:YE5303_21141
ko:K08302	yee:YE5303_21151
ko:K12943	yee:YE5303_21161
ko:K09975	yee:YE5303_21191
ko:K05603	yee:YE5303_21201
ko:K05836	yee:YE5303_21211
ko:K01468	yee:YE5303_21221
ko:K01479	yee:YE5303_21231
ko:K05526	yee:YE5303_21251
ko:K01484	yee:YE5303_21261
ko:K06447	yee:YE5303_21271
ko:K00673	yee:YE5303_21281
ko:K03832	yee:YE5303_22361
ko:K00995	yee:YE5303_22721
ko:K03703	yee:YE5303_22731
ko:K07689	yee:YE5303_22741
ko:K01176	yee:YE5303_22781
ko:K02397	yee:YE5303_23341
ko:K02396	yee:YE5303_23351
ko:K02395	yee:YE5303_23361
ko:K02394	yee:YE5303_23371
ko:K02393	yee:YE5303_23381
ko:K02392	yee:YE5303_23391
ko:K02391	yee:YE5303_23401
ko:K02390	yee:YE5303_23411
ko:K02389	yee:YE5303_23421
ko:K02388	yee:YE5303_23431
ko:K02387	yee:YE5303_23441
ko:K02386	yee:YE5303_23451
ko:K02398	yee:YE5303_23461
ko:K02399	yee:YE5303_23471
ko:K03516	yee:YE5303_23491
ko:K02400	yee:YE5303_23501
ko:K02401	yee:YE5303_23511
ko:K03414	yee:YE5303_23531
ko:K03413	yee:YE5303_23541
ko:K03412	yee:YE5303_23551
ko:K00575	yee:YE5303_23561
ko:K05877	yee:YE5303_23571
ko:K03408	yee:YE5303_23591
ko:K03407	yee:YE5303_23601
ko:K02557	yee:YE5303_23611
ko:K02556	yee:YE5303_23621
ko:K02402	yee:YE5303_23631
ko:K02403	yee:YE5303_23641
ko:K14064	yee:YE5303_23651
ko:K01531	yee:YE5303_23671
ko:K07507	yee:YE5303_23681
ko:K05876	yee:YE5303_23701
ko:K03704	yee:YE5303_23721
ko:K07483	yee:YE5303_23751
ko:K01190	yee:YE5303_23761
ko:K03719	yee:YE5303_23791
ko:K01093	yee:YE5303_23821
ko:K00975	yee:YE5303_23831
ko:K00077	yee:YE5303_24341
ko:K00375	yee:YE5303_24351
ko:K07124	yee:YE5303_24381
ko:K16137	yee:YE5303_24391
ko:K03415	yee:YE5303_24401
ko:K01940	yee:YE5303_24471
ko:K11897	yee:YE5303_24481
ko:K11898	yee:YE5303_24491
ko:K11904	yee:YE5303_31121
ko:K11891	yee:YE5303_31131
ko:K11892	yee:YE5303_31141
ko:K11893	yee:YE5303_31151
ko:K11906	yee:YE5303_31161
ko:K11903	yee:YE5303_31171
ko:K11900	yee:YE5303_31181
ko:K11901	yee:YE5303_31191
ko:K07347	yee:YE5303_31211
ko:K07345	yee:YE5303_31231
ko:K11907	yee:YE5303_31241
ko:K11896	yee:YE5303_31251
ko:K11895	yee:YE5303_31261
ko:K11902	yee:YE5303_31271
ko:K11537	yee:YE5303_31341
ko:K03624	yee:YE5303_29111
ko:K07259	yee:YE5303_29121
ko:K07771	yee:YE5303_29131
ko:K07643	yee:YE5303_29141
ko:K03979	yee:YE5303_29151
ko:K02899	yee:YE5303_29171
ko:K02888	yee:YE5303_29181
ko:K02523	yee:YE5303_29191
ko:K07724	yee:YE5303_29202
ko:K00024	yee:YE5303_29211
ko:K03402	yee:YE5303_29221
ko:K02558	yee:YE5303_29241
ko:K03841	yee:YE5303_29251
ko:K01507	yee:YE5303_29271
ko:K09800	yee:YE5303_29291
ko:K07278	yee:YE5303_29301
ko:K07304	yee:YE5303_29311
ko:K07109	yee:YE5303_29341
ko:K01082	yee:YE5303_29351
ko:K01119	yee:YE5303_29361
ko:K07322	yee:YE5303_29371
ko:K03773	yee:YE5303_29381
ko:K07269	yee:YE5303_29391
ko:K02939	yee:YE5303_29411
ko:K02963	yee:YE5303_29421
ko:K02686	yee:YE5303_29431
ko:K02990	yee:YE5303_29441
ko:K06889	yee:YE5303_29461
ko:K09456	yee:YE5303_29481
ko:K03218	yee:YE5303_29491
ko:K12573	yee:YE5303_29501
ko:K13771	yee:YE5303_29511
ko:K01939	yee:YE5303_29521
ko:K09937	yee:YE5303_29531
ko:K04087	yee:YE5303_29541
ko:K04088	yee:YE5303_29551
ko:K03665	yee:YE5303_29561
ko:K03666	yee:YE5303_29571
ko:K00791	yee:YE5303_29581
ko:K03572	yee:YE5303_29591
ko:K01448	yee:YE5303_29601
ko:K06925	yee:YE5303_29611
ko:K07263	yee:YE5303_30671
ko:K02471	yee:YE5303_30681
ko:K07165	yee:YE5303_30701
ko:K03088	yee:YE5303_30711
ko:K03832	yee:YE5303_30721
ko:K07112	yee:YE5303_30741
ko:K03229	yee:YE5303_30751
ko:K03228	yee:YE5303_30761
ko:K03227	yee:YE5303_30771
ko:K03226	yee:YE5303_30781
ko:K03225	yee:YE5303_30791
ko:K03224	yee:YE5303_30821
ko:K03230	yee:YE5303_30831
ko:K03222	yee:YE5303_30881
ko:K03221	yee:YE5303_30911
ko:K15350	yee:YE5303_30931
ko:K15346	yee:YE5303_30961
ko:K15345	yee:YE5303_30971
ko:K15368	yee:YE5303_30981
ko:K15344	yee:YE5303_30991
ko:K15367	yee:YE5303_31001
ko:K18984	yee:YE5303_31011
ko:K03220	yee:YE5303_31021
ko:K03219	yee:YE5303_31031
ko:K14978	yee:YE5303_31051
ko:K14979	yee:YE5303_31061
ko:K11102	yee:YE5303_31071
ko:K01895	yee:YE5303_31081
ko:K14393	yee:YE5303_31101
ko:K08312	yee:YE5303_38151
ko:K04762	yee:YE5303_38181
ko:K04083	yee:YE5303_38191
ko:K01610	yee:YE5303_38201
ko:K07638	yee:YE5303_38211
ko:K07659	yee:YE5303_38221
ko:K04760	yee:YE5303_38231
ko:K06959	yee:YE5303_38241
ko:K04758	yee:YE5303_38251
ko:K04759	yee:YE5303_38261
ko:K07490	yee:YE5303_38271
ko:K02170	yee:YE5303_38291
ko:K07400	yee:YE5303_38311
ko:K00705	yee:YE5303_38321
ko:K00688	yee:YE5303_38331
ko:K03556	yee:YE5303_38341
ko:K02439	yee:YE5303_38361
ko:K02441	yee:YE5303_38371
ko:K02444	yee:YE5303_38381
ko:K00111	yee:YE5303_38391
ko:K00688	yee:YE5303_38401
ko:K00703	yee:YE5303_38411
ko:K00975	yee:YE5303_38421
ko:K00700	yee:YE5303_38441
ko:K02478	yee:YE5303_38451
ko:K01575	yee:YE5303_38471
ko:K01652	yee:YE5303_38481
ko:K00133	yee:YE5303_38491
ko:K00851	yee:YE5303_38511
ko:K06155	yee:YE5303_38521
ko:K06145	yee:YE5303_38531
ko:K06911	yee:YE5303_38541
ko:K03825	yee:YE5303_38551
ko:K03335	yee:YE5303_38561
ko:K06605	yee:YE5303_38571
ko:K03336	yee:YE5303_38591
ko:K03338	yee:YE5303_38601
ko:K03337	yee:YE5303_38621
ko:K00140	yee:YE5303_38631
ko:K06606	yee:YE5303_38641
ko:K01821	yee:YE5303_39171
ko:K00874	yee:YE5303_39181
ko:K11103	yee:YE5303_39211
ko:K01728	yee:YE5303_39231
ko:K12372	yee:YE5303_39341
ko:K12371	yee:YE5303_39351
ko:K12370	yee:YE5303_39361
ko:K12369	yee:YE5303_39371
ko:K12368	yee:YE5303_39381
ko:K07783	yee:YE5303_39421
ko:K07675	yee:YE5303_39431
ko:K12975	yee:YE5303_39451
ko:K16234	yee:YE5303_39481
ko:K01745	yee:YE5303_39491
ko:K01712	yee:YE5303_39501
ko:K07347	yee:YE5303_39521
ko:K01809	yee:YE5303_39531
ko:K01223	yee:YE5303_39541
ko:K16077	yee:YE5303_39561
ko:K02761	yee:YE5303_39571
ko:K02760	yee:YE5303_39581
ko:K02761	yee:YE5303_39591
ko:K02759	yee:YE5303_39601
ko:K00847	yee:YE5303_39611
ko:K04080	yee:YE5303_40181
ko:K01754	yee:YE5303_40211
ko:K18673	yee:YE5303_40231
ko:K02470	yee:YE5303_40251
ko:K03629	yee:YE5303_40261
ko:K02338	yee:YE5303_40271
ko:K02313	yee:YE5303_40281
ko:K02914	yee:YE5303_40301
ko:K03536	yee:YE5303_40311
ko:K03217	yee:YE5303_40321
ko:K03650	yee:YE5303_40331
ko:K00209	yee:YE5303_40341
ko:K02073	yee:YE5303_40351
ko:K02071	yee:YE5303_40361
ko:K02072	yee:YE5303_40371
ko:K03406	yee:YE5303_40381
ko:K06901	yee:YE5303_40431
ko:K02029	yee:YE5303_40451
ko:K02029	yee:YE5303_40461
ko:K02030	yee:YE5303_40471
ko:K02039	yee:YE5303_40491
ko:K02036	yee:YE5303_40501
ko:K02038	yee:YE5303_40511
ko:K02037	yee:YE5303_40521
ko:K02040	yee:YE5303_40531
ko:K00820	yee:YE5303_40541
ko:K04042	yee:YE5303_40551
ko:K02114	yee:YE5303_40561
ko:K02112	yee:YE5303_40571
ko:K02115	yee:YE5303_40581
ko:K02111	yee:YE5303_40591
ko:K02113	yee:YE5303_40601
ko:K02109	yee:YE5303_40611
ko:K02110	yee:YE5303_40621
ko:K02108	yee:YE5303_40631
ko:K02116	yee:YE5303_40641
ko:K03501	yee:YE5303_40651
ko:K03495	yee:YE5303_40661
ko:K00840	yee:YE5303_21291
ko:K00425	yee:YE5303_21311
ko:K00426	yee:YE5303_21321
ko:K07673	yee:YE5303_21331
ko:K13635	yee:YE5303_21341
ko:K07300	yee:YE5303_21371
ko:K11937	yee:YE5303_21411
ko:K11936	yee:YE5303_21421
ko:K11931	yee:YE5303_21431
ko:K11935	yee:YE5303_21441
ko:K13255	yee:YE5303_21461
ko:K16868	yee:YE5303_21491
ko:K02003	yee:YE5303_21521
ko:K02004	yee:YE5303_21531
ko:K02004	yee:YE5303_21541
ko:K07230	yee:YE5303_21561
ko:K07243	yee:YE5303_21571
ko:K01425	yee:YE5303_21601
ko:K07701	yee:YE5303_21651
ko:K07703	yee:YE5303_21661
ko:K11616	yee:YE5303_21671
ko:K11738	yee:YE5303_21681
ko:K03815	yee:YE5303_31351
ko:K00768	yee:YE5303_31381
ko:K02226	yee:YE5303_31391
ko:K02233	yee:YE5303_31401
ko:K02231	yee:YE5303_31411
ko:K02232	yee:YE5303_31421
ko:K01141	yee:YE5303_31911
ko:K08317	yee:YE5303_31931
ko:K02056	yee:YE5303_31941
ko:K02057	yee:YE5303_31951
ko:K00765	yee:YE5303_31971
ko:K00013	yee:YE5303_31981
ko:K00817	yee:YE5303_31991
ko:K01089	yee:YE5303_32001
ko:K02501	yee:YE5303_32011
ko:K01814	yee:YE5303_32021
ko:K02500	yee:YE5303_32031
ko:K11755	yee:YE5303_32041
ko:K00033	yee:YE5303_32051
ko:K00963	yee:YE5303_32061
ko:K00963	yee:YE5303_32071
ko:K03326	yee:YE5303_32091
ko:K07289	yee:YE5303_32101
ko:K01494	yee:YE5303_32111
ko:K00876	yee:YE5303_32121
ko:K03593	yee:YE5303_32131
ko:K01874	yee:YE5303_32141
ko:K02058	yee:YE5303_32161
ko:K06518	yee:YE5303_32191
ko:K01489	yee:YE5303_32211
ko:K00027	yee:YE5303_32231
ko:K03748	yee:YE5303_32241
ko:K04653	yee:YE5303_32251
ko:K04651	yee:YE5303_32261
ko:K12136	yee:YE5303_32271
ko:K12138	yee:YE5303_32291
ko:K12139	yee:YE5303_32301
ko:K12140	yee:YE5303_32311
ko:K12141	yee:YE5303_32321
ko:K12142	yee:YE5303_32331
ko:K12143	yee:YE5303_32341
ko:K12145	yee:YE5303_32361
ko:K05846	yee:YE5303_32901
ko:K05847	yee:YE5303_32911
ko:K05846	yee:YE5303_32921
ko:K05845	yee:YE5303_32931
ko:K01011	yee:YE5303_32961
ko:K11963	yee:YE5303_32971
ko:K11962	yee:YE5303_32991
ko:K11961	yee:YE5303_33001
ko:K11960	yee:YE5303_33011
ko:K11959	yee:YE5303_33021
ko:K02042	yee:YE5303_33041
ko:K02042	yee:YE5303_33051
ko:K02044	yee:YE5303_33061
ko:K02041	yee:YE5303_33071
ko:K05873	yee:YE5303_33111
ko:K03777	yee:YE5303_33121
ko:K07262	yee:YE5303_33131
ko:K05541	yee:YE5303_33151
ko:K11927	yee:YE5303_33161
ko:K01993	yee:YE5303_33181
ko:K06890	yee:YE5303_33221
ko:K03635	yee:YE5303_33231
ko:K03636	yee:YE5303_33241
ko:K03637	yee:YE5303_33251
ko:K03639	yee:YE5303_33261
ko:K03702	yee:YE5303_33291
ko:K01935	yee:YE5303_33311
ko:K02169	yee:YE5303_33321
ko:K00652	yee:YE5303_33331
ko:K01012	yee:YE5303_33341
ko:K00833	yee:YE5303_33351
ko:K07404	yee:YE5303_33361
ko:K07006	yee:YE5303_34271
ko:K10001	yee:YE5303_34281
ko:K10003	yee:YE5303_34291
ko:K10002	yee:YE5303_34301
ko:K10004	yee:YE5303_34311
ko:K01869	yee:YE5303_34351
ko:K03643	yee:YE5303_34361
ko:K02340	yee:YE5303_34371
ko:K00969	yee:YE5303_34381
ko:K09710	yee:YE5303_34391
ko:K00783	yee:YE5303_34401
ko:K05515	yee:YE5303_34411
ko:K05837	yee:YE5303_34421
ko:K03642	yee:YE5303_34431
ko:K07258	yee:YE5303_34441
ko:K09158	yee:YE5303_34451
ko:K03644	yee:YE5303_34471
ko:K03425	yee:YE5303_34481
ko:K18968	yee:YE5303_34491
ko:K06199	yee:YE5303_34501
ko:K03704	yee:YE5303_34511
ko:K06147	yee:YE5303_34581
ko:K03182	yee:YE5303_34591
ko:K18850	yee:YE5303_34611
ko:K06889	yee:YE5303_34631
ko:K07665	yee:YE5303_34641
ko:K07644	yee:YE5303_34651
ko:K06221	yee:YE5303_34691
ko:K07340	yee:YE5303_35331
ko:K17686	yee:YE5303_35351
ko:K09973	yee:YE5303_35361
ko:K03976	yee:YE5303_35371
ko:K11751	yee:YE5303_35381
ko:K08223	yee:YE5303_35391
ko:K03455	yee:YE5303_35401
ko:K00892	yee:YE5303_35411
ko:K01784	yee:YE5303_35421
ko:K13007	yee:YE5303_35451
ko:K01772	yee:YE5303_35511
ko:K00939	yee:YE5303_35521
ko:K04079	yee:YE5303_35531
ko:K06187	yee:YE5303_35541
ko:K09747	yee:YE5303_35551
ko:K02343	yee:YE5303_35561
ko:K00759	yee:YE5303_35571
ko:K09790	yee:YE5303_35581
ko:K04067	yee:YE5303_35591
ko:K05802	yee:YE5303_35611
ko:K06039	yee:YE5303_35621
ko:K03577	yee:YE5303_35631
ko:K03585	yee:YE5303_35641
ko:K18138	yee:YE5303_35651
ko:K02909	yee:YE5303_35711
ko:K02919	yee:YE5303_35721
ko:K02077	yee:YE5303_35731
ko:K02075	yee:YE5303_35741
ko:K02074	yee:YE5303_35751
ko:K19162	yee:YE5303_35771
ko:K05839	yee:YE5303_35781
ko:K07443	yee:YE5303_35791
ko:K09914	yee:YE5303_35801
ko:K10805	yee:YE5303_35811
ko:K06445	yee:YE5303_36821
ko:K00899	yee:YE5303_36861
ko:K08963	yee:YE5303_36871
ko:K08967	yee:YE5303_36881
ko:K09880	yee:YE5303_36891
ko:K08964	yee:YE5303_36901
ko:K14287	yee:YE5303_36911
ko:K02083	yee:YE5303_36931
ko:K02028	yee:YE5303_36951
ko:K02029	yee:YE5303_36961
ko:K02029	yee:YE5303_36971
ko:K02030	yee:YE5303_36981
ko:K15974	yee:YE5303_37071
ko:K03543	yee:YE5303_37091
ko:K03446	yee:YE5303_37101
ko:K03214	yee:YE5303_37111
ko:K03672	yee:YE5303_37121
ko:K05812	yee:YE5303_37131
ko:K00998	yee:YE5303_37151
ko:K05811	yee:YE5303_37161
ko:K03695	yee:YE5303_24531
ko:K05810	yee:YE5303_24541
ko:K06180	yee:YE5303_24551
ko:K05807	yee:YE5303_24561
ko:K05809	yee:YE5303_24571
ko:K14170	yee:YE5303_24581
ko:K14187	yee:YE5303_24591
ko:K01626	yee:YE5303_24601
ko:K02477	yee:YE5303_24611
ko:K07792	yee:YE5303_24621
ko:K07283	yee:YE5303_24631
ko:K02884	yee:YE5303_24641
ko:K01619	yee:YE5303_27591
ko:K03317	yee:YE5303_27601
ko:K03424	yee:YE5303_27611
ko:K04065	yee:YE5303_27631
ko:K02837	yee:YE5303_27641
ko:K03789	yee:YE5303_27651
ko:K02344	yee:YE5303_27661
ko:K00564	yee:YE5303_27671
ko:K16091	yee:YE5303_27721
ko:K02016	yee:YE5303_27731
ko:K00847	yee:YE5303_27741
ko:K16077	yee:YE5303_27751
ko:K02809	yee:YE5303_27761
ko:K02810	yee:YE5303_27761
ko:K01193	yee:YE5303_27771
ko:K03484	yee:YE5303_27781
ko:K05880	yee:YE5303_27791
ko:K01051	yee:YE5303_27801
ko:K00612	yee:YE5303_27851
ko:K05881	yee:YE5303_27871
ko:K05879	yee:YE5303_27881
ko:K05878	yee:YE5303_27891
ko:K00005	yee:YE5303_27901
ko:K01478	yee:YE5303_27931
ko:K03758	yee:YE5303_27941
ko:K02849	yee:YE5303_27961
ko:K11216	yee:YE5303_27971
ko:K11531	yee:YE5303_27981
ko:K10558	yee:YE5303_27991
ko:K10556	yee:YE5303_28001
ko:K10557	yee:YE5303_28011
ko:K10555	yee:YE5303_28021
ko:K08321	yee:YE5303_28031
ko:K11530	yee:YE5303_28041
ko:K07454	yee:YE5303_28071
ko:K10974	yee:YE5303_28091
ko:K12545	yee:YE5303_42271
ko:K12545	yee:YE5303_42261
ko:K12545	yee:YE5303_42251
ko:K12545	yee:YE5303_42241
ko:K12536	yee:YE5303_42231
ko:K12537	yee:YE5303_42221
ko:K00382	yee:YE5303_42201
ko:K04761	yee:YE5303_42181
ko:K00322	yee:YE5303_42171
ko:K00557	yee:YE5303_42141
ko:K16092	yee:YE5303_42131
ko:K01776	yee:YE5303_42121
ko:K02058	yee:YE5303_40821
ko:K02056	yee:YE5303_40831
ko:K02057	yee:YE5303_40841
ko:K02057	yee:YE5303_40851
ko:K09897	yee:YE5303_40871
ko:K07391	yee:YE5303_40881
ko:K01652	yee:YE5303_40891
ko:K11258	yee:YE5303_40901
ko:K00826	yee:YE5303_40911
ko:K01687	yee:YE5303_40921
ko:K01754	yee:YE5303_40931
ko:K02521	yee:YE5303_40951
ko:K00053	yee:YE5303_40961
ko:K07347	yee:YE5303_41031
ko:K07346	yee:YE5303_41041
ko:K07345	yee:YE5303_41051
ko:K03769	yee:YE5303_41061
ko:K03656	yee:YE5303_41071
ko:K18650	yee:YE5303_41081
ko:K01524	yee:YE5303_41091
ko:K03732	yee:YE5303_41101
ko:K03671	yee:YE5303_41111
ko:K02280	yee:YE5303_03241
ko:K02279	yee:YE5303_03251
ko:K02278	yee:YE5303_03261
ko:K03919	yee:YE5303_03281
ko:K07787	yee:YE5303_03291
ko:K07798	yee:YE5303_03301
ko:K07810	yee:YE5303_03321
ko:K02014	yee:YE5303_03341
ko:K07214	yee:YE5303_03351
ko:K02013	yee:YE5303_03361
ko:K02015	yee:YE5303_03371
ko:K02015	yee:YE5303_03381
ko:K02016	yee:YE5303_03391
ko:K03406	yee:YE5303_03421
ko:K06077	yee:YE5303_03461
ko:K06282	yee:YE5303_03471
ko:K06281	yee:YE5303_03501
ko:K03605	yee:YE5303_03511
ko:K04651	yee:YE5303_03521
ko:K04652	yee:YE5303_03531
ko:K04653	yee:YE5303_03541
ko:K04654	yee:YE5303_03551
ko:K04655	yee:YE5303_03561
ko:K04656	yee:YE5303_03571
ko:K00878	yee:YE5303_03581
ko:K03762	yee:YE5303_03651
ko:K03324	yee:YE5303_03681
ko:K02529	yee:YE5303_03701
ko:K08173	yee:YE5303_03711
ko:K07734	yee:YE5303_03721
ko:K00375	yee:YE5303_03731
ko:K09136	yee:YE5303_08971
ko:K18324	yee:YE5303_08981
ko:K07685	yee:YE5303_09001
ko:K02572	yee:YE5303_09011
ko:K02570	yee:YE5303_09021
ko:K02567	yee:YE5303_09031
ko:K02568	yee:YE5303_09041
ko:K02569	yee:YE5303_09051
ko:K00029	yee:YE5303_09071
ko:K09768	yee:YE5303_09101
ko:K00228	yee:YE5303_09111
ko:K01129	yee:YE5303_09171
ko:K07223	yee:YE5303_09461
ko:K01639	yee:YE5303_09471
ko:K01788	yee:YE5303_09481
ko:K00885	yee:YE5303_09491
ko:K03776	yee:YE5303_15191
ko:K03502	yee:YE5303_15201
ko:K01442	yee:YE5303_15261
ko:K01740	yee:YE5303_15271
ko:K02030	yee:YE5303_15311
ko:K06987	yee:YE5303_15321
ko:K02029	yee:YE5303_15331
ko:K02029	yee:YE5303_15341
ko:K02028	yee:YE5303_15351
ko:K01685	yee:YE5303_15361
ko:K00041	yee:YE5303_15371
ko:K18334	yee:YE5303_15401
ko:K07178	yee:YE5303_15501
ko:K06147	yee:YE5303_15511
ko:K03758	yee:YE5303_15531
ko:K07483	yee:YE5303_15591
ko:K11734	yee:YE5303_15631
ko:K12973	yee:YE5303_15641
ko:K03704	yee:YE5303_15661
ko:K03587	yee:YE5303_15681
ko:K00563	yee:YE5303_15691
ko:K08993	yee:YE5303_41621
ko:K08316	yee:YE5303_41631
ko:K03110	yee:YE5303_41641
ko:K09812	yee:YE5303_41651
ko:K09811	yee:YE5303_41661
ko:K03089	yee:YE5303_41671
ko:K01999	yee:YE5303_41691
ko:K01997	yee:YE5303_41701
ko:K01998	yee:YE5303_41711
ko:K01995	yee:YE5303_41721
ko:K01996	yee:YE5303_41731
ko:K05813	yee:YE5303_41801
ko:K05814	yee:YE5303_41811
ko:K05815	yee:YE5303_41821
ko:K05816	yee:YE5303_41831
ko:K01126	yee:YE5303_41841
ko:K07088	yee:YE5303_41851
ko:K03576	yee:YE5303_41871
ko:K00549	yee:YE5303_41881
ko:K01061	yee:YE5303_41891
ko:K00757	yee:YE5303_41901
ko:K06200	yee:YE5303_41921
ko:K09760	yee:YE5303_41941
ko:K03183	yee:YE5303_41951
ko:K03690	yee:YE5303_41961
ko:K03688	yee:YE5303_41971
ko:K03116	yee:YE5303_41981
ko:K03117	yee:YE5303_41991
ko:K03118	yee:YE5303_42001
ko:K03424	yee:YE5303_42011
ko:K01698	yee:YE5303_42021
ko:K05785	yee:YE5303_42031
ko:K03182	yee:YE5303_42041
ko:K05368	yee:YE5303_42051
ko:K01825	yee:YE5303_42071
ko:K03498	yee:YE5303_42101
ko:K02428	yee:YE5303_04321
ko:K09131	yee:YE5303_04331
ko:K02221	yee:YE5303_04341
ko:K00286	yee:YE5303_04351
ko:K06997	yee:YE5303_04361
ko:K02669	yee:YE5303_04371
ko:K10536	yee:YE5303_04381
ko:K12251	yee:YE5303_04391
ko:K07447	yee:YE5303_04401
ko:K07735	yee:YE5303_04411
ko:K01920	yee:YE5303_04421
ko:K09761	yee:YE5303_04431
ko:K01150	yee:YE5303_04441
ko:K02742	yee:YE5303_04451
ko:K07112	yee:YE5303_04471
ko:K07112	yee:YE5303_04481
ko:K00789	yee:YE5303_04491
ko:K01585	yee:YE5303_04501
ko:K07387	yee:YE5303_04521
ko:K00615	yee:YE5303_04531
ko:K03472	yee:YE5303_04541
ko:K00927	yee:YE5303_04551
ko:K01624	yee:YE5303_04561
ko:K03442	yee:YE5303_04571
ko:K06895	yee:YE5303_04591
ko:K09807	yee:YE5303_04601
ko:K05596	yee:YE5303_04611
ko:K01807	yee:YE5303_04621
ko:K00058	yee:YE5303_04631
ko:K01934	yee:YE5303_04641
ko:K09888	yee:YE5303_04651
ko:K09895	yee:YE5303_04661
ko:K01262	yee:YE5303_04671
ko:K03185	yee:YE5303_04681
ko:K18800	yee:YE5303_04691
ko:K00605	yee:YE5303_04701
ko:K02437	yee:YE5303_04711
ko:K00281	yee:YE5303_04721
ko:K07023	yee:YE5303_04741
ko:K11068	yee:YE5303_04751
ko:K06980	yee:YE5303_04761
ko:K09159	yee:YE5303_04771
ko:K19168	yee:YE5303_04781
ko:K07663	yee:YE5303_04791
ko:K07641	yee:YE5303_04801
ko:K06143	yee:YE5303_04811
ko:K03840	yee:YE5303_04821
ko:K04763	yee:YE5303_04831
ko:K02012	yee:YE5303_09961
ko:K08305	yee:YE5303_09971
ko:K08167	yee:YE5303_10011
ko:K02066	yee:YE5303_10021
ko:K02065	yee:YE5303_10031
ko:K02067	yee:YE5303_10041
ko:K18480	yee:YE5303_10051
ko:K03487	yee:YE5303_10101
ko:K02752	yee:YE5303_10111
ko:K02753	yee:YE5303_10111
ko:K01223	yee:YE5303_10121
ko:K06193	yee:YE5303_10151
ko:K15125	yee:YE5303_10371
ko:K07346	yee:YE5303_10431
ko:K07347	yee:YE5303_10451
ko:K00134	yee:YE5303_10481
ko:K14064	yee:YE5303_10501
ko:K09475	yee:YE5303_10511
ko:K01993	yee:YE5303_10521
ko:K03453	yee:YE5303_00081
ko:K00928	yee:YE5303_00091
ko:K01810	yee:YE5303_00101
ko:K13256	yee:YE5303_00111
ko:K10110	yee:YE5303_00121
ko:K10109	yee:YE5303_00131
ko:K10108	yee:YE5303_00141
ko:K10111	yee:YE5303_00161
ko:K02024	yee:YE5303_00171
ko:K05775	yee:YE5303_00181
ko:K03181	yee:YE5303_00191
ko:K03179	yee:YE5303_00201
ko:K00631	yee:YE5303_00211
ko:K00901	yee:YE5303_00221
ko:K01356	yee:YE5303_00231
ko:K09823	yee:YE5303_00251
ko:K05516	yee:YE5303_05401
ko:K18997	yee:YE5303_05411
ko:K01673	yee:YE5303_05461
ko:K02452	yee:YE5303_05481
ko:K02453	yee:YE5303_05491
ko:K02454	yee:YE5303_05501
ko:K02455	yee:YE5303_05511
ko:K02456	yee:YE5303_05521
ko:K02458	yee:YE5303_05531
