ko:K00130	sauy:SAI8T7_1019490
ko:K00763	sauy:SAI8T7_1014500
ko:K00491	sauy:SAI8T7_1014510
ko:K04518	sauy:SAI8T7_1014520
ko:K14445	sauy:SAI8T7_1014530
ko:K02809	sauy:SAI8T7_1017610
ko:K02810	sauy:SAI8T7_1017610
ko:K11102	sauy:SAI8T7_1017640
ko:K10850	sauy:SAI8T7_1017660
ko:K07696	sauy:SAI8T7_1017690
ko:K07683	sauy:SAI8T7_1017700
ko:K00374	sauy:SAI8T7_1017710
ko:K00373	sauy:SAI8T7_1017720
ko:K00371	sauy:SAI8T7_1017730
ko:K00370	sauy:SAI8T7_1017740
ko:K02303	sauy:SAI8T7_1017750
ko:K00362	sauy:SAI8T7_1017760
ko:K09815	sauy:SAI8T7_1017810
ko:K10010	sauy:SAI8T7_1017850
ko:K10009	sauy:SAI8T7_1017860
ko:K02424	sauy:SAI8T7_1017870
ko:K01834	sauy:SAI8T7_1017890
ko:K14197	sauy:SAI8T7_1017910
ko:K00652	sauy:SAI8T7_1017970
ko:K01012	sauy:SAI8T7_1017980
ko:K00833	sauy:SAI8T7_1017990
ko:K01935	sauy:SAI8T7_1018000
ko:K06147	sauy:SAI8T7_1018010
ko:K06147	sauy:SAI8T7_1018020
ko:K00865	sauy:SAI8T7_1018030
ko:K00948	sauy:SAI8T7_1003700
ko:K02897	sauy:SAI8T7_1003710
ko:K01056	sauy:SAI8T7_1003720
ko:K03723	sauy:SAI8T7_1003730
ko:K02499	sauy:SAI8T7_1003750
ko:K04075	sauy:SAI8T7_1003760
ko:K00760	sauy:SAI8T7_1003770
ko:K03798	sauy:SAI8T7_1003780
ko:K04083	sauy:SAI8T7_1003790
ko:K01738	sauy:SAI8T7_1003800
ko:K00796	sauy:SAI8T7_1003810
ko:K04567	sauy:SAI8T7_1003820
ko:K00375	sauy:SAI8T7_1003940
ko:K06215	sauy:SAI8T7_1003950
ko:K08681	sauy:SAI8T7_1003960
ko:K11535	sauy:SAI8T7_1003970
ko:K03708	sauy:SAI8T7_1003980
ko:K03696	sauy:SAI8T7_1004010
ko:K04485	sauy:SAI8T7_1004020
ko:K09698	sauy:SAI8T7_1004040
ko:K00640	sauy:SAI8T7_1004050
ko:K01883	sauy:SAI8T7_1004060
ko:K03218	sauy:SAI8T7_1004070
ko:K06962	sauy:SAI8T7_1004080
ko:K03091	sauy:SAI8T7_1004090
ko:K02601	sauy:SAI8T7_1004100
ko:K02863	sauy:SAI8T7_1004110
ko:K02864	sauy:SAI8T7_1004120
ko:K03043	sauy:SAI8T7_1004140
ko:K03046	sauy:SAI8T7_1004150
ko:K02992	sauy:SAI8T7_1004160
ko:K02355	sauy:SAI8T7_1004170
ko:K02358	sauy:SAI8T7_1004180
ko:K00639	sauy:SAI8T7_1004200
ko:K05523	sauy:SAI8T7_1004210
ko:K00876	sauy:SAI8T7_1011720
ko:K08303	sauy:SAI8T7_1011730
ko:K01872	sauy:SAI8T7_1011760
ko:K03581	sauy:SAI8T7_1011770
ko:K00566	sauy:SAI8T7_1011790
ko:K04487	sauy:SAI8T7_1011800
ko:K07478	sauy:SAI8T7_1011820
ko:K01876	sauy:SAI8T7_1011840
ko:K01892	sauy:SAI8T7_1011850
ko:K01448	sauy:SAI8T7_1011860
ko:K00951	sauy:SAI8T7_1011870
ko:K00759	sauy:SAI8T7_1011880
ko:K07462	sauy:SAI8T7_1011890
ko:K12257	sauy:SAI8T7_1011900
ko:K00773	sauy:SAI8T7_1011910
ko:K07568	sauy:SAI8T7_1011920
ko:K03551	sauy:SAI8T7_1011930
ko:K03550	sauy:SAI8T7_1011940
ko:K03979	sauy:SAI8T7_1011950
ko:K03571	sauy:SAI8T7_1011960
ko:K03570	sauy:SAI8T7_1011970
ko:K04763	sauy:SAI8T7_1012030
ko:K03630	sauy:SAI8T7_1012040
ko:K02236	sauy:SAI8T7_1012050
ko:K11754	sauy:SAI8T7_1012060
ko:K01873	sauy:SAI8T7_1012070
ko:K01246	sauy:SAI8T7_1012080
ko:K07120	sauy:SAI8T7_1012090
ko:K01845	sauy:SAI8T7_1012110
ko:K01698	sauy:SAI8T7_1012120
ko:K01719	sauy:SAI8T7_1012130
ko:K01749	sauy:SAI8T7_1012140
ko:K02497	sauy:SAI8T7_1012150
ko:K02492	sauy:SAI8T7_1012160
ko:K03978	sauy:SAI8T7_1012170
ko:K03544	sauy:SAI8T7_1012180
ko:K03451	sauy:SAI8T7_1019510
ko:K03300	sauy:SAI8T7_1019540
ko:K02304	sauy:SAI8T7_1019550
ko:K00380	sauy:SAI8T7_1019560
ko:K00432	sauy:SAI8T7_1019570
ko:K01077	sauy:SAI8T7_1019620
ko:K14192	sauy:SAI8T7_1019650
ko:K00926	sauy:SAI8T7_1019670
ko:K03758	sauy:SAI8T7_1019680
ko:K00611	sauy:SAI8T7_1019690
ko:K01478	sauy:SAI8T7_1019700
ko:K01401	sauy:SAI8T7_1019720
ko:K02768	sauy:SAI8T7_1019760
ko:K02769	sauy:SAI8T7_1019760
ko:K02770	sauy:SAI8T7_1019760
ko:K01809	sauy:SAI8T7_1019770
ko:K01421	sauy:SAI8T7_1019780
ko:K03070	sauy:SAI8T7_1019840
ko:K12270	sauy:SAI8T7_1019850
ko:K12269	sauy:SAI8T7_1019860
ko:K12268	sauy:SAI8T7_1019870
ko:K03076	sauy:SAI8T7_1019880
ko:K07304	sauy:SAI8T7_1019920
ko:K01104	sauy:SAI8T7_1019940
ko:K15986	sauy:SAI8T7_1014560
ko:K00128	sauy:SAI8T7_1014570
ko:K01992	sauy:SAI8T7_1014640
ko:K01990	sauy:SAI8T7_1014650
ko:K10254	sauy:SAI8T7_1000620
ko:K03303	sauy:SAI8T7_1000660
ko:K14196	sauy:SAI8T7_1000670
ko:K02015	sauy:SAI8T7_1000690
ko:K02015	sauy:SAI8T7_1000700
ko:K02016	sauy:SAI8T7_1000710
ko:K01586	sauy:SAI8T7_1000790
ko:K03366	sauy:SAI8T7_1000820
ko:K01784	sauy:SAI8T7_1000830
ko:K04564	sauy:SAI8T7_1000880
ko:K03784	sauy:SAI8T7_1000910
ko:K01619	sauy:SAI8T7_1000930
ko:K01839	sauy:SAI8T7_1000940
ko:K02042	sauy:SAI8T7_1000950
ko:K02042	sauy:SAI8T7_1000960
ko:K02041	sauy:SAI8T7_1000970
ko:K02044	sauy:SAI8T7_1000980
ko:K04072	sauy:SAI8T7_1001030
ko:K01104	sauy:SAI8T7_1001060
ko:K17716	sauy:SAI8T7_1001080
ko:K01791	sauy:SAI8T7_1001100
ko:K03685	sauy:SAI8T7_1008800
ko:K03529	sauy:SAI8T7_1008810
ko:K03110	sauy:SAI8T7_1008820
ko:K03106	sauy:SAI8T7_1008830
ko:K02860	sauy:SAI8T7_1008840
ko:K00554	sauy:SAI8T7_1008850
ko:K14540	sauy:SAI8T7_1008870
ko:K03470	sauy:SAI8T7_1008880
ko:K01903	sauy:SAI8T7_1008890
ko:K01902	sauy:SAI8T7_1008900
ko:K04096	sauy:SAI8T7_1008930
ko:K03168	sauy:SAI8T7_1008940
ko:K04094	sauy:SAI8T7_1008950
ko:K03733	sauy:SAI8T7_1008960
ko:K01419	sauy:SAI8T7_1008970
ko:K03667	sauy:SAI8T7_1008980
ko:K03706	sauy:SAI8T7_1008990
ko:K02967	sauy:SAI8T7_1009000
ko:K02357	sauy:SAI8T7_1009010
ko:K09903	sauy:SAI8T7_1009020
ko:K02838	sauy:SAI8T7_1009030
ko:K00806	sauy:SAI8T7_1009040
ko:K00981	sauy:SAI8T7_1009050
ko:K11749	sauy:SAI8T7_1009060
ko:K01881	sauy:SAI8T7_1009070
ko:K03763	sauy:SAI8T7_1009080
ko:K09748	sauy:SAI8T7_1009090
ko:K02600	sauy:SAI8T7_1009100
ko:K02519	sauy:SAI8T7_1009120
ko:K03177	sauy:SAI8T7_1009130
ko:K11753	sauy:SAI8T7_1009140
ko:K00962	sauy:SAI8T7_1009150
ko:K12574	sauy:SAI8T7_1009160
ko:K03466	sauy:SAI8T7_1009170
ko:K00059	sauy:SAI8T7_1009210
ko:K00995	sauy:SAI8T7_1009230
ko:K09769	sauy:SAI8T7_1009270
ko:K00174	sauy:SAI8T7_1009280
ko:K00175	sauy:SAI8T7_1009290
ko:K02982	sauy:SAI8T7_1016580
ko:K02886	sauy:SAI8T7_1016590
ko:K02926	sauy:SAI8T7_1016600
ko:K02906	sauy:SAI8T7_1016610
ko:K06901	sauy:SAI8T7_1016620
ko:K05340	sauy:SAI8T7_1016650
ko:K07088	sauy:SAI8T7_1016660
ko:K11693	sauy:SAI8T7_1016680
ko:K03639	sauy:SAI8T7_1016710
ko:K03752	sauy:SAI8T7_1016720
ko:K03753	sauy:SAI8T7_1016730
ko:K03750	sauy:SAI8T7_1016740
ko:K03637	sauy:SAI8T7_1016750
ko:K03638	sauy:SAI8T7_1016760
ko:K02017	sauy:SAI8T7_1016780
ko:K02018	sauy:SAI8T7_1016790
ko:K02020	sauy:SAI8T7_1016800
ko:K02379	sauy:SAI8T7_1016810
ko:K03523	sauy:SAI8T7_1016830
ko:K02016	sauy:SAI8T7_1016850
ko:K08717	sauy:SAI8T7_1016870
ko:K01428	sauy:SAI8T7_1016880
ko:K03188	sauy:SAI8T7_1016900
ko:K03189	sauy:SAI8T7_1016910
ko:K03190	sauy:SAI8T7_1016920
ko:K03315	sauy:SAI8T7_1016960
ko:K00123	sauy:SAI8T7_1017020
ko:K09768	sauy:SAI8T7_1005280
ko:K06153	sauy:SAI8T7_1005300
ko:K16013	sauy:SAI8T7_1005310
ko:K16012	sauy:SAI8T7_1005320
ko:K01669	sauy:SAI8T7_1005360
ko:K03436	sauy:SAI8T7_1005390
ko:K00882	sauy:SAI8T7_1005400
ko:K02768	sauy:SAI8T7_1005410
ko:K02769	sauy:SAI8T7_1005410
ko:K02770	sauy:SAI8T7_1005410
ko:K01443	sauy:SAI8T7_1005420
ko:K10681	sauy:SAI8T7_1005460
ko:K10682	sauy:SAI8T7_1005470
ko:K16937	sauy:SAI8T7_1005480
ko:K10026	sauy:SAI8T7_1005500
ko:K06920	sauy:SAI8T7_1005510
ko:K01664	sauy:SAI8T7_1005520
ko:K01665	sauy:SAI8T7_1005530
ko:K02619	sauy:SAI8T7_1005540
ko:K15738	sauy:SAI8T7_1005580
ko:K03654	sauy:SAI8T7_1005590
ko:K05847	sauy:SAI8T7_1005600
ko:K05845	sauy:SAI8T7_1005610
ko:K05846	sauy:SAI8T7_1005610
ko:K00817	sauy:SAI8T7_1005620
ko:K03305	sauy:SAI8T7_1005650
ko:K09457	sauy:SAI8T7_1005660
ko:K02015	sauy:SAI8T7_1005700
ko:K02015	sauy:SAI8T7_1005710
ko:K02013	sauy:SAI8T7_1005720
ko:K02016	sauy:SAI8T7_1005730
ko:K00075	sauy:SAI8T7_1005740
ko:K00865	sauy:SAI8T7_1005770
ko:K02549	sauy:SAI8T7_1013160
ko:K01911	sauy:SAI8T7_1013170
ko:K01154	sauy:SAI8T7_1013250
ko:K01154	sauy:SAI8T7_1013260
ko:K03427	sauy:SAI8T7_1013270
ko:K07002	sauy:SAI8T7_1013520
ko:K00231	sauy:SAI8T7_1013530
ko:K01772	sauy:SAI8T7_1013540
ko:K01599	sauy:SAI8T7_1013550
ko:K01992	sauy:SAI8T7_1013570
ko:K01990	sauy:SAI8T7_1013580
ko:K07533	sauy:SAI8T7_1013600
ko:K03698	sauy:SAI8T7_1013610
ko:K02313	sauy:SAI8T7_1000010
ko:K02338	sauy:SAI8T7_1000020
ko:K03629	sauy:SAI8T7_1000030
ko:K02470	sauy:SAI8T7_1000040
ko:K02469	sauy:SAI8T7_1000050
ko:K00382	sauy:SAI8T7_1007800
ko:K11072	sauy:SAI8T7_1007820
ko:K11071	sauy:SAI8T7_1007830
ko:K11070	sauy:SAI8T7_1007840
ko:K11069	sauy:SAI8T7_1007850
ko:K03322	sauy:SAI8T7_1007870
ko:K01092	sauy:SAI8T7_1007890
ko:K06207	sauy:SAI8T7_1007900
ko:K03588	sauy:SAI8T7_1007920
ko:K01958	sauy:SAI8T7_1007930
ko:K02259	sauy:SAI8T7_1007940
ko:K01126	sauy:SAI8T7_1007970
ko:K00954	sauy:SAI8T7_1007990
ko:K07040	sauy:SAI8T7_1008010
ko:K14193	sauy:SAI8T7_1008030
ko:K02016	sauy:SAI8T7_1008060
ko:K02015	sauy:SAI8T7_1008070
ko:K08600	sauy:SAI8T7_1008080
ko:K03437	sauy:SAI8T7_1008090
ko:K01889	sauy:SAI8T7_1008100
ko:K01890	sauy:SAI8T7_1008110
ko:K03471	sauy:SAI8T7_1008120
ko:K02347	sauy:SAI8T7_1008140
ko:K07456	sauy:SAI8T7_1008150
ko:K03703	sauy:SAI8T7_1008160
ko:K00241	sauy:SAI8T7_1008170
ko:K00239	sauy:SAI8T7_1008180
ko:K00240	sauy:SAI8T7_1008190
ko:K01776	sauy:SAI8T7_1008200
ko:K02428	sauy:SAI8T7_1008210
ko:K07095	sauy:SAI8T7_1008220
ko:K14200	sauy:SAI8T7_1008240
ko:K11032	sauy:SAI8T7_1008260
ko:K00128	sauy:SAI8T7_1015620
ko:K00790	sauy:SAI8T7_1015630
ko:K01624	sauy:SAI8T7_1015640
ko:K01937	sauy:SAI8T7_1015660
ko:K03048	sauy:SAI8T7_1015670
ko:K09680	sauy:SAI8T7_1015690
ko:K07173	sauy:SAI8T7_1015730
ko:K00756	sauy:SAI8T7_1015740
ko:K01619	sauy:SAI8T7_1015750
ko:K03784	sauy:SAI8T7_1015760
ko:K01809	sauy:SAI8T7_1015780
ko:K16264	sauy:SAI8T7_1015800
ko:K04763	sauy:SAI8T7_1015860
ko:K02013	sauy:SAI8T7_1015890
ko:K00820	sauy:SAI8T7_1015900
ko:K02799	sauy:SAI8T7_1015910
ko:K02800	sauy:SAI8T7_1015910
ko:K00009	sauy:SAI8T7_1015930
ko:K03431	sauy:SAI8T7_1015950
ko:K01476	sauy:SAI8T7_1015980
ko:K03593	sauy:SAI8T7_1016060
ko:K00853	sauy:SAI8T7_1004220
ko:K00826	sauy:SAI8T7_1004240
ko:K01091	sauy:SAI8T7_1004250
ko:K15519	sauy:SAI8T7_1004260
ko:K15518	sauy:SAI8T7_1004270
ko:K14194	sauy:SAI8T7_1004300
ko:K14194	sauy:SAI8T7_1004310
ko:K14194	sauy:SAI8T7_1004320
ko:K00712	sauy:SAI8T7_1004350
ko:K00712	sauy:SAI8T7_1004360
ko:K09007	sauy:SAI8T7_1004380
ko:K02564	sauy:SAI8T7_1004400
ko:K08093	sauy:SAI8T7_1004410
ko:K08094	sauy:SAI8T7_1004420
ko:K03762	sauy:SAI8T7_1004440
ko:K00626	sauy:SAI8T7_1004460
ko:K00868	sauy:SAI8T7_1004470
ko:K03648	sauy:SAI8T7_1004490
ko:K00625	sauy:SAI8T7_1004530
ko:K16869	sauy:SAI8T7_1004540
ko:K00869	sauy:SAI8T7_1004550
ko:K01597	sauy:SAI8T7_1004560
ko:K00938	sauy:SAI8T7_1004570
ko:K06885	sauy:SAI8T7_1004660
ko:K13953	sauy:SAI8T7_1004680
ko:K01887	sauy:SAI8T7_1004690
ko:K07457	sauy:SAI8T7_1004700
ko:K02016	sauy:SAI8T7_1004710
ko:K02015	sauy:SAI8T7_1004720
ko:K07025	sauy:SAI8T7_1004730
ko:K03545	sauy:SAI8T7_1012190
ko:K02520	sauy:SAI8T7_1012220
ko:K11733	sauy:SAI8T7_1012230
ko:K01868	sauy:SAI8T7_1012240
ko:K11144	sauy:SAI8T7_1012250
ko:K03346	sauy:SAI8T7_1012260
ko:K07738	sauy:SAI8T7_1012270
ko:K00134	sauy:SAI8T7_1012280
ko:K00859	sauy:SAI8T7_1012290
ko:K10563	sauy:SAI8T7_1012300
ko:K07636	sauy:SAI8T7_1012330
ko:K07658	sauy:SAI8T7_1012340
ko:K00031	sauy:SAI8T7_1012350
ko:K01647	sauy:SAI8T7_1012360
ko:K11737	sauy:SAI8T7_1012370
ko:K00873	sauy:SAI8T7_1012380
ko:K00850	sauy:SAI8T7_1012390
ko:K01962	sauy:SAI8T7_1012400
ko:K01963	sauy:SAI8T7_1012410
ko:K00027	sauy:SAI8T7_1012420
ko:K02337	sauy:SAI8T7_1012430
ko:K00259	sauy:SAI8T7_1012480
ko:K00925	sauy:SAI8T7_1012500
ko:K11065	sauy:SAI8T7_1012520
ko:K07090	sauy:SAI8T7_1012530
ko:K03151	sauy:SAI8T7_1012540
ko:K04487	sauy:SAI8T7_1012550
ko:K06286	sauy:SAI8T7_1012560
ko:K02986	sauy:SAI8T7_1012570
ko:K01126	sauy:SAI8T7_1012590
ko:K00058	sauy:SAI8T7_1012620
ko:K01442	sauy:SAI8T7_1002130
ko:K01990	sauy:SAI8T7_1002150
ko:K01992	sauy:SAI8T7_1002160
ko:K01992	sauy:SAI8T7_1002170
ko:K03466	sauy:SAI8T7_1002220
ko:K03311	sauy:SAI8T7_1002320
ko:K02004	sauy:SAI8T7_1002340
ko:K02003	sauy:SAI8T7_1002350
ko:K16329	sauy:SAI8T7_1002380
ko:K03307	sauy:SAI8T7_1002400
ko:K01639	sauy:SAI8T7_1002410
ko:K01788	sauy:SAI8T7_1002440
ko:K03800	sauy:SAI8T7_1002520
ko:K03475	sauy:SAI8T7_1002540
ko:K02445	sauy:SAI8T7_1002570
ko:K00299	sauy:SAI8T7_1002600
ko:K03817	sauy:SAI8T7_1002630
ko:K07224	sauy:SAI8T7_1002640
ko:K16301	sauy:SAI8T7_1002650
ko:K03797	sauy:SAI8T7_1010280
ko:K07304	sauy:SAI8T7_1010300
ko:K09125	sauy:SAI8T7_1010350
ko:K08170	sauy:SAI8T7_1010370
ko:K03294	sauy:SAI8T7_1010380
ko:K01754	sauy:SAI8T7_1010390
ko:K00259	sauy:SAI8T7_1010400
ko:K07444	sauy:SAI8T7_1010440
ko:K03700	sauy:SAI8T7_1010460
ko:K05366	sauy:SAI8T7_1010470
ko:K10773	sauy:SAI8T7_1010480
ko:K02086	sauy:SAI8T7_1010490
ko:K01893	sauy:SAI8T7_1010500
ko:K03524	sauy:SAI8T7_1010520
ko:K00974	sauy:SAI8T7_1010530
ko:K06973	sauy:SAI8T7_1010550
ko:K00800	sauy:SAI8T7_1010590
ko:K01735	sauy:SAI8T7_1010600
ko:K01736	sauy:SAI8T7_1010610
ko:K00940	sauy:SAI8T7_1010620
ko:K00805	sauy:SAI8T7_1010630
ko:K03183	sauy:SAI8T7_1010640
ko:K00057	sauy:SAI8T7_1010660
ko:K03977	sauy:SAI8T7_1010670
ko:K02945	sauy:SAI8T7_1010680
ko:K00945	sauy:SAI8T7_1010690
ko:K01424	sauy:SAI8T7_1010700
ko:K03654	sauy:SAI8T7_1010730
ko:K11737	sauy:SAI8T7_1018090
ko:K00077	sauy:SAI8T7_1018140
ko:K08170	sauy:SAI8T7_1018150
ko:K05846	sauy:SAI8T7_1018160
ko:K05845	sauy:SAI8T7_1018170
ko:K05846	sauy:SAI8T7_1018180
ko:K05847	sauy:SAI8T7_1018190
ko:K03929	sauy:SAI8T7_1018220
ko:K02069	sauy:SAI8T7_1018240
ko:K02068	sauy:SAI8T7_1018250
ko:K10824	sauy:SAI8T7_1018310
ko:K15587	sauy:SAI8T7_1018320
ko:K15586	sauy:SAI8T7_1018330
ko:K15585	sauy:SAI8T7_1018340
ko:K15584	sauy:SAI8T7_1018350
ko:K12942	sauy:SAI8T7_1018410
ko:K01835	sauy:SAI8T7_1018530
ko:K07243	sauy:SAI8T7_1002660
ko:K03118	sauy:SAI8T7_1002670
ko:K01990	sauy:SAI8T7_1002690
ko:K00626	sauy:SAI8T7_1002720
ko:K00549	sauy:SAI8T7_1002740
ko:K01760	sauy:SAI8T7_1002760
ko:K01739	sauy:SAI8T7_1002770
ko:K06942	sauy:SAI8T7_1002800
ko:K01834	sauy:SAI8T7_1002850
ko:K03387	sauy:SAI8T7_1002870
ko:K03386	sauy:SAI8T7_1002880
ko:K06956	sauy:SAI8T7_1002900
ko:K03816	sauy:SAI8T7_1002950
ko:K16169	sauy:SAI8T7_1002960
ko:K00088	sauy:SAI8T7_1002970
ko:K01951	sauy:SAI8T7_1002980
ko:K11042	sauy:SAI8T7_1003020
ko:K03427	sauy:SAI8T7_1003120
ko:K01154	sauy:SAI8T7_1003130
ko:K07651	sauy:SAI8T7_1010820
ko:K07775	sauy:SAI8T7_1010830
ko:K06178	sauy:SAI8T7_1010840
ko:K06024	sauy:SAI8T7_1010850
ko:K05896	sauy:SAI8T7_1010860
ko:K09763	sauy:SAI8T7_1010870
ko:K04763	sauy:SAI8T7_1010880
ko:K01515	sauy:SAI8T7_1010890
ko:K07124	sauy:SAI8T7_1010910
ko:K00286	sauy:SAI8T7_1010920
ko:K00784	sauy:SAI8T7_1010930
ko:K00036	sauy:SAI8T7_1010940
ko:K01187	sauy:SAI8T7_1010960
ko:K00033	sauy:SAI8T7_1010990
ko:K09699	sauy:SAI8T7_1011020
ko:K00167	sauy:SAI8T7_1011030
ko:K00166	sauy:SAI8T7_1011040
ko:K00382	sauy:SAI8T7_1011050
ko:K03631	sauy:SAI8T7_1011060
ko:K13789	sauy:SAI8T7_1011070
ko:K03601	sauy:SAI8T7_1011080
ko:K01961	sauy:SAI8T7_1011090
ko:K02160	sauy:SAI8T7_1011100
ko:K02356	sauy:SAI8T7_1011110
ko:K01262	sauy:SAI8T7_1011120
ko:K03800	sauy:SAI8T7_1011140
ko:K00283	sauy:SAI8T7_1011150
ko:K00282	sauy:SAI8T7_1011160
ko:K00605	sauy:SAI8T7_1011170
ko:K00891	sauy:SAI8T7_1011180
ko:K02244	sauy:SAI8T7_1011200
ko:K02243	sauy:SAI8T7_1011210
ko:K00963	sauy:SAI8T7_1018580
ko:K13732	sauy:SAI8T7_1018590
ko:K03299	sauy:SAI8T7_1018600
ko:K00851	sauy:SAI8T7_1018610
ko:K11476	sauy:SAI8T7_1018620
ko:K03535	sauy:SAI8T7_1018670
ko:K01990	sauy:SAI8T7_1018690
ko:K04041	sauy:SAI8T7_1018710
ko:K06999	sauy:SAI8T7_1018730
ko:K15975	sauy:SAI8T7_1018740
ko:K07104	sauy:SAI8T7_1018750
ko:K03778	sauy:SAI8T7_1018770
ko:K16917	sauy:SAI8T7_1018790
ko:K16916	sauy:SAI8T7_1018800
ko:K07284	sauy:SAI8T7_1018810
ko:K03823	sauy:SAI8T7_1018820
ko:K01752	sauy:SAI8T7_1018830
ko:K01752	sauy:SAI8T7_1018840
ko:K00158	sauy:SAI8T7_1018890
ko:K00054	sauy:SAI8T7_1018920
ko:K01641	sauy:SAI8T7_1018930
ko:K00567	sauy:SAI8T7_1018940
ko:K04086	sauy:SAI8T7_1018950
ko:K04759	sauy:SAI8T7_1018960
ko:K06994	sauy:SAI8T7_1018970
ko:K00294	sauy:SAI8T7_1018990
ko:K17686	sauy:SAI8T7_1019010
ko:K03778	sauy:SAI8T7_1019020
ko:K00681	sauy:SAI8T7_1001560
ko:K14221	sauy:SAI8T7_1000160
ko:K14221	sauy:SAI8T7_1013500
ko:K14221	sauy:SAI8T7_1013880
ko:K14221	sauy:SAI8T7_1013910
ko:K14233	sauy:SAI8T7_1003470
ko:K14233	sauy:SAI8T7_1013920
ko:K14233	sauy:SAI8T7_1013900
ko:K14233	sauy:SAI8T7_1007270
ko:K14233	sauy:SAI8T7_1013440
ko:K14227	sauy:SAI8T7_1003550
ko:K14227	sauy:SAI8T7_1014050
ko:K14227	sauy:SAI8T7_1003920
ko:K14218	sauy:SAI8T7_1003560
ko:K14218	sauy:SAI8T7_1003930
ko:K14218	sauy:SAI8T7_1003900
ko:K14218	sauy:SAI8T7_1014040
ko:K14218	sauy:SAI8T7_1013950
ko:K14237	sauy:SAI8T7_1003830
ko:K14237	sauy:SAI8T7_1014030
ko:K14237	sauy:SAI8T7_1016020
ko:K14234	sauy:SAI8T7_1003840
ko:K14234	sauy:SAI8T7_1013860
ko:K14234	sauy:SAI8T7_1014020
ko:K14225	sauy:SAI8T7_1003860
ko:K14225	sauy:SAI8T7_1013990
ko:K14224	sauy:SAI8T7_1000150
ko:K14224	sauy:SAI8T7_1016030
ko:K14224	sauy:SAI8T7_1013450
ko:K14225	sauy:SAI8T7_1013790
ko:K14225	sauy:SAI8T7_1013800
ko:K14228	sauy:SAI8T7_1013780
ko:K14219	sauy:SAI8T7_1003880
ko:K14219	sauy:SAI8T7_1013970
ko:K14219	sauy:SAI8T7_1006020
ko:K14219	sauy:SAI8T7_1008340
ko:K14220	sauy:SAI8T7_1007280
ko:K14220	sauy:SAI8T7_1013460
ko:K14220	sauy:SAI8T7_1016040
ko:K14225	sauy:SAI8T7_1013470
ko:K14225	sauy:SAI8T7_1015160
ko:K14235	sauy:SAI8T7_1013840
ko:K14236	sauy:SAI8T7_1013850
ko:K14236	sauy:SAI8T7_1016010
ko:K14228	sauy:SAI8T7_1014000
ko:K14228	sauy:SAI8T7_1003870
ko:K14228	sauy:SAI8T7_1013980
ko:K14231	sauy:SAI8T7_1013490
ko:K14231	sauy:SAI8T7_1013870
ko:K14230	sauy:SAI8T7_1013510
ko:K14230	sauy:SAI8T7_1013890
ko:K14230	sauy:SAI8T7_1013940
ko:K14222	sauy:SAI8T7_1013810
ko:K14230	sauy:SAI8T7_1013930
ko:K14223	sauy:SAI8T7_1013820
ko:K14223	sauy:SAI8T7_1016000
ko:K01977	sauy:SAI8T7_1003910
ko:K01977	sauy:SAI8T7_1016050
ko:K01977	sauy:SAI8T7_1015150
ko:K01977	sauy:SAI8T7_1014060
ko:K01977	sauy:SAI8T7_1003540
ko:K14229	sauy:SAI8T7_1003850
ko:K14229	sauy:SAI8T7_1014010
ko:K14229	sauy:SAI8T7_1015990
ko:K14226	sauy:SAI8T7_1013480
ko:K14226	sauy:SAI8T7_1013830
ko:K14228	sauy:SAI8T7_1015170
ko:K14232	sauy:SAI8T7_1003890
ko:K14232	sauy:SAI8T7_1013960
ko:K07705	sauy:SAI8T7_1002020
ko:K18707	sauy:SAI8T7_1011450
ko:K02547	sauy:SAI8T7_1000280
ko:K18766	sauy:SAI8T7_20030
ko:K05592	sauy:SAI8T7_1015320
ko:K18672	sauy:SAI8T7_1015970
ko:K18704	sauy:SAI8T7_1001940
ko:K18682	sauy:SAI8T7_1009260
ko:K18692	sauy:SAI8T7_1011310
ko:K19279	sauy:SAI8T7_1012010
ko:K19279	sauy:SAI8T7_1015840
ko:K19279	sauy:SAI8T7_1019330
ko:K09692	sauy:SAI8T7_1014150
ko:K18941	sauy:SAI8T7_1010240
ko:K18908	sauy:SAI8T7_1002560
ko:K04940	sauy:SAI8T7_1016970
ko:K18907	sauy:SAI8T7_1000640
ko:K11040	sauy:SAI8T7_1014720
ko:K03169	sauy:SAI8T7_1016630
ko:K03497	sauy:SAI8T7_1002780
ko:K03111	sauy:SAI8T7_1002810
ko:K03502	sauy:SAI8T7_1009810
ko:K03497	sauy:SAI8T7_1020320
ko:K02172	sauy:SAI8T7_20040
ko:K11040	sauy:SAI8T7_1013390
ko:K11040	sauy:SAI8T7_1013400
ko:K11040	sauy:SAI8T7_1013410
ko:K11040	sauy:SAI8T7_1013420
ko:K11040	sauy:SAI8T7_1013430
ko:K14201	sauy:SAI8T7_1006190
ko:K09145	sauy:SAI8T7_1005210
ko:K07029	sauy:SAI8T7_1014380
ko:K01271	sauy:SAI8T7_1012470
ko:K18979	sauy:SAI8T7_1013730
ko:K00949	sauy:SAI8T7_1008730
ko:K01318	sauy:SAI8T7_1007420
ko:K07498	sauy:SAI8T7_20010
ko:K07816	sauy:SAI8T7_1018640
ko:K03429	sauy:SAI8T7_1007200
ko:K02755	sauy:SAI8T7_1002050
ko:K03293	sauy:SAI8T7_1017090
ko:K19077	sauy:SAI8T7_1005110
