ko:K11720	syt:SYNGTI_2879
ko:K04077	syt:SYNGTI_0837
ko:K01736	syt:SYNGTI_0841
ko:K02935	syt:SYNGTI_0842
ko:K02864	syt:SYNGTI_0843
ko:K02863	syt:SYNGTI_0844
ko:K02867	syt:SYNGTI_0845
ko:K02601	syt:SYNGTI_0846
ko:K03073	syt:SYNGTI_0847
ko:K02884	syt:SYNGTI_0848
ko:K02639	syt:SYNGTI_0854
ko:K03821	syt:SYNGTI_0856
ko:K02639	syt:SYNGTI_1673
ko:K00609	syt:SYNGTI_1677
ko:K07259	syt:SYNGTI_1687
ko:K03046	syt:SYNGTI_1691
ko:K00612	syt:SYNGTI_1692
ko:K03588	syt:SYNGTI_1694
ko:K02662	syt:SYNGTI_1700
ko:K02666	syt:SYNGTI_1703
ko:K04075	syt:SYNGTI_1706
ko:K01733	syt:SYNGTI_1707
ko:K05582	syt:SYNGTI_1709
ko:K05581	syt:SYNGTI_1710
ko:K01704	syt:SYNGTI_1723
ko:K01937	syt:SYNGTI_1724
ko:K01895	syt:SYNGTI_2535
ko:K02040	syt:SYNGTI_2541
ko:K02377	syt:SYNGTI_2543
ko:K02913	syt:SYNGTI_2545
ko:K02963	syt:SYNGTI_2546
ko:K01775	syt:SYNGTI_2547
ko:K03321	syt:SYNGTI_2549
ko:K02034	syt:SYNGTI_2550
ko:K03924	syt:SYNGTI_2554
ko:K02355	syt:SYNGTI_2557
ko:K01933	syt:SYNGTI_2558
ko:K03183	syt:SYNGTI_2559
ko:K01772	syt:SYNGTI_2560
ko:K05577	syt:SYNGTI_2567
ko:K00240	syt:SYNGTI_2570
ko:K00954	syt:SYNGTI_2574
ko:K03501	syt:SYNGTI_2576
ko:K09014	syt:SYNGTI_2579
ko:K09013	syt:SYNGTI_2580
ko:K09015	syt:SYNGTI_2581
ko:K11717	syt:SYNGTI_2582
ko:K03273	syt:SYNGTI_2585
ko:K03271	syt:SYNGTI_2586
ko:K01737	syt:SYNGTI_2587
ko:K05356	syt:SYNGTI_0001
ko:K06181	syt:SYNGTI_0002
ko:K02377	syt:SYNGTI_0006
ko:K01711	syt:SYNGTI_0007
ko:K01972	syt:SYNGTI_0010
ko:K02015	syt:SYNGTI_0012
ko:K02015	syt:SYNGTI_0013
ko:K02013	syt:SYNGTI_0014
ko:K02016	syt:SYNGTI_0015
ko:K02016	syt:SYNGTI_0020
ko:K03561	syt:SYNGTI_0026
ko:K05577	syt:SYNGTI_0861
ko:K02689	syt:SYNGTI_0863
ko:K02690	syt:SYNGTI_0864
ko:K00162	syt:SYNGTI_0871
ko:K00865	syt:SYNGTI_0874
ko:K01738	syt:SYNGTI_0876
ko:K00036	syt:SYNGTI_0877
ko:K03701	syt:SYNGTI_0878
ko:K03530	syt:SYNGTI_0884
ko:K03654	syt:SYNGTI_0887
ko:K02188	syt:SYNGTI_0889
ko:K01770	syt:SYNGTI_0892
ko:K03327	syt:SYNGTI_0893
ko:K03088	syt:SYNGTI_0897
ko:K07089	syt:SYNGTI_0899
ko:K03116	syt:SYNGTI_0901
ko:K03798	syt:SYNGTI_0903
ko:K03787	syt:SYNGTI_0906
ko:K01462	syt:SYNGTI_0907
ko:K04567	syt:SYNGTI_0909
ko:K10257	syt:SYNGTI_1727
ko:K00275	syt:SYNGTI_1728
ko:K05896	syt:SYNGTI_1729
ko:K03106	syt:SYNGTI_1731
ko:K02434	syt:SYNGTI_1734
ko:K02946	syt:SYNGTI_1745
ko:K02358	syt:SYNGTI_1746
ko:K02355	syt:SYNGTI_1747
ko:K02992	syt:SYNGTI_1748
ko:K02950	syt:SYNGTI_1749
ko:K01945	syt:SYNGTI_1751
ko:K01808	syt:SYNGTI_1753
ko:K09932	syt:SYNGTI_1756
ko:K07267	syt:SYNGTI_1757
ko:K00958	syt:SYNGTI_1760
ko:K10960	syt:SYNGTI_1764
ko:K00005	syt:SYNGTI_1765
ko:K00111	syt:SYNGTI_1776
ko:K14441	syt:SYNGTI_2592
ko:K05592	syt:SYNGTI_2593
ko:K00145	syt:SYNGTI_2594
ko:K02501	syt:SYNGTI_2595
ko:K01868	syt:SYNGTI_2596
ko:K05928	syt:SYNGTI_2599
ko:K00457	syt:SYNGTI_2600
ko:K05516	syt:SYNGTI_2603
ko:K03321	syt:SYNGTI_2605
ko:K01693	syt:SYNGTI_2608
ko:K02003	syt:SYNGTI_2613
ko:K02234	syt:SYNGTI_2614
ko:K10206	syt:SYNGTI_2620
ko:K03561	syt:SYNGTI_2627
ko:K02012	syt:SYNGTI_2628
ko:K01952	syt:SYNGTI_2635
ko:K01952	syt:SYNGTI_2636
ko:K00948	syt:SYNGTI_2641
ko:K01935	syt:SYNGTI_2642
ko:K07568	syt:SYNGTI_2643
ko:K03524	syt:SYNGTI_0255
ko:K03183	syt:SYNGTI_0257
ko:K00031	syt:SYNGTI_0259
ko:K02221	syt:SYNGTI_0265
ko:K02012	syt:SYNGTI_0266
ko:K00554	syt:SYNGTI_0267
ko:K00012	syt:SYNGTI_0273
ko:K03185	syt:SYNGTI_0274
ko:K06199	syt:SYNGTI_0275
ko:K11472	syt:SYNGTI_0281
ko:K13292	syt:SYNGTI_0285
ko:K00228	syt:SYNGTI_0287
ko:K02902	syt:SYNGTI_0290
ko:K07243	syt:SYNGTI_0294
ko:K02338	syt:SYNGTI_0295
ko:K01695	syt:SYNGTI_0296
ko:K03182	syt:SYNGTI_0301
ko:K13541	syt:SYNGTI_0302
ko:K01749	syt:SYNGTI_1129
ko:K13788	syt:SYNGTI_1131
ko:K06206	syt:SYNGTI_1133
ko:K01925	syt:SYNGTI_1137
ko:K03192	syt:SYNGTI_1140
ko:K03526	syt:SYNGTI_1141
ko:K02470	syt:SYNGTI_1144
ko:K00297	syt:SYNGTI_1147
ko:K04773	syt:SYNGTI_1159
ko:K02492	syt:SYNGTI_1162
ko:K01733	syt:SYNGTI_1182
ko:K02227	syt:SYNGTI_2004
ko:K02836	syt:SYNGTI_2005
ko:K03281	syt:SYNGTI_2006
ko:K01790	syt:SYNGTI_2018
ko:K00161	syt:SYNGTI_2020
ko:K01142	syt:SYNGTI_2022
ko:K00940	syt:SYNGTI_2024
ko:K08963	syt:SYNGTI_2029
ko:K00655	syt:SYNGTI_2030
ko:K08482	syt:SYNGTI_2035
ko:K15633	syt:SYNGTI_2039
ko:K03075	syt:SYNGTI_2040
ko:K00627	syt:SYNGTI_2042
ko:K03216	syt:SYNGTI_2048
ko:K05808	syt:SYNGTI_2050
ko:K03801	syt:SYNGTI_2051
ko:K03284	syt:SYNGTI_2864
ko:K00806	syt:SYNGTI_2865
ko:K01586	syt:SYNGTI_2867
ko:K01887	syt:SYNGTI_2869
ko:K01358	syt:SYNGTI_2872
ko:K01696	syt:SYNGTI_2873
ko:K02003	syt:SYNGTI_2875
ko:K01893	syt:SYNGTI_2880
ko:K00611	syt:SYNGTI_2883
ko:K01588	syt:SYNGTI_2884
ko:K02016	syt:SYNGTI_0032
ko:K02016	syt:SYNGTI_0033
ko:K04654	syt:SYNGTI_0044
ko:K00067	syt:SYNGTI_0045
ko:K00703	syt:SYNGTI_0047
ko:K15256	syt:SYNGTI_0052
ko:K05946	syt:SYNGTI_0056
ko:K02654	syt:SYNGTI_0064
ko:K00215	syt:SYNGTI_0066
ko:K03671	syt:SYNGTI_0067
ko:K01952	syt:SYNGTI_0068
ko:K00942	syt:SYNGTI_0072
ko:K07090	syt:SYNGTI_0075
ko:K08300	syt:SYNGTI_0080
ko:K03470	syt:SYNGTI_0081
ko:K00962	syt:SYNGTI_0083
ko:K03100	syt:SYNGTI_0084
ko:K03531	syt:SYNGTI_0922
ko:K03589	syt:SYNGTI_0923
ko:K03797	syt:SYNGTI_0924
ko:K03438	syt:SYNGTI_0926
ko:K03187	syt:SYNGTI_0928
ko:K03657	syt:SYNGTI_0931
ko:K08999	syt:SYNGTI_0932
ko:K07071	syt:SYNGTI_0933
ko:K01923	syt:SYNGTI_0937
ko:K07277	syt:SYNGTI_0938
ko:K02837	syt:SYNGTI_0939
ko:K06955	syt:SYNGTI_0942
ko:K00239	syt:SYNGTI_0945
ko:K02503	syt:SYNGTI_0947
ko:K09005	syt:SYNGTI_0949
ko:K02192	syt:SYNGTI_0950
ko:K01920	syt:SYNGTI_0959
ko:K01661	syt:SYNGTI_0961
ko:K00324	syt:SYNGTI_0962
ko:K07075	syt:SYNGTI_0964
ko:K00325	syt:SYNGTI_0966
ko:K00864	syt:SYNGTI_1779
ko:K03437	syt:SYNGTI_1780
ko:K04651	syt:SYNGTI_1782
ko:K00748	syt:SYNGTI_1784
ko:K02888	syt:SYNGTI_1785
ko:K02899	syt:SYNGTI_1786
ko:K08641	syt:SYNGTI_1787
ko:K01649	syt:SYNGTI_1788
ko:K13821	syt:SYNGTI_1794
ko:K01902	syt:SYNGTI_1805
ko:K01950	syt:SYNGTI_1811
ko:K01890	syt:SYNGTI_1815
ko:K01595	syt:SYNGTI_1818
ko:K00767	syt:SYNGTI_1821
ko:K06042	syt:SYNGTI_1824
ko:K01623	syt:SYNGTI_1829
ko:K02232	syt:SYNGTI_2654
ko:K00873	syt:SYNGTI_2658
ko:K07007	syt:SYNGTI_2659
ko:K03671	syt:SYNGTI_2660
ko:K03312	syt:SYNGTI_2664
ko:K06208	syt:SYNGTI_2665
ko:K01625	syt:SYNGTI_2669
ko:K07037	syt:SYNGTI_2671
ko:K06941	syt:SYNGTI_2679
ko:K03147	syt:SYNGTI_2693
ko:K07058	syt:SYNGTI_2694
ko:K00937	syt:SYNGTI_2697
ko:K03608	syt:SYNGTI_2698
ko:K10716	syt:SYNGTI_2901
ko:K09012	syt:SYNGTI_2578
ko:K03320	syt:SYNGTI_2668
ko:K02014	syt:SYNGTI_0016
ko:K07063	syt:SYNGTI_1506
ko:K02014	syt:SYNGTI_0031
ko:K08903	syt:SYNGTI_0040
ko:K07304	syt:SYNGTI_0046
ko:K09118	syt:SYNGTI_0061
ko:K00939	syt:SYNGTI_0065
ko:K01515	syt:SYNGTI_0070
ko:K03574	syt:SYNGTI_0082
ko:K15578	syt:SYNGTI_0916
ko:K15577	syt:SYNGTI_0917
ko:K15576	syt:SYNGTI_0918
ko:K03856	syt:SYNGTI_0304
ko:K01784	syt:SYNGTI_0343
ko:K01784	syt:SYNGTI_0356
ko:K09825	syt:SYNGTI_1201
ko:K02035	syt:SYNGTI_1204
ko:K07009	syt:SYNGTI_1206
ko:K02705	syt:SYNGTI_1223
ko:K00389	syt:SYNGTI_1226
ko:K07031	syt:SYNGTI_1229
ko:K03087	syt:SYNGTI_2056
ko:K01191	syt:SYNGTI_2059
ko:K01104	syt:SYNGTI_2066
ko:K00845	syt:SYNGTI_2067
ko:K05575	syt:SYNGTI_2073
ko:K02030	syt:SYNGTI_2091
ko:K00150	syt:SYNGTI_2928
ko:K01092	syt:SYNGTI_2943
ko:K06883	syt:SYNGTI_2957
ko:K01424	syt:SYNGTI_2661
ko:K07114	syt:SYNGTI_2672
ko:K00595	syt:SYNGTI_2678
ko:K10697	syt:SYNGTI_2689
ko:K02533	syt:SYNGTI_2695
ko:K00966	syt:SYNGTI_1804
ko:K01823	syt:SYNGTI_1806
ko:K02693	syt:SYNGTI_1808
ko:K10563	syt:SYNGTI_1809
ko:K00514	syt:SYNGTI_1826
ko:K03325	syt:SYNGTI_1831
ko:K11329	syt:SYNGTI_1834
ko:K01470	syt:SYNGTI_2645
ko:K00845	syt:SYNGTI_2648
ko:K00027	syt:SYNGTI_0085
ko:K07769	syt:SYNGTI_0110
ko:K07052	syt:SYNGTI_0115
ko:K01480	syt:SYNGTI_0134
ko:K03768	syt:SYNGTI_0135
ko:K01569	syt:SYNGTI_0976
ko:K06147	syt:SYNGTI_0999
ko:K07052	syt:SYNGTI_1852
ko:K00721	syt:SYNGTI_1856
ko:K01507	syt:SYNGTI_1857
ko:K05584	syt:SYNGTI_1858
ko:K09966	syt:SYNGTI_1865
ko:K09763	syt:SYNGTI_1873
ko:K02480	syt:SYNGTI_2717
ko:K07123	syt:SYNGTI_2750
ko:K11312	syt:SYNGTI_0585
ko:K00121	syt:SYNGTI_0589
ko:K03405	syt:SYNGTI_0591
ko:K02660	syt:SYNGTI_0624
ko:K02658	syt:SYNGTI_0626
ko:K02657	syt:SYNGTI_0627
ko:K07079	syt:SYNGTI_1456
ko:K00058	syt:SYNGTI_1484
ko:K03593	syt:SYNGTI_2333
ko:K02722	syt:SYNGTI_2347
ko:K03689	syt:SYNGTI_0148
ko:K09121	syt:SYNGTI_0157
ko:K02116	syt:SYNGTI_0165
ko:K13628	syt:SYNGTI_0170
ko:K02433	syt:SYNGTI_1024
ko:K07079	syt:SYNGTI_1039
ko:K00059	syt:SYNGTI_1040
ko:K02619	syt:SYNGTI_1041
ko:K01607	syt:SYNGTI_1074
ko:K01424	syt:SYNGTI_1908
ko:K03316	syt:SYNGTI_1918
ko:K00508	syt:SYNGTI_1930
ko:K02720	syt:SYNGTI_1940
ko:K01469	syt:SYNGTI_2765
ko:K07027	syt:SYNGTI_2794
ko:K05337	syt:SYNGTI_2795
ko:K07004	syt:SYNGTI_0379
ko:K06971	syt:SYNGTI_0408
ko:K01724	syt:SYNGTI_1266
ko:K07978	syt:SYNGTI_1282
ko:K00700	syt:SYNGTI_2109
ko:K02710	syt:SYNGTI_2121
ko:K00135	syt:SYNGTI_2125
ko:K07116	syt:SYNGTI_2133
ko:K01759	syt:SYNGTI_2136
ko:K00059	syt:SYNGTI_2137
ko:K00033	syt:SYNGTI_2140
ko:K04039	syt:SYNGTI_2149
ko:K03499	syt:SYNGTI_2150
ko:K01585	syt:SYNGTI_2978
ko:K06196	syt:SYNGTI_2981
ko:K03090	syt:SYNGTI_2998
ko:K06898	syt:SYNGTI_3004
ko:K11780	syt:SYNGTI_0642
ko:K02286	syt:SYNGTI_0654
ko:K02286	syt:SYNGTI_0655
ko:K02284	syt:SYNGTI_0656
ko:K02285	syt:SYNGTI_0657
ko:K07213	syt:SYNGTI_0665
ko:K06147	syt:SYNGTI_0691
ko:K05588	syt:SYNGTI_1520
ko:K02697	syt:SYNGTI_1532
ko:K01409	syt:SYNGTI_1534
ko:K05583	syt:SYNGTI_1548
ko:K02552	syt:SYNGTI_1554
ko:K03442	syt:SYNGTI_2394
ko:K08696	syt:SYNGTI_0199
ko:K08696	syt:SYNGTI_0200
ko:K03404	syt:SYNGTI_0211
ko:K07305	syt:SYNGTI_0218
ko:K00214	syt:SYNGTI_0221
ko:K08234	syt:SYNGTI_0225
ko:K03830	syt:SYNGTI_0231
ko:K00616	syt:SYNGTI_0236
ko:K07304	syt:SYNGTI_0239
ko:K04518	syt:SYNGTI_0247
ko:K07315	syt:SYNGTI_1080
ko:K01619	syt:SYNGTI_1087
ko:K02033	syt:SYNGTI_1100
ko:K02288	syt:SYNGTI_1107
ko:K07052	syt:SYNGTI_1953
ko:K02428	syt:SYNGTI_1960
ko:K02653	syt:SYNGTI_1993
ko:K01262	syt:SYNGTI_1996
ko:K06873	syt:SYNGTI_2837
ko:K05575	syt:SYNGTI_2844
ko:K10232	syt:SYNGTI_2853
ko:K10233	syt:SYNGTI_2854
ko:K10234	syt:SYNGTI_2855
ko:K00801	syt:SYNGTI_2856
ko:K07315	syt:SYNGTI_0708
ko:K03574	syt:SYNGTI_0710
ko:K02274	syt:SYNGTI_0714
ko:K02049	syt:SYNGTI_0718
ko:K02050	syt:SYNGTI_0719
ko:K02051	syt:SYNGTI_0720
ko:K04652	syt:SYNGTI_0721
ko:K01480	syt:SYNGTI_0723
ko:K06883	syt:SYNGTI_1565
ko:K05585	syt:SYNGTI_1570
ko:K13799	syt:SYNGTI_1590
ko:K09942	syt:SYNGTI_2453
ko:K03087	syt:SYNGTI_2455
ko:K12073	syt:SYNGTI_2464
ko:K01885	syt:SYNGTI_2465
ko:K07028	syt:SYNGTI_2466
ko:K02657	syt:SYNGTI_0449
ko:K02658	syt:SYNGTI_0450
ko:K02659	syt:SYNGTI_0451
ko:K02660	syt:SYNGTI_0452
ko:K03403	syt:SYNGTI_0464
ko:K02428	syt:SYNGTI_0467
ko:K00721	syt:SYNGTI_0468
ko:K00058	syt:SYNGTI_1302
ko:K00626	syt:SYNGTI_1306
ko:K08226	syt:SYNGTI_1308
ko:K00799	syt:SYNGTI_1316
ko:K06864	syt:SYNGTI_1329
ko:K00088	syt:SYNGTI_1336
ko:K08481	syt:SYNGTI_1345
ko:K02718	syt:SYNGTI_2168
ko:K03386	syt:SYNGTI_2171
ko:K02067	syt:SYNGTI_2175
ko:K00274	syt:SYNGTI_2176
ko:K08479	syt:SYNGTI_2177
ko:K02637	syt:SYNGTI_2184
ko:K02033	syt:SYNGTI_2206
ko:K02004	syt:SYNGTI_3019
ko:K02005	syt:SYNGTI_3020
ko:K02290	syt:SYNGTI_3027
ko:K04037	syt:SYNGTI_3038
ko:K04038	syt:SYNGTI_3039
ko:K01835	syt:SYNGTI_3052
ko:K08481	syt:SYNGTI_3054
ko:K02696	syt:SYNGTI_3067
ko:K00548	syt:SYNGTI_2474
ko:K02067	syt:SYNGTI_0473
ko:K01934	syt:SYNGTI_0483
ko:K01580	syt:SYNGTI_0488
ko:K02712	syt:SYNGTI_0499
ko:K02707	syt:SYNGTI_0517
ko:K02713	syt:SYNGTI_0519
ko:K02711	syt:SYNGTI_0520
ko:K03316	syt:SYNGTI_1349
ko:K07019	syt:SYNGTI_1366
ko:K01784	syt:SYNGTI_1375
ko:K02010	syt:SYNGTI_1386
ko:K15226	syt:SYNGTI_1394
ko:K02274	syt:SYNGTI_1395
ko:K01601	syt:SYNGTI_2224
ko:K01602	syt:SYNGTI_2226
ko:K01679	syt:SYNGTI_2234
ko:K14330	syt:SYNGTI_2250
ko:K14331	syt:SYNGTI_2251
ko:K00799	syt:SYNGTI_3076
ko:K02348	syt:SYNGTI_3087
ko:K03177	syt:SYNGTI_3107
ko:K00939	syt:SYNGTI_0756
ko:K08906	syt:SYNGTI_0780
ko:K01787	syt:SYNGTI_1635
ko:K02010	syt:SYNGTI_1638
ko:K02640	syt:SYNGTI_1661
ko:K06346	syt:SYNGTI_1670
ko:K00366	syt:SYNGTI_2484
ko:K03635	syt:SYNGTI_2490
ko:K00652	syt:SYNGTI_2501
ko:K03574	syt:SYNGTI_2504
ko:K02005	syt:SYNGTI_0814
ko:K02657	syt:SYNGTI_0822
ko:K01092	syt:SYNGTI_1672
ko:K06147	syt:SYNGTI_1690
ko:K07052	syt:SYNGTI_1719
ko:K01426	syt:SYNGTI_2561
ko:K11781	syt:SYNGTI_0250
ko:K05575	syt:SYNGTI_0262
ko:K02719	syt:SYNGTI_0271
ko:K06883	syt:SYNGTI_0283
ko:K09705	syt:SYNGTI_0284
ko:K03087	syt:SYNGTI_1135
ko:K11325	syt:SYNGTI_1149
ko:K02035	syt:SYNGTI_1164
ko:K00772	syt:SYNGTI_1997
ko:K06883	syt:SYNGTI_2868
ko:K03499	syt:SYNGTI_2882
ko:K01082	syt:SYNGTI_2898
ko:K01585	syt:SYNGTI_0009
ko:K02014	syt:SYNGTI_0021
ko:K02014	syt:SYNGTI_0024
ko:K05575	syt:SYNGTI_0860
ko:K06147	syt:SYNGTI_0866
ko:K02294	syt:SYNGTI_0894
ko:K04655	syt:SYNGTI_0904
ko:K04652	syt:SYNGTI_1737
ko:K01297	syt:SYNGTI_1739
ko:K09931	syt:SYNGTI_1750
ko:K03867	syt:SYNGTI_1761
ko:K03307	syt:SYNGTI_1771
ko:K03711	syt:SYNGTI_0534
ko:K09815	syt:SYNGTI_0535
ko:K02290	syt:SYNGTI_0543
ko:K02238	syt:SYNGTI_0551
ko:K06118	syt:SYNGTI_0579
ko:K06045	syt:SYNGTI_1402
ko:K03498	syt:SYNGTI_1440
ko:K02549	syt:SYNGTI_2284
ko:K00784	syt:SYNGTI_2302
ko:K00799	syt:SYNGTI_2309
ko:K14518	syt:SYNGTI_2318
ko:K02004	syt:SYNGTI_3151
ko:K03711	syt:SYNGTI_3152
ko:K01470	syt:SYNGTI_3153
ko:K07393	syt:SYNGTI_3165
ko:K03469	syt:SYNGTI_2590
ko:K07657	syt:SYNGTI_2591
ko:K08481	syt:SYNGTI_2611
ko:K02051	syt:SYNGTI_2632
ko:K10716	syt:SYNGTI_0583
ko:K14232	syt:SYNGTI_t0015
ko:K14232	syt:SYNGTI_t0004
ko:K05574	syt:SYNGTI_1708
ko:K05578	syt:SYNGTI_2919
ko:K05576	syt:SYNGTI_2918
ko:K11523	syt:SYNGTI_2825
ko:K11522	syt:SYNGTI_2826
ko:K05570	syt:SYNGTI_0681
ko:K02643	syt:SYNGTI_2799
ko:K11950	syt:SYNGTI_2839
ko:K11951	syt:SYNGTI_2840
ko:K11952	syt:SYNGTI_2842
ko:K11953	syt:SYNGTI_2843
ko:K14222	syt:SYNGTI_t0035
ko:K02096	syt:SYNGTI_2078
ko:K14231	syt:SYNGTI_t0016
ko:K11601	syt:SYNGTI_1343
ko:K11603	syt:SYNGTI_1342
ko:K11602	syt:SYNGTI_1341
ko:K02659	syt:SYNGTI_0625
ko:K02714	syt:SYNGTI_0132
ko:K03699	syt:SYNGTI_1935
ko:K00974	syt:SYNGTI_1584
ko:K11525	syt:SYNGTI_2823
ko:K02097	syt:SYNGTI_2953
ko:K07346	syt:SYNGTI_3084
ko:K14224	syt:SYNGTI_t0014
ko:K02480	syt:SYNGTI_1351
ko:K01069	syt:SYNGTI_0374
ko:K01977	syt:SYNGTI_r0003
ko:K01977	syt:SYNGTI_r0004
ko:K00392	syt:SYNGTI_0293
ko:K02092	syt:SYNGTI_1298
ko:K02287	syt:SYNGTI_0653
ko:K08480	syt:SYNGTI_3053
ko:K14220	syt:SYNGTI_t0024
ko:K02018	syt:SYNGTI_2812
ko:K02017	syt:SYNGTI_2812
ko:K05569	syt:SYNGTI_0680
ko:K05571	syt:SYNGTI_0682
ko:K14221	syt:SYNGTI_t0013
ko:K14223	syt:SYNGTI_t0023
ko:K02093	syt:SYNGTI_1299
ko:K02094	syt:SYNGTI_1300
ko:K02095	syt:SYNGTI_0310
ko:K05568	syt:SYNGTI_0677
ko:K14225	syt:SYNGTI_t0017
ko:K14219	syt:SYNGTI_t0019
ko:K00974	syt:SYNGTI_2565
ko:K02700	syt:SYNGTI_0429
ko:K15579	syt:SYNGTI_0915
ko:K01533	syt:SYNGTI_2044
ko:K00284	syt:SYNGTI_0442
ko:K00284	syt:SYNGTI_2988
ko:K14233	syt:SYNGTI_t0020
ko:K02289	syt:SYNGTI_0076
ko:K14228	syt:SYNGTI_t0039
ko:K14227	syt:SYNGTI_t0029
ko:K14229	syt:SYNGTI_t0027
ko:K14226	syt:SYNGTI_t0022
ko:K14236	syt:SYNGTI_t0037
ko:K14235	syt:SYNGTI_t0009
ko:K14218	syt:SYNGTI_t0028
ko:K03321	syt:SYNGTI_0940
ko:K11960	syt:SYNGTI_0807
ko:K11954	syt:SYNGTI_2512
ko:K11957	syt:SYNGTI_2338
ko:K11961	syt:SYNGTI_0808
ko:K11958	syt:SYNGTI_1119
ko:K11959	syt:SYNGTI_1915
ko:K11962	syt:SYNGTI_2161
ko:K18828	syt:SYNGTI_2366
ko:K11963	syt:SYNGTI_2434
ko:K11956	syt:SYNGTI_1838
ko:K11955	syt:SYNGTI_1984
ko:K02642	syt:SYNGTI_1492
ko:K14230	syt:SYNGTI_t0018
ko:K14233	syt:SYNGTI_t0021
ko:K14234	syt:SYNGTI_t0025
ko:K14218	syt:SYNGTI_t0026
ko:K01980	syt:SYNGTI_r0002
ko:K01980	syt:SYNGTI_r0005
ko:K14225	syt:SYNGTI_t0030
ko:K14233	syt:SYNGTI_t0031
ko:K14218	syt:SYNGTI_t0032
ko:K14219	syt:SYNGTI_t0033
ko:K14225	syt:SYNGTI_t0036
ko:K14230	syt:SYNGTI_t0034
ko:K14227	syt:SYNGTI_t0040
ko:K04034	syt:SYNGTI_2493
ko:K07785	syt:SYNGTI_2738
ko:K11526	syt:SYNGTI_2821
ko:K11524	syt:SYNGTI_2824
ko:K08904	syt:SYNGTI_1203
ko:K01985	syt:SYNGTI_r0001
ko:K01985	syt:SYNGTI_r0006
ko:K02292	syt:SYNGTI_2598
ko:K08699	syt:SYNGTI_0196
ko:K08697	syt:SYNGTI_0198
ko:K05587	syt:SYNGTI_1522
ko:K16787	syt:SYNGTI_2202
ko:K16785	syt:SYNGTI_1640
ko:K02030	syt:SYNGTI_1742
ko:K02030	syt:SYNGTI_0138
ko:K02008	syt:SYNGTI_2419
ko:K02030	syt:SYNGTI_1112
ko:K02030	syt:SYNGTI_2181
ko:K02030	syt:SYNGTI_2317
ko:K01978	syt:SYNGTI_nc0001
ko:K14228	syt:SYNGTI_t0010
ko:K00034	syt:SYNGTI_1154
ko:K14232	syt:SYNGTI_t0001
ko:K14233	syt:SYNGTI_t0002
ko:K14234	syt:SYNGTI_t0003
ko:K14237	syt:SYNGTI_t0005
ko:K14219	syt:SYNGTI_t0006
ko:K14219	syt:SYNGTI_t0008
ko:K14228	syt:SYNGTI_t0012
ko:K14234	syt:SYNGTI_t0038
ko:K14228	syt:SYNGTI_t0041
ko:K14237	syt:SYNGTI_t0042
ko:K01485	syt:SYNGTI_0953
ko:K16786	syt:SYNGTI_1197
ko:K11331	syt:SYNGTI_2737
ko:K16915	syt:SYNGTI_2421
ko:K11328	syt:SYNGTI_2733
ko:K11991	syt:SYNGTI_1188
ko:K04035	syt:SYNGTI_0005
ko:K00218	syt:SYNGTI_2617
ko:K03559	syt:SYNGTI_0383
ko:K03559	syt:SYNGTI_0025
ko:K03559	syt:SYNGTI_2626
ko:K14228	syt:SYNGTI_t0007
ko:K02303	syt:SYNGTI_2430
ko:K02006	syt:SYNGTI_2418
ko:K16881	syt:SYNGTI_2992
ko:K04035	syt:SYNGTI_1645
ko:K11327	syt:SYNGTI_2735
ko:K11330	syt:SYNGTI_2734
ko:K11356	syt:SYNGTI_1622
ko:K14606	syt:SYNGTI_2801
ko:K08698	syt:SYNGTI_0197
ko:K05586	syt:SYNGTI_1523
ko:K00367	syt:SYNGTI_0914
ko:K06596	syt:SYNGTI_2058
ko:K02636	syt:SYNGTI_1688
ko:K02636	syt:SYNGTI_1054
ko:K02636	syt:SYNGTI_3126
ko:K11520	syt:SYNGTI_2395
ko:K11354	syt:SYNGTI_2343
ko:K11355	syt:SYNGTI_2344
ko:K11720	syt:SYNGTI_1032
ko:K00988	syt:SYNGTI_2861
ko:K17062	syt:SYNGTI_1010
ko:K17063	syt:SYNGTI_1193
ko:K17246	syt:SYNGTI_1337
ko:K17108	syt:SYNGTI_1088
ko:K17245	syt:SYNGTI_0809
ko:K01537	syt:SYNGTI_2780
ko:K01992	syt:SYNGTI_1775
ko:K01992	syt:SYNGTI_3170
ko:K01990	syt:SYNGTI_0050
ko:K01990	syt:SYNGTI_0785
ko:K01990	syt:SYNGTI_2276
ko:K17244	syt:SYNGTI_0781
ko:K00951	syt:SYNGTI_1503
ko:K17218	syt:SYNGTI_1022
ko:K07024	syt:SYNGTI_1845
ko:K01537	syt:SYNGTI_1563
ko:K01992	syt:SYNGTI_2190
ko:K01992	syt:SYNGTI_2164
ko:K01990	syt:SYNGTI_2607
ko:K01990	syt:SYNGTI_2165
ko:K00104	syt:SYNGTI_2291
ko:K11527	syt:SYNGTI_1510
ko:K10112	syt:SYNGTI_0934
ko:K17686	syt:SYNGTI_0693
ko:K10112	syt:SYNGTI_3034
ko:K17836	syt:SYNGTI_2696
ko:K02027	syt:SYNGTI_1084
ko:K03292	syt:SYNGTI_1682
ko:K00226	syt:SYNGTI_2807
ko:K08700	syt:SYNGTI_2288
ko:K00971	syt:SYNGTI_1686
ko:K02055	syt:SYNGTI_1959
ko:K00290	syt:SYNGTI_2300
ko:K12574	syt:SYNGTI_2907
