ko:K07492	bsuv:BSPT2_II0508
ko:K00948	bsuv:BSPT2_I1549
ko:K06915	bsuv:BSPT2_I1550
ko:K02897	bsuv:BSPT2_I1551
ko:K01056	bsuv:BSPT2_I1552
ko:K06942	bsuv:BSPT2_I1553
ko:K00759	bsuv:BSPT2_I1556
ko:K00413	bsuv:BSPT2_I1558
ko:K00412	bsuv:BSPT2_I1559
ko:K00411	bsuv:BSPT2_I1560
ko:K18893	bsuv:BSPT2_I1562
ko:K18893	bsuv:BSPT2_I1563
ko:K03216	bsuv:BSPT2_I1564
ko:K00228	bsuv:BSPT2_I1568
ko:K03824	bsuv:BSPT2_I1569
ko:K00970	bsuv:BSPT2_I1572
ko:K09986	bsuv:BSPT2_I1574
ko:K03924	bsuv:BSPT2_I1575
ko:K07393	bsuv:BSPT2_I1580
ko:K07275	bsuv:BSPT2_I1581
ko:K01649	bsuv:BSPT2_I1584
ko:K13503	bsuv:BSPT2_I1587
ko:K16079	bsuv:BSPT2_I1642
ko:K05879	bsuv:BSPT2_I1645
ko:K05878	bsuv:BSPT2_I1646
ko:K05879	bsuv:BSPT2_I1647
ko:K05878	bsuv:BSPT2_I1648
ko:K17205	bsuv:BSPT2_I1650
ko:K17206	bsuv:BSPT2_I1651
ko:K17206	bsuv:BSPT2_I1652
ko:K17207	bsuv:BSPT2_I1653
ko:K03695	bsuv:BSPT2_I1667
ko:K02493	bsuv:BSPT2_I1670
ko:K02835	bsuv:BSPT2_I1671
ko:K08484	bsuv:BSPT2_I1672
ko:K00928	bsuv:BSPT2_I1673
ko:K00568	bsuv:BSPT2_I1674
ko:K02498	bsuv:BSPT2_I1684
ko:K01719	bsuv:BSPT2_I1686
ko:K01749	bsuv:BSPT2_I1687
ko:K01069	bsuv:BSPT2_I1737
ko:K03574	bsuv:BSPT2_I1740
ko:K00620	bsuv:BSPT2_I1742
ko:K03769	bsuv:BSPT2_I1744
ko:K03070	bsuv:BSPT2_I1746
ko:K03760	bsuv:BSPT2_I1749
ko:K02030	bsuv:BSPT2_I1753
ko:K02029	bsuv:BSPT2_I1754
ko:K02029	bsuv:BSPT2_I1755
ko:K02028	bsuv:BSPT2_I1756
ko:K01480	bsuv:BSPT2_I1757
ko:K01744	bsuv:BSPT2_I1758
ko:K09972	bsuv:BSPT2_I1759
ko:K01424	bsuv:BSPT2_I1760
ko:K01424	bsuv:BSPT2_I1762
ko:K01761	bsuv:BSPT2_I1766
ko:K01738	bsuv:BSPT2_I1768
ko:K00074	bsuv:BSPT2_I1770
ko:K03522	bsuv:BSPT2_I1771
ko:K03521	bsuv:BSPT2_I1772
ko:K06920	bsuv:BSPT2_I1773
ko:K01737	bsuv:BSPT2_I1774
ko:K10026	bsuv:BSPT2_I1775
ko:K07058	bsuv:BSPT2_I1779
ko:K09768	bsuv:BSPT2_I1780
ko:K01755	bsuv:BSPT2_I1782
ko:K01586	bsuv:BSPT2_I1784
ko:K00760	bsuv:BSPT2_I1786
ko:K02501	bsuv:BSPT2_I1884
ko:K01814	bsuv:BSPT2_I1885
ko:K02500	bsuv:BSPT2_I1886
ko:K01523	bsuv:BSPT2_I1887
ko:K00867	bsuv:BSPT2_I1888
ko:K15034	bsuv:BSPT2_I1889
ko:K01610	bsuv:BSPT2_I1890
ko:K01610	bsuv:BSPT2_I1891
ko:K14981	bsuv:BSPT2_I1892
ko:K14980	bsuv:BSPT2_I1893
ko:K02793	bsuv:BSPT2_I1895
ko:K11189	bsuv:BSPT2_I1896
ko:K03322	bsuv:BSPT2_I1457
ko:K18707	bsuv:BSPT2_I1734
ko:K03110	bsuv:BSPT2_I1735
ko:K06190	bsuv:BSPT2_I1736
ko:K00059	bsuv:BSPT2_I1839
ko:K02529	bsuv:BSPT2_I1849
ko:K01989	bsuv:BSPT2_I1852
ko:K05832	bsuv:BSPT2_I1853
ko:K05833	bsuv:BSPT2_I1854
ko:K02340	bsuv:BSPT2_I1855
ko:K03501	bsuv:BSPT2_I1858
ko:K03495	bsuv:BSPT2_I1859
ko:K03650	bsuv:BSPT2_I1860
ko:K06888	bsuv:BSPT2_I1861
ko:K03628	bsuv:BSPT2_I1862
ko:K08973	bsuv:BSPT2_I1863
ko:K01599	bsuv:BSPT2_I1864
ko:K09773	bsuv:BSPT2_I1865
ko:K06287	bsuv:BSPT2_I1866
ko:K00014	bsuv:BSPT2_I1867
ko:K00859	bsuv:BSPT2_I1868
ko:K02342	bsuv:BSPT2_I1869
ko:K03071	bsuv:BSPT2_I1870
ko:K07113	bsuv:BSPT2_I1871
ko:K08304	bsuv:BSPT2_I1874
ko:K03667	bsuv:BSPT2_I1879
ko:K01419	bsuv:BSPT2_I1880
ko:K01693	bsuv:BSPT2_I1882
ko:K03590	bsuv:BSPT2_I1442
ko:K03589	bsuv:BSPT2_I1443
ko:K01921	bsuv:BSPT2_I1444
ko:K00075	bsuv:BSPT2_I1445
ko:K01924	bsuv:BSPT2_I1446
ko:K02563	bsuv:BSPT2_I1447
ko:K03588	bsuv:BSPT2_I1448
ko:K01925	bsuv:BSPT2_I1449
ko:K01000	bsuv:BSPT2_I1450
ko:K01929	bsuv:BSPT2_I1451
ko:K01928	bsuv:BSPT2_I1452
ko:K03587	bsuv:BSPT2_I1453
ko:K03438	bsuv:BSPT2_I1455
ko:K01251	bsuv:BSPT2_I1898
ko:K03671	bsuv:BSPT2_I1905
ko:K11754	bsuv:BSPT2_I1906
ko:K01963	bsuv:BSPT2_I1907
ko:K01695	bsuv:BSPT2_I1908
ko:K01696	bsuv:BSPT2_I1910
ko:K01817	bsuv:BSPT2_I1911
ko:K07043	bsuv:BSPT2_I1913
ko:K05782	bsuv:BSPT2_I1915
ko:K02520	bsuv:BSPT2_I1918
ko:K02916	bsuv:BSPT2_I1920
ko:K02887	bsuv:BSPT2_I1921
ko:K01889	bsuv:BSPT2_I1923
ko:K01890	bsuv:BSPT2_I1924
ko:K04043	bsuv:BSPT2_I1926
ko:K03686	bsuv:BSPT2_I1927
ko:K00570	bsuv:BSPT2_I1928
ko:K01591	bsuv:BSPT2_I1929
ko:K01920	bsuv:BSPT2_I1932
ko:K07391	bsuv:BSPT2_I1933
ko:K08305	bsuv:BSPT2_II0037
ko:K00963	bsuv:BSPT2_II0039
ko:K07340	bsuv:BSPT2_II0042
ko:K01772	bsuv:BSPT2_II0044
ko:K00808	bsuv:BSPT2_II0046
ko:K02619	bsuv:BSPT2_II0047
ko:K01665	bsuv:BSPT2_II0048
ko:K08602	bsuv:BSPT2_II0049
ko:K01625	bsuv:BSPT2_II0052
ko:K07146	bsuv:BSPT2_II0054
ko:K02020	bsuv:BSPT2_II0055
ko:K02018	bsuv:BSPT2_II0056
ko:K02017	bsuv:BSPT2_II0057
ko:K01426	bsuv:BSPT2_II0064
ko:K01581	bsuv:BSPT2_II0065
ko:K00033	bsuv:BSPT2_II0076
ko:K02052	bsuv:BSPT2_II0077
ko:K02053	bsuv:BSPT2_II0078
ko:K01679	bsuv:BSPT2_II0155
ko:K04077	bsuv:BSPT2_II0157
ko:K04078	bsuv:BSPT2_II0158
ko:K11753	bsuv:BSPT2_II0161
ko:K01870	bsuv:BSPT2_II0162
ko:K02054	bsuv:BSPT2_II0079
ko:K02055	bsuv:BSPT2_II0081
ko:K09794	bsuv:BSPT2_II0136
ko:K00104	bsuv:BSPT2_II0141
ko:K11472	bsuv:BSPT2_II0142
ko:K11473	bsuv:BSPT2_II0143
ko:K06221	bsuv:BSPT2_II0144
ko:K01246	bsuv:BSPT2_II0147
ko:K01892	bsuv:BSPT2_II0149
ko:K02502	bsuv:BSPT2_II0150
ko:K00765	bsuv:BSPT2_II0151
ko:K02429	bsuv:BSPT2_II0152
ko:K02429	bsuv:BSPT2_II0153
ko:K15977	bsuv:BSPT2_II0154
ko:K21686	bsuv:BSPT2_I0513
ko:K12262	bsuv:BSPT2_II0164
ko:K06178	bsuv:BSPT2_II0166
ko:K08316	bsuv:BSPT2_II0167
ko:K07263	bsuv:BSPT2_II0168
ko:K07263	bsuv:BSPT2_II0169
ko:K07263	bsuv:BSPT2_II0170
ko:K07001	bsuv:BSPT2_II0171
ko:K03455	bsuv:BSPT2_II0172
ko:K03592	bsuv:BSPT2_II0173
ko:K01092	bsuv:BSPT2_II0174
ko:K09778	bsuv:BSPT2_II0176
ko:K02527	bsuv:BSPT2_II0177
ko:K00912	bsuv:BSPT2_II0178
ko:K03572	bsuv:BSPT2_II0180
ko:K08196	bsuv:BSPT2_II0181
ko:K06446	bsuv:BSPT2_II0182
ko:K07716	bsuv:BSPT2_I1087
ko:K06980	bsuv:BSPT2_I1039
ko:K03584	bsuv:BSPT2_I1042
ko:K03685	bsuv:BSPT2_I1044
ko:K03100	bsuv:BSPT2_I1045
ko:K00997	bsuv:BSPT2_I1046
ko:K09928	bsuv:BSPT2_I1047
ko:K08223	bsuv:BSPT2_I1049
ko:K00762	bsuv:BSPT2_I1052
ko:K03060	bsuv:BSPT2_I1054
ko:K03664	bsuv:BSPT2_I1058
ko:K01714	bsuv:BSPT2_I1059
ko:K08309	bsuv:BSPT2_I1061
ko:K00817	bsuv:BSPT2_I1069
ko:K07126	bsuv:BSPT2_I1073
ko:K01241	bsuv:BSPT2_I1079
ko:K00311	bsuv:BSPT2_I1081
ko:K01256	bsuv:BSPT2_I1085
ko:K07127	bsuv:BSPT2_I1192
ko:K06075	bsuv:BSPT2_II0431
ko:K01975	bsuv:BSPT2_I0079
ko:K10804	bsuv:BSPT2_I0080
ko:K02003	bsuv:BSPT2_I0081
ko:K02004	bsuv:BSPT2_I0082
ko:K06890	bsuv:BSPT2_I0083
ko:K03823	bsuv:BSPT2_I0084
ko:K01681	bsuv:BSPT2_I0088
ko:K02193	bsuv:BSPT2_I0090
ko:K02194	bsuv:BSPT2_I0091
ko:K02195	bsuv:BSPT2_I0092
ko:K02196	bsuv:BSPT2_I0093
ko:K02199	bsuv:BSPT2_I0094
ko:K01687	bsuv:BSPT2_I0095
ko:K11719	bsuv:BSPT2_I0154
ko:K09774	bsuv:BSPT2_I0155
ko:K06861	bsuv:BSPT2_I0156
ko:K03092	bsuv:BSPT2_I0157
ko:K02806	bsuv:BSPT2_I0161
ko:K10773	bsuv:BSPT2_I0165
ko:K06203	bsuv:BSPT2_I0166
ko:K03687	bsuv:BSPT2_I0171
ko:K03705	bsuv:BSPT2_I0172
ko:K00989	bsuv:BSPT2_I0174
ko:K02428	bsuv:BSPT2_I0176
ko:K07056	bsuv:BSPT2_I0178
ko:K07460	bsuv:BSPT2_I0179
ko:K02302	bsuv:BSPT2_I0181
ko:K00381	bsuv:BSPT2_I0183
ko:K00390	bsuv:BSPT2_I0184
ko:K00567	bsuv:BSPT2_I0187
ko:K00548	bsuv:BSPT2_I0190
ko:K07782	bsuv:BSPT2_I0191
ko:K16871	bsuv:BSPT2_I0192
ko:K00957	bsuv:BSPT2_I0193
ko:K00955	bsuv:BSPT2_I0194
ko:K01082	bsuv:BSPT2_I0195
ko:K00013	bsuv:BSPT2_I0276
ko:K02444	bsuv:BSPT2_I0199
ko:K00111	bsuv:BSPT2_I0200
ko:K00138	bsuv:BSPT2_I0202
ko:K13953	bsuv:BSPT2_I0203
ko:K02395	bsuv:BSPT2_I0254
ko:K09862	bsuv:BSPT2_I0271
ko:K06287	bsuv:BSPT2_I0272
ko:K02518	bsuv:BSPT2_I0273
ko:K00817	bsuv:BSPT2_I1788
ko:K00220	bsuv:BSPT2_I1789
ko:K07232	bsuv:BSPT2_I1791
ko:K02221	bsuv:BSPT2_I1794
ko:K01507	bsuv:BSPT2_I1795
ko:K00655	bsuv:BSPT2_I1797
ko:K09811	bsuv:BSPT2_I1799
ko:K09812	bsuv:BSPT2_I1800
ko:K06188	bsuv:BSPT2_I1802
ko:K01142	bsuv:BSPT2_I1804
ko:K09125	bsuv:BSPT2_I1814
ko:K02902	bsuv:BSPT2_I1815
ko:K01534	bsuv:BSPT2_I1818
ko:K09883	bsuv:BSPT2_I1821
ko:K05527	bsuv:BSPT2_I1825
ko:K01735	bsuv:BSPT2_I1827
ko:K00891	bsuv:BSPT2_I1828
ko:K04763	bsuv:BSPT2_I1830
ko:K01962	bsuv:BSPT2_I1831
ko:K04085	bsuv:BSPT2_I1833
ko:K03642	bsuv:BSPT2_I1935
ko:K09790	bsuv:BSPT2_I1937
ko:K02040	bsuv:BSPT2_I1938
ko:K02037	bsuv:BSPT2_I1939
ko:K02038	bsuv:BSPT2_I1940
ko:K02036	bsuv:BSPT2_I1941
ko:K02039	bsuv:BSPT2_I1942
ko:K07657	bsuv:BSPT2_I1943
ko:K04047	bsuv:BSPT2_I1947
ko:K03789	bsuv:BSPT2_I1950
ko:K06168	bsuv:BSPT2_I1952
ko:K07042	bsuv:BSPT2_I1955
ko:K03820	bsuv:BSPT2_I1957
ko:K00789	bsuv:BSPT2_I1959
ko:K03439	bsuv:BSPT2_I1960
ko:K09748	bsuv:BSPT2_I1961
ko:K02600	bsuv:BSPT2_I1962
ko:K07742	bsuv:BSPT2_I1963
ko:K02519	bsuv:BSPT2_I1964
ko:K02834	bsuv:BSPT2_I1965
ko:K03177	bsuv:BSPT2_I1966
ko:K02956	bsuv:BSPT2_I1967
ko:K00962	bsuv:BSPT2_I1968
ko:K00564	bsuv:BSPT2_I1969
ko:K00208	bsuv:BSPT2_I1970
ko:K00647	bsuv:BSPT2_I1971
ko:K01716	bsuv:BSPT2_I1972
ko:K09826	bsuv:BSPT2_I1973
ko:K02073	bsuv:BSPT2_I1974
ko:K02073	bsuv:BSPT2_I1975
ko:K01255	bsuv:BSPT2_I1981
ko:K03543	bsuv:BSPT2_II0084
ko:K02401	bsuv:BSPT2_II0089
ko:K02410	bsuv:BSPT2_II0090
ko:K02410	bsuv:BSPT2_II0091
ko:K02417	bsuv:BSPT2_II0092
ko:K02416	bsuv:BSPT2_II0094
ko:K02556	bsuv:BSPT2_II0095
ko:K02391	bsuv:BSPT2_II0097
ko:K02412	bsuv:BSPT2_II0098
ko:K02387	bsuv:BSPT2_II0113
ko:K02388	bsuv:BSPT2_II0114
ko:K02408	bsuv:BSPT2_II0115
ko:K02392	bsuv:BSPT2_II0116
ko:K02386	bsuv:BSPT2_II0117
ko:K02394	bsuv:BSPT2_II0118
ko:K02393	bsuv:BSPT2_II0120
ko:K02415	bsuv:BSPT2_II0121
ko:K02415	bsuv:BSPT2_II0122
ko:K02419	bsuv:BSPT2_II0123
ko:K09709	bsuv:BSPT2_II0128
ko:K01644	bsuv:BSPT2_II0129
ko:K08738	bsuv:BSPT2_II0135
ko:K03593	bsuv:BSPT2_I0052
ko:K01835	bsuv:BSPT2_I0053
ko:K06889	bsuv:BSPT2_I0056
ko:K16165	bsuv:BSPT2_I0058
ko:K11068	bsuv:BSPT2_I0063
ko:K14162	bsuv:BSPT2_I0064
ko:K14162	bsuv:BSPT2_I0065
ko:K14161	bsuv:BSPT2_I0066
ko:K14160	bsuv:BSPT2_I0067
ko:K01940	bsuv:BSPT2_I0070
ko:K06941	bsuv:BSPT2_I0074
ko:K01724	bsuv:BSPT2_I0077
ko:K11077	bsuv:BSPT2_II1060
ko:K14226	bsuv:BSPT2_I1621
ko:K01676	bsuv:BSPT2_I0740
ko:K03639	bsuv:BSPT2_I0743
ko:K03752	bsuv:BSPT2_I0744
ko:K03753	bsuv:BSPT2_I0745
ko:K02030	bsuv:BSPT2_I0746
ko:K02029	bsuv:BSPT2_I0747
ko:K02029	bsuv:BSPT2_I0748
ko:K06076	bsuv:BSPT2_I0751
ko:K01873	bsuv:BSPT2_I0753
ko:K09991	bsuv:BSPT2_I0754
ko:K12340	bsuv:BSPT2_I0755
ko:K00573	bsuv:BSPT2_I0756
ko:K07213	bsuv:BSPT2_I0758
ko:K13628	bsuv:BSPT2_I0760
ko:K00858	bsuv:BSPT2_I0762
ko:K11717	bsuv:BSPT2_I0766
ko:K09015	bsuv:BSPT2_I0767
ko:K09013	bsuv:BSPT2_I0768
ko:K09014	bsuv:BSPT2_I0769
ko:K04487	bsuv:BSPT2_I0770
ko:K07018	bsuv:BSPT2_I0771
ko:K09001	bsuv:BSPT2_I0773
ko:K01866	bsuv:BSPT2_I0774
ko:K03564	bsuv:BSPT2_I0776
ko:K02836	bsuv:BSPT2_I0781
ko:K05366	bsuv:BSPT2_I0783
ko:K01448	bsuv:BSPT2_I0784
ko:K05800	bsuv:BSPT2_I0838
ko:K00768	bsuv:BSPT2_I0839
ko:K02233	bsuv:BSPT2_I0840
ko:K16079	bsuv:BSPT2_I0724
ko:K06938	bsuv:BSPT2_I0841
ko:K06985	bsuv:BSPT2_I0842
ko:K05539	bsuv:BSPT2_I0843
ko:K02030	bsuv:BSPT2_I0844
ko:K06162	bsuv:BSPT2_I0846
ko:K00874	bsuv:BSPT2_I0848
ko:K01785	bsuv:BSPT2_I0849
ko:K09458	bsuv:BSPT2_I0853
ko:K09458	bsuv:BSPT2_I0854
ko:K02517	bsuv:BSPT2_I0856
ko:K01783	bsuv:BSPT2_I0857
ko:K03446	bsuv:BSPT2_II0083
ko:K01756	bsuv:BSPT2_I0858
ko:K17202	bsuv:BSPT2_II0800
ko:K17203	bsuv:BSPT2_II0802
ko:K17204	bsuv:BSPT2_II0803
ko:K00862	bsuv:BSPT2_II0806
ko:K01624	bsuv:BSPT2_II0814
ko:K03841	bsuv:BSPT2_II0815
ko:K06207	bsuv:BSPT2_II0817
ko:K06213	bsuv:BSPT2_II0818
ko:K07104	bsuv:BSPT2_I0859
ko:K07002	bsuv:BSPT2_I0860
ko:K02510	bsuv:BSPT2_I0861
ko:K01923	bsuv:BSPT2_I0864
ko:K01952	bsuv:BSPT2_I0865
ko:K01966	bsuv:BSPT2_I0512
ko:K01952	bsuv:BSPT2_I0866
ko:K01952	bsuv:BSPT2_I0869
ko:K07390	bsuv:BSPT2_I0871
ko:K07552	bsuv:BSPT2_I0872
ko:K14058	bsuv:BSPT2_I0874
ko:K02986	bsuv:BSPT2_I0875
ko:K02337	bsuv:BSPT2_I0879
ko:K09810	bsuv:BSPT2_I0880
ko:K09808	bsuv:BSPT2_I0881
ko:K01881	bsuv:BSPT2_I0882
ko:K05606	bsuv:BSPT2_I0885
ko:K15987	bsuv:BSPT2_I0936
ko:K03625	bsuv:BSPT2_I0937
ko:K00794	bsuv:BSPT2_I0938
ko:K00793	bsuv:BSPT2_I0939
ko:K11752	bsuv:BSPT2_I0940
ko:K07738	bsuv:BSPT2_I0941
ko:K00600	bsuv:BSPT2_I0942
ko:K01698	bsuv:BSPT2_I0948
ko:K02621	bsuv:BSPT2_I0951
ko:K01876	bsuv:BSPT2_I0953
ko:K03684	bsuv:BSPT2_I0954
ko:K01524	bsuv:BSPT2_I0955
ko:K00937	bsuv:BSPT2_I0956
ko:K00480	bsuv:BSPT2_I0958
ko:K09972	bsuv:BSPT2_I0959
ko:K09971	bsuv:BSPT2_I0960
ko:K09970	bsuv:BSPT2_I0961
ko:K09969	bsuv:BSPT2_I0962
ko:K01760	bsuv:BSPT2_I0964
ko:K00939	bsuv:BSPT2_I0978
ko:K03303	bsuv:BSPT2_I0983
ko:K00982	bsuv:BSPT2_I1089
ko:K02200	bsuv:BSPT2_I1093
ko:K02198	bsuv:BSPT2_I1094
ko:K02197	bsuv:BSPT2_I1095
ko:K02200	bsuv:BSPT2_I1096
ko:K05366	bsuv:BSPT2_I1122
ko:K11357	bsuv:BSPT2_I1128
ko:K02426	bsuv:BSPT2_I1130
ko:K02433	bsuv:BSPT2_I1131
ko:K01354	bsuv:BSPT2_I1136
ko:K04564	bsuv:BSPT2_I1138
ko:K01560	bsuv:BSPT2_I1139
ko:K02881	bsuv:BSPT2_I0480
ko:K02988	bsuv:BSPT2_I0481
ko:K02907	bsuv:BSPT2_I0482
ko:K02876	bsuv:BSPT2_I0483
ko:K03076	bsuv:BSPT2_I0484
ko:K00939	bsuv:BSPT2_I0485
ko:K02952	bsuv:BSPT2_I0487
ko:K02948	bsuv:BSPT2_I0488
ko:K03040	bsuv:BSPT2_I0489
ko:K02879	bsuv:BSPT2_I0490
ko:K07478	bsuv:BSPT2_I0492
ko:K01872	bsuv:BSPT2_I0497
ko:K01077	bsuv:BSPT2_I0498
ko:K00031	bsuv:BSPT2_I0501
ko:K05520	bsuv:BSPT2_I0503
ko:K02533	bsuv:BSPT2_I0504
ko:K01776	bsuv:BSPT2_I0505
ko:K07080	bsuv:BSPT2_I0506
ko:K01847	bsuv:BSPT2_I0510
ko:K01965	bsuv:BSPT2_I0511
ko:K09457	bsuv:BSPT2_I0516
ko:K01752	bsuv:BSPT2_I0524
ko:K06891	bsuv:BSPT2_I0530
ko:K03694	bsuv:BSPT2_I0531
ko:K02503	bsuv:BSPT2_I0532
ko:K07708	bsuv:BSPT2_I0581
ko:K00074	bsuv:BSPT2_II0185
ko:K02484	bsuv:BSPT2_II0193
ko:K00380	bsuv:BSPT2_II0198
ko:K03734	bsuv:BSPT2_II0199
ko:K02164	bsuv:BSPT2_II0210
ko:K02305	bsuv:BSPT2_II0212
ko:K04561	bsuv:BSPT2_II0213
ko:K04748	bsuv:BSPT2_II0214
ko:K02448	bsuv:BSPT2_II0215
ko:K00368	bsuv:BSPT2_II0223
ko:K03435	bsuv:BSPT2_II0226
ko:K10543	bsuv:BSPT2_II0228
ko:K10545	bsuv:BSPT2_II0229
ko:K10544	bsuv:BSPT2_II0230
ko:K00039	bsuv:BSPT2_II0232
ko:K00376	bsuv:BSPT2_II0240
ko:K07218	bsuv:BSPT2_II0241
ko:K03734	bsuv:BSPT2_II0245
ko:K07234	bsuv:BSPT2_II0248
ko:K02051	bsuv:BSPT2_II0249
ko:K02050	bsuv:BSPT2_II0250
ko:K02049	bsuv:BSPT2_II0251
ko:K08303	bsuv:BSPT2_II0254
ko:K03182	bsuv:BSPT2_II0256
ko:K03186	bsuv:BSPT2_II0257
ko:K03769	bsuv:BSPT2_II0259
ko:K00374	bsuv:BSPT2_II0260
ko:K00373	bsuv:BSPT2_II0261
ko:K00371	bsuv:BSPT2_II0262
ko:K00370	bsuv:BSPT2_II0263
ko:K02575	bsuv:BSPT2_II0264
ko:K02529	bsuv:BSPT2_II0266
ko:K10236	bsuv:BSPT2_II0267
ko:K10237	bsuv:BSPT2_II0268
ko:K10238	bsuv:BSPT2_II0269
ko:K10111	bsuv:BSPT2_II0270
ko:K03647	bsuv:BSPT2_II0277
ko:K07230	bsuv:BSPT2_II0336
ko:K07243	bsuv:BSPT2_II0338
ko:K00925	bsuv:BSPT2_II0341
ko:K01999	bsuv:BSPT2_II0347
ko:K01995	bsuv:BSPT2_II0348
ko:K01998	bsuv:BSPT2_II0348
ko:K01996	bsuv:BSPT2_II0349
ko:K00059	bsuv:BSPT2_II0351
ko:K00014	bsuv:BSPT2_II0352
ko:K00135	bsuv:BSPT2_II0354
ko:K01999	bsuv:BSPT2_II0355
ko:K01714	bsuv:BSPT2_II0361
ko:K02034	bsuv:BSPT2_II0362
ko:K02033	bsuv:BSPT2_II0363
ko:K02035	bsuv:BSPT2_II0364
ko:K17948	bsuv:BSPT2_II0368
ko:K01991	bsuv:BSPT2_II0374
ko:K02377	bsuv:BSPT2_II0375
ko:K01711	bsuv:BSPT2_II0376
ko:K03885	bsuv:BSPT2_II0439
ko:K06996	bsuv:BSPT2_II0441
ko:K03310	bsuv:BSPT2_II0443
ko:K00651	bsuv:BSPT2_II0445
ko:K07273	bsuv:BSPT2_II0446
ko:K07273	bsuv:BSPT2_II0447
ko:K00648	bsuv:BSPT2_II0449
ko:K00833	bsuv:BSPT2_II0450
ko:K01935	bsuv:BSPT2_II0451
ko:K00652	bsuv:BSPT2_II0452
ko:K01012	bsuv:BSPT2_II0453
ko:K03831	bsuv:BSPT2_II0455
ko:K07078	bsuv:BSPT2_II0456
ko:K05559	bsuv:BSPT2_II0458
ko:K05560	bsuv:BSPT2_II0459
ko:K05561	bsuv:BSPT2_II0460
ko:K05562	bsuv:BSPT2_II0461
ko:K05563	bsuv:BSPT2_II0462
ko:K05564	bsuv:BSPT2_II0463
ko:K16013	bsuv:BSPT2_II0466
ko:K16012	bsuv:BSPT2_II0467
ko:K00425	bsuv:BSPT2_II0468
ko:K00426	bsuv:BSPT2_II0469
ko:K03710	bsuv:BSPT2_II0471
ko:K18676	bsuv:BSPT2_II0472
ko:K10117	bsuv:BSPT2_II0473
ko:K10118	bsuv:BSPT2_II0475
ko:K10119	bsuv:BSPT2_II0476
ko:K10111	bsuv:BSPT2_II0478
ko:K01004	bsuv:BSPT2_II0528
ko:K03185	bsuv:BSPT2_II0529
ko:K11940	bsuv:BSPT2_II0530
ko:K02035	bsuv:BSPT2_II0532
ko:K03723	bsuv:BSPT2_II0535
ko:K09159	bsuv:BSPT2_II0536
ko:K00820	bsuv:BSPT2_II0538
ko:K04042	bsuv:BSPT2_II0539
ko:K06196	bsuv:BSPT2_II0540
ko:K14205	bsuv:BSPT2_II0541
ko:K03801	bsuv:BSPT2_II0546
ko:K02622	bsuv:BSPT2_II0548
ko:K02433	bsuv:BSPT2_II0551
ko:K02435	bsuv:BSPT2_II0552
ko:K07447	bsuv:BSPT2_II0555
ko:K09456	bsuv:BSPT2_II0556
ko:K00609	bsuv:BSPT2_II0557
ko:K01465	bsuv:BSPT2_II0558
ko:K08591	bsuv:BSPT2_II0559
ko:K04096	bsuv:BSPT2_II0560
ko:K03168	bsuv:BSPT2_II0561
ko:K12573	bsuv:BSPT2_II0562
ko:K02913	bsuv:BSPT2_II0566
ko:K02488	bsuv:BSPT2_II0567
ko:K11443	bsuv:BSPT2_II0568
ko:K06140	bsuv:BSPT2_II0570
ko:K02346	bsuv:BSPT2_II0572
ko:K02427	bsuv:BSPT2_II0626
ko:K10112	bsuv:BSPT2_II0628
ko:K17317	bsuv:BSPT2_II0629
ko:K17316	bsuv:BSPT2_II0630
ko:K17315	bsuv:BSPT2_II0631
ko:K00794	bsuv:BSPT2_II0633
ko:K02379	bsuv:BSPT2_II0634
ko:K02011	bsuv:BSPT2_II0639
ko:K02012	bsuv:BSPT2_II0640
ko:K02010	bsuv:BSPT2_II0641
ko:K14588	bsuv:BSPT2_II0645
ko:K03655	bsuv:BSPT2_II0537
ko:K04756	bsuv:BSPT2_II0648
ko:K03386	bsuv:BSPT2_II0649
ko:K04761	bsuv:BSPT2_II0650
ko:K00010	bsuv:BSPT2_II0652
ko:K03338	bsuv:BSPT2_II0654
ko:K03338	bsuv:BSPT2_II0655
ko:K03336	bsuv:BSPT2_II0656
ko:K03336	bsuv:BSPT2_II0657
ko:K03335	bsuv:BSPT2_II0658
ko:K03337	bsuv:BSPT2_II0659
ko:K01092	bsuv:BSPT2_II0660
ko:K02010	bsuv:BSPT2_II0661
ko:K02011	bsuv:BSPT2_II0662
ko:K02012	bsuv:BSPT2_II0663
ko:K13821	bsuv:BSPT2_II0664
ko:K03719	bsuv:BSPT2_II0665
ko:K00281	bsuv:BSPT2_II0666
ko:K02437	bsuv:BSPT2_II0667
ko:K00605	bsuv:BSPT2_II0668
ko:K01915	bsuv:BSPT2_II0673
ko:K03610	bsuv:BSPT2_II0281
ko:K03609	bsuv:BSPT2_II0282
ko:K03608	bsuv:BSPT2_II0283
ko:K02055	bsuv:BSPT2_II0287
ko:K02052	bsuv:BSPT2_II0288
ko:K02054	bsuv:BSPT2_II0289
ko:K02053	bsuv:BSPT2_II0290
ko:K03585	bsuv:BSPT2_II0295
ko:K01580	bsuv:BSPT2_II0297
ko:K01425	bsuv:BSPT2_II0301
ko:K01840	bsuv:BSPT2_II0306
ko:K00088	bsuv:BSPT2_II0310
ko:K04761	bsuv:BSPT2_II0312
ko:K03781	bsuv:BSPT2_II0313
ko:K03500	bsuv:BSPT2_II0316
ko:K01243	bsuv:BSPT2_II0318
ko:K01951	bsuv:BSPT2_II0319
