ko:K18929	cjm:CJM1_0074
ko:K01012	cjm:CJM1_1628
ko:K03168	cjm:CJM1_1629
ko:K01091	cjm:CJM1_1636
ko:K03076	cjm:CJM1_1638
ko:K02876	cjm:CJM1_1639
ko:K02988	cjm:CJM1_1640
ko:K02881	cjm:CJM1_1641
ko:K02933	cjm:CJM1_1642
ko:K02994	cjm:CJM1_1643
ko:K02954	cjm:CJM1_1644
ko:K02931	cjm:CJM1_1645
ko:K02895	cjm:CJM1_1646
ko:K02874	cjm:CJM1_1647
ko:K02961	cjm:CJM1_1648
ko:K02904	cjm:CJM1_1649
ko:K02878	cjm:CJM1_1650
ko:K02982	cjm:CJM1_1651
ko:K02890	cjm:CJM1_1652
ko:K02965	cjm:CJM1_1653
ko:K02886	cjm:CJM1_1654
ko:K02892	cjm:CJM1_1655
ko:K02926	cjm:CJM1_1656
ko:K02906	cjm:CJM1_1657
ko:K02946	cjm:CJM1_1658
ko:K06178	cjm:CJM1_1659
ko:K02528	cjm:CJM1_1661
ko:K06941	cjm:CJM1_1663
ko:K01704	cjm:CJM1_1671
ko:K01703	cjm:CJM1_1672
ko:K00052	cjm:CJM1_1673
ko:K01649	cjm:CJM1_1674
ko:K01524	cjm:CJM1_0332
ko:K01633	cjm:CJM1_0335
ko:K08591	cjm:CJM1_0336
ko:K00428	cjm:CJM1_0337
ko:K03431	cjm:CJM1_0338
ko:K03101	cjm:CJM1_0339
ko:K08973	cjm:CJM1_0340
ko:K03585	cjm:CJM1_0345
ko:K02970	cjm:CJM1_0348
ko:K09767	cjm:CJM1_0352
ko:K01591	cjm:CJM1_0359
ko:K03625	cjm:CJM1_0360
ko:K00794	cjm:CJM1_0361
ko:K01627	cjm:CJM1_0362
ko:K03977	cjm:CJM1_0364
ko:K00891	cjm:CJM1_0365
ko:K01867	cjm:CJM1_0366
ko:K01875	cjm:CJM1_0367
ko:K00873	cjm:CJM1_0370
ko:K00116	cjm:CJM1_0371
ko:K03525	cjm:CJM1_0372
ko:K02435	cjm:CJM1_0376
ko:K03558	cjm:CJM1_0377
ko:K03711	cjm:CJM1_0378
ko:K04567	cjm:CJM1_0379
ko:K00600	cjm:CJM1_0380
ko:K03749	cjm:CJM1_0382
ko:K00014	cjm:CJM1_0383
ko:K13292	cjm:CJM1_0385
ko:K00246	cjm:CJM1_0386
ko:K00244	cjm:CJM1_0387
ko:K00549	cjm:CJM1_1183
ko:K00297	cjm:CJM1_1184
ko:K02108	cjm:CJM1_1185
ko:K04485	cjm:CJM1_1186
ko:K03110	cjm:CJM1_1187
ko:K01934	cjm:CJM1_1189
ko:K02238	cjm:CJM1_1192
ko:K07058	cjm:CJM1_1193
ko:K05810	cjm:CJM1_1198
ko:K00793	cjm:CJM1_1199
ko:K04078	cjm:CJM1_1201
ko:K04077	cjm:CJM1_1202
ko:K05516	cjm:CJM1_1211
ko:K13640	cjm:CJM1_1212
ko:K03455	cjm:CJM1_1213
ko:K01091	cjm:CJM1_1215
ko:K01879	cjm:CJM1_1216
ko:K01524	cjm:CJM1_1219
ko:K03474	cjm:CJM1_1220
ko:K00097	cjm:CJM1_1221
ko:K01599	cjm:CJM1_1225
ko:K03703	cjm:CJM1_1228
ko:K01951	cjm:CJM1_1230
ko:K01945	cjm:CJM1_1232
ko:K04744	cjm:CJM1_1234
ko:K00962	cjm:CJM1_1235
ko:K00943	cjm:CJM1_0740
ko:K00954	cjm:CJM1_0741
ko:K03186	cjm:CJM1_0742
ko:K02386	cjm:CJM1_0743
ko:K02073	cjm:CJM1_0748
ko:K02072	cjm:CJM1_0749
ko:K02071	cjm:CJM1_0750
ko:K01873	cjm:CJM1_0751
ko:K03657	cjm:CJM1_0753
ko:K11065	cjm:CJM1_0755
ko:K02567	cjm:CJM1_0756
ko:K02573	cjm:CJM1_0757
ko:K02574	cjm:CJM1_0758
ko:K02568	cjm:CJM1_0759
ko:K02570	cjm:CJM1_0761
ko:K00974	cjm:CJM1_0765
ko:K01433	cjm:CJM1_0766
ko:K01929	cjm:CJM1_0771
ko:K01921	cjm:CJM1_0774
ko:K03550	cjm:CJM1_0775
ko:K03980	cjm:CJM1_0778
ko:K01883	cjm:CJM1_0779
ko:K11085	cjm:CJM1_0780
ko:K01714	cjm:CJM1_0783
ko:K00076	cjm:CJM1_0784
ko:K01916	cjm:CJM1_0787
ko:K00912	cjm:CJM1_0788
ko:K01733	cjm:CJM1_0789
ko:K00979	cjm:CJM1_0790
ko:K02419	cjm:CJM1_0793
ko:K04042	cjm:CJM1_0794
ko:K13038	cjm:CJM1_0795
ko:K11752	cjm:CJM1_1563
ko:K01752	cjm:CJM1_1565
ko:K03837	cjm:CJM1_1566
ko:K03561	cjm:CJM1_1569
ko:K03832	cjm:CJM1_1571
ko:K00566	cjm:CJM1_1574
ko:K01736	cjm:CJM1_1575
ko:K03685	cjm:CJM1_1576
ko:K03469	cjm:CJM1_1577
ko:K09747	cjm:CJM1_1584
ko:K00795	cjm:CJM1_1586
ko:K00615	cjm:CJM1_1587
ko:K02066	cjm:CJM1_1588
ko:K02065	cjm:CJM1_1589
ko:K02067	cjm:CJM1_1590
ko:K01265	cjm:CJM1_1593
ko:K01776	cjm:CJM1_1594
ko:K03313	cjm:CJM1_1596
ko:K03313	cjm:CJM1_1597
ko:K07243	cjm:CJM1_1600
ko:K07230	cjm:CJM1_1601
ko:K02004	cjm:CJM1_1603
ko:K02004	cjm:CJM1_1604
ko:K02003	cjm:CJM1_1605
ko:K01689	cjm:CJM1_1618
ko:K01928	cjm:CJM1_1583
ko:K02397	cjm:CJM1_0851
ko:K09457	cjm:CJM1_1677
ko:K00245	cjm:CJM1_0388
ko:K07126	cjm:CJM1_0391
ko:K06152	cjm:CJM1_0392
ko:K06151	cjm:CJM1_0393
ko:K01925	cjm:CJM1_0416
ko:K01000	cjm:CJM1_0417
ko:K15633	cjm:CJM1_0418
ko:K00059	cjm:CJM1_0419
ko:K00239	cjm:CJM1_0421
ko:K00240	cjm:CJM1_0422
ko:K03707	cjm:CJM1_0424
ko:K02078	cjm:CJM1_0425
ko:K02313	cjm:CJM1_0001
ko:K02338	cjm:CJM1_0002
ko:K02470	cjm:CJM1_0003
ko:K07084	cjm:CJM1_0006
ko:K00266	cjm:CJM1_0008
ko:K03470	cjm:CJM1_0009
ko:K02237	cjm:CJM1_0010
ko:K01687	cjm:CJM1_0012
ko:K08996	cjm:CJM1_0013
ko:K07023	cjm:CJM1_0014
ko:K06920	cjm:CJM1_0015
ko:K03406	cjm:CJM1_0017
ko:K00428	cjm:CJM1_0018
ko:K06180	cjm:CJM1_0020
ko:K01756	cjm:CJM1_0021
ko:K06956	cjm:CJM1_0023
ko:K01937	cjm:CJM1_0025
ko:K07462	cjm:CJM1_0026
ko:K01424	cjm:CJM1_0027
ko:K07552	cjm:CJM1_0043
ko:K06207	cjm:CJM1_0047
ko:K15738	cjm:CJM1_0854
ko:K01775	cjm:CJM1_0871
ko:K07152	cjm:CJM1_0876
ko:K01738	cjm:CJM1_0877
ko:K03530	cjm:CJM1_0878
ko:K00058	cjm:CJM1_0857
ko:K10806	cjm:CJM1_0880
ko:K06200	cjm:CJM1_0881
ko:K00948	cjm:CJM1_0882
ko:K00575	cjm:CJM1_0887
ko:K03412	cjm:CJM1_0888
ko:K01808	cjm:CJM1_0889
ko:K02945	cjm:CJM1_0859
ko:K00759	cjm:CJM1_0891
ko:K01255	cjm:CJM1_0893
ko:K06942	cjm:CJM1_0894
ko:K01755	cjm:CJM1_0895
ko:K01610	cjm:CJM1_0896
ko:K01960	cjm:CJM1_0897
ko:K03308	cjm:CJM1_0898
ko:K03308	cjm:CJM1_0899
ko:K02110	cjm:CJM1_0900
ko:K02390	cjm:CJM1_1679
ko:K01159	cjm:CJM1_1680
ko:K03527	cjm:CJM1_0860
ko:K00800	cjm:CJM1_0861
ko:K01890	cjm:CJM1_0862
ko:K01889	cjm:CJM1_0863
ko:K02503	cjm:CJM1_0864
ko:K03152	cjm:CJM1_0865
ko:K03310	cjm:CJM1_0869
ko:K03216	cjm:CJM1_0870
ko:K01962	cjm:CJM1_0427
ko:K09458	cjm:CJM1_0426
ko:K08077	cjm:CJM1_0429
ko:K09794	cjm:CJM1_0431
ko:K02902	cjm:CJM1_0432
ko:K01783	cjm:CJM1_0433
ko:K02342	cjm:CJM1_0434
ko:K03147	cjm:CJM1_0435
ko:K09778	cjm:CJM1_0439
ko:K06168	cjm:CJM1_0440
ko:K02600	cjm:CJM1_0442
ko:K03655	cjm:CJM1_0446
ko:K06886	cjm:CJM1_0447
ko:K01104	cjm:CJM1_1239
ko:K03686	cjm:CJM1_1241
ko:K06187	cjm:CJM1_1244
ko:K03620	cjm:CJM1_1246
ko:K01448	cjm:CJM1_1250
ko:K00459	cjm:CJM1_1251
ko:K01866	cjm:CJM1_1252
ko:K09903	cjm:CJM1_1255
ko:K09811	cjm:CJM1_1257
ko:K09812	cjm:CJM1_1258
ko:K03439	cjm:CJM1_1259
ko:K06180	cjm:CJM1_1261
ko:K05837	cjm:CJM1_1262
ko:K03498	cjm:CJM1_1265
ko:K03499	cjm:CJM1_1266
ko:K00761	cjm:CJM1_1268
ko:K00029	cjm:CJM1_1269
ko:K01885	cjm:CJM1_1270
ko:K01961	cjm:CJM1_1272
ko:K02160	cjm:CJM1_1273
ko:K01494	cjm:CJM1_1274
ko:K15894	cjm:CJM1_1275
ko:K15896	cjm:CJM1_1286
ko:K02500	cjm:CJM1_1287
ko:K02501	cjm:CJM1_1288
ko:K15898	cjm:CJM1_1290
ko:K14235	cjm:CJM1_0458
ko:K14232	cjm:CJM1_1614
ko:K16052	cjm:CJM1_0221
ko:K14230	cjm:CJM1_1263
ko:K14218	cjm:CJM1_0029
ko:K14218	cjm:CJM1_0411
ko:K14218	cjm:CJM1_0725
ko:K10040	cjm:CJM1_0884
ko:K18682	cjm:CJM1_1190
ko:K07003	cjm:CJM1_1333
ko:K15910	cjm:CJM1_1100
ko:K01270	cjm:CJM1_0954
ko:K01270	cjm:CJM1_0955
ko:K16264	cjm:CJM1_1145
ko:K15913	cjm:CJM1_1101
ko:K11014	cjm:CJM1_0078
ko:K11015	cjm:CJM1_0077
ko:K15912	cjm:CJM1_1099
ko:K02025	cjm:CJM1_1632
ko:K15914	cjm:CJM1_1103
ko:K15899	cjm:CJM1_1283
ko:K15915	cjm:CJM1_1102
ko:K11013	cjm:CJM1_0079
ko:K01959	cjm:CJM1_1012
ko:K11782	cjm:CJM1_1267
ko:K03559	cjm:CJM1_0109
ko:K03559	cjm:CJM1_1570
ko:K15897	cjm:CJM1_1284
ko:K15895	cjm:CJM1_1276
ko:K15896	cjm:CJM1_1285
ko:K09951	cjm:CJM1_1464
ko:K17103	cjm:CJM1_1091
ko:K02028	cjm:CJM1_0868
ko:K02030	cjm:CJM1_0717
ko:K02030	cjm:CJM1_0792
ko:K17247	cjm:CJM1_0357
ko:K17248	cjm:CJM1_1105
ko:K17249	cjm:CJM1_1107
ko:K17250	cjm:CJM1_1106
ko:K17251	cjm:CJM1_1104
ko:K08738	cjm:CJM1_1136
ko:K02484	cjm:CJM1_1203
ko:K02484	cjm:CJM1_1208
ko:K02484	cjm:CJM1_1243
ko:K02029	cjm:CJM1_0867
ko:K02029	cjm:CJM1_0919
ko:K10112	cjm:CJM1_1631
ko:K17686	cjm:CJM1_1138
ko:K05540	cjm:CJM1_0122
ko:K08173	cjm:CJM1_0319
ko:K11928	cjm:CJM1_1446
ko:K02026	cjm:CJM1_1633
ko:K02027	cjm:CJM1_1635
ko:K07318	cjm:CJM1_0202
ko:K00290	cjm:CJM1_0172
ko:K01497	cjm:CJM1_0969
ko:K00254	cjm:CJM1_0781
ko:K07003	cjm:CJM1_1334
ko:K17938	cjm:CJM1_0176
ko:K05922	cjm:CJM1_1247
ko:K05927	cjm:CJM1_1356
ko:K05927	cjm:CJM1_1248
ko:K07812	cjm:CJM1_0248
ko:K00104	cjm:CJM1_1194
ko:K03605	cjm:CJM1_1245
ko:K05366	cjm:CJM1_0486
ko:K01533	cjm:CJM1_1143
ko:K18284	cjm:CJM1_0116
ko:K01664	cjm:CJM1_0834
ko:K02390	cjm:CJM1_1678
ko:K03319	cjm:CJM1_0055
ko:K03319	cjm:CJM1_0056
ko:K03406	cjm:CJM1_0143
ko:K03406	cjm:CJM1_0144
ko:K06151	cjm:CJM1_0146
ko:K06151	cjm:CJM1_0147
ko:K03686	cjm:CJM1_1009
ko:K11382	cjm:CJM1_0274
ko:K00833	cjm:CJM1_0286
ko:K02073	cjm:CJM1_1182
ko:K03060	cjm:CJM1_1254
ko:K02406	cjm:CJM1_1294
ko:K02406	cjm:CJM1_1295
ko:K00012	cjm:CJM1_1377
ko:K03305	cjm:CJM1_0630
ko:K01546	cjm:CJM1_0644
ko:K07646	cjm:CJM1_0649
ko:K02527	cjm:CJM1_0689
ko:K02073	cjm:CJM1_0744
ko:K02073	cjm:CJM1_0746
ko:K02073	cjm:CJM1_0747
ko:K03980	cjm:CJM1_0777
ko:K11784	cjm:CJM1_0444
ko:K11785	cjm:CJM1_1620
ko:K18285	cjm:CJM1_1328
ko:K02482	cjm:CJM1_0769
ko:K04753	cjm:CJM1_1460
ko:K06148	cjm:CJM1_1108
ko:K07216	cjm:CJM1_1205
ko:K03743	cjm:CJM1_1039
ko:K18480	cjm:CJM1_1591
ko:K00681	cjm:CJM1_0038
ko:K00241	cjm:CJM1_0423
ko:K03427	cjm:CJM1_1026
ko:K18924	cjm:CJM1_0290
ko:K18925	cjm:CJM1_0289
ko:K10747	cjm:CJM1_1615
ko:K18138	cjm:CJM1_0344
ko:K09797	cjm:CJM1_0042
ko:K12056	cjm:CJM1_0907
ko:K03496	cjm:CJM1_0099
ko:K03497	cjm:CJM1_0100
ko:K12684	cjm:CJM1_0206
ko:K03111	cjm:CJM1_1048
ko:K00662	cjm:CJM1_1278
ko:K18992	cjm:CJM1_0346
ko:K00335	cjm:CJM1_1510
ko:K03526	cjm:CJM1_0669
ko:K07097	cjm:CJM1_0846
ko:K08678	cjm:CJM1_1386
ko:K07452	cjm:CJM1_0138
ko:K15461	cjm:CJM1_1249
ko:K00557	cjm:CJM1_0803
ko:K00336	cjm:CJM1_1509
ko:K03761	cjm:CJM1_1556
ko:K19147	cjm:CJM1_0139
ko:K15342	cjm:CJM1_1465
ko:K01710	cjm:CJM1_1115
ko:K08678	cjm:CJM1_1378
ko:K22468	cjm:CJM1_0581
ko:K07317	cjm:CJM1_0039
ko:K04771	cjm:CJM1_1210
ko:K03892	cjm:CJM1_1498
ko:K00265	cjm:CJM1_0007
ko:K06867	cjm:CJM1_1347
ko:K19416	cjm:CJM1_0219
ko:K06867	cjm:CJM1_0806
ko:K02031	cjm:CJM1_1517
ko:K07216	cjm:CJM1_0072
ko:K07216	cjm:CJM1_0948
ko:K07216	cjm:CJM1_0949
ko:K10938	cjm:CJM1_0272
ko:K19713	cjm:CJM1_0842
ko:K07147	cjm:CJM1_0358
ko:K07216	cjm:CJM1_0950
ko:K09796	cjm:CJM1_0874
ko:K20810	cjm:CJM1_0069
ko:K01023	cjm:CJM1_0839
ko:K01023	cjm:CJM1_0840
ko:K00821	cjm:CJM1_0210
ko:K02335	cjm:CJM1_0318
ko:K03465	cjm:CJM1_0024
ko:K02314	cjm:CJM1_0537
ko:K02316	cjm:CJM1_1579
ko:K03553	cjm:CJM1_1619
ko:K02483	cjm:CJM1_1242
ko:K02483	cjm:CJM1_0334
ko:K02483	cjm:CJM1_1209
ko:K00525	cjm:CJM1_0022
ko:K02032	cjm:CJM1_1516
ko:K02481	cjm:CJM1_0998
ko:K01139	cjm:CJM1_1253
ko:K00526	cjm:CJM1_0214
ko:K03651	cjm:CJM1_1637
ko:K13695	cjm:CJM1_1595
ko:K21420	cjm:CJM1_1010
ko:K01451	cjm:CJM1_0960
ko:K10026	cjm:CJM1_0162
ko:K21600	cjm:CJM1_0488
ko:K21929	cjm:CJM1_0941
ko:K03595	cjm:CJM1_0634
ko:K14441	cjm:CJM1_1400
ko:K22331	cjm:CJM1_0277
ko:K17758	cjm:CJM1_0182
ko:K17759	cjm:CJM1_0182
ko:K22391	cjm:CJM1_0687
ko:K22424	cjm:CJM1_0657
ko:K22477	cjm:CJM1_0208
