ko:K08744	mbz:LH58_09780
ko:K03524	mbz:LH58_17475
ko:K01966	mbz:LH58_17480
ko:K06287	mbz:LH58_17490
ko:K01011	mbz:LH58_17495
ko:K02426	mbz:LH58_17500
ko:K11263	mbz:LH58_17505
ko:K03090	mbz:LH58_17510
ko:K03918	mbz:LH58_17530
ko:K01577	mbz:LH58_00665
ko:K02355	mbz:LH58_00675
ko:K02355	mbz:LH58_00680
ko:K05343	mbz:LH58_00715
ko:K16146	mbz:LH58_00720
ko:K07304	mbz:LH58_00770
ko:K03281	mbz:LH58_00800
ko:K00128	mbz:LH58_00820
ko:K01104	mbz:LH58_00860
ko:K09958	mbz:LH58_00870
ko:K00324	mbz:LH58_00875
ko:K00324	mbz:LH58_00880
ko:K00325	mbz:LH58_00885
ko:K07107	mbz:LH58_00920
ko:K00666	mbz:LH58_00935
ko:K02066	mbz:LH58_00940
ko:K02066	mbz:LH58_00945
ko:K02067	mbz:LH58_00950
ko:K02067	mbz:LH58_00955
ko:K02067	mbz:LH58_00960
ko:K02067	mbz:LH58_00965
ko:K02067	mbz:LH58_00970
ko:K03723	mbz:LH58_05580
ko:K02428	mbz:LH58_05585
ko:K01689	mbz:LH58_05595
ko:K09009	mbz:LH58_05605
ko:K01524	mbz:LH58_05610
ko:K07667	mbz:LH58_05620
ko:K07646	mbz:LH58_05625
ko:K01546	mbz:LH58_05640
ko:K01547	mbz:LH58_05645
ko:K01548	mbz:LH58_05650
ko:K07656	mbz:LH58_05655
ko:K07672	mbz:LH58_05660
ko:K00666	mbz:LH58_05825
ko:K07001	mbz:LH58_05845
ko:K07001	mbz:LH58_05850
ko:K01692	mbz:LH58_05890
ko:K01692	mbz:LH58_05895
ko:K12953	mbz:LH58_10600
ko:K03294	mbz:LH58_10610
ko:K00038	mbz:LH58_10625
ko:K07028	mbz:LH58_10635
ko:K01194	mbz:LH58_10645
ko:K07133	mbz:LH58_10655
ko:K16370	mbz:LH58_10775
ko:K07001	mbz:LH58_10815
ko:K10112	mbz:LH58_10820
ko:K02026	mbz:LH58_10825
ko:K02025	mbz:LH58_10830
ko:K02027	mbz:LH58_10835
ko:K08281	mbz:LH58_10845
ko:K03929	mbz:LH58_10855
ko:K02067	mbz:LH58_00975
ko:K18481	mbz:LH58_00980
ko:K18481	mbz:LH58_00985
ko:K18481	mbz:LH58_00990
ko:K18481	mbz:LH58_00995
ko:K06911	mbz:LH58_01010
ko:K03088	mbz:LH58_01015
ko:K05349	mbz:LH58_01035
ko:K01687	mbz:LH58_01055
ko:K07386	mbz:LH58_01100
ko:K06860	mbz:LH58_01145
ko:K03439	mbz:LH58_01150
ko:K01596	mbz:LH58_01165
ko:K07048	mbz:LH58_01270
ko:K00626	mbz:LH58_05910
ko:K01697	mbz:LH58_05925
ko:K01739	mbz:LH58_05935
ko:K03624	mbz:LH58_05940
ko:K18455	mbz:LH58_05950
ko:K06888	mbz:LH58_05960
ko:K11068	mbz:LH58_05965
ko:K12503	mbz:LH58_05970
ko:K00867	mbz:LH58_06020
ko:K00600	mbz:LH58_06025
ko:K03922	mbz:LH58_06030
ko:K07175	mbz:LH58_06035
ko:K01679	mbz:LH58_06050
ko:K02446	mbz:LH58_06055
ko:K16045	mbz:LH58_06095
ko:K03602	mbz:LH58_06100
ko:K03601	mbz:LH58_06105
ko:K03527	mbz:LH58_06115
ko:K06942	mbz:LH58_06125
ko:K00036	mbz:LH58_06175
ko:K00033	mbz:LH58_06180
ko:K01006	mbz:LH58_06205
ko:K07113	mbz:LH58_10900
ko:K01061	mbz:LH58_10905
ko:K02963	mbz:LH58_10910
ko:K02954	mbz:LH58_10915
ko:K02913	mbz:LH58_10920
ko:K02902	mbz:LH58_10925
ko:K07006	mbz:LH58_10940
ko:K02230	mbz:LH58_10945
ko:K02229	mbz:LH58_10960
ko:K06042	mbz:LH58_10965
ko:K13540	mbz:LH58_10970
ko:K17836	mbz:LH58_10980
ko:K03088	mbz:LH58_10985
ko:K05895	mbz:LH58_10990
ko:K05936	mbz:LH58_10995
ko:K00595	mbz:LH58_11000
ko:K03727	mbz:LH58_11135
ko:K03118	mbz:LH58_11140
ko:K03116	mbz:LH58_11145
ko:K13573	mbz:LH58_11150
ko:K13571	mbz:LH58_11160
ko:K03719	mbz:LH58_17535
ko:K00128	mbz:LH58_17545
ko:K03724	mbz:LH58_17560
ko:K05522	mbz:LH58_17565
ko:K03932	mbz:LH58_17570
ko:K01130	mbz:LH58_17575
ko:K00800	mbz:LH58_17690
ko:K06949	mbz:LH58_17695
ko:K00508	mbz:LH58_17700
ko:K03918	mbz:LH58_17710
ko:K03719	mbz:LH58_17715
ko:K00128	mbz:LH58_17725
ko:K03724	mbz:LH58_17740
ko:K05522	mbz:LH58_17745
ko:K03932	mbz:LH58_17750
ko:K01130	mbz:LH58_17755
ko:K06177	mbz:LH58_17760
ko:K02039	mbz:LH58_17765
ko:K00111	mbz:LH58_17770
ko:K02361	mbz:LH58_17790
ko:K03088	mbz:LH58_17845
ko:K00800	mbz:LH58_17870
ko:K06949	mbz:LH58_17875
ko:K00508	mbz:LH58_17880
ko:K03918	mbz:LH58_17890
ko:K03719	mbz:LH58_17895
ko:K00128	mbz:LH58_17905
ko:K03724	mbz:LH58_17920
ko:K05522	mbz:LH58_17925
ko:K03932	mbz:LH58_17930
ko:K01130	mbz:LH58_17935
ko:K06978	mbz:LH58_14865
ko:K15342	mbz:LH58_14955
ko:K09002	mbz:LH58_14975
ko:K12445	mbz:LH58_15680
ko:K07089	mbz:LH58_15740
ko:K01433	mbz:LH58_15745
ko:K00954	mbz:LH58_15755
ko:K01958	mbz:LH58_15765
ko:K03655	mbz:LH58_15800
ko:K07030	mbz:LH58_15805
ko:K06177	mbz:LH58_17580
ko:K02039	mbz:LH58_17585
ko:K00111	mbz:LH58_17590
ko:K02361	mbz:LH58_17610
ko:K03088	mbz:LH58_17665
ko:K06177	mbz:LH58_17940
ko:K02039	mbz:LH58_17945
ko:K00111	mbz:LH58_17950
ko:K00382	mbz:LH58_17955
ko:K03783	mbz:LH58_17975
ko:K01840	mbz:LH58_17980
ko:K00761	mbz:LH58_17985
ko:K01488	mbz:LH58_18015
ko:K00791	mbz:LH58_14475
ko:K06168	mbz:LH58_14505
ko:K03565	mbz:LH58_14520
ko:K02902	mbz:LH58_15810
ko:K03648	mbz:LH58_15815
ko:K00946	mbz:LH58_15820
ko:K01921	mbz:LH58_15845
ko:K00057	mbz:LH58_15850
ko:K14941	mbz:LH58_15855
ko:K00937	mbz:LH58_15860
ko:K03574	mbz:LH58_15865
ko:K03530	mbz:LH58_15870
ko:K01704	mbz:LH58_15875
ko:K01703	mbz:LH58_15880
ko:K01885	mbz:LH58_15915
ko:K00758	mbz:LH58_18020
ko:K01489	mbz:LH58_18025
ko:K00241	mbz:LH58_18035
ko:K00242	mbz:LH58_18040
ko:K00239	mbz:LH58_18045
ko:K00240	mbz:LH58_18050
ko:K03637	mbz:LH58_18075
ko:K01724	mbz:LH58_18080
ko:K03639	mbz:LH58_18085
ko:K03088	mbz:LH58_18110
ko:K07258	mbz:LH58_18120
ko:K01443	mbz:LH58_18135
ko:K07058	mbz:LH58_18150
ko:K01867	mbz:LH58_18155
ko:K00031	mbz:LH58_18165
ko:K00641	mbz:LH58_18175
ko:K01491	mbz:LH58_18265
ko:K06945	mbz:LH58_18295
ko:K07131	mbz:LH58_18305
ko:K03216	mbz:LH58_18315
ko:K14162	mbz:LH58_18335
ko:K01087	mbz:LH58_18345
ko:K01692	mbz:LH58_18355
ko:K01426	mbz:LH58_18360
ko:K07025	mbz:LH58_18365
ko:K17811	mbz:LH58_18375
ko:K15911	mbz:LH58_18380
ko:K01662	mbz:LH58_18385
ko:K03527	mbz:LH58_18390
ko:K13787	mbz:LH58_18395
ko:K00574	mbz:LH58_18440
ko:K14161	mbz:LH58_18450
ko:K01951	mbz:LH58_18465
ko:K02291	mbz:LH58_18470
ko:K13787	mbz:LH58_18475
ko:K03647	mbz:LH58_16240
ko:K02346	mbz:LH58_16260
ko:K06200	mbz:LH58_16300
ko:K15977	mbz:LH58_16310
ko:K01835	mbz:LH58_16335
ko:K06199	mbz:LH58_16340
ko:K06199	mbz:LH58_16345
ko:K10533	mbz:LH58_14545
ko:K10533	mbz:LH58_14565
ko:K00995	mbz:LH58_14590
ko:K00619	mbz:LH58_14595
ko:K03466	mbz:LH58_14600
ko:K12574	mbz:LH58_14620
ko:K01714	mbz:LH58_14625
ko:K01154	mbz:LH58_14635
ko:K03427	mbz:LH58_14640
ko:K01061	mbz:LH58_14685
ko:K00215	mbz:LH58_14725
ko:K00135	mbz:LH58_01290
ko:K16648	mbz:LH58_01300
ko:K01207	mbz:LH58_01310
ko:K00059	mbz:LH58_01335
ko:K00626	mbz:LH58_01340
ko:K00240	mbz:LH58_01360
ko:K00239	mbz:LH58_01365
ko:K00362	mbz:LH58_01390
ko:K00363	mbz:LH58_01395
ko:K02231	mbz:LH58_01400
ko:K02232	mbz:LH58_01405
ko:K01719	mbz:LH58_01430
ko:K02575	mbz:LH58_01435
ko:K02016	mbz:LH58_01455
ko:K01469	mbz:LH58_01460
ko:K02575	mbz:LH58_01465
ko:K00666	mbz:LH58_01480
ko:K01720	mbz:LH58_06220
ko:K01647	mbz:LH58_06225
ko:K00549	mbz:LH58_06235
ko:K00626	mbz:LH58_06250
ko:K16168	mbz:LH58_06270
ko:K07052	mbz:LH58_06275
ko:K01692	mbz:LH58_06280
ko:K01692	mbz:LH58_06285
ko:K01796	mbz:LH58_06290
ko:K06994	mbz:LH58_06305
ko:K12410	mbz:LH58_06340
ko:K13669	mbz:LH58_06390
ko:K01724	mbz:LH58_06395
ko:K03574	mbz:LH58_06400
ko:K00370	mbz:LH58_06405
ko:K00371	mbz:LH58_06410
ko:K00373	mbz:LH58_06415
ko:K00374	mbz:LH58_06420
ko:K06207	mbz:LH58_06425
ko:K15525	mbz:LH58_06455
ko:K11779	mbz:LH58_06470
ko:K00219	mbz:LH58_06480
ko:K12432	mbz:LH58_06505
ko:K03432	mbz:LH58_11210
ko:K03433	mbz:LH58_11215
ko:K13570	mbz:LH58_11220
ko:K13527	mbz:LH58_11240
ko:K09764	mbz:LH58_11250
ko:K07442	mbz:LH58_11255
ko:K00765	mbz:LH58_11270
ko:K01523	mbz:LH58_11275
ko:K00548	mbz:LH58_11285
ko:K11738	mbz:LH58_11305
ko:K15526	mbz:LH58_11320
ko:K01082	mbz:LH58_11325
ko:K06153	mbz:LH58_11355
ko:K00254	mbz:LH58_11375
ko:K06910	mbz:LH58_11380
ko:K02221	mbz:LH58_11420
ko:K09772	mbz:LH58_11425
ko:K06997	mbz:LH58_11430
ko:K05810	mbz:LH58_11435
ko:K03531	mbz:LH58_11440
ko:K03589	mbz:LH58_11445
ko:K01924	mbz:LH58_11450
ko:K02563	mbz:LH58_11455
ko:K03588	mbz:LH58_11460
ko:K01925	mbz:LH58_11465
ko:K01000	mbz:LH58_11470
ko:K14743	mbz:LH58_01600
ko:K00598	mbz:LH58_01615
ko:K04719	mbz:LH58_01680
ko:K01126	mbz:LH58_01735
ko:K07238	mbz:LH58_01745
ko:K01304	mbz:LH58_01750
ko:K01494	mbz:LH58_01760
ko:K00012	mbz:LH58_01765
ko:K17218	mbz:LH58_01805
ko:K00973	mbz:LH58_01820
ko:K14260	mbz:LH58_01835
ko:K11738	mbz:LH58_01880
ko:K06994	mbz:LH58_06515
ko:K12423	mbz:LH58_06525
ko:K00294	mbz:LH58_06535
ko:K00318	mbz:LH58_06540
ko:K12429	mbz:LH58_06560
ko:K00674	mbz:LH58_06600
ko:K01439	mbz:LH58_06605
ko:K06966	mbz:LH58_06620
ko:K00666	mbz:LH58_06625
ko:K00796	mbz:LH58_06630
ko:K13693	mbz:LH58_06635
ko:K01246	mbz:LH58_06645
ko:K16148	mbz:LH58_06655
ko:K00975	mbz:LH58_06660
ko:K06978	mbz:LH58_06670
ko:K01992	mbz:LH58_06680
ko:K01990	mbz:LH58_06685
ko:K03088	mbz:LH58_06700
ko:K03117	mbz:LH58_06715
ko:K08981	mbz:LH58_06725
ko:K09167	mbz:LH58_06730
ko:K03593	mbz:LH58_06745
ko:K02027	mbz:LH58_06775
ko:K02025	mbz:LH58_06780
ko:K02026	mbz:LH58_06785
ko:K10112	mbz:LH58_06790
ko:K03284	mbz:LH58_06795
ko:K00024	mbz:LH58_06800
ko:K01929	mbz:LH58_11475
ko:K01928	mbz:LH58_11480
ko:K03587	mbz:LH58_11505
ko:K03438	mbz:LH58_11515
ko:K03925	mbz:LH58_11520
ko:K13787	mbz:LH58_11545
ko:K14337	mbz:LH58_11550
ko:K01626	mbz:LH58_11570
ko:K13671	mbz:LH58_11585
ko:K00655	mbz:LH58_11590
ko:K01897	mbz:LH58_11620
ko:K13668	mbz:LH58_11625
ko:K02342	mbz:LH58_11645
ko:K02276	mbz:LH58_11660
ko:K03889	mbz:LH58_11665
ko:K03890	mbz:LH58_11670
ko:K03891	mbz:LH58_11675
ko:K02275	mbz:LH58_11695
ko:K01953	mbz:LH58_11700
ko:K00856	mbz:LH58_11705
ko:K00865	mbz:LH58_11720
ko:K00768	mbz:LH58_11730
ko:K02233	mbz:LH58_11735
ko:K00826	mbz:LH58_11745
ko:K04043	mbz:LH58_01900
ko:K03687	mbz:LH58_01905
ko:K03686	mbz:LH58_01910
ko:K13640	mbz:LH58_01915
ko:K01939	mbz:LH58_01930
ko:K06213	mbz:LH58_01955
ko:K01624	mbz:LH58_01960
ko:K03975	mbz:LH58_01965
ko:K07161	mbz:LH58_01985
ko:K07141	mbz:LH58_02000
ko:K07402	mbz:LH58_02005
ko:K03520	mbz:LH58_02010
ko:K03518	mbz:LH58_02015
ko:K03519	mbz:LH58_02020
ko:K07402	mbz:LH58_02025
ko:K09165	mbz:LH58_02040
ko:K00762	mbz:LH58_02055
ko:K03695	mbz:LH58_02065
ko:K08289	mbz:LH58_02085
ko:K10764	mbz:LH58_02095
ko:K03885	mbz:LH58_02100
ko:K00252	mbz:LH58_02145
ko:K01616	mbz:LH58_06840
ko:K05592	mbz:LH58_06865
ko:K01426	mbz:LH58_06905
ko:K14955	mbz:LH58_06940
ko:K06147	mbz:LH58_06950
ko:K06147	mbz:LH58_06955
ko:K08296	mbz:LH58_06970
ko:K02035	mbz:LH58_06990
ko:K02031	mbz:LH58_06995
ko:K02032	mbz:LH58_06995
ko:K02034	mbz:LH58_07000
ko:K02033	mbz:LH58_07005
ko:K01673	mbz:LH58_07015
ko:K00957	mbz:LH58_07020
ko:K00955	mbz:LH58_07025
ko:K01887	mbz:LH58_07065
ko:K01586	mbz:LH58_07070
ko:K00003	mbz:LH58_07075
ko:K01733	mbz:LH58_07080
ko:K00872	mbz:LH58_07090
ko:K03628	mbz:LH58_07100
ko:K02909	mbz:LH58_07105
ko:K02835	mbz:LH58_07110
ko:K02493	mbz:LH58_07115
ko:K02851	mbz:LH58_07125
ko:K00605	mbz:LH58_11750
ko:K01255	mbz:LH58_11760
ko:K00658	mbz:LH58_11770
ko:K07071	mbz:LH58_11775
ko:K03801	mbz:LH58_11780
ko:K03644	mbz:LH58_11785
ko:K01915	mbz:LH58_11800
ko:K00982	mbz:LH58_11805
ko:K01915	mbz:LH58_11810
ko:K00606	mbz:LH58_11830
ko:K09990	mbz:LH58_11840
ko:K07164	mbz:LH58_11850
ko:K00817	mbz:LH58_11860
ko:K01104	mbz:LH58_11875
ko:K02227	mbz:LH58_11885
ko:K03386	mbz:LH58_11905
ko:K00163	mbz:LH58_11920
ko:K00645	mbz:LH58_11930
ko:K02078	mbz:LH58_11935
ko:K11609	mbz:LH58_11940
ko:K11609	mbz:LH58_11945
ko:K18472	mbz:LH58_11950
ko:K00111	mbz:LH58_11960
ko:K00803	mbz:LH58_11970
ko:K00153	mbz:LH58_12015
ko:K03820	mbz:LH58_12025
ko:K13788	mbz:LH58_02190
ko:K00925	mbz:LH58_02195
ko:K14949	mbz:LH58_02200
ko:K02030	mbz:LH58_02205
ko:K03574	mbz:LH58_02215
ko:K00788	mbz:LH58_02220
ko:K03153	mbz:LH58_02225
ko:K03154	mbz:LH58_02230
ko:K03149	mbz:LH58_02235
ko:K07020	mbz:LH58_02260
ko:K00941	mbz:LH58_02265
ko:K03147	mbz:LH58_02270
ko:K01142	mbz:LH58_02290
ko:K01462	mbz:LH58_02300
ko:K06048	mbz:LH58_02320
ko:K07157	mbz:LH58_02325
ko:K13525	mbz:LH58_02335
ko:K17103	mbz:LH58_02340
ko:K01613	mbz:LH58_02345
ko:K03750	mbz:LH58_02350
ko:K04077	mbz:LH58_02360
ko:K03088	mbz:LH58_02385
ko:K00574	mbz:LH58_02395
ko:K09701	mbz:LH58_02400
ko:K06994	mbz:LH58_02410
ko:K01692	mbz:LH58_02440
ko:K01322	mbz:LH58_02455
ko:K00138	mbz:LH58_02460
ko:K09959	mbz:LH58_02465
ko:K00382	mbz:LH58_02480
ko:K02108	mbz:LH58_07135
ko:K02110	mbz:LH58_07140
ko:K02109	mbz:LH58_07145
ko:K02111	mbz:LH58_07155
ko:K02115	mbz:LH58_07160
ko:K02112	mbz:LH58_07165
ko:K02114	mbz:LH58_07170
ko:K00790	mbz:LH58_07195
ko:K00567	mbz:LH58_07215
ko:K07503	mbz:LH58_07240
ko:K00626	mbz:LH58_07255
ko:K05838	mbz:LH58_07260
ko:K00700	mbz:LH58_07275
ko:K16147	mbz:LH58_07280
ko:K00688	mbz:LH58_07285
ko:K00763	mbz:LH58_07295
ko:K06891	mbz:LH58_07300
ko:K01776	mbz:LH58_07335
ko:K00989	mbz:LH58_07345
ko:K02428	mbz:LH58_07350
ko:K02078	mbz:LH58_07365
ko:K01909	mbz:LH58_07370
ko:K14698	mbz:LH58_07390
ko:K14699	mbz:LH58_07395
ko:K00059	mbz:LH58_07400
ko:K00389	mbz:LH58_12080
ko:K00104	mbz:LH58_12110
ko:K03306	mbz:LH58_12115
ko:K03316	mbz:LH58_12145
ko:K01521	mbz:LH58_12155
ko:K14155	mbz:LH58_12185
ko:K09925	mbz:LH58_12190
ko:K04079	mbz:LH58_12210
ko:K07045	mbz:LH58_12230
ko:K06889	mbz:LH58_12250
ko:K03568	mbz:LH58_12330
ko:K02025	mbz:LH58_12335
ko:K02026	mbz:LH58_12340
ko:K02027	mbz:LH58_12345
ko:K00819	mbz:LH58_12360
ko:K07110	mbz:LH58_02495
ko:K01637	mbz:LH58_02505
ko:K00074	mbz:LH58_02510
ko:K00574	mbz:LH58_02515
ko:K00574	mbz:LH58_02520
ko:K16645	mbz:LH58_02550
ko:K01619	mbz:LH58_02565
ko:K00075	mbz:LH58_02585
ko:K15521	mbz:LH58_02605
ko:K06895	mbz:LH58_02620
ko:K01834	mbz:LH58_02625
ko:K07768	mbz:LH58_02630
ko:K07776	mbz:LH58_02635
ko:K01524	mbz:LH58_02665
ko:K00286	mbz:LH58_02685
ko:K01784	mbz:LH58_02700
ko:K00574	mbz:LH58_02710
ko:K06994	mbz:LH58_02730
ko:K02492	mbz:LH58_02740
ko:K01749	mbz:LH58_02745
ko:K13542	mbz:LH58_02750
ko:K01698	mbz:LH58_02755
ko:K18481	mbz:LH58_07470
ko:K18481	mbz:LH58_07475
ko:K09136	mbz:LH58_07545
ko:K02825	mbz:LH58_07565
ko:K00609	mbz:LH58_07570
ko:K01465	mbz:LH58_07575
ko:K01956	mbz:LH58_07585
ko:K01955	mbz:LH58_07590
ko:K01591	mbz:LH58_07595
ko:K00942	mbz:LH58_07620
ko:K03060	mbz:LH58_07625
ko:K13038	mbz:LH58_07630
ko:K00789	mbz:LH58_07635
ko:K04066	mbz:LH58_07695
ko:K00604	mbz:LH58_07715
ko:K03500	mbz:LH58_07720
ko:K01783	mbz:LH58_07725
ko:K11752	mbz:LH58_07730
ko:K14954	mbz:LH58_07740
ko:K00793	mbz:LH58_07745
ko:K00819	mbz:LH58_12365
ko:K16785	mbz:LH58_12380
ko:K16786	mbz:LH58_12385
ko:K16787	mbz:LH58_12385
ko:K02575	mbz:LH58_12405
ko:K00027	mbz:LH58_12425
ko:K01738	mbz:LH58_12435
ko:K00640	mbz:LH58_12440
ko:K06994	mbz:LH58_12460
ko:K01129	mbz:LH58_12495
ko:K01880	mbz:LH58_12515
ko:K03711	mbz:LH58_12525
ko:K03584	mbz:LH58_12540
ko:K01426	mbz:LH58_12545
ko:K07042	mbz:LH58_12565
ko:K09761	mbz:LH58_12590
ko:K03686	mbz:LH58_12595
ko:K03705	mbz:LH58_12600
ko:K04793	mbz:LH58_12620
ko:K04792	mbz:LH58_12625
ko:K04789	mbz:LH58_12630
ko:K04791	mbz:LH58_12635
ko:K04790	mbz:LH58_12640
ko:K04788	mbz:LH58_12645
ko:K04787	mbz:LH58_12650
ko:K04781	mbz:LH58_12660
ko:K11735	mbz:LH58_02810
ko:K01845	mbz:LH58_02820
ko:K06196	mbz:LH58_02835
ko:K07399	mbz:LH58_02840
ko:K11608	mbz:LH58_02870
ko:K02548	mbz:LH58_02875
ko:K00772	mbz:LH58_02880
ko:K17947	mbz:LH58_02885
ko:K09931	mbz:LH58_02905
ko:K01911	mbz:LH58_02915
ko:K03306	mbz:LH58_02930
ko:K01661	mbz:LH58_02945
ko:K00666	mbz:LH58_02960
ko:K02549	mbz:LH58_02970
ko:K02551	mbz:LH58_02980
ko:K12583	mbz:LH58_02990
ko:K03183	mbz:LH58_02995
ko:K00805	mbz:LH58_03015
ko:K03799	mbz:LH58_03020
ko:K00057	mbz:LH58_03025
ko:K09767	mbz:LH58_03035
ko:K00763	mbz:LH58_03085
ko:K07282	mbz:LH58_03090
ko:K14652	mbz:LH58_07760
ko:K00794	mbz:LH58_07765
ko:K03703	mbz:LH58_07785
ko:K06958	mbz:LH58_07790
ko:K09762	mbz:LH58_07800
ko:K00134	mbz:LH58_07865
ko:K00927	mbz:LH58_07870
ko:K01803	mbz:LH58_07875
ko:K03075	mbz:LH58_07900
ko:K08351	mbz:LH58_07910
ko:K01057	mbz:LH58_07930
ko:K00036	mbz:LH58_07940
ko:K00616	mbz:LH58_07945
ko:K00615	mbz:LH58_07950
ko:K02259	mbz:LH58_07990
ko:K01992	mbz:LH58_07995
ko:K01990	mbz:LH58_08000
ko:K14339	mbz:LH58_08005
ko:K09014	mbz:LH58_08015
ko:K09015	mbz:LH58_08020
ko:K09013	mbz:LH58_08025
ko:K11717	mbz:LH58_08030
ko:K04488	mbz:LH58_08035
ko:K07086	mbz:LH58_12670
ko:K18481	mbz:LH58_12685
ko:K00392	mbz:LH58_12695
ko:K00390	mbz:LH58_12700
ko:K00681	mbz:LH58_12710
ko:K02045	mbz:LH58_12745
ko:K02047	mbz:LH58_12750
ko:K02046	mbz:LH58_12755
ko:K02048	mbz:LH58_12760
ko:K03596	mbz:LH58_12785
ko:K00784	mbz:LH58_12805
ko:K02968	mbz:LH58_12830
ko:K02340	mbz:LH58_12835
ko:K02238	mbz:LH58_12840
ko:K02237	mbz:LH58_12845
ko:K09710	mbz:LH58_12875
ko:K00969	mbz:LH58_12880
ko:K07161	mbz:LH58_12910
ko:K00147	mbz:LH58_12920
ko:K03386	mbz:LH58_12935
ko:K04756	mbz:LH58_12940
ko:K00852	mbz:LH58_12980
ko:K06996	mbz:LH58_03105
ko:K09122	mbz:LH58_03115
ko:K02066	mbz:LH58_03155
ko:K02066	mbz:LH58_03160
ko:K02067	mbz:LH58_03165
ko:K02067	mbz:LH58_03170
ko:K02067	mbz:LH58_03175
ko:K02067	mbz:LH58_03180
ko:K02067	mbz:LH58_03190
ko:K07133	mbz:LH58_03205
ko:K02484	mbz:LH58_03220
ko:K02484	mbz:LH58_03225
ko:K00965	mbz:LH58_03330
ko:K00849	mbz:LH58_03335
ko:K03581	mbz:LH58_03390
ko:K03583	mbz:LH58_03400
ko:K01692	mbz:LH58_03405
ko:K12951	mbz:LH58_08055
ko:K00384	mbz:LH58_08065
ko:K01692	mbz:LH58_08070
ko:K01681	mbz:LH58_08090
ko:K03924	mbz:LH58_08110
ko:K07114	mbz:LH58_08120
ko:K11610	mbz:LH58_08130
ko:K11611	mbz:LH58_08135
ko:K01772	mbz:LH58_08140
ko:K01847	mbz:LH58_08180
ko:K01847	mbz:LH58_08185
ko:K07588	mbz:LH58_08200
ko:K09165	mbz:LH58_08215
ko:K02805	mbz:LH58_08240
ko:K06994	mbz:LH58_08275
ko:K12433	mbz:LH58_08300
ko:K01870	mbz:LH58_08345
ko:K02346	mbz:LH58_08350
ko:K01424	mbz:LH58_08355
ko:K01950	mbz:LH58_12990
ko:K00931	mbz:LH58_12995
ko:K03979	mbz:LH58_13000
ko:K02899	mbz:LH58_13005
ko:K02888	mbz:LH58_13010
ko:K11103	mbz:LH58_13015
ko:K00940	mbz:LH58_13025
ko:K11754	mbz:LH58_13035
ko:K01873	mbz:LH58_13040
ko:K03752	mbz:LH58_13065
ko:K00175	mbz:LH58_13070
ko:K00174	mbz:LH58_13075
ko:K03544	mbz:LH58_13085
ko:K00547	mbz:LH58_13090
ko:K01358	mbz:LH58_13100
ko:K01358	mbz:LH58_13105
ko:K03545	mbz:LH58_13110
ko:K05522	mbz:LH58_13130
ko:K01808	mbz:LH58_13135
ko:K01256	mbz:LH58_13145
ko:K06886	mbz:LH58_13165
ko:K01187	mbz:LH58_13170
ko:K07107	mbz:LH58_13190
ko:K15371	mbz:LH58_13195
ko:K00631	mbz:LH58_13215
ko:K15781	mbz:LH58_13220
ko:K01692	mbz:LH58_13245
ko:K02913	mbz:LH58_03435
ko:K03073	mbz:LH58_03460
ko:K02601	mbz:LH58_03465
ko:K02867	mbz:LH58_03470
ko:K02863	mbz:LH58_03475
ko:K00574	mbz:LH58_03480
ko:K00574	mbz:LH58_03485
ko:K00574	mbz:LH58_03490
ko:K00574	mbz:LH58_03495
ko:K00645	mbz:LH58_03515
ko:K00845	mbz:LH58_03520
ko:K02864	mbz:LH58_03525
ko:K02935	mbz:LH58_03530
ko:K11159	mbz:LH58_03540
ko:K02065	mbz:LH58_03545
ko:K07052	mbz:LH58_03560
ko:K01130	mbz:LH58_03585
ko:K03043	mbz:LH58_03605
ko:K01990	mbz:LH58_20465
ko:K01992	mbz:LH58_20475
ko:K21672	mbz:LH58_05045
ko:K14234	mbz:LH58_03425
ko:K07171	mbz:LH58_10955
ko:K07171	mbz:LH58_16495
ko:K14223	mbz:LH58_15910
ko:K14237	mbz:LH58_14140
ko:K14233	mbz:LH58_20440
ko:K18917	mbz:LH58_17030
ko:K14223	mbz:LH58_05570
ko:K14221	mbz:LH58_04525
ko:K18955	mbz:LH58_18570
ko:K18913	mbz:LH58_20000
ko:K01985	mbz:LH58_07210
ko:K03496	mbz:LH58_17115
ko:K14218	mbz:LH58_16330
ko:K18955	mbz:LH58_17150
ko:K07481	mbz:LH58_05670
ko:K14222	mbz:LH58_14135
ko:K14225	mbz:LH58_14130
ko:K07171	mbz:LH58_08195
ko:K07171	mbz:LH58_10405
ko:K18851	mbz:LH58_20580
ko:K07171	mbz:LH58_14870
ko:K18851	mbz:LH58_10110
ko:K10747	mbz:LH58_16295
ko:K18894	mbz:LH58_01080
ko:K01971	mbz:LH58_05110
ko:K18955	mbz:LH58_19890
ko:K18911	mbz:LH58_20005
ko:K18912	mbz:LH58_20015
ko:K03496	mbz:LH58_09175
ko:K03111	mbz:LH58_00305
ko:K04565	mbz:LH58_02315
ko:K03111	mbz:LH58_13205
ko:K03497	mbz:LH58_21125
ko:K03496	mbz:LH58_21130
ko:K07496	mbz:LH58_14820
ko:K07496	mbz:LH58_15825
ko:K07496	mbz:LH58_20705
ko:K03325	mbz:LH58_14110
ko:K03741	mbz:LH58_14110
ko:K07481	mbz:LH58_15730
ko:K07481	mbz:LH58_18415
ko:K03761	mbz:LH58_18840
