ko:K18919	elp:P12B_c1512
ko:K02402	elp:P12B_c1194
ko:K02556	elp:P12B_c1195
ko:K02557	elp:P12B_c1196
ko:K03407	elp:P12B_c1197
ko:K03408	elp:P12B_c1198
ko:K05877	elp:P12B_c1200
ko:K03412	elp:P12B_c1202
ko:K03413	elp:P12B_c1203
ko:K03414	elp:P12B_c1204
ko:K02401	elp:P12B_c1205
ko:K02400	elp:P12B_c1206
ko:K01887	elp:P12B_c1208
ko:K09907	elp:P12B_c1209
ko:K07821	elp:P12B_c1212
ko:K15257	elp:P12B_c1214
ko:K15256	elp:P12B_c1215
ko:K07136	elp:P12B_c1216
ko:K01876	elp:P12B_c1219
ko:K08310	elp:P12B_c1220
ko:K01159	elp:P12B_c1222
ko:K03551	elp:P12B_c1225
ko:K09816	elp:P12B_c1226
ko:K09817	elp:P12B_c1227
ko:K02560	elp:P12B_c1230
ko:K00873	elp:P12B_c1231
ko:K00036	elp:P12B_c1233
ko:K01690	elp:P12B_c1234
ko:K01625	elp:P12B_c1235
ko:K08289	elp:P12B_c1236
ko:K09918	elp:P12B_c1237
ko:K01354	elp:P12B_c1240
ko:K10857	elp:P12B_c1241
ko:K03424	elp:P12B_c2007
ko:K02341	elp:P12B_c2008
ko:K00943	elp:P12B_c2009
ko:K07082	elp:P12B_c2010
ko:K09458	elp:P12B_c2012
ko:K02078	elp:P12B_c2013
ko:K00645	elp:P12B_c2015
ko:K00648	elp:P12B_c2016
ko:K02911	elp:P12B_c2018
ko:K07040	elp:P12B_c2019
ko:K08300	elp:P12B_c2023
ko:K02397	elp:P12B_c2025
ko:K02396	elp:P12B_c2026
ko:K02395	elp:P12B_c2027
ko:K02394	elp:P12B_c2028
ko:K02393	elp:P12B_c2029
ko:K02392	elp:P12B_c2030
ko:K02391	elp:P12B_c2031
ko:K02390	elp:P12B_c2032
ko:K02389	elp:P12B_c2033
ko:K02388	elp:P12B_c2034
ko:K02387	elp:P12B_c2035
ko:K02386	elp:P12B_c2036
ko:K02398	elp:P12B_c2037
ko:K02399	elp:P12B_c2039
ko:K03980	elp:P12B_c2040
ko:K09915	elp:P12B_c2042
ko:K03790	elp:P12B_c2043
ko:K08162	elp:P12B_c2044
ko:K03675	elp:P12B_c2045
ko:K01465	elp:P12B_c2047
ko:K12149	elp:P12B_c2048
ko:K12148	elp:P12B_c2049
ko:K02846	elp:P12B_c2050
ko:K07146	elp:P12B_c2053
ko:K02517	elp:P12B_c2054
ko:K12147	elp:P12B_c2057
ko:K03669	elp:P12B_c2058
ko:K03670	elp:P12B_c2059
ko:K11941	elp:P12B_c2060
ko:K02468	elp:P12B_c2808
ko:K02467	elp:P12B_c2809
ko:K12266	elp:P12B_c2810
ko:K12264	elp:P12B_c2811
ko:K12265	elp:P12B_c2812
ko:K04656	elp:P12B_c2813
ko:K05796	elp:P12B_c2815
ko:K03487	elp:P12B_c2816
ko:K02752	elp:P12B_c2817
ko:K02753	elp:P12B_c2817
ko:K01223	elp:P12B_c2818
ko:K08315	elp:P12B_c2819
ko:K15834	elp:P12B_c2820
ko:K15832	elp:P12B_c2821
ko:K15831	elp:P12B_c2822
ko:K15830	elp:P12B_c2823
ko:K15829	elp:P12B_c2824
ko:K15828	elp:P12B_c2825
ko:K09688	elp:P12B_c3179
ko:K15827	elp:P12B_c2826
ko:K15833	elp:P12B_c2827
ko:K04651	elp:P12B_c2828
ko:K04653	elp:P12B_c2830
ko:K04654	elp:P12B_c2831
ko:K15836	elp:P12B_c2833
ko:K03555	elp:P12B_c2836
ko:K07314	elp:P12B_c2837
ko:K06194	elp:P12B_c2845
ko:K00573	elp:P12B_c2846
ko:K03787	elp:P12B_c2847
ko:K06176	elp:P12B_c2848
ko:K01770	elp:P12B_c2849
ko:K00991	elp:P12B_c2850
ko:K05589	elp:P12B_c2851
ko:K00860	elp:P12B_c2853
ko:K00957	elp:P12B_c2855
ko:K09612	elp:P12B_c2856
ko:K07787	elp:P12B_c3607
ko:K07798	elp:P12B_c3608
ko:K07644	elp:P12B_c3612
ko:K07007	elp:P12B_c3622
ko:K06144	elp:P12B_c3624
ko:K03305	elp:P12B_c3626
ko:K15984	elp:P12B_c3627
ko:K01414	elp:P12B_c3628
ko:K07115	elp:P12B_c3629
ko:K03893	elp:P12B_c3632
ko:K07285	elp:P12B_c3635
ko:K07507	elp:P12B_c3637
ko:K00428	elp:P12B_c3647
ko:K01194	elp:P12B_c3648
ko:K07058	elp:P12B_c3651
ko:K07290	elp:P12B_c3653
ko:K00874	elp:P12B_c3655
ko:K11103	elp:P12B_c3657
ko:K02015	elp:P12B_c4392
ko:K02015	elp:P12B_c4394
ko:K02016	elp:P12B_c4395
ko:K03088	elp:P12B_c4398
ko:K07348	elp:P12B_c4403
ko:K07349	elp:P12B_c4404
ko:K01686	elp:P12B_c4408
ko:K01305	elp:P12B_c4414
ko:K07559	elp:P12B_c4416
ko:K01153	elp:P12B_c4427
ko:K01154	elp:P12B_c4428
ko:K03427	elp:P12B_c4429
ko:K00833	elp:P12B_c0764
ko:K01012	elp:P12B_c0765
ko:K02169	elp:P12B_c0767
ko:K01935	elp:P12B_c0768
ko:K03702	elp:P12B_c0769
ko:K03639	elp:P12B_c0771
ko:K03638	elp:P12B_c0772
ko:K03637	elp:P12B_c0773
ko:K03636	elp:P12B_c0774
ko:K06890	elp:P12B_c0776
ko:K06890	elp:P12B_c0777
ko:K01993	elp:P12B_c0784
ko:K13574	elp:P12B_c0790
ko:K13650	elp:P12B_c0793
ko:K10037	elp:P12B_c0797
ko:K10036	elp:P12B_c0798
ko:K04047	elp:P12B_c0799
ko:K11939	elp:P12B_c0800
ko:K11934	elp:P12B_c0801
ko:K11924	elp:P12B_c0803
ko:K03284	elp:P12B_c1610
ko:K06871	elp:P12B_c1632
ko:K00331	elp:P12B_c2381
ko:K00330	elp:P12B_c2382
ko:K14260	elp:P12B_c2384
ko:K09161	elp:P12B_c2388
ko:K09899	elp:P12B_c2389
ko:K00925	elp:P12B_c2390
ko:K13788	elp:P12B_c2391
ko:K07095	elp:P12B_c2393
ko:K07589	elp:P12B_c2396
ko:K07071	elp:P12B_c2397
ko:K10017	elp:P12B_c2399
ko:K10015	elp:P12B_c2400
ko:K10016	elp:P12B_c2401
ko:K03186	elp:P12B_c2404
ko:K00764	elp:P12B_c2405
ko:K03558	elp:P12B_c2406
ko:K03749	elp:P12B_c2407
ko:K11754	elp:P12B_c2408
ko:K01963	elp:P12B_c2409
ko:K03975	elp:P12B_c2410
ko:K06173	elp:P12B_c2411
ko:K03473	elp:P12B_c2413
ko:K15461	elp:P12B_c2417
ko:K09906	elp:P12B_c2418
ko:K07090	elp:P12B_c2419
ko:K07261	elp:P12B_c2420
ko:K01736	elp:P12B_c2421
ko:K07320	elp:P12B_c2422
ko:K08296	elp:P12B_c2433
ko:K04095	elp:P12B_c3185
ko:K07229	elp:P12B_c3187
ko:K06878	elp:P12B_c3191
ko:K12113	elp:P12B_c3192
ko:K12111	elp:P12B_c3193
ko:K12112	elp:P12B_c3194
ko:K03931	elp:P12B_c3197
ko:K07043	elp:P12B_c3201
ko:K07862	elp:P12B_c3205
ko:K01685	elp:P12B_c3207
ko:K01812	elp:P12B_c3208
ko:K08191	elp:P12B_c3210
ko:K15977	elp:P12B_c3220
ko:K06911	elp:P12B_c3225
ko:K01752	elp:P12B_c3228
ko:K00656	elp:P12B_c3230
ko:K03838	elp:P12B_c3232
ko:K01754	elp:P12B_c3233
ko:K07592	elp:P12B_c3234
ko:K07591	elp:P12B_c3235
ko:K03753	elp:P12B_c3973
ko:K03752	elp:P12B_c3974
ko:K03673	elp:P12B_c3976
ko:K03978	elp:P12B_c3982
ko:K09894	elp:P12B_c3983
ko:K07712	elp:P12B_c3985
ko:K01915	elp:P12B_c3987
ko:K06207	elp:P12B_c3989
ko:K08318	elp:P12B_c3997
ko:K07058	elp:P12B_c4004
ko:K07560	elp:P12B_c4005
ko:K02380	elp:P12B_c4008
ko:K00123	elp:P12B_c4011
ko:K00123	elp:P12B_c4012
ko:K02379	elp:P12B_c4013
ko:K11202	elp:P12B_c4017
ko:K11203	elp:P12B_c4017
ko:K11201	elp:P12B_c4018
ko:K00795	elp:P12B_c0433
ko:K03602	elp:P12B_c0434
ko:K03151	elp:P12B_c0435
ko:K03152	elp:P12B_c0436
ko:K00077	elp:P12B_c0437
ko:K09767	elp:P12B_c0438
ko:K02300	elp:P12B_c0441
ko:K02299	elp:P12B_c0442
ko:K02298	elp:P12B_c0443
ko:K02297	elp:P12B_c0444
ko:K08218	elp:P12B_c0445
ko:K07286	elp:P12B_c0446
ko:K05527	elp:P12B_c0447
ko:K03545	elp:P12B_c0449
ko:K01358	elp:P12B_c0451
ko:K03544	elp:P12B_c0452
ko:K01338	elp:P12B_c0453
ko:K03530	elp:P12B_c0454
ko:K03770	elp:P12B_c0455
ko:K02237	elp:P12B_c0456
ko:K12500	elp:P12B_c0457
ko:K06920	elp:P12B_c0458
ko:K11938	elp:P12B_c0460
ko:K04752	elp:P12B_c0464
ko:K03320	elp:P12B_c0465
ko:K10805	elp:P12B_c0466
ko:K09914	elp:P12B_c0467
ko:K07443	elp:P12B_c0468
ko:K03577	elp:P12B_c0477
ko:K05802	elp:P12B_c0478
ko:K09790	elp:P12B_c0480
ko:K00759	elp:P12B_c0481
ko:K02343	elp:P12B_c0482
ko:K06187	elp:P12B_c0484
ko:K04079	elp:P12B_c0485
ko:K07156	elp:P12B_c1244
ko:K03808	elp:P12B_c1250
ko:K03607	elp:P12B_c1252
ko:K03797	elp:P12B_c1253
ko:K03799	elp:P12B_c1254
ko:K00563	elp:P12B_c1258
ko:K01752	elp:P12B_c1268
ko:K01665	elp:P12B_c1270
ko:K07285	elp:P12B_c1275
ko:K03684	elp:P12B_c1277
ko:K07246	elp:P12B_c1281
ko:K11250	elp:P12B_c1283
ko:K13069	elp:P12B_c1285
ko:K03449	elp:P12B_c1287
ko:K09786	elp:P12B_c1295
ko:K07180	elp:P12B_c1296
ko:K04336	elp:P12B_c2063
ko:K04334	elp:P12B_c2064
ko:K04335	elp:P12B_c2065
ko:K04337	elp:P12B_c2069
ko:K04338	elp:P12B_c2070
ko:K06214	elp:P12B_c2071
ko:K12972	elp:P12B_c2075
ko:K09936	elp:P12B_c2083
ko:K07001	elp:P12B_c2103
ko:K09802	elp:P12B_c2112
ko:K07470	elp:P12B_c2114
ko:K01141	elp:P12B_c2116
ko:K00390	elp:P12B_c2861
ko:K00381	elp:P12B_c2862
ko:K01737	elp:P12B_c2864
ko:K00313	elp:P12B_c2865
ko:K10026	elp:P12B_c2875
ko:K06872	elp:P12B_c2876
ko:K01689	elp:P12B_c2877
ko:K01937	elp:P12B_c2878
ko:K03215	elp:P12B_c2883
ko:K07678	elp:P12B_c2884
ko:K01706	elp:P12B_c2885
ko:K13918	elp:P12B_c2886
ko:K06175	elp:P12B_c2889
ko:K15723	elp:P12B_c2891
ko:K06879	elp:P12B_c2892
ko:K06966	elp:P12B_c2893
ko:K03837	elp:P12B_c2894
ko:K01752	elp:P12B_c2895
ko:K01146	elp:P12B_c2896
ko:K00048	elp:P12B_c2897
ko:K01628	elp:P12B_c2898
ko:K02429	elp:P12B_c2900
ko:K01818	elp:P12B_c2901
ko:K02431	elp:P12B_c2903
ko:K02430	elp:P12B_c2904
ko:K01766	elp:P12B_c2907
ko:K02426	elp:P12B_c2908
ko:K08304	elp:P12B_c2910
ko:K00694	elp:P12B_c3663
ko:K12372	elp:P12B_c3668
ko:K12371	elp:P12B_c3669
ko:K12370	elp:P12B_c3670
ko:K12369	elp:P12B_c3671
ko:K12368	elp:P12B_c3673
ko:K12975	elp:P12B_c3675
ko:K08177	elp:P12B_c3676
ko:K01246	elp:P12B_c3678
ko:K03826	elp:P12B_c3679
ko:K03704	elp:P12B_c3684
ko:K01879	elp:P12B_c3688
ko:K01878	elp:P12B_c3689
ko:K01805	elp:P12B_c3694
ko:K10543	elp:P12B_c3695
ko:K10545	elp:P12B_c3696
ko:K02529	elp:P12B_c3698
ko:K00835	elp:P12B_c3701
ko:K08092	elp:P12B_c3704
ko:K00880	elp:P12B_c3709
ko:K02317	elp:P12B_c4440
ko:K13255	elp:P12B_c4445
ko:K02344	elp:P12B_c4447
ko:K03789	elp:P12B_c4448
ko:K08723	elp:P12B_c4449
ko:K02837	elp:P12B_c4450
ko:K03424	elp:P12B_c4453
ko:K01839	elp:P12B_c4458
ko:K03800	elp:P12B_c4461
ko:K01079	elp:P12B_c4463
ko:K04485	elp:P12B_c4464
ko:K06211	elp:P12B_c4465
ko:K08309	elp:P12B_c4467
ko:K03720	elp:P12B_c4468
ko:K05804	elp:P12B_c4471
ko:K05805	elp:P12B_c4472
ko:K07663	elp:P12B_c4473
ko:K07641	elp:P12B_c4474
ko:K06143	elp:P12B_c4475
ko:K07773	elp:P12B_c4476
ko:K14233	elp:P12B_t0027
ko:K14225	elp:P12B_t0073
ko:K12524	elp:P12B_c0001
ko:K00872	elp:P12B_c0002
ko:K01733	elp:P12B_c0003
ko:K09861	elp:P12B_c0005
ko:K03310	elp:P12B_c0006
ko:K03831	elp:P12B_c0008
ko:K03686	elp:P12B_c0013
ko:K03313	elp:P12B_c0016
ko:K03717	elp:P12B_c0017
ko:K02968	elp:P12B_c0019
ko:K11753	elp:P12B_c0020
ko:K01870	elp:P12B_c0021
ko:K03101	elp:P12B_c0022
ko:K03774	elp:P12B_c0023
ko:K03527	elp:P12B_c0024
ko:K12700	elp:P12B_c0025
ko:K00215	elp:P12B_c0026
ko:K01956	elp:P12B_c0027
ko:K01955	elp:P12B_c0028
ko:K08277	elp:P12B_c0029
ko:K02182	elp:P12B_c0032
ko:K08298	elp:P12B_c0033
ko:K08297	elp:P12B_c0034
ko:K05245	elp:P12B_c0035
ko:K03521	elp:P12B_c0036
ko:K03522	elp:P12B_c0037
ko:K00313	elp:P12B_c0038
ko:K08368	elp:P12B_c0040
ko:K11746	elp:P12B_c0041
ko:K06195	elp:P12B_c0045
ko:K02528	elp:P12B_c0046
ko:K00097	elp:P12B_c0047
ko:K03771	elp:P12B_c0048
ko:K04744	elp:P12B_c0049
ko:K05801	elp:P12B_c0050
ko:K03580	elp:P12B_c0052
ko:K02336	elp:P12B_c0053
ko:K00656	elp:P12B_c0808
ko:K04069	elp:P12B_c0809
ko:K03750	elp:P12B_c0812
ko:K13051	elp:P12B_c0813
ko:K13892	elp:P12B_c0814
ko:K13889	elp:P12B_c0815
ko:K13890	elp:P12B_c0816
ko:K13891	elp:P12B_c0817
ko:K14441	elp:P12B_c0820
ko:K11534	elp:P12B_c0825
ko:K08160	elp:P12B_c0827
ko:K07085	elp:P12B_c0831
ko:K11073	elp:P12B_c0839
ko:K11076	elp:P12B_c0840
ko:K11075	elp:P12B_c0841
ko:K11074	elp:P12B_c0842
ko:K03212	elp:P12B_c0844
ko:K09996	elp:P12B_c0845
ko:K09999	elp:P12B_c0847
ko:K09997	elp:P12B_c0848
ko:K11066	elp:P12B_c0852
ko:K01620	elp:P12B_c0855
ko:K00156	elp:P12B_c0856
ko:K11933	elp:P12B_c0857
ko:K06188	elp:P12B_c0860
ko:K02471	elp:P12B_c1633
ko:K13069	elp:P12B_c1639
ko:K13243	elp:P12B_c1640
ko:K08641	elp:P12B_c1641
ko:K02034	elp:P12B_c1644
ko:K02972	elp:P12B_c1649
ko:K01772	elp:P12B_c0487
ko:K08223	elp:P12B_c0491
ko:K09973	elp:P12B_c0494
ko:K01425	elp:P12B_c0499
ko:K07340	elp:P12B_c0502
ko:K02068	elp:P12B_c0504
ko:K02069	elp:P12B_c0505
ko:K05838	elp:P12B_c0506
ko:K02003	elp:P12B_c0508
ko:K06917	elp:P12B_c0515
ko:K10972	elp:P12B_c0516
ko:K01483	elp:P12B_c0517
ko:K10973	elp:P12B_c0518
ko:K01608	elp:P12B_c0519
ko:K10975	elp:P12B_c0524
ko:K00865	elp:P12B_c0527
ko:K14977	elp:P12B_c0528
ko:K02083	elp:P12B_c0529
ko:K00926	elp:P12B_c0535
ko:K01589	elp:P12B_c0536
ko:K01588	elp:P12B_c0537
ko:K03269	elp:P12B_c0538
ko:K01883	elp:P12B_c0540
ko:K07038	elp:P12B_c0541
ko:K01491	elp:P12B_c0542
ko:K01792	elp:P12B_c1299
ko:K00134	elp:P12B_c1300
ko:K08369	elp:P12B_c1303
ko:K08369	elp:P12B_c1311
ko:K08281	elp:P12B_c1312
ko:K04773	elp:P12B_c1315
ko:K01008	elp:P12B_c1317
ko:K00262	elp:P12B_c1323
ko:K08320	elp:P12B_c1324
ko:K05779	elp:P12B_c1327
ko:K05778	elp:P12B_c1328
ko:K05777	elp:P12B_c1329
ko:K01142	elp:P12B_c1334
ko:K00840	elp:P12B_c1335
ko:K00673	elp:P12B_c1336
ko:K06447	elp:P12B_c1337
ko:K01484	elp:P12B_c1338
ko:K14232	elp:P12B_t0037
ko:K14219	elp:P12B_t0038
ko:K14224	elp:P12B_t0061
ko:K14224	elp:P12B_t0070
ko:K14224	elp:P12B_t0075
ko:K14224	elp:P12B_t0045
ko:K14230	elp:P12B_t0049
ko:K14230	elp:P12B_t0050
ko:K14230	elp:P12B_t0051
ko:K14230	elp:P12B_t0055
ko:K14219	elp:P12B_t0064
ko:K14226	elp:P12B_t0065
ko:K14228	elp:P12B_t0066
ko:K14228	elp:P12B_t0082
ko:K14228	elp:P12B_t0083
ko:K14228	elp:P12B_t0081
ko:K14232	elp:P12B_t0067
ko:K08349	elp:P12B_c1653
ko:K02575	elp:P12B_c1659
ko:K00675	elp:P12B_c1664
ko:K01821	elp:P12B_c1666
ko:K11738	elp:P12B_c1674
ko:K03823	elp:P12B_c1681
ko:K09936	elp:P12B_c1682
ko:K00137	elp:P12B_c1683
ko:K02053	elp:P12B_c1684
ko:K06076	elp:P12B_c2436
ko:K04754	elp:P12B_c2438
ko:K13629	elp:P12B_c2482
ko:K01753	elp:P12B_c2483
ko:K07786	elp:P12B_c2484
ko:K07797	elp:P12B_c2485
ko:K07690	elp:P12B_c2486
ko:K07679	elp:P12B_c2487
ko:K07088	elp:P12B_c2489
ko:K00865	elp:P12B_c3239
ko:K12299	elp:P12B_c3242
ko:K02746	elp:P12B_c3249
ko:K02747	elp:P12B_c3251
ko:K02079	elp:P12B_c3253
ko:K02082	elp:P12B_c3254
ko:K10984	elp:P12B_c3256
ko:K10985	elp:P12B_c3257
ko:K10986	elp:P12B_c3258
ko:K02080	elp:P12B_c3259
ko:K07056	elp:P12B_c3265
ko:K07121	elp:P12B_c3266
ko:K07460	elp:P12B_c3267
ko:K07089	elp:P12B_c3270
ko:K05520	elp:P12B_c3272
ko:K09979	elp:P12B_c3273
ko:K03824	elp:P12B_c3274
ko:K08303	elp:P12B_c3276
ko:K03835	elp:P12B_c3279
ko:K05592	elp:P12B_c3280
ko:K05803	elp:P12B_c3281
ko:K00962	elp:P12B_c3282
ko:K02956	elp:P12B_c3283
ko:K02834	elp:P12B_c3285
ko:K02519	elp:P12B_c3286
ko:K02600	elp:P12B_c3287
ko:K09748	elp:P12B_c3288
ko:K02854	elp:P12B_c4023
ko:K02856	elp:P12B_c4024
ko:K04564	elp:P12B_c4025
ko:K02526	elp:P12B_c4026
ko:K06006	elp:P12B_c4030
ko:K00850	elp:P12B_c4032
ko:K02048	elp:P12B_c4033
ko:K01521	elp:P12B_c4034
ko:K01803	elp:P12B_c4035
ko:K14065	elp:P12B_c4038
ko:K00528	elp:P12B_c4039
ko:K00864	elp:P12B_c4041
ko:K02440	elp:P12B_c4042
ko:K09892	elp:P12B_c4043
ko:K02553	elp:P12B_c4044
ko:K02548	elp:P12B_c4045
ko:K03667	elp:P12B_c4046
ko:K01419	elp:P12B_c4047
ko:K03591	elp:P12B_c4048
ko:K04066	elp:P12B_c4050
ko:K02909	elp:P12B_c4051
ko:K03764	elp:P12B_c4058
ko:K12525	elp:P12B_c4061
ko:K00297	elp:P12B_c4062
ko:K03782	elp:P12B_c4063
ko:K09974	elp:P12B_c4065
ko:K00005	elp:P12B_c4067
ko:K08483	elp:P12B_c4069
ko:K11189	elp:P12B_c4069
ko:K11201	elp:P12B_c4069
ko:K11203	elp:P12B_c4070
ko:K11202	elp:P12B_c4071
ko:K00656	elp:P12B_c4072
ko:K04069	elp:P12B_c4073
ko:K11202	elp:P12B_c4074
ko:K05526	elp:P12B_c1339
ko:K09975	elp:P12B_c1341
ko:K05984	elp:P12B_c1342
ko:K04064	elp:P12B_c1344
ko:K02760	elp:P12B_c1345
ko:K02761	elp:P12B_c1346
ko:K02759	elp:P12B_c1347
ko:K03490	elp:P12B_c1348
ko:K03781	elp:P12B_c1351
ko:K15722	elp:P12B_c1352
ko:K06956	elp:P12B_c1354
ko:K07112	elp:P12B_c2117
ko:K00765	elp:P12B_c2123
ko:K00013	elp:P12B_c2124
ko:K00817	elp:P12B_c2125
ko:K01089	elp:P12B_c2126
ko:K02501	elp:P12B_c2127
ko:K01814	elp:P12B_c2128
ko:K02500	elp:P12B_c2129
ko:K11755	elp:P12B_c2130
ko:K05789	elp:P12B_c2131
ko:K00012	elp:P12B_c2132
ko:K00963	elp:P12B_c2144
ko:K03208	elp:P12B_c2154
ko:K03207	elp:P12B_c2155
ko:K02377	elp:P12B_c2156
ko:K01711	elp:P12B_c2157
ko:K03818	elp:P12B_c2158
ko:K13683	elp:P12B_c2159
ko:K13620	elp:P12B_c2160
ko:K13684	elp:P12B_c2161
ko:K03819	elp:P12B_c2162
ko:K01991	elp:P12B_c2166
ko:K01448	elp:P12B_c2911
ko:K14682	elp:P12B_c2912
ko:K03581	elp:P12B_c2913
ko:K03582	elp:P12B_c2914
ko:K01407	elp:P12B_c2915
ko:K03583	elp:P12B_c2916
ko:K02681	elp:P12B_c2917
ko:K02680	elp:P12B_c2919
ko:K13292	elp:P12B_c2921
ko:K08484	elp:P12B_c2922
ko:K08311	elp:P12B_c2923
ko:K03573	elp:P12B_c2924
ko:K08227	elp:P12B_c2927
ko:K05939	elp:P12B_c2928
ko:K02529	elp:P12B_c2929
ko:K01586	elp:P12B_c2930
ko:K01815	elp:P12B_c2935
ko:K03221	elp:P12B_c2952
ko:K03225	elp:P12B_c2961
ko:K00138	elp:P12B_c3717
ko:K13954	elp:P12B_c3718
ko:K03833	elp:P12B_c3719
ko:K01042	elp:P12B_c3720
ko:K00009	elp:P12B_c3729
ko:K02562	elp:P12B_c3730
ko:K00427	elp:P12B_c3733
ko:K14348	elp:P12B_c3734
ko:K03216	elp:P12B_c3736
ko:K00640	elp:P12B_c3737
ko:K00057	elp:P12B_c3738
ko:K03071	elp:P12B_c3739
ko:K15633	elp:P12B_c3742
ko:K09798	elp:P12B_c3744
ko:K00060	elp:P12B_c3746
ko:K03274	elp:P12B_c3748
ko:K02841	elp:P12B_c3750
ko:K02847	elp:P12B_c3751
ko:K02850	elp:P12B_c3755
ko:K02848	elp:P12B_c3758
ko:K02844	elp:P12B_c3759
ko:K02527	elp:P12B_c3761
ko:K00954	elp:P12B_c3762
ko:K07347	elp:P12B_c2208
ko:K01804	elp:P12B_c0055
ko:K02063	elp:P12B_c0060
ko:K02064	elp:P12B_c0061
ko:K11925	elp:P12B_c0063
ko:K03291	elp:P12B_c0064
ko:K01704	elp:P12B_c0065
ko:K01703	elp:P12B_c0066
ko:K00052	elp:P12B_c0067
ko:K01649	elp:P12B_c0068
ko:K05798	elp:P12B_c0069
ko:K01652	elp:P12B_c0070
ko:K01653	elp:P12B_c0071
ko:K03435	elp:P12B_c0072
ko:K03925	elp:P12B_c0073
ko:K03438	elp:P12B_c0074
ko:K03586	elp:P12B_c0075
ko:K03587	elp:P12B_c0076
ko:K01928	elp:P12B_c0077
ko:K01929	elp:P12B_c0078
ko:K01000	elp:P12B_c0079
ko:K01925	elp:P12B_c0080
ko:K03588	elp:P12B_c0081
ko:K02563	elp:P12B_c0082
ko:K01924	elp:P12B_c0083
ko:K01921	elp:P12B_c0084
ko:K03589	elp:P12B_c0085
ko:K03590	elp:P12B_c0086
ko:K03531	elp:P12B_c0087
ko:K02535	elp:P12B_c0088
ko:K13301	elp:P12B_c0089
ko:K03070	elp:P12B_c0090
ko:K00859	elp:P12B_c0093
ko:K00364	elp:P12B_c0094
ko:K02505	elp:P12B_c0095
ko:K02504	elp:P12B_c0096
ko:K02682	elp:P12B_c0097
ko:K00767	elp:P12B_c0098
ko:K03806	elp:P12B_c0099
ko:K03807	elp:P12B_c0100
ko:K11734	elp:P12B_c0101
ko:K00163	elp:P12B_c0103
ko:K00627	elp:P12B_c0104
ko:K00382	elp:P12B_c0105
ko:K01682	elp:P12B_c0107
ko:K09824	elp:P12B_c0862
ko:K13888	elp:P12B_c0863
ko:K05685	elp:P12B_c0864
ko:K03704	elp:P12B_c0865
ko:K06891	elp:P12B_c0866
ko:K03694	elp:P12B_c0867
ko:K00684	elp:P12B_c0870
ko:K00384	elp:P12B_c0873
ko:K03466	elp:P12B_c0876
ko:K03634	elp:P12B_c0877
ko:K07478	elp:P12B_c0878
ko:K07306	elp:P12B_c0880
ko:K08219	elp:P12B_c0884
ko:K07688	elp:P12B_c0547
ko:K11739	elp:P12B_c0551
ko:K07644	elp:P12B_c0553
ko:K07798	elp:P12B_c0557
ko:K07787	elp:P12B_c0558
ko:K11732	elp:P12B_c0559
ko:K10679	elp:P12B_c0561
ko:K06048	elp:P12B_c0564
ko:K02362	elp:P12B_c0568
ko:K02364	elp:P12B_c0571
ko:K02013	elp:P12B_c0573
ko:K02015	elp:P12B_c0574
ko:K02015	elp:P12B_c0575
ko:K02016	elp:P12B_c0577
ko:K02361	elp:P12B_c0578
ko:K02363	elp:P12B_c0579
ko:K01252	elp:P12B_c0580
ko:K00216	elp:P12B_c0581
ko:K06200	elp:P12B_c0583
ko:K08317	elp:P12B_c0584
ko:K14287	elp:P12B_c0585
ko:K03805	elp:P12B_c0589
ko:K03387	elp:P12B_c0591
ko:K11932	elp:P12B_c0592
ko:K01169	elp:P12B_c0595
ko:K07038	elp:P12B_c1355
ko:K01868	elp:P12B_c1363
ko:K02916	elp:P12B_c1366
ko:K02887	elp:P12B_c1367
ko:K01889	elp:P12B_c1369
ko:K01890	elp:P12B_c1370
ko:K04764	elp:P12B_c1371
ko:K06073	elp:P12B_c1372
ko:K00432	elp:P12B_c1373
ko:K06074	elp:P12B_c1374
ko:K01626	elp:P12B_c1379
ko:K09773	elp:P12B_c1380
ko:K12507	elp:P12B_c1382
ko:K00313	elp:P12B_c1384
ko:K03785	elp:P12B_c1390
ko:K05887	elp:P12B_c1391
ko:K05997	elp:P12B_c1398
ko:K09014	elp:P12B_c1399
ko:K09013	elp:P12B_c1400
ko:K09015	elp:P12B_c1401
ko:K11717	elp:P12B_c1402
ko:K02426	elp:P12B_c1403
ko:K00873	elp:P12B_c1406
ko:K07289	elp:P12B_c2168
ko:K01494	elp:P12B_c2169
ko:K00876	elp:P12B_c2170
ko:K01247	elp:P12B_c2172
ko:K04046	elp:P12B_c2173
ko:K07799	elp:P12B_c2177
ko:K07788	elp:P12B_c2178
ko:K07789	elp:P12B_c2179
ko:K07642	elp:P12B_c2181
ko:K07664	elp:P12B_c2182
ko:K09946	elp:P12B_c2183
ko:K08303	elp:P12B_c2184
ko:K02774	elp:P12B_c2190
ko:K02773	elp:P12B_c2191
ko:K00941	elp:P12B_c2201
ko:K00878	elp:P12B_c2202
ko:K01874	elp:P12B_c2213
ko:K13480	elp:P12B_c2966
ko:K01464	elp:P12B_c2971
ko:K07402	elp:P12B_c2973
ko:K07141	elp:P12B_c2975
ko:K12527	elp:P12B_c2976
ko:K12529	elp:P12B_c2978
ko:K12528	elp:P12B_c2979
ko:K06901	elp:P12B_c2982
ko:K04567	elp:P12B_c2987
ko:K02836	elp:P12B_c2988
