ko:K18928	bpsm:BBQ_5878
ko:K08995	bpsm:BBQ_3867
ko:K07217	bpsm:BBQ_3888
ko:K03092	bpsm:BBQ_3890
ko:K03781	bpsm:BBQ_3894
ko:K10979	bpsm:BBQ_3896
ko:K00832	bpsm:BBQ_3909
ko:K12511	bpsm:BBQ_3911
ko:K00657	bpsm:BBQ_3306
ko:K03650	bpsm:BBQ_3311
ko:K03217	bpsm:BBQ_3313
ko:K08998	bpsm:BBQ_3314
ko:K03536	bpsm:BBQ_3315
ko:K02914	bpsm:BBQ_3316
ko:K02313	bpsm:BBQ_3317
ko:K02338	bpsm:BBQ_3318
ko:K02470	bpsm:BBQ_3319
ko:K03781	bpsm:BBQ_3332
ko:K03088	bpsm:BBQ_3333
ko:K01782	bpsm:BBQ_3341
ko:K00626	bpsm:BBQ_3342
ko:K02616	bpsm:BBQ_3345
ko:K10947	bpsm:BBQ_3348
ko:K01999	bpsm:BBQ_3354
ko:K01997	bpsm:BBQ_3355
ko:K01998	bpsm:BBQ_3356
ko:K01995	bpsm:BBQ_3357
ko:K01996	bpsm:BBQ_3358
ko:K01156	bpsm:BBQ_3361
ko:K21757	bpsm:BBQ_4241
ko:K12510	bpsm:BBQ_3912
ko:K02283	bpsm:BBQ_3913
ko:K02282	bpsm:BBQ_3914
ko:K02280	bpsm:BBQ_3919
ko:K02279	bpsm:BBQ_3920
ko:K02278	bpsm:BBQ_3922
ko:K02651	bpsm:BBQ_3923
ko:K02651	bpsm:BBQ_3924
ko:K06200	bpsm:BBQ_3937
ko:K01845	bpsm:BBQ_3940
ko:K10253	bpsm:BBQ_3941
ko:K03527	bpsm:BBQ_3943
ko:K01512	bpsm:BBQ_3947
ko:K05786	bpsm:BBQ_3948
ko:K01720	bpsm:BBQ_3950
ko:K01644	bpsm:BBQ_3952
ko:K08369	bpsm:BBQ_3956
ko:K01644	bpsm:BBQ_3961
ko:K03305	bpsm:BBQ_3967
ko:K15580	bpsm:BBQ_3969
ko:K15581	bpsm:BBQ_3970
ko:K15582	bpsm:BBQ_3971
ko:K15583	bpsm:BBQ_3972
ko:K10823	bpsm:BBQ_3973
ko:K16856	bpsm:BBQ_3986
ko:K00101	bpsm:BBQ_3987
ko:K04487	bpsm:BBQ_3990
ko:K01753	bpsm:BBQ_3996
ko:K03181	bpsm:BBQ_4003
ko:K07169	bpsm:BBQ_4006
ko:K11906	bpsm:BBQ_4008
ko:K11893	bpsm:BBQ_4009
ko:K11892	bpsm:BBQ_4010
ko:K11891	bpsm:BBQ_4011
ko:K11890	bpsm:BBQ_4012
ko:K11902	bpsm:BBQ_4014
ko:K11901	bpsm:BBQ_4015
ko:K11900	bpsm:BBQ_4016
ko:K06887	bpsm:BBQ_4017
ko:K11897	bpsm:BBQ_4018
ko:K11896	bpsm:BBQ_4019
ko:K11907	bpsm:BBQ_4021
ko:K11904	bpsm:BBQ_4022
ko:K10111	bpsm:BBQ_4039
ko:K02027	bpsm:BBQ_4040
ko:K02025	bpsm:BBQ_4041
ko:K02026	bpsm:BBQ_4042
ko:K07407	bpsm:BBQ_4043
ko:K02058	bpsm:BBQ_4052
ko:K02057	bpsm:BBQ_4053
ko:K02056	bpsm:BBQ_4054
ko:K01424	bpsm:BBQ_4061
ko:K15256	bpsm:BBQ_4335
ko:K00788	bpsm:BBQ_4337
ko:K01821	bpsm:BBQ_4342
ko:K02019	bpsm:BBQ_4345
ko:K02017	bpsm:BBQ_4346
ko:K02018	bpsm:BBQ_4347
ko:K02020	bpsm:BBQ_4348
ko:K02204	bpsm:BBQ_4356
ko:K01241	bpsm:BBQ_4358
ko:K06966	bpsm:BBQ_4365
ko:K03885	bpsm:BBQ_4367
ko:K01061	bpsm:BBQ_4369
ko:K01011	bpsm:BBQ_4370
ko:K03602	bpsm:BBQ_4372
ko:K00795	bpsm:BBQ_4373
ko:K01662	bpsm:BBQ_4374
ko:K09007	bpsm:BBQ_4375
ko:K01409	bpsm:BBQ_4376
ko:K07007	bpsm:BBQ_4377
ko:K02970	bpsm:BBQ_4378
ko:K09117	bpsm:BBQ_4379
ko:K03086	bpsm:BBQ_4381
ko:K03457	bpsm:BBQ_4385
ko:K02553	bpsm:BBQ_1142
ko:K01638	bpsm:BBQ_1144
ko:K01560	bpsm:BBQ_1145
ko:K01637	bpsm:BBQ_1148
ko:K03789	bpsm:BBQ_1152
ko:K09977	bpsm:BBQ_1154
ko:K00941	bpsm:BBQ_1155
ko:K01775	bpsm:BBQ_1157
ko:K04485	bpsm:BBQ_1158
ko:K06158	bpsm:BBQ_1160
ko:K00432	bpsm:BBQ_1161
ko:K06131	bpsm:BBQ_1162
ko:K07320	bpsm:BBQ_1163
ko:K01439	bpsm:BBQ_1164
ko:K00674	bpsm:BBQ_1166
ko:K14267	bpsm:BBQ_1167
ko:K03529	bpsm:BBQ_1169
ko:K01972	bpsm:BBQ_1171
ko:K01462	bpsm:BBQ_1172
ko:K06182	bpsm:BBQ_1173
ko:K00990	bpsm:BBQ_1174
ko:K01265	bpsm:BBQ_1176
ko:K02967	bpsm:BBQ_1177
ko:K02357	bpsm:BBQ_1178
ko:K09903	bpsm:BBQ_1179
ko:K02838	bpsm:BBQ_1180
ko:K00806	bpsm:BBQ_1181
ko:K00981	bpsm:BBQ_1182
ko:K00099	bpsm:BBQ_1183
ko:K11749	bpsm:BBQ_1184
ko:K07277	bpsm:BBQ_1185
ko:K06142	bpsm:BBQ_1186
ko:K02536	bpsm:BBQ_1187
ko:K02372	bpsm:BBQ_1188
ko:K03327	bpsm:BBQ_1987
ko:K08296	bpsm:BBQ_1991
ko:K09136	bpsm:BBQ_2827
ko:K03701	bpsm:BBQ_2859
ko:K01433	bpsm:BBQ_2861
ko:K00759	bpsm:BBQ_2864
ko:K03455	bpsm:BBQ_2865
ko:K06041	bpsm:BBQ_2866
ko:K03270	bpsm:BBQ_2867
ko:K11719	bpsm:BBQ_2868
ko:K09774	bpsm:BBQ_2869
ko:K06861	bpsm:BBQ_2870
ko:K03092	bpsm:BBQ_2872
ko:K05808	bpsm:BBQ_2873
ko:K02806	bpsm:BBQ_2874
ko:K06023	bpsm:BBQ_2875
ko:K06958	bpsm:BBQ_2876
ko:K07157	bpsm:BBQ_2877
ko:K03575	bpsm:BBQ_2878
ko:K10563	bpsm:BBQ_2879
ko:K02494	bpsm:BBQ_2881
ko:K02860	bpsm:BBQ_812
ko:K00554	bpsm:BBQ_813
ko:K02884	bpsm:BBQ_814
ko:K02227	bpsm:BBQ_817
ko:K06949	bpsm:BBQ_819
ko:K06013	bpsm:BBQ_820
ko:K13288	bpsm:BBQ_821
ko:K03831	bpsm:BBQ_822
ko:K09889	bpsm:BBQ_823
ko:K03592	bpsm:BBQ_824
ko:K01679	bpsm:BBQ_835
ko:K03327	bpsm:BBQ_836
ko:K14761	bpsm:BBQ_837
ko:K05805	bpsm:BBQ_840
ko:K05524	bpsm:BBQ_844
ko:K00763	bpsm:BBQ_845
ko:K00782	bpsm:BBQ_846
ko:K09760	bpsm:BBQ_849
ko:K03750	bpsm:BBQ_852
ko:K03752	bpsm:BBQ_853
ko:K03639	bpsm:BBQ_854
ko:K08300	bpsm:BBQ_855
ko:K06179	bpsm:BBQ_856
ko:K01091	bpsm:BBQ_857
ko:K04773	bpsm:BBQ_859
ko:K07056	bpsm:BBQ_860
ko:K06287	bpsm:BBQ_861
ko:K07040	bpsm:BBQ_862
ko:K02911	bpsm:BBQ_863
ko:K03621	bpsm:BBQ_864
ko:K00648	bpsm:BBQ_865
ko:K00645	bpsm:BBQ_866
ko:K00059	bpsm:BBQ_867
ko:K02029	bpsm:BBQ_1670
ko:K02029	bpsm:BBQ_1671
ko:K02030	bpsm:BBQ_1672
ko:K12511	bpsm:BBQ_1676
ko:K02283	bpsm:BBQ_1678
ko:K02282	bpsm:BBQ_1679
ko:K02280	bpsm:BBQ_1681
ko:K02279	bpsm:BBQ_1682
ko:K02278	bpsm:BBQ_1683
ko:K02651	bpsm:BBQ_1684
ko:K02050	bpsm:BBQ_1685
ko:K02049	bpsm:BBQ_1686
ko:K02051	bpsm:BBQ_1688
ko:K09786	bpsm:BBQ_1691
ko:K07180	bpsm:BBQ_1692
ko:K00852	bpsm:BBQ_1694
ko:K02529	bpsm:BBQ_1695
ko:K10440	bpsm:BBQ_1696
ko:K10441	bpsm:BBQ_1697
ko:K10439	bpsm:BBQ_1698
ko:K13635	bpsm:BBQ_1699
ko:K02045	bpsm:BBQ_1700
ko:K02047	bpsm:BBQ_1701
ko:K02046	bpsm:BBQ_1702
ko:K02048	bpsm:BBQ_1703
ko:K01356	bpsm:BBQ_1704
ko:K09695	bpsm:BBQ_1708
ko:K09694	bpsm:BBQ_1709
ko:K07089	bpsm:BBQ_1711
ko:K05539	bpsm:BBQ_1716
ko:K00523	bpsm:BBQ_2517
ko:K01996	bpsm:BBQ_2521
ko:K01995	bpsm:BBQ_2522
ko:K01998	bpsm:BBQ_2523
ko:K01997	bpsm:BBQ_2524
ko:K03527	bpsm:BBQ_2526
ko:K03774	bpsm:BBQ_2527
ko:K03630	bpsm:BBQ_2528
ko:K02902	bpsm:BBQ_2529
ko:K02913	bpsm:BBQ_2530
ko:K00278	bpsm:BBQ_2531
ko:K00767	bpsm:BBQ_2532
ko:K03517	bpsm:BBQ_2533
ko:K03500	bpsm:BBQ_2536
ko:K11175	bpsm:BBQ_2537
ko:K11753	bpsm:BBQ_2538
ko:K01870	bpsm:BBQ_2539
ko:K03101	bpsm:BBQ_2540
ko:K13038	bpsm:BBQ_2541
ko:K03694	bpsm:BBQ_2546
ko:K06891	bpsm:BBQ_2547
ko:K03704	bpsm:BBQ_2548
ko:K00031	bpsm:BBQ_2550
ko:K06181	bpsm:BBQ_2551
ko:K09005	bpsm:BBQ_2552
ko:K02355	bpsm:BBQ_2553
ko:K03710	bpsm:BBQ_2556
ko:K01647	bpsm:BBQ_2558
ko:K00077	bpsm:BBQ_2562
ko:K07240	bpsm:BBQ_2566
ko:K07316	bpsm:BBQ_3362
ko:K07649	bpsm:BBQ_3365
ko:K02050	bpsm:BBQ_3366
ko:K02049	bpsm:BBQ_3367
ko:K02051	bpsm:BBQ_3368
ko:K02421	bpsm:BBQ_3372
ko:K02420	bpsm:BBQ_3373
ko:K02419	bpsm:BBQ_3374
ko:K02418	bpsm:BBQ_3375
ko:K02417	bpsm:BBQ_3376
ko:K02416	bpsm:BBQ_3377
ko:K02415	bpsm:BBQ_3378
ko:K06518	bpsm:BBQ_3381
ko:K03446	bpsm:BBQ_3383
ko:K02463	bpsm:BBQ_3387
ko:K02462	bpsm:BBQ_3388
ko:K02461	bpsm:BBQ_3389
ko:K02460	bpsm:BBQ_3390
ko:K02459	bpsm:BBQ_3391
ko:K02458	bpsm:BBQ_3392
ko:K02457	bpsm:BBQ_3393
ko:K02456	bpsm:BBQ_3394
ko:K02452	bpsm:BBQ_3395
ko:K02455	bpsm:BBQ_3396
ko:K02454	bpsm:BBQ_3397
ko:K02453	bpsm:BBQ_3398
ko:K03530	bpsm:BBQ_3401
ko:K15461	bpsm:BBQ_3402
ko:K06048	bpsm:BBQ_3404
ko:K01951	bpsm:BBQ_3406
ko:K07117	bpsm:BBQ_3408
ko:K01724	bpsm:BBQ_3412
ko:K01711	bpsm:BBQ_4454
ko:K00963	bpsm:BBQ_4461
ko:K07058	bpsm:BBQ_4466
ko:K06987	bpsm:BBQ_4468
ko:K02030	bpsm:BBQ_4470
ko:K02028	bpsm:BBQ_4473
ko:K02029	bpsm:BBQ_4473
ko:K02030	bpsm:BBQ_4474
ko:K00123	bpsm:BBQ_4477
ko:K00123	bpsm:BBQ_4478
ko:K00124	bpsm:BBQ_4479
ko:K00127	bpsm:BBQ_4480
ko:K02380	bpsm:BBQ_4481
ko:K01042	bpsm:BBQ_4482
ko:K03833	bpsm:BBQ_4483
ko:K01426	bpsm:BBQ_4484
ko:K05349	bpsm:BBQ_4486
ko:K08195	bpsm:BBQ_4489
ko:K07152	bpsm:BBQ_4491
ko:K18292	bpsm:BBQ_4502
ko:K18290	bpsm:BBQ_4503
ko:K18288	bpsm:BBQ_4504
ko:K00156	bpsm:BBQ_4505
ko:K01387	bpsm:BBQ_5310
ko:K04127	bpsm:BBQ_5312
ko:K03119	bpsm:BBQ_5313
ko:K01869	bpsm:BBQ_5318
ko:K06894	bpsm:BBQ_5322
ko:K05367	bpsm:BBQ_5323
ko:K03410	bpsm:BBQ_5324
ko:K00832	bpsm:BBQ_5332
ko:K11734	bpsm:BBQ_5333
ko:K11068	bpsm:BBQ_5337
ko:K01999	bpsm:BBQ_5338
ko:K03534	bpsm:BBQ_5347
ko:K18333	bpsm:BBQ_5348
ko:K18335	bpsm:BBQ_5350
ko:K07046	bpsm:BBQ_5351
ko:K01685	bpsm:BBQ_5352
ko:K02057	bpsm:BBQ_5354
ko:K02056	bpsm:BBQ_5355
ko:K00836	bpsm:BBQ_4506
ko:K03228	bpsm:BBQ_4513
ko:K03224	bpsm:BBQ_4515
ko:K03223	bpsm:BBQ_4516
ko:K03222	bpsm:BBQ_4518
ko:K18374	bpsm:BBQ_4519
ko:K03229	bpsm:BBQ_4521
ko:K03230	bpsm:BBQ_4522
ko:K18381	bpsm:BBQ_4523
ko:K03225	bpsm:BBQ_4524
ko:K03226	bpsm:BBQ_4525
ko:K03227	bpsm:BBQ_4526
ko:K03220	bpsm:BBQ_4528
ko:K07657	bpsm:BBQ_4539
ko:K02669	bpsm:BBQ_4541
ko:K03219	bpsm:BBQ_4551
ko:K12255	bpsm:BBQ_4558
ko:K05819	bpsm:BBQ_5360
ko:K12508	bpsm:BBQ_5361
ko:K18383	bpsm:BBQ_5363
ko:K06995	bpsm:BBQ_5366
ko:K13874	bpsm:BBQ_5368
ko:K10538	bpsm:BBQ_5369
ko:K01114	bpsm:BBQ_5377
ko:K00428	bpsm:BBQ_5378
ko:K01485	bpsm:BBQ_5385
ko:K10974	bpsm:BBQ_5387
ko:K01266	bpsm:BBQ_5394
ko:K16856	bpsm:BBQ_5404
ko:K18335	bpsm:BBQ_5405
ko:K07046	bpsm:BBQ_5406
ko:K00064	bpsm:BBQ_5407
ko:K01685	bpsm:BBQ_5408
ko:K03534	bpsm:BBQ_5410
ko:K07154	bpsm:BBQ_4561
ko:K00694	bpsm:BBQ_4570
ko:K03119	bpsm:BBQ_4573
ko:K15551	bpsm:BBQ_4574
ko:K10831	bpsm:BBQ_4575
ko:K15552	bpsm:BBQ_4576
ko:K09990	bpsm:BBQ_4581
ko:K03306	bpsm:BBQ_4582
ko:K08677	bpsm:BBQ_4586
ko:K00101	bpsm:BBQ_4588
ko:K03221	bpsm:BBQ_4602
ko:K03230	bpsm:BBQ_4607
ko:K02026	bpsm:BBQ_5412
ko:K02025	bpsm:BBQ_5413
ko:K02027	bpsm:BBQ_5414
ko:K10112	bpsm:BBQ_5415
ko:K07001	bpsm:BBQ_5427
ko:K00059	bpsm:BBQ_5428
ko:K00817	bpsm:BBQ_5429
ko:K09780	bpsm:BBQ_5430
ko:K04090	bpsm:BBQ_5432
ko:K00523	bpsm:BBQ_5433
ko:K01912	bpsm:BBQ_5437
ko:K07068	bpsm:BBQ_5439
ko:K00140	bpsm:BBQ_5448
ko:K00822	bpsm:BBQ_5449
ko:K00694	bpsm:BBQ_5458
ko:K00666	bpsm:BBQ_5461
ko:K03225	bpsm:BBQ_4612
ko:K13285	bpsm:BBQ_4618
ko:K13286	bpsm:BBQ_4619
ko:K13287	bpsm:BBQ_4621
ko:K13741	bpsm:BBQ_4625
ko:K01495	bpsm:BBQ_4631
ko:K11891	bpsm:BBQ_4633
ko:K11892	bpsm:BBQ_4634
ko:K11893	bpsm:BBQ_4635
ko:K11904	bpsm:BBQ_4641
ko:K11907	bpsm:BBQ_4642
ko:K11895	bpsm:BBQ_4643
ko:K11896	bpsm:BBQ_4644
ko:K11905	bpsm:BBQ_4645
ko:K11903	bpsm:BBQ_4646
ko:K11900	bpsm:BBQ_4647
ko:K11901	bpsm:BBQ_4648
ko:K11910	bpsm:BBQ_4651
ko:K07152	bpsm:BBQ_4656
ko:K00368	bpsm:BBQ_4659
ko:K00375	bpsm:BBQ_5465
ko:K04064	bpsm:BBQ_5467
ko:K00208	bpsm:BBQ_5469
ko:K16137	bpsm:BBQ_5473
ko:K03928	bpsm:BBQ_5476
ko:K01775	bpsm:BBQ_5481
ko:K07140	bpsm:BBQ_5486
ko:K07649	bpsm:BBQ_5487
ko:K07774	bpsm:BBQ_5488
ko:K02012	bpsm:BBQ_5489
ko:K02011	bpsm:BBQ_5490
ko:K02010	bpsm:BBQ_5491
ko:K02510	bpsm:BBQ_5494
ko:K02509	bpsm:BBQ_5496
ko:K01826	bpsm:BBQ_5497
ko:K00455	bpsm:BBQ_5498
ko:K00151	bpsm:BBQ_5499
ko:K02484	bpsm:BBQ_5506
ko:K01916	bpsm:BBQ_4665
ko:K08322	bpsm:BBQ_4669
ko:K08323	bpsm:BBQ_4670
ko:K00040	bpsm:BBQ_4672
ko:K09471	bpsm:BBQ_4677
ko:K00128	bpsm:BBQ_4682
ko:K07000	bpsm:BBQ_327
ko:K01147	bpsm:BBQ_328
ko:K00014	bpsm:BBQ_329
ko:K03814	bpsm:BBQ_330
ko:K00883	bpsm:BBQ_334
ko:K01631	bpsm:BBQ_335
ko:K10537	bpsm:BBQ_337
ko:K10539	bpsm:BBQ_338
ko:K10538	bpsm:BBQ_339
ko:K01591	bpsm:BBQ_342
ko:K03743	bpsm:BBQ_343
ko:K01095	bpsm:BBQ_344
ko:K00946	bpsm:BBQ_345
ko:K00029	bpsm:BBQ_346
ko:K09761	bpsm:BBQ_349
ko:K00797	bpsm:BBQ_351
ko:K00615	bpsm:BBQ_352
ko:K00134	bpsm:BBQ_353
ko:K01725	bpsm:BBQ_355
ko:K01673	bpsm:BBQ_356
ko:K11921	bpsm:BBQ_357
ko:K11103	bpsm:BBQ_359
ko:K01477	bpsm:BBQ_360
ko:K01483	bpsm:BBQ_361
ko:K03711	bpsm:BBQ_362
ko:K06186	bpsm:BBQ_363
ko:K00215	bpsm:BBQ_364
ko:K03561	bpsm:BBQ_365
ko:K03559	bpsm:BBQ_366
ko:K01869	bpsm:BBQ_367
ko:K03643	bpsm:BBQ_368
ko:K02340	bpsm:BBQ_369
ko:K00147	bpsm:BBQ_370
ko:K08973	bpsm:BBQ_371
ko:K01690	bpsm:BBQ_373
ko:K01625	bpsm:BBQ_374
ko:K03299	bpsm:BBQ_375
ko:K00851	bpsm:BBQ_376
ko:K01756	bpsm:BBQ_377
ko:K02575	bpsm:BBQ_378
ko:K00677	bpsm:BBQ_1189
ko:K00748	bpsm:BBQ_1190
ko:K03470	bpsm:BBQ_1191
ko:K03437	bpsm:BBQ_1192
ko:K09773	bpsm:BBQ_1193
ko:K05998	bpsm:BBQ_1194
ko:K03664	bpsm:BBQ_1199
ko:K09801	bpsm:BBQ_1201
ko:K00088	bpsm:BBQ_1206
ko:K01951	bpsm:BBQ_1208
ko:K09983	bpsm:BBQ_1211
ko:K11991	bpsm:BBQ_1213
ko:K01297	bpsm:BBQ_1214
ko:K03457	bpsm:BBQ_1216
ko:K11904	bpsm:BBQ_4066
ko:K15125	bpsm:BBQ_4070
ko:K07045	bpsm:BBQ_4080
ko:K00574	bpsm:BBQ_4082
ko:K13777	bpsm:BBQ_4087
ko:K13779	bpsm:BBQ_4088
ko:K11731	bpsm:BBQ_4089
ko:K13778	bpsm:BBQ_4090
ko:K13774	bpsm:BBQ_4091
ko:K00854	bpsm:BBQ_4095
ko:K09981	bpsm:BBQ_4102
ko:K03717	bpsm:BBQ_4105
ko:K08068	bpsm:BBQ_4107
ko:K00820	bpsm:BBQ_4114
ko:K02078	bpsm:BBQ_868
ko:K09458	bpsm:BBQ_869
ko:K03088	bpsm:BBQ_871
ko:K03597	bpsm:BBQ_872
ko:K03598	bpsm:BBQ_873
ko:K03596	bpsm:BBQ_876
ko:K03100	bpsm:BBQ_877
ko:K03685	bpsm:BBQ_878
ko:K03584	bpsm:BBQ_880
ko:K03474	bpsm:BBQ_881
ko:K00997	bpsm:BBQ_882
ko:K01207	bpsm:BBQ_883
ko:K02356	bpsm:BBQ_885
ko:K03703	bpsm:BBQ_887
ko:K06911	bpsm:BBQ_894
ko:K02348	bpsm:BBQ_895
ko:K07152	bpsm:BBQ_898
ko:K01087	bpsm:BBQ_899
ko:K00697	bpsm:BBQ_900
ko:K06147	bpsm:BBQ_901
ko:K08983	bpsm:BBQ_904
ko:K01999	bpsm:BBQ_906
ko:K01114	bpsm:BBQ_907
ko:K00868	bpsm:BBQ_909
ko:K00720	bpsm:BBQ_912
ko:K10016	bpsm:BBQ_917
ko:K10015	bpsm:BBQ_918
ko:K10017	bpsm:BBQ_919
ko:K00673	bpsm:BBQ_923
ko:K15555	bpsm:BBQ_1722
ko:K15554	bpsm:BBQ_1723
ko:K04091	bpsm:BBQ_1724
ko:K00684	bpsm:BBQ_1731
ko:K00254	bpsm:BBQ_1733
ko:K02424	bpsm:BBQ_1734
ko:K10009	bpsm:BBQ_1735
ko:K01807	bpsm:BBQ_1738
ko:K11066	bpsm:BBQ_1739
ko:K03218	bpsm:BBQ_1740
ko:K12573	bpsm:BBQ_1741
ko:K03406	bpsm:BBQ_1744
ko:K01114	bpsm:BBQ_1745
ko:K08178	bpsm:BBQ_1750
ko:K01897	bpsm:BBQ_1752
ko:K03666	bpsm:BBQ_1755
ko:K12511	bpsm:BBQ_1761
ko:K12510	bpsm:BBQ_1762
ko:K02283	bpsm:BBQ_1763
ko:K02282	bpsm:BBQ_1764
ko:K02280	bpsm:BBQ_1765
ko:K02279	bpsm:BBQ_1766
ko:K02278	bpsm:BBQ_1768
ko:K02651	bpsm:BBQ_1769
ko:K04564	bpsm:BBQ_2568
ko:K03601	bpsm:BBQ_2569
ko:K00912	bpsm:BBQ_2570
ko:K09791	bpsm:BBQ_2571
ko:K00979	bpsm:BBQ_2572
ko:K00939	bpsm:BBQ_2573
ko:K03980	bpsm:BBQ_2576
ko:K02968	bpsm:BBQ_2577
ko:K00075	bpsm:BBQ_2580
ko:K09767	bpsm:BBQ_2581
ko:K08591	bpsm:BBQ_2582
ko:K04763	bpsm:BBQ_2585
ko:K00567	bpsm:BBQ_2586
ko:K06925	bpsm:BBQ_2588
ko:K01448	bpsm:BBQ_2589
ko:K15268	bpsm:BBQ_2590
ko:K06911	bpsm:BBQ_2591
ko:K05838	bpsm:BBQ_2592
ko:K00275	bpsm:BBQ_2594
ko:K00574	bpsm:BBQ_2595
ko:K07304	bpsm:BBQ_2597
ko:K07130	bpsm:BBQ_2600
ko:K01556	bpsm:BBQ_2601
ko:K00453	bpsm:BBQ_2602
ko:K08195	bpsm:BBQ_2603
ko:K00077	bpsm:BBQ_2604
ko:K00141	bpsm:BBQ_2605
ko:K01576	bpsm:BBQ_2606
ko:K03734	bpsm:BBQ_4683
ko:K00380	bpsm:BBQ_4684
ko:K02484	bpsm:BBQ_4688
ko:K08369	bpsm:BBQ_4690
ko:K13747	bpsm:BBQ_4695
ko:K00368	bpsm:BBQ_4696
ko:K04561	bpsm:BBQ_4697
ko:K00253	bpsm:BBQ_4699
ko:K01969	bpsm:BBQ_4700
ko:K13766	bpsm:BBQ_4701
ko:K01968	bpsm:BBQ_4702
ko:K03325	bpsm:BBQ_4715
ko:K07302	bpsm:BBQ_5514
ko:K07303	bpsm:BBQ_5515
ko:K01953	bpsm:BBQ_5517
ko:K02164	bpsm:BBQ_5521
ko:K01194	bpsm:BBQ_5523
ko:K09927	bpsm:BBQ_5525
ko:K01387	bpsm:BBQ_5528
ko:K01281	bpsm:BBQ_5537
ko:K13633	bpsm:BBQ_5545
ko:K07771	bpsm:BBQ_5550
ko:K00799	bpsm:BBQ_5554
ko:K07023	bpsm:BBQ_5560
ko:K03569	bpsm:BBQ_5562
ko:K07001	bpsm:BBQ_5563
ko:K02484	bpsm:BBQ_5564
ko:K01425	bpsm:BBQ_5567
ko:K00299	bpsm:BBQ_4721
ko:K02000	bpsm:BBQ_4722
ko:K02001	bpsm:BBQ_4723
ko:K02002	bpsm:BBQ_4725
ko:K03220	bpsm:BBQ_4741
ko:K03227	bpsm:BBQ_4743
ko:K03226	bpsm:BBQ_4744
ko:K03225	bpsm:BBQ_4745
ko:K18381	bpsm:BBQ_4746
ko:K03230	bpsm:BBQ_4747
ko:K03229	bpsm:BBQ_4748
ko:K03222	bpsm:BBQ_4751
ko:K03223	bpsm:BBQ_4753
ko:K03224	bpsm:BBQ_4754
ko:K03228	bpsm:BBQ_4756
ko:K03219	bpsm:BBQ_4758
ko:K07507	bpsm:BBQ_4770
ko:K01166	bpsm:BBQ_5568
ko:K17228	bpsm:BBQ_5569
ko:K13888	bpsm:BBQ_5570
ko:K05685	bpsm:BBQ_5571
ko:K00140	bpsm:BBQ_5576
ko:K01895	bpsm:BBQ_5577
ko:K07044	bpsm:BBQ_5584
ko:K01841	bpsm:BBQ_5585
ko:K03119	bpsm:BBQ_5587
ko:K07090	bpsm:BBQ_5590
ko:K06901	bpsm:BBQ_5594
ko:K16088	bpsm:BBQ_5602
ko:K06147	bpsm:BBQ_5603
ko:K12243	bpsm:BBQ_5608
ko:K04782	bpsm:BBQ_5611
ko:K01996	bpsm:BBQ_5615
ko:K01995	bpsm:BBQ_5616
ko:K01998	bpsm:BBQ_5617
ko:K01997	bpsm:BBQ_5618
ko:K01999	bpsm:BBQ_5619
ko:K00425	bpsm:BBQ_4772
ko:K00426	bpsm:BBQ_4773
ko:K00799	bpsm:BBQ_4775
ko:K09915	bpsm:BBQ_4776
ko:K01752	bpsm:BBQ_4779
ko:K00303	bpsm:BBQ_4780
ko:K00305	bpsm:BBQ_4783
ko:K01633	bpsm:BBQ_4784
ko:K03704	bpsm:BBQ_4785
ko:K07675	bpsm:BBQ_4793
ko:K08369	bpsm:BBQ_4794
ko:K02167	bpsm:BBQ_4798
ko:K18100	bpsm:BBQ_4799
ko:K18101	bpsm:BBQ_4800
ko:K12990	bpsm:BBQ_4804
ko:K03543	bpsm:BBQ_4806
ko:K01322	bpsm:BBQ_4807
ko:K00640	bpsm:BBQ_4809
ko:K11717	bpsm:BBQ_4812
ko:K07112	bpsm:BBQ_4816
ko:K07112	bpsm:BBQ_4817
ko:K03710	bpsm:BBQ_4826
ko:K00285	bpsm:BBQ_5620
ko:K07107	bpsm:BBQ_5625
ko:K17735	bpsm:BBQ_5626
ko:K02002	bpsm:BBQ_5628
ko:K17736	bpsm:BBQ_5629
ko:K05994	bpsm:BBQ_5631
ko:K08720	bpsm:BBQ_5632
ko:K02002	bpsm:BBQ_5633
ko:K01133	bpsm:BBQ_5634
ko:K01433	bpsm:BBQ_5636
ko:K02002	bpsm:BBQ_5638
ko:K00479	bpsm:BBQ_5640
ko:K03521	bpsm:BBQ_5641
ko:K03522	bpsm:BBQ_5642
ko:K01273	bpsm:BBQ_5646
ko:K00600	bpsm:BBQ_5647
ko:K02529	bpsm:BBQ_5650
ko:K03543	bpsm:BBQ_5654
ko:K12990	bpsm:BBQ_5656
ko:K18101	bpsm:BBQ_5659
ko:K18100	bpsm:BBQ_5660
ko:K11891	bpsm:BBQ_5664
ko:K11892	bpsm:BBQ_5665
ko:K11893	bpsm:BBQ_5666
ko:K11906	bpsm:BBQ_5667
ko:K01870	bpsm:BBQ_4839
ko:K01114	bpsm:BBQ_4842
ko:K02168	bpsm:BBQ_4845
ko:K13051	bpsm:BBQ_4847
ko:K13892	bpsm:BBQ_4848
ko:K13889	bpsm:BBQ_4849
ko:K13890	bpsm:BBQ_4850
ko:K13891	bpsm:BBQ_4851
ko:K01266	bpsm:BBQ_4852
ko:K16203	bpsm:BBQ_4853
ko:K00448	bpsm:BBQ_4854
ko:K00449	bpsm:BBQ_4855
