ko:K14229	hpyc:HPOKI112_00055
ko:K00940	hpyc:HPOKI112_01280
ko:K02911	hpyc:HPOKI112_01290
ko:K03621	hpyc:HPOKI112_01295
ko:K00648	hpyc:HPOKI112_01300
ko:K03593	hpyc:HPOKI112_01330
ko:K04079	hpyc:HPOKI112_01355
ko:K07126	hpyc:HPOKI112_01360
ko:K01439	hpyc:HPOKI112_01365
ko:K03495	hpyc:HPOKI112_01370
ko:K14445	hpyc:HPOKI112_01375
ko:K00981	hpyc:HPOKI112_01380
ko:K00099	hpyc:HPOKI112_01385
ko:K06910	hpyc:HPOKI112_01390
ko:K04487	hpyc:HPOKI112_01400
ko:K13819	hpyc:HPOKI112_01405
ko:K07812	hpyc:HPOKI112_05535
ko:K02503	hpyc:HPOKI112_05550
ko:K01889	hpyc:HPOKI112_05555
ko:K01890	hpyc:HPOKI112_05560
ko:K00800	hpyc:HPOKI112_05565
ko:K03527	hpyc:HPOKI112_05570
ko:K02945	hpyc:HPOKI112_05575
ko:K00058	hpyc:HPOKI112_05585
ko:K03182	hpyc:HPOKI112_05590
ko:K06997	hpyc:HPOKI112_05595
ko:K03269	hpyc:HPOKI112_05600
ko:K03415	hpyc:HPOKI112_05605
ko:K03407	hpyc:HPOKI112_05610
ko:K03408	hpyc:HPOKI112_05615
ko:K11065	hpyc:HPOKI112_05620
ko:K04564	hpyc:HPOKI112_05625
ko:K15256	hpyc:HPOKI112_05630
ko:K04066	hpyc:HPOKI112_05635
ko:K06013	hpyc:HPOKI112_05660
ko:K02493	hpyc:HPOKI112_05665
ko:K00262	hpyc:HPOKI112_05670
ko:K01772	hpyc:HPOKI112_05690
ko:K09761	hpyc:HPOKI112_05700
ko:K01494	hpyc:HPOKI112_05710
ko:K02160	hpyc:HPOKI112_05715
ko:K15895	hpyc:HPOKI112_05740
ko:K00573	hpyc:HPOKI112_05755
ko:K07091	hpyc:HPOKI112_05760
ko:K06173	hpyc:HPOKI112_05765
ko:K01784	hpyc:HPOKI112_05770
ko:K02841	hpyc:HPOKI112_01685
ko:K02517	hpyc:HPOKI112_01690
ko:K00773	hpyc:HPOKI112_01695
ko:K09944	hpyc:HPOKI112_01700
ko:K01735	hpyc:HPOKI112_01705
ko:K01586	hpyc:HPOKI112_01740
ko:K04093	hpyc:HPOKI112_01745
ko:K01163	hpyc:HPOKI112_01750
ko:K03342	hpyc:HPOKI112_01755
ko:K01426	hpyc:HPOKI112_01760
ko:K02397	hpyc:HPOKI112_01765
ko:K02888	hpyc:HPOKI112_01770
ko:K02899	hpyc:HPOKI112_01775
ko:K12368	hpyc:HPOKI112_01780
ko:K12369	hpyc:HPOKI112_01785
ko:K12370	hpyc:HPOKI112_01790
ko:K12371	hpyc:HPOKI112_01795
ko:K12372	hpyc:HPOKI112_01800
ko:K03979	hpyc:HPOKI112_01805
ko:K01845	hpyc:HPOKI112_01820
ko:K07226	hpyc:HPOKI112_01880
ko:K01887	hpyc:HPOKI112_01885
ko:K03116	hpyc:HPOKI112_01890
ko:K00942	hpyc:HPOKI112_01895
ko:K02393	hpyc:HPOKI112_01920
ko:K15896	hpyc:HPOKI112_01935
ko:K00912	hpyc:HPOKI112_01940
ko:K01916	hpyc:HPOKI112_01945
ko:K03609	hpyc:HPOKI112_01960
ko:K03608	hpyc:HPOKI112_01965
ko:K04096	hpyc:HPOKI112_01970
ko:K02884	hpyc:HPOKI112_06075
ko:K00554	hpyc:HPOKI112_06080
ko:K02860	hpyc:HPOKI112_06085
ko:K06960	hpyc:HPOKI112_06090
ko:K02959	hpyc:HPOKI112_06095
ko:K03106	hpyc:HPOKI112_06100
ko:K01873	hpyc:HPOKI112_06105
ko:K02563	hpyc:HPOKI112_06115
ko:K00286	hpyc:HPOKI112_06130
ko:K04095	hpyc:HPOKI112_06135
ko:K07042	hpyc:HPOKI112_06140
ko:K03839	hpyc:HPOKI112_06145
ko:K00384	hpyc:HPOKI112_06160
ko:K01810	hpyc:HPOKI112_06170
ko:K06200	hpyc:HPOKI112_06180
ko:K02029	hpyc:HPOKI112_06185
ko:K02029	hpyc:HPOKI112_06190
ko:K02028	hpyc:HPOKI112_06195
ko:K02030	hpyc:HPOKI112_06200
ko:K02429	hpyc:HPOKI112_06210
ko:K06901	hpyc:HPOKI112_06215
ko:K03784	hpyc:HPOKI112_06230
ko:K01839	hpyc:HPOKI112_06235
ko:K03317	hpyc:HPOKI112_06240
ko:K08159	hpyc:HPOKI112_06270
ko:K01674	hpyc:HPOKI112_06275
ko:K00133	hpyc:HPOKI112_06285
ko:K01892	hpyc:HPOKI112_06290
ko:K02843	hpyc:HPOKI112_06295
ko:K02355	hpyc:HPOKI112_06310
ko:K02992	hpyc:HPOKI112_06315
ko:K03610	hpyc:HPOKI112_02265
ko:K02535	hpyc:HPOKI112_02270
ko:K00872	hpyc:HPOKI112_02280
ko:K02519	hpyc:HPOKI112_02290
ko:K02834	hpyc:HPOKI112_02295
ko:K09748	hpyc:HPOKI112_02300
ko:K01895	hpyc:HPOKI112_02305
ko:K07098	hpyc:HPOKI112_02310
ko:K02400	hpyc:HPOKI112_02325
ko:K02956	hpyc:HPOKI112_02330
ko:K02847	hpyc:HPOKI112_02335
ko:K03786	hpyc:HPOKI112_02340
ko:K01262	hpyc:HPOKI112_02345
ko:K00950	hpyc:HPOKI112_02350
ko:K02404	hpyc:HPOKI112_02355
ko:K04562	hpyc:HPOKI112_02360
ko:K02405	hpyc:HPOKI112_02370
ko:K02416	hpyc:HPOKI112_02375
ko:K02417	hpyc:HPOKI112_02380
ko:K03711	hpyc:HPOKI112_02395
ko:K07478	hpyc:HPOKI112_02400
ko:K13640	hpyc:HPOKI112_02405
ko:K05516	hpyc:HPOKI112_02410
ko:K12506	hpyc:HPOKI112_02435
ko:K16235	hpyc:HPOKI112_02445
ko:K00995	hpyc:HPOKI112_02450
ko:K00076	hpyc:HPOKI112_02460
ko:K01714	hpyc:HPOKI112_02465
ko:K00254	hpyc:HPOKI112_02475
ko:K00937	hpyc:HPOKI112_02480
ko:K01154	hpyc:HPOKI112_02490
ko:K03427	hpyc:HPOKI112_02495
ko:K06287	hpyc:HPOKI112_06585
ko:K01872	hpyc:HPOKI112_06590
ko:K09794	hpyc:HPOKI112_06595
ko:K15847	hpyc:HPOKI112_06605
ko:K02963	hpyc:HPOKI112_06615
ko:K03111	hpyc:HPOKI112_06620
ko:K02990	hpyc:HPOKI112_06625
ko:K02340	hpyc:HPOKI112_06635
ko:K12573	hpyc:HPOKI112_06640
ko:K00014	hpyc:HPOKI112_06645
ko:K13894	hpyc:HPOKI112_06655
ko:K13893	hpyc:HPOKI112_06660
ko:K01867	hpyc:HPOKI112_06665
ko:K02169	hpyc:HPOKI112_06670
ko:K03075	hpyc:HPOKI112_06675
ko:K02838	hpyc:HPOKI112_06680
ko:K00762	hpyc:HPOKI112_06685
ko:K12410	hpyc:HPOKI112_06695
ko:K00330	hpyc:HPOKI112_06700
ko:K00331	hpyc:HPOKI112_06705
ko:K00332	hpyc:HPOKI112_06710
ko:K00333	hpyc:HPOKI112_06715
ko:K00334	hpyc:HPOKI112_06720
ko:K00335	hpyc:HPOKI112_06725
ko:K00336	hpyc:HPOKI112_06730
ko:K00337	hpyc:HPOKI112_06735
ko:K00338	hpyc:HPOKI112_06740
ko:K00339	hpyc:HPOKI112_06745
ko:K00340	hpyc:HPOKI112_06750
ko:K00341	hpyc:HPOKI112_06755
ko:K00342	hpyc:HPOKI112_06760
ko:K00343	hpyc:HPOKI112_06765
ko:K15778	hpyc:HPOKI112_06775
ko:K01695	hpyc:HPOKI112_06785
ko:K01696	hpyc:HPOKI112_06790
ko:K13498	hpyc:HPOKI112_06795
ko:K00766	hpyc:HPOKI112_06800
ko:K01658	hpyc:HPOKI112_06805
ko:K01657	hpyc:HPOKI112_06810
ko:K03707	hpyc:HPOKI112_06830
ko:K00878	hpyc:HPOKI112_02790
ko:K00941	hpyc:HPOKI112_02795
ko:K00788	hpyc:HPOKI112_02800
ko:K13038	hpyc:HPOKI112_02810
ko:K15894	hpyc:HPOKI112_02815
ko:K09860	hpyc:HPOKI112_02830
ko:K03530	hpyc:HPOKI112_02845
ko:K03977	hpyc:HPOKI112_02850
ko:K00797	hpyc:HPOKI112_02860
ko:K00859	hpyc:HPOKI112_02865
ko:K02433	hpyc:HPOKI112_02870
ko:K00088	hpyc:HPOKI112_02875
ko:K02108	hpyc:HPOKI112_02880
ko:K07270	hpyc:HPOKI112_02890
ko:K00384	hpyc:HPOKI112_02900
ko:K03671	hpyc:HPOKI112_02905
ko:K07460	hpyc:HPOKI112_02910
ko:K00003	hpyc:HPOKI112_02915
ko:K03703	hpyc:HPOKI112_02920
ko:K05847	hpyc:HPOKI112_02935
ko:K05845	hpyc:HPOKI112_02940
ko:K05846	hpyc:HPOKI112_02940
ko:K02557	hpyc:HPOKI112_02950
ko:K02556	hpyc:HPOKI112_02955
ko:K02415	hpyc:HPOKI112_02985
ko:K00997	hpyc:HPOKI112_02990
ko:K16091	hpyc:HPOKI112_02995
ko:K07043	hpyc:HPOKI112_03000
ko:K07270	hpyc:HPOKI112_03005
ko:K14652	hpyc:HPOKI112_03010
ko:K01497	hpyc:HPOKI112_03020
ko:K03636	hpyc:HPOKI112_03025
ko:K03635	hpyc:HPOKI112_03030
ko:K03831	hpyc:HPOKI112_03035
ko:K03637	hpyc:HPOKI112_03040
ko:K15846	hpyc:HPOKI112_03045
ko:K03284	hpyc:HPOKI112_07115
ko:K00927	hpyc:HPOKI112_07120
ko:K00134	hpyc:HPOKI112_07125
ko:K03648	hpyc:HPOKI112_07130
ko:K00655	hpyc:HPOKI112_07135
ko:K03797	hpyc:HPOKI112_07145
ko:K00075	hpyc:HPOKI112_07160
ko:K02420	hpyc:HPOKI112_07165
ko:K02412	hpyc:HPOKI112_07170
ko:K03196	hpyc:HPOKI112_07175
ko:K01870	hpyc:HPOKI112_07180
ko:K06941	hpyc:HPOKI112_07205
ko:K06041	hpyc:HPOKI112_07210
ko:K12574	hpyc:HPOKI112_07215
ko:K02528	hpyc:HPOKI112_07220
ko:K01433	hpyc:HPOKI112_07245
ko:K04773	hpyc:HPOKI112_07250
ko:K03768	hpyc:HPOKI112_07290
ko:K03563	hpyc:HPOKI112_07295
ko:K00919	hpyc:HPOKI112_07300
ko:K03664	hpyc:HPOKI112_07305
ko:K03561	hpyc:HPOKI112_07310
ko:K03559	hpyc:HPOKI112_07315
ko:K03536	hpyc:HPOKI112_07320
ko:K03217	hpyc:HPOKI112_07330
ko:K06346	hpyc:HPOKI112_07335
ko:K03650	hpyc:HPOKI112_07340
ko:K00791	hpyc:HPOKI112_00290
ko:K09710	hpyc:HPOKI112_00295
ko:K09457	hpyc:HPOKI112_00300
ko:K07058	hpyc:HPOKI112_00345
ko:K01012	hpyc:HPOKI112_00350
ko:K07316	hpyc:HPOKI112_00360
ko:K01173	hpyc:HPOKI112_00365
ko:K04517	hpyc:HPOKI112_00370
ko:K01338	hpyc:HPOKI112_00375
ko:K05807	hpyc:HPOKI112_00380
ko:K13626	hpyc:HPOKI112_00390
ko:K02372	hpyc:HPOKI112_00395
ko:K00677	hpyc:HPOKI112_00400
ko:K03544	hpyc:HPOKI112_00405
ko:K03569	hpyc:HPOKI112_00410
ko:K03570	hpyc:HPOKI112_00415
ko:K02484	hpyc:HPOKI112_00435
ko:K02238	hpyc:HPOKI112_00450
ko:K03179	hpyc:HPOKI112_00455
ko:K01613	hpyc:HPOKI112_00470
ko:K03517	hpyc:HPOKI112_00475
ko:K00767	hpyc:HPOKI112_00480
ko:K07316	hpyc:HPOKI112_00515
ko:K11928	hpyc:HPOKI112_00530
ko:K13821	hpyc:HPOKI112_00535
ko:K19157	hpyc:HPOKI112_04695
ko:K15847	hpyc:HPOKI112_04715
ko:K04654	hpyc:HPOKI112_04740
ko:K04653	hpyc:HPOKI112_04745
ko:K04652	hpyc:HPOKI112_04750
ko:K02389	hpyc:HPOKI112_04785
ko:K02390	hpyc:HPOKI112_04790
ko:K03657	hpyc:HPOKI112_04805
ko:K15843	hpyc:HPOKI112_04815
ko:K15844	hpyc:HPOKI112_04820
ko:K02014	hpyc:HPOKI112_04830
ko:K01955	hpyc:HPOKI112_04840
ko:K00134	hpyc:HPOKI112_04850
ko:K01821	hpyc:HPOKI112_04865
ko:K07448	hpyc:HPOKI112_02125
ko:K00525	hpyc:HPOKI112_03655
ko:K04771	hpyc:HPOKI112_02440
ko:K07317	hpyc:HPOKI112_04800
ko:K00020	hpyc:HPOKI112_03835
ko:K01992	hpyc:HPOKI112_07530
ko:K07496	hpyc:HPOKI112_02070
ko:K19302	hpyc:HPOKI112_02770
ko:K19416	hpyc:HPOKI112_04845
ko:K02483	hpyc:HPOKI112_02315
ko:K07496	hpyc:HPOKI112_04310
ko:K12053	hpyc:HPOKI112_00110
ko:K12052	hpyc:HPOKI112_00215
ko:K14224	hpyc:HPOKI112_00035
ko:K14224	hpyc:HPOKI112_00050
ko:K14221	hpyc:HPOKI112_00040
ko:K14237	hpyc:HPOKI112_00045
ko:K14237	hpyc:HPOKI112_00630
ko:K20151	hpyc:HPOKI112_03785
ko:K20810	hpyc:HPOKI112_01625
ko:K20151	hpyc:HPOKI112_05675
ko:K14218	hpyc:HPOKI112_05780
ko:K14219	hpyc:HPOKI112_01950
ko:K14227	hpyc:HPOKI112_05775
ko:K14235	hpyc:HPOKI112_06365
ko:K14233	hpyc:HPOKI112_02200
ko:K01985	hpyc:HPOKI112_00335
ko:K01985	hpyc:HPOKI112_05400
ko:K01978	hpyc:HPOKI112_04065
ko:K01977	hpyc:HPOKI112_06060
ko:K01980	hpyc:HPOKI112_00330
ko:K11028	hpyc:HPOKI112_04660
ko:K07100	hpyc:HPOKI112_06445
ko:K02335	hpyc:HPOKI112_07450
ko:K02335	hpyc:HPOKI112_02420
ko:K02316	hpyc:HPOKI112_00085
ko:K12089	hpyc:HPOKI112_04450
ko:K02314	hpyc:HPOKI112_00445
ko:K00558	hpyc:HPOKI112_00505
ko:K03553	hpyc:HPOKI112_01060
ko:K00558	hpyc:HPOKI112_05935
ko:K00558	hpyc:HPOKI112_02045
ko:K06223	hpyc:HPOKI112_02585
ko:K01520	hpyc:HPOKI112_02705
ko:K03465	hpyc:HPOKI112_07780
ko:K12106	hpyc:HPOKI112_04345
ko:K07097	hpyc:HPOKI112_02320
ko:K00526	hpyc:HPOKI112_05750
ko:K02481	hpyc:HPOKI112_03525
ko:K01139	hpyc:HPOKI112_03155
ko:K10026	hpyc:HPOKI112_04910
ko:K21929	hpyc:HPOKI112_03790
ko:K03595	hpyc:HPOKI112_04480
ko:K22278	hpyc:HPOKI112_01840
ko:K14441	hpyc:HPOKI112_03375
ko:K22391	hpyc:HPOKI112_05065
ko:K17758	hpyc:HPOKI112_00440
ko:K17759	hpyc:HPOKI112_00440
ko:K00590	hpyc:HPOKI112_03605
ko:K01007	hpyc:HPOKI112_00890
