ko:K19504	seno:AU37_22215
ko:K02198	seno:AU37_11295
ko:K02197	seno:AU37_11300
ko:K02196	seno:AU37_11305
ko:K02195	seno:AU37_11310
ko:K02194	seno:AU37_11315
ko:K02193	seno:AU37_11320
ko:K02569	seno:AU37_11325
ko:K02568	seno:AU37_11330
ko:K02574	seno:AU37_11335
ko:K02573	seno:AU37_11340
ko:K02567	seno:AU37_11345
ko:K02570	seno:AU37_11350
ko:K02572	seno:AU37_11355
ko:K08276	seno:AU37_11360
ko:K06159	seno:AU37_11365
ko:K03919	seno:AU37_11370
ko:K10778	seno:AU37_11375
ko:K03734	seno:AU37_11380
ko:K09475	seno:AU37_11385
ko:K07676	seno:AU37_11390
ko:K07687	seno:AU37_11395
ko:K07677	seno:AU37_11400
ko:K02469	seno:AU37_11405
ko:K00568	seno:AU37_11425
ko:K11107	seno:AU37_11440
ko:K01126	seno:AU37_11455
ko:K02445	seno:AU37_11460
ko:K00111	seno:AU37_11465
ko:K00112	seno:AU37_11470
ko:K00113	seno:AU37_11475
ko:K18015	seno:AU37_11480
ko:K12660	seno:AU37_11490
ko:K12661	seno:AU37_11500
ko:K12944	seno:AU37_11520
ko:K07806	seno:AU37_11530
ko:K10012	seno:AU37_11535
ko:K10011	seno:AU37_11540
ko:K13014	seno:AU37_11545
ko:K07264	seno:AU37_11550
ko:K12962	seno:AU37_11555
ko:K12963	seno:AU37_11560
ko:K19238	seno:AU37_11565
ko:K01911	seno:AU37_11570
ko:K02549	seno:AU37_11575
ko:K01661	seno:AU37_11580
ko:K08680	seno:AU37_11585
ko:K02551	seno:AU37_11590
ko:K02552	seno:AU37_11595
ko:K05594	seno:AU37_11600
ko:K02348	seno:AU37_11605
ko:K00784	seno:AU37_11610
ko:K03415	seno:AU37_11615
ko:K07114	seno:AU37_11620
ko:K00343	seno:AU37_11630
ko:K00342	seno:AU37_11635
ko:K00341	seno:AU37_11640
ko:K00340	seno:AU37_11645
ko:K00339	seno:AU37_11650
ko:K00338	seno:AU37_11655
ko:K00337	seno:AU37_11660
ko:K00336	seno:AU37_11665
ko:K00335	seno:AU37_11670
ko:K00334	seno:AU37_11675
ko:K13378	seno:AU37_11680
ko:K09906	seno:AU37_11970
ko:K07090	seno:AU37_11975
ko:K07261	seno:AU37_11980
ko:K01736	seno:AU37_11985
ko:K07320	seno:AU37_11990
ko:K08296	seno:AU37_12000
ko:K01782	seno:AU37_12005
ko:K06076	seno:AU37_12020
ko:K04754	seno:AU37_12025
ko:K08477	seno:AU37_12060
ko:K08476	seno:AU37_12065
ko:K08475	seno:AU37_12070
ko:K08478	seno:AU37_12075
ko:K11382	seno:AU37_12080
ko:K12974	seno:AU37_12095
ko:K14261	seno:AU37_12100
ko:K00845	seno:AU37_12105
ko:K03322	seno:AU37_12130
ko:K11535	seno:AU37_12135
ko:K01885	seno:AU37_12160
ko:K11537	seno:AU37_12195
ko:K03815	seno:AU37_12200
ko:K14347	seno:AU37_12215
ko:K09954	seno:AU37_12220
ko:K01972	seno:AU37_12225
ko:K03528	seno:AU37_12230
ko:K06203	seno:AU37_12235
ko:K01738	seno:AU37_12240
ko:K02784	seno:AU37_12250
ko:K04488	seno:AU37_12790
ko:K04487	seno:AU37_12795
ko:K13643	seno:AU37_12800
ko:K15396	seno:AU37_12805
ko:K01092	seno:AU37_12810
ko:K06889	seno:AU37_12815
ko:K16951	seno:AU37_12825
ko:K00385	seno:AU37_12830
ko:K05820	seno:AU37_12850
ko:K00600	seno:AU37_12855
ko:K05916	seno:AU37_12860
ko:K03765	seno:AU37_12865
ko:K03757	seno:AU37_12870
ko:K03305	seno:AU37_12880
ko:K04751	seno:AU37_12885
ko:K07715	seno:AU37_12890
ko:K07711	seno:AU37_12900
ko:K01952	seno:AU37_12905
ko:K18691	seno:AU37_12910
ko:K11991	seno:AU37_12915
ko:K18697	seno:AU37_12920
ko:K02809	seno:AU37_12925
ko:K02810	seno:AU37_12925
ko:K07106	seno:AU37_12930
ko:K00077	seno:AU37_12940
ko:K08177	seno:AU37_12945
ko:K00997	seno:AU37_12960
ko:K03474	seno:AU37_12965
ko:K03584	seno:AU37_12970
ko:K03685	seno:AU37_12980
ko:K03100	seno:AU37_12985
ko:K03596	seno:AU37_12990
ko:K03803	seno:AU37_12995
ko:K03598	seno:AU37_13000
ko:K03597	seno:AU37_13005
ko:K03088	seno:AU37_13010
ko:K00278	seno:AU37_13015
ko:K15460	seno:AU37_13020
ko:K05590	seno:AU37_13025
ko:K11249	seno:AU37_13035
ko:K03648	seno:AU37_13045
ko:K03214	seno:AU37_13050
ko:K03672	seno:AU37_13055
ko:K05812	seno:AU37_13060
ko:K03230	seno:AU37_13910
ko:K07314	seno:AU37_13950
ko:K03555	seno:AU37_13970
ko:K03186	seno:AU37_14030
ko:K03087	seno:AU37_14045
ko:K06194	seno:AU37_14050
ko:K00573	seno:AU37_14055
ko:K03787	seno:AU37_14060
ko:K06176	seno:AU37_14065
ko:K01770	seno:AU37_14070
ko:K00991	seno:AU37_14075
ko:K05589	seno:AU37_14080
ko:K00860	seno:AU37_14090
ko:K00956	seno:AU37_14095
ko:K00957	seno:AU37_14100
ko:K09612	seno:AU37_14105
ko:K09951	seno:AU37_14110
ko:K15342	seno:AU37_14115
ko:K19126	seno:AU37_14120
ko:K19125	seno:AU37_14125
ko:K19124	seno:AU37_14130
ko:K19046	seno:AU37_14135
ko:K19123	seno:AU37_14140
ko:K07012	seno:AU37_14145
ko:K13739	seno:AU37_14150
ko:K00390	seno:AU37_14155
ko:K00381	seno:AU37_14160
ko:K08325	seno:AU37_15295
ko:K06221	seno:AU37_15300
ko:K03319	seno:AU37_15305
ko:K00655	seno:AU37_15345
ko:K02621	seno:AU37_15350
ko:K13652	seno:AU37_15355
ko:K07666	seno:AU37_15365
ko:K07645	seno:AU37_15370
ko:K03923	seno:AU37_15375
ko:K02622	seno:AU37_15385
ko:K07000	seno:AU37_15390
ko:K03651	seno:AU37_15395
ko:K09920	seno:AU37_15400
ko:K01515	seno:AU37_15405
ko:K12340	seno:AU37_15410
ko:K07238	seno:AU37_15430
ko:K03673	seno:AU37_15445
ko:K03611	seno:AU37_15450
ko:K02858	seno:AU37_15460
ko:K09806	seno:AU37_15465
ko:K03272	seno:AU37_15485
ko:K00982	seno:AU37_15490
ko:K18446	seno:AU37_15495
ko:K07184	seno:AU37_15500
ko:K00974	seno:AU37_15505
ko:K06153	seno:AU37_15510
ko:K01633	seno:AU37_15515
ko:K08591	seno:AU37_15520
ko:K01409	seno:AU37_15530
ko:K02970	seno:AU37_15535
ko:K03086	seno:AU37_15545
ko:K03649	seno:AU37_15550
ko:K00855	seno:AU37_16985
ko:K07397	seno:AU37_16990
ko:K10914	seno:AU37_16995
ko:K01664	seno:AU37_17010
ko:K04095	seno:AU37_17015
ko:K03767	seno:AU37_17025
ko:K06141	seno:AU37_17030
ko:K00362	seno:AU37_17035
ko:K00363	seno:AU37_17040
ko:K02598	seno:AU37_17045
ko:K02302	seno:AU37_17050
ko:K12516	seno:AU37_17055
ko:K01867	seno:AU37_17065
ko:K01091	seno:AU37_17070
ko:K01783	seno:AU37_17075
ko:K03112	seno:AU37_17085
ko:K01735	seno:AU37_17090
ko:K00891	seno:AU37_17095
ko:K02507	seno:AU37_17100
ko:K12291	seno:AU37_17105
ko:K12290	seno:AU37_17110
ko:K12289	seno:AU37_17115
ko:K12288	seno:AU37_17120
ko:K05366	seno:AU37_17125
ko:K08312	seno:AU37_17130
ko:K04762	seno:AU37_17145
ko:K04083	seno:AU37_17150
ko:K01610	seno:AU37_17160
ko:K07638	seno:AU37_17165
ko:K07659	seno:AU37_17170
ko:K04760	seno:AU37_17175
ko:K06959	seno:AU37_17180
ko:K04758	seno:AU37_17185
ko:K04759	seno:AU37_17190
ko:K07490	seno:AU37_17195
ko:K02170	seno:AU37_17205
ko:K07400	seno:AU37_17215
ko:K06155	seno:AU37_17220
ko:K00705	seno:AU37_17225
ko:K00688	seno:AU37_17230
ko:K03556	seno:AU37_17235
ko:K07473	seno:AU37_17245
ko:K01974	seno:AU37_17250
ko:K14415	seno:AU37_17255
ko:K14414	seno:AU37_17265
ko:K00820	seno:AU37_18945
ko:K04042	seno:AU37_18950
ko:K06890	seno:AU37_18960
ko:K02114	seno:AU37_18970
ko:K02112	seno:AU37_18975
ko:K02115	seno:AU37_18980
ko:K02111	seno:AU37_18985
ko:K02113	seno:AU37_18990
ko:K02109	seno:AU37_18995
ko:K02110	seno:AU37_19000
ko:K02108	seno:AU37_19005
ko:K02116	seno:AU37_19010
ko:K03501	seno:AU37_19015
ko:K03495	seno:AU37_19020
ko:K06205	seno:AU37_19025
ko:K03718	seno:AU37_19030
ko:K01914	seno:AU37_19035
ko:K03924	seno:AU37_19045
ko:K03549	seno:AU37_19050
ko:K06726	seno:AU37_19055
ko:K10441	seno:AU37_19060
ko:K10440	seno:AU37_19065
ko:K10439	seno:AU37_19070
ko:K00852	seno:AU37_19075
ko:K02529	seno:AU37_19080
ko:K09897	seno:AU37_19120
ko:K07391	seno:AU37_19125
ko:K01652	seno:AU37_19130
ko:K11258	seno:AU37_19135
ko:K00826	seno:AU37_19140
ko:K01687	seno:AU37_19145
ko:K01754	seno:AU37_19150
ko:K02521	seno:AU37_19165
ko:K00053	seno:AU37_19170
ko:K03769	seno:AU37_19175
ko:K03656	seno:AU37_19185
ko:K01524	seno:AU37_19190
ko:K03732	seno:AU37_19195
ko:K03671	seno:AU37_19200
ko:K03628	seno:AU37_19205
ko:K02851	seno:AU37_19210
ko:K00247	seno:AU37_21240
ko:K00246	seno:AU37_21245
ko:K00245	seno:AU37_21250
ko:K00244	seno:AU37_21255
ko:K04568	seno:AU37_21260
ko:K01613	seno:AU37_21280
ko:K06949	seno:AU37_21285
ko:K13288	seno:AU37_21290
ko:K09996	seno:AU37_21295
ko:K18979	seno:AU37_21315
ko:K17758	seno:AU37_21320
ko:K17759	seno:AU37_21320
ko:K06925	seno:AU37_21325
ko:K01448	seno:AU37_21330
ko:K03572	seno:AU37_21335
ko:K00791	seno:AU37_21340
ko:K03666	seno:AU37_21345
ko:K03665	seno:AU37_21350
ko:K04088	seno:AU37_21355
ko:K04087	seno:AU37_21360
ko:K09937	seno:AU37_21365
ko:K01939	seno:AU37_21370
ko:K13771	seno:AU37_21375
ko:K12573	seno:AU37_21380
ko:K03218	seno:AU37_21385
ko:K09980	seno:AU37_21390
ko:K10716	seno:AU37_21400
ko:K08989	seno:AU37_21410
ko:K09456	seno:AU37_21425
ko:K06889	seno:AU37_21440
ko:K03477	seno:AU37_21445
ko:K03476	seno:AU37_21450
ko:K03475	seno:AU37_21455
ko:K02822	seno:AU37_21460
ko:K02821	seno:AU37_21465
ko:K03078	seno:AU37_21470
ko:K03079	seno:AU37_21475
ko:K03077	seno:AU37_21480
ko:K02990	seno:AU37_21490
ko:K09802	seno:AU37_10390
ko:K07470	seno:AU37_10400
ko:K07258	seno:AU37_10405
ko:K08354	seno:AU37_10410
ko:K08353	seno:AU37_10415
ko:K08352	seno:AU37_10420
ko:K01141	seno:AU37_10435
ko:K00765	seno:AU37_10455
ko:K00013	seno:AU37_10460
ko:K00817	seno:AU37_10465
ko:K01089	seno:AU37_10470
ko:K02501	seno:AU37_10475
ko:K01814	seno:AU37_10480
ko:K02500	seno:AU37_10485
ko:K11755	seno:AU37_10490
ko:K05789	seno:AU37_10495
ko:K00012	seno:AU37_10500
ko:K00033	seno:AU37_10505
ko:K01840	seno:AU37_10515
ko:K00971	seno:AU37_10520
ko:K12992	seno:AU37_10525
ko:K13005	seno:AU37_10535
ko:K12454	seno:AU37_10545
ko:K12452	seno:AU37_10555
ko:K01709	seno:AU37_10560
ko:K02686	seno:AU37_21495
ko:K02963	seno:AU37_21500
ko:K02939	seno:AU37_21505
ko:K07269	seno:AU37_21515
ko:K03773	seno:AU37_21520
ko:K07340	seno:AU37_02450
ko:K02068	seno:AU37_02460
ko:K02069	seno:AU37_02465
ko:K05838	seno:AU37_02470
ko:K10804	seno:AU37_02480
ko:K02003	seno:AU37_02485
ko:K02004	seno:AU37_02490
ko:K02073	seno:AU37_02505
ko:K02071	seno:AU37_02510
ko:K02072	seno:AU37_02515
ko:K06917	seno:AU37_02520
ko:K10972	seno:AU37_02525
ko:K01483	seno:AU37_02530
ko:K10973	seno:AU37_02535
ko:K01608	seno:AU37_02540
ko:K10975	seno:AU37_02560
ko:K01466	seno:AU37_02565
ko:K00865	seno:AU37_02575
ko:K14977	seno:AU37_02580
ko:K02083	seno:AU37_02585
ko:K00073	seno:AU37_02590
ko:K02381	seno:AU37_02595
ko:K00926	seno:AU37_02610
ko:K01589	seno:AU37_02615
ko:K01588	seno:AU37_02620
ko:K03269	seno:AU37_02625
ko:K03768	seno:AU37_02630
ko:K01883	seno:AU37_02635
ko:K07038	seno:AU37_02650
ko:K14761	seno:AU37_02655
ko:K01491	seno:AU37_02660
ko:K07345	seno:AU37_02665
ko:K07351	seno:AU37_02670
ko:K07346	seno:AU37_02675
ko:K07347	seno:AU37_02680
ko:K07350	seno:AU37_02685
ko:K07348	seno:AU37_02690
ko:K07688	seno:AU37_02695
ko:K08088	seno:AU37_02700
ko:K08087	seno:AU37_02705
ko:K14058	seno:AU37_07095
ko:K18919	seno:AU37_07160
ko:K03297	seno:AU37_07215
ko:K14061	seno:AU37_07220
ko:K03737	seno:AU37_07230
ko:K03668	seno:AU37_07240
ko:K03778	seno:AU37_07245
ko:K09978	seno:AU37_07260
ko:K01118	seno:AU37_07270
ko:K03578	seno:AU37_07275
ko:K12262	seno:AU37_07285
ko:K02029	seno:AU37_07315
ko:K02028	seno:AU37_07320
ko:K02029	seno:AU37_07325
ko:K02030	seno:AU37_07330
ko:K15349	seno:AU37_07340
ko:K00121	seno:AU37_07360
ko:K05876	seno:AU37_07365
ko:K03929	seno:AU37_07380
ko:K00098	seno:AU37_07400
ko:K00046	seno:AU37_07410
ko:K01923	seno:AU37_12520
ko:K07287	seno:AU37_12525
ko:K01714	seno:AU37_12530
ko:K03567	seno:AU37_12535
ko:K03564	seno:AU37_12540
ko:K00865	seno:AU37_12545
ko:K03299	seno:AU37_12550
ko:K02647	seno:AU37_12555
ko:K03548	seno:AU37_12560
ko:K00537	seno:AU37_12570
ko:K10763	seno:AU37_12575
ko:K02824	seno:AU37_12580
ko:K00761	seno:AU37_12585
ko:K01933	seno:AU37_12590
ko:K11175	seno:AU37_12595
ko:K00937	seno:AU37_12600
ko:K01524	seno:AU37_12605
ko:K01951	seno:AU37_12630
ko:K00088	seno:AU37_12635
ko:K03601	seno:AU37_12640
ko:K03977	seno:AU37_12675
ko:K17713	seno:AU37_12680
ko:K01892	seno:AU37_12690
ko:K03526	seno:AU37_12695
ko:K15539	seno:AU37_12700
ko:K06941	seno:AU37_12705
ko:K00940	seno:AU37_12710
ko:K07308	seno:AU37_12720
ko:K07307	seno:AU37_12725
ko:K07306	seno:AU37_12730
ko:K05367	seno:AU37_12735
ko:K06894	seno:AU37_12740
ko:K01011	seno:AU37_12745
ko:K07751	seno:AU37_12760
ko:K04755	seno:AU37_12770
ko:K04044	seno:AU37_12775
ko:K04082	seno:AU37_12780
ko:K13628	seno:AU37_12785
ko:K07774	seno:AU37_13350
ko:K07795	seno:AU37_13355
ko:K07794	seno:AU37_13360
ko:K07793	seno:AU37_13365
ko:K15737	seno:AU37_13370
ko:K15736	seno:AU37_13375
ko:K00135	seno:AU37_13380
ko:K07250	seno:AU37_13385
ko:K11735	seno:AU37_13390
ko:K15735	seno:AU37_13395
ko:K11685	seno:AU37_13425
ko:K00375	seno:AU37_13445
ko:K03647	seno:AU37_13460
ko:K02000	seno:AU37_13475
ko:K02001	seno:AU37_13480
ko:K02002	seno:AU37_13485
ko:K15974	seno:AU37_13495
ko:K03543	seno:AU37_13500
ko:K03446	seno:AU37_13505
ko:K07173	seno:AU37_13515
ko:K01919	seno:AU37_13520
ko:K03563	seno:AU37_13560
ko:K01872	seno:AU37_13565
ko:K03565	seno:AU37_13570
ko:K03743	seno:AU37_13580
ko:K08305	seno:AU37_13585
ko:K02783	seno:AU37_13590
ko:K02782	seno:AU37_13595
ko:K02783	seno:AU37_13595
ko:K02781	seno:AU37_13600
ko:K00068	seno:AU37_13605
ko:K02466	seno:AU37_13610
ko:K02468	seno:AU37_13615
ko:K02467	seno:AU37_13620
ko:K12266	seno:AU37_13625
ko:K12264	seno:AU37_13630
ko:K02680	seno:AU37_14445
ko:K02679	seno:AU37_14450
ko:K13292	seno:AU37_14465
ko:K08484	seno:AU37_14470
ko:K08311	seno:AU37_14475
ko:K03573	seno:AU37_14480
ko:K08227	seno:AU37_14500
ko:K05939	seno:AU37_14505
ko:K02529	seno:AU37_14510
ko:K01586	seno:AU37_14520
ko:K02100	seno:AU37_14535
ko:K00065	seno:AU37_14540
ko:K01815	seno:AU37_14545
ko:K00626	seno:AU37_14550
ko:K18828	seno:AU37_14620
ko:K18829	seno:AU37_14625
ko:K12943	seno:AU37_14650
ko:K01823	seno:AU37_14655
ko:K04567	seno:AU37_14660
ko:K02836	seno:AU37_14665
ko:K07462	seno:AU37_14670
ko:K03981	seno:AU37_14675
ko:K04763	seno:AU37_14680
ko:K03840	seno:AU37_14685
ko:K19168	seno:AU37_14690
ko:K09159	seno:AU37_14695
ko:K06980	seno:AU37_14705
ko:K11068	seno:AU37_14710
ko:K09900	seno:AU37_14715
ko:K01223	seno:AU37_14720
ko:K01752	seno:AU37_15890
ko:K00656	seno:AU37_15895
ko:K00932	seno:AU37_15900
ko:K03838	seno:AU37_15905
ko:K01754	seno:AU37_15910
ko:K07592	seno:AU37_15915
ko:K00865	seno:AU37_15920
ko:K01630	seno:AU37_15930
ko:K01708	seno:AU37_15935
ko:K08302	seno:AU37_15940
ko:K16371	seno:AU37_15945
ko:K02773	seno:AU37_15950
ko:K02774	seno:AU37_15955
ko:K02775	seno:AU37_15960
ko:K00094	seno:AU37_15965
ko:K02436	seno:AU37_15970
ko:K07056	seno:AU37_15975
ko:K07121	seno:AU37_15980
ko:K07460	seno:AU37_15985
ko:K12961	seno:AU37_15990
ko:K05520	seno:AU37_16005
ko:K09979	seno:AU37_16010
ko:K07461	seno:AU37_16015
ko:K03824	seno:AU37_16020
ko:K08303	seno:AU37_16030
ko:K03835	seno:AU37_16055
ko:K05592	seno:AU37_16060
ko:K05803	seno:AU37_16065
ko:K00962	seno:AU37_16070
ko:K02956	seno:AU37_16075
ko:K03177	seno:AU37_16080
ko:K02834	seno:AU37_16085
ko:K02519	seno:AU37_16090
ko:K05365	seno:AU37_00970
ko:K02014	seno:AU37_00975
ko:K02013	seno:AU37_00980
ko:K02016	seno:AU37_00985
ko:K02015	seno:AU37_00990
ko:K01845	seno:AU37_01030
ko:K03281	seno:AU37_01035
ko:K15724	seno:AU37_01040
ko:K06858	seno:AU37_01050
ko:K01243	seno:AU37_01055
ko:K01129	seno:AU37_01060
ko:K02647	seno:AU37_01070
ko:K00674	seno:AU37_01090
ko:K00990	seno:AU37_01095
ko:K01265	seno:AU37_01100
ko:K02967	seno:AU37_01105
ko:K02357	seno:AU37_01110
ko:K09903	seno:AU37_01115
ko:K02838	seno:AU37_01120
ko:K00099	seno:AU37_01125
ko:K00806	seno:AU37_01130
ko:K00981	seno:AU37_01135
ko:K11749	seno:AU37_01140
ko:K07277	seno:AU37_01145
ko:K06142	seno:AU37_01150
ko:K02536	seno:AU37_01155
ko:K02372	seno:AU37_01160
ko:K00677	seno:AU37_01165
ko:K00748	seno:AU37_01170
ko:K03470	seno:AU37_01175
ko:K02337	seno:AU37_01180
ko:K01962	seno:AU37_01185
ko:K08234	seno:AU37_01200
ko:K04075	seno:AU37_01205
ko:K19000	seno:AU37_01210
ko:K15034	seno:AU37_01225
ko:K06079	seno:AU37_01230
ko:K01881	seno:AU37_01235
ko:K06080	seno:AU37_01245
ko:K03414	seno:AU37_05625
ko:K02401	seno:AU37_05630
ko:K02400	seno:AU37_05635
ko:K03516	seno:AU37_05640
ko:K15532	seno:AU37_05645
ko:K05515	seno:AU37_05650
ko:K01887	seno:AU37_05655
ko:K09907	seno:AU37_05660
ko:K06201	seno:AU37_05665
ko:K15257	seno:AU37_05670
ko:K15256	seno:AU37_05675
ko:K07136	seno:AU37_05680
ko:K01876	seno:AU37_05695
ko:K08310	seno:AU37_05700
ko:K01159	seno:AU37_05710
ko:K03550	seno:AU37_05725
ko:K03551	seno:AU37_05730
ko:K09816	seno:AU37_05735
ko:K09817	seno:AU37_05740
ko:K09815	seno:AU37_05745
ko:K02560	seno:AU37_05755
ko:K00873	seno:AU37_05760
ko:K00036	seno:AU37_05770
ko:K01690	seno:AU37_05775
ko:K01625	seno:AU37_05780
ko:K02600	seno:AU37_16095
ko:K09748	seno:AU37_16100
ko:K01940	seno:AU37_16110
ko:K03075	seno:AU37_16125
ko:K03431	seno:AU37_16130
ko:K00796	seno:AU37_16135
ko:K03798	seno:AU37_16140
ko:K02427	seno:AU37_16145
ko:K07574	seno:AU37_16150
ko:K03406	seno:AU37_17540
ko:K04085	seno:AU37_17545
ko:K09125	seno:AU37_17550
ko:K06133	seno:AU37_17570
ko:K07722	seno:AU37_17575
ko:K13926	seno:AU37_17585
ko:K01993	seno:AU37_17590
ko:K07007	seno:AU37_17595
ko:K16322	seno:AU37_17600
ko:K06144	seno:AU37_17605
ko:K06149	seno:AU37_17610
ko:K03305	seno:AU37_17615
ko:K15984	seno:AU37_17620
ko:K01414	seno:AU37_17625
ko:K07115	seno:AU37_17635
ko:K00383	seno:AU37_17640
ko:K01424	seno:AU37_17645
ko:K07792	seno:AU37_17650
ko:K03710	seno:AU37_17665
ko:K01194	seno:AU37_17670
ko:K07058	seno:AU37_17695
ko:K07290	seno:AU37_17705
ko:K00874	seno:AU37_17715
ko:K11103	seno:AU37_17725
ko:K00694	seno:AU37_17750
ko:K12372	seno:AU37_17795
ko:K12371	seno:AU37_17800
ko:K12370	seno:AU37_17805
ko:K12369	seno:AU37_17810
ko:K12368	seno:AU37_17815
ko:K03182	seno:AU37_19500
ko:K05368	seno:AU37_19505
ko:K01825	seno:AU37_19520
ko:K03498	seno:AU37_19535
ko:K00230	seno:AU37_19540
ko:K03753	seno:AU37_19570
ko:K03752	seno:AU37_19575
ko:K09896	seno:AU37_19580
ko:K03673	seno:AU37_19590
ko:K03978	seno:AU37_19605
ko:K09894	seno:AU37_19615
ko:K07712	seno:AU37_19625
ko:K07708	seno:AU37_19630
ko:K01915	seno:AU37_19635
ko:K06207	seno:AU37_19640
ko:K03292	seno:AU37_19685
ko:K15922	seno:AU37_19690
ko:K18479	seno:AU37_19700
ko:K01671	seno:AU37_19705
ko:K08318	seno:AU37_19710
ko:K18478	seno:AU37_19715
ko:K07058	seno:AU37_19730
ko:K07560	seno:AU37_19735
ko:K18831	seno:AU37_19745
ko:K19166	seno:AU37_19750
ko:K02380	seno:AU37_19770
ko:K00127	seno:AU37_19775
ko:K00124	seno:AU37_19780
ko:K06169	seno:AU37_21800
ko:K03828	seno:AU37_21815
ko:K01873	seno:AU37_21825
ko:K02339	seno:AU37_21830
ko:K01255	seno:AU37_21835
ko:K07091	seno:AU37_21840
ko:K11720	seno:AU37_21845
ko:K06146	seno:AU37_21850
ko:K06157	seno:AU37_21855
ko:K00046	seno:AU37_21860
ko:K00098	seno:AU37_21865
ko:K00851	seno:AU37_21870
ko:K12957	seno:AU37_21875
ko:K19164	seno:AU37_21895
ko:K19163	seno:AU37_21900
ko:K09982	seno:AU37_22000
ko:K13637	seno:AU37_22030
ko:K01867	seno:AU37_22035
ko:K06887	seno:AU37_22040
ko:K01779	seno:AU37_22045
ko:K01305	seno:AU37_22055
ko:K00135	seno:AU37_22090
ko:K01153	seno:AU37_22105
ko:K02073	seno:AU37_01250
ko:K02072	seno:AU37_01255
ko:K02071	seno:AU37_01260
ko:K03273	seno:AU37_01265
ko:K06222	seno:AU37_01300
ko:K08307	seno:AU37_01325
ko:K01069	seno:AU37_01330
ko:K03469	seno:AU37_01340
ko:K02342	seno:AU37_01345
ko:K11902	seno:AU37_01355
ko:K11895	seno:AU37_01360
ko:K11904	seno:AU37_01375
ko:K19048	seno:AU37_01390
ko:K19048	seno:AU37_01415
ko:K07347	seno:AU37_01440
ko:K06445	seno:AU37_01480
ko:K03271	seno:AU37_01485
ko:K02346	seno:AU37_01500
ko:K02839	seno:AU37_01510
ko:K01270	seno:AU37_01515
ko:K00769	seno:AU37_01520
ko:K11750	seno:AU37_01525
ko:K11926	seno:AU37_01530
ko:K11929	seno:AU37_01535
ko:K00931	seno:AU37_01540
ko:K00147	seno:AU37_01545
ko:K04565	seno:AU37_05920
ko:K13741	seno:AU37_05940
ko:K07790	seno:AU37_06030
ko:K13741	seno:AU37_06075
ko:K11392	seno:AU37_06105
ko:K03808	seno:AU37_06115
ko:K03607	seno:AU37_06125
ko:K03797	seno:AU37_06130
ko:K03799	seno:AU37_06135
ko:K08169	seno:AU37_06140
ko:K03704	seno:AU37_06170
ko:K03587	seno:AU37_06175
ko:K00563	seno:AU37_06180
ko:K02795	seno:AU37_06200
ko:K02793	seno:AU37_06205
ko:K02794	seno:AU37_06205
ko:K01752	seno:AU37_06220
ko:K00978	seno:AU37_10565
ko:K00523	seno:AU37_10570
ko:K01790	seno:AU37_10575
ko:K00973	seno:AU37_10580
ko:K00067	seno:AU37_10585
ko:K01710	seno:AU37_10590
ko:K00963	seno:AU37_10595
ko:K16703	seno:AU37_10605
ko:K16710	seno:AU37_10610
ko:K16695	seno:AU37_10615
ko:K03606	seno:AU37_10620
ko:K01840	seno:AU37_10625
ko:K00971	seno:AU37_10630
ko:K03208	seno:AU37_10635
ko:K03207	seno:AU37_10640
ko:K02377	seno:AU37_10645
ko:K01711	seno:AU37_10650
ko:K03818	seno:AU37_10655
ko:K13683	seno:AU37_10660
ko:K13620	seno:AU37_10665
ko:K13684	seno:AU37_10670
ko:K03819	seno:AU37_10675
ko:K16692	seno:AU37_10685
ko:K01104	seno:AU37_10690
ko:K01991	seno:AU37_10695
ko:K07289	seno:AU37_10705
ko:K01494	seno:AU37_10710
ko:K00876	seno:AU37_10715
ko:K01247	seno:AU37_10725
ko:K04046	seno:AU37_10730
ko:K07799	seno:AU37_10735
ko:K07788	seno:AU37_10740
ko:K07789	seno:AU37_10745
ko:K18326	seno:AU37_10750
ko:K07642	seno:AU37_10755
ko:K07664	seno:AU37_10760
ko:K08303	seno:AU37_10780
ko:K00941	seno:AU37_10820
ko:K00878	seno:AU37_10825
ko:K01910	seno:AU37_03030
ko:K07700	seno:AU37_03035
ko:K07702	seno:AU37_03040
ko:K03326	seno:AU37_03045
ko:K12973	seno:AU37_03050
ko:K03704	seno:AU37_03055
ko:K06199	seno:AU37_03060
ko:K03425	seno:AU37_03070
ko:K03644	seno:AU37_03075
ko:K03801	seno:AU37_03085
ko:K09158	seno:AU37_03090
ko:K07258	seno:AU37_03095
ko:K03642	seno:AU37_03100
ko:K05837	seno:AU37_03105
ko:K05515	seno:AU37_03110
ko:K00783	seno:AU37_03115
ko:K09710	seno:AU37_03120
ko:K02226	seno:AU37_03130
ko:K04720	seno:AU37_03135
ko:K00969	seno:AU37_03140
ko:K02340	seno:AU37_03145
ko:K03643	seno:AU37_03150
ko:K01869	seno:AU37_03155
ko:K16849	seno:AU37_03160
ko:K16850	seno:AU37_03165
ko:K07126	seno:AU37_03185
ko:K04045	seno:AU37_03210
ko:K01250	seno:AU37_03220
ko:K10004	seno:AU37_03225
ko:K10002	seno:AU37_03230
ko:K10003	seno:AU37_03235
ko:K10001	seno:AU37_03240
ko:K03820	seno:AU37_03245
ko:K06189	seno:AU37_03250
ko:K07042	seno:AU37_03255
ko:K06168	seno:AU37_03265
ko:K03184	seno:AU37_03270
