ko:K18138	seec:CFSAN002050_08980
ko:K02437	seec:CFSAN002050_21625
ko:K00605	seec:CFSAN002050_21630
ko:K03185	seec:CFSAN002050_21640
ko:K09895	seec:CFSAN002050_21650
ko:K09888	seec:CFSAN002050_21655
ko:K01807	seec:CFSAN002050_21670
ko:K05596	seec:CFSAN002050_21675
ko:K09807	seec:CFSAN002050_21680
ko:K06895	seec:CFSAN002050_21685
ko:K01624	seec:CFSAN002050_21695
ko:K00927	seec:CFSAN002050_21700
ko:K03216	seec:CFSAN002050_25445
ko:K06145	seec:CFSAN002050_25450
ko:K00640	seec:CFSAN002050_25465
ko:K00057	seec:CFSAN002050_25470
ko:K03071	seec:CFSAN002050_25475
ko:K15633	seec:CFSAN002050_25490
ko:K09798	seec:CFSAN002050_25500
ko:K00060	seec:CFSAN002050_25510
ko:K03274	seec:CFSAN002050_25520
ko:K02841	seec:CFSAN002050_25530
ko:K02847	seec:CFSAN002050_25535
ko:K02850	seec:CFSAN002050_25550
ko:K01744	seec:CFSAN002050_05040
ko:K07113	seec:CFSAN002050_05045
ko:K16263	seec:CFSAN002050_05050
ko:K04078	seec:CFSAN002050_05055
ko:K04077	seec:CFSAN002050_05060
ko:K02356	seec:CFSAN002050_05080
ko:K16347	seec:CFSAN002050_05085
ko:K16348	seec:CFSAN002050_05090
ko:K03098	seec:CFSAN002050_05105
ko:K00246	seec:CFSAN002050_05115
ko:K04568	seec:CFSAN002050_05130
ko:K01613	seec:CFSAN002050_05150
ko:K06949	seec:CFSAN002050_05155
ko:K13288	seec:CFSAN002050_05160
ko:K09996	seec:CFSAN002050_05165
ko:K06925	seec:CFSAN002050_05195
ko:K01448	seec:CFSAN002050_05200
ko:K03572	seec:CFSAN002050_05205
ko:K00791	seec:CFSAN002050_05210
ko:K09790	seec:CFSAN002050_09015
ko:K00759	seec:CFSAN002050_09020
ko:K02343	seec:CFSAN002050_09025
ko:K09747	seec:CFSAN002050_09030
ko:K06187	seec:CFSAN002050_09035
ko:K04079	seec:CFSAN002050_09040
ko:K01772	seec:CFSAN002050_09050
ko:K00892	seec:CFSAN002050_09060
ko:K08223	seec:CFSAN002050_09075
ko:K09973	seec:CFSAN002050_09090
ko:K07340	seec:CFSAN002050_09110
ko:K02068	seec:CFSAN002050_09120
ko:K02069	seec:CFSAN002050_09125
ko:K05838	seec:CFSAN002050_09130
ko:K10804	seec:CFSAN002050_09140
ko:K02003	seec:CFSAN002050_09145
ko:K02073	seec:CFSAN002050_09165
ko:K02071	seec:CFSAN002050_09170
ko:K02072	seec:CFSAN002050_09175
ko:K06917	seec:CFSAN002050_09180
ko:K10972	seec:CFSAN002050_09185
ko:K01483	seec:CFSAN002050_09190
ko:K10973	seec:CFSAN002050_09195
ko:K01608	seec:CFSAN002050_09200
ko:K10975	seec:CFSAN002050_09220
ko:K00865	seec:CFSAN002050_09235
ko:K14977	seec:CFSAN002050_09240
ko:K02083	seec:CFSAN002050_09245
ko:K01173	seec:CFSAN002050_13050
ko:K01868	seec:CFSAN002050_13055
ko:K02520	seec:CFSAN002050_13060
ko:K02916	seec:CFSAN002050_13065
ko:K02887	seec:CFSAN002050_13070
ko:K01889	seec:CFSAN002050_13075
ko:K01890	seec:CFSAN002050_13080
ko:K04764	seec:CFSAN002050_13085
ko:K06073	seec:CFSAN002050_13090
ko:K00432	seec:CFSAN002050_13095
ko:K06074	seec:CFSAN002050_13100
ko:K01626	seec:CFSAN002050_13125
ko:K09773	seec:CFSAN002050_13130
ko:K12507	seec:CFSAN002050_13140
ko:K00313	seec:CFSAN002050_13150
ko:K03785	seec:CFSAN002050_13180
ko:K05887	seec:CFSAN002050_13185
ko:K06956	seec:CFSAN002050_13225
ko:K05997	seec:CFSAN002050_13230
ko:K09014	seec:CFSAN002050_13235
ko:K09013	seec:CFSAN002050_13240
ko:K09015	seec:CFSAN002050_13245
ko:K11717	seec:CFSAN002050_13250
ko:K02426	seec:CFSAN002050_13255
ko:K02231	seec:CFSAN002050_17050
ko:K02232	seec:CFSAN002050_17055
ko:K02006	seec:CFSAN002050_17060
ko:K02008	seec:CFSAN002050_17065
ko:K02007	seec:CFSAN002050_17075
ko:K03394	seec:CFSAN002050_17080
ko:K05895	seec:CFSAN002050_17090
ko:K02189	seec:CFSAN002050_17100
ko:K05936	seec:CFSAN002050_17105
ko:K02191	seec:CFSAN002050_17110
ko:K02188	seec:CFSAN002050_17120
ko:K06042	seec:CFSAN002050_17125
ko:K02227	seec:CFSAN002050_17130
ko:K02224	seec:CFSAN002050_17135
ko:K13919	seec:CFSAN002050_17165
ko:K13920	seec:CFSAN002050_17170
ko:K13922	seec:CFSAN002050_17215
ko:K04031	seec:CFSAN002050_17235
ko:K04029	seec:CFSAN002050_17240
ko:K16651	seec:CFSAN002050_17250
ko:K09802	seec:CFSAN002050_17255
ko:K07470	seec:CFSAN002050_17265
ko:K08354	seec:CFSAN002050_17275
ko:K05589	seec:CFSAN002050_20970
ko:K00860	seec:CFSAN002050_20980
ko:K00957	seec:CFSAN002050_20990
ko:K09612	seec:CFSAN002050_20995
ko:K15342	seec:CFSAN002050_21005
ko:K00390	seec:CFSAN002050_21055
ko:K00381	seec:CFSAN002050_21060
ko:K01737	seec:CFSAN002050_21070
ko:K10026	seec:CFSAN002050_21080
ko:K01689	seec:CFSAN002050_21085
ko:K01937	seec:CFSAN002050_21090
ko:K03215	seec:CFSAN002050_21145
ko:K07678	seec:CFSAN002050_21150
ko:K00865	seec:CFSAN002050_21155
ko:K01706	seec:CFSAN002050_21160
ko:K13918	seec:CFSAN002050_21165
ko:K06175	seec:CFSAN002050_21180
ko:K15723	seec:CFSAN002050_21190
ko:K06879	seec:CFSAN002050_21195
ko:K06966	seec:CFSAN002050_21200
ko:K03837	seec:CFSAN002050_21205
ko:K01752	seec:CFSAN002050_21210
ko:K07115	seec:CFSAN002050_24935
ko:K03710	seec:CFSAN002050_24965
ko:K01194	seec:CFSAN002050_24970
ko:K07058	seec:CFSAN002050_25000
ko:K07290	seec:CFSAN002050_25010
ko:K00874	seec:CFSAN002050_25020
ko:K11103	seec:CFSAN002050_25030
ko:K00694	seec:CFSAN002050_25055
ko:K12370	seec:CFSAN002050_25105
ko:K12369	seec:CFSAN002050_25110
ko:K12368	seec:CFSAN002050_25115
ko:K12975	seec:CFSAN002050_25145
ko:K07347	seec:CFSAN002050_25160
ko:K01246	seec:CFSAN002050_25180
ko:K03826	seec:CFSAN002050_25185
ko:K02840	seec:CFSAN002050_25565
ko:K02848	seec:CFSAN002050_25575
ko:K02844	seec:CFSAN002050_25580
ko:K02527	seec:CFSAN002050_25590
ko:K19697	seec:CFSAN002050_17245
ko:K02854	seec:CFSAN002050_03125
ko:K02856	seec:CFSAN002050_03130
ko:K04564	seec:CFSAN002050_03160
ko:K06006	seec:CFSAN002050_03190
ko:K00850	seec:CFSAN002050_03200
ko:K02048	seec:CFSAN002050_03205
ko:K01521	seec:CFSAN002050_03210
ko:K00847	seec:CFSAN002050_03220
ko:K01803	seec:CFSAN002050_03240
ko:K00528	seec:CFSAN002050_03255
ko:K00864	seec:CFSAN002050_03265
ko:K02440	seec:CFSAN002050_03270
ko:K09892	seec:CFSAN002050_03280
ko:K02553	seec:CFSAN002050_03285
ko:K02548	seec:CFSAN002050_03290
ko:K03667	seec:CFSAN002050_03295
ko:K01419	seec:CFSAN002050_03300
ko:K03591	seec:CFSAN002050_03305
ko:K04066	seec:CFSAN002050_03315
ko:K02909	seec:CFSAN002050_03320
ko:K03764	seec:CFSAN002050_03335
ko:K12525	seec:CFSAN002050_03345
ko:K00297	seec:CFSAN002050_03370
ko:K03782	seec:CFSAN002050_03375
ko:K01682	seec:CFSAN002050_07250
ko:K09910	seec:CFSAN002050_07295
ko:K02526	seec:CFSAN002050_07300
ko:K01611	seec:CFSAN002050_07320
ko:K00797	seec:CFSAN002050_07325
ko:K14588	seec:CFSAN002050_07335
ko:K00117	seec:CFSAN002050_07340
ko:K00760	seec:CFSAN002050_07345
ko:K01673	seec:CFSAN002050_07350
ko:K07347	seec:CFSAN002050_07370
ko:K07347	seec:CFSAN002050_07415
ko:K15540	seec:CFSAN002050_07420
ko:K01579	seec:CFSAN002050_07430
ko:K01918	seec:CFSAN002050_07435
ko:K00606	seec:CFSAN002050_07440
ko:K00950	seec:CFSAN002050_07445
ko:K01894	seec:CFSAN002050_07455
ko:K06204	seec:CFSAN002050_07460
ko:K06206	seec:CFSAN002050_07465
ko:K03579	seec:CFSAN002050_07475
ko:K05365	seec:CFSAN002050_07485
ko:K00800	seec:CFSAN002050_11235
ko:K07387	seec:CFSAN002050_11240
ko:K00945	seec:CFSAN002050_11245
ko:K02945	seec:CFSAN002050_11250
ko:K05788	seec:CFSAN002050_11255
ko:K00912	seec:CFSAN002050_11270
ko:K09927	seec:CFSAN002050_11275
ko:K09791	seec:CFSAN002050_11280
ko:K00979	seec:CFSAN002050_11285
ko:K06219	seec:CFSAN002050_11300
ko:K03633	seec:CFSAN002050_11305
ko:K03804	seec:CFSAN002050_11310
ko:K03632	seec:CFSAN002050_11315
ko:K01893	seec:CFSAN002050_11345
ko:K01751	seec:CFSAN002050_11355
ko:K03310	seec:CFSAN002050_11360
ko:K00763	seec:CFSAN002050_11365
ko:K00373	seec:CFSAN002050_15280
ko:K00371	seec:CFSAN002050_15285
ko:K00370	seec:CFSAN002050_15290
ko:K02575	seec:CFSAN002050_15295
ko:K07673	seec:CFSAN002050_15300
ko:K07300	seec:CFSAN002050_15325
ko:K01627	seec:CFSAN002050_15330
ko:K02493	seec:CFSAN002050_15345
ko:K02835	seec:CFSAN002050_15350
ko:K02492	seec:CFSAN002050_15355
ko:K02494	seec:CFSAN002050_15360
ko:K00919	seec:CFSAN002050_15365
ko:K00948	seec:CFSAN002050_15370
ko:K03321	seec:CFSAN002050_15375
ko:K01056	seec:CFSAN002050_15385
ko:K06942	seec:CFSAN002050_15390
ko:K03620	seec:CFSAN002050_15415
ko:K03619	seec:CFSAN002050_15425
ko:K03618	seec:CFSAN002050_15430
ko:K00425	seec:CFSAN002050_15435
ko:K00426	seec:CFSAN002050_15440
ko:K00261	seec:CFSAN002050_15450
ko:K01194	seec:CFSAN002050_15455
ko:K08308	seec:CFSAN002050_15470
ko:K01775	seec:CFSAN002050_15485
ko:K00285	seec:CFSAN002050_15490
ko:K03603	seec:CFSAN002050_15505
ko:K03314	seec:CFSAN002050_15510
ko:K03611	seec:CFSAN002050_15515
ko:K03736	seec:CFSAN002050_19235
ko:K03735	seec:CFSAN002050_19240
ko:K04019	seec:CFSAN002050_19245
ko:K04023	seec:CFSAN002050_19250
ko:K04022	seec:CFSAN002050_19255
ko:K04024	seec:CFSAN002050_19260
ko:K04021	seec:CFSAN002050_19265
ko:K04027	seec:CFSAN002050_19275
ko:K04020	seec:CFSAN002050_19280
ko:K04032	seec:CFSAN002050_19285
ko:K04030	seec:CFSAN002050_19290
ko:K04029	seec:CFSAN002050_19295
ko:K04031	seec:CFSAN002050_19300
ko:K00029	seec:CFSAN002050_19305
ko:K00615	seec:CFSAN002050_19315
ko:K12945	seec:CFSAN002050_19330
ko:K07674	seec:CFSAN002050_19350
ko:K06957	seec:CFSAN002050_19375
ko:K01923	seec:CFSAN002050_19385
ko:K07287	seec:CFSAN002050_19390
ko:K01714	seec:CFSAN002050_19395
ko:K03567	seec:CFSAN002050_19400
ko:K03564	seec:CFSAN002050_19405
ko:K00865	seec:CFSAN002050_19410
ko:K02647	seec:CFSAN002050_19420
ko:K10763	seec:CFSAN002050_19440
ko:K00761	seec:CFSAN002050_19450
ko:K01933	seec:CFSAN002050_19455
ko:K11175	seec:CFSAN002050_19460
ko:K00937	seec:CFSAN002050_19465
ko:K01524	seec:CFSAN002050_19470
ko:K00865	seec:CFSAN002050_23225
ko:K16371	seec:CFSAN002050_23250
ko:K02773	seec:CFSAN002050_23255
ko:K02774	seec:CFSAN002050_23260
ko:K07056	seec:CFSAN002050_23280
ko:K07121	seec:CFSAN002050_23285
ko:K07460	seec:CFSAN002050_23290
ko:K05520	seec:CFSAN002050_23310
ko:K09979	seec:CFSAN002050_23315
ko:K07461	seec:CFSAN002050_23320
ko:K03824	seec:CFSAN002050_23325
ko:K08303	seec:CFSAN002050_23335
ko:K03835	seec:CFSAN002050_23360
ko:K05592	seec:CFSAN002050_23365
ko:K05803	seec:CFSAN002050_23370
ko:K00962	seec:CFSAN002050_23375
ko:K02956	seec:CFSAN002050_23380
ko:K02834	seec:CFSAN002050_23390
ko:K02519	seec:CFSAN002050_23395
ko:K02600	seec:CFSAN002050_23400
ko:K09748	seec:CFSAN002050_23405
ko:K01940	seec:CFSAN002050_23415
ko:K03075	seec:CFSAN002050_23430
ko:K03431	seec:CFSAN002050_23435
ko:K00796	seec:CFSAN002050_23440
ko:K03798	seec:CFSAN002050_23445
ko:K07574	seec:CFSAN002050_23455
ko:K03624	seec:CFSAN002050_23460
ko:K07259	seec:CFSAN002050_23470
ko:K01778	seec:CFSAN002050_02615
ko:K09921	seec:CFSAN002050_02620
ko:K03733	seec:CFSAN002050_02625
ko:K03657	seec:CFSAN002050_02640
ko:K03284	seec:CFSAN002050_02645
ko:K05786	seec:CFSAN002050_02655
ko:K01058	seec:CFSAN002050_02665
ko:K03654	seec:CFSAN002050_02670
ko:K05835	seec:CFSAN002050_02675
ko:K05834	seec:CFSAN002050_02680
ko:K03576	seec:CFSAN002050_02700
ko:K00549	seec:CFSAN002050_02705
ko:K06871	seec:CFSAN002050_02715
ko:K01061	seec:CFSAN002050_02720
ko:K00757	seec:CFSAN002050_02725
ko:K09760	seec:CFSAN002050_02730
ko:K03183	seec:CFSAN002050_02735
ko:K03690	seec:CFSAN002050_02740
ko:K03688	seec:CFSAN002050_02745
ko:K03116	seec:CFSAN002050_02750
ko:K03117	seec:CFSAN002050_02755
ko:K03118	seec:CFSAN002050_02760
ko:K03424	seec:CFSAN002050_02765
ko:K03182	seec:CFSAN002050_02775
ko:K05368	seec:CFSAN002050_02780
ko:K01825	seec:CFSAN002050_02795
ko:K03753	seec:CFSAN002050_02845
ko:K03752	seec:CFSAN002050_02850
ko:K09896	seec:CFSAN002050_02855
ko:K03673	seec:CFSAN002050_02865
ko:K05964	seec:CFSAN002050_06765
ko:K00215	seec:CFSAN002050_06775
ko:K01956	seec:CFSAN002050_06780
ko:K01955	seec:CFSAN002050_06785
ko:K08277	seec:CFSAN002050_06790
ko:K02182	seec:CFSAN002050_06805
ko:K08298	seec:CFSAN002050_06810
ko:K08297	seec:CFSAN002050_06815
ko:K05245	seec:CFSAN002050_06820
ko:K03521	seec:CFSAN002050_06830
ko:K03522	seec:CFSAN002050_06835
ko:K00313	seec:CFSAN002050_06840
ko:K08368	seec:CFSAN002050_06850
ko:K11746	seec:CFSAN002050_06875
ko:K06195	seec:CFSAN002050_06895
ko:K02528	seec:CFSAN002050_06900
ko:K00097	seec:CFSAN002050_06905
ko:K03771	seec:CFSAN002050_06910
ko:K04744	seec:CFSAN002050_06915
ko:K05801	seec:CFSAN002050_06920
ko:K03580	seec:CFSAN002050_06930
ko:K02336	seec:CFSAN002050_06935
ko:K01804	seec:CFSAN002050_06955
ko:K02062	seec:CFSAN002050_06975
ko:K02063	seec:CFSAN002050_06980
ko:K02064	seec:CFSAN002050_06985
ko:K11925	seec:CFSAN002050_06990
ko:K01704	seec:CFSAN002050_07000
ko:K11939	seec:CFSAN002050_10745
ko:K11934	seec:CFSAN002050_10750
ko:K11924	seec:CFSAN002050_10765
ko:K00656	seec:CFSAN002050_10800
ko:K04069	seec:CFSAN002050_10805
ko:K03750	seec:CFSAN002050_10815
ko:K13051	seec:CFSAN002050_10820
ko:K13892	seec:CFSAN002050_10825
ko:K13889	seec:CFSAN002050_10830
ko:K13890	seec:CFSAN002050_10835
ko:K13891	seec:CFSAN002050_10840
ko:K14441	seec:CFSAN002050_10845
ko:K11534	seec:CFSAN002050_10870
ko:K08160	seec:CFSAN002050_10880
ko:K07085	seec:CFSAN002050_10900
ko:K11073	seec:CFSAN002050_10935
ko:K11076	seec:CFSAN002050_10940
ko:K11075	seec:CFSAN002050_10945
ko:K11074	seec:CFSAN002050_10950
ko:K03212	seec:CFSAN002050_10960
ko:K09996	seec:CFSAN002050_10980
ko:K15580	seec:CFSAN002050_14855
ko:K14054	seec:CFSAN002050_14860
ko:K11065	seec:CFSAN002050_14870
ko:K03721	seec:CFSAN002050_14875
ko:K08990	seec:CFSAN002050_14880
ko:K06918	seec:CFSAN002050_14885
ko:K03971	seec:CFSAN002050_14895
ko:K03970	seec:CFSAN002050_14905
ko:K03969	seec:CFSAN002050_14910
ko:K03974	seec:CFSAN002050_14915
ko:K00208	seec:CFSAN002050_14955
ko:K01147	seec:CFSAN002050_14965
ko:K14051	seec:CFSAN002050_14970
ko:K04062	seec:CFSAN002050_14985
ko:K03113	seec:CFSAN002050_14990
ko:K01591	seec:CFSAN002050_14995
ko:K06714	seec:CFSAN002050_18735
ko:K00764	seec:CFSAN002050_18740
ko:K03558	seec:CFSAN002050_18745
ko:K03749	seec:CFSAN002050_18755
ko:K11754	seec:CFSAN002050_18760
ko:K01963	seec:CFSAN002050_18765
ko:K03975	seec:CFSAN002050_18770
ko:K06173	seec:CFSAN002050_18775
ko:K03473	seec:CFSAN002050_18785
ko:K15461	seec:CFSAN002050_18825
ko:K09906	seec:CFSAN002050_18835
ko:K07090	seec:CFSAN002050_18840
ko:K07261	seec:CFSAN002050_18845
ko:K01736	seec:CFSAN002050_18850
ko:K07320	seec:CFSAN002050_18855
ko:K08296	seec:CFSAN002050_18865
ko:K06076	seec:CFSAN002050_18885
ko:K04754	seec:CFSAN002050_18890
ko:K11382	seec:CFSAN002050_18930
ko:K12974	seec:CFSAN002050_18945
ko:K14261	seec:CFSAN002050_18950
ko:K11209	seec:CFSAN002050_18675
ko:K03561	seec:CFSAN002050_22740
ko:K08325	seec:CFSAN002050_22765
ko:K00655	seec:CFSAN002050_22840
ko:K02621	seec:CFSAN002050_22845
ko:K13652	seec:CFSAN002050_22850
ko:K03923	seec:CFSAN002050_22870
ko:K02622	seec:CFSAN002050_22880
ko:K07000	seec:CFSAN002050_22885
ko:K03651	seec:CFSAN002050_22890
ko:K09920	seec:CFSAN002050_22895
ko:K12340	seec:CFSAN002050_22905
ko:K07238	seec:CFSAN002050_22925
ko:K03673	seec:CFSAN002050_22940
ko:K03611	seec:CFSAN002050_22945
ko:K08163	seec:CFSAN002050_02105
ko:K06901	seec:CFSAN002050_02125
ko:K02039	seec:CFSAN002050_02140
ko:K02036	seec:CFSAN002050_02145
ko:K02038	seec:CFSAN002050_02150
ko:K02037	seec:CFSAN002050_02155
ko:K02040	seec:CFSAN002050_02160
ko:K02769	seec:CFSAN002050_02165
ko:K02770	seec:CFSAN002050_02165
ko:K00014	seec:CFSAN002050_02170
ko:K00820	seec:CFSAN002050_02180
ko:K04042	seec:CFSAN002050_02185
ko:K06890	seec:CFSAN002050_02195
ko:K02114	seec:CFSAN002050_02205
ko:K02112	seec:CFSAN002050_02210
ko:K02115	seec:CFSAN002050_02215
ko:K02111	seec:CFSAN002050_02220
ko:K02113	seec:CFSAN002050_02225
ko:K02109	seec:CFSAN002050_02230
ko:K02110	seec:CFSAN002050_02235
ko:K02108	seec:CFSAN002050_02240
ko:K03501	seec:CFSAN002050_02250
ko:K03495	seec:CFSAN002050_02255
ko:K06205	seec:CFSAN002050_02260
ko:K01914	seec:CFSAN002050_02270
ko:K03924	seec:CFSAN002050_02280
ko:K03549	seec:CFSAN002050_02285
ko:K06726	seec:CFSAN002050_02290
ko:K10441	seec:CFSAN002050_02295
ko:K02529	seec:CFSAN002050_02315
ko:K02344	seec:CFSAN002050_06270
ko:K03789	seec:CFSAN002050_06275
ko:K08723	seec:CFSAN002050_06280
ko:K02837	seec:CFSAN002050_06285
ko:K03424	seec:CFSAN002050_06305
ko:K01839	seec:CFSAN002050_06330
ko:K03800	seec:CFSAN002050_06365
ko:K01079	seec:CFSAN002050_06375
ko:K04485	seec:CFSAN002050_06380
ko:K06211	seec:CFSAN002050_06385
ko:K08309	seec:CFSAN002050_06395
ko:K03720	seec:CFSAN002050_06400
ko:K05804	seec:CFSAN002050_06415
ko:K05805	seec:CFSAN002050_06420
ko:K07663	seec:CFSAN002050_06425
ko:K07641	seec:CFSAN002050_06430
ko:K06143	seec:CFSAN002050_06435
ko:K07347	seec:CFSAN002050_06450
ko:K07773	seec:CFSAN002050_06475
ko:K12524	seec:CFSAN002050_06485
ko:K00872	seec:CFSAN002050_06490
ko:K01733	seec:CFSAN002050_06495
ko:K09861	seec:CFSAN002050_06500
ko:K03310	seec:CFSAN002050_06505
ko:K01902	seec:CFSAN002050_10245
ko:K00425	seec:CFSAN002050_10255
ko:K00426	seec:CFSAN002050_10260
ko:K07107	seec:CFSAN002050_10275
ko:K03562	seec:CFSAN002050_10280
ko:K03641	seec:CFSAN002050_10295
ko:K03640	seec:CFSAN002050_10300
ko:K03517	seec:CFSAN002050_10335
ko:K03811	seec:CFSAN002050_10340
ko:K16264	seec:CFSAN002050_10345
ko:K01626	seec:CFSAN002050_10355
ko:K01678	seec:CFSAN002050_10360
ko:K01677	seec:CFSAN002050_10365
ko:K01573	seec:CFSAN002050_10385
ko:K02015	seec:CFSAN002050_10405
ko:K02013	seec:CFSAN002050_10410
ko:K00849	seec:CFSAN002050_10425
ko:K00965	seec:CFSAN002050_10430
ko:K05776	seec:CFSAN002050_10445
ko:K02019	seec:CFSAN002050_10450
ko:K02020	seec:CFSAN002050_10460
ko:K02018	seec:CFSAN002050_10465
ko:K01051	seec:CFSAN002050_10485
ko:K01468	seec:CFSAN002050_10490
ko:K02575	seec:CFSAN002050_14280
ko:K00370	seec:CFSAN002050_14285
ko:K00371	seec:CFSAN002050_14290
ko:K00373	seec:CFSAN002050_14295
ko:K00675	seec:CFSAN002050_14310
ko:K11738	seec:CFSAN002050_14320
ko:K03823	seec:CFSAN002050_14350
ko:K09936	seec:CFSAN002050_14355
ko:K00137	seec:CFSAN002050_14390
ko:K08641	seec:CFSAN002050_14400
ko:K08303	seec:CFSAN002050_14420
ko:K05782	seec:CFSAN002050_14430
ko:K16868	seec:CFSAN002050_14440
ko:K03304	seec:CFSAN002050_14445
ko:K03817	seec:CFSAN002050_14455
ko:K02774	seec:CFSAN002050_14465
ko:K02773	seec:CFSAN002050_14480
ko:K08323	seec:CFSAN002050_14500
ko:K00098	seec:CFSAN002050_14515
ko:K07676	seec:CFSAN002050_18270
ko:K07687	seec:CFSAN002050_18275
ko:K07677	seec:CFSAN002050_18280
ko:K02469	seec:CFSAN002050_18285
ko:K05501	seec:CFSAN002050_01580
ko:K00762	seec:CFSAN002050_01585
ko:K00989	seec:CFSAN002050_01590
ko:K01972	seec:CFSAN002050_01615
ko:K00942	seec:CFSAN002050_01620
ko:K03060	seec:CFSAN002050_01625
ko:K00556	seec:CFSAN002050_01635
ko:K03655	seec:CFSAN002050_01640
ko:K03312	seec:CFSAN002050_01645
ko:K16345	seec:CFSAN002050_01650
ko:K01811	seec:CFSAN002050_01660
ko:K01531	seec:CFSAN002050_01720
ko:K07507	seec:CFSAN002050_01725
ko:K01223	seec:CFSAN002050_01780
ko:K07726	seec:CFSAN002050_01795
ko:K07783	seec:CFSAN002050_01815
ko:K07675	seec:CFSAN002050_01820
ko:K02429	seec:CFSAN002050_01835
ko:K11534	seec:CFSAN002050_01845
ko:K00611	seec:CFSAN002050_05740
ko:K00926	seec:CFSAN002050_05745
ko:K00611	seec:CFSAN002050_05760
ko:K09893	seec:CFSAN002050_05765
ko:K06169	seec:CFSAN002050_05770
ko:K03828	seec:CFSAN002050_05780
ko:K01873	seec:CFSAN002050_05790
ko:K02339	seec:CFSAN002050_05795
ko:K01255	seec:CFSAN002050_05800
ko:K07091	seec:CFSAN002050_05805
ko:K11720	seec:CFSAN002050_05810
ko:K06146	seec:CFSAN002050_05815
ko:K06157	seec:CFSAN002050_05820
ko:K00098	seec:CFSAN002050_05830
ko:K12957	seec:CFSAN002050_05840
ko:K07454	seec:CFSAN002050_05855
ko:K01153	seec:CFSAN002050_05875
ko:K01154	seec:CFSAN002050_05880
ko:K03427	seec:CFSAN002050_05885
ko:K12687	seec:CFSAN002050_05940
ko:K07454	seec:CFSAN002050_05995
ko:K06199	seec:CFSAN002050_09760
ko:K03425	seec:CFSAN002050_09770
ko:K03644	seec:CFSAN002050_09775
ko:K03801	seec:CFSAN002050_09785
ko:K09158	seec:CFSAN002050_09790
ko:K03642	seec:CFSAN002050_09800
ko:K05837	seec:CFSAN002050_09805
ko:K05515	seec:CFSAN002050_09810
ko:K00783	seec:CFSAN002050_09815
ko:K09710	seec:CFSAN002050_09820
ko:K00969	seec:CFSAN002050_09840
ko:K02340	seec:CFSAN002050_09845
ko:K03643	seec:CFSAN002050_09850
ko:K01869	seec:CFSAN002050_09855
ko:K16849	seec:CFSAN002050_09860
ko:K16850	seec:CFSAN002050_09865
ko:K04045	seec:CFSAN002050_09910
ko:K10004	seec:CFSAN002050_09925
ko:K10002	seec:CFSAN002050_09930
ko:K10003	seec:CFSAN002050_09935
ko:K10001	seec:CFSAN002050_09940
ko:K03820	seec:CFSAN002050_09945
ko:K06189	seec:CFSAN002050_09950
ko:K07042	seec:CFSAN002050_09955
ko:K06168	seec:CFSAN002050_09965
ko:K03184	seec:CFSAN002050_09970
ko:K07661	seec:CFSAN002050_13770
ko:K03758	seec:CFSAN002050_13780
ko:K00324	seec:CFSAN002050_13790
ko:K00325	seec:CFSAN002050_13795
ko:K11744	seec:CFSAN002050_13800
ko:K11743	seec:CFSAN002050_13810
ko:K11742	seec:CFSAN002050_13815
ko:K04775	seec:CFSAN002050_13820
ko:K08224	seec:CFSAN002050_13835
ko:K15545	seec:CFSAN002050_13845
ko:K01935	seec:CFSAN002050_13850
ko:K03281	seec:CFSAN002050_13855
ko:K05847	seec:CFSAN002050_13860
ko:K05846	seec:CFSAN002050_13865
ko:K05845	seec:CFSAN002050_13870
ko:K05846	seec:CFSAN002050_13875
ko:K07310	seec:CFSAN002050_13895
ko:K09771	seec:CFSAN002050_13920
ko:K08323	seec:CFSAN002050_13925
ko:K08322	seec:CFSAN002050_13930
ko:K16066	seec:CFSAN002050_13955
ko:K01284	seec:CFSAN002050_13960
ko:K15268	seec:CFSAN002050_13990
ko:K13630	seec:CFSAN002050_13995
ko:K13632	seec:CFSAN002050_14000
ko:K03712	seec:CFSAN002050_14005
ko:K08159	seec:CFSAN002050_14015
ko:K01874	seec:CFSAN002050_17770
ko:K02478	seec:CFSAN002050_17795
ko:K05846	seec:CFSAN002050_17810
ko:K05847	seec:CFSAN002050_17815
ko:K05846	seec:CFSAN002050_17820
ko:K05845	seec:CFSAN002050_17825
ko:K05349	seec:CFSAN002050_17830
ko:K03777	seec:CFSAN002050_17835
ko:K07262	seec:CFSAN002050_17840
ko:K05541	seec:CFSAN002050_17875
ko:K16165	seec:CFSAN002050_17890
ko:K00450	seec:CFSAN002050_17895
ko:K08195	seec:CFSAN002050_17900
ko:K10542	seec:CFSAN002050_17950
ko:K02529	seec:CFSAN002050_17960
ko:K07148	seec:CFSAN002050_17965
ko:K01495	seec:CFSAN002050_17970
ko:K01752	seec:CFSAN002050_17985
ko:K07783	seec:CFSAN002050_17995
ko:K11107	seec:CFSAN002050_18320
ko:K01126	seec:CFSAN002050_18335
ko:K02445	seec:CFSAN002050_18340
ko:K00111	seec:CFSAN002050_18345
ko:K00112	seec:CFSAN002050_18350
ko:K00113	seec:CFSAN002050_18355
ko:K12660	seec:CFSAN002050_18370
ko:K12661	seec:CFSAN002050_18380
ko:K07806	seec:CFSAN002050_18410
ko:K10012	seec:CFSAN002050_18415
ko:K10011	seec:CFSAN002050_18420
