ko:K00887	lcx:LCA12A_0848
ko:K15552	lcx:LCA12A_1090
ko:K15975	lcx:LCA12A_1093
ko:K07478	lcx:LCA12A_1105
ko:K00925	lcx:LCA12A_1106
ko:K01624	lcx:LCA12A_1110
ko:K03475	lcx:LCA12A_1111
ko:K07457	lcx:LCA12A_1113
ko:K01421	lcx:LCA12A_1115
ko:K15580	lcx:LCA12A_1120
ko:K06872	lcx:LCA12A_1130
ko:K07090	lcx:LCA12A_1131
ko:K07006	lcx:LCA12A_1140
ko:K01304	lcx:LCA12A_1148
ko:K06988	lcx:LCA12A_1149
ko:K07009	lcx:LCA12A_1150
ko:K03501	lcx:LCA12A_1152
ko:K03497	lcx:LCA12A_1153
ko:K03496	lcx:LCA12A_1154
ko:K03497	lcx:LCA12A_1155
ko:K06942	lcx:LCA12A_1157
ko:K00088	lcx:LCA12A_1159
ko:K07258	lcx:LCA12A_1163
ko:K03624	lcx:LCA12A_1164
ko:K01928	lcx:LCA12A_1165
ko:K01779	lcx:LCA12A_1166
ko:K06608	lcx:LCA12A_1168
ko:K03337	lcx:LCA12A_1172
ko:K03338	lcx:LCA12A_1173
ko:K03336	lcx:LCA12A_1174
ko:K00010	lcx:LCA12A_1175
ko:K00010	lcx:LCA12A_1176
ko:K03335	lcx:LCA12A_1177
ko:K03339	lcx:LCA12A_1178
ko:K00033	lcx:LCA12A_1181
ko:K00851	lcx:LCA12A_1182
ko:K03299	lcx:LCA12A_1183
ko:K02074	lcx:LCA12A_1185
ko:K02075	lcx:LCA12A_1186
ko:K08602	lcx:LCA12A_1189
ko:K03311	lcx:LCA12A_1191
ko:K03100	lcx:LCA12A_1197
ko:K03671	lcx:LCA12A_2499
ko:K01999	lcx:LCA12A_2502
ko:K01997	lcx:LCA12A_2503
ko:K01998	lcx:LCA12A_2504
ko:K01995	lcx:LCA12A_2505
ko:K01996	lcx:LCA12A_2506
ko:K02761	lcx:LCA12A_2508
ko:K01619	lcx:LCA12A_2510
ko:K01839	lcx:LCA12A_2511
ko:K03784	lcx:LCA12A_2512
ko:K02027	lcx:LCA12A_2521
ko:K12373	lcx:LCA12A_2523
ko:K01809	lcx:LCA12A_2524
ko:K03710	lcx:LCA12A_2525
ko:K02082	lcx:LCA12A_2526
ko:K01443	lcx:LCA12A_2527
ko:K12308	lcx:LCA12A_2528
ko:K02794	lcx:LCA12A_2529
ko:K02795	lcx:LCA12A_2530
ko:K02793	lcx:LCA12A_2532
ko:K00917	lcx:LCA12A_2533
ko:K00068	lcx:LCA12A_2534
ko:K02775	lcx:LCA12A_2535
ko:K02773	lcx:LCA12A_2536
ko:K02774	lcx:LCA12A_2537
ko:K14155	lcx:LCA12A_2540
ko:K01262	lcx:LCA12A_2541
ko:K02761	lcx:LCA12A_2542
ko:K02760	lcx:LCA12A_2543
ko:K02759	lcx:LCA12A_2544
ko:K03491	lcx:LCA12A_2546
ko:K01258	lcx:LCA12A_2547
ko:K15580	lcx:LCA12A_2548
ko:K16925	lcx:LCA12A_2551
ko:K16786	lcx:LCA12A_2552
ko:K16787	lcx:LCA12A_2552
ko:K16785	lcx:LCA12A_2553
ko:K03707	lcx:LCA12A_2554
ko:K00878	lcx:LCA12A_2556
ko:K00788	lcx:LCA12A_2557
ko:K00941	lcx:LCA12A_2558
ko:K02529	lcx:LCA12A_2561
ko:K06726	lcx:LCA12A_2562
ko:K10441	lcx:LCA12A_2563
ko:K10440	lcx:LCA12A_2564
ko:K10439	lcx:LCA12A_2565
ko:K00852	lcx:LCA12A_2566
ko:K05845	lcx:LCA12A_2570
ko:K05846	lcx:LCA12A_2570
ko:K05847	lcx:LCA12A_2571
ko:K00244	lcx:LCA12A_2580
ko:K02822	lcx:LCA12A_2582
ko:K03475	lcx:LCA12A_2583
ko:K01624	lcx:LCA12A_2585
ko:K07006	lcx:LCA12A_2594
ko:K17836	lcx:LCA12A_2597
ko:K01624	lcx:LCA12A_2602
ko:K14445	lcx:LCA12A_2603
ko:K16924	lcx:LCA12A_2607
ko:K16786	lcx:LCA12A_2608
ko:K16787	lcx:LCA12A_2608
ko:K16785	lcx:LCA12A_2609
ko:K12111	lcx:LCA12A_2610
ko:K11733	lcx:LCA12A_2612
ko:K02744	lcx:LCA12A_2386
ko:K02794	lcx:LCA12A_2387
ko:K02795	lcx:LCA12A_2388
ko:K03436	lcx:LCA12A_2394
ko:K08093	lcx:LCA12A_2395
ko:K08094	lcx:LCA12A_2396
ko:K02798	lcx:LCA12A_2397
ko:K02799	lcx:LCA12A_2397
ko:K02800	lcx:LCA12A_2397
ko:K07058	lcx:LCA12A_2374
ko:K02970	lcx:LCA12A_0852
ko:K09773	lcx:LCA12A_0853
ko:K01151	lcx:LCA12A_0854
ko:K07305	lcx:LCA12A_0856
ko:K01876	lcx:LCA12A_0857
ko:K01892	lcx:LCA12A_0858
ko:K01507	lcx:LCA12A_0859
ko:K09903	lcx:LCA12A_2159
ko:K02357	lcx:LCA12A_2160
ko:K02967	lcx:LCA12A_2161
ko:K07461	lcx:LCA12A_2162
ko:K03402	lcx:LCA12A_1248
ko:K06442	lcx:LCA12A_1247
ko:K13789	lcx:LCA12A_1246
ko:K03602	lcx:LCA12A_1245
ko:K03601	lcx:LCA12A_1244
ko:K01491	lcx:LCA12A_1243
ko:K03625	lcx:LCA12A_1242
ko:K02356	lcx:LCA12A_1240
ko:K01262	lcx:LCA12A_1239
ko:K02899	lcx:LCA12A_1238
ko:K07584	lcx:LCA12A_1237
ko:K02888	lcx:LCA12A_1236
ko:K01281	lcx:LCA12A_1232
ko:K01915	lcx:LCA12A_1231
ko:K03713	lcx:LCA12A_1230
ko:K01581	lcx:LCA12A_1229
ko:K00791	lcx:LCA12A_1227
ko:K00845	lcx:LCA12A_1224
ko:K11618	lcx:LCA12A_1218
ko:K11617	lcx:LCA12A_1217
ko:K03624	lcx:LCA12A_1215
ko:K00876	lcx:LCA12A_1214
ko:K07082	lcx:LCA12A_1213
ko:K01890	lcx:LCA12A_1212
ko:K01889	lcx:LCA12A_1210
ko:K06950	lcx:LCA12A_1208
ko:K03437	lcx:LCA12A_1207
ko:K01512	lcx:LCA12A_1206
ko:K03217	lcx:LCA12A_1205
ko:K00033	lcx:LCA12A_0015
ko:K07040	lcx:LCA12A_0016
ko:K01448	lcx:LCA12A_0863
ko:K07560	lcx:LCA12A_0865
ko:K00951	lcx:LCA12A_0866
ko:K09761	lcx:LCA12A_0868
ko:K02687	lcx:LCA12A_0869
ko:K03652	lcx:LCA12A_0871
ko:K03976	lcx:LCA12A_0881
ko:K00759	lcx:LCA12A_0882
ko:K07462	lcx:LCA12A_0883
ko:K03596	lcx:LCA12A_0887
ko:K03686	lcx:LCA12A_0889
ko:K04043	lcx:LCA12A_0890
ko:K03687	lcx:LCA12A_0891
ko:K03705	lcx:LCA12A_0892
ko:K11753	lcx:LCA12A_0894
ko:K03177	lcx:LCA12A_0895
ko:K02834	lcx:LCA12A_2146
ko:K02519	lcx:LCA12A_2147
ko:K07742	lcx:LCA12A_2149
ko:K02600	lcx:LCA12A_2150
ko:K09748	lcx:LCA12A_2151
ko:K03763	lcx:LCA12A_2152
ko:K01881	lcx:LCA12A_2154
ko:K11749	lcx:LCA12A_2155
ko:K00981	lcx:LCA12A_2156
ko:K00806	lcx:LCA12A_2157
ko:K02838	lcx:LCA12A_2158
ko:K00655	lcx:LCA12A_1295
ko:K03294	lcx:LCA12A_1293
ko:K09976	lcx:LCA12A_1289
ko:K02884	lcx:LCA12A_1286
ko:K00554	lcx:LCA12A_1285
ko:K02860	lcx:LCA12A_1284
ko:K06960	lcx:LCA12A_1283
ko:K02959	lcx:LCA12A_1282
ko:K03106	lcx:LCA12A_1281
ko:K09787	lcx:LCA12A_1280
ko:K03110	lcx:LCA12A_1278
ko:K03529	lcx:LCA12A_1277
ko:K03685	lcx:LCA12A_1275
ko:K02035	lcx:LCA12A_1274
ko:K02034	lcx:LCA12A_1273
ko:K02033	lcx:LCA12A_1272
ko:K02078	lcx:LCA12A_1269
ko:K03621	lcx:LCA12A_1268
ko:K03655	lcx:LCA12A_1267
ko:K07030	lcx:LCA12A_1266
ko:K02902	lcx:LCA12A_1264
ko:K00949	lcx:LCA12A_1263
ko:K01783	lcx:LCA12A_1262
ko:K06949	lcx:LCA12A_1261
ko:K03500	lcx:LCA12A_1258
ko:K00604	lcx:LCA12A_1257
ko:K04066	lcx:LCA12A_1256
ko:K13038	lcx:LCA12A_1255
ko:K03060	lcx:LCA12A_1254
ko:K00942	lcx:LCA12A_1253
ko:K07001	lcx:LCA12A_1252
ko:K03631	lcx:LCA12A_1249
ko:K09710	lcx:LCA12A_0019
ko:K00969	lcx:LCA12A_0021
ko:K07574	lcx:LCA12A_0022
ko:K06948	lcx:LCA12A_0023
ko:K07015	lcx:LCA12A_0024
ko:K15975	lcx:LCA12A_0026
ko:K06999	lcx:LCA12A_0027
ko:K06966	lcx:LCA12A_0029
ko:K02887	lcx:LCA12A_0030
ko:K02916	lcx:LCA12A_0031
ko:K02520	lcx:LCA12A_0032
ko:K01834	lcx:LCA12A_0035
ko:K01868	lcx:LCA12A_0036
ko:K11144	lcx:LCA12A_0037
ko:K03346	lcx:LCA12A_0038
ko:K07738	lcx:LCA12A_0039
ko:K00859	lcx:LCA12A_0040
ko:K10563	lcx:LCA12A_0041
ko:K06890	lcx:LCA12A_0043
ko:K01924	lcx:LCA12A_0044
ko:K03466	lcx:LCA12A_0045
ko:K06878	lcx:LCA12A_0046
ko:K03439	lcx:LCA12A_0049
ko:K01992	lcx:LCA12A_0051
ko:K01990	lcx:LCA12A_0052
ko:K02503	lcx:LCA12A_0053
ko:K07533	lcx:LCA12A_0055
ko:K03698	lcx:LCA12A_0056
ko:K12555	lcx:LCA12A_0058
ko:K06180	lcx:LCA12A_0059
ko:K03402	lcx:LCA12A_0060
ko:K01887	lcx:LCA12A_0061
ko:K00226	lcx:LCA12A_0064
ko:K16511	lcx:LCA12A_0067
ko:K16509	lcx:LCA12A_0068
ko:K02004	lcx:LCA12A_0071
ko:K02003	lcx:LCA12A_0072
ko:K01533	lcx:LCA12A_0076
ko:K01945	lcx:LCA12A_0078
ko:K00602	lcx:LCA12A_0079
ko:K11175	lcx:LCA12A_0080
ko:K01933	lcx:LCA12A_0081
ko:K00764	lcx:LCA12A_0082
ko:K01952	lcx:LCA12A_0083
ko:K01952	lcx:LCA12A_0084
ko:K01952	lcx:LCA12A_0085
ko:K01923	lcx:LCA12A_0086
ko:K01589	lcx:LCA12A_0087
ko:K01588	lcx:LCA12A_0088
ko:K16789	lcx:LCA12A_0089
ko:K06609	lcx:LCA12A_0090
ko:K08483	lcx:LCA12A_0091
ko:K11189	lcx:LCA12A_0092
ko:K03697	lcx:LCA12A_0094
ko:K02837	lcx:LCA12A_0096
ko:K03699	lcx:LCA12A_0097
ko:K07586	lcx:LCA12A_0101
ko:K03565	lcx:LCA12A_0102
ko:K03489	lcx:LCA12A_0107
ko:K01223	lcx:LCA12A_0108
ko:K02761	lcx:LCA12A_0109
ko:K02759	lcx:LCA12A_0110
ko:K02760	lcx:LCA12A_0111
ko:K00158	lcx:LCA12A_0112
ko:K01641	lcx:LCA12A_0113
ko:K00054	lcx:LCA12A_0114
ko:K00626	lcx:LCA12A_0115
ko:K01439	lcx:LCA12A_0120
ko:K03095	lcx:LCA12A_0123
ko:K05833	lcx:LCA12A_0124
ko:K05832	lcx:LCA12A_0125
ko:K01989	lcx:LCA12A_0126
ko:K01537	lcx:LCA12A_0128
ko:K01916	lcx:LCA12A_0130
ko:K00763	lcx:LCA12A_0132
ko:K03710	lcx:LCA12A_2138
ko:K01443	lcx:LCA12A_2139
ko:K00286	lcx:LCA12A_2140
ko:K03305	lcx:LCA12A_2143
ko:K11104	lcx:LCA12A_0676
ko:K01206	lcx:LCA12A_0675
ko:K01610	lcx:LCA12A_0673
ko:K04759	lcx:LCA12A_0671
ko:K04758	lcx:LCA12A_0670
ko:K07118	lcx:LCA12A_0668
ko:K01875	lcx:LCA12A_2026
ko:K11733	lcx:LCA12A_2029
ko:K01575	lcx:LCA12A_2030
ko:K01652	lcx:LCA12A_2031
ko:K02913	lcx:LCA12A_2036
ko:K04564	lcx:LCA12A_2037
ko:K06180	lcx:LCA12A_2038
ko:K05966	lcx:LCA12A_2042
ko:K01571	lcx:LCA12A_2044
ko:K05964	lcx:LCA12A_2045
ko:K01643	lcx:LCA12A_2046
ko:K01644	lcx:LCA12A_2047
ko:K01646	lcx:LCA12A_2048
ko:K01910	lcx:LCA12A_2049
ko:K01572	lcx:LCA12A_2051
ko:K03300	lcx:LCA12A_2054
ko:K07559	lcx:LCA12A_2056
ko:K06988	lcx:LCA12A_2058
ko:K10947	lcx:LCA12A_2059
ko:K01990	lcx:LCA12A_2062
ko:K01992	lcx:LCA12A_2063
ko:K07090	lcx:LCA12A_2066
ko:K01990	lcx:LCA12A_2070
ko:K03817	lcx:LCA12A_2072
ko:K10823	lcx:LCA12A_2073
ko:K15583	lcx:LCA12A_2074
ko:K01791	lcx:LCA12A_2134
ko:K01784	lcx:LCA12A_0138
ko:K10040	lcx:LCA12A_0139
ko:K10040	lcx:LCA12A_0140
ko:K10039	lcx:LCA12A_0141
ko:K10041	lcx:LCA12A_0142
ko:K02076	lcx:LCA12A_0145
ko:K00942	lcx:LCA12A_0147
ko:K03734	lcx:LCA12A_2167
ko:K00688	lcx:LCA12A_1669
ko:K00703	lcx:LCA12A_1670
ko:K00975	lcx:LCA12A_1671
ko:K00975	lcx:LCA12A_1672
ko:K00700	lcx:LCA12A_1673
ko:K00826	lcx:LCA12A_1674
ko:K04041	lcx:LCA12A_1677
ko:K04086	lcx:LCA12A_1679
ko:K01104	lcx:LCA12A_1680
ko:K01154	lcx:LCA12A_0201
ko:K01154	lcx:LCA12A_0203
ko:K03427	lcx:LCA12A_0204
ko:K01153	lcx:LCA12A_0205
ko:K02808	lcx:LCA12A_2657
ko:K02809	lcx:LCA12A_2657
ko:K02810	lcx:LCA12A_2657
ko:K01187	lcx:LCA12A_2658
ko:K01193	lcx:LCA12A_2660
ko:K00574	lcx:LCA12A_2662
ko:K01962	lcx:LCA12A_2663
ko:K01963	lcx:LCA12A_2664
ko:K01961	lcx:LCA12A_2665
ko:K02372	lcx:LCA12A_2666
ko:K02160	lcx:LCA12A_2667
ko:K09458	lcx:LCA12A_2668
ko:K00059	lcx:LCA12A_2669
ko:K00645	lcx:LCA12A_2670
ko:K02371	lcx:LCA12A_2671
ko:K02078	lcx:LCA12A_2672
ko:K00648	lcx:LCA12A_2673
ko:K02372	lcx:LCA12A_2676
ko:K18104	lcx:LCA12A_2686
ko:K01834	lcx:LCA12A_2688
ko:K07284	lcx:LCA12A_0682
ko:K16012	lcx:LCA12A_0735
ko:K16013	lcx:LCA12A_0736
ko:K00426	lcx:LCA12A_0737
ko:K00425	lcx:LCA12A_0738
ko:K00756	lcx:LCA12A_0739
ko:K01488	lcx:LCA12A_0740
ko:K01246	lcx:LCA12A_0745
ko:K01104	lcx:LCA12A_0748
ko:K18979	lcx:LCA12A_0749
ko:K03523	lcx:LCA12A_0751
ko:K06287	lcx:LCA12A_0766
ko:K03572	lcx:LCA12A_0767
ko:K03555	lcx:LCA12A_0768
ko:K04077	lcx:LCA12A_2009
ko:K04078	lcx:LCA12A_2010
ko:K07052	lcx:LCA12A_2011
ko:K01990	lcx:LCA12A_2015
ko:K07979	lcx:LCA12A_2016
ko:K01926	lcx:LCA12A_2017
ko:K06158	lcx:LCA12A_2018
ko:K02760	lcx:LCA12A_2019
ko:K01409	lcx:LCA12A_2020
ko:K15582	lcx:LCA12A_2076
ko:K15581	lcx:LCA12A_2077
ko:K15580	lcx:LCA12A_2078
ko:K02204	lcx:LCA12A_2085
ko:K01951	lcx:LCA12A_2101
ko:K00867	lcx:LCA12A_2102
ko:K08659	lcx:LCA12A_2105
ko:K03657	lcx:LCA12A_2107
ko:K03455	lcx:LCA12A_2109
ko:K01259	lcx:LCA12A_2110
ko:K01772	lcx:LCA12A_2113
ko:K02004	lcx:LCA12A_2115
ko:K02003	lcx:LCA12A_2116
ko:K03665	lcx:LCA12A_2119
ko:K01854	lcx:LCA12A_0163
ko:K00059	lcx:LCA12A_0170
ko:K10823	lcx:LCA12A_0174
ko:K15583	lcx:LCA12A_0175
ko:K15582	lcx:LCA12A_0176
ko:K15581	lcx:LCA12A_0177
ko:K15580	lcx:LCA12A_0178
ko:K02356	lcx:LCA12A_0180
ko:K00782	lcx:LCA12A_0182
ko:K18929	lcx:LCA12A_0183
ko:K18928	lcx:LCA12A_0184
ko:K02759	lcx:LCA12A_0186
ko:K09963	lcx:LCA12A_0187
ko:K02761	lcx:LCA12A_0190
ko:K07407	lcx:LCA12A_0191
ko:K09861	lcx:LCA12A_0192
ko:K03581	lcx:LCA12A_0194
ko:K00158	lcx:LCA12A_0685
ko:K02002	lcx:LCA12A_0686
ko:K02001	lcx:LCA12A_0687
ko:K02000	lcx:LCA12A_0688
ko:K06206	lcx:LCA12A_0689
ko:K17810	lcx:LCA12A_0691
ko:K00872	lcx:LCA12A_0692
ko:K01733	lcx:LCA12A_0693
ko:K00003	lcx:LCA12A_0694
ko:K00928	lcx:LCA12A_0695
ko:K07192	lcx:LCA12A_0696
ko:K07035	lcx:LCA12A_0698
ko:K03778	lcx:LCA12A_0699
ko:K00841	lcx:LCA12A_0700
ko:K01953	lcx:LCA12A_0704
ko:K02548	lcx:LCA12A_0706
ko:K00805	lcx:LCA12A_0707
ko:K00925	lcx:LCA12A_0708
ko:K01990	lcx:LCA12A_0709
ko:K01992	lcx:LCA12A_0710
ko:K07979	lcx:LCA12A_0711
ko:K01990	lcx:LCA12A_0712
ko:K00034	lcx:LCA12A_0714
ko:K00259	lcx:LCA12A_0715
ko:K01754	lcx:LCA12A_0716
ko:K08659	lcx:LCA12A_0720
ko:K00383	lcx:LCA12A_0721
ko:K18926	lcx:LCA12A_0722
ko:K18939	lcx:LCA12A_0723
ko:K01223	lcx:LCA12A_0724
ko:K02755	lcx:LCA12A_0725
ko:K02756	lcx:LCA12A_0725
ko:K02757	lcx:LCA12A_0725
ko:K03488	lcx:LCA12A_0726
ko:K03789	lcx:LCA12A_2021
ko:K01424	lcx:LCA12A_2025
ko:K07056	lcx:LCA12A_2694
ko:K02341	lcx:LCA12A_2696
ko:K00943	lcx:LCA12A_2698
ko:K06187	lcx:LCA12A_2700
ko:K09747	lcx:LCA12A_2701
ko:K02343	lcx:LCA12A_2702
ko:K11991	lcx:LCA12A_2703
ko:K00564	lcx:LCA12A_2705
ko:K14205	lcx:LCA12A_2706
ko:K01361	lcx:LCA12A_2709
ko:K07533	lcx:LCA12A_2710
ko:K02935	lcx:LCA12A_1792
ko:K02864	lcx:LCA12A_1793
ko:K08161	lcx:LCA12A_1794
ko:K08369	lcx:LCA12A_1797
ko:K00135	lcx:LCA12A_1798
ko:K02863	lcx:LCA12A_1799
ko:K02867	lcx:LCA12A_1800
ko:K01531	lcx:LCA12A_1801
ko:K01426	lcx:LCA12A_1802
ko:K05937	lcx:LCA12A_1803
ko:K02601	lcx:LCA12A_1810
ko:K03073	lcx:LCA12A_1811
ko:K10773	lcx:LCA12A_0821
ko:K06967	lcx:LCA12A_0838
ko:K03086	lcx:LCA12A_0839
ko:K03584	lcx:LCA12A_0845
ko:K01489	lcx:LCA12A_0847
ko:K01879	lcx:LCA12A_0841
ko:K01878	lcx:LCA12A_0842
ko:K07042	lcx:LCA12A_0849
ko:K02913	lcx:LCA12A_1812
ko:K00147	lcx:LCA12A_1869
ko:K00931	lcx:LCA12A_1870
ko:K07284	lcx:LCA12A_1874
ko:K09384	lcx:LCA12A_1879
ko:K10947	lcx:LCA12A_1883
ko:K07706	lcx:LCA12A_1895
ko:K07707	lcx:LCA12A_1896
ko:K00661	lcx:LCA12A_1906
ko:K01679	lcx:LCA12A_1911
ko:K03322	lcx:LCA12A_1914
ko:K06173	lcx:LCA12A_1963
ko:K16785	lcx:LCA12A_1964
ko:K16787	lcx:LCA12A_1965
ko:K16786	lcx:LCA12A_1966
ko:K02879	lcx:LCA12A_1968
ko:K03040	lcx:LCA12A_1969
ko:K02948	lcx:LCA12A_1970
ko:K02952	lcx:LCA12A_1971
ko:K02919	lcx:LCA12A_1972
ko:K02518	lcx:LCA12A_1973
ko:K00939	lcx:LCA12A_1974
ko:K03076	lcx:LCA12A_1975
ko:K02876	lcx:LCA12A_1976
ko:K02907	lcx:LCA12A_1977
ko:K02988	lcx:LCA12A_1978
ko:K02881	lcx:LCA12A_1979
ko:K02933	lcx:LCA12A_1980
ko:K02994	lcx:LCA12A_1981
ko:K02954	lcx:LCA12A_1982
ko:K02931	lcx:LCA12A_1983
ko:K02895	lcx:LCA12A_1984
ko:K02874	lcx:LCA12A_1985
ko:K02961	lcx:LCA12A_1986
ko:K02904	lcx:LCA12A_1987
ko:K02878	lcx:LCA12A_1988
ko:K02982	lcx:LCA12A_1989
ko:K02890	lcx:LCA12A_1990
ko:K02965	lcx:LCA12A_1991
ko:K02886	lcx:LCA12A_1992
ko:K02892	lcx:LCA12A_1993
ko:K02926	lcx:LCA12A_1994
ko:K02906	lcx:LCA12A_1995
ko:K02946	lcx:LCA12A_1996
ko:K13256	lcx:LCA12A_1997
ko:K03386	lcx:LCA12A_1998
ko:K02355	lcx:LCA12A_2000
ko:K02992	lcx:LCA12A_2001
ko:K02950	lcx:LCA12A_2002
ko:K02236	lcx:LCA12A_2004
ko:K03046	lcx:LCA12A_2005
ko:K03043	lcx:LCA12A_2006
ko:K03696	lcx:LCA12A_2007
ko:K03708	lcx:LCA12A_2008
ko:K04567	lcx:LCA12A_0208
ko:K04083	lcx:LCA12A_0210
ko:K03798	lcx:LCA12A_0212
ko:K00760	lcx:LCA12A_0213
ko:K04075	lcx:LCA12A_0214
ko:K07571	lcx:LCA12A_0215
ko:K13052	lcx:LCA12A_0216
ko:K03723	lcx:LCA12A_0219
ko:K01056	lcx:LCA12A_0220
ko:K00016	lcx:LCA12A_0221
ko:K00266	lcx:LCA12A_0225
ko:K00265	lcx:LCA12A_0226
ko:K07171	lcx:LCA12A_0228
ko:K01775	lcx:LCA12A_0230
ko:K00997	lcx:LCA12A_0231
ko:K05592	lcx:LCA12A_0232
ko:K01929	lcx:LCA12A_0234
ko:K02909	lcx:LCA12A_0239
ko:K00790	lcx:LCA12A_0240
ko:K01937	lcx:LCA12A_0241
ko:K03048	lcx:LCA12A_0243
ko:K06885	lcx:LCA12A_0246
ko:K03574	lcx:LCA12A_0247
ko:K03282	lcx:LCA12A_0249
ko:K00948	lcx:LCA12A_0254
ko:K04042	lcx:LCA12A_0255
ko:K09685	lcx:LCA12A_0257
ko:K02068	lcx:LCA12A_0258
ko:K02069	lcx:LCA12A_0259
ko:K16264	lcx:LCA12A_0260
ko:K00919	lcx:LCA12A_0261
ko:K02528	lcx:LCA12A_0263
ko:K05985	lcx:LCA12A_0264
ko:K03424	lcx:LCA12A_0265
ko:K02773	lcx:LCA12A_0266
ko:K01635	lcx:LCA12A_0267
ko:K06147	lcx:LCA12A_0271
ko:K06147	lcx:LCA12A_0272
ko:K01874	lcx:LCA12A_0273
ko:K01259	lcx:LCA12A_0274
ko:K03574	lcx:LCA12A_0276
ko:K00016	lcx:LCA12A_0277
ko:K12410	lcx:LCA12A_0279
ko:K06910	lcx:LCA12A_0281
ko:K01524	lcx:LCA12A_0284
ko:K00937	lcx:LCA12A_0285
ko:K01524	lcx:LCA12A_0286
ko:K03823	lcx:LCA12A_0289
ko:K06872	lcx:LCA12A_0291
ko:K03744	lcx:LCA12A_0292
ko:K01867	lcx:LCA12A_0293
ko:K05685	lcx:LCA12A_0294
ko:K00383	lcx:LCA12A_0295
ko:K02773	lcx:LCA12A_0344
ko:K02444	lcx:LCA12A_0345
ko:K01182	lcx:LCA12A_0347
ko:K03210	lcx:LCA12A_0354
ko:K02744	lcx:LCA12A_0355
ko:K02747	lcx:LCA12A_0356
ko:K02746	lcx:LCA12A_0357
ko:K02745	lcx:LCA12A_0358
ko:K18581	lcx:LCA12A_0359
ko:K01815	lcx:LCA12A_0362
ko:K00065	lcx:LCA12A_0363
ko:K01625	lcx:LCA12A_0364
ko:K00874	lcx:LCA12A_0365
ko:K01807	lcx:LCA12A_0367
ko:K03975	lcx:LCA12A_0371
ko:K01232	lcx:LCA12A_0374
ko:K01727	lcx:LCA12A_0375
ko:K01803	lcx:LCA12A_0387
ko:K01624	lcx:LCA12A_0388
ko:K02774	lcx:LCA12A_0389
ko:K02775	lcx:LCA12A_0390
ko:K02773	lcx:LCA12A_0391
ko:K01104	lcx:LCA12A_0484
ko:K03826	lcx:LCA12A_0486
ko:K03830	lcx:LCA12A_0487
ko:K00783	lcx:LCA12A_0489
ko:K13993	lcx:LCA12A_0496
ko:K07652	lcx:LCA12A_0502
ko:K07668	lcx:LCA12A_0503
ko:K02029	lcx:LCA12A_0505
ko:K02030	lcx:LCA12A_0505
ko:K01940	lcx:LCA12A_0506
ko:K01755	lcx:LCA12A_0507
ko:K09963	lcx:LCA12A_0509
ko:K02761	lcx:LCA12A_0511
ko:K02760	lcx:LCA12A_0513
ko:K02759	lcx:LCA12A_0514
ko:K03449	lcx:LCA12A_0520
ko:K02795	lcx:LCA12A_0524
ko:K02793	lcx:LCA12A_0525
ko:K02794	lcx:LCA12A_0525
ko:K17073	lcx:LCA12A_0531
ko:K17074	lcx:LCA12A_0531
ko:K17076	lcx:LCA12A_0532
ko:K19168	lcx:LCA12A_0074
ko:K12952	lcx:LCA12A_1775
ko:K19265	lcx:LCA12A_0305
ko:K00020	lcx:LCA12A_1188
ko:K19302	lcx:LCA12A_0370
ko:K03722	lcx:LCA12A_0826
ko:K01992	lcx:LCA12A_1844
ko:K01992	lcx:LCA12A_2305
ko:K04771	lcx:LCA12A_0498
ko:K01215	lcx:LCA12A_2271
ko:K01215	lcx:LCA12A_2272
ko:K08217	lcx:LCA12A_2258
ko:K19302	lcx:LCA12A_2172
ko:K19350	lcx:LCA12A_2636
ko:K02031	lcx:LCA12A_1270
ko:K06881	lcx:LCA12A_0476
ko:K06881	lcx:LCA12A_0783
ko:K16960	lcx:LCA12A_2400
ko:K01992	lcx:LCA12A_2655
ko:K01990	lcx:LCA12A_1686
ko:K02796	lcx:LCA12A_2419
ko:K02796	lcx:LCA12A_0523
ko:K02796	lcx:LCA12A_0452
ko:K02796	lcx:LCA12A_0473
ko:K02796	lcx:LCA12A_2531
ko:K01977	lcx:LCA12A_2738
ko:K19689	lcx:LCA12A_2371
ko:K02538	lcx:LCA12A_0393
ko:K02538	lcx:LCA12A_0435
ko:K19802	lcx:LCA12A_2447
ko:K19802	lcx:LCA12A_0468
ko:K21636	lcx:LCA12A_1066
ko:K00527	lcx:LCA12A_1807
ko:K19975	lcx:LCA12A_1922
ko:K05770	lcx:LCA12A_1354
ko:K19976	lcx:LCA12A_1923
ko:K20074	lcx:LCA12A_1259
ko:K12132	lcx:LCA12A_1260
ko:K12132	lcx:LCA12A_2094
ko:K07484	lcx:LCA12A_1587
ko:K07484	lcx:LCA12A_1588
ko:K20112	lcx:LCA12A_1703
ko:K01977	lcx:LCA12A_2776
ko:K01977	lcx:LCA12A_2743
ko:K01980	lcx:LCA12A_2749
ko:K01980	lcx:LCA12A_2711
ko:K01980	lcx:LCA12A_2757
ko:K01980	lcx:LCA12A_2782
ko:K01980	lcx:LCA12A_2740
ko:K01985	lcx:LCA12A_2712
ko:K01985	lcx:LCA12A_2758
ko:K01985	lcx:LCA12A_2783
ko:K01985	lcx:LCA12A_2775
ko:K01985	lcx:LCA12A_2750
ko:K20114	lcx:LCA12A_1705
ko:K20113	lcx:LCA12A_1704
ko:K00525	lcx:LCA12A_1662
ko:K20345	lcx:LCA12A_1892
