ko:K19744	pael:T223_05460
ko:K02407	pael:T223_21600
ko:K06603	pael:T223_21605
ko:K02406	pael:T223_21610
ko:K02397	pael:T223_21635
ko:K02396	pael:T223_21640
ko:K02395	pael:T223_21645
ko:K02394	pael:T223_21650
ko:K02393	pael:T223_21655
ko:K02392	pael:T223_21660
ko:K02391	pael:T223_21665
ko:K02390	pael:T223_21670
ko:K02389	pael:T223_21675
ko:K02388	pael:T223_21680
ko:K02387	pael:T223_21685
ko:K01999	pael:T223_21700
ko:K01997	pael:T223_21705
ko:K01998	pael:T223_21710
ko:K01995	pael:T223_21715
ko:K01996	pael:T223_21720
ko:K03808	pael:T223_25935
ko:K03808	pael:T223_25940
ko:K17247	pael:T223_25970
ko:K17103	pael:T223_25980
ko:K00053	pael:T223_25985
ko:K01653	pael:T223_25990
ko:K01652	pael:T223_25995
ko:K05365	pael:T223_26015
ko:K07028	pael:T223_26020
ko:K02013	pael:T223_26045
ko:K02015	pael:T223_26050
ko:K02016	pael:T223_26055
ko:K07225	pael:T223_26060
ko:K14261	pael:T223_26090
ko:K07054	pael:T223_26100
ko:K06901	pael:T223_26115
ko:K06206	pael:T223_26125
ko:K06204	pael:T223_26135
ko:K01894	pael:T223_26140
ko:K00970	pael:T223_26160
ko:K00950	pael:T223_26165
ko:K00606	pael:T223_26170
ko:K01918	pael:T223_26175
ko:K01579	pael:T223_26180
ko:K01810	pael:T223_26185
ko:K01895	pael:T223_26190
ko:K00574	pael:T223_30390
ko:K00820	pael:T223_30405
ko:K04042	pael:T223_30420
ko:K02114	pael:T223_30425
ko:K02112	pael:T223_30430
ko:K02115	pael:T223_30435
ko:K02111	pael:T223_30440
ko:K02113	pael:T223_30445
ko:K02109	pael:T223_30450
ko:K02110	pael:T223_30455
ko:K02108	pael:T223_30460
ko:K02116	pael:T223_30465
ko:K03501	pael:T223_30480
ko:K03495	pael:T223_30485
ko:K03650	pael:T223_30495
ko:K03217	pael:T223_30500
ko:K03536	pael:T223_30505
ko:K00248	pael:T223_27680
ko:K03076	pael:T223_03535
ko:K02919	pael:T223_03540
ko:K02952	pael:T223_03545
ko:K02948	pael:T223_03550
ko:K02986	pael:T223_03555
ko:K03040	pael:T223_03560
ko:K02879	pael:T223_03565
ko:K03781	pael:T223_03570
ko:K03594	pael:T223_03575
ko:K03701	pael:T223_03580
ko:K04782	pael:T223_03600
ko:K12243	pael:T223_03615
ko:K06147	pael:T223_03640
ko:K16088	pael:T223_03645
ko:K01626	pael:T223_03695
ko:K00459	pael:T223_03745
ko:K01921	pael:T223_03750
ko:K00666	pael:T223_03765
ko:K02030	pael:T223_03780
ko:K02029	pael:T223_03785
ko:K02029	pael:T223_03790
ko:K02028	pael:T223_03795
ko:K01714	pael:T223_03815
ko:K04091	pael:T223_08080
ko:K15554	pael:T223_08085
ko:K15555	pael:T223_08090
ko:K09948	pael:T223_08105
ko:K07589	pael:T223_08110
ko:K01495	pael:T223_08115
ko:K13938	pael:T223_08120
ko:K09932	pael:T223_08125
ko:K06205	pael:T223_08130
ko:K06518	pael:T223_08140
ko:K01692	pael:T223_08170
ko:K06995	pael:T223_08175
ko:K00263	pael:T223_08210
ko:K00161	pael:T223_08215
ko:K00162	pael:T223_08220
ko:K00627	pael:T223_08225
ko:K09918	pael:T223_08240
ko:K03088	pael:T223_08255
ko:K16152	pael:T223_08265
ko:K12536	pael:T223_08275
ko:K12537	pael:T223_08280
ko:K01993	pael:T223_08300
ko:K01992	pael:T223_08305
ko:K00528	pael:T223_08325
ko:K07218	pael:T223_08345
ko:K00376	pael:T223_08350
ko:K00031	pael:T223_12635
ko:K00031	pael:T223_12640
ko:K03704	pael:T223_12645
ko:K06891	pael:T223_12650
ko:K03694	pael:T223_12655
ko:K02518	pael:T223_12660
ko:K00684	pael:T223_12670
ko:K00384	pael:T223_12675
ko:K03466	pael:T223_12680
ko:K03634	pael:T223_12685
ko:K07478	pael:T223_12690
ko:K01875	pael:T223_12695
ko:K02302	pael:T223_12700
ko:K07393	pael:T223_12705
ko:K11179	pael:T223_12715
ko:K07237	pael:T223_12720
ko:K07236	pael:T223_12725
ko:K07235	pael:T223_12730
ko:K00852	pael:T223_17230
ko:K02529	pael:T223_17235
ko:K10440	pael:T223_17240
ko:K10441	pael:T223_17245
ko:K10439	pael:T223_17250
ko:K11177	pael:T223_17320
ko:K11178	pael:T223_17325
ko:K13483	pael:T223_17330
ko:K03406	pael:T223_17335
ko:K03790	pael:T223_17345
ko:K00549	pael:T223_17350
ko:K09136	pael:T223_17355
ko:K02230	pael:T223_17370
ko:K16089	pael:T223_17375
ko:K06995	pael:T223_17410
ko:K09684	pael:T223_17420
ko:K03088	pael:T223_17435
ko:K02014	pael:T223_17445
ko:K13063	pael:T223_17485
ko:K04079	pael:T223_21730
ko:K08985	pael:T223_21750
ko:K01738	pael:T223_21765
ko:K05564	pael:T223_21775
ko:K05563	pael:T223_21780
ko:K05562	pael:T223_21785
ko:K05561	pael:T223_21790
ko:K05560	pael:T223_21795
ko:K05559	pael:T223_21800
ko:K06077	pael:T223_21805
ko:K00865	pael:T223_21815
ko:K03299	pael:T223_21820
ko:K02647	pael:T223_21825
ko:K00275	pael:T223_21830
ko:K08993	pael:T223_21865
ko:K09858	pael:T223_21880
ko:K07116	pael:T223_21915
ko:K09760	pael:T223_21920
ko:K00128	pael:T223_21940
ko:K00459	pael:T223_21960
ko:K08196	pael:T223_21990
ko:K00962	pael:T223_26225
ko:K02956	pael:T223_26230
ko:K03177	pael:T223_26235
ko:K02834	pael:T223_26240
ko:K02519	pael:T223_26245
ko:K02600	pael:T223_26250
ko:K09748	pael:T223_26255
ko:K03075	pael:T223_26270
ko:K01803	pael:T223_26275
ko:K03431	pael:T223_26280
ko:K00796	pael:T223_26285
ko:K03798	pael:T223_26290
ko:K02427	pael:T223_26295
ko:K07574	pael:T223_26300
ko:K03624	pael:T223_26310
ko:K01955	pael:T223_26315
ko:K11250	pael:T223_26320
ko:K01956	pael:T223_26325
ko:K00215	pael:T223_26330
ko:K03686	pael:T223_26335
ko:K04043	pael:T223_26340
ko:K03687	pael:T223_26345
ko:K03631	pael:T223_26350
ko:K03711	pael:T223_26355
ko:K06186	pael:T223_26360
ko:K09801	pael:T223_26365
ko:K03664	pael:T223_26375
ko:K03303	pael:T223_26385
ko:K00101	pael:T223_26390
ko:K01611	pael:T223_26400
ko:K00797	pael:T223_26405
ko:K09962	pael:T223_26430
ko:K15268	pael:T223_26435
ko:K07178	pael:T223_26440
ko:K00626	pael:T223_26465
ko:K06219	pael:T223_26490
ko:K08368	pael:T223_03820
ko:K07734	pael:T223_03845
ko:K01652	pael:T223_03855
ko:K03769	pael:T223_03875
ko:K01142	pael:T223_03895
ko:K05520	pael:T223_03900
ko:K16088	pael:T223_03915
ko:K06222	pael:T223_03920
ko:K00375	pael:T223_03930
ko:K01426	pael:T223_03940
ko:K02015	pael:T223_03950
ko:K02015	pael:T223_03955
ko:K02016	pael:T223_03960
ko:K02013	pael:T223_03965
ko:K07184	pael:T223_03985
ko:K00627	pael:T223_03995
ko:K12340	pael:T223_04035
ko:K13409	pael:T223_04040
ko:K13408	pael:T223_04045
ko:K01866	pael:T223_04065
ko:K07552	pael:T223_04075
ko:K00404	pael:T223_04090
ko:K02041	pael:T223_08390
ko:K02044	pael:T223_08395
ko:K02042	pael:T223_08400
ko:K02043	pael:T223_08405
ko:K06166	pael:T223_08410
ko:K06165	pael:T223_08415
ko:K06164	pael:T223_08420
ko:K06163	pael:T223_08425
ko:K05781	pael:T223_08430
ko:K03579	pael:T223_04975
ko:K17228	pael:T223_05010
ko:K09945	pael:T223_05020
ko:K07007	pael:T223_05035
ko:K07690	pael:T223_05040
ko:K07679	pael:T223_05050
ko:K10805	pael:T223_05070
ko:K03530	pael:T223_05080
ko:K15551	pael:T223_05090
ko:K10831	pael:T223_05095
ko:K15552	pael:T223_05100
ko:K03119	pael:T223_05105
ko:K02168	pael:T223_05115
ko:K02073	pael:T223_05125
ko:K00425	pael:T223_05130
ko:K00426	pael:T223_05135
ko:K00626	pael:T223_05155
ko:K00666	pael:T223_05160
ko:K03556	pael:T223_05175
ko:K17686	pael:T223_05180
ko:K07175	pael:T223_05185
ko:K03637	pael:T223_05190
ko:K03636	pael:T223_05195
ko:K03635	pael:T223_05200
ko:K03638	pael:T223_05205
ko:K03750	pael:T223_05210
ko:K08303	pael:T223_05215
ko:K03312	pael:T223_09505
ko:K01479	pael:T223_09510
ko:K00568	pael:T223_09530
ko:K08963	pael:T223_09540
ko:K02469	pael:T223_09545
ko:K00831	pael:T223_09550
ko:K14170	pael:T223_09555
ko:K00817	pael:T223_09560
ko:K00800	pael:T223_09565
ko:K00945	pael:T223_09570
ko:K02945	pael:T223_09575
ko:K05788	pael:T223_09580
ko:K02473	pael:T223_09605
ko:K13007	pael:T223_09645
ko:K02237	pael:T223_09655
ko:K00832	pael:T223_09665
ko:K03702	pael:T223_09670
ko:K03446	pael:T223_09675
ko:K03543	pael:T223_09680
ko:K01885	pael:T223_09690
ko:K01625	pael:T223_09725
ko:K07107	pael:T223_09730
ko:K05541	pael:T223_09735
ko:K04080	pael:T223_09750
ko:K01703	pael:T223_09775
ko:K01704	pael:T223_09780
ko:K00052	pael:T223_09790
ko:K02040	pael:T223_14100
ko:K01142	pael:T223_14115
ko:K07278	pael:T223_14125
ko:K09800	pael:T223_14130
ko:K00995	pael:T223_14135
ko:K00981	pael:T223_14160
ko:K03310	pael:T223_14175
ko:K11065	pael:T223_14180
ko:K00817	pael:T223_14185
ko:K07799	pael:T223_14200
ko:K07788	pael:T223_14205
ko:K07789	pael:T223_14210
ko:K07644	pael:T223_14225
ko:K07665	pael:T223_14230
ko:K15725	pael:T223_14235
ko:K15727	pael:T223_14240
ko:K15726	pael:T223_14245
ko:K05549	pael:T223_14255
ko:K05550	pael:T223_14260
ko:K05784	pael:T223_14265
ko:K05783	pael:T223_14270
ko:K03464	pael:T223_14305
ko:K03381	pael:T223_14310
ko:K03449	pael:T223_14345
ko:K09880	pael:T223_18640
ko:K08967	pael:T223_18645
ko:K05780	pael:T223_08435
ko:K06162	pael:T223_08440
ko:K05774	pael:T223_08445
ko:K06167	pael:T223_08450
ko:K01426	pael:T223_08515
ko:K01999	pael:T223_08525
ko:K01753	pael:T223_08560
ko:K01915	pael:T223_08565
ko:K09931	pael:T223_08575
ko:K02399	pael:T223_08585
ko:K02398	pael:T223_08590
ko:K02386	pael:T223_08595
ko:K03415	pael:T223_08600
ko:K00575	pael:T223_08605
ko:K03654	pael:T223_08625
ko:K06075	pael:T223_08640
ko:K04091	pael:T223_13135
ko:K02051	pael:T223_13140
ko:K04091	pael:T223_13145
ko:K15553	pael:T223_13155
ko:K15553	pael:T223_13160
ko:K15553	pael:T223_13165
ko:K14257	pael:T223_13175
ko:K01626	pael:T223_17495
ko:K01434	pael:T223_17535
ko:K00799	pael:T223_17550
ko:K01714	pael:T223_17565
ko:K02336	pael:T223_17570
ko:K00330	pael:T223_17585
ko:K07302	pael:T223_17595
ko:K07303	pael:T223_17600
ko:K07023	pael:T223_17610
ko:K12542	pael:T223_17615
ko:K12541	pael:T223_17620
ko:K12543	pael:T223_17625
ko:K16074	pael:T223_17635
ko:K02453	pael:T223_17660
ko:K02452	pael:T223_17665
ko:K02020	pael:T223_17690
ko:K02018	pael:T223_17695
ko:K02017	pael:T223_17700
ko:K09781	pael:T223_17720
ko:K00404	pael:T223_17725
ko:K07168	pael:T223_17735
ko:K09984	pael:T223_17760
ko:K07400	pael:T223_17770
ko:K01923	pael:T223_22030
ko:K07287	pael:T223_22040
ko:K01714	pael:T223_22045
ko:K03567	pael:T223_22050
ko:K03564	pael:T223_22055
ko:K03548	pael:T223_22060
ko:K03517	pael:T223_22075
ko:K01658	pael:T223_22085
ko:K01657	pael:T223_22090
ko:K00567	pael:T223_22120
ko:K07347	pael:T223_22125
ko:K06920	pael:T223_22165
ko:K10026	pael:T223_22170
ko:K03640	pael:T223_22180
ko:K03641	pael:T223_22185
ko:K03560	pael:T223_22195
ko:K03562	pael:T223_22200
ko:K01075	pael:T223_22205
ko:K03551	pael:T223_22210
ko:K03550	pael:T223_22215
ko:K01159	pael:T223_22220
ko:K01876	pael:T223_22230
ko:K04047	pael:T223_22235
ko:K03704	pael:T223_22240
ko:K03745	pael:T223_22245
ko:K01881	pael:T223_22265
ko:K01512	pael:T223_22275
ko:K01126	pael:T223_26500
ko:K03833	pael:T223_26580
ko:K01042	pael:T223_26585
ko:K02380	pael:T223_26590
ko:K00127	pael:T223_26595
ko:K00124	pael:T223_26600
ko:K00123	pael:T223_26605
ko:K00123	pael:T223_26610
ko:K00219	pael:T223_26620
ko:K09936	pael:T223_26625
ko:K06940	pael:T223_26635
ko:K03327	pael:T223_26655
ko:K03324	pael:T223_26665
ko:K01531	pael:T223_26680
ko:K00675	pael:T223_26690
ko:K08983	pael:T223_26695
ko:K00382	pael:T223_26700
ko:K07124	pael:T223_26715
ko:K11068	pael:T223_26720
ko:K02014	pael:T223_26740
ko:K01585	pael:T223_26750
ko:K03113	pael:T223_26755
ko:K08964	pael:T223_18650
ko:K05820	pael:T223_18655
ko:K01736	pael:T223_18660
ko:K06889	pael:T223_18665
ko:K07320	pael:T223_18675
ko:K01495	pael:T223_18695
ko:K06996	pael:T223_18705
ko:K11915	pael:T223_18715
ko:K11891	pael:T223_18720
ko:K11892	pael:T223_18725
ko:K11893	pael:T223_18730
ko:K11906	pael:T223_18735
ko:K11907	pael:T223_18755
ko:K11895	pael:T223_18760
ko:K11896	pael:T223_18765
ko:K11905	pael:T223_18775
ko:K11900	pael:T223_18780
ko:K11901	pael:T223_18785
ko:K11910	pael:T223_18790
ko:K00799	pael:T223_18795
ko:K05782	pael:T223_18815
ko:K03453	pael:T223_18820
ko:K03406	pael:T223_18840
ko:K06917	pael:T223_18860
ko:K01008	pael:T223_18865
ko:K07001	pael:T223_18875
ko:K01425	pael:T223_18885
ko:K07667	pael:T223_18890
ko:K07646	pael:T223_18895
ko:K01548	pael:T223_18900
ko:K01547	pael:T223_18905
ko:K01546	pael:T223_18910
ko:K03417	pael:T223_23190
ko:K01720	pael:T223_23210
ko:K07090	pael:T223_23220
ko:K01118	pael:T223_23255
ko:K11928	pael:T223_23265
ko:K13821	pael:T223_23270
ko:K02014	pael:T223_23275
ko:K01338	pael:T223_23285
ko:K14475	pael:T223_23290
ko:K02030	pael:T223_23295
ko:K15256	pael:T223_23305
ko:K15257	pael:T223_23310
ko:K03474	pael:T223_23315
ko:K03584	pael:T223_23320
ko:K03685	pael:T223_23330
ko:K03100	pael:T223_23340
ko:K03596	pael:T223_23345
ko:K03803	pael:T223_23355
ko:K03598	pael:T223_23360
ko:K03597	pael:T223_23365
ko:K03088	pael:T223_23370
ko:K00278	pael:T223_23375
ko:K09159	pael:T223_23385
ko:K06980	pael:T223_23390
ko:K07649	pael:T223_23400
ko:K07774	pael:T223_23405
ko:K02848	pael:T223_27625
ko:K02844	pael:T223_27630
ko:K02841	pael:T223_27635
ko:K02843	pael:T223_27640
ko:K00826	pael:T223_27645
ko:K00982	pael:T223_27650
ko:K00163	pael:T223_27655
ko:K00627	pael:T223_27660
ko:K07304	pael:T223_27670
ko:K07115	pael:T223_27675
ko:K11105	pael:T223_27685
ko:K05802	pael:T223_27690
ko:K07090	pael:T223_27700
ko:K01740	pael:T223_27705
ko:K08224	pael:T223_27730
ko:K01599	pael:T223_27750
ko:K00266	pael:T223_27755
ko:K00265	pael:T223_27760
ko:K03112	pael:T223_27765
ko:K01735	pael:T223_27770
ko:K00891	pael:T223_27775
ko:K02666	pael:T223_27780
ko:K02665	pael:T223_27785
ko:K02662	pael:T223_27800
ko:K05366	pael:T223_27805
ko:K00029	pael:T223_27810
ko:K02909	pael:T223_27825
ko:K04066	pael:T223_27830
ko:K01887	pael:T223_27835
ko:K01419	pael:T223_27845
ko:K03667	pael:T223_27850
ko:K03821	pael:T223_27860
ko:K03821	pael:T223_27870
ko:K00381	pael:T223_04105
ko:K02510	pael:T223_04115
ko:K02509	pael:T223_04120
ko:K01826	pael:T223_04130
ko:K00455	pael:T223_04135
ko:K00151	pael:T223_04140
ko:K05921	pael:T223_04145
ko:K05921	pael:T223_04150
ko:K02508	pael:T223_04155
ko:K06966	pael:T223_04180
ko:K00657	pael:T223_04185
ko:K08159	pael:T223_04190
ko:K09930	pael:T223_04230
ko:K09929	pael:T223_04235
ko:K15977	pael:T223_04240
ko:K07267	pael:T223_04270
ko:K00484	pael:T223_04320
ko:K00483	pael:T223_04325
ko:K09956	pael:T223_04330
ko:K00059	pael:T223_04335
ko:K01845	pael:T223_04340
ko:K07345	pael:T223_04350
ko:K07347	pael:T223_04360
ko:K07687	pael:T223_04380
ko:K07001	pael:T223_08650
ko:K07401	pael:T223_08655
ko:K03274	pael:T223_08660
ko:K02078	pael:T223_08675
ko:K00648	pael:T223_08680
ko:K01358	pael:T223_08715
ko:K07044	pael:T223_08720
ko:K09936	pael:T223_08745
ko:K01114	pael:T223_08750
ko:K02042	pael:T223_08765
ko:K02042	pael:T223_08770
ko:K02041	pael:T223_08775
ko:K02044	pael:T223_08780
ko:K03760	pael:T223_08795
ko:K03580	pael:T223_08805
ko:K01897	pael:T223_08860
ko:K01897	pael:T223_08865
ko:K03578	pael:T223_08875
ko:K01077	pael:T223_08880
ko:K02503	pael:T223_08885
ko:K16872	pael:T223_08920
ko:K03088	pael:T223_08925
ko:K01993	pael:T223_13235
ko:K15555	pael:T223_00930
ko:K15554	pael:T223_00935
ko:K15553	pael:T223_00940
ko:K01113	pael:T223_05230
ko:K07004	pael:T223_05235
ko:K02837	pael:T223_05265
ko:K16091	pael:T223_05275
ko:K03088	pael:T223_05285
ko:K00090	pael:T223_05300
ko:K05847	pael:T223_05330
ko:K05846	pael:T223_05335
ko:K05845	pael:T223_05340
ko:K05846	pael:T223_05345
ko:K03316	pael:T223_05350
ko:K07684	pael:T223_05395
ko:K07673	pael:T223_05400
ko:K02575	pael:T223_05405
ko:K02575	pael:T223_05410
ko:K00370	pael:T223_05415
ko:K00371	pael:T223_05420
ko:K00373	pael:T223_05425
ko:K00374	pael:T223_05430
ko:K03769	pael:T223_05435
ko:K03639	pael:T223_05440
ko:K10022	pael:T223_05445
ko:K03732	pael:T223_05465
ko:K00666	pael:T223_05470
ko:K06999	pael:T223_05475
ko:K09969	pael:T223_05480
ko:K01004	pael:T223_05485
ko:K07461	pael:T223_05500
ko:K00133	pael:T223_09795
ko:K08086	pael:T223_09805
ko:K06173	pael:T223_09810
ko:K01817	pael:T223_09815
ko:K01963	pael:T223_09820
ko:K11754	pael:T223_09825
ko:K03749	pael:T223_09830
ko:K03558	pael:T223_09835
ko:K00764	pael:T223_09840
ko:K10764	pael:T223_09845
ko:K02453	pael:T223_09855
ko:K02452	pael:T223_09860
ko:K02454	pael:T223_09865
ko:K02455	pael:T223_09870
ko:K02456	pael:T223_09875
ko:K02457	pael:T223_09880
ko:K02458	pael:T223_09885
ko:K02459	pael:T223_09890
ko:K02460	pael:T223_09895
ko:K02461	pael:T223_09900
ko:K02462	pael:T223_09905
ko:K00219	pael:T223_09940
ko:K09977	pael:T223_09955
ko:K00858	pael:T223_09960
ko:K02441	pael:T223_09970
ko:K09916	pael:T223_09975
ko:K01256	pael:T223_09985
ko:K07114	pael:T223_10030
ko:K07114	pael:T223_10035
ko:K03924	pael:T223_10050
ko:K15371	pael:T223_10060
ko:K04084	pael:T223_14455
ko:K03805	pael:T223_14465
ko:K08195	pael:T223_14485
ko:K16165	pael:T223_14490
ko:K00450	pael:T223_14495
ko:K03088	pael:T223_14505
ko:K02014	pael:T223_14515
ko:K15125	pael:T223_14535
ko:K07214	pael:T223_14575
ko:K02437	pael:T223_14600
ko:K00281	pael:T223_14605
ko:K00600	pael:T223_14610
ko:K01752	pael:T223_14615
ko:K00605	pael:T223_14620
ko:K04087	pael:T223_14640
ko:K01545	pael:T223_18915
ko:K06446	pael:T223_18920
ko:K03449	pael:T223_18945
ko:K08296	pael:T223_18995
ko:K00057	pael:T223_19005
ko:K02014	pael:T223_19010
ko:K01716	pael:T223_19025
ko:K00647	pael:T223_19030
ko:K03406	pael:T223_19035
ko:K00606	pael:T223_19085
ko:K04079	pael:T223_19095
ko:K03311	pael:T223_19120
ko:K01902	pael:T223_19125
ko:K01903	pael:T223_19130
ko:K00382	pael:T223_19135
ko:K00658	pael:T223_19140
ko:K00164	pael:T223_19145
ko:K00240	pael:T223_19150
ko:K00239	pael:T223_19155
ko:K00242	pael:T223_19160
ko:K00241	pael:T223_19165
ko:K01647	pael:T223_19170
ko:K06940	pael:T223_19180
ko:K07795	pael:T223_23415
ko:K07793	pael:T223_23425
ko:K07120	pael:T223_23430
ko:K11073	pael:T223_13270
ko:K02014	pael:T223_13280
ko:K03703	pael:T223_13305
ko:K07213	pael:T223_13350
ko:K04755	pael:T223_13365
ko:K00382	pael:T223_13385
ko:K16264	pael:T223_13425
ko:K01534	pael:T223_13445
ko:K01627	pael:T223_13520
ko:K00548	pael:T223_17790
ko:K06941	pael:T223_17810
ko:K00381	pael:T223_17825
ko:K04774	pael:T223_17855
ko:K00059	pael:T223_17880
ko:K07090	pael:T223_17895
ko:K03426	pael:T223_17900
ko:K01692	pael:T223_17910
ko:K03314	pael:T223_17915
ko:K03294	pael:T223_17920
ko:K01584	pael:T223_17925
ko:K02342	pael:T223_17935
ko:K03469	pael:T223_17940
ko:K01069	pael:T223_17950
ko:K13893	pael:T223_17960
ko:K13893	pael:T223_17965
ko:K13894	pael:T223_17970
ko:K13895	pael:T223_17975
ko:K13896	pael:T223_17980
ko:K00208	pael:T223_17985
ko:K03770	pael:T223_17990
ko:K03530	pael:T223_18000
ko:K01338	pael:T223_18005
ko:K03544	pael:T223_18010
ko:K01358	pael:T223_18015
ko:K03545	pael:T223_18020
ko:K01491	pael:T223_18070
ko:K07058	pael:T223_22295
ko:K00537	pael:T223_22300
ko:K03809	pael:T223_22305
ko:K10763	pael:T223_22315
ko:K09938	pael:T223_22320
ko:K01933	pael:T223_22325
ko:K11175	pael:T223_22330
ko:K09912	pael:T223_22370
ko:K04765	pael:T223_22380
ko:K00951	pael:T223_22385
ko:K03215	pael:T223_22390
ko:K12339	pael:T223_22395
ko:K07678	pael:T223_22415
ko:K03778	pael:T223_22420
ko:K07014	pael:T223_22435
ko:K02346	pael:T223_22440
ko:K14205	pael:T223_22460
ko:K12262	pael:T223_22470
ko:K03549	pael:T223_22475
ko:K14441	pael:T223_22480
ko:K06213	pael:T223_22495
ko:K03563	pael:T223_22550
ko:K00928	pael:T223_22555
ko:K01872	pael:T223_22560
ko:K01620	pael:T223_22565
ko:K05526	pael:T223_22570
ko:K04084	pael:T223_26780
ko:K03786	pael:T223_26785
ko:K02160	pael:T223_26790
ko:K01961	pael:T223_26795
ko:K02687	pael:T223_26805
ko:K05540	pael:T223_26815
ko:K03557	pael:T223_26820
ko:K00602	pael:T223_26825
ko:K01945	pael:T223_26830
ko:K05595	pael:T223_26840
ko:K11959	pael:T223_26850
ko:K11960	pael:T223_26855
ko:K11961	pael:T223_26860
ko:K11962	pael:T223_26865
ko:K11963	pael:T223_26870
ko:K03190	pael:T223_26880
ko:K01430	pael:T223_26885
ko:K03823	pael:T223_26890
ko:K01429	pael:T223_26895
ko:K01428	pael:T223_26900
ko:K04046	pael:T223_26925
ko:K04064	pael:T223_26940
ko:K07290	pael:T223_26955
ko:K03594	pael:T223_26960
ko:K07665	pael:T223_26985
ko:K07644	pael:T223_26990
ko:K00508	pael:T223_27000
ko:K03187	pael:T223_27015
ko:K03188	pael:T223_27020
ko:K03189	pael:T223_27025
ko:K03192	pael:T223_27030
ko:K03088	pael:T223_27040
ko:K16087	pael:T223_27045
ko:K03648	pael:T223_23435
ko:K00140	pael:T223_23450
ko:K07118	pael:T223_23480
ko:K06183	pael:T223_23530
ko:K09982	pael:T223_23565
ko:K03824	pael:T223_23570
ko:K01759	pael:T223_23575
ko:K11530	pael:T223_23580
ko:K01426	pael:T223_23605
ko:K03559	pael:T223_23660
ko:K03561	pael:T223_23665
ko:K03183	pael:T223_27895
ko:K03690	pael:T223_27900
ko:K03688	pael:T223_27905
ko:K01496	pael:T223_27910
ko:K01523	pael:T223_27915
ko:K03116	pael:T223_27920
ko:K03117	pael:T223_27925
ko:K03118	pael:T223_27930
ko:K03406	pael:T223_27940
ko:K02028	pael:T223_27950
ko:K02029	pael:T223_27955
ko:K02030	pael:T223_27960
ko:K03669	pael:T223_27965
ko:K03670	pael:T223_27970
ko:K07560	pael:T223_27975
ko:K01259	pael:T223_27980
ko:K10001	pael:T223_27990
ko:K00285	pael:T223_28000
ko:K07126	pael:T223_28010
ko:K01479	pael:T223_28025
ko:K01468	pael:T223_28030
ko:K01745	pael:T223_28035
ko:K02000	pael:T223_28040
ko:K02001	pael:T223_28045
ko:K02002	pael:T223_28050
ko:K01745	pael:T223_28060
ko:K03457	pael:T223_28065
ko:K01712	pael:T223_28070
ko:K02002	pael:T223_28085
ko:K09975	pael:T223_28090
ko:K05836	pael:T223_28095
ko:K05603	pael:T223_28100
ko:K03098	pael:T223_28105
ko:K03841	pael:T223_28120
ko:K01759	pael:T223_28125
ko:K12686	pael:T223_28130
ko:K07729	pael:T223_04395
ko:K00067	pael:T223_04435
ko:K01784	pael:T223_04440
ko:K07275	pael:T223_04450
ko:K09950	pael:T223_04455
ko:K02004	pael:T223_04460
ko:K02003	pael:T223_04465
ko:K05838	pael:T223_04480
ko:K07738	pael:T223_04495
ko:K11752	pael:T223_04500
ko:K00793	pael:T223_04505
ko:K14652	pael:T223_04510
ko:K00794	pael:T223_04515
ko:K03625	pael:T223_04520
ko:K00946	pael:T223_04525
ko:K01095	pael:T223_04530
ko:K06985	pael:T223_04540
ko:K01497	pael:T223_04545
ko:K01662	pael:T223_04560
ko:K13789	pael:T223_04565
ko:K03602	pael:T223_04570
ko:K01992	pael:T223_04590
ko:K01990	pael:T223_04595
ko:K06188	pael:T223_04610
ko:K01507	pael:T223_04625
ko:K09933	pael:T223_04630
ko:K03975	pael:T223_04635
ko:K02030	pael:T223_04645
ko:K03736	pael:T223_04655
ko:K03735	pael:T223_04660
ko:K09930	pael:T223_08940
ko:K09929	pael:T223_08945
ko:K07221	pael:T223_08955
ko:K07221	pael:T223_08960
ko:K09771	pael:T223_08980
ko:K03724	pael:T223_08995
ko:K16091	pael:T223_09015
ko:K03704	pael:T223_09025
ko:K03453	pael:T223_09035
ko:K03554	pael:T223_09040
ko:K03773	pael:T223_09055
ko:K03797	pael:T223_09090
ko:K02052	pael:T223_09105
ko:K02053	pael:T223_09110
ko:K02054	pael:T223_09115
ko:K02055	pael:T223_09125
ko:K03817	pael:T223_09135
ko:K06177	pael:T223_09145
ko:K03608	pael:T223_09150
ko:K03609	pael:T223_09155
ko:K03610	pael:T223_09160
ko:K02517	pael:T223_09165
ko:K07001	pael:T223_09170
ko:K06911	pael:T223_09175
ko:K04754	pael:T223_09180
ko:K02002	pael:T223_09195
ko:K14393	pael:T223_09205
ko:K07182	pael:T223_09210
ko:K02342	pael:T223_09215
ko:K03630	pael:T223_13570
ko:K01883	pael:T223_18075
ko:K01886	pael:T223_18080
ko:K03768	pael:T223_18085
ko:K03269	pael:T223_18090
ko:K06169	pael:T223_18100
ko:K06938	pael:T223_18110
ko:K01682	pael:T223_18115
ko:K02575	pael:T223_18135
ko:K00362	pael:T223_18145
ko:K00363	pael:T223_18150
ko:K00372	pael:T223_18155
ko:K02303	pael:T223_18160
ko:K03286	pael:T223_18165
ko:K03088	pael:T223_18170
ko:K16074	pael:T223_18185
ko:K02553	pael:T223_18190
ko:K09773	pael:T223_18205
ko:K03556	pael:T223_18250
ko:K03556	pael:T223_18255
