ko:K02030	bsx:C663_2279
ko:K00014	bsx:C663_2450
ko:K07015	bsx:C663_2452
ko:K06371	bsx:C663_2453
ko:K13015	bsx:C663_3267
ko:K01689	bsx:C663_3270
ko:K15633	bsx:C663_3271
ko:K01803	bsx:C663_3272
ko:K00927	bsx:C663_3273
ko:K00134	bsx:C663_3274
ko:K05311	bsx:C663_3275
ko:K02103	bsx:C663_3277
ko:K00782	bsx:C663_3283
ko:K07693	bsx:C663_3286
ko:K07778	bsx:C663_3287
ko:K01224	bsx:C663_3292
ko:K12308	bsx:C663_3293
ko:K15772	bsx:C663_3294
ko:K15771	bsx:C663_3295
ko:K02529	bsx:C663_3297
ko:K03303	bsx:C663_3300
ko:K03092	bsx:C663_3301
ko:K01951	bsx:C663_0656
ko:K03088	bsx:C663_0657
ko:K06901	bsx:C663_0659
ko:K01588	bsx:C663_0664
ko:K01589	bsx:C663_0665
ko:K01756	bsx:C663_0666
ko:K01923	bsx:C663_0667
ko:K01952	bsx:C663_0668
ko:K01952	bsx:C663_0669
ko:K01952	bsx:C663_0670
ko:K00764	bsx:C663_0671
ko:K01933	bsx:C663_0672
ko:K11175	bsx:C663_0673
ko:K00602	bsx:C663_0674
ko:K01945	bsx:C663_0675
ko:K16263	bsx:C663_0677
ko:K01486	bsx:C663_0679
ko:K03657	bsx:C663_0685
ko:K01972	bsx:C663_0686
ko:K07507	bsx:C663_0689
ko:K02435	bsx:C663_0691
ko:K02434	bsx:C663_0693
ko:K03215	bsx:C663_0697
ko:K06383	bsx:C663_1575
ko:K03091	bsx:C663_1576
ko:K03091	bsx:C663_1577
ko:K02013	bsx:C663_1578
ko:K05810	bsx:C663_1581
ko:K06997	bsx:C663_1582
ko:K09772	bsx:C663_1583
ko:K02221	bsx:C663_1584
ko:K04074	bsx:C663_1586
ko:K01870	bsx:C663_1587
ko:K03101	bsx:C663_1589
ko:K06180	bsx:C663_1590
ko:K02825	bsx:C663_1591
ko:K00609	bsx:C663_1593
ko:K01465	bsx:C663_1594
ko:K01956	bsx:C663_1595
ko:K01955	bsx:C663_1596
ko:K01591	bsx:C663_1599
ko:K00762	bsx:C663_1600
ko:K00390	bsx:C663_1601
ko:K16331	bsx:C663_1602
ko:K00958	bsx:C663_1603
ko:K00860	bsx:C663_1604
ko:K02304	bsx:C663_1607
ko:K09777	bsx:C663_1611
ko:K00942	bsx:C663_1612
ko:K03060	bsx:C663_1613
ko:K13038	bsx:C663_1614
ko:K04066	bsx:C663_1615
ko:K01462	bsx:C663_1616
ko:K00604	bsx:C663_1617
ko:K03500	bsx:C663_1618
ko:K06941	bsx:C663_1619
ko:K06949	bsx:C663_1622
ko:K01783	bsx:C663_1623
ko:K02902	bsx:C663_1626
ko:K03091	bsx:C663_2460
ko:K13256	bsx:C663_2463
ko:K07148	bsx:C663_2466
ko:K08153	bsx:C663_2495
ko:K16264	bsx:C663_2502
ko:K03311	bsx:C663_2505
ko:K00459	bsx:C663_2516
ko:K01776	bsx:C663_2517
ko:K03088	bsx:C663_2520
ko:K13727	bsx:C663_3321
ko:K01779	bsx:C663_3323
ko:K00692	bsx:C663_3329
ko:K01358	bsx:C663_3340
ko:K15772	bsx:C663_3345
ko:K15771	bsx:C663_3346
ko:K06966	bsx:C663_3351
ko:K03321	bsx:C663_3353
ko:K01673	bsx:C663_3354
ko:K02003	bsx:C663_3357
ko:K00675	bsx:C663_3361
ko:K11184	bsx:C663_3362
ko:K06958	bsx:C663_3365
ko:K00384	bsx:C663_3367
ko:K11755	bsx:C663_3374
ko:K16137	bsx:C663_0713
ko:K06332	bsx:C663_0716
ko:K06333	bsx:C663_0717
ko:K06334	bsx:C663_0718
ko:K07718	bsx:C663_0722
ko:K15532	bsx:C663_0727
ko:K07406	bsx:C663_0741
ko:K06890	bsx:C663_0748
ko:K00978	bsx:C663_0753
ko:K01709	bsx:C663_0754
ko:K08223	bsx:C663_0758
ko:K15738	bsx:C663_0763
ko:K01752	bsx:C663_1629
ko:K01752	bsx:C663_1630
ko:K03655	bsx:C663_1631
ko:K03621	bsx:C663_1633
ko:K00645	bsx:C663_1634
ko:K02078	bsx:C663_1636
ko:K03685	bsx:C663_1637
ko:K03529	bsx:C663_1638
ko:K03110	bsx:C663_1639
ko:K03106	bsx:C663_1642
ko:K02959	bsx:C663_1643
ko:K06960	bsx:C663_1644
ko:K02860	bsx:C663_1646
ko:K00554	bsx:C663_1647
ko:K02884	bsx:C663_1648
ko:K14540	bsx:C663_1649
ko:K03470	bsx:C663_1650
ko:K04061	bsx:C663_1652
ko:K01903	bsx:C663_1653
ko:K01902	bsx:C663_1654
ko:K04096	bsx:C663_1655
ko:K03168	bsx:C663_1656
ko:K03733	bsx:C663_1658
ko:K01419	bsx:C663_1659
ko:K03667	bsx:C663_1660
ko:K03706	bsx:C663_1661
ko:K02387	bsx:C663_1662
ko:K02388	bsx:C663_1663
ko:K02408	bsx:C663_1664
ko:K02409	bsx:C663_1665
ko:K02410	bsx:C663_1666
ko:K02411	bsx:C663_1667
ko:K02412	bsx:C663_1668
ko:K02413	bsx:C663_1669
ko:K02389	bsx:C663_1673
ko:K02390	bsx:C663_1674
ko:K02385	bsx:C663_1675
ko:K02415	bsx:C663_1676
ko:K02416	bsx:C663_1677
ko:K02417	bsx:C663_1678
ko:K03413	bsx:C663_1679
ko:K02418	bsx:C663_1680
ko:K02419	bsx:C663_1681
ko:K02420	bsx:C663_1682
ko:K02421	bsx:C663_1683
ko:K06439	bsx:C663_2532
ko:K13979	bsx:C663_2535
ko:K05520	bsx:C663_2536
ko:K11737	bsx:C663_2543
ko:K00123	bsx:C663_2559
ko:K03624	bsx:C663_2569
ko:K00876	bsx:C663_2570
ko:K08303	bsx:C663_2571
ko:K08303	bsx:C663_2572
ko:K07082	bsx:C663_2574
ko:K07447	bsx:C663_2576
ko:K02500	bsx:C663_3376
ko:K01814	bsx:C663_3377
ko:K02501	bsx:C663_3378
ko:K00013	bsx:C663_3380
ko:K00765	bsx:C663_3381
ko:K02502	bsx:C663_3382
ko:K13292	bsx:C663_3388
ko:K01443	bsx:C663_3390
ko:K03710	bsx:C663_3392
ko:K08972	bsx:C663_3394
ko:K02406	bsx:C663_3399
ko:K03701	bsx:C663_3401
ko:K03702	bsx:C663_3402
ko:K03797	bsx:C663_3409
ko:K09811	bsx:C663_3410
ko:K09812	bsx:C663_3411
ko:K02836	bsx:C663_3414
ko:K03070	bsx:C663_3415
ko:K02423	bsx:C663_3418
ko:K02422	bsx:C663_3419
ko:K02407	bsx:C663_3420
ko:K03563	bsx:C663_3423
ko:K13626	bsx:C663_3424
ko:K02397	bsx:C663_3426
ko:K02396	bsx:C663_3427
ko:K02398	bsx:C663_3429
ko:K02013	bsx:C663_0773
ko:K02015	bsx:C663_0774
ko:K02015	bsx:C663_0775
ko:K02016	bsx:C663_0776
ko:K01728	bsx:C663_0779
ko:K03319	bsx:C663_0780
ko:K00491	bsx:C663_0787
ko:K01512	bsx:C663_0788
ko:K01265	bsx:C663_0793
ko:K02803	bsx:C663_0794
ko:K02804	bsx:C663_0794
ko:K03310	bsx:C663_0797
ko:K06295	bsx:C663_0801
ko:K02818	bsx:C663_0802
ko:K02819	bsx:C663_0802
ko:K05520	bsx:C663_0807
ko:K07058	bsx:C663_0812
ko:K07300	bsx:C663_0815
ko:K03284	bsx:C663_0823
ko:K01247	bsx:C663_0824
ko:K03215	bsx:C663_0825
ko:K02400	bsx:C663_1685
ko:K02404	bsx:C663_1686
ko:K04562	bsx:C663_1687
ko:K03412	bsx:C663_1688
ko:K03407	bsx:C663_1689
ko:K03408	bsx:C663_1690
ko:K03410	bsx:C663_1691
ko:K03411	bsx:C663_1692
ko:K02405	bsx:C663_1693
ko:K02967	bsx:C663_1695
ko:K02357	bsx:C663_1696
ko:K09903	bsx:C663_1697
ko:K02838	bsx:C663_1698
ko:K00806	bsx:C663_1699
ko:K00981	bsx:C663_1700
ko:K00099	bsx:C663_1701
ko:K11749	bsx:C663_1702
ko:K01881	bsx:C663_1703
ko:K03763	bsx:C663_1704
ko:K09748	bsx:C663_1705
ko:K02600	bsx:C663_1706
ko:K07742	bsx:C663_1707
ko:K02519	bsx:C663_1709
ko:K02834	bsx:C663_1711
ko:K11753	bsx:C663_1713
ko:K00962	bsx:C663_1714
ko:K06410	bsx:C663_1718
ko:K06411	bsx:C663_1719
ko:K00133	bsx:C663_1720
ko:K00928	bsx:C663_1721
ko:K01714	bsx:C663_1722
ko:K03710	bsx:C663_1727
ko:K08221	bsx:C663_1728
ko:K00995	bsx:C663_1735
ko:K01872	bsx:C663_2578
ko:K10039	bsx:C663_2581
ko:K10040	bsx:C663_2582
ko:K03581	bsx:C663_2587
ko:K00566	bsx:C663_2589
ko:K04487	bsx:C663_2590
ko:K07478	bsx:C663_2592
ko:K01876	bsx:C663_2595
ko:K01892	bsx:C663_2596
ko:K01448	bsx:C663_2597
ko:K07560	bsx:C663_2599
ko:K00759	bsx:C663_2601
ko:K07462	bsx:C663_2602
ko:K07228	bsx:C663_2604
ko:K12257	bsx:C663_2605
ko:K06409	bsx:C663_2607
ko:K03210	bsx:C663_2610
ko:K00773	bsx:C663_2611
ko:K07568	bsx:C663_2612
ko:K03551	bsx:C663_2614
ko:K03550	bsx:C663_2615
ko:K06318	bsx:C663_2616
ko:K03310	bsx:C663_2622
ko:K06370	bsx:C663_2625
ko:K03517	bsx:C663_2626
ko:K00278	bsx:C663_2628
ko:K04487	bsx:C663_2629
ko:K16698	bsx:C663_3440
ko:K16705	bsx:C663_3442
ko:K00012	bsx:C663_3443
ko:K01448	bsx:C663_3448
ko:K05946	bsx:C663_3466
ko:K01809	bsx:C663_3473
ko:K07282	bsx:C663_3482
ko:K02313	bsx:C663_0002
ko:K02338	bsx:C663_0003
ko:K03629	bsx:C663_0005
ko:K02470	bsx:C663_0007
ko:K02469	bsx:C663_0008
ko:K00627	bsx:C663_0831
ko:K00382	bsx:C663_0832
ko:K06425	bsx:C663_0834
ko:K09771	bsx:C663_0835
ko:K01232	bsx:C663_0840
ko:K03481	bsx:C663_0841
ko:K02749	bsx:C663_0842
ko:K02750	bsx:C663_0842
ko:K14205	bsx:C663_0865
ko:K02016	bsx:C663_0866
ko:K02015	bsx:C663_0867
ko:K02015	bsx:C663_0868
ko:K07071	bsx:C663_0873
ko:K03565	bsx:C663_0874
ko:K06428	bsx:C663_0877
ko:K07038	bsx:C663_0884
ko:K09769	bsx:C663_1740
ko:K06416	bsx:C663_1741
ko:K00060	bsx:C663_1742
ko:K06168	bsx:C663_1744
ko:K06328	bsx:C663_1746
ko:K03555	bsx:C663_1747
ko:K03572	bsx:C663_1748
ko:K15337	bsx:C663_1756
ko:K00646	bsx:C663_1757
ko:K15311	bsx:C663_1758
ko:K15313	bsx:C663_1760
ko:K00791	bsx:C663_1782
ko:K03666	bsx:C663_1783
ko:K01448	bsx:C663_1790
ko:K06413	bsx:C663_1791
ko:K03665	bsx:C663_1792
ko:K01915	bsx:C663_1795
ko:K06209	bsx:C663_2632
ko:K03979	bsx:C663_2633
ko:K06375	bsx:C663_2634
ko:K02899	bsx:C663_2636
ko:K02888	bsx:C663_2638
ko:K06401	bsx:C663_2640
ko:K03609	bsx:C663_2641
ko:K03610	bsx:C663_2642
ko:K03571	bsx:C663_2643
ko:K03570	bsx:C663_2644
ko:K03569	bsx:C663_2645
ko:K03630	bsx:C663_2646
ko:K06287	bsx:C663_2647
ko:K11754	bsx:C663_2650
ko:K01873	bsx:C663_2651
ko:K06417	bsx:C663_2654
ko:K01845	bsx:C663_2655
ko:K01698	bsx:C663_2656
ko:K01749	bsx:C663_2658
ko:K02497	bsx:C663_2659
ko:K02492	bsx:C663_2660
ko:K03978	bsx:C663_2662
ko:K01338	bsx:C663_2663
ko:K03544	bsx:C663_2665
ko:K03545	bsx:C663_2666
ko:K01704	bsx:C663_2668
ko:K01703	bsx:C663_2669
ko:K00052	bsx:C663_2670
ko:K01649	bsx:C663_2671
ko:K00053	bsx:C663_2672
ko:K01653	bsx:C663_2673
ko:K01652	bsx:C663_2674
ko:K03829	bsx:C663_2677
ko:K07095	bsx:C663_2679
ko:K00989	bsx:C663_2681
ko:K02529	bsx:C663_3486
ko:K06726	bsx:C663_3488
ko:K10441	bsx:C663_3489
ko:K01575	bsx:C663_3495
ko:K01652	bsx:C663_3496
ko:K03893	bsx:C663_3498
ko:K06330	bsx:C663_3501
ko:K07240	bsx:C663_3507
ko:K07240	bsx:C663_3508
ko:K05982	bsx:C663_3509
ko:K00012	bsx:C663_3514
ko:K03282	bsx:C663_3531
ko:K02372	bsx:C663_3532
ko:K02392	bsx:C663_3534
ko:K02392	bsx:C663_3535
ko:K03569	bsx:C663_3536
ko:K06283	bsx:C663_3537
ko:K06215	bsx:C663_0013
ko:K08681	bsx:C663_0014
ko:K01875	bsx:C663_0015
ko:K15519	bsx:C663_0016
ko:K15518	bsx:C663_0017
ko:K06306	bsx:C663_0018
ko:K02343	bsx:C663_0021
ko:K09747	bsx:C663_0022
ko:K06187	bsx:C663_0023
ko:K06317	bsx:C663_0025
ko:K00943	bsx:C663_0029
ko:K09770	bsx:C663_0031
ko:K02341	bsx:C663_0032
ko:K07461	bsx:C663_0036
ko:K07056	bsx:C663_0037
ko:K06284	bsx:C663_0038
ko:K01874	bsx:C663_0039
ko:K03424	bsx:C663_0040
ko:K05985	bsx:C663_0042
ko:K02528	bsx:C663_0043
ko:K06436	bsx:C663_0044
ko:K06423	bsx:C663_0046
ko:K00919	bsx:C663_0047
ko:K06412	bsx:C663_0050
ko:K04042	bsx:C663_0051
ko:K00948	bsx:C663_0052
ko:K02897	bsx:C663_0053
ko:K01056	bsx:C663_0054
ko:K03723	bsx:C663_0056
ko:K04769	bsx:C663_0057
ko:K07571	bsx:C663_0064
ko:K03575	bsx:C663_0885
ko:K10780	bsx:C663_0887
ko:K06422	bsx:C663_0888
ko:K01845	bsx:C663_0893
ko:K03564	bsx:C663_0894
ko:K03147	bsx:C663_0902
ko:K03781	bsx:C663_0905
ko:K15553	bsx:C663_0907
ko:K15554	bsx:C663_0908
ko:K02954	bsx:C663_0912
ko:K03216	bsx:C663_0918
ko:K07180	bsx:C663_0922
ko:K09786	bsx:C663_0923
ko:K03809	bsx:C663_0927
ko:K01198	bsx:C663_1813
ko:K01805	bsx:C663_1815
ko:K01775	bsx:C663_1820
ko:K03116	bsx:C663_1825
ko:K06310	bsx:C663_1828
ko:K06311	bsx:C663_1829
ko:K06312	bsx:C663_1830
ko:K11210	bsx:C663_1837
ko:K01356	bsx:C663_1838
ko:K00615	bsx:C663_1842
ko:K03413	bsx:C663_1847
ko:K06335	bsx:C663_1850
ko:K06433	bsx:C663_1851
ko:K06432	bsx:C663_1852
ko:K01681	bsx:C663_1853
ko:K06431	bsx:C663_1856
ko:K06434	bsx:C663_1857
ko:K07107	bsx:C663_1858
ko:K01776	bsx:C663_2683
ko:K01994	bsx:C663_2685
ko:K07107	bsx:C663_2686
ko:K00240	bsx:C663_2687
ko:K00239	bsx:C663_2688
ko:K00928	bsx:C663_2691
ko:K03703	bsx:C663_2692
ko:K03671	bsx:C663_2693
ko:K03522	bsx:C663_2697
ko:K03521	bsx:C663_2698
ko:K13767	bsx:C663_2699
ko:K13770	bsx:C663_2700
ko:K08989	bsx:C663_2702
ko:K07456	bsx:C663_2703
ko:K02347	bsx:C663_2704
ko:K09888	bsx:C663_2706
ko:K01890	bsx:C663_2708
ko:K01889	bsx:C663_2709
ko:K03437	bsx:C663_2710
ko:K06426	bsx:C663_2711
ko:K02647	bsx:C663_2712
ko:K11473	bsx:C663_2714
ko:K06200	bsx:C663_2716
ko:K01804	bsx:C663_2725
ko:K02887	bsx:C663_2731
ko:K02916	bsx:C663_2732
ko:K02520	bsx:C663_2733
ko:K05339	bsx:C663_2735
ko:K03320	bsx:C663_3545
ko:K04751	bsx:C663_3546
ko:K06386	bsx:C663_3549
ko:K03823	bsx:C663_3550
ko:K06131	bsx:C663_3554
ko:K07118	bsx:C663_3556
ko:K01428	bsx:C663_3558
ko:K01429	bsx:C663_3559
ko:K01430	bsx:C663_3560
ko:K03639	bsx:C663_3566
ko:K02379	bsx:C663_3567
ko:K06381	bsx:C663_3574
ko:K00790	bsx:C663_3575
ko:K02114	bsx:C663_3579
ko:K02112	bsx:C663_3580
ko:K02115	bsx:C663_3581
ko:K02111	bsx:C663_3582
ko:K02113	bsx:C663_3583
ko:K02109	bsx:C663_3584
ko:K02110	bsx:C663_3585
ko:K00761	bsx:C663_3588
ko:K00600	bsx:C663_3589
ko:K01808	bsx:C663_3591
ko:K07566	bsx:C663_3594
ko:K06382	bsx:C663_0065
ko:K04075	bsx:C663_0068
ko:K00760	bsx:C663_0069
ko:K03798	bsx:C663_0070
ko:K03525	bsx:C663_0071
ko:K04083	bsx:C663_0072
ko:K01738	bsx:C663_0074
ko:K01665	bsx:C663_0075
ko:K00796	bsx:C663_0078
ko:K01633	bsx:C663_0079
ko:K00950	bsx:C663_0080
ko:K00950	bsx:C663_0081
ko:K04567	bsx:C663_0084
ko:K03696	bsx:C663_0088
ko:K04485	bsx:C663_0089
ko:K00991	bsx:C663_0092
ko:K01770	bsx:C663_0093
ko:K00640	bsx:C663_0095
ko:K01883	bsx:C663_0096
ko:K11145	bsx:C663_0097
ko:K03218	bsx:C663_0098
ko:K06962	bsx:C663_0099
ko:K03091	bsx:C663_0100
ko:K03073	bsx:C663_0101
ko:K02601	bsx:C663_0102
ko:K02867	bsx:C663_0103
ko:K02863	bsx:C663_0104
ko:K02864	bsx:C663_0105
ko:K02935	bsx:C663_0106
ko:K03043	bsx:C663_0108
ko:K03046	bsx:C663_0109
ko:K03704	bsx:C663_0935
ko:K02073	bsx:C663_0936
ko:K06956	bsx:C663_0938
ko:K06180	bsx:C663_0944
ko:K02440	bsx:C663_0951
ko:K00864	bsx:C663_0952
ko:K00111	bsx:C663_0953
ko:K13771	bsx:C663_0961
ko:K01647	bsx:C663_0967
ko:K03308	bsx:C663_0970
ko:K00375	bsx:C663_0972
ko:K03088	bsx:C663_0976
ko:K00655	bsx:C663_0978
ko:K11358	bsx:C663_0981
ko:K06199	bsx:C663_0983
ko:K06199	bsx:C663_0984
ko:K01126	bsx:C663_0985
ko:K16052	bsx:C663_0987
ko:K12410	bsx:C663_0988
ko:K00824	bsx:C663_0990
ko:K03315	bsx:C663_0991
ko:K08591	bsx:C663_1861
ko:K02622	bsx:C663_1863
ko:K02621	bsx:C663_1864
ko:K03310	bsx:C663_1867
ko:K15924	bsx:C663_1871
ko:K15921	bsx:C663_1872
ko:K00963	bsx:C663_1874
ko:K01640	bsx:C663_1879
ko:K02160	bsx:C663_1880
ko:K01961	bsx:C663_1881
ko:K07259	bsx:C663_1897
ko:K13955	bsx:C663_1905
ko:K00266	bsx:C663_1906
ko:K00931	bsx:C663_1910
ko:K00286	bsx:C663_1911
ko:K11216	bsx:C663_1918
ko:K05338	bsx:C663_2736
ko:K07704	bsx:C663_2738
ko:K01868	bsx:C663_2740
ko:K07738	bsx:C663_2745
ko:K01611	bsx:C663_2746
ko:K00134	bsx:C663_2747
ko:K00859	bsx:C663_2751
ko:K07636	bsx:C663_2755
ko:K00024	bsx:C663_2757
ko:K00031	bsx:C663_2758
ko:K01647	bsx:C663_2759
ko:K00873	bsx:C663_2763
ko:K00850	bsx:C663_2764
ko:K01962	bsx:C663_2765
ko:K01963	bsx:C663_2766
ko:K02337	bsx:C663_2768
ko:K07090	bsx:C663_2775
ko:K06387	bsx:C663_3596
ko:K02493	bsx:C663_3599
ko:K02835	bsx:C663_3600
ko:K11686	bsx:C663_3602
ko:K07088	bsx:C663_3603
ko:K02909	bsx:C663_3606
ko:K03628	bsx:C663_3607
ko:K00790	bsx:C663_3610
ko:K01624	bsx:C663_3612
ko:K02490	bsx:C663_3613
ko:K01937	bsx:C663_3615
ko:K06131	bsx:C663_3619
ko:K06131	bsx:C663_3624
ko:K00373	bsx:C663_3627
ko:K00371	bsx:C663_3628
ko:K00370	bsx:C663_3629
ko:K02575	bsx:C663_3633
ko:K01887	bsx:C663_3634
ko:K07590	bsx:C663_0110
ko:K02950	bsx:C663_0111
ko:K02992	bsx:C663_0112
ko:K02355	bsx:C663_0113
ko:K02358	bsx:C663_0114
ko:K02946	bsx:C663_0116
ko:K02906	bsx:C663_0117
ko:K02926	bsx:C663_0118
ko:K02892	bsx:C663_0119
ko:K02886	bsx:C663_0120
ko:K02890	bsx:C663_0121
ko:K02982	bsx:C663_0122
ko:K02878	bsx:C663_0123
ko:K02904	bsx:C663_0124
ko:K02961	bsx:C663_0125
ko:K02895	bsx:C663_0126
ko:K02931	bsx:C663_0127
ko:K02954	bsx:C663_0128
ko:K02994	bsx:C663_0129
ko:K02933	bsx:C663_0130
ko:K02881	bsx:C663_0131
ko:K02988	bsx:C663_0132
ko:K02907	bsx:C663_0133
ko:K02876	bsx:C663_0134
ko:K03076	bsx:C663_0135
ko:K01265	bsx:C663_0137
ko:K02919	bsx:C663_0139
ko:K02952	bsx:C663_0140
ko:K02948	bsx:C663_0141
ko:K03040	bsx:C663_0142
ko:K02879	bsx:C663_0143
ko:K16785	bsx:C663_0146
ko:K06173	bsx:C663_0147
ko:K02871	bsx:C663_0148
ko:K02996	bsx:C663_0149
ko:K01448	bsx:C663_0152
ko:K06294	bsx:C663_0154
ko:K06349	bsx:C663_0155
ko:K07228	bsx:C663_1008
ko:K09682	bsx:C663_1022
ko:K00831	bsx:C663_1026
ko:K02503	bsx:C663_1027
ko:K01599	bsx:C663_1036
ko:K01772	bsx:C663_1037
ko:K00231	bsx:C663_1038
ko:K01421	bsx:C663_1040
ko:K00648	bsx:C663_1041
ko:K11102	bsx:C663_1046
ko:K07727	bsx:C663_1937
ko:K06878	bsx:C663_1954
ko:K08976	bsx:C663_1964
ko:K10255	bsx:C663_1968
ko:K07778	bsx:C663_1969
ko:K07693	bsx:C663_1970
ko:K03654	bsx:C663_1972
ko:K01755	bsx:C663_2791
ko:K01940	bsx:C663_2792
ko:K03638	bsx:C663_2793
ko:K00925	bsx:C663_2794
ko:K11065	bsx:C663_2796
ko:K04773	bsx:C663_2799
ko:K00858	bsx:C663_2800
ko:K01895	bsx:C663_2802
ko:K03151	bsx:C663_2804
ko:K04487	bsx:C663_2805
ko:K03311	bsx:C663_2806
ko:K04486	bsx:C663_2808
ko:K02986	bsx:C663_2813
ko:K01866	bsx:C663_2815
ko:K01895	bsx:C663_2816
ko:K04766	bsx:C663_2817
ko:K04768	bsx:C663_2819
ko:K02557	bsx:C663_2820
ko:K02556	bsx:C663_2821
ko:K02529	bsx:C663_2822
ko:K13853	bsx:C663_2823
ko:K01924	bsx:C663_2827
ko:K03466	bsx:C663_2828
ko:K06878	bsx:C663_2829
ko:K03439	bsx:C663_2837
ko:K00797	bsx:C663_3655
ko:K01821	bsx:C663_3659
ko:K01868	bsx:C663_3661
ko:K06885	bsx:C663_3665
ko:K06314	bsx:C663_3667
ko:K16869	bsx:C663_3669
ko:K02205	bsx:C663_3682
ko:K01790	bsx:C663_3688
ko:K00067	bsx:C663_3689
ko:K00973	bsx:C663_3691
ko:K03321	bsx:C663_0157
ko:K02015	bsx:C663_0160
ko:K02015	bsx:C663_0161
ko:K02016	bsx:C663_0162
ko:K01207	bsx:C663_0165
ko:K07106	bsx:C663_0169
ko:K03088	bsx:C663_0172
ko:K03431	bsx:C663_0176
ko:K00820	bsx:C663_0177
ko:K09822	bsx:C663_0180
ko:K01126	bsx:C663_0201
ko:K02445	bsx:C663_0202
ko:K08289	bsx:C663_0211
ko:K03800	bsx:C663_1049
ko:K03523	bsx:C663_1061
ko:K02250	bsx:C663_1066
ko:K03100	bsx:C663_1073
ko:K08174	bsx:C663_1076
ko:K03547	bsx:C663_1088
ko:K06304	bsx:C663_1091
ko:K06303	bsx:C663_1092
ko:K06302	bsx:C663_1093
ko:K06301	bsx:C663_1094
ko:K06299	bsx:C663_1095
ko:K01953	bsx:C663_1103
ko:K02291	bsx:C663_1104
ko:K01118	bsx:C663_1974
ko:K13993	bsx:C663_1978
ko:K04564	bsx:C663_1985
ko:K03308	bsx:C663_1986
ko:K03453	bsx:C663_1987
ko:K00658	bsx:C663_1988
ko:K00164	bsx:C663_1989
ko:K03327	bsx:C663_1998
ko:K05786	bsx:C663_2003
ko:K06999	bsx:C663_2010
ko:K15975	bsx:C663_2011
ko:K03797	bsx:C663_2014
ko:K01438	bsx:C663_2029
ko:K01975	bsx:C663_2843
ko:K01738	bsx:C663_2844
ko:K06901	bsx:C663_2846
ko:K07007	bsx:C663_2852
ko:K15532	bsx:C663_2858
ko:K01012	bsx:C663_2865
ko:K01935	bsx:C663_2866
ko:K02529	bsx:C663_2872
ko:K10117	bsx:C663_2874
ko:K10119	bsx:C663_2876
ko:K07406	bsx:C663_2877
ko:K01869	bsx:C663_2879
ko:K11632	bsx:C663_2884
ko:K11631	bsx:C663_2885
ko:K11629	bsx:C663_2886
ko:K11630	bsx:C663_2887
ko:K06305	bsx:C663_3700
ko:K03648	bsx:C663_3705
ko:K01193	bsx:C663_3709
ko:K02598	bsx:C663_3712
ko:K14647	bsx:C663_3715
ko:K05837	bsx:C663_3718
ko:K02829	bsx:C663_3720
ko:K02828	bsx:C663_3721
ko:K02827	bsx:C663_3722
ko:K02826	bsx:C663_3723
ko:K00849	bsx:C663_3727
ko:K14393	bsx:C663_3732
ko:K16301	bsx:C663_3734
ko:K07224	bsx:C663_3735
ko:K07243	bsx:C663_3736
ko:K00788	bsx:C663_3737
ko:K00878	bsx:C663_3738
ko:K05820	bsx:C663_3742
ko:K06969	bsx:C663_3744
ko:K02761	bsx:C663_3748
ko:K01613	bsx:C663_0217
ko:K07146	bsx:C663_0220
ko:K11102	bsx:C663_0221
ko:K03710	bsx:C663_0225
ko:K00826	bsx:C663_0227
ko:K16898	bsx:C663_1087
ko:K01425	bsx:C663_0232
ko:K07717	bsx:C663_0233
ko:K07719	bsx:C663_0234
ko:K01707	bsx:C663_0235
ko:K01706	bsx:C663_0238
ko:K01449	bsx:C663_0250
ko:K03116	bsx:C663_0254
ko:K03118	bsx:C663_0255
ko:K01304	bsx:C663_0256
ko:K07039	bsx:C663_0263
ko:K06895	bsx:C663_1110
ko:K00860	bsx:C663_1114
ko:K00958	bsx:C663_1115
ko:K00390	bsx:C663_1116
ko:K05979	bsx:C663_1117
ko:K08221	bsx:C663_1121
ko:K09767	bsx:C663_1127
ko:K00243	bsx:C663_1128
ko:K08777	bsx:C663_1135
ko:K00145	bsx:C663_1146
ko:K00620	bsx:C663_1147
ko:K01956	bsx:C663_1150
ko:K01955	bsx:C663_1151
ko:K00611	bsx:C663_1152
ko:K05519	bsx:C663_1157
ko:K02254	bsx:C663_1158
ko:K01034	bsx:C663_2031
ko:K01083	bsx:C663_2039
ko:K07152	bsx:C663_2048
ko:K01754	bsx:C663_2050
ko:K01687	bsx:C663_2059
ko:K06950	bsx:C663_2061
ko:K00432	bsx:C663_2062
ko:K00651	bsx:C663_2063
ko:K03704	bsx:C663_2065
ko:K09125	bsx:C663_2070
ko:K06429	bsx:C663_2072
ko:K16169	bsx:C663_2079
ko:K03816	bsx:C663_2080
ko:K01299	bsx:C663_2081
ko:K02526	bsx:C663_2082
ko:K01625	bsx:C663_2083
ko:K00874	bsx:C663_2084
ko:K07139	bsx:C663_2896
ko:K16188	bsx:C663_2898
ko:K00789	bsx:C663_2903
ko:K01610	bsx:C663_2905
ko:K04047	bsx:C663_2913
ko:K07173	bsx:C663_2916
ko:K08998	bsx:C663_2917
ko:K01673	bsx:C663_2918
ko:K02909	bsx:C663_2919
ko:K00426	bsx:C663_2921
ko:K01661	bsx:C663_2929
ko:K02551	bsx:C663_2931
ko:K00963	bsx:C663_2934
