ko:K03293	spyo:STAB901_06830
ko:K02899	spyo:STAB901_03445
ko:K03101	spyo:STAB901_03455
ko:K02825	spyo:STAB901_03465
ko:K00609	spyo:STAB901_03475
ko:K01956	spyo:STAB901_03480
ko:K02005	spyo:STAB901_03490
ko:K02003	spyo:STAB901_03495
ko:K02959	spyo:STAB901_03510
ko:K07006	spyo:STAB901_03525
ko:K16264	spyo:STAB901_03530
ko:K00554	spyo:STAB901_03545
ko:K07035	spyo:STAB901_03555
ko:K00077	spyo:STAB901_03560
ko:K03436	spyo:STAB901_03565
ko:K00882	spyo:STAB901_03570
ko:K00940	spyo:STAB901_03615
ko:K00974	spyo:STAB901_03630
ko:K15738	spyo:STAB901_03635
ko:K01462	spyo:STAB901_03645
ko:K03048	spyo:STAB901_07810
ko:K03545	spyo:STAB901_07815
ko:K00868	spyo:STAB901_07835
ko:K06173	spyo:STAB901_07840
ko:K12296	spyo:STAB901_07845
ko:K00865	spyo:STAB901_07885
ko:K01153	spyo:STAB901_07890
ko:K01154	spyo:STAB901_07895
ko:K01154	spyo:STAB901_07900
ko:K14988	spyo:STAB901_07920
ko:K02003	spyo:STAB901_07930
ko:K01220	spyo:STAB901_07960
ko:K02787	spyo:STAB901_07965
ko:K02788	spyo:STAB901_07965
ko:K02786	spyo:STAB901_07970
ko:K01635	spyo:STAB901_07975
ko:K01819	spyo:STAB901_07985
ko:K01819	spyo:STAB901_07990
ko:K02996	spyo:STAB901_08015
ko:K02871	spyo:STAB901_08020
ko:K07729	spyo:STAB901_08025
ko:K06962	spyo:STAB901_08040
ko:K03218	spyo:STAB901_08045
ko:K11145	spyo:STAB901_08055
ko:K01883	spyo:STAB901_08060
ko:K01985	spyo:STAB901_00090
ko:K01985	spyo:STAB901_00155
ko:K01985	spyo:STAB901_06635
ko:K01985	spyo:STAB901_01535
ko:K01985	spyo:STAB901_00560
ko:K01985	spyo:STAB901_07860
ko:K14226	spyo:STAB901_00610
ko:K14220	spyo:STAB901_01540
ko:K14220	spyo:STAB901_07855
ko:K14220	spyo:STAB901_09080
ko:K14222	spyo:STAB901_08595
ko:K14237	spyo:STAB901_00095
ko:K14237	spyo:STAB901_00160
ko:K14237	spyo:STAB901_06630
ko:K14237	spyo:STAB901_00565
ko:K07029	spyo:STAB901_03145
ko:K18979	spyo:STAB901_02915
ko:K03111	spyo:STAB901_07525
ko:K07483	spyo:STAB901_01115
ko:K07483	spyo:STAB901_01135
ko:K07483	spyo:STAB901_05715
ko:K07483	spyo:STAB901_05890
ko:K11040	spyo:STAB901_04275
ko:K07467	spyo:STAB901_04610
ko:K18220	spyo:STAB901_04660
ko:K03111	spyo:STAB901_00765
ko:K11040	spyo:STAB901_01175
ko:K11040	spyo:STAB901_02050
ko:K13052	spyo:STAB901_00040
ko:K18986	spyo:STAB901_08390
ko:K18987	spyo:STAB901_08395
ko:K19005	spyo:STAB901_03380
ko:K19119	spyo:STAB901_06430
ko:K02476	spyo:STAB901_04805
ko:K09951	spyo:STAB901_06405
ko:K14989	spyo:STAB901_07915
ko:K01710	spyo:STAB901_03955
ko:K09951	spyo:STAB901_04430
ko:K19118	spyo:STAB901_06420
ko:K19137	spyo:STAB901_04435
ko:K01364	spyo:STAB901_08450
ko:K14745	spyo:STAB901_08200
ko:K19302	spyo:STAB901_01810
ko:K04771	spyo:STAB901_09105
ko:K12998	spyo:STAB901_03305
ko:K06881	spyo:STAB901_03000
ko:K00887	spyo:STAB901_02215
ko:K07497	spyo:STAB901_01130
ko:K02796	spyo:STAB901_07180
ko:K07052	spyo:STAB901_03105
ko:K11045	spyo:STAB901_05485
ko:K21636	spyo:STAB901_08725
ko:K11705	spyo:STAB901_02125
ko:K20073	spyo:STAB901_06780
ko:K20112	spyo:STAB901_07050
ko:K02777	spyo:STAB901_08230
ko:K20107	spyo:STAB901_08230
ko:K20108	spyo:STAB901_08230
ko:K20114	spyo:STAB901_07040
ko:K20113	spyo:STAB901_07045
ko:K20374	spyo:STAB901_02480
ko:K20342	spyo:STAB901_00345
ko:K20373	spyo:STAB901_02305
ko:K20491	spyo:STAB901_04700
ko:K20492	spyo:STAB901_04705
ko:K20490	spyo:STAB901_04695
ko:K20483	spyo:STAB901_04690
ko:K00526	spyo:STAB901_01970
ko:K20484	spyo:STAB901_04585
ko:K20485	spyo:STAB901_04580
ko:K20487	spyo:STAB901_04570
ko:K20488	spyo:STAB901_04565
ko:K20375	spyo:STAB901_08465
ko:K01977	spyo:STAB901_00075
ko:K01977	spyo:STAB901_00545
ko:K01977	spyo:STAB901_07875
ko:K01977	spyo:STAB901_00140
ko:K01977	spyo:STAB901_01520
ko:K01977	spyo:STAB901_06650
ko:K01980	spyo:STAB901_00085
ko:K01980	spyo:STAB901_06640
ko:K01980	spyo:STAB901_01530
ko:K01980	spyo:STAB901_07865
ko:K01980	spyo:STAB901_00555
ko:K01980	spyo:STAB901_00150
ko:K21064	spyo:STAB901_07165
ko:K08968	spyo:STAB901_05825
ko:K14233	spyo:STAB901_00240
ko:K14230	spyo:STAB901_00220
ko:K14230	spyo:STAB901_00590
ko:K14236	spyo:STAB901_00600
ko:K14236	spyo:STAB901_03840
ko:K14219	spyo:STAB901_03030
ko:K14234	spyo:STAB901_06470
ko:K14231	spyo:STAB901_00225
ko:K14231	spyo:STAB901_00595
ko:K14224	spyo:STAB901_00580
ko:K14224	spyo:STAB901_06600
ko:K14224	spyo:STAB901_09085
ko:K14223	spyo:STAB901_00615
ko:K14223	spyo:STAB901_03845
ko:K14233	spyo:STAB901_07110
ko:K00525	spyo:STAB901_01980
ko:K01493	spyo:STAB901_07495
ko:K02316	spyo:STAB901_03265
ko:K00560	spyo:STAB901_03705
ko:K00287	spyo:STAB901_03710
ko:K04068	spyo:STAB901_08705
ko:K03553	spyo:STAB901_08770
ko:K00558	spyo:STAB901_04550
ko:K02314	spyo:STAB901_08935
ko:K00857	spyo:STAB901_04940
ko:K01520	spyo:STAB901_01240
ko:K06191	spyo:STAB901_05870
ko:K06217	spyo:STAB901_02200
ko:K00525	spyo:STAB901_05875
ko:K14221	spyo:STAB901_00100
ko:K14221	spyo:STAB901_06625
ko:K14221	spyo:STAB901_00165
ko:K02335	spyo:STAB901_01070
ko:K14235	spyo:STAB901_00605
ko:K14219	spyo:STAB901_03855
ko:K02031	spyo:STAB901_08320
ko:K02032	spyo:STAB901_08325
ko:K00571	spyo:STAB901_00720
ko:K01746	spyo:STAB901_08625
ko:K14219	spyo:STAB901_00130
ko:K14219	spyo:STAB901_00195
ko:K14219	spyo:STAB901_01545
ko:K14219	spyo:STAB901_07850
ko:K14230	spyo:STAB901_00210
ko:K14227	spyo:STAB901_00235
ko:K14227	spyo:STAB901_06605
ko:K14227	spyo:STAB901_00575
ko:K14219	spyo:STAB901_09095
ko:K14229	spyo:STAB901_00105
ko:K14229	spyo:STAB901_00170
ko:K14229	spyo:STAB901_06620
ko:K14229	spyo:STAB901_08275
ko:K14218	spyo:STAB901_00080
ko:K14218	spyo:STAB901_00550
ko:K14218	spyo:STAB901_07870
ko:K14218	spyo:STAB901_00145
ko:K14218	spyo:STAB901_01525
ko:K14218	spyo:STAB901_06645
ko:K14228	spyo:STAB901_00110
ko:K14228	spyo:STAB901_00175
ko:K14228	spyo:STAB901_06615
ko:K14228	spyo:STAB901_00125
ko:K14228	spyo:STAB901_00190
ko:K14225	spyo:STAB901_00120
ko:K14225	spyo:STAB901_00185
ko:K01101	spyo:STAB901_04410
ko:K07497	spyo:STAB901_05720
ko:K21471	spyo:STAB901_00245
ko:K00863	spyo:STAB901_02425
ko:K21567	spyo:STAB901_03550
ko:K21977	spyo:STAB901_05265
ko:K21993	spyo:STAB901_06070
ko:K03595	spyo:STAB901_02220
ko:K03078	spyo:STAB901_01035
ko:K03077	spyo:STAB901_01045
ko:K03079	spyo:STAB901_01040
